   tattvamīmāṃsā /	tattva-mImAMsA /
   paryāpta iti saṃyoga eva bhogāpavargārthaṃ sargaṃ karotīti //	paryAptaH iti saMyogaH eva Boga-apavarga-arTam sargam karoti-iti //
   atha vivekajñānopayoginī buddhirnirūpyate / tasyāśca vyāpāro 'dhyavasāyaḥ	aTa viveka-jQAna-upayoginI budDiH-nirUpyate / tasyAH-ca vyApAraH aDyavasAyaH
   tadabhinnaḥ / eṣa buddherlakṣaṇaṃ samānāsamānajātīyavyavacchedakatvāt /	tat-aBinnaH / eza budDeH-lakzaNam samAna-asamAna-jAtIya-vyavacCedaka-tvAt /
   tathāhi sarvo 'pi vyavahartā 'hamatrādhikṛta iti abhimatya mayā	taTA-hi sarvaH api vyavahartA aham-atra-aDikRtaH iti aBimatya mayA
   etatkartavyamiti adhyavasyati tataśca pravartate / tatra	etat-kartavyam-iti aDyavasyati tatas-ca pravartate / tatra
   citisannidhānādāpannacaitanyāyā buddheryo 'yaṃ kartavyamiti viniśayayaḥ so	citi-sanniDAnAt-Apanna-cEtanyAyAH budDeH-yaH ayam kartavyam-iti viniSayayaH saH-
   'dhyavasāyaḥ / tatra dharmo yāgādyanuṣṭhānajanitaḥ / jñānaṃ	aDyavasAyaH / tatra DarmaH yAga-Adi-anuzWAna-janitaH / jQAnam
   guṇapuruṣānyatākhyātiḥ / vairāgyaṃ rāgābhāvaḥ / evamaiśvaryamapi	guNa-puruza-anyatA-KyAtiH / vErAgyam rAga-aBAvaH / evam-ESvaryam-api
   buddhidharmo yato 'ṇimādiprādurbhāvaḥ / ahamatra śaktaḥ matto nānyo	budDi-DarmaH yatas aNima-Adi-prAdurBAvaH / aham-atra SaktaH mattaH na-anyaH-
   'trādhikṛtaḥ ato 'hamasmi ityādiko yo 'bhimānaḥ so	atra-aDikRtaH atas aham-asmi iti-AdikaH yaH aBimAnaH saH-
   'haṅkāravyāpāratvādahaṅkāraḥ / tamupajīvya hi buddhiradhyavasyati	ahaFkAra-vyApAra-tvAt-ahaFkAraH / tam-upajIvya hi budDiH-aDyavasyati
   karttavyametanmayeti ahaṅkārācca dvividhaḥ sargaḥ sāttvikādekādaśendriyāṇi	karttavyam-etat-mayA-iti ahaFkArAt-ca dviviDaH sargaH sAttvikAt-ekAdaSa-indriyANi
   tāmasāttu pañcatanmātrāḥ / rajasastu tatpravartakatvamātrātkāraṇatvam /	tAmasAt-tu paQca-tanmAtrAH / rajasaH-tu tad-pravartaka-tva-mAtrAt-kAraNa-tvam /
   sāttvikarājasatāmasāhaṅkārāṇāmeva krameṇa vaikārikastaijaso bhūtādiriti	sAttvika-rAjasa-tAmasa-ahaFkArANAm-eva krameNa vEkArikaH-tEjasaH BUtAdiH-iti
   saṃjñāḥ / cakṣuḥśrotraghrāṇarasanatvagākhyāni buddhīndriyāṇi /	saMjQAH / cakzuH-Srotra-GrANa-rasana-tvac-AKyAni budDIndriyANi /
   vākpāṇipādapāyūpasthāni karmendriyāṇi / mana ubhayātmakaṃ buddhīndriyaṃ	vAc-pANi-pAda-pAyu-upasTAni karmendriyANi / manaH uBaya-Atmakam budDIndriyam
   karmendriyañca / cakṣurādīnāṃ ca manodhiṣṭhitānāṃ svaviṣayeṣu pravṛtteḥ /	karmendriyaQca / cakzuH-AdInAm ca manaH-DizWitAnAm sva-vizayezu pravRtteH /
   prathamaṃ vastudarśanantantaraṃ bālamūkādivannirvikalpātmakaṃ sāmānyato	praTamam vastu-darSanantantaram bAla-mUka-Adi-vat-nirvikalpa-Atmakam sAmAnyatas-
   jñānamutpadyate / paścācca vastudhamairjātyādibhiryo 'dhyavasāyaḥ sa	jQAnam-utpadyate / paScAt-ca vastu-DamEH-jAti-AdiBiH-yaH aDyavasAyaH sa
   saṅkalpākhyo manaso vyāpāraḥ / ekasmādahaṅkārādekādaśavidhāni indriyāṇi	saFkalpa-AKyaH manasaH vyApAraH / ekasmAt-ahaFkArAt-ekAdaSaviDAni indriyANi
   bhavantītyatra tu śabdādyupabhogasampravartakādṛṣṭabheda eva niyāmakaḥ /	Bavanti-iti-atra tu Sabda-Adi-upaBoga-sampravartaka-adRzwa-BedaH eva niyAmakaH /
   adṛṣṭabhedastu guṇapariṇāma eva / pañcabuddhīndriyāṇāṃ	adRzwa-BedaH-tu guNa-pariNAmaH eva / paQca-budDIndriyANAm
   sambaddhavastvālocanaṃ vṛttiḥ vāgādikarmendriyāṇāṃ tu vacanādayo vṛttayaḥ	sambadDa-vastu-Alocanam vRttiH vAc-Adi-karmendriyANAm tu vacana-AdayaH vRttayaH
   / evaṃ mahato 'dhyavasāyaḥ ahaṅkārasyābhimānaḥ saṅkalpo manaso	/ evam mahataH aDyavasAyaH ahaFkArasya-aBimAnaH saFkalpaH manasaH-
   vṛttirvyāpāraḥ / kāryakaraṇābhimukhānāṃ karaṇānāṃ vṛttisaṅkarastu na	vRttiH-vyApAraH / kArya-karaNa-aBimuKAnAm karaNAnAm vRtti-saFkaraH-tu na
   bhavati / yathāhi parāvaskandāya pravṛttāḥ śāktīkayāṣṭīkādayaḥ svaṃ svaṃ	Bavati / yaTA-hi parAvaskandAya pravRttAH SAktIkayA-azwIka-AdayaH svam svam
   śaktyādikamevādadate na parasparayaṣṭyādikam / nanu yāṣṭīkānāṃ	Sakti-Adikam-eva-Adadate na paraspara-yazwi-Adikam / nanu yAzwIkAnAm
   cetanatvādastu tathā pravṛttiḥ karaṇānāṃ tvacetanānāṃ	cetana-tvAt-astu taTA pravRttiH karaNAnAm tu-acetanAnAm
   pravṛtterayuktatvāttatsvarūpasāmarthyopabhogābhijña adhiṣṭhātā svīkārya	pravRtteH-ayukta-tvAt-tad-svarUpa-sAmarTya-upaBoga-aBijQa aDizWAtA svIkArya
   iti cenna tatpravṛttau puruṣārthasya hetutvāt etaccopapādayiṣyati /	iti ced-na tad-pravRttO puruza-arTasya hetu-tvAt etat-ca-upapAdayizyati /
   karaṇāni tu trayodaśa / karaṇatvaṃ tu śabdasparśādiprakāśanaṃ	karaNAni tu trayodaSa / karaNa-tvam tu Sabda-sparSa-Adi-prakASanam
   karmendriyāṇāṃ tu vacanādivyāpāraḥ / etadbāhyakaraṇaṃ	karmendriyANAm tu vacana-Adi-vyApAraH / etad-bAhya-karaNam
   varttamānakālamantaṣkaraṇaṃ tu trikālam / nadīpūrabhedādabhūdvṛṣṭiḥ asti	varttamAna-kAlam-antazkaraNam tu tri-kAlam / nadI-pUra-BedAt-aBUt-vRzwiH asti
   dhūmādihāgniḥ pipīlikāṇḍasaṃcaraṇādbhaviṣyati vṛṣṭiriti pratyayāt / ye tu	DUmAt-iha-agniH pipIlikA-aNxa-saMcaraNAt-Bavizyati vRzwiH-iti pratyayAt / ye tu
   vaiśeṣikāḥ kālamekamatiriktaṃ svīkurvate / tanmate	vESezikAH kAlam-ekam-atiriktam svIkurvate / tad-mate
   'pyatītānāgatādivyavahārabhedaḥ upādhibhedādeva bhavati evaṃ ca	api-atIta-anAgata-Adi-vyavahAra-BedaH upADi-BedAt-eva Bavati evam ca
   taistairupādhibhirevātītānāgatādibhedasiddhau kimatiriktakālasvīkāreṇeti	tEH-tEH-upADiBiH-eva-atIta-anAgata-Adi-Beda-sidDO kim-atirikta-kAla-svIkAreNa-iti
   sāṃkhyāḥ / eṣāṃ cendriyāṇāma pradhānāpradhānabhāvo 'pyasti / yathāhi	sAMKyAH / ezAm ca-indriyANAma praDAna-apraDAna-BAvaH api-asti / yaTA-hi
   grāmādhyakṣā karṣakādibhyaḥ karamādāya viṣayādhyakṣāya prayacchanti	grAma-aDyakzA karzaka-AdiByaH karam-AdAya vizaya-aDyakzAya prayacCanti
   viṣayādhyakṣaśca sarvādhyakṣāya sa ca bhūpataye evaṃ bāhyendriyāṇyālocya	vizaya-aDyakzaH-ca sarva-aDyakzAya sa ca BUpataye evam bAhya-indriyANi-Alocya
   manase samarpayanti manaśca saṅkalpyāhaṅkārāya ahaṅkāraścābhimatya buddhau	manase samarpayanti manaH-ca saFkalpya-ahaFkArAya ahaFkAraH-ca-aBimatya budDO
   sarvādhyakṣāyāmiti / ete ca buddhīndriyamanohaṅkārā guṇaviśeṣā guṇānāṃ	sarva-aDyakzAyAm-iti / ete ca budDIndriya-manohaFkArAH guNa-viSezAH guNAnAm
   sattvarajastamasāṃ vikārāḥ parasparaṃ viruddhāṃ api	sattva-rajaH-tamasAm vikArAH parasparam virudDAm api
   puruṣārthenaikavākyatāpannāḥ yathā santamasāpanayanena prakāśāya militā	puruza-arTena-eka-vAkyatA-ApannAH yaTA santamasA-apanayanena prakASAya militA
   vartitailavahnayaḥ pradīpo bhavati / nanu kasmādbuddhau prayacchanti na	varti-tEla-vahnayaH pradIpaH Bavati / nanu kasmAt-budDO prayacCanti na
   punarahaṅkārāya manase veti cenna puruṣārthasya prayojakatayā	punar-ahaFkArAya manase vA-iti ced-na puruza-arTasya prayojaka-tayA
   sākṣātsādhanaṃ pradhānaṃ buddhireva ahaṅkārādayastu taṃ prati gauṇāḥ /	sAkzAt-sADanam praDAnam budDiH-eva ahaFkAra-AdayaH-tu tam prati gONAH /
   asmadādibhiḥ parasparavyāvṛttāni nānubhūyante iti śabdāditanmātrāṇi	asmad-AdiBiH paraspara-vyAvRttAni na-anuBUyante iti Sabda-Adi-tanmAtrANi
   aviśeṣāḥ sūkṣmāṇi ca / ākāśādiṣu tu sthūleṣu kvacitsattvapradhānatayā	aviSezAH sUkzmANi ca / AkASa-Adizu tu sTUlezu kvacid-sattva-praDAna-tayA
   śāntāḥ sukhāḥ prasannā laghavaḥ kecidrajastamaḥpradhānatayā ghorā mūḍhāśca	SAntAH suKAH prasannAH laGavaH kecid-rajaH-tamaH-praDAna-tayA GorAH mUXAH-ca
   / te viśeṣāḥ punaḥ tridhā sūkṣmaṃ śarīraṃ mātāpitṛjaṃ mahābhūtāni ca /	/ te viSezAH punar triDA sUkzmam SarIram mAtA-pitR-jam mahABUtAni ca /
   pradhānenādisarge pratipuruṣamekaikamutpāditaṃ tathā 'vyāhataṃ	praDAnena-Adisarge prati-puruzam-ekEkam-utpAditam taTA avyAhatam
   śilāmapyanupraviśati / sargādāmahāpralayamavatiṣṭhate sūkṣmaṃ śarīraṃ	SilAm-api-anupraviSati / sargAt-AmahApralayam-avatizWate sUkzmam SarIram
   tacca mahadahaṅkāraikādaśendriyapañcatanmātrasamudāyaḥ / etacca śarīraṃ	tat-ca mahat-ahaFkAra-ekAdaSa-indriya-paQca-tanmAtra-samudAyaH / etat-ca SarIram
   bhogānarha iti sthūlaṃ śarīraṃ ṣāṭkauśikamāśrayati / lomalohitamāṃsāni	BogAn-arhaH iti sTUlam SarIram zAz-kOSikam-ASrayati / loma-lohita-mAMsAni
   mātṛtaḥ snāyvasthimajjānaḥ pitṛta iti ṣaṭ kośāḥ / nanu	mAtRtaH snAyu-asTi-majjAnaH pitRtaH iti zaw koSAH / nanu
   dharmādharmanimittaḥ saṃsāraḥ tasya ca sūkṣmaśarīre 'bhāvātkathaṃ	Darma-aDarma-nimittaH saMsAraH tasya ca sUkzma-SarIre aBAvAt-kaTam
   sthūlaśarīrāśrayaṇamiti cet na dharmādyanvitabuddhyā saṃyogena tasyāpi	sTUlaSarIra-ASrayaNam-iti ced na Darma-Adi-anvita-budDyA saMyogena tasya-api
   dharmādyabhivāsitatvāt yathāhi surabhipuṣpādisambandhādvastramapi	Darma-Adi-aBivAsita-tvAt yaTA-hi suraBi-puzpa-Adi-sambanDAt-vastram-api
   tadāmodavāsitaṃ bhavati / dharmādharmādinimittakaṃ ca sthūlaśarīragrahaṇaṃ	tadA-Amoda-vAsitam Bavati / Darma-aDarma-Adi-nimittakam ca sTUla-SarIra-grahaNam
   tayoḥ saṃsargeṇa sūkṣmaśarīraṃ sthūlaśarīramāśritya devo vā manuṣyo vā	tayoH saMsargeNa sUkzmaSarIram sTUlaSarIram-ASritya devaH vA manuzyaH vA
   paśurvā bhavati / yathāhi naṭastāṃ bhūmikāma vidhāya dharmarājo vā bhavati	paSuH-vA Bavati / yaTA-hi nawaH-tAm BUmi-kAma viDAya DarmarAjaH vA Bavati
   vatsarājo vā bhavati iti / hetustvatra puruṣārtha eva /	vatsa-rAjaH vA Bavati iti / hetuH-tu-atra puruza-arTaH eva /
   tatrordhvagamanasya nimittaṃ dharmaḥ / evamadharmeṇādhogatiḥ / jñānena	tatra-UrDva-gamanasya nimittam DarmaH / evam-aDarmeNa-aDas-gatiH / jQAnena
   mokṣo 'jñānena bandhaḥ / tattvānabhijñasya puruṣasya	mokzaH ajQAnena banDaH / tattva-anaBijQasya puruzasya
   vairāgyamātrātprakṛtyādiṣvātmabudhyopāsyamāneṣu tatraiva layaḥ	vErAgya-mAtrAt-prakRti-Adizu-Atma-buDyA-upAsyamAnezu tatra-eva layaH
   rāgātsaṃsāraḥ aiśvaryādicchāyā avighātaḥ vighātaścānaiśvaryāt / ayaṃ	rAgAt-saMsAraH ESvaryAt-icCAyA aviGAtaH viGAtaH-ca-anESvaryAt / ayam
   buddhisargaḥ caturdhā viparyayāśaktituṣṭisiddhibhedāt / tatra viparyayo	budDi-sargaH caturDA viparyaya-aSakti-tuzwi-sidDi-BedAt / tatra viparyayaH-
   'jñānamavidyā / viparyayaḥ pañcadhā avidyāsmitārāgadveṣābhiniveśā	ajQAnam-avidyA / viparyayaH paQcaDA avidyA-smitA-rAga-dveza-aBiniveSA
   yathāsaṃkhyaṃ tamomohamahāmohatāmisrāndhatāmisrasaṃjñābhedāt /	yaTAsaMKyam tamaH-moha-mahA-moha-tAmisra-anDatAmisra-saMjQA-BedAt /
   prakṛtyādiṣvanātmasvātmabuddhiravidyā tamaḥ / devādīnāmaṇidādyaiśvaryeṣu	prakRti-Adizu-anAtma-sva-Atma-budDiH-avidyA tamaH / deva-AdInAm-aNidAdya-ESvaryezu
   śāśvatikatvābhimāno 'smitā mohaḥ / śabdādiṣu viṣayeṣu rāga	SASvatika-tva-aBimAnaH asmitA mohaH / Sabda-Adizu vizayezu rAga
   āsaktirmahāmohaḥ / devādīnāmasurādibhyaḥ	AsaktiH-mahA-mohaH / deva-AdInAm-asura-AdiByaH
   svaiśvaryāṇimābhighātabhayamabhiniveśo 'ndhatāmisraḥ / aśaktistu	su-a-ESvarya-aNima-aBiGAta-Bayam-aBiniveSaH anDatAmisraH / aSaktiH-tu
   andhatvapaṅgutvādirūpā karaṇavaikalyahetukā / tuṣṭayo dvedhā ādhyātmikā	anDa-tva-paFgu-tva-Adi-rUpA karaNa-vEkalya-hetukAH / tuzwayaH dveDA ADyAtmikA
   bāhyāśca prakṛtivyatirikta ātmāstīti niścitya saṃnyāsādeva tavāpavarto	bAhyAH-ca prakRti-vyatiriktaH AtmA-asti-iti niScitya saMnyAsAt-eva tava-apavartaH-
   bhaviṣyatīti upadeśādau yā tuṣṭayastā ādhyātmikyaḥ pañcaviṣayoparamāt yā	Bavizyati-iti upadeSa-AdO yA tuzwayaH-tAH ADyAtmikyaH paQca-vizaya-uparamAt yA
   tuṣṭayastā bāhyāḥ / ātmavidyānāmadhyayanamananādayaḥ siddhibhedāḥ / evaṃ	tuzwayaH-tAH bAhyAH / Atma-vidyAnAm-aDyayana-manana-AdayaH sidDi-BedAH / evam
   nirūpito buddhisargaḥ / tanmātrasargo 'pi devamanuṣyapaśvādibhedādbahudhā	nirUpitaH budDi-sargaH / tanmAtra-sargaH api deva-manuzya-paSu-Adi-BedAt-bahuDA
   / tatrordhādhomadhyalokāḥ sattvarajotamobahulāḥ / nanu sukhaduḥkhādayaḥ	/ tatra-UrDa-aDas-maDya-lokAH sattva-rajaH-tamaH-ba-hulAH / nanu suKa-duHKa-AdayaH
   prākṛtā buddhiguṇāḥ kathaṃ cetane bhavantīti cetsatyam puri liṅge śerate	prAkRtAH budDi-guNAH kaTam cetane Bavanti-iti ced-satyam puri liFge Serate
   sa puruṣaḥ / evaṃ ca liṅgapuruṣayoḥ	sa puruzaH / evam ca liFga-puruzayoH
   sambandhālliṅgadharmānātmanyadhyavasyati / ayaṃ ca mahadādi	sambanDAt-liFga-DarmAn-Atmani-aDyavasyati / ayam ca mahat-Adi
   pṛthivyādimahābhūtāntaḥ sargaḥ prakṛtyaiva kṛtaḥ / niṣkāraṇatve tu sadaiva	pRTivI-Adi-mahABUta-antar sargaH prakRtyA-eva kRtaH / nizkAraNa-tve tu sadA-eva
   syānnaiva vā syāt / īśvarastu na tatropādānaṃ citiśakterapariṇāmāt / nāpi	syAt-na-eva vA syAt / ISvaraH-tu na tatra-upAdAnam citi-SakteH-apariNAmAt / na-api
   īśvarādhiṣṭhitāyā prakṛteḥ kartṛtvaṃ nirvyāpārasyādhṣṭhātṛtvāsambhavāt /	ISvara-aDizWitAyAH prakRteH kartR-tvam nirvyApArasya-aDzWAtRtva-asamBavAt /
   nahi nirvyāpārastakṣāvāsyādyadhitiṣṭhati / nanu prakṛteḥ kartṛtve tasyā	na-hi nirvyApAraH-takzA-vAsya-Adi-aDitizWati / nanu prakRteH kartR-tve tasyAH-
   nityatvenānuparamātkadāpi mokṣo na syāditi cenna / yathā hi odanakāmaḥ	nitya-tvena-anuparamAt-kadApi mokzaH na syAt-iti ced-na / yaTA hi odana-kAmaH
   pakvaudano na pravartate punastatra evaṃ yaṃ yaṃ puruṣaṃ	pakva-odanaH na pravartate punar-tatra evam yam yam puruzam
   prakṛtirmocitavatī na taṃ prati punaḥ pravartate / nanvacetanāyāṃ prakṛtau	prakRtiH-mocitavatI na tam prati punar pravartate / nanu-acetanAyAm prakRtO
   kathaṃ cetanadharmaḥ pravṛttiḥ tasmādasti prakṛteradhiṣṭhātā cetanaḥ	kaTam cetana-DarmaH pravRttiH tasmAt-asti prakRteH-aDizWAtA cetanaH
   ātmānastu prakṛtisvarūpānabhijñatvānnādhiṣṭhātumarhanti tasmādasti	AtmAnaH-tu prakRti-svarUpa-anaBijQa-tvAt-na-aDizWAtum-arhanti tasmAt-asti
   sarvārthadarśī prakṛteradhiṣṭhātā sa ceśvara eveti cetsatyam yathāhi	sarva-arTa-darSI prakRteH-aDizWAtA sa ca-ISvaraH eva-iti ced-satyam yaTA-hi
   vatvavivṛddhyarthamacetanamapi kṣīraṃ pravartate tathā prakṛtirapi	vatu-a-vivRdDi-arTam-acetanam-api kzIram pravartate taTA prakRtiH-api
   puruṣamokṣāya pravartiṣyate / na ceśvarādhiṣṭhānatvena kṣīre pravṛttiḥ	puruza-mokzAya pravartizyate / na ca-ISvara-aDizWAna-tvena kzIre pravRttiH
   śaṅkayā / dvidhā hi pravṛttirbhavati svārthāya kāruṇyāya vā / na	SaFkayA / dviDA hi pravRttiH-Bavati sva-arTAya kAruNyAya vA / na
   cāptasakalakāmasyeśvarasya kimapi prārthanīyamasti sargātprāk	ca-Apta-sakala-kAmasya-ISvarasya kim-api prArTanIyam-asti sargAt-prAk-
   duḥkhābhāvena karuṇāyā asaṃbhavāt / kiñca karuṇayā prerita īśvaraḥ sukhina	duHKa-aBAvena karuNAyAH asaMBavAt / kiQca karuNayA preritaH ISvaraH suKina
   eva sarvān prāṇinaḥ sṛjet na vicitrān / prakṛtestvacetanatayā nedaṃ dvayaṃ	eva sarvAn prANinaH sRjet na vicitrAn / prakRteH-tu-acetana-tayA na-idam dvayam
   kintu parārthaiva pravṛttiḥ yathā pāriṣadānpradarśayannivartate naṭaḥ evaṃ	kintu para-arTA-eva pravRttiH yaTA pArizadAn-pradarSayat-nivartate nawaH evam
   prakṛtiḥ ātmānaṃ śabdādyātmanā puruṣādbhedena prakāśya nivartate /	prakRtiH AtmAnam Sabda-Adi-AtmanA puruzAt-Bedena prakASya nivartate /
   phalābhāve 'pi nirguṇe upakāriṇyapi puruṣe prakṛtistapasvinī pravartate	Pala-aBAve api nirguNe upakAriNI-api puruze prakRtiH-tapasvinI pravartate
   eva yathāhi guṇavānupakāryapi bhṛtyo nirguṇe upakāriṇyapi svāmini	eva yaTA-hi guNavAn-upakArI-api BRtyaH nirguNe upakAriNI-api svAmini
   niṣphalārādhanaḥ / yadyapi nāṭyānnivṛtto 'pi naṭaḥ kālāntare punarapi	nizPala-ArADanaH / yadi-api nAwyAt-nivRttaH api nawaH kAla-antare punar-api
   pravartate evaṃ muktaṃ prati prakṛtistu na punaḥ pravartate yathāhi	pravartate evam muktam prati prakRtiH-tu na punar pravartate yaTA-hi
   vigalitavasanā kulavadhūḥ kadācitkenaciddṛṣṭā cettadāsau tathā yatate	vigalita-vasanA kula-vaDUH kadAcid-kenacid-dRzwA ced-tadA-asO taTA yatate
   yathā na puruṣāntarāṇi paśyanti evaṃ prakṛtirapi vivekena sākṣātkṛtā	yaTA na puruza-antarANi paSyanti evam prakRtiH-api vivekena sAkzAtkRtA
   'tilajjāvaśātpunaḥ svātmānaṃ na pradarśayati / nanu	ati-lajjA-vaSAt-punar sva-AtmAnam na pradarSayati / nanu
   savāsanakleśakarmāśayānāṃ bandhanasaṃjñitānāmapyapariṇāmini puruṣe	sa-vAsana-kleSa-karma-ASayAnAm banDana-saMjQitAnAm-api-apariNAmini puruze
   'sambhavātkathaṃ mokṣaḥ mucerbandhanaviśleṣārthatvāt / ata eva na saṃsāro	asamBavAt-kaTam mokzaH muceH-banDana-viSleza-arTa-tvAt / atas eva na saMsAraH-
   'pi sambhavati niṣkriyatvāt / maivam / yathāhi bhṛtyagatau jayaparājayau	api samBavati nizkriya-tvAt / mA-evam / yaTA-hi BRtya-gatO jaya-parAjayO
   svāminyupacaryete evaṃ prakṛtigatayorapi bhogāpavargayorvivekāgrahātpuruṣe	svAmini-upacaryete evam prakRti-gatayoH-api Boga-apavargayoH-vivekAgrahAt-puruze
   upacāraḥ / tatra dharmādharmājñānavairāgyāvairāgyaiśvaryānaiśvaryarūpaiḥ	upacAraH / tatra Darma-aDarma-ajQAna-vErAgya-avErAgya-ESvarya-anESvarya-rUpEH
   saptabhirbhāvairbadhnāti tattvajñānena tu mocayati / evaṃ ca	saptaBiH-BAvEH-baDnAti tattva-jQAnena tu mocayati / evam ca
   kṛtādasmāttattvābhyāsānnāsmi na me nāhamiti śuddhamutpadyate jñānaṃ	kRtAt-asmAt-tattva-aByAsAt-na-asmi na me na-aham-iti SudDam-utpadyate jQAnam
   yadviṣayo abhyāsastaṃ sākṣātkārayatīti / nāsmītyanena	yat-vizayaH aByAsaH-tam sAkzAt-kArayati-iti / na-asmi-iti-anena
   kriyāmātranniṣidhyate asteḥ kriyārthatvāt / nāhamityanena kartṛtvaṃ na me	kriyA-mAtrat-niziDyate asteH kriyA-arTa-tvAt / na-aham-iti-anena kartR-tvam na me
   ityanena svāmitvaṃ niṣidhyate / bhogavivekasākṣātkārau prakṛteḥ	iti-anena svAmi-tvam niziDyate / Boga-viveka-sAkzAtkArO prakRteH
   prasotavyau tau ca prasūtāviti nivṛttā prakṛtistāṃ niṣkriyaḥ	prasotavyO tO ca prasUtO=-iti nivRttA prakRtiH-tAm nizkriyaH
   svacchapuruṣaḥ paśyati prakṛtipuruṣayorasaṃsarge	svacCa-puruzaH paSyati prakRti-puruzayoH-asaMsarge
   'pyavivekakhyātinibandhanaḥ saṃsāraḥ punarna bhavati iti / ante	api-aviveka-KyAti-nibanDanaH saMsAraH punar-na Bavati iti / ante
   tattvajñānasya tadānīmeva śarīrapātastu na bhavati / yathāhi nivṛtte	tattva-jQAnasya tadAnIm-eva SarIra-pAtaH-tu na Bavati / yaTA-hi nivRtte
   kulālavyāpāre saṃskāravaśāt cakraṃ bhramattiṣṭhati evaṃ saṃskāravaśāt	kulAla-vyApAre saMskAra-vaSAt cakram Bramat-tizWati evam saMskAra-vaSAt-
   śarīramapi śarīrapātānantaraṃ tu pradhānasya nivṛttatvādātyantikamapi	SarIram-api SarIra-pAta-anantaram tu praDAnasya nivRtta-tvAt-Atyantikam-api
   duḥkhaṃ naśyati duḥkhābhāvarūpaṃ kaivalyamāpnoti //	duHKam naSyati duHKa-aBAva-rUpam kEvalyam-Apnoti //
   iti śrīmaddevīdattātmajagamasevakasūnvācāryakṛṣṇamitrakṛtā tattvamīmāṃsā	iti SrImat-devI-datta-Atmaja-gama-sevaka-sUnva-AcArya-kRzNa-mitra-kRtA tattva-mImAMsA
   samāptā //	samAptAH //
