   (PSP_2 3:1)	(PSu _2 3:1)
   devaputrā āhuḥ: no bhadanta subhūte.	deva putrAH AhuH: naH Badanta suBUte.
   subhūtir āha: evam eva devaputrā māyopamāḥ sarvadharmā na tatra kaścid	suBUtiH Aha: evam eva deva putrAH mAyA upamAH sarva DarmAH na tatra kaScid 
   (PSP_2 3:13) deśayitā na śrotā na vijñātā. iti paropadeśavaiyarthyam	(PSu _2 3:13) deSayitA na SrotAH na vijQAtA. iti para upadeSa vEyarTyam
   atha khalu teṣāṃ devaputrāṇām etad abhavat: uttānīkariṣyati batāyam	aTa Kalu tezAm deva putrANAm etat aBavat: uttAnIkarizyati bata ayam
   āryasubhūtiḥ prajñāpāramitām iti, atha punar gambhirād gambhīrataraṃ	Arya suBUtiH prajQApAramitAm iti, aTa punar gamBirAt gamBIrataram
   deśayati, sūkṣmāt sūkṣmataraṃ deśayati. iti jñānagambhīratā	deSayati, sUkzmAt sUkzmataram deSayati. iti jQAna gamBIra tA
   atha khalv āyuṣmān subhūtis tān devaputrān etad avocat: na hi devaputrā	aTa Kalu AyuzmAn suBUtiH tAn deva putrAn etat avocat: na hi deva putrA
   rūpaṃ gambhīraṃ vā sūkṣmaṃ vā, na vedanā na saṃjñā na saṃskārā na vijñānaṃ	rUpam gamBIram vA sUkzmam vA, na vedanA na saMjQA na saMskArAH na vijQAnam
   gambhīraṃ vā sūkṣmaṃ vā. tat kasya hetor? na rūpasya svabhāvo gambhiro na	gamBIram vA sUkzmam vA. tat kasya hetor? na rUpasya svaBAvaH gamBiraH na
   sūkṣmaḥ na vedanāyā na saṃjñāyā na saṃskārāṇāṃ na vijñānasya svabhāvo	sUkzmaH na vedanAyAH na saMjQAyAH na saMskArANAm na vijQAnasya svaBAvaH 
   gambhīro na sūkṣmaḥ. na cakṣuṣaḥ svabhāvo gambhīro na sūkṣmaḥ na śrotasya	gamBIraH na sUkzmaH. na cakzuzaH svaBAvaH gamBIraH na sUkzmaH na Srotasya
   na ghrāṇasya na jihvāyā na kāyasya na manasaḥ svabhāvo gambhīro na	na GrANasya na jihvAyAH na kAyasya na manasaH svaBAvaH gamBIraH na
   sūkṣmaḥ. na pṛthivīdhātoḥ. svabhāvo gambhīro na sūkṣmaḥ, nābdhātor na	sUkzmaH. na pRTivI DAtoH. svaBAvaH gamBIraH na sUkzmaH, na abDAtoH na
   tejodhātor na vāyudhātor nākāśadhātor na vijñānadhātoḥ. svabhāvo gambhīro	tejaH DAtoH na vAyu DAtoH na AkASa DAtoH na vijQAna DAtoH. svaBAvaH gamBIraH 
   na sūkṣmaḥ. na dānapāramitāyāḥ svabhāvo gambhīro na sūkṣmaḥ, na	na sUkzmaH. na dAna pAramitAyAH svaBAvaH gamBIraH na sUkzmaH, na
   śīlapāramitāyā na kṣāntipāramitāyā na vīryapāramitāyā na dhyānapāramitāyā	SIla pAramitAyAH na kzAnti pAramitAyAH na vIrya pAramitAyAH na DyAna pAramitAyAH 
   na prajñāpāramitāyāḥ svabhāvo gambhīro na sūkṣmaḥ nādhyātmaśūnyatāyāḥ	na prajQApAramitAyAH svaBAvaH gamBIraH na sUkzmaH na aDyAtma SUnyatAyAH
   svabhāvo gambhīro na sūkṣmaḥ, na bahirdhāśūnyatāyā	svaBAvaH gamBIraH na sUkzmaH, na bahirDA SUnyatAyA
   nādhyātmabahirdhāśūnyatāyā yāvan nābhāvasvabhāvaśūnyatāyāḥ svabhāvo	na aDyAtma bahirDA SUnyatAyAH yAvat na aBA= a svaBAva SUnyatAyAH svaBAvaH 
   gambhīro na sūkṣmaḥ. na smṛtyupasthānānāṃ svabhāvo gambhīro na sūkṣmaḥ.	gamBIraH na sUkzmaH. na smRti upasTAnAnAm svaBAvaH gamBIraH na sUkzmaH.
   evaṃ samyakprahāṇānām ṛddhipādānām indriyāṇāṃ balānāṃ bodhyaṅgānām	evam samyak prahANAnAm RdDi pAdAnAm indriyANAm balAnAm boDi aFgAnAm
   āryāṣṭāṅgasya mārgasya satyānām abhijñānāṃ caturṇām apramāṇānāṃ caturṇāṃ	Arya azwa aFgasya mArgasya satyAnAm aBijQAnAm caturNAm apramANAnAm caturNAm
   dhyānānāṃ catasṛṇām ārūpyasamāpattīnāṃ daśānāṃ tathāgatabalānāṃ caturṇāṃ	DyAnAnAm catasRNAm ArUpya samApattInAm daSAnAm taTAgata balAnAm caturNAm
   vaiśāradyānāṃ catasṛnāṃ pratisaṃvidām aṣṭādāśānām āveṇikānāṃ	vESAradyAnAm catasRnAm pratisaMvidAm azwAdASAnAm AveNikAnAm
   buddhadharmāṇāṃ svabhāvo gambhīro na sūkṣmaḥ na	budDa DarmANAm svaBAvaH gamBIraH na sUkzmaH na
   sarvasamādhidhāraṇīmukhānāṃ svabhāvo gambhiro na sūkṣmaḥ, yāvan na	sarva samADi DAraNI muKAnAm svaBAvaH gamBiraH na sUkzmaH, yAvat na
   sarvākārajñatāyāḥ svabhāvo gambhīro na sūkṣmaḥ.	sarva AkAra jQa tAyAH svaBAvaH gamBIraH na sUkzmaH.
   atha khalu teṣāṃ devaputrāṇām etad abhavat: na khalu punar asyāṃ	aTa Kalu tezAm deva putrANAm etat aBavat: na Kalu punar asyAm
   dharmadeśanāyāṃ rūpaṃ prajñaptaṃ na vedanā na saṃjñā na saṃskārā na	Darma deSanAyAm rUpam prajQaptam na vedanA na saMjQA na saMskArAH na
   vijñānaṃ prajñaptaṃ, yāvan na dhātavo nāyatanāni na pratityasamutpādaḥ	vijQAnam prajQaptaM, yAvat na DAtavaH na AyatanAni na pratitya samutpAdaH
   prajñapto na pāramitā prajñaptā na bodhipakṣā dharmāḥ prajñaptāḥ,	prajQaptaH na pAramitA prajQaptAH na boDi pakzAH DarmAH prajQaptAH,
   nāpramāṇadhyānārūpyasamāpattavaḥ, na sarvaśūnyatā na sarvasamādhayaḥ na	na apramANa DyAna ArUpya samApattavaH, na sarva SUnyatA na sarva samADayaH na
   sarvadhāraṇīmukhāni (PSP_2 3:14) na daśatathāgatabalāni na vaiśāradyāni na	sarva DAraNI muKAni (PSu _2 3:14) na daSa taTAgata balAni na vESAradyAni na
   pratisaṃvido nāveṇikabuddhadharmāḥ prajñaptāḥ. nāpīha dharmadeśanāyāṃ	pratisaMvidaH na aveNika budDa DarmAH prajQaptAH. na api iha Darma deSanAyAm
   srotaāpattiphalaṃ prajñaptaṃ na sakṛdāgāmiphalaṃ nānāgāmiphalaṃ nārhattvaṃ	srotaApatti Palam prajQaptam na sakRdAgAmi Palam nAnA gAmi Palam na arhat tvam
   na pratyekabuddhatvaṃ na bodhisattvatvaṃ prajñaptaṃ na bodhiḥ prajñaptā	na pratyekabudDa tvam na boDisattva tvam prajQaptam na boDiH prajQaptA
   nākṣarāṇi prajñaptāni.	na akzarANi prajQaptAni.
   atha khalv āyuṣmān subhūtis tān devaputrān āmantrayāmāsa: evam etad	aTa Kalu AyuzmAn suBUtiH tAn deva putrAn AmantrayAmAsa: evam etat 
   devaputrā evam etad, anabhilapyā tathāgatānāṃ bodhir apravyāhārā, sā na	deva putrAH evam etat , anaBilapyA taTAgatAnAm boDiH apravyAhArA, sA na
   kenacid deśitā na kenacic chrutā na kenacid vijñātā. tena hi devaputrā ye	kenacid deSitA na kenacid SrutA na kenacid vijQAtA. tena hi deva putrAH ye
   srotaāpattiphale sthātukāmāḥ, ye srotaāpattiphalaṃ sākṣātkartukāmā nemāṃ	srotaApatti Pale sTAtu kAmAH, ye srotaApatti Palam sAkzAt kartu kAmAH na imAm
   kṣāntim anāgamya, ye sakṛdāgāmiphalam anāgāmiphalam arhattvaṃ, ye	kzAntim anAgamya, ye sakRdAgAmi Palam anAgAmi Palam arhat tvan, ye
   pratyekabuddhatve sthātukāmāḥ, ye pratyekabuddhatvaṃ prāptukāmā nemāṃ	pratyekabudDa tve sTAtu kAmAH, ye pratyekabudDa tvam prAptu kAmAH na imAm
   kṣāntim anāgamya. evaṃ hi devaputrā bodhisattvena mahāsattvena	kzAntim anAgamya. evam hi deva putrAH boDisattvena mahAsattvena
   prathamacittotpādam upādāya prajñāpāramitāyāṃ sthātavyam	praTama citta utpAdam upAdAya prajQApAramitAyAm sTAtavyam
   apravyāhārāśravaṇatām upādāya.	apravyAhAra aSravaNa tAm upAdAya.
   iti pratyekabuddhānāṃ grāhyavikalpaprahāṇam	iti pratyekabudDAnAm grAhya vikalpa prahANam
   atha khalu teṣāṃ devaputrāṇām etad abhavat: kiyadrūpāḥ sthavirasya	aTa Kalu tezAm deva putrANAm etat aBavat: kiyat rUpAH sTavirasya
   subhūter dharmaśravaṇikā eṣṭavyāḥ.	suBUteH Darma SravaNikAH ezwavyAH.
   atha khalv āyuṣmān subhūtis teṣāṃ devaputrāṇāṃ cetasaiva cetaḥparivitarkam	aTa Kalu AyuzmAn suBUtiH tezAm deva putrANAm cetasA eva cetaH parivitarkam
   ājñāya tān devaputrān etad avocat: māyopamā mama devaputrā dharmaśravaṇikā	AjQAya tAn deva putrAn etat avocat: mAyA upamA mama deva putrA DarmaSravaNikA
   eṣṭavyā nirmitopamā mama dharmaśravaṇikā eṣṭavyāḥ. te naiva kiṃcic	ezwavyAH nirmita upamAH mama Darma SravaNikAH ezwavyAH. te na eva kiMcid 
   chroṣyanti na paryavāpsyanti na sākṣātkariṣyanti.	Crozyanti na paryavApsyanti na sAkzAtkarizyanti.
   atha khalu te devaputrā āyuṣmantaṃ subhūtisthaviram evam āhuḥ: kiṃ punar	aTa Kalu te deva putrAH Ayuzmantam suBUti sTaviram evam AhuH: kim punar 
   bhadanta subhūte māyopamās te sattvā māyopamās te dharmaśravaṇikā	Badanta suBUte mAyA upamAH te sattvAH mAyA upamAH te DarmaSravaNikA
   nirmitopamās te sattvā nirmitopamās te dharmaśravaṇikāḥ?	nirmita upamAH te sattvAH nirmita upamAH te Darma SravaNikAH?
   subhūtir āha: evam etad devaputrā evam etat, māyopamās te sattvā māyopamās	suBUtiH Aha: evam etat deva putrAH evam etat, mAyA upamAH te sattvAH mAyA upamAs
   te dharmaśravaṇikā, nirmitopamās te sattvā nirmitopamās te	te Darma SravaNikA, nirmita upamAH te sattvAH nirmita upamAH te
   dharmaśravaṇikāḥ. rūpam api devaputrāḥ svapnopamaṃ māyopamaṃ, vedanā	Darma SravaNikAH. rUpam api deva putrAH svapna upamam mAyA upamaM, vedanA
   saṃjñā saṃskārā vijñānam api devaputrāḥ svapnopamaṃ māyopamaṃ. cakṣur api	saMjQA saMskArAH vijQAnam api deva putrAH svapna upamam mAyA upamaM. cakzuH api
   devaputrāḥ svapnopamaṃ māyopamaṃ. evaṃ śrotraṃ ghrāṇaṃ jihvā kāyo mano 'pi	deva putrAH svapna upamam mAyA upamaM. evam Srotram GrANam jihvA kAyaH manaH api
   devaputrāḥ svapnopamaṃ māyopamaṃ. rūpam api devaputrāḥ svapnopamaṃ	deva putrAH svapna upamam mAyA upamaM. rUpam api deva putrAH svapna upamam
   (PSP_2 3:15) māyopamaṃ. evaṃ śabdagandharasasparśadharmā api devaputrāḥ.	(PSu _2 3:15) mAyA upamaM. evam Sabda ganDa rasa sparSa DarmAH api deva putrAH.
   svapnopamā māyopamāś. cakṣurvijñānaṃ cakṣuḥsaṃsparśaś cakṣuḥsaṃsparśajā	svapna upamA mAyA upamAS. cakzuH vijQAnam cakzuH saMsparSaH cakzuH saMsparSa jA
   vedanā svapnopamā māyopamāḥ. evaṃ śrotraṃ ghrāṇaṃ jihvā kāyo manovijñānaṃ	vedanA svapna upamAH mAyA upamAH. evam Srotram GrANam jihvA kAyaH manaH vijQAnam
   manaḥsaṃsparśo manaḥsaṃsparśajā vedanā svapnopamā māyopamā. dānapāramitāpi	manaH saMsparSaH manaH saMsparSa jA vedanA svapna upamA mAyA upamA. dAna pAramitA api
   svapnopamā māyopamā. evaṃ śīlapāramitā kṣāntipāramītā vīryapārmitā	svapna upamA mAyA upamA. evam SIla pAramitA kzAnti pAramItA vIrya pArmitA
   dhyānapāramitā prajñāpāramitāpi svapnopamā māyopamā. evam adhyātmaśūmyatā	DyAna pAramitA prajQApAramitA api svapna upamA mAyA upamA. evam aDyAtma SUmyatA
   bahirdhāśūnyatādhyātmabahirdhāśūnyatā yāvad abhāvasvabhāvaśūnyatāpi	bahirDA SUnyatA aDyAtma bahirDA SUnyatA yAvat aBAva svaBAva SUnyatA api
   svapnopamā māyopamā. smṛtyupasthānāny api svapnopamāni. evaṃ	svapna upamA mAyA upamA. smRti upasTAnAni api svapna upamAni. evam
   samyakprahāṇarddhipādendriyabalabodhyaṅgāryāṣṭāṅgamārgāpramāṇadhyānārūpyasamāpattayaḥ,	samyak prahANa RdDi pAda indriya bala boDi aFgArya azwa aFga mArgA pramANa DyAna ArUpya samApattayaH,
   abhijñā satyāni daśa balāni catvāri vaiśāradyāni catasraḥ pratisaṃvido	aBijQA satyAni daSa balAni catvAri vESAradyAni catasraH pratisaMvidaH 
   'ṣṭādaśāveṇikā api buddhadharmāḥ svapnopamā māyopamāḥ. srotaāpattiphalam	azwAdaSa AveNikAH api budDa DarmAH svapna upamAH mAyA upamAH. srotaApatti Palam
   api svapnopamaṃ māyopamaṃ. srotaāpanno 'pi svapnopamo māyopamaḥ. evaṃ	api svapna upamam mAyA upamaM. srotaApannaH api svapna upamaH mAyA upamaH. evam
   sakṛdāgāmiphalam api sakṛdāgāmy apy anāgāmiphalam apy anāgāmy apy	sakRdAgAmi Palam api sakRdAgAmI api anAgAmi Palam api anAgAmI api 
   arhatphalam apy arhann api svapnopamo māyopamaḥ pratyekabodhir api	arhat Palam api arhan api svapna upamaH mAyA upamaH pratyeka boDiH api
   svapnopamā māyopamā, pratyekabuddho 'pi svapnopamo māyopamaḥ.	svapna upamA mAyA upamA, pratyekabudDaH api svapna upamaH mAyA upamaH.
   bodhisattvatvam api svapnopamaṃ māyopamaṃ, bodhisattvo 'pi svapnopamo	boDisattva tvam api svapna upamam mAyA upamaM, boDisattvaH api svapna upamaH 
   māyopamo. anuttarā samyaksaṃbodhir api svapnopamā māyopamā, buddho 'pi	mAyA upamo. anuttarA samyaksaMboDiH api svapna upamA mAyA upamA, budDaH api
   svapnopamo māyopamaḥ.	svapna upamaH mAyA upamaH.
   atha khalu te devaputrā āyuṣmantaṃ subhūtim etad avocat: buddhatvam api	aTa Kalu te deva putrAH Ayuzmantam suBUtim etat avocat: budDa tvam api
   sthavira subhūte svapnopamaṃ māyopamam iti vadasi. tat kiṃ manyase?	sTavira suBUte svapna upamam mAyA upamam iti vadasi. tat kim manyase?
   nirvāṇam api svapnopamaṃ māyopamaṃ.	nirvANam api svapna upamam mAyA upamaM.
   subhūtir āha: nirvāṇam apy ahaṃ devaputrāḥ svapnopamaṃ māyopamam iti	suBUtiH Aha: nirvANam api aham deva putrAH svapna upamam mAyA upamam iti
   vadāmi, saced ahaṃ devaputrā nirvāṇād api kaṃcid dharmaviśiṣṭataraṃ	vadAmi, saced aham deva putrAH nirvANAt api kaMcid Darma viSizwataram
   jāniyāṃ, tam apy ahaṃ svapnopamaṃ māyopamaṃ vadeyaṃ. tat kasya hetos?	jAniyAn, tam api aham svapna upamam mAyA upamam vadeyan. tat kasya hetos?
   tathā hi devaputrāḥ svapnaś ca māyā ca nirvāṇaṃ cādvayam etad	taTA hi deva putrAH svapnaH ca mAyA ca nirvANam ca advayam etat 
   advaidhīkāram.	advEDIkAram.
   iti pratyekabuddhānāṃ grāhakavikalpāprahāṇam	iti pratyekabudDAnAm grAhaka vikalpa aprahANam
   atha khalv āyuṣmāñ śāriputra āyuṣmāṃś ca mahāmaudgalyāyana āyuṣmāṃś ca	aTa Kalu AyuzmAn SAriputraH AyuzmAn ca mahAmOdgalyAyanaH AyuzmAn ca
   mahākauṣṭhila āyuṣmāṃś ca mahākātyāyana āyuṣmāṃś ca pūrṇo maitrāyaṇiputra	mahAkOzWilaH AyuzmAn ca mahAkAtyAyanaH AyuzmAn ca pUrNaH mEtrAyaNi putra
   āyuṣmāṃś ca mahākāśyapo 'nekāni ca devakoṭīniyutaśatasahasrāṇy āyuṣmantaṃ	AyuzmAn ca mahAkASyapaH anekAni ca deva kowI niyuta Sata sahasrANi Ayuzmantam
   subhūtiṃ sthaviram evam āhuḥ: ke 'syā bhadanta subhūte evaṃ gambhīrāyāḥ	suBUtim sTaviram evam AhuH: ke asyAH Badanta suBUte evam gamBIrAyAH
   prajñāpāramitāyā evam atarkāyā evam atarkāvacarāyā evaṃ sūkṣmāyā	prajQApAramitAyAH evam atarkAyAH evam atarka avacarAyAH evam sUkzmAyAH 
   (PSP_2 3:16) evaṃ nipuṇāyā evaṃ durdṛśāyā evaṃ duranubodhāyā evaṃ śāntāyā	(PSu _2 3:16) evam nipuNAyAH evam durdRSAyAH evam duranuboDAyAH evam SAntAyA
   evaṃ praṇītāyā evam alamāryāyā evaṃ paṇḍitavijñavedanīyāyā deśyamānāyāḥ	evam praNItAyAH evam alamAryAyAH evam paNxita vijQa vedanIyAyAH deSyamAnAyAH
   pratyeṣakā bhaviṣyanti?	pratyezakAH Bavizyanti?
   atha khalv āyuṣmān subhūtis tān mahāśrāvakāṃs tāṃś ca devaputrān etad	aTa Kalu AyuzmAn suBUtiH tAn mahA SrAvakAn tAn ca deva putrAn etat 
   avocat: avinivartanīyā āyuṣmanto bodhisattvā mahāsattvā asyāḥ	avocat: avinivartanIyAH AyuzmantaH boDisattvAH mahAsattvAH asyAH
   prajñāpāramitāyā evaṃ gambhīrāyā evam atarkāyā evam atarkāvacarāyā evaṃ	prajQApAramitAyAH evam gamBIrAyAH evam atarkAyAH evam atarka avacarAyAH evam
   sūkṣmāyā evaṃ nipuṇāyā evaṃ durdṛśāyā evaṃ duranubodhāyā evaṃ śāntāyā evaṃ	sUkzmAyAH evam nipuNAyAH evam durdRSAyAH evam duranuboDAyAH evam SAntAyAH evam
   praṇītāyā evam alamāryāyā evaṃ paṇḍitavijñavedanīyāyā deśyamānāyāḥ	praNItAyAH evam alamAryAyAH evam paNxita vijQa vedanIyAyAH deSyamAnAyAH
   pratyeṣakā bhaviṣyanti. dṛṣṭasatyā vā pudgalā arhanto vā kṣīṇāsravāḥ	pratyezakAH Bavizyanti. dRzwa satyAH vA pudgalAH arhantaH vA kzINa AsravAH
   paripūrṇasaṃkalpāḥ, pūrvajinakṛtādhikārā bahubuddhakoṭiṣv	paripUrNa saMkalpAH, pUrva jina kRta aDikArAH bahu budDa kowizu 
   avaropitakuśalamūlā vā kalyāṇamitraparigṛhitā vā. te kulaputrāḥ	avaropita kuSala mUlAH vA kalyANa mitra parigRhitAH vA. te kula putrAH
   kuladuhitaraś cāsyāḥ prajñāpāramitāyā evaṃ gambhīrāyā evam atarkāyā evam	kula duhitaraH ca asyAH prajQApAramitAyAH evam gamBIrAyAH evam atarkAyAH evam
   atarkāvacarāyā evaṃ sūkṣmāyā evaṃ nipuṇāyā evaṃ durdṛśāyā evaṃ	atarka avacarAyAH evam sUkzmAyAH evam nipuNAyAH evam durdRSAyAH evam
   duranubodhāyā evaṃ śāntāyā evaṃ praṇītāyā evam alamāryāyā evaṃ	duranuboDAyAH evam SAntAyAH evam praNItAyAH evam alamAryAyAH evam
   paṇḍitavijñavedanīyāyā deśyamānāyāḥ pratyeṣakā bhaviṣyanti.	paNxita vijQa vedanIyAyAH deSyamAnAyAH pratyezakAH Bavizyanti.
   tena khalu punar na rūpaṃ śūnyam iti vikalpayiṣyanti, na śūnyatāṃ rūpam	tena Kalu punar na rUpam SUnyam iti vikalpayizyanti, na SUnyatAm rUpam
   iti vikalpayiṣyanti, na vedanāṃ na saṃjñāṃ na saṃskārān na vijñānaṃ śūnyam	iti vikalpayizyanti, na vedanAm na saMjQAm na saMskArAt na vijQAnam SUnyam
   iti vikalpayiṣyanti, na śūnyatāṃ vijñānam iti vikalpayiṣyanti. na rūpam	iti vikalpayizyanti, na SUnyatAm vijQAnam iti vikalpayizyanti. na rUpam
   ānimittam iti vikalpayiṣyanti, nānimittaṃ rūpam iti vikalpayiṣyanti. na	Animittam iti vikalpayizyanti, na animittam rUpam iti vikalpayizyanti. na
   vedanāṃ na saṃjñāṃ na saṃskārān na vijñānam ānimittam iti vikalpayiṣyanti,	vedanAm na saMjQAm na saMskArAt na vijQAnam Animittam iti vikalpayizyanti,
   nānimittaṃ vijñānam iti vikalpayiṣyanti. na rūpam apraṇihitam iti	na animittam vijQAnam iti vikalpayizyanti. na rUpam apraNihitam iti
   vikalpayiṣyanti, nāpraṇihitaṃ rūpam iti vikalpayiṣyanti, na vedanāṃ na	vikalpayizyanti, na apraNihitam rUpam iti vikalpayizyanti, na vedanAm na
   saṃjñāṃ na saṃskārān na vijñānam apraṇihitam iti vikalpayiṣyanti,	saMjQAm na saMskArAt na vijQAnam apraNihitam iti vikalpayizyanti,
   nāpraṇihitaṃ vijñānam iti vikalpayiṣyanti. evaṃ nānutpāda iti, nānirodha	na apraNihitam vijQAnam iti vikalpayizyanti. evam na anutpAdaH iti, na aniroDa
   iti, na śāntam iti, na viviktam iti vikalpayiṣyanti. evaṃ vyastasamastāni	iti, na SAntam iti, na viviktam iti vikalpayizyanti. evam vyasta samastAni
   skandhadhātvāyatanapratītyasamutpādāṅgāni sarvapāramitām, evam	skanDa DAtu Ayatana pratItyasamutpAda aFgAni sarva pAramitAm, evam
   adhyātmaśūnyatāṃ bahirdhāśūnyatām adhyātmabahirdhāśūnyatāṃ yāvad	aDyAtma SUnyatAm bahirDA SUnyatAm aDyAtma bahirDA SUnyatAm yAvat 
   abhāvasvabhāvaśūnyatām evaṃ smṛtyupasthānāni samyakprahāṇāny	aBAva svaBAva SUnyatAm evam smRti upasTAnAni samyak prahANAni 
   ṛddhipādānīndriyāṇi balāni bodhyaṅgāny āryāṣṭāṅgamārgam	RdDipAdAni indriyANi balAni boDi aFgAni Arya azwa aFga mArgam
   apramāṇadhyānārūpyasamāpattīḥ abhijñāsatyāni daśatathāgatabalāni catvāri	apramANa DyAna ArUpya samApattIH aBijQA satyAni daSa taTAgata balAni catvAri
   vaiśāradyāni (PSP_2 3:17) catasraḥ pratisaṃvido 'ṣṭādaśāveṇikān	vESAradyAni (PSu _2 3:17) catasraH pratisaMvidaH azwAdaSa AveNikAn
   buddhadharmān sarvasamādhīn sarvadhāraṇīmukhāni, evaṃ na srotaāpattiphalaṃ	budDa DarmAn sarva samADIn sarva DAraNI muKAni, evam na srotaApatti Palam
   na sakṛdāgāmiphalaṃ nānāgāmiphalaṃ nārhattvaṃ na pratyekabuddhatvaṃ na	na sakRdAgAmi Palam nAnA gAmi Palam na arhat tvam na pratyekabudDa tvam na
   sarvākārajñatāṃ śūnyeti vikalpayiṣyanti, na śūnyatāṃ sarvākārajñateti	sarva AkAra jQa tAm SUnyA iti vikalpayizyanti, na SUnyatAm sarva AkAra jQa tA iti
   vikalpayiṣyanti. na sarvākārajñatām ānimitteti vikalpayiṣyanti, nānimittaṃ	vikalpayizyanti. na sarva AkAra jQa tAm Animitta iti vikalpayizyanti, na animittam
   sarvākārajñateti vikalpayiṣyanti. na sarvākārajñatām apraṇihiteti	sarva AkAra jQa tA iti vikalpayizyanti. na sarva AkAra jQa tAm apraNihitA iti
   vikalpayiṣyanti, nāpraṇihitaṃ sarvākārajñateti vikalpayiṣyanti. na	vikalpayizyanti, na apraNihitam sarva AkAra jQa tA iti vikalpayizyanti. na
   sarvākārajñatām anutpāda iti vikalpayiṣyanti, nānutpādaṃ sarvākārajñateti	sarva AkAra jQa tAm anutpAdaH iti vikalpayizyanti, na anutpAdam sarva AkAra jQa tA iti
   vikalpayiṣyanti. na sarvākārajñatām anirodha iti vikalpayiṣyanti,	vikalpayizyanti. na sarva AkAra jQa tAm aniroDaH iti vikalpayizyanti,
   nānirodhaṃ sarvākārajñateti vikalpayiṣyanti. na sarvākārajñatāṃ śāntam iti	na aniroDam sarva AkAra jQa tA iti vikalpayizyanti. na sarva AkAra jQa tAm SAntam iti
   vikalpayiṣyanti, na śāntaṃ sarvākārajñateti vikalpayiṣyanti. na	vikalpayizyanti, na SAntam sarva AkAra jQa tA iti vikalpayizyanti. na
   sarvākārajñatāṃ viviktam iti vikalpayiṣyanti, na viviktaṃ sarvākārajñateti	sarva AkAra jQa tAm viviktam iti vikalpayizyanti, na viviktam sarva AkAra jQa tA iti
   vikalpayiṣyanti. na saṃskṛtadhātuṃ śūnyam iti vikalpayiṣyanti, na śūnyatāṃ	vikalpayizyanti. na saMskRta DAtum SUnyam iti vikalpayizyanti, na SUnyatAm
   saṃskṛtadhātur iti vikalpayiṣyanti. na saṃskṛtadhātum ānimittam iti	saMskRta DAtuH iti vikalpayizyanti. na saMskRta DAtum Animittam iti
   vikalpayiṣyanti, nānimittaṃ saṃskṛtadhātur iti vikalpayiṣyanti. na	vikalpayizyanti, na animittam saMskRta DAtuH iti vikalpayizyanti. na
   saṃskṛtadhātuu apraṇihitam iti vikalpayiṣyanti, nāpraṇihitaṃ	saMskRta DAtuu apraNihitam iti vikalpayizyanti, na apraNihitam
   saṃskṛtadhātur iti vikalpayiṣyanti. na saṃskṛtadhātum anutpāda iti	saMskRta DAtuH iti vikalpayizyanti. na saMskRta DAtum anutpAdaH iti
   vikalpayiṣyanti, nānutpādaṃ saṃskṛtadhātur iti vikalpayiṣyanti. na	vikalpayizyanti, na anutpAdam saMskRta DAtuH iti vikalpayizyanti. na
   saṃskṛtadhātum anirodha iti vikalpayiṣyanti, nānirodhaṃ saṃskṛtadhātur iti	saMskRta DAtum aniroDaH iti vikalpayizyanti, na aniroDam saMskRta DAtuH iti
   vikalpayiṣyanti. na saṃskṛtadhātuṃ śāntam iti vikalpayiṣyanti, na śāntaṃ	vikalpayizyanti. na saMskRta DAtum SAntam iti vikalpayizyanti, na SAntam
   saṃskṛtadhātur iti vikalpayiṣyanti. na saṃskṛtadhātuṃ viviktam iti	saMskRta DAtuH iti vikalpayizyanti. na saMskRta DAtum viviktam iti
   vikalpayiṣyanti, na viviktaṃ saṃskṛtadhātur iti vikalpayiṣyanti.	vikalpayizyanti, na viviktam saMskRta DAtuH iti vikalpayizyanti.
   nāsaṃskṛtadhātuṃ śūnyam iti vikalpayiṣyanti, na śūnyatām asaṃskṛtadhātur	na asaMskRta DAtum SUnyam iti vikalpayizyanti, na SUnyatAm asaMskRta DAtuH 
   iti vikalpayiṣyanti. nāsaṃskṛtadhātum ānimittam iti vikalpayiṣyanti,	iti vikalpayizyanti. na asaMskRta DAtum Animittam iti vikalpayizyanti,
   nānimittam asaṃskṛtadhātur iti vikalpayiṣyanti. nāsaṃskṛtadhātum	na animittam asaMskRta DAtuH iti vikalpayizyanti. na asaMskRta DAtum
   apraṇihitam iti vikalpayiṣyanti, nāpraṇihitam asaṃskṛtadhātur iti	apraNihitam iti vikalpayizyanti, na apraNihitam asaMskRta DAtuH iti
   vikalpayiṣyanti. nāsaṃskṛtadhātum anutpāda iti vikalpayiṣyanti, nānutpādam	vikalpayizyanti. na asaMskRta DAtum anutpAdaH iti vikalpayizyanti, na anutpAdam
   asaṃskṛtadhātur iti vikalpayiṣyanti. nāsaṃskṛtadhātum anirodha iti	asaMskRta DAtuH iti vikalpayizyanti. na asaMskRta DAtum aniroDaH iti
   vikalpayiṣyanti, nānirodham asaṃskṛtadhātur iti vikalpayiṣyanti.	vikalpayizyanti, na aniroDam asaMskRta DAtuH iti vikalpayizyanti.
   nāsaṃskṛtadhātuṃ śāntam iti vikalpayiṣyanti, na śāntam (PSP_2 3:18)	na asaMskRta DAtum SAntam iti vikalpayizyanti, na SAntam (PSu _2 3:18)
   asaṃskṛtadhātur iti vikalpayiṣyanti. nāsaṃskṛtadhātuṃ viviktam iti	asaMskRta DAtuH iti vikalpayizyanti. na asaMskRta DAtum viviktam iti
