   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   kāruṇyād atra jāyate ST_2.62b	kAruNyAt atra jAyate ST_2.62b
   kārur dāsī naṭī dhātrī ST_2.65a	kAruH dAsI nawI DAtrI ST_2.65a
   kārśya-jāgara-tāpānyaḥ ST_1.50da	kArSya--jAgara--tApa-anyaH ST_1.50da
   kārśya-jāgara-mālinya- ST_2.58a	kArSya--jAgara--mAlinya ST_2.58a
   kālo'nyaḥ khalu ko'pi so'mṛtamayo jāto viṣātmādhunā ST_1.41bc	kAlaH-anyaH Kalu kaH-api saH-amRta-mayaH jAtaH viza-Atma-aDunA ST_1.41bc
   kāvya-śobhākarī vṛttir ST_3.41c	kAvya--SoBA-karI vRttiH ST_3.41c
   kāvyaṃ kaviḥ sajjana-citta-cauram ST_3.45d	kAvyam kaviH sat-jana--citta--cOram ST_3.45d
   kāvyaṃ prati nigadyate ST_1.5d	kAvyam prati nigadyate ST_1.5d
   kāvyaṃ rasa-nirantaram ST_1.8b	kAvyam rasa--nirantaram ST_1.8b
   kāvyaṃ rasa-paramparām ST_3.53d	kAvyam rasa-paramparAm ST_3.53d
   kāvyaṃ sadbhir na śasyate ST_3.46d	kAvyam sadBiH na Sasyate ST_3.46d
   kāvye śubhe'pi racite khalu no khalebhyaḥ ST_1.3a	kAvye SuBe-api racite Kalu no KaleByaH ST_1.3a
   kāścit pravrajitādikāḥ ST_2.24d	kAScid pravrajita-AdikAH ST_2.24d
   kā sneha-gaṇanā tatra ST_2.19c	kA sneha--gaNanA tatra ST_2.19c
   kiñcid atropalabhyate ST_1.18b	kiQcid atra-upalaByate ST_1.18b
   kiñcid-lakṣya-dvijaiḥ so'yam ST_3.2c	kiQcid--lakzya--dvijEH saH-ayam ST_3.2c
   kiñcid vakrita-kaṇṭha-kandala-dalat-pīna-stanāvartana- ST_1.22da	kiQcid vakrita--kaNWa--kandala-dala-t-pIna--stana-Avartana ST_1.22da
   kiñcid-vikasitair gaṇḍaiḥ ST_3.2a	kiQcid--vika-sitEH gaNxEH ST_3.2a
   kiñcid visphāritekṣaṇaiḥ ST_3.2b	kiQcid visPArita-IkzaNEH ST_3.2b
   kintu tāsāṃ kalākeli- ST_1.68a	kintu tAsAm kalA-keli ST_1.68a
   kim aparam ataḥ kartavyaṃ nas tanāv api nādaraḥ ST_3.18ad	kim aparam atas kartavyam naH tanO api na-AdaraH ST_3.18ad
   kim aparam ito yuktāyuktair vinā hy amunā tava ST_1.32bb	kim aparam itas yukta-ayuktEH vinA hi amunA tava ST_1.32bb
   kim api lalitaiḥ snigdhaiḥ kiñcit kim apy atikuñcitaiḥ ST_1.50aa	kim api lalitEH snigDEH kiQcid kim api ati-kuQcitEH ST_1.50aa
   kim api valitaiḥ kandarpeṣūn hasadbhir ivekṣaṇaiḥ ST_1.50ab	kim api valitEH kandarpa-izUn hasadBiH iva-IkzaNEH ST_1.50ab
   kim u mukhamadirecchuḥ kesaro no hṛdisthaḥ ST_1.39cb	kim u muKa-madira-icCuH kesaraH naH hRdisTaH ST_1.39cb
   kiṃ kuryām asya siddhaye ST_2.8b	kim kuryAm asya sidDaye ST_2.8b
   kiṃ goṣṭhī-maṇḍanaṃ hanta ST_3.56c	kim gozWI--maNxanam hanta ST_3.56c
   kiṃ candanair racayase nu mṛṇāla-śayyāṃ ST_2.2aa	kim candanEH racayase nu mRNAla-SayyAm ST_2.2aa
   kiṃcid aya-manaskena ST_2.36c	kiMcid aya--manaskena ST_2.36c
   kiṃcid dhyāyati niścalā ca balavad romāñcitā kampate ST_2.13ab	kiMcid DyAyati niScalA ca balavat romAQcitA kampate ST_2.13ab
   kiṃcid bāṣpa-jalāvalepa-lalite netre samākuñcite ST_2.32aa	kiMcid bAzpa--jala-avalepa--lalite netre samAkuQcite ST_2.32aa
   kiṃ tatra nāsti rajanī kiṃ vā candro na suṣṭhu-ruciḥ ST_2.58da	kim tatra na-asti rajanI kim vA candraH na suzWu-ruciH ST_2.58da
   kiṃ te kṛtyaṃ mayā dhūrta ST_3.50c	kim te kRtyam mayA DUrta ST_3.50c
   kiṃ tv anye'pi janā vadanti subhago'py asyāḥ priyo nānyato ST_1.25ac	kim tu anye-api janAH vadanti suBagaH-api asyAH priyaH na-anyatas ST_1.25ac
   kiṃ tv ekasya gṛhaṃ gatasya baḍavā-vahneḥ sadā tṛṣṇayā ST_3.43ac	kim tu ekasya gRham gatasya baxavA--vahneH sadA tRzNayA ST_3.43ac
   kiṃ ruddhaḥ priyayā kayācid athavā sakhyā tayodvejitaḥ ST_1.75aa	kim rudDaH priyayA kayAcid aTavA saKyA tayA-udvejitaH ST_1.75aa
   kiṃ vā kāraṇa-gauravaṃ kim api yan nādyāgato vallabhaḥ ST_1.75ab	kim vA kAraNa--gOravam kim api yat na-adya-AgataH vallaBaH ST_1.75ab
   kiṃ syād ittham aharniśaṃ sakhi mano dolāyate cintayā ST_1.26ad	kim syAt itTam aharniSam saKi manaH dolAyate cintayA ST_1.26ad
   kuca-dvandvākrāntaṃ hṛdayam ahṛdaḥ kānna kurute ST_1.39ab	kuca-dvandva-AkrAntam hRdayam ahRdaH kAn-na kurute ST_1.39ab
   kucau kumbhārambhau tad api cibukottambhana-rucī ST_1.35ab	kucO kumBa-AramBO tat api cibuka-uttamBana--rucI ST_1.35ab
   kuṭilo'sau śaṭho yathā ST_1.27d	kuwilaH-asO SaWaH yaTA ST_1.27d
   kutaścit kāraṇāt priyaḥ ST_2.57b	kutaScid kAraNAt priyaH ST_2.57b
   kutaścit kāraṇādyasyāḥ ST_1.81a	kutaScid kAraNAt-yasyAH ST_1.81a
   kutaścin nāgato yasyā ST_1.79a	kutaScid na-AgataH yasyAH ST_1.79a
   kupitas-strī-prasādakaḥ ST_1.29d	kupita-s--strI--prasAdakaH ST_1.29d
   kupyat pināki-netrāgni- ST_1.70a	kupyat pinAki-netra-agni ST_1.70a
   kulajā nerṣyate kiṃ tu ST_2.52c	kula-jA na-Irzyate kim tu ST_2.52c
   kulajānyāṅganā veśyā ST_1.84a	kula-jAnya-aFganA veSyA ST_1.84a
   kulajā saṃvṛtā trastā ST_1.85a	kula-jA saMvRtA trastA ST_1.85a
   kula-strī sarvadā dhṛṣṭā ST_3.52c	kula--strI sarvadA DRzwA ST_3.52c
   kuśalānāṃ manoramam ST_1.68b	kuSalAnAm manoramam ST_1.68b
   kūṇanaṃ gātra-saṃvṛtiḥ ST_3.15b	kUNanam gAtra--saMvRtiH ST_3.15b
   kṛcchra-sādhyaś ca kāmibhiḥ ST_2.37d	kRcCra--sADyaH ca kAmiBiH ST_2.37d
   kṛta-doṣe'pi sādhīrā ST_1.44a	kRta-doze-api sADIrA ST_1.44a
   kṛta-dhiyām iha vāgvanitāyate ST_3.54d	kRta--DiyAm iha vAc-vanitAyate ST_3.54d
   kṛtam arikulaṃ nārī-śeṣaṃ sva-khaḍga-vijṛmbhitaiḥ ST_3.18ab	kRtam ari-kulam nArI--Sezam sva--Kaxga--vijRmBitEH ST_3.18ab
   kṛtaṃ mithyā-jalpair virama viditaṃ kāmuka cirāt ST_1.45aa	kRtam miTyA-jalpEH virama viditam kAmuka cirAt ST_1.45aa
   kṛtvāneka-vidhāṃ rasena surate keliṃ kathañcic cirā- ST_1.40aa	kRtvA-aneka-viDAm rasena surate kelim kaTaQcid cirA ST_1.40aa
   kṛtvodāste ratau yathā ST_1.44d	kRtvA-udAH-te ratO yaTA ST_1.44d
   kṛpāṃ tathāpi sujanārtham idaṃ yataḥ kiṃ ST_1.3c	kRpAm taTA-api su-jana-arTam idam yatas kim ST_1.3c
   kṛśo viyoga-taptāyās ST_3.51c	kRSaH viyoga--taptAyAH ST_3.51c
   kṛṣṇe gate kusuma-sāyaka tat prabhāte ST_2.58ac	kRzNe gate kusuma--sAyaka tat praBAte ST_2.58ac
   kecid rasa-vibhāgeṣu ST_3.24a	kecid rasa--viBAgezu ST_3.24a
   kevalaṃ dainyam ālambya ST_2.48a	kevalam dEnyam Alambya ST_2.48a
   keśāramanrūpuṇḍalīṣu valitānunmocayantī śanaiḥ ST_1.90ad	keSAra-manrU-puNxalIzu valitAn-unmocayantI SanEs ST_1.90ad
   keṣāṃcit karuṇa-bhrāntiḥ ST_2.62a	kezAMcid karuNa--BrAntiH ST_2.62a
   kaiśiky-ārabhaṭī caiva ST_1.19a	kESiky-AraBawI ca-eva ST_1.19a
   kaiścid brūmo vayaṃ punaḥ ST_1.63b	kEScid brUmaH vayam punar ST_1.63b
   kopa-bhraṃśātmako yathā ST_2.49d	kopa-BraMSa-AtmakaH yaTA ST_2.49d
   kopāt kiñcid upānato'pi rabhasād ākṛṣya keśeṣv alaṃ ST_1.27ba	kopAt kiQcid upAnataH-api raBasAt AkRzya keSezu alam ST_1.27ba
   kopo bhavet tava mukhaṃ tu nijaṃ kim etat ST_2.36ab	kopaH Bavet tava muKam tu nijam kim etat ST_2.36ab
   ko'py anyo'sti gurur na cātinipuṇāḥ sakhyo'sya saṃbodhane ST_2.8ab	kaH-api anyaH-asti guruH na ca-ati-nipuNAH saKyaH-asya saMboDane ST_2.8ab
   ko'yaṃ kā vayam atra kiṃ nu surataṃ naiva smṛtir jāyate ST_1.43ad	kaH-ayam kA vayam atra kim nu suratam na-eva smRtiH jAyate ST_1.43ad
   ko'yaṃ kāsmi rataṃ kiṃ vā ST_1.43c	kaH-ayam kA-asmi ratam kim vA ST_1.43c
   ko'yaṃ mānini mat-praṇāma-vimukhaḥ pratyagra-māna-grahaḥ ST_1.91ad	kaH-ayam mAnini mat--praNAma--vimuKaH pratyagra-mAna-grahaH ST_1.91ad
   ko'yaṃ vimuñca kuru nātha vaco madīyam ST_2.67ea	kaH-ayam vimuQca kuru nATa vacaH madIyam ST_2.67ea
   ko'yaṃ subhru paras tvam eva dayite dāso'smi kas te paraḥ ST_1.89ab	kaH-ayam suBru paraH tvam eva dayite dAsaH-asmi kaH te paraH ST_1.89ab
   krīḍā-prāyo vidūṣakaḥ ST_1.31b	krIxA-prAyaH vidUzakaH ST_1.31b
   kruddhāyāṃ mayi nātha te kadalikākāṇḍair alātāyitam ST_1.41bb	krudDAyAm mayi nATa te kadalikA-kANxEH alAtAyitam ST_1.41bb
   krodhātmako bhaved raudraḥ ST_3.7a	kroDa-AtmakaH Bavet rOdraH ST_3.7a
   krodhotsāhau bhayaṃ tathā ST_1.10b	kroDa-utsAhO Bayam taTA ST_1.10b
   krodhoddhāvita-dhīra-dhoraṇa-lasaat-khaḍgāgram ugrāgrahaṃ ST_3.41ac	kroDa-udDO=-ita-DIH-a-DoraNa--lasaa-t--Kaxga-agram ugra-agraham ST_3.41ac
   krodho'sūyāśru saṃmoha ST_3.33c	kroDaH-asUya-aSru saMmoha ST_3.33c
   klāntasyodara-pūraṇe'pi na saho yat tan manāṅ madhyamam ST_3.43ad	klAntasya-udara--pUraNe-api na sahaH yat tat manAk maDyamam ST_3.43ad
   kṣamārjava-vibhūṣitā ST_1.34b	kzamA-Arjava--viBUzitA ST_1.34b
   kṣīṇopāyas tadā kanyāṃ ST_2.28c	kzINa-upAyaH tadA kanyAm ST_2.28c
   khaṇḍitā cābhisārikā ST_1.72d	KaNxitA ca-aBisArikA ST_1.72d
   khaṇḍitā sā matā yathā ST_1.79d	KaNxitA sA matAH yaTA ST_1.79d
   gacchāmīti vadaty asāv api muhuḥ śaṅkākulā kevalaṃ ST_2.31ac	gacCAmi-iti vadati asO api muhur SaFkA-AkulA kevalam ST_2.31ac
   gaṇḍollāsa-vibhāvitaḥ paśupater hāsodgamaḥ pātu vaḥ ST_3.2ad	gaNxa-ullAsa--viBAvitaH paSupateH hAsa-udgamaH pAtu vaH ST_3.2ad
   gataṃ karṇābhyarṇe prasarati tathāpy akṣi-yugalaṃ ST_1.35aa	gatam karNa-aByarNe prasarati taTA-api akzi--yugalam ST_1.35aa
   gatir mandībhūtā harati gamanaṃ manmathavatā- ST_1.39ac	gatiH mandIBUtA harati gamanam manmaTavatA ST_1.39ac
   gateccho nāyakas tatra ST_3.18c	gata-icCaH nAyakaH tatra ST_3.18c
   gadgadaḥ sādhuvādaś ca ST_3.17a	gadgadaH sADuvAdaH ca ST_3.17a
   garīyān madhyamo laghuḥ ST_2.33d	garIyAn maDyamaH laGuH ST_2.33d
   garvād vyasana-tyāgād vipriya-karaṇāc ca niṣṭhurālāpāt ST_2.56a	garvAt vyasana-tyAgAt vipriya-karaNAt ca nizWura-AlApAt ST_2.56a
   garvo madas tathogratvaṃ ST_3.34a	garvaH madaH taTA-ugra-tvam ST_3.34a
   garvo viṣāda autsukyaṃ ST_1.12c	garvaH vizAda Otsukyam ST_1.12c
   galat-svedoda-bindubhiḥ ST_3.12cb	galat--sveda-uda--binduBiH ST_3.12cb
   gāḍānanṅga-bhara-sravatravanayā kampoparuddhāṅgayā ST_1.59ab	gAxa-an-anFga-Bara--sravatravanayA kampa-uparudDa-aFgayA ST_1.59ab
   gāḍhaṃ vyāpriyate kāntaṃ ST_1.40a	gAXam vyApriyate kAntam ST_1.40a
   gāḍhāliṅgana-pīḍita-stana-taṭaṃ svidyat-kapola-sthalaṃ ST_1.68aa	gAXa-AliFgana--pIxita--stana--tawam svid-yat--kapola--sTalam ST_1.68aa
   gātram āviṣkaroti ca ST_1.55d	gAtram Avizkaroti ca ST_1.55d
   gāmbhīryaudārya-saundarya- ST_3.10a	gAmBIrya-OdArya--sOndarya ST_3.10a
   guṇa-hāryottameti sā ST_1.89d	guNa--hAryA-uttamA-iti sA ST_1.89d
   gūḍha-mantraḥ śucir vāgmī ST_1.29a	gUXa-mantraH SuciH vAgmI ST_1.29a
   gehe tayor nūtana-saṅgamaḥ syāt ST_2.27d	gehe tayoH nUtana--saFgamaH syAt ST_2.27d
   gaurī-locana-lobhanāya subhago veṣo varasyeti me ST_3.2ac	gOrI--locana--loBanAya suBagaH vezaH varasya-iti me ST_3.2ac
   grantho'yaṃ grathito mayā ST_3.55b	granTaH-ayam graTitaH mayA ST_3.55b
   grāmyaṃ vyāmohayanti tāḥ ST_1.65d	grAmyam vyAmohayanti tAH ST_1.65d
   glāno muktāśrur udvignaḥ ST_2.61a	glAnaH mukta-aSruH udvignaH ST_2.61a
   cakṣur dikṣu niveśitaṃ sa-karuṇaṃ sakhyā samaṃ jalpitam ST_1.79ab	cakzuH dikzu niveSitam sa-karuNam saKyA samam jalpitam ST_1.79ab
   cakṣur mīlati sānandaṃ ST_1.59a	cakzuH mIlati sa-Anandam ST_1.59a
   catasro vṛttayo jñeyā ST_1.19c	catasraH vRttayaH jQeyA ST_1.19c
   candanāmbu-ruhādikam ST_2.3b	candana-ambu-ruha-Adikam ST_2.3b
   cambaty ambaram indau tava tena vinā ratiḥ kīdṛk ST_1.51eb	cambati ambaram indO tava tena vinA ratiH kIdRS ST_1.51eb
   cala-cittāpi sādhamā ST_1.91d	cala--cittA-api sADamA ST_1.91d
   cāṭu-prāya-vaco-vicitra-bhaṇitair yātai rutaiś cāṅkitaṃ ST_1.68ac	cAwu--prAya--vaco-vicitra--BaNitEH yAtEH rutEH ca-aFkitam ST_1.68ac
   cāturyam uddhata-manobhavayā rateṣu ST_1.39db	cAturyam udData--manoBavayA ratezu ST_1.39db
   cāpalyam ugratā vego ST_3.32c	cApalyam ugra-tA vegaH ST_3.32c
   citraṃ citra-gato'py eṣa ST_1.51ba	citram citra--gataH-api eza ST_1.51ba
   cintayanty ākulā yathā ST_1.75d	cintayanti AkulAH yaTA ST_1.75d
   cintādyaṃ yatra jāyate ST_2.58b	cintA-Adyam yatra jAyate ST_2.58b
   cintā moho dhṛtiḥ smṛtiḥ ST_1.11d	cintA mohaH DRtiH smRtiH ST_1.11d
   cintāśru-pātādi-yutāḥ sakhedāḥ ST_1.82b	cintA-aSru--pAta-Adi--yutAH sa-KedAH ST_1.82b
   cetaś citram aho tathāpi ramate saṃketake kāminām ST_2.31ad	cetaH citram aho taTA-api ramate saMketake kAminAm ST_2.31ad
   cetaś cumbita-kāla-kūṭam iva me kasmād idaṃ muhyati ST_2.10ad	cetaH cumbita-kAla--kUwam iva me kasmAt idam muhyati ST_2.10ad
   cetaḥ kasmād didṛkṣase ST_1.50dd	cetaH kasmAt didRkzase ST_1.50dd
   ceṣṭate tāṃ prati prāyaḥ ST_1.48c	cezwate tAm prati prAyas ST_1.48c
   ceṣṭā bhavati puṃ-nāryor ST_1.21a	cezwA Bavati puM-nAryoH ST_1.21a
   ceṣṭās tāḥ smaraṇaṃ yathā ST_2.9d	cezwAH tAH smaraNam yaTA ST_2.9d
   ceṣṭāṃ ca kurute ramyām ST_1.56c	cezwAm ca kurute ramyAm ST_1.56c
   chṛṅgārābhāsa eva saḥ ST_2.21d	CRFgAra-ABAsaH eva saH ST_2.21d
   jaḍatā maraṇaṃ caiva ST_2.6a	jaxatA maraNam ca-eva ST_2.6a
   jaḍateyaṃ matā yathā ST_2.15d	jaxatA-iyam matAH yaTA ST_2.15d
   janma-deha-vadha-bandhanādikaṃ ST_3.44aa	janma--deha--vaDa--banDana-Adikam ST_3.44aa
   jalpantyā śravaṇotpalena sukṛtī kaścid rahas tāḍyate ST_1.27bd	jalpantyA SravaNa-utpalena sukRtI kaScid rahaH tAxyate ST_1.27bd
   jalpantyāḥ paruṣaṃ ruṣā mama balāc cumbaty asāv ānanaṃ ST_1.28aa	jalpantyAH paruzam ruzA mama balAt cumbati asO Ananam ST_1.28aa
   jātā subhru manoramā tava daśā kasmād akasmād iyam ST_1.39bd	jAtA suBru manoramA tava daSA kasmAt akasmAt iyam ST_1.39bd
   jāti-kāla-vayovasthā- ST_1.92a	jAti-kAla--vayaH-vasTA ST_1.92a
   jāto'yaṃ praṇatīr apāsya sutarām etad-didṛkṣur yathā ST_2.34ad	jAtaH-ayam praNatIH apAsya sutarAm etat--didRkzuH yaTA ST_2.34ad
   jāyate puṇya-kāriṇaḥ ST_1.49d	jAyate puNya--kAriNaH ST_1.49d
   jāyate sattva-saṃyutaḥ ST_3.9d	jAyate sattva--saMyutaH ST_3.9d
   jāyate sa laghur yathā ST_2.36d	jAyate sa laGuH yaTA ST_2.36d
   jāyate sukha-sādhyo'yaṃ ST_2.37c	jAyate suKa--sADyaH-ayam ST_2.37c
   jīrṇaṃ tārṇa-kuṭīrakaṃ nivasanaṃ talpīkṛtaṃ sthaṇḍile ST_2.31aa	jIrNam tArNa-kuwIrakam nivasanam talpIkRtam sTaNxile ST_2.31aa
   jīvāmīti mahīpate pralapati tvad-vairi-sīmantinī ST_3.5ad	jIvAmi-iti mahIpate pralapati tvad--vEri--sImantinI ST_3.5ad
   jugupsā-prakṛtir jñeyo ST_3.14a	jugupsA--prakRtiH jQeyaH ST_3.14a
   jugupsāvismaya-śamāḥ ST_1.10c	jugupsA-vismaya--SamAH ST_1.10c
   jñātavyāḥ sakalā imāḥ ST_1.93d	jQAtavyAH sakalAH imAH ST_1.93d
   jñātāparādha-ceṣṭaś ca ST_1.27c	jQAta-aparADa--cezwaH ca ST_1.27c
   jñātvākṛṣya ca tad-dhanam ST_1.67b	jQAtvA-AkRzya ca tad--Danam ST_1.67b
   jñeyaḥ pūrvānurāgo'yam aprāptau ca daśā yathā ST_2.2b	jQeyaH pUrva-anurAgaH-ayam aprAptO ca daSA yaTA ST_2.2b
   jñeyā budhaiḥ sārabhaṭīti vṛttiḥ ST_3.40d	jQeyA buDEH sAraBawI-iti vRttiH ST_3.40d
   jñeyāḥ pratirasaṃ sthitāḥ ST_3.37b	jQeyAH pratirasam sTitAH ST_3.37b
   jñeyo'sau dakṣiṇo yathā ST_1.26d	jQeyaH-asO dakziNaH yaTA ST_1.26d
   jvalitā tvat-kṛte tu yā ST_3.50b	jvalitA tu-at-kRte tu yA ST_3.50b
   jvālā-bhasmīkṛtaḥ purā ST_1.70b	jvAlA--BasmIkRtaH purA ST_1.70b
   tac chaṅke tava paṅkajākṣi balavān ko'py aprasādo mayi ST_1.44ad	tat SaFke tava paFkaja-akzi balavAn kaH-api aprasAdaH mayi ST_1.44ad
   tac chūnyaṃ suciraṃ niṣevya sudṛśā paścāc ca bhagnāśayā ST_1.78ab	tat SUnyam su-ciram nizevya su-dRSA paScAt ca Bagna-ASayA ST_1.78ab
   tataḥ saṃbhoga-līleti ST_2.20c	tatas saMBoga--lIlA-iti ST_2.20c
   tato dṛṣṭvā vivikte tām ST_2.26a	tatas dRzwvA vivikte tAm ST_2.26a
   tato bhṛśaṃ pulakita-gaṇḍa-maṇḍalāṃ ST_1.48ac	tatas BRSam pulakita--gaNxa--maNxalAm ST_1.48ac
   tat-kāvyam āropya padaṃ vidagdha- ST_2.70c	tat-kAvyam Aropya padam vidagDa ST_2.70c
   tat kiṃ yad viparītam atra na kṛtaṃ tasyā viyogena me ST_2.57bd	tat kim yat viparItam atra na kRtam tasyAH viyogena me ST_2.57bd
   tat-kūjitaṃ kim api yena tadīya-talpaṃ ST_1.22cc	tat--kUjitam kim api yena tadIya--talpam ST_1.22cc
   tat-kūjitāny anuvadadbhir aneka-vāraṃ ST_1.39dc	tat--kUjitAni anuvadadBiH aneka--vAram ST_1.39dc
   tat tat kiṃcid anuṣṭhitaṃ mṛgadṛśā no yatra vācāṃ gatiḥ ST_1.79ad	tat tat kiMcid anuzWitam mRga-dRSA naH yatra vAcAm gatiH ST_1.79ad
   tatrānayoḥ smarātaṅka- ST_2.3c	tatra-anayoH smara-AtaFka ST_2.3c
   tatrānyat-kāraṇaṃ bhavet ST_2.52d	tatra-anyat--kAraNam Bavet ST_2.52d
   tatretthaṃ nāyako daiva- ST_3.5c	tatra-itTam nAyakaH dEva ST_3.5c
   tat-sakhī kathayed yathā ST_1.60d	tat--saKI kaTayet yaTA ST_1.60d
   tat-saṅgamaḥ param apākurute smarāgnim ST_2.2ad	tat-saFgamaH param apAkurute smara-agnim ST_2.2ad
   tat satyaṃ kathayāli kiṃ sa subhagaḥ kupyen na mahyaṃ gata ST_2.12ac	tat satyam kaTayAli kim sa suBagaH kupyet na mahyam gata ST_2.12ac
   tat-samparkaṃ vivarjayet ST_3.20d	tat-samparkam vivarjayet ST_3.20d
   tatsāmeti nigadyate ST_2.44d	tad-sAma-iti nigadyate ST_2.44d
   tat syād udvega-dāyakam ST_1.8d	tat syAt udvega--dAyakam ST_1.8d
   tat-svarūpam idaṃ proktaṃ ST_1.63a	tat--svarUpam idam proktam ST_1.63a
   tathāpy ete yathā sthitāḥ ST_3.27d	taTA-api ete yaTA sTitAH ST_3.27d
   tathā prasaṅga-vidhvaṃso ST_2.42c	taTA prasaFga-viDvaMsaH ST_2.42c
   tathā maraṇam eva ca ST_1.13d	taTA maraNam eva ca ST_1.13d
   tathā vāsaka-sajjāpi ST_1.83c	taTA vAsaka-sajjA-api ST_1.83c
   tathā vāsaka-sajjikā ST_1.72b	taTA vAsaka-sajjikA ST_1.72b
   tathā vīra-bhayānakau ST_3.21b	taTA vIra--BayAnakO ST_3.21b
   tathā śaṅke'muṣyāḥ praṇayini darāsvādita-rasaṃ ST_1.35bc	taTA SaFke-amuzyAH praNayini darAsvAdita-rasam ST_1.35bc
   tad-anāgam asantaptā ST_1.79c	tad--anAgam asantaptA ST_1.79c
   tad-abhāve prayuñjīta ST_2.24c	tad--aBAve prayuQjIta ST_2.24c
   tad-avasthāṃ tu kāntāya ST_1.60c	tad--avasTAm tu kAntAya ST_1.60c
   tad itthaṃ guṇa-kīrtanam ST_2.10d	tat itTam guNa-kIrtanam ST_2.10d
   tad-ekāgraṃ ca mānasam ST_2.9b	tad--ekAgram ca mAnasam ST_2.9b
   tad eva pañca-bāṇasya ST_2.30c	tat eva paQca-bANasya ST_2.30c
   tad dadāti dviṣāṃ yudhi ST_3.44cb	tat dadAti dvizAm yuDi ST_3.44cb
   tad-dvāreṇa samākhyāta- ST_2.25a	tad--dvAreNa samAKyAta ST_2.25a
   tad bāḍhaṃ kriyate yad asya rucitaṃ cāṭūccakais tanyate ST_2.67cb	tat bAXam kriyate yat asya rucitam cAwu-uccakEH tanyate ST_2.67cb
   tad bhūyo'pi kadā saroruha-dṛśaḥ paśyāmi tasyā mukham ST_2.2bd	tat BUyas-api kadA saroruha-dRSaH paSyAmi tasyAH muKam ST_2.2bd
   tad-vaktraṃ hasitendu-maṇḍalam iti sphāraṃ tad-ālokitaṃ ST_2.10aa	tat--vaktram hasita-indu--maNxalam iti sPAram tat--Alokitam ST_2.10aa
   tadvad rase'pi rucirā ST_1.17c	tadvat rase-api rucirA ST_1.17c
   tad-vāso-darśane gotra- ST_2.34c	tad--vAsa-u-darSane gotra ST_2.34c
   tad-vyāpāro'thavā tāsāṃ ST_1.64c	tat--vyApAraH-aTavA tAsAm ST_1.64c
   tanūkṛta-tanur vyādhir ST_2.14c	tanUkRta-tanuH vyADiH ST_2.14c
   tanv-aṅgyāḥ kathitaḥ smareṇa guruṇā ko'py eṣa kaṣṭa-kramaḥ ST_2.14ad	tanu--aFgyAH kaTitaH smareNa guruNA kaH-api eza kazwa-kramaH ST_2.14ad
   tanvī mānam upekṣayaiva śanakair dhūrtena saṃmocitā ST_2.47ad	tanvI mAnam upekzayA-eva SanakEs DUrtena saMmocitA ST_2.47ad
   tanvyāḥ kuñcita-locanaṃ vijayate tat-karṇa-kaṇḍūyanam ST_1.56dd	tanvyAH kuQcita--locanam vijayate tat-karNa--kaNxUyanam ST_1.56dd
   tam eva durlabhaṃ kāntaṃ ST_1.50dc	tam eva durlaBam kAntam ST_1.50dc
   tamorāga-parikṣayāt ST_3.18d	tamaH-rAga--parikzayAt ST_3.18d
   tayor daśa daśā yathā ST_2.6d	tayoH daSa daSA yaTA ST_2.6d
   tayor bāḍhaṃ na duṣyati ST_3.23d	tayoH bAXam na duzyati ST_3.23d
   tayor bhaved asaṃprāptau ST_2.4c	tayoH Bavet asaMprAptO ST_2.4c
   tayoḥ kaiścin na badhyate ST_2.17d	tayoH kEScid na baDyate ST_2.17d
   tarat-tāraṃ cakṣuḥ kṣapayati munīnām api dṛśaḥ ST_1.39aa	tarat--tAram cakzuH kzapayati munInAm api dRSaH ST_1.39aa
   taryastriṃśac-carāḥ smṛtāḥ ST_3.26d	taryaH-triMSat--carAH smRtAH ST_3.26d
   tava kumudinīva vāñchati nṛ-candra bālā kara-spṛśam ST_1.53ab	tava kumudinI-iva vAQCati nR-candra bAlA kara--spRSam ST_1.53ab
   tava tu hṛdaye śīte'py evaṃ sadaiva sukhāptaye ST_2.67dc	tava tu hRdaye SIte-api evam sadA-eva suKa-Aptaye ST_2.67dc
   tasmāc chṛṅgāra evāyaṃ ST_2.64a	tasmAt SRFgAraH eva-ayam ST_2.64a
   tasmāt kṛtaṃ caraṇa-pāta-viḍambanābhiḥ ST_1.41cd	tasmAt kRtam caraNa-pAta--vixambanABiH ST_1.41cd
   tasmāt tāsām api kvāpi ST_1.65a	tasmAt tAsAm api kvApi ST_1.65a
   tasmād yatnena kartavyaṃ ST_1.8a	tasmAt yatnena kartavyam ST_1.8a
   tasmād veśyā viṣopamāḥ ST_1.71d	tasmAt veSyAH viza-upamAH ST_1.71d
   tasmān māna-prakāro'yaṃ ST_2.53c	tasmAt mAna-prakAraH-ayam ST_2.53c
   tasmin nādriyate ruṣā ST_1.44b	tasmin na-Adriyate ruzA ST_1.44b
   tasya syād darśanaṃ tridhā ST_1.51b	tasya syAt darSanam triDA ST_1.51b
   tasyā ity ādi nīrasam ST_3.51d	tasyAH iti Adi nIrasam ST_3.51d
   tasyāgre tat-kathāṃ kurvan ST_2.24a	tasya-agre tat-kaTAm kurvan ST_2.24a
   tasyānāgamane hetuṃ ST_1.75c	tasya-anAgamane hetum ST_1.75c
