   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   pṛthaṅnirdeśe ca saṃbandhibhedamātraṃ prativastūpamāvat,	pRTak-nirdeSe ca saMbanDi-Beda-mAtram prativastUpamAvat,
   bimbapratibimbabhāvo vā dṛṣṭāntavat /	bimba-pratibimba-BAvaH vA dRzwAnta-vat /
   krameṇodāharaṇam -	krameNa-udAharaNam -
   'praṅāmahatyā śikhayeva dīpastrimārgeva trividasya mārgaḥ /	apraFA-mahatyA SiKayA-iva dIpaH-tri-mArgA-iva tri-vidasya mArgaH /
   saṃskāravatyeva girā manīṣī tayā sa pūtaśca vibhūṣitaśca' //	saMskAravatI-eva girA manIzI tayA sa pUtaH-ca viBUzitaH-ca-a //
   'yāntyā muhurvalitakandharamānanaṃ tadāvṛttavṛntaśatapatranibhaṃ vahantyā	ayAntyA muhur-valita-kanDaram-Ananam tadA-vRtta-vRnta-Satapatra-niBam vahantyA
   digdho 'mṛtena ca viṣeṇa ca pakṣmalākṣyā gāḍhaṃ nikhāta iva me hṛdaye	digDaH amRtena ca vizeNa ca pakzmala-akzyAH gAXam niKAtaH iva me hRdaye
   kaṭākṣaḥ' //	kawAkzaH-a //
   atra valutatvāvṛttatve saṃbandhibhedādbhinne /	atra valuta-tva-AvRtta-tve saMbanDi-BedAt-Binne /
   dharmyabhiprāyeṇa tu bimbapratibimbatvameva /	DarmI-aBiprAyeNa tu bimba-pratibimba-tvam-eva /
   'pāṇḍyo 'yamaṃsārpitalambahāraḥ kḷtpāṅgarāgo haricindanena /	apANxyaH ayam-aMsa-arpita-lamba-hAraH k?t-pAFgarAgaH haricindanena /
   ābhāti bālātaparaktasānuḥ sanirjharodgara ivādrirājaḥ' //	ABAti bAla-Atapa-rakta-sAnuH sa-nirJara-udgaraH iva-adrirAjaH-a //
   atra hārāṅkarāgayornirjharabālātapau pratibimbatvena nirdiṣṭau /	atra hAra-aFka-rAgayoH-nirJara-bAla-AtapO pratibimba-tvena nirdizwO /
   START Sūtra 13:	START SUtra 13:
   ekasyaivopamānopameyatve 'nanvayaḥ // RuAss_13 //	ekasya-eva-upamAna-upameya-tve ananvayaH // RuAsH-_13 //
   vācyābhiprāyeṇa pūrvaṃrūpānugamaḥ /	vAcya-aBiprAyeNa pUrvaMrUpa-anugamaH /
   ekasya tu viruddhadharmasaṃsargo dvitīyasavrahyacārinivṛttyarthaḥ /	ekasya tu virudDa-Darma-saMsargaH dvitIya-sa-vrahya-cAri-nivRtti-arTaH /
   ata evānanvaya iti yogo 'pyatra saṃbhravati /	atas eva-ananvayaH iti yogaH api-atra saMBravati /
   yathā-	yaTA-
   'yuddhe 'rjuno 'rjuna iva prathitapratāpo bhīmo 'pi bhīma iva vairiṣu	ayudDe arjunaH arjunaH iva praTita-pratApaH BImaH api BImaH iva vErizu
   bhīmakarmā /	BIma-karmA /
   nyagrodhavartinamayādhipatiṃ kuruṇāmutprāsanārthamiva jagmaturādareṇa' //	nyagroDa-vartina-maya-aDipatim kuruNAm-utprAsana-arTam-iva jagmatuH-AdareNa-a //
   START Sūtra 14:	START SUtra 14:
   dvayoḥ paryāyeṇa tasminnupameyopamā // RuAss_14 //	dvayoH paryAyeNa tasmin=-upameya-upamAH // RuAsH-_14 //
   tacchabdenopamānopameyatvapratyavamarśaḥ /	tad-Sabdena-upamAna-upameya-tva-pratyavamarSaH /
   paryāyo yaugapadyābhāvaḥ /	paryAyaH yOgapadya-aBAvaH /
   ata evātra vākyabhedaḥ /	atas eva-atra vAkya-BedaH /
   iyaṃ ca dharmasya sādhāraṇye vastuprativastunirdeśe ca dvidhā /	iyam ca Darmasya sADAraNye vastu-prativastu-nirdeSe ca dviDA /
   ādye yathā-	Adye yaTA-
   'khamiva jalaṃ jalamiva khaṃ haṃsaścandra iva haṃsa iva candraḥ /	aKam-iva jalam jalam-iva Kam haMsaH-candraH iva haMsaH iva candraH /
   kumudākārāstārāstārākārāṇi kumudāni' //	kumuda-AkArAH-tArAH-tAra-AkArANi kumudAni-a //
   dvitīye yathā-	dvitIye yaTA-
   'sacchāyābhbhojavadanāḥ sacchāyavadanāmbujā /	asa=-CAyA-BBoja-vadanAH sa=-CAya-vadana-ambujA /
   vāpyo 'ṅganā ivābhānti yatra vāpya ivāṅganāḥ' //	vApyaH aFganAH iva-ABAnti yatra vApyaH iva-aFganAH-a //
   START Sūtra 15:	START SUtra 15:
   sadṛśānubhavād vastvantarasmṛtiḥ smaraṇam // RuAss_15 //	sadRSa-anuBavAt vastu-antara-smRtiH smaraNam // RuAsH-_15 //
   vastvantaraṃ sadṛśameva /	vastu-antaram sadRSam-eva /
   avinābhāvābhāvānnānumānam /	avinA-aBAva-aBAvAt-na-anumAnam /
   yathā-	yaTA-
   'atiśayitasurāsuraprābhāvaṃ śiśumavalokya tathaiva tulyarūpam /	aatiSayita-sura-asura-prABAvam SiSum-avalokya taTA-eva tulya-rUpam /
   kuśikasutamakhadviṣāṃ pramāthe dhṛtadhanuṣaṃ raghunandanaṃ smarāmi' //	kuSika-suta-maKa-dvizAm pramATe DRta-Danuzam raGunandanam smarAmi-a //
   sādṛśyaṃ vinā tu smṛtirnāyamalaṅkāraḥ /	sAdRSyam vinA tu smRtiH-na-ayam-alaFkAraH /
   yachā-	yaCA-
   'atrānugodaṃ mṛgayānivṛttastaraṅgavātena vinītakhedaḥ /	aatra-anugodam mRgayA-nivRttaH-taraFga-vAtena vinIta-KedaH /
   rahastvadutsaṅganiṣaṇṇāmūrdhā smarāmi vānīragṛheṣu sutpaḥ' //	rahaH-tvad-utsaFga-nizaNNa-amUrDA smarAmi vAnIra-gRhezu sutpaH-a //
   atra ca kartṛviśeṣaṇānāṃ smartavyadaśābhāvitve	atra ca kartR-viSezaNAnAm smartavya-daSA-BAvi-tve
   smatṛdaśābhāvitvamasamīcīnam /	sma-tRdaSa-aBAvi-tvam-asamI-cInam /
   preyolaṅkārasya tu sādṛśyavyatiriktanimittotthāpitā smṛtirviṣayaḥ /	preya-ulaFkArasya tu sAdRSya-vyatirikta-nimitta-utTApitA smRtiH-vizayaH /
   yathā	yaTA
   'aho kope 'pi kāntaṃ mukham' iti /	aaho kope api kAntam muKam-a iti /
   tatrāpi vibhāvādyāgūritatvena svaśabdamātrapratipādyātve yathā-	tatra-api viBAva-At-yAgUrita-tvena sva-Sabda-mAtra-pratipAdya-Atve yaTA-
   'atrānugādam' ityādi /	aatra-anugAdam-a ityAdi /
   'yairdṛṣṭo 'si tadā lalāṭapatitaprāsaprahāro yudhi	ayEH-dRzwaH asi tadA lalAwa-patita-prAsa-prahAraH yuDi
   sphītāsṛkstrutipāṭalīkṛtapurobhāgaḥ parān pātayan /	sPIta-asRk-struti-pAwalIkRta-puroBAgaH parAn pAtayan /
   teṣāṃ duḥsahakāmadehadahanaprodbhatanetrānala- jvālālībharabhāsvare	tezAm duHsaha-kAma-deha-dahana-prodBata-netra-anala jvAlAlI-Bara-BAsvare
   smaripāvastaṃ gataṃ kautukam' //	smari-pAvastam gatam kOtukam-a //
   ityādau sadṛśavastvantarānubhave 'śakyavastvantarakaraṇātmā	ityAdO sadRSa-vastu-antara-anuBave aSakya-vastu-antara-karaNa-AtmA
   viśeṣālaṅkāraḥ, kāraṇasya kriyāsāmānyātmano darśine 'pi saṃbhavāt /	viSeza-alaFkAraH, kAraNasya kriyA-sAmAni-a-AtmanaH darSine api saMBavAt /
   matāntare kāvyaliṅgametat /	mata-antare kAvya-liFgam-etat /
   tadete sādṛśyāśrayeṇa bhedābhedatulyatvenālaṅkārā nirṇītāḥ" /	tat-ete sAdRSya-ASrayeNa Beda-aBeda-tulya-tvena-alaFkArAH nirNItAH" /
   START Sūtra 16:	START SUtra 16:
   abhedaprādhānye ārope āropaviṣayānapahnave rūpakam // RuAss_16 //	aBeda-prADAnye Arope AropavizayAn-apahnave rUpakam // RuAsH-_16 //
   abhedasya prādhānyādbhedasya vastutaḥ sadbhāvaḥ /	aBedasya prADAnyAt-Bedasya vastutas sadBAvaH /
   anyatrānyāvāpa āropaḥ /	anyatra-anya-AvApaH AropaH /
   tasya viṣayaviṣayyavaṣṭabdhatvādviṣayasyāpahnave 'pahnutiḥ /	tasya vizaya-vizayi-avazwabDa-tvAt-vizayasya-apahnave apahnutiH /
   anyathā tu viṣayiṇā viṣayasya rūpavataḥ karaṇādrūpakam /	anyaTA tu vizayiNA vizayasya rUpavataH karaNAt-rUpakam /
   sādharmye tvanugatameva /	sADarmye tu-anugatam-eva /
   yadāhuḥ-	yat-AhuH-
   'upamaiva turobhūtabhedā rūpakamiṣyate' iti āropādabhede 'dhyavasāyaḥ	aupamA-eva turoBUta-BedAH rUpakam-izyate-a iti AropAda-Bede aDyavasAyaH
   prakṛṣyate iti paścāttanmūlālaṅkāravibhāgaḥ /	prakRzyate iti paScAt-tad-mUla-alaFkAra-viBAgaH /
   idaṃ tu niravayavaṃ sāvayavaṃ paramparitamiti trividham /	idam tu niravayavam sa-avayavam paramparitam-iti triviDam /
   ādyaṃ kevalaṃ māvārūpakañcate dvidhā /	Adyam kevalam mAvAru-upakaQcate dviDA /
   dvitīyaṃ samastavastuviṣayamekadeśavivarti ceti dvidhaiva /	dvitIyam samasta-vastu-vizayam-eka-deSa-vivarti ca-iti dviDA-eva /
   tṛtīyaṃ śliṣṭaśabdanibandhanatvena dvividhaṃ satpratyekaṃ	tRtIyam Slizwa-Sabda-nibanDana-tvena dviviDam sat-pratyekam
   kevalamālārūpakatvāccaturvidham /	kevala-mAlA-rUpaka-tvAt-caturviDam /
   tadevamaṣṭau rūpakabhedāḥ /	tat-evam-azwO rUpaka-BedAH /
   anye tū pratyekaṃ vākyoktasamāsoktādibhedāḥ saṃbhavanti te 'nyato	anye tU pratyekam vAkya-ukta-samAsa-ukta-Adi-BedAH saMBavanti te anyatas-
   draṣṭavyāḥ /	drazwavyAH /
   krameṇa yathā-	krameNa yaTA-
   'dāse kṛtāgāsi bhavatyucitaḥ prabhūṇāṃ pādaprahāra iti sundari nāsmi dūye	adAse kRta-AgAsi Bavati-ucitaH praBUNAm pAda-prahAraH iti sundari na-asmi dUye
   udyatkaṭhorapulakāṅkurakaṇṭakāgrair- yatkhidyate tava padaṃ nanu sā vyathā	udyat-kaWora-pulakA-aFkura-kaNwaka-agrEr yat-Kidyate tava padam nanu sA vyaTA
   me' //	me-a //
   'pīyūṣaprasṛtirnavā makhabhujāṃ dātraṃ tamolūnaye	apI-yUza-prasRtiH-navA maKa-BujAm dAtram tamaH-lUnaye
   svargaṅgāvimanaskakokavadanastrastā mṛṇālīlate /	svargaFga-avimanaska-koka-vadanaH-trastA mRNAlI-late /
   dvirbhāvaḥ smarakārmukasya kimapi prāṇeśvarīsāgasā- māśātanturudañcati	dvirBAvaH smara-kArmukasya kim-api prANeSvarI-sAgasA mASAtantuH-udaQcati
   pratipadi prāleyabhānostanuḥ' //	pratipadi prAleya-BAnoH-tanuH-a //
   'vistāraśālini nabhastalapattrapātre kundojjvalaprabha-bha	avistAra-SAlini naBastala-pattra-pAtre kunda-ujjvala-praBa-Ba
   saṃcayabhūribhaktam /	saMcaya-BUri-Baktam /
   gaṅgātaraṅgaghanamāhiṣadugdhadigdhaṃ jagdhaṃ mayā narapate kalikālakarṇa'	gaFgA-taraFga-Gana-mAhiza-dugDa-digDam jagDam mayA narapate kali-kAlakarNa-a
   'ābhāti te kṣitibhṛtaḥ kṣaṇadāprabheyaṃ nistriṃśamāṃsalatamālavanāntalekhā	aABAti te kzitiBRtaH kzaNadA-praBA-iyam nistriMSa-mAMsala-tamAla-vana-anta-leKA
   indutviṣo yudhi haṭhena tavārikīrtī- rānīya yatra ramate taruṇaḥ pratāpaḥ'	indu-tvizaH yuDi haWena tava-ari-kIrtI rAnIya yatra ramate taruNaH pratApaH-a
   kṣitibhṛta ityatra śliṣṭaṃ padam /	kzitiBRtaH iti-atra Slizwam padam /
   paramparitam-	paramparitam-
   'kiṃ padmamya ruciṃ na hanti nayanānandaṃ vidhatte na vā vṛddhiṃ vā	akim padmamya rucim na hanti nayana-Anandam viDatte na vA vRdDim vA
   jhaṣaketanasya kurute nālokamātreṇa kim /	Jaza-ketanasya kurute na-Aloka-mAtreNa kim /
   vaktrendau tava satyayaṃ yadaparaḥ śītāṃśurabhyudgato darpaḥ syādamṛtena	vaktra-indO tava sati-ayam yat-aparaH SItAMSuH-aByudgataH darpaH syAt-amRtena
   cidiha tadapyastyeva bimbādhare' //	cit-iha tat-api-asti-eva bimba-aDare-a //
   atra vaktrendurūpaṇahetukamadharāmṛtasya pīyūṣeṇa śliṣṭaśabdaṃ rūpaṇam /	atra vaktra-indu-rUpaNa-hetukam-aDara-amRtasya pIyUzeNa Slizwa-Sabdam rUpaNam /
   'vidvanmānasahaṃsa vairikamasāsaṃkocadītpadyute durgāmārgaṇanīlalohita	avidvat-mAnasa-haMsa vEri-kamasA-saMkoca-dIt-padyute durgA-mArgaNa-nIlalohita
   samitsvīkāravaiśvānara /	samiD-svIkAra-vESvAnara /
   satyaprītividhānadakṣa vijayaprāgbhāvabhīma prabho sāmrājyaṃ varavīra	satya-prIti-viDAna-dakza vijaya-prAgBAva-BIma praBo sAmrAjyam vara-vIra
   vatsaraśataṃ vairiñcamuccaiḥ kriyāḥ' //	vatsara-Satam vEriQcam-uccEs kriyAH-a //
   atra tvameva haṃsa ityāropaṇapūrvako mānasameva mānasamityādyāropa iti	atra tvam-eva haMsaH iti-AropaNa-pUrvakaH mAnasam-eva mAnasam-iti-Adi-AropaH iti
   śliṣṭaśabdaṃ mālāparamparitam /	Slizwa-Sabdam mAlA-paramparitam /
   'yāmi manovākkāyaiḥ śaraṇaṃ karuṇātmakaṃ jagannākhatham /	ayAmi manaH-vAc-kAyEH SaraNam karuNa-Atmakam jaganna-AKaTam /
   janmajarāmaraṇārṇavataraṇataraṇḍaṃ harāṅghriyugam' //	janma-jarA-maraNa-arNava-taraNa-taraNxam hara-aFGri-yugam-a //
   'paryaṅko rājalakṣmyā haritamaṇimayaḥ pauruṣābdhestaraṅgo	aparyaFkaH rAja-lakzmyA harita-maNi-mayaH pOruza-abDeH-taraFgaH-
   bhragnapratyarthivaṃśolvaṇavijayakaristyāmadānāmbupaṭṭaḥ /	Bragna-pratyarTi-vaMSa-ulvaNa-vijaya-kariH-tyAma-dAna-ambu-pawwaH /
   saṅgrāmatrāsatāmyanmuralapatiyaśohaṃsanīlāmbuvāhaḥ khaṅgaḥ kṣmāsauvidallaḥ	saFgrAma-trAsa-tAmyat-muralapati-yaSaH-haMsa-nIlA-ambuvAhaH KaFgaH kzmA-sOvidallaH
   samiti vijayate mālavākhaṇḍalasya' //	samiti vijayate mAlava-AKaNxalasya-a //
   atra kṣmāsauvidalla iti paramparitamapyekadeśavivarti /	atra kzmA-sOvidallaH iti paramparitam-api-eka-deSa-vivarti /
   evamādayo 'nye 'pi bhedā leśataḥ sūcitā eva /	evamAdayaH anye api BedAH leSataH sUcitAH eva /
   idaṃ vaidharmyeṇāpi dṛśyate /	idam vEDarmyeNa-api dRSyate /
   yathā-	yaTA-
   'saujanyāmbumarusthalī sucaritālekhyadyubhittirguṇa- jyotsnākṛṣṇacaturdaśī	asOjanya-ambu-maru-sTalI su-carita-AleKya-dyuBittiH-guNa jyotsnA-kRzNa-caturdaSI
   saralatayogaśvapucchacchaṭā /	saralata-yoga-Sva-pucCa=-CawA /
   yaireṣāpi durāśayā kaliyuge rājāvalī sevitā teṣāṃ śūlini	yEH-ezA-api durASayA kali-yuge rAja-AvalI sevitA tezAm SUlini
   bhaktimātrasulabhe sevā kiyatkauśalam' //	Bakti-mAtra-sulaBe sevA kiyat-kOSalam-a //
   atra cāropyamāṇasya dharmitvādāviṣṭaliṅgasaṃkhyātve 'pi kvacitsvato	atra ca-AropyamANasya Darmi-tvAt-Avizwa-liFga-saMKyA-tve api kvacid-svataH-
   'saṃbhavatsaṃkhyāyogasyāpi viṣayasaṃkhyātvam pratyekamāropāt /	asaMBavat-saMKyA-yogasya-api vizaya-saMKyA-tvam pratyekam-AropAt /
   yathā - 'kvacijjaṭāvalkalāvalambinaḥ kapolā dāvāgrayaḥ' ityādau /	yaTA  akvacit-jawA-valkala-avalambinaH kapolAH dAva-agrayaH-a ityAdO /
   na hi kapilamunerbahutvam /	na hi kapila-muneH-bahu-tvam /
   'bhramimaratimalasahṛdayatāṃ pralayaṃ mūrcche tamaḥ śarīrasādam /	aBramim-arati-mala-sahRdaya-tAm pralayam mUrcCe tamaH SarIra-sAdam /
   maraṇaṃ ca jaladabhujagajaṃ prasahya kurute viṣaṃ viyoginīnām' //	maraNam ca jalada-Bujaga-jam prasahya kurute vizam viyoginInAm-a //
   ityatra niyatasaṃkhyākakāryaviśeṣotthāpito garalārthaprabhāvito viṣaśabde	iti-atra niyata-saMKyAka-kArya-viSeza-utTApitaH garala-arTa-praBAvitaH viza-Sabde
   śleṣa eva /	SlezaH eva /
   jaladabhujagajamiti rūpakasādhakamiti pūrve siddhatvābhāvānna	jalada-Bujaga-jam-iti rUpaka-sADakam-iti pUrve sidDa-tva-aBAvAt-na
   tannicanvanaṃ viṣaśabde śliṣṭaśabdaṃ paramparitamiti śleṣa evātretyāhuḥ /	tad-nicanvanam viza-Sabde Slizwa-Sabdam paramparitam-iti SlezaH eva-atra-iti-AhuH /
   START Sūtra 17:	START SUtra 17:
   āropyamāṇasya prakṛtopayogitve pariṇāmaḥ // RuAss_17 //	AropyamANasya prakRta-upayogi-tve pariNAmaH // RuAsH-_17 //
   āropyamāṇaṃ rūpake prakṛtopayogitvābhāvātprakṛtoparañjakatvenaiva	AropyamANam rUpake prakRta-upayogi-tva-aBAvAt-prakRta-uparaQjaka-tvena-eva
   kevalenānvayaṃ bhajate pariṇāme tu prakṛtātmatayā āropyamāṇasyopayoga iti	kevalena-anvayam Bajate pariNAme tu prakRta-Atma-tayA AropyamANasya-upayogaH iti
   prakṛtamāropyamāṇarūpatvena pariṇamiti /	prakRtam-AropyamANa-rUpa-tvena pariNam-iti /
   āgamānugamavigamakhyātyabhāvātsāṃkhyīyapariṇāmavaisakṣaṇyam /	Agama-anugama-vigama-KyAti-aBAvAt-sAMKyIya-pariNAma-vEsakzaNyam /
   tasya sāmānādhikaraṇyavaiyadhikaraṇyaprayogād dvaividhyam /	tasya sAmAnADikaraNya-vEyaDi-karaNya-prayogAt dvEviDyam /
   ādyo yathā-	AdyaH yaTA-
   'tīrvā bhūteśamaulistrajamamaradhunīmātmanāsau tṛtīya- stasmai	atIrvA BUteSa-mOli-stra-jam-amara-DunIm-AtmanA-asO tRtIya stasmE
   saumitrimaitrīmayamupahṛtavānātaraṃ nāvikāya /	sOmitri-mEtrI-mayam-upahRtavAn-Ataram nAvikAya /
   vyāmagrāhyastanībhiḥ śabarayuvatibhiḥ kautukodañcadakṣaṃ	vyAma-grAhya-stanIBiH Sabara-yuvatiBiH kOtuka-udaQca-dakzam
   kṛcchrādanvīyamānastvaritamaya giriṃ citrakūṭaṃ pratasthe' //	kRcCrAt-anvIyamAnaH-tvarita-maya girim citrakUwam pratasTe-a //
   atra saumittrimaittrī prakṛtā āropyamāṇasamānādhikaraṇātararūpatvena	atra sOmittri-mEttrI prakRtAH AropyamANa-samAna-aDikaraNa-atara-rUpa-tvena
   pariṇatā /	pariNatA /
   ātarasya maittrīrūpatayā prakṛte upayogāt /	Atarasya mEttrI-rUpa-tayA prakRte upayogAt /
   tadatra yathā samāsoktāvāronyamāṇaṃ prakṛtopayogi taccāropaviṣayātmatayā	tat-atra yaTA samAsa-uktO=-AronyamANam prakRta-upayogi tad-cAra-upavizaya-Atma-tayA
   tatra sthitam, ata eva tatra tadvyavahārasamāropaḥ evamihāpi jñeyam,	tatra sTitam, atas eva tatra tad-vyavahAra-samAropaH evam-iha-api jQeyam,
   kevalaṃ tatra viṣayasyaiva prayogaḥ, viṣayiṇo gamyamānatvāt /	kevalam tatra vizayasya-eva prayogaH, vizayiNaH gamyamAna-tvAt /
   iha tu dvayorapyabhidhānam, tādātmyāt tu tayoḥ pariṇāmitvam /	iha tu dvayoH-api-aBiDAnam, tAdAtmyAt tu tayoH pariNAmi-tvam /
   dvitīyo yathā-	dvitIyaH yaTA-
   'atha paktrimatāmupeyivadbhiḥ sarasairvakrapathāśritairvacobhiḥ /	aaTa paktrimatAm-upeyivadBiH sarasEH-vakra-paTa-ASritEH-vacoBiH /
   kṣitibharturupāyānaṃ cakāra prathamaṃ tatparatasturaṅgamādyaiḥ' //	kziti-BartuH-upAyAnam cakAra praTamam tad-paratas-turaFgam-AdyEH-a //
   rājasaṃghaṭane tūpāyanamucitam /	rAja-saMGawane tu-upAyanam-ucitam /
   taccātra vacorūpamiti vacasāṃ vyadhikaraṇopāyanarūpatvena pariṇāmaḥ /	tat-ca-atra vacaH-rUpam-iti vacasAm vyaDikaraNa-upAyana-rUpa-tvena pariNAmaH /
   START Sūtra 18:	START SUtra 18:
   viṣayasya saṃdihyamānatve saṃdehaḥ // RuAss_18 //	vizayasya saMdihyamAna-tve saMdehaH // RuAsH-_18 //
   'abhedaprādhānye āropa ityeva /	aaBeda-prADAnye AropaH iti-eva /
   viṣayaḥ prakṛto 'rtaḥ, yadbhittitvenāprakṛtaḥ saṃdihyate /	vizayaH prakRtaH artaH, yat-Bitti-tvena-aprakRtaH saMdihyate /
   aprakṛte saṃdehe viṣayo 'pi saṃdihyata eva /	aprakRte saMdehe vizayaH api saMdihyate eva /
   tena prakṛtāprakṛtagatatvena kavipratibhotthāpite saṃdehe saṃdehālaṅkāraḥ'	tena prakRta-aprakRta-gata-tvena kavi-pratiBA-utTApite saMdehe saMdeha-alaFkAraH-a
   sa ca trividhaḥ /	sa ca triviDaH /
   śuddho niścayagarbho niścayāntaśca /	SudDaH niScaya-garBaH niScaya-antar-ca /
   śuddho yatra saṃśaya eva paryavasānam /	SudDaH yatra saMSayaH eva paryavasAnam /
   yathā-	yaTA-
   'kiṃ tāruṇyataroriyaṃ rasabharodbhinnā navā vallarī līlāprocchalitasya kiṃ	akim tAruNyataroH-iyam rasa-Bara-udBinnA navA vallarI lIlA-procCalitasya kim
   laharikā lāvaṇyavārāṃnidheḥ /	laharikA lAvaNya-vArAMniDeH /
   udgāḍhotkalikāvatāṃ svasamayopanyāsavistrambhiṇaḥ kiṃ	udgAXa-utkalikAvatAm sva-samaya-upanyAsa-vistramBiNaH kim
   sākṣādupadeśayaṣṭirathavā devasya śṛṅgāriṇaḥ' //	sAkzAt-upadeSa-yazwiH-aTavA devasya SRFgAriNaH-a //
   niścayagarbho yaḥ saṃśayopakramo niścayamadhyaḥ saṃśayāntaśca /	niScaya-garBaH yaH saMSaya-upakramaH niScaya-maDyaH saMSaya-antaH-ca /
   sa yathā--	sa yaTA--
   'ayaṃ mārtaṇḍaḥ kiṃ sa khalu turagaiḥ satpabhiritaḥ kṛśānuḥ kiṃ	aayam mArtaNxaH kim sa Kalu turagEH sat-paBiH-itaH kRSAnuH kim
   sākṣātprasarati diśo naiṣa niyatam /	sAkzAt-prasarati diSaH na-eza niyatam /
   kṛtāntaḥ kiṃ sākṣānmahiṣavahano 'sāviti cirāt samalokyājau tvāṃ vidadhati	kRtAntaH kim sAkzAt-mahiza-vahanaH asO=-iti cirAt sama-lokya-AjO tvAm vidaDati
   vikalpānpratibhaṭāḥ' //	vikalpAn-pratiBawAH-a //
   niścayānto yatra saṃśaya upakramo niścaye paryavasānam /	niScaya-antaH yatra saMSayaH upakramaH niScaye paryavasAnam /
   yathā--	yaTA--
   'induḥ kiṃ kva kalaṅkaḥ sarasijametatkimambu kutra gatam /	ainduH kim kva kalaFkaH sarasijam-etat-kim-ambu kutra gatam /
   lalitasavilāsavacanairmukhamiti hariṇākṣi niścitaṃ parataḥ' //	lalita-sa-vilAsa-vacanEH-muKam-iti hariNa-akzi niScitam parataH-a //
   kacitāropyamāṇānāṃ bhinnāśrayatvena dṛśyate /	kacita-AropyamANAnAm Binna-ASraya-tvena dRSyate /
   yathā--	yaTA--
   'rañjitā nu vividhāstaruśailā nāmitaṃ tu gaganaṃ mthagitaṃ nu /	araQjitAH nu viviDAH-taru-SElAH nAmitam tu gaganam mTagitam nu /
   pūritā nu viṣameṣu dharitrī saṃhṛtā nu kakubhastimireṇa' //	pUritA nu vizamezu DaritrI saMhRtA nu kakuBaH-timireNa-a //
   atrāropaviṣaye timire rāgādi tarvādibhinnāśrayatvenāropitam /	atra-Aropavizaye timire rAga-Adi tarva-Adi-Binna-ASraya-tvena-Aropitam /
   kecittvadhyavasāyāśrayatvena saṃdehaprakāramāhuḥ /	kecid-tvaDyavasAya-ASraya-tvena saMdeha-prakAram-AhuH /
   anye tu nuśabdasya saṃbhāvanādyotatvādutprekṣāprakāramimamācakṣate /	anye tu nu-Sabdasya saMBAvanA-Adyota-tvAt-utprekzA-prakAram-imam-Acakzate /
   START Sūtra 19:	START SUtra 19:
   sādṛśyād vastvantarapratītirbhrāntimān // RuAss_19 //	sAdRSyAt vastu-antara-pratItiH-BrAntimAn // RuAsH-_19 //
   asamyagjñānatvasādharmyātsaṃdehānantaramasya lakṣaṇam /	asamyak-jQAna-tva-sADarmyAt-saMdeha-anantaram-asya lakzaNam /
   bhrāntiścittadharmaḥ /	BrAntiH-citta-DarmaH /
   sa vidyate yasminbhaṇitiprakāre sa bhrāntimān /	sa vidyate yasmin-BaNiti-prakAre sa BrAntimAn /
   sādṛśyaprayuktā ca bhrāntirasya viṣayaḥ /	sAdRSya-prayuktA ca BrAntiH-asya vizayaH /
   yathā-	yaTA-
   'oṣṭhe bimbaphalāśayālamalakeṣūtpākajambūdhiyā karṇolaṅkṛtibhāji	aozWe bimba-Pala-ASaya-Ala-malakezu-utpAka-jambUDiyA karNa-ulaFkRti-BAji
   dāḍimaphalabhrāntyā ca śoṇe bhaṇau /	dAxima-Pala-BrAntyA ca SoNe BaNO /
   niṣpattyā sakṛdutpalacchadadṛśāmāttaklamānāṃ marau	nizpattyA sakRt-utpala=-Cada-dRSAm-Atta-klamAnAm marO
   rājangṛrjararājapañjaraśukaiḥ sadyastṛṣā mūrcchitam' //	rAjan-gRrjara-rAja-paQjara-SukEH sadyas-tRzA mUrcCitam-a //
   gāḍhamarmaprahārādinā tu bhrāntirnāsyālaṅkārasya viṣayaḥ /	gAXa-marma-prahAra-AdinA tu BrAntiH-na-asya-alaFkArasya vizayaH /
   yathā--	yaTA--
   'dāmodarāghātacūrṇitāśeṣavakṣasā /	adAmodara-AGAta-cUrNita-aSeza-vakzasA /
   dṛṣṭaṃ cāṇūramallena śatacandraṃ nabhastalam' //	dRzwam cANUra-mallena Sata-candram naBaH-talam-a //
   sādṛśyahetukāpi bhrāntirvicchittyarthe kavipratibhotthāpitaiva	sAdRSya-hetukA-api BrAntiH-vicCitti-arTe kavi-pratiBA-utTApitA-eva
   gṛhyate,yathodāhṛtam, na svarasotthāpitā śuktikārajatavat /	gRhyate,-yaTA-udAhRtam, na svarasa-utTApitA SuktikAra-jata-vat /
   evaṃ sthāṇurvā syātpuruṣo vā syāditi saṃśaye 'pi boddhavyam /	evam sTANuH-vA syAt-puruzaH vA syAt-iti saMSaye api bodDavyam /
   START Sūtra 20:	START SUtra 20:
   ekasyāpi nimittavaśādanekadhā grahaṇamullekhaḥ // RuAss_20 //	ekasya-api nimitta-vaSAt-anekaDA grahaNam-ulleKaH // RuAsH-_20 //
   yatraikaṃ vastvanekadhā gṛhyate sa rūpabāhulyollekhanādullekhaḥ /	yatra-ekam vastu-anekaDA gRhyate sa rUpa-bAhulya-ulleKanAt-ulleKaH /
   na cedaṃ nirnimittamullekhamātram, api tu	na ca-idam nirnimittam-ulleKa-mAtram, api tu
