   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   eteneti // tamobhinnarūpavatsākṣātkāra evālokāpekṣeti kathanena/ tathā	etena iti // tamaH Binna rUpa vat sAkzAtkAraH eva Aloka apekzA iti kaTanena/ taTA
   tejovirodhipratyakṣatvenaiva tejonapekṣeti kathanenetyarthaḥ/ tadeva	tejaH viroDi pratyakza tvena eva tejonapekzA iti kaTanena iti arTaH/ tat eva
   vyanakti    uktarītyeti// rūpagrahaṇānyathānupapattireva kalpiketyata	vyanakti   ukta rItyA iti// rUpa grahaNAni aTa anupapattiH eva kalpikA ityata
   āha   dharmīti // rūpajñānaṃ karaṇasādhyaṃ kāryatvāditi mānenetyarthaḥ//	Aha  DarmI iti // rUpa jQAnam karaNa sADyam kArya tvAt iti mAnena iti arTaH//
   evaṃ tarkaparāhatyādidoṣanirāsena rūpavatvādityuktahetuṃ samarthyedānīṃ	evam tarka parAhati Adi doza nirAsena rUpava tvAt iti ukta hetum samarTya idAnIm
   kriyāśrayatvādityuktahetumapi	kriyA ASraya tvAt iti ukta hetum api
   śaśadharādyuktabādhakoktimukhenāsiddhimāśaṅkya	SaSaDara Adi ukta bADaka ukti muKena asidDim ASaFkya
   sādhayati     na ca chāyāmiti //	sADayati    na ca CAyAm iti //
   1.nape   naṃ.	1.nape  naM.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   120.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  120.
   na ca chāyā 1 yāṃ gateḥ svabhāvāvakatve	na ca CAyA 1 yAm gateH svaBAva avaka tve
   āvarakachatrādidravyānuvidhānānupapattiḥ/ sthāṇāvacale 'pi 2 tacchāyāyāṃ	Avaraka Catra Adi dravya anuviDAna anupapattiH/ sTANO= acale api 2 tad CAyAyAm
   gatidarśanāt / maṇyādyanuvidhāyimaṇyādiprabhāvadupapatteśca/ rūpādidhīsti	gati darSanAt / maNi Adi anuviDAyimaNyAdi praBAvat upapatteH ca/ rUpa Adi DIsti
   prabhāyāmiva tamasyapyabādhitā //	praBAyAm iva tamasi api abADitAH //
   na ca tamasaḥ kriyāvatve kriyāvataḥ pratyakṣasya	na ca tamasaH kriyAva tve kriyAvataH pratyakzasya
   sparśavatvaniyamātsparśavatvaṃ syāditi vācyam / vipakṣe bādhakābhāvena	sparSavatu aniyamAt sparSava tvam syAt iti vAcyam / vipakze bADaka aBAvena
   sparśavato 'pi vāyornīrūpatvavatkriyāvato ' 4 pyasya niḥsparśatvopapatteḥ	sparSavataH api vAyoH nIrUpa tva vat kriyAvataH a 4 pyasya niHsparSa tva upapatteH
   / ālokādāviva sparśasyānudbhūtatvenānupalambhasambhaveneṣṭāpatteśca//	/ Aloka AdO= iva sparSasya anudBUta tvena anupalamBa samBavena izwa ApatteH ca//
   gatidarśanāditi // sūryādigatyanurodheneti bhāvaḥ/ 5 prāmāṇyādibhāvāditi	gati darSanAt iti // sUrya Adi gati anuroDena iti BAvaH/ 5 prAmANya Adi BAvAt iti
   // prabhāva 6 ttanmate dravyameveti bhāvaḥ//	// praBAva 6 ttad mate dravyam eva iti BAvaH//
   nanu śaśadharādau kuḍyādyapasaraṇāvaśādanyatrāpi	nanu SaSaDara AdO kuxya Adi apasaraNa avaSAt anyatra api
   prabhācalanopalambhāttadanuvidhāyitvaṃ tatrāsiddhamutyuktamiti cenna /	praBA calana upalamBAt tad anuviDAyi tvam tatra asidDam uti uktam iti ced na /
   chāyāyāmapi tadanuvidhānābhāvasyoktatvāditi bhāvaḥ//	CAyAyAm api tad anuviDAna aBAvasya ukta tvAt iti BAvaH//
   nanu    prabhāyāmanyānuvidhāyigatitve 'pi tatra	nanu   praBAyAm anya anuviDAyi gati tve api tatra
   rūpatvādyanyathāsiddhamānāvagagataṃ dravyatvamityata āha    rūpāditi //	rUpa tva Adi anyaTA sidDa mAna avaga gatam dravya tvam iti atas Aha   rUpAt iti //
   abādhiteti // na nīlaṃ 7 tama iti kadāpyapratīteryauktibādhakasya ca	abADitA iti // na nIlam 7 tamaH iti kadApi apratIteH yOkti bADakasya ca
   nirasya 8 tvāditi bhāvaḥ/ bādhakāntaragamāśaṅkya dvedhā nirāha    na ca	nirasya 8 tvAt iti BAvaH/ bADaka antara gamASaFkya dveDA nirAha   na ca
   tama 9 ityādinā//	tamaH 9 ityAdinA//
   1.yāga    naṃ. vāyā ga  ka. 2.tat iti nāsti naṃ. 3.kṣasparśa naṃ.ka.ja.	1.yAga   naM. vAyAH ga  ka. 2.tat iti na asti naM. 3.kza sparSa naM.ka.ja.
   4.pyasparśavatvo ka. pyasyāsparśa ja. 5.'maṇyādiprabhāvaditi' ityasti  u.	4.pi asparSavatvaH ka. pyasya asparSa  ja. 5. amaNya Adi praBAvat iti a iti asti  u.
   6.ca tvanma  u. 7.'nanu' ityārabhya etāvannāsti u. 8.statvā u. 9.masa i u.	6.ca tvad ma  u. 7. ananu a iti AraBya etAvat na asti u. 8.H tatvA u. 9.masa  i u.
   taso dratva sānam) śaktivādaḥ pu   121.	tasaH  dra tva  sAnam) SaktivAdaH pu  121.
   na ca	na ca
   sparśasamānādhikaraṇadravyatvasākṣādvayyāpyajāterudbhūdasparśasāmānādhikaraṇyaniyamānnaivam	sparSa samAna aDikaraNa dravya tva sAkzA t vayyA api ajAteH udBUt a sparSa sAmAna aDikaraNya niyamAt na evam
   iti vācyam / vipakṣe bādhakābhāvāt //	iti vAcyam / vipakze bADaka aBAvAt //
   bhogaviśeṣasaṃpādanārthaṃ hi sparśodbhavaḥ, na cāsmadādibhiḥ prakṛte	Boga viSeza saMpAdana arTam hi sparSa udBavaH, na ca asmad AdiBiH prakRte
   bhogāviśeṣasaṃpādana 1 prayojanakatvaṃ nirṇītuṃ śakyayam / purāṇeṣu	Boga aviSeza saMpAdana 1 prayojanaka tvam nirNItum Sakyayam / purANezu
   tamasaḥ kāṭhinyoktyodbhūtasparśasyāpīṣṭatvācca//	tamasaH kAWinya uktyA udBUta sparSasya api izwa tvAt ca//
   yattu chāyāyāḥ tejovirodhidravyatve prabhā'śraye ratnaviśeṣe 2 chāyā	yat tu CAyAyAH tejaH viroDi dravya tve praBA aSraye ratna viSeze 2 CAyA
   nopalabhyeteti codyaṃ, tadālokābhāvatve 'pi samam / tatrāloka 3 sya	na upalaByeta iti codyaM, tad Aloka aBAva tve api samam / tatra AlokaH 3 sya
   viralatvādvā'varaṇīyatejo 'nyatarābhāvasya chāyātvādvā chāyā 4	virala tvAt vA avaraNIya tejaH anyatara aBAvasya CAyA tvAt vA CAyA 4
   tvopapattiriti samādhānaṃ ca bhāvavatve 'pi samam//	tvA upapattiH iti samADAnam ca BAvava tve api samam//
   iṣṭāpatteścetyayuktamityāśaṅkya dvedhā samādhimāha    na ca sparśetyādinā	izwa ApatteH ca iti ayuktam iti ASaFkya dveDA samADim Aha   na ca sparSa ityAdinA
   // niyamāditi //	// niyamAt iti //
   pṛthivītvajalatvādijātestathādarśanāttamaso dravyatvapakṣe tamastvasya	pRTivI tva jala tva Adi jAteH taTA adarSanAt tamasaH dravya tva pakze tamaH tu asya
   pṛthivītvāderiva	pRTivI tva AdeH iva
   dravyatvasākṣāvdyāpyajātitvāpatyodbhūtasparśasāmānādhikaraṇyaṃ	dravya tva sAkzO= dyApya jAti tva apatya udBUta sparSa sAmAnADikaraNyam
   syādevetyarthaḥ/ prabhādāvavyabhicārāya sākṣāvdyāpyāpyajāterityuktam /	syAt eva iti arTaH/ praBA dO= avyaBicArAya sAkzOvdyApya api ajAteH iti uktam /
   prabhātvāderdratvavyāpyatejastvavyāpyatvāt / vipakṣa iti //	praBA tvAdeH dra tva vyApya tejaH tu avyApya tvAt / vipakzaH iti //
   uktarūpajāterapi tādṛśasparśasāmānādhikaraṇyābhāva ityarthaḥ//	ukta rUpa jAteH api tAdRSa sparSa sAmAna aDikaraNyA BAvaH iti arTaH//
   tameva vyanakti    bhogeti // sparśodbhavaḥ sparśasyodbhūtatvamityarthaḥ/	tam eva vyanakti   Boga iti // sparSa udBavaH sparSasya udBUta tvam iti arTaH/
   prayojakatvamiti // tamaḥsparśasyetyarthaḥ/ purāṣeṣviti //	prayojaka tvam iti // tamaH sparSasya iti arTaH/ purAzezu iti //
   tamassughoramityādiprāguktavacaneṣvityarthaḥ//	tamassu Goram iti Adi prAc ukta vacanezu iti arTaH//
   tamaḥ tejovirodhidravyamevāstu iti pakṣe bādhakamāśaṅkya nirāha   yatviti	tamaH tejaH viroDi dravyam eva astu iti pakze bADakam ASaFkya nirAha  yatu iti
   1. nena prayojanavatvaṃ  rā. 2.ṣacchāyā naṃ. 3.syāvi naṃ.	1. nena prayojanava tvam  rA. 2.zat CAyA naM. 3.syAvi naM.
   4.yopa rā.ka.ga.ja.	4.yA upa rA.ka.ga.ja.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   122.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  122.
   yattu   1 vardhamānādibhiruktaṃ prauḍhālokamadhye sarvato ghanatarāvaraṇe	yat tu  1 varDamAna AdiBiH uktam prOXa Aloka maDye sarvatas Ganatara AvaraNe
   chāyā na syāt,	CAyA na syAt ,
   tejovirodhena tatra tamo 'vayavānāṃ pūrvamanavasthānāt / sarvata 2	tejaH viroDena tatra tamaH avayavAnAm pUrvam anavasTAnAt / sarvatas 2
   stejaḥsaṃkule 'nyato 'pi tadāgamanā 3 saṃbhavāditi / tanna/ pihita 4	stejaH saMkule anyatas api tad AgamanA 3 saMBavAt iti / tat na/ pihita 4
   pradīpapāgamanāntaraṃ prāsādavyāpyālokamaṇḍaladāraṇānantaraṃ chāyā	pradIpa pAgamana antaram prAsAda vyApya Aloka maNxala dAraNa anantaram CAyA
   dīpanāśānantaramandhakārasya cārambhasaṃbhavāt //	dIpa nASa anantaram anDakArasya ca AramBa saMBavAt //
   nanu    tama ālokābhāvo na cedālokābhāvāviṣayabuddhyaviṣayo na syāditi	nanu   tamaH Aloka aBAvaH na ced Aloka aBAvA vizaya budDi avizayaH na syAt iti
   cenna/ ālokābhāvagrahe pratiyogismaraṇāderadhikasyāpekṣititveneṣṭāpatteḥ//	ced na/ Aloka aBAva grahe pratiyogi smaraNa AdeH aDikasya apekziti tvena izwApatteH//
   etena    tamo dravyaṃ cettadavayavānāṃ tamo 'vayavyārambhakatvaṃ vācyam /	etena   tamaH dravyam ced tad avayavAnAm tamaH avayavi AramBaka tvam vAcyam /
   na ca tadyuktam/ ārambhakatve sparśavatvasya prayojakatvena niḥsparśasya	na ca tat yuktam/ AramBaka tve sparSavatu asya prayojaka tvena niHsparSasya
   tamaso 'nārambhakatvāt/ na ca mūrtatvamevārambhakatvetantram/ manaso	tamasaH anAramBaka tvAt/ na ca mUrta tvam eva AramBaka tvetantram/ manasaH 
   'pyārambhakatvā 5 pātāditi śaśadharādyuktaṃ nirastam /	api AramBaka tvA 5 pAtAt iti SaSaDara Adi uktam nirastam /
   niḥsparśatvamasiddhamityuktatvāt //	niHsparSa tvam asidDam iti ukta tvAt //
   yatviti// tamasastejovirodhidravyatve bādhakāntaramanūdya nirāha   yattu	yatu iti// tamasaH tejaH viroDi dravya tve bADaka antaram anUdya nirAha  yat tu
   vardhamānādibhiriti//	varDamAna AdiBiH iti//
   śaśadharādyuktabādhakamāśaṅkya nirāha    nanvityādinā // apekṣitatveneti	SaSaDara Adi ukta bADakam ASaFkya nirAha   nanu iti AdinA // apekzita tvena iti
   // tamaso grahe tadanapekṣitatvenetyapi jñeyam //	// tamasaH grahe tad anapekzita tvena iti api jQeyam //
   bādhakāntaraṃ ca nirāha    eteneti // sparśakathanenetyarthaḥ/	bADaka antaram ca nirAha   etena iti // sparSa kaTanena iti arTaH/
   1.baddhamāna rā. vardhamāna  ga. ityastir 2.vatejaḥ naṃ. 3.bhāvāditi  naṃ.	1.badDa mAna rA. varDamAna   ga. iti astiH 2.vatejaH naM. 3.BAvAt iti  naM.
   4.'pra' iti nāsti naṃ. 5.tvaprasaṅgāt    rā.	4. apra a iti na asti naM. 5.tu aprasaFgAt   rA.
   taso dratva sānam) śaktivādaḥ pu   123.	tasaH  dra tva  sAnam) SaktivAdaH pu  123.
   tama ārambhakaṃ antyāvayavibhinnatve sati rūpavatvādityanena	tamaH AramBakam antya avaya viBinna tve sati rUpava tvAt iti anena
   satpratipakṣatvācca/ asparśatvarūpasādhanāvacchinnasādhyavyāpakasya nīrūpa	sat pratipakza tvAt ca/ asparSa tva rUpa sADana avacCinna sADya vyApakasya nIrUpa
   1 tvasyopādhitvācca / asparśasyāpi puruṣārthasādha 2 katve	1 tu asya upADi tvAt ca / asparSasya api puruza arTa sADa 2 katve
   nārambhakatvasaṃbhavenāprayojakatvācca //	na AramBaka tva saMBavena aprayojaka tvAt ca //
   mānastu nārambhakaṃ prayojanābhāvāt / anārambha 3 eva ca prayojanābhāve	mAnaH tu na AramBakam prayojana aBAvAt / anAramBa 3 eva ca prayojana aBAve
   pramāṇam/ anyathā'rambhakatve rūpavatvameva tantram,	pramANam/ anyaTA aramBaka tve rUpava tvam eva tantram,
   tadeva vyanakti   niḥsparśatvamiti // satpratipakṣatvācceti //	tat eva vyanakti  niHsparSa tvam iti // sat pratipakza tvAt ca iti //
   avayavākhyaṃ	avayava AKyam
   tamo 'vayavarūpatamonārambhakaṃ niḥsparśatvāditi paroktasyānumānasyeti	tamaH avayava rUpa tamaH na AramBakam niHsparSa tvAt iti para uktasya anumAnasya iti
   bhāvaḥ/ antyāvayavini ghaṭādāvavyabhicārāya	BAvaH/ antya avayavini Gawa AdO= avyaBicArAya
   hetau satyantam //	hetO satyantam //
   na ca tasyāpi svagataguṇakarmārambhakatvānna vyabhicāra iti śaṅkyam /	na ca tasya api sva gata guNa karma AramBaka tvAt na vyaBicAraH iti SaFkyam /
   ārambhakā 4 nānekapadābhyāṃ dravyopādānatvatadabhāvayorabhimatatvāt / ata	AramBakAH 4 na aneka padAByAm dravya upAdAna tva tadaBAvayoH aBi mata tvAt / ata
   eva paṭādāvantyāvayavini sādhya 5 vyāpakatvavāraṇāyā sādhanāvacchinne	eva pawAdO= antya avayavini sADya 5 vyApaka tva vAraNAyAH sADana avacCinne
   sādhyavyāpakasya nīrūpatvasyopādhitvāccetyujyate / asparśatvāt	sADya vyApakasya nIrUpa tvasya upADi tvAt ca iti ujyate / asparSa tvAt 
   tamorūpadravyāntarānārambhakaṃ tama ityasya doṣāntaramāha   	tamaH rUpa dravya antara anAramBakam tamaH iti asya doza antaram Aha   
   asparśasyāpīti // puruṣārtheti // chāyāyāḥ sukhahetutvena	asparSasya api iti // puruza arTa iti // CAyAyAH suKa hetu tvena
   puruṣārthasādhanatvaṃ dhyeyam //	puruza arTa sADana tvam Dyeyam //
   manaso dravyārambhakatvama syādityata āha    manastviti //	manasaH dravya AramBaka tvama syAt iti atas Aha   manaH tu iti //
   hetorasiddhimāśaṅkyāha    anārambha iti // kuta eṣā kalpanetyata āha   	hetoH asidDim ASaFkya Aha   anAramBaH iti // kutas ezA kalpanA iti atas Aha   
   anyatheti // 6 sparśavatvādimānasiddhā 7 ntato rūpavatvamātraṃ na     	anyaTA iti // 6 sparSava tu Adi mAna sidDA 7 ntataH rUpavatva mAtram na     
   1.parasyo rā. 2.natvenārambhakatvāsaṃbhavena  na. 3.mbhaka na.	1.parasya u rA. 2.na tvena AramBaka tva asaMBavena  na. 3.mBa ka na.
   4.nārambhaka u. 5.dhyāvyā  u. 6.'sparśavatvasyaivārambhakatve	4.nA AramBaka u. 5.DyAvyAH  u. 6. asparSavatu asya eva AramBaka tve
   prayojakatvamupetya tamaso 'nārambhakatvasya dravyatvābhāvasya vā āpādāna	prayojaka tvam upetya tamasaH anAramBaka tvasya dravya tva aBAvasya vA ApAdAna
   ityarthaḥ/ vāyoḥ pṛthigdravyatvādikam ityadhikam  u. 7.ddham tato u.	iti arTaH/ vAyoH pRTik dravya tva Adikam iti aDikam  u. 7.dDam tatas  u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   124.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  124.
   vāyustvanudbhūta 1 rūpā pṛthivī vā syādanārambhako vā syāt, adravyaṃ vā	vAyuH tu anudBUta 1 rUpA pRTivI vA syAt anAramBakaH vA syAt, adravyam vA
   syāt//	syAt//
   etenāloka 2 jñānābhāva eva tamaḥ/ tatkāle taddeśe ālokasākṣātkārābhāvasya	etena AlokaH 2 jQAna aBAvaH eva tamaH/ tad kAle tad deSe Aloka sAkzAtkAra aBAvasya
   sarvasammatatvāt / ālokavadgarbhagṛhaṃ praviśataḥ prathamamālokājñāne	sarva sammata tvAt / Aloka vat garBa gRham praviSataH praTamam Aloka ajQAne
   tamaḥpratyayācca/ ālokavirodhidravyāntarasyālokabhāvasya vā tamastve 3	tamaH pratyayAt ca/ Aloka viroDi dravya antarasya Aloka BAvasya vA tamaH tve 3
   tadānīṃ dvayorapyabhāvāttamaḥ pratyayo bhramaḥ syādityapāstam / nīlaṃ 4	tadAnIm dvayoH api aBAvAt tamaH pratyayaH BramaH syAt iti apAstam / nIlam 4
   tama ityabādhitapratītivirodhāt / tamaḥ 5 sākṣātkārasya	tamaH iti abADita pratIti viroDAt / tamaH 5 sAkzAtkArasya
   cakṣuranvayavyatirekānuvidhāna 6 virodhācca / na hi jñānābhāvo nīlaḥ / na	cakzuH anvaya vyatireka anuviDAna 6 viroDAt ca / na hi jQAna aBAvaH nIlaH / na
   vā cākṣuṣaḥ / pradīpādimatyapi garbhagṛhe tamodhīrbhrāntirbādhitatvāt //	vA cAkzuzaH / pradIpa Adimati api garBagRhe tamaH DIH BrAntiH bADita tvAt //
   kiñca    rūpājñānā 7 dgauṇaṃ vyavahāramātraṃ vā/	kiQca   rUpa ajQAnA 7 dgONam vyavahAra mAtram vA/
      prayojakaṃ cettamaso 'pi tathātvaṃ siddhamiti na	  prayojakam ced tamasaH api taTAtvam sidDam iti na
   sparśavatvamārambhakatve prayojakaṃ kintu prayojanavatvameveti samamiti	sparSava tvam AramBaka tve prayojakam kintu prayojanava tvam eva iti samam iti
   bhāvaḥ//	BAvaH//
   kasya cinmatamapākaroti    eteneti // ālokasmṛtimataḥ tamaḥ	kasya cit matam apAkaroti   etena iti // Aloka smRtimataH tamaH
   pratyayadarśanātkathametadityato jñānaṃ sākṣātkāra iti bhāvenāha   	pratyaya darSanAt kaTam etat iti atas jQAnam sAkzAtkAraH iti BAvena Aha   
   tatkāla iti // asiddhaṃ nirasya yuktiṃ cāha    ālokavaditi //	tad kAle iti // asidDam nirasya yuktim ca Aha   Aloka vat iti //
   sūkṣmapradīpālokayuktetyarthaḥ/ pakṣāntare bādhakaṃ cāha   āloketi //	sUkzma pradIpa Aloka yuktA iti arTaH/ pakza antare bADakam ca aha  Aloka iti //
   virodhadvayaṃ vyanakti   na hīti // paroktayuktiṃ nirāha    pradīpeti//	viroDa dvayam vyanakti  na hi iti // para ukta yuktim nirAha   pradIpa iti//
   1.rūpapadaṃ na naṃ. 2.kājñā naṃ. 3.idā rā. 4.līnaṃ rā. 5.sāsā rā. 6.punaḥ	1.rUpa padam na nan. 2.kA jQA naM. 3.idA rA. 4.lInaM rA. 5.sa asA rA. 6.punar 
   'vidhāne' tyadhikam  rā. 7.navadgau  naṃ.rā.ja.	aviDAne a tyaDikam  rA. 7.navat gO  naM.rA. ja.
   taso dratva sānam) śaktivādaḥ pu   125.	tasaH  dra tva  sAnam) SaktivAdaH pu  125.
   etenaivāropitaṃ nīlarūpameva tama iti nirastam / nīlaṃ 1 rūpaṃ tama	etena eva Aropitam nIla rUpam eva tamaH iti nirastam / nIlam 1 rUpam tama
   ityananubhavāt/ 2 nīlarūpavadityevānubhavācca / ālokamadhyasthe śrukle	iti ananuBavAt/ 2 nIla rUpavat iti eva anuBavAt ca / Aloka maDya sTe Srukle
   vastuni nailyārope tamovyavahārāpātācca //	vastuni nElI a Arope tamaH vyavahAra ApAtAt ca //
   kiñcāropasyopalakṣaṇatve 'nāropadaśāyāmapi tamovyavahāraḥsyāt / viśeṣa 3	kiQca Aropasya upalakzaNa tve anAra upadaSAyAm api tamaH vyavahAraH syAt / viSeza 3
   ṇatve āropasyāpi tamaḥśarīrapraviṣṭānā 4 cākṣuṣatvaṃ 5 syāt //	Na tve Aropasya api tamaH SarIra pravizwAnAH 4 cAkzuza tvam 5 syAt //
   tasmāttama ālokābhāva iti, 6 ālokājñānamātramiti, āropitaṃ nīlarūpameveti	tasmAt tamaH Aloka aBAvaH iti, 6 Aloka ajQAna mAtra miti, Aropitam nIla rUpam eva iti
   ca pakṣatrayamapyayuktam //	ca pakza trayam api ayuktam //
   evaṃ ca tamaso dravyatve siddhe	evam ca tamasaH dravya tve sidDe
   prasiddhadravyāntarbhāvaśśakyaścettathaivāstu na ceddravyāntaramastu / na	prasidDa dravya antar BAvaH SakyaH ced taTA eva astu na ced dravya antaram astu / na
   tatrāsmākamāgraha iti //	tatra asmAkam AgrahaH iti //
   iti tamaso dravyatva 7 sādhanam // 11 //	iti tamasaH dravya tva 7 sADanam // 11 //
   etenaivetyetavdyanakti    nīlarūpamiti// anubhavavivādinaṃ pratyāha  	etena eva iti etavdya nakti   nIla rUpam iti// anuBava vivAdinam pratyAha  
   āloketi//	Aloka iti//
   tādṛśabhrame 'pi vipratipannaṃ pratyāha    kiñceti// evaṃ tarhi navaiva	tAdRSa Brame api vipratipannam pratyAha   kiQca iti// evam tarhi nava eva
   dravyāṇīti niyamāt kkāntarbhāva ityata āha   evaṃ ceti // na tatreti // 8	dravyANi iti niyamAt kkAntarBAvaH iti atas Aha  evam ca iti // na tatra iti // 8
   na caivaṃ bhānābhāvāditi bhāvaḥ//	na ca evam BAna aBAvAt iti BAvaH//
   iti tamaso dravyatvasamarthanam // 11 //	iti tamasaH dravya tva samarTanam // 11 //
   1.larū rā.ka.ja. 2.ayaṃ heturnāsti ga. 3.ṣatve rā. 4.na rā. 5.'na'	1.la rU  rA. ka.ja. 2.ayam hetuH na asti ga. 3.za tve rA. 4.na rA. 5. anaH a
   ityadhikam rā. 6.'rūpajñāna' ityasti naṃ. 'rūpājñā'  rā.ka.ga.ja.	iti aDikam rA. 6. arUpajQAna a iti asti naM. arUpAjQA a  rA.ka.ga.ja.
   7.samarthanam rā.ga.ja. 8.'iti' ityadhikamapi  ka. 8.navaivetyatra	7. samarTanam rA. ga.ja. 8. aiti a iti aDikam api  ka. 8.nava eva iti atra
   mānābhā u.	mAna ABA u.
   nyāyadīpayutarkatāṇḍavam (dvi.paricchedaḥ pu   126.	nyAya dIpa yutarka tANxavam (dvi. paricCedaH pu  126.
   ata paramate suvarṇasya yogyānupalabdhibādhaḥ // 12 //	atas para mate suvarNasya yogyA anupalabDi bADaH // 12 //
   suvarṇasya tu na dravyāntaraṃ, nāpi taijasaṃ, kintu pārthivameva /	suvarNasya tu na dravya antaran, na api tEjasan, kintu pArTivam eva /
   pītatvāt/ ajalatve 1 sati gurutvāt / naimittikadravatvādhikaraṇatvācca/ 2	pIta tvAt/ ajala tve 1 sati guru tvAt / nEmittika drava tva aDikaraNa tvAt ca/ 2
   ghṛtādivadityā 3 dyunumānāt/ 'divyaṃ pārthivaṃ vastvi 4' ityādi 5	GRta Adi vadityA 3 dyunu mAnAt/ adivyam pArTivam vastvi 4a ityAdi 5
   śruteśca//	SruteH ca//
   jambūnadīrodhaso 6 mṛttikā jambūpharasānu  	jambUnadI roDasaH 6 mRttikA jambU Para sAnu  
   atha paramate suvarṇasya yogyānupalabdhibādhaḥ// 12 //	aTa para mate suvarNasya yogyA anupalabDi bADaH// 12 //
   tamovatsuvarṇamapi navabhyo dravyāntaraṃ kimityata āha    suvarṇaṃ tviti//	tamaH vat suvarNam api navaByaH dravya antaram kim iti atas Aha   suvarNam tu iti//
   nyāyamata iva tejasyantarbhāvaḥ kinnetyāha    nāpīti// 7 taijasamiti//	nyAyam atas iva tejasi antarBAvaH kinna iti Aha   na api iti// 7 tEjasam iti//
   payasyavyabhicārāyaiva jalānyatve satīti naimittiketi coktiḥ/	payasya vyaBicArAya eva jala anya tve satI iti nEmittikA iti ca uktiH/
   anumānānugrāhakaśrutyādyāha    divyamiti//	anumAna anugrAhaka Sruti Adi Aha   divyam iti//
   yatsomacitramukthyaṃ divyaṃ pārthivaṃ vasu/	yat soma citram ukTyam divyam pArTivam vasu/
   tannaḥ punāna ābhareti  	tat naH punAnaH ABara iti  
   bahuśākhāyāṃ śravaṇādityarthaḥ //	bahu SAKAyAm SravaNAt iti arTaH //
   pañjamaskandhavākyānyāha    jāmbūnadīti // merusamīpasthā kācinnadī 8	paQjama skanDa vAkyAni Aha   jAmbUnadI iti // meru samIpa sTA kAcid nadI 8
   tīrayormṛtiketyarthaḥ/ pūrvavākyoktasyā 6 nuvādo jāmbūnadīti/	tIrayoH mRtikA iti arTaH/ pUrva vAkya uktasyAH 6 nuvAdaH jAmbUnadI iti/
   1.jalānyatve rā.ga. 2.ghaṭādi na.rā.ka. 3.tyanu naṃ.ga.	1.jala anya tve rA. ga. 2.Gawa Adi  na.rA.ka. 3.ti anu naM.ga.
   4.vasvi naṃ.ka.ga.ja. 5.deśca naṃ. 6.soryā naṃ. sormya ga. 7.taijasamiti	4.vasvi naM.ka .ga.ja. 5.deH ca naM. 6.soH yA naM. sa Urmi a ga. 7.tEjasam iti
   iti nāsti u. 8.tattī  u. 9.sthānu u.	iti nAsti u. 8.tattI  u. 9.sTAnu u.
   pate su yonubghi bādhaḥ) śaktivādaḥ pu   127.	pate  su yonubGi bADaH) SaktivAdaH pu  127.
   1 vidhyamānā vāyvarkasaṃyogavipākena jāmbūnadaṃ nāma suvarṇaṃ bhavatīti,	1 viDyamAnA vAyu arka saMyoga vipAkena jAmbUnadam nAma suvarNam Bavati iti,
   tāvatī bhūmiḥ kāñcanyādarśanalopametyādibhāgavatādivacanācca //	tAvatI BUmiH kAQcanyAdarSana lopama ityAdi BAgavata Adi vacanAt ca //
   "agneḥ 2 prajātaṃ prathamaṃ 3 hiraṇyaṃ"miti śrutistvagnerāpa	"agneH 2 prajAtam praTamam 3 hiraNyaM"m iti SrutiH tu agneH Apa
   ityādiśrutivadagnerhiraṇyamittatvamāha/ na tu hiraṇyasyāgnyātmakatām//	iti Adi Sruti vat agneH hiraNyam itta tvam Aha/ na tu hiraNyasya agni Atmaka tAm//
   nanu    pītarūpagurutvāśrayā 4 vinirbhāgavarti taijasaṃ 5 bhāgāntarameva	nanu   pIta rUpa gurutva ASrayA 4 vinirBAga varti tEjasam 5 BAga antaram eva
   suvarṇam/ tatraca pītatvādikamasiddhami 6 ti cenna /	suvarNam/ tatra ca pIta tva Adi kam asidDami 6 ti ced na /
   tādṛśabhāgāntarasyānanubhavāt/ tatkalpakasya cābhāvāt /	tAdRSa BAga antarasya ananuBavAt/ tad kalpakasya ca aBAvAt /
   anya7 samaṃ dyāvanmānasottaramevervorantaraṃ tāvatīti	anya7 samam dyAvat mAnasa uttaram eva IrvoH antaram tAvatI iti
   ṣaṇṇavatilakṣayojanaparimitā kāñcanī suvarṇamayī	zaNNavati lakza yojana parimitA kAQcanI suvarNa mayI
   darpaṇatalavadatiślakṣṇatameti svādūdakasamudrātparato	darpaNa tala vat ati SlakzNatamA iti svAdu udaka samudrAt parato
   lokālokaparvatādarvāgbhāgabhūmirityarthaḥ/ paroktaśrutigatimāha   	lokAloka parvatAt arvAc BAga BUmiH iti arTaH/ parokta Sruti gatim Aha   
   agneriti//	agneH iti//
   suvarṇa 9 dvibhāgam/ tatra pārthivabhāgapakṣūkāre siddhasādhanam /	suvarNaH 9 dvi BAgam/ tatra pArTiva BAga pakzUkAre sidDa sADanam /
