   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   ataḥ paramātmana eva sarva-vyāpakatvam | eko devaḥ sarva-bhūteṣu gūḍhaḥ	atas paramAtmanaH eva sarva-vyApaka-tvam | ekaH devaH sarva-BUtezu gUXaH
   sarva-vyāpī sarva-bhūtāntarātmā ity ādau | tasmād aṇur eva jīva iti |	sarva-vyApI sarva-BUta-antarAtmA iti AdO | tasmAt aNuH eva jIvaH iti |
   yat tu śrī-bhagavad-gītāsu nityaḥ sarva-gataḥ sthāṇur ity ādinā jīva-	yat tu SrI--Bagavat--gItAsu nityaH sarva-gataH sTANuH iti AdinA jIva-
   nirūpaṇaṃ tatra sarva-gataḥ śrī-bhagavān eva tat-sthas tad-āśritaś cāsāv	nirUpaNam tatra sarva-gataH SrI--BagavAn eva tat-sTaH tad--ASritaH ca-asO=-
   aguṇaś ca iti sarvagataḥ sthāṇur jīvaḥ proktaḥ || 10.87 || śrutayaḥ ||34||	aguNaH ca iti sarva-gataH sTANuH jIvaH proktaH || 10.87 || SrutayaH ||34||
   atha śuddha-svarūpatvān nitya-nirmalatvam udāhṛtam eva | śuddho vicaṣṭe	aTa SudDa--svarUpa-tvAt nitya--nirmala-tvam udAhRtam eva | SudDaH vicazwe
   hy aviśuddha-kartur ity anena | tathā tenaiva śuddhasyāpi jñātṛtvam apy	hi aviSudDa-kartuH iti anena | taTA tena-eva SudDasya-api jQAtR-tvam api-
   udāhṛtam | jñānaṃ ca nityasya svābhāvika-dharmatvān nityam | ataeva na	udAhRtam | jQAnam ca nityasya svABAvika--Darma-tvAt nityam | ataeva na
   vikriyātmakam api | tathā caitanya-sambandhena dehādeḥ kartṛtva-darśanāt |	vikriyA-Atmakam api | taTA cEtanya--sambanDena deha-AdeH kartR-tva--darSanAt |
   kvacid acetanasya kartṛtvaṃ ca | na ṛte tat kriyate kiṃ ca nāre ity ādāv	kvacid acetanasya kartR-tvam ca | na Rte tat kriyate kim ca nAre iti AdO=-
   antaryāmi-caitanya-sambandhena bhavatīty aṅgīkārāc ca śuddhād eva	antaryAmi--cEtanya--sambanDena Bavati-iti aFgIkArAt ca SudDAt eva
   kartṛtvaṃ pravartate | tad uktam - dehendriya-prāṇa-mano-dhiyo'mī	kartR-tvam pravartate | tat uktam  deha-indriya--prANa-mano--DiyaH-amI
   yad-aṃśa-	yat--aMSa-
   biddhāḥ pracaranti karmasv iti [BhP 6.16.24] | tat tūpādhi-prādhānyena	bidDAH pracaranti karmasu iti [Bhj 6.16.24] | tat tu-upADi--prADAnyena
   pravartamānam upādhi-dharmatvena vyapadiśyate | yathā - kārya-kāraṇa-	pravartamAnam upADi-Darma-tvena vyapadiSyate | yaTA  kArya--kAraNa-
   kartṛtve kāraṇaṃ prakṛtiṃ vidur ity [BhP 3.26.8] ādau | paramātma-	kartR-tve kAraNam prakRtim viduH iti [Bhj 3.26.8] AdO | paramAtma-
   prādhānyena pravartamānaṃ tu nirupādhikam evety āha |	prADAnyena pravartamAnam tu nirupADikam eva-iti Aha |
   sāttvikaḥ kārako'saṅgī	sAttvikaH kArakaH-asaFgI
   rāgāndho rājasaḥ smṛtaḥ |	rAga-anDaH rAjasaH smRtaH |
   tāmasaḥ smṛti-vibhraṣṭo	tAmasaH smRti-viBrazwaH-
   nirguṇo mad-apāśrayaḥ || [BhP 11.25.26]	nirguNaH mad--apASrayaH || [Bhj 11.25.26]
   spaṣṭam || 11.25 || śrī-bhagavān ||35||	spazwam || 11.25 || SrI--BagavAn ||35||
   atha bhoktṛtvaṃ saṃvedana-rūpatvena yathā tathā tatraiva cid-rūpe	aTa BoktR-tvam saMvedana--rUpa-tvena yaTA taTA tatra-eva cit---rUpe
   paryavasyatīty āha bhoktṛtve sukha-duḥkhānāṃ puruṣaṃ prakṛteḥ param iti	paryavasyati-iti Aha BoktR-tve suKa--duHKAnAm puruzam prakRteH param iti
   [BhP 3.26.8] || kāraṇam iti pūrveṇaivānvayaḥ || 3.26 || śrī-kapila-devaḥ	[Bhj 3.26.8] || kAraNam iti pUrveNa-eva-anvayaH || 3.26 || SrI--kapila-devaH
   atha paramātmaika-śeṣatveti vyākhyeyam | ekaḥ paramātmano'nyaḥ	aTa paramAtmA-eka-Seza-tvA-iti vyAKyeyam | ekaH paramAtmanaH-anyaH
   śeṣo'ṃśaḥ | sa cāsau sa ca eka-śeṣaḥ | paramātmana eka-śeṣaḥ paramātmaika-	SezaH-aMSaH | sa ca-asO sa ca eka-SezaH | paramAtmanaH eka-SezaH paramAtmA-eka-
   śeṣaḥ | tasya bhāvas tattvaṃ tad eva svabhāvaḥ prakṛtir yasya sa	SezaH | tasya BAvaH tattvam tat eva svaBAvaH prakRtiH yasya sa
   paramātmaika-śeṣatva-svabhāvaḥ | tathābhūtaś cāyaṃ sarvadā mokṣa-	paramAtmA-eka-Seza-tva--svaBAvaH | taTABUtaH ca-ayam sarvadA mokza-
   daśāyām apīty arthaḥ | etādṛśatvaṃ cāsya svataḥ svarūpata eva na tu	daSAyAm api-iti arTaH | etAdRSa-tvam ca-asya svatas svarUpataH eva na tu
   paricchedādinā | tadīya-svābhāvikācintya-śaktyā svābhāvika-tadīya-raśmi-	paricCeda-AdinA | tadIya--svABAvika-acintya--SaktyA svABAvika-tadIya-raSmi-
   paramāṇu-sthānīyatvāt aupādhikāvathāyās tv aṃśena prakṛti-śeṣatvam api	paramANu--sTAnIya-tvAt OpADikO=-aTAyAH tu aMSena prakRti--Seza-tvam api
   bhavati iti ca svata ity asya bhāvaḥ | śakti-rūpatvaṃ cāsya	Bavati iti ca svatas iti asya BAvaH | Sakti-rUpa-tvam ca-asya
   taṭastha-śakty-	tawa-sTa-Sakti--
   ātmakatvāt, tathā tadīya-raśmi-sthānīyatve'pi nitya-tad-āśrayitvāt tad-	Atmaka-tvAt, taTA tadIya--raSmi--sTAnIya-tve-api nitya-tad--ASrayi-tvAt tat--
   vyatirekeṇa vyatirekāt | hetur bhāvo'sya sargāder ity anusāreṇa	vyatirekeNa vyatirekAt | hetuH BAvaH-asya sarga-AdeH iti anusAreNa
   jagat-sṛṣṭau	jagat--sRzwO
   tat-sādhanatvāt | dravya-svarūpatve'pi pradhāna-sāmyāc cāvagamyate | uktaṃ	tat--sADana-tvAt | dravya--svarUpa-tve-api praDAna--sAmyAt ca-avagamyate | uktam
   ca prakṛti-viśeṣatvena tasya śaktitvam -	ca prakRti-viSeza-tvena tasya Sakti-tvam -
   viṣṇu-śaktiḥ parā proktā	vizNu--SaktiH parA proktA
   kṣetrajñākhyā tathā parā |	kzetrajQA-AKyA taTA parA |
   avidyā karma-saṃjñākhyā	avidyA karma-saMjQA-AKyA
   tṛtīyā śaktir ucyate || iti viṣṇu-purāṇe [ViP 6.7.61] |	tRtIyA SaktiH ucyate || iti vizNu-purANe [ViS 6.7.61] |
   bhūmir āpo'nalo vāyur ity [Gītā 7.4] ādau bhinnā prakṛtir aṣṭadhety	BUmiH ApaH-analaH vAyuH iti [GItA 7.4] AdO BinnA prakRtiH azwaDA-iti-
   anantaram |	anantaram |
   apareyam itas tv anyāṃ	aparA-iyam itas tu anyAm
   prakṛtiṃ viddhi me parām |	prakRtim vidDi me parAm |
   jīva-bhūtāṃ mahābāho	jIva--BUtAm mahA-bAho
   yayedaṃ dhāryate jagat || iti śrī-gītopaniṣatsu ca |	yayA-idam DAryate jagat || iti SrI--gIta-upanizatsu ca |
   viṣṇu-śaktiḥ parā proktety ādi viṣṇu-purāṇa-vacane tu tisṝṇām eva pṛthak	vizNu--SaktiH parA proktA-iti Adi vizNu--purANa--vacane tu tisLNAm eva pRTak-
   śaktitva-nirdeśāt kṣetrajñasyāvidyā-karma-sambandhena śaktitvam iti parās	Sakti-tva--nirdeSAt kzetrajQasya-avidyA--karma--sambanDena Sakti-tvam iti parAH-
   tam | kintu svarūpenaivety āyātam | tathā ca gītam mamaivāṃśa iti |	tam | kintu svarUpena-eva-iti AyAtam | taTA ca gItam mama-eva-aMSaH iti |
   ataevāpareyam itas tv anyām ity uktam | kṣetrajña etā manaso vibhūtīr ity	ataeva-apareyam itas tu anyAm iti uktam | kzetrajQaH etAH manasaH viBUtIH iti-
   ādau kṣetrajña-śabdaś ca śuddhe'pi pravartate kṣetra-śabdasyopalakṣaṇa-	AdO kzetrajQa--SabdaH ca SudDe-api pravartate kzetra--Sabdasya-upalakzaNa-
   mātratvāt |	mAtra-tvAt |
   tad evaṃ śaktitve'py anyatvam asya taṭasthatvāt | taṭasthatvaṃ ca	tat evam Sakti-tve-api anya-tvam asya tawa-sTa-tvAt | tawa-sTa-tvam ca
   māyā-śakty-	mAyA-Sakti--
   atītatvāt | asyāvidyāparābhavādi-rūpeṇa doṣeṇa paramātmano lepābhāvāc	atIta-tvAt | asya-avidyA-parABava-Adi---rUpeNa dozeNa paramAtmanaH lepa-aBAvAt-
   cobhaya-koṭāv apraveśāt | tasya tac-chaktitve saty api paramātmanas tal-	ca-uBaya--kowO apraveSAt | tasya tac--Sakti-tve sati api paramAtmanaH tal-
   lepābhāvaś ca yathā kvacid eka-deśa-sthe raśmau chāyayā tiraskṛte'pi	lepa-aBAvaH ca yaTA kvacid eka-deSa--sTe raSmO CAyayA tiraskRte-api
   sūryasyātiraskāras tadvat | uktaṃ ca taṭasthatvaṃ śrī-nārada-pañcarātre -	sUryasya-atiraskAraH tadvat | uktam ca tawa-sTa-tvam SrI-nArada--paQcarAtre -
   yat taṭasthaṃ tu cid-rūpaṃ	yat tawa-sTam tu cit--rUpam
   sva-saṃvedyād vinirgatam |	sva--saMvedyAt vinirgatam |
   rañjitaṃ guṇa-rāgeṇa	raQjitam guNa--rAgeNa
   sa jīva iti kathyate || ity ādau |	sa jIvaH iti kaTyate || iti AdO |
   ato viṣṇu-purāṇe'py antarāla eva paṭhito'sau | anyatvaṃ ca śrutau asmān	atas vizNu-purANe-api antarAlaH eva paWitaH-asO | anya-tvam ca SrutO asmAn
   māyī sṛjate viśvam etat tasmiṃś cānyo māyayā saṃniruddhaḥ [ŚvetU 4.9] |	mAyI sRjate viSvam etat tasmin ca-anyaH mAyayA saMnirudDaH [ŚvetU 4.9] |
   tayor anyaḥ pippalaṃ svādv atti ity ādau | ataevoktaṃ vaiṣṇave	tayoH anyaH pippalam svAdu atti iti AdO | ataeva-uktam vEzNave
   vibheda-janake	viBeda--janake
   jñāne nāśam ātyantikaṃ gate | ātmano brahmaṇo bhedam asantaṃ kaḥ	jQAne nASam Atyantikam gate | AtmanaH brahmaNaH Bedam asantam kaH
   kariṣyatīti | devatva-manuṣyatvādi-lakṣaṇo viśeṣato yo bhedas tasya	karizyati-iti | deva-tva--manuzya-tva-Adi--lakzaNaH viSezataH yaH BedaH tasya
   janake'py	janake-api-
   ajñāne nāśaṃ gate brahmaṇaḥ paramātmanaḥ sakāśād ātmano jīvasya yo	ajQAne nASam gate brahmaNaH paramAtmanaH sakASAt AtmanaH jIvasya yaH-
   bhedaḥ svābhāvikas taṃ bhedam asantaṃ kaḥ kariṣyati api tu santaṃ	BedaH svABAvikaH tam Bedam asantam kaH karizyati api tu santam
   vidyamānam eva sarva eva kariṣyatīty arthaḥ | uttaratra pāṭhe nāsantam ity	vidyamAnam eva sarve eva karizyati-iti arTaH | uttaratra pAWe nAsantam iti-
   etasya vidheyatvād anyārthaḥ kaṣṭa-sṛṣṭa eveti mokṣadāyām api tad-	etasya viDeya-tvAt anya-arTaH kazwa--sRzwaH eva-iti mokza-dAyAm api tat--
   aṃśatvāvyabhicāraḥ svābhāvika-śaktitvād eva | ataevāvidyā-vimokṣa-	aMSatva-avyaBicAraH svABAvika--Sakti-tvAt eva | ataeva-avidyA--vimokza-
   pūrvaka-svarūpāvashtiti-lakṣaṇāyāṃ muktau tal-līnasya tat-sādharmyāpattir	pUrvaka-svarUpa-avashtiti--lakzaNAyAm muktO tal-lInasya tat--sADarmya-ApattiH-
   bhavati | nirañjanaḥ paramaṃ sāmyam upaitīty ādi-śrutibhyaḥ | idaṃ jñānam	Bavati | niraQjanaH paramam sAmyam upEti-iti Adi-SrutiByaH | idam jQAnam
   upāśritya mama sādharmyam āgatāḥ | svarge'pi nopajāyate pralaye na	upASritya mama sADarmyam AgatAH | svarge-api na-upajAyate pralaye na
   vyathanti ceti śrī-gītopaniṣadbhyaś ca | ataeva brahma veda brahmaiva	vyaTanti ca-iti SrI--gIta-upanizadByaH ca | ataeva brahma veda brahmA-eva
   bhavatīty [Muṇḍ 3.2.9] ādiṣu ca brahma-tādātmyam eva bodhayati |	Bavati-iti [MuNz 3.2.9] Adizu ca brahma-tAdAtmyam eva boDayati |
   svābhāvyāpattir upapatter itivat | tad evaṃ śaktitve siddhe	svABAvya-ApattiH upapatteH iti-vat | tat evam Sakti-tve sidDe
   śakti-śaktimatoḥ	Sakti-SaktimatoH
   parasparānupraveśāt śaktimad-vyatireke śakti-vyatirekāt cittvāviśeṣāc ca	paraspara-anupraveSAt Saktimat--vyatireke Sakti-vyatirekAt cittvA-aviSezAt ca
   kvacid abheda-nirdeśa ekasminn api vastuni śakti-vaividhya-darśanāt bheda-	kvacid aBeda--nirdeSaH ekasmin api vastuni Sakti-vEviDya--darSanAt Beda-
   nirdeśaś ca nāsamañjasaḥ | śrī-rāmānujīyās tu adhiṣṭhānādhiṣṭhātror api	nirdeSaH ca na-asamaQjasaH | SrI-rAma-anujIyAH tu aDizWAna-aDizWAtroH api
   jīveśayor abheda-vyapadeśo vyakti-jātyor gavādi-vyapadeśavad iti manyante	jIveSayoH aBeda--vyapadeSaH vyakti-jAtyoH gavA-Adi--vyapadeSa-vat iti manyante
   yathā śrī-viṣṇu-purāṇe[*ENDNOTE #7]-	yaTA SrI--vizNu--purANe[*ENDNOTEH #7]-
   yo'yaṃ tavāgato deva-	yaH-ayam tava-AgataH deva-
   samīpaṃ devatā-gaṇaḥ |	samIpam devatA--gaNaH |
   sa tvam eva jagat-sraṣṭā	sa tvam eva jagat-srazwA
   yataḥ sarva-gato bhavān || iti |	yatas sarva-gataH BavAn || iti |
   śrī-gītāsu ca - sarvaṃ samāpnoṣi tato'si sarva iti | tatra jñānecchūn	SrI--gItAsu ca  sarvam samApnozi tatas-asi sarve iti | tatra jQAna-it-CUn
   prati	prati
   śāstram abhedam upadiśati bhaktīcchūn prati tu bhedam eva | kvacit tu	SAstram aBedam upadiSati Bakti-icCUn prati tu Bedam eva | kvacid tu
   paramātma-pratibimbatvaṃ yad asya śrūyate, yathā -	paramAtma--pratibimba-tvam yat asya SrUyate, yaTA -
   yathā puruṣa ātmānam ekam ādarśa-cakṣuṣor dvidhā-bhūtam evekṣeta	yaTA puruzaH AtmAnam ekam AdarSa-cakzuzoH dviDA--BUtam eva-Ikzeta
   tathaivāntaram āvayor iti | tad api jñānecchūn praty abheda-dṛṣṭi-	taTA-eva-antaram AvayoH iti | tat api jQAna-icCUn prati aBeda--dRzwi-
   poṣaṇārtham evocyate na vāstava-vṛttyaiva pratibimbatvena | advayavāda-	pozaNa-arTam eva-ucyate na vAstava--vRttyA-eva pratibimba-tvena | advaya-vAda-
   guru-mate'py ambuvad agrahaṇād[*ENDNOTE #8] iti [Vs 3.2.19] nyāya-	guru--mate-api ambu-vat agrahaNa-At-[*ENDNa-oTEH #8] iti [VH 3.2.19] nyAya-
   virodhād vṛddhi-hrāsa-bhāktvam antrabhāvād ubhaya-sāmañjasyād evam iti	viroDAt vRdDi--hrAsa-BAj-tvam antra-BAvAt uBaya--sAmaQjasyAt evam iti
   [Vs 3.2.20] nyāyena yathā-kathañcit pratibimba-sādṛśya-mātrāṅgīkārāc ca |	[VH 3.2.20] nyAyena yaTA-kaTaQcid pratibimba--sAdRSya--mAtrA-aFgIkArAt ca |
   tad etat tasya parmātmāṃśa-rūpatāyā nityatvaṃ śrī-gītopaniṣadbhir api	tat etat tasya parma-Atma-aMSa--rUpa-tAyAH nitya-tvam SrI--gIta-upanizadBiH api
   darśitam mamaivāṃśo jīva-loke jīva-bhūtaḥ sanātana iti | tad evaṃ aṃśatvaṃ	darSitam mama-eva-aMSaH jIva--loke jIva-BUtaH sanAtanaH iti | tat evam aMSa-tvam
   tāvad āha tatra samaṣṭeḥ --	tAvat Aha tatra samazweH --
   eṣa hy aśeṣa-sattvānām	eza hi aSeza--sattvAnAm
   ātmāṃśaḥ paramātmanaḥ |	Atma-aMSaH paramAtmanaH |
   ādyo 'vatāro yatrāsau	AdyaH avatAraH yatra-asO
   bhūta-grāmo vibhāvyate || [BhP 3.6.8]	BUta-grAmaH viBAvyate || [Bhj 3.6.8]
   ṭīkā ca - aśeṣa-sattvānām prāṇinām ātmā vyaṣṭīnāṃ tad-aṃśatvāt aṃśo	wIkA ca  aSeza--sattvAnAm prANinAm AtmA vyazwInAm tat--aMSa-tvAt aMSo
   jīvaḥ | avatāratoktis tasmin nārāyaṇāvirbhāvābhiprāyeṇety eṣā || 3.6 ||	jIvaH | avatAra-tA-uktiH tasmin nArAyaNa-AvirBAva-aBiprAyeNa-iti ezA || 3.6 ||
   śrī-	SrI-
   śukaḥ || 37 ||	SukaH || 37 ||
   atha vyaṣṭeḥ -	aTa vyazweH -
   ekasyaiva mamāṃśasya	ekasya-eva mama-aMSasya
   jīvasyaiva mahāmate |	jIvasya-eva mahAmate |
   bandho'syāvidyayānāder	banDaH-asya-avidyayA-ana-AdeH-
   vidyayā ca tathetaraḥ || [BhP 11.11.4]	vidyayA ca taTA-itaraH || [Bhj 11.11.4]
   itaro mokṣaḥ | atra raśmi-paramāṇu-sthānīyo vyaṣṭiḥ | tatra sarvābhimānī	itaraH mokzaH | atra raSmi-paramANu--sTAnIyaH vyazwiH | tatra sarva-aBimAnI
   kaścit samaṣṭir iti jñeyam || 11.11 || śrī-bhagavān ||38||	kaScid samazwiH iti jQeyam || 11.11 || SrI--BagavAn ||38||
   tatra śaktitvenaivāṃśatvaṃ vyañjayanti -	tatra Sakti-tvena-eva-aMSa-tvam vyaQjayanti -
   sva-kṛta-pure'py amīṣv abahir-antara-saṃvaraṇaṃ	sva-kRta-pure-api amIzu abahis--antara--saMvaraNam
   tava puruṣaṃ vadanty akhila-śakti-dhṛto'ṃśa-kṛtam | [BhP 10.87.20] iti |	tava puruzam vadanti aKila--Sakti--DRtaH-aMSa-kRtam | [Bhj 10.87.20] iti |
   abahir-antara-saṃvarṇaṃ bahir bahiraṅgāṇi kāraṇāni kāryāṇi antar	abahis--antara--saMvarNam bahis bahis-aFgANi kAraNAni kAryANi antar
   antaraṅgāni tair asaṃvaraṇaṃ kārya-kāraṇair asaṃspṛṣṭam | aṃśa-kṛtam	antaraFgAni tEH asaMvaraNam kArya--kAraNEH asaMspRzwam | aMSa-kRtam
   aṃśam ity arthaḥ | akhila-śakti-dhṛtaḥ sarva-śakti-dharasyeti viśeṣaṇaṃ	aMSam iti arTaH | aKila--Sakti-DRtaH sarva--Sakti-Darasya-iti viSezaNam
   jīva-	jIva-
   śakti-viśiṣṭasyaiva tava jīvo'ṃśo na tu śuddhasyeti gamayitvā jīvasya tac-	Sakti-viSizwasya-eva tava jIvaH-aMSaH na tu SudDasya-iti gamayitvA jIvasya tat--
   chakti-rūpatvenaivāṃśatvam ity anenaivāṃśatvam ity etad vyañjayanti | atha	Cakti-rUpa-tvena-eva-aMSa-tvam iti anena-eva-aMSa-tvam iti etat vyaQjayanti | aTa
   taṭasthatvaṃ ca sa yad ajayā tyajām anuśayītety ādau vyaktam asti	tawa-sTa-tvam ca sa yat ajayA tyajAm anuSayIta-iti AdO vyaktam asti
   ubhayakoṭāv apraviṣṭatvād eva || 10.87 || śrutayaḥ śrī-bhagavantam ||39||	uBaya-kowO apravizwa-tvAt eva || 10.87 || SrutayaH SrI--Bagavantam ||39||
   atha jñānecchuṃ prati jīveśayor abhedam āha --	aTa jQAnecCum prati jIveSayoH aBedam Aha --
   ahaṃ bhavān na cānyas tvaṃ	aham BavAn na ca-anyaH tvam
   tvam evāhaṃ vicakṣva bhoḥ |	tvam eva-aham vicakzva BoH |
   na nau paśyanti kavayaś	na nO paSyanti kavayaH-
   chidraṃ jātu manāg api || [BhP 4.28.62]	Cidram jAtu manAk api || [Bhj 4.28.62]
   spaṣṭaṃ || 4.28 || śrī-paramātmā purañjanam || 40 ||	spazwam || 4.28 || SrI--paramAtmA puraQjanam || 40 ||
   tatra pūrvokta-rītyā prathamaṃ tāvat sarveṣām eva tattvānāṃ	tatra pUrva-ukta--rItyA praTamam tAvat sarvezAm eva tattvAnAm
   parasparānupraveśa-	paraspara-anupraveSa-
   vivakṣayaikyaṃ pratīyate ity evaṃ śaktimati paramātmani jīvākhya-śakty-	vivakzayA-Ekyam pratIyate iti evam Saktimati paramAtmani jIva-AKya--Sakti--
   anupraveśa-vivakṣaiva tayor aikya-pakṣe hetur ity abhipraite śrī-bhagavān	anupraveSa--vivakzA-eva tayoH Ekya--pakze hetuH iti aBiprEte SrI--BagavAn
   parasparānupraveśāt	paraspara-anupraveSAt
   tattvānāṃ puruṣarṣabham |	tattvAnAm puruza-RzaBam |
   paurvāparya-prasaṅkhyānaṃ	pOrvAparya--prasaFKyAnam
   yathā vaktur vivakṣitam || [BhP 11.22.7]	yaTA vaktuH vivakzitam || [Bhj 11.22.7]
   ṭīkā ca - anyonyasminn anupraveśād vaktur yathā vivakṣitaṃ tathā pūrvā	wIkA ca  anyonyasmin anupraveSAt vaktuH yaTA vivakzitam taTA pUrvA
   alpa-saṅkhyā aparā adhika-saṅkhyā tayor bhāvaḥ paruvāparyaṃ tena	alpa-saFKyA aparA aDika--saFKyA tayoH BAvaH paruvA-aparyam tena
   prasaṅkhyānaṃ gaṇanam ity eṣā || 11.22|| śrī-bhagavān || 41 ||	prasaFKyAnam gaNanam iti ezA || 11.22|| SrI--BagavAn || 41 ||
   athāvyatirekeṇa cid-rūpatvāviśeṣeṇāpi tayor aikyam upadiśati -	aTa-avyatirekeNa cit---rUpa-tva-aviSezeNa-api tayoH Ekyam upadiSati -
   puruṣeśvarayor atra na vailakṣaṇyam aṇv api |	puruza-ISvarayoH atra na vElakzaNyam aNu api |
   tad-anya-kalpanāpārthā iti [BhP 11.22.11] |	tad--anya-kalpanA-pArTAH iti [Bhj 11.22.11] |
   ṭīkā ca - kathaṃ tarhi pañcaviṃśati-pakṣas tatrāha puruṣeti | vailakṣaṇyaṃ	wIkA ca  kaTam tarhi paQcaviMSati-pakzaH tatra-Aha puruza-iti | vElakzaNyam
   visadṛśatvaṃ nāsti dvayor api cid-rūpatvāt | atas tayor atyantam anyatva-	visadRSa-tvam na-asti dvayoH api cit--rUpa-tvAt | atas tayoH atyantam anya-tva-
   kalpanā-pārthā ity eṣā | atra sadṛśatvānanyatvābhyāṃ tayoḥ śakti-	kalpanA--pArTAH iti ezA | atra sadRSa-tva-ananya-tvAByAm tayoH Sakti-
   śaktimattvaṃ darśitam | tenāvyatireko'pi || 11.21 || śrī-bhagavān ||42||	Saktimat-tvam darSitam | tena-avyatirekaH-api || 11.21 || SrI--BagavAn ||42||
   atha bhaktīcchuṃ prati tayor bhedam upadiśati |	aTa Bakti-icCum prati tayoH Bedam upadiSati |
   yadā rahitam ātmānaṃ	yadA rahitam AtmAnam
   bhūtendriya-guṇāśayaiḥ |	BUta-indriya---guNa-ASayEH |
   svarūpeṇa mayopetaṃ	svarUpeNa mayA-upetam
   paśyan svārājyam ṛcchati || [BhP 3.9.33]	paSyan svArAjyam RcCati || [Bhj 3.9.33]
   ātmānaṃ jīvaṃ svarūpeṇa tasyā jīva-śakter āśraya-bhūtena śaktimatā mayā	AtmAnam jIvam svarUpeNa tasyAH jIva-SakteH ASraya--BUtena SaktimatA mayA
   upetaṃ yuktam | svārājyaṃ sārṣṭyādikam || 3.9 || grabhodaśāyī	upetam yuktam | svArAjyam sArzwi-Adikam || 3.9 || graBodaSAyI
   brahmāṇam ||43||	brahmANam ||43||
   tatra bhede hetum āha -	tatra Bede hetum Aha -
   anādy-avidyā-yuktasya	anAdy-a-vidyA--yuktasya
   puruṣasyātma-vedanam |	puruzasya-Atma--vedanam |
   svato na sambhavād anyas	svatas na samBavAt anya-s
   tattvajño jñānado bhavet || [BhP 11.22.10]	tattva-jQaH jQAna-daH Bavet || [Bhj 11.22.10]
   ṭīkā ca - svato na sambhavati, anyatas tu sambhavāt | svataḥ sarvajñaḥ	wIkA ca  svatas na samBavati, anyatas tu samBavAt | svatas sarvajQaH
   parmeśvaro'nyo bhaved iti aḍ-viṃśati-tattva-poakṣābhiprāyaḥ ity eṣā |	parmeSvaraH-anyaH Bavet iti ax-viMSati--tattva-poakza-aBiprAyaH iti ezA |
   jñānadatvam atra jñānāj jñātuś ca vailakṣaṇyam īśvarasya bodhayaty eveti	jQAna-da-tvam atra jQAnAt jQAtuH ca vElakzaNyam ISvarasya boDayati eva-iti
   bhāvaḥ | evaṃ tvatto jñānaṃ hi jīvānāṃ pramoṣas te'tra śaktitaḥ [BhP	BAvaH | evam tvattaH jQAnam hi jIvAnAm pramozaH te-atra Saktitas [BhP
   ity uddhava-vākyaṃ cāgre |	iti udDava--vAkyam ca-agre |
   atra yadi jīvājñānakalpitam eva tasya parameśvaratvaṃ syāt tarhi sthāṇu-	atra yadi jIva-ajQAna-kalpitam eva tasya parameSvara-tvam syAt tarhi sTANu-
   puruṣavat tasya jñāna-dattam api na syād ity ataḥ satya eva	puruza-vat tasya jQAna-dattam api na syAt iti atas satyaH eva
   jīveśvara-bheda	jIveSvara-Beda
   ity evaṃ śrīmad-īśvareṇaiva svayaṃ tasya	iti evam SrImat--ISvareNa-eva svayam tasya
   pāramarthikeśvarābhimānitvenaivāstitvaṃ mūḍhān prati bodhitam iti	pAramarTikeSvara-aBimAni-tvena-eva-astitvam mUXAn prati boDitam iti
   spaṣṭam | bheda-vādinaś cātraiva prakaraṇe yathā viviktaṃ yad vaktraṃ	spazwam | Beda-vAdinaH ca-atra-eva prakaraNe yaTA viviktam yat vaktram
   gṛhṇīmo yukti-sambhavād ity atra parama-vivekajas tu bheda eveti | tathā,	gRhNImaH yukti-samBavAt iti atra parama-viveka-jaH tu BedaH eva-iti | taTA,
   māyāṃ madīyām udagṛhya vadatāṃ kiṃ nu durghaṭam iti [BhP 11.22.4] ca	mAyAm madIyAm udagRhya vadatAm kim nu durGawam iti [Bhj 11.22.4] ca
   manyate |	manyate |
   nanu,	nanu,
   śrutiḥ pratyakṣam aitihyam anumānaṃ catuṣṭayam |	SrutiH pratyakzam Etihyam anumAnam catuzwayam |
   pramāṇeṣv anavasthānād vikalpān sa virajyate || ity [BhP 11.19.17]	pramANezu anavasTAnAt vikalpAn sa virajyate || iti [Bhj 11.19.17]
   atra bheda-mātraṃ niṣidhyate vikalpa-śabdasya saṃśayārthatvāt | saṃśayaṃ	atra Beda--mAtram niziDyate vikalpa--Sabdasya saMSaya-arTa-tvAt | saMSayam
   parityajya vastuny eva niṣṭhā karotīty arthaḥ | ataeva karmaṇāṃ	parityajya vastuni eva nizWA karoti-iti arTaH | ataeva karmaNAm
   pariṇāmitvād āviriñcyād amaṅgalam | vipaścin naśvaraṃ paśyed adṛṣṭam	pariNAmi-tvAt AviriQcyAt amaFgalam | vipaScit naSvaram paSyet adRzwam
   api dṛṣṭavad ity atrāsyottara-śloke'pi viriñcam evāvadhiṃ kṛtvā	api dRzwa-vat iti atra-asya-uttara--Sloke-api viriQcam eva-avaDim kRtvA
   naśvaratva-	naSvara-tva-
   dṛṣṭir uktā na tu vaikuṇṭhādikam apīti || 11.19 || śrī-bhagavān ||44||	dRzwiH uktA na tu vEkuNWa-Adikam api-iti || 11.19 || SrI--BagavAn ||44||
