   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   (KauśS_2,8[17].23) sabhām udāyāti	(KOSS_2,8[17].23) saBAm udAyAti
   (KauśS_2,8[17].24) madhumiśraṃ brāhmaṇān bhojayati	(KOSH _2,8[17].24) maDu miSram brAhmaNAn Bojayati
   (KauśS_2,8[17].25) rasān āśayati	(KOSH _2,8[17].25) rasAn ASayati
   (KauśS_2,8[17].26) māhiṣāṇy upayāti	(KOSH _2,8[17].26) mAhizANi upayAti
   (KauśS_2,8[17].27) kuryur gām iti gārgyapārthaśravasau neti bhāgaliḥ	(KOSS_2,8[17].27) kuryuH gAm iti gArgya pArTa SravasO na iti BAgaliH
   (KauśS_2,8[17].28) <imam indra vardhaya kṣatriyaṃ me [4.22]> iti kṣatriyaṃ	(KOSS_2,8[17].28) <imam indra varDaya kzatriyam me [4.22]> iti kzatriyam
   prātaḥ_prātar abhimantrayate	prAtar _prAtar aBimantrayate
   (KauśS_2,8[17].29) uktaṃ samāsecanaṃ viparidhānam	(KOSS_2,8[17].29) uktam samAsecanam vipariDAnam
   (KauśS_2,8[17].30) <savitā prasavānām [5.24]> iti paurohitye vatsyan	(KOSS_2,8[17].30) <savitA prasavAnAm [5.24]> iti pOrohitye vatsyan
   vaiśvalopīḥ samidha ādhāya	vESvalopIH samiDaH ADAya
   (KauśS_2,8[17].31) <indra kṣatram [7.84.2]> iti kṣatriyam upanayīta	(KOSS_2,8[17].31) <indra kzatram [7.84.2]> iti kzatriyam upanayIta
   (KauśS_2,8[17].32) tad āhur na kṣatriyaṃ sāvitrīṃ vācayed iti	(KOSS_2,8[17].32) tat AhuH na kzatriyam sAvitrIm vAcayet iti
   (KauśS_2,8[17].33) kathaṃ nu tam upanayīta yan na vācayed	(KOSS_2,8[17].33) kaTam nu tam upanayIta yat na vAcayet 
   (KauśS_2,8[17].34) vācayed eva vācayed eva	(KOSS_2,8[17].34) vAcayet eva vAcayet eva
   (KauśS 2 Colophon) iti atharvavede kauśikasūtre dvitīyo 'dhyāyaḥ samāptaḥ	(KOSH 2 ColoPon) iti aTarvavede kOSika sUtre dvitIyaH aDyAyaH samAptaH
   (KauśS_3,1[18].1) pūrvasya pūrvasyāṃ paurṇamāsyām astamita udakānte	(KOSS_3,1[18].1) pUrvasya pUrvasyAm pOrNamAsyAm astamite udaka ante
   kṛṣṇacailaparihito nirṛtikarmāṇi prayuṅkte	kRzNa cEla parihitaH nirRti karmANi prayuFkte
   (KauśS_3,1[18].2) nāvyāyā dakṣiṇāvarte śāpeṭaṃ nikhanet	(KOSS_3,1[18].2) nAvyAyAH dakziNa Avarte SApewam niKanet 
   (KauśS_3,1[18].3) apāṃ sūktair avasiñcati	(KOSS_3,1[18].3) apAm sUktEH avasiQcati
   (KauśS_3,1[18].4) apsu kṛṣṇaṃ jahāti	(KOSS_3,1[18].4) apsu kRzNam jahAti
   (KauśS_3,1[18].5) ahatavasana upamucya_upānahau jīvaghātyāyā udāvrajati	(KOSS_3,1[18].5) ahata vasanaH upamucya_upAnahO jIva GAtyAyAH udAvrajati
   (KauśS_3,1[18].6) proṣya tām uttarasyāṃ sāṃpadaṃ kurute	(KOSS_3,1[18].6) prozya tAm uttarasyAm sAMpadam kurute
   (KauśS_3,1[18].7) śāpeṭam ālipyāpsu nibadhya tasminn upasamādhāya	(KOSS_3,1[18].7) SApewam Alipya apsu nibaDya tasmin upasamADAya
   saṃpātavantaṃ karoti	saMpAtavantam karoti
   (KauśS_3,1[18].8) aśnāti	(KOSH _3,1[18].8) aSnAti
   (KauśS_3,1[18].9) ādhāya kṛṣṇaṃ pravāhayati	(KOSS_3,1[18].9) ADAya kRzNam pravAhayati
   (KauśS_3,1[18].10) upamucya jaradupānahau savyena jarat_chattraṃ dakṣiṇena	(KOSS_3,1[18].10) upamucya jarat upAnahO savyena jarat _Cattram dakziNena
   śālātṛṇāṇy ādīpya jīrṇaṃ vīriṇam abhinyasyati	SAlA tRNANi AdIpya jIrNam vIriNam aBinyasyati
   (KauśS_3,1[18].11) anāvṛtam āvṛtya sakṛj juhoti	(KOSS_3,1[18].11) anAvRtam AvRtya sakRt juhoti
   (KauśS_3,1[18].12) savyaṃ praharaty upānahau ca	(KOSS_3,1[18].12) savyam praharati upAnahO ca
   (KauśS_3,1[18].13) jīrṇe vīriṇa upasamādhāya <ayaṃ te yonir [3.20]> iti	(KOSH _3,1[18].13) jIrNe vIriNaH upasamADAya <ayam te yoniH [3.20]> iti
   jaratkoṣṭhād vrīhīñ śarkarāmiśrān āvapati	jarat kozWAt vrIhIn SarkarA miSrAn Avapati
   (KauśS_3,1[18].14) <ā no bhara [5.7]> iti dhānāḥ	(KOSS_3,1[18].14) <A naH BaraH [5.7]> iti DAnAH
   (KauśS_3,1[18].15) yuktābhyāṃ saha koṣṭhābhyāṃ tṛṭīyām	(KOSS_3,1[18].15) yuktAByAm saha kozWAByAm tRwIyAm
   (KauśS_3,1[18].16) kṛṣṇaśakuneḥ savyajaṅghāyām aṅkam anubadhyāṅke	(KOSS_3,1[18].16) kRzNa SakuneH savyajaFGAyAm aFkam anubaDya aFke
   puroḍāśaṃ <pra patetaḥ [7.115]> iti anāvṛtaṃ prapādayati	puroxASam <pra pata itas [7.115]> iti anAvRtam prapAdayati
   (KauśS_3,1[18].17) nīlaṃ saṃdhāya lohitam āchādya śuklaṃ pariṇahya	(KOSH _3,1[18].17) nIlam saMDAya lohitam ACAdya Suklam pariNahya
   dvitīyayā_uṣṇīṣam aṅkena_upasādya savyena sahāṅkenāvāṅ apsu_apavidhyati	dvitIyayA_uzNIzam aFkena_upasAdya savyena saha aFkena avAF apsu_apaviDyati
   (KauśS_3,1[18].18) tṛtīyayā channaṃ caturthyā saṃvītam	(KOSH _3,1[18].18) tRtIyayA Cannam caturTyA saMvItam
   (KauśS_3,1[18].19) pūrvasya citrākarma	(KOSS_3,1[18].19) pUrvasya citrAkarma
   (KauśS_3,1[18].20) kulāyaśṛtaṃ [ed. kulāya ś , but cf. Caland Kl. Schr.	(KOSS_3,1[18].20) kulAya SRtam [ed. kulAya S , bud cf. Caland Kl. SCr.
   58] haritabarhiṣam aśnāti	58] harita barhizam aSnAti
   (KauśS_3,1[18].21) anvaktāḥ prādeśamātrīr ādadhāti	(KOSH _3,1[18].21) anvaktAH prAdeSa mAtrIH AdaDAti
   (KauśS_3,1[18].22) nāvyayoḥ sāṃvaidye paścād agner bhūmiparilekhe kīlālaṃ	(KOSS_3,1[18].22) nAvyayoH sAMvEdye paScAt agneH BUmi parileKe kIlAlam
   mukhenāśnāti	muKena aSnAti
   (KauśS_3,1[18].23) tejovrataṃ trirātram aśnāti	(KOSS_3,1[18].23) tejaH vratam tri rAtram aSnAti
   (KauśS_3,1[18].24) tadbhakṣaḥ	(KOSS_3,1[18].24) tad BakzaH
   (KauśS_3,1[18].25) śaṃbhumayobhubhyāṃ [1.5 + 1.6]> <brahma jajñānam	(KOSS_3,1[18].25) SaMBu mayoBuByAm [1.5 + 1.6]> <brahma jajQAnam
   [4.1.1]> <asya vāmasya [9.9]> <yo rohito [13.1.25]> <ud asya ketavo	[4.1.1]> <asya vAmasya [9.9]> <yaH rohitaH [13.1.25]> <ud asya ketava u
   [13.2.1]> <mūrdhāhaṃ [16.3.1]> <viṣāsahim [17.1.1 5]> iti salilaiḥ	[13.2.1]> <mUrDA aham [16.3.1]> <vizAsahim [17.1.1 5]> iti salilEH
   kṣīraudanam aśnāti	kzIra odanam aSnAti
   (KauśS_3,1[18].26) manthāntāni	(KOSS_3,1[18].26) manTa antAni
   (KauśS_3,1[18].27) dvitīyena pravatsyan haviṣām upadadhīta	(KOSS_3,1[18].27) dvitIyena pravatsyan havizAm upadaDIta
   (KauśS_3,1[18].28) atha pratyetya	(KOSS_3,1[18].28) aTa pratyetya
   (KauśS_3,1[18].29) atha pratyetya	(KOSS_3,1[18].29) aTa pratyetya
   (KauśS_3,1[18].30) atha prārthayamāṇaḥ	(KOSS_3,1[18].30) aTa prArTayamANaH
   (KauśS_3,1[18].31) atha prārthayamāṇaḥ	(KOSS_3,1[18].31) aTa prArTayamANaH
   (KauśS_3,1[18].32) catvāro dhāyāḥ palāśayaṣṭīnāṃ bhavanti	(KOSH _3,1[18].32) catvAraH DAyAH palASa yazwInAm Bavanti
   (KauśS_3,1[18].33) darbhāṇām upolavānāṃ catvāraḥ	(KOSH _3,1[18].33) darBANAm upolavAnAm catvAraH
   (KauśS_3,1[18].34) taṃ vyatiṣaktam aṣṭāvaram idhmaṃ	(KOSS_3,1[18].34) tam vyatizaktam azwa avaram iDmam
   sāttrike_agnau_ādhāyājyenābhijuhuyāt	sAttrike_agnO_ADAya Ajyena aBijuhuyAt 
   (KauśS_3,1[18].35) dhūmaṃ niyacheta	(KOSS_3,1[18].35) DUmam niyaCeta
   (KauśS_3,1[18].36) lepaṃ prāśnīyāt	(KOSH _3,1[18].36) lepam prASnIyAt 
   (KauśS_3,1[18].37) tam u cen na vinded atha sattrasyāyatane yajñāyatanam	(KOSS_3,1[18].37) tam u ced na vindet aTa sattrasya Ayatane yajQa Ayatanam
   iva kṛtvā	iva kRtvA
   (KauśS_3,1[18].38) samudra ity ācakṣate karma	(KOSS_3,1[18].38) samudraH iti Acakzate karma
   (KauśS_3,2[19].1) <ambayo yanty [1.4.1]> śaṃbhumayobhubhyāṃ [1.5 + 1.6]	(KOSH _3,2[19].1) <ambayaH yanti [1.4.1]> SaMBu mayoBuByAm [1.5 + 1.6]
   <brahma jajñānam [4.1]> <ā gāvo [4.21.1]> <ekā ca me [5.15.1]> iti gā	<brahma jajQAnam [4.1]> <A gAvaH [4.21.1]> <ekA ca me [5.15.1]> iti gA
   lavaṇaṃ pāyayaty upatāpinīḥ	lavaNam pAyayati upatApinIH
   (KauśS_3,2[19].2) prajananakāmāḥ	(KOSS_3,2[19].2) prajanana kAmAH
   (KauśS_3,2[19].3) prapām avaruṇaddhi	(KOSS_3,2[19].3) prapAm avaruNadDi
   (KauśS_3,2[19].4) <saṃ saṃ sravantu [1.15.1]> iti nāvyābhyām udakam	(KOSS_3,2[19].4) <sam sam sravantu [1.15.1]> iti nAvyAByAm udakam
   āharataḥ sarvata upāsecam	AharataH sarvatas upAsecam
   (KauśS_3,2[19].5) tasmin maiśradhānyaṃ śṛtam aśnāti	(KOSH _3,2[19].5) tasmin mESraDAnyam SRtam aSnAti
   (KauśS_3,2[19].6) manthaṃ vā dadhimadhumiśram	(KOSS_3,2[19].6) manTam vA daDi maDu miSram
   (KauśS_3,2[19].7) yasya śriyaṃ kāmayate tato vrīhi_ājyapaya āhārya	(KOSS_3,2[19].7) yasya Sriyam kAmayate tatas vrIhi_Ajya payaH AhArya
   kṣīraudanam aśnāti	kzIra odanam aSnAti
   (KauśS_3,2[19].8) tadalābhe haritagomayam āhārya śoṣayitvā trivṛti	(KOSS_3,2[19].8) tad alABe harita gomayam AhArya SozayitvA trivRti
   gomayaparicaye śṛtam aśnāti	gomaya paricaye SRtam aSnAti
   (KauśS_3,2[19].9) <śerabhaka [2.24.1]> iti sāmudram apsu karma vyākhyātam	(KOSS_3,2[19].9) <SeraBakaH [2.24.1]> iti sAmudram apsu karma vyAKyAtam
   (KauśS_3,2[19].10) anapahatadhānā lohitājāyā drapsena saṃnīyāśnāti	(KOSH _3,2[19].10) anapahata DAnAH lohita ajAyAH drapsena saMnIya aSnAti
   (KauśS_3,2[19].11) etāvad upaiti	(KOSS_3,2[19].11) etAvat upEti
   (KauśS_3,2[19].12) tṛṇānāṃ granthīn udgrathnann apakrāmati	(KOSH _3,2[19].12) tRNAnAm granTIn udgraTnan apakrAmati
   (KauśS_3,2[19].13) tān udāvrajann udapātrasya_udapātreṇābhiplāvayati	(KOSS_3,2[19].13) tAn udAvra jan udapAtrasya_uda pAtreNa aBiplAvayati
   mukhaṃ vimārṣṭi [note conj. Speijer Museum 9 250]	muKam vimArzwi [note ca unj. SpeijeH Museum 9 250]
   (KauśS_3,2[19].14) <eha yantu paśavo [2.26.1]> <saṃ vo goṣṭhena [3.24.1]>	(KOSS_3,2[19].14) <a iha yantu paSavaH [2.26.1]> <sam vaH gozWena [3.24.1]>
   <prajāvatīḥ [4.21.7 / 7.75]> <prajāpatir [6.11.3]> iti goṣṭhakarmāṇi	<prajAvatIH [4.21.7 / 7.75]> <prajApatiH [6.11.3]> iti gozWa karmANi
   (KauśS_3,2[19].15) gṛṣṭeḥ pīyūṣaṃ śleṣmamiśram aśnāti	(KOSH _3,2[19].15) gRzweH pIyUzam Slezma miSram aSnAti
   (KauśS_3,2[19].16) gāṃ dadāti	(KOSS_3,2[19].16) gAm dadAti
   (KauśS_3,2[19].17) udapātraṃ ninayati	(KOSS_3,2[19].17) uda pAtram ninayati
   (KauśS_3,2[19].18) samūhya savyenādhiṣṭhāyārdhaṃ dakṣiṇena vikṣipati	(KOSS_3,2[19].18) samUhya savyena aDizWAya arDam dakziNena vikzipati
   (KauśS_3,2[19].19) sārūpavatse śakṛtpiṇḍān guggululavaṇe pratinīya paścād	(KOSS_3,2[19].19) sArUpavatse SakRt piNxAn guggulu lavaNe pratinIya paScAt 
   agner nikhanati	agneH niKanati
   (KauśS_3,2[19].20) tisṛṇāṃ prātar aśnāti	(KOSS_3,2[19].20) tisRNAm prAtar aSnAti
   (KauśS_3,2[19].21) vikṛte saṃpannam	(KOSS_3,2[19].21) vikRte saMpannam
   (KauśS_3,2[19].22) <āyam agan [3.5.1]> <ayaṃ pratisaro [8.5.1]> <ayaṃ me	(KOSS_3,2[19].22) <a ayam agan [3.5.1]> <ayam pratisaraH [8.5.1]> <ayam me
   varaṇo [10.3.1]> <arātīyor [10.6.1]> iti mantroktān vāsitān badhnāti	varaNaH [10.3.1]> <arAtIyoH [10.6.1]> iti mantra uktAn vAsitAn baDnAti
   (KauśS_3,2[19].23) uttamasya caturo jātarūpaśakalenānusūtraṃ	(KOSS_3,2[19].23) uttamasya caturaH jAtarUpa Sakalena anusUtram
   gamayitvāvabhujya traidhaṃ paryasyati	gamayitvA avaBujya trEDam paryasyati
   (KauśS_3,2[19].24) <etam idhmam [10.6.35]> ity upasamādhāya	(KOSS_3,2[19].24) <etam iDmam [10.6.35]> iti upasamADAya
   (KauśS_3,2[19].25) <tam imaṃ devatā [10.6.29]> iti vāsitam ullupya	(KOSS_3,2[19].25) <tam imam devatAH [10.6.29]> iti vAsitam ullupya
   <brahmaṇā tejasā [10.6.30]> iti badhnāti	<brahmaNA tejasA [10.6.30]> iti baDnAti
   (KauśS_3,2[19].26) <uttamo asi [6.15.1]> iti mantroktam	(KOSS_3,2[19].26) <uttamaH asi [6.15.1]> iti mantra uktam
   (KauśS_3,2[19].27) <akṣitās ta [6.142.3]> iti yavamaṇim	(KOSH _3,2[19].27) <akzitAH te [6.142.3]> iti yavamaNim
   (KauśS_3,2[19].28) <prathamā ha vyuvāsa sā [3.10]> ity aṣṭakyāyā vapāṃ	(KOSS_3,2[19].28) <praTamA ha vyuvAsa sA [3.10]> iti azwakyAyAH vapAm
   sarveṇa sūktena trir juhoti	sarveNa sUktena tris juhoti
   (KauśS_3,2[19].29) samavattānāṃ sthālīpākasya	(KOSS_3,2[19].29) samavattAnAm sTAlIpAkasya
   (KauśS_3,2[19].30) sahahutān ājyamiśrān hutvā paścād agner vāgyataḥ	(KOSS_3,2[19].30) saha hutAn Ajya miSrAn hutvA paScAt agneH vAgyataH
   saṃviśati	saMviSati
   (KauśS_3,2[19].31) mahābhūtānāṃ kīrtayan saṃjihīte	(KOSH _3,2[19].31) mahABUtAnAm kIrtayan saMjihIte
   (KauśS_3,3[20].1) <sīrā yuñjanti [3.17.1]> iti yugalāṅgalaṃ pratanoti	(KOSS_3,3[20].1) <sIrAH yuQjanti [3.17.1]> iti yuga lAFgalam pratanoti
   (KauśS_3,3[20].2) dakṣiṇam uṣṭāraṃ prathamaṃ yunakti	(KOSH _3,3[20].2) dakziNam uzwAram praTamam yunakti
   (KauśS_3,3[20].3) <ehi pūrṇaka [ ]>_ity uttaram	(KOSS_3,3[20].3) <ehi pUrNakaH [ ]>_iti uttaram
   (KauśS_3,3[20].4) kīnāśā itarān	(KOSH _3,3[20].4) kInASAH itarAn
   (KauśS_3,3[20].5) <aśvinā phālaṃ kalpayatām upāvatu bṛhaspatiḥ | yathāsad	(KOSS_3,3[20].5) <aSvinA PAlam kalpayatAm upAvatu bRhaspatiH | yaTAsad
   bahudhānyam ayakṣmaṃ bahupūruṣam [PS 8.18.6]> iti phālam atikarṣati	bahu DAnyam ayakzmam bahu pUruzam [PS 8.18.6]> iti PAlam atikarzati
   (KauśS_3,3[20].6) <irāvān asi dhārtarāṣṭre tava me sattre rādhyatām [ ]>	(KOSS_3,3[20].6) <irAvAn asi DArtarAzwre tava me sattre rADyatAm [ ]>
   iti pratimimīte	iti pratimimIte
   (KauśS_3,3[20].7) <apahatāḥ pratiṣṭhāḥ [ ]> ity apūpaiḥ pratihatya kṛṣati	(KOSH _3,3[20].7) <apahatAH pratizWAH [ ]> iti apUpEH pratihatya kRzati
   (KauśS_3,3[20].8) sūktasya pāraṃ gatvā prayachati	(KOSS_3,3[20].8) sUktasya pAram gatvA prayaCati
   (KauśS_3,3[20].9) tisraḥ sītāḥ prācīr gamayanti kalyāṇīr vāco vadantaḥ	(KOSH _3,3[20].9) tisraH sItAH prAcIH gamayanti kalyANIH vAcaH vadantaH
   (KauśS_3,3[20].10) <sīte vandāmahe tvā [3.17.8]> ity	(KOSS_3,3[20].10) <sIte vandAmahe tvA [3.17.8]> iti 
   āvartayitvā_uttarasmin sītānte puroḍāśena_indraṃ yajate	AvartayitvA_uttarasmin sItA ante puroxASena_indram yajate
   (KauśS_3,3[20].11) aśvinau sthālīpākena	(KOSH _3,3[20].11) aSvinO sTAlIpAkena
   (KauśS_3,3[20].12) sītāyāṃ saṃpātān ānayanti	(KOSS_3,3[20].12) sItAyAm saMpAtAn Anayanti
   (KauśS_3,3[20].13) udapātre_uttarān	(KOSS_3,3[20].13) uda pAtre_uttarAn
   (KauśS_3,3[20].14) śaṣpahaviṣām avadhāya	(KOSS_3,3[20].14) Sazpa havizAm avaDAya
   (KauśS_3,3[20].15) sarvam anakti	(KOSS_3,3[20].15) sarvam anakti
   (KauśS_3,3[20].16) yatra saṃpātān ānayati tato loṣṭaṃ dhārayantaṃ patnī	(KOSS_3,3[20].16) yatra saMpAtAn Anayati tatas lozwam DArayantam patnI
   pṛchaty akṛkṣata_iti	pRCati akRkzate _iti
   (KauśS_3,3[20].17) akṛkṣāma_iti	(KOSS_3,3[20].17) akRkzAmaH _iti
   (KauśS_3,3[20].18) kim āhārṣīr iti	(KOSS_3,3[20].18) kim AhArzIH iti
   (KauśS_3,3[20].19) <vittiṃ bhūtiṃ puṣṭiṃ prajāṃ paśūn annam annādyam [cf.	(KOSS_3,3[20].19) <vittim BUtim puzwim prajAm paSUn annam annAdyam [cf.
   i.a. PS 5.35.1, PS 19.53.19? (= PSK 19.53.10)]> iti	i.a. PH 5.35.1, PS 19.53.19? ( PSK 19.53.10)]> iti
   (KauśS_3,3[20].20) uttarato madhyamāyāṃ nivapati	(KOSS_3,3[20].20) uttaratas maDyamAyAm nivapati
   (KauśS_3,3[20].21) abhyajya_uttaraphālaṃ prātar āyojanāya nidadhāti	(KOSS_3,3[20].21) aByajya_uttara PAlam prAtar AyojanAya nidaDAti
   (KauśS_3,3[20].22) sītāśiraḥsu darbhān āstīrya plakṣa_udumbarasya	(KOSS_3,3[20].22) sItA SiraHsu darBAn AstIrya plakzaH _udumbarasya
   trīṃs_trīṃś camasān nidadhāti	trIn= _trIn camasAn nidaDAti
   (KauśS_3,3[20].23) rasavato dakṣiṇe śaṣpavato madhyame puroḍāśavata uttare	(KOSH _3,3[20].23) rasavataH dakziNe SazpavataH maDyame puroxASavataH uttare
   (KauśS_3,3[20].24) darbhān pratyavabhujya saṃvapati	(KOSS_3,3[20].24) darBAn pratyavaBujya saMvapati
   (KauśS_3,3[20].25) sārūpavatse śakṛtpiṇḍān guggululavaṇe pratinīyāśnāti	(KOSS_3,3[20].25) sArUpavatse SakRt piNxAn guggulu lavaNe pratinIya aSnAti
   (KauśS_3,3[20].26) anaḍutsāṃpadam	(KOSS_3,3[20].26) anaxutsAMpadam
   (KauśS_3,4[21].1) <payasvatīr [3.24]> iti sphātikaraṇam	(KOSS_3,4[21].1) <payasvatIH [3.24]> iti sPAti karaNam
   (KauśS_3,4[21].2) śāntaphalaśilākṛtiloṣṭavalmīkarāśivāpaṃ trīṇi	(KOSS_3,4[21].2) SAnta Pala SilA AkRti lozwa valmIka rASi vApam trINi
   kūdīprāntāni madhyamapalāśe darbheṇa pariveṣṭya rāśipalyeṣu karoti	kUdI prAntAni maDyama palASe darBeNa parivezwya rASi palyezu karoti
   (KauśS_3,4[21].3) sāyaṃ bhuñjate	(KOSS_3,4[21].3) sAyam BuQjate
   (KauśS_3,4[21].4) pratyāvapanti śeṣam	(KOSS_3,4[21].4) pratyAvapanti Sezam
   (KauśS_3,4[21].5) ā bhaktayātanāt	(KOSS_3,4[21].5) A Bakta yAtanAt 
   (KauśS_3,4[21].6) anumantrayate	(KOSS_3,4[21].6) anumantrayate
   (KauśS_3,4[21].7) <ayaṃ no nabhasas patiḥ [6.79]> iti palye_aśmānaṃ	(KOSS_3,4[21].7) <ayam naH naBasaH patiH [6.79]> iti palye_aSmAnam
   saṃprokṣyānvṛcaṃ kāśī opyāvāpayati	saMprokzya anvRcam kASI opya AvApayati
   (KauśS_3,4[21].8) <ā gāvo [4.21]> iti gā āyatīḥ pratyuttiṣṭhati	(KOSS_3,4[21].8) <A gAvaH [4.21]> iti gAH AyatIH pratyuttizWati
   (KauśS_3,4[21].9) prāvṛṣi prathamadhārasya_indrāya trir juhoti	(KOSS_3,4[21].9) prAvRzi praTama DArasya_indrAya tris juhoti
   (KauśS_3,4[21].10) <prajāvatīḥ []> iti pratiṣṭhamānā anumantrayate	(KOSS_3,4[21].10) <prajAvatIH []> iti pratizWamAnA anumantrayate
   (KauśS_3,4[21].11) karkīpravādānāṃ dvādaśadāmnyāṃ saṃpātavatyām <ayaṃ	(KOSS_3,4[21].11) karkI pravAdAnAm dvAdaSa dAmnyAm saMpAtavatyAm <ayam
   ghāso ... iha vatsām [4.38.7cd]> iti mantroktam	GAsaH ... iha vatsAm [4.38.7cd]> iti mantra uktam
   (KauśS_3,4[21].12) <yas te śokāya [5.1.3]> iti vastrasāṃpadī	(KOSS_3,4[21].12) <yaH te SokAya [5.1.3]> iti vastra sAMpadI
   (KauśS_3,4[21].13) tisraḥ kūdīmayīr ūrṇanābhikulāya parihitā anvaktā	(KOSH _3,4[21].13) tisraH kUdI mayIH UrNanABi kulAya parihitA anvaktA
   ādadhāti	AdaDAti
   (KauśS_3,4[21].14) atyanteṣīkāmauñjaparihitā [thus with Caland, AZ p. 55,	(KOSH _3,4[21].14) atyanta izIkA mOQja parihitAH [TuH wiT Caland, AZ p. 55,
   n. 5] madhunā pralipya cikkaśeṣu paryasya	n. 5] maDunA pralipya cikkaSezu paryasya
   (KauśS_3,4[21].15) <uta putraḥ [5.1.8]> iti jyeṣṭhaṃ putram avasāyayati	(KOSS_3,4[21].15) <uta putraH [5.1.8]> iti jyezWam putram avasAyayati
   (KauśS_3,4[21].16) mitaśaraṇaḥ sāṃpadaṃ kurute	(KOSH _3,4[21].16) mita SaraNaH sAMpadam kurute
   (KauśS_3,4[21].17) <ardham ardhena [5.1.9]> ity ārdrapāṇir asaṃjñātvā [so	(KOSH _3,4[21].17) <arDam arDena [5.1.9]> iti Ardra pANiH asaMjQAtvA [saH 
   Caland; ed. ārdrapāṇī rasaṃ jñātvā] prayachati	Caland; ed. ArdrapANiH rasam jQAtvA] prayaCati
   (KauśS_3,4[21].18) śāntaśākhayā prāgbhāgam apākṛtya	(KOSS_3,4[21].18) SAnta SAKayA prAc BAgam apAkRtya
   (KauśS_3,4[21].19) pratyagni paricṛtati	(KOSS_3,4[21].19) pratyagni paricRtati
   (KauśS_3,4[21].20) tasyā amāvāsyāyāṃ tisraḥ prādeśamātrīr ādadhāti	(KOSH _3,4[21].20) tasyAH amAvAsyAyAm tisraH prAdeSa mAtrIH AdaDAti
   (KauśS_3,4[21].21) <tve kratum [5.2.3]> iti rasaprāśanī	(KOSS_3,4[21].21) <tve kratum [5.2.3]> iti rasa prASanI
   (KauśS_3,4[21].22) rasakarmāṇi kurute	(KOSH _3,4[21].22) rasakarmANi kurute
   (KauśS_3,4[21].23) <stuṣva varṣman [5.2.7]> iti prājāpatyāmāvāsyāyām	(KOSS_3,4[21].23) <stuzva varzman [5.2.7]> iti prAjApatya amAvAsyAyAm
   astamite valmīkaśirasi darbhāvastīrṇe_adhyadhi dīpaṃ dhārayaṃs trir juhoti	astamite valmIka Sirasi darBa avastIrNe_aDyaDi dIpam DArayan tris juhoti
   (KauśS_3,4[21].24) taṇḍulasaṃpātān ānīya rasair upasicyāśnāti	(KOSH _3,4[21].24) taNxula saMpAtAn AnIya rasEH upasicya aSnAti
   (KauśS_3,4[21].25) evaṃ paurṇamāsyām ājya_ūtān	(KOSS_3,4[21].25) evam pOrNamAsyAm Ajye _UtAn
   (KauśS_3,5[22].1) <ṛdhaṅmantro [5.1]> <tad id āsa [5.2]> iti maiśradhānyaṃ	(KOSS_3,5[22].1) <RDaFmantraH [5.1]> <tat id Asa [5.2]> iti mESraDAnyam
   bhṛṣṭapiṣṭaṃ lohitālaṃkṛtaṃ rasamiśram aśnāti	BRzwa pizwam lohita alaMkRtam rasa miSram aSnAti
   (KauśS_3,5[22].2) abhṛṣṭaṃ plakṣa_udumbarasya_uttarato_agnes triṣu	(KOSS_3,5[22].2) aBRzwam plakzaH _udumbarasya_uttaratas _agneH trizu
   camaseṣu pūrvāhṇasya tejasāgram annasya prāśiṣam iti pūrvāhṇe	camasezu pUrvAhNasya tejasA agram annasya prASizam iti pUrvAhNe
   (KauśS_3,5[22].3) madhyandinasya tejasā madhyam annasya prāśi.am iti	(KOSH _3,5[22].3) maDyandinasya tejasA maDyam annasya prASi.am iti
   madhyandine	maDyandine
   (KauśS_3,5[22].4) aparāhṇasya tejasā sarvam annasya prāśiṣam ity aparāhṇe	(KOSS_3,5[22].4) aparAhNasya tejasA sarvam annasya prASizam iti aparAhNe
   (KauśS_3,5[22].5) ṛtumatyā striyā aṅgulibhyāṃ lohitam	(KOSS_3,5[22].5) RtumatyA striyAH aFguliByAm lohitam
   (KauśS_3,5[22].6) yat kṣetraṃ kāmayate tasmin kīlālaṃ dadhimadhumiśram	(KOSS_3,5[22].6) yat kzetram kAmayate tasmin kIlAlam daDi maDu miSram
   (KauśS_3,5[22].7) saṃvatsaraṃ striyam anupetya śuktyāṃ reta ānīya	(KOSS_3,5[22].7) saMvatsaram striyam anupetya SuktyAm retaH AnIya
   taṇḍulamiśraṃ saptagrāmam	taNxula miSram sapta grAmam
   (KauśS_3,5[22].8) dvādaśīm amāvāsyā_iti kṣīrabhakṣo bhavaty amāvāsyāyāṃ	(KOSS_3,5[22].8) dvAdaSIm amAvAsyA_iti kzIra BakzaH Bavati amAvAsyAyAm
   dadhimadhubhakṣas tasya mūtre_udakadadhimadhupalpūlanāni_āsicya	daDi maDu BakzaH tasya mUtre_udaka daDi maDu palpUlanAni_Asicya
   (KauśS_3,5[22].9) <kravyādaṃ nāḍī pra viveśāgniṃ prajābhāṅgirato	(KOSH _3,5[22].9) <kravyAdam nAxI pra viveSa agnim prajA BAFgirato
   māyayaitau | āvāṃ devī juṣāṇe ghṛtācī imam annādyāya pra viśataṃ svāhā	mAyayA etO | AvAm devI juzANe GRtAcI imam annAdyAya pra viSatam svAhA
