   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   --- prakṛṣṭaḥ pumān, pradīpaḥ prakāśa iti /	-- prakRzwaH pumAn, pradIpaH prakASaH iti /
   dvayoścaikatra mayūkhamālini prayuktayostu arthaviśeṣabodhakatvam /	dvayoH-ca-ekatra mayUKa-mAlini prayuktayoH-tu arTa-viSeza-boDaka-tvam /
   na caivaṃ jñānānandaśabdayorasti, laukikajñānānandasyāpi brahmarūpatvāt /	na ca-evam jQAna-Ananda-SabdayoH-asti, lOkika-jQAna-Anandasya-api brahma-rUpa-tvAt /
   bhedena vyutpattau bhagno 'dvaitavādaḥ /	Bedena vyutpattO BagnaH advEta-vAdaH /
   tasmādānandaśabdo duḥkhabhāvamātre prayuktaḥ, mukhye bādhakasambhavāt ---	tasmAt-Ananda-SabdaH duHKa-BAva-mAtre prayuktaH, muKye bADaka-samBavAt ---
   'aśarīraṃ vāva santaṃ na priyāpriye spṛśataḥ' (chā u 8.12.1) iti vacanāt /	aaSarIram vAva santam na priya-apriye spRSataH-a (CA u 8.12.1) iti vacanAt /
   na cāsya sāṃsārikasukhaniṣedhaparatvam, sukhadvayasyābhāvāt /	na ca-asya sAMsArika-suKa-nizeDa-paratvam, suKa-dvayasya-aBAvAt /
   loke 'pi mātrayā paramānandapratītirityabhyupagamāt /	loke api mAtrayA parama-Ananda-pratItiH-iti-aByupagamAt /
   na cātrāvacchinnasukhaniṣedhārtham, tatrāpyavacchedasyaiva niṣedho na	na ca-atra-avacCinna-suKa-nizeDa-arTam, tatra-api-avacCedasya-eva nizeDaH na
   sukhasya /	suKasya /
   na ca sāmānyaśabdasya saṃkoce pramāṇamasti /	na ca sAmAnya-Sabdasya saMkoce pramANam-asti /
   na cānandaśrutiḥ pramāṇam, tasyā upacaritārthatvāt /	na ca-Ananda-SrutiH pramANam, tasyAH upacarita-arTa-tvAt /
   na ca viparyayaḥ, ānandasya sarvadā-adarśanenānityatvaprāptau	na ca viparyayaH, Anandasya sarva-dA-a-darSanena-anitya-tva-prAptO
   mokṣatvavyāghātāt /	mokza-tva-vyAGAtAt /
   yogarddhisamāsāditacirakālopabhogayogyasukhaviśeṣaparatvenāpyupapatteḥ /	yoga-RdDi-samAsAdita-cira-kAla-upaBoga-yogya-suKa-viSeza-paratvena-api-upapatteH /
   anantatvādiśrutistu āpekṣikasukhādyapekṣayā bahukālatvena vyākhyeyā,	ananta-tva-Adi-SrutiH-tu Apekzika-suKa-Adi-apekzayA bahu-kAla-tvena vyAKyeyA,
   'amṛtā devā' itivat /	aamRtAH devAa iti-vat /
   na ca pravṛttyanupapattiḥ, nityatve sutarāmanupapatteḥ /	na ca pravRtti-anupapattiH, nitya-tve sutarAm-anupapatteH /
   na hi siddhasya sampādanāya kaścid yatate 'tra /	na hi sidDasya sampAdanAya kaScid yatate atra /
   avacchedanivṛttyarthamiti cet, tarhi prāptāprāptavivekino	avacCeda-nivRtti-arTam-iti cet, tarhi prApta-aprApta-vivekinaH-
   'trāvacchedanivṛttireva kṛtyuddeśyā, anyasya vidyamānasyāpyatantratvāt /	atra-avacCeda-nivRttiH-eva kRti-uddeSyA, anyasya vidyamAnasya-api-atantra-tvAt /
   na caikanityasukhavāde kāraṇopādānaṃ ghaṭate, tadviśeṣe tu kaiva kathā? na	na ca-eka-nitya-suKa-vAde kAraNa-upAdAnam Gawate, tad-viSeze tu kA-eva kaTA? na
   caikasyaivātiśayānatiśayau śaṅkārhau, ekatvavyāghātāt /	ca-ekasya-eva-atiSaya-an-atiSayO SaFkA-arhO, ekatva-vyAGAtAt /
   avacchedanivṛttyarthaṃ kāraṇaviśeṣopādānamiti vaktavyam, tatra ca	avacCeda-nivRtti-arTam kAraNa-viSeza-upAdAnam-iti vaktavyam, tatra ca
   duḥkhābhāvasya sukhatvenānubhavasya niratiśayatvāt, tadanupapattiriti yo	duHKa-aBAvasya suKa-tvena-anuBavasya niratiSaya-tvAt, tad-anupapattiH-iti yaH-
   'yaṃ doṣa uktaḥ, sa samānaḥ /	ayam dozaH uktaH, sa samAnaH /
   tasmād duḥkhābhāvātiriktasukhasādhanaparyālocanayā janyamanityamanekaṃ	tasmAt duHKa-aBAva-atirikta-suKa-sADana-paryAlocanayA janyam-anityam-anekam
   cābhyupeyam /	ca-aByupeyam /
   na ca tathāvidhasya muktau kathāsambhava iti /	na ca taTAviDasya muktO kaTA-samBavaH iti /
   jñānaśabdaśca jñāyate 'sminnityadhikaraṇavācakaḥ /	jQAna-SabdaH-ca jQAyate asmin=-iti-aDikaraNa-vAcakaH /
   ānantyaṃ punarūbhayāntābhāva eva, tatraiva lokavyutpatteḥ /	Anantyam punar-UBaya-anta-aBAvaH eva, tatra-eva loka-vyutpatteH /
   ekamiti ca dvairūpyanirākaraṇaparam, ekatvasaṃkhyāṃ vācaṣṭe, loke tatraiva	ekam-iti ca dvErUpya-nirAkaraNa-param, eka-tva-saMKyAm vA-Acazwe, loke tatra-eva
   vyutpatteḥ, lokāvagataśakteśca vede bodhakatvāt /	vyutpatteH, loka-avagata-SakteH-ca vede boDaka-tvAt /
   tasmājjñānāśraya ātmeti siddham /	tasmAt-jQAna-ASrayaH AtmA-iti sidDam /
   [ātmano nānātvam--]	[a-AtmanaH nAnA-tvam---]
   vivādādhyāsitaṃ mayā sambaddhaṃ mūrtatvāt, maccharīravad -- iti	vivAda-aDyAsitam mayA sambadDam mUrta-tvAt, mad-SarIra-vat - iti
   nityatvānāditvasarvagatatvasiddhiḥ /	nitya-tva-anAdi-tva-sarva-gata-tva-sidDiH /
   tasya cānekatvam, vyavasthānyathānupapatteḥ /	tasya ca-aneka-tvam, vyavasTAni-aTa-anupapatteH /
   anirvacanīyatve nirākṛte jīvabhede 'vipratipatteśca /	anirvacanIya-tve nirAkRte jIva-Bede avipratipatteH-ca /
   dvā suparṇā sayujā sakhāyā samānaṃ vṛkṣaṃ pariṣasvajāte /	dvA suparNA sa-yujA saKAyA samAnam vRkzam parizasvajAte /
   tayoranyaḥ pippalaṃ svādvattyanaśnannanyo abhicākaśīti /	tayoH-anyaH pippalam svAdvatti-anaSnan=-anyaH aBicAkaSIti /
   (mu 3.1.1) iti śruteḥ /	(mu 3.1.1) iti SruteH /
   asyā arthaḥ -- dvau suparṇau ātmānau sayujau = sahavartamānau sakhāyau =	asyAH arTaH - dvO suparNO AtmAnO sa-yujO  saha-vartamAnO saKAyO =
   ekakāryakāritvena, samānaṃ vṛkṣam = ekaṃ śarīraṃ pariṣasvajāte =	eka-kArya-kAri-tvena, samAnam vRkzam  ekam SarIram parizasvajAte =
   āliṅgitavantau /	AliFgitavantO /
   tayorātmanormadhye eko = bhoktā pippalaṃ svādu atti = sukhaviśeṣaṃ bhuṅkte	tayoH-AtmanoH-maDye ekaH  BoktA pippalam svAdu atti  suKa-viSezam BuFkte
   anaśnan anyaḥ = abhoktā īśvaraḥ abhicākaśīti = sarvato 'tyarthaṃ prakāśate	anaSnan anyaH  aBA-uktA ISvaraH aBicAkaSIti  sarvatas atyarTam prakASate
   iti vispaṣṭo jīvabrahmaṇorbhedaḥ /	iti vispazwaH jIva-brahmaNoH-BedaH /
   ajāmekāṃ lohitaśuklakṛṣṇāṃ bahvīḥ prajāḥ sṛjamānāṃ sarūpāḥ /	ajAm-ekAm lohita-Sukla-kRzNAm bahvIH prajAH sRjamAnAm sarUpAH /
   ajo hyeko juṣamāṇo 'nuśete jahātyenāṃ bhuktabhogāmajo 'nyaḥ /	ajaH hi-ekaH juzamANaH anuSete jahAti-enAm Bukta-BogAm-ajaH anyaH /
   (śvetā 4.5) itivat /	(SvetAH 4.5) iti-vat /
   na ca śrutipratīto 'nyathā bhavitumarhati /	na ca Sruti-pratItaH anyaTA Bavitum-arhati /
   kathaṃ tarhi `neha nānāsti kiṃcana' (bṛha 4.4.19) iti, `mṛtyoḥ sa	kaTam tarhi `na-iha nAnA-asti kiMcana-a (bRha 4.4.19) iti, `mRtyoH sa
   mṛtyumāpnoti, ya iha nāneva paśyati' (kaṭha 4.10) iti ca, (liṅgāt)	mRtyum-Apnoti, yaH iha nAnA-iva paSyati-a (kaWaH 4.10) iti ca, (liFgAt-)
   nānātvadarśane tadbhāvopacārāt /	nAnAtva-darSane tad-BAva-upacArAt /
   na ca sati prayojane nimitte copacāraḥ pravartate, na cātra	na ca sati prayojane nimitte ca-upacAraH pravartate, na ca-atra
   prayojanamastīti vācyam, niyamāsiddheḥ /	prayojanam-asti-iti vAcyam, niyama-asidDeH /
   ajñātamukhyeṣu yavavarāhādiṣu gauṇaśabdaprayogeṣu tadabhāvāt /	ajQAta-muKyezu yava-varAha-Adizu gONa-Sabda-prayogezu tad-aBAvAt /
   sattābodhakalākṣaṇikagośabde ca, yathā gaurvāhīkaḥ /	sattA-boDa-kalAkzaNika-go-Sabde ca, yaTA gOH-vAhIkaH /
   yathāhurvārtikakārāḥ ---	yaTA-AhuH-vArtikakArAH ---
   bahujātiguṇadravyakarmabhedāvalambinaḥ /	bahu-jAti-guNa-dravya-karma-Beda-avalambinaH /
   pratyayān sahasājātān śrautalākṣaṇikātmakān //	pratyayAn sahasA-ajAtAn SrOtala-akzaNika-AtmakAn //
   na lokaḥ kāraṇābhāvānnirdhārayitumicchati /	na lokaH kAraNa-aBAvAt-nirDArayitum-icCati /
   balābalādisidhyarthaṃ vākyajñāstu viviñcate //	bala-abala-Adi-siDi-arTam vAkya-jQAH-tu viviQcate //
   (ślo vā??)	(SlaH vA??)
   asmadādigauṇapratīterhi cintā /	asmad-Adi-gONa-pratIteH-hi cintA /
   vṛddhavyavahārāgateṣu gauṇaprayogeṣu ko 'yamāgrahaḥ, yathā sarṣaparase	vRdDa-vyavahAra-Agatezu gONa-prayogezu kaH ayam-AgrahaH, yaTA sarzapa-rase
   tailaśabdaḥ? mukhyeṣu bādhakābhāvāt kathamupacāra iti nāśaṅkanīyam,	tEla-SabdaH? muKyezu bADaka-aBAvAt kaTam-upacAraH iti na-aSaFkanIyam,
   pratyakṣeṇa śrutyā ca bhedapratīteḥ /	pratyakzeNa SrutyA ca Beda-pratIteH /
   ātmā dravyatvavyatiriktāparajātyādhārabhedena nānā,	AtmA dravya-tva-vyatiriktA-para-jAti-ADAra-Bedena nAnA,
   aśrāvaṇaviśeṣaguṇādhikaraṇatvāt, pṛthivyādivat /	aSrAvaNa-viSeza-guNa-aDikaraNa-tva-at, pRTivI-Adi-vat /
   tatra na mūrtatvamupādhiḥ, rūpādau tadabhāve 'pi sādhyānugamadarśanāt /	tatra na mUrta-tvam-upADiH, rUpa-AdO tad-aBAve api sADya-anugama-darSanAt /
   makarandastu vivādapadāni śarīrāṇi, ekenātmanātmavanti, śarīratvāt,	makarandaH-tu vivAda-padAni SarIrANi, ekena-AtmanA-Atmavanti, SarIra-tvAt,
   maccharīravaditi /	mad-SarIra-vat-iti /
   tasya nityatvam /	tasya nitya-tvam /
   viśeṣaguṇā dravyatvena sādhanīyāḥ /	viSeza-guNAH dravya-tvena sADanIyAH /
   tasya guṇāḥ --	tasya guNAH --
   buddhisukhaduḥkhecchādveṣaprayatnadharmabhāvanāsaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgāḥ	budDi-suKa-duHKa-icCA-dveza-prayatna-Darma-BAvanA-saMKyA-parimANa-pRTaktva-saMyoga-viBAgAH
   prayatnāśraya ātmā /	prayatna-ASrayaH AtmA /
   [manaso nirūpaṇam--]	[manasaH nirUpaNam--]
   vivādapadamindriyajajñānaviṣayaḥ, vastutvād ghaṭavat /	vivAda-padam-indriya-ja-jQAna-vizayaH, vastu-tvAt Gawa-vat /
   vivādādhyāsito mūrtasaṃyogāsamavāyikāraṇakaviśeṣaguṇādhāraḥ, nityatve sati	vivAda-aDyAsitaH mUrta-saMyoga-asamavAyi-kAraNaka-viSeza-guNa-ADAraH, nitya-tve sati
   anityaviśeṣaṇaguṇavattvāt, pārthivaparamāṇuvat /	anitya-viSezaNa-guNavat-tva-at, pArTiva-paramANu-vat /
   na ca tattvamupādhiḥ, tvanmate ghaṭasyāpyagnisaṃyogajaviśeṣaguṇādhāratvāt	na ca tattvam-upADiH, tvad-mate Gawasya-api-agni-saMyoga-ja-viSeza-guNa-ADAra-tvAt
   na ca pārthivatvamupādhiḥ, tvanmate	na ca pArTiva-tvam-upADiH, tvad-mate
   ghaṭasyāpyagnisaṃyogajaviśeṣaguṇādhāratvāt /	Gawasya-api-agni-saMyoga-ja-viSeza-guNa-ADAra-tvAt /
   na ca pārthivatvamupādhiḥ, apakvanaṣṭaghaṭe vyabhicārāt /	na ca pArTiva-tvam-upADiH, apakva-nazwa-Gawe vyaBicArAt /
   na cāsmākamādyamupādhiḥ, nabhasi tadabhāve 'pi sādhyānugamadarśanāt /	na ca-asmAkam-Adyam-upADiH, naBasi tad-aBAve api sADya-anugama-darSanAt /
   manaḥ paramāṇu, paraviśeṣaguṇāsamavāyikāraṇāśrayatve sati nityatvāt,	manaH paramANu, para-viSeza-guNa-asamavAyi-kAraNa-ASraya-tve sati nitya-tvAt,
   taijasaparamāṇuvaditi kecit /	tEjasa-paramANu-vat-iti kecid /
   tanna, sparśavattve sati nityatvopādheḥ /	tat-na, sparSavat-tve sati nitya-tva-upADeH /
   aṇutvamātrasādhane sparśavadamahattvamupādhiḥ /	aNu-tva-mAtra-sADane sparSa-vat-amahat-tvam-upADiH /
   mūrtatvamātrasādhane ca nityapadavaiyarthyam /	mUrta-tva-mAtra-sADane ca nitya-pada-vEyarTyam /
   tadvyatirikttasya hetutve kāśikākṛto mate sparśavattvamupādhiḥ /	tad-vyatirikttasya hetu-tve kASikA-kRtaH mate sparSavat-tvam-upADiH /
   tamodravyatvapakṣe sparśavattvasya tamasyeva sādhyavyāpakatve	tamaH-dravya-tva-pakze sparSavat-tvasya tamasya-iva sADya-vyApaka-tve
   dravyasamavāyidravyatvamupādhiḥ /	dravya-samavAyi-dravya-tvam-upADiH /
   etena mano mūrtaṃ vibhusaṃyogitvādghaṭavadityapi nirastam, uktopādhikatvāt	etena manaH mUrtam viBu-saMyogi-tvAt-Gawa-vat-iti-api nirastam, ukta-upADika-tvAt-
   sukhādayo mūrtasaṃyogāsamavāyikāraṇakāḥ, anityatve sati	suKa-AdayaH mUrta-saMyoga-asamavAyi-kAraNakAH, anitya-tve sati
   nityaviśeṣaguṇatvāt, pārthivaparamāṇurūpadivaditi	nitya-viSeza-guNa-tvAt, pArTiva-paramANu-rUpa-divat-iti
   vibhāgajaśabdajaśabdenānaikāntādasādhanam /	viBAga-ja-Sabda-ja-Sabdena-anEkAnta-Ada-sADanam /
   aśabdatve satīti viśeṣaṇe parasyaiva vaiyarthyam /	aSabda-tve sati-iti viSezaNe parasya-eva vEyarTyam /
   mūrtaṃ manaḥ śrotravyatiriktendriyatvādityapi nirastam, pūrvoktopādheḥ /	mUrtam manaH Srotra-vyatirikta-indriya-tvAt-iti-api nirastam, pUrva-ukta-upADeH /
   avibhutve ca sparśavattvaṃ sādhanāvacchinnasādhyavyāpaka upādhiḥ /	aviBu-tve ca sparSavat-tvam sADana-avacCinna-sADya-vyApakaH upADiH /
   etenāvibhu nityadravyatvādityanenāmahattvasādhane sādhyavyāpakatvāt	etena-aviBu nitya-dravya-tvAt-iti-anena-amahat-tva-sADane sADya-vyApaka-tvAt-
   sparśavattvaṃ nopādhiriti śrīvallabhoktaṃ nirastam /	sparSavat-tvam na-upADiH-iti SrIvallaBa-uktam nirastam /
   na ca mano vibhu,	na ca manaH viBu,
   1 sarvadā sparśarahitadravyatvāt (nyā ku 3.1),	1 sarvadA sparSa-rahita-dravya-tvAt (nyA ku 3.1),
   2 sadā viśeṣaguṇarahitadravyatvāt,	2 sadA viSeza-guNa-rahita-dravya-tvAt,
   3 niravayavendriyatvāt,	3 niravayava-indriya-tvAt,
   4 dravyānārambhakanityadravyatvāt,	4 dravya-anAramBaka-nitya-dravya-tvAt,
   5 nityendriyatvāt,	5 nitya-indriya-tvAt,
   6 vijñānasamavāyikāraṇasaṃyogādhārendriyatvāt,	6 vijQAna-samavAyi-kAraNa-saMyoga-ADAra-indriya-tvAt,
   7 sarvadā sparśarahitadravyatvāt,	7 sarvadA sparSa-rahita-dravya-tvAt,
   8 nityaguṇagrāhakendriyatvāt,	8 nitya-guNa-grAhaka-indriya-tva-at,
   9 abhūtatve satyarūpitvāt, kālavad, ātmavad, ākāśavaditi	9 aBUta-tve satya-rUpi-tva-at, kAla-vad, Atma-vad, AkASa-vat-iti
   satpratipakṣadūṣaṇe kathaṃ svapakṣasiddhiriti vācyam, manasaḥ	sat-pratipakza-dUzaNe kaTam sva-pakza-sidDiH-iti vAcyam, manasaH
   sarvagatatvābhyupagame ākāśakālātiriktasya sādhayitumaśakyatvena	sarva-gata-tva-aByupagame AkASa-kAla-atiriktasya sADayitum-aSakyatvena
   dharmigrāhakapramāṇabādhāśrayāsiddhayoranyatarākrāntatvāditi	Darmi-grAhaka-pramANa-bADa-ASraya-asidDayoH-anyatara-AkrAnta-tvAt-iti
   spaṣṭataramasmannyāyalakṣmīvilāse /	spazwataram-asmad-nyAya-lakzmI-vilAse /
   prathamasya tamodravyatvavādinastatraivānaikāntikatvam, sarvadetyasya ca	praTamasya tamaH-dravya-tva-vAdinaH-tatra-eva-anEkAntika-tvam, sarva-dA-ityasya ca
   vyarthatvāt /	vyarTa-tvAt /
   etena dvitīyatṛtīye dūṣite, saptame 'pivaiyarthyam, navame 'pi	etena dvitIya-tRtIye dUzite, saptame api-vEyarTyam, navame api
   arūpipadasya paraṃ prati vaiyarthyam, tamaso 'bhāvatvāt /	arUpi-padasya param prati vEyarTyam, tamasaH aBAva-tvAt /
   kiṃ bahunā dravyatvāvāntarajātyaindriyāsajātīyadravyatvamupādhiḥ /	kim bahunA dravya-tva-avAntara-jAti-EndriyAsa-jAtIya-dravya-tvam-upADiH /
   1 sparśarahitatve sati aṇu manaḥ,	1 sparSa-rahita-tve sati aNu manaH,
   2 vijñānāsamavāyikāraṇasaṃyogādhāratve sati mūrttaṃ vā,	2 vijQAna-asamavAyi-kAraNa-saMyoga-ADAra-tve sati mUrttam vA,
   3 sukhagrāhakendriyaṃ vā,	3 suKa-grAhaka-indriyam vA,
   4 aṇvindriyaṃ vā,	4 aNu-indriyam vA,
   5 jñānajanakasaṃyogāśrayaṃ jaḍaṃ manaḥ,	5 jQAna-janaka-saMyoga-ASrayam jaxam manaH,
   6 jñānāsamavāyisaṃyogāśrayamindriyaṃ vā /	6 jQAna-asamavAyi-saMyoga-ASrayam-indriyam vA /
   tasya guṇāḥ--	tasya guNAH--
   saṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvasaṃskārāḥ /	saMKyA-parimANa-pRTaktva-saMyoga-viBAga-paratva-aparatva-saMskArAH /
   eṣāṃ mūrtatvadravyatvābhyāṃ siddhiḥ /	ezAm mUrta-tva-dravya-tvAByAm sidDiH /
   1 samavāyikāraṇaṃ dravyam,	1 samavAyi-kAraNam dravyam,
   2 guṇavad dravyam /	2 guNavat dravyam /
   [10 tamasa ālokābhāvamātratvanirūpaṇam--]	[10 tamasaH Aloka-aBAva-mAtra-tva-nirUpaNam--]
   1) tamo nāma dravyantaramasti /	1) tamaH nAma dravyantaram-asti /
   tadapi nirūpaṇīyamiti cet, na, pramāṇāsiddheḥ /	tat-api nirUpaNIyam-iti cet, na, pramANa-asidDeH /
   nīlaṃ tama iti pratītiḥ pramāṇamiti cet, nīlabuddhyasiddheḥ /	nIlam tamaH iti pratItiH pramANam-iti cet, nIla-budDi-asidDeH /
   uktaṃ ca śālikanāthenāpi-- apratītāvevāyaṃ pratītibhramo mandānām' (pra	uktam ca SAlika-nATena-api- apratItO=-eva-ayam pratIti-BramaH mandAnAm-a (pra
   paṃ 321) iti /	pam 321) iti /
   kathaṃ tarhi padaprayogaḥ? sitābhāvavadupacārāt /	kaTam tarhi pada-prayogaH? sitA-aBAvavat-upacArAt /
   asitaṃ nīlamiti laukikaḥ prayogaḥ /	asitam nIlam-iti lOkikaH prayogaH /
   mukhye bādhakābhāvāditi cet, ālokanirapekṣacakṣuṣo	muKye bADaka-aBAvAt-iti cet, Aloka-nirapekza-cakzuzaH-
   rūpapratyayajanakatvāsiddheḥ /	rUpa-pratyaya-janaka-tva-asidDeH /
   kāraṇābhāve kāryaṃ jāyate iti durghaṭametat /	kAraNa-aBAve kAryam jAyate iti durGawam-etat /
   anyathā nīlaghaṭasyāpi grahaṇaprasaṅgaḥ /	anyaTA nIla-Gawasya-api grahaNa-prasaFgaH /
   kathaṃ tarhi chāyāyāṃ kṛṣṇasarpabhrama iti cet, doṣavaśāt /	kaTam tarhi CAyAyAm kRzNasarpa-BramaH iti cet, doza-vaSAt /
   pūrvadṛṣṭakṛṣṇasarpādhyāropako doṣa iti /	pUrva-dRzwa-kRzNasarpa-aDyAropakaH dozaH iti /
   kimatra sādṛśyamiti cet, sitābhāvatvam /	kim-atra sAdRSyam-iti cet, sitA-BAva-tvam /
   na caivamatiprasaṅgaḥ, sādṛśyamātrasyaiva bhrāntijñānasāmagrītvāsiddheḥ /	na ca-evam-atiprasaFgaH, sAdRSya-mAtrasya-eva BrAnti-jQAna-sAmagrI-tva-asidDeH /
   upayujyante hi viśeṣādarśanādayo 'pi ālokābhāvasahakāriṇo dharmādayo 'pi,	upayujyante hi viSeza-adarSana-AdayaH api Aloka-aBAva-sahakAriNaH Darma-AdayaH api,
   vakradīrghāvayavīndriyasaṃyogādayaśca doṣāḥ /	vakra-dIrGa-avayavi-indriya-saMyoga-AdayaH-ca dozAH /
   2) mānasameva vā svapnavibhramādīti kecit /	2) mAnasam-eva vA svapna-viBrama-Adi-iti kecid /
   na caivamatiprasaṅgaḥ, cākṣuṣalokābhāve karituragādismaraṇaviśeṣasyāpi	na ca-evam-atiprasaFgaH, cAkzuza-loka-aBAve kari-turaga-Adi-smaraNa-viSezasya-api
   tatra hetutvābhyupagamānnātiprasaṅgaḥ /	tatra hetu-tva-aByupagamAt-na-atiprasaFgaH /
   etena saṃkhyākriyādipratītirapi nirastā, tatraiva vipratipatteḥ,	etena saMKyA-kriyA-Adi-pratItiH-api nirastA, tatra-eva vipratipatteH,
   śabdaprayogasyopacāreṇāpyupapatteḥ, laukikavyavahārasya ca samyugdhatvāt /	Sabda-prayogasya-upacAreNa-api-upapatteH, lOkika-vyavahArasya ca samyugDa-tvAt /
   3) ekadeśinaḥ punarnīlapratītimabhyupagamya bhrāntatvamācakṣate /	3) eka-deSinaH punar-nIlapratItim-aByupagamya BrAnta-tvam-Acakzate /
   yathāhuḥ --- añjanapuñja iva śārvaraṃ tama iti bhrāntiprakaraṇe tatra	yaTA-AhuH -- aQjana-puQjaH iva SArvaram tamaH iti BrAnti-prakaraNe tatra
   pratibhāsikabādhānupapatteḥ /	pratiBAsika-bADa-anupapatteH /
   anenāpahṛtaviṣayatvenānutthānādbādhakanirūpaṇaṃ durghaṭamiti paśyāmaḥ /	anena-apahRta-vizaya-tvena-anutTAnAt-bADaka-nirUpaNam durGawam-iti paSyAmaH /
   4) śabdena vinā pratītisādhanaṃ ca /	4) Sabdena vinA pratIti-sADanam ca /
   tamaḥ śabdasya tarhi ko 'rtha iti cet, ubhayavādipratipanna	tamaH Sabdasya tarhi kaH arTaH iti cet, uBaya-vAdi-pratipanna
   ālokasaṃsargābhāvaḥ /	Aloka-saMsarga-aBAvaH /
   ālokaviśeṣe satyapi ālokāntarābhāvasyāpi sambhavāt prayogaprasaṅga iti	Aloka-viSeze sati-api Aloka-antara-aBAvasya-api samBavAt prayoga-prasaFgaH iti
   cet, tatra kimālokābhāvaprayogo 'sti, na vā? asti cet, tamaḥśabdaprayogo	cet, tatra kim-Aloka-aBAva-prayogaH asti, na vA? asti cet, tamaH-Sabda-prayogaH-
   'pyastu, kā no hāniḥ? paryāyaśabdatvāt /	api-astu, kA naH hAniH? paryAya-Sabda-tvAt /
   atha yathā jvālāyā āśutaravināśitvena madhye vināśe vidyamāne 'pi	aTa yaTA jvAlAyAH ASutara-vinASi-tvena maDye vinASe vidyamAne api
   tatsadṛśajvālotpattyā tirohitatvānna nāśavyavahāraḥ, tadāloke	tad-sadRSa-jvAlA-utpattyA tirohita-tvAt-na nASa-vyavahAraH, tad-Aloke
   satyālokāntarābhāvasya tirodhānānna tadabhāvavyavahāra iti /	satya-Aloka-antara-aBAvasya tiroDAnAt-na tad-aBAva-vyavahAraH iti /
   laukikapratītistu bhramatvenocyate /	lOkika-pratItiH-tu Bramatvena-ucyate /
   tattulyaṃ te tarkakarkaśamaterapyuktaparihāraścakṣurālokāsahakṛtaṃ	tad-tulyam te tarka-karkaSa-mateH-api-ukta-parihAraH-cakzuH-Aloka-asaha-kRtam
   rūpigrāhakaṃ dravyagrāhakendriyatvāttvagvaditi vādinaḥ	rUpi-grAhakam dravya-grAhaka-indriya-tvAt-tvak-vat-iti vAdinaH
   kālagrāhakaghrāṇenānaikāntikaṃ vyarthaviśeṣaṇatā ca /	kAla-grAhaka-GrANena-anEkAntikam vyarTa-viSezaNa-tA ca /
   cakṣurālokanirapekṣaṃ dravyaṃ gṛhṇāti, indriyatvāditi sādhane ghrāṇena	cakzuH-Aloka-nirapekzam dravyam gRhNAti, indriya-tvAt-iti sADane GrANena
   prativādinānaikāntikatā vivakṣitā---sādhakatvaṃ ca /	prativAdinA-anEkAntika-tA vivakzitA---sADaka-tvam ca /
   na hi tava tathāvidhaṃ tama eveti lakṣaṇaṃ kālāderapi	na hi tava taTAviDam tamaH eva-iti lakzaNam kAla-AdeH-api
   ālokanirapekṣendriyagrāhyatvāt /	Aloka-nirapekza-indriya-grAhya-tvAt /
   5) ālokabhāvasyobhayavādisampratipannatvāt tamaḥśabdavācyatve nāsti	5) Aloka-BAvasya-uBaya-vAdi-sampratipanna-tvAt tamaH-Sabda-vAcya-tve na-asti
   vipratipattirnātra prakaraṇaṃ vācyam /	vipratipattiH-na-atra prakaraNam vAcyam /
   vivādādhyāsitaḥ ālokabhāvaḥ tamaḥśabdavācyaḥ,	vivAda-aDyAsitaH Aloka-BAvaH tamaH-Sabda-vAcyaH,
   itaretarābhāvavyatiriktālokābhāvatvāt /	itaretarABAva-vyatirikta-Aloka-aBAva-tvAt /
   yaditthaṃ na bhavati, taditthamapi na bhavati, yathāloka eva /	yat-itTam na Bavati, tat-itTam-api na Bavati, yaTAloke eva /
   anye tu tama ālokābhāvaḥ, ālokānapekṣacakṣuṣi satyevāsati ca liṅgādau	anye tu tamaH Aloka-aBAvaH, AlokAn-apekza-cakzuzi sati-eva-asati ca liFga-AdO
   gṛhyamāṇatvāt, sampratipannālokābhāvavaditi bruvate /	gRhyamANa-tva-at, sampratipanna-Aloka-aBAva-vat-iti bruvate /
   tatra kau pakṣasapakṣau? bhinnābhinnāviti cintanīyamiti /	tatra kO pakzasa-pakzO? Binna-aBinnO=-iti cintanIyam-iti /
   yogimānasagrāhyatvāccāvadhāraṇāsambhavena hetvasiddhiśca /	yogi-mAnasa-grAhya-tvAt-ca-avaDAraNA-samBavena hetu-asidDiH-ca /
   tasmādevaṃ prayogakramaḥ --- tamaḥpadamālokābhāvavācakam,	tasmAt-evam prayoga-kramaH -- tamaH-padam-Aloka-aBAva-vAcakam,
   ālokānapekṣacakṣurgrāhyavācakatvād, ālokābhāvapadavat /	AlokAn-apekza-cakzuH-grAhya-vAcaka-tvAt-, Aloka-aBAva-pada-vat /
   nirūpito dravyapadārtha eṣa, navaprakāro mudamātanotu /	nirUpitaH dravya-padArTaH eza, nava-prakAraH mudam-Atanotu /
   navātmakasya tridaśādhipasya, trilokapūjyatripurāntakasya //	nava-Atmakasya tridaSa-aDipasya, triloka-pUjya-tripurAntakasya //
