   Sarvajñatākāradhāraṇī	SarvajQa-tA-AkAra-DAraNI
   pratisaṃvidbhūmir anutkṣepabhūmiḥ samatāparikṣayopekṣabhūmir	pratisaMvid-BUmiH anutkzepa-BUmiH samatA-parikzayA-upekza-BUmiH-
   jātikṣayabhūmir muja vinmujaḥ, malatmajaḥ, visāgraḥ, daśāvate veśataḥ	jAti-kzaya-BUmiH muja vinmujaH, mala-tma-jaH, visAgraH, daSAvate veSataH
   teraṇa, veśalagra, śamuśavataḥ, vimati vimati yopahira regamata	teraNa, veSala-gra, Samu-SavataH, vimati vimati yA-upahira regamata
   vasisakrama iticoravate, makhe mudra daharavate prajñākṣā bubu dahakramitā	vasi-sakramaH iti-coravate, maKe mudra daharavate prajQA-akzA bubu daha-kramitA
   sadoṣavantaḥ elaya tilaya ahusuṭā amundhamaṃ arthavati, muruvati,	sa-dozavantaH elaya tilayaH ahusuwA amunDamam arTavati, muruvati,
   tehīnadvivā, akanati bakanate samake visābhaṭe, iṭe iṭabale [Page 17] atra	tehIna-dvivA, akanati bakanate samake visABawe, iwe iwa-bale [Pa-ge 17] atra
   tatra kuruṣaṃ laruṣaṃ, latatha katha sarvanta sarvantavaḥ aniruddhaḥ	tatra kuruzam laruzan, lataTa kaTa sarvanta sarvantavaH anirudDaH
   dihakhatambi, phala bahuphala, śataphala, śiṣṭavate, api devānāṃ bhagavāṃ	dihaKatambi, Pala bahu-Pala, Sata-Pala, Sizwavate, api devAnAm BagavAn
   pratītyasamutpādapratisaṃyuktāny adhimuktipadāni prakāśayati, eṣu	pratItyasamutpAda-pratisaMyuktAni aDimukti-padAni prakASayati, ezu
   prakāśyamāneṣu ṣaṣṭibhir devanayutaiḥ satyadarśanaṃ kṛtam abhūt / SjDh_11	prakASyamAnezu zazwiBiH devana-yutEH satya-darSanam kRtam aBUt / SjDh_11
   tatphalam agraphalaṃ, lalaha alaha nilaṃhare, vacatakhyā idaṃphalaṃ,	tad-Palam agra-PalaM, lalaha alaha nilaMhare, vacataKyAH idaMPalaM,
   niyāmaphalaṃ, namudaya vibhūkha, prajñācakra, sunirvṛticakra, jñānīcakra,	niyAma-Palan, namudaya viBUKa, prajQAcakra, su-nirvRti-cakra, jQAnI-cakra,
   ebhir adhimuktipadair daśānāṃ devakoṭīnāṃ anuttarāyāṃ samyaksaṃbodhau	eBiH aDimukti-padEH daSAnAm deva-kowInAm anuttarAyAm samyaksaMboDO
   cittāny utpāditāni tatraivāvaivartikāḥ sthitāḥ / SjDh_12	cittAni utpAditAni tatra-eva-avEvartikAH sTitAH / SjDh_12
   paśya momate, anumate akumato akumati cchīdattake, mantasthā deśabala	paSya momate, anumate akumataH akumati cCIdattake, mantasTAH deSa-bala
   vipravasthaḥ, iśasthita, atimati tīkṣṇamati, āloko sterituṣṇa, ebhir	vipravasTaH, iSa-sTita, atimati tIkzNa-mati, AlokaH sterituzNa, eBiH-
   adhimuktipadaiś catuḥṣaṣṭīnāṃ nāgasahasrāṇāṃ anuttarāyāṃ samyaksaṃbodhau	aDimukti-padEH catuHzazwInAm nAga-sahasrANAm anuttarAyAm samyaksaMboDO
   cittāny utpāditāni, tatraivāvaivartikāḥ saṃvṛtāḥ / SjDh_13	cittAni utpAdita-ani, tatra-eva-avEvartikAH saMvRtAH / SjDh_13
   [Page 18]	[Page 18]
   aprabhā samadanā ahadyo bhagavadyo, karaṇyākṣa, siddhamati, samantakṣau,	apraBA sa-madanAH ahadyaH Bagavat-yo, karaNyAkza, sidDa-mati, samantakzO,
   alabale, piṭakaro, mahābale, ojadaro dharaṇe migalakṣa, udākṣa, kukākṣa	ala-bale, piwa-karo, mahA-bale, ojadaraH DaraNe miga-lakza, udAkza, kukAkza
   viroyo, virūpamukha, akṣihasta saṃkṣibala asurodina, asuropramardane,	viroyo, virUpa-muKa, akzi-hasta saMkzibala asura-udina, asura-upramardane,
   ebhir adhimuktipadair dvādaśānāṃ yakṣakoṭīnāṃ anuttarāyāṃ samyaksaṃbodhau	eBiH aDimukti-padEH dvAdaSAnAm yakza-kowInAm anuttarAyAm samyaksaMboDO
   cittāny utpāditāni tatraivāvaivartikāḥ saṃvṛtāḥ / SjDh_14	cittAni utpAditAni tatra-eva-avEvartikAH saMvRtAH / SjDh_14
   arthe pilile tinithe, saṃtīthe, katitena nakeme, nanamaste, ubherabhe,	arTe pilile tiniTe, saMtITe, katitena nakeme, nanamaH-te, uBeH-aBe,
   mudame, madame, matime, saniha śūre, dhāraṇīye sendra sadeva, sanāga,	mudame, madame, matime, saniha SUre, DAraNIye sa-indra sadeva, sa-nAga,
   sayakṣāsuradevā, nāgā nirukti parivāra, niruktarāni, smṛti prajñā	sa-yakza-asura-devA, nAgAH nirukti parivAra, niruktarAni, smRti prajQA
   parivāramati pratilābhī, gatidhṛtiparivāra gatidhṛtilābhīḥ pūrvakeṣu	parivAram-ati pratilABI, gati-DRti-parivAra gati-DRti-lABIH pUrvakezu
   hiteṣu caritavantaḥ, abhiskāmavantaḥ, śūravantaḥ ciravīryavantaḥ	hitezu caritavantaH, aBiskAmavantaH, SUravantaH cira-vIryavantaH
   bhītavantaḥ sitabhāge, mārgamudra diśāpakarṣaṇi kṣaparahu, charaṇo	BItavantaH sita-BAge, mArgamudra diSA-apakarzaNi kzapa-rahu, CaraNaH-
   devaracatu suramudra, yakṣamudra, rākṣasamudra, vedivedime, tape, tattape	deva-ra-catu suramudra, yakza-mudra, rAkzasa-mudra, vedi-vedime, tape, tat-tape
   uṣṇāname, prakhādya, nanava dhāraṇīya, aviśa diśāśodhane, vākyaśuddhe	uzNAname, praKA-Adya, nanava DAraNIya, aviSa diSASaH-Dane, vAkya-SudDe
   jihvāśuddhe, vāciparikarmaḥ prajñā buddhi smṛti mati [Page 19] gati dhṛti	jihvA-SudDe, vAci-parikarmaH prajQA budDi smRti mati [Page 19] gati DRti
   gaṇana pratisaraṇabuddhiḥ, jayacakre śūnyacakre vyaya, ebhir	gaNana pratisaraNa-budDiH, jaya-cakre SUnya-cakre vyaya, eBiH-
   adhimuktipadair ṣaṭpañcāśānām asurasahasrāṇāṃ anuttarāyāṃ samyaksaṃbodhau	aDimukti-padEH zawpaQcASAnAm asura-sahasrANAm anuttarAyAm samyaksaMboDO
   cittāny utpāditāni avaivartikāś ca vyavasthitāḥ / SjDh_15	cittAni utpAditAni avEvartikAH ca vyavasTitAH / SjDh_15
   tatra bhagavān vaiśāradyasamavasaraṇaṃ bodhisattvam āmantrayate /	tatra BagavAn vESAradya-samavasaraNam boDisattvam Amantrayate /
   durlabhaṃ kulaputra tathāgatānāṃ loke prādurbhāvo; durlabhā ime	durlaBam kula-putra taTAgatAnAm loke prAdurBAvo; durlaBAH ime
   śīlasamādhiprajñāvimuktivimuktijñānadarśanaparibhāvitāmī	SIla-samADi-prajQA-vimukti-vimukti-jQAna-darSana-pariBAvitAmI
   drāviḍamantrapadāḥ; sattvānāṃ hitāya bodhisattvaguṇaniṣpādanārthaṃ	drAvixa-mantra-padAH; sattvAnAm hitAya boDisattva-guNa-nizpAdana-arTam
   kulaputra tathāgatena pūrvaṃ bodhisattvacaryāṃ caratā	kula-putra taTAgatena pUrvam boDisattva-caryAm caratA
   dānadamasaṃyamakṣāntivīryasamādhiprajñā parigṛhītā bahavo	dAna-dama-saMyama-kzAnti-vIrya-samADi-prajQA parigRhItAH bahavaH-
   buddhakoṭīnayutaśatasahasrāḥ paryupāsitāḥ, kvacid dānan dattaṃ, śīlaṃ	budDa-kowIn-ayuta-Sata-sahasrAH paryupAsitAH, kvacid dAnan dattaM, SIlam
   rakṣitaṃ, brahmacaryaṃ cīrṇaṃ, kvacid bhāvanā niṣevitā, kṣāntir bhāvitā,	rakzitaM, brahmacaryam cIrNaM, kvacid BAvanA nizevitA, kzAntiH BAvitA,
   vīryam ārabdhaṃ, samādhir niṣpāditā, prajñā sevitā, bahvaprameyaṃ	vIryam ArabDaM, samADiH nizpAditA, prajQA sevitA, bahu-aprameyam
   vividhanānāprakāraiḥ śubhakarma kṛtaṃ, yenaitarhi mayānuttaraṃ jñānaṃ	viviDa-nAnA-prakArEH SuBa-karma kRtaM, yena-etarhi mayA-anuttaram jQAnam
   pratilabdhaṃ / anekāṃ kalpakoṭīnayutaśatasahasrāṃ tathāgatena pūrvaṃ	pratilabDam / anekAm kalpa-kowIn-ayuta-Sata-sahasrAm taTAgatena pUrvam
   bodhisattvacaryāñ caratā, mṛṣāpaiśunyaparuṣasaṃbhinnapralāpā [Page 20]	boDisattva-caryAn caratA, mRzA-pESunya-paruza-saMBinna-pralApA [Page 20]
   varjitā, anekavidhaṃ kuśalaṃ vākkarmaṃ sevitaṃ bahulīkṛtaṃ / yenaitarhi	varjitA, anekaviDam kuSalam vAc-karmam sevitam bahulIkRtam / yena-etarhi
   prabhūtajihvā pratilabdhā, na hi kulaputra tathāgatārhatānyathā kathayanti	praBUta-jihvA pratilabDA, na hi kula-putra taTAgata-arhatA-anyaTA kaTayanti
   atha bhagavān tatrarddhyabhisaṃskāram akārṣīt / tenarddhyabhisaṃskāreṇa	aTa BagavAn tatra-RdDi-aBisaMskAram akArzIt / tena-RdDi-aBisaMskAreNa
   sarvapuṇyasamavasaraṇaṃ samādhiṃ samāpannaḥ / mukhāc ca jihvendriyaṃ	sarva-puNya-samavasaraNam samADim samApannaH / muKAt ca jihvA-indriyam
   nirṇāmayitvā svaṃ mukhaṃ pracchādya tasmāj jihvendriyāt ṣaṣṭiraśmikoṭyo	nirNAmayitvA svam muKam pracCAdya tasmAt jihvA-indriyAt zazwi-H-aSmi-kowyaH-
   pramuktās taiś cāyaṃ trisāhasramahāsāhasralokadhātur udāreṇāvabhāsena	pramuktAH tEH ca-ayam tri-sAhasra-mahA-sAhasra-lokaDAtuH udAreNa-avaBAsena
   nirayatiryagyoniyamalokadevamanuṣyāḥ sphuṭā babhūvuḥ / te ca raśmayo ye	niraya-tiryagyoni-yama-loka-deva-manuzyAH sPuwAH baBUvuH / te ca raSmayaH ye
   nairayikāḥ sattvā agninā prajvalitagātrā dahyante teṣāṃ śītalā vāyavo	nErayikAH sattvAH agninA prajvalita-gAtrAH dahyante tezAm SItalA vAyavaH-
   vānti, yeṣāṃ spṛṣṭānāṃ tanmuhūrtaṃ sukhā vedanā prādurbabhūva / ekaikasya	vAnti, yezAm spRzwAnAm tat-muhUrtam suKA vedanA prAdurbaBUva / ekEkasya
   ca nairayikasya purataḥ buddhanirmitaṃ tiṣṭhati dvātriṃśadbhir lakṣaṇaiḥ	ca nErayikasya puratas budDa-nirmitam tizWati dvAtriMSadBiH lakzaNEH
   samalaṃkṛta aśītibhiś ca, yaṃ dṛṣṭvā te nairayaikāḥ sukhasamarpitā	samalaMkRtaH aSItiBiH ca, yam dRzwvA te nEraya-ekAH suKa-samarpitA
   buddhadarśanāpyāyitaśarīrā buddhaṃ dṛṣṭvaivaṃ cintayanto, 'sya	budDa-darSana-ApyAyita-SarIrAH budDam dRzwvA-evam cintayanto, asya
   sattvasyānubhāvenāsmābhiḥ sukhā vedanā pratilabdhās; te bhagavataḥ sakāśe	sattvasya-anuBAvena-asmABiH suKAH vedanA pratilabDa-as; te BagavataH sakASe
   premāprasādagauravaṃ saṃjanayanti /	prema-aprasAda-gOravam saMjanayanti /
   [Page 21]	[Page 21]
   buddhanirmita āha / bhoḥ sattvā evaṃ bhāṣadhvaṃ, namo buddhāya namo	budDa-nirmite Aha / BoH sattvAH evam BAzaDvaM, namaH budDAya namaH-
   dharmāya namaḥ saṃghāya, nityam evaṃ sukhasamarpitā bhaviṣyatha / tatas te	DarmAya namaH saMGAya, nityam evam suKa-samarpitA BavizyaTa / tatas te
   nairayikās sattvā añjaliṃ pragṛhya vācam udīrayanti, namo buddhāya namo	nErayikAH sattvAH aQjalim pragRhya vAcam udIrayanti, namaH budDAya namaH-
   dharmāya namaḥ saṃghāya / atha te sattvās tena cittaprasādakuśalamūlena	DarmAya namaH saMGAya / aTa te sattvAH tena citta-prasAda-kuSala-mUlena
   tataś cyavitvā ekatyā deveṣūpapannā ekatyā manuṣyeṣu, tathaiva pūrvavad	tatas cyavitvA ekatyAH devezu-upapannAH ekatyAH manuzyezu, taTA-eva pUrvavat-
   yāvat / ye śītanārakāṃ sattvāḥ pretāḥ piśācā vā sukhasamarpitā	yAvat / ye SIta-nArakAm sattvAH pretAH piSAcAH vA suKa-samarpitA
   devamanuṣyeṣūpapannā evaṃ devamanuṣyatiryakṣu lokeṣu raśmayas saṃcodanti /	deva-manuzyezu-upapannAH evam deva-manuzya-tiryakzu lokezu raSmayaH saMcodanti /
   gaṇanātikrāntā devamanuṣyā bhagavatsakāśam upasaṃkramya bhagavataḥ pādau	gaNanA-atikrAntA deva-manuzyAH Bagavat-sakASam upasaMkramya BagavataH pAdO
   śirasābhivandya niṣaṇṇā karuṇāpuṇḍarīka nāma mahāyānasūtradharmaśravaṇāya	SirasA-aBivandya nizaNNA karuNA-puNxarIka nAma mahAyAna-sUtra-Darma-SravaNAya
   / tena ca samayena gaṇanātikrāntā devamanuṣyakāyā anuttarāyāṃ	/ tena ca samayena gaNanA-atikrAntA deva-manuzya-kAyAH anuttarAyAm
   samyaksaṃbodhau cittāny utpādayām āsuḥ / gaṇanātikrāntāś cātra	samyaksaMboDO cittAni utpAdayAm AsuH / gaNanA-atikrAntAH ca-atra
   bodhisattvāḥ samādhikṣāntidhāraṇīḥ pratilabdhavantaḥ //	boDisattvAH samADi-kzAnti-DAraNIH pratilabDavantaH //
   idam avocad bhagavān āttamanā sā ca sarvāvatī parṣat	idam avocat BagavAn Atta-manA sA ca sarvAvatI parzad-
   sadevamānuṣāsuragaruḍagandharvaś ca loko bhagavato bhāṣitam abhyanandan //	sa-deva-mAnuza-asura-garuxa-ganDarvaH ca lokaH BagavataH BAzitam aByanandan //
   [Page 21]	[Page 21]
   ity āryaśrīkaruṇāpuṇḍarīkamahāyānasūtre iyaṃ sarvajñatākāradhāraṇī samāptā	iti Arya-SrI-karuNA-puNxarIka-mahAyAna-sUtre iyam sarvajQa-tA-AkAra-DAraNI samAptA
