   // śrīḥ //	// SrIH //
   mattavilāsaprahasanaṃ	matta-vilAsa-prahasanam
   ({tataḥ praviśati śākyabhikṣuḥ pātrahastaḥ / : om. H(4)})	({tatas praviSati SAkI-aBikzuH pAtra-hastaH / : om. H(4)})
   Śākyabhikṣuḥ - aho {uvāsaassa : uvāghaassa Ka(5)A(6)} dhaṇadāsaseṭṭhiṇo	ŚAkI-aBikzuH  aho {uvAsaassa : uvAGaaH-sa Ka(5)A(6)} DaNa-dAsa-sewWiNaH-
   {mahā F}savvāvāsamahādāṇamahimāṇo, jahiṃ mae abhimadavaṇṇagandharaso	{mahA F}savvAvAsa-mahA-dANa-mahimANo, jahim mae aBimada-vaNNa-ganDa-rasaH-
   macchamaṃsappaārabahulo aaṃ piṇḍavādo samāsādido / jāva dāṇi rāavihāraṃ	mad-SamaMsappaAra-bahulaH aam piNxavAdaH samAsAdi-daH / jAva dANi rAa-vihAram
   evva gacchāmi / (parikramya ātmagatam) bhoḥ! paramakāruṇieṇa bhaavadā	evva gacCAmi / (parikramya Atma-gatam) BoH! parama-kAruNieNa BaavadA
   tahāgaeṇa pāsādesu vāso, {suvihi(a)sayyesu S : suvihiasayyesu U :	tahAgaeNa pAsa-Adesu vAso, {suvihi(-a)sayyesu S : su-vihiasayyesu U :
   suvihidasayyesu C : suvihisayyesu F(7)} pajjaṅkesu saaṇaṃ, puvvaṇhe	su-vihid-asayyesu C : su-vihisayyesu F(7)} pajjaFkesu saaNan, puvvaNhe
   bhoaṇaṃ, avaraṇhe surasāṇi pāṇaāṇi, {pañcasuga(ndhavvo?ndhova)hiaṃ S :	BoaNan, avaraNhe surasANi pANaANi, {paQca-suga(nDavvaH-?nDova)hiam S :
   pañcasugandhavodhiaṃ Ka : pañcasugandhobodhiaṃ AF : pañcasugandhavvo CD}	paQca-suganDa-voDiam Ke : paQca-suganDaH-boDiam AF : paQca-suganDavvaH CD}
   {tambollaṃ : tambullaṃ CD}, saṇhavasaṇaparighāṇaṃ ti edehi uvadesehi	{tambollam : tambullam CD}, saNha-vasaNa-pariGANam ti edehi uvadesa-Ihi
   bhikkhusaṅghassa aṇuggahaṃ karanteṇa kiṇṇu {hu : khu C} itthiāpariggaho	BikKu-saFGassa aNuggaham karanteNa kiNNu {hu : Ku C} itTiA-pariggahaH-
   surāvāṇavihāṇaṃ ca ṇa diṭṭhaṃ / ahava kahaṃ savvañco edaṃ ṇa pekkhadi /	surA-vANa-vihANam ca Na diwWam / ahava kaham savvaQcaH edam Na pekKadi /
   avassaṃ edehi duṭṭhabuddhatthavirehi ṇirucchāehi ahmāṇaṃ taruṇajaṇānaṃ	avassam edehi duwWa-budDatTa-virehi NiH-ucCAehi ahmANam taruNa-jaNAnam
   macchareṇa piḍaaputthaesu itthiāsurāvāṇa{vihāṇāṇi : vaaṇāṇi KhaB}	mad-SareNa pixaa-putTaesu itTiA-asurA-vANa{-vihANANi : vaaNANi KhaB}
   palāmiṭṭhāṇi tti takkemi / kahiṃ ṇu hu aviṇaṭṭhamūlapāṭhaṃ samāsādaeaṃ /	palA-miwWANi tti takkemi / kahim Nu hu aviNawWa-mUla-pAWam samAsAdaeam /
   tado sampuṇṇaṃ buddhavaaṇaṃ loe paāsaanto saṅghovaāraṃ karissaṃ /	tadaH sampuNNam budDavaaNam loe paAsaantaH saFGaH-vaAram karissam /
   (parikrāmati)	(parikrAmati)
   [{(gandham āghrāya E)} aho upāsakasya dhanadāsaśreṣṭhinaḥ	[{(ganDam AGrAya E)} aho upAsakasya Dana-dAsa-SrezWinaH
   sarvāvāsamahādānamahimā, yasmin mayābhimatavarṇagandharaso	sarva-AvAsa-mahA-dAna-mahimA, yasmin mayA-aBimata-varNa-ganDa-rasaH-
   matsyamāṃsaprakārabahulo 'yaṃ piṇḍapātaḥ samāsāditaḥ / yāvad idānīṃ	matsya-mAMsa-prakAra-bahulaH ayam piNxapAtaH samAsAditaH / yAvat idAnIm
   rājavihāram eva gacchāmi / bhoḥ! paramakāruṇikena bhagavatā tathāgatena	rAja-vihAram eva gacCAmi / BoH! parama-kAruNikena BagavatA taTAgatena
   prāsādeṣu vāsaḥ, suvihitaśayyeṣu paryaṅkeṣu śayanaṃ, pūrvāhṇe bhojanam,	prAsAdezu vAsaH, su-vihita-Sayyezu paryaFkezu Sayanan, pUrvAhNe Bojanam,
   aparāhṇe surasāni pānakāni, pañca{sugandhopahitaṃ : sugandhodbodhitaṃ G}	aparAhNe surasAni pAna-kAni, paQca{-suganDa-upahitam : suganDa-udboDitam G}
   tāmbūlaṃ, ślakṣṇavasanaparidhānam ity etair upadeśair	tAmbUlaM, SlakzNa-vasana-pariDAnam iti etEH upadeSEH-
   bhikṣusaṅghasyānugrahaṃ kurvatā khin nu khalu strīparigrahaḥ	Bikzu-saFGasya-anugraham kurvatA Kin nu Kalu strI-parigrahaH
   {surāpānavidhānaṃ : surāpānaṃ G} ca na dṛṣṭam / atha vā kathaṃ sarvajña	{surA-pAna-viDAnam : surA-pAnam G} ca na dRzwam / aTa vA kaTam sarvajQa
   etan na {paśyati : prekṣiṣyati G} / avaśyam etair duṣṭabuddhasthavirair	etat na {paSyati : prekzizyati G} / avaSyam etEH duzwa-budDa-sTavirEH-
   nirutsāhair asmākaṃ taruṇajanānāṃ matsareṇa piṭakapustakeṣu	nirutsAhEH asmAkam taruNa-janAnAm matsareNa piwaka-pustakezu
   strīsurāpāna{vidhānāni : vacanāni G} parāmṛṣṭānīti tarkayāmi / kutra nu	strI-surA-pAna{-viDAnAni : vacanAni G} parAmRzwAni-iti tarkayAmi / kutra nu
   khalv avinaṣṭamūlapāṭhaṃ samāsādayeyam / tataḥ sampūrṇaṃ buddhavacanaṃ	Kalu avinazwa-mUla-pAWam samAsAdayeyam / tatas sampUrNam budDa-vacanam
   loke prakāśayan saṅghopakāraṃ kariṣyāmi /]	loke prakASayan saFGa-upakAram karizyAmi /]
   Devasomā - bhaavaṃ! pekkha pekkha / eso rattapaḍo imassiṃ	DevasomAH  Baavan! pekKa pekKaH / esaH ratta-paxaH imassiM
   vissatthapurisasampāde rāamagge saṅkuidasavvaṅgo	vissatTa-purisa-sampAde rAamagge saFkuida-savvaFgaH-
   ubhayapakkhasañcāridadiṭṭhī saṅkidapadavikkhevo {turiaturiaṃ S :	uBaya-pakKa-saQcArida-diwWI saFkida-pada-vikKevaH {turiatuH-iam S :
   turiaturio S v.l. : turiaṃ U : turio BD} gacchai /	turiatuH-io S v.l. : turiam U : turiaH BD} gacCE /
   [bhagavan! paśya paśya / eṣa raktapaṭo 'smin viśvastapuruṣa{sampāte :	[Baga-van! paSya paSya / eza raktapawaH asmin viSvasta-puruza{-sampAte :
   sañcāre G} rājamārge saṅkucitasarvāṅga ubhayapakṣasañcāritadṛṣṭiḥ	saQcAre G} rAjamArge saFkucita-sarva-aFgaH uBaya-pakza-saQcArita-dRzwiH
   śaṅkitapadavikṣepas tvaritatvaritaṃ gacchati /]	SaFkita-pada-vikzepaH tvarita-tvaritam gacCati /]
   Kapālī - priye! evam etat / api cāsya haste cīvarāntaḥpracchāditaṃ kim apy	KapAlI  priye! evam etat / api ca-asya haste cIvara-antar-pracCAditam kim api-
   astīva /	asti-iva /
   Devasomā - bhaavaṃ! teṇa hi {olambia : avila S v.l. BCD)} āsādia jānīmo /	DevasomA  Baavan! teNa hi {aH-lambia : avila S v.l. BCD)} AsAdia jAnImaH /
   [bhagavan! tena hy {avalambyāsādya : avalambitaṃ samāsādya G} jānīvaḥ /]	[Baga-van! tena hi {avalambyAsA-adya : avalambitam samAsAdya G} jAnIvaH /]
   Kapālī - bhavati! tathā / ({upagamya : ubhāv anugamya D}) bho bhikṣo!	KapAlI  Bavati! taTA / ({-upagamya : uBO anugamya D}) Bo Bikzo!
   tiṣṭha /	tizWa /
   Śākyabhikṣuḥ - ko ṇu khu maṃ evaṃ bhaṇādi / (nivṛtyāvalokya) ai ayaṃ	ŚAkI-aBikzuH  kaH Nu Ku mam evam BaNa-Adi / (nivRtya-avalokya) E ayam
   eaṃvvavāsī duṭṭhakavālio / bhodu, imassa surāvibbhamassa lakkhaṃ ṇa homi /	eaMvvavAsI duwWakavAliaH / Bodu, imassa surA-vibBam-assa lakKam Na homi /
   ({satvaraṃ : tvarito KhaBCD} gacchati /)	({-sa-tvaram : tvaritaH KhaBCD} gacCati /)
   [ko nu khalu mām evaṃ bhaṇati / ayi ayam ekāmravāsī duṣṭa{kāpālikaḥ :	[kaH nu Kalu mAm evam BaNati / ayi ayam eka-AmravAsI duzwa{kApAlikaH :
   kapālī G} / bhavatu, asya surāvibhramasya lakṣyaṃ na bhavāmi /]	kapAlI G} / Bavatu, asya surA-viBramasya lakzyam na BavAmi /]
   Kapālī - priye! hanta labdhaṃ kapālaṃ / asya hi maddarśanajanitabhayāt	KapAlI  priye! hanta labDam kapAlam / asya hi mad-darSana-janita-BayAt
   tvaraiva cauryasākṣitvaṃ pratipannā / (drutam upagamyāgrato ruṇaddhi / āḥ	tvarA-eva cOrya-sAkzi-tvam pratipannAH / (drutam upagamya-agratas ruNadDi / AH
   dhūrtta! {kvedānīṃ gamiṣyasi : om. C} /)	DUrtta! {kva-idAnIm gamizyasi : om. C} /)
   Śākyabhikṣuḥ - kavāliāusa! mā mā evaṃ / kiṃ edaṃ / (ātmagatam) aho	ŚAkI-aBikzuH  kavAli-Ausa! mA mA evam / kim edam / (a-Atma-gatam) aho
   laliarūvā uvāsiā / [kāpālikopāsika! {mā maivam : mā maivaṃ vaktum G : om.	laliarUvAH uvAsiA / [kApAlika-upAsika! {mA mA-evam : mA mA-evam vaktum G : om.
   CF} / kim etat / aho lalitarūpā upāsikā /]	CF} / kim etat / aho lalita-rUpAH upAsikAH /]
   Kapālī - bho bhikṣo! darśaya {bhavān H} tāvat / yāvad etat te pāṇau	KapAlI  Bo Bikzo! darSaya {BavAn H} tAvat / yAvat etat te pANO
   {cīvarāntaḥpracchāditaṃ : cīvarāntaritaṃ C} draṣtum icchāmi /	{cIvara-antar-pracCAditam : cIvara-antaritam C} draztum icCAmi /
   Śākyabhikṣuḥ - kiṃ ettha pekkhidavvaṃ / bhikkhābhāaṇaṃ khu edaṃ /	ŚAkI-aBikzuH  kim etTa pekKidavvam / BikKa-ABAaNam Ku edam /
   [kim atra draṣṭavyam / bhikṣābhājanaṃ khalv etat /]	[kim atra drazwavyam / BikzA-BAjanam Kalu etat /]
   Kapālī - ata eva draṣṭum icchāmi /	KapAlI  atas eva drazwum icCAmi /
   Śākyabhikṣuḥ - ā, usa! mā mā evaṃ / pacchaṇṇaṃ khu edaṃ ṇedavvaṃ /	ŚAkI-aBikzuH  A, usa! mA mA evam / pad-SaNNam Ku edam Nedavvam /
   [ā, upāsaka! mā maivam / pracchannaṃ khalv etan netavyam /]	[A, upAsaka! mA mA-evam / pracCannam Kalu etat netavyam /]
   Kapālī - nūnam evamādipracchādananimittaṃ bahucīvaradhāraṇaṃ	KapAlI  nUnam evamAdi-pracCAdana-nimittam bahu-cIvara-DAraNam
   buddhenopadiṣṭam /	budDena-upadizwam /
   Śākyabhikṣuḥ - saccaṃ edam /	ŚAkI-aBikzuH  sat-cam edam /
   [satyam etat /]	[satyam etat /]
   Kapālī - idaṃ {tat : om. DG} {saṃvṛtasatyam : saṃvṛṭhaṃ satyam G :	KapAlI  idam {tat : om. DG} {saMvRta-satyam : saMvRWam satyam G :
   saṃvṛtaṃ paramasatyam D} / paramārthasatyaṃ śrotum icchāmi /	saMvRtam parama-satyam D} / parama-arTa-satyam Srotum icCAmi /
   Śākyabhikṣuḥ - bhodu ettao parihāso / adikkamadi bhikkhāvelā / sāhemi ahaṃ	ŚAkI-aBikzuH  Bodu ettao parihAsaH / adikkamadi BikKA-velA / sAhemi aham
   / (pratiṣṭhate /) [bhavatv etāvān parihāsaḥ / atikrāmati bhikṣāvelā /	/ (pratizWate /) [Bavatu etAvAn parihAsaH / atikrAmati BikzA-velA /
   sādhayāmy aham /]	sADayAmi aham /]
   Kapālī - {āḥ : haḥ G}, dhūrtta! kva gamiṣyasi / dīyatāṃ me kapālam /	Ka-pAlI  {AH : haH G}, DUrtta! kva gamizyasi / dIyatAm me kapAlam /
   (cīvarāntam {ālambate : avalambate CDE} /)	(cIvara-antam {Alambate : avalambate CDE} /)
   Śākyabhikṣuḥ - ṇamo buddhāa /	ŚAkI-aBikzuH  NamaH budDAa /
   [namo buddhāya /]	[namaH budDAya /]
   Kapālī - namaḥ karapaṭāyeti vaktavyaṃ, yena coraśāstraṃ praṇītam / athavā	KapAlI  namaH kara-pawAya-iti vaktavyan, yena cora-SAstram praNItam / aTavA
   kharapaṭād apy asminn adhikāre buddha evādhikaḥ / kutaḥ -	Kara-pawAt api asmin aDikAre budDaH eva-aDikaH / kutas -
   vedāntebhyo gṛhītvārthān	vedAnteByaH gRhItvA-arTAn
   yo mahābhāratād api /	yaH mahABAratAt api /
   viprāṇāṃ miṣatām eva	viprANAm mizatAm eva
   kṛtavān kośasañcayam // 12 //	kRtavAn koSa-saQcayam // 12 //
   Śākyabhikṣuḥ - santaṃ pāpaṃ santaṃ pāpaṃ /	ŚAkI-aBikzuH  santam pApam santam pApam /
   [śāntaṃ {pāpaṃ : om. G} śāntaṃ pāpaṃ /]	[SAntam {pApam : om. G} SAntam pApam /]
   Kapālī - evaṃ suvṛttasya tapasvinaḥ katham iva pāpaṃ na śāmyati /	KapAlI  evam su-vRttasya tapasvinaH kaTam iva pApam na SAmyati /
   Devasomā - bhaavaṃ! parissanto via lakkhīasi / ṇa edaṃ suhovāasulahaṃ	DevasomAH  BaavaM! parissantaH via lakKIasi / NaH edam suhovAasu-laham
   kavālaṃ / tā edinā gosiṅgeṇa suraṃ pibia jādabalo bhavia imiṇā saha	kavAlam / tAH edinA go-siFgeNa suram pibia jAdabalaH BaviaH imiNA saha
   vivādaṃ karehi /	vivAdam karehi /
   [bhagavan! pariśrānta iva lakṣyase / naitat sukhopāyasulabhaṃ kapālaṃ /	[Baga-van! pariSrAntaH iva lakzyase / na-etat suKa-upAya-sulaBam kapAlam /
   tad etena gośṛṅgeṇa surāṃ pītvā jātabalo bhūtvānena saha vivādaṃ kuru /]	tat etena go-SRFgeNa surAm pItvA jAta-balaH BUtvA-anena saha vivAdam kuru /]
   Kapālī - tathāstu /	Ka-pAlI  taTA-astu /
   (devasomā {kapāline : om. C} surāṃ prayacchati /)	(deva-somAH {kapAline : om. C} surAm prayacCati /)
   Kapālī - (pītvā) priye! tvayāpi śramāpanodaḥ kartavyaḥ /	Ka-pAlI  (pItvA) priye! tvayA-api Srama-apanodaH kartavyaH /
   Devasomā - bhaavaṃ! taha / (pibati /)	DevasomA  Baavan! taha / (pibati /)
   [bhagavan! tathā /]	[Baga-van! taTA /]
   Kapālī - ayam asmākam apakārī / saṃvibhāgapradhānaḥ svasiddhāntaḥ	KapAlI  ayam asmAkam apakArI / saMviBAga-praDAnaH sva-sidDAntaH
   {pramāṇayitavyaḥ C} / śeṣam ācāryāya pradīyatām /	{pramANayitavyaH C} / Sezam AcAryAya pradIyatAm /
   Devasomā - jaṃ bhaavaṃ āṇavedi / gahṇadu bhaavaṃ /	DevasomAH  jam Baavam ANavedi / gahNadu Baavam /
   [yad bhagavān ājñāpayati / gṛḥṇātu {bhagavān : bhavān G} /]	[yat BagavAn AjQApayati / gRHNAtu {BagavAn : BavAn G} /]
   Śākyabhikṣuḥ - (ātmagatam) aho suhovaṇado abbhudao / ettao doso - mahājaṇo	ŚAkI-aBikzuH  (Atma-gatam) aho suhovaNa-daH abBudaaH / ettaaH dosaH  mahA-jaNaH-
   pekkhissadi / (prakāśam) bhodi / mā mā evaṃ / ṇa {vaḍḍhadi : vaddhai KaA}	pekKiH-sadi / (prakASam) Bodi / mA mA evam / Na {vaxXadi : vadDE KaA}
   ahmāṇaṃ / (sṛkvaṇī leḍhi /)	ahmANam / (sRkvaNI leXi /)
   [aho sukhopanato 'bhyudayaḥ / etāvān {atra khalu eṣa G} doṣaḥ - mahājano	[aho suKa-upanataH aByudayaH / etAvAn {atra Kalu eza G} dozaH  mahA-janaH-
   drakṣyati / bhavati / mā maivam / na vardhate 'smākam /]	drakzyati / Bavati / mA mA-evam / na varDate asmAkam /]
   Devasomā - dhaṃsa / kudo de ettiāṇi bhāadheāṇi /	DevasomAH  DaMsa / kudaH de ettiANi BAaDeANi /
   [{dhvaṃsasva : duṣṭa G} / kutas te {etāvanti : etāni G} bhāgadheyāni /]	[{DvaMsasva : duzwa G} / kutas te {etAvanti : etAni G} BAgaDeyAni /]
   Kapālī - priye! iyam asyecchāvirodhinī vāg mukhaprasekena skhala(ya?)ti	KapAlI  priye! iyam asya-icCA-viroDinI vAc muKa-prasekena sKala(ya?)ti
   Śākyabhikṣuḥ - idāṇiṃ vi ṇatthi de karuṇā /	ŚAkyaBikzuH  idANim vi NatTi de karuNA /
   [idānīm api { nāsti te : te nāsti G} karuṇā /]	[idAnIm api { na-asti te : te na-asti G} karuNA /]
   Kapālī - yady asti karuṇā, kathaṃ vītarāgo bhaviṣyāmi /	KapAlI  yadi asti karuNA, kaTam vIta-rAgaH BavizyAmi /
   Śākyabhikṣuḥ - evaṃ vīdarāgiṇā vīdaroseṇa vi hodavvaṃ /	ŚAkI-aBikzuH  evam vIdarAgiNA vIda-roseNa vi ha-udavvam /
   [evaṃ vītarāgiṇā vītaroṣeṇāpi bhavitavyam /]	[evam vIta-rAgiNA vIta-rozeNa-api Bavitavyam /]
   Kapālī - vītaroṣo bhaviṣyāmi, yadi me svakaṃ dāsyati /	KapAlI  vIta-rozaH BavizyAmi, yadi me svakam dAsyati /
   Śākyabhikṣuḥ - kiṃ de saaṃ /	ŚAkI-aBikzuH  kim de saam /
   [kiṃ te svakaṃ /]	[kim te svakam /]
   Kapālī - kapālam /	KapAlI  kapAlam /
   Śākyabhikṣuḥ - kahaṃ kavālaṃ /	ŚAkI-aBikzuH  kaham kavAlam /
   [{kathaṃ : kasmin EG} kapālam /]	[{-kaTam : kasmin EG} kapAlam /]
   Kapālī - kathaṃ kapālam ity āha / athavā yuktam etat /	KapAlI  kaTam kapAlam iti Aha / aTavA yuktam etat /
   dṛṣṭāni vastūni mahīsamudra-	dRzwAni vastUni mahI-samudra-
   mahīdharādīni mahānti mohāt /	mahIDara-AdIni mahAnti mohAt /
   apahnuvānasya sutaḥ kathaṃ tvam	apahnuvAnasya sutaH kaTam tvam
   alpam na nihnotum alaṃ kapālam // 13 //	alpam na nihnotum alam kapAlam // 13 //
   Devasomā - bhaavaṃ! kevalaṃ lālīyamāṇo ṇa daissadi / tā edassa hatthādo	DevasomAH  BaavaM! kevalam lAlIyamANaH Na dEssadi / tAH edaH-sa hatTa-AdaH-
   ācchindia gacchāmo / [bhagavan! kevalaṃ lālyamāno na dāsyati / tad etasya	AcCindia gacCAmaH / [Baga-van! kevalam lAlyamAnaH na dAsyati / tat etasya
   hastād ācchidya gacchāvaḥ /]	hastAt AcCidya gacCAvaH /]
   Kapālī - priye! tathā / (ācchettuṃ {vyāpriyate : vyāpriyete C} /)	KapAlI  priye! taTA / (At-Cettum {vyApriyate : vyApriyete C} /)
   Śākyabhikṣuḥ - dhaṃsa duṭṭhakavālia / (hastena nudan pādena {tāḍayati :	ŚAkI-aBikzuH  DaMsa duwWakavAlia / (haH-tena nudan pAdena {tAxayati :
   pātayati D} /) [{dhvaṃsasva : dhvaṃsa (9) gaccha G} duṣṭakāpālika!]	pAtayati D} /) [{DvaMsasva : DvaMsa (9) gacCa G} duzwa-kApAlika!]
   Kapālī - kathaṃ patito 'smi /	KapAlI  kaTam patitaH asmi /
   Devasomā - mudo si dāsievutta! ({keśāpakarśaṇaṃ : keśākarśaṇaṃ D}	DevasomAH  mudaH si dAsievutta! ({keSApa-karSaNam : keSa-akarSaNam D}
   rūpayitvā nirālambanā patitā /) [mṛto 'si dāsyāḥputra!]	rUpayitvA nirAlambanA patitAH /) [mRtaH asi dAsyAH-putra!]
   Śākyabhikṣuḥ - (ātmagatam) aghaṃ buddhassa viṇṇāṇaṃ, jeṇa muṇḍaṇaṃ	ŚAkI-aBikzuH  (Atma-gatam) aGam budDassa viNNANaM, jeNa muNxaNam
   {diṭṭhaṃ : kidaṃ KaA} / (prakāśam) uṭṭhehi uṭṭhehi usie! uṭṭhehi / (iti	{diwWam : kidam KaA} / (prakASam) uwWehi uwWehi usie! uwWehi / (iti
   devasomām {utthāpayati : hastena gṛhṇāti E} /)	deva-somAm {utTApayati : hastena gRhNAti E} /)
   [arhaṃ {(arghaṃ vā) S: (aghaṃ vā) U} buddhasya vijñānam, yena muṇḍanaṃ	[arham {(arGam vA) S: (aGam vA) U} budDasya vijQAnam, yena muNxanam
   dṛṣṭam / uttiṣṭhottiṣṭha upāsike uttiṣṭha /]	dRzwam / uttizWa-uttizWaH upAsike uttizWa /]
   Kapālī - paśyantu paśyantu māheśvarāḥ anena duṣṭabhikṣunāmadhārakeṇa	Ka-pAlI  paSyantu paSyantu mAheSvarAH anena duzwa-Bikzu-nAma-DArakeNa
   nāgasenena mama priyatamāpāṇigrahaṇaṃ kriyamāṇam /	na-Agasenena mama priyatamA-pANigrahaNam kriyamANam /
   Śākyabhikṣuḥ - ā vusa! mā mā evaṃ / dhammo khu ahmāṇaṃ visamapadidāṇukampā	ŚAkI-aBikzuH  A vusa! mA mA evam / DammaH Ku ahmANam visama-padi-dANu-kampA
   [ā upāsaka! {(āyuṣman! vā) SU} mā maivam / dharmaḥ khalv {ayam G} asmākaṃ	[A upAsaka! {(Ayuzman! vA) SU} mA mA-evam / DarmaH Kalu {ayam G} asmAkam
   {viṣamapatitānukampā : viṣamapatitānām anukampā G} /]	{vizama-patita-anukampA : vizama-patitAnAm anukampA G} /]
   Kapālī - kim ayam api sarvajñadharmaḥ / nanv ahaṃ pūrvaṃ patito 'smi /	KapAlI  kim ayam api sarvajQa-DarmaH / nanu aham pUrvam patitaH asmi /
   bhavatu, kim anena / idānīṃ tava śiraḥkapālaṃ mama bhikṣākapālaṃ	Bavatu, kim anena / idAnIm tava SiraH-kapAlam mama BikzA-kapAlam
   bhaviṣyati /	Bavizyati /
   (sarve kalahaṃ {rūpayanti : kurvanti C} /)	(sarve kalaham {rUpayanti : kurvanti C} /)
   Śākyabhikṣuḥ - dukkhaṃ dukkhaṃ /	ŚAkI-aBikzuH  dukKam dukKam /
   [duḥkhaṃ duḥkham /]	[duHKam duHKam /]
   Kapālī - paśyantu paśyantu māheśvarāḥ / eṣa duṣṭabhikṣunāmadhārako	Ka-pAlI  paSyantu paSyantu mAheSvarAH / eza duzwa-Bikzu-nAma-DArakaH-
   {nāgaseno DF} mama bhikṣākapālaṃ muṣitvā svayam evākrandati / bhavatu,	{nAgasenaH DF} mama BikzA-kapAlam muzitvA svayam eva-Akrandati / Bavatu,
   aham apy ākrośayiṣye / abrahmaṇyam abrahmaṇyam /	aham api AkroSayizye / abrahmaNyam abrahmaNyam /
   (tataḥ praviśati pāśupataḥ)	(tatas praviSati pASupataH)
   Pāśupataḥ - satyasoma! kim artham ākrandasi /	PASupataH  satya-soma! kim arTam Akrandasi /
   Kapālī - bho babhrukalpa! duṣṭabhikṣunāmadhārako nāgaseno mama	KapAlI  Bo baBru-kalpa! duzwa-Bikzu-nAma-DArakaH na-AgasenaH mama
   bhikṣākapālaṃ corayitvā dātuṃ necchati /	BikzA-kapAlam corayitvA dAtum na-icCati /
   Pāśupataḥ - (ātmagatam) {aye! D} yad asmābhir anuṣṭheyaṃ, gandharvaiḥ tad	PASupataH  (Atma-gatam) {aye! D} yat asmABiH anuzWeyan, ganDarvEH tat-
   anuṣṭhitam / eṣa durātmā,	anuzWitam / eza durAtmA,
   tāṃ kṣaurikasya dāsīṃ	tAm kzOrikasya dAsIm
   mama dayitāṃ cīvarāntadarśitayā /	mama dayitAm cIvara-anta-darSitayA /
   ākarṣati kākaṇyā	Akarzati kAkaNyA
   bahuśo {gāṃ : gaḥ E} grāsamuṣṭyeva // 14 //	bahuSas {gAm : gaH E} grAsa-muzwyA-iva // 14 //
   tad idānīṃ pratihastiprotsāhanena {asmat G}śatrupakṣaṃ dhvaṃsayāmi /	tat idAnIm pratihasti-protsAhanena {asmat G}Satru-pakzam DvaMsayAmi /
   (prakāśam) bho nāgasena! apy evam etad, yathāyam āha /	(prakASam) Bo nAgasena! api evam etat-, yaTA-ayam Aha /
   Śākyabhikṣuḥ - bhaavaṃ! tuvaṃ pi evaṃ bhaṇāsi / ādiṇṇādāṇā veramaṇaṃ	ŚAkI-aBikzuH  Baavan! tuvam pi evam BaNAsi / AdiNNAdANAH veramaNam
   sikkhāpadaṃ / mudhāvādā veramaṇaṃ sikkhāpadaṃ / {abbamhacayyā :	sikKa-Apadam / muDA-vAdAH veramaNam sikKa-Apadam / {abbamha-cayyA :
   abbamhaññacayyā (Ka)(10)A} veramaṇaṃ sikkhāpadaṃ / pāṇādipādā veramaṇaṃ	ap-bamhaQQa-cayyA (Ka)(10)A} veramaNam sikKa-Apadam / pANa-Adi-pAdAH veramaNam
   sikkhāpadaṃ / {akālabhoaṇā : bhoaṇakālattherā KaAF} veramaṇaṃ sikkhāpadaṃ	sikKa-Apadam / {a-kAla-BoaNA : BoaNa-kAlatTerA KaAF} veramaNam sikKa-Apadam
   / ahmāaṃ buddhadhammaṃ saraṇaṃ gacchāmi /	/ ahmAam budDa-Dammam saraNam gacCAmi /
   [bhagavan! tvam {apy evaṃ bhaṇasi : api na jānāsi G} / adattādānād	[Baga-van! tvam {api evam BaNasi : api na jAnAsi G} / adatta-AdAnAt-
   viramanaṃ śikṣāpadam / mṛṣāvādād viramanaṃ śikṣāpadam / abrahmacaryād	viramanam SikzA-padam / mRzAvAdAt viramanam SikzA-padam / abrahmacaryAt-
   viramanaṃ śikṣāpadam / prāṇātipātād viramanaṃ śikṣāpadam / akālabhojanād	viramanam SikzA-padam / prANa-atipAtAt viramanam SikzA-padam / akAla-BojanAt-
   viramanaṃ śikṣāpadam / asmākaṃ {buddhadharmaṃ : buddhaṃ dharmaṃ G} śaraṇaṃ	viramanam SikzA-padam / asmAkam {budDa-Darmam : budDam Darmam G} SaraNam
   gacchāmi /]	gacCAmi /]
   Pāśupataḥ - satyasoma! īdṛśa eṣāṃ samayaḥ / kim atra prativacanam /	PASupataH  satya-soma! IdRSaH ezAm samayaH / kim atra prativacanam /
   Kapālī - nanv asmākam anṛtaṃ na vaktavyam iti samayaḥ /	KapAlI  nanu asmAkam anRtam na vaktavyam iti samayaH /
   Pāśupataḥ - ubhayam apy upapannam / ko {'tra : om. D} nirṇayopāyaḥ /	PASupataH  uBayam api upapannam / kaH {-atra : om. D} nirNaya-upAyaH /
   Śākyabhikṣuḥ - buddhavaaṇaṃ pamāṇīkaraanto bhikkhū surābhāaṇaṃ gaṇhadi tti	ŚAkI-aBikzuH  budDavaaNam pamANIkaraantaH BikKU sura-ABAaNam gaNhadi tti
   ko ettha hedū / [{bho G} buddhavacanaṃ pramāṇīkurvan bhikṣuḥ surābhājanaṃ	kaH etTa hedU / [{BaH G} budDa-vacanam pramANIkurvan BikzuH surA-BAjanam
   gṛhṇātīti ko 'tra hetuḥ /]	gRhNAti-iti kaH atra hetuH /]
   Pāśupataḥ - nahi pratijñāmātreṇa hetuvādinaḥ siddhir asti /	PASupataH  na-hi pratijQA-mAtreNa hetuvAdinaH sidDiH asti /
   Kapālī - pratyakṣe hetuvacanaṃ nirarthakam /	KapAlI  pratyakze hetu-vacanam nirarTakam /
   Pāśupataḥ - kathaṃ pratyakṣam eva /	PASupataH  kaTam pratyakzam eva /
   Devasomā - bhaavaṃ! edassa hatthe civarāntappacchādidaṃ kavālaṃ /	DevasomAH  Baavan! edaH-sa hatTe civarAn-tappacCAt-idam kavAlam /
