   śivopaniṣad	Siva-upanizad-
   aiṣṭakaṃ kalpayed yatnāc chivāgnyāyatanaṃ mahat /	Ezwakam kalpayet yatnAt Siva-agni-Ayatanam mahat /
   catuḥpregīvakopetam(?) ekapregīvakena vā(?) // 4.11 //	catur-pregIvaka-upetam(?) eka-pregIvakena vA(?) // 4.11 //
   sudhāpraliptaṃ kartavyaṃ pañcāṇḍakabibhūṣitam /	suDA-praliptam kartavyam paQca-aNxaka-biBUzitam /
   śivāgnihotraśaraṇaṃ caturaṇḍakasaṃyutam // 4.12 //	Siva-agnihotra-SaraNam caturaNxaka-saMyutam // 4.12 //
   bahis tad eva jagatī trihastā vā sukuṭṭimā /	bahis tat eva jagatI tri-hastA vA su-kuwwimAH /
   tāvad eva ca vistīrṇā mekhalādivibhūṣitā // 4.13 //	tAvat eva ca vistIrNA meKalA-Adi-viBUzitAH // 4.13 //
   kartavyā cātra jagatī tasyāś cādhaḥ samantataḥ /	kartavyA ca-atra jagatI tasyAH ca-aDas samantataH /
   dvihastamātravistīrṇā tadardhārdhasamucchritā // 4.14 //	dvi-hasta-mAtra-vistIrNA tad-arDa-arDa-samucCritAH // 4.14 //
   anyā vṛttā prakartavyā rudravedī suśobhanā /	anyA vRttA prakartavyA rudra-vedI su-SoBanA /
   daśahastapramāṇā ca caturaṅgulam ucchritā // 4.15 //	daSa-hasta-pramANA ca catur-aFgulam ucCritAH // 4.15 //
   rudramātṛgaṇānāṃ ca dikpatīnāṃ ca sarvadā /	rudra-mAtR-gaNAnAm ca dikpatInAm ca sarvadA /
   sarvāgrapākasaṃyuktaṃ tāsu nityabaliṃ haret // 4.16 //	sarva-agra-pAka-saMyuktam tAsu nitya-balim haret // 4.16 //
   vedy anyā sarvabhūtānāṃ bahiḥ kāryā dvihastikā /	vedI anyA sarva-BUtAnAm bahis kAryA dvi-hastikA /
   vṛṣasthānaṃ ca kartavyaṃ śivālokanasaṃmukham // 4.17 //	vRza-sTAnam ca kartavyam Siva-Alokana-saMmuKam // 4.17 //
   agrārṣasavitur vyoma vṛṣaḥ kāryaś ca paścime /	agrArzasavituH vyoma vRzaH kAryaH ca paScime /
   vyomnaś cādhas trigarbhaṃ syāt pitṛtarpaṇavedikā // 4.18 //	vyomnaH ca-aDas trigarBam syAt pitR-tarpaNa-vedikAH // 4.18 //
   prākārāntarbahiḥ kāryaṃ śrīmad gopurabhūṣitam /	prAkAra-antar-bahis kAryam SrImat gopura-BUzitam /
   puṣpārāmajalopetaṃ prākārāntaṃ ca kārayet // 4.19 //	puzpa-ArAma-jala-upetam prAkAra-antam ca kArayet // 4.19 //
   mṛddārujaṃ tṛṇacchannaṃ prakurvīta śivālayam /	mRd-dAru-jam tRNa=-Cannam prakurvIta Siva-Alayam /
   bhūmikādvayavinyāsād utkṣiptaṃ kalpayed budhaḥ // 4.20 //	BUmikA-dvaya-vinyAsAt utkziptam kalpayet buDaH // 4.20 //
   śivadakṣiṇataḥ kāryaṃ tabhukter yogyam ālayam /	Siva-dakziNatas kAryam taBukteH yogyam Alayam /
   śayyāsanasamāyuktaṃ vāstuvidyāvinirmitam // 4.21 //	SayyA-Asana-samAyuktam vAstu-vidyA-vinirmitam // 4.21 //
   dhvajasiṃhau vṛṣagajau catvāraḥ śobhanāḥ smṛtāḥ /	Dvaja-siMhO vRza-gajO catvAraH SoBanAH smRtAH /
   dhūmaśvagardabhadhvāṅkṣāś catvāraś cārthanāśakāḥ // 4.22 //	DUma-Sva-gardaBa-DvAFkzAH catvAraH ca-arTa-nASakAH // 4.22 //
   gṛhasyāyāmavistāraṃ kṛtvā triguṇam āditaḥ /	gRhasya-AyAma-vistAram kRtvA triguNam Aditas /
   aṣṭabhiḥ śodhayed āpaiḥ śeṣaś ca gṛham ādiśet // 4.23 //	azwaBiH SoDayet ApEH SezaH ca gRham AdiSet // 4.23 //
   iti śāntigṛhaṃ kṛtvā rudrāgniṃ yaḥ pravartayet /	iti SAntigRham kRtvA rudra-agnim yaH pravartayet /
   apy ekaṃ divasaṃ bhaktyā tasya puṇyaphalaṃ śṛṇu // 4.24 //	api ekam divasam BaktyA tasya puNya-Palam SRNu // 4.24 //
   kalatraputramitrādyaiḥ sa bhṛtyaiḥ parivāritaḥ /	kalatra-putra-mitra-AdyEH sa BRtyEH parivAritaH /
   kulaikaviṃśad uttārya devalokam avāpnuyāt // 4.25 //	kula-ekaviMSat uttArya deva-lokam avApnuyAt // 4.25 //
   nīlotpaladalaśyāmāḥ pīnavṛttapayodharāḥ /	nIlotpala-dala-SyAmAH pIna-vRtta-payoDarAH /
   hemavarṇāḥ striyaś cānyāḥ sundaryaḥ priyadarśanāḥ // 4.26 //	hema-varNAH striyaH ca-anyAH sundaryaH priya-darSanAH // 4.26 //
   tābhiḥ sārdhaṃ mahābhogair vimānaiḥ sārvakāmikaiḥ /	tABiH sArDam mahA-BogEH vimAnEH sArvakAmikEH /
   icchayā krīḍate tāvad yāvad ābhūtasaṃplavam // 4.27 //	icCayA krIxate tAvat yAvat ABUtasaMplavam // 4.27 //
   tataḥ kalpāgninā sārdhaṃ dahyamānaṃ suvihvalam /	tatas kalpa-agninA sArDam dahyamAnam su-vihvalam /
   dṛṣṭvā virajyate bhūyo bhavabhogamahārṇavāt // 4.28 //	dRzwvA virajyate BUyas Bava-Boga-mahA-arNavAt // 4.28 //
   tataḥ saṃpṛcchate rudrāṃs tatrasthān jñānapāragān /	tatas saMpRcCate rudrAn tatrasTAn jQAna-pAragAn /
   tebhyaḥ prāpya śivajñānaṃ śāntaṃ nirvāṇam āpnuyāt // 4.29 //	teByaH prApya Siva-jQAnam SAntam nirvANam ApnuyAt // 4.29 //
   aviraktaś ca bhogebhyaḥ sapta janmāni jāyate /	aviraktaH ca BogeByaH sapta janmAni jAyate /
   pṛthivyadhipatiḥ śrīmān icchayā vā dvijottamaḥ // 4.30 //	pRTivI-aDipatiH SrImAn icCayA vA dvijottamaH // 4.30 //
   saptamāj janmanaś cānte śivajñānam anāpnuyāt /	saptamAt janmanaH ca-ante Siva-jQAnam anApnuyAt /
   jñānād viraktaḥ saṃsārāc chuddhaḥ khāny adhitiṣṭhati // 4.31 //	jQAnAt viraktaH saMsArAt SudDaH KAni aDitizWati // 4.31 //
   ity etad akhilaṃ kāryaṃ phalam uktaṃ samāsataḥ /	iti etat aKilam kAryam Palam uktam samAsatas /
   utsave ca punar brūmaḥ pratyekaṃ dravyajaṃ phalam // 4.32 //	utsave ca punar brUmaH pratyekam dravya-jam Palam // 4.32 //
   sadgandhaguṭikām ekāṃ lākṣāṃ prāṇyaṅgavarjitām /	sat-ganDa-guwikAm ekAm lAkzAm prANi-aFga-varjitAm /
   karpāsāsthipramāṇaṃ ca hutvāgnau śṛṇuyāt phalam // 4.33 //	karpAsa-asTi-pramANam ca hutvA-agnO SRNuyAt Palam // 4.33 //
   yāvat satgandhaguṭikā śivāgnau saṃkhyayā hutā /	yAvat satganDa-guwikA Siva-agnO saMKyayA hutA /
   tāvatkoṭyas tu varṣāṇi bhogān bhuṅkte śive pure // 4.34 //	tAvat-kowyaH tu varzANi BogAn BuFkte Sive pure // 4.34 //
   ekāṅgulapramāṇena hutvāgnau candanāhutim /	eka-aFgula-pramANena hutvA-agnO candana-Ahutim /
   varṣakoṭidvayaṃ bhogair divyaiḥ śivapure vaset // 4.35 //	varza-kowi-dvayam BogEH divyEH Siva-pure vaset // 4.35 //
   yāvatkesarasaṃkhyānaṃ kusumasyānale hutam /	yAvat-kesara-saMKyAnam kusumasya-anale hutam /
   tāvadyugasahasrāṇi śivaloke mahīyate // 4.36 //	tAvat-yuga-sahasrANi Siva-loke mahIyate // 4.36 //
   nāgakesarapuṣpaṃ tu kuṅkumārdhena kīrtitam /	nAgakesara-puzpam tu kuFkuma-arDena kIrtitam /
   yat phalaṃ candanasyoktam uśīrasya tadardhakam // 4.37 //	yat Palam candanasya-uktam uSIrasya tad-arDakam // 4.37 //
   yat puṣpadhūpabhaṣyānna- dadhikṣīraghṛtādibhiḥ /	yat puzpa-DUpa-BazyA-an-na daDi-kzIra-GRta-AdiBiH /
   puṇyaliṅgārcane proktaṃ tad dhomasya daśādhikam // 4.38 //	puNya-liFga-arcane proktam tat Domasya daSa-aDikam // 4.38 //
   hutvāgnau samidhas tisrau śivomāskandanāmabhiḥ /	hutvA-agnO samiDaH tisrO Siva-umAskanda-nAmaBiH /
   paścād dadyāt tilānnāni homayīta yathākramam // 4.39 //	paScAt dadyAt tila-annAni homayIta yaTAkramam // 4.39 //
   palāśāaṅkurajāriṣṭa- pālālyaḥ(?) samidhaḥ śubhāḥ /	palASa-aaFkura-ja-arizwa pAlAlyaH(?) samiDaH SuBAH /
   pṛṣadājyaplutā hutvā śṛṇu yat phalam āpnuyāt // 4.40 //	pRzadAjya-plutA hutvA SRNu yat Palam ApnuyAt // 4.40 //
   palāśāṅkurasaṃkhyānāṃ yāvad agnau hutaṃ bhavet /	palASa-aFkura-saMKyAnAm yAvat agnO hutam Bavet /
   tāvatkalpān mahābhogaiḥ śivaloke mahīyate // 4.41 //	tAvat-kalpAn mahA-BogEH Siva-loke mahIyate // 4.41 //
   tallakṣyamadhyasaṃbhūtaṃ hutvāgnau samidhaḥ śubhāḥ /	tad-lakzya-maDya-saMBUtam hutvA-agnO samiDaH SuBAH /
   kalpārdhasaṃmitaṃ kālaṃ bhogān bhuṅkte śive pure // 4.42 //	kalpa-arDa-saMmitam kAlam BogAn BuFkte Sive pure // 4.42 //
   śamīsamitphalaṃ deyam abdān api ca lakṣakam /	SamI-samiD-Palam deyam abdAn api ca lakzakam /
   śamyardhaphalavaccheṣāḥ samidhaḥ kṣīravṛkṣajāḥ // 4.43 //	SamI-arDa-Pala-vat-SezAH samiDaH kzIravRkza-jAH // 4.43 //
   tilasaṃkhyāṃs tilān hutvā hy ājyāktā(?) yāvatī bhavet /	tila-saMKyAn tilAn hutvA hi Ajya-aktA(?) yAvatI Bavet /
   tāvat sa varṣalakṣāṃs tu bhogān bhuṅkte śive pure // 4.44 //	tAvat sa varza-lakzAn tu BogAn BuFkte Sive pure // 4.44 //
   yāvat surauṣadhīrajñas(?) tilatulyaphalaṃ smṛtam /	yAvat sura-ozaDI-rajQas(?) tila-tulya-Palam smRtam /
   itarebhyas tilebhyaś ca kṛṣṇānāṃ dviguṇaṃ phalam // 4.45 //	itareByaH tileByaH ca kRzNAnAm dviguNam Palam // 4.45 //
   lājākṣatāḥ sagodhūmāḥ varṣalakṣaphalapradāḥ /	lAjA-kzatAH sa-goDUmAH varza-lakza-Pala-pradAH /
   daśasāhasrikā jñeyāḥ śeṣāḥ syur bījajātayaḥ // 4.46 //	daSa-sAhasrikAH jQeyAH SezAH syuH bIja-jAtayaH // 4.46 //
   palāśendhanaje vahnau homasya dviguṇaṃ phalam /	palASa-inDana-je vahnO homasya dviguNam Palam /
   kṣīravṛkṣasamṛddhe 'gnau phalaṃ sārdhārdhikaṃ bhavet // 4.47 //	kzIravRkza-samRdDe agnO Palam sArDa-ArDikam Bavet // 4.47 //
   asamiddhe sadhūme ca homakarma nirarthakam /	asamidDe sa-DUme ca homa-karma nirarTakam /
   andhaś ca jāyamānaḥ syād dāridryopahatas tathā // 4.48 //	anDaH ca jAyamAnaH syAt dAridrya-upahataH taTA // 4.48 //
   na ca kaṇṭakibhir vṛkṣair agniṃ prajvālya homayet /	na ca kaNwakiBiH vRkzEH agnim prajvAlya homayet /
   śuṣkair navaiḥ praśastaiś ca kāṣṭhair agniṃ samindhayet // 4.49 //	SuzkEH navEH praSastEH ca kAzWEH agnim saminDayet // 4.49 //
   evam ājyāhutiṃ hutvā śivalokam avāpnuyāt /	evam Ajya-Ahutim hutvA Siva-lokam avApnuyAt /
   tatra kalpaśataṃ bhogān bhuṅkte divyān yathepsitān // 4.50 //	tatra kalpa-Satam BogAn BuFkte divyAn yaTA-IpsitAn // 4.50 //
   srucaikāhitamātreṇa vratasyāpūritena ca /	sruca-eka-Ahita-mAtreNa vratasya-ApUritena ca /
   yāhutir dīyate vahnau sā pūrṇāhutir ucyate // 4.51 //	yAhutiH dIyate vahnO sA pUrNAhutiH ucyate // 4.51 //
   ekāṃ pūrṇāhutiṃ hutvā śivena śivabhāvitaḥ /	ekAm pUrNAhutim hutvA Sivena Siva-BAvitaH /
   sarvakāmam avāpnoti śivaloke vyavasthitaḥ // 4.52 //	sarva-kAmam avApnoti Siva-loke vyavasTitaH // 4.52 //
   aśeṣakulajair sārdhaṃ sa bhṛtyaiḥ parivāritaḥ /	aSeza-kula-jEH sArDam sa BRtyEH parivAritaH /
   ābhūtasaṃplavaṃ yāvad bhogān bhuṅkte yathepsitān // 4.53 //	ABUtasaMplavam yAvat BogAn BuFkte yaTA-IpsitAn // 4.53 //
   tataś ca pralaye prāpte saṃprāpya jñānam uttamam /	tatas ca pralaye prApte saMprApya jQAnam uttamam /
   prasādād īśvarasyaiva mucyate bhavasāgarāt // 4.54 //	prasAdAt ISvarasya-eva mucyate Bava-sAgarAt // 4.54 //
   śivapūrṇāhutiṃ vahnau patantīṃ yaḥ prapaśyati /	Siva-pUrNAhutim vahnO patantIm yaH prapaSyati /
   so 'pi pāpari naraḥ sarvair muktaḥ śivapuraṃ vrajet // 4.55 //	saH api pApari naraH sarvEH muktaH Siva-puram vrajet // 4.55 //
   śivāgnidhūmasaṃspṛṣṭā jīvāḥ sarve carācarāḥ /	Siva-agni-DUma-saMspRzwAH jIvAH sarve carAcarAH /
   te 'pi pāpavinirmuktāḥ svargaṃ yānti na saṃśayaḥ // 4.56 //	te api pApa-vinirmuktAH svargam yAnti na saMSayaH // 4.56 //
   śivayajñamahāvedyā jāyate ye na santi vā /	Siva-yajQa-mahA-vedyA jAyate ye na santi vA /
   te 'pi yānti śivasthānaṃ jīvāḥ sthāvarajaṅgamāḥ // 4.57 //	te api yAnti Siva-sTAnam jIvAH sTAvara-jaFgamAH // 4.57 //
   pūrṇāhutiṃ ghṛtābhāve kṣīratailena kalpayet /	pUrNAhutim GRta-aBAve kzIra-tElena kalpayet /
   homayed atasītailaṃ tilatailaṃ vinā naraḥ // 4.58 //	homayet atasI-tElam tila-tElam vinA naraH // 4.58 //
   sarṣapeṅguḍikāśāmra- karañjamadhukākṣajam /	sarzapa-iFguxikA-SAmra karaQja-maDuka-akza-jam /
   priyaṅgubilvapaippalya- nālikerasamudbhavam(?) // 4.59 //	priyaFgu-bilva-pEppalya nAlikera-samudBavam(?) // 4.59 //
   ity evam ādikaṃ tailam ājyābhāve prakalpayet /	iti evam Adikam tElam Ajya-aBAve prakalpayet /
   dūrvayā bilvapattrair vā samidhaḥ saṃprakīrtitāḥ // 4.60 //	dUrvayA bilva-pattrEH vA samiDaH saMprakIrtitAH // 4.60 //
   annārthaṃ homayet kṣīraṃ dadhi mūlaphalāni vā /	anna-arTam homayet kzIram daDi mUla-PalAni vA /
   tilārthaṃ taṇḍulaiḥ kuryād darbhārthaṃ haritais tṛṇaiḥ // 4.61 //	tila-arTam taNxulEH kuryAt darBa-arTam haritEH tRNEH // 4.61 //
   paridhīnām abhāvena śarair vaṃśaiś ca kalpayet /	pariDInAm aBAvena SarEH vaMSEH ca kalpayet /
   indhanānām abhāvena dīpayet tṛṇagomayaiḥ // 4.62 //	inDanAnAm aBAvena dIpayet tRNa-gomayEH // 4.62 //
   gomayānām abhāvena mahaty ambhasi homayet /	gomayAnAm aBAvena mahati amBasi homayet /
   apām asaṃbhave homaṃ bhūmibhāge manohare // 4.63 //	apAm asaMBave homam BUmi-BAge manohare // 4.63 //
   viprasya dakṣiṇe pāṇāv aśvatthe tadabhāvataḥ /	viprasya dakziNe pANO aSvatTe tad-aBAvataH /
   chāgasya dakṣiṇe karṇe kuśamūle ca homayet // 4.64 //	CAgasya dakziNe karNe kuSamUle ca homayet // 4.64 //
   svātmāgnau homayet prājñaḥ sarvāgnīnām asaṃbhave /	sva-Atma-agnO homayet prAjQaH sarva-agnInAm asaMBave /
   abhāve na tyajet karma karmayogavidhau sthitaḥ // 4.65 //	aBAve na tyajet karma karma-yoga-viDO sTitaH // 4.65 //
   āpatkāle 'pi yaḥ kuryāc chivāgner manasārcanam /	Apad-kAle api yaH kuryAt Siva-agneH manasA-arcanam /
   sa mohakañcukaṃ tyaktvā parāṃ śāntim avāpnuyāt // 4.66 //	sa moha-kaQcukam tyaktvA parAm SAntim avApnuyAt // 4.66 //
   prāṇāgnihotraṃ kurvanti paramaṃ śivayoginaḥ /	prANa-agnihotram kurvanti paramam Siva-yoginaH /
   bāhyakarmavinirmuktā jñānadhyānasamākulāḥ // 4.67 //	bAhya-karma-vinirmuktAH jQAna-DyAna-samAkulAH // 4.67 //
   // iti śivopaniṣadi śāntigṛhāgnikāryādhyāyaś caturthaḥ //	// iti Siva-upanizadi SAnti-gRha-agni-kArya-aDyAyaH caturTaH //
   athāgneyaṃ mahāsnānam alakṣmīmalanāśanam /	aTa-Agneyam mahA-snAnam alakzmI-mala-nASanam /
   sarvapāpaharaṃ divyaṃ tapaḥ śrīkīrtivardhanam // 5.1//	sarva-pApa-haram divyam tapaH SrI-kIrti-varDanam // 5.1//
   agnirūpeṇa rudreṇa svatejaḥ paramaṃ balam /	agni-rUpeNa rudreNa sva-tejaH paramam balam /
   bhūtirūpaṃ samudgīrṇaṃ viśuddhaṃ duritāpaham // 5.2//	BUti-rUpam samudgIrNam viSudDam durita-apaham // 5.2//
   yakṣarakṣaḥpiśācānāṃ dhvaṃsanaṃ mantrasatkṛtam /	yakza-rakzaH-piSAcAnAm DvaMsanam mantra-satkRtam /
   rakṣārthaṃ bālarūpāṇāṃ sūtikānāṃ gṛheṣu ca // 5.3//	rakzA-arTam bAla-rUpANAm sUtikAnAm gRhezu ca // 5.3//
   yaś ca bhuṅkte dvijaḥ kṛtvā annasya vā paridhitrayam(?) /	yaH ca BuFkte dvijaH kRtvA annasya vA pariDi-trayam(?) /
   api śūdrasya paṅktisthaḥ paṅktidoṣair na lipyate // 5.4//	api SUdrasya paFkti-sTaH paFkti-dozEH na lipyate // 5.4//
   āhāram ardhabhuktaṃ ca kīṭakeśādidūṣitam /	AhAram arDa-Buktam ca kIwa-keSa-Adi-dUzitam /
   tāvanmātraṃ samuddhṛtya bhūtispṛṣṭaṃ viśuddhyati // 5.5//	tAvat-mAtram samudDRtya BUti-spRzwam viSudDi-ati // 5.5//
   āraṇyaṃ gomayakṛtaṃ karīṣaṃ vā praśasyate /	AraNyam gomaya-kRtam karIzam vA praSasyate /
   śarkarāpāṃsunirmuktam abhāve kāṣṭhabhasmanā // 5.6//	SarkarA-pAMsu-nirmuktam aBAve kAzWa-BasmanA // 5.6//
   svagṛhāśramavallibhyaḥ kulālālayabhasmanā /	sva-gRha-ASrama-valliByaH kulAla-Alaya-BasmanA /
   gomayeṣu ca dagdheṣu hīṣṭakāni ca yeṣu ca // 5.7//	gomayezu ca dagDezu hi-izwakAni ca yezu ca // 5.7//
   sarvatra vidyate bhasma duḥkhāpārjanarakṣaṇam (duḥkhopār) /	sarvatra vidyate Basma duHKa-apArjana-rakzaNam (duHKa-upAr) /
   śaṅkhakundenduvarṇābham ādadyāj jantuvarjitam // 5.8//	SaFKa-kunda-indu-varNa-ABam AdadyAt jantu-varjitam // 5.8//
   bhasmānīya prayatnena tad rakṣed yatnavāṃs tathā /	Basma-AnIya prayatnena tat rakzet yatnavAn taTA /
   mārjāramūṣikādyaiś ca nopahanyeta tad yathā // 5.9//	mArjAra-mUzika-AdyEH ca na-upahanyeta tat yaTA // 5.9//
   pañcadoṣavinirmuktaṃ guṇapañcakasaṃyutam /	paQca-doza-vinirmuktam guNa-paQcaka-saMyutam /
   śivaikādaśikājaptaṃ śivabhasma prakīrtitam // 5.10//	Siva-ekAdaSikA-japtam Siva-Basma prakIrtitam // 5.10//
   jātikārukavākkāya- sthānaduṣṭaṃ ca pañcamam /	jAtikAruka-vAk-kAya sTAna-duzwam ca paQcamam /
   pāpaghnaṃ śāṃkaraṃ rakṣā- pavitraṃ yogadaṃ guṇāḥ(?) // 5.11//	pApa-Gnam SAMkaram rakzA pavitram yoga-dam guNAH(?) // 5.11//
   śivavratasya śāntasya bhāsakatvāc chubhasya ca /	Siva-vratasya SAntasya BAsaka-tvAt SuBasya ca /
   bhakṣaṇāt sarvapāpānāṃ bhasmeti parikīrtitam // 5.12//	BakzaNAt sarva-pApAnAm Basma-iti parikIrtitam // 5.12//
   bhasmasnānaṃ śivasnānaṃ vāruṇād adhikaṃ smṛtam /	Basma-snAnam Siva-snAnam vAruNAt aDikam smRtam /
   jantuśaivālanirmuktam āgneyaṃ paṅkavarjitam // 5.13//	jantu-SEvAla-nirmuktam Agneyam paFka-varjitam // 5.13//
   apavitraṃ bhavet toyaṃ niśi pūrvam anāhṛtam /	apavitram Bavet toyam niSi pUrvam anAhRtam /
   nadītaḍāgavāpiṣu giriprasravaṇeṣu ca // 5.14//	nadI-taxAga-vApizu giri-prasravaNezu ca // 5.14//
   snānaṃ sādhāraṇaṃ proktaṃ vāruṇaṃ sarvadehinām /	snAnam sADAraNam proktam vAruNam sarva-dehinAm /
   asādhāraṇam evoktaṃ bhasmasnānaṃ dvijanmanām // 5.15//	asADAraNam eva-uktam Basma-snAnam dvijanmanAm // 5.15//
   trikālaṃ vāruṇasnānād anārogyaṃ prajāyate /	tri-kAlam vAruNa-snAnAt anArogyam prajAyate /
   āgneyaṃ rogaśamanam etasmād sārvakāmikam // 5.16//	Agneyam roga-Samanam etasmAt sArvakAmikam // 5.16//
   saṃdhyātraye 'rdharātre ca bhuktvā cānnavirecane /	saMDyA-traye arDarAtre ca BuktvA ca-anna-virecane /
   śivayogy ācaret snānam uccārādikriyāsu ca // 5.17//	Siva-yogI Acaret snAnam uccAra-Adi-kriyAsu ca // 5.17//
   bhasmāstṛte mahībhāge same jantuvivarjite /	Basma-AstRte mahIBAge same jantu-vivarjite /
   dhyāyamānaḥ śivaṃ yogī rajanyantaṃ śayīta ca // 5.18 //	DyAyamAnaH Sivam yogI rajanI-antam SayIta ca // 5.18 //
   ekarātroṣitasyāpi yā gatir bhasmaśāyinaḥ /	eka-rAtra-uzitasya-api yA gatiH Basma-SAyinaH /
   na sā śakyā gṛhasthena prāptuṃ yajñaśatair api // 5.19 //	na sA SakyAH gRhasTena prAptum yajQa-SatEH api // 5.19 //
   gṛhasthas tryāyuṣoṃkāraiḥ snānaṃ kuryāt tripuṇḍrakaiḥ /	gRhasTaH tri-AyuzoMkArEH snAnam kuryAt tripuNxrakEH /
   yatiḥ sārvāṅgikaṃ snānam āpādatalamastakāt // 5.20 //	yatiH sArvAFgikam snAnam ApAda-tala-mastakAt // 5.20 //
   śivabhaktas tridhā vedyāṃ bhasmasnānaphalaṃ labhet /	Siva-BaktaH triDA vedyAm Basma-snAna-Palam laBet /
   hṛdi mūrdhni lalāṭe ca śūdraḥ śivagṛhāśramī // 5.21 //	hRdi mUrDni lalAwe ca SUdraH Siva-gRha-ASramI // 5.21 //
   gaṇāḥ pravrajitāḥ śāntāḥ bhūtim ālabhya pañcadhā /	gaNAH pravrajitAH SAntAH BUtim AlaBya paQcaDA /
   śirolalāṭe hṛdbāhvor bhasmasnānaphalaṃ labhet // 5.22 //	SirolalAwe hRd-bAhvoH Basma-snAna-Palam laBet // 5.22 //
   saṃvatsaraṃ tadardhaṃ vā caturdaśyaṣṭamīṣu ca /	saMvatsaram tad-arDam vA caturdaSI-azwamIzu ca /
   yaḥ kuryād bhasmanā snānaṃ tasya puṇyaphalaṃ śṛnu // 5.23 //	yaH kuryAt BasmanA snAnam tasya puNya-Palam SRnu // 5.23 //
   śivabhasmani yāvantaḥ sametāḥ paramāṇavaḥ /	Siva-Basmani yAvantaH sametAH paramANavaH /
   tāvadvarṣasahasrāṇi śivaloke mahīyate // 5.24 //	tAvat-varza-sahasrANi Siva-loke mahIyate // 5.24 //
   ekaviṃśakulopetaḥ patnīputrādisaṃyutaḥ /	ekaviMSa-kula-upetaH patnI-putra-Adi-saMyutaH /
   mitrasvajanabhṛtyaiś ca samastaiḥ parivāritaḥ // 5.25 //	mitra-sva-jana-BRtyEH ca samastEH parivAritaH // 5.25 //
   tatra bhuktvā mahābhogān icchayā sārvakāmikān /	tatra BuktvA mahA-BogAn icCayA sArvakAmikAn /
   jñānayogaṃ samāsādya pralaye muktim āpnuyāt // 5.26 //	jQAna-yogam samAsAdya pralaye muktim ApnuyAt // 5.26 //
   bhasma bhasmāntikaṃ yena gṛhītaṃ naiṣṭhikavratam(?) /	Basma Basma-antikam yena gRhItam nEzWika-vratam(?) /
   anena vai sa dehena rudraś caṅkramate kṣitau // 5.27 //	anena vE sa dehena rudraH caFkramate kzitO // 5.27 //
   bhasmasnānarataṃ śāntaṃ ye namanti dine dine /	Basma-snAna-ratam SAntam ye namanti dine dine /
   te sarvapāpanirmuktā narā yānti śivaṃ puram // 5.28 //	te sarva-pApa-nirmuktAH narAH yAnti Sivam puram // 5.28 //
   ity etat paramaṃ snānam āgneyaṃ śivanirmitam /	iti etat paramam snAnam Agneyam Siva-nirmitam /
   trisaṃdhyam ācaren nityaṃ jāpī yogam avāpnuyāt // 5.29 //	trisaMDyam Acaret nityam jApI yogam avApnuyAt // 5.29 //
   bhasmānīya pradadyād yaḥ snānārthaṃ śivayogine /	Basma-AnIya pradadyAt yaH snAna-arTam Siva-yogine /
   kalpaṃ śivapure bhogān bhuktvānte syād dvijottamaḥ // 5.30 //	kalpam Siva-pure BogAn BuktvA-ante syAt dvijottamaH // 5.30 //
   āgneyaṃ vāruṇaṃ māntraṃ vāyavyaṃ tv aindrapañcamam /	Agneyam vAruNam mAntram vAyavyam tu Endra-paQcamam /
   mānasaṃ śāntitoyaṃ ca jñānasnānaṃ tathāṣṭamam // 5.31 //	mAnasam SAnti-toyam ca jQAna-snAnam taTA-azwamam // 5.31 //
   āgneyaṃ rudramantreṇa bhasmasnānam anuttamam /	Agneyam rudra-mantreNa Basma-snAnam anuttamam /
   ambhasā vāruṇaṃ snānam kāryaṃ vāruṇamūrtinā // 5.32 //	amBasA vAruNam snAnam kAryam vAruNa-mUrtinA // 5.32 //
   mūrdhānaṃ pāṇinālabhya śivaikādaśikāṃ japet /	mUrDAnam pANinA-AlaBya Siva-ekAdaSikAm japet /
   dhyāyamānaḥ śivaṃ śāntam mantrasnānaṃ paraṃ smṛtam // 5.33 //	DyAyamAnaH Sivam SAntam mantra-snAnam param smRtam // 5.33 //
   gavāṃ khurapuṭotkhāta- pavanoddhūtareṇunā /	gavAm Kura-puwa-utKAta pavana-udDUta-reNunA /
   kāryaṃ vāyavyakaṃ snānam mantreṇa marudātmanā // 5.34 //	kAryam vAyavyakam snAnam mantreNa marut-AtmanA // 5.34 //
   vyabhre 'rke varṣati snānaṃ kuryād aindrīṃ diśaṃ sthitaḥ /	vyaBre arke varzati snAnam kuryAt EndrIm diSam sTitaH /
   ākāśamūrtimantreṇa tad aindram iti kīrtitam // 5.35 //	AkASa-mUrti-mantreNa tat Endram iti kIrtitam // 5.35 //
   udakaṃ pāṇinā gṛhya sarvatīrthāni saṃsmaret /	udakam pANinA gRhya sarva-tIrTAni saMsmaret /
   abhyukṣayec chiras tena snānaṃ mānasam ucyate // 5.36 //	aByukzayet SiraH tena snAnam mAnasam ucyate // 5.36 //
   pṛthivyāṃ yāni tīrthāni sarāṃsy āyatanāni ca /	pRTivyAm yAni tIrTAni sarAMsi AyatanAni ca /
   teṣu snātasya yat puṇyaṃ tat puṇyaṃ kṣāntivāriṇā // 5.37 //	tezu snAtasya yat puNyam tat puNyam kzAnti-vAriNA // 5.37 //
   na tathā śudhyate tīrthais tapobhir vā mahādhvaraiḥ /	na taTA SuDyate tIrTEH tapoBiH vA mahA-aDvarEH /
