   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   evam eva tu nārīṇāṃ YS78v_74c	evam eva tu nArINAm YS78u-_74c
   evam eva dviguṇitā YSS_2.60c	evam eva dvi-guNitA YSH-_2.60c
   evam eva yamo 'bravīt YS182v_3.38b	evam eva yamaH abravIt YS182u-_3.38b
   evam eva hi nārīṇāṃ YS99v_54c	evam eva hi nArINAm YS99u-_54c
   evaṃ dātā na muhyati YS99v_79d	evam dAtA na muhyati YS99u-_79d
   evaṃ dviguṇatāṃ dadyāt YSS_2.53a	evam dviguNa-tAm dadyAt YSH-_2.53a
   evaṃ pañca viśād rājā YSS_2.75a	evam paQca viSAt rAjA YSH-_2.75a
   eṣa e[vame]va tu nārīṇāṃ YS182v_4.17c	ezaH e[vam-e]va tu nArINAm YS182u-_4.17c
   eṣa cāndrāyaṇo vidhiḥ YS182v_2.6d	eza cAndrAyaNaH viDiH YS182u-_2.6d
   eṣa cāndrāyaṇo vidhiḥ YS78v_10d	eza cAndrAyaNaH viDiH YS78u-_10d
   eṣā goghnasya niṣkṛtiḥ YS99v_44d	ezA go-Gnasya nizkRtiH YS99u-_44d
   eṣāṃ gatvā tu yoṣāṃ vai YS78v_55a	ezAm gatvA tu yozAm vE YS78u-_55a
   eṣāṃ bhuktvā ca pītvā ca YSS_1.32Aa	ezAm BuktvA ca pItvA ca YSH-_1.32Aa
   eṣāṃ bhuktvā striyo gatvā YSS_1.23Aa	ezAm BuktvA striyaH gatvA YSH-_1.23Aa
   eṣāṃ bhuktvā striyo gatvā YSS_1.33a	ezAm BuktvA striyaH gatvA YSH-_1.33a
   aindavābhyāṃ viśudhyanti YSS_1.9c	EndavAByAm viSuDyanti YSH-_1.9c
   aurasena samā jñeyā YS182v_5.20a	Orasena samAH jQeyAH YS182u-_5.20a
   auṣadhaṃ sneham āhāraṃ YS99v_50a	OzaDam sneham AhAram YS99u-_50a
   kaṇṭakānāṃ tu kathitaṃ YSS_2.76a	kaNwakAnAm tu kaTitam YSH-_2.76a
   kaṇṭakānāṃ tu sarveṣāṃ YSS_2.73a	kaNwakAnAm tu sarvezAm YSH-_2.73a
   kaṇṭakānāṃ samuddharet YSS_2.75b	kaNwakAnAm samudDaret YSH-_2.75b
   kathañcit kāmamohitaḥ YS99v_60b	kaTaQcid kAma-mohitaH YS99u-_60b
   kathayasva yathā tatham YS182v_4.19b	kaTayasva yaTA taTam YS182u-_4.19b
   kathaṃ śuddhir bhavet tāsāṃ YS182v_4.35c	kaTam SudDiH Bavet tAsAm YS182u-_4.35c
   kadācit strī rajasvalā YS99v_14b	kadAcid strI rajasvalA YS99u-_14b
   kadācit sravate gudam YS99v_4b	kadAcid sravate gudam YS99u-_4b
   kanyādānaṃ ca tat kāryaṃ YS182v_5.11a	kanyA-dAnam ca tat kAryam YS182u-_5.11a
   kanyā pradānasamaye YS182v_5.10c	kanyA pradAna-samaye YS182u-_5.10c
   kanyā sā vṛṣalī smṛtā YS182v_3.18d	kanyA sA vRzalI smRtAH YS182u-_3.18d
   kanyāṃ yo na prayacchati YS182v_3.20b	kanyAm yaH na prayacCati YS182u-_3.20b
   kapālagrahaṇaṃ smṛtam YSS_1.13b	kapAla-grahaNam smRtam YSH-_1.13b
   kapālaṃ tuṣam eva ca YSS_2.41b	kapAlam tuzam eva ca YSH-_2.41b
   kapilāyā ghṛtaṃ grāhyaṃ YS99v_72a	kapilAyAH GRtam grAhyam YS99u-_72a
   kapilāyā vadhe tathā YS182v_4.8b	kapilAyAH vaDe taTA YS182u-_4.8b
   kapilā vā tathetarā YS182v_4.7d	kapilA vA taTA-itarAH YS182u-_4.7d
   kartā kārayitā svāṅgair YSS_2.55c	kartA kArayitA sva-aFgEH YSH-_2.55c
   kartānumantā 'py upadeśadātā YSS_1.42a	kartA-anumantA api upadeSa-dAtA YSH-_1.42a
   kartā yadi vipadyate YSS_1.16b	kartA yadi vipadyate YSH-_1.16b
   kartā yadi vipadyate YS182v_2.7b	kartA yadi vipadyate YS182u-_2.7b
   kartā yadi vipadyate YS78v_12b	kartA yadi vipadyate YS78u-_12b
   kartāraḥ sāṃparāyaṇāḥ YS182v_5.16d	kartAraH sAMparAyaNAH YS182u-_5.16d
   karmaprayogena tathā yudhena YSS_1.49b	karma-prayogena taTA yuDena YSH-_1.49b
   kaṣṭena vartamāno 'pi YS182v_4.15a	kazwena vartamAnaH api YS182u-_4.15a
   kāko vā spṛśate yadi YS182v_3.48d	kAkaH vA spRSate yadi YS182u-_3.48d
   kāpālikānnabhoktṝṇāṃ YSS_1.14a	kApAlika-anna-BoktLNAm YSH-_1.14a
   kāpālikānnabhoktṝṇāṃ YS182v_2.2a	kApAlika-anna-BoktLNAm YS182u-_2.2a
   kāpālikānnabhoktṝṇāṃ YS99v_29a	kApAlika-anna-BoktLNAm YS99u-_29a
   kāmād akāmato vā 'pi YS182v_3.65c	kAmAt akAmatas vA api YS182u-_3.65c
   kāmād akāmato vāpi YS78v_57c	kAmAt akAmatas vA-api YS78u-_57c
   kāyikaṃ pātakaṃ smṛtam YS182v_4.49b	kAyikam pAtakam smRtam YS182u-_4.49b
   kāryaṃ tu ābdikaṃ caiva YS182v_4.32a	kAryam tu Abdikam ca-eva YS182u-_4.32a
   kāryaṃ paitṛkam eva tat YS182v_5.8d	kAryam pEtRkam eva tat YS182u-_5.8d
   kārye caivam upasthite YS182v_3.56d	kArye ca-evam upasTite YS182u-_3.56d
   kārye caiva viśeṣeṇa YS182v_5.5a	kArye ca-eva viSezeNa YS182u-_5.5a
   kālasnānena śudhyati YS99v_12d	kAla-snAnena SuDyati YS99u-_12d
   kālād āyakasāhasī YSS_2.74b	kAlAt Ayaka-sAhasI YSH-_2.74b
   kāle kāle tv anāturaḥ YSS_2.33d	kAle kAle tu anAturaH YSH-_2.33d
   kālenaiva śucir bhavet YS182v_4.15b	kAlena-eva SuciH Bavet YS182u-_4.15b
   kāṣṭhaloṣṭāśmabhir gāvaḥ YS99v_48a	kAzWa-lozwa-aSmaBiH gAvaH YS99u-_48a
   kāṣṭhe vanaspatau rodha- YS78v_67c	kAzWe vanaspatO roDa YS78u-_67c
   kāṣṭhe sāṃtapanaṃ kuryāt YS99v_49a	kAzWe sAMtapanam kuryAt YS99u-_49a
   kukarmasthās tu ye viprā YS182v_4.55c	kukarma-sTAH tu ye viprAH YS182u-_4.55c
   kukkuṭāṇḍakamātraṃ tu YS182v_2.5a	kukkuwa-aNxaka-mAtram tu YS182u-_2.5a
   kukkuṭāṇḍapramāṇan tu YS78v_9a	kukkuwa-aNxa-pramANan tu YS78u-_9a
   kuḍyāntarjalavalmīka- YS99v_67a	kuxya-antar-jala-valmIka YS99u-_67a
   kuṇḍagolakam eva ca YSS_1.22d	kuNxa-golakam eva ca YSH-_1.22d
   kuṇḍāḥ te golakāḥ smṛtāḥ YSS_1.37Ad	kuNxAH te golakAH smRtAH YSS_1.37Ad
   kuṇḍo jīvati bhartari YSS_1.37b	kuNxaH jIvati Bartari YSH-_1.37b
   kunakhī śyāvadantakaḥ YS182v_3.34b	kunaKI SyAva-dantakaH YS182u-_3.34b
   kunakhī śyāvadantakaḥ YS78v_29b	kunaKI SyAva-dantakaH YS78u-_29b
   kumārī tu rajasvalā YS78v_25d	kumArI tu rajasvalA YS78u-_25d
   kumbhīpākeṣu pacyante YS182v_4.61c	kumBIpAkezu pacyante YS182u-_4.61c
   kuryād brāhmaṇabhojanam YS99v_61b	kuryAt brAhmaNa-Bojanam YS99u-_61b
   kurvāṇo vapanaṃ yadi YSS_2.54d	kurvANaH vapanam yadi YSH-_2.54d
   kulamitrārdhasīriṇaḥ YS182v_3.10b	kula-mitra-arDa-sIriNaH YS182u-_3.10b
   kulamitrārdhasīriṇaḥ YS78v_20b	kula-mitra-arDa-sIriNaH YS78u-_20b
   kulācārasmṛto yeṣāṃ YSS_1.34a	kula-AcAra-smRtaH yezAm YSH-_1.34a
   kulādayo vivādasya YSS_2.77a	kula-AdayaH vivAdasya YSH-_2.77a
   kuśāśvatthapalāśakāḥ YS78v_47b	kuSa-aSvatTa-palASakAH YS78u-_47b
   kuśāśvatthapalāśayoḥ YS182v_3.63b	kuSa-aSvatTa-palASayoH YS182u-_3.63b
   kuśair dravyaṃ pṛthak pṛthak YS99v_72d	kuSEH dravyam pRTak pRTak YS99u-_72d
   kūpe vā cāvaṭe 'pi vā YS182v_4.3b	kUpe vA ca-avawe api vA YS182u-_4.3b
   kṛcchradvayaṃ prakurvīta YS99v_36c	kRcCra-dvayam prakurvIta YS99u-_36c
   kṛcchrapādaṃ caret pūrvā YS78v_60c	kRcCra-pAdam caret pUrvAH YS78u-_60c
   kṛcchram ekaṃ cared dvijaḥ YS99v_27d	kRcCram ekam caret dvijaH YS99u-_27d
   kṛcchraṃ cāpi caren nityaṃ YSS_1.24c	kRcCram ca-api caret nityam YSH-_1.24c
   kṛcchraṃ vai dvādaśābdikam YS182v_4.25b	kRcCram vE dvAdaSa-Abdikam YS182u-_4.25b
   kṛcchraṃ sāṃtapanaṃ kuryād YSS_1.22a	kRcCram sAMtapanam kuryAt YSH-_1.22a
   kṛcchraṃ sāṃtapanaṃ caret YSS_1.10d	kRcCram sAMtapanam caret YSH-_1.10d
   kṛcchraṃ sāṃtapanaṃ caret YS99v_37d	kRcCram sAMtapanam caret YS99u-_37d
   kṛcchraṃ sāṃtapanaṃ smṛtam YS182v_1.13d	kRcCram sAMtapanam smRtam YS182u-_1.13d
   kṛcchraṃ sāṃtapanādikam YS182v_1.10d	kRcCram sAMtapana-Adikam YS182u-_1.10d
   kṛcchrābdam abdakṛcchraṃ vā YSS_1.23Ac	kRcCra-abdam abda-kRcCram vA YSS_1.23Ac
   kṛcchrābdam ācarej jñānād YS99v_28c	kRcCra-abdam Acaret jQAnAt YS99u-_28c
   kṛcchrābdam ācarej jñānād YS99v_29c	kRcCra-abdam Acaret jQAnAt YS99u-_29c
   kṛcchrābdam ācarej jñānād YS99v_34c	kRcCra-abdam Acaret jQAnAt YS99u-_34c
   kṛcchrābdaṃ samprakurvīta YSS_1.11c	kRcCra-abdam samprakurvIta YSH-_1.11c
   kṛcchrārddhaṃ saṃprakurvīta YS78v_6c	kRcCra-ardDam saMprakurvIta YS78u-_6c
   kṛcchrārdhaṃ saṃprakurvīta YS182v_1.7c	kRcCra-arDam saMprakurvIta YS182u-_1.7c
   kṛcchrārdhaṃ saṃprakurvīta YS99v_62c	kRcCra-arDam saMprakurvIta YS99u-_62c
   kṛcchreṇa vastraghāte 'pi YS78v_71a	kRcCreNa vastra-GAte api YS78u-_71a
   kṛcchreṇa śuddhim āpnoti YS99v_14c	kRcCreNa SudDim Apnoti YS99u-_14c
   kṛcchreṇa śudhyate pūrvā YS78v_58c	kRcCreNa SuDyate pUrvA YS78u-_58c
   kṛcchreṇa śudhyate śūdrī YS182v_3.68c	kRcCreNa SuDyate SUdrI YS182u-_3.68c
   kṛtaghnā duṣṭacāriṇaḥ YS182v_4.6b	kRtaGnAH duzwa-cAriNaH YS182u-_4.6b
   kṛtā vipreṇa caiva hi YS182v_4.45b	kRtA vipreNa ca-eva hi YS182u-_4.45b
   kṛtvā gandhān samarca[rpa]yet YS182v_3.32b	kRtvA ganDAn samarca-[rpa]yet YS182u-_3.32b
   kṛtvā 'ghamarṣaṇaṃ pakṣaṃ YS182v_1.15c	kRtvA aGamarzaNam pakzam YS182u-_1.15c
   kṛtvopaskaram eva ca YSS_2.22b	kRtvA-upaskaram eva ca YSH-_2.22b
   kṛmibhir brahmasaṃyuktaṃ YS182v_1.7a	kRmiBiH brahma-saMyuktam YS182u-_1.7a
   kṛmibhir vraṇasaṃbhūtair YSS_1.11a	kRmiBiH vraNa-saMBUtEH YSH-_1.11a
   kṛmibhir vraṇasaṃbhūtair YS78v_6a	kRmiBiH vraNa-saMBUtEH YS78u-_6a
   kṛmibhir vraṇasaṃbhūtair YS99v_62a	kRmiBiH vraNa-saMBUtEH YS99u-_62a
   kṛmibhuktabraṇe mauñjī- YS78v_7c	kRmi-Bukta-braNe mOQjI YS78u-_7c
   kṛṣṇapakṣe ca hrāsayet YS78v_10b	kRzNa-pakze ca hrAsayet YS78u-_10b
   kṛṣṇāyā goḥ śakṛt tathā YS99v_71b	kRzNAyAH goH SakRt taTA YS99u-_71b
   kecic caivāvakīrṇinaḥ YS99v_39d	kecid ca-eva-avakIrNinaH YS99u-_39d
   kecid brahmahaṇo vratam YS99v_39b	kecid brahma-haNaH vratam YS99u-_39b
   kecid vadanty evam idaṃ pramānam YSS_1.56b	kecid vadanti evam idam pramAnam YSH-_1.56b
   keśānāṃ rakṣaṇārthaṃ ca YS99v_57a	keSAnAm rakzaNa-arTam ca YS99u-_57a
   keśāṃś ca parirakṣayet YS99v_58b	keSAn ca parirakzayet YS99u-_58b
   kaivartamedabhillāś ca YS78v_54c	kEvarta-meda-BillAH ca YS78u-_54c
   kaivartamedabhillāś ca YS99v_33c	kEvarta-meda-BillAH ca YS99u-_33c
   kaivartaś caiva śailūṣo YSS_1.32c	kEvartaH ca-eva SElUzaH YSH-_1.32c
   koṇe 'py adhigatā śāstrair YSS_2.77c	koNe api aDigatA SAstrEH YSH-_2.77c
   ko vidhiḥ sa vinirdiṣṭaḥ YS182v_4.19a	kaH viDiH sa vinirdizwaH YS182u-_4.19a
   kramam apy aṣṭakādeśāt YSS_2.51a	kramam api azwakA-deSAt YSH-_2.51a
   kramaśaś coditaṃ śṛṇu YSS_2.1d	kramaSas coditam SRNu YSH-_2.1d
   kriyayā bheṣajena tu YS99v_52b	kriyayA Bezajena tu YS99u-_52b
   krūragarbhaś ca maithune YS78v_77b	krUragarBaH ca mETune YS78u-_77b
   krodhād ajñānato vāpi YS99v_2c	kroDAt ajQAnataH vA-api YS99u-_2c
   kṣaṇitā vā prayatnataḥ YS182v_5.8b	kzaNitAH vA prayatnataH YS182u-_5.8b
   kṣattriṇyāṃ viśa eva vā YS182v_4.47b	kzattriNyAm viSaH eva vA YS182u-_4.47b
   kṣattriyo brāhmaṇīsaktaḥ YS182v_4.47a	kzattriyaH brAhmaNI-saktaH YS182u-_4.47a
   kṣattriyo vaiśya eva ca YS182v_3.47b	kzattriyaH vESyaH eva ca YS182u-_3.47b
   kṣatriyā śūdrajā tathā YS78v_59b	kzatriyA SUdra-jA taTA YS78u-_59b
   kṣayaṃ yāti na saṃśayaḥ YS182v_4.20b	kzayam yAti na saMSayaH YS182u-_4.20b
   kṣīraṃ kṣīravikārañ ca YSS_2.44a	kzIram kzIra-vikAran ca YSH-_2.44a
   kṣetraṃ tathā dhānyadhanaṃ śarīram YSS_1.41c	kzetram taTA DAnya-Danam SarIram YSH-_1.41c
   kharāśvasūkarādīnaṃ YSS_2.53c	Kara-aSva-sUkara-AdInam YSH-_2.53c
   khalu miśritya vā punaḥ YSS_2.39b	Kalu miSritya vA punar YSH-_2.39b
   khātaṃ vāpī tathā kūpa- YS182v_4.1a	KAtam vApI taTA kUpa YS182u-_4.1a
   khāte ca patitā yā gauḥ YS182v_4.3a	KAte ca patitA yAH gOH YS182u-_4.3a
   gaṅgātoyeṣu tiṣṭhati YS99v_91b	gaFgA-toyezu tizWati YS99u-_91b
   gaṅgā toyeṣu yasyāsthi YS99v_90a	gaFgA toyezu yasya-asTi YS99u-_90a
   gacchatāprasthitena tu YSS_2.35d	gacCatA-prasTitena tu YSH-_2.35d
   gacchaṃs tathājayonau tu YSS_2.59a	gacCan taTA-ajayonO tu YSH-_2.59a
   gatopagamanād eva YSS_2.62c	gata-upagamanAt eva YSH-_2.62c
   gatvā cāndrāyaṇaṃ kuryāt YS182v_2.1c	gatvA cAndrAyaNam kuryAt YS182u-_2.1c
   gatvā tu praviśed agniṃ YSS_1.29c	gatvA tu praviSet agnim YSH-_1.29c
   gatvā tu praviśed agniṃ YS182v_3.7c	gatvA tu praviSet agnim YS182u-_3.7c
   gatvaitāṃś ca sagotrāṃ ca YSS_1.31c	gatvA-etAn ca sagotrAm ca YSH-_1.31c
   gatvaitāḥ praviśed agniṃ YS99v_35c	gatvA-etAH praviSet agnim YS99u-_35c
   gamanād eva śūdrāyāṃ tv YSS_2.63a	gamanAt eva SUdrAyAm tu YSH-_2.63a
   garbhasaṃsravaṇe māse YS99v_76c	garBa-saMsravaNe mAse YS99u-_76c
   garbhasrāve viśudhyati YS99v_77b	garBasrAve viSuDyati YS99u-_77b
   garbhe jāte parityāgo YS182v_4.36c	garBe jAte parityAgaH YS182u-_4.36c
   garbhe retaḥ samanvite YS99v_44b	garBe retaH samanvite YS99u-_44b
   garbho 'pi saṃpated yadi YS99v_42b	garBaH api saMpatet yadi YS99u-_42b
   gavādiprāṇihiṃsanam YS182v_5.6b	gavA-Adi-prANi-hiMsanam YS182u-_5.6b
   gavāṃ ca [vi]ghātam uttamam YS182v_4.11b	gavAm ca [vi]GAtam uttamam YS182u-_4.11b
   gavāṃ nipātane caiva YS99v_42a	gavAm nipAtane ca-eva YS99u-_42a
   gavāṃ madhye vased rātrau YS182v_4.15c	gavAm maDye vaset rAtrO YS182u-_4.15c
   gātre mukhe ca praviśec ca samyak YS78v_44c	gAtre muKe ca praviSet ca samyak YS78u-_44c
   gām ālabhya viśudhyati YS182v_3.9d	gAm AlaBya viSuDyati YS182u-_3.9d
   gāyatryā cāyutatrayam YS182v_4.38b	gAyatryA ca-ayuta-trayam YS182u-_4.38b
   gāyatryā vyāhṛtibhiś ca YS182v_3.59a	gAyatryA vyAhRtiBiH ca YS182u-_3.59a
   gāyatryā śodhanaṃ param YS182v_3.46d	gAyatryA SoDanam param YS182u-_3.46d
   gāyatryāḥ śodhanaṃ param YS99v_9d	gAyatryAH SoDanam param YS99u-_9d
   gāvo dūrapracāreṇa YS182v_4.60a	gAvaH dUra-pracAreNa YS182u-_4.60a
   gāvo mriyante yadi tā adagdhāḥ YSS_1.54b	gAvaH mriyante yadi tAH adagDAH YSH-_1.54b
   gurutalpavrataṃ kecit YS99v_39a	gurutalpavratam kecid YS99u-_39a
   gṛhitvañ ca cikīrṣati YS78v_48d	gRhitvan ca cikIrzati YS78u-_48d
   gṛhī yaḥ parimuñcati YSS_2.42b	gRhI yaH parimuQcati YSH-_2.42b
   gṛhṇantv etāñ jalāñjalīn YS99v_92d	gRhNantu etAn jala-aQjalIn YS99u-_92d
   gṛhṇāno vṛṣalālayāt YSS_2.51b	gRhNAnaH vRzala-AlayAt YSH-_2.51b
   gṛhyārtham api vā dvijaḥ YSS_2.64b	gRhya-arTam api vA dvijaH YSH-_2.64b
   gokṣattriyaṃ tathā vaiśyaṃ YS182v_2.4a	gokzattriyam taTA vESyam YS182u-_2.4a
   goghnaś ceti viśuddhyati YS78v_71b	go-GnaH ca-iti viSudDi-ati YS78u-_71b
   goghnasya kecid icchanti YS99v_39c	go-Gnasya kecid icCanti YS99u-_39c
   goghno 'ham iti vācayet YS182v_4.14d	go-GnaH aham iti vAcayet YS182u-_4.14d
   godaṇḍaḥ parikīrtitaḥ YS99v_41d	godaNxaH parikIrtitaH YS99u-_41d
   godholūkāṃś ca vāyasān YSS_2.5b	goDA-ulUkAn ca vAyasAn YSH-_2.5b
   gobrāhmaṇagṛhaṃ dagdhā YS99v_27a	go-brAhmaNa-gRham dagDA YS99u-_27a
   gobrāhmaṇahataṃ dagdhaṃ YS182v_1.6a	go-brAhmaNa-hatam dagDam YS182u-_1.6a
   gobrāhmaṇahataṃ dagdhvā YSS_1.10a	go-brAhmaNa-hatam dagDvA YSH-_1.10a
   gobrāhmaṇahanaṃ dagdhā YS78v_5a	go-brAhmaNa-hanam dagDA YS78u-_5a
   gomāṃsabhakṣaṇe kṛte YS182v_2.3b	go-mAMsa-BakzaNe kRte YS182u-_2.3b
   gomāṃsabhakṣaṇe kṛte YS78v_11b	go-mAMsa-BakzaNe kRte YS78u-_11b
   gomāṃsabhakṣaṇe 'pi vā YSS_1.15b	go-mAMsa-BakzaNe api vA YSH-_1.15b
   gomūtrayāvakāhāraḥ YS182v_1.8c	go-mUtra-yAvaka-AhAraH YS182u-_1.8c
   gomūtrayāvakāhāro YSS_1.6c	go-mUtra-yAvaka-AhAraH YSH-_1.6c
   gomūtrayāvakāhāro YS99v_26c	go-mUtra-yAvaka-AhAraH YS99u-_26c
   gomūtraṃ gomayaṃ kṣīraṃ YS182v_1.13a	go-mUtram gomayam kzIram YS182u-_1.13a
   govadhe caiva yat pāpaṃ YS182v_4.2a	go-vaDe ca-eva yat pApam YS182u-_4.2a
   govartapatitā gāvaḥ YS182v_4.10c	govarta-patitAH gAvaH YS182u-_4.10c
   gośṛṅgamāṭram uddhṛtya YS99v_93c	go-SRFga-mAwram udDRtya YS99u-_93c
   goṣu maithunakāriṇaḥ YSS_1.28b	gozu mETuna-kAriNaH YSH-_1.28b
   goṣṭhe nivasanaṃ kāryaṃ YS182v_4.14c	gozWe nivasanam kAryam YS182u-_4.14c
   grahapradāneṣu niruddhabaddhāḥ YSS_1.51c	graha-pradAnezu nirudDa-badDAH YSH-_1.51c
   grahoparāge saṃkrāntau YS99v_83a	graha-uparAge saMkrAntO YS99u-_83a
   grāmād bahiḥ prakurvīta YSS_2.26c	grAmAt bahis prakurvIta YSH-_2.26c
   grāme vā vṛṣaḷīpatiṃ YSS_2.72b	grAme vA vRza?I-patim YSH-_2.72b
   grāsañca parikalpayet YS78v_9b	grAsaQca parikalpayet YS78u-_9b
   grāsaṃ ca parikalpayet YS182v_2.5b	grAsam ca parikalpayet YS182u-_2.5b
   grāsaṃ vā yadi gṛhṇīyāt YS99v_47a	grAsam vA yadi gRhNIyAt YS99u-_47a
   ghṛtaṃ yonyāṃ kṣiped ghoraṃ YS182v_4.37c	GRtam yonyAm kzipet Goram YS182u-_4.37c
   ghṛtāhutyā śatāṣṭakaṃ YS182v_3.58d	GRta-AhutyA Sata-azwakam YS182u-_3.58d
   caṇḍāḷotsṛṣṭam utsṛjet YSS_2.22d	caNxA?a-utsRzwam utsRjet YSH-_2.22d
   caṇḍālapukkasānāṃ ca YS99v_28a	caNxAla-pukkasAnAm ca YS99u-_28a
   caṇḍālamuṣṭikāś caiva YSS_1.32 Ba	caNxAla-muzwikAH ca-eva YSH-_1.32 Ba
   caṇḍālaśvapacaiḥ spṛṣṭe YS99v_64a	caNxAla-SvapacEH spRzwe YS99u-_64a
   caṇḍālaṃ patitaṃ spṛśet YS99v_2b	caNxAlam patitam spRSet YS99u-_2b
   caṇḍālādyāsu nārīṣu YSS_1.28a	caNxAla-AdyAsu nArIzu YSH-_1.28a
   caṇḍālānnaṃ kathañcana YSS_1.6b	caNxAla-annam kaTaQcana YSH-_1.6b
   caṇḍālānnaṃ kadācana YS99v_26b	caNxAla-annam kadAcana YS99u-_26b
   caṇḍālaiḥ śvapacaiḥ spṛṣṭo YS99v_10a	caNxAlEH SvapacEH spRzwaH YS99u-_10a
   caṇḍālau tāv ubhau jñeyau YSS_1.36c	caNxAlO tO uBO jQeyO YSH-_1.36c
   caturṇām api varṇanāṃ YS182v_3.64c	caturNAm api varNanAm YS182u-_3.64c
   caturṇām api varṇānāṃ YSS_1.35a	caturNAm api varNAnAm YSH-_1.35a
   caturṇām api varṇānāṃ YS182v_1.1c	caturNAm api varNAnAm YS182u-_1.1c
   caturṇām api varṇānāṃ YS78v_1c	caturNAm api varNAnAm YS78u-_1c
   caturthe pañcame caiva YS99v_88a	caturTe paQcame ca-eva YS99u-_88a
   caturthe saśikhaṃ vapet YS78v_72d	caturTe sa-SiKam vapet YS78u-_72d
   caturthe 'hani rātriṣu YS99v_86b	caturTe ahani rAtrizu YS99u-_86b
   caturvarṣādhikasya ca YSS_1.20b	catur-varza-aDikasya ca YSH-_1.20b
   caturvidhā kriyā proktā YSS_2.76c	caturviDA kriyA proktA YSH-_2.76c
   catvāri khalu karmāṇi YS78v_76a	catvAri Kalu karmANi YS78u-_76a
   catvāro 'py aviśeṣataḥ YSS_1.25b	catvAraH api aviSezatas YSH-_1.25b
   catvāro 'py aviśeṣataḥ YS99v_31b	catvAraH api aviSezatas YS99u-_31b
   carec cāndrāyaṇadvayam YS182v_4.44b	caret cAndrAyaNa-dvayam YS182u-_4.44b
   carec cāndrāyaṇavratam YSS_1.23b	caret cAndrAyaNa-vratam YSH-_1.23b
   carec cāndrāyaṇavratam YS182v_3.11d	caret cAndrAyaNa-vratam YS182u-_3.11d
   carec cāndrāyaṇaṃ vratam YS182v_2.4d	caret cAndrAyaNam vratam YS182u-_2.4d
   carec cāndrāyaṇaṃ vratam YS78v_8d	caret cAndrAyaNam vratam YS78u-_8d
   carec cāndrāyaṇaṃ vratam YS78v_21d	caret cAndrAyaNam vratam YS78u-_21d
   carec cāndrāyaṇāni ca YS78v_49b	caret cAndrAyaNAni ca YS78u-_49b
   caret sāṃtapanaṃ vipraḥ YS182v_1.11a	caret sAMtapanam vipraH YS182u-_1.11a
   cāṇḍālaghaṭabhāṇḍasthaṃ YS182v_1.9a	cANxAla-Gawa-BANxa-sTam YS182u-_1.9a
   cāṇḍālabhāṇḍasaṃspṛṣṭaṃ YS182v_1.8a	cANxAla-BANxa-saMspRzwam YS182u-_1.8a
   cāṇḍālamūrtikā ye ca YS182v_1.14a	cANxAla-mUrtikAH ye ca YS182u-_1.14a
   cāṇḍālam ṛtumatstriyaḥ YS182v_3.8b	cANxAlam Rtumat-striyaH YS182u-_3.8b
   cāṇḍālarajakastriyaḥ YS78v_18b	cANxAla-rajaka-striyaH YS78u-_18b
   cāṇḍālānnaṃ bhakṣayitvā YS182v_1.12a	cANxAla-annam BakzayitvA YS182u-_1.12a
   cāṇḍālikāsu nārīṣu YS182v_1.15a	cANxAlikAsu nArIzu YS182u-_1.15a
   cāṇḍālair arajasvalā YS78v_62b	cANxAlEH arajasvalA YS78u-_62b
   cāndrāyaṇam athāpi vā YS182v_1.12d	cAndrAyaNam aTa-api vA YS182u-_1.12d
   cāndrāyaṇādīni hi pāvanāni YSS_1.57a	cAndrAyaNa-AdIni hi pAvanAni YSH-_1.57a
   cāndrāyaṇābhyāṃ śudhyeta YS99v_24c	cAndrAyaNAByAm SuDyeta YS99u-_24c
   cāndrāyaṇena śuddhyanti YS78v_3c	cAndrAyaNena SudDyanti YS78u-_3c
   cāndrāyaṇena śudhyanti YSS_1.8c	cAndrAyaNena SuDyanti YSH-_1.8c
   cāndrāyaṇena śudhyanti YS182v_1.4c	cAndrAyaNena SuDyanti YS182u-_1.4c
   cāndrāyaṇena śudhyanti YS99v_23c	cAndrAyaNena SuDyanti YS99u-_23c
   cāṣamaṇḍūkamārjāra- YSS_2.5a	cAza-maNxUka-mArjAra YSH-_2.5a
   cuṃbayan guhyam eva vā YSS_2.57d	cuMbayan guhyam eva vA YSH-_2.57d
   cchedayed aṅguladvayam YS182v_4.17b	cCedayet aFgula-dvayam YS182u-_4.17b
   cchedayed aṅguladvayam YS99v_54b	cCedayet aFgula-dvayam YS99u-_54b
   chatam aṣṭottareṇa hi YS182v_4.38d	Catam azwa-uttareNa hi YS182u-_4.38d
   chardiś ca na bhavet pathi YSS_2.16b	CardiH ca na Bavet paTi YSH-_2.16b
   chidradātā vilaṃbhane YSS_2.29b	Cidra-dAtA vilaMBane YSH-_2.29b
   chidrapradātā stenānāṃ YSS_2.30a	Cidra-pradAtA stenAnAm YSH-_2.30a
   chettā tarūṇāṃ ghaṭasevitānāṃ YSS_1.40b	CettA tarUNAm Gawa-sevitAnAm YSH-_1.40b
   chedayed aṅgulidvayam YS78v_74b	Cedayet aFguli-dvayam YS78u-_74b
   janakañ janakādhyakṣo YSS_2.46a	janakan janaka-aDyakzaH YSH-_2.46a
   janakaṃ śuḷbasaṃspṛṣṭaṃ YSS_2.70a	janakam Su?ba-saMspRzwam YSH-_2.70a
