   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.05.033/1 sadhrīcīnaṃ pratīcīnaṃ parasyānupathaṃ gatāḥ	Bhu-_06.05.033/1 saDrIcInam pratIcInam parasya-anupaTam gatAH
   BhP_06.05.033/2 nādyāpi te nivartante paścimā yāminīriva	Bhu-_06.05.033/2 na-adya-api te nivartante paScimA yAminIH-iva
   BhP_06.05.034/1 etasmin kāla utpātān bahūn paśyan prajāpatiḥ	Bhu-_06.05.034/1 etasmin kAlaH utpAtAn bahUn paSyan prajApatiH
   BhP_06.05.034/2 pūrvavan nāradakṛtaṃ putranāśamupāśṛṇot	Bhu-_06.05.034/2 pUrvavat nArada-kRtam putra-nASam-upASRNot-
   BhP_06.05.035/1 cukrodha nāradāyāsau putraśokavimūrcchitaḥ	BhP_06.05.035/1 cukroDa nAradAya-asO putra-Soka-vimUrcCitaH
   BhP_06.05.035/2 devarṣimupalabhyāha roṣādvisphuritādharaḥ	Bhu-_06.05.035/2 devarzim-upalaBya-Aha rozAt-visPurita-aDaraH
   BhP_06.05.036/0 śrīdakṣa uvāca	BhP_06.05.036/0 SrI-dakzaH uvAca
   BhP_06.05.036/1 aho asādho sādhūnāṃ sādhuliṅgena nastvayā	Bhu-_06.05.036/1 aho asADo sADUnAm sADu-liFgena naH-tvayA
   BhP_06.05.036/2 asādhvakāry arbhakāṇāṃ bhikṣormārgaḥ pradarśitaḥ	Bhu-_06.05.036/2 asADva-kArI arBakANAm BikzoH-mArgaH pradarSitaH
   BhP_06.05.037/1 ṛṇaistribhiramuktānāmamīmāṃsitakarmaṇām	Bhu-_06.05.037/1 RNEH-triBiH-amuktAnAm-amImAMsita-karmaNAm
   BhP_06.05.037/2 vighātaḥ śreyasaḥ pāpa lokayorubhayoḥ kṛtaḥ	Bhu-_06.05.037/2 viGAtaH SreyasaH pApa lokayoH-uBayoH kRtaH
   BhP_06.05.038/1 evaṃ tvaṃ niranukrośo bālānāṃ matibhiddhareḥ	Bhu-_06.05.038/1 evam tvam niranukroSaH bAlAnAm mati-Bid-hareH
   BhP_06.05.038/2 pārṣadamadhye carasi yaśohā nirapatrapaḥ	Bhu-_06.05.038/2 pArzada-maDye carasi yaSohAH nirapatrapaH
   BhP_06.05.039/1 nanu bhāgavatā nityaṃ bhūtānugrahakātarāḥ	Bhu-_06.05.039/1 nanu BAgavatAH nityam BUta-anugraha-kAtarAH
   BhP_06.05.039/2 ṛte tvāṃ sauhṛdaghnaṃ vai vairaṅkaramavairiṇām	Bhu-_06.05.039/2 Rte tvAm sOhRda-Gnam vE vEraFkarama-vEriNAm
   BhP_06.05.040/1 netthaṃ puṃsāṃ virāgaḥ syāt tvayā kevalinā mṛṣā	Bhu-_06.05.040/1 na-itTam puMsAm virAgaH syAt tvayA kevalinA mRzA
   BhP_06.05.040/2 manyase yady upaśamaṃ snehapāśanikṛntanam	Bhu-_06.05.040/2 manyase yadi upaSamam sneha-pASa-nikRntanam
   BhP_06.05.041/1 nānubhūya na jānāti pumān viṣayatīkṣṇatām	Bhu-_06.05.041/1 na-anuBUya na jAnAti pumAn vizaya-tIkzNa-tAm
   BhP_06.05.041/2 nirvidyate svayaṃ tasmān na tathā bhinnadhīḥ paraiḥ	Bhu-_06.05.041/2 nirvidyate svayam tasmAt na taTA Binna-DIH parEH
   BhP_06.05.042/1 yan nastvaṃ karmasandhānāṃ sādhūnāṃ gṛhamedhinām	Bhu-_06.05.042/1 yat naH-tvam karma-sanDAnAm sADUnAm gRhameDinAm
   BhP_06.05.042/2 kṛtavān asi durmarṣaṃ vipriyaṃ tava marṣitam	Bhu-_06.05.042/2 kRtavAn asi durmarzam vipriyam tava marzitam
   BhP_06.05.043/1 tantukṛntana yan nastvamabhadramacaraḥ punaḥ	Bhu-_06.05.043/1 tantu-kRntana yat naH-tvam-aBadram-acaraH punar-
   BhP_06.05.043/2 tasmāl lokeṣu te mūḍha na bhavedbhramataḥ padam	Bhu-_06.05.043/2 tasmAt lokezu te mUXa na Bavet-BramataH padam
   BhP_06.05.044/0 śrīśuka uvāca	BhP_06.05.044/0 SrI-SukaH uvAca
   BhP_06.05.044/1 pratijagrāha tadbāḍhaṃ nāradaḥ sādhusammataḥ	Bhu-_06.05.044/1 pratijagrAha tad-bAXam nAradaH sADu-sammataH
   BhP_06.05.044/2 etāvān sādhuvādo hi titikṣeteśvaraḥ svayam	Bhu-_06.05.044/2 etAvAn sADuvAdaH hi titikzeteSvaraH svayam
   BhP_06.06.001/0 śrīśuka uvāca	BhP_06.06.001/0 SrI-SukaH uvAca
   BhP_06.06.001/2 tataḥ prācetaso 'siknyāmanunītaḥ svayambhuvā	Bhu-_06.06.001/2 tatas prAcetasaH asi-knyAmanunItaH svayamBuvA
   BhP_06.06.002/1 ṣaṣṭiṃ sañjanayāmāsa duhitṝḥ pitṛvatsalāḥ	Bhu-_06.06.002/1 zazwim saQjanayAmAsa duhitLH pitR-vatsalAH
   BhP_06.06.002/2 daśa dharmāya kāyādāddviṣaṭ triṇava cendave	Bhu-_06.06.002/2 daSa DarmAya kAya-at-At-dvizaz triNava ca-indave
   BhP_06.06.003/1 bhūtāṅgiraḥkṛśāśvebhyo dve dve tārkṣyāya cāparāḥ	Bhu-_06.06.003/1 BUta-aFgiraH-kRSa-aSveByaH dve dve tArkzyAya ca-aparAH
   BhP_06.06.003/2 nāmadheyāny amūṣāṃ tvaṃ sāpatyānāṃ ca me śṛṇu	Bhu-_06.06.003/2 nAmaDeyAni amUzAm tvam sa-apatyAnAm ca me SRNu
   BhP_06.06.004/1 yāsāṃ prasūtiprasavairlokā āpūritāstrayaḥ	Bhu-_06.06.004/1 yAsAm prasUti-prasavEH-lokAH ApUritAH-trayaH
   BhP_06.06.004/2 bhānurlambā kakudyāmirviśvā sādhyā marutvatī	BhP_06.06.004/2 BAnuH-lambA kakudyAmiH-viSvA sADyA marutvatI
   BhP_06.06.005/1 vasurmuhūrtā saṅkalpā dharmapatnyaḥ sutāñ śṛṇu	Bhu-_06.06.005/1 vasuH-muhUrtA saFkalpAH Darma-patnyaH sutAn SRNu
   BhP_06.06.005/2 bhānostu devaṛṣabha indrasenastato nṛpa	Bhu-_06.06.005/2 BAnoH-tu deva-RzaBaH indrasenaH-tatas nRpa
   BhP_06.06.006/1 vidyota āsīl lambāyāstataśca stanayitnavaḥ	Bhu-_06.06.006/1 vidyote AsIt lambAyAH-tatas-ca stanayitnavaH
   BhP_06.06.006/2 kakudaḥ saṅkaṭastasya kīkaṭastanayo yataḥ	BhP_06.06.006/2 kakudaH saFkawaH-tasya kIkawaH-tanayaH yatas-
   BhP_06.06.007/1 bhuvo durgāṇi yāmeyaḥ svargo nandistato 'bhavat	Bhu-_06.06.007/1 BuvaH durgANi yAmeyaH svargaH nandiH-tatas aBavat-
   BhP_06.06.007/2 viśvedevāstu viśvāyā aprajāṃstān pracakṣate	Bhu-_06.06.007/2 viSvedevAH-tu viSvAyAH aprajAn=-tAn pracakzate
   BhP_06.06.008/1 sādhyogaṇaśca sādhyāyā arthasiddhistu tatsutaḥ	Bhu-_06.06.008/1 sADyaH-gaNaH-ca sADyAyAH arTa-sidDiH-tu tad-sutaH
   BhP_06.06.008/2 marutvāṃśca jayantaśca marutvatyā babhūvatuḥ	Bhu-_06.06.008/2 marutvAn=-ca jayantaH-ca marutvatyAH baBUvatuH
   BhP_06.06.009/1 jayanto vāsudevāṃśa upendra iti yaṃ viduḥ	Bhu-_06.06.009/1 jayantaH vAsudeva-aMSe upendraH iti yam viduH
   BhP_06.06.009/2 mauhūrtikā devagaṇā muhūrtāyāśca jajñire	Bhu-_06.06.009/2 mOhUrtikAH deva-gaNAH muhUrtAyAH-ca jajQire
   BhP_06.06.010/1 ye vai phalaṃ prayacchanti bhūtānāṃ svasvakālajam	Bhu-_06.06.010/1 ye vE Palam prayacCanti BUtAnAm sva-sva-kAla-jam
   BhP_06.06.010/2 saṅkalpāyāstu saṅkalpaḥ kāmaḥ saṅkalpajaḥ smṛtaḥ	Bhu-_06.06.010/2 saFkalpAyAH-tu saFkalpaH kAmaH saFkalpajaH smRtaH
   BhP_06.06.011/1 vasavo 'ṣṭau vasoḥ putrāsteṣāṃ nāmāni me śṛṇu	Bhu-_06.06.011/1 vasavaH azwO vasoH putrAH-tezAm nAmAni me SRNu
   BhP_06.06.011/2 droṇaḥ prāṇo dhruvo 'rko 'gnirdoṣo vāsturvibhāvasuḥ	Bhu-_06.06.011/2 droNaH prANaH DruvaH arkaH agniH-dozaH vAstuH-viBAvasuH
   BhP_06.06.012/1 droṇasyābhimateḥ patnyā harṣaśokabhayādayaḥ	Bhu-_06.06.012/1 droNasya-aBimateH patnyAH harza-Soka-Baya-AdayaH
   BhP_06.06.012/2 prāṇasyorjasvatī bhāryā saha āyuḥ purojavaḥ	Bha-a_06.06.012/2 prANasya-UrjasvatI BAryA saha AyuH purojavaH
   BhP_06.06.013/1 dhruvasya bhāryā dharaṇirasūta vividhāḥ puraḥ	Bhu-_06.06.013/1 Druvasya BAryA DaraNiH-asUta viviDAH puras-
   BhP_06.06.013/2 arkasya vāsanā bhāryā putrāstarṣādayaḥ smṛtāḥ	Bhu-_06.06.013/2 arkasya vAsanAH BAryA putrAH-tarza-AdayaH smRtAH
   BhP_06.06.014/1 agnerbhāryā vasordhārā putrā draviṇakādayaḥ	Bhu-_06.06.014/1 agneH-BAryA vasoH-DArA putrAH draviNaka-AdayaH
   BhP_06.06.014/2 skandaśca kṛttikāputro ye viśākhādayastataḥ	Bhu-_06.06.014/2 skandaH-ca kRttikA-putraH ye viSAKA-AdayaH-tatas-
   BhP_06.06.015/1 doṣasya śarvarīputraḥ śiśumāro hareḥ kalā	Bhu-_06.06.015/1 dozasya SarvarI-putraH SiSumAraH hareH kalA
   BhP_06.06.015/2 vāstorāṅgirasīputro viśvakarmākṛtīpatiḥ	Bhu-_06.06.015/2 vAstoH-AFgirasI-putraH viSvakarma-AkRtIpatiH
   BhP_06.06.016/1 tato manuścākṣuṣo 'bhūdviśve sādhyā manoḥ sutāḥ	Bhu-_06.06.016/1 tatas manuH-cAkzuzaH aBUt-viSve sADyAH manoH sutAH
   BhP_06.06.016/2 vibhāvasorasūtoṣā vyuṣṭaṃ rociṣamātapam	Bhu-_06.06.016/2 viBAvasa-urasU-ta-uzAH vyuzwam rocizam-Atapam
   BhP_06.06.017/1 pañcayāmo 'tha bhūtāni yena jāgrati karmasu	Bhu-_06.06.017/1 paQcayAmaH aTa BUtAni yena jAgrati karmasu
   BhP_06.06.017/2 sarūpāsūta bhūtasya bhāryā rudrāṃśca koṭiśaḥ	Bhu-_06.06.017/2 sarUpA-asUta BUtasya BAryA rudrAn=-ca kowiSas-
   BhP_06.06.018/1 raivato 'jo bhavo bhīmo vāma ugro vṛṣākapiḥ	Bhu-_06.06.018/1 rEvataH ajaH BavaH BImaH vAmaH ugraH vRzAkapiH
   BhP_06.06.018/2 ajaikapādahirbradhno bahurūpo mahān iti	Bhu-_06.06.018/2 ajEkapAd-ahis-braDnaH bahu-rUpaH mahAn iti
   BhP_06.06.019/1 rudrasya pārṣadāścānye ghorāḥ pretavināyakāḥ	Bhu-_06.06.019/1 rudrasya pArzadAH-ca-anye GorAH preta-vinAyakAH
   BhP_06.06.019/2 prajāpateraṅgirasaḥ svadhā patnī pitṝn atha	Bhu-_06.06.019/2 prajApateH-aFgirasaH svaDA patnI pitLn aTa
   BhP_06.06.020/1 atharvāṅgirasaṃ vedaṃ putratve cākarot satī	Bhu-_06.06.020/1 aTarva-aFgirasam vedam putra-tve ca-akarot satI
   BhP_06.06.020/2 kṛśāśvo 'rciṣi bhāryāyāṃ dhūmaketumajījanat	BhP_06.06.020/2 kRSASvaH arcizi BAryAyAm DUmaketum-ajIjanat-
   BhP_06.06.021/1 dhiṣaṇāyāṃ vedaśiro devalaṃ vayunaṃ manum	Bhu-_06.06.021/1 DizaNAyAm vedaSiraH devalam vayunam manum
   BhP_06.06.021/2 tārkṣyasya vinatā kadrūḥ pataṅgī yāminīti ca	Bhu-_06.06.021/2 tArkzyasya vinatA kadrUH pataFgI yAminI-iti ca
   BhP_06.06.022/1 pataṅgy asūta patagān yāminī śalabhān atha	Bhu-_06.06.022/1 pataFgI asUta patagAn yAminI SalaBAn aTa
   BhP_06.06.022/2 suparṇāsūta garuḍaṃ sākṣādyajñeśavāhanam	Bhu-_06.06.022/2 suparNa-asUta garuxam sAkzAt-yajQa-ISa-vAhanam
   BhP_06.06.022/2 sūryasūtamanūruṃ ca kadrūrnāgān anekaśaḥ	Bhu-_06.06.022/2 sUrya-sUtam-anUrum ca kadrUH-nAgAn anekaSas-
   BhP_06.06.023/1 kṛttikādīni nakṣatrāṇ īndoḥ patnyastu bhārata	Bhu-_06.06.023/1 kRttikA-AdIni nakzatrAj IndoH patnyaH-tu BArata
   BhP_06.06.023/2 dakṣaśāpāt so 'napatyastāsu yakṣmagrahārditaḥ	Bhu-_06.06.023/2 dakza-SApAt saH anapatyaH-tAsu yakzma-graha-arditaH
   BhP_06.06.024/1 punaḥ prasādya taṃ somaḥ kalā lebhe kṣaye ditāḥ	Bhu-_06.06.024/1 punar prasAdya tam somaH kalAH leBe kzaye ditAH
   BhP_06.06.024/2 śṛṇu nāmāni lokānāṃ mātṝṇāṃ śaṅkarāṇi ca	BhP_06.06.024/2 SRNu nAmAni lokAnAm mAtLNAm SaFkarANi ca
   BhP_06.06.025/1 atha kaśyapapatnīnāṃ yatprasūtamidaṃ jagat	Bhu-_06.06.025/1 aTa kaSyapa-patnInAm yat-prasUtam-idam jagat-
   BhP_06.06.025/2 aditirditirdanuḥ kāṣṭhā ariṣṭā surasā ilā	BhP_06.06.025/2 aditiH-ditiH-danuH kAzWA arizwA surasA ilA
   BhP_06.06.026/1 muniḥ krodhavaśā tāmrā surabhiḥ saramā timiḥ	Bha-a_06.06.026/1 muniH kroDavaSA tAmrA suraBiH saramA timiH
   BhP_06.06.026/2 timeryādogaṇā āsan śvāpadāḥ saramāsutāḥ	Bhu-_06.06.026/2 timeH-yAdaH-gaNAH Asan SvApadAH saramA-sutAH
   BhP_06.06.027/1 surabhermahiṣā gāvo ye cānye dviśaphā nṛpa	Bhu-_06.06.027/1 suraBeH-mahizAH gAvaH ye ca-anye dviSaPAH nRpa
   BhP_06.06.027/2 tāmrāyāḥ śyenagṛdhrādyā munerapsarasāṃ gaṇāḥ	Bhu-_06.06.027/2 tAmrAyAH Syena-gRDra-AdyAH muneH-apsarasAm gaNAH
   BhP_06.06.028/1 dandaśūkādayaḥ sarpā rājan krodhavaśātmajāḥ	Bhu-_06.06.028/1 dandaSUka-AdayaH sarpAH rAjan kroDa-vaSa-AtmajAH
   BhP_06.06.028/2 ilāyā bhūruhāḥ sarve yātudhānāśca saurasāḥ	Bhu-_06.06.028/2 ilAyAH BUruhAH sarve yAtuDAnAH-ca sOrasAH
   BhP_06.06.029/1 ariṣṭāyāstu gandharvāḥ kāṣṭhāyā dviśaphetarāḥ	Bhu-_06.06.029/1 arizwAyAH-tu ganDarvAH kAzWAyAH dviSaPa-itarAH
   BhP_06.06.029/2 sutā danorekaṣaṣṭisteṣāṃ prādhānikāñ śṛṇu	BhP_06.06.029/2 sutAH danoH-eka-zazwiH-tezAm prADAnikAn SRNu
   BhP_06.06.030/1 dvimūrdhā śambaro 'riṣṭo hayagrīvo vibhāvasuḥ	Bhu-_06.06.030/1 dvimUrDA SambaraH arizwaH hayagrIvaH viBAvasuH
   BhP_06.06.030/2 ayomukhaḥ śaṅkuśirāḥ svarbhānuḥ kapilo 'ruṇaḥ	Bhu-_06.06.030/2 ayomuKaH SaFkuSirAH svarBAnuH kapilaH aruNaH
   BhP_06.06.031/1 pulomā vṛṣaparvā ca ekacakro 'nutāpanaḥ	BhP_06.06.031/1 pulomA vRzaparvA ca eka-cakraH anutApanaH
   BhP_06.06.031/2 dhūmrakeśo virūpākṣo vipracittiśca durjayaḥ	BhP_06.06.031/2 DUmrakeSaH virUpAkzaH vipracittiH-ca durjayaH
   BhP_06.06.032/1 svarbhānoḥ suprabhāṃ kanyāmuvāha namuciḥ kila	BhP_06.06.032/1 svarBAnoH supraBAm kanyAm-uvAha namuciH kila
   BhP_06.06.032/2 vṛṣaparvaṇastu śarmiṣṭhāṃ yayātirnāhuṣo balī	Bhu-_06.06.032/2 vRzaparvaNaH-tu SarmizWAm yayAtiH-nAhuzaH balI
   BhP_06.06.033/1 vaiśvānarasutā yāśca catasraścārudarśanāḥ	Bhu-_06.06.033/1 vESvAnara-sutAH yAH-ca catasraH-cAru-darSanAH
   BhP_06.06.033/2 upadānavī hayaśirā pulomā kālakā tathā	Bhu-_06.06.033/2 upadAnavI hayaSirA pulomA kAlakA taTA
   BhP_06.06.034/1 upadānavīṃ hiraṇyākṣaḥ kraturhayaśirāṃ nṛpa	Bhu-_06.06.034/1 upadAnavIm hiraNyAkzaH kratuH-hayaSirAm nRpa
   BhP_06.06.034/2 pulomāṃ kālakāṃ ca dve vaiśvānarasute tu kaḥ	Bhu-_06.06.034/2 pulomAm kAlakAm ca dve vESvAnara-sute tu kaH
   BhP_06.06.035/1 upayeme 'tha bhagavān kaśyapo brahmacoditaḥ	Bhu-_06.06.035/1 upayeme aTa BagavAn kaSyapaH brahma-coditaH
   BhP_06.06.035/2 paulomāḥ kālakeyāśca dānavā yuddhaśālinaḥ	Bhu-_06.06.035/2 pOlomAH kAlakeyAH-ca dAnavAH yudDa-SAlinaH
   BhP_06.06.036/1 tayoḥ ṣaṣṭisahasrāṇi yajñaghnāṃste pituḥ pitā	Bhu-_06.06.036/1 tayoH zazwi-sahasrANi yajQa-GnAn=-te pituH pitA
   BhP_06.06.036/2 jaghāna svargato rājanneka indrapriyaṅkaraḥ	Bhu-_06.06.036/2 jaGAna svargataH rAjan=-ekaH indra-priyaFkaraH
   BhP_06.06.037/1 vipracittiḥ siṃhikāyāṃ śataṃ caikamajījanat	BhP_06.06.037/1 vipracittiH siMhikAyAm Satam ca-ekam-ajIjanat-
   BhP_06.06.037/2 rāhujyeṣṭhaṃ ketuśataṃ grahatvaṃ ya upāgatāḥ	Bhu-_06.06.037/2 rAhu-jyezWam ketu-Satam graha-tvam ye upAgatAH
   BhP_06.06.038/1 athātaḥ śrūyatāṃ vaṃśo yo 'diteranupūrvaśaḥ	Bhu-_06.06.038/1 aTa-atas SrUyatAm vaMSaH yaH aditeH-anupUrvaSas-
   BhP_06.06.038/2 yatra nārāyaṇo devaḥ svāṃśenāvātaradvibhuḥ	Bhu-_06.06.038/2 yatra nArAyaNaH devaH sva-aMSena-avAtara-dviBuH
   BhP_06.06.039/1 vivasvān aryamā pūṣā tvaṣṭātha savitā bhagaḥ	Bhu-_06.06.039/1 vivasvAn aryamA pUzA tu-azwA-aTa savitA BagaH
   BhP_06.06.039/2 dhātā vidhātā varuṇo mitraḥ śatru urukramaḥ	Bhu-_06.06.039/2 DAtA viDAtA varuNaH mitraH Satru urukramaH
   BhP_06.06.040/1 vivasvataḥ śrāddhadevaṃ saṃjñāsūyata vai manum	Bhu-_06.06.040/1 vivasvataH SrAdDadevam saMjQA-asUyata vE manum
   BhP_06.06.040/2 mithunaṃ ca mahābhāgā yamaṃ devaṃ yamīṃ tathā	Bhu-_06.06.040/2 miTunam ca mahABAgA yamam devam yamIm taTA
   BhP_06.06.040/3 saiva bhūtvātha vaḍavā nāsatyau suṣuve bhuvi	Bhu-_06.06.040/3 sA-eva BUtvA-aTa vaxavA nAsatyO suzuve Buvi
   BhP_06.06.041/1 chāyā śanaiścaraṃ lebhe sāvarṇiṃ ca manuṃ tataḥ	Bhu-_06.06.041/1 CAyA SanEScaram leBe sAvarNim ca manum tatas-
   BhP_06.06.041/2 kanyāṃ ca tapatīṃ yā vai vavre saṃvaraṇaṃ patim	Bhu-_06.06.041/2 kanyAm ca tapatIm yA vE vavre saMvaraNam patim
   BhP_06.06.042/1 aryamṇo mātṛkā patnī tayoścarṣaṇayaḥ sutāḥ	BhP_06.06.042/1 aryamNaH mAtRkA patnI tayoH-carzaNayaH sutAH
   BhP_06.06.042/2 yatra vai mānuṣī jātirbrahmaṇā copakalpitā	Bhu-_06.06.042/2 yatra vE mAnuzI jAtiH-brahmaNA ca-upakalpitA
   BhP_06.06.043/1 pūṣānapatyaḥ piṣṭādo bhagnadanto 'bhavat purā	Bhu-_06.06.043/1 pUzA-anapatyaH pizwa-AdaH Bagna-dantaH aBavat purA
   BhP_06.06.043/2 yo 'sau dakṣāya kupitaṃ jahāsa vivṛtadvijaḥ	Bhu-_06.06.043/2 yaH asO dakzAya kupitam jahAsa vivRta-dvijaH
   BhP_06.06.044/1 tvaṣṭurdaityātmajā bhāryā racanā nāma kanyakā	Bhu-_06.06.044/1 tvazwuH-dEtya-AtmajA BAryA racanA nAma kanyakA
   BhP_06.06.044/2 sanniveśastayorjajñe viśvarūpaśca vīryavān	Bhu-_06.06.044/2 sanniveSaH-tayoH-jajQe viSva-rUpaH-ca vIryavAn
   BhP_06.06.045/1 taṃ vavrire suragaṇā svasrīyaṃ dviṣatāmapi	Bhu-_06.06.045/1 tam vavrire sura-gaNA svasrIyam dvizatAm-api
   BhP_06.06.045/2 vimatena parityaktā guruṇāṅgirasena yat	Bhu-_06.06.045/2 vimatena parityaktA guruNA-AFgirasena yat-
   BhP_06.07.001/0 śrīrājovāca	BhP_06.07.001/0 SrI-rAjA-uvAca
   BhP_06.07.001/1 kasya hetoḥ parityaktā ācāryeṇātmanaḥ surāḥ	Bhu-_06.07.001/1 kasya hetoH parityaktAH AcAryeNa-AtmanaH surAH
   BhP_06.07.001/2 etadācakṣva bhagavañ chiṣyāṇāmakramaṃ gurau	Bhu-_06.07.001/2 etat-Acakzva Bagavan CizyANAm-akramam gurO
   BhP_06.07.002/0 śrībādarāyaṇiruvāca	Bhu-_06.07.002/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.07.002/1 indrastribhuvanaiśvarya madollaṅghitasatpathaḥ	Bhu-_06.07.002/1 indraH-triBuvanESvarya mada-ullaFGita-sat-paTaH
   BhP_06.07.002/2 marudbhirvasubhī rudrairādityairṛbhubhirnṛpa	BhP_06.07.002/2 marudBiH-vasuBiH rudrEH-AdityEH-RBuBiH-nRpa
   BhP_06.07.003/1 viśvedevaiśca sādhyaiśca nāsatyābhyāṃ pariśritaḥ	Bhu-_06.07.003/1 viSvedevEH-ca sADyEH-ca nAsatyAByAm pariSritaH
   BhP_06.07.003/2 siddhacāraṇagandharvairmunibhirbrahmavādibhiḥ	BhP_06.07.003/2 sidDa-cAraNa-ganDarvEH-muniBiH-brahma-vAdiBiH
   BhP_06.07.004/1 vidyādharāpsarobhiśca kinnaraiḥ patagoragaiḥ	Bhu-_06.07.004/1 vidyADara-apsaroBiH-ca kinnarEH pataga-uragEH
   BhP_06.07.004/2 niṣevyamāṇo maghavān stūyamānaśca bhārata	Bhu-_06.07.004/2 nizevyamANaH maGavAn stUyamAnaH-ca BArata
   BhP_06.07.005/1 upagīyamāno lalitamāsthānādhyāsanāśritaḥ	BhP-_06.07.005/1 upagIyamAnaH lalitam-AsTAna-aDyAsana-ASritaH
   BhP_06.07.005/2 pāṇḍureṇātapatreṇa candramaṇḍalacāruṇā	Bhu-_06.07.005/2 pANxureNa-AtapatreNa candra-maNxala-cAruNA
   BhP_06.07.006/1 yuktaścānyaiḥ pārameṣṭhyaiścāmaravyajanādibhiḥ	Bhu-_06.07.006/1 yuktaH-ca-anyEH pAramezWyEH-cAmara-vyajana-AdiBiH
   BhP_06.07.006/2 virājamānaḥ paulamyā sahārdhāsanayā bhṛśam	BhP_06.07.006/2 virAjamAnaH pOlamyA saha-arDa-AsanayA BRSam
   BhP_06.07.007/1 sa yadā paramācāryaṃ devānāmātmanaśca ha	Bhu-_06.07.007/1 sa yadA parama-AcAryam devAnAm-AtmanaH-ca ha
   BhP_06.07.007/2 nābhyanandata samprāptaṃ pratyutthānāsanādibhiḥ	Bhu-_06.07.007/2 na-aByanandata samprAptam pratyutTAna-Asana-AdiBiH
   BhP_06.07.008/1 vācaspatiṃ munivaraṃ surāsuranamaskṛtam	Bhu-_06.07.008/1 vAcaspatim muni-varam sura-asura-namaskRtam
   BhP_06.07.008/2 noccacālāsanādindraḥ paśyannapi sabhāgatam	Bhu-_06.07.008/2 na-uccacAla-AsanAt-indraH paSyan=-api saBA-gatam
   BhP_06.07.009/1 tato nirgatya sahasā kavirāṅgirasaḥ prabhuḥ	Bhu-_06.07.009/1 tatas nirgatya sahasA kavirAFgirasaH praBuH
   BhP_06.07.009/2 āyayau svagṛhaṃ tūṣṇīṃ vidvān śrīmadavikriyām	Bhu-_06.07.009/2 AyayO sva-gRham tUzNIm vidvAn SrImat-avikriyAm
   BhP_06.07.010/1 tarhy eva pratibudhyendro guruhelanamātmanaḥ	Bhu-_06.07.010/1 tarhi eva pratibuDya-indraH guru-helanam-AtmanaH
   BhP_06.07.010/2 garhayāmāsa sadasi svayamātmānamātmanā	Bhu-_06.07.010/2 garhayAmAsa sadasi svayam-AtmAnam-AtmanA
   BhP_06.07.011/1 aho bata mayāsādhu kṛtaṃ vai dabhrabuddhinā	Bhu-_06.07.011/1 aho bata mayA-asADu kRtam vE daBra-budDinA
   BhP_06.07.011/2 yan mayaiśvaryamattena guruḥ sadasi kātkṛtaḥ	Bhu-_06.07.011/2 yat mayA-ESvarya-mattena guruH sadasi kAtkRtaH
   BhP_06.07.012/1 ko gṛdhyet paṇḍito lakṣmīṃ tripiṣṭapapaterapi	Bhu-_06.07.012/1 kaH gRDyet paNxitaH lakzmIm tripizwa-papateH-api
   BhP_06.07.012/2 yayāhamāsuraṃ bhāvaṃ nīto 'dya vibudheśvaraḥ	Bhu-_06.07.012/2 yayA-aham-Asuram BAvam nItaH adya vibuDa-ISvaraH
   BhP_06.07.013/1 yaḥ pārameṣṭhyaṃ dhiṣaṇamadhitiṣṭhan na kañcana	Bhu-_06.07.013/1 yaH pAramezWyam DizaNam-aDitizWat na kaQcana
   BhP_06.07.013/2 pratyuttiṣṭhediti brūyurdharmaṃ te na paraṃ viduḥ	Bhu-_06.07.013/2 pratyuttizWet-iti brUyuH-Darmam te na param viduH
   BhP_06.07.014/1 teṣāṃ kupathadeṣṭṝṇāṃ patatāṃ tamasi hy adhaḥ	Bhu-_06.07.014/1 tezAm kupaTa-dezwLNAm patatAm tamasi hi aDas-
   BhP_06.07.014/2 ye śraddadhyurvacaste vai majjanty aśmaplavā iva	Bhu-_06.07.014/2 ye SraddaDi-uH-vacaH-te vE majjanti aSma-plavAH iva
   BhP_06.07.015/1 athāhamamarācāryamagādhadhiṣaṇaṃ dvijam	Bhu-_06.07.015/1 aTa-aham-amara-AcArya-magADa-DizaNam dvijam
   BhP_06.07.015/2 prasādayiṣye niśaṭhaḥ śīrṣṇā taccaraṇaṃ spṛśan	Bhu-_06.07.015/2 prasAdayizye niSaWaH SIrzNA tad-caraNam spRSan
   BhP_06.07.016/1 evaṃ cintayatastasya maghono bhagavān gṛhāt	Bhu-_06.07.016/1 evam cintayataH-tasya maGonaH BagavAn gRhAt-
   BhP_06.07.016/2 bṛhaspatirgato 'dṛṣṭāṃ gatimadhyātmamāyayā	Bhu-_06.07.016/2 bRhaspatiH-gataH adRzwAm gatim-aDyAtma-mAyayA
   BhP_06.07.017/1 gurornādhigataḥ saṃjñāṃ parīkṣan bhagavān svarāṭ	Bhu-_06.07.017/1 guroH-na-aDigataH saMjQAm parIkzan BagavAn svarAj-
   BhP_06.07.017/2 dhyāyan dhiyā surairyuktaḥ śarma nālabhatātmanaḥ	Bhu-_06.07.017/2 DyAyan DiyA surEH-yuktaH Sarma na-alaBata-AtmanaH
