   kṛtirmaitreyanāthasya //	kRtiH-mEtreya-nATasya //
   maītryādi śūnyatā prāptirbuddhatvasya parigrahaḥ /	maItrI-Adi SUnyatA prAptiH-budDa-tvasya parigrahaH /
   sarvasya vyavadānasya sarvādhivyādhiśātanam // Abhs_2.14 //	sarvasya vyavadAnasya sarva-aDivyADi-SAtanam // ABH-_2.14 //
   nirvāṇagrāhaśāntatvaṃ buddhebho rakṣaṇādikam /	nirvANa-grAha-SAnta-tvam budDa-iBaH rakzaNa-Adikam /
   aprāṇivadhamārabhya sarvākārajñatānaye // Abhs_2.15 //	aprANi-vaDam-AraBya sarva-AkAra-jQa-tA-naye // ABH-_2.15 //
   svayaṃ sthitasya sattvānāṃ sthāpanaṃ pariṇāmanam /	svayam sTitasya sattvAnAm sTApanam pariNAmanam /
   danādīnāṃ ca saṃbodhāviti mārgajñatākṣaṇāḥ // Abhs_2.16 //	dana-AdInAm ca saMboDO=-iti mArga-jQa-ta-akzaNAH // ABH-_2.16 //
   sarvato damanaṃ nāma sarvataḥ kleśanirjayaḥ /	sarvatas damanam nAma sarvatas kleSa-nirjayaH /
   upamakrāviṣahyatvaṃ bodhirādhārapūjyatā // Abhs_2.17 //	upamakrAvizahya-tvam boDiH-ADAra-pUjyatA // ABH-_2.17 //
   adhimuktistridhā jñeyā svārthā ca svaparārthakā /	aDimuktiH-triDA jQeyA sva-arTA ca sva-para-arTakAH /
   parārthikaivetyeṣa ca pratyekaṃ trividheṣyate // Abhs_2.18 //	parArTikA-eva-iti-eza ca pratyekam triviDA-izyate // ABH-_2.18 //
   mṛdvī madhyādhimātrā ca mṛdumṛdvādibhedataḥ /	mRdvI maDya-aDimAtrA ca mRdu-mRdu-Adi-BedataH /
   sā punastrividhetyevaṃ saptaviṃśatidhā matā // Abhs_2.19 //	sA punar-triviDA-iti-evam saptaviMSatiDA matA // ABH-_2.19 //
   stutiḥ stobhaḥ praśaṃsā ca prajñāparamitāṃ prati /	stutiH stoBaH praSaMsA ca prajQAparamitAm prati /
   adhimokṣasya mātrāṇāṃ navakaistribhiriṣyate // Abhs_2.20 //	aDimokzasya mAtrANAm navakEH-triBiH-izyate // ABH-_2.20 //
   viśeṣaḥ pariṇāmastu tasya kāritramuttamam /	viSezaH pariNAmaH-tu tasya kAritram-uttamam /
   nopalambhākṛtiścāsāvaviparyāsalakṣaṇaḥ // Abhs_2.21 //	na-upalamBa-AkRtiH-ca-asO=-aviparyAsa-lakzaNaH // ABH-_2.21 //
   vivikto buddhapuṇyaughasvabhāvasmṛtigocaraḥ /	viviktaH budDa-puNya-oGa-svaBAva-smRti-gocaraH /
   sopāyaścānimittaśca buddhairabhyanumoditaḥ // Abhs_2.22 //	sa-upAyaH-ca-animittaH-ca budDEH-aByanumoditaH // ABH-_2.22 //
   traidhātukāprapannaśca pariṇāmo 'parastridhā /	trEDAtukA-prapannaH-ca pariNAmaH aparaH-triDA /
   mṛdurmadhyo 'dhimātraśca mahāpuṇyodayātmakaḥ // Abhs_2.23 //	mRduH-maDyaH aDimAtraH-ca mahA-puNya-udaya-AtmakaH // ABH-_2.23 //
   upāyānupalambābhyāṃ śubhamūlānumodanā /	upAya-anupalambAByAm SuBa-mUla-anumodanA /
   anumode manaskārabhāvaneha vidhīyate // Abhs_2.24 //	anumode manaskAra-BAvanA-iha viDIyate // ABH-_2.24 //
   svabhāvaḥ śreṣṭhatā tasya sarvasyānabhisaṃskṛtiḥ /	svaBAvaH SrezWa-tA tasya sarvasya-anaBisaMskRtiH /
   nopalambhena dharmāṇāmarpaṇā ca mahārthatā // Abhs_2.25 //	na-upalamBena DarmANAm-arpaNA ca mahArTa-tA // ABH-_2.25 //
   buddhasevā ca dānādirūpāye yacca kauśalam /	budDa-sevA ca dAna-Adi-rUpAye yat-ca kOSalam /
   hetavo 'trādhimokṣasya dharmavyasanahetavaḥ // Abhs_2.26 //	hetavaH atra-aDimokzasya Darma-vyasana-hetavaH // ABH-_2.26 //
   mārādhiṣṭhānagambhīradharmatānadhimuktate /	mAra-aDizWAna-gamBIra-Darma-tAn-aDimuktate /
   skandhādyabhiniveśaśca pāpamitraparigrahaḥ // Abhs_2.27 //	skanDa-Adi-aBiniveSaH-ca pApa-mitra-parigrahaH // ABH-_2.27 //
   phalaśuddhiśca rūpādiśuddhireva tayordvayoḥ /	Pala-SudDiH-ca rUpa-Adi-SudDiH-eva tayoH-dvayoH /
   abhinnācChinnatā yasmāditi śuddhirudīritā // Abhs_2.28 //	aBinnAt-Shinna-tA yasmAt-iti SudDiH-udIritAH // ABH-_2.28 //
   kleśajñeyatrimārgasya śiṣyakhaḍgajinaurasām /	kleSa-jQeyatri-mArgasya Sizya-Kaxga-jinA-OrasAm /
   hānādviśuddhirātyantikī tu buddhasya sarvathā // Abhs_2.29 //	hAnAt-viSudDiH-AtyantikI tu budDasya sarvaTA // ABH-_2.29 //
   mṛdumṛdvādiko mārgaḥ śuddhirnavasu bhūmiṣu /	mRdu-mRdvAdikaH mArgaH SudDiH-navasu BUmizu /
   adhimātrādhimātrādermalasya pratipakṣataḥ // Abhs_2.30 //	aDimAtra-aDimAtra-AdeH-malasya pratipakzataH // ABH-_2.30 //
   tridhātupratipakṣatvaṃ samatā manameyayoḥ /	tri-DAtu-pratipakza-tvam sama-tA manameyayoH /
   mārgasya ceṣyate tasya parihārataḥ // Abhs_2.31 //	mArgasya ca-izyate tasya parihArataH // ABH-_2.31 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   mārgajñatādhikāro dvitīyaḥ //	mArga-jQa-tA-aDikAraH dvitIyaH //
   nāpare na pare tīre nāntarāle tathoḥ sthitā /	na-apare na pare tIre na-antarAle taToH sTitA /
   adhvanāṃ samatājñānāt prajñāpāramitāmatā // Abhs_3.1 //	aDvanAm samatA-jQAnAt prajQApAramitA-matA // ABH-_3.1 //
   anupāyena dūraṃ sā sanimittopalambhataḥ /	anupAyena dUram sA sa-nimitta-upalamBataH /
   upāyakauśalenāsyāḥ samyagāsannatoditā // Abhs_3.2 //	upAya-kOSalena-asyAH samyak-Asanna-toditA // ABH-_3.2 //
   rūpādiskandhaśūnyatve dharmeṣu tryadhvageṣu ca /	rUpa-Adi-skanDa-SUnya-tve Darmezu tri-aDva-gezu ca /
   dānādau bodhipakṣeṣu caryāsaṃjñā vipakṣatā // Abhs_3.3 //	dAna-AdO boDi-pakzezu caryA-saMjQA vipakzatA // ABH-_3.3 //
   dānādiṣvanahaṃkāraḥ pareṣāṃ tanniyojanam /	dAna-Adizu-anahaMkAraH parezAm tad-niyojanam /
   saṅgakoṭīniṣedho 'yaṃ sukṣmaḥ saṅgo jinādiṣu // Abhs_3.4 //	saFga-kowI-nizeDaH ayam sukzmaH saFgaH jina-Adizu // ABH-_3.4 //
   tadgāmbīryaṃ prakṛtyaiva vivekāddharmapaddhateḥ *iti* /	tad-gAmbIryam prakRtyA-eva vivekAt-Darma-padDateH *iti* /
   ekaprakṛtikaṃ jñānaṃ dharmāṇāṃ saṅgavarjanam // Abhs_3.5 //	eka-prakRtikam jQAnam DarmANAm saFga-varjanam // ABH-_3.5 //
   dṛṣṭādipratiṣedhena tasyā durbodhatoditā *iti* /	dRzwa-Adi-pratizeDena tasyAH durboDa-toditA *iti* /
   rūpādibhiravijñānāttadacintyatvamiṣyate // Abhs_3.6 //	rUpa-AdiBiH-avijQAnAt-tat-acintya-tvam-izyate // ABH-_3.6 //
   evaṃ kṛtvā yathokto vai jñeyaḥ sarvajñatānaye /	evam kRtvA yaTA-uktaH vE jQeyaH sarvajQa-tA-naye /
   ayaṃ vibhāgo niḥśoṣo vipakṣapratipakṣayoḥ // Abhs_3.7 //	ayam viBAgaH niHSozaH vipakza-pratipakzayoH // ABH-_3.7 //
   rūpādau tadanityādau tadapuriprapūrayoḥ /	rUpa-AdO tadanitya-AdO tad-apuripra-pUrayoH /
   tadasaṅgatve caryāyā: prayogaḥ pratiṣedhataḥ // Abhs_3.8 //	tad-asaFga-tve caryAyA: prayogaH pratizeDataH // ABH-_3.8 //
   avikāro na kartā ca prayogo duṣkarastridhā /	avikAraH na kartA ca prayogaH duzkaraH-triDA /
   yathābhavyaṃ phalaprāpteravandhyo 'bhimataśca saḥ // Abhs_3.9 //	yaTABavyam Pala-prApteH-avanDyaH aBimataH-ca saH // ABH-_3.9 //
   aparapratyayo yaśca saptadhā khyātivedakaḥ /	apara-pratyayaH yaH-ca saptaDA KyAti-vedakaH /
   caturdhā mananā tasya rūpādau samatā matā // Abhs_3.10 //	caturDA mananA tasya rUpa-AdO sama-tA matA // ABH-_3.10 //
   dharmajñānānvayajñānakṣāntijñānakṣaṇātmakaḥ /	Darma-jQAna-anvaya-jQAna-kzAnti-jQA-na-kzaNa-AtmakaH /
   duḥkhādisatye dṛṅmārga eṣa sarvajñatānaye // Abhs_3.11 //	duHKa-Adi-satye dRS-mArgaH eza sarvajQa-tA-naye // ABH-_3.11 //
   rūpaṃ na nityaṃ nānityamatitāntaṃ viśuddhakam /	rUpam na nityam na-anityam-ati-ta-antam viSudDakam /
   anutpannāniruddhādi vyomābhaṃ lepavarjitam // Abhs_3.12 //	anutpanna-anirudDa-Adi vyoma-ABam lepa-varjitam // ABH-_3.12 //
   parigraheṇa nirmuktamavyāhāraṃ svabhāvataḥ /	parigraheNa nirmuktam-avyAhAram svaBAvataH /
   pravyāhāreṇa nāsyārthaḥ pareṣu prāpyate yataḥ // Abhs_3.13 //	pravyAhAreNa na-asya-arTaH parezu prApyate yatas // ABH-_3.13 //
   nopalambhakṛdatyantaviśuddhirvyādhyasaṃbhavaḥ /	na-upalamBa-kRt-atyanta-viSudDiH-vyADi-asaMBavaH /
   apāyocChittyakalpatve phalasākṣātkriyāṃ prati // Abhs_3.14 //	apAya-ucChitti-akalpa-tve Pala-sAkzAtkriyAm prati // ABH-_3.14 //
   asaṃsargo nimittaiśca vastuni vyañjane dvaye /	asaMsargaH nimittEH-ca vastuni vyaQjane dvaye /
   jñānasya yā cānutpattiriti sarvajñatākṣaṇāḥ // Abhs_3.15 //	jQAnasya yA ca-anutpattiH-iti sarvajQa-tA-akzaNAH // ABH-_3.15 //
   iti seyaṃ punaḥ seyaṃ seyaṃ khalu punastridhā /	iti sA-iyam punar sA-iyam sA-iyam Kalu punar-triDA /
   adhikāratrayasyaiṣā samāptiḥ paridīpitā // Abhs_3.16 //	aDikAra-trayasya-ezA samAptiH paridIpitAH // ABH-_3.16 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   sarvajñatādhikāras tṛtīyaḥ //	sarvajQa-tA-aDikAraH tRtIyaH //
   vastujñānaprakārāṇāmākārā iti lakṣaṇam /	vastu-jQAna-prakArANAm-AkArAH iti lakzaNam /
   sarvajñatānāṃ traividyāt trividhā eva te matāḥ // Abhs_4.1 //	sarvajQa-tAnAm trEvidyAt triviDAH eva te matAH // ABH-_4.1 //
   asadākāramārabhya yāvanniścalatākṛtiḥ /	asat-AkAram-AraBya yAvat-niScala-tA-AkRtiH /
   catvāraḥ pratisatyaṃ te mārge pañcadaśa smṛtāḥ // Abhs_4.2 //	catvAraH pratisatyam te mArge paQcadaSa smRtAH // ABH-_4.2 //
   hetau mārge ca duḥkhe ca nirodhe ca yathākramam /	hetO mArge ca duHKe ca niroDe ca yaTAkramam /
   aṣṭau te sapta pañceti ṣoḍaśeti ca kīrtitāḥ // Abhs_4.3 //	azwO te sapta paQca-iti zoxaSa-iti ca kIrtitAH // ABH-_4.3 //
   smṛtyupasthānamārabhya buddhatvākārapaścimāḥ /	smRti-upasTAnam-AraBya budDa-tva-AkAra-paScimAH /
   śiṣyāṇāṃ bodhisattvānāṃ buddhānāṃ ca yathākramam // Abhs_4.4 //	SizyANAm boDisattvAnAm budDAnAm ca yaTAkramam // ABH-_4.4 //
   saptatriṃśaccatustriṃśattriṃśannava ca te matāḥ /	saptatriMSat-catustriMSat-triMSat-nava ca te matAH /
   trisarvajñatvabhedena mārgasatyānurodhataḥ // Abhs_4.5 //	tri-sarvajQa-tva-Bedena mArga-satya-anuroDataH // ABH-_4.5 //
   kṛtādhikārā buddheṣu teṣūptaśubhamūlakāḥ /	kRta-aDikArAH budDezu tezu-upta-SuBa-mUlakAH /
   mitraiḥ sanāthāḥ kalyāṇairasyāḥ śravaṇabhājanam // Abhs_4.6 //	mitrEH sa-nATAH kalyANEH-asyAH SravaNa-BAjanam // ABH-_4.6 //
   buddhopāsanasaṃpraśnadānaśīlādicaryayā /	budDa-upAsana-saMpraSna-dAna-SIla-Adi-caryayA /
   udgrahadhāraṇādīnāṃ bhājanatvaṃ satāṃ matam // Abhs_4.7 //	udgraha-DAraNa-AdInAm BAjana-tvam satAm matam // ABH-_4.7 //
   rūpādiṣvanavasthānātteṣu yoganiṣedhataḥ /	rUpa-Adizu-anavasTAnAt-tezu yoga-nizeDataH /
   tattathatāgambhīratvātteṣāṃ duravagāhataḥ // Abhs_4.8 //	tat-taTatA-gamBIra-tvAt-tezAm duravaga-AhataH // ABH-_4.8 //
   tadaprāmāṇyataḥ kṛcChāccireṇa pratibodhataḥ /	tat-aprAmANyataH kRcChAt-cireNa pratiboDataH /
   vyākṛtāvavivartyatve niryāṇe sanirantare // Abhs_4.9 //	vyAkRtO=-avivartya-tve niryANe sa-nirantare // ABH-_4.9 //
   āsannabodhe kṣipraṃ ca parārthe 'vṛddhyahānitaḥ /	Asanna-boDe kzipram ca para-arTe avRdDi-ahAnitaH /
   dharmādharmādyadṛṣṭau ca rupācintyādyadarśane // Abhs_4.10 //	Darma-aDarma-Adi-adRzwO ca rupAcintya-Adya-darSane // ABH-_4.10 //
   rūpādestannimittasya tadbhāvasyāvikalpakaḥ /	rUpa-AdeH-tad-nimittasya tad-BAvasya-avikalpakaH /
   phalaratnapradātā ca śuddhakaḥ sāvadhiśca saḥ // Abhs_4.11 //	Pala-ratna-pradAtA ca SudDakaH sa-avaDiH-ca saH // ABH-_4.11 //
   mārāṇāṃ śaktihānyādiścaturdaśavidho guṇaḥ /	mArANAm SaktihAni-AdiH-caturdaSaviDaH guNaH /
   doṣāśca ṣaḍviboddhavyāścaturbhirdaśakaiḥ saha // Abhs_4.12 //	dozAH-ca zaz-vibodDavyAH-caturBiH-daSakEH saha // ABH-_4.12 //
   lakṣyate yena tajjñeyaṃ lakṣaṇaṃ trividhaṃ ca tat /	lakzyate yena tat-jQeyam lakzaNam triviDam ca tat /
   jñānaṃ viśeṣaḥ kāritraṃ svabhāvo yaśca lakṣyate // Abhs_4.13 //	jQAnam viSezaH kAritram svaBAvaH yaH-ca lakzyate // ABH-_4.13 //
   tathāgatasya nirvṛttau loke cālujyanātmake /	taTAgatasya nirvRttO loke ca-Alu-jyana-Atmake /
   sattvānāṃ cittacaryāsu tatsaṃkṣepe bahirgatau // Abhs_4.14 //	sattvAnAm citta-caryAsu tad-saMkzepe bahis-gatO // ABH-_4.14 //
   akṣayākāratāyāṃ ca sarāgādau pravistṛte /	akzaya-AkAra-tAyAm ca sa-rAga-AdO pravistRte /
   mahadgate 'pramāṇe ca vijñāne cānidarśane // Abhs_4.15 //	mahat-gate apramANe ca vijQAne ca-anidarSane // ABH-_4.15 //
   adṛśyacitajñāne ca tadunmiñjādisaṃjñakam /	adRSya-cita-jQAne ca tat-unmiQja-Adi-saMjQakam /
   punastathatākāreṇa teṣāṃ jñānamataḥ param // Abhs_4.16 //	punar-taTatA-AkAreNa tezAm jQAnam-atas param // ABH-_4.16 //
   tathatāyāṃ munerbodhe tatparākhyānamityayam /	taTatAyAm muneH-boDe tad-para-AKyAnam-iti-ayam /
   sarvajñatādhikāreṇa jñānalakṣaṇasaṃgrahaḥ // Abhs_4.17 //	sarvajQa-tA-aDikAreNa jQAna-lakzaNa-saMgrahaH // ABH-_4.17 //
   śūnyatve sānimitte c praṇidhānavivarjite /	SUnya-tve sa-animitte c praNiDAna-vivarjite /
   anutpādanirodhādau dharmatāyā akopane // Abhs_4.18 //	anutpAda-niroDa-AdO DarmatAyAH akopane // ABH-_4.18 //
   asaṃskare 'vikalpe ca prabhedālakṣaṇatvayoḥ /	asaMskare avikalpe ca praBeda-alakzaNa-tvayoH /
   mārgajñatādhikāreṇa jñānalakṣaṇamiṣyate // Abhs_4.19 //	mArga-jQa-tA-aDikAreNa jQAna-lakzaNam-izyate // ABH-_4.19 //
   svadharmamupaniśritya vihāre tasya satkṛtau /	svaDarmam-upaniSritya vihAre tasya satkRtO /
   gurūtve mānanāyāṃ ca tatpūjākṛtakatvayoḥ // Abhs_4.20 //	gurU-tve mAnanAyAm ca tad-pUjA-kRtaka-tvayoH // ABH-_4.20 //
   sarvatra vṛttimajjñānamadṛṣṭasya ca darśakam /	sarvatra vRttimat-jQAnam-adRzwasya ca darSakam /
   lokasya śūnyatākārasūcakajñāpakākṣagam // Abhs_4.21 //	lokasya SUnyatA-AkAra-sUcaka-jQApaka-akza-gam // ABH-_4.21 //
   acintyaśāntatādarśi lokasaṃjñānirodhi ca /	acintya-SAnta-tA-darSi loka-saMjQA-niroDi ca /
   jñānalakṣaṇamityuktaṃ sarvākārajñatānaye // Abhs_4.22 //	jQAna-lakzaNam-iti-uktam sarva-AkAra-jQa-tA-naye // ABH-_4.22 //
   acityādiviśeṣeṇa viśiṣṭaiḥ satyagocaraiḥ /	acityAdi-viSezeNa viSizwEH satya-gocarEH /
   viśeṣalakṣaṇaṃ ṣaḍbhirdaśabhiścoditaṃ kṣaṇaiḥ // Abhs_4.23 //	viSeza-lakzaNam zaxBiH-daSaBiH-ca-uditam kzaNEH // ABH-_4.23 //
   acintyātulyate meyasaṃkhyeyāsamatikramau /	acintya-atulyate meya-saMKyeyAsamatikramO /
   sarvāryasaṃgraho vijñavedyāsādhāraṇajñate // Abhs_4.24 //	sarva-Arya-saMgrahaH vijQa-vedyAsa-ADAraNa-jQate // ABH-_4.24 //
   kṣiprajñānyunapūrṇatve pratipatsamudāgamau /	kzipra-jQAnyuna-pUrNa-tve pratipad-samudAgamO /
   ālambanaṃ ca sādhāraṃ sākalyaṃ saṃparigrahaḥ // Abhs_4.25 //	Alambanam ca sa-ADAram sAkalyam saMparigrahaH // ABH-_4.25 //
   anāsvādaśca vijñeyo viśeṣaḥ ṣoḍaśātmakaḥ /	anAsvAdaH-ca vijQeyaH viSezaH zoxaSa-AtmakaH /
   viśeṣamārgā mārgebhyo yenānyebhyo viśiṣyate // Abhs_4.26 //	viSeza-mArgAH mArgeByaH yena-anyeByaH viSizyate // ABH-_4.26 //
   hitaṃ sukhaṃ ca trāṇaṃ ca śaraṇaṃ layanaṃ nṛṇām /	hitam suKam ca trANam ca SaraNam layanam nRNAm /
   parāyaṇaṃ ca dvīpaṃ ca pariṇāyakasaṃjñakam // Abhs_4.27 //	parAyaNam ca dvIpam ca pariNAyaka-saMjQakam // ABH-_4.27 //
   anābhogaṃ tribhiryānaiḥ phalāsākṣātkriyātmakam /	anABogam triBiH-yAnEH Pala-asAkzAt-kriyA-Atmakam /
   paścimaṃ gatikāritramidaṃ kāritralakṣaṇam // Abhs_4.28 //	paScimam gati-kAritram-idam kAritra-lakzaNam // ABH-_4.28 //
   kleśaliṅganimittānāṃ vipakṣapratipakṣayoḥ /	kleSa-liFga-nimittAnAm vipakza-pratipakzayoH /
   viveko duṣkaraikāntāvuddeśo 'nupalambhakaḥ // Abhs_4.29 //	vivekaH duzkara-ekAntO=-uddeSaH anupalamBakaH // ABH-_4.29 //
   niṣiddhābhiniveśaśca yaścālambanasaṃjñakaḥ /	nizidDa-aBiniveSaH-ca yaH-ca-Alambana-saMjQakaH /
   vipratyayo 'vighātī ca so 'padāgatyajātikaḥ // Abhs_4.30 //	vipratyayaH aviGAtI ca saH apadAgatyajAtikaH // ABH-_4.30 //
   tathatānupalambhaśca svabhāvaḥ ṣoḍaśātmakaḥ /	taTatA-anupalamBaH-ca svaBAvaH zoxaSa-AtmakaH /
   lakṣmeva lakṣyate ceticaturthaṃ lakṣaṇaṃ matam // Abhs_4.31 //	lakzmA-iva lakzyate ceti-caturTam lakzaNam matam // ABH-_4.31 //
   animittapradānādisamudāgamakauśalam /	animitta-pradAna-Adi-samudAgama-kOSalam /
   sarvākārāvabodhe 'smin mokṣabhagīyamiṣyate // Abhs_4.32 //	sarva-AkAra-avaboDe asmin mokza-BagIyam-izyate // ABH-_4.32 //
   buddhādyālambanā śraddhā vīryaṃ dānādigocaram /	budDa-Adi-AlambanA SradDA vIryam dAna-Adi-gocaram /
   smṛtirāśayasaṃpattiḥ samādhiravikalpanā // Abhs_4.33 //	smRtiH-ASaya-saMpattiH samADiH-avikalpanA // ABH-_4.33 //
   dharmeṣu sarvairākārairjñānaṃ prajñeti pañcadhā /	Darmezu sarvEH-AkArEH-jQAnam prajQA-iti paQcaDA /
   tīkṣṇai subodhā saṃbodhirdurbodhā mṛdubhirmatā // Abhs_4.34 //	tIkzNE su-boDA saMboDiH-durboDAH mRduBiH-matA // ABH-_4.34 //
   ālambanaṃ sarvasattvā ūṣmaṇāmiha śakyate /	Alambanam sarva-sattvAH UzmaNAm-iha Sakyate /
   samacittādirākārasteṣveva daśadhoditaḥ // Abhs_4.35 //	sama-citta-AdiH-AkAraH-tezu-eva daSaDA-uditaH // ABH-_4.35 //
   svayaṃ pāpānnivṛttasya dānādyeṣu sthitasya ca /	svayam pApAt-nivRttasya dAna-Adyezu sTitasya ca /
   tayorniyojanānyeṣāṃ varṇavādānukulate // Abhs_4.36 //	tayoH-niyojanAni-ezAm varNavAda-anukulate // ABH-_4.36 //
   mūrdhagam svaparādhāraṃ satyajñānaṃ tathā kṣamā /	mUrDa-gam sva-para-ADAram satya-jQAnam taTA kzamA /
   tathāgradharmā vijñeyāḥ sattvānāṃ pācanādibhiḥ // Abhs_4.37 //	taTA-agra-DarmAH vijQeyAH sattvAnAm pAcana-AdiBiH // ABH-_4.37 //
   nirvedhaṅgānyupādaya darśanābhyāsamārgayoḥ /	nirveDaFgAni-upAdaya darSana-aByAsa-mArgayoH /
   ye bodhisattvā vartante so 'trāvaivartiko gaṇaḥ // Abhs_4.38 //	ye boDisattvAH vartante saH atra-avEvartikaH gaNaH // ABH-_4.38 //
   rūpādibhyo nivṛttyādyairliṅgairviṃśatidheritaiḥ /	rUpa-AdiByaH nivRtti-AdyEH-liFgEH-viMSati-DA-IritEH /
   nirvedhāṅgasthitasyedamavaivartikalakṣaṇam // Abhs_4.39 //	nirveDa-aFga-sTitasya-Idam-avEvartika-lakzaNam // ABH-_4.39 //
   rūpādibhyo nivṛttiśca vicikitsākṣaṇakṣayau /	rUpa-AdiByaH nivRttiH-ca vicikitsA-akzaNa-kzayO /
   ātmanaḥ kuśalasthasya pareṣāṃ tanniyojanam // Abhs_4.40 //	AtmanaH kuSala-sTasya parezAm tad-niyojanam // ABH-_4.40 //
   parādhāraṃ ca dānādi gambhire 'rthe 'pyakāṅkṣaṇam /	para-ADAram ca dAna-Adi gamBire arTe api-akAFkzaNam /
   maitraṃ kāyādyasaṃvāsaḥ pañcadhāvaraṇena ca // Abhs_4.41 //	mEtram kAya-Adya-saMvAsaH paQcaDA-AvaraNena ca // ABH-_4.41 //
   sarvānuśayahānaṃ ca smṛtisaṃprajñatā suci /	sarva-anuSaya-hAnam ca smRti-saMprajQa-tA su-ci /
   civarādiśarīre ca kṛmīṇāmasamudbhavaḥ // Abhs_4.42 //	civara-Adi-SarIre ca kRmINAm-asamudBavaH // ABH-_4.42 //
   cittākauṭilyamādānaṃ dhūtasyāmatsarāditā /	cittA-kOwilyam-AdAnam DUtasya-amatsara-AditAH /
   dharmatāyuktagāmitvaṃ lokārthaṃ narakaiṣaṇā // Abhs_4.43 //	DarmatA-yukta-gAmi-tvam loka-arTam naraka-ezaNA // ABH-_4.43 //
   parairaneyatā mārasyānyamārgopadeśinaḥ /	parEH-aneya-tA mArasya-anya-mArga-upadeSinaH /
   māra ityavabodhaśca caryā buddhānumoditā // Abhs_4.44 //	mAraH iti-avaboDaH-ca caryA budDa-anumoditAH // ABH-_4.44 //
   ūṣmamūrdhasu sa kṣāntiṣvagradharmeṣvavasthitaḥ /	Uzma-mUrDasu sa kzAntizu-agra-Darmezu-avasTitaH /
   liṅgairamībhirviśatyā saṃbodherna vivartate // Abhs_4.45 //	liFgEH-amIBiH-viSatyA saMboDeH-na vivartate // ABH-_4.45 //
   kṣāntijñānakṣaṇaḥ ṣaṭ ca pañca pañca ca dṛkpathe /	kzAnti-jQAna-kzaNaH zaw ca paQca paQca ca dRkpaTe /
   bodhisattvasya vijñeyamavaivartikalakṣaṇam // Abhs_4.46 //	boDisattvasya vijQeyam-avEvartika-lakzaNam // ABH-_4.46 //
   rūpādisaṃjñāvyāvṛttirdārḍhyaṃ cittasya hinayoḥ /	rUpa-Adi-saMjQA-vyAvRttiH-dArXyam cittasya hinayoH /
   yānayorvinivṛttiśca dhyānādyaṅgaparikṣayaḥ // Abhs_4.47 //	yAnayoH-vinivRttiH-ca DyAna-Adi-aFga-parikzayaH // ABH-_4.47 //
   kāyacetolaghutvaṃ ca kāmasevābhyupāyikī /	kAya-cetaH-laGu-tvam ca kAma-sevA-aByupAyikI /
   sadaiva brahmacāritvamājīvasya viśuddhatā // Abhs_4.48 //	sadA-eva brahmacAri-tvam-AjIvasya viSudDa-tA // ABH-_4.48 //
   skandhādavantarāyeṣu saṃbhāre sendriyādike /	skanDAdavantarAyezu saMBAre sa-indriya-Adike /
   samare matsarādau ca neti yogānuyogayoḥ // Abhs_4.49 //	samare matsara-AdO ca na-iti yoga-anuyogayoH // ABH-_4.49 //
   vihārapratiṣedhaśca dharmasyāṇoralabdhatā /	vihAra-pratizeDaH-ca Darmasya-aNoH-a-labDa-tA /
   niścitatvaṃ svabhumau ca bhūmitritayasaṃsthitiḥ // Abhs_4.50 //	niScita-tvam sva-BumO ca BUmi-tritaya-saMsTitiH // ABH-_4.50 //
   dharmārthaṃ jīvitatyāga ityamī ṣoḍaśa kṣaṇāḥ /	Darma-arTam jIvita-tyAgaH iti-amI zoxaSa kzaNAH /
   avaivartikaliṅgāni dṛṅmārgasthasya dhīmataḥ // Abhs_4.51 //	avEvartika-liFgAni dRS-mArga-sTasya DImataH // ABH-_4.51 //
   gambhiro bhāvanāmārgo gāmbhīryaṃ śunyatādikam /	gamBiraH BAvanA-mArgaH gAmBIryam Sunyata-Adikam /
   samāropāpavādāntamuktatā sā gabhīratā // Abhs_4.52 //	samAropa-apavAda-antamukta-tA sA gaBIra-tA // ABH-_4.52 //
   cintātulananidhyānānyabhīkṣṇaṃ bhāvanāpathaḥ /	cintA-tulana-niDyAnAni-aBIkzNam BAvanApaTaH /
   nirvedhāṅgeṣu dṛṅmārge bhāvanāmārga eva ca // Abhs_4.53 //	nirveDa-aFgezu dRS-mArge BAvanA-mArgaH eva ca // ABH-_4.53 //
   prābandhakatvādiṣṭo 'sau navadhā ca prakārataḥ /	prAbanDaka-tva-AdizwaH asO navaDA ca prakArataH /
   mṛdumadhyādhimātrāṇāṃ punarmṛdvādibhedataḥ // Abhs_4.54 //	mRdu-maDya-aDimAtrANAm punar-mRdu-Adi-BedataH // ABH-_4.54 //
   asaṃkhyeyādinirdeśāḥ paramārthena na kṣamāḥ /	asaMKyeya-Adi-nirdeSAH parama-arTena na kzamAH /
   kṛpāniṣyandabhūtāste saṃvṛtyābhimatā muneḥ // Abhs_4.55 //	kRpA-nizyanda-BUtAH-te saMvRtya-aBimatAH muneH // ABH-_4.55 //
   hānivṛddhī na yujyete nirālāpasya vastunaḥ /	hAni-vRdDI na yujyete nirAlApasya vastunaH /
