   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   tatrādau śrī-guru-smaraṇaṃ yathā sanat-kumāra-saṃhitāyām--	tatra-AdO SrI--guru-smaraNam yaTA sanat-kumAra--saMhitAyAm--
   śaśāṅkāyuta-saṃkāśaṃ varābhaya-lasat-karaṃ /	SaSAFka-ayuta--saMkASam vara-aBaya-lasat-karam /
   śuklāmbara-dharaṃ divya-śukla-mālyānulepanam // GGS_45 //	Sukla-ambara--Daram divya--Sukla--mAlya-anulepanam // GGS_45 //
   prasanna-vadanaṃ śāntaṃ bhajanānanda-nirvṛtam /	prasanna--vadanam SAntam Bajana-Ananda--nirvRtam /
   divya-rūpa-dharaṃ dhyāyed varadaṃ kamalekṣaṇam // GGS_46 //	divya--rUpa--Daram DyAyet vara-dam kamala-IkzaNam // GGS_46 //
   rūpa-pūrva-guru-gaṇān-ugataṃ sevanotsukam /	rUpa--pUrva--guru--gaNAn--ugatam sevana-utsukam /
   evaṃ rūpaṃ guruṃ dhyāyen manasā sādhakaḥ śuciḥ // GGS_47 //	evam rUpam gurum DyAyet manasA sADakaH SuciH // GGS_47 //
   tat-samīpe sevotsukam ātmānaṃ bhāvayed yathā--	tat--samIpe sevA-utsukam AtmAnam BAvayet yaTA--
   divya-śrī-hari-mandirāḍhya-tilakaṃ kaṇṭhaṃ sumālānvitaṃ	divya--SrI--hari--mandira-AXya-tilakam kaNWam su-mAlA-anvitam
   vakṣaḥ śrī-hari-nāma-varṇa-subhagaṃ śrīkhaṇḍa-liptaṃ punaḥ /	vakzaH SrI--hari-nAma-varNa--suBagam SrIKaNxa-liptam punar /
   śuddhaṃ śubhra-navāmbaraṃ vimalatāṃ nityaṃ vahantīṃ tanuṃ	SudDam SuBra-nava-ambaram vimala-tAm nityam vahantIm tanum
   dhyāyec-chrī-guru-pāda-padma-nikaṭe sevotsukāṃ cātmanaḥ // GGS_48 //	DyAyec-SrI--guru--pAda--padma--nikawe sevA-utsukAm ca-AtmanaH // GGS_48 //
   śrīman-mauktika-dāma-baddha-cikuraṃ susmera-candrānanaṃ	SrI-man-mOktika--dAma---badDa-cikuram su-smera--candra-Ananam
   śrīkhaṇḍāguru-cāru-citra-vasanaṃ srag-divya-bhūṣāñcitam /	SrIKaNxa-aguru--cAru--citra--vasanam sraj--divya-BUzA-AQcitam /
   nṛtyāveśa-rasānumoda-madhuraṃ kandarpa-veśojjvalaṃ	nRtya-AveSa--rasa-anumoda--maDuram kandarpa-veSa-ujjvalam
   caitanyaṃ kanaka-dyutiṃ nija-janaiḥ saṃsevymānaṃ bhaje // GGS_49 //	cEtanyam kanaka-dyutim nija-janEH saMsevymAnam Baje // GGS_49 //
   kañjārendra-vinindi-sundara-gatiṃ śrī-pādam indīvara*	kaQjAra-indra-vinindi-sundara--gatim SrI--pAdam indIvara*
   śreṇī-śyāma-sad-ambaraṃ tanu-rucā sāndhyendu-saṃmardakam /	SreNI--SyAma--sat--ambaram tanu--rucA sAnDya-indu--saMmardakam /
   premodghūrṇa-sukañja-khañjana-madā-jin-netra-hāsyānanaṃ	prema-udGUrNa--su-kaQja--KaQjana--madA-jin-netra-hAsya-Ananam
   nityānandam ahaṃ smarāmi satataṃ bhūṣojjvalāṅga-śriyam // GGS_50 //	nitya-Anandam aham smarAmi satatam BUzA-ujjvala-aFga--Sriyam // GGS_50 //
   sad-bhaktāli-niṣevitāṅghri-kamalaṃ kundendu-śuklāmbaraṃ	sad-Bakta-ali-nizevita-aFGri-kamalam kunda-indu---Sukla-ambaram
   śuddha-svarṇa-ruciṃ subāhu-yugalaṃ smerānanaṃ sundaram /	SudDa-svarNa-rucim su-bAhu--yugalam smera-Ananam sundaram /
   śrī-caitanya-dṛśaṃ varābhaya-karaṃ premāṅga-bhūṣāñcita*	SrI--cEtanya-dRSam vara-aBaya-karam prema-aFga-BUzA-AQcita*
   madvaitaṃ satataṃ smarāmi paramānandaika-kandaṃ prabhum // GGS_51 //	madvEtam satatam smarAmi parama-Ananda-eka-kandam praBum // GGS_51 //
   kāruṇyaika-maranda-padma-caraṇaṃ caitanya-candra-dyutiṃ	kAruNya-eka-maranda--padma--caraNam cEtanya--candra-dyutim
   tāmbūlārpaṇa-bhaṅgi-dakṣiṇa-karaṃ śvetāmbaraṃ sad-varam /	tAmbUla-arpaNa--BaFgi--dakziNa-karam Sveta-ambaram sat--varam /
   premānanda-tanuṃ sudhā-smita-mukhaṃ śrī-gaura-candrekṣaṇaṃ	prema-Ananda--tanum suDA-smita-muKam SrI--gOra-candra-IkzaNam
   dhyāyec chrīla-gadādharaṃ dvija-varaṃ mādhurya-bhūṣojjvalam // GGS_52 //	DyAyet SrI-la-gadA-Daram dvija-varam mADurya--BUzA-ujjvalam // GGS_52 //
   śri-caitanya-padāravinda-madhu-pāḥ sat-prema-bhūṣojjvalāḥ	Sri-cEtanya--pada-aravinda--maDu-pAH sat--prema-BUzA-ujjvalAH
   śuddha-svarṇa-ruco dṛg-ambu-pulaka-svedaiḥ sad-aṅga-śriyaḥ /	SudDa-svarNa-rucaH dRS--ambu--pulaka--svedEH sat--aFga--SriyaH /
   sevopāyana-pāṇayaḥ smita-mukhāḥ śuklāmbarāḥ sad-varāḥ	sevA-upAyana--pANayaH smita-muKAH Sukla-ambarAH sad-varAH
   śrīvāsādi-mahāśayān sukha-mayān dhyāyema tān pārṣadān // GGS_53 //	SrI-vAsa-Adi--mahA-ASayAn suKa-mayAn DyAyema tAn pArzadAn // GGS_53 //
   iti smaraṇānantaraṃ śrī-guror ājñayā śrīman-mahāprabhuṃ ṣoḍaśopacārādibhiḥ	iti smaraNa-anantaram SrI--guroH AjQayA SrI-man-mahA-praBum zoxaSa-upacAra-AdiBiH
   tan-mūla-mantreṇaiva pūjayet /	tan--mUla-mantreNa-eva pUjayet /
   śrīman-mahāprabhu-mantroddhāro yathā ūrddhvāmnāye śrī-vyāsaṃ prati	SrI-man--mahA-praBu-mantra-udDAraH yaTA UrdDvA-AmnAye SrI--vyAsam prati
   śrī-nārada-vākyam (3.14-16)	SrI-nArada--vAkyam (3.14-16)
   aho gūḍhatamaḥ praśno bhavatā parikīrtitaḥ /	aho gUXatamaH praSnaH BavatA parikIrtitaH /
   mantraṃ vakṣyāmi te brahman mahā-puṇya-pradaṃ śubham // GGS_54 //	mantram vakzyAmi te brahman mahA--puNya--pradam SuBam // GGS_54 //
   klīṃ gaurāya nama iti sarva-lokeṣu pūjitaḥ /	klIm gOrAya namaH iti sarva-lokezu pUjitaH /
   māyā-ramānaṅga-bījaiḥ vāg-bījena ca pūjitaḥ /	mAyA--rama-anaFga-bIjEH vAc--bIjena ca pUjitaH /
   ṣaḍakṣaraḥ kīrtito 'yaṃ mantra-rājaḥ sura-drumaḥ // GGS_55 //	zaz-akzaraH kIrtitaH ayam mantra-rAjaH sura-drumaH // GGS_55 //
   mantro yathā--kliṃ gaurāya namaḥ; hrīṃ, śrīṃ, klīṃ, aiṃ gaurāya namaḥ /	mantraH yaTA--klim gOrAya namaH; hrIM, SrIM, klIM, Em gOrAya namaH /
   etat pādyam, etad arghyam, etad ācamanīyam, eṣa gandhaḥ, etat puṣpam, eṣa	etat pAdyam, etat arGyam, etat AcamanIyam, eza ganDaH, etat puzpam, eza
   dhūpaḥ, eṣa dīpaḥ, etan naivedyam, etat pānīya-jalam, idam ācamanīyam,	DUpaH, eza dIpaH, etat nEvedyam, etat pAnIya--jalam, idam AcamanIyam,
   etat tāmbūlam, etad gandha-mālyam, eṣa puṣpāñjalir ityādi /	etat tAmbUlam, etat ganDa--mAlyam, eza puzpa-aQjaliH ityAdi /
   evaṃ śrī-nityānanda-prabhuṃ pūjayet, śrīman-nityānanda-prabhor	evam SrI-nitya-Ananda--praBum pUjayet, SrIman-nitya-Ananda--praBoH-
   mantroddhāro yathā (brahmāṇḍa-purāṇe dharaṇī-śeṣa-samvāde)--	mantra-udDAraH yaTA (brahmANxa-purANe DaraNI--Seza--samvAde)--
   iti nāmāṣṭa-śatakaṃ mantraṃ niveditaṃ śṛṇu /	iti nAma-azwa-Satakam mantram niveditam SRNu /
   mayā tvayi purā proktaṃ kāma-bījeti saṃjñakam // GGS_56 //	mayA tvayi purA proktam kAma-bIja-iti saMjQakam // GGS_56 //
   vahni-bījena pūtānte cādau deva namas tathā /	vahni-bIjena pUta-ante ca-AdO deva namaH taTA /
   jāhnavī-padaṃ tatraiva vallabhāya tataḥ param /	jAhnavI--padam tatra-eva vallaBAya tatas param /
   iti mantro dvādaśārṇaḥ sarvatraiva manoharaḥ // GGS_57 //	iti mantraH dvAdaSa-arNaH sarvatra-eva manoharaH // GGS_57 //
   mantro yathā--kliṃ deva-jāhnavī-vallabhāya svāhā /	mantraH yaTA--klim deva-jAhnavI--vallaBAya svAhA /
   iti mantreṇaiva pūjayet /	iti mantreNa-eva pUjayet /
   evaṃ śrī-advaita-prabhuṃ pūjayet /	evam SrI-a-dvEta--praBum pUjayet /
   atha śrī-advaita-prabhor mantroddhāro yathā pādme--	aTa SrI-a-dvEta--praBoH mantra-udDAraH yaTA pAdme--
   aho gūḍhatamaḥ praśno nārada muni-sattama /	aho gUXatamaH praSnaH nArada muni--sattamaH /
   na prakāśyas tvayā hy etad guhyād guhyataraṃ mahat // GGS_58 //	na prakASyaH tvayA hi etat guhyAt guhyataram mahat // GGS_58 //
   kāma-bīja-samāyuktā advaita-vahni-nāyikā /	kAma-bIja--samAyuktA advEta-vahni-nAyikA /
   ṅe 'ntā vai ṛṣi-varṇo 'yaṃ mantraḥ sarvātidurlabhaḥ // GGS_59 //	Fe antAH vE Rzi-varNaH ayam mantraH sarva-ati-durlaBaH // GGS_59 //
   mantro yathā--klīṃ advaitāya svāhā /	mantraH yaTA--klIm advEtAya svAhA /
   tad-anantaraṃ śrīman-mahāprabhoḥ śeṣa-nirmālyena śrī-gadādhara-paṇḍitaṃ	tad--anantaram SrI-man--mahA-praBoH Seza--nirmAlyena SrI--gadADara--paNxitam
   pūjayet tan-mantreṇaiva, śrī-gadādhara-paṇḍita-mantro yathā--śrīṃ	pUjayet tan--mantreNa-eva, SrI--gadADara--paNxita-mantraH yaTA--SrIm
   gadādharāya svāhā /	gadADarAya svAhA /
   atha tathaiva śrī-śrīvāsādi-bhaktān guru-vargādīn	aTa taTA-eva SrI--SrI-vAsa-Adi--BaktAn guru-varga-AdIn
   mahāprabhu-nirmālya-prasādena pūjayet, sva-sva-nāma-caturthyantena	mahA-praBu--nirmAlya--prasAdena pUjayet, sva--sva-nAma--caturTI-antena
   śrī-guru-devaṃ tu tan-mūla-mantreṇaiva pūjayet /	SrI---guru--devam tu tan--mUla-mantreNa-eva pUjayet /
   śrī-guru-mantroddharo yathā bṛhad-brahmāṇḍa-purāṇe sūta-śaunaka-samvāde--	SrI--guru-mantra-udDaraH yaTA bRhad-brahmANxa-purANe sUta-SOnaka--samvAde--
   śrīṃ gum ity eva bhagavad-gurave vahni-vallabhā /	SrIm gum iti eva Bagavat--gurave vahni-vallaBA /
   daśārṇa-mantra-rājaś ca sarva-kāryeṣu rakṣitā // GGS_60 //	daSArNa-mantra-rAjaH ca sarva-kAryezu rakzitAH // GGS_60 //
   mantro yathā--śrīṃ guṃ bhagavad-gurave svāhā /	mantraH yaTA--SrIm gum Bagavat--gurave svAhA /
   tato 'vaśeṣa-nirmālyādikaṃ gṛhṇīyāt; sthānāntare ca saṃsthāpya	tatas avaSeza--nirmAlya-Adikam gRhNIyAt; sTAna-antare ca saMsTApya
   prabhupāda-padme puṣpāñjaliṃ dattvā ārātrikaṃ kuryāt /	praBu-pAda--padme puzpa-aQjalim dattvA ArAtrikam kuryAt /
   tad-antaraṃ cāmara-vyajanādikaṃ kṛtvā śrī-guru-pārśve tiṣṭhan	tad--antaram cAmara--vyajana-Adikam kRtvA SrI--guru--pArSve tizWan
   dhyānānukrameṇa nirīkṣaṇaṃ kṛtvā tato bahiḥ-pūjayet /	DyAna-anukrameNa nirIkzaNam kRtvA tatas bahis--pUjayet /
   bahiḥ-pūjāṃ kṛtvānantaraṃ sva-sva-gāyatrī-mantrān japet kramāt--	bahis--pUjAm kRtvA-anantaram sva--sva-gAyatrI--mantrAn japet kramAt--
   tatrādau śrī-guru-gāyatrī yathā pādme--śrīṃ gurudevāya vidmahe	tatra-AdO SrI--guru--gAyatrI yaTA pAdme--SrIm guru-devAya vidmahe
   gaura-priyāya dhīmahi tan no guruḥ pracodayāt /	gOra-priyAya DImahi tat naH guruH pracodayAt /
   prathamaṃ mantra-guroḥ pūjā paścāc caiva mamārcanam /	praTamam mantra-guroH pUjA paScAt ca-eva mama-arcanam /
   kurvan siddhim avāpnoti hy anyathā niṣphalaṃ bhavet // GGS_61 //	kurvan sidDim avApnoti hi anyaTA nizPalam Bavet // GGS_61 //
   dhyānādau śrī-guror mūrtiṃ pūjādau ca guroḥ pūjām /	DyAna-AdO SrI--guroH mUrtim pUjA-AdO ca guroH pUjAm /
   japādau ca guror mantraṃ hy anyathā niṣphalaṃ bhavet // GGS_62 //	japa-AdO ca guroH mantram hi anyaTA nizPalam Bavet // GGS_62 //
   tato japa-lakṣaṇaṃ yathā (śrī-hari-bhakti-vilāsaḥ 17.143, 129)--	tatas japa--lakzaNam yaTA (SrI--hari--Bakti-vilAsaH 17.143, 129)--
   na kampayec chiro grīvāṃ dantān naiva prakāśayet /	na kampayet SiraH grIvAm dantAn na-eva prakASayet /
   manaḥ-saṃharaṇaṃ śaucaṃ maunaṃ mantrārtha-cintanam // GGS_63 //	manaH--saMharaNam SOcam mOnam mantra-arTa--cintanam // GGS_63 //
   mano-madhye sthito mantro mantra-madhye sthitaṃ manaḥ /	mano--maDye sTitaH mantraH mantra--maDye sTitam manaH /
   mano-mantraṃ samāyuktam etad dhi japa-lakṣaṇam // GGS_64 //	mano-mantram samAyuktam etat Di japa--lakzaNam // GGS_64 //
   atha japāṅgulyādi-niyamaḥ (śrī-hari-bhakti-vilāsaḥ 17.116-120)--	aTa japa-aFgulI-Adi--niyamaH (SrI--hari--Bakti-vilAsaH 17.116-120)--
   tatrāṅguli-japaṃ kurvan sāṅguṣṭhāṅgulibhir japet /	tatra-aFguli-japam kurvan sa-aFguzWa-aFguliBiH japet /
   aṅguṣṭhena vinā karma kṛtas tad aphalaṃ bhavet // GGS_65 //	aFguzWena vinA karma kRtaH tat aPalam Bavet // GGS_65 //
   kaniṣṭhānāmikā madhyā caturthī tarjanī matā /	kanizWA-anAmikA maDyA caturTI tarjanI matA /
   tisro 'ṅgulyas tri-parvā syur madhyamā caika-parvikā // GGS_66 //	tisraH aFgulyaH tri-parvA syuH maDyamA ca-eka-parvikA // GGS_66 //
   parva-dvayaṃ madhyamāyā japa-kāle vivarjayet /	parva--dvayam maDyamAyAH japa--kAle vivarjayet /
   evaṃ meruṃ vijānīyād brahmaṇā dūṣitaṃ svayam // GGS_67 //	evam merum vijAnIyAt brahmaNA dUzitam svayam // GGS_67 //
   ārabhyānāmikā-madhyāt pradakṣiṇam anukramāt /	AraBya-anAmikA--maDyAt pradakziNam anukramAt /
   tarjanī-mūla-paryantaṃ kramād daśasu parvasu // GGS_68 //	tarjanI--mUla--paryantam kramAt daSasu parvasu // GGS_68 //
   aṅgulir na viyuñjīta kiñcit saṅkocayet talam /	aFguliH na viyuQjIta kiQcid saFkocayet talam /
   aṅgulīnāṃ viyoge tu chidreṣu sravate japaḥ // GGS_69 //	aFgulInAm viyoge tu Cidrezu sravate japaH // GGS_69 //
   madhyamā caika-parvikā ity ukteḥ kecit madhyamā-madhya-parva gṛhṇanti tan	maDyamA ca-eka-parvikAH iti ukteH kecid maDyamA--maDya-parva gRhNanti tat-
   na /	na /
   atha japa-kramo yathā--	aTa japa-kramaH yaTA--
   prathamaṃ gurudevasya mantra-gāyatrīṃ saṃsmaret /	praTamam guru-devasya mantra-gAyatrIm saMsmaret /
   tataḥ śrī-gauracandrasya gāyatry uccāraṇaṃ tathā // GGS_70 //	tatas SrI--gOra-candrasya gAyatrI uccAraNam taTA // GGS_70 //
   śrīlāvadhūtendrādvaita-mantra-gāyatrīṃ saṃsmaret /	SrIla-avaDUta-indra-advEta--mantra-gAyatrIm saMsmaret /
   tataḥ śrī-gadādharasya śrīvāsa-paṇḍitasya ca // GGS_71 //	tatas SrI---gadADarasya SrI-vAsa--paNxitasya ca // GGS_71 //
   śrī-gurudevasya mantro yathā--śrīṃ guṃ bhagavad-gurave svāhā /	SrI---guru-devasya mantraH yaTA--SrIm gum Bagavat--gurave svAhA /
   atha gāyatrī--śrīṃ gurudevāya vidmahe, gaura-priyāya dhīmahi, tan no guruḥ	aTa gAyatrI--SrIm guru-devAya vidmahe, gOra-priyAya DImahi, tat naH guruH
   pracodayāt /	pracodayAt /
   iti śrī-guru-gāyatrī-smaraṇānantaraṃ guru-vargān smaret; smaraṇa-kramo	iti SrI--guru-gAya-trI--smaraNa-anantaram guru-vargAn smaret; smaraNa-kramaH-
   yathā--	yaTA--
   śrī-guru-parama-gurur ityādi-krameṇa sva-sva-praṇāly-anusāreṇa	SrI--guru--parama--guruH ityAdi--krameNa sva--sva--praNAlI--anusAreNa
   sva-sva-parivāreśvara-parama-parameṣṭhi-guru-paryantaṃ dhyānaṃ kṛtvā	sva--sva--parivAra-ISvara--parama-paramezWi--guru--paryantam DyAnam kRtvA
   svīya-svīya-nāmāni caturthyantaṃ kṛtvā japānantaraṃ	svIya--svIya--nAmAni caturTI-antam kRtvA japa-anantaram
   śrī-śrī-caitanya-mahāprabhor mantraṃ gāyatrīṃ ca smaret /	SrI--SrI-cEtanya--mahA-praBoH mantram gAyatrIm ca smaret /
   mantro yathā -klīṃ gaurāya svāhā /	mantraH yaTA -klIm gOrAya svAhA /
   gāyatrī yathā -klīṃ caitanyāya vidmahe viśvambharāya dhīmahi tan no gauraḥ	gAyatrI yaTA -klIm cEtanyAya vidmahe viSvamBarAya DImahi tat naH gOraH
   pracodayāt /	pracodayAt /
   mantro yathā -klīṃ deva-jāhnavī-vallabhāya svāhā /	mantraH yaTA -klIm deva-jAhnavI--vallaBAya svAhA /
   gāyatrī yathā -klīṃ nityānandāya vidmahe saṅkarṣaṇāya dhīmahi tan no balaḥ	gAyatrI yaTA -klIm nitya-AnandAya vidmahe saFkarzaNAya DImahi tat naH balaH
   pracodayāt /	pracodayAt /
   mantro yathā -klīṃ advaitāya svāhā /	mantraH yaTA -klIm advEtAya svAhA /
   gāyatrī yathā -klīṃ advaitāya vidmahe mahā-viṣṇave dhīmahi tan no advaitaḥ	gAyatrI yaTA -klIm advEtAya vidmahe mahA---vizNave DImahi tat naH advEtaH
   pracodayāt /	pracodayAt /
   mantro yathā -śrīṃ gadādharāya svāhā /	mantraH yaTA -SrIm gadADarAya svAhA /
   gāyatrī yathā -gāṃ gadādharāya vidmahe paṇḍitākhyāya dhīmahi tan no	gAyatrI yaTA -gAm gadADarAya vidmahe paNxita-AKyAya DImahi tat no
   gadādharaḥ pracodayāt /	gadADaraH pracodayAt /
   mantro yathā -śrīṃ śrīvāsāya svāhā /	mantraH yaTA -SrIm SrIvAsAya svAhA /
   gāyatrī yathā -śrīṃ śrīvāsāya vidmahe nāradākhyāya dhīmahi tan no bhaktaḥ	gAyatrI yaTA -SrIm SrIvAsAya vidmahe nArada-AKyAya DImahi tat naH BaktaH
   pracodayāt /	pracodayAt /
   śrī śrī gaura-gadādhara mantro yathā -klīṃ śrīṃ gaura-gadādharāya svāhā /	SrI SrI gOra-gada-aDara mantraH yaTA -klIm SrIm gOra-gadA-DarAya svAhA /
   anantaraṃ stava-praṇāmādi kṛtvā śrī-gauracandrāṣṭa-kālīya-sūtrānusareṇa	anantaram stava--praNAma-Adi kRtvA SrI--gOra-candra-azwa-kAlIya--sUtra-anusareNa
   smaret--	smaret--
   gaurasya śayanotthānāt punas tac-chayanāvadhi /	gOrasya Sayana-utTAnAt punar tac--Sayana-avaDi /
   nānopakaraṇaiḥ kuryāt sevanaṃ tatra sādhakaḥ // GGS_72 //	nAnA-upakaraNEH kuryAt sevanam tatra sADakaH // GGS_72 //
   śrī-navadvīpa-candrasya caritāmṛtam adbhutam /	SrI-navadvIpa-candrasya carita-amRtam adButam /
   cintyatāṃ cintyatāṃ nityaṃ mānasa-sevanotsukaḥ // GGS_73 //	cintyatAm cintyatAm nityam mAnasa--sevana-utsukaH // GGS_73 //
   niśānte gauracandrasya śayanaṃ ca nijālaye /	niSA-ante gOra-candrasya Sayanam ca nija-Alaye /
   prātaḥ-kāle kṛtotthānaṃ snānaṃ tad-bhojanādikam // GGS_74 //	prAtar--kAle kRta-utTAnam snAnam tad--Bojana-Adikam // GGS_74 //
   pūrvāhna-samaye bhakta-mandire paramotsukam /	pUrvAhna--samaye Bakta--mandire parama-utsukam /
   madhyāhne paramāścarya-keliṃ sura-sarit-taṭe // GGS_75 //	maDyAhne parama-AScarya--kelim sura--sarit--tawe // GGS_75 //
   aparāhne navadvīpa-bhramaṇaṃ bhūri-kautukam /	aparAhne navadvIpa--BramaNam BUri--kOtukam /
   sāyāhne gamanaṃ cāru-śobhanaṃ nija-mandire // GGS_76 //	sAyAhne gamanam cAru--SoBanam nija--mandire // GGS_76 //
   pradoṣe priya-vargāḍhyaṃ śrīvāsa-bhavane tathā /	pradoze priya-varga-AXyam SrI-vAsa--Bavane taTA /
   niśāyāṃ smared ānandaṃ śrīmat-saṃkīrtanotsavam // GGS_77 //	niSAyAm smaret Anandam SrImat--saMkIrtana-utsavam // GGS_77 //
   evaṃ śrī-caitanya-devaṃ niṣevya siddha-dehena śrī-kṛṣṇa-sevāṅgaṃ vidadhyāt	evam SrI--cEtanya--devam nizevya sidDa--dehena SrI--kRzNa--sevA-aFgam vidaDyAt-
   atra kārikā--	atra kArikA--
   tac cintanādi-samaye kuryāt tad anusārataḥ /	tat cintana-Adi--samaye kuryAt tat anusArataH /
   cintanaṃ tu tayos tatra vasan guru-gaṇānvitaḥ // GGS_78 //	cintanam tu tayoH tatra vasan guru--gaNa-anvitaH // GGS_78 //
   punaś cākṣuṣa-līle 'smin siddha-dehena sādhakaḥ /	punar cAkzuza--lIle asmin sidDa--dehena sADakaH /
   manasā mānasīṃ sevām aṣṭa-kālocitāṃ vrajet // GGS_79 //	manasA mAnasIm sevAm azwa-kAla-ucitAm vrajet // GGS_79 //
   sādhakaḥ siddha-dehena kuryāt kṛṣṇa-priyā-gṛhe /	sADakaH sidDa--dehena kuryAt kRzNa-priyA-gRhe /
   guru-rūpa-priyā-pārśve lalitādi sakhī-gaṇe // GGS_80 //	guru-rUpa-priyA--pArSve lalita-Adi saKI--gaNe // GGS_80 //
   nivāsaṃ yāvaṭe nityaṃ guru-rūpā-sakhī-yutaḥ /	nivAsam yAvawe nityam guru-rUpA--saKI---yutaH /
   śrī-yāvaṭa-pure śrīmad-vṛṣabhānu-pure 'pi ca // GGS_81 //	SrI-yA-vawa-pure SrI-mat--vRzaBa-anu-pure api ca // GGS_81 //
   nandīśvara-pure rādhā-kṛṣṇa-kuṇḍa-taṭa-dvaye /	nandISvara--pure rADA--kRzNa--kuNxa--tawa--dvaye /
   śrīmad-vṛndāvane ramye śrīmad-vṛndāvaneśayoḥ // GGS_82 //	SrI-mat--vRndAvane ramye SrI-mat--vRndAvaneSayoH // GGS_82 //
   prātar ādyaṣṭa-samaye sevanaṃ tu krameṇa ca /	prAtar Adi-azwa--samaye sevanam tu krameNa ca /
   nānopakaraṇair divyair bhakṣya-bhojyādibhiḥ sadā /	nAnA-upakaraNEH divyEH Bakzya--Bojya-AdiBiH sadA /
   cāmara-vyajanādyaiś ca pāda-saṃvāhanādibhiḥ // GGS_83 //	cAmara--vyajana-AdyEH ca pAda--saMvAhana-AdiBiH // GGS_83 //
   kiśorī gopa-vanitā sarvālaṅkāra-bhūṣitā /	kiSorI gopa-vanitA sarva-alaFkAra--BUzitA /
   pṛthu-tuṅga-kuca-dvandvā catuḥṣaṣṭi-guṇānvitā // GGS_84 //	pRTu--tuFga--kuca--dvandvA catuHzazwi-guNa-anvitAH // GGS_84 //
   nigūḍha-bhāvā govinde madanānanda-mohinī /	nigUXa-BAvA govinde madana-Ananda-mohinI /
   nānā-rasa-kalālāpa-śālinī divya-rūpinī // GGS_85 //	nAnA--rasa--kalA-AlApa--SAlinI divya--rUpinI // GGS_85 //
   saṅgīta-rasa-saṃjāta-bhāvollāsa-bharānvitā /	saFgIta-rasa--saMjAta-BAva-ullAsa--Bara-anvitA /
   divā-niśaṃ mano-madhye dvayoḥ premā-bharākulā // GGS_86 //	divA-niSam mano--maDye dvayoH premA-Bara-AkulAH // GGS_86 //
   sarva-lakṣana-sampannā bhāva-hāvādi-bhūṣitā /	sarva-lakzana--sampannA BAva-hAva-Adi-BUzitA /
   guru-prasāda-jananī guru-rūpā-priyānugā /	guru-prasAda--jananI guru--rUpA--priya-anugAH /
   gāndharvikā-sva-yūtha-sthā lalitādi-gaṇānvitā // GGS_87 //	gAnDarvikA--sva--yUTa--sTA lalita-Adi--gaNa-anvitA // GGS_87 //
   sva-yūtheśvary-anugatā yāvaṭa-grāma-vāsinī /	sva-yUTeSvary-anugatA yAvawa--grAma-vAsinI /
   cintanīyākṛtiḥ sā ca kāma-rūpānugāminī // GGS_88 //	cintanIya-AkRtiH sA ca kAma-rUpa-anugAminI // GGS_88 //
   cid-ānanda-rasamayī druta-hema-sama-prabhā /	cit--A-Ananda--rasa-mayI druta--hema--sama-praBA /
   sucīna-nīla-vasanā nānālaṅkāra-bhūṣitā // GGS_89 //	su-cIna--nIla--vasanA nAnA-laFkAra--BUzitAH // GGS_89 //
   śrī-rādhā-kṛṣṇayoḥ pārśva-vartinī nava-yauvanā /	SrI-rADA--kRzNayoH pArSva-vartinI nava--yOvanAH /
   guru-dattasya nāmno 'syā mātā vargādya-mañjarī /	guru-dattasya nAmnaH asyAH mAtA vargAt-ya-maQjarI /
   pitā varga-tṛtīyākhyo vargāntāhvayakaḥ patiḥ // GGS_90 //	pitA varga-tRtIya-AKyaH varga-anta-AhvayakaH patiH // GGS_90 //
   nivāso yāvaṭe tasyā dakṣiṇā mṛdvikā hi sā /	nivAsaH yAvawe tasyAH dakziNA mRdvikA hi sA /
   śrī-rādhā-vastra-sevāḍhyā nānālaṅkāra-bhūṣitā // GGS_91 //	SrI--rADA--vastra--sevA-AXyAH nAnA-laFkAra--BUzitAH // GGS_91 //
   asyaiva siddha-dehasya sādhanāni yathā-kramam /	asya-eva sidDa--dehasya sADanAni yaTA-kramam /
   ekādaśa-prasiddhāni lakṣyante 'timanoharam // GGS_92 //	ekAdaSa--prasidDAni lakzyante ati-manoharam // GGS_92 //
   nāma rūpaṃ vayo veśaḥ sambandho yūtha eva ca /	nAma rUpam vayaH veSaH sambanDaH yUTaH eva ca /
   ājñā sevā parākāṣṭhā pālya-dāsī nivāsakaḥ // GGS_93 //	AjQA sevA parAkAzWA pAlya--dAsI nivAsakaH // GGS_93 //
   eteṣāṃ viśeṣa-lakṣaṇāny ucyante--	etezAm viSeza--lakzaNAni ucyante--
   śrī-rūpa-mañjarītyādi-nāmākhyānānurūpataḥ /	SrI--rUpa--maQjarI-ityAdi-nAm-AKyAna-anurUpataH /
   cintanīyaṃ yathā-yogyaṃ svanāma vraja-subhruvām // GGS_94 //	cintanIyam yaTA-yogyam sva-nAma vraja--suBruvAm // GGS_94 //
   rūpaṃ yūtheśvarī-rūpaṃ bhāvanīyaṃ prayatnataḥ /	rUpam yUTeSvarI--rUpam BAvanIyam prayatnataH /
   trailokya-mohanaṃ kāmod-dīpanaṃ gopikā-pateḥ // GGS_95 //	trElokya--mohanam kAma-ud-dIpanam gopikA--pateH // GGS_95 //
