   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   ucyate śūnyatāvimokṣamukham.	ucyate SUnyatA-vimokza-muKam.
   [DsP_14] tatra katamad animittaṃ vimokṣamukham? yaduta	[DsP_14] tatra katamat animittam vimokza-muKam? yat-uta
   sarvadharmasvalakṣaṇatānimittapratyavekṣaṇacittasthitir	sarva-Darma-sva-lakzaNa-tA-nimitta-pratyavekzaNa-citta-sTitiH-
   animittavimokṣamukham. etad ucyate 'nimittaṃ vimokṣamukham.	animitta-vimokza-muKam. etat ucyate animittam vimokza-muKam.
   [DsP_15] tatra katamad apraṇihitaṃ vimokṣamukham? yaduta	[DsP_15] tatra katamat apraNihitam vimokza-muKam? yat-uta
   sarvadharmānabhisaṃskāre 'nabhisaṃskāracittasthitir	sarva-Darma-anaBisaMskAre anaBisaMskAra-citta-sTitiH-
   apraṇihitavimokṣamukham. etad ucyate 'praṇihitaṃ vimokṣamukham.	apraNihita-vimokza-muKam. etat ucyate apraNihitam vimokza-muKam.
   [DsP_16] tatra katamāni catvāri dhyānāni? yaduta viviktaṃ kāmair viviktaṃ	[DsP_16] tatra katamAni catvAri DyAnAni? yat-uta viviktam kAmEH viviktam
   pāpakair akuśalair dharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ prītisukhaṃ	pApakEH akuSalEH DarmEH sa-vitarkam sa-vicAram viveka-jam prIti-suKam
   prathamaṃ dhyānam upasaṃpadya viharati;	praTamam DyAnam upasaMpadya viharati;
   sa vitarkavicārāṇām upaśamād adhyātmaṃ saṃprasādāc cetasa ekotībhāvad	sa vitarka-vicArANAm upaSamAt aDyAtmam saMprasAdAt cetasaH ekotIBAva-t-
   avitarkam avicāraṃ samādhijaṃ prītisukhaṃ dvitīyaṃ dhyānam upasaṃpadya	avitarkam avicAram samADi-jam prIti-suKam dvitIyam DyAnam upasaMpadya
   viharati;	viharati;
   sa prīter virāgād upekṣako viharati smṛtimān saṃprajānan, sukhaṃ ca kāyena	sa prIteH virAgAt upekzakaH viharati smRtimAn saMprajA-Anan, suKam ca kAyena
   pratisaṃvedayati yat tad āryā ācakṣate smṛtimān sukhī sukhavihāry upekṣaka	pratisaMvedayati yat tat AryA Acakzate smRtimAn suKI suKa-vihArI upekzaka
   iti, niṣprītikaṃ tṛtīyaṃ dhyānam upasaṃpadya viharati;	iti, nizprItikam tRtIyam DyAnam upasaMpadya viharati;
   sa sukhasya ca prahāṇād duḥkhasya ca prahāṇāt pūrvam eva	sa suKasya ca prahANAt duHKasya ca prahANAt pUrvam eva
   saumanasyadaurmanasyayor astaṃgamād aduḥkhāsukham upekṣāsmṛtipariśuddhaṃ	sOmanasya-dOrmanasyayoH astaMgamAt aduHKa-asuKam upekzA-smRti-pariSudDam
   caturthaṃ dhyānam upasaṃpadya viharati. etāny ucyante catvāri dhyānāni.	caturTam DyAnam upasaMpadya viharati. etAni ucyante catvAri DyAnAni.
   [DsP_17] tatra katamāni catvāry apramāṇāni? yaduta maitrī, karuṇā, muditā,	[DsP_17] tatra katamAni catvAri apramANAni? yat-uta mEtrI, karuNA, muditA,
   upekṣā. etāny ucyante catvāry apramāṇāni.	upekzA. etAni ucyante catvAri apramANAni.
   [DsP_18] tatra katamāś catasra ārūpyasamāpattayaḥ?	[DsP_18] tatra katamAH catasraH ArUpya-samApattayaH?
   yadutākāśānantyāyatanaṃ, vijñānānantyāyatanam, ākiñcanyāyatanaṃ,	yat-uta-AkASa-AnantyAyatanaM, vijQAna-Ananti-Ayatanam, AkiQcanyAyatanaM,
   naivasaṃjñānāsaṃjñāyatanam. etā ucyante catasra ārūpyasamāpattayaḥ.	na-eva-saMjQAna-asaMjQAyatanam. etAH ucyante catasraH ArUpya-samApattayaH.
   [DsP_19] tatra katame 'ṣṭau vimokṣāḥ? yaduta rūpī rūpāṇi pasyaty, ayaṃ	[DsP_19] tatra katame azwO vimokzAH? yat-uta rUpI rUpANi pasyaty, ayam
   prathamo vimokṣaḥ;	praTamaH vimokzaH;
   adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyaty, ayaṃ dvitīyo vimokṣaḥ;	aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyaty, ayam dvitIyaH vimokzaH;
   śubham ity evādhimukto bhavaty, ayaṃ trtīyo vimokṣaḥ;	SuBam iti eva-aDimuktaH Bavaty, ayam trtIyaH vimokzaH;
   sa sarvaśo rūpasaṃjñānāṃ samatikramāt pratighasaṃjñānām astaṃgamān	sa sarvaSas rUpa-saMjQAnAm samatikramAt pratiGa-saMjQAnAm astaMgamAn
   nānātvasaṃjñānām amanasikārād anantam ākāśam ity ākāśānantyāyatanam	nAnAtva-saMjQAnAm amanasikArAt anantam AkASam iti AkASAnantya-Ayatanam
   upasaṃpadya viharaty, ayaṃ caturtho vimokṣaḥ;	upasaMpadya viharaty, ayam caturTaH vimokzaH;
   sa sarvaśa ākāśānantyāyatanaṃ samatikramyānantaṃ vijñānam iti	sa sarvaSas AkASAnantya-Ayatanam samatikramya-anantam vijQAnam iti
   vijñānānantyāyatanam upasaṃpadya viharaty, ayaṃ pañcamo vimokṣaḥ;	vijQAna-Ananti-Ayatanam upasaMpadya viharaty, ayam paQcamaH vimokzaH;
   sa sarvaśo vijñānānantyātanaṃ samatikramya nāsti kiṃcid ity	sa sarvaSas vijQAna-AnantyAtanam samatikramya na-asti kiMcid iti-
   ākiñcanyāyatanam upasaṃpadya viharaty, ayaṃ ṣaṣṭho vimokṣaḥ;	AkiQcani-Ayatanam upasaMpadya viharaty, ayam zazWaH vimokzaH;
   sa sarvaśa ākiñcanyāyatanaṃ samatikramya naivasaṃjñānāsaṃjñāyatanam	sa sarvaSas AkiQcani-Ayatanam samatikramya na-eva-saMjQAna-asaMjQA-Ayatanam
   upasaṃpadya viharaty,ayaṃ saptamo vimokṣaḥ;	upasaMpadya viharati-,ayam saptamaH vimokzaH;
   sa sarvaśo naivasaṃjñānāsaṃjñāyatanaṃ samatikramya saṃjñāvedayitanirodham	sa sarvaSas na-eva-saMjQAna-asaMjQA-yatanam samatikramya saMjQA-vedayita-niroDam
   upasaṃpadya viharaty, ayam aṣṭamo vimokṣaḥ. eta ucyante 'ṣṭau vimokṣāḥ.	upasaMpadya viharaty, ayam azwamaH vimokzaH. ete ucyante azwO vimokzAH.
   [DsP_20] tatra katamā navānupūrvavihārasamāpattayaḥ? yaduta	[DsP_20] tatra katamA nava-anupUrva-vihAra-samApattayaH? yat-uta
   viviktaṃ kāmair viviktaṃ pāpakair akuśalair dharmaiḥ savitarkaṃ savicāraṃ	viviktam kAmEH viviktam pApakEH akuSalEH DarmEH sa-vitarkam sa-vicAram
   vivekajaṃ prītisukhaṃ prathamaṃ dhyānam upasaṃpadya viharatīyaṃ prathamā	viveka-jam prIti-suKam praTamam DyAnam upasaMpadya viharati-iyam praTamA
   samāpattiḥ;	samApattiH;
   sa vitarkavicārāṇām upaśamād adhyātmaṃ saṃprasādāc cetasa ekotībhāvād	sa vitarka-vicArANAm upaSamAt aDyAtmam saMprasAdAt cetasaH ekotIBAvAt-
   avitarkam avicāraṃ samādhijaṃ prītisukhaṃ dvitīyaṃ dhyānam upasaṃpadya	avitarkam avicAram samADi-jam prIti-suKam dvitIyam DyAnam upasaMpadya
   viharatīyaṃ dvitīyā samāpattiḥ;	viharati-iyam dvitIyA samApattiH;
   sa prīter virāgād upekṣako viharati smṛtimān saṃprajānan sukhaṃ ca kāyena	sa prIteH virAgAt upekzakaH viharati smRtimAn saMprajAnan suKam ca kAyena
   pratisaṃvedayati yat tad āryā ācakṣate smṛtimān sukhavihāry upekṣaka iti	pratisaMvedayati yat tat AryAH Acakzate smRtimAn suKa-vihArI upekzakaH iti
   niṣprītikaṃ tṛtīyaṃ dhyānam upasaṃpadya viharatīyaṃ tṛtīyā samāpattiḥ;	nizprItikam tRtIyam DyAnam upasaMpadya viharati-iyam tRtIyA samApattiH;
   sa sukhasya ca prahāṇād duḥkhasya ca prahāṇāt pūrvam eva	sa suKasya ca prahANAt duHKasya ca prahANAt pUrvam eva
   saumanasyadaurmanasyayor astaṃgamād aduḥkhāsukham upeksāsmṛtipariśuddhaṃ	sOmanasya-dOrmanasyayoH astaMgamAt aduHKa-asuKam upeksA-smRti-pariSudDam
   caturthaṃ dhyānam upasaṃpadya viharatīyaṃ caturthī samāpattiḥ;	caturTam DyAnam upasaMpadya viharatIyam caturTI samApattiH;
   sa sarvaśo rūpasaṃjñānāṃ samatikramāt pratighasaṃjñānām astaṃgamān	sa sarvaSas rUpa-saMjQAnAm samatikramAt pratiGa-saMjQAnAm astaMgamAn
   nānātvasaṃjñānām amanasikārād anantam ākāśam ity ākāśānantyāyatanam	nAnAtva-saMjQAnAm amanasikArAt anantam AkASam iti AkASAnantya-Ayatanam
   upasaṃpadya viharatīyaṃ pañcamī samāpattiḥ;	upasaMpadya viharati-iyam paQcamI samApattiH;
   sa sarvaśa ākāśānantyāyatanaṃ samatikramyānantaṃ vijñānam iti	sa sarvaSas AkASAnantya-Ayatanam samatikramya-anantam vijQAnam iti
   vijñānānantyāyatanam upasaṃpadya viharatīyaṃ ṣaṣṭhī samāpattiḥ;	vijQAna-Ananti-Ayatanam upasaMpadya viharati-iyam zazWI samApattiH;
   sa sarvaśo vijñānānantyāyatanaṃ samatikramya nāsti kiṃcid ity	sa sarvaSas vijQAna-Ananti-Ayatanam samatikramya na-asti kiMcid iti-
   ākiñcanyāyatanam upasaṃpadya viharatīyaṃ saptamī samāpattiḥ;	AkiQcani-Ayatanam upasaMpadya viharati-iyam saptamI samApattiH;
   sa sarvaśa ākiñcanyāyatanaṃ samatikramya naivasaṃjñānāsaṃjñāyatanam	sa sarvaSas AkiQcani-Ayatanam samatikramya na-eva-saMjQAna-asaMjQA-Ayatanam
   upasaṃpadya viharatīyam aṣṭamī samāpattiḥ;	upasaMpadya viharati-iyam azwamI samApattiH;
   sa sarvaśo naivasaṃjñānāsaṃjñāyatanaṃ samatikramya saṃjñāvedayitanirodham	sa sarvaSas na-eva-saMjQAna-asaMjQA-yatanam samatikramya saMjQA-vedayita-niroDam
   upasaṃpadya viharatīyaṃ navamī samāpattiḥ. etā ucyante	upasaMpadya viharati-iyam navamI samApattiH. etAH ucyante
   navānupūrvasamāpattayaḥ.	nava-anupUrva-samApattayaH.
   [DsP_21] tatra katamā nava saṃjñāḥ? yaduta vidhmātakasaṃjñā,	[DsP_21] tatra katamAH nava saMjQAH? yat-uta viDmAtaka-saMjQA,
   vipaḍumakasaṃjñā, vilohitakasaṃjñā, vipūyakasaṃjñā, vinīlakasaṃjñā,	vipaxumaka-saMjQA, vilohitaka-saMjQA, vipUyaka-saMjQA, vinIlaka-saMjQA,
   vikhāditakasaṃjñā, vikṣiptakasaṃjñā, asthikasaṃjñā, vidagdhakasaṃjñā. etā	viKAditaka-saMjQA, vikziptaka-saMjQA, asTika-saMjQA, vidagDaka-saMjQA. etA
   ucyante nava saṃjñāḥ.	ucyante nava saMjQAH.
   [DsP_22] tatra katamā daśānusmṛtayaḥ? yaduta buddhānusmṛtir,	[DsP_22] tatra katamA daSa-anusmRtayaH? yat-uta budDa-anusmRtiH-,
   dharmānusmṛtiḥ, saṃghānusmṛtiḥ, śīlānusmṛtis, tyāgānusmṛtir,	Darma-anusmRtiH, saMGa-anusmRtiH, SIla-anusmRtis, tyAga-anusmRtiH-,
   devatānusmṛtir, upaśamānusmṛtir, ānāpānānusmṛtiḥ, kāyagatānusmṛtir,	devatA-anusmRtir, upaSama-anusmRtir, AnApAna-anusmRtiH, kAya-gata-anusmRtiH-,
   maraṇānusmṛtiḥ. etā ucyante daśānusmṛtayaḥ.	maraNa-anusmRtiH. etAH ucyante daSa-anusmRtayaH.
   [DsP_23] tatra katame ṣaṭ saṃjñākārāḥ? yadutānityasaṃjñā, duḥkhasaṃjñā,	[DsP_23] tatra katame zaw saMjQA-kArAH? yat-uta-anitya-saMjQA, duHKa-saMjQA,
   anātmasaṃjñā, aśubhasaṃjñā, maraṇasaṃjñā, sarvaloke 'nabhiratisaṃjñā. eta	anAtma-saMjQA, aSuBa-saMjQA, maraNa-saMjQA, sarva-loke anaBirati-saMjQA. eta
   ucyante ṣaṭ saṃjñākārāḥ.	ucyante zaw saMjQA-AkArAH.
   [DsP_24] tatra katamad dharmajñānam? yat pañcānāṃ skandhānāṃ	[DsP_24] tatra katamat Darma-jQAnam? yat paQcAnAm skanDAnAm
   parikarmitatve paricchedajñānam idam ucyate dharmajñānam.	parikarmita-tve paricCeda-jQAnam idam ucyate Darma-jQAnam.
   [DsP_25] tatra katamad anvayajñānam? yac chakṣur anityam iti jñānam, evam	[DsP_25] tatra katamat anvaya-jQAnam? yat SakzuH anityam iti jQAnam, evam
   eva śrotraṃ, ghrāṇaṃ, jihvā, kāyo, mano, rūpaṃ, śabdo, gandho, rasaḥ,	eva SrotraM, GrANaM, jihvA, kAyo, mano, rUpaM, Sabdo, ganDo, rasaH,
   spraṣṭavyaṃ, dharmā anityā iti yaj jñānam idam ucyate 'nvayajñānam.	sprazwavyaM, DarmAH anityAH iti yat jQAnam idam ucyate anvaya-jQAnam.
   [DsP_26] tatra katamat paracittajñānam? yat parasattvānaṃ parapudgalānāṃ	[DsP_26] tatra katamat para-citta-jQAnam? yat para-sattvAnam para-pudgalAnAm
   cetasaiva cetasi cetasikeṣu ca dharmeṣv avicikitsitaṃ jñānam idam ucyate	cetasA-eva cetasi cetasikezu ca Darmezu avicikitsitam jQAnam idam ucyate
   paracittajñānam.	para-citta-jQAnam.
   [DsP_27] tatra katamat saṃvṛtijñānam? yat pratipajjñānam idam ucyate	[DsP_27] tatra katamat saMvRti-jQAnam? yat pratipad-jQAnam idam ucyate
   saṃvṛtijñānam.	saMvRti-jQAnam.
   [DsP_28] tatra katamad duḥkhajñānam? yad duḥkhasyotpādasthitijñānam idam	[DsP_28] tatra katamat duHKa-jQAnam? yat duHKasya-utpAda-sTiti-jQAnam idam
   ucyate duḥkhajñānam.	ucyate duHKa-jQAnam.
   [DsP_29] tatra katamat samudayajñānam? yat samudayasya prahāṇajñānam idam	[DsP_29] tatra katamat samudaya-jQAnam? yat samudayasya prahANa-jQAnam idam
   ucyate samudayajñānam.	ucyate samudaya-jQAnam.
   [DsP_30] tatra kataman nirodhajñanam? yad duḥkhanirodhajñānam idam ucyate	[DsP_30] tatra katamat niroDa-jQanam? yat duHKa-niroDa-jQAnam idam ucyate
   nirodhajñānam.	niroDa-jQAnam.
   [DsP_31] tatra kataman mārgajñānam? yad āryāṣṭāṅgamārgajñānam idam ucyate	[DsP_31] tatra katamat mArga-jQAnam? yat Arya-azwa-aFga-mArga-jQAnam idam ucyate
   mārgajñānam.	mArga-jQAnam.
   [DsP_32] tatra katamat kṣayajñānam? yad rāgadveṣamohakṣayajñānam idam	[DsP_32] tatra katamat kzaya-jQAnam? yat rAga-dveza-moha-kzaya-jQAnam idam
   ucyate kṣayajñānam.	ucyate kzaya-jQAnam.
   [DsP_33] tatra katamad anutpādajñānam? yad bhavagatyanutpadajñānam idam	[DsP_33] tatra katamat anutpAda-jQAnam? yat Bava-gati-anutpada-jQAnam idam
   ucyate 'nutpādajñānam.	ucyate anutpAda-jQAnam.
   [DsP_34] tatra katamad yathābhūtajñānam? yat tathāgatasya sarvajñatājñānam	[DsP_34] tatra katamat yaTABUta-jQAnam? yat taTAgatasya sarvajQa-tA-jQAnam
   idam ucyate yathābhūtajñānam.	idam ucyate yaTABUta-jQAnam.
   [DsP_35] tatra katamad anājñātamājñāsyāmīndriyam? yac chaikṣāṇāṃ	[DsP_35] tatra katamat anAjQAtam-AjQAsyAmi-indriyam? yat SEkzANAm
   pudgalānām anabhisamitānāṃ śraddhendriyaṃ, vīryendriyaṃ, smṛtīndriyaṃ,	pudgalAnAm anaBisamitAnAm SradDA-indriyan, vIrya-indriyan, smRti-indriyaM,
   samādhīndriyaṃ, prajñendriyaṃ idam ucyate 'nājñātamājñāsyāmīndriyam.	samADi-indriyan, prajQA-indriyam idam ucyate anAjQAtam-AjQAsyAmi-indriyam.
   [DsP_36] tatra katamad ājñendriyam? yac chaikṣāṇāṃ pudgalānām	[DsP_36] tatra katamat AjQa-indriyam? yat SEkzANAm pudgalAnAm
   abhisamitānāṃ śraddhendriyaṃ vīryendriyaṃ, smṛtīndriyaṃ, samādhīndriyaṃ,	aBisamitAnAm SradDA-indriyam vIrya-indriyan, smRti-indriyan, samADi-indriyaM,
   prajñendriyam idam ucyate ājñendriyam.	prajQA-indriyam idam ucyate AjQa-indriyam.
   [DsP_37] tatra katamad ājñātāvīndriyam? yad aśaikṣāṇāṃ pudgalānāṃ	[DsP_37] tatra katamat AjQAta-a=-i-indriyam? yat aSEkzANAm pudgalAnAm
   tadyathārhatāṃ, pratyekabuddhānāṃ, daśabhūmisthitānāṃ bodhisattvānāṃ,	tat-yaTArhatAM, pratyekabudDAnAn, daSa-BUmi-sTitAnAm boDisattvAnAM,
   tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ śraddhendriyaṃ, vīryendriyaṃ,	taTAgatAnAm arhatAm samyaksaMbudDAnAm SradDA-indriyan, vIrya-indriyaM,
   smṛtīndriyaṃ, samādhīndriyaṃ prajñendriyam idam ucyata ājñātāvīndriyam.	smRti-indriyan, samADi-indriyam prajQA-indriyam idam ucyate AjQAta-avi-indriyam.
   [DsP_38] tatra katamaḥ savitarkaḥ savicāraḥ samādhiḥ? viviktaṃ kāmair	[DsP_38] tatra katamaH savitarkaH sa-vicAraH samADiH? viviktam kAmEH-
   viviktaṃ pāpakair akuśalair dharmaiḥ prītisukhaṃ prathamaṃ dhyānam	viviktam pApakEH akuSalEH DarmEH prIti-suKam praTamam DyAnam
   upasaṃpadya viharaty ayam ucyate savitarkaḥ savicāraḥ samādhiḥ.	upasaMpadya viharati ayam ucyate savitarkaH sa-vicAraH samADiH.
   [DsP_39] tatra katamo vitarko vicāramātraḥ samādhiḥ? yā prathamadhyānasya	[DsP_39] tatra katamaH vitarkaH vicAra-mAtraH samADiH? yA praTama-DyAnasya
   dvitīyadhyānasya cāntarikāyam ucyate 'vitarko vicāramātraḥ samādhiḥ.	dvitIya-DyAnasya ca-antarikAyam ucyate avitarkaH vicAra-mAtraH samADiH.
   [DsP_40] tatra katamo 'vitarko 'vicāraḥ samādhiḥ? prathamaṃ dhyānam	[DsP_40] tatra katamaH avitarkaH avicAraH samADiH? praTamam DyAnam
   upādāya yāvan naivasaṃjñānāsaṃjñāyatanasamāpattir eṣa ucyate 'vitarko	upAdAya yAvat na-eva-saMjQAna-asaMjQA-Ayatana-samApattiH ezaH ucyate avitarkaH-
   'vicāraḥ samādhiḥ.	avicAraH samADiH.
   [DsP_41] tatra katamāny aṣṭāv abhibhvāyatanāni? yadutādhyātmaṃ rūpasaṃjñī	[DsP_41] tatra katamAni azwO aBiBva-AyatanAni? yat-uta-aDyAtmam rUpa-saMjQI
   bahirdhā rūpāṇi paśyati parīttāni suvarṇadurvarṇāni, tāni rūpāṇy abhibhūya	bahirDA rUpANi paSyati parIttAni suvarNa-durvarNa-ani, tAni rUpANi aBiBUya
   jānāty abhibhūya paśyaty, evaṃsaṃjñī bhavatīdaṃ prathamam abhibhvāyatanam;	jAnAti aBiBUya paSyaty, evaMsaMjQI Bavati-idam praTamam aBiBvAyatanam;
   adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati mahadgatāni	aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati mahat-gatAni
   suvarṇadurvarṇāni, tāni rūpaṇy abhibhūya jānāty abhibhūya paśyaty,	suvarNa-durvarNa-ani, tAni rUpaNi aBiBUya jAnAti aBiBUya paSyati-,
   evaṃsaṃjñī bhavatīdaṃ dvitīyam abhibhvāyatanam;	evaMsaMjQI Bavati-idam dvitIyam aBiBvAyatanam;
   adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati nīlāni nīlavarṇāni	aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati nIlAni nIla-varNAni
   nīlanidarśanāni nīlanirbhāsāni, tadyathomāpuṣpaṃ saṃpannaṃ vā bāraṇaseyaṃ	nIla-nidarSanAni nIla-nirBAsA-ni, tat-yaTA-umApuzpam saMpannam vA bAraNa-seyam
   vastraṃ nīlaṃ nīlavarṇaṃ nīlanidarśanaṃ nīlanirbhāsam, evam evādhyātmam	vastram nIlam nIla-varNam nIla-nidarSanam nIla-nirBAsam, evam eva-aDyAtmam
   arūpasaṃjñī bahirdhā rūpāṇi paśyati nīlāni nīlavarṇāni nīlanidarśanāni	arUpa-saMjQI bahirDA rUpANi paSyati nIlAni nIla-varNAni nIla-nidarSanAni
   nīlanirbhasānīdaṃ tṛtīyam abhibhvāyatanam;	nIla-nirBasAni-idam tRtIyam aBiBvAyatanam;
   adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati pītāni pītavarṇāni	aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati pItAni pIta-varNAni
   pītanidarśanāni pītanirbhāsāni, tadyathā karṇikārapuṣpaṃ saṃpannaṃ vā	pIta-nidarSanAni pIta-nirBAsAni, tat-yaTA karNikAra-puzpam saMpannam vA
   bārāṇaseyaṃ vastraṃ pītaṃ pītavarṇaṃ pītanidarśanaṃ pītanirbhāsam, evam	bArANaseyam vastram pItam pIta-varNam pIta-nidarSanam pIta-nirBAsam, evam
   evādhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati pītāni pītavarṇāni	eva-aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati pItAni pIta-varNAni
   pītanidarśanāni pītanirbhāsānīdaṃ caturtham abhibhvāyatanam;	pIta-nidarSanAni pIta-nirBAsAni-idam caturTam aBiBvAyatanam;
   adhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati lohitāni lohitavarṇāni	aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati lohitAni lohita-varNAni
   lohitanidarśanāni lohitanirbhāsāni, tadyathā bandhujīvakapuṣpaṃ saṃpannaṃ	lohita-nidarSanAni lohita-nirBAsAni, tat-yaTA banDujIvaka-puzpam saMpannam
   vā bārāṇaseyaṃ vastraṃ lohitaṃ lohitavarṇaṃ lohitanidarśanaṃ	vA bArANaseyam vastram lohitam lohita-varNam lohita-nidarSanam
   lohitanirbhāsam, evam evādhyātmam arūpasaṃjñī bahirdhā rūpāṇi paśyati	lohita-nirBAsam, evam eva-aDyAtmam arUpa-saMjQI bahirDA rUpANi paSyati
   lohitāni lohitavarṇāni lohitanidarśanāni lohitanirbhāsānīdaṃ pañcamam	lohitAni lohita-varNAni lohita-nidarSanAni lohita-nirBAsAni-idam paQcamam
   abhibhvāyatanam;	aBiBvAyatanam;
   adhyātmam arūpasaṃjnī bahirdhā rūpāṇi paśyaty avadātāny avadātavarṇāny	aDyAtmam arUpa-saMjnI bahirDA rUpANi paSyati avadAtAni avadAta-varNAni-
   avadātanidarśanāny avadātanirbhāsāni, tadyathośanastārakayā varṇo 'vadāto	avadAta-nidarSanAni avadAta-nirBAsAni, tad-yaTA-uSanaH-tArakayA varNaH avadAtaH-
   'vadātavarṇo 'vadātanidarśano 'vadātanirbhāsa, evam evādhyātmam	avadAta-varNaH avadAta-nidarSanaH avadAta-nirBAsa, evam eva-aDyAtmam
   arūpasaṃjñī bahirdhā rūpāṇi paśyaty avadātāny avadātavarṇāny	arUpa-saMjQI bahirDA rUpANi paSyati avadAtAni avadAta-varNAni-
   avadātanidarśanāny avadātanirbhāsānīdaṃ ṣaṣṭham abhibhvāyatanam;	avadAta-nidarSanAni avadAta-nirBAsAni-idam zazWam aBiBvAyatanam;
   sa sarvaśo rūpasaṃjñānaṃ samatikramat pratighasaṃjñānām astaṃgamān	sa sarvaSas rUpa-saMjQAnam samatikramat pratiGa-saMjQAnAm astaMgamAn
   nānātvasaṃjñānām amanasikārād anantam ākāśam ity ākāśānantyāyatanam	nAnAtva-saMjQAnAm amanasikArAt anantam AkASam iti AkASAnantya-Ayatanam
   upasaṃpadya viharatīdaṃ saptamam abhibhvāyatanam;	upasaMpadya viharati-idam saptamam aBiBvAyatanam;
   sa sarvaśa ākāśānantyāyatanaṃ samatikramyānantaṃ vijñānam itī	sa sarvaSas AkASAnantya-Ayatanam samatikramya-anantam vijQAnam itI
   vijñānānantyāyatanam upasaṃpadya viharatīdam aṣṭamam abhibhvāyatanam.	vijQAna-Ananti-Ayatanam upasaMpadya viharati-idam azwamam aBiBvAyatanam.
   etāny ucyante 'ṣṭāv abhibhvāyatanāni.	etAni ucyante azwO aBiBva-AyatanAni.
   [DsP_42] tatra katamāni daśa kṛtsnāyatanāni? yaduta pṛthivīkṛtsnam,	[DsP_42] tatra katamAni daSa kRtsnA-AyatanAni? yat-uta pRTivIkRtsnam,
   apkṛtsnaṃ, tejaḥkṛtsnaṃ, vāyukṛtsnam, ākāśakṛtsnaṃ, nīlakṛtsnaṃ,	apkRtsnaM, tejaH-kRt-snan, vAyu-kRt-snam, AkASa-kRt-snan, nIla-kRt-snaM,
   pītakṛtsnaṃ, lohitakṛtsnam, avadātakṛtsnaṃ, vijñānakṛtsnam. etāny ucyante	pIta-kRt-snaM, lohita-kRt-snam, avadAta-kRt-snaM, vijQAna-kRt-snam. etAni ucyante
   daśa kṛtsnāyatanāni:	daSa kRtsnA-AyatanAni:
   sarvadhātūn pṛthivīdhātāv adhimucya sarvam api pṛthivīdhātur evaikadhātur	sarva-DAtUn pRTivI-DAtO aDimucya sarvam api pRTivI-DAtuH eva-eka-DAtuH-
   bhavati;	Bavati;
   sarvadhātūn abdhātāv adhimucya sarvam apy abdhātur evaikadhātur bhavati;	sarva-DAtUn abDAtO aDimucya sarvam api abDAtuH eva-eka-DAtuH Bavati;
   sarvadhātūṃs tejodhātāv adhimucya sarvam api tejodhātur evaikadhātur	sarva-DAtUn tejaH-DAtO aDimucya sarvam api tejaH-DAtuH eva-eka-DAtuH-
   bhavati;	Bavati;
   sarvadhātūn vāyudhātāv adhimucya sarvam api vāyudhātur evaikadhātur	sarva-DAtUn vAyu-DAtO aDimucya sarvam api vAyuDAtuH eva-eka-DAtuH-
   bhavati;	Bavati;
   sarvadhātūn ākāśadhātāv adhimucya sarvam apy ākāśadhātur evaikadhātur	sarva-DAtUn AkASa-DAtO aDimucya sarvam api AkASa-DAtuH eva-eka-DAtuH-
   bhavati;	Bavati;
   sarvadhātūn nīle dhimucya sarvam api nīlam eva bhavati;	sarva-DAtUn nIle Dimucya sarvam api nIlam eva Bavati;
   sarvadhātūn pīte 'dhimucya sarvam api pītam eva bhavati;	sarva-DAtUn pIte aDimucya sarvam api pItam eva Bavati;
   sarvadhātūn lohite 'dhimucya sarvam api lohitam eva bhavati;	sarva-DAtUn lohite aDimucya sarvam api lohitam eva Bavati;
   sarvadhātūn avadāte 'dhimucya sarvam apy avadātam eva bhavati;	sarva-DAtUn avadAte aDimucya sarvam api avadAtam eva Bavati;
   sarvadhātūn vijñāne 'dhimucya sarvam api vijñānam evaikadhātur bhavati.	sarva-DAtUn vijQAne aDimucya sarvam api vijQAnam eva-eka-DAtuH Bavati.
   pṛthivyaptejovāyvākāśanīlapītalohitāvadātavijñānaṃ sarvam apy ekam eva	pRTivI-ap-tejaH-vAyu-AkASa-nIla-pIta-lohita-avadAta-vijQAnam sarvam api ekam eva
   bhavatīty etāny ucyante kṛtsnāyatanāni.	Bavati-iti etAni ucyante kRtsnA-AyatanAni.
   nirantarakṛtsnaspharaṇād etāny ucyante kṛtsnāyatanāni. ekaikaṃ cāyatanaṃ	nirantara-kRtsna-sParaNAt etAni ucyante kRtsnA-AyatanAni. ekEkam ca-Ayatanam
