   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   sāṅkārikāgarbhasthāyāṃ yasyāṃ satyāṃ mātā bharturasthisañcayanakārikā,	sa aFkArikA garBa sTAyAm yasyAm satyAm mAtA BartuH asTi saQcayana kArikA,
   kulāntarasya duhitṛtvaṃ gatā vā /	kula antarasya duhitR tvam gatAH vA /
   rātāramaṇāśīlā kandukādikrīḍāpriyetyarthaḥ, ṛtusnātā vā /	rAtAramaNA SIlA kanduka Adi krIxA priyA iti arTaH, Rtu snAtA vA /
   kecit ratiśīlā viṣayopabhogaśīletyarthaḥ /	kecit rati SIlA vizaya upaBoga SIlA iti arTaH /
   pālīvatsakṣetrādipālikā /	pAlI vatsa kzetra Adi pAlikA /
   mitrābahumitrā, sakhī vā /	mitra abahu mitrA, saKI vA /
   svanujāśobhanānujā yasyāssā, na tu śobhano 'nujo yasyāḥ śobhanāyāmanujāyāṃ	svanujA SoBana anujAH yasya AssA, na tu SoBanaH anujaH yasyAH SoBanAyAm anujAyAm
   kadācit pramādassyāditi /	kadAcid pramAda ssyAt iti /
   kecit varajanmasaṃvatsara eva paścājjāteti /	kecit vara janma saMvatsaraH eva paScAt jAtA iti /
   varṣakārīvarādvarṣeṇādhikā /	varza kArI varAt varzeNa aDikAH /
   yātyantaṃ sravati sā vā /	yAtyantam sravati sA vA /
   parivarjayedityanuśaṅge satyapi varjayediti punarvacanaṃ brāhmādiṣu	parivarjayet iti anuSaFge sati api varjayet iti punarvacanam brAhma Adizu
   sarveṣu vivāheṣvāsāṃ pratiṣedhārtham;asati gatyantare ṛddhāvapi	sarvezu vivAhezu AsAm pratizeDa arTam ;asati gati antare RdDO= api
   parīkṣitāyāṃ dattetatarāsāmaniṣedhārtha vā //12//	parIkzitAyAm dattetatarAsAma nizeDa arTa vA //12//
   nakṣatranāmā nadīnāmā vṛkṣanāmāśca garhitāḥ // ĀpGs_3.13 //	nakzatra nAmAH nadI nAmA vRkza nAmAH ca garhitAH // ĀpGs_3.13 //
   sarvāśca rephalakāropāntā varaṇe parivarjayet // ĀpGs_3.14 //	sarvAH ca rePalakAra upAntAH varaNe parivarjayet // ĀpGs_3.14 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.14:	ĀpGs AnAH _3.14:
   nakṣatraṃ nāma yāsāṃ tā tathānakṣatranāmāḥ, nadīnāmāḥ vṛkṣanāmāścarohiṇī	nakzatram nAma yAsAm tA taTA anakzatra nAmAH, nadI nAmAH vRkza nAmAH carohiNI
   gaṅgā karejotyādayaḥ /	gaFgA kara ijoti a AdayaH /
   tāśca vivāhegarhitāḥ /	tAH ca vivAhegarhitAH /
   tathā	taTA
   sarvāśca rephalakāropāntyāḥevaṃ bhūtaṃ nāma ityartaḥ /	sarvAH ca rePalakAra upAntyAH evam BUtam nAma iti artaH /
   karā kālā suveletyādayaḥ /	karA kAlA suvela ityAdayaH /
   tāḥvaraṇe parivarjayetvaraṇamapyāsāṃ na kartavyamityarthaḥ // 12 //	tAH varaNe parivarjayetvaraNam api AsAm na kartavyam iti arTaH // 12 //
   ĀpGs Tāt_3.14:	ĀpGs TAt _3.14:
   nakṣatrasya nāmeva nāma yāsāṃnakṣatranāmāḥ /	nakzatrasya nAma iva nAma yAsAMnakzatra nAmAH /
   ekasya nāmaśabdasya lepaḥ, uṣṭramukhādivat /	ekasya nAma Sabdasya lepaH, uzwra muKa Adi vat /
   evamikhādivat vigrahaḥ rohiṇī citretyevamādayo nakṣatranāmāḥ /	evam iKAdi vat vigrahaH rohiNI citra iti evamAdayaH nakzatra nAmAH /
   gaṅgetyādayo nadīnāmāḥ /	gaFgA ityAdayaH nadI nAmAH /
   śiṃśupetyādyāvṛkṣanāmāḥ /	SiMSupa ityAdi AvRkza nAmAH /
   garhītāḥvarjanīyāḥ //13//	garhItAH varjanIyAH //13//
   repho vā lakāro vā yāsāṃ nāmnaupānta upadhetyarthaḥ yathā gaurī śālītyādi	rePaH vA lakAraH vA yAsAm nAmnA OpAntaH upaDA iti arTaH yaTA gOrI SAli ityAdi
   śeṣaṃ vyaktam /	Sezam vyaktam /
   atra cakāreṇa garhitā ityanukarṣaṇāt āsāṃ varjanīyatve siddhe 'sarvā	atra cakAreNa garhitAH iti anukarzaNAt AsAm varjanIya tve sidDe asarvA
   varaṇe parivarjayat'iti vyartham /	varaNe parivarjayat aiti vyarTam /
   na;sugrahārthatvāt /	na;su graha arTa tvAt /
   atha vā yā etā rephalakāropāntā gaurī śālītyādyā , yāśca prakārāntareṇāpi	aTa vA yA etA rePalakAra upAntA gOrI SAli iti AdyA , yAH ca prakAra antareNa api
   smṛtyantaroktā rephalakāropāntāḥ, yathā sagotrā samānapravarā puṃścalīti	smRti antara uktAH rePalakAra upAntAH, yaTA sagotrA samAna pravarA puMScalI iti
   tāssarvā varaṇe parirjayediti jñāpanārtham /	tAH sarvA varaNe parirjayet iti jQApana arTam /
   idaṃ tvihavaktavyam  asatyapi gatyantare vyakte 'pyṛddhiliṅge	idam tu ihavaktavyam asati api gati antare vyakte api RdDi liFge
   sragotrādīnāṃ sarvathāniṣedha eva /	sragotra AdInAm sarvaTA nizeDaH eva /
   gauryādīnāṃ tu na tathā guptādīnāmiveti //	gOrI a AdInAm tu na taTA gupta AdInAm iva iti //
   kecit nakṣatranāmetyādikeyaṃ śāstrāntaragītā gātā, tasyāḥ pādapūraramāni	kecid nakzatra nAma ityAdikeyam SAstra antara gItAH gAtA, tasyAH pAda pUra ramAni
   'sarvā varaṇe parivarjaye'diti padānīti parikalpayanto,	asarvAH varaNe parivarjaye aditi padAni iti parikalpayantaH ,
   yasmānnakṣatrādināmā rephalakāropāntāśca garhitāḥ tasmāttāssarvo varaṇe	yasmAt nakzatra Adi nAmA rePala kAra upAntAH ca garhitAH tasmAt tAH sarvaH varaNe
   parivarjayediti vyācakṣate //14//	parivarjayet iti vyAcakzate //14//
   11 ṛdviparīkṣā /	11 RdviparIkzA /
   śaktiviṣaye dravyāṇi praticchannānyupanidhāya brūyādupaspṛśeti //	Sakti vizaye dravyANi praticCannAni upaniDAya brUyAt upaspRSa iti //
   ĀpGs_3.15 //	ĀpGs_3.15 //
   nānā bījāni saṃsṛṣṭāni vedyāḥ pāṃsūn kṣetrālloṣṭaṃ śakṛcchmaśānaloṣṭamiti	nAnA bIjAni saMsRzwAni vedyAH pAMsUn kzetrAt lozwam SakRt SmaSAna lozwam iti
   // ĀpGs_3.16 //	// ĀpGs_3.16 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.16:	ĀpGs AnAH _3.16:
   'lakṣaṇasampannāmupayacchete'ti vakṣyati /	alakzaNa sampannAm upayacCete ati vakzyati /
   tatra lakṣaṇānāmajñātatvāt tatparīkṣaṇopāya upadiśyate /	tatra lakzaNAnAm ajQAta tvAt tad parIkzaNa upAyaH upadiSyate /
   nacāyaṃ nityo vidhiḥ;'saktiviṣaya'iti vacanāt /	naca ayam nityaH viDiH; asakti vizaya aiti vacanAt /
   śaktissāmarthya yadi samphavaḥ /	SaktiH sAmarTya yadi samPavaH /
   yadi vadhūjñātayo 'numanyeran tadā kartavyaṃ nānyathetyarthaḥ /	yadi vaDU jQAtayaH anumanyeran tadA kartavyam na anyaTA iti arTaH /
   tat kathaṃ kartavyam?ucyate dravyāṇi pañcavakṣyamāṇāni mṛtpiṇḍeṣu	tat kaTam kartavyam ?ucyate  dravyANi paQca vakzyamANAni mRd piNxezu
   praticchannāni kṛtvā upanidhāya kanyāsamīpe nidhāya tāṃ brūyādvaraḥ  eṣāṃ	praticCannAni kRtvA upaniDAya kanyA samIpe niDAya tAm brUyAt varaH ezAm
   piṇḍānāṃ ekatamupaspṛśeti /	piNxAnAm ekatam upaspRSa iti /
   kāni punastāni dravyāṇi?nānābījāni saṃsṛṣṭāni vrīhiyavādīni /	kAni punar tAni dravyANi?nAnA bIjAni saMsRzwAni vrIhi yava AdIni /
   vedyāḥ pāṃsūnāhṛtān, sasyasampannāt kṣetrādāhṛtaṃ loṣṭaṃ, sakṛt gomayaṃ,	vedyAH pAMsUn AhRtAn, sasya sampannAt kzetrAt AhRtam lozwaM, sakRt gomayaM,
   śmaśānādāhṛtaṃ loṣṭamityetāni /	SmaSAnAt AhRtam lozwam iti etAni /
   bījānāṃ dravyatvāvyabhicāre 'ri dravyāṇītyucyate śāstrāntare	bIjAnAm dravya tva avyaBicAre ari dravyANi iti ucyate  SAstra antare
   dṛṣṭānāmanyeṣāmapi dravyāṇāmiha vikalpena prāptyartha	dRzwAnAm anyezAm api dravyANAm iha vikalpena prApti arTa
   tadyathā avidāsinohadāt sarvasampannā devanāt kitavī	tat yaTA  avidAsinA Uha dAt sarva sampannA devanAt kitavI
   iriṇādadhanyeti(āśva.gṛ.1 5 6) //13//	iriNAda Danya iti(a aSva. gR.1 5 6) //13//
   ĀpGs Tāt_3.16:	ĀpGs TAt _3.16:
   śaktissamarthyam /	SaktissamarTyam /
   viṣaye 'vakāśaḥ /	vizaye avakASaH /
   asyāmṛddhiparīkṣāyāṃ varatatpakṣiṇāṃ sāmarthyasyāvakāśe sambhavati, yadi	asyAm RdDi parIkzAyAm vara tad pakziNAm sAmarTyasya avakASe samBavati, yadi
   kanyā ca tadīyāścemāṃ parīkṣāmabhyupagaccheyurityarthaḥ /	kanyA ca tadIyAH ca imAm parIkzAm aByupagacCeyuH iti arTaH /
   yata evātra śaktiviṣaya ityāha, ata evaiṣā ṛddhiparīkṣā	yatas eva atra Sakti vizayaH iti Aha, atas eva ezA RdDi parIkzA
   jyotiṣādibhirvaikalpikī, na tu nityavadvivāhāṅgam /	jyotizA AdiBiH vEkalpikI, na tu nitya vat vivAha aFgam /
   dravyāṇivakṣyamāṇāni mṛtpiṇḍeṣu ca praticchannānyekasmin bhājane nidhāya	dravyANi vakzyamANAni mRd piNxezu ca praticCannAni ekasmin BAjane niDAya
   kanyāṃ samīpe ca kṛtvā, tāṃ brūyādeṣāṃ piṇḍānāmekamupaspṛśeti // 15 //	kanyAm samIpe ca kRtvA, tAm brUyAt ezAm piNxAnAm ekam upaspRSa iti // 15 //
   kāni tānītyata āha  	kAni tAni iti atas Aha  
   nānābījānivrīhiyavādibījāni /	nAnA bIjA nivrIhi yava Adi bIjAni /
   saṃsṛṣṭāniekasmin piṇḍe kṣiptāni /	saMsRzwAniekasmin piNxe kziptAni /
   vedyāḥ saumikyāḥ āhṛtān pāṃsūn /	vedyAH sOmikyAH AhRtAn pAMsUn /
   kṣetrāt sasyasampannādāhṛtaṃ loṣṭam /	kzetrAt sasya sampannAt AhRtam lozwam /
   aviśiṣṭe prasiddhe //16//	aviSizwe prasidDe //16//
   pūrveṣāmupasparśane yathāliṅgamṛddhiḥ // ĀpGs_3.17 //	pUrvezAm upasparSane yaTAliFgam RdDiH // ĀpGs_3.17 //
   uttamaṃ paricakṣate // ĀpGs_3.18 //	uttamam paricakzate // ĀpGs_3.18 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.18:	ĀpGs AnAH _3.18:
   tatra bījasparśane prajābhissamṛddhiḥ /	tatra bIja sparSane prajA aBiH samRdDiH /
   vedipurīṣe yajñaiḥ, kṣetraloṣṭe dhanadhānyaiḥ, gomaye paśubhiḥ,	vedi purIze yajQEH, kzetra lozwe Dana DAnyEH, gomaye paSuBiH,
   śmaśānaloṣṭe maraṇamiti yathāliṅgārthaḥ /	SmaSAna lozwe maraNam iti yaTAliFga arTaH /
   uttamamantyaṃ dravyaṃparicakṣategarhante varjayantītyarthaḥ //14//	uttamam antyam dravyaMparicakzategarhante varjayanti iti arTaH //14//
   ĀpGs Tāt_3.18:	ĀpGs TAt _3.18:
   pūrveṣāṃ caturṇāmupasparśane yathāliṅigamṛddhiḥ /	pUrvezAm caturNAm upasparSane yaTA AliFi gam RdDiH /
   nānābījānāmupasparśane prajānāṃ samṛddhiḥ /	nAnA bIjAnAm upasparSane prajAnAm samRdDiH /
   vedyāḥ pāṃsūnāṃ yajñānāṃ, kṣetrālloṣaṭasya sasyānāṃ, śakṛtaśca paśūnāmiti	vedyAH pAMsUnAm yajQAnAM, kzetrAt lozawasya sasyAnAM, SakRtaH ca paSUnAm iti
   ṛddhiniścayādvivāhakartavyatāniścaya ityartaḥ //17//	RdDi niScayAt vivAha kartavyatA niScayaH iti artaH //17//
   uttamaṃ śmaśānaloṣṭaṃparicakṣate garhante śiṣṭāṃ, jāyāpatyoranyatarasya vā	uttamam SmaSAna lozwaMparicakzate garhante SizwAM, jAyA patyoH anyatarasya vA
   maraṇaliṅgatvāditi //18//	maraNa liFga tvAt iti //18//
   udvāhyāmāha  	udvAhyAm Aha  
   12 udvāhyakanyāsampat /	12 udvAhya kanyA sampad /
   bandhuśīlalakṣaṇasampannāmarogāmupayaccheta // ĀpGs_3.19 //	banDu SIla lakzaNa sampad na Am a rogAm upayacCeta // ĀpGs_3.19 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.19:	ĀpGs AnAH _3.19:
   uktā varjanīyāḥ kanyāḥ /	uktAH varjanIyAH kanyAH /
   atha grāhyā ucyante /	aTa grAhyAH ucyante /
   bandhuśabdena kulamucyate /	banDu Sabdena kulam ucyate /
   yaduktamāśvalāyanena"kulamagre parikṣeta ye mātṛtaḥ pitṛtaśceti yathoktaṃ	yat uktam ASvalAyanena"kulam agre parikzeta ye mAtRtaH pitRtaH ca iti yaTA uktam
   puratā"(āśva.gṛ1 5 100 diti /	pura tA"(a aSva. gR1 5 100 diti /
   śīlasampannā āryaśīlā /	SIla sampannA Arya SIlAH /
   lakṣaṇasampannāstrīlakṣaṇairupetā rogarāhitā kṣayāpasmārādirahitā //15//	lakzaNa sampanna astrI lakzaNEH upetA roga rAhitA kzaya apasmAra Adi rahitAH //15//
   ĀpGs Tāt_3.19:	ĀpGs TAt _3.19:
   atrasampannāmiti pratyekaṃ sambadhyate /	atra sampannAm iti pratyekam sambaDyate /
   bandhusampannāṃpraśastābhijanām /	banDu sampannAM praSasta aBijanAm /
   śīlasampannāmāstikyādiguṇānvitām /	SIla sampad na Am Astikya Adi guNa anvitAm /
   lakṣaṇasampannāṃ gūḍhagulphatvādistrīlakṣaṇayuktām /	lakzaNa sampannAm gUXa gulPa tva Adi strI lakzaNa yuktAm /
   arogāṃkṣayāpasmārakuṣṭhādyacikitsyarogarahitām /	aroga aMkzaya apasmAra kuzWa Adi acikitsya roga rahitAm /
   upayaccheta udvahet //19//	upayacCeta udvahet //19//
   atha varaguṇānāha 	aTa vara guNAn Aha 
   13 varaguṇāḥ /	13 vara guNAH /
   bandhuśīlalakṣaṇasampannaśśrutavānaroga iti varasampat // ĀpGs_3.20 //	banDu SIla lakzaNa sampannaH Sruta vAn arogaH iti vara sampad // ĀpGs_3.20 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.20:	ĀpGs AnAH _3.20:
   śrutavān śrutādhyayanasampannaḥ /	SrutavAn Sruta aDyayana sampannaH /
   varasampat varaguṇāḥ /	vara sampad vara guNAH /
   evaṃguṇāya kanyakā deyotyarthaḥ //16//	evaMguNAya kanyakA deyoti arTaH //16//
   ĀpGs Tāt_3.20:	ĀpGs TAt _3.20:
   banduśīlalakṣaṇasampannaiti pūrvavadvyākhyānam /	bandu SIla lakzaNa sampanna eti pUrvavat vyAKyAnam /
   śrutavānśrutādhyayanasampannaḥ;aviduṣaścodutakarmānadhikārāt,	SrutavAn Sruta aDyayana sampannaH ;aviduzaH ca uduta karma anaDikArAt,
   dharmādyarthatvācca vivāhasya /	Darma Adi arTa tvAt ca vivAhasya /
   arogaiti pūrvavat ;tasyāpyasamarthatvenānadikārāt /	aroga eti pUrvavat ;tasya api asamarTa tvena anadikArAt /
   evaṃbhūtā varasampat /	evaMBUtA vara sampad /
   evaṅguṇāya varāya kanyādeyetyarthaḥ //20//	evaFguNAya varAya kanyA deyA iti arTaH //20//
   atharddhiniścaye ekāyaṃ matamāha  	aTa RdDi niScaye ekAyam matam Aha  
   yasyāṃ manaścakṣuṣornibandhastasyāmṛdvirnetaradādriyetetyeke // ĀpGs_3.21	yasyAm manaH cakzuzoH nibanDaH tasya amRdviH netarada Adriyeta iti eke // ĀpGs_3.21
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_3.21:	ĀpGs AnAH _3.21:
   yasyāṃkanyāyāṃ varasyamanasaścakṣuṣaśca nibandhaḥ tṛptirutpadyate	yasya aMkanyAyAm varasya manasaH cakzuzaH ca nibanDaH tRptiH utpadyate
   tasyāmṛddhirdhruvā,netaratna dattādiguṇadoṣādyanudarśanamādaraṇīyamityeke	tasyAm RdDiH DruvA,netaratna datta Adi guNa doza Adi anudarSanam AdaraNIyam iti eke
   śiṣṭā bruvate /	SizwAH bruvate /
   atra pakṣe sarvaguṇāsampannāyāmapi yasyāṃ manaścakṣuṣī na nibadhyete sā	atra pakze sarva guNa asampannAyAm api yasyAm manaH cakzuzI na nibaDyete sA
   varjanīyā /	varjanIyAH /
   śāstrāniṣiddhāstatrāpi pakṣe varjyā eva, yathā savarṇā sargotreti //17//	SAstra anizidDAH tatra api pakze varjyAH eva, yaTA savarNA sargotra iti //17//
   ĀpGs Tāt_3.21:	ĀpGs TAt _3.21:
   yasyāṃ kanyāyāṃ varasyamanascakṣuṣīrnibandhaḥnitarāṃ bandhanaṃ,	yasyAm kanyAyAm varasya manascakzuzIH nibanDaH nitarAm banDanaM,
   yasyāmāsattyatiśayena manascakṣuṣī nibaddhe ava tiṣṭhata ityarthaḥ /	yasya AmAsatti atiSayena manascakzuzI nibadDe ava tizWate iti arTaH /
   tasyāṃjāyāyāṃ satyāṃ dharmādīnāṃ	tasya aMjAyAyAm satyAm Darma AdInAm
   samṛddhiḥ,netaratguṇadoṣānudarśanamādriyetetyekebrūvate /	samRdDiH,netarat guNa doza anudarSanam Adriyeta iti ekebrUvate /
   etaduktaṃ bhavati  atra manaścakṣuṣornibandha evādaraṇe kāraṇam, na tu	etat uktam Bavati atra manaH cakzuzoH nibanDaH eva AdaraNe kAraNam, na tu
   jyotiṣādinā jñātā guṇāḥ /	jyotizA AdinA jQAtAH guNAH /
   tathā tadabhāva eva parivarjane kāraṇam, na svāpādayo doṣā iti /	taTA tad aBAvaH eva parivarjane kAraNam, na svApa AdayaH dozAH iti /
   ubhayorapi matayordattādīnāṃ	uBayoH api matayoH datta AdInAm
   niṣedhamādriyetaiva;'sarrvaṇāpūrvaśāstravihitāyām'(āpa.dha.2 13 1)	nizeDam Adriyeta eva; asarrvaNa apUrva SAstra vihitAyAm a(Apa.Da.2 13 1)
   'asamānārṣagotrajām''pañcamāt saptamādūrdhvam'ityādivacanajātāt //21//	aasamAna Arza gotra jAm aapaQcamAt saptamAt UrDvam aitya Adi vacana jAtAt //21//
   itthaṃsudarśanāryeṇa gṛhyatātparyadarśanam //	itTaMsu darSana AryeNa gRhyatAtparya darSanam //
   prathame paṭale 'kāri yathābhāṣyaṃ yathāmati //	praTame pawale akAri yaTABAzyam yaTAmati //
   iti śrīsudarśanācāryakṛte gṛhyatātparyadarśane tṛtīyaḥ khaṇḍaḥ //	iti SrI sudarSana AcArya kRte gRhyatAtparya darSane tRtIyaH KaNxaH //
   samāptaśca prathamaḥ paṭalaḥ	samAptaH ca praTamaH pawalaH
   atha dvitīyaḥ paṭalaḥ	aTa dvitIyaH pawalaH
   caturthaḥ khaṇḍaḥ	caturTaH KaNxaH
   4 vivāhaprakaraṇam  	4 vivAha prakaraNam  
   1 varapreṣaṇam /	1 vara prezaNam /
   suhṛdassamavetān mantravato varān prahiṇuyāt // ĀpGs_4.1 //	suhRda ssamavetAn mantravataH varAn prahiNuyAt // ĀpGs_4.1 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.1:	ĀpGs AnAH _4.1:
   atha kanyāvaraṇavidhiḥ /	aTa kanyA AvaraNa viDiH /
   invakābhiḥ prasṛjyanta ityuktam /	invakABiH prasRjyante iti uktam /
   tasminnanyasmin vā puṇyanakṣatreva brāhmaṇān bhojayitvāśiṣo	tasmin= anyasmin vA puNya nakzatrA iva brAhmaNAn BojayitvA aSizaH 
   vācayitvā,suhṛdaḥ	vAcayitvA a,suhRdaH
   bandhūnsamavetān saṅgatānmantravataḥśrutādhyayanasampannānvarān	banDUn samavetAn saFgatAn mantravataH Sruta aDyayana sampannAn varAn
   kanyāvarayitṝnprahiṇuyātprasthāpayot yūyamamuṣmāt kulāt mahyaṃ kanyāṃ	kanyA varayitLn prahiNuyAt prasTApayot yUyam amuzmAt kulAt mahyam kanyAm
   vṛṇīdhvamiti /	vRNIDvam iti /
   yadyapyevaṃvidhe kārye suhṛdāmeva sambhāvanā tathāpi suhṛda ityucyate	yadi api evaMviDe kArye suhRdAm eva samBAvanA taTA api suhRdaH iti ucyate
   mantravatāmasambhave suhṛtvamātraparigrahārtham /	mantravatAm asamBave suhRtva mAtra parigraha arTam /
   mantravata iti brāhmaṇānomeva grahaṇam /	mantravataH iti brAhmaNAnom eva grahaNam /
   tena kṣatriyavaiśyayorapi brāhmaṇā eva varāḥ //1//	tena kzatriya vESyayoH api brAhmaNAH eva varAH //1//
   ĀpGs Tāt_4.1:	ĀpGs TAt _4.1:
   pūrvatra 'invakābhiḥ prasṛjyante'(āpa.gṛ2 16) iti vivāhopayogino	pUrvatra ainvakABiH prasRjyante a(Apa.gR2 16) iti vivAha upayoginaH 
   varapreṣaṇasya kālo 'bhihitaḥ /	vara prezaNasya kAlaH aBihitaH /
   idānīṃ tasya vidhimāha  	idAnIm tasya viDim Aha  
   suhṛdaḥātmano mitrāṇi /	suhRdaH AtmanaH mitrANi /
   samavetānātmānaṃ pratyekakāryān /	samavetAn AtmAnam pratyeka kAryAn /
   mantravataḥmantrabrāhmaṇavataḥ, 'śucīn mantravataḥ'(āpa.dha.2 15 11)	mantravataH mantra brAhmaNavataH, aSucIn mantravataH a(Apa.Da.2 15 11)
   itivanmantragrahaṇasya pradarśanārthatvāt /	itivat mantra grahaNasya pradarSana arTa tvAt /
   varānvarayitṝn /	varAn varayitLn /
   varaḥprahiṇuyātpreṣayet /	varaH prahiNuyAt prezayet /
   ete yugmā brāhmaṇāśceti kecit //2//	ete yugmAH brAhmaNAH ca iti kecid //2//
   tānādito dvābhyāmabhimantrayeta // ĀpGs_4.2 //	tAn Aditas dvAByAm aBimantrayeta // ĀpGs_4.2 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_4.2:	ĀpGs AnAH _4.2:
   gacchatastān varānanantaramāmnātasya mantrasamāmnāyasyādito dvābhyāṃ	gacCataH tAn varAn anantaram AmnAtasya mantra samAmnAyasya Aditas dvAByAm
   ṛgbhyāṃ paprasugmantetyotābhyāṃ abhimantrayeta /	RgByAm papra sugmantA ityotAByAm aBimantrayeta /
   abhilakṣya mantroccāraṇamabhimantraṇam /	aBilakzya mantra uccAraNam aBimantraNam /
   tataste kanyākulaṃ gatvā evaṃgotrāyāmuṣmai sahatvakarmabhyo yuṣmadīyāṃ	tatas te kanyA kulam gatvA a evaMgotrAya amuzmE sahatva karmaByaH yuzmadIyAm
   kanyāṃ vṛṇīmaha iti brūyaḥ /	kanyAm vRNImaha  iti brUyaH /
   tataste pratibrūyuḥ śobhanaṃ tathā dāsyāma iti /	tatas te pratibrUyuH SoBanam taTA dAsyAma iti /
   tatra brāhme vivāhe daive cārthalopāt varaṇalopaḥ	tatra brAhme vivAhe dEve ca arTa lopAt varaNa lopaH
   kalpāntaradarśanācca nātra varān prahiṇuyāditi /	kalpa antara darSanAt ca na atra varAn prahiNuyAt iti /
   tathā gāndharvarākṣasayośca //2//	taTA gAnDarva rAkzasayoH ca //2//
   ĀpGs Tāt_4.2:	ĀpGs TAt _4.2:
   tānprasthitān /	tAn prasTitAn /
   mantrasamāmnāyasyāditaḥ 'prasugmantā'iti dvābhyāṃ ṛgbhyāṃabhimantrayeta /	mantra samAmnAyasya Aditas aprasugmantA aiti dvAByAm RgByAM aBimantrayeta /
   abhimantraṇaṃ ābhimukhyena mantrasyoccāraṇam /	aBimantraNam ABimuKyena mantrasya uccAraNam /
   anumantramapyevam'anumantrayitavyadravyagatacitteneti tu bhedaḥ //	anumantram api evam aanu mantrayitavya dravya gata cittena iti tu BedaH //
   atha sūtrasyāpūrṇatvāt krama ucyate 	aTa sUtrasya ApUrNa tvAt kramaH ucyate 
   kṛtaprāṇāyāmo 'varān preṣayiṣye'iti saṅkalpya, 'prasugmamte'ti dvābhyāṃ	kRta prANAyAmaH avarAn prezayizye aiti saFkalpya, aprasugmam te ati dvAByAm
   varānabhimantrya, 'yūyamamuṣmāt kulāt mahyaṃ kanyāṃ vṛṇīdhvam 'iti	varAn aBimantrya, ayUyam amuzmAt kulAt mahyam kanyAm vRNIDvam aiti
   preṣayet /	prezayet /
   tataste duhitṛmato gṛhaṃ gatvā, kanyāṃ dattasagotratvādidoṣarahitāṃ	tatas te duhitRmataH gRham gatvA, kanyAm datta sagotra tva Adi doza rahitAm
   bandhvādiguṇasampannāṃ ca yatnato 'vadhārya, duhitṛmantaṃ pitrīdikaṃ	banDva Adi guNa sampannAm ca yatnataH avaDArya, duhitRmantam pitrIdikam
   'gautamagotrāya viṣṇuśarmaṇe varāya bhavadīyāṃ kanyāṃ	agOtama gotrAya vizNuSarmaNe varAya BavadIyAm kanyAm
   prajāsahatvakarmabhyo vṛṇīmahe'iti brūyuḥ /	prajA sahatva karmaByaH vRNImahe aiti brUyuH /
   tatassa pitrādir'dāsyāmī'ti pratibrūyāt /	tatassa pitR AdiH adAsyAmI ati pratibrUyAt /
   tataste pratyetya,'suddhārtā vaya'miti varāyā vedayeyuḥ /	tatas te pratyetya, asudDa ArtAH vaya am iti varAyAH vedayeyuH /
   etacca varapreṣaṇādyāsurārṣayoreva, nānyeṣu arthalopāt /	etat ca vara prezaNa Adi AsuH ArzayoH eva, na anyezu arTa lopAt /
   atha yasminnahani vivāhaḥ tataḥ pūrvameva pañcame tṛtīya vāhani	aTa yasmin= ahani vivAhaH tatas pUrvam eva paQcame tRtIya vA ahani
   yathāśiṣṭācāramaṅkurāropaṇaṃ kuryāt /	yaTASizwa AcAram aFkura AropaNam kuryAt /
   tathā śvo vivāha ityadya vivāha iti ca /	taTA Svas vivAhaH iti adya vivAhaH iti ca /
   'tathā maṅgalāni''āvṛtaścāstrībhyaḥ pratīyerat'(āpa.gṛ.2 14,15) ityuktāni	ataTA maFgalAni aaAvRtaH ca astrIByaH pratIyera t a(Apa.gR.2 14,15) iti uktAni
   karmāṇi varo vadhūśca yathākālaṃ yathāyogyaṃkurutaḥ /	karmANi varaH vaDUH ca yaTAkAlam yaTAyogyaMkurutaH /
   kecit pūrvedyurnāndīśrāddhaṃ kalpāntarāditi /	kecit  pUrvedyus nAndISrAdDam kalpa antarAt iti /
   tataḥ pitrādirvadhūkulaṃ prāptāya varāya kanyāmudakapūrva dadyāt imāṃ	tatas pitR AdiH vaDU kulam prAptAya varAya kanyAm udaka pUrva dadyAt  imAm
   vatsarotrajāṃ lakṣmīdāyīṃ gautamagotrāya viṣṇuśarmaṇe tapabhyaṃ	vatsarotra jAm lakzmI dAyIm gOtama gotrAya vizNuSarmaNe tapaByam
   prajāsahatvakarmabhyaḥ pratipādayāmīti /	prajA sahatva karmaByaH pratipAdayAmi iti /
   gāndharvarākṣasayostu na pratipādanam, dātṛvyāpārā napekṣatvāt /	gAnDarva rAkzasayoH tu na pratipAdanam, dAtR vyApArAH napekza tvAt /
   tatastāṃ varaḥ pratigṛhya vivāhasthāne 'yatra kvacāgnim'(āpa.dha.2 1 13)	tatas tAm varaH pratigRhya vivAha sTAne ayatra kvaca agnim a(Apa.Da.2 1 13)
