   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   śākhāntarīyāṅgatvabodhakavākyavicāradhīnatvena	SAKA-antarIya-aFga-tva-boDaka-vAkya-vicAra-DIna-tvena
   tadvicārākṣepaparyantaphalakatavāṅgīkāreṇa taddhetutvopatteḥ /	tad-vicAra-Akzepa-paryanta-Pala-katava-aFgIkAreNa tad-hetu-tva-upatteH /
   ata eva śrautānāmiva smārtācāraprāptāṅgānāmapyācaraṇaṃ kurvatāṃ	atas eva SrOtAnAm-iva smArta-AcAra-prApta-aFgAnAm-api-AcaraNam kurvatAm
   prayogavidhīnāmarthajñānanirṇayāya adhyayanavidhinā smṛtyādivicāro	prayoga-viDInAm-arTa-jQAna-nirNayAya aDyayana-viDinA smRti-Adi-vicAraH-
   'pyanuṣṭhāpyata iti tasyāpi pratijñāviṣayatvaṃ yuktameva /	api-anuzWApyate iti tasya-api pratijQA-vizaya-tvam yuktam-eva /
   ato yuktaiva vedārthatvena tasya vicāraviṣayatā - iti //	atas yuktA-eva veda-arTa-tvena tasya vicAra-vizaya-tA  iti //
   (svasiddhāntena dharmapadārthavivecanādikam) vastutastu -	(sva-sidDAntena Darma-padArTa-vivecana-Adi-kam) vastutas-tu -
   vedārthavicārasya pravṛttinivṛttyupayogābhāve niṣprayojanatvālloke ca	veda-arTa-vicArasya pravRtti-nivRtti-upayoga-aBAve nizprayojana-tvAt-loke ca
   prekṣāvatāṃ sukhaprāptiduḥkhanivṛttyarthināṃ tajjanakadharmādharmāṇāṃ ca	prekzAvatAm suKa-prApti-duHKa-nivRtti-arTinAm tad-janaka-Darma-aDarmANAm ca
   kṣaṇānācaraṇādarśanāt tatvena tadvicāra eva kartavyatavenopadiśyate iti	kzaNAnAcaraNa-adarSanAt tatvena tad-vicAraH eva kartavyatavena-upadiSyate iti
   yuktam ; ataeva smārtācāraprāptadharmavicāro 'pi agre kariṣyamāṇo	yuktam ; ataeva smArta-AcAra-prApta-Darma-vicAraH api agre karizyamANaH-
   nāsaṅgato bhavati /	na-asaFgataH Bavati /
   naca - athaśabdena vedādhyayanānantaryokteḥ sa eva mukhyaḥ, anyastu	na-ca  aTa-Sabdena veda-aDyayana-anantarya-ukteH saH eva muKyaH, anyaH-tu
   prasaṅgata iti - yuktam ; athaśabdasya pūrvavṛttāpekṣaṇe 'pi	prasaFgataH iti  yuktam ; aTa-Sabdasya pUrva-vRtta-apekzaNe api
   smṛtyadhyayanāpekṣayāpyupapatteḥ vedādhyayanānantaryavācitve mānābhāvāt /	smRti-aDyayana-apekzayA-api-upapatteH veda-aDyayana-Anantarya-vAci-tve mAna-aBAvAt /
   ataeva sūtre dharmajijñāsetyeva pratijñātam /	ataeva sUtre Darma-jijQAsA-iti-eva pratijQAtam /
   yadyapi ca na kṛtsnavedādhyayanasya dharmādharmavicārahetutvam,	yadi-api ca na kRtsna-veda-aDyayanasya Darma-aDarma-vicAra-hetu-tvam,
   upaniṣadadhyayanasya taddhetutvābhāvāt ; tathāpi cikīrṣitavicāraikadeśe	upanizad-aDyayanasya tad-hetutva-aBAvAt ; taTA-api cikIrzita-vicAra-eka-deSe
   hetutvenāpyānantarye upapadyate eveti na bādhakam //	hetu-tvena-api-Anantarye upapadyate eva-iti na bADakam //
   (dharmapadasyādharmādyupalakṣaṇatvam) setreca yadyapi	(Darma-padasya-aDarma-Adi-upalakzaNa-tvam) setreca yadi-api
   dharmajijñāsetyevoktam ; tathāpi dharmapatipādakavedādhyayanasya	Darma-jijQAsA-iti-eva-uktam ; taTA-api Darma-pati-pAdaka-veda-aDyayanasya
   dharmavicāraprayojanaṃ vinā niṣphalatavāpattyā dharmavicārahetutvāt	Darma-vicAra-prayojanam vinA nizPala-tava-ApattyA Darma-vicAra-hetu-tvAt-
   kṛtsnavedāntargataniṣedhādhyayanarūpakāraṇopalakṣaṇatve	kRtsna-veda-antargata-nizeDa-aDyayana-rUpa-kAraNa-upalakzaNa-tve
   dharmapadamadharmādīnāmapyupalakṣaṇaṃ draṣṭavyam /	Darma-padam-aDarma-AdInAm-api-upalakzaNam drazwavyam /
   itarathā dharmamātrasyaiva vicāraviṣayatve vidhisannihitārthavādādīnāṃ	itaraTA Darma-mAtrasya-eva vicAra-vizaya-tve viDi-sannihita-arTa-vAda-AdInAm
   vidhyekavākyatayā dharmavicāropayogitvasaṃbhavena tadadhyayanasya	viDi-eka-vAkya-tayA Darma-vicAra-upayogi-tva-saMBavena tad-aDyayanasya
   dṛṣṭārthatvasyeva niṣedhābhyanujñādyabhāve	dRzwa-arTa-tvasya-iva nizeDa-aByanujQa-Adi-aBAve
   tadadhyayanasyādṛṣṭārthatvasyevāpatteḥ /	tad-aDyayanasya-adRzwa-arTa-tvasya-iva-ApatteH /
   upalakṣakadharmaśabdasyeva sādhāraṇyena prayoge prayojanaṃ tu	upalakzaka-Darma-Sabdasya-iva sADAraNyena prayoge prayojanam tu
   bahuviṣayasaṃkṣepatayā āvaśyakatvaṃ dharmavicārasyeti jñāpanameva /	bahu-vizaya-saMkzepa-tayA AvaSyaka-tvam Darma-vicArasya-iti jQApanam-eva /
   abhyanujñāvidhiviṣayaḥ kvaciddharmādharmavyatirekapradarśanārthe	aByanujQA-viDi-vizayaH kvacid-Darma-aDarma-vyatireka-pradarSana-arTe
   vicāraryemāṇo 'pi nāsaṅgata ityeva yuktam /	vicAraryemANaH api na-asaFgataH iti-eva yuktam /
   ataeva jijñāsā sūtre pratijñā, tatra pramāṇamātranirūpaṇasya	ataeva jijQAsA sUtre pratijQA, tatra pramANa-mAtra-nirUpaNasya
   prathamādhyāyārthatvaṃ, dvādaśādhyāyānāṃ ca jijñāsāsūtraparikaratvaṃ	praTama-aDyAya-arTa-tvaM, dvAdaSa-aDyAyAnAm ca jijQAsA-sUtra-parikara-tvam
   cābhipretya 'so 'rodī' ditayādiniṣedhārthavādānāṃ prathamādhyāye	ca-aBipretya asaH arodI-a ditaya-Adi-nizeDa-arTa-vAdAnAm praTama-aDyAye
   'dharmaprāmāṇyavicāraḥ, ṣaṣṭhādhyāyādau ca 'na kalañjaṃ bhakṣayet'	aDarma-prAmANya-vicAraH, zazWa-aDyAya-AdO ca ana kalaQjam Bakzayet-a
   ityādivākyārthādharmavicāro 'pi kṛto nāsaṃgataḥ /	ityAdi-vAkya-arTa-aDarma-vicAraH api kRtaH na-asaMgataH /
   etadabhiprāyeṇaiva tatra dvādaśalakṣaṇyāṃ dharmādharmau jaimininā	etad-aBiprAyeNa-eva tatra dvAdaSa-lakzaNyAm Darma-aDarmO jEmininA
   vicāritau ityuktam - pūjyapādairbhāṭṭarahasye //	vicAritO iti-uktam  pUjya-pAdEH-BAwwa-rahasye //
   (adharmajijñāsetyakārapraśrleṣakhaṇḍanamaṇḍane) yattu -	(a-Darma-jijQAsA-iti-akAra-praSrleza-KaNxana-maNxane) yat-tu -
   adharmavicārasyāthasūtrapratijñāviṣayatvopapattaye	aDarma-vicArasya-aTa-sUtra-pratijQA-vizaya-tva-upapattaye
   adharmajijñāsetyakārapraśrleṣaḥ śāstradīpīkāyāmetatsūtravyākhyāne kṛtaḥ,	aDarma-jijQAsA-iti-akAra-praSrlezaH SAstra-dIpIkAyAm-etat-sUtra-vyAKyAne kRtaH,
   sa vākyāvṛttidoṣāpatterayuktaḥ ; vākyāvṛttirūpavākyadoṣāpekṣayā	sa vAkya-avRtti-doza-ApatteH-ayuktaH ; vAkya-AvRtti-rUpa-vAkya-doza-apekzayA
   padagatalakṣaṇāṅgīkārasya 'jātaputraḥ kṛṣṇakeśa' ityādyādhānavākye	pada-gata-lakzaNa-aFgIkArasya ajAta-putraH kRzNa-keSa-a iti-Adi-ADAna-vAkye
   sarvairapyuktatvācca //	sarvEH-api-ukta-tvAt-ca //
   astu vā sūtre	astu vA sUtre
   vākyāvṛtteralaṅkārarūpatvenāduṣṭatvādakārapraśrleṣeṇādharmasyāpi	vAkya-AvRtteH-alaFkAra-rUpatvena-aduzwa-tvAt-akAra-praSrlezeNa-aDarmasya-api
   tadviṣayatvam /	tad-vizaya-tvam /
   (dharmapratispardhitayādharmasya vicāryatvamitibhāṭṭālaṅkāramatakhaṇḍanam)	(Darma-pratisparDitayA-aDarmasya vicArya-tvam-itiBAwwa-alaFkAra-mata-KaNxanam)
   yadapi - bhāṭṭālaṅkārakṛtā adharmasya kvaciddharmapratispardhitayā	yat-api  BAwwa-alaFkAra-kRtAH aDarmasya kvacid-Darma-pratisparDitayA
   nirūpaṇīyatve 'pi śāstraviṣayatvaṃ dharmasyaiva - ityuktam,	nirUpaNIya-tve api SAstra-vizaya-tvam Darmasya-eva  iti-uktam,
   tadvidhisannihitapaṭhitānāṃ 'vāyurvai kṣepiṣṭhe' tyarthavādānāṃ yathā	tad-viDi-sannihita-paWitAnAm avAyuH-vE kzepizWe-a tyarTa-vAdAnAm yaTA
   dharmapramāṇyavicāraḥ, tathaiva niṣedhasannidhipaṭhitānāṃ so	Darma-pramANi-avicAraH, taTA-eva nizeDa-sanniDi-paWitAnAm saH-
   'rodīdityādīnāmadharmapramāṇyavicārasyāpi bhāṣyakārādibhi; pradarśitatvāt	arodIt-iti-AdInAm-aDarma-pramANi-avicArasya-api BAzya-kAra-AdiBi; pradarSita-tvAt-
   pratispardhitvasya durvacatvāccāyuktam /	pratisparDi-tvasya durvaca-tvAt-ca-ayuktam /
   nahyabhede bhedābhāvarūpatayā bhedapratispardhitatvasyevādharme	na-hi-aBede Beda-aBAva-rUpa-tayA Beda-pratisparDita-tvasya-iva-aDarme
   dharmābhāvarūpatayā tadyujyate ; tathātve bhojanādau dharmatvābhāvena	Darma-aBAva-rUpa-tayA tat-yujyate ; taTA-tve Bojana-AdO Darma-tva-aBAvena
   adharmatvāpatteḥ, tasmāddharmādharmau tulyatayaiva prathamasūtre	aDarma-tva-ApatteH, tasmAt-Darma-aDarmO tulya-tayA-eva praTama-sUtre
   pratijñātau svarūpapramāṇaphalaiḥ sābhāsairuttaratra śāstre vicāryete	pratijQAtO sva-rUpa-pramANa-PalEH sa-ABAsEH-uttaratra SAstre vicAryete
   ityeva samyak //	iti-eva samyak //
   (dharmo yāgādiriti nirūpaṇam) dharmādharmapadasya kāṇādamate	(DarmaH yAga-AdiH-iti nirUpaNam) Darma-aDarma-padasya kANAda-mate
   yadyapyapūrvābhidhāyitvam ; 'dharmaḥ kṣarati kīrtanāt' ityādāvapi tathaiva	yadi-api-apUrva-aBiDAyi-tvam ; aDarmaH kzarati kIrtanAt-a iti-AdO=-api taTA-eva
   vyavahāradarśanāt, tathāca yadyapi apūrvasya pratyadhyāyaṃ vicārābhāvena	vyavahAra-darSanAt, taTA-ca yadi-api apUrvasya pratyaDyAyam vicAra-aBAvena
   na śāstrapratijñāviṣayatvaṃ tadvicārasya yujyate; tathāpi yāgādikarma	na SAstra-pratijQA-vizaya-tvam tad-vicArasya yujyate; taTA-api yAga-Adi-karma
   kurvati tatrāpūrvajñānaśūnyairapi dhārmikapadaprayogāt ' dharme cara' iti	kurvati tatra-apUrva-jQAna-SUnyEH-api DArmika-pada-prayogAt a Darme cara-a iti
   śrutau bhagavatādiṣu ca 'dharmastvanuṣṭhitaḥ puṃsāṃ viṣvaksenakathāsu yaḥ	SrutO BagavatA-Adizu ca aDarmaH-tu-anuzWitaH puMsAm vizvaksena-kaTAsu yaH
   notpādayedyadi ratiṃ śrama eva hi kevalam' ityādau	na-utpAdayet-yadi ratim SramaH eva hi kevalam-a iti-AdO
   'ijyācāradayāhiṃsādānasvādhyāyakarmaṇām /	aijya-AcAra-dayA-hiMsA-dAna-svADyAya-karmaNAm /
   ayaṃ tu paramo dharmo yadyogenātmadarśanam' iti smṛtau 'eṣāṃ madhye 'yaṃ	ayam tu paramaH DarmaH yad-yogena-Atma-darSanam-a iti smRtO aezAm maDye ayam
   paramo brāhmaṇa' ityatra ṣaṣṭhyantapadanirdiṣṭānāṃ brāhmaṇatvavadijyādīnāṃ	paramaH brAhmaNa-a iti-atra zazWI-anta-pada-nirdizwAnAm brAhmaNa-tva-vadijyA-AdInAm
   dharmatvapratīteradṛṣṭe	Darma-tva-pratIteH-adRzwe
   cavihitaniṣiddharmādharmarūpapadārthajanyatvasaṃbandhena lakṣaṇayāpi	ca-vihita-nizid-Darma-aDarma-rUpa-padArTa-janya-tva-saMbanDena lakzaNayA-api
   prayogopapatternādṛṣṭavāci dharmādharmapadam, apitu	prayoga-upapatteH-na-adRzwa-vAci Darma-aDarma-padam, apitu
   tajjanakavihitāniṣiddhakriyāguṇadravyādiṣveva śaktamiti kriyādirūpameva	tad-janaka-vihita-anizidDa-kriyA-guNa-dravya-Adizu-eva Saktam-iti kriyA-Adi-rUpam-eva
   vicārapratijñāviṣayaḥ prādhānyena /	vicAra-pratijQA-vizayaH prADAnyena /
   yuktameva tat /	yuktam-eva tat /
   svarūpabhedapramāṇe ca prathamādhyāyadvayena tṛtīyādibhiśrca	sva-rUpa-Beda-pramANe ca praTama-aDyAya-dvayena tRtIya-AdiBiH-rca
   tatsādhanādīni nirūpyante iti sarvamapi śāstraṃ jijñāsāparikara eva //	tad-sADana-AdIni nirUpyante iti sarvam-api SAstram jijQAsA-parikaraH eva //
   dharmādharmasvarūpaṃ ca pramāṇaniveśamantarā lakṣaṇakaraṇenāśakyamiti	Darma-aDarma-svarUpam ca pramANa-niveSam-antarA lakzaNa-karaNena-aSakyam-iti
   ekanālyevānyayogāyogavyāvṛttibhyāṃ pramāṇasvarūpe jñātuṃ dvitīyasūtram -	ekanAlI-A-iva-anya-yoga-ayoga-vyAvRttiByAm pramANa-svarUpe jQAtum dvitIya-sUtram -
   codanālakṣaṇo 'rtho dharmaḥ / Jaim_1,1.2 /	codanA-lakzaNaH arTaH DarmaH / JEm_1,1.2 /
   iti //	iti //
   (codanāpadasya vedaparatvena mantrādikalpyavidhividheyasyāpi	(codanApadasya veda-paratvena mantra-Adi-kalpya-viDi-viDeyasya-api
   dharmatvalābhaḥ) arthyate phalajanakatvena prārthyateḥ yaḥ sa	Darma-tva-lABaH) arTyate Pala-janaka-tvena prArTyateH yaH sa
   codanāpramāṇako dharmaḥ, codanāpramāṇakeṣṭasādhanatāka iti yāvat /	codanA-pramANakaH DarmaH, codanA-pramANakezwa-sADana-tAkaH iti yAvat /
   tatra ye- jijñāsāsūtre dharmapramāṇamātrasya pratijñānāt 'vedo 'khilo	tatra ye jijQAsA-sUtre Darma-pramANa-mAtrasya pratijQAnAt avedaH aKilaH-
   dharmamūlam' ityādismṛtyā ca vedasyaiva tatpramāṇatvāvagateśrcodanāsūtre	Darma-mUlam-a ityAdi-smRtyA ca vedasya-eva tad-pramANa-tva-avagateSrcodanA-sUtre
   'pi codanāpadasya	api codanApadasya
   pravartakatvaparyāptyādhikaraṇamantrārthavādanāmadheyopetavidhivākyavācitvena	pravartaka-tva-paryAptyA-aDikaraNa-mantra-arTa-vAda-nAmaDeya-upeta-viDi-vAkya-vAci-tvena
   sarvavedaviṣayatvāt arthavādādīnāmapi cāgre dharmādharmapramāṇatvena	sarva-veda-vizaya-tvAt arTavAda-AdInAm-api ca-agre Darma-aDarma-pramANa-tvena
   nirūpaṇāt vedādhyayanasyānantaryapratiyogitayānvayāt vedaparatvameva /	nirUpaNAt veda-aDyayanasya-anantarya-pratiyogitayA-anvayAt veda-para-tvam-eva /
   ataeva codanānirdiṣṭo yaḥ pramāṇaparigrahaḥ saprakāraḥ sa ādyena lakṣaṇena	ataeva codanA-nirdizwaH yaH pramANa-parigrahaH sa-prakAraH saH Adyena lakzaNena
   prapañcita iti bṛhaṭṭīkāyām /	prapaQcitaH iti bRhawwIkAyAm /
   'siddhapramāṇabhāvasya dharme vedasya sarvaśaḥ /	asidDa-pramANa-BAvasya Darme vedasya sarvaSas /
   vidhyarthavādamantrāṇāmupayogo 'dhunocyate' iti vārtike 'pi tathaiva	viDi-arTa-vAda-mantrANAm-upayogaH aDunA-ucyate-a iti vArtike api taTA-eva
   dṛśyate /	dRSyate /
   tena codanaiva pramāṇamiti niyame 'pi arthavādapramāṇanirūpaṇamagre	tena codanA-eva pramANam-iti niyame api arTavAda-pramANa-nirUpaNam-agre
   nāsaṃgatamiti - manyante, teṣāṃ matarītyā dharmādharmalakṣaṇe vedasyaiva	na-asaMgatam-iti  manyante, tezAm mata-rItyA Darma-aDarma-lakzaNe vedasya-eva
   pramāṇatvena niveśaḥ susthira eva /	pramANa-tvena niveSaH susTiraH eva /
   ato mantrārthavādādikalpyavidhividheye vedapramāṇakatvāddharmatvalābhaḥ //	atas mantra-arTa-vAda-Adi-kalpya-viDi-viDeye veda-pramANaka-tvAt-Darma-tva-lABaH //
   (codanāyāḥ sādhyasādhanetikartavyatābodhakapadasamudāyaparatvamiti	(codanAyAH sADya-sADana-iti-kartavyatA-boDaka-pada-samudAya-paratvam-iti
   pārthasārathimiśramatanirūpaṇam) yeṣāṃ tu mate - jijñāsāsūtre	pArTa-sAraTi-miSramatani-rUpaNam) yezAm tu mate  jijQAsA-sUtre
   dharmādharmaviṣayapramāṇamātre pratijñāte 'pi 'codanāsūtre codanā	Darma-aDarma-vizaya-pramANa-mAtre pratijQAte api acodanA-sUtre codanA
   copadeśaśrca vidhiśrcaikārthavācinaḥ' iti pramāṇatvamiha	ca-upadeSa-Srca viDiH-rca-eka-arTa-vAcinaHa iti pramANa-tvam-iha
   prasiddhamuktevaha dharme prati codanāyā ityādyanekabhāṣyavārtikasvārasyāt	prasidDa-muktA-ivaha Darme prati codanAyAH ityAdi-aneka-BAzya-vArtika-svArasyAt
   avayavavyutpattivaśācca	avayava-vyutpatti-vaSAt-ca
   vidhyuddeśāparaparyāyasādhyādiviśiṣṭakriyāpratipādakapadasamūhātmakavākyaparatvameva,	viDi-uddeSa-apara-paryAya-sADya-Adi-viSizwa-kriyA-pratipAdaka-pada-samUha-Atmaka-vAkya-paratvam-eva,
   saiva pramāṇamityeva ca niyamaḥ,	sA-eva pramANam-iti-eva ca niyamaH,
   pravartakatvaparyāptyadhikaraṇamantrārthavādanāmadheyopetavidhivākyavācitve	pravartaka-tva-paryApti-aDikaraNa-mantra-arTa-vAda-nAmaDeya-upeta-viDi-vAkya-vAci-tve
   kathañcidarthavādanirūpaṇasyādyalakṣaṇasaṃgatatve 'pi	kaTaQcid-arTa-vAda-nirUpaNasya-Adya-lakzaNa-saMgata-tve api
   tadbahirbhūtasmṛtyādivicārasyāsaṅgatatvāpatteḥ /	tad-bahis-BUta-smRti-Adi-vicArasya-asaFga-tatva-ApatteH /
   naca tavāpi codanātiriktasyāpi pramāṇasya nirūpaṇena codanaiveti	na-ca tava-api codanA-atiriktasya-api pramANasya nirUpaNena codanA-eva-iti
   niyamavyākopaḥ ; niyamānāṃ	niyama-vyAkopaH ; niyamAnAm
   tulyakakṣyavyudāsaphalatvaprasiddherarthavādasmṛtyādīnāṃ ca taccheṣatvena	tulya-kakzya-vyudAsa-Pala-tva-prasidDeH-arTa-vAda-smRti-AdInAm ca tad-Seza-tvena
   tanmūlatvena ca pramāṇasya codanātulyakatvābhāvāt /	tad-mUla-tvena ca pramANasya codanA-tulyaka-tva-aBAvAt /
   ataeva iti kartavyatāsthānīyasyārthavādasmṛtyādeḥ	ataeva iti kartavyatA-sTAnIyasya-arTavAda-smRti-AdeH
   codanaprāmāṇyapratijñayaiva prāmāṇyasya	codana-prAmANya-pratijQayA-eva prAmANyasya
   pratijñātatvātsamastasyādyalakṣaṇasya codanāsūtraparikaratvamācāryairuktam	pratijQAta-tvAt-samastasya-Adya-lakzaNasya codanA-sUtra-parikara-tvam-AcAryEH-uktam
   'codanāsūtranirdiṣṭo ya' ityādinā /	acodanA-sUtra-nirdizwaH yaH-a ityAdinA /
   tacca praśastatvādemantropakṛtenānena kamraṇā svargādi	tat-ca praSasta-tva-Ademantra-upakRtena-anena kamraNA svarga-Adi
   sādhayedityevaṃrūpāyāṃ dharmapramāyāṃ codanayā janyamānāyāṃ	sADayet-iti-evaMrUpAyAm Darma-pramAyAm codanayA janyamAnAyAm
   padārthasmārakatayā nāmadheyānāṃ karaṇaviśeṣanirdhārakatayā	padArTa-smArakatayA nAmaDeyAnAm karaNa-viSeza-nirDAraka-tayA
   sahakāribhūtānāṃ smṛtyādīnāṃ copasthāpakatayā	sahakAri-BUtAnAm smRti-AdInAm ca-upasTApaka-tayA
   codanāprāmāṇyapratijñāviṣayatvaṃ parigrahaśabdopādānātpratīyateṃ	codanA-prAmANya-pratijQA-vizaya-tvam parigraha-Sabda-upAdAnAt-pratIyatem
   nahyetāvatā codanāprāmāṇyapratipādanameva ; anupapatteḥ /	na-hi-etAvatA codanA-prAmANya-pratipAdanam-eva ; anupapatteH /
   saṃbhāvitamātrasya tu tathātve sarvasmin adhyāye tasyaiva karaṇāt	saMBAvita-mAtrasya tu taTA-tve sarvasmin aDyAye tasya-eva karaNAt-
   prabhṛttinivṛttisadbhāvāt sa upapadyate / tasmāt jijñāsāsūtre	praBRtti-nivRtti-sadBAvAt saH upapadyate / tasmAt jijQAsA-sUtre
   yāvaddharmādharmapramāṇajātamupakṣiptaṃ, tatra	yAvat-Darma-aDarma-pramANa-jAtam-upakziptan, tatra
   tryaṃśabhāvanāviṣayapravartanāpratipādakapadasamudāyamātravacanaṃ	tri-aMSa-BAvanA-vizaya-pravartana-apratipAdaka-pada-samudAya-mAtra-vacanam
   codanāśabdamaṅgīkṛtya tasyaiva pradhānabhūtasya dharmādharmaprāmāṇyaṃ	codanA-Sabdam-aFgIkRtya tasya-eva praDAna-BUtasya Darma-aDarma-prAmANyam
   codanāsūtre pratijñātaṃ, tadeva prathamapāde kātsnaryena nirūpitam /	codanA-sUtre pratijQAtaM, tat-eva praTama-pAde kAt-snaryena nirUpitam /
   codanātiriktānāmarthavādīnāṃ vedabhāgādīnāṃ smṛtyādīnāṃ	codanA-atiriktAnAm-arTavAdInAm veda-BAga-AdInAm smRti-AdInAm
   cāpradhānabhūtānāmapauruṣeyavedatulyatvātparigrahadāḍhyārcca	ca-apraDAna-BUtAnAm-apOruzeya-veda-tulya-tvAt-parigraha-dAXyArcca
   saṃbhāvitatvāt jijñāsitaṃ prathamasūtrapratijñātaṃ prāmāṇyaṃ nirūpyate	saMBAvita-tvAt jijQAsitam praTama-sUtra-pratijQAtam prAmANyam nirUpyate
   prasaṃgeneti pārthasārathimiśrābhipretameva yuktam - iti //	prasaMgena-iti pArTa-sAraTi-miSra-aBipretam-eva yuktam  iti //
   (uktamatakhaṇḍanena pūrvoktamatavyavasthāpanam) teṣāṃ mate	(ukta-mata-KaNxanena pUrva-ukta-mata-vyavasTApanam) tezAm mate
   vidhyuddeśāparaparyāyarūpeva codanā tallakṣaṇaghaṭikā /	viDi-uddeSa-apara-paryAya-rUpA-iva codanA tad-lakzaNa-GawikA /
   ataeva vidhitātparyaviṣayībhūteṣṭasādhanātākatvamityādyeva tallakṣaṇaṃ	ataeva viDitAtparya-vizayIBUta-izwa-sADanAtAka-tvam-iti-Adi-eva tad-lakzaNam
   sādhanikaiḥ kriyate /	sADanikEH kriyate /
   tathāpi laukikacodanāviṣayībhūteṣṭasādhanatāke 'tivyāptivāraṇāya	taTA-api lOkika-codanA-vizayIBUta-izwa-sADana-tAke ati-vyApti-vAraNAya
   avaśyopādīyamāne vaidikapade lāghavādvidhipadaṃ vihāya vedapadameva	avaSya-upAdIyamAne vEdika-pade lAGavAt-viDi-padam vihAya veda-padam-eva
   kevalaṃ dātumucitam /	kevalam dAtum-ucitam /
   yadyapi vā laukikaliṅādiprayoge 'jñātajñāpakatavābhāvāt na vidhitvamiti	yadi-api vA lOkikaliFA-Adi-prayoge ajQAta-jQApakatava-aBAvAt na viDi-tvam-iti
   vidhipadenaiva tadvāraṇam ; tathāpi	viDi-padena-eva tat-vAraNam ; taTA-api
   mantrārthavādamūlakeṣṭasādhanatābodhaviṣaye arthavādānāmeva pramāṇatvāt	mantra-arTa-vAda-mUlaka-izwa-sADana-tA-boDa-vizaye arTa-vAdAnAm-eva pramANa-tvAt-
   tatsādhāraṇyalābhāya vedapadameva praveśanīyamityabhipretya	tad-sADa-araNya-lABAya veda-padam-eva praveSanIyam-iti-aBipretya
   vedaghaṭitameva lakṣaṇaṃ pūjyapādairbhāṭṭarahasye uktam -	veda-Gawitam-eva lakzaNam pUjya-pAdEH-BAwwa-rahasye uktam -
   vedabodhitaśreyaḥ sādhanatākatvaṃ dharmatvam -	veda-boDita-SreyaH sADana-tAka-tvam Darma-tvam -
   vedabodhitāniṣṭasādhanatākatvamadharmatvam - iti //	veda-boDita-anizwa-sADana-tAka-tvam-aDarma-tvam  iti //
   (dalaprayojananirūpaṇapūrvakaṃ bhāṭṭarahasyoktadharmalakṣaṇasya lakṣyeṣu	(dala-prayojana-nirUpaNa-pUrvakam BAwwa-rahasya-ukta-Darma-lakzaNasya lakzyezu
   samanvayaḥ) asti cedaṃ jyotiṣṭomakalañjalabhakṣaṇādau ;	samanvayaH) asti ca-idam jyotizwoma-kalaQjala-BakzaNa-AdO ;
   tayoriṣṭāniṣṭasādhanatvasya vedabodhitatvāt /	tayoH-izwa-anizwa-sADana-tvasya veda-boDita-tvAt /
   vedabodhitatvaṃ brahmasvarganarakādāvapi ityuttaradalam ;	veda-boDita-tvam brahma-svarga-naraka-AdO=-api iti-uttara-dalam ;
   teṣāmiṣṭaniṣṭarūpatavena tatsādhanatvābhāvāt /	tezAm-izwa-nizwa-rUpatavena tad-sADana-tva-aBAvAt /
   annaviṣabhakṣaṇādau	anna-viza-BakzaNa-AdO
   tṛptimaraṇarūpeṣāniṣṭasādhanatavasatavāttadvāraṇāyādyam; tatsādhanatvasya	tRpti-maraNa-rUpeza-anizwa-sADana-tava-satavAt-tad-vAraNAya-Adyam; tad-sADana-tvasya
   lokata evāvagatatvāt /	lokataH eva-avagata-tvAt /
   vedabodhitatvaṃ ca vedajanyājñātajñānarūpabādhipratītiviṣayatvaṃ, tenā	veda-boDita-tvam ca veda-janyA-jQAta-jQAna-rUpa-bADi-pratIti-vizaya-tvan, tena-a
   'gnirhimasya bheṣajam' 'tarati śokamātmavit'	agniH-himasya Bezajam-a atarati Sokam-Atma-vit-a
   ityādivākyajanyaśokaśabdavācyāvidyānivṛttisādhane ātmajñāne	ityAdi-vAkya-janya-Soka-Sabda-vAcyA-avidyA-nivRtti-sADane Atma-jQAne
   himanivṛttijanake cāgnau nātivyāptiḥ ; tatsādhanatvasya	hima-nivRtti-janake ca-agnO na-ati-vyAptiH ; tad-sADana-tvasya
   pramāṇāntarajñātatvāt /	pramANa-antara-jQAta-tvAt /
   etādṛśājñātajñāpanatvalābhārthameva vedabodhitatvaṃ vedātiriktapramāṇena	etAdRSa-ajQAta-jQApanatva-lABa-arTam-eva veda-boDita-tvam veda-atirikta-pramANena
   svātantreṇābodhyatve sati vedabodhyatvamityādinā tatraiva vivṛtaṃ	svAtantreNa-aboDya-tve sati veda-boDya-tvam-ityAdinA tatra-eva vivRtam
   pujyapādeḥ /	pujyapAdeH /
   ataeva ajñātatvamapi svānupajīvimānāntarakṛtaṃ draṣṭavyam /	ataeva ajQAta-tvam-api sva-anupajIvimAna-antara-kRtam drazwavyam /
   tena pratyakṣadṛṣṭaśrutimūlakasmṛtyādibodhyeṣṭasādhanatāke nāvyāptiḥ,	tena pratyakza-dRzwa-Sruti-mUlaka-smRti-Adi-boDya-izwa-sADana-tAke na-avyAptiH,
   āpātapratipanneṣṭāniṣṭasādhanatvasyāpi vedabodhitatvāt	ApAta-pratipanna-izwa-anizwa-sADana-tvasya-api veda-boDita-tvAt-
   tatrātivyāptivāraṇāyābādhiteti /	tatra-ati-vyApti-vAraNAya-AbADitA-iti /
