   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
   evaṃsvarūpaṃ hi tadbhūtasūkṣmam etenaiva svarūpeṇālambanībhūtam eva	evaMsvarUpam hi tad-BUta-sUkzmam etena-eva svarUpeNa-AlambanIBUtam eva
   samādhiprajñāsvarūpam uparañjayati.	samADi-prajQA-svarUpam uparaQjayati.
        prajñā ca svarūpaśūnyevārthamātrā yadā bhavati tadā nirvicārety	prajQA ca svarUpa-SUnyA-iva-arTa-mAtrA yadA Bavati tadA nirvicAra-iti-
   ucyate. tatra mahadvastuviṣayā savitarkā nirvitarkā ca, sūkṣmavastuviṣayā	ucyate. tatra mahat-vastu-vizayA savitarkA nirvitarkA ca, sUkzma-vastu-vizayA
   savicārā nirvicārā ca. evam ubhayor etayaiva nirvitarkayā vikalpahānir	sa-vicArA nirvicArA ca. evam uBayoH etayA-eva nirvitarkayA vikalpa-hAniH-
   vyākhyāteti. 1.44	vyAKyAta-iti. 1.44
   sūkṣmaviṣayatvaṃ cāliṅgaparyavasānam || YS_1.45 ||	sUkzma-vizaya-tvam ca-aliFga-paryavasAnam || YH-_1.45 ||
        pārthivasyāṇor gandhatanmātraṃ sūkṣmo viṣayaḥ. āpyasya rasatanmātram.	pArTivasya-aNoH ganDa-tanmAtram sUkzmaH vizayaH. Apyasya rasa-tanmAtram.
   taijasasya rūpatanmātram. vāyavīyasya sparśatanmātram. ākāśasya	tEjasasya rUpa-tanmAtram. vAyavIyasya sparSa-tanmAtram. AkASasya
   śabdatanmātram iti. teṣām ahaṃkāraḥ. asyāpi liṅgamātraṃ sūkṣmo viṣayaḥ.	Sabda-tanmAtram iti. tezAm ahaMkAraH. asya-api liFga-mAtram sUkzmaH vizayaH.
   liṅgamātrasyāpy aliṅgaṃ sūkṣmo viṣayaḥ. na cāliṅgāt paraṃ sūkṣmam asti.	liFga-mAtrasya-api aliFgam sUkzmaH vizayaH. na ca-aliFgAt param sUkzmam asti.
   nanv asti puruṣaḥ sūkṣma iti satyam. yathā liṅgāt param aliṅgasya	nanu asti puruzaH sUkzmaH iti satyam. yaTA liFgAt param aliFgasya
   saukṣmyaṃ na caivaṃ puruṣasya. kiṃtu, liṅgasyānvayikāraṇaṃ puruṣo na	sOkzmyam na ca-evam puruzasya. kiMtu, liFgasya-anvayi-kAraNam puruzaH na
   bhavati, hetus tu bhavatīti. ataḥ pradhāne saukṣmyaṃ niratiśayaṃ	Bavati, hetuH tu Bavati-iti. atas praDAne sOkzmyam niratiSayam
   vyākhyātam. 1.45	vyAKyAtam. 1.45
   tā eva sabījaḥ samādhiḥ || YS_1.46 ||	tAH eva sa-bIjaH samADiH || YH-_1.46 ||
        tāś catasraḥ samāpattayo bahirvastubījā iti samādhir api sabījaḥ.	tAH catasraH samApattayaH bahis-vastu-bIjAH iti samADiH api sa-bIjaH.
   tatra sthūle 'rthe savitarko nirvitarkaḥ, sūkṣme 'rthe savicāro nirvicāra	tatra sTUle arTe savitarkaH nirvitarkaH, sUkzme arTe sa-vicAraH nirvicAra
   iti caturdhopasaṃkhyātaḥ samādhir iti. 1.46	iti caturDA-upasaMKyAtaH samADiH iti. 1.46
   nirvicāravaiśāradye 'dhyātmaprasādaḥ || YS_1.47 ||	nirvicAra-vESAradye aDyAtma-prasAdaH || YH-_1.47 ||
        aśuddhyāvaraṇamalāpetasya prakāśātmano buddhisattvasya rajastamobhyām	aSudDi-AvaraNa-mala-apetasya prakASa-AtmanaH budDi-sattvasya rajaH-tamoByAm
   anabhibhūtaḥ svacchaḥ sthitipravāho vaiśāradyam. yadā nirvicārasya	anaBiBUtaH svacCaH sTiti-pravAhaH vESAradyam. yadA nirvicArasya
   samādher vaiśāradyam idaṃ jāyate tadā yogino bhavaty adhyātmaprasādo	samADeH vESAradyam idam jAyate tadA yoginaH Bavati aDyAtma-prasAdaH-
   bhūtārthaviṣayaḥ kramānanurodhī sphuṭaḥ prajñālokaḥ. tathā coktam ---	BUta-arTa-vizayaH kramAn-anuroDI sPuwaH prajQA-lokaH. taTA ca-uktam ---
   "prajñāprasādam āruhya aśocyaḥ śocato janān / bhūmiṣṭhān iva śailasthaḥ	"prajQA-prasAdam Aruhya aSocyaH SocataH janAn / BUmizWAn iva SEla-sTaH
   sarvān prājño 'nupaśyati". 1.47	sarvAn prAjQaH anupaSyati". 1.47
   ṛtaṃbharā tatra prajñā || YS_1.48 ||	RtaMBarA tatra prajQA || YH-_1.48 ||
        tasmin samāhitacittasya yā prajñā jāyate tasyā ṛtaṃbhareti saṃjñā	tasmin samAhita-cittasya yA prajQA jAyate tasyAH RtaMBara-iti saMjQA
   bhavati. anvarthā ca sā, satyam eva bibharti na ca tatra	Bavati. anvarTA ca sA, satyam eva biBarti na ca tatra
   viparyāsajñānagandho 'py astīti. tathā coktam ---	viparyAsa-jQAna-ganDaH api asti-iti. taTA ca-uktam ---
        "āgamenānumānena dhyānābhyāsarasena ca /	"Agamena-anumAnena DyAna-aByAsa-rasena ca /
        tridhā prakalpayan prajñāṃ labhate yogam uttamam" iti. 1.48	triDA prakalpayan prajQAm laBate yogam uttamam" iti. 1.48
   sā punaḥ ---	sA punar ---
        śrutānumānaprajñābhyām anyaviṣayā viśeṣārthatvāt || YS_1.49 ||	Sruta-anumAna-prajQAByAm anya-vizayAH viSeza-arTa-tvAt || YH-_1.49 ||
   śrutam āgamavijñānaṃ tat sāmānyaviṣayam. na hy āgamena śakyo viśeṣo	Srutam Agama-vijQAnam tat sAmAnya-vizayam. na hi Agamena SakyaH viSezaH-
   'bhidhātum, kasmāt, na hi viśeṣeṇa kṛtasaṃketaḥ śabda iti. tathānumānaṃ	aBiDAtum, kasmAt, na hi viSezeNa kRta-saMketaH SabdaH iti. taTA-anumAnam
   sāmānyaviṣayam eva. yatra prāptis tatra gatir yatrāprāptis tatra na	sAmAnya-vizayam eva. yatra prAptiH tatra gatiH yatra-aprAptiH tatra na
   bhavati gatir ity uktam. anumānena ca sāmānyenopasaṃhāraḥ. tasmāc	Bavati gatiH iti uktam. anumAnena ca sAmAnyena-upasaMhAraH. tasmAt-
   chrutānumānaviṣayo na viśeṣaḥ kaścid astīti.	Cruta-anumAna-vizayaH na viSezaH kaScid asti-iti.
        na cāsya sūkṣmavyavahitaviprakṛṣṭasya vastuno lokapratyakṣeṇa	na ca-asya sUkzma-vyavahita-viprakRzwasya vastunaH loka-pratyakzeNa
   grahaṇam asti. na cāsya viśeṣasyāpramāṇakasyābhāvo 'stīti	grahaNam asti. na ca-asya viSezasya-apramANakasya-aBAvaH asti-iti
   samādhiprajñānirgrāhya eva sa viśeṣo bhavati bhūtasūkṣmagato vā puruṣagato	samADi-prajQA-nirgrAhyaH eva sa viSezaH Bavati BUta-sUkzma-gataH vA puruza-gataH-
   vā. tasmāc chrutānumānaprajñābhyām anyaviṣayā sā prajñā viśeṣārthatvād	vA. tasmAt Sruta-anumAna-prajQAByAm anya-vizayA sA prajQA viSeza-arTa-tvAt-
   iti. 1.49	iti. 1.49
   samādhiprajñāpratilambhe yoginaḥ prajñākṛtaḥ saṃskāro navo navo jāyate ---	samADi-prajQA-pratilamBe yoginaH prajQA-kRtaH saMskAraH navaH navaH jAyate ---
        tajjaḥ saṃskāro 'nyasaṃskārapratibandhī || YS_1.50 ||	tad-jaH saMskAraH anya-saMskAra-pratibanDI || YH-_1.50 ||
   samādhiprajñāprabhavaḥ saṃskāro vyutthānasaṃskārāśayaṃ bādhate.	samADi-prajQA-praBavaH saMskAraH vyutTAna-saMskAra-ASayam bADate.
   vyutthānasaṃskārābhibhavāt tatprabhavāḥ pratyayā na bhavanti.	vyutTAna-saMskAra-aBiBavAt tad-praBavAH pratyayAH na Bavanti.
   pratyayanirodhe samādhir upatiṣṭhate. tataḥ samādhijā prajñā, tataḥ	pratyaya-niroDe samADiH upatizWate. tatas samADi-jA prajQA, tatas-
   prajñākṛtāḥ saṃskārā iti navo navaḥ saṃskārāśayo jāyate. tataś ca prajñā,	prajQA-kRtAH saMskArAH iti navaH navaH saMskAra-ASayaH jAyate. tatas ca prajQA,
   tataś ca saṃskārā iti. katham asau saṃskārātiśayaś cittaṃ sādhikāraṃ na	tatas ca saMskArAH iti. kaTam asO saMskAra-atiSayaH cittam sADikAram na
   kariṣyatīti. na te prajñākṛtāḥ saṃskārāḥ kleśakṣayahetutvāc cittam	karizyati-iti. na te prajQA-kRtAH saMskArAH kleSa-kzaya-hetu-tvAt cittam
   adhikāraviśiṣṭaṃ kurvanti. cittaṃ hi te svakāryād avasādayanti.	aDikAra-viSizwam kurvanti. cittam hi te sva-kAryAt avasAdayanti.
   khyātiparyavasānaṃ hi cittaceṣṭitam iti. 1.50	KyAti-paryavasAnam hi citta-cezwitam iti. 1.50
   kiṃ cāsya bhavati ---	kim ca-asya Bavati ---
        tasyāpi nirodhe sarvanirodhān nirbījaḥ samādhiḥ || YS_1.51 ||	tasya-api niroDe sarva-niroDAt nirbIjaH samADiH || YH-_1.51 ||
   sa na kevalaṃ samādhiprajñāvirodhī prajñākṛtānām api saṃskārāṇāṃ	sa na kevalam samADi-prajQA-viroDI prajQA-kRtAnAm api saMskArANAm
   pratibandhī bhavati. kasmāt, nirodhajaḥ saṃskāraḥ samādhijān saṃskārān	pratibanDI Bavati. kasmAt, niroDa-jaH saMskAraH samADi-jAn saMskArAn
   bādhata iti.	bADataH iti.
        nirodhasthitikālakramānubhavena nirodhacittakṛtasaṃskārāstitvam	niroDa-sTiti-kAla-krama-anuBavena niroDa-citta-kRta-saMskAra-astitvam
   anumeyam. vyutthānanirodhasamādhiprabhavaiḥ saha kaivalyabhāgīyaiḥ	anumeyam. vyutTAna-niroDa-samADi-praBavEH saha kEvalya-BAgIyEH
   saṃskāraiś cittaṃ svasyāṃ prakṛtāv avasthitāyāṃ pravilīyate. tasmāt te	saMskArEH cittam svasyAm prakRtO avasTitAyAm pravilIyate. tasmAt te
   saṃskārāś cittasyādhikāravirodhino na sthitihetavo bhavantīti. yasmād	saMskArAH cittasya-aDikAra-viroDinaH na sTiti-hetavaH Bavanti-iti. yasmAt-
   avasitādhikāraṃ saha kaivalyabhāgīyaiḥ saṃskāraiś cittaṃ nivartate, tasmin	avasita-aDikAram saha kEvalya-BAgIyEH saMskArEH cittam nivartate, tasmin
   nivṛtte puruṣaḥ svarūpamātrapratiṣṭho 'taḥ śuddhaḥ kevalo mukta ity ucyata	nivRtte puruzaH sva-rUpa-mAtra-pratizWaH atas SudDaH kevalaH muktaH iti ucyata
   iti. 1.51	iti. 1.51
   iti śrīpātañjale sāṃkhyapravacane yogaśāstre śrīmadvyāsabhāṣye prathamaḥ	iti SrI-pAtaQjale sAMKya-pravacane yoga-SAstre SrImat-vyAsa-BAzye praTamaH
   samādhipādaḥ 1.	samADi-pAdaH 1.
   uddiṣṭaḥ samāhitacittasya yogaḥ. kathaṃ vyutthitacitto 'pi yogayuktaḥ syād	uddizwaH samAhita-cittasya yogaH. kaTam vyutTita-cittaH api yoga-yuktaH syAt-
   ity etad ārabhyate ---	iti etat AraByate ---
        tapaḥsvādhyāyeśvarapraṇidhānāni kriyāyogaḥ || YS_2.1 ||	tapaH-svADyAya-ISvara-praNiDAnAni kriyA-yogaH || YH-_2.1 ||
   nātapasvino yogaḥ sidhyati. anādikarmakleśavāsanācitrā	na-atapasvinaH yogaH siDyati. anAdi-karma-kleSa-vAsanA-citrA
   pratyupasthitaviṣayajālā cāśuddhir nāntareṇa tapaḥ saṃbhedam āpadyata iti	pratyupasTita-vizaya-jAlA ca-aSudDiH na-antareNa tapaH saMBedam Apadyate iti
   tapasa upādānam. tac ca cittaprasādanam abādhamānam anenāsevyam iti	tapasaH upAdAnam. tat ca citta-prasAdanam abADamAnam anena-Asevyam iti
   manyate.	manyate.
        svādhyāyaḥ praṇavādipavitrāṇāṃ japo mokṣaśāstrādhyayanaṃ vā.	svADyAyaH praNava-Adi-pavitrANAm japaH mokza-SAstra-aDyayanam vA.
   īśvarapraṇidhānaṃ sarvakriyāṇāṃ paramagurāv arpaṇaṃ tatphalasaṃnyāso vā.	ISvara-praNiDAnam sarva-kriyANAm parama-gurO arpaNam tad-Pala-saMnyAsaH vA.
   sa hi kriyāyogaḥ ---	sa hi kriyA-yogaH ---
        samādhibhāvanārthaḥ kleśatanūkaraṇārthaś ca || YS_2.2 ||	samADi-BAvanA-arTaH kleSa-tanUkaraNa-arTaH ca || YH-_2.2 ||
   sa hy āsevyamānaḥ samādhiṃ bhāvayati kleśāṃś ca pratanūkaroti.	sa hi AsevyamAnaH samADim BAvayati kleSAn ca pratanUkaroti.
   pratanūkṛtān kleśān prasaṃkhyānāgninā dagdhabījakalpān aprasavadharmiṇaḥ	pratanUkRtAn kleSAn prasaMKyAna-agninA dagDa-bIja-kalpAn aprasava-DarmiNaH
   kariṣyatīti. teṣāṃ tanūkaraṇāt punaḥ kleśair aparāmṛṣṭā	karizyati-iti. tezAm tanUkaraNAt punar kleSEH aparAmRzwA
   sattvapuruṣānyatāmātrakhyātiḥ sūkṣmā prajñā samāptādhikārā pratiprasavāya	sattva-puruza-anya-tA-mAtra-KyAtiH sUkzmA prajQA samApta-aDikArA pratiprasavAya
   kalpiṣyata iti. 2.2	kalpizyate iti. 2.2
   atha ke kleśāḥ kiyanto veti ---	aTa ke kleSAH kiyantaH vA-iti ---
        avidyāsmitārāgadveṣābhiniveśāḥ kleśāḥ || YS_2.3 ||	avidyA-smitA-rAga-dveza-aBiniveSAH kleSAH || YH-_2.3 ||
   kleśā iti pañca viparyayā ity arthaḥ. te spandamānā guṇādhikāraṃ	kleSAH iti paQca viparyayAH iti arTaH. te spandamAnA guNa-aDikAram
   draḍhayanti, pariṇāmam avasthāpayanti, kāryakāraṇasrota unnamayanti,	draXayanti, pariNAmam avasTApayanti, kArya-kAraNa-srotaH unnamayanti,
   parasparānugrahatantrībhūtvā karmavipākaṃ cābhinirharantīti. 2.3	paraspara-anugraha-tantrI-BUtvA karma-vipAkam ca-aBinirharanti-iti. 2.3
   avidyā kṣetram uttareṣāṃ prasuptatanuvicchinnodārāṇām || YS_2.4 ||	avidyA kzetram uttarezAm prasupta-tanu-vicCinna-udArANAm || YH-_2.4 ||
        atrāvidyā kṣetraṃ prasavabhūmir uttarareṣām asmitādīnāṃ	atra-avidyA kzetram prasava-BUmiH uttararezAm asmitA-AdInAm
   caturvidhavikalpānāṃ prasuptatanuvicchinnodārāṇām. tatra kā prasuptiḥ.	caturviDa-vikalpAnAm prasupta-tanu-vicCinna-udArANAm. tatra kA prasuptiH.
   cetasi śaktimātrapratiṣṭhānāṃ bījabhāvopagamaḥ. tasya prabodha ālambane	cetasi Sakti-mAtra-pratizWAnAm bIja-BAva-upagamaH. tasya praboDaH Alambane
   saṃmukhībhāvaḥ. prasaṃkhyānavato dagdhakleśabījasya saṃmukhībhūte 'py	saMmuKIBAvaH. prasaMKyAnavataH dagDa-kleSa-bIjasya saMmuKIBUte api-
   ālambane nāsau punar asti, dagdhabījasya kutaḥ praroha iti. ataḥ	Alambane na-asO punar asti, dagDa-bIjasya kutas prarohaH iti. atas-
   kṣīṇakleśaḥ kuśalaś caramadeha ity ucyate. tatraiva sā dagdhabījabhāvā	kzINa-kleSaH kuSalaH carama-dehaH iti ucyate. tatra-eva sA dagDa-bIja-BAvA
   pañcamī kleśāvasthā nānyatreti. satāṃ kleśānāṃ tadā bījasāmarthyaṃ dagdham	paQcamI kleSa-avasTA na-anyatra-iti. satAm kleSAnAm tadA bIja-sAmarTyam dagDam
   iti viṣayasya saṃmukhībhāve 'pi sati na bhavaty eṣāṃ prabodha ity uktā	iti vizayasya saMmuKIBAve api sati na Bavati ezAm praboDaH iti uktA
   prasuptir dagdhabījānām aprarohaś ca.	prasuptiH dagDa-bIjAnAm aprarohaH ca.
        tanutvam ucyate --- pratipakṣabhāvanopahatāḥ kleśās tanavo bhavanti.	tanu-tvam ucyate -- pratipakza-BAvanA-upahatAH kleSAH tanavaH Bavanti.
   tathā vicchidya vicchidya tena tenātmanā punaḥ punaḥ samudācarantīti	taTA vicCidya vicCidya tena tena-AtmanA punar punar samudAcaranti-iti
   vicchinnāḥ. kathaṃ, rāgakāle krodhasyādarśanāt. na hi rāgakāle krodhaḥ	vicCinnAH. kaTaM, rAga-kAle kroDasya-adarSanAt. na hi rAga-kAle kroDaH
   samudācarati. rāgaś ca kvacid dṛśyamāno na viṣayāntare nāsti. naikasyāṃ	samudAcarati. rAgaH ca kvacid dRSyamAnaH na vizaya-antare nAsti. na-ekasyAm
   striyāṃ caitro rakta ity anyāsu strīṣu viraktaḥ, kiṃtu tatra rāgo	striyAm cEtraH raktaH iti anyAsu strIzu viraktaH, kiMtu tatra rAgaH-
   labdhavṛttir anyatra tu bhaviṣyadvṛttir iti. sa hi tadā	labDa-vRttiH anyatra tu Bavizyat-vRttiH iti. sa hi tadA
   prasuptatanuvicchinno bhavati.	prasupta-tanu-vicCinnaH Bavati.
        viṣaye yo labdhavṛttiḥ sa udāraḥ. sarva evaite kleśaviṣayatvaṃ	vizaye yaH labDa-vRttiH saH udAraH. sarve eva-ete kleSa-vizaya-tvam
   nātikrāmanti. kas tarhi vicchinnaḥ prasuptas tanur udāro vā kleśa iti,	na-atikrAmanti. kaH tarhi vicCinnaH prasuptaH tanuH udAraH vA kleSaH iti,
   ucyate --- satyam evaitat, kiṃtu viśiṣṭānām evaiteṣāṃ vicchinnāditvam.	ucyate -- satyam eva-etat, kiMtu viSizwAnAm eva-etezAm vicCinna-Adi-tvam.
   yathaiva pratipakṣabhāvanāto nivṛttas tathaiva svavyañjakāñjanenābhivyakta	yaTA-eva pratipakza-BAvanAtaH nivRttaH taTA-eva sva-vyaQjaka-aQjanena-aBivyakta
   iti. sarva evāmī kleśā avidyābhedāḥ. kasmāt, sarveṣv avidyaivābhiplavate.	iti. sarve eva-amI kleSAH avidyA-BedAH. kasmAt, sarvezu avidyA-eva-aBiplavate.
   yad avidyayā vastv ākāryate tad evānuśerate kleśā viparyāsapratyayakāla	yat avidyayA vastu AkAryate tat eva-anuSerate kleSAH viparyAsa-pratyaya-kAla
   upalabhyante kṣīyamāṇāṃ cāvidyām anu kṣīyanta iti. 2.4	upalaByante kzIyamANAm ca-avidyAm anu kzIyante iti. 2.4
   tatrāvidyāsvarūpam ucyate ---	tatra-avidyA-svarUpam ucyate ---
        anityāśuciduḥkhānātmasu nityaśucisukhātmakhyātir avidyā || YS_2.5 ||	anitya-aSuci-duHKa-anAtmasu nitya-Suci-suKa-Atma-KyAtiH avidyA || YH-_2.5 ||
   anitye kārye nityakhyātiḥ. tadyathā --- dhruvā pṛthivī, dhruvā	anitye kArye nitya-KyAtiH. tat-yaTA -- DruvA pRTivI, DruvA
   sacandratārakā dyauḥ, amṛtā divaukasa iti. tathāśucau paramabībhatse kāye,	sa-candra-tArakA dyOH, amRtA divOkasaH iti. taTA-aSucO parama-bIBatse kAye,
        "sthānād bījād upaṣṭambhān niḥsyandān nidhanād api /	"sTAnAt bIjAt upazwamBAt niHsyandAt niDanAt api /
        kāyam ādheyaśaucatvāt paṇḍitā hy aśuciṃ viduḥ" //	kAyam ADeya-SOca-tvAt paNxitAH hi aSucim viduH" //
   iti aśucau śucikhyātir dṛśyate. naveva śaśāṅkalekhā kamanīyeyaṃ kanyā	iti aSucO Suci-KyAtiH dRSyate. navA-iva SaSAFka-leKA kamanIyA-iyam kanyA
   madhvamṛtāvayavanirmiteva candraṃ bhittvā niḥsṛteva jñāyate,	maDu-amRta-avayava-nirmitA-iva candram BittvA niHsRtA-iva jQAyate,
   nīlotpalapatrāyatākṣī hāvagarbhābhyāṃ locanābhyāṃ jīvalokam	nIlotpala-patra-Ayata-akzI ha-ava-garBAByAm locanAByAm jIva-lokam
   āśvāsayantīveti kasya kenābhisaṃbandhaḥ. bhavati caivam aśucau	ASvAsayantI-iva-iti kasya kena-aBisaMbanDaH. Bavati ca-evam aSucO
   śuciviparyāsapratyaya iti. etenāpuṇye puṇyapratyayas tathaivānarthe	Suci-viparyAsa-pratyayaH iti. etena-apuNye puNya-pratyayaH taTA-eva-anarTe
   cārthapratyayo vyākhyātaḥ.	ca-arTa-pratyayaH vyAKyAtaH.
        tathā duḥkhe sukhakhyātiṃ vakṣyati --- "pariṇāmatāpasaṃskāraduḥkhair	taTA duHKe suKa-KyAtim vakzyati -- "pariNAma-tApa-saMskAra-duHKEH-
   guṇavṛttivirodhāc ca duḥkham eva sarvaṃ vivekinaḥ" iti. tatra sukhakhyātir	guNa-vRtti-viroDAt ca duHKam eva sarvam vivekinaH" iti. tatra suKa-KyAtiH-
   avidyā. tathānātmany ātmakhyātir bāhyopakaraṇeṣu cetanācetaneṣu	avidyA. taTA-anAtmani Atma-KyAtiH bAhya-upakaraNezu cetana-acetanezu
   bhogādhiṣṭhāne vā śarīre puruṣopakaraṇe vā manasy anātmany ātmakhyātir	Boga-aDizWAne vA SarIre puruza-upakaraNe vA manasi anAtmani Atma-KyAtiH-
   iti. tathaitad atroktam --- "vyaktam avyaktaṃ vā sattvam	iti. taTA-etat atra-uktam -- "vyaktam avyaktam vA sattvam
   ātmatvenābhipratītya tasya saṃpadam anu nandaty ātmasaṃpadaṃ manvānas	Atma-tvena-aBipratItya tasya saMpadam anu nandati Atma-saMpadam manvAnaH-
   tasya vyāpadam anu śocaty ātmavyāpadaṃ manvānaḥ sa sarvo 'pratibuddhaḥ"	tasya vyApadam anu Socati Atma-vyApadam manvAnaH sa sarvaH apratibudDaH"
   iti. eṣā catuṣpadā bhavaty avidyā mūlam asya kleśasaṃtānasya karmāśayasya	iti. ezA catuzpadA Bavati avidyA mUlam asya kleSa-saMtAnasya karma-ASayasya
   ca savipākasyeti.	ca sa-vipAkasya-iti.
        tasyāś cāmitrāgoṣpadavadvastusatattvaṃ vijñeyam. yathā nāmitro	tasyAH ca-amitrAgozpada-vat-vastu-sa-tattvam vijQeyam. yaTA na-amitraH-
   mitrābhāvo na mitramātraṃ kiṃtu tadviruddhaḥ sapatnaḥ. yathā vāgoṣpadaṃ na	mitra-aBAvaH na mitra-mAtram kiMtu tad-virudDaH sapatnaH. yaTA vAc-ozpadam na
   goṣpadābhāvo na goṣpadamātraṃ kiṃtu deśa eva tābhyām anyad vastvantaram.	gozpada-aBAvaH na gozpada-mAtram kiMtu deSaH eva tAByAm anyat vastu-antaram.
   evam avidyā na pramāṇaṃ na pramāṇābhāvaḥ kiṃtu vidyāviparītaṃ jñānāntaram	evam avidyA na pramANam na pramANa-aBAvaH kiMtu vidyA-viparItam jQAna-antaram
   avidyeti. 2.5	avidyA-iti. 2.5
   dṛgdarśanaśaktyor ekātmatevāsmitā || YS_2.6 ||	dRS-darSana-SaktyoH eka-Atma-tA-iva-asmitA || YH-_2.6 ||
        puruṣo dṛkśaktir buddhir darśanaśaktir ity etayor ekasvarūpāpattir	puruzaH dRS-SaktiH budDiH darSana-SaktiH iti etayoH eka-svarUpa-ApattiH-
   ivāsmitā kleśa ucyate. bhoktṛbhogyaśaktyor atyantavibhaktayor	iva-asmitA kleSaH ucyate. BoktR-Bogya-SaktyoH atyanta-viBaktayoH-
   atyantāsaṃkīrṇayor avibhāgaprāptāv iva satyāṃ bhogaḥ kalpate.	atyanta-asaMkIrNayoH aviBAga-prAptO iva satyAm BogaH kalpate.
   svarūpapratilambhe tu tayoḥ kaivalyam eva bhavati kuto bhoga iti. tathā	svarUpa-pratilamBe tu tayoH kEvalyam eva Bavati kutas BogaH iti. taTA
   coktam --- "buddhitaḥ paraṃ puruṣam ākāraśīlavidyādibhir vibhaktam apaśyan	ca-uktam -- "budDitaH param puruzam AkAra-SIla-vidyA-AdiBiH viBaktam apaSyan
   kuryāt tatrātmabuddhiṃ mohena" iti. 2.6	kuryAt tatra-Atma-budDim mohena" iti. 2.6
   sukhānuśayī rāgaḥ || YS_2.7 ||	suKa-anuSayI rAgaH || YH-_2.7 ||
        sukhābhijñasya sukhānusmṛtipūrvaḥ sukhe tatsādhane vā yo gardhas	suKa-aBijQasya suKa-anusmRti-pUrvaH suKe tad-sADane vA yaH garDas
   tṛṣṇā lobhaḥ sa rāga iti. 2.7	tRzNA loBaH sa rAgaH iti. 2.7
   duḥkhānuśayī dveṣaḥ || YS_2.8 ||	duHKa-anuSayI dvezaH || YH-_2.8 ||
        duḥkhābhijñasya duḥkhānusmṛtipūrvo duḥkhe tatsādhane vā yaḥ pratigho	duHKa-aBijQasya duHKa-anusmRti-pUrvaH duHKe tad-sADane vA yaH pratiGaH-
   manyur jighāṃsā krodhaḥ sa dveṣaḥ. 2.8	manyuH jiGAMsA kroDaH sa dvezaH. 2.8
   svarasavāhī viduṣo 'pi tathā rūḍho 'bhiniveśaḥ || YS_2.9 ||	svarasa-vAhI viduzaH api taTA rUXaH aBiniveSaH || YH-_2.9 ||
        sarvasya prāṇina iyam ātmāśīr nityā bhavati mā na bhūvaṃ bhūyāsam	sarvasya prANinaH iyam Atma-ASIH nityA Bavati mA na BUvam BUyAsam
   iti. na cānanubhūtamaraṇadharmakasyaiṣā bhavaty ātmāśīḥ. etayā ca	iti. na ca-ananuBUta-maraNa-Darmakasya-ezA Bavati Atma-ASIH. etayA ca
   pūrvajanmānubhavaḥ pratīyate. sa cāyam abhiniveśaḥ kleśaḥ svarasavāhī	pUrva-janma-anuBavaH pratIyate. sa ca-ayam aBiniveSaH kleSaH svarasa-vAhI
   kṛmer api jātamātrasya pratyakṣānumānāgamair asaṃbhāvito maraṇatrāsa	kRmeH api jAta-mAtrasya pratyakza-anumAna-AgamEH asaMBAvitaH maraNa-trAsa
   ucchedadṛṣṭyātmakaḥ pūrvajanmānubhūtaṃ maraṇaduḥkham anumāpayati.	ucCeda-dRzwi-AtmakaH pUrva-janma-anuBUtam maraNa-duHKam anumApayati.
        yathā cāyam atyantamūḍheṣu dṛśyate kleśas tathā viduṣo 'pi	yaTA ca-ayam atyanta-mUXezu dRSyate kleSaH taTA viduzaH api
   vijñātapūrvāparāntasya rūḍhaḥ. kasmāt samānā hi tayoḥ kuśalākuśalayor	vijQAta-pUrva-apara-antasya rUXaH. kasmAt samAnAH hi tayoH kuSala-akuSalayoH-
   maraṇaduḥkhānubhavād iyaṃ vāsaneti. 2.9	maraNa-duHKa-anuBavAt iyam vAsaneti. 2.9
   te pratiprasavaheyāḥ sūkṣmāḥ || YS_2.10 ||	te pratiprasava-heyAH sUkzmAH || YH-_2.10 ||
        te pañca kleśā dagdhabījakalpā yoginaś caritādhikāre cetasi pralīne	te paQca kleSAH dagDa-bIja-kalpAH yoginaH carita-aDikAre cetasi pralIne
   saha tenaivāstaṃ gacchanti. 2.10	saha tena-eva-astam gacCanti. 2.10
   sthitānāṃ tu bījabhāvopagatānām ---	sTitAnAm tu bIja-BAva-upagatAnAm ---
        dhyānaheyās tadvṛttayaḥ || YS_2.11 ||	DyAna-heyAH tad-vRttayaH || YH-_2.11 ||
   kleśānāṃ yā vṛttayaḥ sthūlās tāḥ kriyāyogena tanūkṛtāḥ satyaḥ	kleSAnAm yAH vRttayaH sTUlAH tAH kriyA-yogena tanUkRtAH satyaH
   prasaṃkhyānena dhyānena hātavyā yāvat sūkṣmīkṛtā yāvad dagdhabījakalpā	prasaMKyAnena DyAnena hAtavyAH yAvat sUkzmIkRtA yAvat dagDa-bIja-kalpA
   iti. yathā vastrāṇāṃ sthūlo malaḥ pūrvaṃ nirdhūyate paścāt sūkṣmo	iti. yaTA vastrANAm sTUlaH malaH pUrvam nirDUyate paScAt sUkzmaH-
   yatnenopāyena cāpanīyate tathā svalpapratipakṣāḥ sthūlā vṛttayaḥ kleśānāṃ,	yatnena-upAyena ca-apanIyate taTA su-alpa-pratipakzAH sTUlAH vRttayaH kleSAnAM,
