   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   api tvityādi utpādayerannityetadantena vyāptiḥ / śrāvakairapi	api tu ityAdi utpAdayeran= iti etad antena vyAptiH / SrAvakEH api
   bodhipariṇatikaiḥ samyaksambodhau cittasyotpādanāt / te hi svāṃ	boDi pariNatikEH samyaksamboDO cittasya utpAdanAt / te hi svAm
   bodhimadhigamyāpi buddhabodhisattvānāṃ lokottarāṃ vibhūtiṃ dṛṣṭvā	boDim aDigamya api budDa boDisattvAnAm lokottarAm viBUtim dRzwvA
   vañcitamivātmānaṃ manyamānāstathāgatairadhiṣṭhitāstadvodhau	vaQcitam iva AtmAnam manyamAnAH taTAgatEH aDizWitAH tad voDO
   cittamutpādyācalyabhūmikabodhisattvavannirmitābhirupapattibhirbodhicaryāṃ	cittam utpAdya acalya BUmika boDisattva vat nirmitABiH upapattiBiH boDi caryAm
   caritvā parāṃ bodhimadhigacchantīti vyāptiḥ //	caritvA parAm boDim aDigacCanti iti vyAptiH //
   nāhaṃ kuśalamūlasyāntarāyaṃ karomīti / svabhāvaḥ kuśalarāśiḥ /	na aham kuSala mUlasya antarAyam karomi iti / svaBAvaH kuSala rASiH /
   sarvakuśaladharmasaṃgrāhakatvāccittotpādasyeti kuśalapakṣatvaṃ yogyatāyāḥ	sarva kuSala Darma saMgrAhaka tvAt citta utpAdasya iti kuSala pakza tvam yogyatAyAH
   svabhāvaḥ / viśiṣṭebhyo hi dharmebhyo viśiṣṭatamā dharmā adhyālambitavyā	svaBAvaH / viSizweByaH hi DarmeByaH viSizwatamA DarmAH aDyAlambitavyA
   iti kāritram / viśiṣṭebhya iti bodhicittasaṃgṛhītebhyaḥ / hetau pañcamā /	iti kAritram / viSizweByaH iti boDi citta saMgRhIteByaH / hetO paQcamA /
   viśiṣṭatamā dharmā iti mahāyānasaṃgṛhītāḥ phalahetubhūtāḥ /	viSizwatamAH DarmAH iti mahAyAna saMgRhItAH Pala hetu BUtAH /
   adhyālambitavyā iti prāptavyāḥ / tasmānnāntarāyaṃ karomīti śabdārthaḥ /	aDyAlambitavyAH iti prAptavyAH / tasmAt na antarAyam karomi iti Sabda arTaH /
   iti dvividhamahāyānaprāpaṇaṃ bodhicittasya kāritram //	iti dviviDa mahAyAna prApaNam boDi cittasya kAritram //
   tadevaṃ kecidvodhicittotpādanārthamutsāhitāḥ purvamutpāditabodhicittāstu	tat evam kecid voDi citta utpAdana arTam utsAhitAH purvam utpAdita boDi cittAH tu
   saṃpraharṣitāḥ / evamutpāditabodhicittvatvādubhayepi te bodhisattvā	saMpraharzitAH / evam utpAdita boDi cittva tvAt uBayepi te boDisattvA
   (RSt_23) mahāsattvāḥ santo mārgajñatāyāmutsāhitāḥ / ata āha / atha	(RSt _23) mahAsattvAH santaH mArga jQa tAyAm utsAhitAH / atas Aha / aTa
   khalvityādi / sādhustvamiti mahataḥ parārthasya karaṇāt / bhagavataḥ	Kalu ityAdi / sADuH tvam iti mahataH para arTasya karaNAt / BagavataH
   kṛtajñairit / yathā pūrvaṃ jinaputrasya bhagavatastacchrāvakairbahukṛtaṃ	kRtajQEH id / yaTA pUrvam jinaputrasya BagavataH tad SrAvakEH bahu kRtam
   tathāsmābhirbhagavataḥ śrāvakairbhagavatputrāṇāṃ bodhisattvānāṃ	taTA asmABiH BagavataH SrAvakEH Bagavat putrANAm boDisattvAnAm
   bahukartavyamiti kṛtajñatārthaḥ / tatkasya hetoriti / tatkṛtajñatvaṃ kena	bahu kartavyam iti kRtajQa tA arTaH / tat kasya hetoH iti / tad kRtajQa tvam kena
   prakāreṇa? pūrvakā eva paurvakāḥ / brahma nirvāṇaṃ tasmai caraṇaṃ	prakAreNa? pUrvakAH eva pOrvakAH / brahma nirvANam tasmE caraNam
   brahmacaryam / taccaraṇaṃ bodhāyeti bodhaye / bodhicaryāṃ caratīti yāvat /	brahmacaryam / tad caraNam boDAya iti boDaye / boDi caryAm carati iti yAvat /
   yairiti vibhaktipratirūpako nipāto yathārthaḥ avodita iti samprasāraṇam /	yEH iti viBakti pratirUpakaH nipAtaH yaTArTaH avoditaH iti samprasAraNam /
   vada vyaktāyāṃ vācityasya yajāditvāt / avavadita iti kvacitpāṭhaḥ / tatra	vada vyaktAyAm vAcityasya yaja Adi tvAt / avavaditaH iti kvacid pAWaH / tatra
   vada sthairya ityayaṃ dhāturanekārthatvāt / anuparigrahītavyā	vada sTEryaH iti ayam DAtuH aneka arTa tvAt / anuparigrahItavyA
   ityavavaditavyāḥ / anuparivārayitavyā iti anuśāsitavyāḥ / uttarayoḥ	iti avavaditavyAH / anuparivArayitavyAH iti anuSAsitavyAH / uttarayoH
   padayoḥ saṃśabdaḥ samyagarthaḥ / asmābhirapīti śrāvakairapi / ātmasa	padayoH saMSabdaH samyak arTaH / asmABiH api iti SrAvakEH api / Atmasa
   [jā]tīyeṣvapyātmavyavahārāt / sādhu cetyavahitaśrotratayā / suṣṭhu	[jA]tIyezu api Atma vyavahArAt / sADu ca iti avahita Srotra tayA / suzWu
   cetyavahitamanaskatayā / manasikurviti cintābhāvanābhyām /	ca iti avahita manaskatayA / manasikuru iti cintA BAvanAByAm /
   prajñāpāramitāyāṃ sthātavyamiti mārgajñatāyāṃ veditavyam /	prajQApAramitAyAm sTAtavyam iti mArga jQa tAyAm veditavyam /
   tatrādau śrāvakamārgaḥ / tatra darśanamārgamadhikṛtyāha / śūnyatāyāmityādi	tatra AdO SrAvaka mArgaH / tatra darSana mArgam aDikRtya Aha / SUnyatAyAm ityAdi
   / aviparītatvāccatvāri satyāni / āryāṇāṃ satyatvena pratibhānti na bālānāṃ	/ aviparIta tvAt catvAri satyAni / AryANAm satya tvena pratiBAnti na bAlAnAm
   tasmāttānyevāryasatyāni / duḥkha samudayo nirodho mārgaśca / tatra duḥkhaṃ	tasmAt tAni eva Arya satyAni / duHKa samudayaH niroDaH mArgaH ca / tatra duHKam
   saṃsāriṇaḥ skandhāḥ / duḥkhahetuḥ samadayaḥ / duḥkhakṣayo nirodhaḥ /	saMsAriNaH skanDAH / duHKa hetuH samadayaH / duHKa kzayaH niroDaH /
   tatprāpakaṃ jñānaṃ mārgaḥ / eṣāṃ caturṇāmāryasatyānāṃ ya ākārāsteṣāṃ	tad prApakam jQAnam mArgaH / ezAm caturNAm Arya satyAnAm ye AkArAH tezAm
   śūnyatāyāṃ tiṣṭhatā śūnyatāṃ paśyatā prajñāpāramitāyāmiti śrāvakīye	SUnyatAyAm tizWatA SUnyatAm paSyatA prajQApAramitAyAm iti SrAvakIye
   darśanamārge sthātavyaṃ samāhitena cetasā / śūnyatādarśanaṃ cānupalambha	darSana mArge sTAtavyam samAhitena cetasA / SUnyatA darSanam ca anupalamBa
   eva / tataḥ śāstram 	eva / tatas SAstram 
   [35] caturṇāmāryasatyānāṃ ākārānupalambhataḥ /	[35] caturNAm Arya satyAnAm AkAra anupalamBataH /
   śrāvakāṇāmayaṃ mārgo jñeyo mārgajñatānaye // 2 2 //	SrAvakANa Amayam mArgaH jQeyaH mArga jQa tA naye // 2 2 //
   śrāvakapiṭake ca satyanāṃ ṣoḍaśākārāḥ paṭhayante / duḥkhamanityato	SrAvaka piwake ca satyanAm zoxaSa AkArAH paWayante / duHKam anityataH 
   duḥkhato 'nātmataḥ śūnyataśca parijñeyam / samadayo hetutaḥ samudayataḥ	duHKataH anAtmataH SUnyataH ca parijQeyam / samadayaH hetutaH samudayataH
   prabhavataḥ pratyayataśca / nirodho nirodhataḥ śāntataḥ praṇītato	praBavataH pratyayataH ca / niroDaH niroDataH SAntataH praNItataH 
   niḥśa(sa)raṇataśca / mārgo mārgato nyāyataḥ pratipattito niryāṇikataśceti	niHSa( sa)raNataH ca / mArgaH mArgataH nyAyataH pratipattitaH niryANikataH ca iti
   // amī neha gṛhyante / ye tu mahatyorbhagavatyoḥ paṭhitāsta iha gṛhyante /	// amI na iha gRhyante / ye tu mahatyoH BagavatyoH paWitAH te iha gRhyante /
   pratyāsatteḥ śrāvakabodheśca lāghaveneti (RSt_24) prāpaṇāt / tatra duḥkhaṃ	pratyAsatteH SrAvaka boDeH ca lAGavena iti (RSt _24) prApaNAt / tatra duHKam
   caturbhirākārairmanasikaroti pūrvavat / anityato duḥkhato 'nātmataḥ	caturBiH AkArEH manasikaroti pUrvavat / anityataH duHKataH anAtmataH
   śāntataśca yathākramamudayavyayayogitvāt pratikūlatvāt ātmavilakṣaṇatvāt /	SAntataH ca yaTAkramam udaya vyaya yogi tvAt pratikUla tvAt Atma vilakzaNa tvAt /
   ātmaśūnyatvācca / ātmaśūnyo hi śāntaḥ / tadyathā kuṇapaḥ /	Atma SUnya tvAt ca / Atma SUnyaH hi SAntaH / tat yaTA kuNapaH /
   samudayamekādaśabhirākāraiḥ / tatra caturbhirākāraiḥ	samudayam ekAdaSaBiH AkArEH / tatra caturBiH AkArEH
   prahāṇārhattvajñāpanārtham / rogato gaṇḍataḥ śalyato 'ghataśca	prahANa arhat tva jQApana arTam / rogataH gaNxataH SalyataH aGataH ca
   duḥkhahetutvāddaḥkhotkarṣahetutvāduruddharatvāt /	duHKa hetu tvAt daHKa utkarza hetutva aduH udDara tvAt /
   aihikāmatrikaduḥkhahetutvena pāpasādharmyācca / punaścaturbhiḥ	EhikAma trika duHKa hetu tvena pApa sADarmyAt ca / punar caturBiH
   śa(sa)kya(tya)tvaparijñāpanārtham / parataḥ pralobhadharmataścalataḥ	Sa(sa)kya(ti a)tu a parijQApana arTam / paratas praloBa DarmataH calataH
   prabhaḍgurataśca / ātmā hi hātumaśakto 'yaṃ tu paraḥ /	praBaxguH atas ca / AtmA hi hAtum aSaktaH ayam tu paraH /
   pratikṣaṇavināśitvāt / pralopadharmā ca / arhabhdirunmūlitatvāt / calaśca	pratikzaNa vinASi tvAt / pralopa DarmA ca / arhaBdiH unmUlita tvAt / calaH ca
   prakṛtena mārgeṇa bhaṅgitvāt prabhaṅguraśca / ātaptakāritārtha	prakRtena mArgeNa BaFgi tvAt praBaFguraH ca / Atapta kArita arTa
   punastribhiḥ / bhayata upadravata upasargataśca /	punar triBiH / BayataH upadravataH upasargataH ca /
   aśanipātādivabhdayahetutvāt / bhūtarākṣasādisādharmyāt	aSani pAta Adi vaBdaya hetu tvAt / BUta rAkzasa Adi sADarmyAt
   durbhikṣaparacakrādisādharmyācceti / pratilomaḥ pratītyasamutpādo	durBikza para cakra Adi sADarmyAt ca iti / pratilomaH pratItyasamutpAdaH 
   avidyānirodhāt saṃskāranirodha ityata ārabhya evamasya kevalasya mahato	avidyA niroDAt saMskAra niroDaH iti atas AraByaH evam asya kevalasya mahataH 
   duḥkhaskandhasya nirodho bhavatīti yāvat / tatra niruddhirnirodha iti	duHKa skanDasya niroDaH Bavati iti yAvat / tatra nirudDiH niroDaH iti
   nirodhasatyam / nirudhyate 'neneti nirodho mārgasatyaṃ saptabhirākāraiḥ /	niroDa satyam / niruDyate anena iti niroDaH mArga satyam saptaBiH AkArEH /
   anātmataḥ śāntato viviktataḥ śūnyata ānimittataḥ apraṇihitato	anAtmataH SAntataH viviktataH SUnyate AnimittataH apraNihitataH 
   'nabhisaṃskārataśca / ātmā hi yogino duḥkhātmanaḥ skandhāḥ / ato	anaBisaMskArataH ca / AtmA hi yoginaH duHKa AtmanaH skanDAH / atas 
   duḥkhābhāvādanātmā kleśopaśamācchāntaḥ / duḥkhakleśāvaśucī	duHKa aBAvAt anAtmA kleSa upaSamAt SAntaH / duHKa kleSO= aSucI
   tayorūpaśamādviviktaḥ / śūcirityarthaḥ / ātmātmīyavirahācchūnyaḥ /	tayaH rUpa SamAt viviktaH / SUciH iti arTaH / Atma AtmIya virahAt SUnyaH /
   sarvasaṃskṛtanimittābhāvādānimittaḥ / traidhātuke praṇidhānaṃ praṇihitam /	sarva saMskRta nimitta aBAvAt A nim ittaH / trEDAtuke praNiDAnam praNihitam /
   tat kṣayādapraṇihitaḥ / āyatyāṃ karmābhisaṃskārābhāvādanabhisaṃskāraḥ /	tat kzayAt apraNihitaH / AyatyAm karma aBisaMskAra aBAvAt anaBisaMskAraH /
   mārgasatyamapyebhireva saptabhirākāraiḥ / nirodhaprāpako hi mārgaḥ / tato	mArga satyam api eBiH eva saptaBiH AkArEH / niroDa prApakaH hi mArgaH / tatas 
   'nātmaśāntaviviktādiprāpakatvānmārgopyanātmā śānto viviktaḥ śūnya ānimitto	anAtma SAnta vivikta Adi prApaka tvAt mArga upyana AtmA SAntaH viviktaH SUnyaH AnimittaH 
   'praṇihito 'nabhisaṃskāraśca / evamekonatriṃśadākāra iha śrāvakamārga āsu	apraNihitaH anaBisaMskAraH ca / evam ekonatriMSat AkAraH iha SrAvaka mArgaH Asu
   tabdodhiprāpaṇāt / sa caiṣāmākārāṇāmanupalambhena mārgajñatāyāṃ praviśati	tabdoDi prApaNAt / sa ca ezAm AkArANAm anupalamBena mArga jQa tAyAm praviSati
   tena hītyādi / yena hīnamārgaṃ bhāvayato bodhisattvasyānupāyakuśalasya	tena hi ityAdi / yena hIna mArgam BAvayataH boDisattvasya anupAya kuSalasya
   hīnabodhau pāta āśaṃkyate / tena hi kāraṇenāsyāṃ mārgajñatāyāṃ mahāsannāho	hIna boDO pAtaH ASaMkyate / tena hi kAraNena asyAm mArga jQa tAyAm mahA sanna aho
   mahadupāyakauśalam / sannaddhena taddharmitena bhavitavyamātmarakṣārtham /	mahat upAya kOSalam / sannadDena tad Darmitena Bavitavyam Atma rakzA arTam /
   tatrāyaṃ mahān sannāho yaduta	tatra ayam mahAn sannAhaH yat uta
   sarvākārajñatāpratisaṃyuktairmanasikārairbhāvanā karttavyā / vyutthitena	sarva AkAra jQa tA pratisaMyuktEH manasikArEH BAvanA karttavyA / vyutTitena
   ca sarvaṃ tatkuśalamūlamanuttarāyāṃ samyaksaṃbodhau pariṇāmayitavyam /	ca sarvam tat kuSala mUlam anuttarAyAm samyaksaMboDO pariNAmayitavyam /
   taccānupalambhayogeneti / iti śrāvakāṇāṃ darśanamārgaḥ //	tat ca anupalamBa yogena iti / iti SrAvakANAm darSana mArgaH //
   (RSt_25)	(RSt _25)
   ita ūrdhvaṃ nirodhabhāgīyāni / na rūpe sthātavyamityetadārabhyānena	itas UrDvam niroDa BAgIyAni / na rUpe sTAtavyam iti etat AraByAnena
   manasikāreṇeti yāvat / tatra na buddhatve sthātavyamityetadante ūṣmā /	manasikAreNa iti yAvat / tatra na budDa tve sTAtavyam iti etat ante UzmA /
   tata ūrdhva iti hi buddhatvamiti na sthātavyamityetadantena mūrdhā / tato	tatas UrDvaH iti hi budDa tvam iti na sTAtavyam iti etad antena mUrDA / tatas 
   vijñānaṃ śūnyamupalabhyate vetyetadantena kṣānti / śeṣāṇyagradharmaḥ /	vijQAnam SUnyam upalaByate vA iti etad antena kzAnti / SezANi agra DarmaH /
   tatra rūpādiṣvasthānama [na] bhiniveśa ūṣmā / rūpādīnāmidantayā	tatra rUpa Adizu asTAnama [na] BiniveSaH UzmA / rUpa AdInAm idantayA
   svalakṣaṇānupalambho mūrdhā / rūpādīnāṃ dvayānupalambhaḥ kṣāntiḥ / śūnyaṃ	sva lakzaNa anupalamBaH mUrDA / rUpa AdInAm dvaya anupalamBaH kzAntiH / SUnyam
   ityanupalambha upalabhyata iti upalambhaḥ / tasmāt	iti anupalamBaH upalaByate iti upalamBaH / tasmAt 
   śūnyamupalabhyatevetyapi dvayam / śrotaāpattiphalādīnāṃ	SUnyam upalaByatA iva iti api dvayam / SrotaA patti Pala AdInAm
   viśeṣeṣvasthānamagradharmaḥ / tasmādasyāṃ bhagavatyāmanyathaiva	viSezezu asTAnam agra DarmaH / tasmAt asyAm BagavatyAm anyaTA eva
   śāstrapāṭha unneyaḥ 	SAstra pAWaH unneyaH 
   asthānamūṣmā rūpādau mūrdhā taditi hīti yat /	asTAnam UzmA rUpa AdO mUrDA tat iti hi iti yat /
   kṣāntirna nityaṃ nānityaṃ rūpādītyasthitidvaye //	kzAntiH na nityam na anityam rUpa Adi iti asTiti dvaye //
   phala (laṃ) puṃsāmihāryāṇāṃ viśeṣeṣvasthitistu yā /	PalaH (laM) puMsAm iha AryANAm viSezezu asTitiH tu yA /
   saivāgradharmo vijñeya āryaśrāvakavartmani //	sA eva agra DarmaH vijQeyaH Arya SrAvaka vartmani //
   atra na cakṣuḥ saṃsparśe sthātavyamiti / indriyaviṣayavijñānasannipāte	atra na cakzuH saMsparSe sTAtavyam iti / indriya vizaya vijQAna sannipAte
   sati yaḥ sukhādivedanotpattyanukūlasyendriyavikārasya paricchedakaḥ	sati yaH suKa Adi vedana utpatti anukUlasya indriya vikArasya paricCedakaH
   sādṛśyamātreṇa sa sukhādivedanājanakaḥcaitasikaḥ sparśa ityucyate /	sAdRSya mAtreNa sa suKa Adi vedanA janakaH cEtasikaH sparSaH iti ucyate /
   indriyavikāraṃ sādṛśyena spṛśatīti kṛtvā / ata	indriya vikAram sAdRSyena spRSati iti kRtvA / ata
   indriyabhedāccakṣuḥsaṃsparśo yāvanmanaḥsaṃsparśaḥ / ukta cābhidharme	indriya BedAt cakzuH saMsparSaH yAvat manaH saMsparSaH / ukta ca aBiDarme
   "trikasannipāte idriyavikāraparicchedaḥ sparśaḥ	"trika sannipAte idriya vikAra paricCedaH sparSaH
   vedanotpattisanniśrayadānakarmakaḥ" iti / śubhaṃ śuci aśubhamaśuci /	vedanA utpatti sanniSraya dAna karmakaH" iti / SuBam Suci aSuBam aSuci /
   asaṃskṛtaprabhāvitaṃ kleśāvidyākṣayasyāsaṃskṛtatvāt / imaṃ	asaMskRta praBAvitam kleSa avidyA kzayasya asaMskRta tvAt / imam
   lokamitikāmadhātum / tatraiveti akāmini loke / ihaivetyasminneva janmani /	lokam itikAmaDAtum / tatra eva iti akAmini loke / iha eva iti asmin= eva janmani /
   anupadhiśeṣa iti upadhayaḥ skandhāḥ / ta eva śeṣāḥ sopadhiṣeśe	anupaDi SezaH iti upaDayaH skanDAH / te eva SezAH sa upaDizeSe
   tadviparyayādanupadhiśeṣaḥ / buddhaparinirvāṇeti /	tad viparyayAt anupaDi SezaH / budDa parinirvANa iti /
   saṃsāranirvāṇayorapratiṣṭhitena / yathākramaṃ sarveṣāṃ	saMsAra nirvANayoH apratizWitena / yaTAkramam sarvezAm
   kleśikadharmaparikṣayāt, anāśravāṇāṃ ca dharmāṇāmanantānāṃ jagadarthāya	kleSika Darma parikzayAt, anASravANAm ca DarmANAm anantAnAm jagat arTAya
   yāvadākāśamavasthānāt / na ca tato vyutthita iti prāptāparihāṇitaḥ / na	yAvat AkASam avasTAnAt / na ca tatas vyutTitaH iti prApta aparihANitaH / na
   sthito nāsthita ityapratiṣṭhitamānasattvādavyutthānācca / na viṣṭhito	sTitaH na AsTitaH iti apratizWita mAna sattvAt avyutTAnAt ca / na vizWitaH 
   naviṣṭhita iti pravāhayogena pūrvavat / śeṣaṃ subodhamityagradharmaḥ /	navizWitaH iti pravAha yogena pUrvavat / Sezam su boDam iti agra DarmaH /
   ityuktāni śrāvakamārganirvedhabhāgīyāni //	iti uktAni SrAvaka mArga nirveDa BAgIyAni //
   (RSt_26)	(RSt _26)
   buddhānubhāvāt khaṅgamārgaprastāvanāya keṣāñciddevaputrāṇāṃ vitarko 'bhūt	budDa anuBAvAt KaFga mArga prastAvanAya kezAQcid deva putrANAm vitarkaH aBUt 
   tamāha / atha khalu tatretyādinā / keṣāñciditi ye śrāvakamārgamapi	tam Aha / aTa Kalu tatra ityAdinA / kezAQcid iti ye SrAvaka mArgam api
   subhūtinā deśyamānaṃ gaṃbhīraṃ menire / kathaṃ yakṣāṇām? tairuccāraṇāt /	suBUtinA deSyamAnam gaMBIram menire / kaTam yakzANAm? tEH uccAraNAt /
   kathaṃ yakṣarutādīni? tabhdāṣātvāt / tatra rutānītyuddeśaḥ / śeṣeṇa	kaTam yakza ruta AdIni? taBdAzA tvAt / tatra rutAni iti uddeSaH / SezeNa
   nirdeśaḥ / mantritāni vākyāni / pravyāhṛtāni vākyasamūhāḥ / bhāṣate	nirdeSaH / mantritAni vAkyAni / pravyAhRtAni vAkya samUhAH / BAzate
   padavākyaiḥ / pravyāharati vākyasamūhaiḥ / deśayatītyavavadatī /	pada vAkyEH / pravyAharati vAkya samUhEH / deSayati iti avavadatI /
   upadiśatītyanuśāsti / atha khalvāyuṣmānityādi /	upadiSati iti anuSAsti / aTa Kalu AyuzmAn ityAdi /
   idamitilabdhāvasaratvāduddiṣṭaṃ khaṅgajñānam parāmṛṣati / na vijñāyate na	idam iti labDa avasara tvAt uddizwam KaFga jQAnam parAmRzati / na vijQAyate na
   vijñāyata iti dvirvacanamavadhāraṇārtham / parato na vijñāyate eva	vijQAyate iti dvis vacanam avaDAraNa arTam / paratas na vijQAyate eva
   caramabhavakhaṅgaiḥkhaṅgajñānam / paropadeśasya teṣu vaiyarthyāt / yataḥ	caramaBava KaFgEH KaFga jQAnam / para upadeSasya tezu vEyarTyAt / yatas 
   svayaṃbhūtvena teṣāṃ svayameva tatsaṃmukhībhavatīti paropadeśavaiyarthyam	svayaMBU tvena tezAm svayam eva tad saMmuKIBavati iti para upadeSa vEyarTyam
   tathāhīti / īdṛśyeva hi dharmatā dharmāṇām / kīdṛśītyāha nātretyādi /	taTA ahi iti / IdRSI A iva hi DarmatA DarmANAm / kIdRSI iti Aha na atra ityAdi /
   atreti skandhadhātvāyatanādau / na kiñciditi na kaściddharmaḥ sūcyata iti	atra iti skanDa DAtu Ayatana AdO / na kiQcid iti na kaScid DarmaH sUcyate iti
   deśyate / śrūyate śrotrā niḥśvabhāvatvātsarvadharmāṇām / tadyathā	deSyate / SrUyate SrotrAH niHSvaBAva tvAt sarva DarmANAm / tat yaTA
   nirmitabuddhena nirmitānāṃ pariṣadāṃ dharma deśyamāne na kiñciddeśyate na	nirmita budDena nirmitAnAm parizadAm Darma deSyamAne na kiQcid deSyate na
   kaściddeśayitā na kaścicchroteti / atha khalu tesāmityādi /	kaScid deSayitA na kaScid SrotA iti / aTa Kalu tesAm ityAdi /
   uttānamagambhīraharṣādvivecanam / itītyevamasmābhirvitarkite /	uttAnam agamBIra harzAt vivecanam / iti iti evam asmABiH vitarkite /
   anāryāṇāmagocaratvena dūrāt / niṣprapañcatvena sūkṣmāt / dukhagāhatvena	anAryANAm agocara tvena dUrAt / nizprapaQcatvena sUkzmAt / duKa gAha tvena
   gambhīrācchrāva (ka) mārgā dūrataraṃ sūkṣmataraṃ gambhīrataraṃ jñānam /	gamBIrAt SrAva (ka) mArgAH dUrataram sUkzmataram gamBIrataram jQAnam /
   praviśati cetasā / deśayati granthataḥ / bhāṣate arthataḥ / tathā hi	praviSati cetasA / deSayati granTataH / BAzate arTataH / taTA hi
   nātretyādinā / iti jñānagambhīratā / ataḥ śāstram 	na atra ityAdinA / iti jQAna gamBIra tA / atas SAstram 
   [36] paropadeśavaiyarthyaṃ svayaṃbodhātsvayaṃbhuvām /	[36] para upadeSa vEyarTyam svayaMboDAt svayaMBuvAm /
   gambhīratā ca jñānasya khaṅgānāmabhidhīyate // 2 6 //	gamBIra tA ca jQAnasya KaFgAnAm aBiDIyate // 2 6 //
   atha khalvāyuṣmāniti / nemāṃkṣāntimanāgamyeti / tathāhi nātretyādinoktam /	aTa Kalu AyuzmAn iti / nema aM= zAntim anAgamyA iti / taTA hi na atra ityAdinA uktam /
   grāhyābhāvajñānaṃ nāprāpya prāpyaivetyarthaḥ / ataśca śrāvakairapi	grAhya aBAva jQAnam na aprApya prApya eva iti arTaH / atas ca SrAvakEH api
   tajjñānaṃ tathāgatairapyupādeyaṃ sutarāṃ khaṅgairadhigantavyāmiti bhāvaḥ /	tat jQAnam taTAgatEH api upAdeyam sutarAm KaFgEH aDigantavyAm iti BAvaH /
   iti khaṅgānāṃ grāhyavikalpaprahāṇam //	iti KaFgAnAm grAhya vikalpa prahANam //
   (RSt_27)	(RSt _27)
   atha khalu punarapītyādi / mantrādibalena pratibhāsamāno mithyāpuruṣo māyā	aTa Kalu punar api ityAdi / mantra Adi balena pratiBAsamAnaH miTyApuruzaH mAyA
   / ṛddhisandarśito nirmitaḥ / tābhyāṃ sadṛśāḥ / māyopamāste sattvā na	/ RdDi sandarSitaH nirmitaH / tAByAm sadRSAH / mAyA upamAH te sattvAH na
   māyeti / mithyātvameva māyātvaṃ manyante / subhūtistu manyate mithyāviśeṣo	mAyA iti / miTyAtvam eva mAyA tvam manyante / suBUtiH tu manyate miTyA viSezaH 
   māyā ca svapnaṃ ca tābhyāṃ sādṛśyaṃ mithyātvameva / tasmānmāyā ca	mAyA ca svapnam ca tAByAm sAdRSyam miTyAtvam eva / tasmAt mAyA ca
   sattvāścetyadvayaṃ mithyātvena nirviśeṣatvāditi / tadevaṃ māyāpuruṣavat	sattvAH cetya dvayam miTyAtvena nirviSeza tvAt iti / tat evam mAyA puruza vat
   puruṣadravyāṇāmasattvamuktam / sarvadharmā apīti / puruṣadharmā api sarve	puruza dravyANAm asattvam uktam / sarva DarmAH api iti / puruza DarmAH api sarve
   māyopamāḥ / asati puruṣadravye taddharmāṇāmapyabhāvāt / atha khalvāyuṣmān	mAyA upamAH / asati puruza dravye tad DarmANAm api aBAvAt / aTa Kalu AyuzmAn
   śāriputra ityādi nāsyā āyuṣmanta ityādinā na kaścitpratyeṣako	SAriputraH ityAdi na asyAH AyuzmantaH ityAdinA na kaScid pratyezakaH 
   bhaviṣyatyetadantena sthavirasubhūtirdhārmaśravaṇikavat	Bavizyati etat antena sTavira suBUtiH DArmaSravaNika vat
   pratyeṣakānāmapyabhāvamāha / pratīkṣantīti pratyeṣakāḥ / teṣāmabhāvaḥ	pratyezakAnAm api aBAvam Aha / pratIkzanti iti pratyezakAH / tezAm aBAvaH
   pratyeṣakapuruṣadravyābhāvāt / sūcyata ityasphuṭaṃ bhāṣyate / paridīpyata	pratyezaka puruza dravya aBAvAt / sUcyate iti asPuwam BAzyate / paridIpyata
   iti sphuṭam / prajñapyata iti vaktṛśrotṛbhirvyavahriyate / tasmātsarvathā	iti sPuwam / prajQapyate iti vaktR SrotRBiH vyavahriyate / tasmAt sarvaTA
   na santi puruṣadravyāṇi / kevalamadhyātmikeṣu ca skandhādiṣu	na santi puruza dravyANi / kevala m aDyAtmikezu ca skanDa Adizu
   puruṣaprajñaptiḥ / tataḥ puruṣaprajñaptyāśraye skandhādau grāhaka	puruza prajQaptiH / tatas puruza prajQapti ASraye skanDa AdO grAhaka
   grāhameṣāmastīti khaṅgānāṃ grāhakavikalpāprahāṇam /	grAham ezAm asti iti KaFgAnAm grAhaka vikalpa aprahANam /
   atha khalu śakrasyetyādinā na tat puṣpamityetadantena khaṅgānāṃ	aTa Kalu Sakrasya ityAdinA na tat puzpam iti etad antena KaFgAnAm
   gotramucyate / atra dharmaparyāyo dharmaprabhedaḥ / khaṅgamārgaḥ /	gotram ucyate / atra Darma paryAyaH Darma praBedaH / KaFga mArgaH /
   yannuśabdo / vākyālaṅkāre / subhūtimiti / dharmabhāṇakapūjayā	yannu SabdaH / vAkya alaFkAre / suBUtim iti / Darma BANaka pUjayA
   dharmapūjanāt / etaditivakṣyamānaṃ(ṇaṃ) vitarkitaṃ abhūt / śakramanu	Darma pUjanAt / etat itivakzyamAnaM(NaM) vitarkitam aBUt / Sakram anu
   śakraṃ prati vyāharaṇāyeti vitarkaṃ viditvā bhāṣaṇāya / imānīti prakṛtāni	Sakram prati vyAharaNAya iti vitarkam viditvA BAzaNAya / imAni iti prakRtAni
   / puṣpāṇītyamalatvena puṣpasādharmyāt khaḍgamārgasaṃgṛhītāni kuśalāni /	/ puzpANi iti amala tvena puzpa sADarmyAt Kaxga mArga saMgRhItAni kuSalAni /
