   atha gauḍapādīyakārikāḥ	aTa gOxapAdIya-kArikAH
   na bhavaty amṛtaṃ martyaṃ na martyam amṛtaṃ tathā /	na Bavati amRtam martyam na martyam amRtam taTA /
   prakṛter anyathābhāvo na kathaṃcid bhaviṣyati // 3.21 //	prakRteH anyaTA-BAvaH na kaTaMcid Bavizyati // 3.21 //
   svabhāvenāmṛto yasya bhāvo gacchati martyatām /	svaBAvena-amRtaH yasya BAvaH gacCati martyatAm /
   kṛtakenāmṛtas tasya kathaṃ sthāsyati niścalaḥ // 3.22 //	kRtakena-amRtaH tasya kaTam sTAsyati niScalaH // 3.22 //
   bhūtato 'bhūtato vāpi sṛjyamāne samā śrutiḥ /	BUtataH aBUtatas vA-api sRjyamAne samA SrutiH /
   niścitaṃ yuktiyuktaṃ ca yat tad bhavati netarat // 3.23 //	niScitam yukti-yuktam ca yat tat Bavati na-itarat // 3.23 //
   neha nāneti cāmnāyād indro māyābhir ity api /	na-iha nAnA-iti ca-AmnAyAt indraH mAyABiH iti api /
   ajāyamāno bahudhā māyayā jāyate tu saḥ // 3.24 //	ajAyamAnaH bahuDA mAyayA jAyate tu saH // 3.24 //
   saṃbhūter apavādāc ca saṃbhavaḥ pratiṣidhyate /	saMBUteH apavAdAt ca saMBavaH pratiziDyate /
   ko (nv [K,B,S:]tv) enaṃ janayed iti kāraṇaṃ pratiṣidhyate [CHECK!] // 3.25	kaH (nu [K,B,S:]tv) enam janayet iti kAraNam pratiziDyate [SHECK!] // 3.25
   sa eṣa neti netīti vyākhyātaṃ nihnute yataḥ /	saH eza na-iti na-iti-iti vyAKyAtam nihnute yatas /
   sarvam agrāhyabhāvena hetunājaṃ prakāśate // 3.26 //	sarvam agrAhya-BAvena hetunA-Ajam prakASate // 3.26 //
   sato hi māyayā janma yujyate na tu tattvataḥ /	sataH hi mAyayA janma yujyate na tu tattvataH /
   tattvato jāyate yasya jātaṃ tasya hi jāyate // 3.27 //	tattvataH jAyate yasya jAtam tasya hi jAyate // 3.27 //
   asato māyayā janma tattvato naiva yujyate /	asataH mAyayA janma tattvataH na-eva yujyate /
   vandhyāputro na tattvena māyayā vāpi jāyate // 3.28 //	vanDyA-putraH na tattvena mAyayA vA-api jAyate // 3.28 //
   yathā svapne dvayābhāsaṃ spandate māyayā manaḥ /	yaTA svapne dvaya-ABAsam spandate mAyayA manaH /
   tathā jāgraddvayābhāsaṃ spandate māyayā manaḥ // 3.29 //	taTA jAgrat-dvaya-ABAsam spandate mAyayA manaH // 3.29 //
   advayaṃ ca dvayābhāsaṃ manaḥ svapne na saṃśayaḥ /	advayam ca dvaya-ABAsam manaH svapne na saMSayaH /
   advayaṃ ca dvayābhāsaṃ tathā jāgran na saṃśayaḥ // 3.30 //	advayam ca dvaya-ABAsam taTA jAgrat na saMSayaH // 3.30 //
   manodṛśyam idaṃ dvaitaṃ yat kiṃcit sacarācaram /	manaH-dRSyam idam dvEtam yat kiMcid sacarAcaram /
   manaso hy amanībhāve dvaitaṃ naivopalabhyate // 3.31 //	manasaH hi amanIBAve dvEtam na-eva-upalaByate // 3.31 //
   ātmasatyānubodhena na saṃkalpayate yadā /	Atma-satya-anuboDena na saMkalpayate yadA /
   amanastāṃ tadā yāti grāhyābhāve (tad agraham [B:]tadagrahāt) // 3.32 //	amanaH-tAm tadA yAti grAhya-aBAve (tat agraham [B:]-tada-graha-at) // 3.32 //
   akalpakam ajaṃ jñānaṃ jñeyābhinnaṃ pracakṣate /	akalpakam ajam jQAnam jQeya-aBinnam pracakzate /
   brahma jñeyam ajaṃ nityam ajenājaṃ vibudhyate // 3.33 //	brahma jQeyam ajam nityam ajena-Ajam vibuDyate // 3.33 //
   nigṛhītasya manaso nirvikalpasya dhīmataḥ /	nigRhItasya manasaH nirvikalpasya DImataH /
   pracāraḥ sa tu vijñeyaḥ suṣupte 'nyo na tatsamaḥ // 3.34 //	pracAraH sa tu vijQeyaH suzupte anyaH na tad-samaH // 3.34 //
   līyate hi suṣupte tan nigṛhītaṃ na līyate /	lIyate hi suzupte tat nigRhItam na lIyate /
   tad eva nirbhayaṃ brahma jñānālokaṃ samantataḥ // 3.35 //	tat eva nirBayam brahma jQAna-Alokam samantataH // 3.35 //
   ajam anidram asvapnam anāmakam arūpakam /	ajam anidram asvapnam anAmakam arUpakam /
   sakṛdvibhātaṃ sarvajñaṃ nopacāraḥ kathaṃcana // 3.36 //	sakRt-viBAtam sarvajQam na-upacAraH kaTaMcana // 3.36 //
   sarvābhilāpavigataḥ $ sarvacintāsamutthitaḥ /	sarva-aBilApa-vigataH $ sarva-cintA-samutTitaH /
   supraśāntaḥ sakṛjjyotiḥ samādhir acalo 'bhayaḥ // 3.37 //	su-praSAntaH sakRjjyotiH samADiH acalaH aBayaH // 3.37 //
   graho na tatra notsargaś cintā yatra na vidyate /	grahaH na tatra na-utsargaH cintA yatra na vidyate /
   ātmasaṃsthaṃ tadā jñānam ajāti samatāṃ gatam // 3.38 //	Atma-saMsTam tadA jQAnam ajAti sama-tAm gatam // 3.38 //
   asparśayogo (vai nāma [B:]nāmaiṣa) durdarśaḥ sarvayogibhiḥ /	asparSa-yogaH (vE nAma [B:]nAma-eza) durdarSaH sarva-yogiBiH /
   yogino bibhyati hy asmād abhaye bhayadarśinaḥ // 3.39 //	yoginaH biByati hi asmAt aBaye Baya-darSinaH // 3.39 //
   manaso nigrahāyattam abhayaṃ sarvayogiṇām /	manasaH nigraha-Ayattam aBayam sarva-yogiNAm /
   duḥkhakṣayaḥ prabodhaś cāpy akṣayā śāntir eva ca // 3.40 //	duHKa-kzayaH praboDaH ca-api akzayA SAntiH eva ca // 3.40 //
   utseka udadher yadvat $ kuśāgreṇaikabindunā /	utsekaH udaDeH yadvat $ kuSa-agreNa-eka-bindunA /
   manaso nigrahas tadvad bhaved aparikhedataḥ // 3.41 //	manasaH nigrahaH tadvat Bavet apariKedataH // 3.41 //
   upāyena nigṛhṇīyād vikṣiptaṃ kāmabhogayoḥ /	upAyena nigRhNIyAt vikziptam kAma-BogayoH /
   suprasannaṃ laye caiva yathā kāmo layas tathā // 3.42 //	su-prasannam laye ca-eva yaTA kAmaH layaH taTA // 3.42 //
   duḥkhaṃ sarvam anusmṛtya (kāma[S:]kāya)bhogān nivartayet /	duHKam sarvam anusmRtya (kAma[-S:]kAya)-BogAn nivartayet /
   ajaṃ sarvam anusmṛtya jātaṃ naiva tu paśyati // 3.43 //	ajam sarvam anusmRtya jAtam na-eva tu paSyati // 3.43 //
   laye saṃbodhayec cittaṃ vikṣiptaṃ śamayet punaḥ /	laye saMboDayet cittam vikziptam Samayet punar /
   sakaṣāyaṃ (vijānīyāt sama [B:]vijānīyāc chama)prāptaṃ na cālayet // 3.44	sa-kazAyam (vijAnIyAt samaH [B:]vijAnIyAt Sama)-prAptam na cAlayet // 3.44
   nāsvādayet sukhaṃ tatra niḥsaṅgaḥ prajñayā bhavet /	na-AsvAdayet suKam tatra niHsaFgaH prajQayA Bavet /
   niścalaṃ niścarat cittam ekīkuryāt prayatnataḥ // 3.45 //	niScalam niScarat cittam ekIkuryAt prayatnataH // 3.45 //
   yadā na līyate cittaṃ na ca vikṣipyate punaḥ /	yadA na lIyate cittam na ca vikzipyate punar /
   aniṅganam anābhāsaṃ niṣpannaṃ brahma tat tadā // 3.46 //	aniFganam anABAsam nizpannam brahma tat tadA // 3.46 //
   svasthaṃ śāntaṃ sanirvāṇam akathyaṃ sukham uttamam /	svasTam SAntam sa-nirvANam akaTyam suKam uttamam /
   ajam ajena jñeyena sarvajñaṃ paricakṣate // 3.47 //	ajam ajena jQeyena sarvajQam paricakzate // 3.47 //
   na kaścij jāyate jīvaḥ saṃbhavo 'sya na vidyate /	na kaScid jAyate jIvaH saMBavaH asya na vidyate /
   etat tad uttamaṃ satyaṃ yatra kiṃcin na jāyate // 3.48 //	etat tat uttamam satyam yatra kiMcid na jAyate // 3.48 //
   [col: iti (gauḍapādīyakārikāyām advaitākhyaṃ [B:]gauḍapādīye āgamaśāstre	[col: iti (gOxapAdIya-kArikAyAm advEta-AKyam [B:]-gOxapAdIye Agama-SAstre
   'dvaitākhyaṃ) tṛtīyaṃ	advEta-AKyan) tRtIyam
   (prakaraṇam || oṃ tat sat || [B:]prakaraṇaṃ samāptam) :col]	(prakaraNam || om tat sat || [B:]-prakaraNam samAptam) :col]
   athālātaśāntyākhyaṃ caturthaprakaraṇam	aTa-alAta-SAnti-AKyam caturTa-prakaraNam
   jñānenākāśakalpena dharmān yo gaganopamān /	jQAnena-AkASa-kalpena DarmAn yaH gagana-upamAn /
   jñeyābhinnena saṃbuddhas taṃ vande dvipadāṃ varam // 4.1 //	jQeya-aBinnena saMbudDaH tam vande dvipadAm varam // 4.1 //
   asparśayogo vai nāma sarvasattvasukho hitaḥ /	asparSa-yogaH vE nAma sarva-sattva-suKaH hitaH /
   avivādo aviruddhaś ca deśitas taṃ namāmy aham // 4.2 //	avivAdaH avirudDaH ca deSitaH tam namAmi aham // 4.2 //
   bhūtasya jātim icchanti vādinaḥ kecid eva hi /	BUtasya jAtim icCanti vAdinaH kecid eva hi /
   abhūtasyāpare dhīrā vivadantaḥ parasparam // 4.3 //	aBUtasya-apare DIrAH vivadantaH parasparam // 4.3 //
   bhūtaṃ na jāyate kiṃcid abhūtaṃ naiva jāyate /	BUtam na jAyate kiMcid aBUtam na-eva jAyate /
   vivadanto (dvayā [B:]advayā) hy evam ajātiṃ khyāpayanti te // 4.4 //	vivadantaH (dvayAH [B:]a-dvayA) hi evam ajAtim KyApayanti te // 4.4 //
   khyāpyamānām ajātiṃ tair anumodāmahe vayam /	KyApyamAnAm ajAtim tEH anumodAmahe vayam /
   vivadāmo na taiḥ sārdham avivādaṃ nibodhata // 4.5 //	vivadAmaH na tEH sArDam avivAdam niboData // 4.5 //
   ajātasyaiva dharmasya jātim icchanti vādinaḥ /	ajAtasya-eva Darmasya jAtim icCanti vAdinaH /
   ajāto hy amṛto dharmo martyatāṃ katham eṣyati // 4.6 //	ajAtaH hi amRtaH DarmaH martyatAm kaTam ezyati // 4.6 //
   na bhavaty amṛtaṃ martyaṃ na martyam amṛtaṃ tathā /	na Bavati amRtam martyam na martyam amRtam taTA /
   prakṛter anyathābhāvo na kathaṃcid bhaviṣyati // 4.7 //	prakRteH anyaTA-BAvaH na kaTaMcid Bavizyati // 4.7 //
   svabhāvenāmṛto yasya dharmo gacchati martyatām /	svaBAvena-amRtaH yasya DarmaH gacCati martyatAm /
   kṛtakenāmṛtas tasya kathaṃ sthāsyati niścalaḥ // 4.8 //	kRtakena-amRtaH tasya kaTam sTAsyati niScalaH // 4.8 //
   sāṃsiddhikī svābhāvikī (sahajā [B:]sahajāpy) akṛtā ca yā /	sAMsidDikI svABAvikI (sahajA [B:]-sahajA-apy) akRtA ca yA /
   prakṛtiḥ seti vijñeyā svabhāvaṃ na jahāti yā // 4.9 //	prakRtiH sA-iti vijQeyA svaBAvam na jahAti yA // 4.9 //
   jarāmaraṇanirmuktāḥ sarve dharmāḥ svabhāvataḥ /	jarA-maraNa-nirmuktAH sarve DarmAH svaBAvataH /
   jarāmaraṇam icchantaś cyavante tanmanīṣayā // 4.10 //	jarA-maraNam icCantaH cyavante tad-manIzayA // 4.10 //
   kāraṇaṃ yasya vai kāryaṃ kāraṇaṃ tasya jāyate /	kAraNam yasya vE kAryam kAraNam tasya jAyate /
   jāyamānaṃ katham ajaṃ bhinnaṃ nityaṃ kathaṃ ca tat // 4.11 //	jAyamAnam kaTam ajam Binnam nityam kaTam ca tat // 4.11 //
   kāraṇād (yady [B:]yad) ananyatvam ataḥ kāryam ajaṃ (tava [B:]yadi) /	kAraNAt (yadi [B:]yad) ananya-tvam atas kAryam ajam (tavaH [B:]yadi) /
   jāyamānād dhi vai kāryāt kāraṇaṃ te kathaṃ dhruvam // 4.12 //	jAyamAnAt Di vE kAryAt kAraNam te kaTam Druvam // 4.12 //
   ajād vai jāyate yasya dṛṣṭāntas tasya nāsti vai /	ajAt vE jAyate yasya dRzwAntaH tasya na-asti vE /
   jātāc ca jāyamānasya (na vyavasthā [B:]navyavasthā) prasajyate // 4.13 //	jAtAt ca jAyamAnasya (na vyavasTA [B:]na-vyavasTA) prasajyate // 4.13 //
   hetor ādiḥ phalaṃ yeṣām ādir hetuḥ phalasya ca /	hetoH AdiH Palam yezAm AdiH hetuH Palasya ca /
   hetoḥ phalasya cānādiḥ kathaṃ tair upavarṇyate // 4.14 //	hetoH Palasya ca-anAdiH kaTam tEH upavarNyate // 4.14 //
   hetor ādiḥ phalaṃ yeṣām ādir hetuḥ phalasya ca /	hetoH AdiH Palam yezAm AdiH hetuH Palasya ca /
   tathā janma bhavet teṣāṃ putrāj janma pitur yathā // 4.15 //	taTA janma Bavet tezAm putrAt janma pituH yaTA // 4.15 //
   saṃbhave hetuphalayor eṣitavyaḥ kramas tvayā /	saMBave hetu-PalayoH ezitavyaH kramaH tvayA /
   yugapat saṃbhave yasmād asaṃbandho viṣāṇavat // 4.16 //	yugapad saMBave yasmAt asaMbanDaH vizANa-vat // 4.16 //
   phalād utpadyamānaḥ san na te hetuḥ prasidhyati /	PalAt utpadyamAnaH san na te hetuH prasiDyati /
   aprasiddhaḥ kathaṃ hetuḥ phalam utpādayiṣyati // 4.17 //	aprasidDaH kaTam hetuH Palam utpAdayizyati // 4.17 //
   yadi hetoḥ phalāt siddhiḥ phalasiddhiś ca hetutaḥ /	yadi hetoH PalAt sidDiH Pala-sidDiH ca hetutaH /
   katarat (pūrvaniṣpannaṃ [B:]pūrvam utpannaṃ) yasya siddhir apekṣayā //	katarat (pUrva-nizpannam [B:]-pUrvam utpannan) yasya sidDiH apekzayA //
   aśaktir aparijñānaṃ kramakopo 'tha vā punaḥ /	aSaktiH aparijQAnam krama-kopaH aTa vA punar /
   evaṃ hi sarvathā buddhair ajātiḥ paridīpitā // 4.19 //	evam hi sarvaTA budDEH ajAtiH paridIpitAH // 4.19 //
   bījāṅkurākhyo dṛṣṭāntaḥ sadā sādhyasamo hi (saḥ [B:]naḥ) /	bIja-aFkura-AKyaH dRzwAntaH sadA sADya-samaH hi (saH [B:]naH) /
   na (hi [B:]ca) sādhyasamo hetuḥ siddhau sādhyasya yujyate // 4.20 //	na (hi [B:]ca) sADya-samaH hetuH sidDO sADyasya yujyate // 4.20 //
   pūrvāparāparijñānam ajāteḥ paridīpakam /	pUrva-apara-aparijQAnam ajAteH paridIpakam /
   jāyamānād dhi vai dharmāt kathaṃ pūrvaṃ na gṛhyate // 4.21 //	jAyamAnAt Di vE DarmAt kaTam pUrvam na gRhyate // 4.21 //
   svato vā parato vāpi na kiṃcid vastu jāyate /	svatas vA paratas vA-api na kiMcid vastu jAyate /
   sad asat sadasad vāpi na kiṃcid vastu jāyate // 4.22 //	sat asat sat-asat vA-api na kiMcid vastu jAyate // 4.22 //
   hetur na jāyate (anādeḥ [B:]anādiḥ) phalaṃ (cāpi [B:]vāpi) svabhāvataḥ /	hetuH na jAyate (anAdeH [B:]ana-AdiH) Palam (ca-api [B:]vApi) svaBAvataH /
   ādir na vidyate yasya tasya (hy ādir [B:]jātir) na vidyate // 4.23 //	AdiH na vidyate yasya tasya (hi AdiH [B:]jAtir) na vidyate // 4.23 //
   prajñapteḥ sanimittatvam anyathā dvayanāśataḥ /	prajQapteH sa-nimitta-tvam anyaTA dvaya-nASataH /
   saṃkleśasyopalabdheś ca paratantrāstitā matā // 4.24 //	saMkleSasya-upalabDeH ca paratantra-astitAH matA // 4.24 //
   prajñapteḥ sanimittatvam iṣyate yuktidarśanāt /	prajQapteH sa-nimitta-tvam izyate yukti-darSanAt /
   nimittasyānimittatvam iṣyate bhūtadarśanāt // 4.25 //	nimittasya-animitta-tvam izyate BUta-darSanAt // 4.25 //
   cittaṃ na saṃspṛśaty arthaṃ nārthābhāsaṃ tathaiva ca /	cittam na saMspRSati arTam na-arTa-ABAsam taTA-eva ca /
   abhūto hi yataś cārtho nārthābhāsas tataḥ pṛthak // 4.26 //	aBUtaH hi yatas ca-arTaH na-arTa-ABAsaH tatas pRTak // 4.26 //
   nimittaṃ na sadā cittaṃ saṃspṛśaty adhvasu triṣu /	nimittam na sadA cittam saMspRSati aDvasu trizu /
   animitto viparyāsaḥ kathaṃ tasya bhaviṣyati // 4.27 //	animittaH viparyAsaH kaTam tasya Bavizyati // 4.27 //
   tasmān na jāyate cittaṃ cittadṛśyaṃ na jāyate /	tasmAt na jAyate cittam citta-dRSyam na jAyate /
   tasya paśyanti ye jātiṃ khe vai paśyanti te padam // 4.28 //	tasya paSyanti ye jAtim Ke vE paSyanti te padam // 4.28 //
   ajātaṃ jāyate yasmād ajātiḥ prakṛtis tataḥ /	ajAtam jAyate yasmAt ajAtiH prakRtiH tatas /
   prakṛter anyathābhāvo na kathaṃcid bhaviṣyati // 4.29 //	prakRteH anyaTA-BAvaH na kaTaMcid Bavizyati // 4.29 //
   anāder antavattvaṃ ca saṃsārasya na setsyate /	anAdeH antavat-tvam ca saMsArasya na setsyate /
   anantatā cādimato mokṣasya na bhaviṣyati // 4.30 //	ananta-tA ca-AdimataH mokzasya na Bavizyati // 4.30 //
   ādāv ante ca yan nāsti vartamāne 'pi tat tathā /	AdO ante ca yat na-asti vartamAne api tat taTA /
   vitathaiḥ sadṛśāḥ santo avitathā iva lakṣitāḥ // 4.31 //	vitaTEH sadRSAH santaH avitaTAH iva lakzitAH // 4.31 //
   saprayojanatā teṣāṃ svapne (vipratipadyate [B:]api pratipadyate) /	sa-prayojana-tA tezAm svapne (vipratipadyate [B:]-api pratipadyate) /
   tasmād ādyantavattvena mithyaiva khalu te smṛtāḥ // 4.32 //	tasmAt Adi-antavat-tvena miTyA-eva Kalu te smRtAH // 4.32 //
   sarve dharmā mṛṣā svapne kāyasyāntarnidarśanāt /	sarve DarmAH mRzA svapne kAyasya-antar-nidarSanAt /
   saṃvṛte 'smin pradeśe vai bhūtānāṃ darśanaṃ kutaḥ // 4.33 //	saMvRte asmin pradeSe vE BUtAnAm darSanam kutas // 4.33 //
   na yuktaṃ darśanaṃ gatvā kālasyāniyamād gatau /	na yuktam darSanam gatvA kAlasya-aniyamAt gatO /
   pratibuddhaś ca vai sarvas tasmin deśe na vidyate // 4.34 //	pratibudDaH ca vE sarvaH tasmin deSe na vidyate // 4.34 //
   mitrādyaiḥ saha saṃmantrya (saṃbuddho [B:]prabuddho) na prapadyate /	mitra-AdyEH saha saMmantrya (saMbudDaH [B:]-prabudDaH-) na prapadyate /
   gṛhītaṃ cāpi yat kiṃcit pratibuddho na paśyati // 4.35 //	gRhItam ca-api yat kiMcid pratibudDaH na paSyati // 4.35 //
   svapne cāvastukaḥ kāyaḥ pṛthag anyasya darśanāt /	svapne ca-avastukaH kAyaH pRTak anyasya darSanAt /
   yathā kāyas tathā sarvaṃ cittadṛśyam avastukam // 4.36 //	yaTA kAyaH taTA sarvam citta-dRSyam avastukam // 4.36 //
   grahaṇāj jāgaritavat taddhetuḥ svapne iṣyate /	grahaNAt jAgarita-vat tad-hetuH svapne izyate /
   tad(dhetutvāt tu [B:]dhetutvāc ca) tasyaiva saj jāgaritam iṣyate // 4.37	tad-(Detu-tvAt tu [B:]Detu-tvAt ca) tasya-eva sat jAgaritam izyate // 4.37
   utpādasyāprasiddhatvād ajaṃ sarvam udāhṛtam /	utpAdasya-aprasidDa-tvAt ajam sarvam udAhRtam /
   na ca bhūtād abhūtasya saṃbhavo 'sti kathaṃcana // 4.38 | B: 4.40 //	na ca BUtAt aBUtasya saMBavaH asti kaTaMcana // 4.38 | B: 4.40 //
   asaj jāgarite dṛṣṭvā svapne paśyati tanmayaḥ /	asat jAgarite dRzwvA svapne paSyati tad-mayaH /
   asat svapne 'pi dṛṣṭvā ca pratibuddho na paśyati // 4.39 | B: 4.38 //	asat svapne api dRzwvA ca pratibudDaH na paSyati // 4.39 | B: 4.38 //
   nāsty asaddhetukam asat sad asaddhetukaṃ tathā /	na-asti asat-hetukam asat sat asat-hetukam taTA /
   sac ca saddhetukaṃ nāsti saddhetukam asat kutaḥ // 4.40 | B: 4.41 //	sat ca sat-hetukam na-asti sat-hetukam asat kutas // 4.40 | B: 4.41 //
   viparyāsād yathā jāgrad acintyān bhūtavat spṛśet /	viparyAsAt yaTA jAgrat acintyAn BUta-vat spRSet /
   tathā svapne viparyāsād dharmāṃs tatraiva paśyati // 4.41 | B: 4.39 //	taTA svapne viparyAsAt DarmAn tatra-eva paSyati // 4.41 | B: 4.39 //
   upalambhāt samācārād astivastutvavādinām /	upalamBAt samAcArAt astivastu-tva-vAdinAm /
   jātis tu deśitā buddhair ajātes trasatāṃ sadā // 4.42 //	jAtiH tu deSitAH budDEH ajAteH trasatAm sadA // 4.42 //
   ajātes trasatāṃ teṣām upalaṃbhād viyanti ye /	ajAteH trasatAm tezAm upalaMBAt viyanti ye /
   jātidoṣā na setsyanti doṣo 'py alpo bhaviṣyati // 4.43 //	jAti-dozAH na setsyanti dozaH api alpaH Bavizyati // 4.43 //
   upalambhāt samācārān māyāhastī yathocyate /	upalamBAt samAcArAt mAyA-hastI yaTA-ucyate /
   upalambhāt samācārād asti vastu tathocyate // 4.44 //	upalamBAt samAcArAt asti vastu taTA-ucyate // 4.44 //
   jātyābhāsaṃ calābhāsaṃ vastvābhāsaṃ tathaiva ca /	jAti-ABAsam cala-ABAsam vastu-ABAsam taTA-eva ca /
   ajācalam avastutvaṃ vijñānaṃ śāntam advayam // 4.45 //	ajAcalam avastu-tvam vijQAnam SAntam advayam // 4.45 //
   evaṃ na jāyate cittam evaṃ dharmā ajāḥ smṛtāḥ /	evam na jAyate cittam evam DarmAH ajAH smRtAH /
   evam eva vijānanto na patanti viparyaye // 4.46 //	evam eva vijAnantaH na patanti viparyaye // 4.46 //
   ṛjuvakrādikābhāsam (alātaspanditaṃ [B:]alātaṃ spanditaṃ) yathā /	Rju-vakra-Adika-ABAsam (alAta-spanditam [B:]alAtam spanditaM) yaTA /
   grahaṇagrāhakābhāsaṃ (vijñānaspanditaṃ [B:]vijñānaṃ spanditaṃ) tathā //	grahaNa-grAhaka-ABAsam (vijQAna-spanditam [B:]vijQAnam spanditaM) taTA //
   aspandamānam (alātam [B:]ālātam) anābhāsam ajaṃ yathā /	aspandamAnam (alAtam [B:]AlAtam) anABAsam ajam yaTA /
   aspandamānaṃ vijñānam anābhāsam ajaṃ tathā // 4.48 //	aspandamAnam vijQAnam anABAsam ajam taTA // 4.48 //
   alāte spandamāne vai nābhāsā anyatobhuvaḥ /	alAte spandamAne vE na-ABAsA anyatas-BuvaH /
   na tato 'nyatra nispandān nālātaṃ praviśanti te // 4.49 //	na tatas anyatra nispandAn na-alAtam praviSanti te // 4.49 //
   na nirgatā alātāt te dravyatvābhāvayogataḥ /	na nirgatA alAtAt te dravya-tva-aBAva-yogataH /
   vijñāne 'pi tathaiva syur ābhāsasyāviśeṣataḥ // 4.50 //	vijQAne api taTA-eva syuH ABAsasya-aviSezataH // 4.50 //
   vijñāne spandamāne vai nābhāsā anyatobhuvaḥ /	vijQAne spandamAne vE na-ABAsA anyatas-BuvaH /
   na tato 'nyatra nispandān na vijñānaṃ viśanti te // 4.51 //	na tatas anyatra nispandAt na vijQAnam viSanti te // 4.51 //
   na nirgatās te vijñānād dravyatvābhāvayogataḥ /	na nirgatAH te vijQAnAt dravya-tva-aBAva-yogataH /
   kāryakāraṇatābhāvād yato 'cintyāḥ sadaiva te // 4.52 //	kArya-kAraNa-tA-BAvAt yatas acintyAH sadA-eva te // 4.52 //
   dravyaṃ dravyasya hetuḥ syād anyad anyasya caiva hi /	dravyam dravyasya hetuH syAt anyat anyasya ca-eva hi /
   dravyatvam anyabhāvo vā dharmāṇāṃ nopapadyate // 4.53 //	dravya-tvam anya-BAvaH vA DarmANAm na-upapadyate // 4.53 //
   evaṃ na cittajā dharmāś cittaṃ vāpi na dharmajam /	evam na citta-jAH DarmAH cittam vA-api na Darmajam /
   evaṃ hetuphalājātiṃ praviśanti manīṣiṇaḥ // 4.54 //	evam hetu-PalA-jAtim praviSanti manIziNaH // 4.54 //
   yāvad dhetuphalāveśas tāvad dhetuphalodbhavaḥ /	yAvat Detu-Pala-AveSaH tAvat Detu-Pala-udBavaH /
   kṣīṇe hetuphalāveśe nāsti hetuphalodbhavaḥ // 4.55 //	kzINe hetu-Pala-AveSe na-asti hetu-Pala-udBavaH // 4.55 //
   yāvad dhetuphalāveśaḥ saṃsāras tāvad āyataḥ /	yAvat Detu-Pala-AveSaH saMsAraH tAvat AyataH /
   kṣīṇe hetuphalāveśe (saṃsāraṃ na prapadyate [B:]saṃsāro nopapadyate) //	kzINe hetu-Pala-AveSe (saMsAram na prapadyate [B:]saMsAraH na-upapadyate) //
   saṃvṛtyā jāyate sarvaṃ śāśvataṃ (nāsti tena [B:]tena nāsti) vai /	saMvRtyA jAyate sarvam SASvatam (nA-asti tena [B:]tena nAsti) vE /
   (sad[B:]sva)bhāvena hy ajaṃ sarvam ucchedas tena nāsti vai // 4.57 //	(sat-[B:]-sva)-BAvena hi ajam sarvam ucCedaH tena na-asti vE // 4.57 //
   dharmā ye iti jāyante (jāyante [B:]saṃvṛtyā) te na tattvataḥ /	DarmAH ye iti jAyante (jAyante [B:]-saMvRtyA) te na tattvataH /
   janma māyopamaṃ teṣāṃ sā ca māyā na vidyate // 4.58 //	janma mAyA-upamam tezAm sA ca mAyA na vidyate // 4.58 //
   yathā māyāmayād bījāj jāyate tanmayo 'ṅkuraḥ /	yaTA mAyA-mayAt bIjAt jAyate tad-mayaH aFkuraH /
   nāsau nityo na cocchedī tadvad dharmeṣu yojanā // 4.59 //	na-asO nityaH na ca-ucCedI tadvat Darmezu yojanAH // 4.59 //
   nājeṣu sarvadharmeṣu śāśvatāśāśvatābhidhā /	na-ajezu sarva-Darmezu SASvata-aSASvata-aBiDA /
   yatra varṇā na vartante vivekas tatra nocyate // 4.60 //	yatra varNAH na vartante vivekaH tatra na-ucyate // 4.60 //
   yathā svapne dvayābhāsaṃ cittaṃ calati māyayā /	yaTA svapne dvaya-ABAsam cittam calati mAyayA /
   tathā jāgrad dvayābhāsaṃ cittaṃ calati māyayā // 4.61 //	taTA jAgrat dvaya-ABAsam cittam calati mAyayA // 4.61 //
   advayaṃ ca dvayābhāsaṃ cittaṃ svapne na saṃśayaḥ /	advayam ca dvaya-ABAsam cittam svapne na saMSayaH /
   advayaṃ ca dvayābhāsaṃ (tathā [B:]cittaṃ) jāgran na saṃśayaḥ // 4.62 //	advayam ca dvaya-ABAsam (taTA [B:]cittaM) jAgrat na saMSayaH // 4.62 //
   svapnadṛk pracaran svapne dikṣu vai daśasu sthitān /	svapna-dRS pracaran svapne dikzu vE daSasu sTitAn /
   aṇḍajān svedajān vāpi jīvān paśyati yān sadā // 4.63 //	aNxa-jAn sveda-jAn vA-api jIvAn paSyati yAn sadA // 4.63 //
   svapnadṛkcittadṛśyās te na vidyante tataḥ pṛthak /	svapna-dRS-citta-dRSyAH te na vidyante tatas pRTak /
   tathā taddṛśyam evedaṃ svapnadṛkcittam iṣyate // 4.64 //	taTA tat-dRSyam eva-idam svapna-dRS-cittam izyate // 4.64 //
   carañ jāgarite jāgrad dikṣu vai daśasu sthitān /	caran jAgarite jAgrat dikzu vE daSasu sTitAn /
   aṇḍajān svedajān vāpi jīvān paśyati yān sadā // 4.65 //	aNxa-jAn sveda-jAn vA-api jIvAn paSyati yAn sadA // 4.65 //
   jāgraccittekṣaṇīyās te na vidyante tataḥ pṛthak /	jAgrat-citta-IkzaNIyAH te na vidyante tatas pRTak /
   tathā taddṛśyam evedaṃ jāgrataś cittam iṣyate // 4.66 //	taTA tat-dRSyam eva-idam jAgrataH cittam izyate // 4.66 //
