   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u-_3.16a
   teṣāṃ dattvā ca bhuktvā ca YS182v_1.14c	tezAm dattvA ca BuktvA ca YS182u-_1.14c
   teṣāṃ śuddhyartham evātra YS182v_4.33c	tezAm SudDi-arTam eva-atra YS182u-_4.33c
   te sarve 'pi vigarhitāḥ YS182v_2.8d	te sarve api vigarhitAH YS182u-_2.8d
   tair apy anuṣṭhito dharma YS182v_5.4c	tEH api anuzWitaH DarmaH YS182u-_5.4c
   tyājyā sā bandhubhiś caiva YS182v_4.39c	tyAjyA sA banDuBiH ca-eva YS182u-_4.39c
   tyājyaiti parikīrtitā YS182v_3.24b	tyAjya-eti parikIrtitA YS182u-_3.24b
   trayas te narakaṃ yānti YS182v_3.22c	trayaH te narakam yAnti YS182u-_3.22c
   triguṇaṃ kṣattriyasyaiva YS182v_4.14a	triguNam kzattriyasya-eva YS182u-_4.14a
   tripañcābdaṃ vidhīyate YS182v_4.24d	tri-paQca-abdam viDIyate YS182u-_4.24d
   tripādakṛcchro vijñeyaḥ YS182v_4.26c	tri-pAda-kRcCraH vijQeyaH YS182u-_4.26c
   tribhir varnair atandritaḥ YS182v_5.5b	triBiH varnEH atandritaH YS182u-_5.5b
   tribhir varṣair vyapohati YS182v_3.12d	triBiH varzEH vyapohati YS182u-_3.12d
   trirātraṃ tatra kārayet YS182v_3.50b	tri-rAtram tatra kArayet YS182u-_3.50b
   trirātrāc cuddhir iṣyate YS182v_3.65d	tri-rAtrAt cudDiH izyate YS182u-_3.65d
   trividhaṃ pāpaśuddhyarthaṃ YS182v_4.51a	triviDam pApa-SudDi-arTam YS182u-_4.51a
   dakyayā patitena vā YS182v_3.69b	dakyayA patitena vA YS182u-_3.69b
   dattvā dhenuṃ tathā vṛṣam YS182v_1.5d	dattvA Denum taTA vRzam YS182u-_1.5d
   dattvā dhenuṃ tathā vṛṣam YS182v_4.5d	dattvA Denum taTA vRzam YS182u-_4.5d
   dadhi sarpiḥ kuśodakam YS182v_1.13b	daDi sarpiH kuSa-udakam YS182u-_1.13b
   daśarudrīṃ japet paścād YS182v_3.46c	daSarudrIm japet paScAt YS182u-_3.46c
   daśavarṣā bhavet kanyā YS182v_3.21c	daSa-varzAH Bavet kanyAH YS182u-_3.21c
   dātavyaṃ pāpamuktyarthaṃ YS182v_4.27c	dAtavyam pApa-mukti-arTam YS182u-_4.27c
   dāyādā nātra saṃśayaḥ YS182v_5.19b	dAyAdAH na-atra saMSayaH YS182u-_5.19b
   dāyādebhyo yathā kramāt YS182v_5.22d	dAyAdeByaH yaTA kramAt YS182u-_5.22d
   dāsanāpitagopāla- YS182v_3.10a	dAsa-nApita-gopAla YS182u-_3.10a
   dāsavargasya kā kriyā YS182v_3.55b	dAsa-vargasya kA kriyA YS182u-_3.55b
   divā gā vai(?) hy anuvrajet YS182v_4.15d	divA gAH vE(?) hi anuvrajet YS182u-_4.15d
   divā caivārkasaṃspṛṣṭaṃ YS182v_3.70a	divA ca-eva-arka-saMspRzwam YS182u-_3.70a
   divā ''nītena toyena YS182v_3.69c	divA aanItena toyena YS182u-_3.69c
   divā ''hṛtaṃ ca yaj jalaṃ YS182v_3.9b	divA aahRtam ca yat jalam YS182u-_3.9b
   divyaṃ deyaṃ yathā vidhi YS182v_5.26d	divyam deyam yaTA viDi YS182u-_5.26d
   dīptān grāsān ayomayān YS182v_3.29d	dIptAn grAsAn ayaH-mayAn YS182u-_3.29d
   durbhago hi tathā ṣaṇḍhaḥ YS182v_3.35a	durBagaH hi taTA zaNXaH YS182u-_3.35a
   durmṛtyumaraṇaṃ prāptā YS182v_4.33a	durmRtyu-maraNam prAptAH YS182u-_4.33a
   duṣṭastrīdarśanenaiva YS182v_4.37a	duzwa-strI-darSanena-eva YS182u-_4.37a
   dūrāc chrāntaṃ bhayagrastaṃ YS182v_3.25a	dUrAt SrAntam Baya-grastam YS182u-_3.25a
   dṛṣṭvā kanyāṃ rajasvalām YS182v_3.22d	dRzwvA kanyAm rajasvalAm YS182u-_3.22d
   dṛṣṭvā[diṣṭyā] nivṛttapāpaughaḥ YS182v_4.42a	dRzwvA-a[dizwyA] nivRtta-pApa-oGaH YS182u-_4.42a
   dṛṣṭvā sadyaḥ śucir bhavet YS182v_1.2d	dRzwvA sadyas SuciH Bavet YS182u-_1.2d
   devatārādhanaṃ tathā YS182v_4.22b	devatA-ArADanam taTA YS182u-_4.22b
   daivikaṃ paitṛkaṃ ca yat YS182v_5.12b	dEvikam pEtRkam ca yat YS182u-_5.12b
   daivikaṃ paitṛkaṃ tathā YS182v_5.7d	dEvikam pEtRkam taTA YS182u-_5.7d
   daive pitrye ca karmaṇi YS182v_3.43d	dEve pitrye ca karmaNi YS182u-_3.43d
   draṃṣṭrābhir bhakṣitā ye ca YS182v_4.31a	draMzwrABiH BakzitAH ye ca YS182u-_4.31a
   dvijaś cāndrāyaṇaṃ caret YS182v_3.31d	dvijaH cAndrAyaNam caret YS182u-_3.31d
   dvijo maithunakārakaḥ YS182v_1.15b	dvijaH mETuna-kArakaH YS182u-_1.15b
   dvitryabdaṃ hi viśiṣyate YS182v_4.33d	dvi-tri-abdam hi viSizyate YS182u-_4.33d
   dvau māsau pañcagavyena YS182v_3.6c	dvO mAsO paQcagavyena YS182u-_3.6c
   dvau māsau bhakṣya bhojyaṃ ca YS182v_3.6a	dvO mAsO Bakzya Bojyam ca YS182u-_3.6a
   dvau māsau yāvakena tu YS182v_3.6b	dvO mAsO yAvakena tu YS182u-_3.6b
   dharmaśāstrānusāreṇa YS182v_4.27a	Darma-SAstra-anusAreNa YS182u-_4.27a
   na kuryād vaidikīṃ śrutim YS182v_4.16d	na kuryAt vEdikIm Srutim YS182u-_4.16d
   na ca govrajanaṃ smṛtam YS182v_4.16b	na ca go-vrajanam smRtam YS182u-_4.16b
   na ca goṣṭhe vased rātrau YS182v_4.16c	na ca gozWe vaset rAtrO YS182u-_4.16c
   na ca datto 'pyahīno 'ti- YS182v_5.17c	na ca dattaH api-ahInaH ati YS182u-_5.17c
   naṭāṃ [ṭīṃ] śailūṣikāṃ caiva YS182v_2.1a	nawAm [wIM] SElUzikAm ca-eva YS182u-_2.1a
   na tu haste kadācana YS182v_3.30b	na tu haste kadAcana YS182u-_3.30b
   na bhavaty eva cānyathā YS182v_4.48d	na Bavati eva ca-anyaTA YS182u-_4.48d
   narakaṃ pratigacchati YS182v_3.53d	narakam pratigacCati YS182u-_3.53d
   narakeṣu ca pacyante YS182v_4.6c	narakezu ca pacyante YS182u-_4.6c
   navame 'ti ca śudhyahni YS182v_2.5d	navame ati ca SuDi-ahni YS182u-_2.5d
   navavarṣā ca rohiṇī YS182v_3.21b	nava-varzA ca rohiNI YS182u-_3.21b
   navaite putravatpālyāḥ YS182v_5.19c	navA-ete putra-vat-pAlyAH YS182u-_5.19c
   navaite pratyavasitāḥ YS182v_1.4a	navA-ete pratyavasitAH YS182u-_1.4a
   naśyatīti na saṃdeha YS182v_4.58c	naSyati-iti na saMdeha YS182u-_4.58c
   na strīṇāṃ vapanaṃ kuryān YS182v_4.16a	na strINAm vapanam kuryAn YS182u-_4.16a
   nātra kāryāvicāraṇā YS182v_4.56d	na-atra kArya-avicAraNAH YS182u-_4.56d
   nātra kāryā vicāraṇā YS182v_5.9b	na-atra kAryA vicAraNA YS182u-_5.9b
   nānyathā mama bhāṣitam YS182v_4.36d	na-anyaTA mama BAzitam YS182u-_4.36d
   nānyathā yamabhāṣitam YS182v_4.39d	na-anyaTA yama-BAzitam YS182u-_4.39d
   nānyathā yamabhāṣitam YS182v_4.53b	na-anyaTA yama-BAzitam YS182u-_4.53b
   nānyaṃ pratyabravīd yamaḥ YS182v_3.56b	na-anyam pratyabravIt yamaH YS182u-_3.56b
   nānyā śuddhir vidhīyate YS182v_3.7d	na-anyA SudDiH viDIyate YS182u-_3.7d
   nāparādho na pātakam YS182v_3.2b	na-aparADaH na pAtakam YS182u-_3.2b
   nārī vā 'pi kumāro vā YS182v_4.5a	nArI vA api kumAraH vA YS182u-_4.5a
   nāvibhaktāḥ kadācana YS182v_5.16b	na-aviBaktAH kadAcana YS182u-_5.16b
   nityaṃ pratigrahe lubdho YS182v_3.36a	nityam pratigrahe lubDaH YS182u-_3.36a
   nirāśāḥ pitaras tasya YS182v_3.38c	nirASAH pitaraH tasya YS182u-_3.38c
   nirāśāḥ pitaro gatāḥ YS182v_3.16d	nirASAH pitaraH gatAH YS182u-_3.16d
   nirāśāḥ pitaro gatāḥ YS182v_3.30d	nirASAH pitaraH gatAH YS182u-_3.30d
   nirmatsaraḥ sadācāraḥ YS182v_3.42a	nirmatsaraH sat-AcAraH YS182u-_3.42a
   niṣkṛtir na vidhīyate YS182v_3.15d	nizkRtiH na viDIyate YS182u-_3.15d
   niḥśvāsopagatasya ca YS182v_3.15b	niHSvAsa-upagatasya ca YS182u-_3.15b
   naiśaṃ pā([naśyetpā])paṃ hi yāṃ dhyātvā YS182v_4.52c	nESam pA([naSyet-pA])pam hi yAm DyAtvA YS182u-_4.52c
   paṅktipāvana eva saḥ YS182v_3.41d	paFkti-pAvanaH eva saH YS182u-_3.41d
   pañcagavyena śuddhiḥ syād YS182v_3.49c	paQcagavyena SudDiH syAt YS182u-_3.49c
   pañcagavyena śudhyati YS182v_3.44d	paQcagavyena SuDyati YS182u-_3.44d
   pañcagavyena śudhyati YS182v_3.48b	paQcagavyena SuDyati YS182u-_3.48b
   pañcagavyena śudhyati YS182v_3.50d	paQcagavyena SuDyati YS182u-_3.50d
   pañcagavyena śudhyati YS182v_3.63d	paQcagavyena SuDyati YS182u-_3.63d
   pañcatvaṃ ca gato bhavet YS182v_5.9d	paQcatvam ca gataH Bavet YS182u-_5.9d
   pañcavarṣāt parasya ca YS182v_3.1b	paQca-varzAt parasya ca YS182u-_3.1b
   patitasya ca viprasya YS182v_4.40a	patitasya ca viprasya YS182u-_4.40a
   patitānāṃ ca viprāṇāṃ YS182v_4.35a	patitAnAm ca viprANAm YS182u-_4.35a
   patitāyā bhavān yathā YS182v_4.47d	patitAyAH BavAn yaTA YS182u-_4.47d
   patnī yasya rajasvalā YS182v_5.7b	patnI yasya rajasvalA YS182u-_5.7b
   padmodumbarabilvānāṃ YS182v_3.63a	padma-udumbara-bilvAnAm YS182u-_3.63a
   parapuṃsagatā hi yā YS182v_4.37d	parapuMsa-gatAH hi yA YS182u-_4.37d
   paralokapradā hy amī YS182v_5.19d	para-loka-pradA hi amI YS182u-_5.19d
   pavitraṃ sarvadā jalam YS182v_3.70d	pavitram sarvadA jalam YS182u-_3.70d
   paścāt sarvaṃ yathā vidhi YS182v_5.11d	paScAt sarvam yaTA viDi YS182u-_5.11d
   paśyaty asaṃskṛtā rajaḥ YS182v_3.18b	paSyati asaMskRtAH rajaH YS182u-_3.18b
   pākhaṇḍī vedanindakaḥ YS182v_3.35b	pAKaNxI veda-nindakaH YS182u-_3.35b
   pātrabhūto dvijottamaḥ YS182v_3.42d	pAtra-BUtaH dvijottamaH YS182u-_3.42d
   pātrībhūtāś ca vijñeyā YS182v_4.54c	pAtrI-BUtAH ca vijQeyAH YS182u-_4.54c
   pādakṛcchraś ca jāyate YS182v_4.26b	pAdakRcCraH ca jAyate YS182u-_4.26b
   pādakṛcchraṃ tathottarā YS182v_3.66d	pAda-kRcCram taTA-uttarAH YS182u-_3.66d
   pādam ekaṃ tathottarā YS182v_3.67d	pAdam ekam taTA-uttarAH YS182u-_3.67d
   pādahīnaṃ caret pūrvā YS182v_3.67c	pAda-hInam caret pUrvAH YS182u-_3.67c
   pādaṃ śūdrasya dāpayet YS182v_1.11d	pAdam SUdrasya dApayet YS182u-_1.11d
   pāpakśayakaraḥ smṛtaḥ YS182v_4.26d	pApakSaya-karaH smRtaH YS182u-_4.26d
   pāpācāraparo bhavet YS182v_4.41d	pApa-AcAra-paraH Bavet YS182u-_4.41d
   pāpāc caiva nivṛttasya YS182v_4.40c	pApAt ca-eva nivRttasya YS182u-_4.40c
   pāpī prakhyāpayet pāpaṃ YS182v_4.5c	pApI praKyApayet pApam YS182u-_4.5c
   pāmaratrāṭa [sa]śaṅktitā YS182v_4.12b	pAmara-trAwaH [sa]SaFkti-tA YS182u-_4.12b
   pāśaṃ chittvā tatas tasya YS182v_1.6c	pASam CittvA tatas tasya YS182u-_1.6c
   pāṣāṇe śastraghātite YS182v_4.1b	pAzANe Sastra-GAtite YS182u-_4.1b
   pitaras tāvad aśnanti YS182v_3.27c	pitaraH tAvat aSnanti YS182u-_3.27c
   pitaro yānty atarpitāḥ YS182v_3.28b	pitaraH yAnti atarpitAH YS182u-_3.28b
   pitaro yānty adhogatim YS182v_4.37b	pitaraH yAnti aDogatim YS182u-_4.37b
   pitā pibati śoṇitam YS182v_3.20d	pitA pibati SoNitam YS182u-_3.20d
   pitā vā 'nyo 'pi bāndhavaḥ YS182v_3.1d	pitA vA anyaH api bAnDavaH YS182u-_3.1d
   pitur gehe tu yā kanyā YS182v_3.18a	pituH gehe tu yA kanyAH YS182u-_3.18a
   pituḥ pātrādikaṃ karma YS182v_5.11c	pituH pAtra-Adikam karma YS182u-_5.11c
   pitṛbhis tarpitaiḥ paścād YS182v_3.28c	pitRBiH tarpitEH paScAt YS182u-_3.28c
   pitṛbhyo bhrātṛputrebhyo YS182v_5.22c	pitRByaH BrAtR-putreByaH YS182u-_5.22c
   pitṛvyabhrātṛbhāryāṃ ca YS182v_3.4a	pitRvya-BrAtR-BAryAm ca YS182u-_3.4a
   pitṝṇāṃ nopatiṣṭheta YS182v_3.32c	pitLNAm na-upatizWeta YS182u-_3.32c
   piśunā viṣayātmakāḥ YS182v_4.56b	piSunAH vizaya-AtmakAH YS182u-_4.56b
   piśuno matsarī tathā YS182v_3.34d	piSunaH matsarI taTA YS182u-_3.34d
   pītvā bhūmigataṃ jalam YS182v_1.8b	pItvA BUmi-gatam jalam YS182u-_1.8b
   putramatyā sadaiva hi YS182v_5.22b	putramatyA sadA-eva hi YS182u-_5.22b
   punarbhūr bhaṇyate hi sā YS182v_4.45d	punarBUH BaNyate hi sA YS182u-_4.45d
   punarbhūr vikṛtā yena YS182v_4.45a	punarBUH vikRtAH yena YS182u-_4.45a
   punaḥ śvāno bhaviṣyati YS182v_3.14d	punar SvAnaH Bavizyati YS182u-_3.14d
   puṃsopagatasevinī YS182v_4.39b	puMsA-upagata-sevinI YS182u-_4.39b
   pūjānte homayet paścād YS182v_3.58c	pUjA-ante homayet paScAt YS182u-_3.58c
   pūtas tad ahared vāpi YS182v_2.7c	pUtaH tat aharet vA-api YS182u-_2.7c
   pūyante tu vrate cīrṇe YS182v_2.9c	pUyante tu vrate cIrNe YS182u-_2.9c
   pūrvapakṣe 'dharībhūte YS182v_5.26a	pUrva-pakze aDarIBUte YS182u-_5.26a
   pūrvavratam anirdiṣṭaṃ YS182v_4.20c	pUrva-vratam anirdizwam YS182u-_4.20c
   pūrvaṃ nyāsavidhiś caiva YS182v_5.25a	pUrvam nyAsa-viDiH ca-eva YS182u-_5.25a
   pūrvā tu balavattarā YS182v_5.23d	pUrvA tu balavattarAH YS182u-_5.23d
   pṛthak piṇḍaṃ pṛthak śrāddhaṃ YS182v_5.15c	pRTak piNxam pRTak SrAdDam YS182u-_5.15c
   pracchannapāpino ye syuḥ YS182v_4.6a	pracCanna-pApinaH ye syuH YS182u-_4.6a
   pratigrahāc ca vipro vai YS182v_3.53c	pratigrahAt ca vipraH vE YS182u-_3.53c
   pratyavaskandanaṃ tathā YS182v_5.24d	pratyavaskandanam taTA YS182u-_5.24d
   pramādāc ca hatā yena YS182v_4.7c	pramAdAt ca hatAH yena YS182u-_4.7c
   pramādocchiṣṭasaṃspṛṣṭaḥ YS182v_3.47c	pramAda-ucCizwa-saMspRzwaH YS182u-_3.47c
   pravadanti manīṣiṇaḥ YS182v_4.48b	pravadanti manIziNaH YS182u-_4.48b
   pravrajyānāśakacyutāḥ YS182v_1.3b	pravrajyA-anASaka-cyutAH YS182u-_1.3b
   prasūtā vā na kārya ca YS182v_5.7c	prasUtAH vA na kArya ca YS182u-_5.7c
   prasthāne vā pitā tasya YS182v_5.9c	prasTAne vA pitA tasya YS182u-_5.9c
   prājāpatyadvayena hi YS182v_4.44d	prAjApatya-dvayena hi YS182u-_4.44d
   prājāpatyaṃ tu kṣattriyaḥ YS182v_1.11b	prAjApatyam tu kzattriyaH YS182u-_1.11b
   prājāpatyaṃ na dātavyaṃ YS182v_1.10c	prAjApatyam na dAtavyam YS182u-_1.10c
   prājāpatyaṃ samācaret YS182v_3.45d	prAjApatyam samAcaret YS182u-_3.45d
   prājāpatyena śudhyati YS182v_1.9d	prAjApatyena SuDyati YS182u-_1.9d
   prājāpatyais tribhiḥ kṛcchraṃ YS182v_4.25a	prAjApatyEH triBiH kRcCram YS182u-_4.25a
   prāṇināṃ pāpakāriṇām YS182v_4.27d	prANinAm pApa-kAriNAm YS182u-_4.27d
   prātah saṃdhyāṃ sanakṣatrām YS182v_4.50a	prAtam saMDyAm sa-nakzatrAm YS182u-_4.50a
   prātilomye mahatpāpaṃ YS182v_4.48a	prAtilomye mahat-pApam YS182u-_4.48a
   prāpte dvādaśame varṣe YS182v_3.20a	prApte dvAdaSame varze YS182u-_3.20a
   prāyaścittam upakramya YS182v_2.7a	prAyaScittam upakramya YS182u-_2.7a
   prāyaścittaṃ kathaṃ bhavet YS182v_3.8d	prAyaScittam kaTam Bavet YS182u-_3.8d
   prāyaścittaṃ kathaṃ bhavet YS182v_3.62d	prAyaScittam kaTam Bavet YS182u-_3.62d
   prāyaścittaṃ kathaṃ bhavet YS182v_3.64d	prAyaScittam kaTam Bavet YS182u-_3.64d
   prāyaścittaṃ ca dātavyaṃ YS182v_5.6c	prAyaScittam ca dAtavyam YS182u-_5.6c
   prāyaścittaṃ ca yat smṛtam YS182v_4.13b	prAyaScittam ca yat smRtam YS182u-_4.13b
   prāyaścittaṃ cared bhrāta YS182v_3.1c	prAyaScittam caret BrAta YS182u-_3.1c
   prāyaścittaṃ cā ''nulomye YS182v_4.48c	prAyaScittam cA aanulomye YS182u-_4.48c
   prāyaścittaṃ tathā prāptaṃ YS182v_3.11c	prAyaScittam taTA prAptam YS182u-_3.11c
   prāyaścittaṃ tadā deyam YS182v_4.28c	prAyaScittam tadA deyam YS182u-_4.28c
   prāyaścittaṃ tu bandhubhiḥ YS182v_4.31d	prAyaScittam tu banDuBiH YS182u-_4.31d
   prāyaścittaṃ dadāti yaḥ YS182v_4.29b	prAyaScittam dadAti yaH YS182u-_4.29b
   prāyaścittaṃ dine dine YS182v_4.49d	prAyaScittam dine dine YS182u-_4.49d
   prāyaścittaṃ na vidyate YS182v_3.2d	prAyaScittam na vidyate YS182u-_3.2d
   prāyaścittaṃ na sevate YS182v_2.8b	prAyaScittam na sevate YS182u-_2.8b
   prāyaścittaṃ pṛthak pṛthak YS182v_4.11d	prAyaScittam pRTak pRTak YS182u-_4.11d
   prāyaścittaṃ prakalpayet YS182v_1.1d	prAyaScittam prakalpayet YS182u-_1.1d
   prāyaścittaṃ pravartate YS182v_4.43d	prAyaScittam pravartate YS182u-_4.43d
   prāyaścittaṃ bhavet tatra YS182v_4.2c	prAyaScittam Bavet tatra YS182u-_4.2c
   prāyaścittaṃ manīṣibhiḥ YS182v_4.27b	prAyaScittam manIziBiH YS182u-_4.27b
   prāyaścittaṃ yathā tathā YS182v_4.7b	prAyaScittam yaTA taTA YS182u-_4.7b
   prāyaścittaṃ yathā vidhi YS182v_4.41b	prAyaScittam yaTA viDi YS182u-_4.41b
   prāyaścittaṃ vidhīyate YS182v_4.23d	prAyaScittam viDIyate YS182u-_4.23d
   prāyaścittaṃ vidhīyate YS182v_4.30b	prAyaScittam viDIyate YS182u-_4.30b
   prāyaścittaṃ vyākhyāsyāmaḥ YS182v_1.1b	prAyaScittam vyAKyAsyAmaH YS182u-_1.1b
   prāyaścittaṃ samaṃ smṛtam YS182v_4.8d	prAyaScittam samam smRtam YS182u-_4.8d
   prāyaścittād viśudhyati YS182v_4.5b	prAyaScittAt viSuDyati YS182u-_4.5b
   prāyaścittārdham arhanti YS182v_3.3c	prAyaScitta-arDam arhanti YS182u-_3.3c
   prāyaścittī tadārhati YS182v_4.42b	prAyaScittI tadA-arhati YS182u-_4.42b
   prāyaścittī bhavec ca saḥ YS182v_4.12d	prAyaScittI Bavet ca saH YS182u-_4.12d
   prāyaścittī bhavet tadā YS182v_4.40d	prAyaScittI Bavet tadA YS182u-_4.40d
   prāyaścittī bhavet pūtas YS182v_4.29c	prAyaScittI Bavet pUtaH YS182u-_4.29c
   prāyaścittī bhaven naraḥ YS182v_4.4d	prAyaScittI Bavet naraH YS182u-_4.4d
   prāyaścittena śudhyati YS182v_4.9d	prAyaScittena SuDyati YS182u-_4.9d
   preṣitaḥ puruṣo vā 'pi YS182v_4.13a	prezitaH puruzaH vA api YS182u-_4.13a
   bandhubhir datta eva ca YS182v_5.18b	banDuBiH dattaH eva ca YS182u-_5.18b
   balavaty uttarā kriyā YS182v_5.24b	balavatI uttarA kriyA YS182u-_5.24b
   balād gṛhīto baddhaś ca YS182v_5.18a	balAt gRhItaH badDaH ca YS182u-_5.18a
   balād dāsī kṛtā ye ca YS182v_5.5c	balAt dAsI kRtAH ye ca YS182u-_5.5c
   balīvardasya caiva hi YS182v_4.2b	balIvardasya ca-eva hi YS182u-_4.2b
   balīvarde 'pi ca tathā YS182v_4.8c	balIvarde api ca taTA YS182u-_4.8c
   balīvardo mṛto 'pi vā YS182v_4.4b	balIvardaH mRtaH api vA YS182u-_4.4b
   bālo vā 'py ūnaṣoḍaśaḥ YS182v_3.3b	bAlaH vA api Una-zoxaSaH YS182u-_3.3b
   brahmalokaṃ vrajaty eva YS182v_4.53a	brahma-lokam vrajati eva YS182u-_4.53a
   brahmavarcasam eva ca YS182v_4.58b	brahmavarcasam eva ca YS182u-_4.58b
   brahmavādiṣu garhitaḥ YS182v_3.23d	brahma-vAdizu garhitaH YS182u-_3.23d
   brahmahatyā dine dine YS182v_3.13d	brahmahatyA dine dine YS182u-_3.13d
   brahmahā ca surāpaś ca YS182v_4.22c	brahma-hA ca surApaH ca YS182u-_4.22c
   brāhmaṇakṣattriyaviśāṃ YS182v_4.34a	brAhmaNa-kzattriya-viSAm YS182u-_4.34a
   brāhmaṇas tu śunā daṣṭo YS182v_1.2a	brAhmaNaH tu SunA dazwaH YS182u-_1.2a
   brāhmaṇaṃ gṛham āgatam YS182v_3.25b	brAhmaNam gRham Agatam YS182u-_3.25b
   brāhmaṇaḥ kāmalubdho 'pi YS182v_4.46c	brAhmaNaH kAma-lubDaH api YS182u-_4.46c
   brāhmaṇān bhojayet paścāc YS182v_4.38c	brAhmaNAn Bojayet paScAt YS182u-_4.38c
   brāhmaṇā mantritāś caiva YS182v_5.8a	brAhmaNAH mantritAH ca-eva YS182u-_5.8a
   brāhmaṇī kṣattriyā tathā YS182v_3.66b	brAhmaNI kzattriyA taTA YS182u-_3.66b
   brāhmaṇī vaiśyinī tathā YS182v_3.67b	brAhmaNI vESyinI taTA YS182u-_3.67b
   brāhmaṇī śūdriṇī tathā YS182v_3.68b	brAhmaNI SUdriNI taTA YS182u-_3.68b
   brāhmaṇo brāhmaṇena hi YS182v_3.46b	brAhmaNaH brAhmaNena hi YS182u-_3.46b
   brāhmaṇo madamohitaḥ YS182v_3.13b	brAhmaNaH mada-mohitaH YS182u-_3.13b
   brāhmaṇo madamohitaḥ YS182v_3.19b	brAhmaNaH mada-mohitaH YS182u-_3.19b
   brāhmaṇo rājasevayā YS182v_4.60d	brAhmaNaH rAja-sevayA YS182u-_4.60d
   brāhmaṇo vai pramādataḥ YS182v_3.54b	brAhmaNaH vE pramAdataH YS182u-_3.54b
   brāhmaṇyaṃ hi vilupyate YS182v_4.59d	brAhmaNyam hi vilupyate YS182u-_4.59d
   brāhmī dānena śudhyati YS182v_3.68d	brAhmI dAnena SuDyati YS182u-_3.68d
   bhaginīṃ mātur eva ca YS182v_3.4b	BaginIm mAtuH eva ca YS182u-_3.4b
   bhavaty eva na saṃśayaḥ YS182v_5.15b	Bavati eva na saMSayaH YS182u-_5.15b
   bhavanti ṛṇabhāginaḥ YS182v_3.38d	Bavanti RNa-BAginaH YS182u-_3.38d
   bhavanty uttaravādinaḥ YS182v_5.26b	Bavanti uttara-vAdinaH YS182u-_5.26b
   bhaved vai pāpinaḥ kila YS182v_4.28b	Bavet vE pApinaH kila YS182u-_4.28b
   bhūdevā nātra saṃśayaḥ YS182v_4.54b	BUdevAH na-atra saMSayaH YS182u-_4.54b
   bhṛtako vedavikrayī YS182v_3.37d	BRtakaH veda-vikrayI YS182u-_3.37d
   bhrātaraś ca pṛthak kuryur YS182v_5.16a	BrAtaraH ca pRTak kuryuH YS182u-_5.16a
   bhrātuḥ putro mitraputraḥ YS182v_5.18c	BrAtuH putraH mitra-putraH YS182u-_5.18c
   bhrūṇahatyā pitus tasyāḥ YS182v_3.18c	BrUNahatyA pituH tasyAH YS182u-_3.18c
   makṣikaiś copaghātitam YS182v_1.7b	makzikEH ca-upaGAtitam YS182u-_1.7b
   madhyāhne ca tathā raudrīṃ YS182v_4.50c	maDyAhne ca taTA rOdrIm YS182u-_4.50c
   madhye ca vṛṣalīpatim YS182v_3.16b	maDye ca vRzalI-patim YS182u-_3.16b
   mayā ca sūtakaṃ bhavet YS182v_4.20d	mayA ca sUtakam Bavet YS182u-_4.20d
   maha[hā]rghaṃ yaḥ prayacchati YS182v_3.23b	maha[hA]rGam yaH prayacCati YS182u-_3.23b
   mahiṣīty ucyate bhāryā YS182v_3.17a	mahizi-iti ucyate BAryA YS182u-_3.17a
   mātaraṃ gurupatnīṃ ca YS182v_3.7a	mAtaram guru-patnIm ca YS182u-_3.7a
   mātā caiva pitā caiva YS182v_3.22a	mAtA ca-eva pitA ca-eva YS182u-_3.22a
   mānasaṃ vācikaṃ caiva YS182v_4.49a	mAnasam vAcikam ca-eva YS182u-_4.49a
   māsam ekaṃ nirantaram YS182v_3.14b	mAsam ekam nirantaram YS182u-_3.14b
   māsaṃ kṛcchraṃ cared vipraś YS182v_1.12c	mAsam kRcCram caret vipraH YS182u-_1.12c
   māsi māsi rajas tasyāḥ YS182v_3.20c	mAsi mAsi rajaH tasyAH YS182u-_3.20c
   mukhena dhamitaṃ bhuṅkte YS182v_3.31c	muKena Damitam BuFkte YS182u-_3.31c
   muṣṭyā vā nihatā yā gauḥ YS182v_4.10a	muzwyA vA nihatAH yAH gOH YS182u-_4.10a
   mṛtakaṃ ca yadā bhavet YS182v_4.18d	mRtakam ca yadA Bavet YS182u-_4.18d
   mṛtam udbandhanena tu YS182v_1.6b	mRtam udbanDanena tu YS182u-_1.6b
   mṛtā caiva yadā sā gauḥ YS182v_4.12c	mRtA ca-eva yadA sA gOH YS182u-_4.12c
   mṛtpiṇḍanavagomaye YS182v_4.9b	mRd-piNxa-nava-gomaye YS182u-_4.9b
   mṛtpiṇḍānyeva sādhayet YS182v_4.1d	mRd-piNxAni-eva sADayet YS182u-_4.1d
   mauñjīhomena śudhyati YS182v_2.3d	mOQjI-homena SuDyati YS182u-_2.3d
   mlecchacāṇḍāladasyubhiḥ YS182v_5.5d	mlecCa-cANxAla-dasyuBiH YS182u-_5.5d
   yatra yatra mriyed gauś ca YS182v_4.11c	yatra yatra mriyet gOH ca YS182u-_4.11c
   yathā brahmavadhe pāpaṃ YS182v_4.8a	yaTA brahma-vaDe pApam YS182u-_4.8a
   yad attaṃ ca hutaṃ tasmai hy YS182v_3.43e	yat attam ca hutam tasmE hi YS182u-_3.43e
   yadi na kṣipate toyaṃ YS182v_1.10a	yadi na kzipate toyam YS182u-_1.10a
