   Adhyaya 2, Pada 1	ADyayaH 2, Pada 1
   Vyāsa (17)	VyAsa (17)
   atra sūtram oṃ etena śiṣyā aparigrahā api vyākhyātā iti /	atra sUtram om etena SizyAH aparigrahAH api vyAKyAtAH iti /
   tatkecidvayācakṣate /	tat kecid vayA Acakzate /
   etena"navilakṣaṇatvāt'; ityādinā prakṛtena śiṣyaiḥ kenacidaṃśena	etena"navilakzaNa tvAt a; ityAdinA prakRtena SizyEH kenacid aMSena
   parigṛhītasya pradhānakāraṇavādasya nirākaraṇena	parigRhItasya praDAna kAraNa vAdasya nirAkaraNena
   śiṣyairmanuvyāsaprabhṛtibhiḥ kenacidapyaṃśenāparigṛhītā ye	SizyEH manuvyAsa praBRtiBiH kenacid api aMSena aparigRhItAH ye
   'ṇvādikāraṇavādāste 'pi vyākhyātā draṣṭavyā iti /	aNu Adi kAraNa vAdAH te api vyAKyAtAH drazwavyAH iti /
   tadidaṃ dūṣayati  naceti //	tat idam dUzayati na ca iti //
   etena śiṣṭāparigrahā api vyākhyātāḥ | BBs_2,1.12 |	etena Sizwa aparigrahAH api vyAKyAtAH | BBH _2,1.12 |
   na ca śiṣyāgṛhītatvaṃ nirīśādīśavādinaḥ // MAnuv_2,1.81ab //	na ca SizyA gRhIta tvam nirISAt ISa vAdinaH // Ma anuv_2,1.81aB //
   *6,152f.*	*6,152f.*
   āstāṃ tāvadabhyadhikāśaṅkāprakāraḥ, parihārātideśaprakāraśca /	AstAm tAvat aByaDikA SaFkA prakAraH, parihAra ati deSa prakAraH ca /
   yattāvaduktam"sāṅkhayādapi vaiśeṣikāderatiśayena śiṣyāgṛhītatvam';	yat tAvat uktam"sA aFKayAt api vESezika AdeH atiSayena SizyA gRhIta tvam a;
   tadati(tīva)viruddham /	tat ati(tIva) virudDam /
   sāṅkhayasya nirīśvaratvāt /	sAFKayasya nirISvara tvAt /
   vaiśeṣikādestu seśvaratvāt /	vESezika AdeH tu sa ISvara tvAt /
   vaiparītyasyaivocitatvāt /	vEparItyasya eva ucita tvAt /
   iha hi brahmaṇo jagatkāraṇatve vipratipattayo nirasyante /	iha hi brahmaNaH jagat kAraNa tve vipratipattayaH nirasyante /
   tatra sāṅkhayo brahmaiva nābhyupaiti /	tatra sAFKayaH brahma eva na aByupEti /
   kutastadīyaṃ jagatkāraṇatvamityatiśayena	kutas tadIyam jagat kAraNa tvam iti atiSayena
   vedāntavādavirodhitvācchiṣyāparigṛhītaḥ /	vedAnta vAda viroDi tvAt Sizya aparigRhItaH /
   vaiśeṣikādistu, brahma tasya jagannimittatvaṃ cāṅgīkṛtyopādānatāmātraṃ	vESezika AdiH tu, brahma tasya jagat nimitta tvam ca aFgIkRtya upAdAna tA mAtram
   nāṅgīkuruta itīṣadvirodhitvāt īṣacchiṣyāparigṛhīta iti yuktam /	na aFgIkurutaH iti Iza dvi roDi tvAt Izat SizyA parigRhItaH iti yuktam /
   satkāryavāditvādikaṃ tu prakṛtāsaṅgatameva /	satkArya vAdi tva Adikam tu prakRta asaFgatam eva /
   anyathā yāgīyahiṃsāniṣedhādinā viparivartaḥ syāt /	anyaTA yAgIyahiMsA nizeDa AdinA viparivartaH syAt /
   atha vedasaṃvādabāhulyābāhulyaprayuktamidam /	aTa veda saMvAda bAhulya AbAhulya prayuktam idam /
   maivam /	mA evam /
   (tanna /	(tat naH /
   tattvānāṃ) pratipādyānāmaparisaṅkhayātatvāditi /	tattvAnAM) pratipAdyAnAma parisaFKa yAta tvAt iti /
   kiṃ tarhyasya sūtrasyābhidheyamityata āha  ata iti //	kim tarhi asya sUtrasya aBiDeyam iti atas Aha atas iti //
   arthāvaśiṣṭajīvādikartṛtātra niṣidhyate // MAnuv_2,1.81cd //	arTa avaSizwa jIva Adi kartR tA atra niziDyate // MA anuv_2,1.81cd //
   arthāntarasya nirākṛtatvādityarthaḥ /	arTa antarasya nirAkRta tvAt iti arTaH /
   apavyākhyānanirākaraṇasya svavyākhyānadārḍhyāthartvānnāsaṅgatamiti	apavyAKyAna nirAkaraNasya sva vyAKyAna dArXyA aTa RtvAt na asaFgatam iti
   sūcayitumata ityuktam /	sUcayitum ataH iti uktam /
   avaśiṣyā nirākṛtāyā abhāvakartṛtāyāḥ, jīvādikartṛtā, jagata iti śeṣaḥ /	avaSizyAH nirAkRtAyAH aBAva kartR tAyAH, jIva Adi kartR tA, jagataH iti SezaH /
   anena nirākṛtādavaśiṣyā vedāparigṛhītā jīvapradhānāsatkālasvabhāvādivādā	anena nirAkRtAt avaSizyA veda aparigRhItA jIva praDAna asat kAla svaBAva Adi vAdA
   nirākṛtā iti vyākhyātaṃ bhavati /	nirAkRtAH iti vyAKyAtam Bavati /
   tatra śiṣyā ityevokte brahmakāraṇavādo 'pi prāpnoti /	tatra SizyAH iti eva ukte brahma kAraNa vAdaH api prApnoti /
   tadarthamaparigrahā ityuktam /	tad arTam aparigrahAH iti uktam /
   tanmātre tūkte abhāvakartṛtvavādo 'pi gṛhyeta /	tanmAtre tu ukte aBAva kartR tva vAdaH api gRhyeta /
   tathāca punaruktiratideśānupapattiśca syāt /	taTA ca punaruktiH atideSa anupapattiH ca syAt /
   ataḥ śiṣyā ityuktam /	atas SizyAH iti uktam /
   abhyadhikāśaṅkāsadbhāvasūcanena sūtrārambhopapādanārthaṃ ca śiṣyāḥ	aByaDikA SaFkA sadBAva sUcanena sUtra AramBa upapAdana arTam ca SizyAH
   śiṣyatayā pratītāḥ, natu tata eva nirākṛtatayeti /	Sizya tayA pratItAH, na tu tatas eva nirAkRta tayA iti /
   nanu jīvādītyāsidagrahaṇenāsatkartṛkatvaṃ gṛhītam /	nanu jIva Adi iti Asida grahaNena asatkartRka tvam gRhItam /
   tasya"asaditi cet'; ityādinā nirastatvena paunaruktyādiprasaṅgādityata	tasya"asat iti ced a; ityAdinA nirasta tvena pOnarukti Adi prasaFgAt ityata
   āha  tanmana iti //	Aha tad manaH iti //
   tanmano 'kurutetyāderasato manaso janiḥ /	tad manaH akuruta iti AdeH asataH manasaH janiH /
   nivāritā tu pūrvatra hyakasmāditi tadvinā // MAnuv_2,1.82 //	nivAritA tu pUrvatra hi akasmAt iti tat vinA // Ma anuv_2,1.82 //
   asato viśvajananamāśaṅkayātra niṣiddhayate // MAnuv_2,1.83ab //	asataH viSva jananam ASaFkayA atra nizidDayate // Ma anuv_2,1.83aB //
   ityādeḥ pramāṇāt /	ityAdeH pramANAt /
   āśaṅkiteti śeṣaḥ /	ASaFkitA iti SezaH /
   ādipadenoktayuktirgṛhyate /	Adipadena ukta yuktiH gRhyate /
   asataḥ abhāvasya /	asataH aBAvasya /
   manasa iti /	manasaH iti /
   jñānecchāprayatnebhyaḥ janiḥ /	jQAna icCA prayatneByaH janiH /
   jagata iti śeṣaḥ /	jagataH iti SezaH /
   pūrvatra tviti sambandhaḥ /	pUrvatra tu iti sambanDaH /
   tacca pratiṣedhamātratvādityādinā sphuṭamavagamyata iti hiśabdaḥ /	tat ca pratizeDa mAtra tvAt ityAdinA sPuwam avagamyate iti hi SabdaH /
   akasmāddhīdamāvirāsīdityādiśrutyā /	akasmAt hi idam AvirAsIt iti Adi SrutyA /
   tat mano, vinā /	tat mano, vinA /
   asataḥ śūnyāt /	asataH SUnyAt /
   etaduktaṃ bhavati /	etat uktam Bavati /
   pūvarmabhāvasya jagatkāraṇatvaṃ nirākṛtamidānīṃ tu śūnyasya /	pUvarma BAvasya jagat kAraNa tvam nirAkRtam idAnIm tu SUnyasya /
   kiñca pūrvaṃ kartṛtvenādhunā kartṛtāṃ vinaiveti na paunaruktyādīti /	kiQca pUrvam kartR tvena aDunA kartR tAm vinA eveti na pOnarukti Adi iti /
   yadvā bhāṣyadiśā niṣkāraṇaivātra jagajjanirāśaṅkiteti na paunaruktyādikam	yat vA BAzya diSA nizkAraNa eva atra jagat janiH ASaFkitA iti na pOnarukti Adikam
   atra śaṅkāprāpakapramāṇopanyāsastu asyaiva prameyabhedasyopapādanārtham /	atra SaFkA prApaka pramANa upanyAsaH tu asya eva prameya Bedasya upapAdana arTam /
   etenābhyadhikā śaṅkāpi sūcitā /	etena aByaDikA SaFkA api sUcitA /
   tathāhi /	taTA hi /
   mā bhūdabhāvakartṛkaṃ jagat, tathāpi jīvādibhyo janimadbhaviṣyati /	mA BUt aBAva kartRkam jagat, taTA api jIva AdiByaH janimat Bavizyati /
   "jīvādbhavanti bhūtāni',"pradhānādidamutpannam',"akasmāddhīdamāvirāsīd';	"jIvAt Bavanti BUtAni a,"praDAnAt idam utpannam a,"akasmAt hi idam AvirAsIt a;
   ityādiśrutyanugṛhītebhyo ghaṭadadhikaṇṭataikṣṇādidṛṣṭāntebhyaḥ /	ityAdi Sruti anugRhIteByaH Gawa daDi kaNwa tEkzNa Adi dRzwAnteByaH /
   nahi jīvādīnāṃ pratiṣedhamātratvamasti, yenoktayuktivirodhaḥ syāt /	na hi jIva AdInAm pratizeDa mAtra tvam asti, yena ukta yukti viroDaH syAt /
   asattvācetanatvāderupalakṣaṇametaditi cet /	asattva acetana tva AdeH upalakzaNam etat iti ced /
   kimatrāsadādeḥ kāraṇatvamātraṃ netyucyate, kiṃvā kartṛtvam /	kim atra Asat AdeH kAraNa tva mAtram na iti ucyate, kiMvA kartR tvam /
   nādyaḥ /	na AdyaH /
   uktadṛṣṭānteṣu vyabhicārāt /	ukta dRzwAntezu vyaBicArAt /
   na dvitīyaḥ /	na dvitIyaH /
   kartṛtvasyāsmābhiranaṅgīkṛtatvāditi /	kartR tvasya asmABiH anaFgIkRta tvAt iti /
   ata evātra sarvatra kartṛśabdaḥ kāraṇatvamātraparo draṣṭavyaḥ /	atas eva atra sarvatra kartR SabdaH kAraNa tva mAtra paraH drazwavyaH /
   nanvatra jīvāderviśvakāraṇatvamātraṃ śaṅkayate, tasyaiva vā /	nanu atra jIva AdeH viSvakAraNa tva mAtram SaFkayate, tasya eva vA /
   ādye na siddhāntavirodhaḥ /	Adye na sidDAnta viroDaH /
   jīvasya hyadṛṣṭādhāratayā nimittatvaṃ pradhānasya copādānatvamaṅgīkṛtameva	jIvasya hi adRzwa ADAra tayA nimitta tvam praDAnasya ca upAdAna tvam aFgIkRtam eva
   na dvitīyaḥ /	na dvitIyaH /
   prāpakābhāvāt /	prApaka aBAvAt /
   kāryasya sakartṛkatvaniyamadarśanāccetyata āha  prāpakamiti //	kAryasya sa kartRka tva niyama darSanAt ca iti atas Aha prApakam iti //
   prāpakaṃ vākyamātraṃ tu ... // MAnuv_2,1.83c //	prApakam vAkya mAtram tu ... // Ma anuv_2,1.83t //
   dvitīya evāśaṅkayate /	dvitIyaH eva aSaFkayate /
   tasya ca prāpakaṃ"na jīvātkāraṇaṃ param',"na hyanyatkāraṇaṃ matam';	tasya ca prApakaM"na jIvAt kAraNam param a,"na hi anyat kAraNam matam a;
   ityādivākyam /	ityAdi vAkyam /
   naca lokavirodhaḥ /	na ca loka viroDaH /
   vākyamātrasiddhe 'rthe tatpratipannameva gṛhyate natu loko 'nugamyata iti	vAkya mAtra sidDe arTe tad pratipannam eva gRhyate na tu lokaH anugamyate iti
   pūrvapakṣī manyata iti /	pUrva pakzI manyate iti /
   nanu ca pradhānakāraṇatvādimatāni dvitīyapāde nirākariṣyate /	nanu ca praDAna kAraNa tva Adi matAni dvitIya pAde nirAkarizyate /
   teṣāmatrāpi nirākaraṇe punaruktidoṣaḥ syādityato vā'ha  prāpakamiti //	tezAm atra api nirAkaraNe punarukti dozaH syAt iti atas vA aha prApakam iti //
   atra śaṅkāprāpakaṃ vākyamātraṃ natu samaya ityarthaḥ /	atra SaFkA prApakam vAkya mAtram na tu samayaH iti arTaH /
   idamuktaṃ bhavati /	idam uktam Bavati /
   atra śrutyanugṛhītābhiryuktibhiḥ prāptaṃ pradhānādikāraṇatvaṃ nirākriyate	atra Sruti anugRhItABiH yuktiBiH prAptam praDAna Adi kAraNa tvam nirAkriyate
   uttaraṃ(ratra) tu tu sāṅkhayādisamayaprāptam /	uttaraM(ratra) tu tu sAFKayAdi samaya prAptam /
   ato 'pi noktadoṣa iti /	atas api na ukta dozaH iti /
   nanvevaṃ tarhyetenetyatideśaḥ katham /	nanu evam tarhi etena iti atideSaH kaTam /
   uktaparihārasya pūrvapakṣiṇā parihṛtatvādityata āha  parihāra iti //	ukta parihArasya pUrva pakziNA parihRta tvAt iti atas Aha parihAraH iti //
   ... parihāro viśeṣitaḥ // MAnuv_2,1.83d //	... parihAraH viSezitaH // MA anuv_2,1.83d //
   yadyapi pratiṣedhamātratvaṃ pradhānādiṣvasiddham /	yadi api pratizeDa mAtra tvam praDAna Adizu asidDam /
   acetanatvādikaṃ ca kāraṇatvamātravāde anaikāntikam /	acetana tva Adikam ca kAraNa tva mAtra vAde anEkAntikam /
   tathāpi pūrvapakṣāṇāṃ yuktiviruddhatvaṃ yatpratiṣedhamātratvāt	taTA api pUrva pakzANAm yukti virudDa tvam yat pratizeDa mAtra tvAt
   dṛṣṭāntabhāvāditi sāmānyataḥ sūcitam, yacca	dRzwAnta BAvAt iti sAmAnyatas sUcitam, yat ca
   svapakṣadoṣāccetyaprāmāṇikatvaṃ, sa parihāro 'trāpyaviśeṣitaḥ samānaḥ,	sva pakza dozAt cetya prAmANika tvan, sa parihAraH atra api aviSezitaH samAnaH,
   ityatideśo yujyata ityarthaḥ /	iti atideSaH yujyate iti arTaH /
   nanu kathaṃ jagato jīvakartṛtvādivādasya yuktiviruddhatvamityata āha 	nanu kaTam jagataH jIva kartR tva AdivAdasya yukti virudDa tvam iti atas Aha 
   kvaciditi //	kvacid iti //
   kvacijjīvākṛtaṃ dṛṣṭvā cetanādeva cākṛtam /	kvacid jIva akRtam dRzwvA cetanAt eva ca akRtam /
   tadvadevānumānyatra vastutvāt kriyate śruteḥ // MAnuv_2,1.84 //	tadvat eva anumAni atra vastu tvAt kriyate SruteH // Ma anuv_2,1.84 //
   kvacit deśādau /	kvacid deSa AdO /
   yadvā kvacit jīvādau /	yat vA kvacid jIva AdO /
   akṛtamiti ca bhāvapradhāno nirdeśaḥ /	akRtam iti ca BAva praDAnaH nirdeSaH /
   kāraṇatvamātramatra pūrvapakṣo na kartṛtvamityato 'cetanāditi	kAraNa tva mAtram atra pUrva pakzaH na kartR tvam iti atas acetanAt iti
   pañcamīprayogaḥ /	paQcamI prayogaH /
   acetanādakṛtaṃ ca dṛṣṭvā /	acetanAt akRtam ca dRzwvA /
   evaśabdena dṛṣṭāntānāmasandigdhasādhyatāmāha /	eva Sabdena dRzwAntAnAm asat digDa sADyatAm Aha /
   anumā anumitiḥ /	anumA anumitiH /
   anyathā vastutvasyaivānumānatvātpañcamī na syāt /	anyaTA vastu tvasya eva anumAna tvAt paQcamI na syAt /
   jīvākṛtatvāderiti śeṣaḥ /	jIvAkRta tva AdeH iti SezaH /
   anyatra mahadādau /	anyatra mahat AdO /
   atraite prayogāḥ /	atra ete prayogAH /
   mahadādikāryaṃ na jīvakṛtaṃ vastutvājjīvavat, vimataṃ na pradhānakāryaṃ	mahat Adi kAryam na jIva kRtam vastu tvAt jIvavat, vimatam na praDAna kAryam
   vastutvātpradhānavat, vimataṃ nāsatkāryaṃ vastutvādghaṭavaditi /	vastu tvAt praDAnavat, vimatam na asat kAryam vastu tvAt Gawa vat iti /
   yadyapi jīvasya nimittatvena pradhānasyopādānatvena	yadi api jIvasya nimitta tvena praDAnasya upAdAna tvena
   jagatkāraṇatvamaṅgīkṛtameva tathāpi svātantryābhāvābhiprāyeṇedaṃ	jagat kAraNa tvam aFgIkRtam eva taTA api svAtantrya aBAva aBiprAyeNa idam
   vacanamiti na virodhaḥ /	vacanam iti na viroDaH /
   nanvevaṃ satyatiprasaṅgaḥ syāt /	nanu evam sati ati prasaFgaH syAt /
   vimatamaśvarakṛtaṃ na bhavati vastutvādīśvaravat ityapi prayoktuṃ	vimatam aSvara kRtam na Bavati vastu tvAt ISvara vat iti api prayoktum
   śakyatvādityata āha  śruteriti //	Sakya tvAt iti atas Aha SruteH iti //
   "sa idaṃ sarvamasṛjata';	"saH idam sarvam asRjata a;
   ityādiśrutermahadāderīśvarakṛtatvāvadhāraṇādatiprasaṅgānumānasya	iti Adi SruteH mahat AdeH ISvara kRta tva avaDAraNAt ati prasaFga anumAnasya
   bādhitatvenāprāmāṇyamiti /	bADita tvena aprAmANyam iti /
   samaṃ tarhīdaṃ bhavadanumāneṣu /	samam tarhi idam Bavat anumAnezu /
   jīvādbhavanti bhūtānītyādiśruterityata āha  śruteriti //	jIvAt Bavanti BUtAni ityAdi SruteH iti atas Aha SruteH iti //
   bhāvapradhāno nirdeśaḥ /	BAva praDAnaH nirdeSaH /
   jīvādiśabdānāṃ brahmaśrutitvādbrahmanāmatvānna śrutivirodha ityarthaḥ /	jIva Adi SabdAnAm brahma Sruti tvAt brahma nAma tvAt na Sruti viroDaH iti arTaH /
   tatkuta ityata āha  śruteriti //	tad kutas iti atas Aha SruteH iti //
   "nāmāni sarvāṇi yamāviśanti'; ityādiśruteḥ /	"nAmAni sarvANi yamAviSanti a; ityAdi SruteH /
   śeṣaṃ bhāṣye /	Sezam BAzye /
   nanu jīvādikāraṇa(ka)tve 'pi	nanu jIva Adi kAraNa( ka)tve api
   ghaṭādidṛṣṭāntāvaṣṭambhenānumānasambhavātkathamaprāmāṇikatvamityata āha 	Gawa Adi dRzwAnta avazwamBena anumAna samBavAt kaTam aprAmANika tvam iti atas Aha 
   śruteriti //	SruteH iti //
   "nānyo 'to 'sti kartā'; ityādiśruterbādhitaviṣayatvāt dṛṣṭāntānāṃ	"na anyaH atas asti kartA a; ityAdi SruteH bADita vizaya tvAt dRzwAntAnAm
   sādhyavaikalyācca nānumānānāṃ prāmāṇyam /	sADya vEkalyAt ca na anumAnAnAm prAmANyam /
   etenāsmadanumāne 'kāryatvamupādhirityapi nirastaḥ(m) /	etena asmad anumAne akArya tvam upADiH iti api nirastaH(m) /
   (svātantryeṇa) jīvādyakṛte 'pi ghaṭādāvakāryatvābhāvāt /	(svAtantryeNa) jIva Adya kRte api GawAdO= akArya tva aBAvAt /
   pratipakṣe bādhādidoṣānuṣaṅgācceti sarvaṃ sustham /	pratipakze bADa Adi doza anuzaFgAt ca iti sarvam susTam /
   // iti śrīmannyāyasudhāyāṃ asadadhikaraṇam //	// iti SrImat nyAya suDAyAm asat aDikaraNam //
   [======= JNys_2,1.V: bhoktradhikaraṇam =======]	[====== JNyH _2,1.V: BoktR aDikaraNam =======]
   // atha śrīmannyāyasudhāyāṃ bhoktradhikaraṇam /	// aTa SrImat nyAya suDAyAm BoktR aDi karaNam /
   // oṃ bhoktrāpatteravibhāgaścetsyāllokavat oṃ //	// om BoktrA patteH aviBAgaH ced syAt loka vat om //
   atītādhikaraṇe brahmaṇo jagajjanmādikāraṇatve śrutisaṃvāditvena prabalayā	atIta aDikaraNe brahmaNaH jagat janma Adi kAraNa tve Sruti saMvAdi tvena prabalayA
   yuktyā virodhaḥ parihṛtaḥ /	yuktyA viroDaH parihRtaH /
   idānīṃ tu śrutisiddha(liṅga)tvena prabalayā yuktyā virodhaḥ parihriyate /	idAnIm tu Sruti sidDa (liFga)tvena prabalayA yuktyA viroDaH parihriyate /
   tathāhi /	taTA hi /
   na brahmaṇo jagatkāraṇatvaṃ vāstavaṃ sambhavati /	na brahmaNaH jagat kAraNa tvam vAstavam samBavati /
   asarvakāraṇena mukte(ktajīve)nātyantābhinnatvāt /	asarva kAraNena mukte(kta jIve)na atyanta aBinna tvAt /
   nahi yo yenātyantābhinnaḥ sa tadviruddhasvabhāvo vastuta iti	na hi yaH yena atyanta aBinnaH sa tad virudDa svaBAvaH vastutas iti
   kvacidupalabdham /	kvacid upalabDam /
   naca muktasyāsarvakāraṇatvamasiddham, (sarvakāraṇatvasya) saṃsāre	na ca muktasya asarva kAraNa tvam asidDam, (sarva kAraNa tvasya) saMsAre
   'nupalambhāt /	anupalamBAt /
   saṃsāre pratīyamānasya kasyacidākārasyaivāpagamo hi mokṣo natu	saMsAre pratIyamAnasya kasyacid AkArasya eva apagamaH hi mokzaH na tu
   apūrvākārotpādaḥ, anityatvaprasaṅgāt /	apUrva AkAra utpAdaH, anitya tva prasaFgAt /
   nacānandāderiva vidyamānasyaivāvidyayā	naca Ananda AdeH iva vidyamAnasya eva avidyayA
   tirohitatvātsarvakāraṇatvasyānupalambha iti vācyam /	tirohita tvAt sarva kAraNa tvasya anupalamBaH iti vAcyam /
   pramāṇābhāvāt /	pramANa aBAvAt /
   ānandādeḥ paramapremāspadatvādinā īṣadupalabdheśca /	Ananda AdeH parama prema Aspada tva AdinA Izat upalabDeH ca /
   naca brahmaṇo jagatkāraṇatvaśravaṇātsavarthānupalabhyamānamapi	na ca brahmaNaH jagat kAraNa tva SravaNAt sa varTa anupalaByamAnam api
   jagatkāraṇatvaṃ saṃsāre kalpyamiti yuktam /	jagat kAraNa tvam saMsAre kalpyam iti yuktam /
   śruteḥ kālpanikajagatkāraṇatvānuvāditvenāpi sāvakāśatvāt /	SruteH kAlpanika jagat kAraNa tva anuvAdi tvena api sa avakASa tvAt /
   naca tathābhūtameva lakṣaṇamastviti vācyam /	na ca taTABUtam eva lakzaNam astu iti vAcyam /
   anaṅgīkārāt /	anaFgIkArAt /
   kālpanikasya jagatkāraṇatvasya pradhānādiṣvapi sambhavenātiprasaṅgācca /	kAlpanikasya jagat kAraNa tvasya praDAna Adizu api samBavena atiprasaFgAt ca /
   syādetat /	syAt etat /
   muktasya brahmaṇaikyamevāsiddhamiti /	muktasya brahmaNA Ekyam eva asidDam iti /
   maivam /	mA evam /
   "karmāṇi vijñānamayaśca ātmā pare 'vyaye sarva ekībhavanti';	"karmANi vijQAna mayaH ca AtmA pare avyaye sarve ekIBavanti a;
   ityādiśrutisiddhatvāditi /	ityAdi Sruti sidDa tvAt iti /
   tadidamuktaṃ sūtrakṛtā bhokturjīvasya mokṣe	tat idam uktam sUtra kRtA BoktuH jIvasya mokze
   brahmatvāpattiśravaṇāttayoravibhāgo bhedābhāvaḥ /	brahmatva Apatti SravaNAt tayoH aviBAgaH Beda aBAvaH /
   tataśca na brahmaṇo jagatkāraṇatvaṃ vāstavaṃ yuktamiti /	tatas ca na brahmaNaH jagat kAraNa tvam vAstavam yuktam iti /
   evaṃ prāpte siddhāntitam /	evam prApte sidDAntitam /
   bhavedetadakhilaṃ yadi muktasya brahmaṇābheda eva prāmāṇikaḥ syāt /	Bavet etat aKilam yadi muktasya brahmaNA BedaH eva prAmANikaH syAt /
   nacaitadasti /	na ca etat asti /
   śrautastvekībhāvaprayogaḥ syāllokavat /	SrOtaH tu ekIBAva prayogaH syAt loka vat /
   yathā loke udake udakasyaikībhāvavyavahāraḥ sthānaikyanibandhanaḥ /	yaTA loke udake udakasya ekIBAva vyavahAraH sTAna Ekya nibanDanaH /
   yathā vā prāgvibhinnā brāhmaṇāḥ sāmpratamekībhūtā iti matyaikyanibandhanaḥ	yaTA vA prAk viBinnAH brAhmaNAH sAmpratam ekIBUtAH iti mati A Ekya nibanDanaH
   tathā prāgvibhinnasthānā bhinnamatayaśca jīvā muktau brahmaṇā ekībhavanti	taTA prAk viBinna sTAnAH Binna matayaH ca jIvAH muktO brahmaNA ekIBavanti
   ekasthānā ekamatayaśca bhavantītyupapadyate /	eka sTAnAH eka matayaH ca Bavanti iti upapadyate /
   tasmādasiddhenāsiddhasādhanametaditi /	tasmAt asidDena asidDa sADanam etat iti /
   tadetadayuktam /	tat etat ayuktam /
   mukhyārthe bādhakābhāvāt /	muKya arTe bADaka aBAvAt /
   vinā bādhakena jaghanyavṛttyāśrayaṇe cātiprasaṅgāt /	vinA bADakena jaGanya vRtti ASrayaNe ca atiprasaFgAt /
   ityato mukhyārthe bādhakayuktivyutpādanaparatvenāpi syāllokavaditi	iti atas muKya arTe bADaka yukti vyutpAdana paratvena api syAt loka vat iti
   sūtrakhaṇḍaṃ vyācaṣṭe  nānyaditi //	sUtra KaNxam vyAcazwe na anyat iti //
   bhoktrāpatter avibhāgaś cet syāl lokavat | BBs_2,1.13 |	BoktrA ApatteH aviBAgaH ced syAt loka vat | BBH _2,1.13 |
   nānyadanyatvamāpannaṃ kvacid dṛṣṭaṃ kathañcana /	na anyat anya tvam Apannam kvacid dRzwam kaTaQcana /
   ato jīvasya na brahmabhāvaḥ syāddhi kadācana // MAnuv_2,1.85 //	atas jIvasya na brahma BAvaH syAt hi kadAcana // Ma anuv_2,1.85 //
   atra mukhyamevārthamaṅgīkurvāṇaḥ praṣṭavyaḥ /	atra muKyam eva arTam aFgIkurvANaH prazwavyaH /
   kiṃ prāgabhinnasyaiva jīvasya muktau brahmaṇaikyamanenocyate, uta	kim prAc aBinnasya eva jIvasya muktO brahmaNA Ekyam anena ucyate, uta
   bhinnasya, atha(vā) bhinnābhinnasya /	Binnasya, aTa(vA) Binna aBinnasya /
   nādyaḥ, abhūtatadbhāvārthasyaikībhavantīti cvipratyayasyaiva anupapatteḥ /	na AdyaH, aBUta tad BAva arTasya ekIBavanti iti cvipratyayasya eva anupapatteH /
   ata eva na tṛtīyaḥ /	atas eva na tRtIyaH /
   aikyasya prāk siddhatvāt /	Ekyasya prAk sidDa tvAt /
   bhedanivṛttyarthatve tu gauṇārthatvāpatteḥ /	Beda nivRtti arTa tve tu gONa arTa tva ApatteH /
   dvitīyanirākaraṇena nirastatvāt (ca) /	dvitIya nirAkaraNena nirasta tvAt (ca) /
   dvitīye tvidamupatiṣṭhate, nānyaditi /	dvitIye tu idam upatizWate, na anyat iti /
   hiśabdo hetau /	hi SabdaH hetO /
   yato loke anyat vastu, anyatvaṃ vastvantareṇābhedamāpannam, kvacitkāle,	yatas loke anyat vastu, anya tvam vastu antareNa aBedam Apannam, kvacid kAle,
   kathañcanopāyena, na dṛṣṭam /	kaTaQcana upAyena, na dRzwam /
   atastaddṛṣṭāntena jīvasyāpi kadācana muktāvapi brahmabhāvo brahmatvaṃ na	atas tat dRzwAntena jIvasya api kadAcana muktO= api brahma BAvaH brahma tvam na
   syāt /	syAt /
   ayamatra prayogaḥ /	ayam atra prayogaH /
   jīvo na kālāntare 'pi brahmaṇaikyamāpatsyate /	jIvaH na kAla antare api brahmaNA Ekyam Apatsyate /
   prāk tato 'tyantabhinnatvāt /	prAk tatas atyanta Binna tvAt /
   yaḥ kadācidyato 'tyantaṃ bhidyate nāsau kadācittadaikyamāpadyate /	yaH kadAcid yatas atyantam Bidyate na asO kadAcid tat Ekyam Apadyate /
   yathā ghaṭaḥ paṭeneti /	yaTA GawaH pawena iti /
   athavā jīvabrahmaṇoḥ bhedaḥ, satorbhedinorna nivṛttimān,	aTavA jIva brahmaNoH BedaH, satoH BedinoH na nivRttimAn,
   bhedatvātstambhakumbhādibhedavaditi /	Beda tvAt stamBa kumBa Adi Beda vat iti /
   āgamabādhitametaditi cenna /	Agama bADitam etat iti ced na /
   āgamānāṃ mukhyārthatāsambhave 'numānabādhakatvaṃ, bādhite cānumāne teṣāṃ	AgamAnAm muKya arTa tA samBave anumAna bADaka tvaM, bADite ca anumAne tezAm
   mukhyārthateti parasparāśrayatvaprasaṅgāt /	muKya arTa tA iti paraspara ASraya tva prasaFgAt /
   satpratipakṣatvācca /	sat pratipakza tvAt ca /
   tathāhi śrutiḥ /	taTA hi SrutiH /
   yathodakamityādikā /	yaTA udakam iti AdikAH /
   pralhādo 'pi"paramātmātmanoryogaḥ paramārtha itīṣyate(tām) /	pralhAdaH api "paramAtma AtmanoH yogaH parama arTaH iti izyate(tAm) /
   mithyaitadanyaddravyaṃ hi naiti taddravyatāṃ yataḥ'; iti /	miTyA etat anyat dravyam hi na eti tat dravya tAm yataH a; iti /
   atha matam /	aTa matam /
   nāyamasti yuktivirodhaḥ /	na ayam asti yukti viroDaH /
