   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   sarvasvena viyujyate | eṣa divākarasya sārthavāhasya mātṛkāvaṅśaś chidyate	sarva-svena viyujyate | eza divAkarasya sArTavAhasya mAtRkA-vaFSaH Cidyate
   | eṣa divākarasya sārthavāhasya kulapradīpo antardhāpyate | eṣa	| eza divAkarasya sArTavAhasya kula-pradIpaH antarDApyate | eza
   divākarasya sārthavāhasya kulanandano 'ntadrghāpyate | eṣa divākarasya	divAkarasya sArTavAhasya kula-nandanaH antadrGApyate | eza divAkarasya
   sārthavāhasya kulacūḍāmaṇirapahriyate | eṣa divākarasya sārthavāhasya	sArTavAhasya kulacUxAmaNiH-apahriyate | eza divAkarasya sArTavAhasya
   cakṣur nirudhyate | etad divākarasya sārthavāhasya kulavibhūṣaṇam	cakzuH niruDyate | etat divAkarasya sArTavAhasya kula-viBUzaNam
   apahriyate | etad divākarasya sārthavāhasya hṛdayam utapāṭyate | amī	apahriyate | etat divAkarasya sArTavAhasya hRdayam utapAwyate | amI
   divākarasya sārthavāhasya mūrtimantaḥ prāṇā apahriyante | hā kaṣṭaṃ kathaṃ	divAkarasya sArTavAhasya mUrtimantaH prANAH apahriyante | hA kazwam kaTam
   nāma kumāro 'ṭavyām evaṃ paribhrāmya niṣkāsito na kenacid asya paritrāṇaṃ	nAma kumAraH awavyAm evam pariBrAmya nizkAsitaH na kenacid asya paritrANam
   kṛtaṃ | eṣa sāmprataṃ rājagṛhān nagarāc candramā mṛtyurāhuṇā grasyate |	kRtam | eza sAmpratam rAjagRhAt nagarAt candramAH mRtyuH-AhuNA grasyate |
   eṣa rājagṛhanagaranabhastaladivākaro 'staṅgacchati | etad	eza rAja-gRha-nagara-naBaH-tala-divAkaraH astaFgacCati | etat-
   rājagṛhanagaranivāsināṃ paurāṇāṃ netrāmṛtam adarśanapathe vyavasthāpyate |	rAjagRha-nagara-nivAsinAm pOrANAm netra-amRtam adarSana-paTe vyavasTApyate |
   etad rājagṛhanagaranivāsināṃ paurāṇāṃ prītinibandhanaṃ vilupyate | etad	etat rAjagRha-nagara-nivAsinAm pOrANAm prIti-nibanDanam vilupyate | etat-
   rājanagṛhanagaranivāsināṃ paurāṇāṃ vibhūṣaṇam apahriyate | eṣa	rAjana-gRha-nagara-nivAsinAm pOrANAm viBUzaNam apahriyate | eza
   rājagṛhanagaranivāsināṃ paurāṇāṃ cūḍāmaṇir apahriyate | eṣa	rAjagRha-nagara-nivAsinAm pOrANAm cUxAmaNiH apahriyate | eza
   rājagṛhanagaranivāsināṃ paurāṇāṃ hṛdayavallabho vināśāya nīyate | kam	rAjagRha-nagara-nivAsinAm pOrANAm hRdaya-vallaBaH vinASAya nIyate | kam
   idānīṃ rājagṛhanivāsinaḥ paurā animiṣam avalokayiṣyanti | kam idānīṃ	idAnIm rAjagRha-nivAsinaH pOrAH animizam avalokayizyanti | kam idAnIm
   dṛṣṭvā prītimanaso bhaviṣyantīti nirāśībhūtāḥ ||	dRzwvA prIti-manasaH Bavizyanti-iti nirASIBUtAH ||
   Sva Roy 96,5 - 99,2	Svas Roy 96,5  99,2
   [42] pracaṇḍasyāmātyasyānyatayamena puruṣeṇāgatya niveditaṃ | niḥkāsitaḥ	[42] pracaNxasya-amAtyasya-anyata-yamena puruzeNa-Agatya niveditam | niHkAsitaH
   suvarṇavarṇaḥ kumāro rājagṛhān nagarād iti | sa śrutvā prītimanāḥ	suvarNa-varNaH kumAraH rAjagRhAt nagarAt iti | sa SrutvA prIti-manAH
   samvṛttaḥ | tatas te paurikā vyavahāriṇas tac chrutvā nirāśībhūtās tair	samvRttaH | tatas te pOrikAH vyavahAriNaH tat SrutvA nirASIBUtAH tEH-
   āgatya teṣāṃ paurāṇām etat prakaraṇaṃ vistareṇāveditaṃ | tac chrutvā te	Agatya tezAm pOrANAm etat prakaraNam vistareNa-Aveditam | tat SrutvA te
   'pi paurā nirāśībhūtāḥ | samudvignāḥ parasparam ūcuḥ | bhavanto 'pi	api pOrAH nirASIBUtAH | samudvignAH parasparam UcuH | BavantaH api
   kalirājena tādṛśaḥ pitā dhārmiko dharmarājā jīvitād vyavaropitaḥ | idānīm	kali-rAjena tAdRSaH pitA DArmikaH DarmarAjA jIvitAt vyavaropitaH | idAnIm
   ārabdha evaṃvidhān api prakhyātaguṇān mahājanavallabhān puruṣaviśeṣān	ArabDaH evaMviDAn api praKyAta-guNAn mahA-jana-vallaBAn puruza-viSezAn
   asaṃdṛśyān praghātayituṃ | aho nairghṛṇyam aho guṇājñatā | aho	asaMdRSyAn praGAtayitum | aho nEH-GRNyam aho guNa-ajQa-tA | aho
   'viśeṣajñatā mantriṇāṃ yo nāmaivam atyantarūpaudāryasampannatvāc ca	aviSeza-jQa-tA mantriNAm yaH nAma-evam atyanta-rUpa-OdArya-sampanna-tvAt ca
   vinītatvāc ca pūjām arhati sa eva guṇavān puruṣaviśeṣaḥ katham avicārya	vinIta-tvAt ca pUjAm arhati saH eva guNavAn puruza-viSezaH kaTam avicArya
   badhāya parityajyate | athavā kāla evāyam īdṛśaḥ samupasthito yad asanto	baDAya parityajyate | aTavA kAlaH eva-ayam IdRSaH samupasTitaH yat asantaH-
   vivarddhante | evaṃ guṇayuktasya janasyaivaṃvidho viyogo bhaviṣyatīti |	vivardDante | evam guNa-yuktasya janasya-evaMviDaH viyogaH Bavizyati-iti |
   kālopakarṣya daurātmyam udbhāvayanto divākarasya sārthavāhasya etat	kAla-upakarzya dOrAtmyam udBAvayantaH divAkarasya sArTavAhasya etat-
   prakaraṇaṃ vistareṇākhyātavantaḥ |	prakaraNam vistareNa-AKyAtavantaH |
   Sva Roy 99,2 - 101,102	Svas Roy 99,2  101,102
   [43] tac chrutvā vihatāśo divākaraḥ sārthavāhas tīvra śokaduḥkhābhyāhato	[43] tat SrutvA vihata-ASaH divAkaraH sArTavAhaH tIvra Soka-duHKa-aByAhato
   mūrcchito bhūmau patitaḥ | tato jalapariṣekapratyāgataprāṇo viṣaṇṇamanā	mUrcCitaH BUmO patitaH | tatas jala-parizeka-pratyAgata-prANaH vizaNNa-manA
   nirānandaḥ sāṃprataṃ putrako me praghātyata iti | uccair vikroṣṭum	nirAnandaH sAMpratam putrakaH me praGAti-atas iti | uccEs vikrozwum
   ārabdhaḥ |	ArabDaH |
   locanānanda hā putra hā me kulavibhūṣaṇa |	locana-Ananda hA putra hA me kula-viBUzaNa |
   magdabhāgyasya me tāta nirākrandaḥ prapātyase |1|	magdaBAgyasya me tAta nirAkrandaH prapAtyase |1|
   vimuhyate me hṛdayaṃ bhramanti ca diśo 'dhunā |	vimuhyate me hRdayam Bramanti ca diSaH aDunA |
   tvadviyogāgnisaṃtaptaṃ dahyate vata me manaḥ |2|	tvad-viyoga-agni-saMtaptam dahyate vata me manaH |2|
   paṇḍitasya vinītasya kāruṇyaniratasya ca |	paNxitasya vinItasya kAruNya-niratasya ca |
   hā kathaṃ dāruṇaṃ tāta tava vyasanam āgataṃ |3|	hA kaTam dAruNam tAta tava vyasanam Agatam |3|
   tvajjanmajanitāṃ prītiṃ putra prāpyātulām ahaṃ |	tvad-janma-janitAm prItim putra prApya-atulAm aham |
   satputra tvadviyogena sokāgnau patitaḥ punaḥ |4|	sat-putra tvad-viyogena soka-agnO patitaH punar |4|
   nirghṛṇāś cāviśeṣajñā aho rājño 'sya mantriṇaḥ |	nirGRNAH ca-aviSeza-jQAH aho rAjQaH asya mantriNaH |
   yair evaṃ vinayopetas tvaṃ putra na vicāritaḥ |5|	yEH evam vinaya-upetaH tvam putra na vicAritaH |5|
   aho nṛpatinā tena nairghṛṇyaṃ prakāśitaṃ |	aho nRpatinA tena nErGRNyam prakASitam |
   yenaivam avicāryādya parityakto 'si putraka |6|	yena-evam avicArya-adya parityaktaH asi putrakaH |6|
   viśeṣo dhik sādhujano nūnam astaṅgato hṛdi |	viSezaH Dik sADu-janaH nUnam astaFgataH hRdi |
   guṇavān api yat putra nirākrandaḥ praghātyase |7|	guNavAn api yat putra nirAkrandaH praGAtyase |7|
   tat kiṃ viproṣitāḥ sarvā nagarasyāsya devatāḥ |	tat kim viprozitAH sarvAH nagarasya-asya devatAH |
   ghātyamānam upekṣante yad evaṃ guṇinaṃ janaṃ |8|	GAtyamAnam upekzante yat evam guNinam janam |8|
   sendrāḥ salokapālāś ca devā ye ca maharddhikāḥ |	sa-indrAH sa-lokapAlAH ca devAH ye ca mahardDikAH |
   anukampām upādāya te me rakṣantu putrakaṃ |9|	anukampAm upAdAya te me rakzantu putrakam |9|
   siddhavratā mahātmāno munayaḥ santi ye 'dhunā |	sidDa-vratAH mahAtmAnaH munayaH santi ye aDunA |
   te 'nukampāṃ puraskṛtya parirakṣantu me sutam iti |10|	te anukampAm puraskRtya parirakzantu me sutam iti |10|
   Sva Roy 102,1 - 105,4	Svas Roy 102,1  105,4
   [44] tasya buddhir utpannā kim artham ahaṃ viṣīdāmi yan nv ahaṃ buddhaṃ	[44] tasya budDiH utpannA kim arTam aham vizIdAmi yat nu aham budDam
   bhagavantaṃ sakalajagad ekabāndhavaṃ mahākāruṇikaṃ samunasmareyaṃ sa hi	Bagavantam sakala-jagat eka-bAnDavam mahA-kAruNikam samuna-smareyam sa hi
   bhagavān anāthānān nāthaḥ | atrāṇānāṃ trāṇaṃ | aśaraṇānāṃ śaraṇaṃ |	BagavAn anATAnAn nATaH | atrANAnAm trANam | aSaraNAnAm SaraNam |
   aparāyaṇānāṃ parāyaṇaṃ | tathā hi tena bhagavatā	aparAyaNAnAm parAyaNam | taTA hi tena BagavatA
   kṛcchrasaṅkaṭasambādhaprāptā bahavaḥ sattvās tebhyas tebhyo mahābhayebhyaḥ	kRcCra-saFkawa-sambADa-prAptAH bahavaH sattvAH teByaH teByaH mahA-BayeByaH
   parimocitā | tathā mahāsamudram adhyagatā vaṇijo makarasya bhayasantrastāḥ	parimocitAH | taTA mahA-samudram aDyagatAH vaNijaH makarasya Baya-santrastAH
   samanusmaraṇamātreṇaiva tasmān maraṇabhayāt paritrātāḥ | tathā naika	samanusmaraNa-mAtreNa-eva tasmAt maraNa-BayAt paritrAtAH | taTA na-eka
   puruṣaghātakenaikarabhasenodyataśastreṇāṅgulīmālena ghātyamānā tajjananī	puruza-GAtakena-eka-raBasena-udyata-SastreNa-aFgulI-mAlena GAtyamAnA tad-jananI
   tasmāj jīvitopacchedabhayāt paritrātā | tathā ca	tasmAt jIvita-upacCeda-BayAt paritrAtA | taTA ca
   pūrvajanmavairānubanndhasāmarthyād anekaprāṇiśatasahastropaghātatham	pUrva-janma-vEra-anubannDa-sAmarTyAt aneka-prANi-Sata-sahastra-upaGAtaTam
   abhiprajvālitakrūrahutāśanasya mānuṣamāṃsarasāsvādalobhāt	aBiprajvAlita-krUra-hutASanasya mAnuza-mAMsa-rasa-AsvAda-loBAt-
   śravallālāvalelihāna_jihvā_vikaṭadīrghatīkṣṇadaṃṣṭrākarālabhīṣaṇamukhasya	SravallAla-avalelihAna_jihvA_vikawa-dIrGa-tIkzNa-daMzwrA-karAla-BIzaNa-muKasya
   yakṣasyāhārārtham upanāmitas tadvadvanasamīpastho hastaka āṭavakas tasmān	yakzasya-AhAra-arTam upanAmitaH tadvat-vana-samIpa-sTaH hastakaH AwavakaH tasmAt-
   maraṇabhayāt paritrātā || samarthaḥ sa bhagavān me putram asmāt saṅkaṭāt	maraNa-BayAt paritrAtA || samarTaH sa BagavAn me putram asmAt saFkawAt-
   parimocayituṃ | yan nv ahaṃ tam eva bhagavantaṃ mahākaruṇikaṃ	parimocayitum | yat nu aham tam eva Bagavantam mahA-karuNikam
   parmavatsalasvabhāvaṃ samanusmareyam iti | samīpastham anyatam upāsakaṃ	parma-vatsala-svaBAvam samanusmareyam iti | samIpa-sTam anyatam upAsakam
   pṛṣṭavān idānīṃ bhagavān kutra viharatīti | tato 'sav upāsako bhagavantam	pRzwavAn idAnIm BagavAn kutra viharati-iti | tatas asa upAsakaH Bagavantam
   anusmṛtya bāṣpoparudhyamānagadgadakaṇṭham uvāca | sārthavāhaḥ	anusmRtya bAzpa-uparuDyamAna-gadgada-kaNWam uvAca | sArTavAhaH
   yaḥ sārthavāho lokasya yo loke sukhadāyakaḥ |	yaH sArTavAhaH lokasya yaH loke suKa-dAyakaH |
   nirvṛtaḥ sa mahāśāstā sarvalokaikabāndhavaḥ |1|	nirvRtaH sa mahA-SAstA sarva-loka-eka-bAnDavaH |1|
   yaḥ pradīpo 'pradīpānāṃ śaraṇaṃ yaḥ parāyaṇaṃ |	yaH pradIpaH apradIpAnAm SaraNam yaH parAyaNam |
   nirvṛtaḥ sa jino loke dīpaḥ snehakṣayād iti |2|	nirvRtaH sa jinaH loke dIpaH sneha-kzayAt iti |2|
   Sva Roy 105,4 - 111,2	Svas Roy 105,4  111,2
   [45] tac chrutvā divākaraḥ sārthavāho bhagavadviyogād	[45] tat SrutvA divAkaraH sArTavAhaH Bagavat-viyogAt-
   dviguṇīkṛtaśokaśalyābhyāhato mūrcchito bhūmau nipapāta | tato	dvi-guNIkRta-Soka-Salya-aByAhataH mUrcCitaH BUmO nipapAta | tatas-
   jalapariṣekapratyāgataprāṇa utthāya yasyāṃ diśi bhagavān parinirvṛtas	jala-parizeka-pratyAgata-prANaH utTAya yasyAm diSi BagavAn parinirvRtaH-
   tadabhimukho uccair vikroṣṭum ārabdhaḥ |	tad-aBimuKaH uccEs vikrozwum ArabDaH |
   hā dharmarāja sarvajña doṣārigaṇasūdana |	hA DarmarAja sarvajQa doza-ari-gaNa-sUdana |
   anāthaṃ janamutsṛjya lokanātha gato 'si kiṃ |1|	anATam janam-utsRjya lokanATa gataH asi kim |1|
   hā vibho khyātacāritra sarvasattvaikabāndhava |	hA viBo KyAta-cAritra sarva-sattva-eka-bAnDava |
   sarvayogāvisaṃyukta nirvāṇapathadeśaka |2|	sarva-yoga-avisaMyukta nirvANa-paTa-deSakaH |2|
   hā kathaṃ vata loko 'yam avidyāvṛtalocanaḥ |	hA kaTam vata lokaH ayam avidyA-AvRta-locanaH |
   tvayā nāthena rahitaḥ saṃsāre vibhramiṣyati |3|	tvayA nATena rahitaH saMsAre viBramizyati |3|
   parānukampaśauṭīrye tvayi nirvṛtim āgate |	para-anukampa-SOwIH-ye tvayi nirvRtim Agate |
   anāthaḥ khalv ayaṃ lokaḥ kaṃ nāthaṃ saṃśrayiṣyati |4|	anATaH Kalu ayam lokaH kam nATam saMSrayizyati |4|
   ye ca te dharmato jātā vineyajanaputrakāḥ |	ye ca te DarmataH jAtAH vineya-jana-putrakAH |
   tvayā vihīnās te sarve kariṣyanti kam āśrayaṃ |5|	tvayA vihInAH te sarve karizyanti kam ASrayam |5|
   bahūnāṃ saphalām āśāṃ kṛtvā duḥkhaniṣūdana |	bahUnAm saPalAm ASAm kRtvA duHKa-nizUdana |
   vihatāśaṃ janaṃ kṛtvā kām āśāṃ tvaṃ gato mune |6|	vihata-ASam janam kRtvA kAm ASAm tvam gataH mune |6|
   yadi paurāḥ sameṣyanti tvadvākyaśravaṇotsukā |	yadi pOrAH samezyanti tvad-vAkya-SravaNa-utsukA |
   ko nu vakṣyati saddharmam adhunā nirvṛte tvayi |7|	kaH nu vakzyati sadDarmam aDunA nirvRte tvayi |7|
   hā hato 'yam anya loko lokaḥ sāmarakinnaraḥ |	hA hataH ayam anyaH lokaH lokaH sa-amara-kinnaraH |
   sudullarbhena nāthena viyukto yattvayā mune |8|	su-dullarBena nATena viyuktaH yat-tvayA mune |8|
   kathan nāma kariṣyanti prāṇino dharmalālasāḥ |	kaTat nAma karizyanti prANinaH Darma-lAlasAH |
   śrutvā tavaikanāthasya nirvāṇaṃ śāsanāpriyāḥ |9|	SrutvA tava-eka-nATasya nirvANam SAsana-apriyAH |9|
   karuṇaikarasam dhīraṃ tvām āśrityānukampakaṃ |	karuNA-eka-rasam DIram tvAm ASritya-anukampakam |
   ye guṇāḥ samavāpyante kas tan bhūyo na 'bhidhāsyati |10|	ye guNAH samavApyante kaH tat BUyas na aBiDAsyati |10|
   kathan nāma trilokārthe samutpādya mahākṛpāṃ |	kaTat nAma triloka-arTe samutpAdya mahA-kRpAm |
   kṛpālokatatvajña tvaṃ hy upekṣāṃ samāśritaḥ |11|	kRpA-Alokatatva-jQa tvam hi upekzAm samASritaH |11|
   kaṣṭaṃ bho guṇaratnāḍhyā kalpakoṭisamāhita |	kazwam Bo guNa-ratna-AXyA kalpa-kowi-samAhita |
   mṛtyupātālam āsādya dharmanaur vinipātitā |12|	mRtyu-pAtAlam AsAdya DarmanOH vinipAtitAH |12|
   kaṣṭaṃ bho yad avidyāndho buddhadaiśikavarjitaḥ |	kazwam Bo yat avidyA-anDaH budDa-dESika-varjitaH |
   loko 'yaṃ janmakāntāre praṇaṣṭaṃ śrayam eṣyati |13|	lokaH ayam janma-kAntAre praNazwam Srayam ezyati |13|
   mahatī vatalokānāṃ parihāṇir upasthitā ||	mahatI vata-lokAnAm parihANiH upasTitAH ||
   buddharatnena mahatā viyuktānām ihādhunā |14|	budDa-ratnena mahatA viyuktAnAm iha-aDunA |14|
   tvayā bhikṣugaṇaṃ śūnyaṃ ṛṣabheneva gogaṇaṃ |	tvayA Bikzu-gaNam SUnyam RzaBena-iva go-gaNam |
   kathaṃ na viduṣāṃ dṛṣṭvā hṛdayan na vidīryate |15|	kaTam na viduzAm dRzwvA hRdayan na vidIryate |15|
   bhaktyānatottamāṅgā hi kasya bhūyo divaukasaḥ |	BaktyA-Anata-uttamAFgAH hi kasya BUyas divOkasaH |
   śirasā dhārayiṣyanti padāgravihitaṃ rajaḥ |16|	SirasA DArayizyanti pada-agra-vihitam rajaH |16|
   sarvasattvasamā prāptā nṛśaṃsā khalv anityatā |	sarva-sattva-samA prAptA nRSaMsA Kalu anitya-tA |
   yayā tvayy api nāmādya pakṣapāto na darśitaḥ |17|	yayA tvayi api nAma-adya pakzapAtaH na darSitaH |17|
   aṣṭāṅgamārggabhaiṣajyakleśavyādhicikitsataḥ |	azwAFga-mArgga-BEzajya-kleSa-vyADicikitsataH |
   mahākāruṇikaḥ śāstā vaidyarājo nipātitaḥ |18|	mahA-kAruNikaH SAstA vEdya-rAjaH nipAtitaH |18|
   hā nṛśaṃsam atikṣipraṃ nirvṛto lokanāyakaḥ |	hA nRSaMsam ati-kzipram nirvRtaH loka-nAyakaH |
   andhabhūtasya lokasya cakṣurdātā hy anuttaraḥ |19|	anDa-BUtasya lokasya cakzuH-dAtA hi anuttaraH |19|
   nirvṛte tvayi ko me 'dya putraratnam anāgasaṃ |	nirvRte tvayi kaH me adya putra-ratnam anAgasam |
   ghātyamānam ihāgatya sahasā mocayiṣyati |20|	GAtyamAnam iha-Agatya sahasA mocayizyati |20|
   trātari tvayy anāthānāṃ gate tu paramāṅ gatim |	trAtari tvayi anATAnAm gate tu parama-aF gatim |
   hā jātaḥ sāṃpratam ahaṃ nirāśaḥ sutajīvite |21|	hA jAtaH sAMpratam aham nirASaH suta-jIvite |21|
   adya me tat suvihitaṃ yat tvayoktaṃ mahātmane |	adya me tat su-vihitam yat tvayA-uktam mahAtmane |
   sarvaiḥ priyair vinābhāvo bhavatīty uttamaṃ vaca iti |22|	sarvEH priyEH vinA-aBAvaH Bavati-iti uttamam vacaH iti |22|
   Sva Roy 111,2 - 115,2	Svas Roy 111,2  115,2
   [46] sa evam bahuvidha paridevya tam upāsakam uvāca | bhoḥ kaścin	[46] saH evam bahuviDa paridevya tam upAsakam uvAca | BoH kaScid-
   mahāśrāvako 'pi tāvat tasya bhagavato 'vaśiṣyate | kasya bhagavān śāsanam	mahA-SrAvakaH api tAvat tasya BagavataH avaSizyate | kasya BagavAn SAsanam
   anuparīkṣya parinirvṛta iti | tatas tenopāsakenoktaṃ sārthavāha śrūyate	anuparIkzya parinirvRtaH iti | tatas tena-upAsakena-uktam sArTavAha SrUyate
   bhagavān sthaviramahākāśyapasya śāsanam anuparīkṣya parinirvṛtaḥ |	BagavAn sTavira-mahAkASyapasya SAsanam anuparIkzya parinirvRtaH |
   sthaviramahākāśyapo 'pi bhagavadājñayaiva sthavirānandasya śāsanam	sTavira-mahAkASyapaH api Bagavat-AjQayA-eva sTavirAnandasya SAsanam
   anuparīndya parinirvṛtaḥ | sa idānīṃ sthavirānanando mahātmā	anupari-indya parinirvRtaH | saH idAnIm sTavirAnanandaH mahAtmA
   śāsanadhūrdharaḥ | sa idānīṃ tathāgata iva kāruṇyāt tāṃs tān	SAsana-DUrDaraH | saH idAnIm taTAgataH iva kAruNyAt tAn tAn
   grāmanagaranigamapallīpattanādīn gatvā vineyaṃ janānugrahaṃ karoti |	grAma-nagara-nigama-pallI-pattana-AdIn gatvA vineyam jana-anugraham karoti |
   tathānavaropitakuśalamūlānāṃ sattvānāṃ kuśalamūlāvaropaṇaṅ karoti |	taTA-anavaropita-kuSala-mUlAnAm sattvAnAm kuSala-mUla-avaropaNaF karoti |
   samucitakuśalasantatīnāṃ paripācanaṅ karoti |	samucita-kuSala-santatInAm paripAcanaF karoti |
   paripakvakuśalamūlasantatīnāṃ parimocayati | tathā kleśavyādhigrastānāṃ	paripakva-kuSala-mUla-santatInAm parimocayati | taTA kleSa-vyADi-grastAnAm
   sattvānāṃ dharmadeśanābhaiṣajyapradānena vicikitsaṃ karoti suvaidyavat |	sattvAnAm Darma-deSanA-BEzajya-pradAnena vicikitsam karoti su-vEdya-vat |
   kleśāndhakārāvaṣṭabdhānāṃ sattvānāṃ saddharmdeśanāraśminikareṇa	kleSa-anDakAra-avazwabDAnAm sattvAnAm sat-DarmdeSanA-raSmi-nikareNa
   kleśāndhakāraṃ vidhamayati sūryavat | vacanakarasamūhena	kleSa-anDakAram viDamayati sUrya-vat | vacana-kara-samUhena
   vaineyakumudavanaprabodhanaṃ karoti candravat | vaineyakoṭṭarājasahastrāṇi	vEneya-kumuda-vana-praboDanam karoti candra-vat | vEneya-kowwa-rAja-sahastrANi
   saddharmadeśanayā samanuśāsti cakravarttivat | svaprajñapratibhānanādena	sadDarma-deSanayA samanuSAsti cakravartti-vat | sva-prajQa-pratiBAna-nAdena
   kutīrthyamṛgagaṇavidrāvaṇaṅ karoti siṃhavat |	kutIrTya-mRga-gaNa-vidrAvaNaF karoti siMha-vat |
   samupadeśavaineyasārthanistāraṇaṃ karoti daiśikavat |	samupadeSa-vEneya-sArTa-nistAraNam karoti dESika-vat |
   saddharmapāṇyāvatāraṇaṃ karoti sārthavāhavat | kuśalabījaprarohaṇaṃ karoti	sadDarma-pANya-avatAraNam karoti sArTavAha-vat | kuSala-bIja-prarohaNam karoti
   mahāmeghavat | hitāhitopadeśaṃ karoti mātāpitṛvat | adāntān sattvān	mahA-meGa-vat | hita-ahita-upadeSam karoti mAtA-pitR-vat | adAntAn sattvAn
   damayaty amuktān mocayaty anāśvastān āśvasayaty aparinirvṛtān	damayati amuktAn mocayati anASvastAn ASvasayati aparinirvRtAn
   parinirvāpayati | tathā kṛcchrasaṅkaṭasamvādhaprāptān sattvān	parinirvApayati | taTA kRcCra-saFkawa-samvADa-prAptAn sattvAn
   mahābhayebhyo mocayati | saṃkṣepāt sa mahātmā buddhakāryaṅ karoti | tam	mahA-BayeByaH mocayati | saMkzepAt sa mahAtmA budDa-kAryaF karoti | tam
   eva samanusmara | samarthaḥ sa te 'dya sutam asmāt saṅkaṭāt parimocayatum	eva samanusmara | samarTaH sa te adya sutam asmAt saFkawAt parimocayatum
   iti |	iti |
   Sva Roy 115,2 - 118,4	Svas Roy 115,2  118,4
   [47] tac chrutvā divākaraḥ sārthavāho gatapratyāgataprāṇa iva sasaṃbhramas	[47] tat SrutvA divAkaraH sArTavAhaH gata-pratyAgata-prANaH iva sa-saMBramas
   tam upāsakam uvāca | kutredānīṃ sa ānando viharatīti | tenoktaṃ sārthavāha	tam upAsakam uvAca | kutra-idAnIm saH AnandaH viharati-iti | tena-uktam sArTavAha
   śrutaṃ mayā sthavirānanda etarhi vaiśālyām viharaty āmrapālīvana iti |	Srutam mayA sTavirAnande etarhi vESAlyAm viharati Amra-pAlI-vanaH iti |
   atha divākaraḥ sārthavāhaḥ sahasaivotthāya jānumaṇḍale pṛthivyāṃ	aTa divAkaraH sArTavAhaH sahasA-eva-utTAya jAnu-maNxale pRTivyAm
   pratiṣṭhāpya yena vaiśālī tenāñjaliṃ praṇamya sutaviyogaśokaduḥkhābhyāhato	pratizWApya yena vESAlI tena-aQjalim praNamya suta-viyoga-Soka-duHKa-aByAhato
   bāṣpormitaraṅgāpūryamāṇavadanakamalaḥ sāśruparyākulekṣaṇas tīvreṇāśayena	bAzpa-Urmi-taraFga-ApUryamANa-vadana-kamalaH sa-aSru-paryAkula-IkzaNaH tIvreNa-ASayena
   sthavirānandam āyācituṃ pravṛttaḥ ||	sTavira-Anandam AyAcitum pravRttaH ||
   yadi tvaṃ paramācārya sattvāśayaviduttamaḥ |	yadi tvam parama-AcArya sattva-ASaya-vid-uttamaH |
   āśayānuśayaṃ jñātvā imam abhyarthanāṃ śṛṇu |1|	ASaya-anuSayam jQAtvA imam aByarTanAm SRNu |1|
   nirvṛto bhagavān buddhaḥ śiṣyāś cāsya maharddhikāḥ |	nirvRtaH BagavAn budDaH SizyAH ca-asya mahardDikAH |
   avaśiṣṭas tvam eko hi teṣāṃ śāsanavardhanaḥ |2|	avaSizwaH tvam ekaH hi tezAm SAsana-varDanaH |2|
   tvam samāśvāsabhūtobhūto 'sya jagatas tvaṃ parāyaṇaḥ |	tvam samASvAsa-BUtaH-BUtaH asya jagataH tvam parAyaNaH |
   vyavalokyādhunā kāryaṃ sarvasattvahitaṃ tvayā |3|	vyavalokya-aDunA kAryam sarva-sattva-hitam tvayA |3|
   tad adyaivaṃvidhe nāthe tiṣṭhaty ārakṣake tvayi |	tat adya-evaMviDe nATe tizWati Arakzake tvayi |
   nirākrandaḥ suto 'smākaṃ katham evaṃ praghātyate |4|	nirAkrandaH sutaH asmAkam kaTam evam praGAtyate |4|
   na bhaved yadi sattvārtho na tiṣṭheyur bhavadvidhāḥ |	na Bavet yadi sattva-arTaH na tizWeyuH BavadviDAH |
   ghātyamānaṃ janaṃ śrāddham evaṃ katham upekṣase |5|	GAtyamAnam janam SrAdDam evam kaTam upekzase |5|
   sattvārthañ cec charīraṃ hi tvaṃ dhārayasi suvrata |	sattva-arTan ced SarIram hi tvam DArayasi suvrata |
   tat kṛpāṃ sammukhīkṛtya samanvāhara me sutaṃ |6|	tat kRpAm sammuKIkRtya samanvAhara me sutam |6|
   hatasarvapratīkāram atrāṇam aparāyaṇam |	hata-sarva-pratIkAram atrANam aparAyaNam |
   śokapaṅkāvalagnam māṃ sapatnīkaṃ samuddhara |7|	Soka-paFka-avalagnam mAm sa-patnIkam samudDara |7|
   kam vā vijñapayāmy anyaṃ ko 'nyo 'py evaṃ jagaddhite |	kam vA vijQapayAmi anyam kaH anyaH api evam jagat-hite |
   nirdiṣṭaḥ śākyamuninā yathā tvam adhunā prabho |8|	nirdizwaH SAkya-muninA yaTA tvam aDunA praBo |8|
   tvadṛte putrakasyānyas trātā nāsti vibho yataḥ |	tvad-Rte putrakasya-anyaH trAtA na-asti viBo yatas |
   tasmāt tvaritam āgamya putram me trātum arhasi |9|	tasmAt tvaritam Agamya putram me trAtum arhasi |9|
   putraśokāriṇā grastaṃ duḥsahena durātmanā |	putra-Soka-ariNA grastam duHsahena durAtmanA |
   sapatnīkaṃ nirānandam ānandānandayādya māṃ |10|	sa-patnIkam nirAnandam Ananda-AnandayA-adya mAm |10|
   ity	iti-
   Sva Roy 118,4 - 121,122	Svas Roy 118,4  121,122
   [48] athaitasminn antare sthavirānandaḥ karuṇayāpūryyamāṇaś cintayaṃs	[48] aTa-etasmin antare sTavirAnandaH karuNayA-ApUryyamANaH cintayan=-
