   (Msa 1)	(MsaH 1)
   samāviśiṣṭā api sarvagātmikā tathāgatānāṃ parivṛttir iṣyate || AMsa_9.14	samAviSizwAH api sarva gA AtmikA taTAgatAnAm parivRttiH izyate || AMsaH _9.14
   anena tṛtīyena taddaśaprabhedaṃ darśayati | sā hi tathāgatānāṃ parivṛttiḥ	anena tRtIyena tad daSa praBedam darSayati | sA hi taTAgatAnAm parivRttiH
   parārthavṛttir iti pravṛttiḥ | sarvadharmaviśiṣṭatvād utkṛṣṭā vṛttir ity	para arTa vRttiH iti pravRttiH | sarva Darma viSizwa tvAt utkRzwA vRttiH iti 
   udvṛttiḥ | saṃkleśahetāv avṛttiḥ | āśraya iti yo 'sau parivṛttyāśrayastaṃ	udvRttiH | saMkleSa hetO avRttiH | ASrayaH iti yaH asO parivRtti ASrayaH tam
   darśayati | saṃkleśān nivṛttito nivṛttiḥ | ātyantikatvād āyatā vṛttir ity	darSayati | saMkleSAt nivRttitaH nivRttiH | Atyantika tvAt AyatA vRttiH iti 
   āvṛttiḥ | abhisaṃbodhiparinirvāṇadarśanavṛttyā dvayā vṛttiḥ |	AvRttiH | aBisaMboDi parinirvANa darSana vRttyA dvayA vRttiH |
   saṃsāranirvāṇāpratiṣṭhitatvāt saṃskṛtāsaṃskṛtatvenādvayā vṛttiḥ |	saMsAra nirvANa apratizWita tvAt saMskRta asaMskRta tvena advayA vRttiH |
   vimuktisāmānyena śrāvakapratyekabuddhasamā vṛttiḥ | balavaiśāradyādibhiḥ	vimukti sAmAnyena SrAvaka pratyekabudDa samA vRttiH | bala vESAradyAdiBiH
   buddhadharmair asamatvād viśiṣṭā vṛttiḥ | sarvayānopadeśagatatvāt	budDa DarmEH asamatvAt viSizwA vRttiH | sarva yAna upadeSa gata tvAt
   sarvagatā vṛttiḥ |	sarva gatA vRttiH |
   yathāmbaraṃ sarvagataṃ sadāmataṃ tathaiva tat sarvagataṃ sadāmatam |	yaTA ambaram sarva gatam sadAmatam taTA eva tat sarva gatam sadAmatam |
   yathāmbaraṃ rūpagaṇeṣu sarvagaṃ tathaiva tat satvagaṇeṣu sarvagam ||	yaTA ambaram rUpa gaNezu sarvagam taTA eva tat satva gaNezu sarvagam ||
   AMsa_9.15 ||	AMsa_9.15 ||
   anena caturthena tatsvabhāvasya buddhatvasya sarvagatatvaṃ darśayati |	anena caturTena tad svaBAvasya budDa tvasya sarva gata tvam darSayati |
   ākāśasādharmyeṇoddeśanirdeśataḥ pūrvāparārdhābhyāṃ | satvagaṇeṣu	AkASa sADarmyeNa uddeSa nirdeSataH pUrva apara arDAByAm | satva gaNezu
   sarvagatatvaṃ buddhatvasyātmatvena sarvasatvopagamane pariniṣpattito	sarva gata tvam budDa tvasya Atma tvena sarva satva upagamane parinizpattitaH 
   veditavyaṃ |	veditavyam |
   yathodabhājane bhinne candrabimbaṃ na dṛśyate |	yaTA uda BAjane Binne candra bimbam na dRSyate |
   tatha duṣṭeṣu satveṣu buddhabimbaṃ na dṛśyate || AMsa_9.16 ||	taTa duzwezu satvezu budDa bimbam na dRSyate || AMsaH _9.16 ||
   (Msa 37)	(MsaH 37)
   anena pañcamena sarvagatatve 'pyabhājanabhūteṣu satveṣu	anena paQcamena sarva gata tve api aBAjana BUtezu satvezu
   abuddhabimbadarśanaṃ dṛṣṭāntena sādhayati |	abudDa bimba darSanam dRzwAntena sADayati |
   yathāgnir jvalate 'nyatra punar anyatra śāmyati |	yaTA agniH jvalate anyatra punar anyatra SAmyati |
   buddheṣv api tathā jñeyaṃ saṃdarśanamadarśanam || AMsa_9.17 ||	budDezu api taTA jQeyam saMdarSanam adarSanam || AMsaH _9.17 ||
   anena ṣaṣṭhena buddhavineyeṣu satsu buddhotpādāt taddarśanaṃ | vinīteṣu	anena zazWena budDa vineyezu satsu budDa utpAdAt tad darSanam | vinItezu
   parinirvāṇāt tadadarśanaṃ agnijvalanaśamanasādharmyeṇa sādhayati |	parinirvANAt tad adarSanam agni jvalana Samana sADarmyeNa sADayati |
   anābhogāpratiprasrabdhabuddhakāryatve catvāraḥ ślokāḥ |	anABoga apratiprasrabDa budDa kArya tve catvAraH SlokAH |
   aghaṭitebhyas tūryebhyo yathā syāc chabdasaṃbhavaḥ |	aGawiteByaH tUryeByaH yaTA syAt Sabda saMBavaH |
   tathā jine vinābhogaṃ deśanāyāḥ samudbhavaḥ || AMsa_9.18 ||	taTA jine vinA ABogam deSanAyAH samudBavaH || AMsaH _9.18 ||
   yathā maṇer vinā yatnaṃ svaprabhāvasanidarśanam |	yaTA maNeH vinA yatnam sva praBA vasa nidarSanam |
   buddheṣv api vinābhogaṃ tathā kṛtyanidarśanam || AMsa_9.19 ||	budDezu api vinA ABogam taTA kRtya nidarSanam || AMsaH _9.19 ||
   ābhyāṃ ślokābhyām anābhogena buddhakāryaṃ sādhayaty	AByAm SlokAByAm anABogena budDa kAryam sADayati 
   aghaṭitatūryaśabdamaṇiprabhāvasādharmyeṇa |	aGawita tUrya Sabda maNi praBAva sA DarmyeNa |
   yathākāśe avicchinnā dṛśyante lokataḥ kriyāḥ |	yaTA AkASe avicCinnAH dRSyante lokataH kriyAH |
   yathaivānāsrave ghātau avicchinnā jinakriyāḥ || AMsa_9.20 ||	yaTA eva anAsrave GAtO avicCinnAH jinakriyAH || AMsaH _9.20 ||
   yathākāśe kriyāṇāṃ hi hānir abhyudayaḥ sadā |	yaTA AkASe kriyANAm hi hAniH aByudayaH sadA |
   yathaivānāsrave dhātau buddhakāryodayavyayaḥ || AMsa_9.21 ||	yaTA eva anAsrave DAtO budDa kArya udaya vyayaH || AMsaH _9.21 ||
   ābhyām apy apratiprasrabdhabuddhakāryatvaṃ buddhakṛtyasyāvicchedāt | ākāśa	AByAm api apratiprasrabDa budDa kArya tvam budDa kRtyasya avicCedAt | AkASa
   iva lokakriyāṇām avicchede 'pi cānyānyakriyodayavyayas tathaiva |	iva loka kriyANAm avicCede api ca anyAni akriyA udaya vyayaH taTA eva |
   anāsravadhātugāmbhīrye ṣoḍaśa ślokāḥ |	anAsrava DAtu gAmBIrye zoxaSa SlokAH |
   paurvāparyāviśiṣṭāpi sarvāvaraṇanirmalā |	pOrvAparyA viSizwA api sarva AvaraNa nirmalAH |
   na śuddhā nāpi cāśuddhā tathatā buddhatā matā || AMsa_9.22 ||	na SudDA na api ca aSudDA taTatA budDa tA matA || AMsaH _9.22 ||
   paurvāparyeṇa viśiṣṭatvān na śuddhā | paścāt sarvāvaraṇanirmalatvān	pOrvAparyeNa viSizwa tvAt na SudDAH | paScAt sarva AvaraNa nirmala tvAn
   nāśuddhā malavigamāt |	na aSudDAH mala vigamAt |
   śūnyatāyāṃ viśuddhāyāṃ nairātmyān mārgalābhataḥ |	SUnyatAyAm viSudDAyAm nErAtmyAt mArga lABataH |
   buddhāḥ śuddhātmalābhitvāt gatā ātmamahātmatām || AMsa_9.23 ||	budDAH SudDa AtmalABitvAt gatAH Atma mahA Atma tAm || AMsaH _9.23 ||
   (Msa 38)	(MsaH 38)
   tatra cānāsrave dhātau buddhānāṃ paramātmā nirdiśyate | kiṃ kāraṇaṃ |	tatra ca anAsrave DAtO budDAnAm paramAtmA nirdiSyate | kim kAraNam |
   agranairātmyātmakatvāt | agraṃ nairātmyaṃ viśuddhā tathatā sā ca buddhānām	agra nErAtmya Atmaka tvAt | agram nErAtmyam viSudDA taTatA sA ca budDAnAm
   ātmā svabhāvārthena tasyāṃ viśuddhāyām agraṃ nairātmyam ātmānaṃ buddhā	AtmA svaBAva arTena tasyAm viSudDAyAm agram nErAtmyam AtmAnam budDA
   labhante śuddhaṃ | ataḥ śuddhātmalābhitvāt buddhā ātmamāhātmyaṃ prāptā ity	laBante SudDam | atas SudDa Atma lABi tvAt budDAH Atma mAhAtmyam prAptAH iti 
   anenābhisaṃdhinā buddhānām anāsrave dhātau paramātmā vyavasthāpyate |	anena aBisaMDinA budDAnAm anAsrave DAtO paramAtmA vyavasTApyate |
   na bhāvo nāpi cābhāvo buddhatvaṃ tena kathyate |	na BAvaH na api ca aBAvaH budDa tvam tena kaTyate |
   tasmād buddhatathāpraśne avyākṛtanayo mataḥ || AMsa_9.24 ||	tasmAt budDa taTA praSne avyAkRta nayaH mataH || AMsaH _9.24 ||
   tenaiva kāraṇena buddhatvaṃ na bhāva ucyate |	tena eva kAraNena budDa tvam na BAvaH ucyate |
   pudgaladharmābhāvalakṣaṇatvāt tadātmakatvāc ca buddhatvasya | nābhāva	pudgala Darma aBAva lakzaNa tvAt tad Atmaka tvAt ca budDatvasya | na aBAva
   ucyate tathatālakṣaṇabhāvāt | ato buddhasya bhāvābhāvapraśne bhavati	ucyate taTatA lakzaNa BAvAt | atas budDasya BAva aBAva praSne Bavati
   tathāgataḥ paraṃ maraṇān na bhavatīty evamādir avyākṛtanayo mataḥ |	taTAgataH param maraNAt na Bavati iti evamAdiH avyAkRta nayaH mataH |
   dāhaśāntir yathā lohe darśane timirasya ca |	dAha SAntiH yaTA lohe darSane timirasya ca |
   cittajñāne tathā bauddhe bhāvābhāvo na śasyate || AMsa_9.25 ||	citta jQAne taTA bOdDe BAva aBAvaH na Sasyate || AMsaH _9.25 ||
   yathā ca lohe dāhaśāntir darśane ca timiram etasya śāntir na bhāvo	yaTA ca lohe dAha SAntiH darSane ca timiram etasya SAntiH na BAvaH 
   dāhatimirayor abhāvalakṣaṇatvāt | nābhāvaḥ śāntilakṣaṇena bhāvāt | evaṃ	dAha timirayoH aBAva lakzaNa tvAt | na aBAvaH SAnti lakzaNena BAvAt | evam
   buddhānāṃ cittajñāne ca dāhatimirasthānīyayo rāgāvidyayoḥ śāntir na bhāvaḥ	budDAnAm citta jQAne ca dAha timira sTAnIyayoH rAga avidyayoH SAntiH na BAvaH
   śasyate tadabhāvaprabhāvitatvāc cetaḥprajñāvimuktyā nābhāvas tena tena	Sasyate tad aBAva praBAvita tvAt cetaH prajQA vimuktyA na aBAvaH tena tena
   vimuktilakṣaṇena bhāvāt |	vimukti lakzaNena BAvAt |
   buddhānām amale dhātau naikatā bahutā na ca |	budDAnAm amale DAtO na ekatA bahu tA na ca |
   ākāśavad adehatvāt pūrvadehānusārataḥ || AMsa_9.26 ||	AkASa vat adeha tvAt pUrva deha anusArataH || AMsaH _9.26 ||
   buddhānām anāsravadhātau naikatvaṃ pūrvadehānusāreṇa | na bahutvaṃ	budDAnAm anAsrava DAtO na ekatvam pUrva deha anusAreNa | na bahu tvam
   dehābhāvād ākāśavat |	deha aBAvAt AkASa vat |
   balādibuddhadharmeṣu bodhī ratnākaropamā |	bala Adi budDa Darmezu boDI ratna Akara upamA |
   jagatkuśalasasyeṣu mahāmeghopamā matā || AMsa_9.27 ||	jagat kuSala sasyezu mahA meGa upamA matA || AMsaH _9.27 ||
   puṇyajñānasupūrṇatvāt pūrṇacandropamā matā |	puNya jQAna su pUrNa tvAt pUrNa candra upamA matA |
   jñānālokakaratvāc ca mahādityopamā matā || AMsa_9.28 ||	jQAna Aloka kara tvAt ca mahA Aditya upamA matA || AMsaH _9.28 ||
   (Msa 39)	(MsaH 39)
   etau ratnākarameghopamatve pūrṇacandramahādityopamatve ca ślokau gatārthau	etO ratna Akara meGa upama tve pUrNa candra mahA Aditya upama tve ca SlokO gata arTO
   ameyā raśmayo yadvad vyamiśrā bhānumaṇḍale |	ameyAH raSmayaH yadvat vyamiSrAH BAnu maNxale |
   sadaikakāryā vartante lokam ālokayanti ca || AMsa_9.29 ||	sadA eka kAryAH vartante lokam Alokayanti ca || AMsaH _9.29 ||
   yathaivānāsrave dhātau buddhānām aprameyatā |	yaTA eva anAsrave DAtO budDAnAm aprameya tA |
   miśraikakāryā kṛtyeṣu jñānālokakarā matā || AMsa_9.30 ||	miSra eka kAryA kRtyezu jQAna Aloka karAH matA || AMsaH _9.30 ||
   ekena vyāmiśraraśmy ekakāryasyopamatayā sādharaṇakarmatāṃ darśayati |	ekena vyAmiSra raSmi eka kAryasya upamatayA sADaraNa karmatAm darSayati |
   raśmīnām ekakāryatvaṃ pācanaśoṣaṇasamānakāryatvād veditavyaṃ |	raSmInAm eka kArya tvam pAcana SozaNa samAna kArya tvAt veditavyam |
   dvitīyenānāsrave dhātau miśraikakāryatvaṃ nirmāṇādikṛtyeṣu |	dvitIyena anAsrave DAtO miSra eka kArya tvam nirmANa Adi kRtyezu |
   yathaikaraśminiḥsārāt sarvaraśmiviniḥsṛtiḥ |	yaTA eka raSmi niHsArAt sarva raSmi viniHsRtiH |
   bhānos tathaiva buddhānāṃ jñeyā jñānaviniḥsṛtiḥ || AMsa_9.31 ||	BAnoH taTA eva budDAnAm jQeyA jQAna viniHsRtiH || AMsaH _9.31 ||
   ekakāle sarvaraśmiviniḥsṛtyā sa ca buddhānām ekakāle jñānapravṛttiṃ	eka kAle sarva raSmi viniHsRtyA sa ca budDAnAm eka kAle jQAna pravRttim
   darśayati |	darSayati |
   yathaivādityaraśmīnāṃ vṛttau nāsti mamāyitam |	yaTA eva Aditya raSmInAm vRttO na asti mamAyitam |
   tathaiva buddhajñānānāṃ vṛttau nāsti mamāyitam || AMsa_9.32 ||	taTA eva budDa jQAnAnAm vRttO na asti mamAyitam || AMsaH _9.32 ||
   yathā sūryaikamuktābhai raśmibhir bhāsyate jagat |	yaTA sUrya eka muktA ABEH raSmiBiH BAsyate jagat |
   sakṛt jñeyaṃ tathā sarvaṃ buddhajñānaiḥ prabhāsyate || AMsa_9.33 ||	sakRt jQeyam taTA sarvam budDa jQAnEH praBAsyate || AMsaH _9.33 ||
   mamatvābhāve jagajjñeyaprabhāsena ca | yathākramaṃ ślokau gatārthau |	mamatva aBAve jagat jQeya praBAsena ca | yaTAkramam SlokO gata arTO |
   yathaivādityaraśmīnāṃ meghādyāvaraṇaṃ matam |	yaTA eva Aditya raSmInAm meGa Adi AvaraNam matam |
   tathaiva buddhajñānānām āvṛtiḥ satvaduṣṭatā || AMsa_9.34 ||	taTA eva budDa jQAnAnAm AvRtiH satva duzwa tA || AMsaH _9.34 ||
   yathā raśmīnāṃ meghādyāvaraṇam aprabhāsena | tathā buddhajñānānām āvaraṇaṃ	yaTA raSmInAm meGa Adi AvaraNam apraBAsena | taTA budDa jQAnAnAm AvaraNam
   satvānām ābhājanatvena duṣṭatā pañcakaṣāyātyutsadatayā |	satvAnAm ABAjana tvena duzwa tA paQcakazAyAti utsadatayA |
   yathā pāṃśuvaśād vastre raṅgacitrāvicitratā |	yaTA pAMSu vaSAt vastre raFga citrA vicitra tA |
   tathā 'vedhavaśān muktau jñānacitrāvicitratā || AMsa_9.35 ||	taTA aveDa vaSAt muktO jQAna citra avicitra tA || AMsaH _9.35 ||
   yathā pāṃśuviśeṣeṇa vastre raṅgavicitratā kvacid avicitratā | tathaiva	yaTA pAMSu viSezeNa vastre raFga vicitra tA kvacid avicitra tA | taTA eva
   pūrvaprāṇidhānacaryābalādhānaviśeṣāt(Msa 40) buddhānāṃ vimuktau	pUrva prANi DAna caryA bala ADAna viSezAt(Msa 40) budDAnAm vimuktO
   jñānavicitratā bhavati | śrāvakapratyekabuddhānāṃ vimuktāv avicitratā |	jQAna vicitra tA Bavati | SrAvaka pratyekabudDAnAm vimuktO avicitra tA |
   gāmbhīryam amale dhātau lakṣaṇasthānakarmasu |	gAmBIryam amale DAtO lakzaNa sTAna karmasu |
   buddhānām etad uditaṃ raṅgair vākāśacitraṇā || AMsa_9.36 ||	budDAnAm etat uditam raFgEH vA AkASa citraNAH || AMsaH _9.36 ||
   etad anāsravadhātau buddhānāṃ trividhaṃ gāmbhīryam evam uktaṃ |	etat anAsrava DAtO budDAnAm triviDam gAmBIryam evam uktam |
   lakṣaṇagāmbhīryaṃ caturbhiḥ ślokaiḥ | sthānagāmbhīryaṃ	lakzaNa gAmBIryam caturBiH SlokEH | sTAna gAmBIryam
   pañcamenaikatvapṛthaktvābhyām asthitatvāt | karmagāmbhīryaṃ daśabhiḥ | tat	paQcamena eka tva pRTaktvAByAm asTita tvAt | karma gAmBIryam daSaBiH | tat 
   punar lakṣaṇagāmbhīryaṃ viśuddhilakṣaṇaṃ paramātmalakṣaṇam	punar lakzaNa gAmBIryam viSudDi lakzaNam paramAtma lakzaNam
   avyākṛtalakṣaṇaṃ vimuktilakṣaṇaṃ cārabhyoktaṃ | karmagāmbhīryaṃ	avyAkRta lakzaNam vimukti lakzaNam ca AraBya uktam | karma gAmBIryam
   bodhipakṣādiratnāśrayatvakarma satvaparipācanakarma niṣṭhāgamanakarma	boDi pakza Adi ratna ASraya tva karma satva paripAcana karma nizWA gamana karma
   dharmadeśanākarma nirmāṇādikṛtyakarma jñānapravṛttikarma avikalpanakarma	Darma deSanA akarma nirmANa Adi kRtya karma jQAna pravRtti karma avikalpana karma
   citrākārajñānakarma jñānāpravṛttikarma vimuktisāmānyajñānaviśeṣakarma	citra AkAra jQAna karma jQAna apravRtti karma vimukti sAmAnya jQAna viSeza karma
   cārabhyoktaṃ | seyamanāsrave dhātau niṣprapañcatvād ākāśopame	ca AraBya uktam | sA iyam anAsrave DAtO nizprapaQcatvAt AkASa upame
   gāmbhīryaprabhedadeśanā yathā raṅgair ākāśacitraṇī veditavyā |	gAmBIrya praBeda deSanA yaTA raFgEH AkASa citraNI veditavyA |
   sarveṣām aviśiṣṭāpi tathatā śuddhim āgatā |	sarvezAm aviSizwA api taTatA SudDim AgatAH |
   tathāgatatvaṃ tasmāc ca tadgarbhāḥ sarvadehinaḥ || AMsa_9.37 ||	taTAgata tvam tasmAt ca tad garBAH sarva dehinaH || AMsaH _9.37 ||
   sarveṣāṃ nirviśiṣṭā tathatā tadviśuddhisvabhāvaś ca tathāgataḥ | ataḥ	sarvezAm nirviSizwA taTatA tad viSudDi svaBAvaH ca taTAgataH | atas 
   sarve satvās tathāgatagarbhā ity ucyate | vibhutvāvibhāge ślokā ekādaśa |	sarve satvAH taTAgata garBAH iti ucyate | viBu tva aviBAge SlokAH ekAdaSa |
   śrāvakāṇāṃ vibhutvena laukikasyābhibhūyate |	SrAvakANAm viBu tvena lOkikasya aBiBUyate |
   pratyekabuddhebhyo manaḥbuddhabhaumena śrāvakasyābhibhūyate || AMsa_9.38	pratyekabudDeByaH manaH budDa BOmena SrAvakasya aBiBUyate || AMsaH _9.38
   bodhisatvavibhutvasya tatkalāṃ nānugacchati |	boDisatva viBu tvasya tad kalAm na anugacCati |
   tathāgatavibhutvasya tatkalāṃ nānugacchati || AMsa_9.39 ||	taTAgata viBu tvasya tad kalAm na anugacCati || AMsaH _9.39 ||
   ābhyāṃ tāvad dvābhyāṃ prabhāvotkarṣaviśeṣeṇa buddhānāṃ vibhutvaṃ darśayati	AByAm tAvat dvAByAm praBAva utkarza viSezeNa budDAnAm viBu tvam darSayati
   aprameyam acintyaṃ ca vibhutvaṃ bauddham iṣyate |	aprameyam acintyam ca viBu tvam bOdDam izyate |
   yasya yatra yathā yāvat kāle yasmin pravartate || AMsa_9.40 ||	yasya yatra yaTA yAvat kAle yasmin pravartate || AMsaH _9.40 ||
   anena tṛtīyena prakāraprabhedagāmbhīryaviśeṣābhyāṃ katham aprameyaṃ kathaṃ	anena tRtIyena prakAra praBeda gAmBIrya viSezAByAm kaTam aprameyam kaTam
   vācintyam ity āha | yasya pudgalasyārthe tat pravartate yatra lokadhātau	vA acintyam iti Aha | yasya pudgalasya arTe tat pravartate yatra lokaDAtO
   yathā tādṛśaiḥ prakārair yāvad alpaṃ (Msa 41) vā bahu vā yasmin kāle |	yaTA tAdRSEH prakArEH yAvat alpam (MsaH 41) vA bahu vA yasmin kAle |
   avaśiṣṭaiḥ ślaukeḥ manovṛttibhedena vibhutvabhedaṃ darśayati |	avaSizwEH SlOkeH manaH vRtti Bedena viBu tva Bedam darSayati |
   pañcendriyaparāvṛttau vibhutvaṃ labhyate param |	paQca indriya parAvRttO viBu tvam laByate param |
   sarvārthavṛttau sarveṣāṃ guṇadvādaśaśatodaye || AMsa_9.41 ||	sarva arTa vRttO sarvezAm guNa dvAdaSa Sata udaye || AMsaH _9.41 ||
   pañcendriyaparāvṛttau dvividhaṃ vibhutvaṃ paramaṃ labhyate | sarveṣāṃ	paQca indriya parAvRttO dviviDam viBu tvam paramam laByate | sarvezAm
   pañcānām indriyāṇāṃ sarvapañcārthavṛttau | tatra pratyekaṃ	paQcAnAm indriyANAm sarva paQca arTa vRttO | tatra pratyekam
   dvādaśaguṇaśatotpattau |	dvAdaSa guNa Sata utpattO |
   manaso 'pi parāvṛttau vibhutvaṃ labhyate param |	manasaH api parAvRttO viBu tvam laByate param |
   vibhutvānucare jñāne nirvikalpe sunirmale || AMsa_9.42 ||	viBu tva anucare jQAne nirvikalpe su nirmale || AMsaH _9.42 ||
   manasaḥ parāvṛttau vibhutvānucare nirvikalpe suviśuddhe jñāne paramaṃ	manasaH parAvRttO viBu tva anucare nirvikalpe su viSudDe jQAne paramam
   vibhutvaṃ labhyate | yena sahitaṃ sarvaṃ vibhutvajñānaṃ pravartate |	viBu tvam laByate | yena sahitam sarvam viBu tva jQAnam pravartate |
   sārthodgrahaparāvṛttau vibhutvaṃ labhyate param |	sArTa udgraha parAvRttO viBu tvam laByate param |
   kṣetraśuddhau yathākāmaṃ bhogasaṃdarśanāya hi || AMsa_9.43 ||	kzetra SudDO yaTAkAmam Boga saMdarSanAya hi || AMsaH _9.43 ||
   arthaparāvṛttau udgraharparāvṛttau ca kṣetraviśuddhivibhutvaṃ paramaṃ	arTa parAvRttO udgraharparAvRttO ca kzetra viSudDi viBu tvam paramam
   labhyate yena yathākāmaṃ bhogasaṃdarśanaṃ karoti |	laByate yena yaTAkAmam Boga saMdarSanam karoti |
   avyāghāte sadākālaṃ sarveṣāṃ jñānakarmaṇām || AMsa_9.44 ||	avyAGAte sadA kAlam sarvezAm jQAna karmaNAm || AMsaH _9.44 ||
   vikalpaparāvṛttau sarveṣāṃ jñānānāṃ karmaṇāṃ ca sarvakālam avyāghāte	vikalpa parAvRttO sarvezAm jQAnAnAm karmaNAm ca sarvakAlam avyAGAte
   paramaṃ vibhutvaṃ labhyate |	paramam viBu tvam laByate |
   pratiṣṭhāyāḥ parāvṛttau vibhutvaṃ labhyate param |	pratizWAyAH parAvRttO viBu tvam laByate param |
   apratiṣṭhitanirvāṇaṃ buddhānām acale male pade || AMsa_9.45 ||	apratizWita nirvANam budDAnAm acale male pade || AMsaH _9.45 ||
   pratiṣṭhāparāvṛttāv apratiṣṭhitanirvāṇaṃ paramaṃ vibhutvaṃ labhyate	pratizWA parAvRttO apratizWita nirvANam paramam viBu tvam laByate
   buddhānām anāsrave dhātau |	budDAnAm anAsrave DAtO |
   maithunasya parāvṛttau vibhutvaṃ labhyate param |	mETunasya parAvRttO viBu tvam laByate param |
   buddhasaukhyavihāre 'tha dārā 'saṃkleśadarśane || AMsa_9.46 ||	budDa sOKya vihAre aTa dArAH asaMkleSa darSane || AMsaH _9.46 ||
   (Msa 42)	(MsaH 42)
   maithunasya parāvṛttau dvayor buddhasukhavihāre ca dārā 'saṃkleśadarśane	mETunasya parAvRttO dvayoH budDa suKa vihAre ca dArAH asaMkleSa darSane
   ca |	ca |
   ākāśasaṃjñāvyāvṛttau vibhutvaṃ labhyate param |	AkASa saMjQA vyAvRttO viBu tvam laByate param |
   cintitārthasamṛddhau ca gatirūpavibhāvane || AMsa_9.47 ||	cintita arTa samRdDO ca gati rUpa viBAvane || AMsaH _9.47 ||
   ākāśasaṃjñāvyāvṛttau dvayor eva cintitārthasamṛddhau ca yena gaganagarbho	AkASa saMjQA vyAvRttO dvayoH eva cintita arTa samRdDO ca yena gaganagarBaH 
   bhavati | gatirūpavibhāvane ca yatheṣṭagamanād ākāśavaśīkaraṇāc ca |	Bavati | gati rUpa viBAvane ca yaTA izwa gamanAt AkASa vaSIkaraNAt ca |
   ity ameyaparāvṛttāv ameyavibhutā matā |	iti ameya parAvRttO ameya viBu tA matA |
   acintyakṛtyānuṣṭhānād buddhānām amalāśraye || AMsa_9.48 ||	acintya kRtya anuzWAnAt budDAnAm amala ASraye || AMsaH _9.48 ||
   ity anena mukhenāprameyā parāvṛttiḥ | tatra cāprameyaṃ vibhutvam	iti anena muKena aprameyA parAvRttiH | tatra ca aprameyam viBu tvam
   acintyakarmānuṣṭhānaṃ buddhānām anāsrave dhātau veditavyaṃ | tasyaiva	acintya karma anuzWAnam budDAnAm anAsrave DAtO veditavyam | tasya eva
   buddhasya satvaparipākanimittatve sapta ślokāḥ |	budDasya satva paripAka nimitta tve sapta SlokAH |
   śubhe vṛddho loko vrajati suviśuddhau paramatāṃ śubhe cānārabdhvā vrajati	SuBe vRdDaH lokaH vrajati su viSudDO parama tAm SuBe ca anArabDvA vrajati
   śubhavṛddhau paramatām |	SuBa vRdDO parama tAm |
   vrajaty evaṃ loko diśi diśi jinānāṃ sukathitair apakvaḥ pakvo vā na ca	vrajati evam lokaH diSi diSi jinAnAm su kaTitEH apakvaH pakvaH vA na ca
   punar aśeṣaṃ dhruvam iha || AMsa_9.49 ||	punar aSezam Druvam iha || AMsaH _9.49 ||
   anena yādṛśasya paripākasya nimittaṃ bhavati taddarśayati |	anena yAdRSasya paripAkasya nimittam Bavati tat darSayati |
   upacitakuśalamūlānāṃ ca vimuktau paramatāyām anupacitakuśalamūlānāṃ ca	upacita kuSala mUlAnAm ca vimuktO parama tAyAm anupacita kuSala mUlAnAm ca
   kuśalamūlopacaye | apakvaḥ śubhavṛddhau paramatāṃ vrajanapākaṃ vrajati	kuSala mUla upacaye | apakvaH SuBa vRdDO parama tAm vrajana pAkam vrajati
   pakvaḥ suviśuddhau paramatāṃ vrajati | evaṃ ca nityakālaṃ vrajati na ca	pakvaH su viSudDO parama tAm vrajati | evam ca nityakAlam vrajati na ca
   niḥśeṣaṃ lokasyānantatvāt |	niHSezam lokasya ananta tvAt |
   tathā kṛtvā caryāṃ kṛcchrāvāpyāṃ paramaguṇayogād bhutavartī mahābodhiṃ	taTA kRtvA caryAm kRcCra avApyAm parama guNa yogAt Buta vartI mahAboDim
   nityāṃ dhruvam aśaraṇānāṃ ca śaraṇam |	nityAm Druvam aSaraNAnAm ca SaraNam |
   labhante yaddhīrā daśadig sadā sadā sarvasamayaṃ tad āścaryaṃ loke	laBante yat DIrA daSa diS sadA sadA sarva samayam tat AScaryam loke
   suvidhacaraṇān nādbhutam api || AMsa_9.50 ||	suviDa caraNAt na adButam api || AMsaH _9.50 ||
   anena dvitīyena paripakvānāṃ bodhisatvānāṃ paripākasyāścaryaṃ nāścaryaṃ |	anena dvitIyena paripakvAnAm boDisatvAnAm paripAkasya AScaryam na AScaryam |
   (Msa 43) lakṣaṇaṃ sadā sarvasamayam iti nityaṃ nirantaraṃ ca tad anubhūya	(Msa 43) lakzaNam sadA sarva samayam iti nityam nirantaram ca tat anuBUya
   mārgacaraṇaṃ suvidhicaraṇaṃ |	mArga caraNam su viDi caraNam |
   kvaciddharmāñ ca kaṃ dharmyaṃ cakraṃ bahumukhaśatair darśayati yaḥ kvacij	kvacid DarmAn ca kam Darmyam cakram bahu muKa SatEH darSayati yaH kvacid 
   janmāntardhiṃ kvacid api vicitrāṃ janacarīm |	janma antarDim kvacid api vicitrAm janacarIm |
   kvacitkṛtsnāṃ bodhiṃ kvacid api ca nirvāṇam asakṛt na ca sthānāt tasmād	kvacid kRtsnAm boDim kvacid api ca nirvANam asakRt na ca sTAnAt tasmAt 
   vicalati sa sarvaṃ ca kurute || AMsa_9.51 ||	vicalati sa sarvam ca kurute || AMsaH _9.51 ||
   anena tṛtīyena yugapadbahumukhaparipācanopāyaprayoge nimittatvaṃ darśayati	anena tRtIyena yugapad bahu muKa paripAcana upAya prayoge nimitta tvam darSayati
