   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   paraṃ yātāyātaṃ racayad abhitas tad-virahajaṃ	param yAtAyAtam racayat aBitas tat--viraha-jam
   mahā-duḥkhaṃ tāsāṃ hṛdayam asakṛn mardayati naḥ ||GC_2,1.27||	mahA--duHKam tAsAm hRdayam asakRt mardayati naH ||GC_2,1.27||
   priyāṇāṃ sarvāsāṃ param upari rādhāṃ praṇayavān	priyANAm sarvAsAm param upari rADAm praNayavAn
   asādhāraṇyena sva-hṛdi sa purā lālayati yat |	asADa-araNyena sva-hRdi sa purA lAlayati yat |
   tad etan naḥ sarvaṃ sukham ahaha hā nātha ramaṇety	tat etat naH sarvam suKam ahaha hA nATa ramaNa-iti-
   adaḥ stoka-ślokaḥ pibati kim ahaṃ vacmi karavai? ||GC_2,1.28||	adaH stoka-SlokaH pibati kim aham vacmi karavE? ||GC_2,1.28||
   idaṃ smāraṃ smāraṃ jvalati mama dhīr yad vraja-mṛgī-	idam smAram smAram jvalati mama DIH yat vraja--mRgI-
   dṛśāṃ lajjālūnāṃ harim anu ratir vyaktim agamat |	dRSAm lajjAlUnAm harim anu ratiH vyaktim agamat |
   tad āstāṃ rādhyāyāḥ sa-vidham iva taṃ tat-sphuraṇa-kṛt	tat AstAm rADyAyAH sa-viDam iva tam tat--sPuraNa-kRt
   pramāyās taṃ draṣṭuṃ dṛśi kuṭilatā maṃ vidahati ||GC_2,1.29||	pramAyAH tam drazwum dRSi kuwila-tA mam vidahati ||GC_2,1.29||
   anyat paśyati kṛṣṇam anya-vacane kṛṣṇaṃ bravīty anya-vāk	anyat paSyati kRzNam anya-vacane kRzNam bravIti anya-vAc-
   śrutyāṃ kṛṣṇam aho śṛṇoti satataṃ yā gopa-subhrū-tatiḥ |	SrutyAm kRzNam aho SRNoti satatam yA gopa-suBrU--tatiH |
   tasyāṃ kiṃ bata gopana-pravalatāṃ yady aśnuvānā sphuṭaṃ	tasyAm kim bata gopana--pravala-tAm yadi aSnuvAnA sPuwam
   rādhāyā jaḍatā na hi prabalatāṃ yāyād amūdṛśy api ||GC_2,1.30||	rADAyAH jaxa-tA na hi prabala-tAm yAyAt amUdRSI api ||GC_2,1.30||
   [28] atha vallavī-vallabhasyāpi tathā kathā prathanīyā-	[28] aTa vallavI--vallaBasya-api taTA kaTA praTanIyA-
   ekā śrīr yad-vaśe bhāti tad-vaśe sukha-santatiḥ |	ekA SrIH yat--vaSe BAti tat--vaSe suKa--santatiH |
   śrī-koṭīr vaśayan kṛṣṇas tat-koṭiṃ sphuṭam arhati ||GC_2,1.31||	SrI-kowIH vaSayan kRzNaH tat-kowim sPuwam arhati ||GC_2,1.31||
   [29] tathāpi līlā-rasa-viśeṣa-vaśatayā tadānīm anyathā-prathayāpi santaḥ	[29] taTA-api lIlA-rasa--viSeza-vaSatayA tadAnIm anyaTA--praTayA-api santaH
   samapaśyanta, yathā-	samapaSyanta, yaTA-
   mlānau mlāniṃ rucau rociḥ	mlAnO mlAnim rucO rociH
   preyasīnām anuvrajan |	preyasInAm anuvrajan |
   vīkṣitaḥ so'yam antarjñair	vIkzitaH saH-ayam antar-jQEH-
   vṛrttīnām vṛttimān iva ||GC_2,1.32||	vRrttInAm vRttimAn iva ||GC_2,1.32||
   gāmbhīryān mura-śatro	gAmBIryAn mura--Satro
   sphuṭam abdher iva na bhāti kārśyādi |	sPuwam abDeH iva na BAti kArSya-Adi |
   kintu tadanvayi-jīvana-	kintu tad-anvayi-jIvana-
   dhārāṇāṃ tena tac ca tarkyeta ||GC_2,1.33||	DArANAm tena tat ca tarkyeta ||GC_2,1.33||
   yadyapi tāsāṃ lābhe	yadi-api tAsAm lABe
   hariṇā na svairitā yātā |	hariNA na svEri-tA yAtAH |
   tad api svasminn abhimati-	tat api svasmin aBimati-
   mātre śaśvat-kṛtārthatāṃ mene ||GC_2,1.34||	mAtre SaSvat--kRtArTa-tAm mene ||GC_2,1.34||
   āstāṃ vraja-subhrūṇām	AstAm vraja--su-BrUNAm
   abhisṛti-saṅketa-dhāma-milanādi |	aBisRti--saFketa-DAma-milana-Adi |
   svaira-sthitir api tāsām	svEra--sTitiH api tAsAm
   avakalitā kṛṣṇam unmudaṃ kurute ||GC_2,1.35||	avakalitA kRzNam unmudam kurute ||GC_2,1.35||
   bali-muṣitā nija-lakṣmīr	bali-muzitA nija--lakzmIH-
   iva labdhuṃ tāḥ sadotkṛtāṃ yātaḥ |	iva labDum tAH sadA-utkRtAm yAtaH |
   kṛṣṇaś cintāmaṇivat	kRzNaH cintAmaNi-vat-
   tāsu ca rādhām acintayan nitarām ||GC_2,1.36||	tAsu ca rADAm acintayan nitarAm ||GC_2,1.36||
   nimeṣaḥ kalpaḥ syād api nayana-pakṣmācala-varas	nimezaH kalpaH syAt api nayana-pakzmAcala-vara-s
   tathā dṛg-vāry-abdhir vraja-vara-ramāḥ paśyati harau |	taTA dRS--vAri--abDiH vraja-vara--ramAH paSyati harO |
   tad-īdṛg-bhāvaḥ kiṃ samacarad amūbhyas tam athavā	tat--IdRg-BAvaH kim samacarat amUByaH tam aTavA
   tato'mūr ity evaṃ dvayam api na nirṇītim ayate ||GC_2,1.37||	tatas-amUH iti evam dvayam api na nirNItim ayate ||GC_2,1.37||
   kim eṣā sphūrtir me vyatimilana-kartrī vanitayā	kim ezA sPUrtiH me vyatimilana-kartrI vanitayA
   tayā kiṃ vā sākṣāt-kṛtir iti vivekāvidura-dhīḥ |	tayA kim vA sAkzAt-kRtiH iti viveka-aviduH-a-DIH |
   hariḥ svānta-jvālā-valayita-vapuḥ kvāpi valavat-	hariH sva-anta--jvAlA--valayita-vapuH kvApi valavat-
   praphullāṅgaḥ kvāpi pratimuhur udagraṃ bhramam agāt ||GC_2,1.38||	praPulla-aFgaH kvApi pratimuhuH udagram Bramam agAt ||GC_2,1.38||
   [30] tad evaṃ duḥkha-nigīrṇaṃ yathā-kathañcana yad varṇitam, yac cānyad	[30] tat evam duHKa--nigIrNam yaTA--kaTaQcana yat varNitam, yat ca-anyat-
   ito'py atitarāṃ varṇayitum abhyarṇīkriyate, tat khalu sarvāyatyāṃ	itas-api atitarAm varNayitum aByarNIkriyate, tat Kalu sarva-AyatyAm
   parama-sukhāgatyāḥ pratyāsattaye sampatsyate, durgama-kūpa-maru-bhū-bhuvām	parama--suKa-AgatyAH pratyAsattaye sampatsyate, durgama-kUpa-maru--BU-BuvAm
   anūpa-gamanāya durga-laṅghanavat |	anUpa-gamanAya durga-laFGana-vat |
   [31] na ca varṇanāyāṃ tasyai sampatsyata ity eva vaktavyam | paśyata	[31] na ca varNanAyAm tasyE sampatsyate iti eva vaktavyam | paSyata
   paśyata, tad etad rādhā-mādhava-nirbādha-vyatimilana-nirvarṇanāyāṃ	paSyata, tat etat rADA--mADava--nirbADa--vyatimilana--nirvarNanAyAm
   sampraty api sampadyate; yata eva ca yat kiñcit tad varṇayituṃ śakyate |	samprati api sampadyate; yatas eva ca yat kiQcid tat varNayitum Sakyate |
   [32] tac ca varṇanaṃ yathā-evaṃ kṛṣṇa-kṛṣṇa-priyāṇāṃ kṛta-saṃmohena	[32] tat ca varNanam yaTA-evam kRzNa--kRzNa--priyANAm kRta--saMmohena
   mahā-bhāvādhiroheṇa samaṃ pūrṇaṃ kaiśoram api tūrṇam āyātam | tatra	mahA-a-BAva-aDiroheNa samam pUrNam kESoram api tUrNam AyAtam | tatra
   śrī-kṛṣṇsya yathā-	SrI-kRzNsya yaTA-
   śrī-gopādhipa-dugdha-sindhu-janitaṃ sat-kīrti-śubhraṃ sphurat-	SrI-gopa-aDipa--dugDa--sinDu--janitam sat-kIrti--SuBram sPurat--
   kṛṣṇābhāvalitaṃ sudīrgha-nayana-jyotir-vidhūtāmbujam |	kRzNA-BAvalitam su-dIrGa--nayana--jyotiH--viDUta-ambujam |
   gopī-netra-cakora-jīvana-ruciṃ kāma-pracārākaraṃ	gopI--netra-cakora--jIvana-rucim kAma--pracAra-Akaram
   kaiśorāmṛta-pūrṇam avyaya-kalaṃ govinda-candraṃ bhaje ||GC_2,1.39||	kESora-amRta--pUrNam avyaya-kalam govinda-candram Baje ||GC_2,1.39||
   [34] tāsāṃ yathā--	[34] tAsAm yaTA--
   vaktrendu-sphuṭa-netra-kairava-ruciḥ pāṇḍūbhavadgaṇḍabhūr	vaktra-indu---sPuwa--netra-kEH-ava-ruciH pANxu-uBavat-gaNxa-BUr
   vakṣo-janma-sahasra-patra-mukulāmandāvali-bhrājitā |	vakzo-janma--sahasra-patra--mukulA-manda-Avali-BrAjitAH |
   navya-stavya-nitamba-bimba-pulina-śrī-kariṇī śrī-harer	navya--stavya--nitamba--bimba--pulina--SrI--kariNI SrI--hareH-
   ābhīrī-nava-yauvana-sthitir adhāj jyautsnīva netra-prathām ||GC_2,1.40||	ABIrI--nava--yOvana--sTitiH aDAt jyOtsnI-iva netra-praTAm ||GC_2,1.40||
   [35] tad evam ubhayeṣāṃ nava-yauvana-sāgara-paramānurāga-sudhākarayoḥ	[35] tat evam uBayezAm nava--yOvana--sAgara--parama-anurAga--suDA-karayoH
   parasparaṃ bhūri-paripūritā-karayoḥ sarvatra pracāraḥ sañcarati ca tasmin	parasparam BUri--paripUrita-a-karayoH sarvatra pracAraH saQcarati ca tasmin
   yad eva tāsāṃ pūrvaṃ kṛṣṇa-kartṛka-pariṇayanāpanayanāya gargaḥ kila	yat eva tAsAm pUrvam kRzNa-kartRka--pariNayana-apanayanAya gargaH kila
   vyañjitaṃ cakāra, tad eva lokam astoka-śaṅkā-sañjitam ācacāra |	vyaQjitam cakAra, tat eva lokam astoka--SaFkA--saQjitam AcacAra |
   [36] yadi kṛṣṇena samam āsām aṅga-saṅgaḥ syāt tad-ārvāg eva sarvam eva	[36] yadi kRzNena samam AsAm aFga-saFgaH syAt tad--ArvAk eva sarvam eva
   gokulaṃ tad-virahākulaṃ syād iti | [37] garga-vacanam eva ca	gokulam tat--viraha-Akulam syAt iti | [37] garga-vacanam eva ca
   mātara-pitarādibhiḥ kṛṣṇāya tāsāṃ vitaraṃ vighna-nighnaṃ cakāra |	mAtara--pitara-AdiBiH kRzNAya tAsAm vitaram viGna-niGnam cakAra |
   [38] yatra ca sākṣād yogamāyā kṛṣṇaṃ varivasyantī svātmano gopanāya	[38] yatra ca sAkzAt yoga-mAyA kRzNam varivasyantI sva-AtmanaH gopanAya
   pūrṇimā nāmnā tapasyantī kṛcchra-vaśyantī gaty-antaram apaśyantī tāsām	pUrNimA nAmnA tapasyantI kRcCra-vaSyantI gati--antaram apaSyantI tAsAm
   anyatra vivāhaṃ mṛṣābhāva-vaham eva nirvāhayāmāsa |	anyatra vivAham mRzA-BAva-vaham eva nirvAhayAmAsa |
   sarvatrānalpa-svapna-kalpanāyām api prāyatayā jāgara-prāyatayā pracāraṇat	sarvatra-analpa--svapna-kalpanAyAm api prAyatayA jAgara--prAya-tayA pracAraNat-
   | tathā tāsāṃ paty-ābhāsāṅga-saṅgamaṃ ca bhaṅgam āsādayāmāsa | tathaiva hi	| taTA tAsAm paty-a-ABAsa-aFga--saFgamam ca BaFgam AsAdayAmAsa | taTA-eva hi
   nāsūyan khalu kṛṣṇāya [BhP 10.33.37] ityādi-rītyā	na-asUyan Kalu kRzNAya [Bhj 10.33.37] ityAdi--rItyA
   śukeneva śrī-śukena dig-darśitā |	Sukena-iva SrI-Sukena diS--darSitAH |
   [39] tad evaṃ sati sa ca tāś ca parama-tarṣa-kṛtākarṣatayā pracchannatayā	[39] tat evam sati sa ca tAH ca parama-tarza-kRta-Akarza-tayA pracCanna-tayA
   ca parasparaṃ saṅga-maharṣam api kathañcid ācitaṃ cakruḥ |	ca parasparam saFga-mahA-rzam api kaTaQcid Acitam cakruH |
   [40] atha pūrvokta-rītyā tāsāṃ sannihita-lokeṣu pratītyā mahānurāgasya	[40] aTa pUrva-ukta--rItyA tAsAm sannihita--lokezu pratItyA mahA-anurAgasya
   kramād avagamād gurubhir manasi bhāvita-bhāvi-kṛṣṇa-saṅgamāśaṅkatayā	kramAt avagamAt guruBiH manasi BAvita-BAvi--kRzNa--saFgam-ASaFka-tayA
   vacasi tu vibhāvita-vadhū-jana-vana-gamana-kalaṅkatayā nirmite nirodhe	vacasi tu viBAvita--vaDU--jana--vana--gamana--kalaFka-tayA nirmite niroDe
   milad-udbodhe balānujanmā dvi-janmānaṃ narma-priya-sakhatayānuvartamānaṃ	milat--udboDe balAnujanmA dvi-janmAnam narma--priya--saKatayA-anuvartamAnam
   nāmnā madhumaṅgalatayā samāmnātaṃ tat-prasaṅga-saṅgataṃ cakāra- kathaṃ	nAmnA maDu-maFgala-tayA samAmnAtam tat--prasaFga--saFgatam cakAra kaTam
   rādhādīnām āgamana-vadhā	rADa-AdInAm Agamana-vaDA
   bahūny ahāny adhikṛtya dṛśyate? iti |	bahUni ahAni aDikRtya dRSyate? iti |
   [41] madhumaṅgala uvāca--purūṇāṃ gurūṇāṃ nirodha eva nidānatayā tatra	[41] maDu-maFgalaH uvAca--purUNAm gurUNAm niroDaH eva nidAna-tayA tatra
   bodha-viṣayī-bhavati |	boDa--vizayI--Bavati |
   [42] śrī-kṛṣṇa uvāca-aho! tat tad api raho-vṛttaṃ kiṃ gurūṇāṃ karṇeṣu	[42] SrI--kRzNaH uvAca-aho! tat tat api rahaH--vRttam kim gurUNAm karNezu
   vṛttam?	vRttam?
   [43] madhumaṅgala uvāca-	[43] maDu-maFgalaH uvAca-
   nāntar bahir api yasyāṃ	na-antar bahis api yasyAm
   sphurati jñānaṃ mano-vikṛtau |	sPurati jQAnam mano--vikRtO |
   ekasyāpi na tasyā	ekasya-api na tasyAH-
   na vyaktiḥ syād amūdṛśāṃ kim uta? ||GC_2,1.41||	na vyaktiH syAt amUdRSAm kim uta? ||GC_2,1.41||
   [44] śrī-kṛṣṇa uvāca-pūrvam api purvahir antar-gamane tāsu nava-yauvanaṃ	[44] SrI--kRzNaH uvAca--pUrvam api purvahiH antar--gamane tAsu nava--yOvanam
   gatāsu guru-nirodha purur evāsīt | adhunā tu kīdṛg adhikaḥ?	gatAsu guru-niroDa puruH eva-AsIt | aDunA tu kIdRS aDikaH?
   [45] madhumaṅgala uvāca-yadyapi nāsman-mukhataḥ sukhatayā niḥsarati	[45] maDu-maFgalaH uvAca-yadi-api na-asman-muKataH suKa-tayA niHsarati
   rati-pratikūlam idaṃ, tathāpi bhavat-praśna-prathāta eva	rati-pratikUlam idan, taTA-api Bavat-praSna--praTAtas eva
   kathā-viṣayīkriyate | tathā ca śrutaṃ mayā khalv idam viśrutaṃ	kaTA--vizayIkriyate | taTA ca Srutam mayA Kalu idam viSrutam
   kula-pālikānāṃ tāsu gāli-dānam avakalyatām |	kula-pAlikAnAm tAsu gAli--dAnam avakalyatAm |
   kiṃ dhig dhyāyasi hanta niśvasiṣi kiṃ vartmāni kiṃ prekṣase	kim Dik DyAyasi hanta niSvasizi kim vartmAni kim prekzase
   kiṃ sakhyā mukham atra paśyasi kucau kiṃ dṛg jalaiḥ siñcase? |	kim saKyAH muKam atra paSyasi kucO kim dRS jalEH siQcase? |
   mūrcchām ṛcchasi kintarāṃ kim asakṛt kṛṣṇeti varṇa-dvayaṃ	mUrcCAm RcCasi kintarAm kim asakRt kRzNa-iti varNa--dvayam
   tasyāṃ jalpasi kiṃ punaḥ pulakitāṃ kampaṃ ca tantanyase ||GC_2,1.42|| iti	tasyAm jalpasi kim punar pulakitAm kampam ca tantanyase ||GC_2,1.42|| iti
   [46] atha kula-pālikā-pālikānāṃ tāsāṃ dūnatākaryā nanānduḥ pratisvaṃ	[46] aTa kula-pAlikA-pAlikAnAm tAsAm dUna-tA-karyAH nanAnduH pratisvam
   mātaraṃ prati vacana-caryā dig-varṇanaṃ cāvakarṇyatām--	mAtaram prati vacana-caryA diS--varNanam ca-avakarNya-tAm--
   dṛg-vīthīṃ kula-pālikāḥ śruti-patham tāsāṃ kathā-nāsikā-	dRS--vITIm kula-pAlikAH Sruti-paTam tAsAm kaTA-nAsikA-
   vartmāneka-sugandhi-dhūpa-racanā vavrur mayā yojitāḥ |	vartma-aneka-suganDi-DUpa-racanAH vavruH mayA yojitAH |
   tasyāḥ kṛṣṇamayī daśā manasi yā sā kena yatnena vā	tasyAH kRzNa-mayI daSA manasi yA sA kena yatnena vA
   gacchedāvṛtatāṃ tato janani kiṃ mahyaṃ vṛthā kupyasi? ||GC_2,1.43|| iti |	gacCet-AvRta-tAm tatas janani kim mahyam vRTA kupyasi? ||GC_2,1.43|| iti |
   [47] tad evaṃ varṇyamānam ākarṇya kṣaṇaṃ sa-mlāna-varṇaṃ nivarṇya ca punar	[47] tat evam varNyamAnam AkarNya kzaNam sa-mlAna--varNam nivarNya ca punar-
   asāv asyā vartāyā viśeṣānuvartanāya madhumaṅgalaṃ prasthāpya cintāṃ cāntaḥ	asO asyAH vartAyAH viSeza-anuvartanAya maDu-maFgalam prasTApya cintAm ca-antar-
   prāpya vicārayati sma |	prApya vicArayati sma |
   [48] tam etaṃ jana-ravaṃ mama guravaścānubhavamānītavantaḥ santi, prāyaśaḥ	[48] tam etam jana-ravam mama guravaH-ca-anuBavam-AnItavantaH santi, prAyaSas-
   parama-yaśasaḥ pitaraś ca tatra karṇa-vitaraṃ kariṣyanti | tarhi kintarām	parama--yaSasaH pitaraH ca tatra karNa-vitaram karizyanti | tarhi kintarAm
   antarāyam imam antarayitā? iti kṣaṇaṃ śūnyāyamāna-manāḥ punaś cintayāmāsa	antarAyam imam antarayitA? iti kzaNam SUnyAyamAna---manAH punar cintayAmAsa
   [49] ito vyavadhānam eva khalu kaluṣatāṃ gatasya mama nidhānaṃ bhavati |	[49] itas vyavaDAnam eva Kalu kaluza-tAm gatasya mama niDAnam Bavati |
   tathā hi-	taTA hi-
   kalaṅko yatra syād apariharaṇīyārtha-kṛtakas	kalaFkaH yatra syAt apariharaNIya-arTa-kRtaka-s
   tato dūrād bhāvyaṃ kula-jani-janenaivam ucitam |	tatas dUrAt BAvyam kula-ja-ni-janena-evam ucitam |
   sa kālāl luptaḥ syād bhavati hi ca tatra pratividhis	sa kAlAt luptaH syAt Bavati hi ca tatra prativiDi-s
   tad asmān me goṣṭhād vyavahitir akaṣṭaṃ prasajati ||GC_2,1.44||	tat asmAt me gozWAt vyavahitiH akazwam prasajati ||GC_2,1.44||
   yeṣāṃ pitrādīnāṃ	yezAm pitR-AdInAm
   sneho mama jīvanaṃ goṣṭhe |	snehaH mama jIvanam gozWe |
   ahaha ku-daivād abhitaḥ	ahaha ku-dA-evAt aBitas-
   saṅkocas tebhya eva sañjātaḥ ||GC_2,1.45||	saFkocaH teByaH eva san-jAtaH ||GC_2,1.45||
   [50] atha punar anyathā cintayāmāsa-	[50] aTa punar anyaTA cintayAmAsa-
   prāṇās tyajantu dehaṃ	prANAH tyajantu deham
   dehaḥ prāṇān api tyajatu |	dehaH prANAn api tyajatu |
   hari-gopyas tu mithas tāḥ	hari--gopyaH tu miTas tAH
   prāṇāḥ katham iva mithas tyājyāḥ? ||GC_2,1.46||	prANAH kaTam iva miTas tyAjyAH? ||GC_2,1.46||
   [51] punas tad api cānyathā cakāra-	[51] punar tat api ca-anyaTA cakAra-
   ekasminn āvāse	ekasmin AvAse
   dampatyor bhavati duḥsaho virahaḥ |	dampatyoH Bavati duHsahaH virahaH |
   tasmād dūre gamanaṃ	tasmAt dUre gamanam
   samayaṃ gamanīyatāṃ nayati ||GC_2,1.47||	samayam gamanIya-tAm nayati ||GC_2,1.47||
   [52] kintu hā vṛṣabhānu-bhānu-kīrtidā-kīrtidāyini! hā janmata eva	[52] kintu hA vRzaBa-anu-Ba-anu--kIrti-dA-kIrti-dAyini! hA janmataH eva
   man-manastayā san-manastā-dhāyini! hā kumāratām ārabhya	man-manaH-tayA sa-n-manaH-tA--DAyini! hA kumAra-tAm AraBya
   kāya-vāṅ-manaḥ-sukumāratā-parvaṇā sarva-harṣiṇi! hā	kAya-vAF-manaH--sukumAra-tA--parvaNA sarva-harziNi! hA
   mad-vinābhāva-bhāvanā-jvālā-jāla-samutkarṣita-tarṣini! hā	mad--vinA-aBAva--BAvanA--jvAlA--jAla--samutkarzita-tarzini! hA
   gaty-antara-rahitatayā kathañcit kiñcin māṃ saṅgamya ca muhur asaṅgamya	gati--antara--rahita-tayA kaTaQcid kiQcid mAm saFgamya ca muhur asaFgamya
   duḥkha-dagdhe! hā dayite! dayite mayi visrabdhe samprati	duHKa--dagDe! hA dayite! dayite mayi visrabDe samprati
   duṣṭhu-niṣṭhuratayā mayā	duzWu--nizWura-tayA mayA
   tyaktum iṣyamāṇā kathaṃ jīviṣyasi? hā sarva-sukhādhike! radhike! kutra	tyaktum izyamANA kaTam jIvizyasi? hA sarva--suKa-aDike! raDike! kutra
   vāmutra gamiṣyasi? iti |	vA-amutra gamizyasi? iti |
   [53] atha madhumaṅgalaḥ saṅgamya tad idam aramyaṃ nivedayāmāsa-	[53] aTa maDumaFgalaH saFgamya tat idam aramyam nivedayAmAsa-
   niracinvaṃste sarve	niracinvan=-te sarve
   rādhādīnāṃ nirodha-sātatyam |	rADa-AdInAm niroDa-sAtatyam |
   yasmād gṛha-pālyas tā	yasmAt gRha-pAlyaH tA
   hariṇīr etā nirundhate paritaḥ ||GC_2,1.48|| iti |	hariNIH etAH nirunDate paritas ||GC_2,1.48|| iti |
   [54] tad evaṃ paryag aparyavasya-didantayā cintayā labdhuṃ	[54] tat evam paryak aparyavasya--didantayA cintayA labDum
   cāmūra-sambhāvanayā bhāvanayā samayaṃ gamayitum asamarthaḥ skhalad-arthaḥ	cAmUra--samBAvanayA BAvanayA samayam gamayitum asamarTaH sKalat--arTaH
   sa-tṛṣṇaḥ sa tu kṛṣṇaḥ sa-vayobhiḥ samam eva ramamāṇas tri-yāmāṃ	sa-tRzNaH sa tu kRzNaH sa--vayoBiH samam eva ramamANaH tri-yAmAm
   viramayati smeti kṛtaṃ hṛn-marma-bhaṅga-kareṇātiprasaṅgena [55] tad etad	viramayati sma-iti kRtam hRn-marma--BaFga-kareNa-atiprasaFgena [55] tat etat-
   uktvā kathakaḥ samāpanam āha-	uktvA kaTakaH samApanam Aha-
   rādhe na yukta muktaṃ syān mukta-śātam athāpi vām |	rADe na yukta muktam syAt mukta-SAtam aTa-api vAm |
   mithaḥ prema-bharaṃ vyaktaṃ vaktum udyatavān aham ||GC_2,1.49||	miTas prema-Baram vyaktam vaktum udyatavAn aham ||GC_2,1.49||
   purā katheyaṃ kathitā murāre rāga-bṛṃhiṇī |	purA kaTA-iyam kaTitA murAre rAga--bRMhiNI |
   paśya so'yaṃ prāṇa-nāthaḥ prasādaṃ tava vāñchati ||GC_2,1.50||	paSya saH-ayam prANa-nATaH prasAdam tava vAQCati ||GC_2,1.50||
   [56] tad evaṃ yathā-kathā tathā līlā-prathām upalabhamānās tad-ante ca	[56] tat evam yaTA-kaTA taTA lIlA-praTAm upalaBamAnAH tad--ante ca
   tasyāḥ samprati nāstitāyāṃ viśvasti-kṛtāśvastikā nija-nija-bhavanaṃ sarva	tasyAH samprati na-astitAyAm viSvasti-kRta-ASvastikA nija--nija--Bavanam sarva
   eva sānandaṃ parvatayā jagmuḥ | śrī-rādhā-mādhavau ca nija-śayyā-gṛhaṃ	eva sa-Anandam parvatayA jagmuH | SrI-rADA--mADavO ca nija--SayyA--gRham
   sukhamayyā spṛhayā gṛhayāñcakrāte |	suKa-mayyA spRhayA gRhayAQcakrAte |
   iti śrī-śrīmaduttara-gopāla-campūmanu	iti SrI--SrImat-uttara--gopAla--campUmanu
   vrajānurāga-sāgara-prathanaṃ nāma	vrajAnurAga-sAgara-praTanam nAma
   prathamaṃ pūraṇam	praTamam pUraNam
   atha dvitīyaṃ pūraṇam	aTa dvitIyam pUraNam
   akrūra-krūratā-pūraṇam	akrUra--krUra-tA-pUraNam
   [1] athāparedyuḥ prabhāta-virājamānāyāṃ	[1] aTa-aparedyus praBAta--virAjamAnAyAm
   sa-vraja-yuvarāja-vraja-rāja-sabhāyāṃ kathā | yathā-	sa-vraja--yuvarAja--vraja--rAja--saBAyAm kaTA | yaTA-
   [2] madhukaṇṭha uvāca-atha keśi-vadhāt pūrvasyāṃ kṣapāyāṃ labdha-kṣayāyām	[2] maDu-kaNWaH uvAca-aTa keSi--vaDAt pUrvasyAm kzapAyAm labDa--kzayAyAm
   aruṇe cārune jāte sa khalu kamalekṣaṇaś capalekṣaṇatayā kṣaṇa-katipayam	aruNe ca-arune jAte sa Kalu kamala-IkzaNaH capala-IkzaNa-tayA kzaNa-kati-payam
   idaṃ cintayāmāsa-	idam cintayAmAsa-
   [3] aho! svapnaḥ so'yam, yatra mañcāt kṛta-sraṃsanaḥ kaṃsaḥ sa mayā	[3] aho! svapnaH saH-ayam, yatra maQcAt kRta-sraMsanaH kaMsaH sa mayA
   samākṛṣṭa iva	samAkRzwaH iva
   dṛṣṭaḥ | sampratyāśu ca tad eva pratyāsannam | yad adya śvaḥ keśī	dRzwaH | samprati-ASu ca tat eva pratyAsannam | yat adya Svas keSI
   mad-abhiniveśī bhavan yamasya prativeśī bhavitā | tad-anantaraṃ	mad--aBiniveSI Bavan yamasya prativeSI BavitA | tad--anantaram
   kaṃsa-dhvaṃsanam eva prasaktam | prasakte ca tasmin mama nigama eva	kaMsa--DvaMsanam eva prasaktam | prasakte ca tasmin mama nigamaH eva
   gamanaṃ samaya-labdhatayā yukti-visrabdham | yatas tasya mat-trastasya na	gamanam samaya-labDa-tayA yukti-visrabDam | yatas tasya mat-trastasya na
   khalv atra yātrā yukti-pātrāyate | tasya cādyāpi vṛṣṇiṣu tarjanāyām	Kalu atra yAtrA yukti-pAtrAyate | tasya ca-adya-api vRzNizu tarjanAyAm
   anāratasya mayi ca durjana-visarjanāyām avinā-kṛtasya vināśanaṃ	anAratasya mayi ca durjana--visarjanAyAm avinA-kRtasya vinASanam
   vinā tatra cātra ca mat-pitur ubhaya-kulaṃ bhayākulaṃ syād iti |	vinA tatra ca-atra ca mat-pituH uBaya--kulam Baya-Akulam syAt iti |
   [4] atha punaś cintayati sma-hanta! hanta! yadi kārya-paryāyatas tatra	[4] aTa punar cintayati sma-hanta! hanta! yadi kArya--paryAyataH tatra
   suvilambaḥ saṃvalate, tadā man-mātrādi-prāṇānāṃ nātrāṅga-saṅga-maṅgalaṃ	su-vilambaH saMvalate, tadA man--mAtra-Adi-prANAnAm na-atra-aFga--saFga--maFgalam
   tarkayāmi | tataś ca,	tarkayAmi | tatas ca,
   mātur netra-cakora-candra-vadanas tātasya dṛk-cātaka-	mAtuH netra--cakora-candra-vadanaH tAtasya dRk-cAtaka-
   śreṇī-vāri-bhṛd anya-gokula-janasyāpy akṣi-padmāṃśumān |	SreNI-vAri-BRt anya-go-kula--janasya-api akzi-padma-aMSumAn |
   so'haṃ tān parihṛtya hanta gamanaṃ kurvīya cet tarhy aho	saH-aham tAn parihRtya hanta gamanam kurvIya ced tarhi aho
   candrādi-trayavan mamāpi bhavitā dhig vāta-cakra-bhramaḥ ||GC_2,2.1||	candra-Adi-traya-vat mama-api BavitA Dik vAta--cakra--BramaH ||GC_2,2.1||
   [5] tad evam evam ambuja-locane śayyāyām eva ciraṃ racita-śocane sahasā	[5] tat evam evam ambuja--locane SayyAyAm eva ciram racita--Socane sahasA
   keśī sadeśī-babhūva | asya ca nirgranthanaṃ prathama-granthata eva kathayā	keSI sa-deSI--baBUva | asya ca nirgranTanam praTama--granTataH eva kaTayA
   granthanam āsasāda |	granTanam AsasAda |
   [6] atha śrī-gopeśvarī-lālyas tu lālyamāna-dhavalā-kalāpa-cchalāt	[6] aTa SrI-gopeSvarI--lAlyaH tu lAlyamAna--DavalA-kalA-pa--cCalAt-
