   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   vadhūrbhaktimatī caināmarcitāmā tapovanāt /	vaDUH-BaktimatI ca-enAm-arcitAmA tapaH-vanAt /
   prayātāṃ prātaranvetu sāyaṃ pratyudvrajedapi // Ragh(K)_1.89 //	prayAtAm prAtar-anvetu sAyam pratyudvrajet-api // RaG(K)_1.89 //
   ityā prasādādasyāstvaṃ paricaryāparo bhava /	ityA prasAdAt-asyAH-tvam paricaryA-paraH Bava /
   avighnamastu te stheyāḥ piteva dhuri putriṇām // Ragh(K)_1.90 //	aviGnam-astu te sTeyAH pitA-iva Duri putriNAm // RaG(K)_1.90 //
   tatheti pratijagrāha prītimānsaparigrahaḥ /	taTA-iti pratijagrAha prItimAn-sa-parigrahaH /
   ādeśaṃ deśakālajñaḥ śiṣyaḥ śāsiturānataḥ // Ragh(K)_1.91 //	AdeSam deSa-kAla-jQaH SizyaH SAsi-tuH-AnataH // RaG(K)_1.91 //
   atha pradoṣe doṣajñaḥ saṃveśāya viśāṃ patim /	aTa pradoze doza-jQaH saMveSAya viSAm patim /
   sūnuḥ sūnṛtavāksraṣṭurvisasarjorjitaśriyam // Ragh(K)_1.92 //	sUnuH sUnRta-vAc-srazwuH-visasarja-Urjita-Sriyam // RaG(K)_1.92 //
   satyāmapi tapaḥsiddhau niyamāpekṣayā muniḥ /	satyAm-api tapaH-sidDO niyama-apekzayA muniH /
   kalpavitkalpayāmāsa vanyāmevāsya saṃvidhām // Ragh(K)_1.93 //	kalpa-vid-kalpayAmAsa vanyAm-eva-asya saMviDAm // RaG(K)_1.93 //
   nirdiṣṭāṃ kulapatinā sa parṇaśālāmadhyāsya prayataparigrahadvitīyaḥ /	nirdizwAm kula-patinA sa parNa-SAlAm-aDyAsya prayata-parigraha-dvitIyaH /
   tacchiṣyādhyayananiveditāvasānāṃ saṃviṣṭaḥ kuśaśayane niśāṃ nināya //	tad-Sizya-aDyayana-nivedita-AvasAnAm saMvizwaH kuSa-Sayane niSAm ninAya //
   Ragh(K)_1.94 //	RaG(K)_1.94 //
   || iti raghuvaṃśe mahākāvye prathamaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye praTamaH sargaH ||
   atha prajānāmadhipaḥ prabhāte jāyāpratigrāhitagandhamālyām /	aTa prajAnAm-aDipaH praBAte jAyA-pratigrAhita-ganDa-mAlyAm /
   vanāya pītapratibaddhavatsāṃ yaśodhano dhenumṛṣermumoca // Ragh(K)_2.1 //	vanAya pIta-pratibadDa-vatsAm yaSaH-DanaH Denum-RzeH-mumoca // RaG(K)_2.1 //
   tasyāḥ khuranyāsapavitrapāṃsumapāṃsulānāṃ dhuri kīrtanīyā /	tasyAH Kura-nyAsa-pavitra-pAMsum-apAMsulAnAm Duri kIrtanIyA /
   mārgaṃ manuṣyeśvaradharmapatnī śruterivārthaṃ smṛtiranvagacchat //	mArgam manuzya-ISvara-Darma-patnI SruteH-iva-arTam smRtiH-anvagacCat //
   Ragh(K)_2.2 //	RaG(K)_2.2 //
   nivartya rājā dayitāṃ dayālustāṃ saurabheyīṃ surabhiryaśobhiḥ /	nivartya rAjA dayitAm dayAluH-tAm sOraBeyIm suraBiH-yaSoBiH /
   payodharībhūtacatuḥsamudrāṃ jugopa gorūpadharāmivorvīm // Ragh(K)_2.3 //	payoDarIBUta-catur-samudrAm jugopa go-rUpa-DarAm-iva-urvIm // RaG(K)_2.3 //
   vratāya tenānucareṇa dhenornyaṣedhi śeṣo 'pyanuyāyivargaḥ /	vratAya tena-anucareNa DenoH-nyazeDi SezaH api-anuyAyi-vargaH /
   na cānyatastasya śarīrarakṣā svavīryaguptā hi manoḥ prasūtiḥ //	na ca-anyatas-tasya SarIra-rakzA sva-vIrya-guptA hi manoH prasUtiH //
   Ragh(K)_2.4 //	RaG(K)_2.4 //
   āsvādavadbhiḥ kavalaistṛṇānāṃ kaṇḍūyanairdaṃśanivāraṇaiśca /	AsvAdavadBiH kavalEH-tRNAnAm kaNxUyanEH-daMSa-nivAraNEH-ca /
   avyāhatasvairagataiśca tasyāḥ samrāṭ samārādhanatatparo 'bhūt //	avyAhata-svEra-gatEH-ca tasyAH samrAj samArADana-tatparaH aBUt //
   Ragh(K)_2.5 //	RaG(K)_2.5 //
   sthitaḥ sthitāmuccalitaḥ prayātāṃ niṣeduṣīmāsanabandhadhīraḥ /	sTitaH sTitAm-uccalitaH prayAtAm nizeduzIm-Asana-banDa-DIraH /
   jalābhilāṣī jalamādadānāṃ chāyeva tāṃ bhūpatiranvagacchat // Ragh(K)_2.6	jala-aBilAzI jalam-AdadAnAm CAyA-iva tAm BUpatiH-anvagacCat // RaG(K)_2.6
   sa nyastacihnāmapi rājalakṣmīṃ tejoviśeṣānumitāṃ dadhānaḥ /	sa nyasta-cihnAm-api rAja-lakzmIm tejaH-viSeza-anumitAm daDAnaH /
   āsīdanāviṣkṛtadānarājirantarmadāvastha iva dvipendraḥ // Ragh(K)_2.7 //	AsIdanAvizkRta-dAna-rAjiH-antar-mada-avasTaH iva dvipa-indraH // RaG(K)_2.7 //
   latāpratānodgrathitaiḥ sa keśairadhijyadhanvā vicacāra dāvam /	latA-pratAna-udgraTitEH sa keSEH-aDijya-DanvA vicacAra dAvam /
   rakṣāpadeśādguruhomadhenorvanyānvineṣyanniva duṣṭasattvān // Ragh(K)_2.8	rakzA-apadeSAt-guru-homa-Dena-UrvanyAn-vinezyan=-iva duzwa-sattvAn // RaG(K)_2.8
   visṛṣṭapārśvānucarasya tasya pārśvadrumāḥ pāśabhṛtā samasya /	visRzwa-pArSva-anucarasya tasya pArSva-drumAH pASaBRtA samasya /
   udīrayāmāsurivonmadānāmālokaśabdaṃ vayasāṃ virāvaiḥ // Ragh(K)_2.9 //	udIrayAmAsuH-iva-unmadAnAm-Aloka-Sabdam vayasAm virAvEH // RaG(K)_2.9 //
   marutprayuktāśca marutsakhābhaṃ tamarcyamārādabhivartamānam /	marut-prayuktAH-ca marut-saKa-ABam tam-arcyamArAt-aBivartamAnam /
   avākiranbālalatāḥ prasūnairācāralājairiva paurakanyāḥ // Ragh(K)_2.10 //	avAkiran-bAla-latAH prasUnEH-AcAra-lAjEH-iva pOra-kanyAH // RaG(K)_2.10 //
   dhanurbhṛto 'pyasya dayārdrabhāvamākhyātamantaḥkaraṇairviśaṅkaiḥ /	DanurBRtaH api-asya dayA-Ardra-BAvam-AKyAtam-antaHkaraNEH-viSaFkEH /
   vilokayantyo vapurāpurakṣṇāṃ prakāmavistāraphalaṃ hariṇyaḥ // Ragh(K)_2.11	vilokayantyaH vapuH-ApurakzNAm prakAma-vistAra-Palam hariNyaH // RaG(K)_2.11
   sa kīcakairmārutapūrṇarandhraiḥ kūjadbhirāpāditavaṃśakṛtyam /	sa kIcakEH-mAruta-pUrNa-ranDrEH kUjadBiH-ApAdita-vaMSa-kRtyam /
   śuśrāva kuñjeṣu yaśaḥ svamuccairudgīyamānaṃ vanadevatābhiḥ // Ragh(K)_2.12	SuSrAva kuQjezu yaSaH svam-uccEs-udgIyamAnam vana-devatABiH // RaG(K)_2.12
   pṛktastuṣārairvananirjharāṇāmanokahākampanapuṣpagandhī /	pRktaH-tuzArEH-vana-nirJarANAm-anokahA-kampana-puzpa-ganDI /
   tamātapaklāntamanātapatramācārapūtaṃ pavanaḥ siṣeve // Ragh(K)_2.13 //	tamAtapa-klAntam-anAtapatram-AcAra-pUtam pavanaH sizeve // RaG(K)_2.13 //
   śaśāma vṛṣṭyāpi vinā davāgnirāsīdviśeṣātphalapuṣpavṛddhiḥ /	SaSAma vRzwyA-api vinA dava-agniH-AsIt-viSezAt-Pala-puzpa-vRdDiH /
   ūnaṃ na sattveṣvadhiko babādhe tasminvanaṃ goptari gāhamāne //	Unam na sattvezu-aDikaH babADe tasmin-vanam goptari gAhamAne //
   Ragh(K)_2.14 //	RaG(K)_2.14 //
   sañcārapūtāni digantarāṇi kṛtvā dinānte nilayāya gantum /	saQcAra-pUtAni digantarANi kRtvA dina-ante nilayAya gantum /
   pracakrame pallavarāgatāmrā prabhā pataṅgasya muneśca dhenuḥ //	pracakrame pallava-rAga-tAmrA praBA pataFgasya muneH-ca DenuH //
   Ragh(K)_2.15 //	RaG(K)_2.15 //
   tāṃ devatāpitratithikriyārthamanvagyayau madhyamalokapālaḥ /	tAm devatA-pitR-atiTi-kriyA-arTam-anvagyayO maDyama-lokapAlaH /
   babhūva sā tena satāṃ matena śraddheva sākṣādvidhinopapannā //	baBUva sA tena satAm matena SradDA-iva sAkzAt-viDinA-upapannAH //
   Ragh(K)_2.16 //	RaG(K)_2.16 //
   sa palvalottīrṇavarāhayūthānyāvāsavṛkṣonmukhabarhiṇāni /	sa palvala-uttIrNa-varAha-yUTAni-AvAsa-vRkza-unmuKa-barhiNAni /
   yayau mṛgādhyāsitaśādvalāni śyāmāyamānāni vanāni paśyan // Ragh(K)_2.17 //	yayO mRgADyAsita-SAdvalAni SyAmAyamAnAni vanAni paSyan // RaG(K)_2.17 //
   āpīnabhārodvahanaprayatnādgṛṣṭirgurutvāduraso narendraḥ /	ApIna-BAra-udvahana-prayatnAt-gRzwiH-guru-tvAt-urasaH narendraH /
   ubhāvalañcakraturañcitābhyāṃ tapovanāvṛttipathaṃ gatābhyām // Ragh(K)_2.18	uBAvalaQcakratu-raQcitAByAm tapaH-vanAvRtti-paTam gatAByAm // RaG(K)_2.18
   vasiṣṭhadhenoranuyāyinaṃ tamāvartamānaṃ vanitā vanāntāt /	vasizWa-DenoH-anuyAyinam tam-AvartamAnam vanitA vanAntAt /
   papau nimeṣālasapakṣmapaṅktirupoṣitābhyāmiva locanābhyām // Ragh(K)_2.19	papO nimeza-alasa-pakzma-paFktiH-upozitAByAm-iva locanAByAm // RaG(K)_2.19
   puraskṛtā vartmani pārthivena pratyudgatā pārthivadharmapatnyā /	puraskRtA vartmani pArTivena pratyudgatA pArTiva-Darma-patnyA /
   tadantare sā virarāja dhenurdinakṣapāmadhyagateva sandhyā // Ragh(K)_2.20	tad-antare sA virarAja DenuH-dina-kzapA-maDya-gatA-iva sanDyA // RaG(K)_2.20
   pradakṣiṇīkṛtya payasvinīṃ tāṃ sudakṣiṇā sākṣatapātrahastā /	pradakziNIkRtya payasvinIm tAm su-dakziNA sa-akzata-pAtra-hastA /
   praṇamya cānarca viśālamasyāḥ śṛṅgāntaraṃ dvāramivātmasiddheḥ //	praNamya ca-anarca viSAlam-asyAH SRFga-antaram dvAram-iva-Atma-sidDeH //
   Ragh(K)_2.21 //	RaG(K)_2.21 //
   vatsotsukāpi stimitā saparyāṃ pratyagrahītseti nanandatustau /	vatsa-utsukA-api stimitA saparyAm pratyagrahIt-sA-iti nanandatuH-tO /
   bhaktyopapanneṣu hi tadvidhānāṃ prasādacihnāni puraḥphalāni //	BaktyA-upapannezu hi tadviDAnAm prasAda-cihnAni puras-PalAni //
   Ragh(K)_2.22 //	RaG(K)_2.22 //
   guroḥ sadārasya nipīḍya pādau samāpya sāndhyaṃ ca vidhiṃ dilīpaḥ /	guroH sa-dArasya nipIxya pAdO samApya sAnDyam ca viDim dilIpaH /
   dohāvasāne punareva dogdhrīṃ bheje bhujotsannaripurniṣaṇṇām //	doha-avasAne punar-eva dogDrIm Beje Buja-utsanna-ripuH-nizaNNAm //
   Ragh(K)_2.23 //	RaG(K)_2.23 //
   tāmantikanyastabalipradīpāmanvāsya goptā gṛhiṇīsahāyaḥ /	tAm-antika-nyasta-bali-pradIpAm-anvAsya goptA gRhiNI-sahAyaH /
   krameṇa suptāmanu saṃviveśa suptotthitāṃ prātaranūdatiṣṭhat //	krameNa suptAm-anu saMviveSa supta-utTitAm prAtar-anUdatizWat //
   Ragh(K)_2.24 //	RaG(K)_2.24 //
   itthaṃ vrataṃ pālayataḥ prajārthaṃ samaṃ mahiṣyā mahanīyakīrteḥ /	itTam vratam pAlayataH prajA-arTam samam mahizyAH mahanIya-kIrteH /
   sapta vyatīyustriguṇāni tasya dinānyamitroddharaṇocitasya // Ragh(K)_2.25	sapta vyatIyuH-triguNAni tasya dinAni-amitra-udDaraNa-ucitasya // RaG(K)_2.25
   anyedyurātmānucarasya bhāvaṃ jijñāsamānā munihomadhenuḥ /	anyedyus-Atma-anucarasya BAvam jijQAsamAnAH muni-homaDenuH /
   gaṅgāprapātāntavirūḍhaśaṣpaṃ gaurīgurorgahvaramāviveśa // Ragh(K)_2.26 //	gaFgA-prapAta-anta-virUXa-Sazpam gOrI-guroH-gahvaram-AviveSa // RaG(K)_2.26 //
   sā duṣpradharṣā manasāpi hiṃsrairityadriśobhāprahitekṣaṇena /	sA duzpraDarzA manasA-api hiMsrEH-iti-adri-SoBA-prahita-IkzaNena /
   alakṣitābhyutpatano nṛpeṇa prasahya siṃhaḥ kila tāṃ cakarṣa //	alakzita-aByutpatanaH nRpeNa prasahya siMhaH kila tAm cakarza //
   Ragh(K)_2.27 //	RaG(K)_2.27 //
   tadīyamākranditamārtasādhorguhānibaddhapratiśabdadīrgham /	tadIyam-Akranditam-Arta-sADoH-guhA-nibadDa-pratiSabda-dIrGam /
   raśmiṣvivādāya nagendradattāṃ nivartayāmāsa nṛpasya dṛṣṭim // Ragh(K)_2.28	raSmizu-iva-AdAya naga-indra-dattAm nivartayAmAsa nRpasya dRzwim // RaG(K)_2.28
   sa pāṭalāyāṃ gavi tasthivāṃsaṃ dhanurdharaḥ kesariṇaṃ dadarśa /	sa pAwalAyAm gavi tasTivAMsam DanurDaraH kesariNam dadarSa /
   adhityakāyāmiva dhātumayyāṃ rodhradrumaṃ sānumataḥ praphultam //	aDityakAyAm-iva DAtu-mayyAm roDra-drumam sa-anumataH praPultam //
   Ragh(K)_2.29 //	RaG(K)_2.29 //
   tato mṛgendrasya mṛgendragāmī vadhāya vadhyasya śaraṃ śaraṇyaḥ /	tatas mRgendrasya mRgendra-gAmI vaDAya vaDyasya Saram SaraNyaH /
   jātābhiṣaṅgo nṛpatirniṣaṅgāduddhartumaicchatprasabhoddhṛtāriḥ //	jAta-aBizaFgaH nRpatiH-nizaFgAt-udDartum-EcCat-prasaBa-udDRtAriH //
   Ragh(K)_2.30 //	RaG(K)_2.30 //
   vāmetarastasya karaḥ praharturnakhaprabhārūṣitakaṅkapattre /	vAmetaraH-tasya karaH prahartuH-naKa-praBA-rUzita-kaFka-pattre /
   saktāṅguliḥ sāyakapuṅkha eva citrārpitārambha ivāvatasthe // Ragh(K)_2.31	sakta-aFguliH sAyaka-puFKaH eva citra-arpita-AramBaH iva-avatasTe // RaG(K)_2.31
   bāhupratistambhavivṛddhamanyurabhyarṇamāgaskṛtamaspṛśadbhiḥ /	bAhu-pratistamBa-vivRdDa-manyuH-aByarNam-AgaskRtam-aspRSadBiH /
   rājā svatejobhiradahyatāntarbhogīva mantrapratibaddhavīryaḥ //	rAjA sva-tejoBiH-adahyata-antar-BogI-iva mantra-pratibadDa-vIryaH //
   Ragh(K)_2.32 //	RaG(K)_2.32 //
   tamāryagṛhyaṃ nigṛhītadhenurmanuṣyavācā manuvaṃśaketum /	tam-Arya-gRhyam nigRhIta-DenuH-manuzya-vAcAH manu-vaMSa-ketum /
   vismāpayanvismayamātmasiddhau bhūpālasiṃhaṃ nijagāda siṃhaḥ //	vismApayan-vismayam-Atma-sidDO BUpAla-siMham nijagAda siMhaH //
   Ragh(K)_2.33 //	RaG(K)_2.33 //
   alaṃ mahīpāla tava śrameṇa prayuktamapyastramito vṛthā syāt /	alam mahIpAla tava SrameNa prayuktam-api-astra-mitaH vRTA syAt /
   na pādaponmūlanaśakti raṃhaḥ śiloccaye mūrchati mārutasya // Ragh(K)_2.34	na pAdapa-unmUlana-Sakti raMhaH Siloccaye mUrCati mArutasya // RaG(K)_2.34
   kailāsagauraṃ vṛṣamārurukṣoḥ pādārpaṇānugrahapūtapṛṣṭham /	kElAsa-gOram vRzamArurukzoH pAda-arpaNa-anugraha-pUta-pRzWam /
   avaihi māṃ kiṅkaramaṣṭamūrteḥ kumbhodaraṃ nāma nikumbhamitram //	avEhi mAm kiFkaram-azwamUrteH kumBodaram nAma nikumBa-mitram //
   Ragh(K)_2.35 //	RaG(K)_2.35 //
   amuṃ puraḥ paśyasi devadāruṃ putrīkṛto 'yaṃ vṛṣabhadhvajena /	amum puras paSyasi devadArum putrIkRtaH ayam vRzaBaDvajena /
   yo hemakumbhastananiḥsṛtānāṃ skandasya mātuḥ payasāṃ rasajñaḥ //	yaH hema-kumBa-stana-niHsRtAnAm skandasya mAtuH payasAm rasa-jQaH //
   Ragh(K)_2.36 //	RaG(K)_2.36 //
   kaṇḍūyamānena kaṭaṃ kadācidvanyadvipenonmathitā tvagasya /	kaNxUyamAnena kawam kadAcid-vanya-dvipena-unmaTitA tvac-asya /
   athainamadrestanayā śuśoca senānyamālīḍhamivāsurāstraiḥ // Ragh(K)_2.37 //	aTa-enam-adreH-tanayA SuSoca senA-anyam-AlIXam-iva-asura-astrEH // RaG(K)_2.37 //
   tadā prabhṛtyeva mataṅgajānāṃ trāsārthamasminnahamadrikukṣau /	tadA praBRti-eva mataFga-jAnAm trAsa-arTam-asmin=-aham-adri-kukzO /
   vyāpāritaḥ śūlabhṛtā vidhāya siṃhatvamaṅkāgatasattvavṛtti // Ragh(K)_2.38	vyApAritaH SUlaBRtA viDAya siMha-tvam-aFka-Agata-sattva-vRtti // RaG(K)_2.38
   tasyālameṣā kṣudhitasya tṛptyai pradiṣṭakālā parameśvareṇa /	tasya-alam-ezA kzuDitasya tRptyE pradizwa-kAlA parameSvareNa /
   upasthitā śoṇitapāraṇā me suradviṣaścāndramasī sudheva // Ragh(K)_2.39 //	upasTitA SoNita-pAraNA me suradvizaH-cAndramasI suDA-iva // RaG(K)_2.39 //
   sa tvaṃ nivartasva vihāya lajjāṃ gurorbhavāndarśitaśiṣyabhaktiḥ /	sa tvam nivartasva vihAya lajjAm guroH-BavAn-darSita-Sizya-BaktiH /
   śastreṇa rakṣyaṃ yadaśakyarakṣaṃ na tadyaśaḥ śastrabhṛtāṃ kṣiṇoti //	SastreNa rakzyam yat-aSakya-rakzam na tad-yaSaH SastraBRtAm kziNoti //
   Ragh(K)_2.40 //	RaG(K)_2.40 //
   iti pragalbhaṃ puruṣādhirājo mṛgādhirājasya vaco niśamya /	iti pragalBam puruza-aDirAjaH mRga-aDirAjasya vacaH niSamya /
   pratyāhatāstro giriśaprabhāvādātmanyavajñāṃ śithilīcakāra // Ragh(K)_2.41	pratyAhata-astraH giriSa-praBAvAt-Atmani-avajQAm SiTilIcakAra // RaG(K)_2.41
   pratyabravīccainamiṣuprayoge tatpūrvasaṅge vitathaprayatnaḥ /	pratyabravIt-ca-enam-izu-prayoge tad-pUrva-saFge vitaTa-prayatnaH /
   jaḍīkṛtastryambakavīkṣitena vajraṃ mumukṣanniva vajrapāṇiḥ // Ragh(K)_2.42	jaxIkRtaH-tryambaka-vIkzitena vajram mumukzan=-iva vajrapANiH // RaG(K)_2.42
   saṃruddhaceṣṭasya mṛgendra kāmaṃ hāsyaṃ vacastadyadahaṃ vivakṣuḥ /	saMrudDa-cezwasya mRgendra kAmam hAsyam vacaH-tat-yat-aham vivakzuH /
   antargataṃ prāṇabhṛtāṃ tu veda sarvaṃ bhavānbhāvamato 'bhidhāsye //	antargatam prANaBRtAm tu veda sarvam BavAn-BAvam-atas aBiDAsye //
   Ragh(K)_2.43 //	RaG(K)_2.43 //
   mānyaḥ sa me sthāvarajaṅgamānāṃ sargasthitipratyavahārahetuḥ /	mAnyaH sa me sTAvara-jaFgamAnAm sarga-sTiti-pratyavahAra-hetuH /
   gurorapīdaṃ dhanamāhitāgnernaśyatpurastādanupekṣaṇīyam // Ragh(K)_2.44 //	guroH-api-idam Danam-AhitAgneH-naSyat-purastAt-anupekzaNIyam // RaG(K)_2.44 //
   sa tvaṃ madīyena śarīravṛttiṃ dehena nirvartayituṃ prasīda /	sa tvam madIyena SarIra-vRttim dehena nirvartayitum prasIda /
   dināvasānotsukabālavatsā vimucyatāṃ dhenuriyaṃ maharṣeḥ // Ragh(K)_2.45 //	dina-avasAna-utsuka-bAla-vatsA vimucyatAm DenuH-iyam mahA-RzeH // RaG(K)_2.45 //
   athāndhakāraṃ girikandarāṇāṃ daṃṣṭrāmayūkhaiḥ śakalāni kurvan /	aTa-anDakAram giri-kandarANAm daMzwrA-mayUKEH SakalAni kurvan /
   bhūyaḥ sa bhūteśvarapārśvavartī kiñcidvihasyārthapatiṃ babhāṣe //	BUyas sa BUteSvara-pArSva-vartI kiQcid-vihasya-arTapatim baBAze //
   Ragh(K)_2.46 //	RaG(K)_2.46 //
   ekātapatraṃ jagataḥ prabhutvaṃ navaṃ vayaḥ kāntamidaṃ vapuśca /	eka-Atapatram jagataH praBu-tvam navam vayaH kAntam-idam vapuH-ca /
   alpasya hetorbahu hātumicchan vicāramugdhaḥ pratibhāsi me tvam //	alpasya hetoH-bahu hAtum-icCan vicAra-mugDaH pratiBAsi me tvam //
   Ragh(K)_2.47 //	RaG(K)_2.47 //
   bhūtānukampā tava cediyaṃ gaurekā bhavetsvastimatī tvadante /	BUta-anukampA tava ced-iyam gOH-ekA Bavet-svastimatI tvad-ante /
   jīvanpunaḥ śaśvadupaplavebhyaḥ prajāḥ prajānātha piteva pāsi //	jIvan-punar SaSvat-upaplaveByaH prajAH prajAnATa pitA-iva pAsi //
   Ragh(K)_2.48 //	RaG(K)_2.48 //
   athaikadhenoraparādhadaṇḍādguroḥ kṛṣāṇupratimādbibheṣi /	aTa-eka-DenoH-aparADa-daNxAt-guroH kRzANu-pratimAt-biBezi /
   śakyo 'sya manyurbhavatā vinetuṃ gāḥ koṭiśaḥ sparśayatā ghaṭodhnīḥ //	SakyaH asya manyuH-BavatA vinetum gAH kowiSas sparSayatA GawoDnIH //
   Ragh(K)_2.49 //	RaG(K)_2.49 //
   tadrakṣa kalyāṇaparamparāṇāṃ bhoktāramūrjasvalamātmadeham /	tat-rakza kalyANa-paramparANAm BoktAram-Urjasu-alam-Atma-deham /
   mahītalasparśanamātrabhinnamṛddhaṃ hi rājyaṃ padamaindramāhuḥ //	mahI-tala-sparSana-mAtra-Binnam-RdDam hi rAjyam padam-Endram-AhuH //
   Ragh(K)_2.50 //	RaG(K)_2.50 //
   etāvaduktvā virate mṛgendre pratisvanenāsya guhāgatena /	etAvat-uktvA virate mRgendre pratisvanena-asya guhA-gatena /
   śiloccayo 'pi kṣitipālamuccaiḥ prītyā tamevārthamabhāṣateva //	SiloccayaH api kzitipAlam-uccEs prItyA tam-eva-arTam-aBAzatA-iva //
   Ragh(K)_2.51 //	RaG(K)_2.51 //
   tathā samarthāṃ giramūcivāṃsaṃ pratyāha devānucaraṃ dilīpaḥ /	taTA samarTAm giram-UcivAMsam pratyAha deva-anucaram dilIpaH /
   dhenvā tadadhyāsanakātarākṣyā nirīkṣyamāṇaḥ sutarāṃ dayāluḥ //	DenvA tad-aDyAsana-kAtara-akzyAH nirIkzyamANaH sutarAm dayAluH //
   Ragh(K)_2.52 //	RaG(K)_2.52 //
   kṣatātkila trāyata ityudagraḥ kṣattrasya śabdo bhuvaneṣu rūḍhaḥ /	kzatAt-kila trAyate iti-udagraH kzattrasya SabdaH Buvanezu rUXaH /
   rājyena kiṃ tadviparītavṛtteḥ prāṇairupākrośamalīmasairvā // Ragh(K)_2.53	rAjyena kim tad-viparIta-vRtteH prANEH-upAkroSa-malImasEH-vA // RaG(K)_2.53
   kathaṃ ca śakyo 'nunayo maharṣerviśrāṇanādanyapayasvinīnām /	kaTam ca SakyaH anunayaH mahA-RzeH-viSrANa-nAdanya-payasvinInAm /
   imāmanūnāṃ surabheravaihi rudraujasā tu prahṛtaṃ tvayāsyām // Ragh(K)_2.54	imAm-anUnAm suraBeH-a-vEhi rudra-ojasA tu prahRtam tvayA-asyAm // RaG(K)_2.54
   seyaṃ svadehārpaṇaniṣkrayeṇa nyāyyaṃ mayā mocayituṃ bhavattaḥ /	sA-iyam sva-deha-arpaNa-nizkrayeNa nyAyyam mayA mocayitum BavattaH /
   na pāraṇā syādvihatā tavaivaṃ bhavedaluptaśca muneḥ kriyārthaḥ //	na pAraNA syAt-vihatA tava-evam Bavet-aluptaH-ca muneH kriyA-arTaH //
   Ragh(K)_2.55 //	RaG(K)_2.55 //
   bhavānapīdaṃ paravānavaiti mahānhi yatnastava devadārau /	BavAn-api-idam paravAn-avEti mahAn-hi yatnaH-tava devadArO /
   sthātuṃ niyokturyadi śakyamagre vināśya rakṣyaṃ svayamakṣatena //	sTAtum niyoktuH-yadi Sakyam-agre vinASya rakzyam svayam-akzatena //
   Ragh(K)_2.56 //	RaG(K)_2.56 //
   kimapyahiṃsyastava cenmato 'haṃ yaśaḥśarīre bhava me dayāluḥ /	kim-api-ahiMsyaH-tava ced-mataH aham yaSaH-SarIre Bava me dayAluH /
   ekāntavidhvaṃsiṣu madvidhānāṃ piṇḍeṣvanāsthā khalu bhautikeṣu //	ekAnta-viDvaMsizu madviDAnAm piNxezu-anAsTA Kalu BOtikezu //
   Ragh(K)_2.57 //	RaG(K)_2.57 //
   sambandhamābhāṣaṇapūrvamāhurjātaḥ sa nau saṅgatayorvanānte /	sambanDam-ABAzaNa-pUrvam-AhuH-jAtaH sa nO saFgatayoH-vanAnte /
   tadbhūtanāthānuga nārhasi tvaṃ sambandhino me praṇayaṃ vihantum //	tad-BUta-nATa-anuga na-arhasi tvam sambanDinaH me praNayam vihantum //
   Ragh(K)_2.58 //	RaG(K)_2.58 //
   tatheti gāmuktavate dilīpaḥ sadyaḥ pratistambhavimuktabāhuḥ /	taTA-iti gAmuktavate dilIpaH sadyas pratistamBa-vimukta-bAhuH /
   sa nyastaśastraṃ haraye svadehamupānayatpiṇḍamivāmiṣasya // Ragh(K)_2.59	sa nyasta-Sastram haraye sva-deham-upAnayat-piNxam-iva-Amizasya // RaG(K)_2.59
   tasminkṣaṇe pālayituḥ prajānāmutpaśyataḥ siṃhanipātamugram /	tasmin-kzaNe pAlayituH prajAnAm-utpaSyataH siMha-nipAtam-ugram /
   avāṅmukhasyopari puṣpavṛṣṭiḥ papāta vidyādharahastamuktā // Ragh(K)_2.60	avAFmuKasya-upari puzpa-vRzwiH papAta vidyADara-hasta-muktAH // RaG(K)_2.60
   uttiṣṭha vatsetyamṛtāyamānaṃ vaco niśamyotthitamutthitaḥ san /	uttizWa vatsa-iti-amRtAyamAnam vacaH niSamya-utTitam-utTitaH san /
   dadarśa rājā jananīmiva svāṃ gāmagrataḥ prasraviṇīṃ na siṃham //	dadarSa rAjA jananIm-iva svAm gAm-agratas prasraviNIm na siMham //
   Ragh(K)_2.61 //	RaG(K)_2.61 //
   taṃ vismitaṃ dhenuruvāca sādho māyāṃ mayodbhāvya parīkṣito 'si /	tam vismitam DenuH-uvAca sADo mAyAm mayA-udBAvya parIkzitaH asi /
   ṛṣiprabhāvānmayi nāntako 'pi prabhuḥ prahartuṃ kimutānyahiṃsrāḥ //	Rzi-praBAvAt-mayi na-antakaH api praBuH prahartum kim-utAnya-hiMsrAH //
   Ragh(K)_2.62 //	RaG(K)_2.62 //
   bhaktyā gurau mayyanukampayā ca prītāsmi te putra varaṃ vṛṇīṣva /	BaktyA gurO mayi-anukampayA ca prItA-asmi te putra varam vRNIzva /
   na kevalānāṃ payasāṃ prasūtimavaihi māṃ kāmadughāṃ prasannām //	na kevalAnAm payasAm prasUtim-avEhi mAm kAmaduGAm prasannAm //
   Ragh(K)_2.63 //	RaG(K)_2.63 //
   tataḥ samānīya sa mānitārthī hastau svahastārjitavīraśabdaḥ /	tatas samAnIya sa mAnita-arTI hastO sva-hasta-arjita-vIra-SabdaH /
