   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   yadi bhāgena kāryeṣu jīvaśaktiṃ na yojayet /	yadi BAgena kAryezu jIva-Saktim na yojayet /
   haristadā hi sarvatra kṛtsnayatnoṃ'śitāpi vā // MAnuv_2,1.95 //	hariH-tadA hi sarvatra kRtsnayatnoM-aSitA-api vA // Ma-anuv_2,1.95 //
   aṃśino hi paṭādyā ye bhinnaireva parasparam /	aMSinaH hi pawa-AdyAH ye BinnEH-eva parasparam /
   aṃśairaṃśina ucyante naivameva hi cetanāḥ // MAnuv_2,1.96 //	aMSEH-aMSinaH ucyante na-evam-eva hi cetanAH // Ma-anuv_2,1.96 //
   ato 'naṃśina ityeva śrutireteṣu vartate /	atas anaMSinaH iti-eva SrutiH-etezu vartate /
   apyanekasvarūpeṣu viśeṣādeva kevalam // MAnuv_2,1.97 //	api-aneka-svarUpezu viSezAt-eva kevalam // Ma-anuv_2,1.97 //
   bahusvarūpatākhyā tu teṣvastyeva hi sāṃśatā /	bahu-svarUpa-tA-AKyA tu tezu-asti-eva hi sa-aMSatA /
   bahutvenāvinābhāvād bhinnatā niyamād bhavet // MAnuv_2,1.98 //	bahu-tvena-AvinABAvAt Binna-tA niyamAt Bavet // Ma-anuv_2,1.98 //
   yadi naivaṃ niyamakṛd bhagavān puruṣottamaḥ /	yadi na-evam niyama-kRt BagavAn puruzottamaH /
   tasya tvaśeṣaśaktitvād yujyate savarmeva ca // MAnuv_2,1.99 //	tasya tu-aSeza-Sakti-tvAt yujyate sa-varmA-iva ca // Ma-anuv_2,1.99 //
   virodhaḥ sarvavaiśiṣṭaye yo dvitīye nirasyate /	viroDaH sarva-vESizwaye yaH dvitIye nirasyate /
   nārāyaṇasya tvadhyāye tadanye tatratatragāḥ // MAnuv_2,1.100 //	nArAyaNasya tu-aDyAye tad-anye tatra-tatra-gAH // Ma-anuv_2,1.100 //
   sṛṣṭisaṃhāravākyānāṃ jīvarūpābhidhāyinām /	sRzwi-saMhAra-vAkyAnAm jIva-rUpa-aBiDAyinAm /
   apyanyonyāvirodhastu dvitīyādhyāyagocaraḥ // MAnuv_2,1.101 //	api-anyonya-aviroDaH-tu dvitIya-aDyAya-gocaraH // Ma-anuv_2,1.101 //
   mānameyaviśeṣeṇa punaruktirna jāyate /	mAna-meya-viSezeNa punar-uktiH-na jAyate /
   sadā pravṛttirīśasya svabhāvādeva kevalam // MAnuv_2,1.102 //	sadA pravRttiH-ISasya svaBAvAt-eva kevalam // Ma-anuv_2,1.102 //
   aṅgaceṣyā yathā puṃsaḥ kāściduddeśavarjitāḥ /	aFga-cezyAH yaTA puMsaH kAScid-uddeSa-varjitAH /
   devasyaiṣa svabhāvo 'yamityāha śrutirañjasā // MAnuv_2,1.103 //	devasya-eza svaBAvaH ayam-iti-Aha Sruti-raQjasA // Ma-anuv_2,1.103 //
   krīḍāṃ prayojanaṃ kṛtvā sṛṣṭiḥ śrutivirodhinī /	krIxAm prayojanam kRtvA sRzwiH Sruti-viroDinI /
   iti kevalalīlaiva nirṇītā prabhuṇā svayam // MAnuv_2,1.104 //	iti kevala-lIlA-eva nirNItA praBuNA svayam // Ma-anuv_2,1.104 //
   ātmaprayojanārthāya spṛhāṃ śrutiravārayat /	Atma-prayojana-arTAya spRhAm SrutiH-avArayat /
   na prayojanavattvenetyata āha jagadguruḥ // MAnuv_2,1.105 //	na prayojanavat-tvena-iti-atas Aha jagadguruH // Ma-anuv_2,1.105 //
   icchāmātraṃ prabhoḥ sṛṣṭiriti sṛṣṭau viniścitāḥ /	icCA-mAtram praBoH sRzwiH-iti sRzwO viniScitAH /
   iti praśaṃsayā kāmaśrutibhyaścaiva yuktitaḥ /	iti praSaMsayA kAmaSrutiByaH-ca-eva yuktitaH /
   mahātātparyayukteśca necchāmātraṃ niṣiddhayate // MAnuv_2,1.106 //	mahAtAtparya-yukteH-ca na-icCA-mAtram nizidDayate // Ma-anuv_2,1.106 //
   mokṣārthāḥ śrutayo yasmāt sa ca tasya prasādataḥ /	mokza-arTAH SrutayaH yasmAt sa ca tasya prasAdataH /
   unninīṣativākyācca lokadṛṣṭānusārataḥ // MAnuv_2,1.107 //	unninIzati-vAkyAt-ca loka-dRzwa-anusArataH // Ma-anuv_2,1.107 //
   icchāṃnimittako yasmāt tadabhāve kutaḥ śrutiḥ /	icCAMnimittakaH yasmAt tad-aBAve kutas SrutiH /
   mahātātparyarahitā pramāṇatvaṃ gamiṣyati // MAnuv_2,1.108 //	mahAtAtparya-rahitA pramANa-tvam gamizyati // Ma-anuv_2,1.108 //
   yāthārthyameva mānatvamapi vākyaṃ prayojakam /	yATArTyam-eva mAna-tvam-api vAkyam prayojakam /
   mānatvameti tatrāpi yat sampūrṇaprayojanam // MAnuv_2,1.109 //	mAna-tvam-eti tatra-api yat sampUrNa-prayojanam // Ma-anuv_2,1.109 //
   vaiṣamyaṃ caiva nairghṛṇyaṃ vedāprāmāṇyakāraṇam /	vEzamyam ca-eva nErGRNyam veda-aprAmANya-kAraNam /
   nāṅgīkāryamato 'nyattu na vaiṣamyādināmakam // MAnuv_2,1.110 //	na-aFgIkAryam-atas anyat-tu na vEzamya-Adi-nAmakam // Ma-anuv_2,1.110 //
   yadadhīnā guṇāścaiva doṣā api hi sarvaśaḥ /	yad-aDInAH guNAH-ca-eva dozAH api hi sarvaSas /
   guṇāstasya kathaṃ na syuḥ syurdeṣāśca kathaṃ punaḥ // MAnuv_2,1.111 //	guNAH-tasya kaTam na syuH syuH-dezAH-ca kaTam punar // Ma-anuv_2,1.111 //
   sarvadharmāpapattestad vākyairapi hi tādṛśaiḥ /	sarva-Darma-ApapatteH-tat vAkyEH-api hi tAdRSEH /
   nirdoṣāśeṣaguṇako nirṇīto bhagavān hariḥ // MAnuv_2,1.112 //	nirdoza-aSeza-guNakaH nirNItaH BagavAn hariH // Ma-anuv_2,1.112 //
   || iti śrīmadānandatīrthabhagavatpādācāryaviracite	|| iti SrImat-Ananda-tIrTa-Bagavat-pAda-AcArya-viracite
   śrībrahmasūtrānuvyākhyāne dvitīyādhyāyasya prathamaḥ pādaḥ ||	SrI-brahmasUtra-anuvyAKyAne dvitIya-aDyAyasya praTamaH pAdaH ||
   smṛtiyuktiśrutiguṇayuktayo bahuyuktayaḥ /	smRti-yukti-Sruti-guNa-yuktayaH bahu-yuktayaH /
   evaṃ caturvidhā naiva viruddhayante 'nvayaṃ prati // MAnuv_2,2.1 //	evam caturviDAH na-eva virudDayante anvayam prati // Ma-anuv_2,2.1 //
   iti prathamapādena nirṇīte 'pyabhiyogataḥ /	iti praTama-pAdena nirNIte api-aBiyogataH /
   darśanānāṃ pravṛttatvānmanda āśaṅkate punaḥ // MAnuv_2,2.2 //	darSanAnAm pravRtta-tvAt-mandaH ASaFkate punar // Ma-anuv_2,2.2 //
   anādikālato vṛttāḥ samayā hi pravāhataḥ /	anAdi-kAlataH vRttAH samayA hi pravAhataH /
   nacocchedo 'sti kasyāpi samayasyetyato vibhuḥ // MAnuv_2,2.3 //	naca-ucCedaH asti kasya-api samayasya-iti-atas viBuH // Ma-anuv_2,2.3 //
   bhrāntimūlatvameteṣāṃ pṛthag darśayati sphuṭam /	BrAnti-mUla-tvam-etezAm pRTak darSayati sPuwam /
   tarkairdṛḍhatamaireva vākyaiścāgamavādinām // MAnuv_2,2.4 //	tarkEH-dRXatamEH-eva vAkyEH-ca-Agama-vAdinAm // Ma-anuv_2,2.4 //
   daurlabhyācchuddhabuddhīnāṃ bāhulyādalpavedinām /	dOrlaByAt-SudDa-budDInAm bAhulyAt-alpa-vedinAm /
   tāmasatvācca lokasya mithyājñānaprasaktitaḥ /	tAmasa-tvAt-ca lokasya miTyAjQAna-prasaktitaH /
   vidveṣāt parame tattve tattvavediṣu cāniśam // MAnuv_2,2.5 //	vidvezAt parame tattve tattva-vedizu ca-aniSam // Ma-anuv_2,2.5 //
   anādivāsanāyogādasurāṇāṃ bahutvataḥ /	anAdi-vAsanA-yogAt-asurANAm bahu-tvataH /
   durāgrahagṛhītatvād vartante samayāḥ sadā // MAnuv_2,2.6 //	durAgraha-gRhIta-tvAt vartante samayAH sadA // Ma-anuv_2,2.6 //
   tathāpi śuddhabuddhīnāmīśānugrahayoginām /	taTA-api SudDa-budDInAm-ISa-anugraha-yoginAm /
   yuyuktayastamo hanyurāgamānugatāḥ sadā // MAnuv_2,2.7 //	yuyuktayaH-tamaH hanyuH-Agama-anugatAH sadA // Ma-anuv_2,2.7 //
   iti vidyāpatiḥ samyak samayānāṃ nirākṛtim /	iti vidyA-patiH samyak samayAnAm nirAkRtim /
   cakāra nijabhaktānāṃ buddhiśāṇatvasiddhaye // MAnuv_2,2.8 //	cakAra nija-BaktAnAm budDi-SANa-tva-sidDaye // Ma-anuv_2,2.8 //
   cetanācetanaṃ tattvadvayameva nirīśvarāḥ /	cetana-acetanam tattva-dvayam-eva nirISvarAH /
   āhustat pañcapañcatvavibhāgasthamacetanam /	AhuH-tat paQca-paQcatva-viBAga-sTam-acetanam /
   cetanaṃ tadasaṅkhayātaṃ bhinnamanyad layaṃ bhavet // MAnuv_2,2.9 //	cetanam tat-asaFKa-yAtam Binnam-anyat layam Bavet // Ma-anuv_2,2.9 //
   acetanasya kartṛtvaṃ svātantryeṇa nigadyate /	acetanasya kartR-tvam svAtantryeNa nigadyate /
   parasparavibhedaśca kāryāṇāmālayaṃ bhavet // MAnuv_2,2.10 //	paraspara-viBedaH-ca kAryANAm-Alayam Bavet // Ma-anuv_2,2.10 //
   bhoktṛṇāṃ cetanasyāhuḥ kecit tāmapi nāpare /	BoktRNAm cetanasya-AhuH kecid tAm-api na-apare /
   svarūpacaitanyabalāt svaprakāśācca bhogitām // MAnuv_2,2.11 //	sva-rUpa-cEtanya-balAt sva-prakASAt-ca BogitAm // Ma-anuv_2,2.11 //
   prakṛteśca svarūpasya vivekāgrahameva tu /	prakRteH-ca svarUpasya viveka-agraham-eva tu /
   abhogavādino bhogamāhurbhedagrahāt tayoḥ // MAnuv_2,2.12 //	aBoga-vAdinaH Bogam-AhuH-Beda-grahAt tayoH // Ma-anuv_2,2.12 //
   bhogināṃ muktiruddiṣṭā sa evābhogavādinām /	BoginAm muktiH-uddizwA saH eva-ABoga-vAdinAm /
   īśasyāsaṅgrahādeva na yuktau tāvubhāvapi // MAnuv_2,2.13 //	ISasya-asaFgrahAt-eva na yuktO tO=-uBO=-api // Ma-anuv_2,2.13 //
   cetanecchānusāreṇa yadā dṛṣṭaḥ paṭodbhavaḥ /	cetana-icCA-anusAreNa yadA dRzwaH pawa-udBavaH /
   etādṛśatvamanyasya vastutvāt kena vāryate // MAnuv_2,2.14 //	etAdRSa-tvam-anyasya vastu-tvAt kena vAryate // Ma-anuv_2,2.14 //
   na ca kācit pramoktārthe śrutireva pramā hi naḥ /	na ca kAcid pramokta-arTe SrutiH-eva pramA hi naH /
   āptatvamuktamārgeṇa vakturnaivopapadyate // MAnuv_2,2.15 //	Apta-tvam-ukta-mArgeNa vaktuH-na-eva-upapadyate // Ma-anuv_2,2.15 //
   aprāmāṇyasvatastvasya svīkārādapi māyivat /	aprAmANi-asvataH-tu-asya svIkArAt-api mAyi-vat /
   svoktākhilaniṣedhī syānna ca kiñcit prasiddhayati // MAnuv_2,2.16 //	sva-ukta-aKila-nizeDI syAt-na ca kiQcid prasidDayati // Ma-anuv_2,2.16 //
   idaṃ nācetanavaśaṃ vastutvāt pratipannavat /	idam na-acetana-vaSam vastu-tvAt pratipanna-vat /
   ityeva pratiṣiddhasya kena mūlānumā bhavet // MAnuv_2,2.17 //	iti-eva pratizidDasya kena mUla-anumA Bavet // Ma-anuv_2,2.17 //
   svatantravṛttī racanā sā caivācetane kutaḥ /	svatantra-vRttiH racanA sA ca-eva-acetane kutas /
   acetanatvaṃ svātantryamiti cātmapramāhatam // MAnuv_2,2.18 //	acetana-tvam svAtantryam-iti ca-Atma-pramAhatam // Ma-anuv_2,2.18 //
   svecchānusāritāmeva svātantryaṃ hi vido viduḥ /	sva-icCA-anusAritAm-eva svAtantryam hi vidaH viduH /
   kuta icchācetanasya secchaṃ cet kimacetanam // MAnuv_2,2.19 //	kutas icCA-acetanasya secCam ced kim-acetanam // Ma-anuv_2,2.19 //
   icchāmyahamiti hyeva nijānubhavarodhataḥ /	icCAmi-aham-iti hi-eva nija-anuBava-roDataH /
   acetanecchāpagatā yadi bhedāgraho 'tra ca // MAnuv_2,2.20 //	acetanecSApa-gatA yadi Beda-AgrahaH atra ca // Ma-anuv_2,2.20 //
   kathaṃ na sa ghaṭasya syānmano ma iti bhedataḥ /	kaTam na sa Gawasya syAt-manaH me iti BedataH /
   manaso 'pi gṛhītatvādubhayātmakatā yataḥ // MAnuv_2,2.21 //	manasaH api gRhIta-tvAt-uBaya-Atmaka-tA yatas // Ma-anuv_2,2.21 //
   kāmasya tu manaḥ kāmaḥ priyāpriyavibhedataḥ /	kAmasya tu manaH kAmaH priya-apriya-viBedataH /
   dvaividhyaṃ dṛśyate cāsya tasmād bhedāgrahaḥ kutaḥ // MAnuv_2,2.22 //	dvEviDyam dRSyate ca-asya tasmAt Beda-AgrahaH kutas // Ma-anuv_2,2.22 //
   racanānupapattestanna sarvajñānumāgatam /	racanA-anupapatteH-tat-na sarvajQAnum-Agatam /
   acetanaṃ jagatkartṛ payo 'mbvādi ca nopamā // MAnuv_2,2.23 //	acetanam jagatkartR payaH ambu-Adi ca na-upamA // Ma-anuv_2,2.23 //
   etatpraśāstivacanāccetanācetanasya ca /	etad-praSAsti-vacanAt-cetanA-acetanasya ca /
   dvaividhye 'pitu kāmādeḥ kutaḥ svāmitvamātmanaḥ // MAnuv_2,2.24 //	dvEviDye api-tu kAma-AdeH kutas svAmi-tvam-AtmanaH // Ma-anuv_2,2.24 //
   sākṣādanubhavārūḍhaṃ śakyate 'podituṃ kvacit /	sAkzAt-anuBava-ArUXam Sakyate apoditum kvacid /
   icchāsvāmitvamevoktamicchāvattvaṃ nacāparam // MAnuv_2,2.25 //	icCA-svAmi-tvam-eva-uktam-icCAvat-tvam na-ca-aparam // Ma-anuv_2,2.25 //
   kiñcit tadvaśagatve 'pi svāmitvaṃ lokavad bhavet /	kiQcid tad-vaSa-ga-tve api svAmi-tvam loka-vat Bavet /
   sarvātmatantrakāmādeḥ kimutaiva pareśituḥ // MAnuv_2,2.26 //	sarva-Atma-tantra-kAma-AdeH kim-uta-eva para-ISituH // Ma-anuv_2,2.26 //
   na cānubhavagaṃ kāmasvāmitvaṃ vedavāgapi /	na ca-anuBava-gam kAma-svAmi-tvam veda-vAc-api /
   śaktāpavadituṃ tasmāt sā tadanyābhidhāyinī // MAnuv_2,2.27 //	Sakta-apavaditum tasmAt sA tad-anya-aBiDAyinI // Ma-anuv_2,2.27 //
   mokṣakāmo bhavedanyo yadi muktād bhaviṣyataḥ /	mokza-kAmaH Bavet-anyaH yadi muktAt BavizyataH /
   mokṣakāmasya kiṃ tena svanāśārthaṃ ca ko yatet // MAnuv_2,2.28 //	mokza-kAmasya kim tena sva-nASa-arTam ca kaH yatet // Ma-anuv_2,2.28 //
   kartṛtvaṃ yasya tasyaiva bhoktṛtvamupalabhyate /	kartR-tvam yasya tasya-eva BoktR-tvam-upalaByate /
   vibhāge ca tayormānaṃ naiva kiñcit kvacid bhavet // MAnuv_2,2.29 //	viBAge ca tayoH-mAnam na-eva kiQcid kvacid Bavet // Ma-anuv_2,2.29 //
   sarvamānavirodhaikadurdīkṣādīkṣitastvayam /	sarva-mAna-viroDa-eka-durdIkzA-dIkzitaH-tu-ayam /
   māyāvādyupamāṃ yāyāt taccaśabdānnirākṛtaḥ // MAnuv_2,2.30 //	mAyA-vAdi-upamAm yAyAt tat-caSabdAt-nirAkRtaH // Ma-anuv_2,2.30 //
   sāṅkhayastu seśvaro brūte kṣetrānugrahaśaktimān /	sAFKayaH-tu sa-ISvaraH brUte kzetra-anugraha-SaktimAn /
   astīśvaraḥ svayambhātaḥ kleśakarmādivarjitaḥ // MAnuv_2,2.31 //	asti-ISvaraH svayamBAtaH kleSa-karma-Adi-varjitaH // Ma-anuv_2,2.31 //
   kṣetraśaktimatī saiva prakṛtirbījaśaktimān /	kzetra-SaktimatI sA-eva prakRtiH-bIja-SaktimAn /
   jīvaḥ parjanyavad daivaśaktimānīśvaraḥ smṛtaḥ // MAnuv_2,2.32 //	jIvaH parjanya-vat dEva-SaktimAn-ISvaraH smRtaH // Ma-anuv_2,2.32 //
   pṛthivīvat pradhānaṃ tajjīvaḥ sannidhimātrataḥ /	pRTivI-vat praDAnam tad-jIvaH sanniDi-mAtrataH /
   bījāvapanakartevetyatra prāha prabhuḥ svayam // MAnuv_2,2.33 //	bIja-avapana-kartA-iva-iti-atra prAha praBuH svayam // Ma-anuv_2,2.33 //
   anyatra kāpi śaktirna svātantryeṇeśa eva hi /	anyatra kA-api SaktiH-na svAtantryeNa-ISaH eva hi /
   śaktīstāḥ prerayatyañjastadadhīnāśca sarvadā // MAnuv_2,2.34 //	SaktIH-tAH prerayati-aQjaH-tad-aDInAH-ca sarvadA // Ma-anuv_2,2.34 //
   sattāpradhānapuruṣaśaktīnāṃ ca pratītayaḥ /	sattA-praDAna-puruza-SaktInAm ca pratItayaH /
   pravṛttayaśca tāḥ sarvā nityaṃ nityātmanā yataḥ // MAnuv_2,2.35 //	pravRttayaH-ca tAH sarvAH nityam nitya-AtmanA yatas // Ma-anuv_2,2.35 //
   yathā nityatayā nityaṃ nityaśaktayā svayeśvaraḥ /	yaTA nitya-tayA nityam nitya-SaktayA svayA-ISvaraH /
   niyāmayati nityaṃ ca na ṛte tvaditi śruteḥ // MAnuv_2,2.36 //	niyAmayati nityam ca na Rte tvad-iti SruteH // Ma-anuv_2,2.36 //
   svabhāvajīvakarmāṇi dravyaṃ kālaḥ śrutiḥ kriyāḥ /	svaBAva-jIva-karmANi dravyam kAlaH SrutiH kriyAH /
   yatprasādādime santi na santi yadupekṣayā // MAnuv_2,2.37 //	yad-prasAdAt-ime santi na santi yat-upekzayA // Ma-anuv_2,2.37 //
   iti śruterna sattādyā api nārāyaṇaṃ vinā /	iti SruteH-na sattA-AdyAH api nArAyaNam vinA /
   tatpatañjalivindhyādimataṃ na puruṣārthadam // MAnuv_2,2.38 //	tad-pataQjali-vinDya-Adi-matam na puruza-arTa-dam // Ma-anuv_2,2.38 //
   cārvākairucyate mānamakṣajaṃ nāparaṃ kvacit /	cArvAkEH-ucyate mAnam-akza-jam na-aparam kvacid /
   deha ātmā pumarthaśca kāmārthābhyāṃ vinā na hi // MAnuv_2,2.39 //	dehaH AtmA pum-arTaH-ca kAma-arTAByAm vinA na hi // Ma-anuv_2,2.39 //
   yadevaṃ darśanenāsya ko 'rthaḥ pratyakṣagocaraḥ /	yat-evam darSanena-asya kaH arTaH pratyakza-gocaraH /
   labdhastenaiva hi naraiḥ śāstrāt kiṃ mohanaṃ vinā // MAnuv_2,2.40 //	labDaH-tena-eva hi narEH SAstrAt kim mohanam vinA // Ma-anuv_2,2.40 //
   svaparārthavihīnatvāt svamatenaiva niṣphalam /	sva-para-arTa-vihIna-tvAt sva-matena-eva nizPalam /
   kimityunmattavacchāstraṃ vṛthā pralapati svayam // MAnuv_2,2.41 //	kim-iti-unmatta-vat-SAstram vRTA pralapati svayam // Ma-anuv_2,2.41 //
   dehādanyo 'nubhavata ātmā bhāti śarīriṇām /	dehAt-anyaH anuBavataH AtmA BAti SarIriNAm /
   mama deha iti vyaktaṃ mamārtha itivat sadā // MAnuv_2,2.42 //	mama dehaH iti vyaktam mama-arTaH iti-vat sadA // Ma-anuv_2,2.42 //
   pratyakṣasyaiva mānatvamiti kenāvasīyate /	pratyakzasya-eva mAna-tvam-iti kena-avasIyate /
   yadi tatsādhakaṃ vedaprāmāṇye na kathaṃ bhavet // MAnuv_2,2.43 //	yadi tad-sADakam veda-prAmANye na kaTam Bavet // Ma-anuv_2,2.43 //
   na cānyāmānatā kvāpi pramāṇenāvasīyate /	na ca-anyAmAna-tA kvApi pramANena-avasIyate /
   svamatenārtharahita upekṣyaḥ pakṣa īdṛśaḥ // MAnuv_2,2.44 //	sva-matena-arTa-rahitaH upekzyaH pakzaH IdRSaH // Ma-anuv_2,2.44 //
   sannidhānāccetanasya vartate yadyacetanam /	sanniDAnAt-cetanasya vartate yadi-acetanam /
   tathāpyabuddhipūrvatvāduktadoṣaḥ samo bhavet // MAnuv_2,2.45 //	taTA-api-abudDi-pUrva-tvAt-ukta-dozaH samaH Bavet // Ma-anuv_2,2.45 //
   aṅgitvaṃ puruṣasyaiva sarvairapyanubhūyate /	aFgi-tvam puruzasya-eva sarvEH-api-anuBUyate /
   tadaṅgatvoktitaścaiva syāt sarvasyāpalāpakaḥ /	tad-aFga-tva-uktitaH-ca-eva syAt sarvasya-apalApakaH /
   kimu sarveśvarasyāsya hyapalāṣād yato 'khilam // MAnuv_2,2.46 //	kimu sarva-ISvarasya-asya hi-apalAzAt yatas aKilam // Ma-anuv_2,2.46 //
   aṅgitvaṃ yadi tasyaiva svātantryaṃ cennacākhilam /	aFgi-tvam yadi tasya-eva svAtantryam ced-naca-aKilam /
   tatpreraṇe 'pyaśaktatvāt svatantro 'nyo hyapekṣitaḥ // MAnuv_2,2.47 //	tad-preraNe api-aSakta-tvAt svatantraH anyaH hi-apekzitaH // Ma-anuv_2,2.47 //
   na ca svātantryamasyaiva pratyakṣādivirodhataḥ /	na ca svAtantryam-asya-eva pratyakza-Adi-viroDataH /
   hitākṛtyādidoṣācca bhadraṃ nānīśvaraṃ matam // MAnuv_2,2.48 //	hita-AkRtya-Adi-dozAt-ca Badram na-anISvaram matam // Ma-anuv_2,2.48 //
   saṃsāriṇo 'nyaṃ sarveśaṃ sarvaśaktimanaupamam /	saMsAriNaH anyam sarva-ISam sarva-Saktim-anOpamam /
   cetanācetanasyāsya sattvādestadadhīnatām /	cetana-acetanasya-asya sattva-AdeH-tad-aDIna-tAm /
   nāṅgīkurvanti ye teṣāṃ sarveṣāṃ ca samā ime // MAnuv_2,2.49 //	na-aFgIkurvanti ye tezAm sarvezAm ca samAH ime // Ma-anuv_2,2.49 //
   tasmācchrutipramāṇena yuktibhiśca paro hariḥ /	tasmAt-Sruti-pramANena yuktiBiH-ca paraH hariH /
   aṅgīkāyartamo nityaḥ sarvairapi suniścitam // MAnuv_2,2.50 //	aFgIkAyartamaH nityaH sarvEH-api su-niScitam // Ma-anuv_2,2.50 //
   nityajñānaprayatnecchaṃ saṅkhayadyairapi pañcabhiḥ /	nitya-jQAna-prayatna-icCam saFKayat-yEH-api paQcaBiH /
   yuktamīśaṃ vadantyanye tadicchādṛṣṭacoditāḥ /	yuktam-ISam vadanti-anye tad-icCA-dRzwa-coditAH /
   paramāṇavaścaturvargāḥ saṃyujyante dviśo 'khilāḥ // MAnuv_2,2.51 //	paramANavaH-caturvargAH saMyujyante dviSas aKilAH // Ma-anuv_2,2.51 //
   paramāṇudvayenaiva dvayaṇukaṃ nāma jāyate /	paramANu-dvayena-eva dvayaNukam nAma jAyate /
   dvayaṇukatrayeṇa tṛyaṇukaṃ taiścaturbhistadātmakam // MAnuv_2,2.52 //	dvayaNukatrayeNa tRyaNukam tEH-caturBiH-tad-Atmakam // Ma-anuv_2,2.52 //
   tatastvaniyamenaiva khaṇḍāvayavināṃ bhavaḥ /	tatas-tu-aniyamena-eva KaNxa-avayavinAm BavaH /
   tataścāniyamenaiva sarvāvayavisambhavaḥ // MAnuv_2,2.53 //	tatas-ca-aniyamena-eva sarva-avayavi-samBavaH // Ma-anuv_2,2.53 //
   kāraṇaṃ samavāyyākhyaṃ paramāṇvādi tatra hi /	kAraNam samavAyi-AKyam paramANu-Adi tatra hi /
   īśecchādṛṣṭakālāstu nimittaṃ kāraṇaṃ matam // MAnuv_2,2.54 //	ISa-icCA-dRzwa-kAlAH-tu nimittam kAraNam matam // Ma-anuv_2,2.54 //
   sāmānyāntyaviśeṣau ca samavāyaśca tattrayam /	sAmAnya-antya-viSezO ca samavAyaH-ca tat-trayam /
   nityaṃ kriyā anityāstu guṇadravye dvirūpake // MAnuv_2,2.55 //	nityam kriyAH anityAH-tu guNa-dravye dvirUpake // Ma-anuv_2,2.55 //
   kārye guṇakriyāṇāṃ tu samavāyyanyakāraṇam /	kArye guNa-kriyANAm tu samavAyi-anya-kAraNam /
   kāraṇasthā guṇādyāstu saṃyogo dravyakāraṇam // MAnuv_2,2.56 //	kAraNa-sTAH guNa-AdyAH-tu saMyogaH dravya-kAraNam // Ma-anuv_2,2.56 //
   evaṃ sthite 'pi siddhānte viśeṣastatra kalpitaḥ /	evam sTite api sidDAnte viSezaH-tatra kalpitaH /
   dvayaṇuke paramāṇau ca hrasvatvaṃ parimaṇḍalam // MAnuv_2,2.57 //	dvayaNuke paramANO ca hrasva-tvam parimaNxalam // Ma-anuv_2,2.57 //
   na kāraṇaṃ kāryaguṇe vairūpyaṃ tatra kāraṇam /	na kAraNam kArya-guNe vErUpyam tatra kAraNam /
   ityāhustānathovāca vidyādhīśaḥ svayaṃ prabhuḥ // MAnuv_2,2.58 //	iti-AhuH-tAn-aTa-uvAca vidyADISaH svayam praBuH // Ma-anuv_2,2.58 //
   mahattvaṃ caiva dīrghatvaṃ tṛyaṇukādyeṣu kalpitam /	mahat-tvam ca-eva dIrGa-tvam tRyaNuka-Adyezu kalpitam /
   tasmācca sadṛśaṃ kāryaṃ tatkāryeṣūpajāyate // MAnuv_2,2.59 //	tasmAt-ca sadRSam kAryam tad-kAryezu-upajAyate // Ma-anuv_2,2.59 //
   yathā tathaiva hrasvatvāt pārimāṇḍalyato 'pi hi /	yaTA taTA-eva hrasva-tvAt pArimANxalI-ataH api hi /
   jāyeta sadṛśaṃ kārye parimāṇaṃ samatvataḥ // MAnuv_2,2.60 //	jAyeta sadRSam kArye parimANam samatvataH // Ma-anuv_2,2.60 //
   na cenmahattvataścaiva dīghartvādapi no bhavet /	na ced-mahat-tvataH-ca-eva dIGaRtvAt-api naH Bavet /
   sadṛśasya hi kāryasya naiva yogaḥ kathañcana // MAnuv_2,2.61 //	sadRSasya hi kAryasya na-eva yogaH kaTaQcana // Ma-anuv_2,2.61 //
   apratyakṣatvamevaṃ syād yataḥ kāryeṣvaṇutvataḥ /	apratyakza-tvam-evam syAt yatas kAryezu-aNutvataH /
   iti cenna mahattvaṃ ca paramāṇāvaṇāvapi /	iti ced-na mahat-tvam ca paramANOvaNO=-api /
   kathaṃ tṛyaṇukapūrveṣu nāṇutvamapi kathyate // MAnuv_2,2.62 //	kaTam tRyaNuka-pUrvezu na-aNu-tvam-api kaTyate // Ma-anuv_2,2.62 //
   pratyakṣatvatadanyatve puruṣāpekṣayākhile /	pratyakza-tva-tad-anya-tve puruza-apekzayA-aKile /
   aṇutvaṃ ca mahattvaṃ ca yato vastuvyapekṣayā // MAnuv_2,2.63 //	aNu-tvam ca mahat-tvam ca yatas vastu-vyapekzayA // Ma-anuv_2,2.63 //
   tāratamyasthitā yasmāt padārthāḥ sarva eva ca /	tAratamya-sTitAH yasmAt padArTAH sarve eva ca /
   yathā mahattvaviśrāntistathāṇutvasya ceṣyate // MAnuv_2,2.64 //	yaTA mahat-tva-viSrAntiH-taTA-aNu-tvasya ca-izyate // Ma-anuv_2,2.64 //
   parimāṇatvataścenna mahattvasyāpi viśramaḥ /	parimANa-tvataH-ced-na mahattvasya-api viSramaH /
   dṛśyate 'nanta ityeva tathānantyamaṇāvapi // MAnuv_2,2.65 //	dRSyate anantaH iti-eva taTA-ananti-amaNO=-api // Ma-anuv_2,2.65 //
   na mahattatvaguṇata etāvāniti hīśvaraḥ /	na mahat-tatva-guNataH etAvAn-iti hi-ISvaraH /
