   YRps, Adhyāya 1	YRps, ADyAyaH 1
   ḍamarukābhidhayaṃtraniveśitas tadanu loharajaḥ khaṭikāsamam /	xamaruka-aBiDa-yaMtra-niveSitaH tadanu loharajaH KawikA-samam /
   supayasā lavaṇena vimarditaṃ kuru bhiṣagvara yantrasurodhanam // YRps_3.3	su-payasA lavaNena vimarditam kuru Bizaj-vara yantra-suroDanam // YRpH-_3.3
   niyatayāmacatuṣṭayavahninā mṛdu samaṃ rasamatra vipācayet /	niyata-yAma-catuzwaya-vahninA mRdu samam rasam-atra vipAcayet /
   upari tatra jalena niṣiñcayed iti bhaveddaradād varasūtakaḥ // YRps_3.4 //	upari tatra jalena niziQcayet iti Bavet-daradAt vara-sUtakaH // YRpH-_3.4 //
   akhilaśodhavareṇa ca vai yathā sakalakañcukadoṣavivarjitaḥ /	aKila-SoDa-vareNa ca vE yaTA sakala-kaQcuka-doza-vivarjitaH /
   bahuladoṣaharo'pi bhavettathā bhavati śuddhatamo daradodbhavaḥ // YRps_3.5	bahula-doza-haraH-api Bavet-taTA Bavati SudDatamaH darada-udBavaH // YRpH-_3.5
   <mercury:: medic. use (rasakarpūra?)>	<mercuH-y:: medic. use (rasakarpUra-?)>
   vimalasūtavaro hi palāṣṭakaṃ tadanu dhātukhaṭīpaṭukāṃkṣikāḥ /	vimala-sUta-varaH hi pala-azwakam tadanu DAtu-KawI-pawu-kAMkzikAH /
   pṛthagimāśca catuṣpalabhāgikāḥ sphaṭikaśuddhapalāṣṭakasaṃmitāḥ // YRps_3.6	pRTak-imAH-ca catuzpala-BAgikAH sPawika-SudDa-pala-azwaka-saMmitAH // YRpH-_3.6
   saha jalena vimṛdya ca yāmakaṃ lavaṇakāmlajalena vimiśritāḥ /	saha jalena vimRdya ca yAmakam lavaNaka-amla-jalena vimiSritAH /
   uditadhātugaṇasya ca mūṣikāṃ kuru viṣaṃ viniveśaya tatra vai // YRps_3.7	udita-DAtu-gaNasya ca mUzikAm kuru vizam viniveSaya tatra vE // YRpH-_3.7
   ḍamarūkābhidhayaṃtravareṇa taṃ dvidaśayāmamamuṃ paca vahninā /	xamarUka-aBiDa-yaMtra-vareNa tam dvi-daSa-yAmam-amum paca vahninA /
   pavanapittakaphakṣayahārakaḥ sakalarogaharaḥ paramaḥ sadā // YRps_3.8 //	pavana-pitta-kaPa-kzaya-hArakaH sakala-roga-haraH paramaH sadA // YRpH-_3.8 //
   gajapater balavad balado nṛṇāṃ dvijapatīkṣaṇavannayanapradaḥ /	gaja-pateH balavat bala-daH nRNAm dvija-pati-IkzaNa-vat-nayana-pradaH /
   yuvatikāmavilāsavidhāyako bhavati sūtavaraḥ sukhadaḥ sadā /	yuvati-kAma-vilAsa-viDAyakaH Bavati sUtavaraH suKa-daH sadA /
   saghanasārarasaḥ kila kāntidas tv akhilakuṣṭhaharaḥ kathito mayā //	sa-GanasAra-rasaH kila kAnti-daH tu aKila-kuzWa-haraH kaTitaH mayA //
   YRps_3.9 //	YRpH-_3.9 //
   <mercury:: aruṇabhasman>	<mercuH-y:: aruNa-Basman>
   vigatadoṣakṛtau rasagaṃdhakau tadanu luṅgarasena pariplutau /	vigata-doza-kRtO rasa-gaMDakO tadanu luFga-rasena pariplutO /
   praharayugmamitaṃ ca śilātale ravikareṇa vimardya vicūrṇitau // YRps_3.10	prahara-yugma-mitam ca SilA-tale ravi-kareNa vimardya vicUrNitO // YRpH-_3.10
   rucirakācaghaṭīviniveśitau sikatayaṃtravareṇa dinatrayam /	rucira-kAca-GawI-viniveSitO sikata-yaMtra-vareNa dina-trayam /
   kuru bhiṣagvara vahnim adhastataḥ sa ca bhavedaruṇaḥ kamalacchaviḥ //	kuru Bizaj-vara vahnim aDas-tatas sa ca Bavet-aruNaH kamala=-CaviH //
   YRps_3.11 //	YRpH-_3.11 //
   udayabhāskaranāmaraso hyayaṃ bhavati rogavighātakaraḥ svayam /	udaya-BAskara-nAma-rasaH hi-ayam Bavati roga-viGAta-karaH svayam /
   magadhajāmadhunā saha guñjikā- trayamitaśca sadā parisevitaḥ // YRps_3.12	magaDa-jAm-aDunA saha guQjikA traya-mitas-ca sadA parisevitaH // YRpH-_3.12
   lalitakāmavidhāvabhilāṣukaḥ sthavirako'pi ratau taruṇāyate /	lalita-kAma-viDO=-aBilAzukaH sTavirakaH-api ratO taruNAyate /
   gadaharo balado'pi hi varṇado bhavati karmavipākajarogahā /	gada-haraH bala-daH-api hi varNa-daH Bavati karma-vipAka-ja-roga-hA /
   sakalasūtakaśāstravimarśanād dvijavareṇa mayā prakaṭīkṛtaḥ // YRps_3.13 //	sakala-sUtaka-SAstra-vimarSanAt dvijavareNa mayA prakawIkRtaH // YRpH-_3.13 //
   <mercury:: red bhasman>	<mercuH-y:: ret Basman>
   rasavidāpi rasaḥ pariśodhito vigatadoṣakṛto'pi hi gaṃdhakaḥ /	rasa-vidA-api rasaH pariSoDitaH vigata-doza-kRtaH-api hi gaMDakaH /
   vimalalohamaye kṛtakharpare hy amalasārarajaḥ parimucyatām // YRps_3.14 //	vimala-loha-maye kRta-Karpare hi amalasAra-rajaH parimucyatAm // YRpH-_3.14 //
   atikuśāgniyute dravati svayaṃ tadanu tatra rasaḥ parimucyatām /	ati-kuSA-agni-yute dravati svayam tadanu tatra rasaH parimucyatAm /
   viśadalohamayena ca darviṇā vighaṭayetpraharatrayasaṃmitam // YRps_3.15 //	viSada-loha-mayena ca darviNA viGawayet-prahara-traya-saMmitam // YRpH-_3.15 //
   tadanu kācaghaṭīṃ viniveśya vai sikatayantravareṇa hi pācitaḥ /	tadanu kAca-GawIm viniveSya vE sikata-yantra-vareNa hi pAcitaH /
   dvidaśayāmamadhaḥkṛtavahninā bhavati raktarasastalabhasmasāt // YRps_3.16	dvi-daSa-yAmam-aDas-kRta-vahninA Bavati rakta-rasaH-tala-BasmasAt // YRpH-_3.16
   gatabalena nareṇa susevito bhavati vājikaraḥ sukhadaḥ sadā // YRps_3.17 //	gata-balena nareNa su-sevitaH Bavati vAji-karaH suKa-daH sadA // YRpH-_3.17 //
   sa ca valīpalitāni vināśayec chataśaratsu nirāmayakṛtparam // YRps_3.18 //	sa ca valI-palitAni vinASayet Sata-Saratsu nirAmaya-kRt-param // YRpH-_3.18 //
   <mercury:: red bhasman>	<mercuH-y:: ret Basman>
   vimalanāgavaraikavibhāgikaṃ harajabhāgacatuṣṭayamiśritam /	vimala-nAga-vara-eka-viBAgikam hara-ja-BAga-catuzwaya-miSritam /
   satatameva vimardya śilātale balivasāṃ ca samāṃ kuru tadbhiṣak //	satatam-eva vimardya SilA-tale balivasAm ca samAm kuru tad-Bizaj //
   YRps_3.19 //	YRpH-_3.19 //
   dinamitaṃ suvimardya ca kanyakā- svarasa ainakareṇa viśoṣayet /	dina-mitam su-vimardya ca kanyakA svarasaH EnakareNa viSozayet /
   tadanu sūtavarasya tu kajjalīṃ rucirakācaghaṭe viniveśaya // YRps_3.20 //	tadanu sUta-varasya tu kajjalIm rucira-kAca-Gawe viniveSaya // YRpH-_3.20 //
   divasayugmamadhaḥ kṛtavahninā sa ca bhavedaruṇaḥ kamalacchaviḥ /	divasa-yugmam-aDas kRta-vahninA sa ca Bavet-aruNaH kamala=-CaviH /
   sakalarogavināśanavahnikṛt balakaraḥ paramo'pi hi kāntikṛt // YRps_3.21 //	sakala-roga-vinASana-vahni-kRt bala-karaH paramaH-api hi kAnti-kRt // YRpH-_3.21 //
   nayanarogavināśakaro bhavet sakalakāmukavibhramakārakaḥ /	nayana-roga-vinASa-karaH Bavet sakala-kAmuka-viBrama-kArakaH /
   sa khalu karmavipākajarogahā viśadanāgayutaḥ khalu pāradaḥ // YRps_3.22 //	sa Kalu karma-vipAka-ja-roga-hA viSada-nAga-yutaH Kalu pAradaH // YRpH-_3.22 //
   <mercury:: jāraṇa with sulfur>	<mercuH-y:: jAraNa wiT sulfur>
   mṛdumṛdā racitā masṛṇeṣṭikā upari gartavareṇa ca saṃyutā /	mRdu-mRdA racitA masRNa-izwikA upari garta-vareNa ca saMyutAH /
   rasavaraṃ daśaśāṇamitaṃ hi tat saśukapicchavareṇa nidhāpayet // YRps_3.23	rasavaram daSa-SANa-mitam hi tat sa-SukapicCa-vareNa niDApayet // YRpH-_3.23
   sakalapūrṇakṛtaṃ ca sugartakaṃ galitanimbuphalodbhavakena vai /	sakala-pUrNa-kRtam ca sugartakam galita-nimbu-Pala-udBavakena vE /
   sthagaya taṃ ca pidhānavareṇa vai mṛditayā sumṛdā parimudritam //	sTagaya tam ca piDAna-vareNa vE mRditayA su-mRdA parimudritam //
   YRps_3.24 //	YRpH-_3.24 //
   tadanu kukkuṭānāṃ puṭe śṛto hupalakena vanodbhavakena vai /	tadanu kukkuwAnAm puwe SRtaH hu-palakena vana-udBavakena vE /
   vidhividā bhiṣajā hyamunā kṛto vimalaṣaḍguṇagandhakam aśnute // YRps_3.25	viDi-vidA BizajA hi-amunA kRtaH vimala-zaxguNa-ganDakam aSnute // YRpH-_3.25
   sa ca śarīrakaro'pyatha lohakṛt sakalasiddhikaraḥ paramo bhavet /	sa ca SarIra-karaH-api-aTa loha-kRt sakala-sidDi-karaH paramaH Bavet /
   śataguṇaṃ hi yadā parijīryate rasavaraḥ khalu hemakaro bhavet // YRps_3.26	SataguNam hi yadA parijIryate rasavaraH Kalu hema-karaH Bavet // YRpH-_3.26
   <mercury:: rasapoṭṭalī>	<mercuH-y:: rasa-powwalI>
   saśukapicchasamo'pi hi pārado bhavati khalvatalena ca kuṭṭitaḥ /	sa-SukapicCa-samaH-api hi pAradaH Bavati Kalva-talena ca kuwwitaH /
   dṛḍhatarāmupakalpaya parpaṭīṃ vasanabaddhakṛtāmapi poṭalīm // YRps_3.27 //	dRXatarAm-upakalpaya parpawIm vasana-badDa-kRtAm-api powalIm // YRpH-_3.27 //
   upari nāgarasena vilepitā ravikareṇa sadā pariśoṣitām /	upari nAga-rasena vilepitA ravi-kareNa sadA pariSozitAm /
   kanakapatrarasena ca saptadhāpy avanigartatale viniveśaya // YRps_3.28 //	kanaka-patra-rasena ca saptaDA-api avanigarta-tale viniveSaya // YRpH-_3.28 //
   avanigartam aratnikam āyataṃ dvidaśamaṅgulameva sunimnakam /	avanigartam aratnikam Ayatam dvidaSam-aFgulam-eva su-nimnakam /
   sikatayā paripūrya tadardhakaṃ tadanu tatra niveśaya poṭṭalīm // YRps_3.29	sikatayA paripUrya tad-arDakam tadanu tatra niveSaya powwalIm // YRpH-_3.29
   upari vālukayā paripūrya tac chagaṇakaiśca puṭaṃ paridīyatām /	upari vAlukayA paripUrya tat CagaNakEH-ca puwam paridIyatAm /
   dvidaśayāmam athāgnimaho kuru bhavati tena mahārasapoṭalī /	dvi-daSa-yAmam aTa-agnim-aho kuru Bavati tena mahArasa-powalI /
   iti mayā kathitā rasapoṭalī balakarā sukarā sukhasiddhidā // YRps_3.30 //	iti mayA kaTitA rasa-powalI bala-karA sukarA suKa-sidDi-dA // YRpH-_3.30 //
   <mercury:: māraṇa>	<mercuH-y:: mAraNa>
   viśadasūtasamo'pi hi gaṃdhakas tadanu khalvatale suvimarditaḥ /	viSada-sUta-samaH-api hi gaMDakaH tadanu Kalva-tale su-vimarditaH /
   tridinameva hi haṃsapadīrase dinakarasya kareṇa suśoṣitaḥ // YRps_3.31 //	tri-dinam-eva hi haMsapadI-rase dinakarasya kareNa su-SozitaH // YRpH-_3.31 //
   vimalalohamaye dṛḍhakharpare tadanu kajjalikāṃ pratimucya vai /	vimala-loha-maye dRXa-Karpare tadanu kajjalikAm pratimucya vE /
   karamitā sukṛtāpi hi cuhlikā hy upari tatra niveśaya ca bhājanaṃ //	kara-mitA sukRtA-api hi cuhlikA hi upari tatra niveSaya ca BAjanam //
   YRps_3.32 //	YRpH-_3.32 //
   amalalohamayena ca darviṇā rasavaraṃ niyataṃ parimardayet /	amala-loha-mayena ca darviNA rasavaram niyatam parimardayet /
   tadanu vahnimadhaḥ kuru vai dṛḍhaṃ satatameva hi yāmacatuṣṭayam //	tadanu vahnim-aDas kuru vE dRXam satatam-eva hi yAma-catuzwayam //
   YRps_3.33 //	YRpH-_3.33 //
   supaca eṣa raso jaladopamo bhavati vallamito madhunā yutaḥ /	supacaH eza rasaH jalada-upamaH Bavati valla-mitas maDunA yutaH /
   kavalitaḥ kṣayarogagaṇāpaho madanavṛddhikaraḥ paramo nṛṇām // YRps_3.34 //	kavalitaH kzaya-roga-gaNa-apahaH madana-vRdDi-karaH paramaH nRNAm // YRpH-_3.34 //
   sa ca valīpalitāni vināśayet sakalakuṣṭhavināśakaraḥ paraḥ // YRps_3.35 //	sa ca valI-palitAni vinASayet sakala-kuzWa-vinASa-karaH paraH // YRpH-_3.35 //
   <mercury:: māraṇa>	<mercuH-y:: mAraNa>
   mṛdumṛdā parikalpitamūṣikāṃ rasamitāṅgulikāṃ bhuvi saṃnyaset /	mRdu-mRdA parikalpita-mUzikAm rasa-mita-aFgulikAm Buvi saMnyaset /
   rasavaraṃ vimalaṃ ca suśobhitaṃ saśukapicchasamaṃ parimarditam //	rasavaram vimalam ca su-SoBitam sa-SukapicCa-samam parimarditam //
   YRps_3.36 //	YRpH-_3.36 //
   rasasamānamitaṃ dhṛtamūṣayā dvitayayugmakṛtaṃ parimudritam /	rasa-samAna-mitam DRta-mUzayA dvitaya-yugma-kRtam parimudritam /
   kanakamūlarasena ca pācitaṃ tadanu saptadinaṃ kṛśavahninā // YRps_3.37 //	kanaka-mUla-rasena ca pAcitam tadanu sapta-dinam kRSa-vahninA // YRpH-_3.37 //
   rasavarasya śubhaṃ hi vipācanaṃ yavamito rasarājavaras tadā /	rasavarasya SuBam hi vipAcanam yava-mitaH rasarAja-varaH tadA /
   dinamukhe pratihanti subhakṣitaḥ sakaladoṣakṛtāṃ vikṛtiṃ jayet //	dina-muKe pratihanti su-BakzitaH sakala-doza-kRtAm vikRtim jayet //
   YRps_3.38 //	YRpH-_3.38 //
   <rasaparpaṭī>	<rasa-parpawI>
   rasavaraṃ palayugmamitaṃ śubhaṃ ruciratāmramayaḥ samabhāgikam /	rasavaram pala-yugma-mitam SuBam rucira-tAmram-ayaH sama-BAgikam /
   balivasāṃ ca ghṛtena vimardayed atikṛśāgnikṛte dravati svayam // YRps_3.39	balivasAm ca GRtena vimardayet ati-kRSa-agni-kRte dravati svayam // YRpH-_3.39
   tadanu tāmrarasau viniveśyatāṃ trayamidaṃ sarasaṃ ca vimarditam /	tadanu tAmra-rasO viniveSyatAm trayam-idam sarasam ca vimarditam /
   drutamayaṃ ca sadāyasabhājane tadanu sūtakṛtāṃ varakajjalīm // YRps_3.40	druta-mayam ca sat-Ayasa-BAjane tadanu sUta-kRtAm varakajjalIm // YRpH-_3.40
   vighaṭayedatha lohasudarviṇā tadanu mocadalopari ḍhālyate /	viGawayet-aTa loha-su-darviNA tadanu moca-dala-upari XAlyate /
   bhavati sāratamā rasaparpaṭī sakalarogavighātakarī hi sā // YRps_3.41 //	Bavati sAratamA rasa-parpawI sakala-roga-viGAta-karI hi sA // YRpH-_3.41 //
   kuru samānakaṭutrayasaṃyutāṃ maricayugmamitāṃ sukhadāṃ sadā // YRps_3.42	kuru samAna-kawutraya-saMyutAm marica-yugma-mitAm suKa-dAm sadA // YRpH-_3.42
   anupāne prayoktavyā triphalākṣaudrasaṃyutā /	anupAne prayoktavyA triPalA-kzOdra-saMyutAH /
   parpaṭīṃ bhakṣayetprātas tathā tryūṣaṇasaṃyutām // YRps_3.43 //	parpawIm Bakzayet-prAtar taTA tryUzaNa-saMyutAm // YRpH-_3.43 //
   sannipātaharā sā tu pañcakolena saṃyutā /	sannipAta-harA sA tu paQcakolena saMyutAH /
   bhakṣitā madhunā sārdhaṃ sarvajvaravināśinī // YRps_3.44 //	BakzitA maDunA sArDam sarva-jvara-vinASinI // YRpH-_3.44 //
   kaṇākṣaudreṇa sahitā sarvaśophānnikṛntati /	kaNA-kzOdreNa sahitA sarva-SoPAn-nikRntati /
   śyāmātrikaṭukenāpi vātajāṃ grahaṇīṃ jayet // YRps_3.45 //	SyAmA-trikawukena-api vAta-jAm grahaNIm jayet // YRpH-_3.45 //
   guggulutriphalāsārdhaṃ vātaraktaṃ vināśayet /	guggulu-triPalA-sArDam vAtaraktam vinASayet /
   vātaśūlaharā samyak hiṃgupuṣkarasaṃyutā // YRps_3.46 //	vAta-SUla-harA samyak hiMgu-puzkara-saMyutAH // YRpH-_3.46 //
   vyoṣaiḥ kanyārasairvāpi kaphāmayavināśinī /	vyozEH kanyA-rasEH-vA-api kaPa-Amaya-vinASinI /
   daśamūlaśṛtenāpi vātajvaranibarhaṇī // YRps_3.47 //	daSamUla-SRtena-api vAta-jvara-nibarhaNI // YRpH-_3.47 //
   vākucībījakalkena kaṇḍūpāme vināśayet /	vAkucI-bIja-kalkena kaNxU-pAme vinASayet /
   āruṣkareṇa sahitā sā tu sidhmavināśinī // YRps_3.48 //	AruzkareNa sahitA sA tu siDma-vinASinI // YRpH-_3.48 //
   gomūtreṇānupānena cārśorogavināśinī /	go-mUtreNa-anupAnena ca-arSaH-roga-vinASinI /
   navamālyarjunaścaiva citrako bhṛṅgarājakaḥ // YRps_3.49 //	nava-mAlI-arjunaH-ca-eva citrakaH BRFgarAjakaH // YRpH-_3.49 //
   śālmalī nimbapaṃcāṃgaṃ kalhāraśca guḍūcikā /	SAlmalI nimba-paMcAMgam kalhAraH-ca guxUcikA /
   nirguṃḍī ca samāṃśāni kārayedbhiṣaguttamaḥ // YRps_3.50 //	nirguMxI ca sama-aMSAni kArayet-Bizaj-uttamaH // YRpH-_3.50 //
   cūrṇīkṛtya ca tatsarvaṃ parpaṭyāścānupānakam /	cUrNIkRtya ca tat-sarvam parpawyAH-ca-anupAnakam /
   aṣṭādaśa ca kuṣṭhāni nihantyeva na saṃśayaḥ // YRps_3.51 //	azwAdaSa ca kuzWAni nihanti-eva na saMSayaH // YRpH-_3.51 //
   parpaṭī rasarājaśca rogānhantyanupānataḥ /	parpawI rasarAjaH-ca rogAn-hanti-anupAnataH /
   apathyaṃ naiva bhuñjīyād doṣadūṣyādyapekṣayā // YRps_3.52 //	apaTyam na-eva BuQjIyAt doza-dUzya-Adi-apekzayA // YRpH-_3.52 //
   <rasaparpaṭī>	<rasa-parpawI>
   śuddhaṃ rasaṃ gaṃdhakameva śuddhaṃ pṛthak samāṃśaṃ kuru yatnatastataḥ /	SudDam rasam gaMDakam-eva SudDam pRTak sama-aMSam kuru yatnatas-tatas /
   eraṃḍamūlasya rasena sūtaṃ tathādrikarṇyā svarasena mardayet // YRps_3.53	eraMxa-mUlasya rasena sUtam taTA-adrikarNyA svarasena mardayet // YRpH-_3.53
   taṃ kākamācyāḥ svarasena piṣṭvā tathā ca taṃ dāḍimabījatoyaiḥ /	tam kAkamAcyAH svarasena pizwvA taTA ca tam dAxima-bIja-toyEH /
   krameṇa sūtaṃ hi dinaiścaturbhiḥ śuddhatvamāyāti hi niścayena // YRps_3.54	krameNa sUtam hi dinEH-caturBiH SudDa-tvam-AyAti hi niScayena // YRpH-_3.54
   tatastu gaṃdhaṃ khalu mārkavadravair vibhāvyamānaṃ kuru lohapātre /	tatas-tu gaMDam Kalu mArkava-dravEH viBAvyamAnam kuru loha-pAtre /
   pradrāvayettaṃ badarasya cāgninā praḍhālayed bhṛṃgarase trivāram //	pradrAvayet-tam badarasya ca-agninA praXAlayet BRMga-rase tri-vAram //
   YRps_3.55 //	YRpH-_3.55 //
   kāryā tataḥ kajjalikā vimardya tāṃ drāvayellohamaye supātre /	kAryA tatas kajjalikA vimardya tAm drAvayet-loha-maye su-pAtre /
   praḍhālayettāṃ kadalīdale hi saṃchādya cānyena dalena paścāt // YRps_3.56	praXAlayet-tAm kadalI-dale hi saMCAdya ca-anyena dalena paScAt // YRpH-_3.56
   tasyās tv adhordhvaṃ pradadīta gomayaṃ śītīkṛtā gavyaghṛtena bharjitā /	tasyAH tu aDorDvam pradadIta gomayam SItIkRtA gavya-GRtena BarjitAH /
   rogānaśeṣānmaladoṣajātān hinasti caiṣā rasaparpaṭī hi // YRps_3.57 //	rogAn-aSezAn-mala-doza-jAtAn hinasti ca-ezA rasa-parpawI hi // YRpH-_3.57 //
   sā jīrakeṇaiva tu rāmaṭhena vātāmaśūlaṃ gṛhaṇīṃ sakāmalām /	sA jIrakeNa-eva tu rAmaWena vAta-Ama-SUlam gRhaNIm sa-kAmalAm /
   gulmāni cāṣṭāvudarāṇi hanyāt saṃsevitā śuddharasasya parpaṭī // YRps_3.58	gulmAni ca-azwO=-udarANi hanyAt saMsevitA SudDa-rasasya parpawI // YRpH-_3.58
   mayāpi sadvaidyahitāya nūnaṃ pradarśiteyaṃ khalu roganāśinī // YRps_3.59	mayA-api sat-vEdya-hitAya nUnam pradarSitA-iyam Kalu roga-nASinI // YRpH-_3.59
   <mercury:: māraṇa>	<mercuH-y:: mAraNa>
   sūtaṃ suśuddhaṃ lavaṇaiścaturbhiḥ kṣāraistribhiścāpi vimardayecca /	sUtam su-SudDam lavaNEH-caturBiH kzArEH-triBiH-ca-api vimardayet-ca /
   saṃśoṣya paścādapi hiṃgurājikā- śuṃṭhībhirebhiśca samaṃ vimardya //	saMSozya paScAt-api hiMgu-rAjikA SuMWIBiH-eBiH-ca samam vimardya //
   YRps_3.60 //	YRpH-_3.60 //
   rasena sārdhaṃ hi kumārikāyā mūṣāṃ vidadhyādravigharmaśoṣitām /	rasena sArDam hi kumArikAyAH mUzAm vidaDyAt-ravi-Garma-SozitAm /
   tasyāṃ nidhāyātha rasasya golakaṃ taṃ sveditaṃ cāmlarasena samyak //	tasyAm niDAya-aTa rasasya golakam tam sveditam ca-amla-rasena samyak //
   YRps_3.61 //	YRpH-_3.61 //
   yāmāṣṭakenāgnikṛtena dolayā paścād rasenābhivimardito'sau /	yAma-azwakena-agni-kRtena dolayA paScAt rasena-aBivimarditaH-asO /
   bhekaparṇyuruvubhṛṃgarājakaiḥ śṛṅgaveragirikarṇikārasaiḥ // YRps_3.62 //	BekaparNI-uruvu-BRMgarAjakEH SRFgavera-girikarNikA-rasEH // YRpH-_3.62 //
   kākamācijavibhaktikājalair dhūrtajairapi jayantikādravaiḥ /	kAkamAci-ja-viBaktikA-jalEH DUrta-jEH-api jayantikA-dravEH /
   siṃdhuvārakarasena marditaṃ masṛṇakhalvatale trivāsaram // YRps_3.63 //	siMDuvAraka-rasena marditam masRNa-Kalva-tale tri-vAsaram // YRpH-_3.63 //
   pratirasaṃ ca viśoṣya hi bhakṣayed raktikādvayamitaṃ rujāpaham /	pratirasam ca viSozya hi Bakzayet raktikA-dvaya-mitam rujA-apaham /
   kekimāhiṣavarāhapittakaiḥ kacchapasya ca rasena marditam /	keki-mAhiza-varAha-pittakEH kacCapasya ca rasena marditam /
   jāyate'dhikataraṃ guṇena vai sannipātabhavamūrcchanaṃ jayet // YRps_3.64	jAyate-aDikataram guNena vE sannipAta-Bava-mUrcCanam jayet // YRpH-_3.64
   yaḥ śrīsūtavarasya sevanamidaṃ nityaṃ karotīha vai	yaH SrI-sUtavarasya sevanam-idam nityam karoti-iha vE
   dīrghāyurdhanadhānyadharmasahitaḥ prāpnoti saukhyaṃ param /	dIrGa-AyuH-Dana-DAnya-Darma-sahitaH prApnoti sOKyam param /
   loke kīrtiparaṃparāṃ vitanute dharme matirjāyate prānte tasya parā gatirhi	loke kIrti-paraMparAm vitanute Darme matiH-jAyate prAnte tasya parA gatiH-hi
   niyataṃ satyaṃ śivenoditam // YRps_3.65 //	niyatam satyam Sivena-uditam // YRpH-_3.65 //
   YRps, Adhyāya 4	YRps, ADyAyaH 4
   athedānīṃ pravakṣyāmi dhātuśodhanamāraṇam /	aTa-idAnIm pravakzyAmi DAtu-SoDana-mAraNam /
   anubhūtaṃ mayā kiṃcit kiṃcit śāstrānusārataḥ // YRps_4.1 //	anuBUtam mayA kiMcid kiMcid SAstra-anusArataH // YRpH-_4.1 //
   <aṣṭadhātavaḥ>	<azwa-DAtavaH>
   suvarṇaṃ rajataṃ ceti śuddhalohamudīritam /	suvarNam rajatam ca-iti SudDa-loham-udIritam /
   tāmraṃ caivāśmasāraṃ ca nāgavaṃgau tathaiva // YRps_4.2 //	tAmram ca-eva-aSmasAram ca nAga-vaMgO taTA-eva // YRpH-_4.2 //
   pūtilohaṃ nigaditaṃ dvitīyaṃ rasavedinā /	pUtiloham nigaditam dvitIyam rasa-vedinA /
   saṃmiśralohaṃ tritayaṃ saurāṣṭrarītivartakam /	saMmiSra-loham tritayam sOrAzwra-rIti-vartakam /
   ete'ṣṭau dhātavo jñeyā lohānyevaṃ bhavanti hi // YRps_4.3 //	ete-azwO DAtavaH jQeyAH lohAni-evam Bavanti hi // YRpH-_4.3 //
   <suvarṇabhedāḥ>	<suvarNa-BedAH>
   suvarṇaṃ dvividhaṃ jñeyaṃ rasajaṃ khanisaṃbhavam /	suvarNam dviviDam jQeyam rasa-jam Kani-saMBavam /
   anye trayaḥ suvarṇasya prakārāḥ santi noditāḥ // YRps_4.4 //	anye trayaH suvarNasya prakArAH santi na-uditAH // YRpH-_4.4 //
   <gold:: rasaja>	<gold:: rasaja>
   rasajaṃ rasavedhena jāyate hema sundaraṃ /	rasa-jam rasa-veDena jAyate hema sundaram /
   taccaturdaśavarṇāḍhyaṃ sarvakāryakaraṃ param // YRps_4.5 //	tat-caturdaSa-varNa-AXyam sarva-kArya-karam param // YRpH-_4.5 //
   <khanija:: origin>	<Kanija:: origin>
   parvate bhūmideśeṣu khanyamāneṣu kutracit /	parvate BUmi-deSezu KanyamAnezu kutracid /
   dṛśyate khanijaṃ prājñais taccaturdaśavarṇakam // YRps_4.6 //	dRSyate Kani-jam prAjQEH tat-caturdaSa-varNakam // YRpH-_4.6 //
   <gold:: śodhana>	<gold:: SoDana>
   rūpyādiyogena yadā miśraṃ svarṇaṃ hi jāyate /	rUpya-Adi-yogena yadA miSram svarNam hi jAyate /
   hemakāryaṃ na cettena tadā śodhyaṃ bhiṣagvaraiḥ // YRps_4.7 //	hema-kAryam na ced-tena tadA SoDyam Bizaj-varEH // YRpH-_4.7 //
   hīnavarṇasya hemnaśca patrāṇyeva tu kārayet /	hIna-varNasya hemnaH-ca patrANi-eva tu kArayet /
   khaṭikāpaṭucūrṇaṃ ca kāṃjikena pramardayet // YRps_4.8 //	KawikA-pawu-cUrNam ca kAMjikena pramardayet // YRpH-_4.8 //
   patrāṇi lepayettena kalkenātha prayatnataḥ /	patrANi lepayet-tena kalkena-aTa prayatnataH /
   āraṇyotpalakaiḥ kāryā koṣṭhikā nātivistṛtā // YRps_4.9 //	AraNyotpalakEH kAryA kozWikA na-ati-vistRtAH // YRpH-_4.9 //
   madhye tatsaṃpuṭaṃ muktvā vahniṃ prajvālayettataḥ /	maDye tad-saMpuwam muktvA vahnim prajvAlayet-tatas /
   evaṃ puṭatrayaṃ dattvā śuddhaṃ hema samuddharet // YRps_4.10 //	evam puwa-trayam dattvA SudDam hema samudDaret // YRpH-_4.10 //
   na tu śuddhasya hemnaśca śodhanaṃ kārayedbhiṣak /	na tu SudDasya hemnaH-ca SoDanam kArayet-Bizaj /
   anyeṣāmeva lohānāṃ śodhanaṃ kārayed bhiṣak // YRps_4.11 //	anyezAm-eva lohAnAm SoDanam kArayet Bizaj // YRpH-_4.11 //
   <gold:: māraṇa:: niruttha>	<gold:: mAraNa:: nirutTa>
   tataḥ svarṇabhavaṃ patraṃ tāpitaṃ hi vinikṣipet /	tatas svarNa-Bavam patram tApitam hi vinikzipet /
   jvālāmukhīrase ṣaṣṭhī- puṭairbhasmībhavatyalam // YRps_4.12 //	jvAlAmuKI-rase zazWI puwEH-BasmIBavati-alam // YRpH-_4.12 //
