   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   ānemi magnaiḥ śitikaṇṭhapakṣakṣodadyutaścukṣudire rathaughaiḥ  //	Anemi magnEH SitikaNWa pakza kzoda dyutaH cukzudire raTa oGEH  //
   MSpv_3.28 //	MSpu _3.28 //
   na laṅghayāmāsa mahājanānāṃ śirāṃsi naivoddhatimājagāma  /	na laFGayAmAsa mahAjanAnAm SirAMsi na eva udDatim AjagAma  /
   aceṣṭatāṣṭāpadabhūmireṇuḥ padāhato yatsadṛśaṃ garimṇaḥ  // MSpv_3.27 //	acezwata azwApada BUmi reNuH pada AhataH yat sadRSam garimNaH  // MSpu _3.27 //
   niruddhyamānā yadubhiḥ kathañcinmuhuryaduccikṣipuragrapādān  /	nirudDyamAnAH yaduBiH kaTaQcid muhur yat uccikzi puH agra pAdAn  /
   dhruvaṃ gurūnmārgarudhaḥ karāndrānullaṅghya gantuṃ turagāstatīṣuḥ  //	Druvam gurUn mArga ruDaH karAndrAn ullaFGya gantum turagAH tatIzuH  //
   MSpv_3.29 //	MSpu _3.29 //
   avekṣitānāyatavalgamagre turaṅgibhiryatnaniruddhavāhaiḥ  /	avekzitAn Ayata valgam agre turaFgiBiH yatna nirudDa vAhEH  /
   prakīḍitānreṇubhiretya tūrṇaṃ ninyayurjananyaḥ pṛthukānpathibhyaḥ  //	prakIxitAn reNuBiH etya tUrNam ninyayuH jananyaH pRTukAn paTiByaH  //
   MSpv_3.30 //	MSpu _3.30 //
   didṛkṣamāṇaḥ pratirathyamīyurmurārimārādanaghaṃ janaughāḥ  /	didRkzamANaH pratiraTyam IyuH mura arimArAt anaGam jana oGAH  /
   anekaśaḥ saṃstutamapyanalpā navaṃ navaṃ pratiraho karoti  // MSpv_3.31 //	anekaSas saMstutam api analpAH navam navam pratirahaH karoti  // MSpu _3.31 //
   upeyuṣo vartma nirantarābhirasau nirucchvāsamanīkanībhiḥ  /	upeyuzaH vartma nirantarABiH asO nirucCvAsam anIkanIBiH  /
   rathasya tasyāṃ puri dattacakṣurvidvānvidāmāsa śanairna yātam  //	raTasya tasyAm puri datta cakzuH vidvAn vidAmAsa SanEs na yAtam  //
   MSpv_3.32 //	MSpu _3.32 //
   madhyesamudraṃ kakubhaḥ piśaṅgīryā kurvatī kāñcanavaprabhāsā  /	maDyesamudram kakuBaH piSaFgIryA kurvatI kAQcanava praBAsA  /
   turaṅgakāntāmukhahavyavāhajvāleva bhitvā jalamullalāsa  // MSpv_3.33 //	turaFga kAntA muKa havyavAha jvAlA iva BitvA jalam ullalAsa  // MSpu _3.33 //
   kṛtāspadā bhūmibhṛtāṃ sahasrairudanvadambhaḥparivītamūrtiḥ  /	kRta AspadA BUmiBRtAm sahasrEH udanvat amBaH parivIta mUrtiH  /
   anirvidā yā vidadhe vidhātrā pṛthivī pṛthivyāḥ pratiyātaneva  // MSpv_3.34	anirvidA yA vidaDe viDAtrA pRTivI pRTivyAH pratiyAtanA iva  // MSpu _3.34
   tvaṣṭuḥ sadābhyāsagṛhītaśilpavidajñānasaṃpatprasarasya sīmā  /	tvazwuH sadA aByAsa gRhIta Silpa vidajQAna saMpad prasarasya sImA  /
   adṛśyatādarśatalāmaleṣu chāyeva yā svarjaladherjaleṣu  // MSpv_3.35 //	adRSya ta AdarSa tala amalezu CAyA iva yA svarjalaDeH jalezu  // MSpu _3.35 //
   rathāṅgabhartre 'bhinavaṃ varāya yasyāḥ piteva pratipāditāyāḥ  /	raTAFga Bartre aBinavam varAya yasyAH pitA iva pratipAditAyAH  /
   premṇopakaṇṭhaṃ muhuraṅgabhājo ratnavalīrambudhirābabandha  // MSpv_3.36	premNA upakaNWam muhur aFga BAjaH ratna valIH ambuDiH AbabanDa  // MSpu _3.36
   yasyāścaladvāridhivīcichchaṭocchalacchaṅkhakulākulena  /	yasyAH calat vAriDi vIciCCawa ucCala= SaFKa kula Akulena  /
   vapreṇa parntacaroḍucakraḥ sumeruvapro 'hamanvakāri  // MSpv_3.37 //	vapreNa parnta cara uxu cakraH sumeru vapraH aham anvakAri  // MSpu _3.37 //
   vaṇikpathe pūgakṛtāni yatra bhramāgatairambubhiramburāśiḥ  /	vaNikpaTe pUga kRtAni yatra Brama AgatEH ambuBiH amburASiH  /
   lolairalodyutibhāñji muṣṇanratnāni ratnākaratāmavāpa  // MSpv_3.38 //	lolEH alaH dyuti BAQji muzNan ratnAni ratnAkara tAm avApa  // MSpu _3.38 //
   ambhucyutaḥ komalaratnarāśīnapāṃnidhiḥ phenapinaddhabhāsaḥ  /	amBu cyutaH komala ratna rASIna pAMniDiH Pena pinadDa BAsaH  /
   trātape dātumivādhitalpaṃ vistārāyamāsa taraṅgahastaiḥ  // MSpv_3.39 //	trAtape dAtum iva ADi talpam vistArAyamAsa taraFga hastEH  // MSpu _3.39 //
   yacchālamuttaṅgatayā vijetuṃ dūrādudasthīyata sāgarasya  /	yat SAlam uttaFga tayA vijetum dUrAt udasTIyata sAgarasya  /
   mahormibhivyāhatavāñchitārthairvīḍādivābhyāśagatairvililye  // MSpv_3.40	mahA UrmiBi vyAhata vAQCita arTEH vIxAt iva aByASa gatEH vililye  // MSpu _3.40
   kutūhalena javādupetya prākārabhityā sahasā niṣiddhaḥ  /	kutUhalena javAt upetya prAkAraBityA sahasA nizidDaH  /
   rasannarodīdbhṛśamambuvarṣavyājena yasyā bahirambuvāhaḥ  // MSpv_3.41 //	rasan= arodIt BRSam ambu varza vyAjena yasyAH bahis ambuvAhaH  // MSpu _3.41 //
   yadaṅganarūpasarūpatāyāḥ kañcidguṇaṃ bhedakamicchatībhiḥ  /	yad aFgana rUpa sarUpa tAyAH kaQcid guNam Bedakam icCatIBiH  /
   ārādhito 'ddhā manurapsarobhiścakre prajāḥ svāḥ sanimeṣacihnāḥ  //	ArADitaH adDAH manuH apsaroBiH cakre prajAH svAH sa nimeza cihnAH  //
   MSpv_3.42 //	MSpu _3.42 //
   sphurattuṣārāṃśumarīcijālairvinuhnutāḥ sphaṭikapaṅktīḥ  /	sPurat tuzAra aMSu marIci jAlEH vinuhnutAH sPawika paFktIH  /
   āruhya nāryaḥ kṣaṇadāsu yatra nabhogatā devya iva vyārājan  // MSpv_3.43	Aruhya nAryaH kzaNadAsu yatra naBaH gatAH devyaH iva vyArAjan  // MSpu _3.43
   kāntendukāntopalakuṭṭimeṣu pratikṣapaṃ harmyataleṣu yatra  /	kAnta indu kAnta upala kuwwimezu pratikzapam harmya talezu yatra  /
   uccairadhapātipayomuco 'pi samūhamūhuḥ payayasāṃ praṇālyaḥ  // MSpv_3.44	uccEs aDapa ati payomucaH api samUham UhuH payayasAm praNAlyaH  // MSpu _3.44
   ratau hriyā yatra niśāmyadīpāñjālagatābhyo 'dhigṛhaṃ gṛhiṇyaḥ /	ratO hriyAH yatra niSAmi a dIpAn jAla gatAByaH aDigRham gRhiNyaH /
   bibhyurbiḍālekṣaṇabhīṣaṇābhyo vaidūryakuḍyeṣu śaśidyutibhyaḥ  // MSpv_3.45	biByuH bixAla IkzaNa BIzaNAByaH vEdUrya kuxyezu SaSi dyutiByaH  // MSpu _3.45
   yasyāmatiślakṣaṇatayā gṛheṣu vidhātumālekhyamaśuknuvantaḥ  /	yasya amati SlakzaNa tayA gRhezu viDAtum AleKyam aSuknuvantaH  /
   cakruryuvānaḥ pratibimbitāṅgāḥ sajīvacitrā iva ratnabhittīḥ  // MSpv_3.46	cakruH yuvAnaH pratibimbita aFgAH sa jIva citrAH iva ratna BittIH  // MSpu _3.46
   sāvarṇyabhājāṃ pratimāgatānāṃ lakṣyaiḥ smarapāṇḍutayāṅganānām  /	sAvarNya BAjAm pratimA AgatAnAm lakzyEH smara pANxu tayA aFganAnAm  /
   yasyāṃ kapolaiḥ kaladhautadhāmastambheṣu bheje maṇidarpaṇaśrīḥ  //	yasyAm kapolEH kalaDOta DAma stamBezu Beje maNi darpaNa SrIH  //
   MSpv_3.47 //	MSpu _3.47 //
   śukāṅganīlopalanirmitānāṃ lipteṣu bhāsā gṛhadehalīnāṃ  /	Suka aFga nIlA upala nirmitAnAm liptezu BAsA gRha deha lInAm  /
   yasyāmalindeṣu na cakrureva mugdhāṅganā gomayagomukhāni  // MSpv_3.48 //	yasya Amalindezu na cakruH eva mugDa aFganAH gomaya gomuKAni  // MSpu _3.48 //
   gopānasīṣu kṣaṇamāsthitānāmālambibhiścandrakāṇāṃ kalāpaiḥ  /	gopAnasIzu kzaNam AsTitAnAm AlambiBiH candrakANAm kalApEH  /
   harinmaṇiśyāmatṛṇābhirāmaigṛhāṇi nīdhrairiva yatra rejuḥ  // MSpv_3.49 //	harinmaNi SyAma tRNa aBirAma egRhANi nIDrEH iva yatra rejuH  // MSpu _3.49 //
   bṛhattulairapipyatulairvatānamālāpinaddhairapi cāvitānai  /	bRhat tulEH apipya tulEH vatAnam AlA pinadDEH api ca avitAnE  /
   reje vicitrairapi yā sacitraigṛhairviśālairapi bhūriśālai  // MSpv_3.50 //	reje vicitrEH api yA sa citra egRhEH viSAlEH api BUri SAlEH  // MSpu _3.50 //
   cikraṃsayā kṛtrimapattripaṃṅkateḥ kapotapālīṣu niketanānāṃ  /	cikraMsayA kRtrima pattri paMFkateH kapotapAlIzu niketanAnAm  /
   mārjāramapyātaniścalāṅkaṃ yasyāṃ janaḥ kṛtrimameva mene  // MSpv_3.51 //	mArjAram api Ata niScala aFkam yasyAm janaH kRtrimam eva mene  // MSpu _3.51 //
   kṣitipratiṣṭhopi mukhāravindairvadhūjanaścandramadhaścakāra  /	kziti pratizWopi muKa aravindEH vaDU janaH candram aDas cakAra  /
   atītanakṣatrapathāni yatra prasādaśṛṅgāṇi vṛthādhyarukṣat  // MSpv_3.52 //	atIta nakzatra paTAni yatra prasAda SRFgANi vRTA aDyarukzat  // MSpu _3.52 //
   ramyā iti prāptavatīḥ patākā rāgaṃ viviktā iti vardhayantīḥ  /	ramyAH iti prAptavatIH patAkAH rAgam viviktAH iti varDayantIH  /
   yasyāmasevanta namadvalīkāḥ samaṃ vadhūbhirvalabhīryuvānaḥ  // MSpv_3.53	yasyAmasevanta namadvalIkAH samam vaDUBiH vala BIryuvAnaH  // MSpu _3.53
   sugandhitāmapratiyatnapūrvāṃ bibhranti yatra pramadāya puṃsām  /	suganDi tAm apratiyatna pUrvAm biBranti yatra pramadAya puMsAm  /
   madhūni vaktrāṇi ca kāminīnāmāmodakarmavyatihāramīyuḥ  // MSpv_3.54 //	maDUni vaktrANi ca kAminInAm Amoda karma vyatihAram IyuH  // MSpu _3.54 //
   ratāntare yatra gṛhāntareṣu vitardiniryūhaviṭaṅnīḍaḥ  /	rata antare yatra gRha antarezu vitardi niryUha viwaj nIxaH  /
   rutāniśruṇvanvayasāṃ gaṇo 'ntevāsitvamāpa sphuṭamaṅganānām  // MSpv_3.55	ruta aniSruNu anvayasAm gaNaH antevAsi tvam Apa sPuwam aFganAnAm  // MSpu _3.55
   channe 'pi spaṣṭatareṣu yatra svacchāni nārīkucamaṇḍaleṣu  /	Canne api spazwatarezu yatra svacCAni nArI kuca maNxalezu  /
   ākāśasāmyaṃ dadhurambarāṇi na nāmataḥ kevalamarthataḥ'pi  // MSpv_3.56 //	AkASa sAmyam daDuH ambarANi na nAmataH kevalam arTataH api  // MSpu _3.56 //
   yasyāmajihmā mahatīmapaṅgāḥ sīmānamatyāyatayo 'tyajantaḥ  /	yasyAm ajihmA mahati im apaFgAH sImAnam atyAyatayaH atyajantaH  /
   janairajāskhalanai jātu dvayepyamucyanta vinītamārgāḥ  // MSpv_3.57 //	janEH ajA sKalanEH jAtu dvayepi amucyanta vinIta mArgAH  // MSpu _3.57 //
   paraspasphardhiparārghyarūpāḥ paurastriyo yatra vidhāya vedhāḥ  /	paraspa sParDi para arGya rUpAH pOra striyaH yatra viDAya veDAH  /
   śrīnirmitaprāptaguṇakṣataikavarṇopamāvācyamalaṃ mamārja  // MSpv_3.58 //	SrI nirmita prApta guNa kzata eka varNa upamA vAcya malam mama Arja  // MSpu _3.58 //
   kṣuṇṇaṃ yadantaḥkaraṇenavṛkṣāḥ phalanti kalpopadāstadeva  /	kzuNNam yad antaHkaraNenavRkzAH Palanti kalpa upadAH tat eva  /
   adhyūṣuṣo yāmabhavañjanasya yāḥ sampadastā manaso 'pyagamyāḥ  // MSpv_3.59	aDyUzuzaH yAma Bavan janasya yAH sampadaH tAH manasaH api agamyAH  // MSpu _3.59
   kalā dadhānaḥ sakalāḥ sbhābhirudbhāsayansaudhasitābhirāśāḥ  /	kalAH daDAnaH sakalAH sBABiH udBAsayan sODa sitABiH ASAH  /
   yāṃ revatījāniriyeṣa hātuṃ na rauhiṇīyo na ca rohiṇīśaḥ  // MSpv_3.60 //	yAm revatI jA niH iyeza hAtum na rOhiNIyaH na ca rohiNI ISaH  // MSpu _3.60 //
   bāṇāhavavyāhataśaṃbhuśakterāsattimāsādya janārdanasya  /	bANa Ahava vyAhata SaMBu SakteH Asattim AsAdya janArdanasya  /
   śarīriṇā jaitraśareṇa yatra niḥśaṅghamūṣe makaradhvajena  // MSpv_3.61 //	SarIriNA jEtra SareNa yatra niHSaFGa mUze makaraDvajena  // MSpu _3.61 //
   niṣevyamāṇena śivaimarudbhiradhyāsyamānā hariṇā cirāya  /	nizevyamANena SivEmarudBiH aDyAsyamAnA hariNA cirAya  /
   udraśmiratnāṅkuradhāmni sindhāvāhāsta merāvamarāvatīṃ yā  // MSpv_3.63 //	udraSmi ratna aFkura DAmni sinDA= AhAH te merO= amarAvatIm yA  // MSpu _3.63 //
   snagdhāñjanasyamaruciḥ suvṛttaḥ badvā ivādvaṃsitavarṇakānteḥ  /	snagDAQjanasyam aruciH su vRttaH badvA iva advaMsita varNa kAnteH  /
   viśeṣako vā viśiśeṣa yasyāḥ śriyantrilokītilakaḥ sa eva  // MSpv_3.62 //	viSezakaH vA viSiSeza yasyAH SriyantrilokI tilakaH saH eva  // MSpu _3.62 //
   tāmīkṣamāṇaḥ sa puraṃ purastātprāpatpratolīmatulapratāpaḥ  /	tAm IkzamANaH sa puram purastAt prApat pratolIm atula pratApaH  /
   vajraprabhodbhāsisurāyudhaśrīryā devaseneva parairalaṅghyā  // MSpv_3.64	vajra praBA udBAsi surAyuDa SrIH yA devasenA iva parEH alaFGyA  // MSpu _3.64
   prajā ivāṅgādaravindanābheḥ śaṃbhorjaṭājūṭataṭādivāpaḥ  /	prajAH iva aFgAt aravinda nABeH SaMBoH jawAjUwa tawa Adi vApaH  /
   mukhādivātha śrutayo vidhātuḥ purānnirīyurmurajiddhvajinyaḥ  // MSpv_3.65	muKAt iva aTa SrutayaH viDAtuH purAt nirIyuH murajit DvajinyaH  // MSpu _3.65
   śliḥṣyadbhiranyonamukhāgrasaṅgaskhalatkhalīnaṃ haribhirvilolaiḥ  /	SliHzyadBiH anyona muKa agra saFga sKalat KalInam hariBiH vilolEH  /
   parasparotpīḍitajānubhāgā duḥkhena niśacakramuraśvavārāḥ  // MSpv_3.66 //	paraspara utpIxita jAnu BAgAH duHKena niSa cakramuH aSva vArAH  // MSpu _3.66 //
   nirantarāle 'pi vimucmāne dūraṃ pathi prāṇabhṛtāṃ gaṇena  /	nirantarAle api vimucmAne dUram paTi prANaBRtAm gaNena  /
   tejomahadbhistamaseva dīpairdvīpairasaṃbadhamayāṃbabhūve  // MSpv_3.67 //	tejaH mahadBiH tamasA iva dIpEH dvIpEH asaMbaDa mayAMbaBUve  // MSpu _3.67 //
   śanairanīyanta rayātpatantorathāḥ kṣitiṃ hastinakhādakhedaiḥ  /	SanEs anIyanta rayAt patantoraTAH kzitim hasti naKa At a KedEH  /
   sayatnasūtāyataraśamibhugnagrīvāgrasaṃsaktayugaisturaṅgai  // MSpv_3.68 //	sa yatna sUta Ayatara Sami Bugna grIvA agra saMsakta yugEH turaFgEH  // MSpu _3.68 //
   balormibhistatkṣaṇahīyamānarathyābhujāyā valayairivāsyāḥ  /	bala UrmiBiH tad kzaNa hIyamAna raTyA BujAyAH valayEH iva asyAH  /
   prāyeṇaniṣkrāmaticakrapāṇai neṣeṭaṃ paro dvāravatītvamāsīt  // MSpv_3.69	prAyeNa nizkrAm ati cakrapANE nezewam paraH dvAravatI tvam AsIt  // MSpu _3.69
   pārejalaṃnīranidherapaśyanmurārirānīlapalāśarāśīḥ  /	pArejalaMnIra niDeH apaSyat murAriH AnIla palASa rASIH  /
   vanāvalīrutkalikāsahasrapratikṣaṇotkūlitaśaivalābhāḥ  // MSpv_3.71 //	vana AvalIH utkalikA sahasra pratikzaNa utkUlita SEvala ABAH  // MSpu _3.71 //
   lakṣībhṛtaḥ'mbhodhitaṭādhivāsāndramānasau nīradanīlabhāsaḥ  /	lakzIBRtaH amBoDi tawa aDivAsAndra mAnasO nIrada nIla BAsaH  /
   latāvadhūsaṃprayujo 'divelaṃ bahūkṛtānsvāniva paśayati sma  // MSpv_3.70	latA vaDU saMprayujaH adivelam bahUkRtAn svAn iva paSayati sma  // MSpu _3.70
   āśliṣṭabhūmiṃ rasitāramuccairloladdhvajākāra bṛhattaraṅgaṃ  /	ASlizwa BUmim rasitAram uccEs lolat Dvaja AkAra bRhat taraFgam  /
   phenāyamānaṃ patimāpagānāmasāvapasmāriṇamāśasaṅge  // MSpv_3.72 //	PenAyamAnam patim ApagAnAm asO= apasmAriNam ASasaFge  // MSpu _3.72 //
   pītvā jalānāṃ nidhinātigārdhyādvṛddhiṅgate 'pyātmani naiva māntīḥ  /	pItvA jalAnAm niDinA atigArDyAt vRdDiFgate api Atmani na eva mAntIH  /
   kṣiptā ivendoḥ sa ruco 'dhivelaṃ muktāvalīrākalayāñcakāra  // MSpv_3.73 //	kziptAH iva indoH sa rucaH aDivelam muktA valIrA kalayAQcakAra  // MSpu _3.73 //
   sāṭopamurvīmaniśaṃ nadantaḥ yaiḥ plavayiṣyanti samantataḥ'mī  /	sa Awopam urvIm aniSam nadantaH yEH plavayizyanti samantataH amI  /
   tānyakadeśānnibhṛtaṃpayodheḥ so 'mbhāṃsi meghānpibataḥ dadarśa  //	tAni aka deSAn niBRtaMpayoDeH saH amBAMsi meGAn pibataH dadarSa  //
   MSpv_3.74 //	MSpu _3.74 //
   uddhṛtyameghaistata eva toyamarthaṃ munīndrairiva saṃpraṇītāḥ  /	udDRtya meGEH tatas eva toyam arTam muni indrEH iva saMpraNItAH  /
   ālokayāmāsa hariḥ patantīrnadīḥ smṛtirvadamivāmburāśim  // MSpv_3.75 //	AlokayAmAsa hariH patantIH nadIH smRtiH vadam iva amburASim  // MSpu _3.75 //
   vikrīya diśyāni dhanānyurūṇidaipyānasāvuttamalābhabājaḥ  /	vikrIya diSyAni DanAni urUNi dEpyAn asO= uttama lABa bAjaH  /
   tarīṣu tatratyamaphalgu bhāṇḍaṃ sāṃyāntrikānāvāpataḥ'bhyanandat  //	tarIzu tatratyam aPalgu BANxam sAMyAntrikAnO= ApataH aByanandat  //
   MSpv_3.76 //	MSpu _3.76 //
   utpitsavo 'ntarnadabharturuccairgarīyasā niḥśvasitānilena  /	utpitsavaH antar nada BartuH uccEs garIyasA niHSvasita anilena  /
   payāṃsi bhaktyā garuḍadhvajasya dhvājānivoccikṣipire phaṇīndrāḥ  //	payAMsi BaktyA garuxaDvajasya DvAjAn iva uccikzipire PaNi indrAH  //
   MSpv_3.77 //	MSpu _3.77 //
   tamāgataṃ vīkṣya yugāntabandhumutsaṅgaśayyāśayamamburāśiḥ  /	tam Agatam vIkzya yugAnta banDum utsaFga SayyA ASayam amburASiH  /
   pratyujjagāmeva gurupramodaprasāritottuṅgataraṅgabāhuḥ  // MSpv_3.78 //	pratyujjagAma iva guru pramoda prasArita uttuFga taraFga bAhuH  // MSpu _3.78 //
   utsaṅgitāmbhaḥkaṇaka nabhasvānudanvataḥ svadalavānmamārja  /	utsaFgita amBaH kaNaka naBasvAn udanvataH sva dalavAn mamArja  /
   tasyānuvelaṃ vrajataḥ'dhivelaṃmelālatāsephālanalabedhagandhaḥ  //	tasya anuvelam vrajataH aDivelaMmelA latA sePAla nala beDa ganDaH  //
   MSpv_3.80 //	MSpu _3.80 //
   uttālatālīvanasaṃpravṛttasamīrasīmantitaketakīkāḥ  /	uttAla tAlI vana saMpravRtta samIra sI mantita ketakIkAH  /
   āsedire lāvaṇasaindhavīnāṃ camūcaraiḥ kacchabhuvāṃ pradeśāḥ  // MSpv_3.79	Asedire lAvaNa sEnDavInAm camU carEH kacCa BuvAm pradeSAH  // MSpu _3.79
   lavaṅgamālākalitāvataṃsāste nārikelāntarapaḥ pibantaḥ  /	lavaFga mAlA kalita avataMsAH te nArikela antarapaH pibantaH  /
   āsvāditādrakramukāḥ samudrādabhyāgatasya pratipattimīyuḥ  // MSpv_3.81 //	AsvAdita adrakramukAH samudrAt aByAgatasya pratipattim IyuH  // MSpu _3.81 //
   turagaśatākulasya paritaḥ paramekaturaṅgajanmanaḥ pramathitabhūbhṛtaḥ	turaga Sata Akulasya paritas param eka turaFga janmanaH pramaTita BUBRtaH
   pratipathaṃ mathitasya bhṛśaṃ mahībhṛtā  /	pratipaTam maTitasya BRSam mahIBRtA  /
   paricalataḥ balānujabalasya puraḥ satataṃ dhṛtaśriyaściravigataśriyo	paricalataH bala anuja balasya puras satatam DRta SriyaH cira vigata SriyaH 
   jalanidheśca tadābhavadadantaraṃ mahat  // MSpv_3.82 //	jalaniDeH ca tadA aBavadat antaram mahat  // MSpu _3.82 //
   niśavāsadhūmaṃ saharatnabhārbhittvotthitaṃ bhūmimivoragāṇāṃ  /	niSa vAsa DUmam saha ratna BArBittvA utTitam BUmim iva uragANAm  /
   nīlopalasyūtavicitradhātumasau giriṃ raivatakaṃ dadarśa  // MSpv_4.1 //	nIla upala syUta vicitra DAtum asO girim rEvatakam dadarSa  // MSpu _4.1 //
   gurvīrajasraṃ dṛṣadaḥ samantāduparyuparyambumucāṃvitānaiḥ  /	gurvI rajasram dRzadaH samantAt upari upari ambu mucAMvitAnEH  /
   vindhyāyamānaṃ divasasya bhartumārgaṃ punā roddhumivonnamadbhiḥ  //	vinDyAyamAnam divasasya Bartu mArgam punA rodDum iva unnamadBiH  //
   MSpv_4.2 //	MSpu _4.2 //
   krāntaṃ rucā śyāmalitābhirāmaṃlatābhirāmantritaṣaṭpadābhiḥ  /	krAntam rucA SyAmalita aBirAmaMlatABiH Amantrita zaz padABiH  /
   śritaṃ śilāśyāmalatābhirāmaṃ latābhirāmanatritaṣaṭpadābhiḥ  // MSpv_4.3 //	Sritam SilA SyAma latA aBirAmam latABiH Amana trita zawpadABiH  // MSpu _4.3 //
   sahasrasaṃkhyair gaganaṃ pādair bhuvaṃ vyāpya vitiṣṭhamānam  /	sahasra saMKyEH gaganam pAdEH Buvam vyApya vitizWamAnam  /
   vilocanasthānagatoṣṇaraśminiśākaraṃ sādhu hiraṇyagarbham  // MSpv_4.4 //	vilocana sTAna gata uzNa raSmi niSAkaram sADu hiraNyagarBam  // MSpu _4.4 //
   kvacijjalāpāyavipāṇḍurāṇi dhautottarīyapratimacchavīni  /	kvacid jala apAya vipANxurANi DOta uttarIya pratima= CavIni  /
   abhrāṇibibhrāmumāṅgasaṅgavibhaktabhasmānamiva smarārim  // MSpv_4.5 //	aBrANi biBrAmumAFga saFga viBakta BasmAnam iva smara arim  // MSpu _4.5 //
   chāyāṃ nijastrīcaṭulālasānāṃ madena kiñciccaṭulālasānām  /	CAyAm nija strI cawulA alasAnAm madena kiQcid cawula alasAnAm  /
   kurvāṇamutpiñjalajātapatrairvihaṅgamānāṃ jalajātapatrai  // MSpv_4.6 //	kurvANam utpiQjala jAta patrEH vihaFgamAnAm jala ja Ata patrEH  // MSpu _4.6 //
   skandhādhirūḍhojjvalanīlakaṇṭhānurvīruhaḥ śliṣṭatanūnahīndraiḥ  /	skanDa aDirUXa ujjvala nIla kaNWa anurvIruhaH Slizwa tanUna hi indrEH  /
   pranartitānekalatābhujāgrānrudrānanekāniva dhārayantam  // MSpv_4.7 //	pranartita aneka latA Buja agrAn rudrAn anekAn iva DArayantam  // MSpu _4.7 //
   vilambinīlotpalakarṇapūrā kapolabhittīriva lodhragaurīḥ  /	vilambi nIlotpala karNapUrA kapola BittIH iva loDra gOrIH  /
   navolapālaṅkṛtasaikatābhāḥ śucīrapaḥśaivalanīrdadhānam  // MSpv_4.8 //	nava ula pa alaFkRta sEkata ABAH SucIH apaH SEvala nIrdaDAnam  // MSpu _4.8 //
   rājīvarājīvaśalolabhṛṅgaṃ muṣṇāntamuṣṇaṃ tatibhistarūṇām  /	rAjIva rAjIva Salola BRFgam muzNa antam uzNam tatiBiH tarUNAm  /
   kāntālakāntā lalanāḥ surāṇāṃ rakṣobhirakṣebhitamudvahantam  // MSpv_4.9 //	kAntAlaka antAH lalanAH surANAm rakzoBiH akzeBitam udvahantam  // MSpu _4.9 //
   mude murāreramaraiḥ sumerorānīya yasyopacitasya śṛṅgaiḥ  /	mude murAreH amarEH sumeroH AnIya yasya upacitasya SRFgEH  /
   bhavanti noddāmagirāṃ kavīnāmucchrāyasaundaryaguṇā mṛṣodyāḥ  // MSpv_4.10	Bavanti na uddAma girAm kavInAm ucCrAya sOndarya guNAH mRzodyAH  // MSpu _4.10
   yataḥ parārghyāni bhṛtānyanūnai prasthairmuhurbhūribhiruccikhāni  /	yatas para arGyAni BRtAni anUnEH prasTEH muhur BUriBiH ucciKAni  /
   āḍhyādivaprāpaṇikādajasraṃ jagrāha ratnānyamitāni lokaḥ  // MSpv_4.11 //	AXyAdi va prApaNikAt ajasram jagrAha ratnAni amitAni lokaH  // MSpu _4.11 //
   akhidhyatāsannamudagratāpaṃ raviṃ dadhāne 'pyaravindadhāne  /	aKiDyata Asannam udagra tApam ravim daDAne api aravinda DAne  /
   bhṛṅgāvaliryasyataṭe nipītarasā namattāmarasā na mattā  // MSpv_4.12 //	BRFga AvaliH yasya tawe nipIta rasAH namattAm arasA na mattA  // MSpu _4.12 //
   yatrādhirūḍhenamahīruhoccairunnidrapuṣpākṣisahasrabhājā  /	yatra aDirUXena mahIruha uccEs unnidra puzpa akzi sahasra BAjA  /
   surādhipādhiṣṭhitahastimallalīlāṃ dadhau rājatagaṇḍaśailaḥ  // MSpv_4.13	surADipa aDizWita hasti malla lIlAm daDO rAjata gaNxa SElaH  // MSpu _4.13
   vibhinnavarṇāgaruḍāgrajena sūryasyarathyāḥ paritaḥ sphurantyā  /	viBinna varNa agaruxa agrajena sUryasya raTyAH paritas sPurantyA  /
   ratnaiḥ punaryatra rucaṃ svāmāninyire vaṃśakarīranīlaiḥ  // MSpv_4.14   //	ratnEH punar yatra rucam svAmAninyire vaMSa karIra nIlEH  // MSpu _4.14   //
   yatrojjhitābhirmuhurambuvāhaiḥ samunnamadbhirna samunnamadbhi  /	yatra ujJitABiH muhur ambuvAhEH samunnamadBiH na samunnamadBi  /
   vanaṃ babādhe viṣapāvakotthā vipannagānāmavipannagānām  // MSpv_4.15 //	vanam babADe viza pAvaka utTAH vipanna gAnAm avipanna gAnAm  // MSpu _4.15 //
   phaladbhiruṣṇāṃśukarābhimarśātkarśānavaṃ dhāma pataṅgakāntaiḥ  /	PaladBiH uzNa aMSu kara aBimarSAt karSAnavam DAma pataFga kAntEH  /
   śaśaṃsa yaḥ pātraguṇādguṇānāṃ saṃkrāntimākrāntaguṇātirekām  // MSpv_4.16	SaSaMsa yaH pAtra guNAt guNAnAm saMkrAntim AkrAnta guNa atirekAm  // MSpu _4.16
   dṛṣaṭo 'pi śailaḥ sa muhurmurārerapūrvavadvismayamātatāna  /	dRzawaH api SElaH sa muhur murAreH apUrvavat vismayam AtatAna  /
