   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   sarveṣāmeva pāpānāṃ yaugapadyena nāśanam // BndP_3,8.35 //	sarvezAm eva pApAnAm yOgapadyena nASanam // Bndu _3,8.35 //
   bhaktiśraddhāsamāyuktaḥ snātvāntarjalasaṃsthitaḥ /	Bakti SradDA samAyuktaH snAtvA antar jala saMsTitaH /
   aṣṭottarasahasraṃ tu japetpañcadaśākṣarīm // BndP_3,8.36 //	azwottarasahasram tu japet paQcadaSa akzarIm // Bndu _3,8.36 //
   ārādhya ca parāṃ śaktiṃ mucyate sarvakilbiṣaiḥ /	ArADya ca parAm Saktim mucyate sarva kilbizEH /
   tena naśyanti pāpāni kalpakoṭikṛtānyapi /	tena naSyanti pApAni kalpa kowi kRtAni api /
   sarvāpadbhyo vimucyeta sarvābhīṣṭaṃ ca vindati // BndP_3,8.37 //	sarva ApadByaH vimucyeta sarva aBIzwam ca vindati // Bndu _3,8.37 //
   indra uvāca	indraH uvAca
   bhagavansarvadharmajña sarvabhūtahite rata /	Bagavan sarva Darma jQa sarva BUta hite rata /
   saṃyogajasya pāpasya viśeṣaṃ vaktumarhasi // BndP_3,8.38 //	saMyoga jasya pApasya viSezam vaktum arhasi // Bndu _3,8.38 //
   bṛhaspatiruvāca	bRhaspatiH uvAca
   saṃyogajaṃ tu yatpāpaṃ taccaturdhā nigadyate /	saMyoga jam tu yat pApam tat caturDA nigadyate /
   kartā pradhānaḥ sahakṛnnimitto 'numataḥ kramāt // BndP_3,8.39 //	kartA praDAnaH sahakRt nimittaH anumataH kramAt // Bndu _3,8.39 //
   kramāddaśāṃśato 'ghaṃ syācchuddhiḥ pūrvoktamārgataḥ // BndP_3,8.40 //	kramAt daSa aMSataH aGam syAt SudDiH pUrva ukta mArgataH // Bndu _3,8.40 //
   madyaṃ kalañjaṃ niryāsaṃ chatrākaṃ gṛñjanaṃ tathā /	madyam kalaQjam niryAsam CatrAkam gRQjanam taTA /
   laśunaṃ ca kaliṅgaṃ ca mahākośātakīṃ tathā // BndP_3,8.41 //	laSunam ca kaliFgam ca mahAkoSAtakIm taTA // Bndu _3,8.41 //
   biṃbīṃ ca kavakaṃ caiva hastinīṃ śiśulaṃbikām /	biMbIm ca kavakam ca eva hastinIm SiSulaMbikAm /
   auduṃbaraṃ ca vārtākaṃ katakaṃ bilvamallikā // BndP_3,8.42 //	OduMbaram ca vArtAkam katakam bilvamallikA // Bndu _3,8.42 //
   kramāddaśaguṇaṃ nyūnamaghameṣāṃ vinirdiśet /	kramAt daSaguNam nyUnam aGam ezAm vinirdiSet /
   puragrāmāṅgavaiśyāṅgaveśyopāyanavikrayī // BndP_3,8.43 //	pura grAma aFga vESya aFga veSyA upAyana vikrayI // Bndu _3,8.43 //
   sevakaḥ purasaṃsthaśca kugrāmastho 'bhiśastakaḥ /	sevakaH pura saMsTaH ca ku grAma sTaH aBiSastakaH /
   vaidyo vaikhānasaḥ śaivo nārījīvo 'nnavikrayī // BndP_3,8.44 //	vEdyaH vEKAnasaH SEvaH nArIjIvaH anna vikrayI // Bndu _3,8.44 //
   śastrajīvī parivrāṭ ca vaidikācāranindakaḥ /	Sastra jIvI parivrAj ca vEdika AcAra nindakaH /
   kramāddaśaguṇānnyūnameṣāmannādane bhavet // BndP_3,8.45 //	kramAt daSaguNAn nyUnam ezAm annAdane Bavet // Bndu _3,8.45 //
   svatantraṃ tailakḷptaṃ tu hyuktārthaṃ pāpamādiśet /	svatantram tEla k?ptam tu hi ukta arTam pApam AdiSet /
   taireva dṛṣṭaṃ tadbhuktamuktapāpaṃ vinirdiśet // BndP_3,8.46 //	tEH eva dRzwam tad Bukta mukta pApam vinirdiSet // Bndu _3,8.46 //
   brahmakṣatraviśāṃ caiva saśūdrāṇāṃ yathaudanam /	brahma kzatra viSAm ca eva sa SUdrANAm yaTA odanam /
   tailapakvamadṛṣṭaṃ ca bhuñjanpādamaghaṃ bhavet // BndP_3,8.47 //	tEla pakvam adRzwam ca BuQjan pAdam aGam Bavet // Bndu _3,8.47 //
   dvijātmadāsīkḷptaṃ ca tayā dṛṣṭe tadardhake /	dvija Atma dAsIk?ptam ca tayA dRzwe tad arDake /
   veśyāyāstu tripādaṃ syāttathā dṛṣṭe tadodane // BndP_3,8.48 //	veSyAyAH tu tri pAdam syAt taTA dRzwe tad odane // Bndu _3,8.48 //
   śūdrāvatsyāttu gopānnaṃ vinā gavyacatuṣṭayam /	SUdrAvatsyAt tu gopa annam vinA gavya catuzwayam /
   tailājyaguḍasaṃyuktaṃ pakvaṃ vaiśyānna duṣyati // BndP_3,8.49 //	tEla Ajya guxa saMyuktam pakvam vESyAt na duzyati // Bndu _3,8.49 //
   vaiśyāvadbrāhmaṇī bhraṣṭā tayā dṛṣṭena kiñcana // BndP_3,8.50 //	vESyAvat brAhmaNI BrazwA tayA dRzwena kiQcana // Bndu _3,8.50 //
   bruvasyānnaṃ dvijo bhuktvā prāṇāyāmaśataṃ caret /	bruvasya annam dvijaH BuktvA prANAyAma Satam caret /
   athavāntarjale japtvādrupadāṃ vā trivārakam // BndP_3,8.51 //	aTavA antar jale japtvA adrupadAm vA tri vArakam // Bndu _3,8.51 //
   idaṃ viṣṇustryaṃbakaṃ vā tthaivāntarjale japet /	idam vizNuH tryaMbakam vA tTA eva antar jale japet /
   upoṣya rajanīmekāṃ tataḥ pāpādviśudhyati // BndP_3,8.52 //	upozya rajanIm ekAm tatas pApAt viSuDyati // Bndu _3,8.52 //
   athavā prokṣayedannamabliṅgaiḥ pāvamānikaiḥ /	aTavA prokzayet annam abliFgEH pAva mAnikEH /
   annasūktaṃ japitvā tu bhṛgurvai vāruṇīti ca // BndP_3,8.53 //	anna sUktam japitvA tu BRguH vE vAruNI iti ca // Bndu _3,8.53 //
   brahmārpaṇamiti ślokaṃ japtvā niyamamāśritaḥ /	brahmArpaNam iti Slokam japtvA niyamam ASritaH /
   upoṣya rajanīmekāṃ tataḥ śuddho bhaviṣyati // BndP_3,8.54 //	upozya rajanIm ekAm tatas SudDaH Bavizyati // Bndu _3,8.54 //
   strī bhuktvā tu bruvādyannamekādyānbhojaye ddvijān /	strI BuktvA tu bruva Adi annam eka AdyAn Bojaye ddvijAn /
   āpadi brāhmaṇo hyeṣāmannaṃ bhuktvā na doṣabhāk // BndP_3,8.55 //	Apadi brAhmaNaH hi ezAm annam BuktvA na doza BAj // Bndu _3,8.55 //
   idaṃ viṣṇuriti mantreṇa saptavārābhimantritam /	idam vizNuH iti mantreNa sapta vAra aBimantritam /
   so 'haṃbhāvena taddhyātvā bhuktvā doṣairna lipyate // BndP_3,8.56 //	saH ahaMBAvena tat DyAtvA BuktvA dozEH na lipyate // Bndu _3,8.56 //
   athavā śaṅkaraṃ dhyāyañjaptvā traiyyaṃbakaṃ manum /	aTavA SaFkaram DyAyan japtvA trEyyaMbakam manum /
   so 'haṃbhāvena tajjñānānna doṣaiḥ pravilipyate // BndP_3,8.57 //	saH ahaMBAvena tad jQAnAt na dozEH pravilipyate // Bndu _3,8.57 //
   idaṃ rahasyaṃ devendra śṛṇuṣva vacanaṃ mama /	idam rahasyam deva indra SRNuzva vacanam mama /
   dhyātvā devīṃ parāṃ śaktiṃ japtvā pañcadaśākṣarīm // BndP_3,8.58 //	DyAtvA devIm parAm Saktim japtvA paQcadaSa akzarIm // Bndu _3,8.58 //
   tanniveditabuddhyādau yo 'śnāti pratyahaṃ dvijaḥ /	tad nivedita budDi AdO yaH aSnAti pratyaham dvijaH /
   nāsyānnadoṣajaṃ kiñcinna dāridrayabhayaṃ tathā // BndP_3,8.59 //	na asya anna doza jam kiQcid na dAridraya Bayam taTA // Bndu _3,8.59 //
   na vyādhijaṃ bhayaṃ tasya na ca śatrubhayaṃ tathā /	na vyADi jam Bayam tasya na ca Satru Bayam taTA /
   japato muktirevāsya sadā sarvatra maṅgalam // BndP_3,8.60 //	japataH muktiH eva asya sadA sarvatra maFgalam // Bndu _3,8.60 //
   eṣa te kathitaḥ śakra pāpānāmapi vistaraḥ /	eza te kaTitaH Sakra pApAnAm api vistaraH /
   prāyaścittaṃ tathā teṣāṃ kimanyacchrotumicchasi // BndP_3,8.61 //	prAyaScittam taTA tezAm kim anyat Srotum icCasi // Bndu _3,8.61 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastyasaṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA agastya saMvAde
   lalitopākhyāne 'ṣṭamo 'dhyāyaḥ	lalita upAKyAne azwamaH aDyAyaH
   indra uvāca	indraH uvAca
   bhagavansarva dharmajña trikālajñānavittama /	Bagavan sarva Darma jQa tri kAla jQAna vittamaH /
   duṣkṛtaṃ tatpratīkāro bhavatā samyagīritaḥ // BndP_3,9.1 //	duzkRtam tad pratIkAraH BavatA samyak IritaH // Bndu _3,9.1 //
   kena karmavipākena mamāpadi yamāgatā /	kena karma vipAkena mama Apadi yama AgatAH /
   prāyaścittaṃ ca kiṃ tasya gadasva vadatāṃ vara // BndP_3,9.2 //	prAyaScittam ca kim tasya gadasva vadatAm vara // Bndu _3,9.2 //
   bṛhaspatiruvāca	bRhaspatiH uvAca
   kāśyapasya tato jajñe dityāṃ danuriti smṛtaḥ /	kASyapasya tatas jajQe dityAm danuH iti smRtaH /
   kanyā rūpavatī nāma dhātre tāṃ pradadau pitā // BndP_3,9.3 //	kanyA rUpavatI nAma DAtre tAm pradadO pitA // Bndu _3,9.3 //
   tasyāḥ putrastato jāto viśvarūpo mahādyutiḥ /	tasyAH putraH tatas jAtaH viSvarUpaH mahA dyutiH /
   nārāyaṇaparo nityaṃ vedavedāṅgapāragaḥ // BndP_3,9.4 //	nArAyaNa paraH nityam veda vedAFga pAragaH // Bndu _3,9.4 //
   tato daityeśvaro vavre bhṛguputraṃ purohitam /	tatas dEtya ISvaraH vavre BRgu putram purohitam /
   bhavānadhikṛto rājye devānāmiva vāsavaḥ // BndP_3,9.5 //	BavAn aDikRtaH rAjye devAnAm iva vAsavaH // Bndu _3,9.5 //
   tataḥ pūrve ca kāle tu sudharmāyāṃ tvayi sthite /	tatas pUrve ca kAle tu suDarmAyAm tvayi sTite /
   tvayā kaścitkṛtaḥ praśna ṛṣīṇāṃ sannidhau tadā // BndP_3,9.6 //	tvayA kaScid kRtaH praSnaH RzINAm sanniDO tadA // Bndu _3,9.6 //
   saṃsārastīrthayātrā vā ko 'dhiko 'sti tayorgumaḥ /	saMsAraH tIrTa yAtrA vA kaH aDikaH asti tayoH gumaH /
   vadantu tadviniścitya bhavanto madanugrahāt // BndP_3,9.7 //	vadantu tad viniScitya BavantaH mad anugrahAt // Bndu _3,9.7 //
   tatpraśnasyottaraṃ vaktuṃ te sarva upacakrire /	tad praSnasya uttaram vaktum te sarve upacakrire /
   tatpūrvameva kathitaṃ mayā vidhibalena vai // BndP_3,9.8 //	tat pUrvam eva kaTitam mayA viDi balena vE // Bndu _3,9.8 //
   tīrtha yātrā samadhikā saṃsārāditi ca drutam /	tIrTa yAtrA samaDikA saMsArAt iti ca drutam /
   tacchrutvā te prakupitāḥ śepurmāmṛṣayo 'khilāḥ // BndP_3,9.9 //	tat SrutvA te prakupitAH SepuH mAm RzayaH aKilAH // Bndu _3,9.9 //
   karmabhūmiṃ vrajeḥ śīghraṃ dārirdyeṇa mitaiḥ sutaiḥ /	karma BUmim vrajeH SIGram dArirdyeNa mitEH sutEH /
   evaṃ prakupitaiḥ śaptaḥ khinnaḥ kāñcīṃ samāviśam // BndP_3,9.10 //	evam prakupitEH SaptaH KinnaH kAQcIm samAviSam // Bndu _3,9.10 //
   purīṃ purodhasā hīnāṃ vīkṣya cintākulātmanā /	purIm puroDasA hInAm vIkzya cintA kula AtmanA /
   bhavatā saha devaistu paurohityārthamādarāt // BndP_3,9.11 //	BavatA saha devEH tu pOrohitya arTam AdarAt // Bndu _3,9.11 //
   prārthito viśvarūpastu babhūva tapatāṃ varaḥ /	prArTitaH viSvarUpaH tu baBUva tapatAm varaH /
   svasrīyo dānavānāṃ tu devānāṃ ca purohitaḥ // BndP_3,9.12 //	svasrIyaH dAnavAnAm tu devAnAm ca purohitaH // Bndu _3,9.12 //
   nātyarthama karodvairaṃ daityeṣvapi mahātapāḥ /	na atyarTama kara udvEram dEtyezu api mahA tapAH /
   babhūvatustulyabalau tadā detyendravāsavau // BndP_3,9.13 //	baBUvatuH tulya balO tadA detya indra vAsavO // Bndu _3,9.13 //
   tatastvaṃ kupito rājansvaklīyaṃ dānaveśituḥ /	tatas tvam kupitaH rAjan svaklIyam dAnava ISituH /
   hantumicchannagāścāśu tapasaḥ sādhanaṃ vanam // BndP_3,9.14 //	hantum icCat nagAH ca ASu tapasaH sADanam vanam // Bndu _3,9.14 //
   tamāsanasthaṃ munibhistriśṛṅgamiva parvatam /	tam Asana sTam muniBiH triSRFgam iva parvatam /
   trayī mukharadigbhāgaṃ brahmānadaikaniṣṭhitam // BndP_3,9.15 //	trayI muKara diS BAgam brahmAnada eka nizWitam // Bndu _3,9.15 //
   sarvabhūtahitaṃ taṃ tu matvā ceśānukūlitaḥ /	sarva BUta hitam tam tu matvA ca ISAnu kUlitaH /
   śirāṃsi yaugapadyena chinnātyāsaṃstvayaiva tu // BndP_3,9.16 //	SirAMsi yOgapadyena CinnAti Asan= tvayA eva tu // Bndu _3,9.16 //
   tena pāpena saṃyuktaḥ pīḍitaśca muhurmuhuḥ /	tena pApena saMyuktaH pIxitaH ca muhur muhur /
   tato meruguhāṃ nītvā bahūnabdānhi saṃsthitaḥ // BndP_3,9.17 //	tatas meru guhAm nItvA bahUn abdAn hi saMsTitaH // Bndu _3,9.17 //
   tatastasya vacaḥ śrutvā jñātvā tu munivākyataḥ /	tatas tasya vacaH SrutvA jQAtvA tu muni vAkyataH /
   putra śokena saṃtaptastvāṃ śaśāpa ruṣānvitaḥ // BndP_3,9.18 //	putra Sokena saMtaptaH tvAm SaSApa ruzA anvitaH // Bndu _3,9.18 //
   niḥśrīko bhavatu kṣipraṃ mama śāpena vāsavaḥ /	niHSrIkaH Bavatu kzipram mama SApena vAsavaH /
   anāthakāstato devā viṣaṇṇā daityapīḍitāḥ // BndP_3,9.19 //	anATakAH tatas devAH vizaNNAH dEtya pIxitAH // Bndu _3,9.19 //
   tvayā mayā ca rahitāḥ sarve devāḥ palāyitāḥ /	tvayA mayA ca rahitAH sarve devAH palAyitAH /
   gatvā tu brahmasadanaṃ natvā tadvṛttamūcire // BndP_3,9.20 //	gatvA tu brahma sadanam natvA tad vRttam Ucire // Bndu _3,9.20 //
   tatastu cintayā māsa tadaghasya pratikriyām /	tatas tu cintayA mAsa tad aGasya pratikriyAm /
   tasya pratikriyāṃ vettuṃ na śaśākātmabhūstadā // BndP_3,9.21 //	tasya pratikriyAm vettum na SaSAka AtmaBUH tadA // Bndu _3,9.21 //
   tato devaiḥ parivṛto nārāyaṇamupāgamat // BndP_3,9.22 //	tatas devEH parivRtaH nArAyaNam upAgamat // Bndu _3,9.22 //
   natvā stutvā caturvakrastadvṛttāntaṃ vyajijñapat /	natvA stutvA catur vakraH tad vRttAntam vyajijQapat /
   vicintya so 'pi bahudhā kṛpayā lokanāyakaḥ // BndP_3,9.23 //	vicintya saH api bahuDA kRpayA loka nAyakaH // Bndu _3,9.23 //
   tadaghaṃ tu tridhā bhittvā triṣu sthāneṣvathārpayat /	tat aGam tu triDA BittvA trizu sTAnezu aTa arpayat /
   strīṣu bhūmyāṃ ca vṛkṣeṣu teṣāmapi varaṃ dadau // BndP_3,9.24 //	strIzu BUmyAm ca vRkzezu tezAm api varam dadO // Bndu _3,9.24 //
   tadā bharttṛsamāyogaṃ putrāvāptimṛtuṣvapi /	tadA BarttR samAyogam putra avApti m Rtuzu api /
   chede punarbhavatvaṃ tu sarveṣāmapi śākhinām // BndP_3,9.25 //	Cede punarBava tvam tu sarvezAm api SAKinAm // Bndu _3,9.25 //
   khātapūrtiṃ dharaṇyaśca pradadau madhusūdanaḥ /	KAta pUrtim DaraNyaH ca pradadO maDusUdanaH /
   teṣvaghaṃ prababhūvāśu rajoniryāsamūṣaram // BndP_3,9.26 //	tezu aGam prabaBUva ASu rajaH niryAsam Uzaram // Bndu _3,9.26 //
   nirgato gahvarāttasmāttvamindro devanāyakaḥ /	nirgataH gahvarAt tasmAt tvam indraH devanAyakaH /
   rājyaśriyaṃ ca saṃprāptaḥ prasādātparameṣṭhinaḥ // BndP_3,9.27 //	rAjya Sriyam ca saMprAptaH prasAdAt paramezWinaH // Bndu _3,9.27 //
   tenaiva sāṃtvito dhātā jagāda ca janārdanam /	tena eva sAMtvitaH DAtA jagAda ca janArdanam /
   mama śāpo vṛthā na syādastu kālāntare mune // BndP_3,9.28 //	mama SApaH vRTA na syAt astu kAla antare mune // Bndu _3,9.28 //
   bhagavāṃstadvacaḥ śrutvā muneramitatejasaḥ /	BagavAn= tad vacaH SrutvA muneH amita tejasaH /
   prahṛṣṭo bhāvikāryajñastūṣṇīmeva tadā yayau // BndP_3,9.29 //	prahRzwaH BAvi kArya jQaH tUzNIm eva tadA yayO // Bndu _3,9.29 //
   etāvantamimaṃ kālaṃ trilokīṃ pālayanbhavān /	etAvantam imam kAlam trilokIm pAlayan BavAn /
   eśvaryamadamattatvātkailāsādrimapīḍayata // BndP_3,9.30 //	eSvarya mada matta tvAt kElAsa adrim apIxayata // Bndu _3,9.30 //
   sarvajñena śivenātha preṣito bhagavānmuniḥ /	sarvajQena Sivena aTa prezitaH BagavAn muniH /
   durvāsāstvanmadabhraṃśaṃ karttukāmaḥ śaśāpa ha // BndP_3,9.31 //	durvAsAH tvad mada BraMSam karttu kAmaH SaSApa ha // Bndu _3,9.31 //
   ekameva phalaṃ jātamubhayoḥ śāpayorapi /	ekam eva Palam jAtam uBayoH SApayoH api /
   adhunā paśyaniḥ śrīkantrailokyaṃ samajāyata // BndP_3,9.32 //	aDunA paSyaniH SrIkantra Elokyam samajAyata // Bndu _3,9.32 //
   na yajñāḥ saṃpravarttante na dānāni ca vāsava /	na yajQAH saMpravarttante na dAnAni ca vAsava /
   na yamā nāpi niyamā na tapāsi ca kutracit // BndP_3,9.33 //	na yamAH na api niyamAH na tapAsi ca kutracid // Bndu _3,9.33 //
   viprāḥ sarve 'pi niḥśrīkā lobhopahatacetasaḥ /	viprAH sarve api niHSrIkAH loBa upahata cetasaH /
   niḥsttvā dhairyahīnāśca nāstikāḥ prāyaśo 'bhavan // BndP_3,9.34 //	niHsttvA DErya hInAH ca nAstikAH prAyaSas aBavan // Bndu _3,9.34 //
   nirauṣadhirasā bhūmirnivīrya jāyatetarām /	nirOzaDi rasA BUmiH nivIrya jAyata itarAm /
   bhāskaro dhūsarākāraścandramāḥ kāntivarjitaḥ // BndP_3,9.35 //	BAskaraH DUsara AkAraH candramAH kAnti varjitaH // Bndu _3,9.35 //
   nistejasko havirbhoktā manuddhūlikṛtākṛtiḥ /	nistejaskaH haviH BoktA manudDUli kRta AkRtiH /
   na prasannā diśāṃ bhāgā nabho naiva ca nirmalam // BndP_3,9.36 //	na prasannAH diSAm BAgAH naBaH na eva ca nirmalam // Bndu _3,9.36 //
   durbalā devatāḥ sarvā vibhāntyanyādṛśā iva /	durbalAH devatAH sarvAH viBAnti anyAdRSAH iva /
   vinaṣṭaprayamevāsti trailokyaṃ sacarācaram // BndP_3,9.37 //	vinazwa prayamA iva asti trElokyam sa carAcaram // Bndu _3,9.37 //
   hayagrīva uvāca	hayagrIvaH uvAca
   itthaṃ kathayatoreva bṛhaspatipahendrayoḥ /	itTam kaTayatoH eva bRhaspati paha indrayoH /
   malakādyā mahādaityāḥ svargalokaṃ babādhire // BndP_3,9.38 //	malaka AdyAH mahA dEtyAH svarga lokam babADire // Bndu _3,9.38 //
   nandanodyāna makhilaṃ cicchidurbalagarvitāḥ /	nandana udyAna maKilam cicCiduH bala garvitAH /
   udyānapālakānsarvānāyudhaiḥ samatāḍayan // BndP_3,9.39 //	udyAna pAlakAn sarva an AyuDEH samatAxayan // Bndu _3,9.39 //
   prākāramavabhidyaiva praviśya nagarāntaram /	prAkAram avaBidya eva praviSya nagara antaram /
   mandirasthānsurānsarvānatyantaṃ paryapīḍayan // BndP_3,9.40 //	mandira sTAn surAn sarvAn atyantam paryapIxayan // Bndu _3,9.40 //
   ājahurapsaroratnānyaśeṣāṇi viśeṣataḥ /	AjahuH apsaraH ratnAni aSezANi viSezataH /
   tato devāḥ samastāśca cakrurbhṛśamabādhitāḥ // BndP_3,9.41 //	tatas devAH samastAH ca cakruH BRSam abADitAH // Bndu _3,9.41 //
   tādṛśaṃ ghoṣamākarmya vāsavaḥ projjhitāsanaḥ /	tAdRSam Gozam Akarmya vAsavaH projJita AsanaH /
   sarvairanugato devaiḥ palāyanaparo 'bhavat // BndP_3,9.42 //	sarvEH anugataH devEH palAyana paraH aBavat // Bndu _3,9.42 //
   brāhmaṃ dhāma samabhyetya viṣaṇmavadano vṛṣā /	brAhmam DAma samaByetya vizaNma vadanaH vRzA /
   yathāvatkathayāmāsa nikhilaṃ daityaceṣṭitam // BndP_3,9.43 //	yaTAvat kaTayAmAsa niKilam dEtya cezwitam // Bndu _3,9.43 //
   vidhātāpi tadākarṇya sarvadevasamanvitam /	viDAtA api tat AkarNya sarva deva samanvitam /
   hataśrīkaṃ harihayamālokyedamuvāca ha // BndP_3,9.44 //	hata SrIkam hari hayam Alokya idam uvAca ha // Bndu _3,9.44 //
   indratvamakhilairddevairmukundaṃ śaraṇaṃ vraja /	indra tvam aKilEH ddevEH mukundam SaraNam vraja /
   daityārātirjagatkartā sa te śreyo vidhāsyati // BndP_3,9.45 //	dEtya arAtiH jagatkartA sa te SreyaH viDAsyati // Bndu _3,9.45 //
   ityuktvā tena sahitaḥ svayaṃ brahmā pitāmahaḥ /	iti uktvA tena sahitaH svayam brahmA pitAmahaH /
   samastadevasahitaḥ kṣīrodadhimupāyayau // BndP_3,9.46 //	samasta deva sahitaH kzIrodaDim upAyayO // Bndu _3,9.46 //
   atha brahmādayo devā bhagavantaṃ janārdanam /	aTa brahma AdayaH devAH Bagavantam janArdanam /
   tuṣṭuvurvāgvariṣṭhābhiḥ sarvalokamaheśvaram // BndP_3,9.47 //	tuzwuvuH vAc varizWABiH sarva loka maheSvaram // Bndu _3,9.47 //
   atha prasanno bhagavānvāsudevaḥ sanātanaḥ /	aTa prasannaH BagavAn vAsudevaH sanAtanaH /
   jagāda sa kalāndevāñjagadrakṣaṇalaṃpaṭaḥ // BndP_3,9.48 //	jagAda sa kalAn devAn jagat rakzaNa laMpawaH // Bndu _3,9.48 //
   śrībhagavānuvāca	SrI BagavAn uvAca
   bhavatāṃ suvidhāsyāmi tejasaivopabṛṃhamam /	BavatAm suviDAsyAmi tejasA eva upabRMhamam /
   yaducyate mayedānīṃ yuṣmābhista dvidhīyatām // BndP_3,9.49 //	yat ucyate mayA idAnIm yuzmABiH ta dviDIyatAm // Bndu _3,9.49 //
   oṣadhipravarāḥ sarvāḥ kṣipata kṣīrasāgare /	ozaDi pravarAH sarvAH kzipata kzIrasAgare /
   asurairapi saṃdhāya samameva ca tairiha // BndP_3,9.50 //	asurEH api saMDAya samam eva ca tEH iha // Bndu _3,9.50 //
   manthānaṃ mandaraṃ kṛtvā kṛtvā yoktraṃ ca vāsukim /	manTAnam mandaram kRtvA kRtvA yoktram ca vAsukim /
   mayi sthite sahāye tu mathyatāmamṛtaṃ surāḥ // BndP_3,9.51 //	mayi sTite sahAye tu maTyatAm amRtam surAH // Bndu _3,9.51 //
   samastadānavāścāpi vaktavyāḥ sāṃtvapūrvakam /	samasta dAnavAH ca api vaktavyAH sAMtva pUrvakam /
   sāmānyameva yuṣmākamasmākaṃ ca phalaṃ tviti // BndP_3,9.52 //	sAmAnyam eva yuzmAkam asmAkam ca Palam tu iti // Bndu _3,9.52 //
   mathyamāne tu dugdhābdhau yā samutpadyate sudhā /	maTyamAne tu dugDa abDO yA samutpadyate suDA /
   tatpānādbalino yūyamamartyāśca bhaviṣyatha // BndP_3,9.53 //	tad pAnAt balinaH yUyam amartyAH ca BavizyaTa // Bndu _3,9.53 //
   yathā daityāśca pīyūṣaṃ naitatprāpsyanti kiñcana /	yaTA dEtyAH ca pIyUzam na etat prApsyanti kiQcana /
   kevalaṃ kleśavantaśca kariṣyāmi tathā hyaham // BndP_3,9.54 //	kevalam kleSavantaH ca karizyAmi taTA hi aham // Bndu _3,9.54 //
   iti śrīvāsudevena kathitā nikhilāḥ surāḥ /	iti SrI vAsudevena kaTitAH niKilAH surAH /
   saṃdhānaṃ tvatulairdaityaiḥ kṛtavantastadā surāḥ /	saMDAnam tu atulEH dEtyEH kRtavantaH tadA surAH /
   nānāvidhauṣadhigaṇaṃ samānīya surāsurāḥ // BndP_3,9.55 //	nAnAviDa ozaDi gaNam samAnIya sura asurAH // Bndu _3,9.55 //
   śrīrābdhipayasi kṣiptvā candramo 'dhikanirmalam /	SrI rAbDi payasi kziptvA candramaH aDika nirmalam /
   manthānaṃ mandaraṃ kṛtvā kṛtvā yoktraṃ tu vāsukim /	manTAnam mandaram kRtvA kRtvA yoktram tu vAsukim /
   prārebhire prayatnena manthituṃ yādasāṃ patim // BndP_3,9.56 //	prAreBire prayatnena manTitum yAdasAm patim // Bndu _3,9.56 //
   vāsukeḥ pucchabhāge tu sahitāḥ sarvadevatāḥ /	vAsukeH pucCa BAge tu sahitAH sarva devatAH /
   śirobhāge tu daiteyā niyuktāstatra śauriṇā // BndP_3,9.57 //	SiraH BAge tu dEteyAH niyuktAH tatra SOriNA // Bndu _3,9.57 //
   balavanto 'pi te daityāstanmukhocchvāsapāvakaiḥ /	balavantaH api te dEtyAH tad muKa ucCvAsa pAvakEH /
   nirdagdhavapuṣaḥ sarve nistejaskāstadābhavan // BndP_3,9.58 //	nirdagDa vapuzaH sarve nistejaskAH tadA aBavan // Bndu _3,9.58 //
   pucchadeśe tu karṣanto muhurāpyāyitāḥ surāḥ /	pucCa deSe tu karzantaH muhur ApyAyitAH surAH /
   anukūlena vātena viṣṇunā preritena tu // BndP_3,9.59 //	anukUlena vAtena vizNunA preritena tu // Bndu _3,9.59 //
   ādikūrmākṛtiḥ śrīmānmadhye kṣīrapayonidheḥ /	Adi kUrma AkRtiH SrImAn maDye kzIra payoniDeH /
   bhramato mandarādrestu tasyā dhiṣṭānatāmagāt // BndP_3,9.60 //	BramataH mandara adreH tu tasyAH DizwAna tAm agAt // Bndu _3,9.60 //
   madhye ca sarvadevānāṃ rūpeṇānyena mādhavaḥ /	maDye ca sarva devAnAm rUpeNa anyena mADavaH /
   cakarṣa vāsukiṃ vegāddaityamadhye pareṇa ca // BndP_3,9.61 //	cakarza vAsukim vegAt dEtya maDye pareNa ca // Bndu _3,9.61 //
   brahmarūpeṇa taṃ śailaṃ vidhāryākrāntavāridhim /	brahma rUpeNa tam SElam viDArya AkrAnta vAriDim /
   apareṇa ca devarṣirmahatā tejasā muhuḥ // BndP_3,9.62 //	apareNa ca devarziH mahatA tejasA muhur // Bndu _3,9.62 //
   upavṛṃhitavāndevānyena te balaśālinaḥ /	upavRMhitavAn devAn yena te bala SAlinaH /
   tejasā punaranyena balātkārasahena saḥ // BndP_3,9.63 //	tejasA punar anyena balAtkAra sahena saH // Bndu _3,9.63 //
   upabṛṃhitavānnāgaṃ sarvaśaktijanārdanaḥ /	upabRMhitavAn nAgam sarva Sakti janArdanaH /
   mathyamāne tatastasminkṣīrabdhau devadānavaiḥ // BndP_3,9.64 //	maTyamAne tatas tasmin kzIrabDO deva dAnavEH // Bndu _3,9.64 //
   āvirbabhūva purataḥ surabhiḥ surapūjitā /	AvirbaBUva puratas suraBiH sura pUjitAH /
