   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   ekaniyogapratīteḥ prayājadarśapūrṇamāsavākyavaditi cet /	eka niyoga pratIteH prayAja darSa pUrNamAsa vAkya vat iti ced /
   na /	na /
   brahmavākyeṣu niyogābhāvāt /	brahma vAkyezu niyoga aBAvAt /
   vastumātraparyavasāyīni hi brakahmavākyāni na niyogopadeśīnītyetadvistare	vastu mAtra paryavasAyIni hi brakahma vAkyAni na niyoga upadeSIni iti etat vistare
   pratiṣṭhāpitaṃ 'tattu samanvayāt (bra. sū. 1.1.4) ityatra /	pratizWApitam atat tu samanvayAt (bra. sU. 1.1.4) iti atra /
   kiṃviṣayaścātra niyogo 'bhipreyata iti vaktavyam /	kiMvizayaH ca atra niyogaH aBipreyate iti vaktavyam /
   puruṣo hi niyujyamānaḥ kurviti svavyāpāre kasmiṃścinniyujyate /	puruzaH hi niyujyamAnaH kuru iti sva vyApAre kasmiMScid niyujyate /
   nanu dvaitaprapañcavilayo na yogaviṣayo bhaviṣyati /	nanu dvEta prapaQca vilayaH na yoga vizayaH Bavizyati /
   apravilāpite hi dvaitaprapañce brahmatattvāvabodho na bhavatyato	apravilApite hi dvEta prapaQce brahma tattva avaboDaH na Bavati atas 
   brahmatattvāvabodhapratyanīkabhūto dvaitaprapañcaḥ pravilāpyaḥ /	brahma tattva avaboDa pratyanIka BUtaH dvEta prapaQcaH pravilApyaH /
   yathā svargāmasya yāgo 'nuṣṭhātavya upadiśyata evamapavargakāmasya	yaTA svarga Amasya yAgaH anuzWAtavyaH upadiSyate evam apavarga kAmasya
   prapañcapravilayaḥ /	prapaQca pravilayaH /
   yathāca tamasi vyavasthitaṃ ghaṭāditattvamavabubhutsamānena	yaTA ca tamasi vyavasTitam Gawa Adi tattvam avabuButsamAnena
   tatpratyanīkabhūtaṃ tamaḥ pravilāpyata evaṃ	tad pratyanIka BUtam tamaH pravilApyate evam
   brahmatattavamavabubhutsamānena tatpratyanīkabhūtaḥ prapañcaḥ	brahma tattavam avabuButsamAnena tad pratyanIka BUtaH prapaQcaH
   pravilāpayitavyaḥ /	pravilApayitavyaH /
   brahmasvabhāvo hi prapañco na prapañcasvabhāvaṃ brahma, tena	brahma svaBAvaH hi prapaQcaH na prapaQca svaBAvam brahma, tena
   nāmarūpaprapañcapravilāpanena brahmatattvāvabodho bhavatīti /	nAma rUpa prapaQca pravilApanena brahma tattva avaboDaH Bavati iti /
   atra vayaṃ pṛcchāmaḥ   ko 'yaṃ prapañcapravilayo nāma /	atra vayam pRcCAmaH  kaH ayam prapaQca pravilayaH nAma /
   kimagnipratāpasaṃparkādghṛtakāṭhinyapravilaya iva ppapañcapravilayaḥ	kim agni pratApa saMparkAt GRta kAWinya pravilayaH iva ppapaQca pravilayaH
   kartavya āhosvidekasmiṃścandre timirakṛtānekacandraprapañcavadavidyākṛto	kartavyaH Ahosvit ekasmin= candre timira kRta aneka candra prapaQca vat avidyA kRtaH 
   brahmaṇi nāmarūpaprapañco vidyayā pravilāpitavya iti /	brahmaNi nAma rUpa prapaQcaH vidyayA pravilApitavyaH iti /
   tatra tāvadvidyāmano 'yaṃ prapañco dehādilakṣaṇa ādhyatmiko bāhyaśca	tatra tAvat vidyA manaH ayam prapaQcaH deha Adi lakzaNaH ADyatmikaH bAhyaH ca
   pṛthivyādilakṣaṇaḥ pravilāpayitavya ityucyeta sa puruṣamātreṇāśakyaḥ	pRTivI Adi lakzaNaH pravilApayitavyaH iti ucyeta sa puruza mAtreNa aSakyaH
   pravilāpayitumiti tatpravilayopadeśo 'śakyaviṣaya eva syāt /	pravilApayitum iti tad pravilaya upadeSaH aSakya vizayaH eva syAt /
   ekena cādimuktena pṛthivyādipravilayaḥ kṛta itīdānīṃ pṛthivyādiśūnyaṃ	ekena ca Adi muktena pRTivI Adi pravilayaH kRtaH iti idAnIm pRTivI Adi SUnyam
   jagadabhaviṣyat /	jagat aBavizyat /
   athāvidyādhyasto brahmaṇyekasminnayaṃ prapañco vidyayā pravilāpyata iti	aTa avidyA aDyastaH brahmaNi ekasmin= ayam prapaQcaH vidyayA pravilApyate iti
   brūyāt /	brUyAt /
   tato brahmaivāvidyādhyastaprapañcapratyākhyānenāvedayitavyam	tatas brahma eva avidyA aDyasta prapaQca pratyAKyAnena Avedayitavyam
   ekamevādvitīyaṃ brahma, tatsatyaṃ sa ātmā tatvamasi (chā. 6.8.7) iti	ekam eva advitIyam brahma, tat satyam saH AtmA tatvam asi (CA. 6.8.7) iti
   tasminnāvedite vidyā svayamevotpadyate tayā cāvidyā bādhyate.	tasmin= Avedite vidyA svayam eva utpadyate tayA ca avidyA bADyate.
   tataścāvidyadhyastaḥ sakalo 'yaṃ nāmarūpaprapañcaḥ	tatas ca avidyaDyastaH sakalaH ayam nAma rUpa prapaQcaH
   svapnaprapañcavatpravilīyate /	svapna prapaQca vat pravilIyate /
   anāvedite tu brahmaṇi brahmavijñānaṃ kuru prapañcapravilayaṃ ceti	anAvedite tu brahmaNi brahma vijQAnam kuru prapaQca pravilayam ca iti
   śatakṛtvo 'pyukte, na brahmavijñānaṃ prapañpapravilayo vā jāyate /	Sata kRtvas api ukte, na brahma vijQAnam prapaQpa pravilayaH vA jAyate /
   nanvāvedite brahmaṇi tadvijñānaviṣayaḥ prapañcavilayaviṣayo vā niyogaḥ	nanu Avedite brahmaNi tad vijQAna vizayaH prapaQca vilaya vizayaH vA niyogaH
   syāt /	syAt /
   na /	na /
   niṣprapañcabrahmātmatvāvedanenaivobhayasiddheḥ /	nizprapaQca brahma Atma tvA vedanena eva uBaya sidDeH /
   rajjusvarūpaprakāśanenaiva hi	rajju svarUpa prakASanena eva hi
   tatsvarūpavijñānamavidyādhyastasarpādiprapañcapravilayaśca bhavati /	tad svarUpa vijQAnam avidyA aDyasta sarpa Adi prapaQca pravilayaH ca Bavati /
   naca kṛtameva punaḥ kriyate /	na ca kRtam eva punar kriyate /
   niyojyoñapi ca prapañcāvasthāyāṃ yo 'vagamyate jīvo nāma sa prapañcasyaiva	niyojya uQapi ca prapaQca avasTAyAm yaH avagamyate jIvaH nAma sa prapaQcasya eva
   vā syādbrahmapakṣasyaiva vā /	vA syAt brahma pakzasya eva vA /
   prathame vikalpe niṣprapañcabrahmatattvapratipādanena	praTame vikalpe nizprapaQca brahma tattva pratipAdanena
   pṛthivyādivajjīvasyāpi pravilāpitatvātkasya prapañcavilaye niyoga ucyeta	pRTivI Adi vat jIvasya api pravilApita tvAt kasya prapaQca vilaye niyogaH ucyeta
   kasya vā niyoganiṣṭhatayā mokṣo 'vāptavya ucyeta /	kasya vA niyoga nizWatayA mokzaH avAptavyaH ucyeta /
   dvitīye 'pi brahmaivāniyojyasvabhāvaṃ jīvasya svarūpaṃ jīvatvaṃ	dvitIye api brahma eva aniyojya svaBAvam jIvasya svarUpam jIva tvam
   tvavidyākṛtameveti pratipādite brahmaṇi niyojyābhāvānniyogābhāva eva /	tu avidyA kRtam eva iti pratipAdite brahmaNi niyojya aBAvAt niyoga aBAvaH eva /
   draṣṭavyādiśabdā api paravidyādhikārapaṭhitāstattvābhimukhīkaraṇapradhānā	drazwavI a Adi SabdAH api para vidyA aDikAra paWitAH tattva aBimuKIkaraNa praDAnA
   na tatvāvabodhavidhipradhānā bhavanti /	na tatvA avaboDa viDi praDAnAH Bavanti /
   loke 'pīdaṃ paśyedamākārṇayeti caivañjātīyakeṣu nirdeśeṣu praṇidhānamātraṃ	loke api idam paSyet amAka arNaya iti ca evan jAtIyakezu nirdeSezu praNiDAna mAtram
   kurvityucyate na sākṣājjñānameva kurviti /	kuru iti ucyate na sAkzAt jQAnam eva kuru iti /
   jñeyābhimukhasyāpi jñānaṃ kadācijjāyate kadācinna jāyate tasmāttaṃ prati	jQeya aBimuKasya api jQAnam kadAcid jAyate kadAcid na jAyate tasmAt tam prati
   jñānaviṣaya eva darśayitavyo jñāpayitukāmena /	jQAna vizayaH eva darSayitavyaH jQApayitu kAmena /
   tasmindarśite svayameva yathāviṣayaṃ yathāpramāṇaṃ ca jñānamutpadyate /	tasmin darSite svayam eva yaTA vizayam yaTApramANam ca jQAnam utpadyate /
   naca pramāṇāntareṇānyathāprasiddher'the 'nyathājñānaṃ	na ca pramANa antareNa anyaTAprasidDer aTe anyaTAjQAnam
   niyuktasyāpyupapadyate /	niyuktasya api upapadyate /
   yadi punarniyukto 'hamityanyathā jñānaṃ kuryānna tu tajjñānaṃ kiṃ tarhi	yadi punar niyuktaH aham iti anyaTA jQAnam kuryAt na tu tat jQAnam kim tarhi
   mānasī sā kriyā /	mAnasI sA kriyA /
   svayameva cedanyathotpadyeta bhrāntireva syāt /	svayam eva ced anyaTA utpadyeta BrAntiH eva syAt /
   jñānaṃ tu pramāṇajanyaṃ yathābhūtaviṣayaṃ ca na tanniyogaśatenāpi	jQAnam tu pramANa janyam yaTABUta vizayam ca na tad niyoga Satena api
   kārayituṃ śakyate /	kArayitum Sakyate /
   naca pratiṣedhenāpi vārayituṃ śakyate /	na ca pratizeDena api vArayitum Sakyate /
   nahi tatpuruśatantraṃ, vastutantrameva hi tat /	na hi tat puruSatantraM, vastu tantram eva hi tat /
   ato 'pi niyogābhāvaḥ /	atas api niyoga aBAvaH /
   kiñcānyanniyoganiṣṭhatayaiva paryavasyāmnāye	kiQca anyat niyoga nizWatayA eva paryavasya AmnAye
   yadabhyupagatamaniyojyabrahmātmatvaṃ jīvasya tadapramāṇakameva syāt /	yat aByupagatam aniyojya brahma Atma tvam jIvasya tat apramANakam eva syAt /
   atha śāstramevāniyojyabrahmātmatvamapyācakṣīta tadavabodhe ca puruṣaṃ	aTa SAstram eva aniyojya brahma Atma tvam api AcakzIta tad avaboDe ca puruzam
   niyuñjīta tato brahmaśāstrasyaikasya dvyarthaparatā viruddhārthaparatā ca	niyuQjIta tatas brahma SAstrasya ekasya dvi arTa para tA virudDa arTa para tA ca
   prasajyetām /	prasajyetAm /
   niyogaparatāyāṃ ca śrutahāniraśrutakalpanā	niyoga para tAyAm ca Sruta hAniH aSruta kalpanA
   karmaphalavanmokṣasyādṛṣṭaphalatvamanityatvaṃ cetyevamādayo doṣā na	karma Pala vat mokzasya adRzwa Pala tvam anitya tvam ca iti evamAdayaH dozAH na
   kenacitparihartuṃ śakyāḥ /	kenacid parihartum SakyAH /
   tasmādavagataniṣṭhānyeva brahmavākyāni na niyoganiṣṭhāni /	tasmAt avagata nizWAni eva brahma vAkyAni na niyoga nizWAni /
   ataścaikaniyogapratīterekavākyatetyayuktam /	atas ca eka niyoga pratIteH eka vAkyatA iti ayuktam /
   abhyupagamyamāne 'pi ca brahmavākyechu niyogasadbhāve tadekatvaṃ	aByupagamyamAne api ca brahma vAkyeCu niyoga sadBAve tat eka tvam
   niṣprapañcopadeśeṣu saprapañcopajadeśeṣu cāsiddham /	nizprapaQca upadeSezu sa prapaQca upaja deSezu ca asidDam /
   nahi śabdāntarādibhiḥ pramāṇairniyogabhede 'vagamyamāne sarvatraikā niyoga	na hi Sabda antara AdiBiH pramANEH niyoga Bede avagamyamAne sarvatra ekA niyoga
   iti śakyamāśrayitum /	iti Sakyam ASrayitum /
   prayājadarśapūrṇamāsavākyechu tvadhikārāṃśenābhedādyuktamekatvam /	prayAja darSa pUrNamAsa vAkyeCu tu aDikAra aMSena aBeda Adi uktam eka tvam /
   natviha saguṇanirguṇacodanāsu kaścidekatvādhikīrāṃso 'sti /	natu iha sa guNa nirguNa codanAsu kaScid eka tva aDikIrAMsaH asti /
   nahi bhārūpatāvādayo guṇāḥ prapañcapravilayopakāriṇaḥ /	na hi BA ru upatAva AdayaH guNAH prapaQca pravilaya upakAriNaH /
   nāpi prapañcapravilayo bhārūpatvādiguṇopakārī, parasparavirodhitvāt /	na api prapaQca pravilayaH BA ru upa tva Adi guNa upakArI, paraspara viroDi tvAt /
   nahi kṛtsnaprapañcapravilāpanaṃ prapañcaikadeśāpekṣaṇaṃ caikasmindharmiṇi	na hi kRtsna prapaQca pravilApanam prapaQca eka deSa apekzaNam ca ekasmin DarmiNi
   yuktaṃ samāveśayitum /	yuktam samAveSayitum /
   tasmādasmādukta eva vibhāga ākāravadanākāropadeśānāṃ yuktatara iti // 21	tasmAt asmAt uktaH eva viBAgaH AkAra vat ana AkAra upadeSAnAm yuktataraH iti // 21
   FN: asya jīvabhāvaṃ prāptasyeśvarasya daśa harayo viṣayā indriyāṇi vā /	FN: asya jIva BAvam prAptasya ISvarasya daSa harayaH vizayAH indriyANi vA /
   taṃ jñānārthinam /	tam jQAna arTinam /
   bhinnavākyārthaviṣayaḥ śabdaḥ śabdāntaram /	Binna vAkya arTa vizayaH SabdaH Sabda antaram /
   6 prakṛtaitāvattvādhikaraṇam / sū. 22 30	6 prakRta etAvat tva aDikaraNam / sU. 22 30
   prakṛtaitāvattvaṃ hi pratiṣedhati tato bravīti ca bhūyaḥ | BBs_3,2.22 |	prakRtA etAvat tvam hi pratizeDati tatas bravIti ca BUyas | BBH _3,2.22 |
   'dve vāva brahmaṇo rūpe mūrtaṃ caivāmūrtaṃ ca' (bṛ. 2.3.1) ityupakramya	adve vAva brahmaNaH rUpe mUrtam ca eva amUrtam ca a (bR. 2.3.1) iti upakramya
   pañcamahābhūtāni dvairāśyena pravibhajyāmabartarasasya ca	paQca mahABUtAni dvErASyena praviBajya Amabarta rasasya ca
   puruṣaśabdoditasya mahārajanādīni rūpāṇi darśayitvā punaḥ paṭhyate  	puruza Sabda uditasya mahA rajana AdIni rUpANi darSayitvA punar paWyate  
   'athāta ādeśo neti neti nahyetasmāditi netyanyatparamasti' (bṛ. 2.3.6) iti	aaTa atas AdeSaH na iti na iti na hi et asmAt iti na iti anyat paramasti a (bR. 2.3.6) iti
   tatra ko 'syapratiṣedhasya viṣaya iti jijñāsāmahe /	tatra kaH asi apratizeDasya vizayaH iti jijQAsAmahe /
   nahyatredaṃ taditi viśeṣitaṃ kiñcitpratiṣedhyamupalabhyate /	na hi atra idam tat iti viSezitam kiQcid pratizeDyam upalaByate /
   itiśabdena tvatra pratiṣedhyaṃ kimapi samarthyate neti	iti Sabdena tu atra pratizeDyam kim api samarTyate na iti
   netītiparatvānnañprayogasya /	na iti iti paratvAt naQprayogasya /
   itiśabdāśrayaṃ saṃnihitālaṃbana evaṃśabdasamānavṛttiḥ prayujyamāno dṛśyate	iti Sabda ASrayam saMnihita AlaMbanaH evaMSabda samAna vRttiH prayujyamAnaH dRSyate
   iti ha smopādhyāyaḥ kathayati ityevamādiṣu /	iti ha sma upADyAyaH kaTayati iti evamAdizu /
   saṃnihitaṃ cātra prakaraṇasāmarthyādrūpadvayaṃ saprapañcaṃ brahmaṇastacca	saMnihitam ca atra prakaraNa sAmarTyAt rUpa dvayam sa prapaQcam brahmaNaH tat ca
   brahmayasyaite dve rūpe /	brahmayasya ete dve rUpe /
   tatra naḥ saṃśaya upajāyate   kimayaṃ pratiṣedho rūpe rūpāvaccobhayamapi	tatra naH saMSayaH upajAyate  kim ayam pratizeDaH rUpe rUpAvat ca uBayam api
   pratiṣedhatyāhosvidekataram /	pratizeDati Ahosvid ekataram /
   yadāpyekataraṃ tadāpi kiṃ brahma pratiṣedhati rūpe pariśiṣṭyāhosvidrūpe	yadA api ekataram tadA api kim brahma pratizeDati rUpe pariSizwi Ahosvit rUpe
   pratiṣedhati brahma pariśinaṣṭīti /	pratizeDati brahma pariSinazwI iti /
   tatra prakṛtatvāviśeṣādubhayamapi pratiṣedhatītyāśaṅkāmahe /	tatra prakRta tva aviSezAt uBayam api pratizeDati iti ASaFkAmahe /
   dvau caitau pratiṣedhau dvirnetiśabdaprayogāt /	dvO ca etO pratizeDO dvis na iti Sabda prayogAt /
   tayorekena saprapañcaṃ brahmaṇo rūpaṃ pratiṣidhyate 'pareṇa	tayoH ekena sa prapaQcam brahmaNaH rUpam pratiziDyate apareNa
   rūpavadbrahmeti bhavati matiḥ /	rUpavat brahma iti Bavati matiH /
   athavā brahmaiva rūpavatpratiṣidhyate taddhi	aTavA brahma eva rUpavat pratiziDyate tat hi
   vāṅmanasātītatvādasaṃbhāvyamānasadbhāvaṃ pratiṣedhārham /	vAc manasA atIta tvAt asaMBAvyamAna sadBAvam pratizeDa arham /
   natu rūpaprapañcaḥ pratyakṣādigocaratvātpratiṣedhārhaḥ /	na tu rUpa prapaQcaH pratyakza Adi gocara tvAt pratizeDa arhaH /
   abhyāsastvādarārtha iti /	aByAsaH tu Adara arTaH iti /
   evaṃ prāpte brūmaḥ /	evam prApte brUmaH /
     na tāvadubhayapratiṣedha upapadyate śūnyavādaprasaṅgāt /	 na tAvat uBaya pratizeDaH upapadyate SUnya vAda prasaFgAt /
   kiñciddhi paramārthamālambyārthaḥ pratiṣidhyate yathā rajjvādiṣu	kiQcid hi parama arTam Alambya arTaH pratiziDyate yaTA rajju Adizu
   sarpādayaḥ /	sarpa AdayaH /
   tacca pariśiṣyamāṇe kasmiṃścidbhāve 'vakalpate /	tat ca pariSizyamANe kasmiMScid BAve avakalpate /
   ubhayapratiṣedhe tu ko 'nyo bhāvaḥ pariśeṣyāt /	uBaya pratizeDe tu kaH anyaH BAvaH pariSezyAt /
   apariśiṣyamāṇe cānyasminya itaraḥ pratiṣeddhumārabhyate	apariSizyamANe ca anyasmin yaH itaraH pratizedDum AraByate
   pratiṣeddhumaśakyatvāttasyaiva paramārthatvāpatteḥ pratiṣedhānupapattiḥ /	pratizedDum aSakya tvAt tasya eva paramArTa tva ApatteH pratizeDa anupapattiH /
   nāpi brahmapratiṣedha upapadyate ''brahma te bravāṇi' (bṛ. 2.1.1)	na api brahma pratizeDaH upapadyate aabrahma te bravANi a (bR. 2.1.1)
   ityādyupakramavirodhāt /	ityAdi upakrama viroDAt /
   'asanneva sa bhavati /	aasan= eva sa Bavati /
   asadbrahmeti veda cet' (taitti. 2.6.1) ityādinindāvirodhāt /	asat brahma iti veda ceta (tEtti. 2.6.1) ityAdi nindA viroDAt /
   'astītyevopalabdhavyaḥ' (kaṭha. 6.13) ityavadhāraṇavirodhāt /	aasti iti eva upalabDavyaH a (kaWa. 6.13) iti avaDAraNa viroDAt /
   sarvavedāntavyākopaprasaṅgācca /	sarva vedAnta vyAka upaprasaFgAt ca /
   vāṅmanasātītatvamapi brahmaṇo nābhāvābhiprāyeṇābhidhīyate /	vAc manasA atIta tvam api brahmaNaH na aBAva aBiprAyeNa aBiDIyate /
   nahi mahatā parikarabandhena 'brahmavidāpnoti param' (tai. 2.1.1), 'satyaṃ	na hi mahatA parikara banDena abrahma vid Apnoti param a (tE. 2.1.1), asatyam
   jñānamanantaṃ brahma' (tai. 2.1.1) ityevamādinā vedānteṣu brahmapratipādya	jQAnam anantam brahma a (tE. 2.1.1) iti evamAdinA vedAntezu brahma pratipAdya
   tasyaiva punarabhāvo 'bhilapyeta /	tasya eva punar aBAvaH aBilapyeta /
   prakṣālanāddhi paṅ kasya dūrādasparśaṃ varam iti hi nyāyaḥ /	prakzAlanAt hi paF kasya dUrAt asparSam varam iti hi nyAyaH /
   pratipādanaprakriyā tveṣā 'yato vāco nivartante /	pratipAdana prakriyA tu ezA ayataH vAcaH nivartante /
   aprāpya manasā saha' (tai. 2.4.1) iti /	aprApya manasA saha a (tE. 2.4.1) iti /
   etaduktaṃ bhavati   vāṅmanasātītamaviṣayāntaḥpāti pratyagātmabhūtaṃ	etat uktam Bavati  vAc manasA atItam avizaya antar pAti pratyagAtma BUtam
   nityaśuddhabuddhamuktasvabhāvaṃ brahmeti /	nitya SudDa budDa mukta svaBAvam brahma iti /
   tasmādbrahmaṇo rūpaprapañcaṃ pratiṣedhati pariśinaṣṭi	tasmAt brahmaNaH rUpa prapaQcam pratizeDati pariSinazwi
   brahmetyabhyupagantavyam /	brahma iti aByupagantavyam /
   tadetaducyate prakṛtaitāvattvaṃ hi pratiṣedhatīti /	tat etat ucyate prakRtA etAvat tvam hi pratizeDati iti /
   prakṛtaṃ yadetāvadiyattāparicchinnaṃ mūrtāmūrtalakṣaṇaṃ brahmaṇo rūpaṃ	prakRtam yat etAvat iyat ta aparicCinnam mUrta amUrta lakzaNam brahmaNaH rUpam
   tadeṣa śabdaḥ pratiṣedhati /	tat eza SabdaH pratizeDati /
   taddhi prakṛtaṃ prapañcitaṃ ca pūrvasminagranthe 'dhidaivatamadhyātmaṃ ca	tat hi prakRtam prapaQcitam ca pUrvasmina granTe aDidEvatam aDyAtmam ca
   tajjanitameva ca vāsanālabkṣaṇamaparaṃ rūpamamūrtarasabhūtaṃ	tat janitam eva ca vAsanAla bkzaNam aparam rUpam amUrta rasa BUtam
   puruṣaśabdoditaṃ liṅgātmavyapāśrayaṃ mahājanādyupamābhirdarśitam /	puruza Sabda uditam liFga Atma vyapASrayam mahA jana Adi upamABiH darSitam /
   amūrtarasasya puruṣasya cakṣurgrāhyarūpayogitvānupapatteḥ /	amUrta rasasya puruzasya cakzuH grAhya rUpa yogitva anupapatteH /
   tadetatsaprapañcaṃ brahmaṇo rūpaṃ saṃnihitālambanenetikaraṇena	tat etat sa prapaQcam brahmaNaH rUpam saMnihita Alambanena iti karaNena
   pratiṣedhakaṃ nañaṃ pratyupanīyata iti gamyate /	pratizeDakam naQam pratyupanIyate iti gamyate /
   brahma tu rūpaviśeṣaṇatvena ṣaṣṭhyā nirdiṣṭaṃ pūrvasmingranthe na	brahma tu rUpa viSezaNa tvena zazWyA nirdizwam pUrvasmin granTe na
   svapradhānatvena /	sva praDAna tvena /
   prapañcite ca tadīye rūpadvaye rūpavataḥ svarūpajijñāsāyāmidamupakrāntam	prapaQcite ca tadIye rUpa dvaye rUpavataH svarUpa jijQAsAyAm idam upakrAntam
   'athāta ādeśo neti neti'' (bṛ. 2.3.6) iti /	aaTa atas AdeSaH na iti na iti aa (bR. 2.3.6) iti /
   tatra kalpitarūpapratyākhyānena brahmaṇaḥ svarūpāvedanamidamiti nirṇīyate	tatra kalpita rUpa pratyAKyAnena brahmaNaH svarUpa Avedanam idam iti nirNIyate
   tadāspadaṃ hīdaṃ samastaṃ kāryaṃ neti netīti pratiṣiddham /	tad Aspadam hi idam samastam kAryam na iti na iti iti pratizidDam /
   yuktaṃ ca kāryasya vācārambhaṇasabdhādibhyo 'sattvamiti neti netīti	yuktam ca kAryasya vAcA AramBaNa sabDa AdiByaH asattvam iti na iti na iti iti
   pratiṣedhanaṃ na tu brahmaṇaḥ /	pratizeDanam na tu brahmaNaH /
   karvakalpanāmūlatvāt /	karva kalpanA mUla tvAt /
   nacātreyamāśaṅkā kartavyā   kathaṃ hi śāstraṃ svayameva rūpadvayaṃ	na cAtra iyam ASaFkA kartavyA  kaTam hi SAstram svayam eva rUpa dvayam
   darśayitvā svayameva punaḥ pratiṣedhati   'prakṣālanāddhi paṅ kasya	darSayitvA svayam eva punar pratizeDati  aprakzAlanAt hi paF kasya
   dūrādasparśanaṃ varam' iti /	dUrAt asparSanam varam a iti /
   yato nedaṃ śāstraṃ pratipādyatvena brahmaṇo rūpadvayaṃ nirdiśati,	yatas na idam SAstram pratipAdya tvena brahmaNaH rUpa dvayam nirdiSati,
   lokaprasiddhaṃ tvidaṃ rūpadvayaṃ brahmaṇi kalpitaṃ parāmṛśati	loka prasidDam tu idam rUpa dvayam brahmaNi kalpitam parAmRSati
   pratiṣedhyatvāya śuddhabrahmasvarūpapratipādanāya ceti niravadyam /	pratizeDya tvAya SudDa brahma svarUpa pratipAdanAya ca iti niravadyam /
   dvau caitau pratiṣedhau yathāsaṃkhyanyāyena dve api mūrtāmūrte	dvO ca etO pratizeDO yaTA saMKya nyAyena dve api mUrta amUrte
   pratiṣedhataḥ /	pratizeDataH /
   yadvā pūrvaḥ pratiṣedho bhūtarāśiṃ pratiṣedhatyuttaro vāsanārāśim /	yat vA pUrvaH pratizeDaH BUtarASim pratizeDati uttaraH vAsanA rASim /
   athavā 'neti neti' (bṛ. 2.3.6) iti vīpseyamitīti yāvatkiñcidutprekṣyate	aTavA aneti na iti a (bR. 2.3.6) iti vIpsA iyam iti iti yAvat kiQcid utprekzyate
   tatsarvaṃ na bhavatītyarthaḥ /	tat sarvam na Bavati iti arTaH /
   parigaṇitapratiṣedhe hi kriyamāṇe yadi naitadbrahma kimanyadbrahma	parigaNita pratizeDe hi kriyamANe yadi na etat brahma kim anyat brahma
   bhavediti jijñāsā syāt /	Bavet iti jijQAsA syAt /
   vāpsāyāṃ tu satyāṃ samastasya viṣayajātasya pratiṣedhādaviṣayaḥ	vA apsAyAm tu satyAm samastasya vizaya jAtasya pratizeDAt avizayaH
   pratyagātmā brahmeti jijñāsā nivartate /	pratyagAtmA brahma iti jijQAsA nivartate /
   tasmātprapañcameva brahmaṇi kalpitaṃ pratiṣedhati pariśnaṣṭi brahmeti	tasmAt prapaQcam eva brahmaNi kalpitam pratizeDati pariSnazwi brahma iti
   nirṇayaḥ /	nirNayaH /
   itaścaiṣa eva nirṇayaḥ /	itas ca ezaH eva nirNayaH /
   yatastataḥ pratiṣedhādbhūyo bravīti 'anyatparamasti' (bṛ. 2.3.6) iti /	yatas tatas pratizeDAt BUyas bravIti aanyat paramaH ti a (bR. 2.3.6) iti /
   abhāvāvāsane hi pratiṣedhe kriyamāṇe kimanyatparamastīti brūyāt /	aBAvO= Asane hi pratizeDe kriyamANe kim anyat param asti iti brUyAt /
   tatraiṣākṣarayojanā   neti netīti brahmādiśya tamevādeśaṃ punarnirvakti /	tatra ezA akzara yojanA  na iti na iti iti brahma AdiSya tam eva AdeSam punar nirvakti /
   neti netītyasya kor'thaḥ /	na iti na iti iti asya kor aTaH /
   nahyetasmādbrahmaṇo vyatiriktamastītyato neti netītyucyate na punaḥ	na hi etasmAt brahmaNaH vyatiriktam asti iti atas na iti na iti iti ucyate na punar 
   svayameva nāstītyarthaḥ /	svayam eva na asti iti arTaH /
   tacca darśayatyanyatparamapratiṣiddhaṃ brahmāstīti /	tat ca darSayati anyat parama pratizidDam brahma asti iti /
   yadā punarevamakṣarāṇi yojyante nahyetasmāditi neti neti /	yadA punar evam akzarANi yojyante na hi et asmAt iti na iti na iti /
   nahi prapañcapratiṣedharūpādādeśanādanyatparādeśanaṃ brahmaṇo 'stīti /	na hi prapaQca pratizeDa rUpAt AdeSanAt anyat parAdeSanam brahmaNaH asti iti /
   tadā tato bravīti ca bhūya ityetannāmadheyaviṣayaṃ yojayitavyam /	tadA tatas bravIti ca BUyaH iti etat nAmaDeya vizayam yojayitavyam /
   atha nāmadheyam   'satyasya satyamiti prāṇa vai satyaṃ teṣāmeṣa satyam'	aTa nAmaDeyam  asati asya satyam iti prANa vE satyam tezAm eza satyam a
   (bṛ. 2.1.20) iti hi bravītiti /	(bR. 2.1.20) iti hi bravIt iti /
   tacca brahmāvasāne pratiṣedhe samañjasaṃ bhavati /	tat ca brahma avasAne pratizeDe samaQjasam Bavati /
   abhāvāvasāne tu pratiṣedhe kiṃ satyasya satyamityucyeta /	aBAva avasAne tu pratizeDe kim satyasya satyam iti ucyeta /
   tasmādbrahmāvasāno 'yaṃ pratiṣedho nābhāvāvasāna ityadhyavasyāmaḥ // 22 //	tasmAt brahma avasAnaH ayam pratizeDaH na aBAva avasAnaH iti aDyavasyAmaH // 22 //
   FN: pṛthivyaptejorūpaṃ bhūtatrayaṃ mūrtaṃ, vāyvākāśarūpaṃ cāmūrtamiti	FN: pRTivI ap tejaH rUpam BUta trayam mUrtaM, vAyu AkASa rUpam ca amUrtam iti
   dvirāśitvena /	dvis ASi tvena /
   mahārājanaṃ haridrā /	mahA rAjanam haridrA /
   tadavyaktamāha hi | BBs_3,2.23 |	tat avyaktam Aha hi | BBH _3,2.23 |
