   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   ekenaivopamānena Bh_2.62a	ekena-eva-upamAnena Bh_2.62a
   etattaccocyate yathā Bh_2.22d	etat-tat-ca-ucyate yaTA Bh_2.22d
   etadasti mahat saraḥ Bh_5.48d	etat-asti mahat saraH Bh_5.48d
   etadevāpare 'nyena Bh_3.12a	etat-eva-apare anyena Bh_3.12a
   etad grāhyaṃ surabhi kusumaṃ grāmyam etannidheyaṃ Bh_1.59a	etat grAhyam suraBi kusumam grAmyam etat-niDeyam Bh_1.59a
   ete jñeyāḥ śarārayaḥ Bh_5.53d	ete jQeyAH Sara-arayaH Bh_5.53d
   elātakkolanāgasphuṭabakulalatācandanaspandanāḍhyo Bh_5.68a	elA-takkola-nAga-sPuwa-bakula-latA-candana-spandana-AXyaH Bh_5.68a
   evaṃ ṇicaḥ prayogastu Bh_6.46a	evam NicaH prayogaH-tu Bh_6.46a
   evaṃ pādāntayorapi Bh_2.16b	evam pAda-antayoH-api Bh_2.16b
   eṣa bhāti mataṅgajaḥ Bh_2.51b	eza BAti mataFga-jaH Bh_2.51b
   otprekṣābhihitā kvacit Bh_2.88d	otprekzA-aBihitA kvacid Bh_2.88d
   kaṇabhakṣo yathā śabdam Bh_5.17c	kaNaBakzaH yaTA Sabdam Bh_5.17c
   kathanaiḥ kaiścidaṅkitā Bh_1.27b	kaTanEH kEScid-aFkitA Bh_1.27b
   kathamanyatarāsiddha- Bh_5.23c	kaTam-anyatara-asidDa Bh_5.23c
   kathamākṣiptacittaḥ sann Bh_4.13c	kaTam-Akzipta-cittaH san Bh_4.13c
   kathamekapadenaiva Bh_5.60a	kaTam-eka-padena-eva Bh_5.60a
   kathaṃcitsvābhisandhinā Bh_1.38d	kaTaMcid-svABisanDinA Bh_1.38d
   kathaṃ dūtyaṃ prapadyerann Bh_1.43c	kaTam dUtyam prapadyeran Bh_1.43c
   kathaṃ pāto 'mbudhārāṇāṃ Bh_2.48a	kaTam pAtaH ambu-DArANAm Bh_2.48a
   kathaṃ so 'sambhavo mataḥ Bh_2.50b	kaTam saH asamBavaH mataH Bh_2.50b
   kathāpabhraṃśabhāk tathā Bh_1.28d	kaTA-apaBraMSa-BAj taTA Bh_1.28d
   kathāyāḥ svabhinītatā Bh_3.54b	kaTAyAH svaBinIta-tA Bh_3.54b
   kadācidapyapratibaddhaśāsanāḥ Bh_2.15b	kadAcid-api-apratibadDa-SAsanAH Bh_2.15b
   kandarpadhanuṣo dhvaniḥ Bh_3.22d	kandarpa-DanuzaH DvaniH Bh_3.22d
   kanyāharaṇasaṃgrāma- Bh_1.27c	kanyA-haraNa-saMgrAma Bh_1.27c
   kamalānāṃ ca saurabhāt Bh_5.48f	kamalAnAm ca sOraBAt Bh_5.48f
   kamalena vikāsinā Bh_2.56b	kamalena vikAsinA Bh_2.56b
   kariṇāṃ madavāribhiḥ Bh_1.57d	kariNAm mada-vAriBiH Bh_1.57d
   karoti dhvanirambhasām Bh_4.16b	karoti DvaniH-amBasAm Bh_4.16b
   kalāvapi bhavāniha Bh_5.57b	kalO=-api BavAn-iha Bh_5.57b
   kalāśāstrāśrayaṃ ceti Bh_1.17c	kalA-SAstra-ASrayam ca-iti Bh_1.17c
   kalā saṅkalanā prajñā Bh_4.32a	kalA saFkalanA prajQA Bh_4.32a
   kalpanāduṣṭamityapi Bh_1.47b	kalpanAduzwam-iti-api Bh_1.47b
   kalpanāṃ nāmajātyādi- Bh_5.6c	kalpanAm nAma-jAti-Adi Bh_5.6c
   kavayo na prayuñjate Bh_1.37d	kavayaH na prayuQjate Bh_1.37d
   kaverabhiprāyakṛtaiḥ Bh_1.27a	kaveH-aBiprAya-kRtEH Bh_1.27a
   kaṣṭaṃ kiṃ nu kathaṃ nu tat Bh_4.46d	kazwam kim nu kaTam nu tat Bh_4.46d
   kasyacit pratibhāvataḥ Bh_1.5d	kasyacid pratiBAvataH Bh_1.5d
   kaḥ kuryādupamāṃ kṛtī Bh_2.49b	kaH kuryAt-upamAm kRtI Bh_2.49b
   kā niśā śaśinā vinā Bh_1.4b	kA niSA SaSinA vinA Bh_1.4b
   kāntaṃ kāvyamayaṃ vapuḥ Bh_1.6d	kAntam kAvya-mayam vapuH Bh_1.6d
   kāntāvilocananyastaṃ Bh_1.55c	kAntA-vilocana-nyastam Bh_1.55c
   kāntirvāpyugratāpi vā Bh_2.64d	kAntiH-vA-api-ugra-tA-api vA Bh_2.64d
   kānte induśiroratne Bh_4.27a	kAnte indu-SiraH-ratne Bh_4.27a
   kāmaṃ tathāstu prāyeṇa Bh_1.33c	kAmam taTA-astu prAyeNa Bh_1.33c
   kāmināṃ prītibhiḥ saha Bh_3.40d	kAminAm prItiBiH saha Bh_3.40d
   kāraṇaṃ cenna tannityaṃ Bh_5.31c	kAraNam ced-na tat-nityam Bh_5.31c
   kāryaṃ kāvyaṃ vidhitsatā Bh_6.4b	kAryam kAvyam viDitsatA Bh_6.4b
   kāryaḥ kāvyakriyādaraḥ Bh_1.10d	kAryaH kAvya-kriyA-AdaraH Bh_1.10d
   kāryāsambhavato yathā Bh_4.15d	kAryA-samBavataH yaTA Bh_4.15d
   kāryo 'nyatra pratijñāyāḥ Bh_5.40a	kAryaH anyatra pratijQAyAH Bh_5.40a
   kālaḥ ṣoḍheva bhidyate Bh_4.30b	kAlaH zoXA-iva Bidyate Bh_4.30b
   kālenaiṣā bhavet prītis Bh_3.5e	kAlena-ezA Bavet prItiH Bh_3.5e
   kāle pariṇataṃ bahu Bh_3.30b	kAle pariNatam bahu Bh_3.30b
   kāle bhāvyārthaśaṃsi ca Bh_1.26d	kAle BAvya-arTa-SaMsi ca Bh_1.26d
   kāvyaṃ kapitthamāmaṃ yat Bh_5.62c	kAvyam kapitTam-Amam yat Bh_5.62c
   kāvyaṃ tu jāyate jātu Bh_1.5c	kAvyam tu jAyate jAtu Bh_1.5c
   kāvyaṃ madhuramiṣyate Bh_2.3b	kAvyam maDuram-izyate Bh_2.3b
   kāvyānyapi yadīmāni Bh_2.20a	kAvyAni-api yadi-imAni Bh_2.20a
   kāvyālaṃkāra ityeṣa Bh_1.1c	kAvya-alaMkAraH iti-eza Bh_1.1c
   kāvyeṣvapi sumedhasām Bh_5.47d	kAvyezu-api sumeDasAm Bh_5.47d
   kāvyeṣvabhihitaṃ yathā Bh_5.30d	kAvyezu-aBihitam yaTA Bh_5.30d
   kāśā haranti hṛdayam Bh_5.53a	kASAH haranti hRdayam Bh_5.53a
   kimanyatsadma kalpyate Bh_6.10d	kim-anyat-sadma kalpyate Bh_6.10d
   kimayaṃ śaśī na sa divā virājate Bh_3.44a	kim-ayam SaSI na sa divA virAjate Bh_3.44a
   kimityayaṃ tu yaḥ kṣepaḥ Bh_5.47a	kim-iti-ayam tu yaH kzepaH Bh_5.47a
   kimindriyadviṣā jñeyaṃ Bh_5.46a	kim-indriya-dvizA jQeyam Bh_5.46a
   kimuktenāpriyeṇa te Bh_2.69d	kim-uktena-apriyeNa te Bh_2.69d
   kiyadudghaṭṭitajñebhyaḥ Bh_3.52c	kiyat-udGawwita-jQeByaH Bh_3.52c
   kiyantaḥ santi guṇinaḥ Bh_2.36a	kiyantaH santi guNinaH Bh_2.36a
   kiyanto vādhvaśākhinaḥ Bh_2.36d	kiyantaH vA-aDva-SAKinaH Bh_2.36d
   kiyanna harate manaḥ Bh_6.47d	kiyat-na harate manaH Bh_6.47d
   kiṃ ca kāvyāni neyāni Bh_2.45a	kim ca kAvyAni neyAni Bh_2.45a
   kiṃciccopamayā saha Bh_2.91b	kiMcid-ca-upamayA saha Bh_2.91b
   kiṃcidantargatopamā Bh_3.21b	kiMcid-antargata-upamA Bh_3.21b
   kiṃcidāśrayasaundaryād Bh_1.55a	kiMcid-ASraya-sOndaryAt Bh_1.55a
   kiṃcidutprekṣayānvitaḥ Bh_3.47b	kiMcid-utprekzayA-anvitaH Bh_3.47b
   kiṃcidvidhitsoryā nindā Bh_3.31c	kiMcid-viDitsoryA nindA Bh_3.31c
   kiṃ tayā cintayā kānte Bh_2.5c	kim tayA cintayA kAnte Bh_2.5c
   kiṃ tayoḥ sadṛśaṃ kṛtam Bh_3.32d	kim tayoH sadRSam kRtam Bh_3.32d
   kiṃ tu strīpuṃsayorayam Bh_2.57b	kim tu strIpuMsayoH-ayam Bh_2.57b
   kiṃ śaṭhābhimanāyase Bh_6.39d	kim SaWa-aBimanAyase Bh_6.39d
   kiṃśukavyapadeśena Bh_2.92a	kiMSuka-vyapadeSena Bh_2.92a
   kiṃ sādhyaṃ kiṃ ca sādhanam Bh_5.56d	kim sADyam kim ca sADanam Bh_5.56d
   kīdṛśī vāgvidagdhatā Bh_1.4d	kIdRSI vAc-vidagDa-tA Bh_1.4d
   kīrterapi karoti tat Bh_5.61d	kIrteH-api karoti tat Bh_5.61d
   kukavitvaṃ punaḥ sākṣān Bh_1.12c	kukavi-tvam punar sAkzAn Bh_1.12c
   kurvanti kāvyamapare Bh_5.67c	kurvanti kAvyam-apare Bh_5.67c
   kurvīta śaśalakṣmaṇaḥ Bh_2.49d	kurvIta SaSalakzmaNaH Bh_2.49d
   kulākulagalo balaḥ Bh_2.6d	kula-Akula-galaH balaH Bh_2.6d
   kusumāyudho na dhanurasya kausumam Bh_3.44b	kusumAyuDaH na DanuH-asya kOsumam Bh_3.44b
   kūjanātkurarīṇāṃ ca Bh_5.48e	kUjanAt-kurarINAm ca Bh_5.48e
   kṛcchreṇa punarunnatiḥ Bh_1.51d	kRcCreNa punar-unnatiH Bh_1.51d
   kṛtāgasāṃ mārgabhidāṃ ca śāsanāḥ Bh_2.15c	kRta-AgasAm mArga-BidAm ca SAsanAH Bh_2.15c
   kṛtātmanāṃ tattvadṛśāṃ ca mādṛśo Bh_4.50c	kRtAtmanAm tattva-dRSAm ca mAdRSaH Bh_4.50c
   kṛtārtho 'nyanirākṛtau Bh_6.17b	kRtArTaH anya-nirAkRtO Bh_6.17b
   kṛtvā kleśāntaṃ yāti vartma praśāntam Bh_2.12b	kRtvA kleSa-antam yAti vartma praSAntam Bh_2.12b
   kṛtvā tadvidupāsanam Bh_1.10b	kRtvA tad-vid-upAsanam Bh_1.10b
   kṛtvā pratijñāṃ vatsena Bh_5.38c	kRtvA pratijQAm vatsena Bh_5.38c
   kṛtvā sandhāṃ śakuninā Bh_5.42c	kRtvA sanDAm SakuninA Bh_5.42c
   kṛtsnaṃ ca sarvapādeṣu Bh_2.16c	kRtsnam ca sarva-pAdezu Bh_2.16c
   kekā vineśuḥ śikhināṃ mukheṣu Bh_2.46d	kekAH vineSuH SiKinAm muKezu Bh_2.46d
   kecidojo 'bhidhitsantaḥ Bh_2.2a	kecid-ojaH aBiDitsantaH Bh_2.2a
   kecidvistarabhīravaḥ Bh_5.60d	kecid-vistara-BIravaH Bh_5.60d
   kevalaṃ śrutipeśalam Bh_1.34d	kevalam Sruti-peSalam Bh_1.34d
   kevalāvarthasiddhaye Bh_5.48b	kevalO=-arTa-sidDaye Bh_5.48b
   ke śabdāḥ kiṃ ca tadvācyam Bh_6.20c	ke SabdAH kim ca tat-vAcyam Bh_6.20c
   keṣāṃcittādṛśaṃ yathā Bh_5.62d	kezAMcitta-adRSam yaTA Bh_5.62d
   ko nāma vahninaupamyaṃ Bh_2.49c	kaH nAma vahninA-Opamyam Bh_2.49c
   ko nirākriyate 'ribhiḥ Bh_5.46b	kaH nirAkriyate ariBiH Bh_5.46b
   ko 'laṅkāro 'nayā vinā Bh_2.85d	kaH alaFkAraH anayA vinA Bh_2.85d
   ko vakṣyatīti virato 'hamato vicārāt Bh_6.62b	kaH vakzyati-iti virataH aham-atas vicArAt Bh_6.62b
   ko vā gatvaramarthibhyo Bh_5.46c	kaH vA gatvaram-arTiByaH Bh_5.46c
   ko vā heturalaṃ sindhor Bh_2.70c	kaH vA hetuH-alam sinDoH Bh_2.70c
   ko hantiṃ gativācinam Bh_6.24d	kaH hantim gati-vAcinam Bh_6.24d
   ktinnantaṃ ca prayuñjīta Bh_6.49a	ktinnantam ca prayuQjIta Bh_6.49a
   kramavṛttiṣu varṇeṣu Bh_4.5a	krama-vRttizu varNezu Bh_4.5a
   kramaśo yo 'nunirdeśo Bh_2.89c	kramaSas yaH anunirdeSaH Bh_2.89c
   kramāgataṃ śrutisukhaṃ Bh_6.28a	krama-Agatam Sruti-suKam Bh_6.28a
   kriyate cābhidhā yathā Bh_3.21d	kriyate ca-aBiDA yaTA Bh_3.21d
   kriyate tena kā ratiḥ Bh_6.4d	kriyate tena kA ratiH Bh_6.4d
   kriyayaiva viśiṣṭasya Bh_3.33a	kriyayA-eva viSizwasya Bh_3.33a
   kriyāyāḥ pratiṣedhe yā Bh_2.77a	kriyAyAH pratizeDe yA Bh_2.77a
   krīḍāyāṃ vikṛtaṃ ca tat Bh_1.40d	krIxAyAm vikRtam ca tat Bh_1.40d
   kliṣṭaṃ vyavahitaṃ vidyād Bh_1.40a	klizwam vyavahitam vidyAt Bh_1.40a
   klībasyevāstrakauśalam Bh_1.3b	klIbasya-iva-astra-kOSalam Bh_1.3b
   kva kāntānanamadyuti Bh_2.44b	kva kAnta-Ananam-adyuti Bh_2.44b
   kvacit saṃ]yoginaṃ vadet Bh_6.60b	kvacid saM]yoginam vadet Bh_6.60b
   kvacidagre prasaratā Bh_2.54a	kvacid-agre prasaratA Bh_2.54a
   kvacidāpatya nighnatā Bh_2.54b	kvacid-Apatya niGnatA Bh_2.54b
   kva viśeṣaḥ kutaśca saḥ Bh_5.7d	kva viSezaH kutas-ca saH Bh_5.7d
   kṣaṇamapyutsukā tataḥ Bh_2.69b	kzaNam-api-utsukA tatas Bh_2.69b
   khyāpyate yena dṛṣṭāntaḥ Bh_5.27c	KyApyate yena dRzwAntaH Bh_5.27c
   gajānāṃ madabindubhiḥ Bh_4.36b	gajAnAm mada-binduBiH Bh_4.36b
   gaṇḍamapyapare kila Bh_1.53d	gaNxam-api-apare kila Bh_1.53d
   gaṇḍaḥ sādhu yathoditam Bh_1.56d	gaNxaH sADu yaTA-uditam Bh_1.56d
   gatānugatikanyāyān Bh_1.32c	gata-anugati-kanyAyAn Bh_1.32c
   gate 'staṃ prati bhāsvati Bh_3.48b	gate astam prati BAsvati Bh_3.48b
   gato yāto hato yathā Bh_6.61b	gataH yAtaH hataH yaTA Bh_6.61b
   gato 'stamarko bhātīndur Bh_2.87a	gataH astam-arkaH BAti-induH Bh_2.87a
   gadyaṃ padyaṃ ca taddvidhā Bh_1.16b	gadyam padyam ca tat-dviDA Bh_1.16b
   gadyena yuktodāttārthā Bh_1.25c	gadyena yukta-udAtta-arTAH Bh_1.25c
   garīyāneva hi gurūn Bh_2.74c	garIyAn-eva hi gurUn Bh_2.74c
   gāḍhāliṅganahetavaḥ Bh_3.40b	gAXa-AliFgana-hetavaH Bh_3.40b
   gāmbhīryalāvaṇyavator Bh_3.50a	gAmBIrya-lAvaNyavatoH Bh_3.50a
   gā vārayati daṇḍena Bh_2.94c	gAH vArayati daNxena Bh_2.94c
   girāmalaṅkāravidhirvidhāsyate Bh_2.96d	girAm-alaFkAra-viDiH-viDAsyate Bh_2.96d
   girāmalaṅkāravidhiḥ savistaraḥ Bh_3.58a	girAm-alaFkAra-viDiH sa-vistaraH Bh_3.58a
   giriṃ krauñcaṃ bhṛgūttamaḥ Bh_3.32b	girim krOQcam BRgu-uttamaH Bh_3.32b
   guṇakriyābhyāṃ nāmnā ca Bh_3.14c	guNa-kriyAByAm nAmnA ca Bh_3.14c
   guṇaleśena sopamā Bh_2.30d	guNa-leSena sa-upamA Bh_2.30d
   guṇasāmyapratītitaḥ Bh_2.34d	guNa-sAmya-pratItitaH Bh_2.34d
   guṇasāmyavivakṣayā Bh_3.27b	guNa-sAmya-vivakzayA Bh_3.27b
   guṇasya vā kriyāyā vā Bh_3.25a	guNasya vA kriyAyAH vA Bh_3.25a
   guṇātiśayayogataḥ Bh_2.84b	guNa-atiSaya-yogataH Bh_2.84b
   guṇānāṃ samatāṃ dṛṣṭvā Bh_2.21c	guNAnAm samatAm dRzwvA Bh_2.21c
   guṇo 'tra vyatiricyate Bh_2.35b	guNaH atra vyatiricyate Bh_2.35b
   gurutaradhiyāmasvārādhaṃ mano 'kṛtabuddhibhiḥ Bh_5.69d	gurutara-DiyAmasu-ArADam manaH akRtabudDiBiH Bh_5.69d
   gurubhiḥ kiṃ vivādena Bh_4.7c	guruBiH kim vivAdena Bh_4.7c
   gurumarthaṃ na puṣyati Bh_2.62d	gurum-arTam na puzyati Bh_2.62d
   guruvaccānuśāsti naḥ Bh_2.33d	guru-vat-ca-anuSAsti naH Bh_2.33d
   guruvākyānurodhakaḥ Bh_3.11b	guru-vAkya-anuroDakaH Bh_3.11b
   gurūpadeśādadhyetuṃ Bh_1.5a	guru-upadeSAt-aDyetum Bh_1.5a
   gurorlaghośca varṇasya Bh_4.25a	guroH-laGoH-ca varNasya Bh_4.25a
   gurau sati jigīṣuṇā Bh_4.48d	gurO sati jigIzuNA Bh_4.48d
   gūḍhaśabdābhidhānaṃ ca Bh_1.37c	gUXa-Sabda-aBiDAnam ca Bh_1.37c
   gūḍhaśabdābhidhānaṃ ca Bh_1.45a	gUXa-Sabda-aBiDAnam ca Bh_1.45a
   gṛheṣvadhvasu vā nānnaṃ Bh_3.9a	gRhezu-aDvasu vA na-annam Bh_3.9a
   gokṣīrakundahalināṃ Bh_2.61c	go-kzIra-kunda-halinAm Bh_2.61c
   gośabdaśravaṇādbhavet Bh_6.19b	go-Sabda-SravaNAt-Bavet Bh_6.19b
   gauḍīyamapi sādhīyo Bh_1.35c	gOxIyam-api sADIyaH Bh_1.35c
   gauḍīyamidametattu Bh_1.32a	gOxIyam-idam-etat-tu Bh_1.32a
   grathitaṃ rakrilagomisūnunedam Bh_6.64d	graTitam rakrila-gomi-sUnunA-idam Bh_6.64d
   grahairapi gajādīnāṃ Bh_2.64a	grahEH-api gaja-AdInAm Bh_2.64a
   grāmyaṃ na piṇḍīśūrādiṃ Bh_6.25c	grAmyam na piNxI-SUra-Adim Bh_6.25c
   grāmyānuprāsamanyattu Bh_2.6a	grAmya-anuprAsam-anyat-tu Bh_2.6a
   grāhyagrāhakabhedena Bh_5.9a	grAhya-grAhaka-Bedena Bh_5.9a
   ghanāghanā nīlaghanā ghanālakāṃ Bh_2.14c	GanAGanAH nIla-GanAH Gana-alakAm Bh_2.14c
   ghanāñchabalayantyamūḥ Bh_6.44d	GanAn-Sabalayanti-amUH Bh_6.44d
   ghanān paśya divo 'bhitaḥ Bh_4.23d	GanAn paSya divaH aBitas Bh_4.23d
   cakāra jānudadhnāpān Bh_4.37c	cakAra jAnu-daDnApAn Bh_4.37c
   cakora iti gṛhyatām Bh_5.54b	cakoraH iti gRhyatAm Bh_5.54b
   cakravākaśukādayaḥ Bh_1.42d	cakravAka-Suka-AdayaH Bh_1.42d
   cakravāko virājate Bh_2.55b	cakravAkaH virAjate Bh_2.55b
   cakre sā kāmabādhinī Bh_5.43d	cakre sA kAma-bADinI Bh_5.43d
   caturdhā bhidyate punaḥ Bh_1.17d	caturDA Bidyate punar Bh_1.17d
   caturvargābhidhāne 'pi Bh_1.21a	caturvarga-aBiDAne api Bh_1.21a
   candrabhāsā tirohitāḥ Bh_2.82b	candraBAsA tirohitAH Bh_2.82b
   candraścandramukhoditaḥ Bh_2.8d	candraH-candra-muKa-uditaH Bh_2.8d
   carmaṇā nirmitasya ca Bh_4.46b	carmaNA nirmitasya ca Bh_4.46b
   calantīṃ bibhṛtha kṣitim Bh_3.28d	calantIm biBRTa kzitim Bh_3.28d
   cāṇakyo naktamupayānn Bh_3.13a	cANakyaH naktam-upayAn Bh_3.13a
   cāroḥ kā vāstyalaṅkṛtiḥ Bh_3.51d	cAroH kA vA-asti-alaFkRtiH Bh_3.51d
   citraṃ yanna tavoddhatiḥ Bh_2.70b	citram yat-na tava-udDatiH Bh_2.70b
   citrodāttādbhutārthatvaṃ Bh_3.54a	citra-udAtta-adButa-arTa-tvam Bh_3.54a
   cīrīmavatīraraṇyānīḥ Bh_2.29a	cIrImavatIra-raNyAnIH Bh_2.29a
   cūtāḥ kānanaśobhinaḥ Bh_4.31d	cUtAH kAnana-SoBinaH Bh_4.31d
   cetaḥsammohakāriṇam Bh_6.24b	cetaH-sammoha-kAriNam Bh_6.24b
   caidyaṃ śārṅgadhanuryathā Bh_3.8d	cEdyam SArFgaDanuH-yaTA Bh_3.8d
   cyutā syāt phaṇināmiva Bh_2.83b	cyutA syAt PaNinAm-iva Bh_2.83b
   chandovaditi cotsargān Bh_6.27c	CandaH-vat-iti ca-utsargAn Bh_6.27c
   chaśinaivopamīyate Bh_2.44d	CaSinA-eva-upamIyate Bh_2.44d
   chāyāvanto gatavyālāḥ Bh_3.18a	CAyAvantaH gata-vyAlAH Bh_3.18a
   chāyāśītāpi dhūrasau Bh_3.26b	CAyA-SItA-api DUrasO Bh_3.26b
   chinnavāntapravṛttayaḥ Bh_1.48b	Cinna-vAnta-pravRttayaH Bh_1.48b
   chirorcitāṃghreḥ pṛthukīrtidhiṣṇya Bh_5.63b	Cirorcita-aMGreH pRTu-kIrtiDizNya Bh_5.63b
   jaganti kusumāyudhaḥ Bh_3.24b	jaganti kusumAyuDaH Bh_3.24b
   janako gavi gobuddher Bh_6.17c	janakaH gavi go-budDeH Bh_6.17c
   jano 'bhisandhiṃ ka ivāvabhotsyate Bh_4.50d	janaH aBisanDim kaH iva-avaBotsyate Bh_4.50d
   jarāmeṣa bibharmīti Bh_5.36c	jarAm-eza biBarmi-iti Bh_5.36c
   jalabhṛnmārutendavaḥ Bh_1.42b	jalaBRt-mAruta-indavaH Bh_1.42b
   jahāra hṛdayaṃ nṛṇām Bh_6.43d	jahAra hRdayam nRNAm Bh_6.43d
   jāgaryā jāgarā yathā Bh_6.49d	jAgaryAH jAgarAH yaTA Bh_6.49d
   jājvalyamānā iva vāridhārā Bh_2.47c	jAjvalyamAnAH iva vAri-DArA Bh_2.47c
   jātayo dūṣaṇābhāsās Bh_5.29a	jAtayaH dUzaNa-ABAsAH Bh_5.29a
   jātastarurayaṃ coccaiḥ Bh_2.80c	jAtaH-taruH-ayam ca-uccEs Bh_2.80c
   jātā tvayi gṛhāgate Bh_3.5d	jAtA tvayi gRha-Agate Bh_3.5d
   jātiṃ vyādhīnāṃ durdamānāmadhīnāṃ Bh_2.12c	jAtim vyADInAm durdamAnAm-aDInAm Bh_2.12c
   jātyādyapohe vṛttiḥ kva Bh_5.7c	jAti-Adi-apohe vRttiH kva Bh_5.7c
   jānudaghnī sarinnārī- Bh_6.55c	jAnu-daGnI sarit-nArI Bh_6.55c
   jāmadagnyaṃ yudhā jitvā Bh_5.44c	jAmadagnyam yuDA jitvA Bh_5.44c
   jāyate cārutā girām Bh_1.36b	jAyate cAru-tA girAm Bh_1.36b
   jāyate tattu noditam Bh_4.7b	jAyate tat-tu na-uditam Bh_4.7b
   jāyate bhedaviṣayo Bh_5.16c	jAyate Beda-vizayaH Bh_5.16c
   jāyate yanna kāvyāṅgam Bh_5.4c	jAyate yat-na kAvyAFgam Bh_5.4c
   jāyante cāravo giraḥ Bh_2.7d	jAyante cAravaH giraH Bh_2.7d
   jñeyaḥ so 'rthāntaranyāsaḥ Bh_2.71c	jQeyaH saH arTa-antaranyAsaH Bh_2.71c
   jñeyā nidarśanā nāma Bh_3.33c	jQeyA nidarSanA nAma Bh_3.33c
   jñeyā vibhāvanaivāsau Bh_2.77c	jQeyA viBAvanA-eva-asO Bh_2.77c
   jñeyā hetvapavādinī Bh_5.15b	jQeyA hetu-apavAdinI Bh_5.15b
   jyāyānāpa kanīyasīm Bh_6.54d	jyAyAn-Apa kanIyasIm Bh_6.54d
   jvalantīnāṃ vivasvataḥ Bh_2.48b	jvalantInAm vivasvataH Bh_2.48b
   ṭhak cāpi tena jayatīty Bh_6.52c	Wak ca-api tena jayati-iti Bh_6.52c
   ḍitthādiṃ pratijānate Bh_6.21d	xitTa-Adim pratijAnate Bh_6.21d
   ḍimbhaḥ sasyāvatāraṇīḥ Bh_2.94d	ximBaH sasya-avatAraNIH Bh_2.94d
   ḍmatubiṣṭaṃ ca kumudād Bh_6.52a	xmatu-bizwam ca kumudAt Bh_6.52a
   ṇāviṣṭhavaditīṣṭyā ca Bh_6.33c	NA-vizWa-vat-iti-izwyA ca Bh_6.33c
   ṇicprātipadikāttataḥ Bh_6.33b	Nit-prAtipadikAt-tatas Bh_6.33b
   ta eta upamādoṣāḥ Bh_2.40a	te ete upamA-dozAH Bh_2.40a
   taccakārāvaśo ruṣā Bh_5.39d	tat-cakAra-avaSaH ruzA Bh_5.39d
   tajjñānaṃ saṃśayaṃ viduḥ Bh_4.17d	tat-jQAnam saMSayam viduH Bh_4.17d
   tajjñaiḥ kāvyaprayogeṣu Bh_5.33a	tad-jQEH kAvya-prayogezu Bh_5.33a
   taḍidvalayakakṣyāṇāṃ Bh_2.24a	taxit-valaya-kakzyANAm Bh_2.24a
   tata eveti nānyataḥ Bh_5.10b	tatas eva-iti na-anyatas Bh_5.10b
   tataśchamiṣṭyā ca yathā Bh_6.53c	tatas-CamizwyA ca yaTA Bh_6.53c
   tatastajjananaṃ vacaḥ Bh_4.18b	tatas-tat-jananam vacaH Bh_4.18b
   tato 'rthāditi kecana Bh_5.6b	tatas arTAt-iti kecana Bh_5.6b
   tatkilodāttamucyate Bh_3.12d	tad-kila-udAt-tam-ucyate Bh_3.12d
   tattathaiva prayojayet Bh_6.41b	tat-taTA-eva prayojayet Bh_6.41b
   tattadvirodhi vijñeyaṃ Bh_4.28c	tat-tat-viroDi vijQeyam Bh_4.28c
   tatpunaḥ pañcadhocyate Bh_1.18d	tat-punar paQcaDA-ucyate Bh_1.18d
   tatprāduṣkṛtamanyathā Bh_5.33b	tat-prAduzkRtam-anyaTA Bh_5.33b
   tatphalasya vibhāvanā Bh_2.77b	tad-Palasya viBAvanA Bh_2.77b
   tatra lokāśrayaṃ kāvyam Bh_5.33c	tatra loka-ASrayam kAvyam Bh_5.33c
   tatrākṣepo dvidhā mataḥ Bh_2.67b	tatra-AkzepaH dviDA mataH Bh_2.67b
   tatrāpi mekhālāmālā- Bh_6.57c	tatra-api meKAlA-mAlA Bh_6.57c
   tatrāsambhavinārthena Bh_2.49a	tatra-asamBavinA-arTena Bh_2.49a
   tatsamānaviśeṣaṇaḥ Bh_2.79b	tad-samAna-viSezaNaH Bh_2.79b
   tatsahoktyupamāhetu- Bh_3.17c	tat-sahokti-upamA-hetu Bh_3.17c
   tathā kraśayatītyapi Bh_6.33d	taTA kraSayati-iti-api Bh_6.33d
   tathā ṭhaṃśca manīṣibhiḥ Bh_6.57b	taTA Wan=-ca manIziBiH Bh_6.57b
   tathāpi teṣāṃ tairasti Bh_2.64c	taTA-api tezAm tEH-asti Bh_2.64c
   tathā bhavatu bhūmnedaṃ Bh_1.44c	taTA Bavatu BUmnA-idam Bh_1.44c
   tathā bhramarahārīta- Bh_1.42c	taTA Bramara-hArIta Bh_1.42c
   tathāvidhaṃ gajacchadma Bh_4.40c	taTAviDam gajacCadma Bh_4.40c
   tathaiva puruṇābhāri Bh_5.36e	taTA-eva puruNA-BAri Bh_5.36e
   tathaivākhyāyikākathe Bh_1.18b	taTA-eva-AKyAyikA-kaTe Bh_1.18b
   tadapārthakamiṣyate Bh_4.8b	tad-apArTakam-izyate Bh_4.8b
   tadapetaṃ yatibhraṣṭam Bh_4.24c	tat-apetam yati-Brazwam Bh_4.24c
   tadapetaṃ viparyāsād Bh_4.20c	tat-apetam viparyAsAt Bh_4.20c
   tadapoheṣu ca tathā Bh_5.8a	tad-apohezu ca taTA Bh_5.8a
