   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   kiñcanyāt kṣaṇikatve va HSvs_[4.7]360a	kiQcanyAt kzaNika-tve vaH HSvH-_[4.7]360a
   kiñca syādvādino naiva HSvs_[7.1]483a	kiQca syAt-vAdinaH na-eva HSvH-_[7.1]483a
   kiñcit tatrāpi vakṣyate HSvs_[4.7]374d	kiQcid tatra-api vakzyate HSvH-_[4.7]374d
   kiñcid atrāpi vidyate HSvs_[10.1]606d	kiQcid atra-api vidyate HSvH-_[10.1]606d
   kiñcin naśyati naikāntād HSvs_[1.2]75c	kiQcid naSyati na-ekAntAt HSvH-_[1.2]75c
   kiñcin nivartate 'vaśyaṃ HSvs_[7.1]525a	kiQcid nivartate avaSyam HSvH-_[7.1]525a
   kintu dharmo dvidhā mataḥ HSvs_[1.1]20b	kintu DarmaH dviDA mataH HSvH-_[1.1]20b
   kintu sarvaṃ yathāśrutam HSvs_[10.2]639b	kintu sarvam yaTASrutam HSvH-_[10.2]639b
   kim arthaṃ kalpyate naraḥ HSvs_[10.1]585d	kim arTam kalpyate naraH HSvH-_[10.1]585d
   kim itthaṃ tattvasādhanam HSvs_[6.6]470b	kim itTam tattva-sADanam HSvH-_[6.6]470b
   kilaitad avasīyate HSvs_[2.1]131d	kila-etat avasIyate HSvH-_[2.1]131d
   kiṃ ca vijñānāmātratve HSvs_[5.2]403a	kim ca vijQAna-amAtra-tve HSvH-_[5.2]403a
   kiṃ tadbhāve 'pi tulyatā HSvs_[1.2]68b	kim tad-BAve api tulya-tA HSvH-_[1.2]68b
   kiṃ tv ayaṃ yujyate kveti HSvs_[1.2]64c	kim tu ayam yujyate kva-iti HSvH-_[1.2]64c
   kiṃ tv asat sad bhavaty evam HSvs_[4.3]301c	kim tu asat sat Bavati evam HSvH-_[4.3]301c
   kiṃ na bandhaphalaḥ sa yat HSvs_[1.1]22b	kim na banDaPalaH sa yat HSvH-_[1.1]22b
   kiṃ naivaṃ ced na yat tathā HSvs_[1.1]22d	kim na-evam ced na yat taTA HSvH-_[1.1]22d
   -kīkaraṇena bhedataḥ HSvs_[11.1]653b	-kIkaraNena BedataH HSvH-_[11.1]653b
   kīrtitaṃ dharmakīrtinā HSvs_[10.1]603d	kIrtitam Darma-kIrtinA HSvH-_[10.1]603d
   kuta etad vicintyatām HSvs_[10.1]598d	kutas etat vicintyatAm HSvH-_[10.1]598d
   kutaścid anivarttanāt HSvs_[2.1]148b	kutaScid anivarttanAt HSvH-_[2.1]148b
   kutas tatra vikalpanam HSvs_[7.1]515d	kutas tatra vikalpanam HSvH-_[7.1]515d
   kutas tasyaikarūpatā HSvs_[4.4]308d	kutas tasya-eka-rUpa-tA HSvH-_[4.4]308d
   kutaḥ svakṛtavedanam HSvs_[4.5]324b	kutas sva-kRta-vedanam HSvH-_[4.5]324b
   kuto bodhānvayas tataḥ HSvs_[4.6]348d	kutas boDa-anvayaH tatas HSvH-_[4.6]348d
   kuto 'yam iti nāpare HSvs_[2.1]113d	kutas ayam iti na-apare HSvH-_[2.1]113d
   kutsitācaraṇāspadam HSvs_[1.1]12d	kutsita-AcaraNa-Aspadam HSvH-_[1.1]12d
   kumāryāḥ svapnavajjñeyā HSvs_[6.6]469c	kumAryAH svapna-vat-jQeyAH HSvH-_[6.6]469c
   kuvādiyuktyapavyākhyā- HSvs_[1.1]29c	kuva-Adi-yukti-apavyAKyA HSvH-_[1.1]29c
   kṛtakṛtyatvabādhanam HSvs_[3.1]202d	kRtakRtya-tva-bADanam HSvH-_[3.1]202d
   kṛtakṛtyasya vidyate HSvs_[3.1]201b	kRtakRtyasya vidyate HSvH-_[3.1]201b
   kṛtvā prakaraṇam etad yad avāptaṃ kiñcid iha mayā kuśalam HSvs_[11.4]700/a	kRtvA prakaraNam etat yat avAptam kiQcid iha mayA kuSalam HSvH-_[11.4]700/a
   kṛpāyatanam anyeṣāṃ HSvs_[11.2]679c	kRpA-Ayatanam anyezAm HSvH-_[11.2]679c
   kena mānena gamyate HSvs_[2.1]130d	kena mAnena gamyate HSvH-_[2.1]130d
   kena muktir vicintyatām HSvs_[5.2]408d	kena muktiH vicintyatAm HSvH-_[5.2]408d
   kevalajñānabhāve ca HSvs_[11.2]677a	kevala-jQAna-BAve ca HSvH-_[11.2]677a
   kevalaṃ gamyate kvacit HSvs_[7.1]512d	kevalam gamyate kvacid HSvH-_[7.1]512d
   kevalaṃ dhyāndhyasūcakam HSvs_[4.6]359d	kevalam DyAnDya-sUcakam HSvH-_[4.6]359d
   kevalaṃ labhate kramāt HSvs_[9.1]572d	kevalam laBate kramAt HSvH-_[9.1]572d
   kevalaṃ so 'pi kāraṇam HSvs_[2.2]189b	kevalam saH api kAraNam HSvH-_[2.2]189b
   kevalānāṃ tadanye tu HSvs_[2.2]164c	kevalAnAm tad-anye tu HSvH-_[2.2]164c
   kevalo 'sti yatas tena HSvs_[7.1]515c	kevalaH asti yatas tena HSvH-_[7.1]515c
   ko 'yaṃ kṣaṇikatāgrahaḥ HSvs_[4.7]362d	kaH ayam kzaNikatA-grahaH HSvH-_[4.7]362d
   kramākramavibhāvinī HSvs_[6.4]463d	krama-Akrama-viBAvinI HSvH-_[6.4]463d
   kramākramavirodhataḥ HSvs_[6.6]468b	krama-akrama-viroDataH HSvH-_[6.6]468b
   kriyate yad vicakṣaṇaiḥ HSvs_[6.1]424d	kriyate yat vicakzaNEH HSvH-_[6.1]424d
   kriyayāvato 'pi yatnena HSvs_[11.2]677c	kriyayAvataH api yatnena HSvH-_[11.2]677c
   kriyayā vyajyate param HSvs_[1.4]99b	kriyayA vyajyate param HSvH-_[1.4]99b
   kriyātiśayajaiva hi HSvs_[11.2]689b	kriyA-atiSaya-jA-eva hi HSvH-_[11.2]689b
   kriyātiśayayogāc ca HSvs_[11.2]681a	kriyA-atiSaya-yogAt ca HSvH-_[11.2]681a
   kriyāntaranibandhanam HSvs_[1.4]101b	kriyA-antara-nibanDanam HSvH-_[1.4]101b
   kriyāvaiphalyam eva ca HSvs_[2.2]176d	kriyA-vEPalyam eva ca HSvH-_[2.2]176d
   kriyāhīnāś ca yal loke HSvs_[11.2]679a	kriyA-hInAH ca yat loke HSvH-_[11.2]679a
   kriyaiva phaladā puṃsāṃ HSvs_[11.2]678a	kriyA-eva Pala-dA puMsAm HSvH-_[11.2]678a
   kriyopetāś ca tadyogād HSvs_[11.2]680a	kriyA-upetAH ca tad-yogAt HSvH-_[11.2]680a
   krodhādayaś ca catvāra HSvs_[1.1]4c	kroDa-AdayaH ca catvAraH HSvH-_[1.1]4c
   kliṣṭatā tasya yadvaśāt HSvs_[5.2]406b	klizwa-tA tasya yad-vaSAt HSvH-_[5.2]406b
   kliṣṭasattvavicintitam HSvs_[1.5]112b	klizwa-sattva-vicintitam HSvH-_[1.5]112b
   kliṣṭaṃ mano 'sti yan nityaṃ HSvs_[1.4]88c	klizwam manaH asti yat nityam HSvH-_[1.4]88c
   kliṣṭaṃ vijñānam evāsau HSvs_[5.2]406a	klizwam vijQAnam eva-asO HSvH-_[5.2]406a
   kliṣṭaṃ hiṃsādyanuṣṭhānaṃ HSvs_[2.1]162a	klizwam hiMsA-Adi-anuzWAnam HSvH-_[2.1]162a
   kliṣṭād hiṃsādyanuṣṭhānāt HSvs_[2.1]121a	klizwAt hiMsA-Adi-anuzWAnAt HSvH-_[2.1]121a
   kleśakarmanibandhanam HSvs_[4.1]238b	kleSa-karma-nibanDanam HSvH-_[4.1]238b
   kleśavargasamudbhavāḥ HSvs_[1.1]13b	kleSa-varga-samudBavAH HSvH-_[1.1]13b
   kleśāya kevalaṃ puṃsām HSvs_[9.1]563c	kleSAya kevalam puMsAm HSvH-_[9.1]563c
   kleśāyāsaparāyaṇāḥ HSvs_[11.2]675d	kleSa-AyAsa-parAyaNAH HSvH-_[11.2]675d
   kvacit kiñcid apīkṣyate HSvs_[2.2]192b	kvacid kiQcid api-Ikzyate HSvH-_[2.2]192b
   kvacit tathopalambhe 'pi HSvs_[2.1]136c	kvacid taTA-upalamBe api HSvH-_[2.1]136c
   kvacidāsthā vivekinām HSvs_[1.1]15d	kvacid-AsTAH vivekinAm HSvH-_[1.1]15d
   kṣaṇakṣayaprasādhanam HSvs_[6.4]451b	kzaNa-kzaya-prasADanam HSvH-_[6.4]451b
   kṣaṇakṣayi mahāprajñā HSvs_[4.1]238c	kzaNa-kzayi mahA-prajQA HSvH-_[4.1]238c
   kṣaṇabhede na tattvataḥ HSvs_[4.7]373d	kzaNa-Bede na tattvataH HSvH-_[4.7]373d
   kṣaṇasthitisvabhāvatvaṃ HSvs_[7.1]492c	kzaNa-sTiti-svaBAva-tvam HSvH-_[7.1]492c
   kṣaṇasthitau tadaivāsya HSvs_[4.2]251a	kzaNa-sTitO tadA-eva-asya HSvH-_[4.2]251a
   kṣaṇikatvaprasādhakam HSvs_[6.1]414b	kzaNika-tva-prasADakam HSvH-_[6.1]414b
   kṣaṇikatvaprasādhanam HSvs_[4.7]374b	kzaNika-tva-prasADanam HSvH-_[4.7]374b
   kṣaṇikatvaprasādhane HSvs_[6.3]444b	kzaNika-tva-prasADane HSvH-_[6.3]444b
   kṣaṇikatvaṃ kathaṃ nanu HSvs_[6.4]459d	kzaNika-tvam kaTam nanu HSvH-_[6.4]459d
   kṣaṇikatvāc ca sarvathā HSvs_[4.6]346d	kzaNika-tvAt ca sarvaTA HSvH-_[4.6]346d
   kṣaṇikatve yato 'mīṣāṃ HSvs_[4.7]368a	kzaNika-tve yatas amIzAm HSvH-_[4.7]368a
   kṣaṇikaṃ sarvam eveti HSvs_[6.5]464c	kzaNikam sarvam eva-iti HSvH-_[6.5]464c
   kṣaṇikāḥ sarvasaṃskārā HSvs_[11.1]670a	kzaNikAH sarva-saMskArAH HSvH-_[11.1]670a
   kṣaṇike yac ca gīyate HSvs_[6.2]437b	kzaNike yat ca gIyate HSvH-_[6.2]437b
   kṣayaḥ kena prasādhyate HSvs_[1.1]24b	kzayaH kena prasADyate HSvH-_[1.1]24b
   kṣayo 'dṛṣṭo 'numīyate HSvs_[6.4]453b	kzayaH adRzwaH anumIyate HSvH-_[6.4]453b
   kṣīṇasaṅgā mahātmānas HSvs_[11.3]697c	kzINa-saFgAH mahAtmAnaH HSvH-_[11.3]697c
   kṣīranāśaś ca dadhy eva HSvs_[6.3]448a	kzIra-nASaH ca daDi eva HSvH-_[6.3]448a
   khādet śvamāṃsam ity eṣa HSvs_[10.1]605c	KAdet Sva-mAMsam iti ezaH HSvH-_[10.1]605c
   khādyakāni tatheti cet HSvs_[1.2]56d	KAdyakAni taTA-iti ced HSvH-_[1.2]56d
   gatis tantrāntareṣv api HSvs_[1.1]23d	gatiH tantra-antarezu api HSvH-_[1.1]23d
   gatyupāyābhidhānataḥ HSvs_[10.2]643b	gati-upAya-aBiDAnataH HSvH-_[10.2]643b
   gamakatvam athocyate HSvs_[1.3]80d	gamaka-tvam aTa-ucyate HSvH-_[1.3]80d
   gamyate nānyataḥ kvacit HSvs_[2.1]134d	gamyate na-anyatas kvacid HSvH-_[2.1]134d
   gamyate hy ubhayātmakam HSvs_[7.1]517b	gamyate hi uBaya-Atmakam HSvH-_[7.1]517b
   garbhabālaśubhādikam HSvs_[2.2]165b	garBa-bAla-SuBa-Adikam HSvH-_[2.2]165b
   garbhabālaśubhādikam HSvs_[2.2]169b	garBa-bAla-SuBa-Adikam HSvH-_[2.2]169b
   garbhādeḥ kāryajātasya HSvs_[2.2]191c	garBa-AdeH kArya-jAtasya HSvH-_[2.2]191c
   gītaṃ cetthaṃ na doṣakṛt HSvs_[9.1]579d	gItam ca-itTam na doza-kRt HSvH-_[9.1]579d
   gīyate jātivādataḥ HSvs_[5.1]390b	gIyate jAti-vAdataH HSvH-_[5.1]390b
   guṇadoṣāvivekataḥ HSvs_[2.1]119b	guNa-doza-avivekatas HSvH-_[2.1]119b
   guṇyenāpi pravṛttitaḥ HSvs_[7.1]539d	guNyena-api pravRttitaH HSvH-_[7.1]539d
   gurvī me tanur ity ādau HSvs_[1.3]83a	gurvI me tanuH iti AdO HSvH-_[1.3]83a
   gṛhītagrahaṇād evaṃ HSvs_[4.7]369c	gRhIta-grahaNAt evam HSvH-_[4.7]369c
   gṛhītaṃ tattvatas tu tat HSvs_[4.2]260b	gRhItam tattvataH tu tat HSvH-_[4.2]260b
   gṛhītaṃ sarvam etena HSvs_[4.2]261a	gRhItam sarvam etena HSvH-_[4.2]261a
   gṛhyate 'ta idaṃ nāto HSvs_[4.6]345c	gRhyate atas idam na-atas HSvH-_[4.6]345c
   gṛhyate tadgatis tena HSvs_[4.2]259c	gRhyate tad-gatiH tena HSvH-_[4.2]259c
   gauravāpādanārthaṃ ca HSvs_[10.1]622e	gOrava-ApAdana-arTam ca HSvH-_[10.1]622e
   grahaṇaṃ nopapadyate HSvs_[5.1]384d	grahaNam na-upapadyate HSvH-_[5.1]384d
   grahaṇe 'pi yadā jñānam HSvs_[6.4]459a	grahaNe api yadA jQAnam HSvH-_[6.4]459a
   grāvādīnāṃ vicitratā HSvs_[1.2]62b	grAva-AdInAm vicitra-tA HSvH-_[1.2]62b
   grāhakaṃ sadbhir iṣyate HSvs_[4.2]264d	grAhakam sadBiH izyate HSvH-_[4.2]264d
   grāhakābhāvato bhuvi HSvs_[5.1]391b	grAhaka-aBAvataH Buvi HSvH-_[5.1]391b
   grāhakaikāntabhāvaṃ tu HSvs_[5.1]391c	grAhaka-ekAnta-BAvam tu HSvH-_[5.1]391c
   grāhyagrāhakalakṣaṇā HSvs_[5.2]409b	grAhya-grAhaka-lakzaNAH HSvH-_[5.2]409b
   grāhyādibhāvadvāreṇa HSvs_[5.1]390c	grAhya-Adi-BAva-dvAreNa HSvH-_[5.1]390c
   grāhyābhāvād asaṃgatam HSvs_[5.1]391d	grAhya-aBAvAt asaMgatam HSvH-_[5.1]391d
   ghaṭate tadviniścayaḥ HSvs_[4.6]347b	Gawate tad-viniScayaH HSvH-_[4.6]347b
   ghaṭate nabhaso yathā HSvs_[3.2]236b	Gawate naBasaH yaTA HSvH-_[3.2]236b
   ghaṭate nāpapattitaḥ HSvs_[1.4]105b	Gawate na-ApapattitaH HSvH-_[1.4]105b
   ghaṭate sūpapattitaḥ HSvs_[10.1]614b	Gawate su-upapattitaH HSvH-_[10.1]614b
   ghaṭamaulisuvarṇārthī HSvs_[7.1]478a	Gawa-mOli-suvarNa-arTI HSvH-_[7.1]478a
   ghaṭādijñānam ity ādi- HSvs_[5.1]387a	Gawa-Adi-jQAnam iti Adi HSvH-_[5.1]387a
   ghaṭādau dṛśyate yathā HSvs_[1.2]45b	Gawa-AdO dRSyate yaTA HSvH-_[1.2]45b
   ghaṭādyapi kulālādi- HSvs_[3.2]218a	Gawa-Adi-api kulAla-Adi HSvH-_[3.2]218a
   ghaṭādy api pṛthivyādi- HSvs_[3.2]213a	Gawa-Adi api pRTivI-Adi HSvH-_[3.2]213a
   ghaṭāṃ prāñcati jātucid HSvs_[7.1]480d	GawAm prAQcati jAtucit HSvH-_[7.1]480d
   cakre kila bṛhaspatiḥ HSvs_[1.5]111b	cakre kila bRhaspatiH HSvH-_[1.5]111b
   candrasūryoparāgādes HSvs_[2.1]115a	candra-sUrya-uparAga-AdeH HSvH-_[2.1]115a
   cāritrapariṇāmasya HSvs_[9.1]577a	cAritra-pariNAmasya HSvH-_[9.1]577a
   cittam eva hi saṃsāro HSvs_[5.2]404a	cittam eva hi saMsAraH HSvH-_[5.2]404a
   citrakarmavipākataḥ HSvs_[1.2]40d	citrakarma-vipAkataH HSvH-_[1.2]40d
   citrabhāvaṃ yato matam HSvs_[1.4]95d	citra-BAvam yatas matam HSvH-_[1.4]95d
   citraṃ bhogyaṃ tathā citrāt HSvs_[2.2]180a	citram Bogyam taTA citrAt HSvH-_[2.2]180a
   cintāmaṇisvarūpajño HSvs_[11.2]687a	cintAmaNi-svarUpa-jQaH HSvH-_[11.2]687a
   cintyatāṃ yadi sannyāyād HSvs_[4.3]281c	cintyatAm yadi sannyAyAt HSvH-_[4.3]281c
   cintyatāṃ svayam eva tu HSvs_[4.6]347d	cintyatAm svayam eva tu HSvH-_[4.6]347d
   cetanā tu na tadrūpā HSvs_[1.2]43c	cetanA tu na tad-rUpAH HSvH-_[1.2]43c
   cetanāpīti cen matiḥ HSvs_[1.2]45d	cetanA-api-iti ced matiH HSvH-_[1.2]45d
   cetanāsti ca yasyeyaṃ HSvs_[1.2]31c	cetanA-asti ca yasya-iyam HSvH-_[1.2]31c
   caitanyotpattir eva cet HSvs_[1.2]70d	cEtanya-utpattiH eva ced HSvH-_[1.2]70d
   codanāto 'pi sarvathā HSvs_[2.1]160b	codanAtaH api sarvaTA HSvH-_[2.1]160b
   chadmasthasyāvisaṃvādi HSvs_[2.1]135c	Cadma-sTasya-avisaMvAdi HSvH-_[2.1]135c
   chadmasthasyopajāyate HSvs_[2.1]118d	Cadma-sTasya-upajAyate HSvH-_[2.1]118d
   chadmasthasyopajāyate HSvs_[10.1]596d	Cadma-sTasya-upajAyate HSvH-_[10.1]596d
   chabdānāṃ citraśaktitaḥ HSvs_[11.1]664b	CabdAnAm citra-SaktitaH HSvH-_[11.1]664b
   chabdārtho 'tretyayuktimat HSvs_[6.2]443d	Cabda-arTaH atra-iti-ayuktimat HSvH-_[6.2]443d
   chinnamūlatvayogataḥ HSvs_[10.1]599b	Cinna-mUla-tva-yogataH HSvH-_[10.1]599b
   chūnyatāny asya vastunaḥ HSvs_[6.6]473b	CUnyatAni asya vastunaH HSvH-_[6.6]473b
   jagaty abhrāntatāgatiḥ HSvs_[7.1]487d	jagati aBra-anta-tA-gatiH HSvH-_[7.1]487d
   jaṭī muṇḍī śikhī vāpi HSvs_[3.2]230c	jawI muNxI SiKI vA-api HSvH-_[3.2]230c
   janakatvasya mānataḥ HSvs_[6.1]435b	janakatvasya mAnataH HSvH-_[6.1]435b
   janakatvāviśeṣataḥ HSvs_[6.1]428d	janakatvA-aviSezataH HSvH-_[6.1]428d
   janakatvena buddhyādeḥ HSvs_[4.4]303c	janakatvena budDi-AdeH HSvH-_[4.4]303c
   janakasyāpi sarvathā HSvs_[6.1]432d	janakasya-api sarvaTA HSvH-_[6.1]432d
   janako hiṃsako na tat HSvs_[6.1]428b	janakaH hiMsakaH na tat HSvH-_[6.1]428b
   janayaty eva saty evam HSvs_[5.1]379c	janayati eva sati evam HSvH-_[5.1]379c
   jano yāti sahetukam HSvs_[7.1]478d	janaH yAti sa-hetukam HSvH-_[7.1]478d
   janmamṛtyujarāvyādhi- HSvs_[9.1]563a	janma-mRtyu-jarA-vyADi HSvH-_[9.1]563a
   janmādikleśavarjitaḥ HSvs_[9.1]564b	janma-Adi-kleSa-varjitaH HSvH-_[9.1]564b
   janmādirahitā yat tat HSvs_[2.1]151c	janma-Adi-rahitA yat tat HSvH-_[2.1]151c
   janmānantaranāśataḥ HSvs_[6.2]439b	janma-anantara-nASataH HSvH-_[6.2]439b
   janmābhāve jarāmṛtyor HSvs_[11.3]694a	janma-aBAve jarA-amRtyoH HSvH-_[11.3]694a
   janmāyogādidoṣāc ca HSvs_[6.1]433c	janma-ayoga-Adi-dozAt ca HSvH-_[6.1]433c
   janyabhāvaṃ tathāparam HSvs_[4.6]330b	janya-BAvam taTA-aparam HSvH-_[4.6]330b
   janyāc ca jananaṃ tathā HSvs_[4.6]355d	janyAt ca jananam taTA HSvH-_[4.6]355d
   jātibhinne vyavasthitāḥ HSvs_[7.1]524d	jAti-Binne vyavasTitAH HSvH-_[7.1]524d
   jātiyuktyanusāribhiḥ HSvs_[7.1]519d	jAti-yukti-anusAriBiH HSvH-_[7.1]519d
   jātismaraṇasaṃśrayāt HSvs_[1.2]40b	jAti-smaraNa-saMSrayAt HSvH-_[1.2]40b
   jātyantarātmakaṃ cainaṃ HSvs_[7.1]524a	jAti-antara-Atmakam ca-enam HSvH-_[7.1]524a
   jātyantarātmakaṃ vastu HSvs_[7.1]531c	jAti-antara-Atmakam vastu HSvH-_[7.1]531c
   jātyantarātmake cāsmin HSvs_[7.1]514a	jAti-antara-Atmake ca-asmin HSvH-_[7.1]514a
   jāyate tatra kiñcana HSvs_[4.4]310b	jAyate tatra kiQcana HSvH-_[4.4]310b
   jāyate dveṣaśamanaḥ HSvs_[1.1]2c	jAyate dveza-SamanaH HSvH-_[1.1]2c
   jāyate nānyataḥ kvacit HSvs_[2.1]151b	jAyate na-anyatas kvacid HSvH-_[2.1]151b
   jāyate niyamo mānāt HSvs_[2.1]113c	jAyate niyamaH mAnAt HSvH-_[2.1]113c
   jāyate phalacodanāt HSvs_[2.1]160d	jAyate Pala-codanAt HSvH-_[2.1]160d
   jīvājīvātmakaṃ jagat HSvs_[7.1]477b	jIvA-jIva-Atmakam jagat HSvH-_[7.1]477b
   jaiminyāder na tulyaṃ kiṃ HSvs_[10.1]612c	jEminI-AdeH na tulyam kim HSvH-_[10.1]612c
   jñātur visaṃvādāśaṅkā HSvs_[10.2]636c	jQAtuH visaMvAda-ASaFkAH HSvH-_[10.2]636c
   jñātuṃ so 'tiśayo yadi HSvs_[10.2]627d	jQAtum saH atiSayaH yadi HSvH-_[10.2]627d
   jñānakāraṇakāraṇaḥ HSvs_[4.6]338b	jQAna-kAraNa-kAraNaH HSvH-_[4.6]338b
   jñānabhāvāc ca sāmpratam HSvs_[10.2]635d	jQAna-BAvAt ca sAmpratam HSvH-_[10.2]635d
   jñānam apratighaṃ yasya HSvs_[3.1]195a	jQAnam apratiGam yasya HSvH-_[3.1]195a
   jñānamātraṃ ca yal loke HSvs_[4.1]240a	jQAna-mAtram ca yat loke HSvH-_[4.1]240a
   jñānamātraṃ tathāpare HSvs_[4.1]238d	jQAna-mAtram taTA-apare HSvH-_[4.1]238d
   jñānamātre tu vijñānaṃ HSvs_[5.1]388a	jQAna-mAtre tu vijQAnam HSvH-_[5.1]388a
   jñānam evānubhūyate HSvs_[4.1]240b	jQAnam eva-anuBUyate HSvH-_[4.1]240b
   jñānam evety ado bhavet HSvs_[5.1]388b	jQAnam eva-iti adaH Bavet HSvH-_[5.1]388b
   jñānayogaphalaṃ ca saḥ HSvs_[2.1]156b	jQAna-yoga-Palam ca saH HSvH-_[2.1]156b
   jñānayogas tapaḥ śuddham HSvs_[1.1]21a	jQAna-yogaH tapaH SudDam HSvH-_[1.1]21a
   jñānayogas tapaḥ śuddham HSvs_[9.1]574a	jQAna-yogaH tapaH SudDam HSvH-_[9.1]574a
   jñānayogasya yogīndraiḥ HSvs_[9.1]575a	jQAna-yogasya yogi-indrEH HSvH-_[9.1]575a
   jñānayogāt kṣayaṃ kṛtvā HSvs_[9.1]573c	jQAna-yogAt kzayam kRtvA HSvH-_[9.1]573c
   jñānayogād ato muktir HSvs_[9.1]579a	jQAna-yogAt atas muktiH HSvH-_[9.1]579a
   jñānavantaś ca tadvīryāt HSvs_[11.2]676a	jQAnavantaH ca tad-vIryAt HSvH-_[11.2]676a
   jñānavāde 'py asau samaḥ HSvs_[5.1]390d	jQAna-vAde api asO samaH HSvH-_[5.1]390d
   jñānasya samanantaraḥ HSvs_[4.6]339b	jQAnasya samanantaraH HSvH-_[4.6]339b
   jñānasyeva surādinā HSvs_[3.2]236d	jQAnasya-iva sura-AdinA HSvH-_[3.2]236d
   jñānahīnāś ca yal loke HSvs_[11.2]675a	jQAna-hInAH ca yat loke HSvH-_[11.2]675a
   jñānaṃ tadgrāhi bhāvyatām HSvs_[4.6]340d	jQAnam tat-grAhi BAvyatAm HSvH-_[4.6]340d
   jñānaṃ yatrodapādi pratihatabhuvanālokavandhyatvahetu HSvs_[11.4]701b	jQAnam yatra-udapAdi pratihata-Buvana-Aloka-vanDya-tva-hetu HSvH-_[11.4]701b
   jñānaṃ hi phaladaṃ puṃsāṃ HSvs_[11.2]674a	jQAnam hi Pala-dam puMsAm HSvH-_[11.2]674a
   jñānāt samyag vibhāvyate HSvs_[4.2]263d	jQAnAt samyak viBAvyate HSvH-_[4.2]263d
   jñānād eva niyogena HSvs_[11.2]673a	jQAnAt eva niyogena HSvH-_[11.2]673a
   jñānāntare 'pi sadṛśaṃ HSvs_[5.1]389c	jQAna-antare api sadRSam HSvH-_[5.1]389c
   jñānena gṛhyate cārtho HSvs_[6.4]458a	jQAnena gRhyate ca-arTaH HSvH-_[6.4]458a
   jñāyate tadviśeṣas tu HSvs_[11.1]662a	jQAyate tad-viSezaH tu HSvH-_[11.1]662a
   jñeyatvavat svabhāvo 'pi HSvs_[4.2]258a	jQeya-tva-vat svaBAvaH api HSvH-_[4.2]258a
   jñeyabhāvād ghaṭādivat HSvs_[10.1]593b	jQeya-BAvAt Gawa-Adi-vat HSvH-_[10.1]593b
   jñeyaṃ pāpaughakāraṇam HSvs_[1.5]110b	jQeyam pApa-oGa-kAraNam HSvH-_[1.5]110b
   jñeyaṃ sad jñāyate hy etad HSvs_[4.2]267c	jQeyam sat jQAyate hi etat HSvH-_[4.2]267c
   jyāyo viṣayakalpanam HSvs_[10.1]625b	jyAyaH vizaya-kalpanam HSvH-_[10.1]625b
   ta āhur mukuṭotpādo HSvs_[7.1]485a	te AhuH mukuwa-utpAdaH HSvH-_[7.1]485a
   ta āhuḥ kṣaṇikaṃ sarvaṃ HSvs_[4.1]239a	te AhuH kzaNikam sarvam HSvH-_[4.1]239a
   tac ca tanmātram eva hi HSvs_[8.1]543d	tat ca tanmAtram eva hi HSvH-_[8.1]543d
   tac ca tanmātram eveti HSvs_[8.1]546c	tat ca tanmAtram eva-iti HSvH-_[8.1]546c
   tac ca dṛṣṭādyabādhitam HSvs_[2.1]114b	tat ca dRzwa-Adya-bADitam HSvH-_[2.1]114b
   tac ca na bhavatīti ca HSvs_[6.3]447b	tat ca na Bavati-iti ca HSvH-_[6.3]447b
   tac cāstu lokaśāstroktaṃ HSvs_[2.1]149a	tat ca-astu lokaSAstra-uktam HSvH-_[2.1]149a
   tacchabdānupalabdhitaḥ HSvs_[10.1]614d	tad-Sabda-anupalabDitaH HSvH-_[10.1]614d
   tacchabdārthopapattitaḥ HSvs_[4.7]368d	tad-Sabda-arTa-upapattitaH HSvH-_[4.7]368d
   tacchabdo 'rthaprakāśakaḥ HSvs_[10.1]606b	tad-SabdaH arTa-prakASakaH HSvH-_[10.1]606b
   tacchiṣṭāvyabhicārataḥ HSvs_[1.2]42b	tat-Sizwa-avi-aBicArataH HSvH-_[1.2]42b
   tajjñānaṃ yan na vai dhūma- HSvs_[4.6]339a	tat-jQAnam yat na vE DUma HSvH-_[4.6]339a
   tajjñānād api tadgatiḥ HSvs_[4.6]338d	tad-jQAnAt api tad-gatiH HSvH-_[4.6]338d
   tajjñānād api tadgatiḥ HSvs_[4.6]339d	tad-jQAnAt api tad-gatiH HSvH-_[4.6]339d
   tata etāvatāsattvaṃ HSvs_[5.1]383c	tatas etAvatA-asattvam HSvH-_[5.1]383c
   tata eva videśasthāt HSvs_[4.3]295c	tatas eva videSa-sTAt HSvH-_[4.3]295c
   tata eva hy asaṃbhūteḥ HSvs_[2.2]189c	tatas eva hi asaMBUteH HSvH-_[2.2]189c
   tataś ca duṣkaraṃ tan na HSvs_[9.1]569a	tatas ca duzkaram tat naH HSvH-_[9.1]569a
   tataś ca sthitamityadaḥ HSvs_[2.1]161d	tatas ca sTitam-iti-adaH HSvH-_[2.1]161d
   tataś cānupalabdhyaiva HSvs_[5.1]377c	tatas ca-anupalabDyA-eva HSvH-_[5.1]377c
   tataś ceśvarakartṛtva- HSvs_[3.1]203a	tatas ca-ISvara-kartR-tva HSvH-_[3.1]203a
   tataś caitad vyavasthitam HSvs_[4.2]275d	tatas ca-etat vyavasTitam HSvH-_[4.2]275d
