   prathamaḥ paricchedaḥ	praTamaH paricCedaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ahameva mato mahīpateriti sarvaḥ prakṛtiṣvacintayat /	aham eva mataH mahIpateH iti sarvaH prakRtizu acintayat /
   upadheriva nimnagāśateṣvabhavannāsya vimānanā kvacit //	upaDeH iva nimnagA Satezu aBavat na asya vimAnanA kvacid //
   evamanyadapi /	evam anyat api /
   atha vilāsaḥ  	aTa vilAsaH  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) raghau ajavarṇanamidam /	(vi, ha) raGO ajavarNanam idam /
        prakṛtiṣu amātyeṣu madhye sarva eva ityacintayat kiṃ tat	prakRtizu amAtyezu maDye sarve eva iti acintayat kim tat 
   ityatrāha  ahameveti /	iti atra Aha  aham eva iti /
        mataḥ sammataḥ /	mataH sammataH /
        asya ajasya /	asya ajasya /
        vimānanā avajñā apamānam /	vimAnanAH avajQAH apamAnam /
        nimnagā nadyaḥ tāsāṃ sarvāsāmevodadhinā jalagrahaṇena kṛtādaratvāt /	nimnagAH nadyaH tAsAm sarvAsAm eva udaDinA jala grahaNena kRta Adara tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dhīrā dṛṣṭirgatiścitrā vilāse sasmitaṃ vacaḥ /	DIrA dRzwiH gatiH citrA vilAse sa smitam vacaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) dhīreti   vilāse sāttvike guṇe sati dhīretyādikaṃ	(vi, ka) DIra iti    vilAse sAttvike guNe sati DIra iti Adikam
   bhavatītyarthaḥ /	Bavati iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   dṛṣṭīstṛṇīkṛtajagatrtrayasattvasārā dhīroddhatā namayatīva gatirdharitrīm	dRzwIH tRNIkRta jagatrtraya sattva sArA DIra udDatA namayati iva gatiH DaritrIm
   kaumārake 'pi girivadgurutāṃ dadhāno vīro rasaḥ kimayametyuta darpa eva //	kOmArake api giri vat guru tAm daDAnaH vIraH rasaH kim ayam eti uta darpaH eva //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) dṛṣṭistṛṇīkṛteti   kuśamavalokya rāmacandreṇa varṇanamidam	(vi, Ka) dRzwiH tRNIkRtA iti   kuSam avalokya rAmacandreNa varNanam idam
        tṛṇīkṛto jagattrayasya sattvānāṃ balānāṃ sāraḥ prakṛṣṭo bhāgo yathā /	tRNIkRtaH jagattrayasya sattvAnAm balAnAm sAraH prakRzwaH BAgaH yaTA /
        asya kuśasya dṛṣṭistādṛśī /	asya kuSasya dRzwiH tAdRSI /
        sphuṭamanyat /	sPuwam anyat /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃkṣobheṣvapyanudvego mādhuryaṃ parikīrtitam // VisSd_3.52 //	saMkzoBezu api anudvegaH mADuryam parikIrtitam // VisSd _3.52 //
   ūhyamudāharaṇam /	Uhyam udAharaNam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) ūhyamudāharaṇamiti    "tyajato maṅgalakṣaume cīre ca	(vi, ga) Uhyam udAharaNam iti   "tyajataH maFgala kzOme cIre ca
   pratigṛhṇataḥ /	pratigRhNataH /
        dadṛśurvismitāstasya mukharāgaṃ samaṃ janāḥ //	dadRSuH vismitAH tasya muKa rAgam samam janAH //
        '; ityudāharaṇam /	a; iti udAharaNam /
        atra hi maṅgalakṣaume gṛhṇataḥ cīre pratīlakṣīkṛtya tyajataśca	atra hi maFgala kzOme gRhNataH cIre pratIlakzIkRtya tyajataH ca
   rāmasya mukharāgaṃ vismitā janāḥ samānaṃ dadṛśuḥ ityanena vanavāsārthaṃ	rAmasya muKa rAgam vismitAH janAH samAnam dadRSuH iti anena vana vAsa arTam
   cīragrahaṇasaṃkṣobhepi maṅgalakṣaumagrahaṇavad anudvegaḥ /	cIra grahaNa saMkzoBepi maFgala kzOma grahaNa vat anudvegaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhīśokakrodhaharṣādyairgāmbhīryaṃ nirvikāratā /	BI Soka kroDa harza AdyEH gAmBIryam nirvikAra tA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) bhīśoketi /	(vi, Ga) BISoka iti /
        atra bhayaśokayoḥ praveśāt mādhuryataḥ kiyān bhedaḥ /	atra Baya SokayoH praveSAt mADuryataH kiyAn BedaH /
        āhūtasyetyādikaṃ tu mādhuryasyāpyudāharaṇaṃ saṃbhavatīti bodhyam /	AhUtasya iti Adikam tu mADuryasya api udAharaNam saMBavati iti boDyam /
        gāmbhīryasya mādhuryāsaṃkīrṇamudāharaṇaṃ tu     yo	gAmBIryasya mADurya asaMkIrNam udAharaNam tu    yaH 
   'vikalpamidamarthamaṇḍalaṃ paśyatīśa ! nikhilaṃ bhavadvapuḥ /	avikalpam idam arTa maNxalam paSyati ISa ! niKilam Bavat vapuH /
        ātmapakṣaparipūrite jaga  tyasya nityasukhinaḥ kuto bhayam //	Atma pakza paripUrite jaga tyasya nitya suKinaH kutas Bayam //
        iti /	iti /
        iyaṃ hi tapasyataḥ parameśvareṇa bhīṣitasya kasyaciduktiḥ /	iyam hi tapasyataH parameSvareNa BIzitasya kasyacid uktiH /
        avikalpaṃ niḥ saṃśayam /	avikalpam niH saMSayam /
        nikhilamarthamaṇḍalaṃ yo bhagavadvapuḥ svarūpaṃ paśyati /	niKilam arTa maNxalam yaH Bagavat vapuH svarUpam paSyati /
        ātmapakṣeṇa bhavatā paripūrite jagati asya kuto bhayamityarthaḥ /	Atma pakzeNa BavatA paripUrite jagati asya kutas Bayam iti arTaH /
        yathā vā"na khalvanirjitya raghuṃ kṛtī bhavān"iti indreṇa bhīṣitasya	yaTA vA"na Kalu anirjitya raGum kRtI BavAn"iti indreNa BIzitasya
   raghoruktiḥ /	raGoH uktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   āhūtasyābhiṣekāya visṛṣṭasya vanāya ca /	AhUtasya aBizekAya visRzwasya vanAya ca /
   na mayā lakṣitastasya svalpo 'pyākāravibhramaḥ //	na mayA lakzitaH tasya su alpaH api AkAra viBramaH //
   vyavasāyādacalanaṃ dhairyaṃ vighne mahatyapi // VisSd_3.53 //	vyavasAyAt acalanam DEryam viGne mahati api // VisSd _3.53 //
   yathā śrutāpsarogītirapa kṣaṇo 'smin haraḥ prasaṃkhyānaparo babhūva /	yaTA Sruta apsaraH gItiH apa kzaNaH asmin haraH prasaMKyAna paraH baBUva /
   ātmeśvarāṇāṃ na hi jātu vighnāḥ samādhibhedaprabhavo bhavanti //	Atma ISvarANAm na hi jAtu viGnAH samADi Beda praBavaH Bavanti //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) śrutāpsarogītiriti   harasya	(vi, Fa) Sruta apsaraH gItiH iti   harasya
   samādhibhaṅgārthamapsarebhirgoyamānepi tasya samādhibhaṅgo mābhūditi	samADi BaFga arTam apsareBiH goyamAnepi tasya samADi BaFgaH mABUt iti
   pūrvārddhārthaḥ /	pUrva ardDa arTaH /
        tatra prasaṃkhyānāṃ samādhiḥ /	tatra prasaMKyAnAm samADiH /
        atrārthantaranyāsamāha   ātmaśvarāṇāmiti /	atra arTantara nyAsa mAha   Atma SvarANAm iti /
        ātmā dhṛtistadīśvarāṇāṃ svāyattadhṛtīnāmityarthaḥ /	AtmA DRtiH tad ISvarANAm su a Ayatta DRtInAm iti arTaH /
        "ātmā yatno dhṛtirvṛddhiḥ svabhāvo brahmavarṣma ca'; iti koṣaḥ /	"a AtmA yatnaH DRtiH vRdDiH svaBAvaH brahmavarzma ca a; iti kozaH /
        jātu kadācit /	jAtu kadAcid /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   adhikṣepāpamānādeḥ prayuktasya pareṇa yat /	aDikzepa apamAna AdeH prayuktasya pareNa yat /
   prāṇātyaye 'pyasahanaṃ tattejaḥ samudāhṛtam // VisSd_3.54 //	prANa atyaye api asahanam tat tejaH samudAhRtam // VisSd _3.54 //
   vāgveśayormadhuratā tadvacchaṅgāraceṣṭitaṃ lalitam /	vAc veSayoH maDura tA tadvat SaFgAra cezwitam lalitam /
   dānaṃ sapriyabhāṣaṇamaudāryyaṃ śatrumitrayoḥ samatā // VisSd_3.55 //	dAnam sa priya BAzaNam OdAryyam Satru mitrayoH sama tA // VisSd _3.55 //
   eṣāmudāharaṇānyūhyāni /	ezAm udAharaNAni UhyAni /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) eṣāmapyudāharaṇanyūhyāni  tatra tejasa udāharaṇaṃ yathā   	(vi, ca) ezAm api udAharaNanyUhyA ni   tatra tejasaH udAharaNam yaTA   
   "purojanmā nādyaprabhṛti mama rāmaḥ punarahaṃ na putraḥ pautro vā	"purojan mA na adya praBRti mama rAmaH punar aham na putraH pOtraH vA
   raghukulabhuvāṃ ca kṣitibhujām /	raGu kula BuvAm ca kzitiBujAm /
        adhīraṃ dhīraṃ vā kalayatu jano māmayamaho mayā baddho	aDIram DIram vA kalayatu janaH mAm ayam aho mayA badDaH 
   duṣṭadvijadamanadīkṣāparikaraḥ //	duzwa dvija damana dIkzA parikaraH //
        iyaṃ paraśurāmeṇādhikṣiptasya lakṣmaṇasya uktiḥ /	iyam paraSurAmeNa aDikziptasya lakzmaNasya uktiH /
        lalitodāharaṇaṃ yathā    "prasāde vartasva prakaṭaya mudaṃ saṃtyaja	lalita udAharaNam yaTA   "prasAde vartasva prakawaya mudam saMtyaja
   ruṣam priye śuṣyantyaṅgānyamṛtamiva te siñcatu vacaḥ /	ruzam priye Suzyanti aFgAni amRtam iva te siQcatu vacaH /
        nidhānaṃ saukhyānāṃ kṣaṇamabhimukhaṃ sthāpaya mukhaṃ na mugdhe	niDAnam sOKyAnAm kzaNam aBimuKam sTApaya muKam na mugDe
   pratyetuṃ prabhavati gataḥ kālahariṇaḥ //	pratyetum praBavati gataH kAla hariNaH //
        "iti /	"iti /
        atra hi kāmino vāṅmadhuratā śṛṅgāraceṣṭā ca /	atra hi kAminaH vAc maDura tA SRFgAra cezwA ca /
        audāryodāharaṇaṃ yathā   "ete vayamamī dārāḥ kanyeyaṃ kulabhūṣaṇā /	OdArya udAharaNam yaTA   "ete vayam amI dArAH kanyA iyam kula BUzaNA /
        brūta kenārthino yūyamanāsthā bāhyavastuṣu /	brUta kena arTinaH yUyam anAsTA bAhya vastuzu /
        "iti saptarṣon iti himālayasyoktiḥ /	"iti saptarzon iti himAlayasya uktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha nāyikā tribhedā svānyā sādhāraṇā strīti /	aTa nAyikA tri BedA sva anyA sADAraNA strI iti /
   nāyakasāmānyaguṇairbhavati yathāsaṃbhavairyuktā // VisSd_3.56 //	nAyaka sAmAnya guNEH Bavati yaTAsaMBavEH yuktAH // VisSd _3.56 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) nāyikāprabhedāmāha  atheti  svānyayorapi strī ityasyānvayaḥ	(vi, Ca) nAyikA praBedAm Aha  aTa iti  sva anyayoH api strI iti asya anvayaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nāyikā punarnāyakasāmānyaguṇaistyāgādibhiryathāsambhavairyuktā bhavati /	nAyikA punar nAyaka sAmAnya guNEH tyAga AdiBiH yaTA samBavEH yuktA Bavati /
   sā ca svastrī anyastrī sādhāraṇastrīti trividhā /	sA ca sva strI anya strI sADAraNa strI iti triviDA /
   tatra svastrī  	tatra sva strI  
   vinayārjavādiyuktā gṛhakarmaparā pativratā svīyā /	vinaya Arjava Adi yuktA gRha karma parA pativratA svIyA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) vinayārjavādīti /	(vi, ja) vinaya Arja va Adi iti /
        etādṛśaguṇarahitā tu svastrī api nopakrāntaśṛṅgāravibhāvaḥ; kintu	etAdRSa guNa rahitA tu sva strI api na upakrAnta SRFgAra viBAvaH; kintu
   tadābhāsavibhāva eveti bodhyam /	tad ABAsa viBAvaH eva iti boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "lajjāpajjattapasāhaṇāiṃ parabhattiṇippivāsaṃiṃ /	"lajjA pajjat tapa sAhaNAim paraBat tiNippivAsaMim /
   aviṇaadummedhāiṃ dhaṇṇāṇa ghare kalattāiṃ //	aviNaa dummeDAim DaNNANa Gare kalattAim //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) lajjāpa iti  "lajjāparyāptaprasādhanāni	(vi, Ja) lajjApaH iti  "lajjA paryApta prasADanAni
   paracintāniṣpapāsāni /	para cintA nizpapAsAni /
        avinayadurmedhāṃsi dhanyānāṃ gṛhe kalatrāṇi /	avinaya durmeDAMsi DanyAnAm gRhe kalatrANi /
        '; iti saṃskṛtam /	a; iti saMskRtam /
        paryāptaprasādhanaṃ paryavasitālaṅkāraḥ /	paryApta prasADanam paryavasita alaFkAraH /
        paracintā  parapuruṣacintā, tatra tṛṣṇārahitāni /	para cintA a   para puruza cintA, tatra tRzNA rahitAni /
        tantracintāyāṃ deśī /	tantra cintAyAm deSI /
        avinyadurmedhāṃsi  avinayād dūrīkṛtabuddhīni /	avinya duH meDAMsi  avinayAt dUrIkRta budDIni /
        sapīti  sā svīyā /	sapIti  sA svIyA /
        Locanā:	LocanA:
        (lo, ṝ) lajjā eva paryāptaṃ pūrvaṃ prasādhanaṃ bhūṣaṇaṃ yeṣām /	(lo, L) lajjA eva paryAptam pUrvam prasADanam BUzaNam yezAm /
        niṣpipāsāni  niḥ spṛhāṇi /	nizpipAsA ni   niH spRhANi /
        durmedhāṃsi anabhijñāni /	durmeDAMsi anaBijQAni /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sāpi kathitā tribhedā mugdhā madhyā pragalbheti // VisSd_3.57 //	sA api kaTitA tri BedAH mugDA maDyA pragalBA iti // VisSd _3.57 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) prathameti  prathamāvatīrṇayauvanā,	(vi, Qa) praTama iti   praTama avatIrNa yOvanA,
   prathamāvatīrṇamadanavikāreti dvidhā /	praTama avatIrNa madana vikAra iti dviDA /
        etāni viśeṣaṇāni ekākānyeva mugdhāyā bodhyāni /	etAni viSezaNAni ekAkAni eva mugDAyAH boDyAni /
        Locanā:	LocanA:
        (lo, ḷ) sā svastrī /	(lo, ?) sA sva strI /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra  	tatra  
   prathamāvatīrṇayauvanamadanabikārā ratau vāmā /	praTama avatIrNa yOvana madana bikArA ratO vAmA /
   kathitā mṛduśca māne samadhikalajjāvatī mugdhā // VisSd_3.58 //	kaTitAH mRduH ca mAne samaDika lajjAvatI mugDAH // VisSd _3.58 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) madhyasya prathimānamiti  nūtanaṃ yadasyā manorājyaṃ	(vi, wa) maDyasya praTimAnam iti  nUtanam yat asyAH manaH rAjyam
   manasyādhipatyaṃ tatrābhiṣiktaṃ kandarpaṃ parivīkṣya subhruvaḥ aṅgāni	manasi ADipatyam tatra aBiziktam kandarpam parivIkzya suBruvaH aFgAni
   parasparaṃ nirlluṇṭhanaṃ vidadhate ityarthaḥ /	parasparam nirlluNWanam vidaDate iti arTaH /
        rājñaḥ prathamādhipatyadine 'rājake rājye parasparanirluṇṭhanasya	rAjQaH praTama ADipatya dine arAjake rAjye paraspara nirluNWanasya
   lokasiddhatvāt, taddarśayati  madhyasyeti /	loka sidDa tvAt, tad darSa yati  maDyasya iti /
        śaiśave madhyasya prathimā pṛthutvamāsīt /	SESave maDyasya praTimA pRTutvam AsIt /
        yauvane ca madhyaṃ kṣīṇaṃ jaghanaṃ ca pṛthu babhūva ityarthaḥ /	yOvane ca maDyam kzINam jaGanam ca pRTu baBUva iti arTaH /
        vakṣojayormandatā tanutvaṃ dūramatiśayamudara yātītyarthaḥ /	vakzaH jayoH manda tA tanu tvam dUram atiSayam udara yAti iti arTaH /
        netrasya ārjavaṃ romalatikā dhāvati praprotītyarthaḥ, yauvanārambhe	netrasya Arjavam romalatikA DAvati praproti iti arTaH, yOvana AramBe
   netrayo raktatvāt romalatikāyā ṛjubhāvena utthitatvāt /	netrayaH rakta tvAt romalatikAyAH Rju BAvena utTita tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra prathamāvatīrṇayauvanā yathā mama tātāpādānām  	tatra praTama avatIrNa yOvanAH yaTA mama tAta ApAdAn Am  
   Locanā:	LocanA:
   (lo, e) tatra tāsu madhye /	(lo, e) tatra tAsu maDye /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   madhyasya prathimānameti jaghanaṃ vakṣojayormandatā dūraṃ yātyudaraṃ ca	maDyasya praTimAnam eti jaGanam vakzaH jayoH manda tA dUram yAti udaram ca
   romalatikā netrārjavaṃ dhāvati /	romalatikA netra Arjavam DAvati /
   kandarpaṃ parivīkṣya nūtanamanorājyābhiṣiktaṃ kṣaṇā  daṅgānīva parasparaṃ	kandarpam parivIkzya nUtana manaH rAjya aBiziktam kzaNA daFgAni iva parasparam
   vidadhate nirluṇṭhanaṃ subhruvaḥ //	vidaDate nirluNWanam suBruvaH //
   Locanā:	LocanA:
   (lo, ai) prathimānaṃ pṛthutvameti gṛhaṇāti /	(lo, E) praTimAnam pRTutvam eti gRhaNAti /
   mandatāṃ ca yādi gṛhaṇātītyarthaḥ /	manda tAm ca yAdi gRhaNAti iti arTaH /
   nirluṇṭhanaṃ parasparavittavigrahaṇam /	nirluNWanam paraspara vitta vigrahaNam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prathamāvatīrṇamadanavikārā yathā mama prabhāvatī pariṇaye  	praTama avatIrNa madana vikArAH yaTA mama praBAvatI pariNaye  
   datte sālasamantharaṃ bhuvi padaṃ niryāti nāntaḥ purāt, noddāmaṃ isati	datte sAlasa manTaram Buvi padam niryAti na antaH purAt, na uddAmam isati
   kṣaṇātkalayate hrīyantraṇāṃ kāmapi, kiṃcidbhāvagabhīravakrimalavaspṭaṣṭaṃ	kzaNAt kalayate hrI yantraNAm kAm api, kiMcid BAva gaBIra vakrima lava spwazwam
   manāgbhāṣate, sabhrūbhaṅgamudīkṣate priyakathāmullāpayantīṃ sakhīm //	manAk BAzate, sa BrU BaFgam udIkzate priya kaTAm ullApayantIm saKIm //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) datte sālaseti   priyasya kathāṃ prasaṅgamullāsayantīṃ	(vi, Wa) datte sAla sa iti   priyasya kaTAm prasaFgam ullAsayantIm
   prastuvantīṃ sabhrūbhaṅgamudīkṣate  paśyati /	prastuvantIm sa BrU BaFgam udIkzate  paSyati /
        gabhīro duravagāho yo vakrimaḥ vakratāyā lavo 'lpatvam /	gaBIraH duravagAhaH yaH vakrimaH vakra tAyAH lavaH alpa tvam /
        tena spṛṣṭaṃ yathā syāttathā /	tena spRzwam yaTA syAt taTA /
        manāk śanaiḥ kiñcidalpaṃ bhāṣate /	manAk SanEs kiQcid alpam BAzate /
        sālasapadadānaṃ śuśrūṣayā /	sa alasa pada dAnam SuSrUzayA /
        kāmapi anirvacanīyāṃ hrīyantraṇāṃ lajjākṛtapīḍāṃ kalayate anubhavati	kAm api anirvacanIyAm hrI yantraNAm lajjA kRta pIxAm kalayate anuBavati
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ratau vāmā yathā  	ratO vAmA yaTA  
   "dṛṣṭā dṛṣṭimadho dadāti, kurute nālapamābhāṣitā, śayyāyāṃ parivṛttya	"dRzwA dRzwim aDas dadAti, kurute nAlapam ABAzitA, SayyAyAm parivRttya
   tiṣṭhati, bālādāliṅgitā vepate /	tizWati, bAlAt AliFgitAH vepate /
   niryāntīṣu sakhīṣu vāsabhavanānnirgantumevehate, jātā vāmatayaiva saṃprati	niryAntIzu saKIzu vAsa BavanAt nirgantum eva Ihate, jAtAH vAma tayA eva saMprati
   mama prītyai navoḍhā priyā" //	mama prItyE na va UXA priyA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) dṛṣṭā dṛṣṭimiti   navoḍhāyā vṛttaṃ sakhye kathayata	(vi, xa) dRzwA dRzwi miti   nava UXAyAH vRttam saKye kaTayata
   uktiriyam /	uktiH iyam /
        ślokārthaḥ spaṣṭaḥ /	Sloka arTaH spazwaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   māne mṛduryathā  	mAne mRduH yaTA  
   "sā patyuḥ prathamāparādhasamaye sakhyopadeśaṃ vinā no jānāti	"sA patyuH praTama aparADa samaye saKyA upadeSam vinA naH jAnAti
   savibhramāṅgavalanāvakroktisaṃsūcanam /	sa viBrama aFga valana avakrokti saMsUcanam /
   svacchairacchakapolamūlagalitaiḥ paryastanetrotpalā bālā kevalameva roditi	svacCEH acCa kapola mUla galitEH paryasta netra utpalA bAlA kevalam eva roditi
   luṭhallolālakairaśrubhiḥ //	luWat lola alakEH aSruBiH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) māne mṛduralpamānā /	(vi, Xa) mAne mRduH alpamAnAH /
        sā patyuriti   alpamānāyāḥ kriyāṃ sakhyāṃ kathayantyāḥ sakhyā	sA patyuH iti    alpamAnAyAH kriyAm saKyAm kaTayantyAH saKyA
   uktiriyam /	uktiH iyam /
        sakhyā upadeśaṃ sakhīkartṛkamupadeśaṃ vinā sā	saKyA upadeSam saKI kartRkam upadeSam vinA sA
   patyurupanāyikāsambhogarūpaprathamāparādhasamaye	patyuH upanAyikA samBoga rUpa praTama aparADa samaye
   savibhramayoraṅgabhaṅgīvakroktyoḥ saṃsūcanaṃ prakāśaṃ no jānāti /	sa viBramayoH aFga BaFgI vakra uktyoH saMsUcanam prakASam naH jAnAti /
        tataḥ kiṃ kurute ityatrāha  svacchairiti /	tatas kim kurute iti atra aha  su acCEH iti /
        virahāt pāṇḍutvena kapolasyācchatā /	virahAt pANxu tvena kapolasya acCatA /
        añjanatyāgādaśruṇaḥ svacchatā /	aQjana tyAgAt aSruNaH svacCa tA /
        netrotpalasya paryyāsaḥ pareṇa tad darśane lajjayā /	netra utpalasya paryyAsaH pareNa tat darSane lajjayA /
        Locanā:	LocanA:
        (lo, o) sā patyuriti   sakhyopadeśaṃ sakhyena sauhārddena	(lo, o) sA patyuH iti     saKyA upadeSam saKyena sOhArddena
   kṛtamupadeśam /	kRtam upadeSam /
        athavā sakhyeti hetvarthatṛtīyāntaṃ padam /	aTavA saKyA iti hetu arTa tRtIya antam padam /
        tena sakhyā kṛtamupadeśamityarthaḥ /	tena saKyA kRtam upadeSam iti arTaH /
        savilāsāṅgaperivartanā satī parāṅmukhītyarthaḥ /	sa vilAsa aFga perivartanA satI parAFmuKI iti arTaH /
        vakoktibhiḥ kuṭilabhāṣitaiḥ saṃsūcanamaparādhajñāpanaṃ yato no jānāti	vaka uktiBiH kuwila BAzitEH saMsUcanam aparADa jQApanam yatas naH jAnAti
   no vetti /	naH vetti /
        tataḥ svacchaiḥ akaluṣaiḥ acchakapolamūlagalitaiḥ	tatas su acCEH akaluzEH acCa kapola mUla galitEH
   narmalagaṇḍaprāntaniḥ sṛtaiḥ /	narmala gaNxa prAntaniH sRtEH /
        luṭhallolālakaiḥ luṭhantaḥ parivartamānāḥ lolāścañcalā alakāḥ	luWat lola alakEH luWantaH parivartamAnAH lolAH caQcalAH alakAH
   cūrṇakuntalā yeṣu tāni taiḥ /	cUrNa kuntalAH yezu tAni tEH /
        aśrubhirbāṣpaiḥ paryyastanetrotpalā paryyaste netrotpale yasyāḥ tathā	aSruBiH bAzpEH paryyasta netra utpalA  paryyaH te netra utpale yasyAH taTA
   bhūtvā kevalaṃ rodityeva rodanameva karoti /	BUtvA kevalam roditi eva  rodanam eva karoti /
        na kiñcidupāyaṃ jānātītyarthaḥ /	na kiQcid upAyam jAnAti iti arTaH /
        atra savibhramāṅgavalanetyanena śayyāviraho bodhyate /	atra sa viBrama aFga valana iti anena SayyA virahaH boDyate /
        ekaśayyā śayanenaivālakānāmaśruluṇṭhanaṃ sambhavati /	eka SayyA Sayanena eva alakAnAm aSru luNWanam samBavati /
        mugdhā tūṣadeśaṃ vinā na kiñcijjānāti /	mugDA tUza deSam vinA na kiQcid jAnAti /
        nāyikā svīyā mugdhā ca /	nAyikA svIyA mugDA ca /
        nāyakaḥ śaṭhaḥ /	nAyakaH SaWaH /
        pratīyamānakṛto vipralambhaśṛṅgāraḥ /	pratIyamAna kRtaH vipralamBa SRFgAraH /
        aśrubhiḥ paryyastanetrotpaletisambandhaḥ /	aSruBiH paryyasta netra utpala iti sambanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   samadhikalajjāvatī yathā  	samaDika lajjAvatI yaTA  
   "datte sālasamantharam  'ityatra (113 pṛ ) śloke /	"datte sAlasa manTaram   aiti atra (113 pR ) Sloke /
   atra samadhikalajjāvatītvenāpi labdhāyā rativāmatāyā	atra samaDika lajjAvatI tvena api labDAyAH rati vAma tAyA
   vicchittiviśeṣavattayā punaḥ kathanam /	vicCitti viSezavat tayA punar kaTanam /
   atha madhyā  	aTa maDyA  
   madhyā vicitrasuratā prarūḍhasmarayauvanā /	maDyA vicitra suratA prarUXa smara yOvanAH /
   īṣatpragalbhavacanā madhyamavrīḍitā matā // VisSd_3.59 //	Izat pragalBa vacanA maDyam avrIxitAH matA // VisSd _3.59 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) vicitrasuratādikam apyekaikameva madhyāyā viśeṣaṇam /	(vi, Na) vicitra surata Adikam api ekEkam eva maDyAyAH viSezaNam /
        prarūḍhasmarā prarūḍhayauvaneti viśeṣaṇadvayam /	prarUXa smarA prarUXa yOvana iti viSezaNa dvayam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vicitrasuratā yathā  	vicitra suratA yaTA  
   "kānte tathā kathamapi prathitaṃ mṛgākṣyā cāturyamuddhatamanobhavayā	"kAnte taTA kaTam api praTitam mRga akzyA cAturyam udData manoBavayA
   rateṣu /	ratezu /
   tatkūjitānyanuvadadbhiranekavāraṃ śiṣyāyitaṃ gṛhakapotaśatairyathāsyāḥ" //	tad kUjitAni anuvadadBiH aneka vAram SizyAyitam gRha kapota SatEH yaTA asyAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) kānte tatheti   surate nāyikayā nānāvidhaṃ cāturyyaṃ kṛtam /	(vi, ta) kAnte taTA iti   surate nAyikayA nAnAviDam cAturyyam kRtam /
