   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.06.010/1 nānā-maṇimayaiḥ śṛṅgair nānā-dhātu-vicitritaiḥ	Bhu-_04.06.010/1 nAnA-maNi-mayEH SRFgEH nAnA--DAtu--vicitritEH
   BhP_04.06.010/2 nānā-druma-latā-gulmair nānā-mṛga-gaṇāvṛtaiḥ	Bhu-_04.06.010/2 nAnA--druma-la-tA--gulmEH nAnA-mRga--gaNa-AvRtEH
   BhP_04.06.011/1 nānāmala-prasravaṇair nānā-kandara-sānubhiḥ	Bhu-_04.06.011/1 nAnA-mala--prasravaNEH nAnA--kandara--sAnuBiH
   BhP_04.06.011/2 ramaṇaṃ viharantīnāṃ ramaṇaiḥ siddha-yoṣitām	Bhu-_04.06.011/2 ramaNam viharantInAm ramaNEH sidDa-yozitAm
   BhP_04.06.012/1 mayūra-kekābhirutaṃ madāndhāli-vimūrcchitam	Bhu-_04.06.012/1 mayUra--keka-aBirutam mada-anDa-ali-vimUrcCitam
   BhP_04.06.012/2 plāvitai rakta-kaṇṭhānāṃ kūjitaiś ca patattriṇām	Bhu-_04.06.012/2 plAvitEH rakta--kaNWAnAm kUjitEH ca patattriNAm
   BhP_04.06.013/1 āhvayantam ivoddhastair dvijān kāma-dughair drumaiḥ	Bhu-_04.06.013/1 Ahvayantam iva-udDastEH dvijAn kAma-duGEH drumEH
   BhP_04.06.013/2 vrajantam iva mātaṅgair gṛṇantam iva nirjharaiḥ	Bhu-_04.06.013/2 vrajantam iva mAtaFgEH gRNantam iva nirJarEH
   BhP_04.06.014/1 mandāraiḥ pārijātaiś ca saralaiś copaśobhitam	Bhu-_04.06.014/1 mandArEH pArijAtEH ca saralEH ca-upaSoBitam
   BhP_04.06.014/2 tamālaiḥ śāla-tālaiś ca kovidārāsanārjunaiḥ	Bhu-_04.06.014/2 tamAlEH SAla-tAlEH ca kovidAra-Asana-arjunEH
   BhP_04.06.015/1 cūtaiḥ kadambair nīpaiś ca nāga-punnāga-campakaiḥ	Bhu-_04.06.015/1 cUtEH kadambEH nIpEH ca nAga--punnAga--campakEH
   BhP_04.06.015/2 pāṭalāśoka-bakulaiḥ kundaiḥ kurabakair api	Bhu-_04.06.015/2 pAwalA-aSoka-bakulEH kundEH kurabakEH api
   BhP_04.06.016/1 svarṇārṇa-śata-patraiś ca vara-reṇuka-jātibhiḥ	Bhu-_04.06.016/1 svarNa-arNa--Sata-patrEH ca vara-reNu-ka-jAtiBiH
   BhP_04.06.016/2 kubjakair mallikābhiś ca mādhavībhiś ca maṇḍitam	Bhu-_04.06.016/2 kubjakEH mallikABiH ca mADavIBiH ca maNxitam
   BhP_04.06.017/1 panasodumbarāśvattha- plakṣa-nyagrodha-hiṅgubhiḥ	Bhu-_04.06.017/1 panasa-udumbara-aSvatTa plakza-nyagroDa--hiFguBiH
   BhP_04.06.017/2 bhūrjair oṣadhibhiḥ pūgai rājapūgaiś ca jambubhiḥ	BhP_04.06.017/2 BUrjEH ozaDiBiH pUgEH rAja-pUgEH ca jambuBiH
   BhP_04.06.018/1 kharjūrāmrātakāmrādyaiḥ priyāla-madhukeṅgudaiḥ	Bhu-_04.06.018/1 KarjUra-AmrAtaka-Amra-AdyEH priyAla--maDuka-iFgudEH
   BhP_04.06.018/2 druma-jātibhir anyaiś ca rājitaṃ veṇu-kīcakaiḥ	Bhu-_04.06.018/2 druma-jAtiBiH anyEH ca rAjitam veNu--kIcakEH
   BhP_04.06.019/1 kumudotpala-kahlāra- śatapatra-vanarddhibhiḥ	Bhu-_04.06.019/1 kumuda-utpala--kahlAra Satapatra-vana-RdDiBiH
   BhP_04.06.019/2 nalinīṣu kalaṃ kūjat- khaga-vṛndopaśobhitam	Bhu-_04.06.019/2 nalinIzu kalam kUjat Kaga-vRnda-upaSoBitam
   BhP_04.06.020/1 mṛgaiḥ śākhāmṛgaiḥ kroḍair mṛgendrair ṛkṣa-śalyakaiḥ	BhP_04.06.020/1 mRgEH SAKAmRgEH kroxEH mRgendrEH Rkza-SalyakEH
   BhP_04.06.020/2 gavayaiḥ śarabhair vyāghrai rurubhir mahiṣādibhiḥ	Bhu-_04.06.020/2 gavayEH SaraBEH vyAGrEH ruruBiH mahiza-AdiBiH
   BhP_04.06.021/1 karṇāntraikapadāśvāsyair nirjuṣṭaṃ vṛka-nābhibhiḥ	Bhu-_04.06.021/1 karNa-antra-eka-pada-ASvAsyEH nirjuzwam vRka-nABiBiH
   BhP_04.06.021/2 kadalī-khaṇḍa-saṃruddha- nalinī-pulina-śriyam	Bhu-_04.06.021/2 kadalI--KaNxa--saMrudDa nalinI--pulina--Sriyam
   BhP_04.06.022/1 paryastaṃ nandayā satyāḥ snāna-puṇyatarodayā	Bhu-_04.06.022/1 paryastam nandayA satyAH snAna--puNyatara-udayA
   BhP_04.06.022/2 vilokya bhūteśa-giriṃ vibudhā vismayaṃ yayuḥ	Bhu-_04.06.022/2 vilokya BUteSa--girim vibuDAH vismayam yayuH
   BhP_04.06.023/1 dadṛśus tatra te ramyām alakāṃ nāma vai purīm	Bhu-_04.06.023/1 dadRSuH tatra te ramyAm alakAm nAma vE purIm
   BhP_04.06.023/2 vanaṃ saugandhikaṃ cāpi yatra tan-nāma paṅkajam	Bhu-_04.06.023/2 vanam sOganDikam ca-api yatra tan-nAma paFkajam
   BhP_04.06.024/1 nandā cālakanandā ca saritau bāhyataḥ puraḥ	Bhu-_04.06.024/1 nandA ca-alaka-nandA ca saritO bAhyatas puras-
   BhP_04.06.024/2 tīrthapāda-padāmbhoja- rajasātīva pāvane	Bhu-_04.06.024/2 tIrTa-pAda--pada-amBoja rajasA-atIva pAvane
   BhP_04.06.025/1 yayoḥ sura-striyaḥ kṣattar avaruhya sva-dhiṣṇyataḥ	Bhu-_04.06.025/1 yayoH sura--striyaH kzattar avaruhya sva--DizNyataH
   BhP_04.06.025/2 krīḍanti puṃsaḥ siñcantyo vigāhya rati-karśitāḥ	Bhu-_04.06.025/2 krIxanti puMsaH siQcantyaH vigAhya rati-karSitAH
   BhP_04.06.026/1 yayos tat-snāna-vibhraṣṭa- nava-kuṅkuma-piñjaram	Bhu-_04.06.026/1 yayoH tat--snAna--viBrazwa nava--kuFkuma--piQjaram
   BhP_04.06.026/2 vitṛṣo 'pi pibanty ambhaḥ pāyayanto gajā gajīḥ	Bhu-_04.06.026/2 vitRzaH api pibanti amBaH pAyayantaH gajAH gajIH
   BhP_04.06.027/1 tāra-hema-mahāratna- vimāna-śata-saṅkulām	Bhu-_04.06.027/1 tAra--hema--mahA-ratna vimAna--Sata--saFkulAm
   BhP_04.06.027/2 juṣṭāṃ puṇyajana-strībhir yathā khaṃ sataḍid-ghanam	Bhu-_04.06.027/2 juzwAm puNya-jana--strIBiH yaTA Kam sa-taxid--Ganam
   BhP_04.06.028/1 hitvā yakṣeśvara-purīṃ vanaṃ saugandhikaṃ ca tat	Bhu-_04.06.028/1 hitvA yakza-ISvara--purIm vanam sOganDikam ca tat-
   BhP_04.06.028/2 drumaiḥ kāma-dughair hṛdyaṃ citra-mālya-phala-cchadaiḥ	Bhu-_04.06.028/2 drumEH kAma-duGEH hRdyam citra--mAlya--Pala--cCadEH
   BhP_04.06.029/1 rakta-kaṇṭha-khagānīka- svara-maṇḍita-ṣaṭpadam	Bhu-_04.06.029/1 rakta--kaNWa--Kaga-anIka svara--maNxita--zawpadam
   BhP_04.06.029/2 kalahaṃsa-kula-preṣṭhaṃ kharadaṇḍa-jalāśayam	Bhu-_04.06.029/2 kalahaMsa--kula--prezWam Kara-daNxa--jalASayam
   BhP_04.06.030/1 vana-kuñjara-saṅghṛṣṭa- haricandana-vāyunā	Bhu-_04.06.030/1 vana--kuQjara--saFGRzwa haricandana--vAyunA
   BhP_04.06.030/2 adhi puṇyajana-strīṇāṃ muhur unmathayan manaḥ	Bhu-_04.06.030/2 aDi puNya-jana--strINAm muhur unmaTayan manaH
   BhP_04.06.031/1 vaidūrya-kṛta-sopānā vāpya utpala-mālinīḥ	Bhu-_04.06.031/1 vEdUrya-kRta--sopAnAH vApyaH utpala--mAlinIH
   BhP_04.06.031/2 prāptaṃ kimpuruṣair dṛṣṭvā ta ārād dadṛśur vaṭam	Bhu-_04.06.031/2 prAptam kimpuruzEH dRzwvA te ArAt dadRSuH vawam
   BhP_04.06.032/1 sa yojana-śatotsedhaḥ pādona-viṭapāyataḥ	Bhu-_04.06.032/1 sa yojana--Sata-utseDaH pAda-Una--viwapa-AyataH
   BhP_04.06.032/2 paryak-kṛtācala-cchāyo nirnīḍas tāpa-varjitaḥ	Bhu-_04.06.032/2 paryak-kRta-acala--=-CAyaH nirnIxaH tApa--varjitaH
   BhP_04.06.033/1 tasmin mahā-yogamaye mumukṣu-śaraṇe surāḥ	Bhu-_04.06.033/1 tasmin mahA--yoga-maye mumukzu-SaraNe surAH
   BhP_04.06.033/2 dadṛśuḥ śivam āsīnaṃ tyaktāmarṣam ivāntakam	Bhu-_04.06.033/2 dadRSuH Sivam AsInam tyakta-amarzam iva-antakam
   BhP_04.06.034/1 sanandanādyair mahā-siddhaiḥ śāntaiḥ saṃśānta-vigraham	Bhu-_04.06.034/1 sanandana-AdyEH mahA--sidDEH SAntEH saMSAnta--vigraham
   BhP_04.06.034/2 upāsyamānaṃ sakhyā ca bhartrā guhyaka-rakṣasām	Bhu-_04.06.034/2 upAsyamAnam saKyA ca BartrA guhyaka-rakzasAm
   BhP_04.06.035/1 vidyā-tapo-yoga-patham āsthitaṃ tam adhīśvaram	Bhu-_04.06.035/1 vidyA-tapaH--yoga--paTam AsTitam tam aDISvaram
   BhP_04.06.035/2 carantaṃ viśva-suhṛdaṃ vātsalyāl loka-maṅgalam	Bhu-_04.06.035/2 carantam viSva-suhRdam vAtsalyAt loka-maFgalam
   BhP_04.06.036/1 liṅgaṃ ca tāpasābhīṣṭaṃ bhasma-daṇḍa-jaṭājinam	Bhu-_04.06.036/1 liFgam ca tApasa-aBIzwam Basma--daNxa--jawA-ajinam
   BhP_04.06.036/2 aṅgena sandhyābhra-rucā candra-lekhāṃ ca bibhratam	Bhu-_04.06.036/2 aFgena sanDyA-aBra--rucA candra-leKAm ca biBratam
   BhP_04.06.037/1 upaviṣṭaṃ darbhamayyāṃ bṛsyāṃ brahma sanātanam	Bhu-_04.06.037/1 upavizwam darBa-mayyAm bRsyAm brahma sanAtanam
   BhP_04.06.037/2 nāradāya pravocantaṃ pṛcchate śṛṇvatāṃ satām	Bhu-_04.06.037/2 nAradAya pravocantam pRcCate SRNvatAm satAm
   BhP_04.06.038/1 kṛtvorau dakṣiṇe savyaṃ pāda-padmaṃ ca jānuni	Bhu-_04.06.038/1 kRtvA-UrO dakziNe savyam pAda--padmam ca jAnuni
   BhP_04.06.038/2 bāhuṃ prakoṣṭhe 'kṣa-mālām āsīnaṃ tarka-mudrayā	Bhu-_04.06.038/2 bAhum prakozWe akza-mAlAm AsInam tarka-mudrayA
   BhP_04.06.039/1 taṃ brahma-nirvāṇa-samādhim āśritaṃ vyupāśritaṃ giriśaṃ	Bhu-_04.06.039/1 tam brahma--nirvANa--samADim ASritam vyupASritam giriSam
   yoga-kakṣām	yoga-kakzAm
   BhP_04.06.039/2 sa-loka-pālā munayo manūnām ādyaṃ manuṃ prāñjalayaḥ	Bhu-_04.06.039/2 sa-loka-pAlAH munayaH manUnAm Adyam manum prAQjalayaH
   praṇemuḥ	praNemuH
   BhP_04.06.040/1 sa tūpalabhyāgatam ātma-yoniṃ surāsureśair	Bhu-_04.06.040/1 sa tu-upalaBya-Agatam Atma--yonim sura-asura-ISEH-
   abhivanditāṅghriḥ	aBivandita-aFGriH
   BhP_04.06.040/2 utthāya cakre śirasābhivandanam arhattamaḥ kasya yathaiva	Bhu-_04.06.040/2 utTAya cakre SirasA-aBivandanam arhattamaH kasya yaTA-eva
   viṣṇuḥ	vizNuH
   BhP_04.06.041/1 tathāpare siddha-gaṇā maharṣibhir ye vai samantād anu	Bhu-_04.06.041/1 taTA-apare sidDa--gaNAH mahA-RziBiH ye vE samantAt anu
   nīlalohitam	nIlalohitam
   BhP_04.06.041/2 namaskṛtaḥ prāha śaśāṅka-śekharaṃ kṛta-praṇāmaṃ prahasann	Bhu-_04.06.041/2 namaskRtaH prAha SaSAFka-SeKaram kRta--praNAmam prahasan=-
   ivātmabhūḥ	iva-AtmaBUH
   BhP_04.06.042/0 brahmovāca	Bhu-_04.06.042/0 brahmA-uvAca
   BhP_04.06.042/1 āne tvām īśaṃ viśvasya jagato yoni-bījayoḥ	Bhu-_04.06.042/1 Ane tvAm ISam viSvasya jagataH yoni-bIjayoH
   BhP_04.06.042/2 śakteḥ śivasya ca paraṃ yat tad brahmā nirantaram	Bhu-_04.06.042/2 SakteH Sivasya ca param yat tat brahmA nirantaram
   BhP_04.06.043/1 tvam eva bhagavann etac chiva-śaktyoḥ svarūpayoḥ	Bhu-_04.06.043/1 tvam eva Bagavan etat Siva-SaktyoH svarUpayoH
   BhP_04.06.043/2 viśvaṃ sṛjasi pāsy atsi krīḍann ūrṇa-paṭo yathā	Bhu-_04.06.043/2 viSvam sRjasi pAsi atsi krIxan UrNa-pawaH yaTA
   BhP_04.06.044/1 tvam eva dharmārtha-dughābhipattaye dakṣeṇa sūtreṇa	Bhu-_04.06.044/1 tvam eva Darma-arTa-duGa-aBipattaye dakzeNa sUtreNa
   sasarjithādhvaram	sa-sarjiTa-aDvaram
   BhP_04.06.044/2 tvayaiva loke 'vasitāś ca setavo yān brāhmaṇāḥ śraddadhate	Bhu-_04.06.044/2 tvayA-eva loke avasitAH ca setavaH yAn brAhmaNAH SraddaDate
   dhṛta-vratāḥ	DRta--vratAH
   BhP_04.06.045/1 tvaṃ karmaṇāṃ maṅgala maṅgalānāṃ kartuḥ sva-lokaṃ tanuṣe	Bhu-_04.06.045/1 tvam karmaNAm maFgala maFgalAnAm kartuH sva-lokam tanuze
   svaḥ paraṃ vā	svar param vA
   BhP_04.06.045/2 amaṅgalānāṃ ca tamisram ulbaṇaṃ viparyayaḥ kena tad eva	BhP_04.06.045/2 amaFgalAnAm ca tamisram ulbaNam viparyayaH kena tat eva
   kasyacit	kasyacid-
   BhP_04.06.046/1 na vai satāṃ tvac-caraṇārpitātmanāṃ bhūteṣu sarveṣv	Bhu-_04.06.046/1 na vE satAm tvac-caraNa-arpita-AtmanAm BUtezu sarvezu-
   abhipaśyatāṃ tava	aBipaSyatAm tava
   BhP_04.06.046/2 bhūtāni cātmany apṛthag-didṛkṣatāṃ prāyeṇa roṣo 'bhibhaved	Bhu-_04.06.046/2 BUtAni ca-Atmani apRTak--didRkzatAm prAyeNa rozaH aBiBavet-
   yathā paśum	yaTA paSum
   BhP_04.06.047/1 pṛthag-dhiyaḥ karma-dṛśo durāśayāḥ	Bhu-_04.06.047/1 pRTak--DiyaH karma-dRSaH durASayAH
   parodayenārpita-hṛd-rujo 'niśam	para-udayena-arpita--hRd-rujaH aniSam
   BhP_04.06.047/2 parān duruktair vitudanty aruntudās tān māvadhīd	Bhu-_04.06.047/2 parAn duruktEH vitudanti aruntudAH tAn mA-avaDIt-
   daiva-vadhān bhavad-vidhaḥ	dEva-vaDAn Bavat--viDaH
   BhP_04.06.048/1 yasmin yadā puṣkara-nābha-māyayā durantayā spṛṣṭa-dhiyaḥ	Bhu-_04.06.048/1 yasmin yadA puzkara-nABa-mAyayA durantayA spRzwa-DiyaH
   pṛthag-dṛśaḥ	pRTak--dRSaH
   BhP_04.06.048/2 kurvanti tatra hy anukampayā kṛpāṃ na sādhavo daiva-balāt	Bhu-_04.06.048/2 kurvanti tatra hi anukampayA kRpAm na sADavaH dEva-balAt-
   kṛte kramam	kRte kramam
   BhP_04.06.049/1 bhavāṃs tu puṃsaḥ paramasya māyayā durantayāspṛṣṭa-matiḥ	Bhu-_04.06.049/1 BavAn tu puMsaH paramasya mAyayA durantayA-aspRzwa-matiH
   samasta-dṛk	samasta--dRS-
   BhP_04.06.049/2 tayā hatātmasv anukarma-cetaḥsv anugrahaṃ kartum ihārhasi	Bhu-_04.06.049/2 tayA hata-Atmasu anukarma--cetaHsu anugraham kartum iha-arhasi
   prabho	praBo
   BhP_04.06.050/1 kurv adhvarasyoddharaṇaṃ hatasya bhoḥ tvayāsamāptasya mano	Bhu-_04.06.050/1 kuru aDvarasya-udDaraNam hatasya BoH tvayA-asamAptasya manaH-
   prajāpateḥ	prajApateH
   BhP_04.06.050/2 na yatra bhāgaṃ tava bhāgino daduḥ kuyājino yena makho	Bhu-_04.06.050/2 na yatra BAgam tava BAginaH daduH ku-yAjinaH yena maKaH-
   ninīyate	ninIyate
   BhP_04.06.051/1 jīvatād yajamāno 'yaṃ prapadyetākṣiṇī bhagaḥ	Bhu-_04.06.051/1 jIvatAt yajamAnaH ayam prapadyeta-akziNI BagaH
   BhP_04.06.051/2 bhṛgoḥ śmaśrūṇi rohantu pūṣṇo dantāś ca pūrvavat	BhP_04.06.051/2 BRgoH SmaSrUNi rohantu pUzNaH dantAH ca pUrvavat-
   BhP_04.06.052/1 devānāṃ bhagna-gātrāṇām ṛtvijāṃ cāyudhāśmabhiḥ	Bhu-_04.06.052/1 devAnAm Bagna---gAtrANAm RtvijAm ca-AyuDa-aSmaBiH
   BhP_04.06.052/2 bhavatānugṛhītānām āśu manyo 'stv anāturam	Bhu-_04.06.052/2 BavatA-anugRhItAnAm ASu manyaH astu anAturam
   BhP_04.06.053/1 eṣa te rudra bhāgo 'stu yad-ucchiṣṭo 'dhvarasya vai	Bhu-_04.06.053/1 eza te rudra BAgaH astu yat--ucCizwaH aDvarasya vE
   BhP_04.06.053/2 yajñas te rudra bhāgena kalpatām adya yajña-han	Bhu-_04.06.053/2 yajQaH te rudra BAgena kalpatAm adya yajQa-han
   BhP_04.07.001/0 maitreya uvāca	Bhu-_04.07.001/0 mEtreyaH uvAca
   BhP_04.07.001/1 ity ajenānunītena bhavena parituṣyatā	Bhu-_04.07.001/1 iti ajena-anunItena Bavena parituzya-tA
   BhP_04.07.001/2 abhyadhāyi mahā-bāho prahasya śrūyatām iti	Bhu-_04.07.001/2 aByaDAyi mahA--bAho prahasya SrUyatAm iti
   BhP_04.07.002/0 mahādeva uvāca	Bhu-_04.07.002/0 mahAdevaH uvAca
   BhP_04.07.002/1 nāghaṃ prajeśa bālānāṃ varṇaye nānucintaye	Bhu-_04.07.002/1 na-aGam prajA-ISa bAlAnAm varNaye na-anucintaye
   BhP_04.07.002/2 deva-māyābhibhūtānāṃ daṇḍas tatra dhṛto mayā	Bhu-_04.07.002/2 deva-mAyA-aBiBUtAnAm daNxaH tatra DRtaH mayA
   BhP_04.07.003/1 prajāpater dagdha-śīrṣṇo bhavatv aja-mukhaṃ śiraḥ	Bhu-_04.07.003/1 prajApateH dagDa-SIrzNaH Bavatu aja-muKam SiraH
   BhP_04.07.003/2 mitrasya cakṣuṣekṣeta bhāgaṃ svaṃ barhiṣo bhagaḥ	Bhu-_04.07.003/2 mitrasya cakzuzA-Ikzeta BAgam svam barhizaH BagaH
   BhP_04.07.004/1 pūṣā tu yajamānasya dadbhir jakṣatu piṣṭa-bhuk	BhP_04.07.004/1 pUzA tu yajamAnasya dadBiH jakzatu pizwa-Buj-
   BhP_04.07.004/2 devāḥ prakṛta-sarvāṅgā ye ma uccheṣaṇaṃ daduḥ	Bhu-_04.07.004/2 devAH prakRta--sarva-aFgAH ye me ucCezaNam daduH
   BhP_04.07.005/1 bāhubhyām aśvinoḥ pūṣṇo hastābhyāṃ kṛta-bāhavaḥ	Bhu-_04.07.005/1 bAhuByAm aSvinoH pUzNaH hastAByAm kRta-bAhavaH
   BhP_04.07.005/2 bhavantv adhvaryavaś cānye basta-śmaśrur bhṛgur bhavet	Bhu-_04.07.005/2 Bavantu aDvaryavaH ca-anye basta--SmaSruH BRguH Bavet-
   BhP_04.07.006/0 maitreya uvāca	Bhu-_04.07.006/0 mEtreyaH uvAca
   BhP_04.07.006/1 tadā sarvāṇi bhūtāni śrutvā mīḍhuṣṭamoditam	Bhu-_04.07.006/1 tadA sarvANi BUtAni SrutvA mIXuzwama-uditam
   BhP_04.07.006/2 parituṣṭātmabhis tāta sādhu sādhv ity athābruvan	Bhu-_04.07.006/2 parituzwa-AtmaBiH tAta sADu sADu iti aTa-abruvan
   BhP_04.07.007/1 tato mīḍhvāṃsam āmantrya śunāsīrāḥ saharṣibhiḥ	Bhu-_04.07.007/1 tatas mIXvAMsam Amantrya SunAsIrAH saha-RziBiH
   BhP_04.07.007/2 bhūyas tad deva-yajanaṃ sa-mīḍhvad-vedhaso yayuḥ	Bhu-_04.07.007/2 BUyas tat deva--yajanam sa-mIXvat--veDasaH yayuH
   BhP_04.07.008/1 vidhāya kārtsnyena ca tad yad āha bhagavān bhavaḥ	Bhu-_04.07.008/1 viDAya kArtsnyena ca tat yat Aha BagavAn BavaH
   BhP_04.07.008/2 sandadhuḥ kasya kāyena savanīya-paśoḥ śiraḥ	BhP_04.07.008/2 sandaDuH kasya kAyena savanIya-paSoH SiraH
   BhP_04.07.009/1 sandhīyamāne śirasi dakṣo rudrābhivīkṣitaḥ	Bhu-_04.07.009/1 sanDIyamAne Sirasi dakzaH rudra-aBivIkzitaH
   BhP_04.07.009/2 sadyaḥ supta ivottasthau dadṛśe cāgrato mṛḍam	Bhu-_04.07.009/2 sadyas suptaH iva-uttasTO dadRSe ca-agratas mRxam
   BhP_04.07.010/1 tadā vṛṣadhvaja-dveṣa- kalilātmā prajāpatiḥ	Bhu-_04.07.010/1 tadA vRzaDvaja--dveza kalila-AtmA prajApatiH
   BhP_04.07.010/2 śivāvalokād abhavac charad-dhrada ivāmalaḥ	Bhu-_04.07.010/2 Siva-avalokAt aBavat Sarad--DradaH iva-amalaH
   BhP_04.07.011/1 bhava-stavāya kṛta-dhīr nāśaknod anurāgataḥ	Bhu-_04.07.011/1 Bava--stavAya kRta--DIH na-aSaknot anurAgataH
   BhP_04.07.011/2 autkaṇṭhyād bāṣpa-kalayā samparetāṃ sutāṃ smaran	Bhu-_04.07.011/2 OtkaNWyAt bAzpa--kalayA samparetAm sutAm smaran
   BhP_04.07.012/1 kṛcchrāt saṃstabhya ca manaḥ prema-vihvalitaḥ sudhīḥ	Bhu-_04.07.012/1 kRcCrAt saMstaBya ca manaH prema--vihvalitaH suDIH
   BhP_04.07.012/2 śaśaṃsa nirvyalīkena bhāveneśaṃ prajāpatiḥ	BhP_04.07.012/2 SaSaMsa nirvyalIkena BAvena-ISam prajApatiH
   BhP_04.07.013/0 dakṣa uvāca	BhP_04.07.013/0 dakzaH uvAca
   BhP_04.07.013/1 bhūyān anugraha aho bhavatā kṛto me	Bhu-_04.07.013/1 BUyAn anugraha aho BavatA kRtaH me
   BhP_04.07.013/2 daṇḍas tvayā mayi bhṛto yad api pralabdhaḥ	Bhu-_04.07.013/2 daNxaH tvayA mayi BRtaH yat api pralabDaH
   BhP_04.07.013/3 na brahma-bandhuṣu ca vāṃ bhagavann avajñā	Bhu-_04.07.013/3 na brahma--banDuzu ca vAm Bagavan avajQA
   BhP_04.07.013/4 tubhyaṃ hareś ca kuta eva dhṛta-vrateṣu	Bhu-_04.07.013/4 tuByam hareH ca kutas eva DRta--vratezu
   BhP_04.07.014/1 vidyā-tapo-vrata-dharān mukhataḥ sma viprān	Bhu-_04.07.014/1 vidyA-tapo-vrata--DarAt muKataH sma viprAn
   BhP_04.07.014/2 brahmātma-tattvam avituṃ prathamaṃ tvam asrāk	Bhu-_04.07.014/2 brahma-Atma--tattvam avitum praTamam tvam asrAk-
   BhP_04.07.014/3 tad brāhmaṇān parama sarva-vipatsu pāsi	Bhu-_04.07.014/3 tat brAhmaNAn parama sarva-vipatsu pAsi
   BhP_04.07.014/4 pālaḥ paśūn iva vibho pragṛhīta-daṇḍaḥ	Bhu-_04.07.014/4 pAlaH paSUn iva viBo pragRhIta-daNxaH
   BhP_04.07.015/1 yo 'sau mayāvidita-tattva-dṛśā sabhāyāṃ	Bhu-_04.07.015/1 yaH asO mayA-avidita--tattva--dRSA saBAyAm
   BhP_04.07.015/2 kṣipto durukti-viśikhair vigaṇayya tan mām	Bhu-_04.07.015/2 kziptaH durukti--viSiKEH vigaNayya tat mAm
   BhP_04.07.015/3 arvāk patantam arhattama-nindayāpād	Bhu-_04.07.015/3 arvAk patantam arhattama-nindayA-ApAd
   BhP_04.07.015/4 dṛṣṭyārdrayā sa bhagavān sva-kṛtena tuṣyet	Bhu-_04.07.015/4 dRzwi-ArdrayA sa BagavAn sva-kRtena tuzyet-
   BhP_04.07.016/0 maitreya uvāca	Bhu-_04.07.016/0 mEtreyaH uvAca
   BhP_04.07.016/1 kṣamāpyaivaṃ sa mīḍhvāṃsaṃ brahmaṇā cānumantritaḥ	Bhu-_04.07.016/1 kzamApya-evam sa mIXvAMsam brahmaNA ca-anumantritaH
   BhP_04.07.016/2 karma santānayām āsa sopādhyāyartvig-ādibhiḥ	Bhu-_04.07.016/2 karma santAnayAm Asa sa-upADyAya-Rtvij--AdiBiH
   BhP_04.07.017/1 vaiṣṇavaṃ yajña-santatyai tri-kapālaṃ dvijottamāḥ	Bhu-_04.07.017/1 vEzNavam yajQa--santatyE tri-kapAlam dvijottamAH
   BhP_04.07.017/2 puroḍāśaṃ niravapan vīra-saṃsarga-śuddhaye	Bhu-_04.07.017/2 puroxASam niravapan vIra--saMsarga--SudDaye
   BhP_04.07.018/1 adhvaryuṇātta-haviṣā yajamāno viśāmpate	Bhu-_04.07.018/1 aDvaryuNAtta--havizA yajamAnaH viSAm-pate
   BhP_04.07.018/2 dhiyā viśuddhayā dadhyau tathā prādurabhūd dhariḥ	Bhu-_04.07.018/2 DiyA viSudDayA daDyO taTA prAduraBUt DariH
   BhP_04.07.019/1 tadā sva-prabhayā teṣāṃ dyotayantyā diśo daśa	Bhu-_04.07.019/1 tadA sva--praBayA tezAm dyotayantyAH diSaH daSa
   BhP_04.07.019/2 muṣṇaṃs teja upānītas tārkṣyeṇa stotra-vājinā	Bhu-_04.07.019/2 muzNan tejaH upAnItaH tArkzyeNa stotra-vAjinA
   BhP_04.07.020/1 śyāmo hiraṇya-raśano 'rka-kirīṭa-juṣṭo	Bhu-_04.07.020/1 SyAmaH hiraNya-raSanaH arka--kirIwa--juzwaH-
   BhP_04.07.020/2 nīlālaka-bhramara-maṇḍita-kuṇḍalāsyaḥ	BhP_04.07.020/2 nIla-alaka-Bramara--maNxita--kuNxala-AsyaH
   BhP_04.07.020/3 śaṅkhābja-cakra-śara-cāpa-gadāsi-carma-	BhP_04.07.020/3 SaFKa-abja--cakra--Sara--ca-apa-gada-asi-carma-
   BhP_04.07.020/4 vyagrair hiraṇmaya-bhujair iva karṇikāraḥ	Bhu-_04.07.020/4 vyagrEH hiraNmaya--BujEH iva karNikAraH
   BhP_04.07.021/1 vakṣasy adhiśrita-vadhūr vana-māly udāra-	Bhu-_04.07.021/1 vakzasi aDiSrita-vaDUH vana--mAlI udAra-
   BhP_04.07.021/2 hāsāvaloka-kalayā ramayaṃś ca viśvam	Bhu-_04.07.021/2 hAsa-avaloka-kalayA ramayan ca viSvam
   BhP_04.07.021/3 pārśva-bhramad-vyajana-cāmara-rāja-haṃsaḥ	Bhu-_04.07.021/3 pArSva--Bramat--vyajana--cAmara--rAja--haMsaH
   BhP_04.07.021/4 śvetātapatra-śaśinopari rajyamānaḥ	Bhu-_04.07.021/4 Sveta-Atapa-tra-SaSinA-upari rajyamAnaH
   BhP_04.07.022/1 tam upāgatam ālakṣya sarve sura-gaṇādayaḥ	Bhu-_04.07.022/1 tam upAgatam Alakzya sarve sura--gaNa-AdayaH
