   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   TimUdgh5.14cd: eka<ṃ> sṛṣṭimayaṃ bījaṃ & ek<ā> mudrā tu khecarī	Timu-udG5.14cd: eka<M> sRzwi-mayam bIjam & ek<A> mudrA tu KecarI
   [[fol. 32r]]	[[fol. 32r]]
   TimUdgh5.15ab: dvāv etau jñāyate yena & so pi śāntapade sthitaṃ %cf.	Timu-udG5.15ab: dvO etO jQAyate yena & saH pi SAnta-pade sTitam %cf.
   TĀ32.64	TĀ32.64
   TimUdgh5.15cd: tatpade saṃsthito yogī & trailokyam api darśayet %=paśyet?	Timu-ud-G5.15cd: tad-pade saMsTitaH yogI & trElokyam api darSayet %=paSyet-?
   TimUdgh5.16ab: utpadyante kṣaṇād eva{ḥ} & tṛṣkāla[jñāti]<ḥ> sambhavet	Timu-udG5.16ab: utpadyante kzaNAt eva{H} & tRzkAla[-jQAti]<H> samBavet-
   iti timirodghāṭane pañcamaḥ paṭalaḥ	iti timira-udGAwane paQcamaH pawalaH
   %Cihna's of Rudraśaktisamāveśaḥ	%Cihna-as of Rudra-Sakti-samAveSaH
   devy uvāca	devI uvAca
   TimUdgh6.1ab: kā sā saṃkrāmate śaktiḥ & kāni cihnāni darśayet %archaic	Timu-udG6.1ab: kA sA saMkrAmate SaktiH & kAni cihnAni darSayet %arCEc
   gupta style rśa!	gupta style rSa!
   TimUdgh6.1cd: sa*stobhhāvikārāṇi & kurute dehasaṃsthitā	Timu-ud-G6.1cd: sa*stoBha-avikArANi & kurute deha-saMsTitA
   TimUdgh6.2ab: kathaṃ saṃkramitā jñeyā & saṃkrāntā kā vidhīyate	Timu-udG6.2ab: kaTam saMkramitA jQeyA & saMkrAntA kA viDIyate
   TimUdgh6.2cd: katha<ṃ> cokrama[ṇa]ratnā & adhordhvena kathaṃ vrajet	Timu-ud-G6.2cd: kaTa<M> cokrama[Na]ratnA & aDorDvena kaTam vrajet-
   TimUdgh6.3ab: ***ti kathaṃ jñeyā & kena kālena siddhidā	Timu-udG6.3ab: ***ti kaTam jQeyA & kena kAlena sidDi-dA
   TimUdgh6.3cd: siddhasya kāni cihnāni & etat katha parameśvara{ḥ}%hyperm.	Timu-ud-G6.3cd: sidDasya kAni cihnAni & etat kaTa parameSvara{H}%hi-perm.
   bhairava uvāca	BEravaH uvAca
   TimUdgh6.4ab: yā sā vyāpakarūpeṇa & brahmāṇḍe sacarācare	Timu-udG6.4ab: yA sA vyApaka-rUpeNa & brahmANxe sacarAcare
   \var{brahmāṇḍe\lem \em; brahmāṇḍo \N}	\var{-brahmANxe\-lem \em; brahmANxaH \N}
   TimUdgh6.4cd: vyāpayitvā adhordhvena & sarvvavyāpi tu sā smṛtā	Timu-ud-G6.4cd: vyApayitvA aDorDvena & sarvu-avyApi tu sA smRtA
   TimUdgh6.5ab: sabāhyābhyantare dehe & sarvajantuṣu saṃsthitā	Timu-udG6.5ab: sa-bAhya-aByantare dehe & sarva-jantuzu saMsTitA
   TimUdgh6.5cd: sadācāryopadeśena & paradehe tu saṃkrame	Timu-ud-G6.5cd: sat-AcArya-upadeSena & para-dehe tu saMkrame
   TimUdgh6.6ab: sthitigati adhordhvena & dehasaṃkrāntilakṣaṇam	Timu-udG6.6ab: sTiti-gati aDorDvena & deha-saMkrAnti-lakzaNam
   TimUdgh6.6cd: adhasaṃhārasaṃkrānti & ūrdhvasṛṣṭi varānane	Timu-ud-G6.6cd: aDa-saMhAra-saMkrAnti & UrDva-sRzwi varAnane
   TimUdgh6.7ab: sthitigatisthitāma* &[[fol.32v]] tṛdhā yoga<ḥ> pravarttate	Timu-udG6.7ab: sTiti-gati-sTita-Ama* &[[fol.32v]] tRDA yoga<H> pravarttate
   TimUdgh6.7cd: evaṃ krameṇa vedhavyaṃ & trivir ekena-m ādiśet% em: tribhir	Timu-ud-G6.7cd: evam krameNa veDavyam & trivis ekena-m AdiSet% em: triBiH-
   TimUdgh6.8ab: dehavyāpyam adhordhvena & parāśakti<ḥ> praveśayet	Timu-udG6.8ab: deha-vyApyam aDorDvena & parASakti<H> praveSayet-
   TimUdgh6.8cd: yasyaitāni tu cihnāni & sa guru*kṣadā smṛtā	Timu-ud-G6.8cd: yasya-etAni tu cihnAni & sa guru-*kzadA smRtA
   % em: sa gurur mokṣadaḥ smṛtaḥ	% em: sa guruH mokza-daH smRtaH
   %mokṣada is a known type of ācārya,	%mokza-daH iH a known type of AcArya,
   %is this intended here?	%iH TiH inta-indet here?
   TimUdgh6.9ab: kṛtvā sarvvopacārāṇi & ātmanena dhanena vā %ātmanena!	Timu-udG6.9ab: kRtvA sarvvA-upacArANi & Atmanena Danena vA %a-Atmanena!
   TimUdgh6.9cd: grāhya tatparasaṃjñānaṃ & guruvaktreṣu saṃsthitā	Timu-ud-G6.9cd: grAhya tad-para-saMjQAnam & guru-vaktrezu saMsTitA
   TimUdgh6.10ab: kaulopadeśaratnena & yoginā divyadarśanāṃ	Timu-udG6.10ab: kOla-upadeSa-ratnena & yoginA divya-darSanAm
   TimUdgh6.10cd: paśyen nimīlitākṣes tu & punaf pratyakṣadarśanāt	Timu-ud-G6.10cd: paSyet nimIlita-akzeH tu & punaf pratyakza-darSanAt-
   TimUdgh6.11ab: yoginī prathamaṃ chāyā&mātra<**> punaḥ punaḥ %hypom.	Timu-udG6.11ab: yoginI praTamam CAyA&-mAtra<**> punar punar %hi-pom.
   TimUdgh6.11cd: yathā cābhyāsate yoga<ṃ?> & tathārūpaṃ pravarttate	Timu-ud-G6.11cd: yaTA ca-aByAsate yoga<M?> & taTArUpam pravarttate
   TimUdgh6.12ab: <8> & paśyati kṛṣṇarūpiṇī	Timu-udG6.12ab: <8> & paSyati kRzNa-rUpiNI
   TimUdgh6.12cd: raudrī vā saumyarūpeṇa & nānābharaṇabhūṣitā	Timu-ud-G6.12cd: rOdrI vA sOmya-rUpeNa & nAnA-ABaraNa-BUzitA
   TimUdgh6.13ab: dṛṣṭānaṣṭe sthitā caiva & bahurūpeṇa [dṛ]śyate %	Timu-udG6.13ab: dRzwa-anazwe sTitA ca-eva & bahu-rUpeNa [dR]Syate %
   TimUdgh6.13cd: antarikṣasthitā nityaṃ & sarvve paśyanti mātaram	Timu-udG6.13cd: antarikza-sTitAH nityam & sarvve paSyanti mAtaram
   TimUdgh6.14ab: raudrabhairavarūpeṇa & bahuyogiparivṛtāṃ	Timu-udG6.14ab: rOdra-BErava-rUpeNa & bahu-yogi-parivRtAm
   TimUdgh6.14cd: yogeśvarapurañ caiva & ātmānanda[ḥ] sa paśyati	Timu-ud-G6.14cd: yogeSvara-puran ca-eva & Atma-Ananda[H] sa paSyati
   TimUdgh6.15ab: kaulikaṃ yogaratnena & samprāptena varānane	Timu-udG6.15ab: kOlikam yoga-ratnena & samprAptena varAnane
   TimUdgh6.15cd: pṛthivyāṃ nāsti taṃ dravyaṃ & yan dattvā niraṇībhavet	Timu-udG6.15cd: pRTivyAm na-asti tam dravyam & yat dattvA niraNIBavet-
   TimUdgh6.16ab: kaulopadeśadātāraṃ & durūbhaṃ (?) gurumokṣadaṃ [[fol. 33r]]	Timu-udG6.16ab: kOla-upadeSa-dAtAram & durUBam (?) guru-mokza-dam [[fol. 33r]]
   TimUdgh6.16cd: chedayed yas tu saṃsāraṃ & tasya deyam atatparaṃ	Timu-udG6.16cd: Cedayet yaH tu saMsAram & tasya deyam atat-param
   TimUdgh6.17ab: kaulajñānāmṛtaṃ divyaṃ & bahubhedeṣu saṃsthita<ṃ>	Timu-udG6.17ab: kOla-jQAna-amRtam divyam & bahu-Bedezu saMsTita-<M>
   TimUdgh6.17cd: tan mayā kathitaṃ svalpaṃ & koṭibhedeṣu dṛśyate	Timu-udG6.17cd: tat mayA kaTitam su-alpam & kowi-Bedezu dRSyate
   TimUdgh6.18ab: saptaviṅśativarṣeṣu& kathitā siddhikhecarī % em: kathitaḥ	Timu-udG6.18ab: sapta-viFSati-varza-izu& kaTitA sidDi-KecarI % em: kaTitaH
   siddhakhecarī	sidDaKecarI
   TimUdgh6.18cd: nityābhiyuktayogīśa<ḥ> & śīghram eva sa siddhyati	Timu-ud-G6.18cd: nitya-aBiyukta-yogi-ISa<H> & SIGram eva sa sidDyati
   TimUdgh6.19ab: evaṃ sarvva<ṃ> mayākhyātaṃ & ya[t tva]yā pṛcchitaṃ priye	Timu-udG6.19ab: evam sarvu-a<M> mayA-AKyAtam & ya[t tva]yA pRcCitam priye
   iti timirodghāṭane ṣaṣṭhaḥ paṭalaḥ	iti timira-udGAwane zazWaH pawalaH
   %yogic vision of the triple universe in the sky	%yogit vision of Te tri-ple universe id Te sky
   devy uvāca	devI uvAca
   TimUdgh7.1ab: kathitan te mahādeva & kaulayoga<ṃ> suvistaraṃ %no it has	Timu-udG7.1ab: kaTitan te mahAdeva & kOla-yoga<M> su-vistaram %naH id has
   not!	na-ut!
   TimUdgh7.1cd: krameṇa divyarūpāṇi & dṛṣṭvā mokṣax katham bhavet	Timu-ud-G7.1cd: krameNa divya-rUpANi & dRzwvA mokzah kaTam Bavet-
   \var{mokṣax\lem \em; mokṣaṅ \N}	\var{mokza-x\lem \em; mokzaF \N}
   bhairava uvāca	BEravaH uvAca
   TimUdgh7.2ab: nityābhiyuktayogīśaḥ & trailokyam paśyate <'>khilam	Timu-udG7.2ab: nitya-aBiyukta-yogISaH & trElokyam paSyate <-a>Kilam
   TimUdgh7.2cd: bhinna<ṃ> paśyati brahmāṇḍaṃ & tasy[ordhve]* śivaṃ vrajet	Timu-ud-G7.2cd: Binna<M> paSyati brahmANxam & tasy[A-UrDve]* Sivam vrajet-
   %-ordhvena ? -ordhve tu? -ordhve ca?	%-A-UrDvena ? -a-UrDve tu? -a-UrDve ca?
   TimUdgh7.3ab: prathame pāsyti rūpaṃ & svapnānte cakṣumīlite %cakṣu metri	Timu-udG7.3ab: praTame pAsyti rUpam & svapna-ante cakzu-mIlite %cakzu metri
   causa	cOsa
   TimUdgh7.3cd: satatābhyāsayogena & pratyakṣadevadarśanam	Timu-ud-G7.3cd: satata-aByAsa-yogena & pratyakza-deva-darSanam
   TimUdgh7.4ab: vācāpi śrṇoti teṣāṃ & sparśaś cāgandham eva ca% vācāpi	Timu-udG7.4ab: vAcA-api SrNoti tezAm & sparSaH ca-aganDam eva ca% vAcA-api
   contracted sandhi for vācām api, āgandhaḥ ``even upto smell''	contractet sanDi foH vAcAm api, AganDaH ``even uptaH smell-'-a
   TimUdgh7.4cd: balotkaṭas tu yogīśaḥ & satyādhiṣṭhitamānasaḥ	Timu-ud-G7.4cd: bala-utkawaH tu yogi-ISaH & satya-aDizWita-mAnasaH
   TimUdgh7.5ab: darśaya divyarūpiṇī & sarvalokasya cāmbare	Timu-udG7.5ab: darSaya divya-rUpiNI & sarva-lokasya ca-ambare
   TimUdgh7.5cd: āścārya<ṃ> kāraye & [[fol.33v]] yatheṣṭa<ṃ> kāraye sudhī	Timu-ud-G7.5cd: AScArya<M> kAraye & [[fol.33v]] yaTA-izwa<M> kAraye suDI
   TimUdgh7.6ab: granthārthena tu saṃyuktaṃ & vedāntena tu saṃyutaṃ	Timu-udG7.6ab: granTa-arTena tu saMyuktam & vedAntena tu saMyutam
   TimUdgh7.6cd: kāvyaṃ karoti lalitaṃ & sālaṅkāramanoharaṃ	Timu-ud-G7.6cd: kAvyam karoti lalitam & sa-alaFkAra-manoharam
   TimUdgh7.7ab: kṣobhaya{n}ti jagatsarvaṃ & rañjikācārarañjitaṃ	Timu-udG7.7ab: kzoBaya{n}ti jagat-sarvam & raQjikA-AcAra-raQjitam
   TimUdgh7.7cd: strīpuruṣam āveśañ ca & geyaṃ caiva manoharaṃ	Timu-ud-G7.7cd: strI-puruzam AveSan ca & geyam ca-eva manoharam
   TimUdgh7.8ab: divyayogasthitaṃ yogī & manonmānena paśyati	Timu-udG7.8ab: divya-yoga-sTitam yogI & manonmAnena paSyati
   TimUdgh7.8cd: pātāle nāgaloke ca & divyā tribhuvanāni ca	Timu-ud-G7.8cd: pAtAle nAga-loke ca & divyA triBuvanAni ca
   TimUdgh7.9ab: mā[nu]ṣāṇi vicitrāṇi & tṛṇagulmalatāni ca	Timu-udG7.9ab: mA-a[nu]zANi vicitrANi & tRNa-gulma-latAni ca
   TimUdgh7.9cd: dvipadañ catuṣpadañ caiva & jalacārīm anekadhā %hyperm.	Timu-ud-G7.9cd: dvipadan catuzpadan ca-eva & jalacArIm anekaDA %hi-perm.
   perhaps em: dvipaccatuṣpadaṃ caiva	perhapH em: dvipad-catuzpadam ca-eva
   TimUdgh7.10ab: deśamaṇḍalaramyāni & grāmāṇi nagarāṇi ca	Timu-udG7.10ab: deSa-maNxala-ramyAni & grAmANi nagarANi ca
   TimUdgh7.10cd: akṣarāṇi vicitrāṇi & antarikṣan tu darśayet %em: antarikṣe	Timu-udG7.10cd: akzarANi vicitrANi & antarikzan tu darSayet %em: antarikze
   tu	tu
   TimUdgh7.11ab: dīpāntarasamudrāṇi & nandyopavanaparvatā<ḥ>	Timu-udG7.11ab: dIpa-antara-samudrANi & nandya-upavana-parvatA<H>
   TimUdgh7.11cd: yakṣiṇā vividhākāraṃ & ā*nañ ca viśeṣataḥ	Timu-ud-G7.11cd: yakziNA viviDa-AkAram & A*nan ca viSezataH
   TimUdgh7.12ab: candrasūryavimānāni & indraloka<ṃ> sa paśyati	Timu-udG7.12ab: candra-sUrya-vimAnAni & indra-loka<M> sa paSyati
   TimUdgh7.12cd: diśāvālāpurī ramyā & brahmaviṣṇupurīs tathā	Timu-ud-G7.12cd: diSA-vAlA-purI ramyA & brahma-vizNu-purIH taTA
   TimUdgh7.13ab: divyamānuṣyapātālā & vyāpāraṃ yaḥ pravartate	Timu-udG7.13ab: divya-mAnuzya-pAtAlAH & vyApAram yaH pravartate
   TimUdgh7.13cd: darśayanti parāśakti & trailokyaṃ sacarācaraṃ	Timu-ud-G7.13cd: darSayanti parASakti & trElokyam sa-carAcaram
   TimUdgh7.14ab: rudrasya purīsahitaṃ & pañcavaktrapura<ṃ> śivam	Timu-udG7.14ab: rudrasya purI-sahitam & paQcavaktra-pura<M> Sivam
   TimUdgh7.14cd: saḥ sadāśivaparamaṃ & parāśaktir adhiṣṭhitam [[fol34r]]	Timu-ud-G7.14cd: saH sadASiva-paramam & parASaktiH aDizWitam [[fol34r]]
   TimUdgh7.15ab: tasyopari śivaḥ śāntaḥ & avyavacchinnavyavasthitaḥ	Timu-udG7.15ab: tasya-upari SivaH SAntaH & avyavacCinna-vyavasTitaH
   TimUdgh7.15cd: brahmāṇḍa<ṃ> śaktinā [bhe]dya & su***paraṃ vrajet	Timu-ud-G7.15cd: brahmANxa<M> SaktinA [Be]dya & su-***param vrajet-
   TimUdgh7.16ab: dyomā[ṇīte yaḥ ś/mānte] & mokṣamuktimamavāpnuḥ % [vṛtta	Timu-udG7.16ab: dyomA[NIte yaH S/ma-ante] & mokza-muktimam-avApnuH % [vRtta
   messed up]; em: ...mokṣamuktim avāpnuyāt	messet up]; em: ...mokza-muktim avApnuyAt-
   TimUdgh7.16cd: etat te kathitaṃ devi & krameṇaiva parāparaṃ	Timu-ud-G7.16cd: etat te kaTitam devi & krameNa-eva para-aparam
   TimUdgh7.17ab: kaulayogasthitan devi & śīghraṃ śāntam padam vrajet	Timu-udG7.17ab: kOla-yoga-sTitan devi & SIGram SAntam padam vrajet-
   iti timitodghāṭane saptamaḥ paṭalaḥ	iti timita-udGAwane saptamaH pawalaH
   %the five jewels (=topics) of Kaula teachings (pañcaratna)	%Te five jewelH (=topics) of KOla tea-CingH (paQcaratna)
   %seems a parallel to the saiddhāntika padārthas	%seemH a parallet taH Te sEdDAntika padArTa-s
   devy uvāca	devI uvAca
   TimUdgh8.1ab: mantravidyākṣarair hīno & dheyadhāraṇavarjitaḥ \var{hīno\lem	Timu-udG8.1ab: mantra-vidyA-akzarEH hInaH & Deya-DAraNa-varjitaH \var{hIno\lem
   \emV; hīnaṃ \N}	\emV; hInam \N}
   TimUdgh8.1cd: kathaṃ vijñāyate jñānaṃ & pañcaratnopadeśikaḥ	Timu-ud-G8.1cd: kaTam vijQAyate jQAnam & paQcaratna-upadeSikaH
   bhairava uvāca	BEravaH uvAca
   TimUdgh8.2ab: kaulasṛṣṭyavatāre tu & parāgranthārthalakṣaṇam	Timu-udG8.2ab: kOla-sRzwi-avatAre tu & parAgranTa-arTa-lakzaNam
   TimUdgh8.2cd: rudraśaktyopadeśan tu & guruvaktreṣu labhyate	Timu-ud-G8.2cd: rudra-SaktyA-upadeSan tu & guru-vaktrezu laByate
   TimUdgh8.3ab: sarvāṇi mantratantrāṇi & devatākalpajalpanam %kalpa means	Timu-udG8.3ab: sarvANi mantra-tantrANi & devatA-kalpa-jalpanam %kalpa mean-s
   text here?	text here?
   TimUdgh8.3cd: mahato 'pi na sidhyante & rudraśaktivivarjitam	Timu-ud-G8.3cd: mahataH api na siDyante & rudra-Sakti-vivarjitam
   TimUdgh8.4ab: hṛdayaṃ sarvavidyānāṃ & mantravīryaṃ paraṃ smṛtam	Timu-udG8.4ab: hRdayam sarva-vidyAnAm & mantra-vIryam param smRtam
   \var{mantravīryaṃ paraṃ smṛtam\lem \em; mantravīryaparasmṛtaḥ \N}	\var{mantra-vIryam param smRta-m\lem \em; mantra-vIrya-para-smRtaH \N}
   TimUdgh8.4cd: rudraśaktisamāveśa<ṃ> & yo na vetti na sidhyati	Timu-ud-G8.4cd: rudra-Sakti-samAveSa<n> & yaH na vetti na siDyati
   TimUdgh8.5ab: ālekhyakaulikajñānaṃ & guruvaktreṣu saṃsthitaṃ % em:	Timu-udG8.5ab: AleKya-kOlika-jQAnam & guru-vaktrezu saMsTitam % em:
   alekhyaṃ ?	aleKyam ?
   TimUdgh8.5cd: karṇe karṇe tu saṃkrāme & dūrastho hi na saṃkramet	Timu-ud-G8.5cd: karNe karNe tu saMkrAme & dUra-sTaH hi na saMkramet-
   TimUdgh8.6ab: vi[dy]ādhyānasamādhiñ ca & yoganādopadeśikaṃ [[fol34v]]	Timu-udG8.6ab: vi[dy]A-DyAna-samADin ca & yoga-nAda-upadeSikam [[fol34v]]
   TimUdgh8.6cd: pañcaratnopadeśāni & granthārthena tu lekhayet	Timu-ud-G8.6cd: paQcaratna-upadeSAni & granTa-arTena tu leKayet-
   TimUdgh8.7ab: prathamaṃ ratne tu saṃprāpte & abhyāse palitanāśanaṃ	Timu-udG8.7ab: praTamam ratne tu saMprApte & aByAse palita-nASanam
   TimUdgh8.7cd: ūrdhvasa<ṃ>jvalitaṃ dehe & parāvastha sa gacchati	Timu-ud-G8.7cd: UrDva-sa<n>jvalitam dehe & para-avasTa sa gacCati
   TimUdgh8.8ab: dvitīyaratnaprabhāvena & guruśiṣyeṇa toṣitam	Timu-udG8.8ab: dvitIya-ratna-praBAvena & guru-SizyeNa tozitam
   TimUdgh8.8cd: yoginīcakrasaṃmānya & yatra tatra vyavasthitāḥ	Timu-ud-G8.8cd: yoginI-cakra-saMmAnya & yatra tatra vyavasTitAH
   TimUdgh8.9ab: tṛtīye paradehan tu & svadehe śaktisaṃkrame	Timu-udG8.9ab: tRtIye para-dehan tu & sva-dehe Sakti-saMkrame
   TimUdgh8.9cd: kṣobhayanti puraḥ sarve & samādhistho mahābalaḥ	Timu-ud-G8.9cd: kzoBayanti puras sarve & samADi-sTaH mahA-balaH
   TimUdgh8.10ab: caturtha bhūcarīsiddhi & vrajitvā gacchate punaḥ	Timu-udG8.10ab: caturTa BUcarI-sidDi & vrajitvA gacCate punar-
   TimUdgh8.10cd: pañcame khecarīmudrā & baddhvā cordhvā nigacchati	Timu-ud-G8.10cd: paQcame KecarI-mudrA & badDvA ca-UrDvA nigacCati
   TimUdgh8.11ab: umāmaheśvarīpuraḥ & vrajitvā gacchate punaḥ //\orn//	Timu-udG8.11ab: umA-maheSvarI-puraH & vrajitvA gacCate punar //\oH-n//
   %dhyāna + samādhi defined	%DyAnaH + samADi defined
   TimUdgh8.11cd: acintitaṃ bhave dhyānaṃ & samādhyāya manonmanī	Timu-udG8.11cd: acintitam Bave DyAnam & samADyAya manonmanI
   TimUdgh8.12ab: tatra sthito mahāyogī & akhilaṃ paśyati jagat	Timu-udG8.12ab: tatra sTitaH mahA-yogI & aKilam paSyati jagat-
   %yoga defined	%yoga defined
   TimUdgh8.12cd: niścitobhyāsato yogaḥ & aṭavyāṃ parvate 'pi vā	Timu-udG8.12cd: niScita-uByAsataH yogaH & awavyAm parvate api vA
   TimUdgh8.13ab: sarvadvandvavinirmuktaḥ & śīghraṃ siddhyati yoginaṃ	Timu-udG8.13ab: sarva-dvandva-vinirmuktaH & SIGram sidDyati yoginam
   TimUdgh8.13cd: siddhavidyāvalokitaṃ & kurute 'nekapratyayaṃ	Timu-udG8.13cd: sidDa-vidyA-avalokitam & kurute aneka-pratyayam
   TimUdgh8.14ab: [duṣṭ]āpahamohaś caiva & unmādo ṣo[ṣaṇa]s tathā [[fol35r]]	Timu-udG8.14ab: [duzw]a-apaha-mohaH ca-eva & unmAdaH zo[zaNa]H taTA [[fol35r]]
   %em: poṣaṇas?	%em: pozaNas?
   TimUdgh8.14cd: sthūlahrasvas tathā dīrghaḥ & bālavṛddhayuvānaka	Timu-udG8.14cd: sTUla-hrasvaH taTA dIrGaH & bAla-vRdDa-yuvAnaka
   TimUdgh8.15ab: [tiṣṭha jālāgni] madhye tu & sa[ṃ]krāmam a[nya]*[ti-ga/śa]	Timu-udG8.15ab: [tizWa jAla-agni] maDye tu & sa[M]krAmam a[nya]*[ti-ga/Sa]
   %em: tiṣṭhed jvālāgnimadhye tu? not jvālāgni	%em: tizWet jvAlA-agni-maDye tu? na-ut jvAlA-agni
   TimUdgh8.15cd: [jālā]gnisūryavāttavā & stambhaye ca mahā[na]dīn	Timu-ud-G8.15cd: [jAlA-]gni-sUrya-vAttavAH & stamBaye ca mahA[na]dIn
   TimUdgh8.16ab: [deho]pasargapīḍāśca & paśuk[ā/o]ṣṭhe saṃkrame yas	Timu-udG8.16ab: [deha-u]pasarga-pIxAH-ca & paSuk[a-a/o]zWe saMkrame yaH-
   TimUdgh8.16cd: tu nātra grahaṇaṃ kuryāt & svadehe parivartate /	Timu-udG8.16cd: tu na-atra grahaNam kuryAt & sva-dehe parivartate /
   TimUdgh8.17ab: krīḍate yogasaṃsiddhā & anekākārapratyayaṃ //	Timu-udG8.17ab: krIxate yoga-saMsidDAH & aneka-AkAra-pratyayam //
   TimUdgh8.17cd: lokālokagataṃ sarvaṃ yad vṛttayena yaṅ kṛtaṃ /	Timu-udG8.17cd: lokAloka-gatam sarvam yat vRttayena yaF kRtam /
   TimUdgh8.18ab: yad bhaviṣyam anāgataṃ bhayam vāyatparā[bhe/te/śa]kaṃ //	Timu-udG8.18ab: yat Bavizyam anAgatam Bayam vAyat-parA[-Be/te/Sa]kam //
   TimUdgh8.18cd: tat samādhisthitaf paśye & parāśaktiprabhāvataḥ	Timu-ud-G8.18cd: tat samADi-sTitaf paSye & parASakti-praBAvataH
   TimUdgh8.19ab: nityayogarato yogī & tatkālasya na saṃśayaḥ //	Timu-udG8.19ab: nitya-yoga-rataH yogI & tad-kAlasya na saMSayaH //
   iti timirodghāṭane aṣṭamaḥ paṭalaḥ	iti timira-udGAwane azwamaH pawalaH
   %chapter 9: Śakti, guru	%CapteH 9: Śakti, guru
   devy uvāca	devI uvAca
   TimUdgh9.1ab: katham utpann<ā> parāśaktiḥ & trailokyavyāpinī kathaṃ	Timu-udG9.1ab: kaTam utpann<A> parASaktiH & trElokya-vyApinI kaTam
   %hyperm.	%hi-perm.
   TimUdgh9.1cd: dhyāyanti yoginā sarve & mokṣamārgapradāyakaḥ %em: yoginaḥ,	Ti-mu-ud-G9.1cd: DyAyanti yoginA sarve & mokza-mArga-pradAyakaH %em: yoginaH,
   pradāyakām bhairava uvāca	pradAyakAm BEravaH uvAca
   TimUdgh9.2ab: sarvadevamayī devi & sarvalokoparisthitaṃ	Timu-udG9.2ab: sarva-deva-mayI devi & sarva-loka-upari-sTitam
   TimUdgh9.2cd: sarvavyāpī anādī ca & sarvadeveṣu pūjitaṃ	Timu-ud-G9.2cd: sarva-vyApI anAdI ca & sarva-devezu pUjitam
   TimUdgh9.3ab: vyāptacaturdaśabhuvanā & brahmāṇ<ḍ>oparisaṃsthitaḥ	Timu-udG9.3ab: vyApta-caturdaSa-BuvanA & brahmAN<x>a-upari-saMsTitaH
   TimUdgh9.3cd: śivaśaktisa**ntu & sarvva[**rupāsyate] [[fol.35v]]	Timu-ud-G9.3cd: Siva-Sakti-sa**ntu & sarvu-a[**ru-pAsyate] [[fol.35v]]
   TimUdgh9.4ab: padmāsanopaviṣṭās tu & akṣasūtrakamaṇḍaluḥ	Timu-udG9.4ab: padma-Asana-upavizwAH tu & akzasUtra-kamaNxaluH
   TimUdgh9.4cd: jaṭāvakkaladhārī ca & brahmasyaivam upā**	Timu-ud-G9.4cd: jawA-vakkala-DArI ca & brahmasya-evam upA**
   TimUdgh9.5ab: ................................... *yogam upāsate	Timu-udG9.5ab: ................................... *yogam upAsate
   TimUdgh9.5cd: śaṅkhacakragadādhārī & viṣṇu hyevam upāsyate	Timu-udG9.5cd: SaFKa-cakra-gadA-DArI & vizNu hi-evam upAsyate
   TimUdgh9.6ab: tasmoddhūlitakhaṭvāṅgī & kapāl<ā>bharaṇojjvalā	Timu-udG9.6ab: tasma-udDUlita-KawvAFgI & kapAl<A>BaraNa-ujjvalA
   TimUdgh9.6cd: nagnarūpaja*dhārī & [ahaṃ hyeva] sulocane	Timu-ud-G9.6cd: nagna-rUpa-ja*DArI & [aham hi-eva] su-locane
   TimUdgh9.7ab: kiṃ nu paśyati suśrotre & nityāṃ tadgatamānasā	Timu-udG9.7ab: kim nu paSyati suSrotre & nityAm tad-gata-mAnasA
   TimUdgh9.7cd: dhyāyanti paramāśākti<ṃ> & brahmaviṣṇumaheśvaraḥ	Ti-mu-ud-G9.7cd: DyAyanti parama-aSAkti<M> & brahma-vizNu-maheSvaraH
   TimUdgh9.8ab: anye pi riṣayaḥ sarve & sadevāsurayoginaḥ \var{-yoginaḥ\lem	Timu-udG9.8ab: anye pi rizayaH sarve & sa-deva-asura-yoginaH \var{--yoginaH\lem
   \em; -yoginām \N}	\em; -yoginAm \N}
   TimUdgh9.8cd: devendracandrasūryādi & dhyāyanti paramā<ṃ> kalā<ṃ>	Timu-ud-G9.8cd: deva-indra-candra-sUrya-Adi & DyAyanti paramA<M> kalA<M>
   TimUdgh9.9ab: kiṃ nu devi purā pṛṣṭaḥ & dānavaiś ca mahābalaiḥ	Timu-udG9.9ab: kim nu devi purA pRzwaH & dAnavEH ca mahA-balEH
   TimUdgh9.9cd: [ni*]vā dānavai sarv & mama śaraṇa<ṃ> te gatā<ḥ>	Timu-ud-G9.9cd: [ni*]vAH dAnavE saru & mama SaraNa<M> te gatA<H>
   TimUdgh9.10ab: mayāpi dhyāyitā śakti & sarvvadevais tathaiva ca	Timu-udG9.10ab: mayA-api DyAyitA Sakti & sarvu-adevEH taTA-eva ca
   TimUdgh9.10cd: āgatā tatkṣaṇād eva & parāśaktimanā mayā	Timu-ud-G9.10cd: AgatA tad-kzaNAt eva & parASakti-manAH mayA
   TimUdgh9.11ab: *****pāyukto & paśya**mupāgatāḥ	Timu-udG9.11ab: *****pAyuktaH & paSya**m-upAgatAH
   TimUdgh9.11cd: tayā vyāptam idaṃ sarvvaṃ & trailokya<ṃ> sacarācaraṃ	Timu-udG9.11cd: tayA vyAptam idam sarvvam & trElokya<M> sacarAcaram
   TimUdgh9.12ab:	Timu-udG9.12ab:
   ta[sya..................................................th[i]tā	ta[sya..................................................T[i]tA
