   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   yatrārkāyitam indunā sarasijair aṅgārapuñjāyitaṃ	yatra-arkAyitam indunA sarasijEH aFgAra-puQjAyitam
   kruddhāyāṃ mayi nātha te kadalikākāṇḍair alātāyitam /	krudDAyAm mayi nATa te kadalikA-kANxEH alAtAyitam /
   kālo'nyaḥ khalu ko'pi so'mṛtamayo jāto viṣātmādhunā	kAlaH-anyaH Kalu kaH-api saH-amRta-mayaH jAtaH viza-AtmA-aDunA
   dhik tvāṃ dhūrta viniryadaśrur abalā mohaṃ rudantī gatā // ST_1.41b //	Dik tvAm DUrta viniryat-aSruH abalA moham rudantI gatAH // ST_1.41B //
   sārdhaṃ manorathaśatais tava dhūrta kāntā	sArDam manoraTa-SatEH tava DUrta kAntA
   saiva sthitā manasi kṛtrimabhāvaramyā /	sA-eva sTitA manasi kRtrima-BAva-ramyAH /
   asmākam asti na hi kaścid ihāvakāśas	asmAkam asti na hi kaScid iha-AvakASa-s
   tasmāt kṛtaṃ caraṇapātaviḍambanābhiḥ // ST_1.41c // (Skm 587, Pv 218)	tasmAt kRtam caraNa-pAta-vixambanABiH // ST_1.41t // (Skm 587, Pu 218)
   labdhāyatiḥ pragalbhā syāt samastaratikovidā /	labDAyatiH pragalBA syAt samasta-rati-kovidA /
   ākrāntanāyikā bāḍhaṃ virājadvibhramā yathā // ST_1.42 //	AkrAnta-nAyikAH bAXam virAjat-viBramAH yaTA // ST_1.42 //
   seyaṃ paraṅginī mṛṇālalatikām ādāya yasyāḥ priyo	sA-iyam paraFginI mRNAla-latikAm AdAya yasyAH priyaH-
   hāraṃ me kurute payodharataṭe pratyagratārārucam /	hAram me kurute payoDara-tawe pratyagra-tAra-arucam /
   bandhūkaṃ ca tad etad āli vidalad yat tena sīmantitaṃ	banDUkam ca tat etat Ali vidalat yat tena sImantitam
   sarvāśāvijigīṣupuṣpadhanuṣo bāṇaśriyaṃ dhāsyati // ST_1.42a //	sarva-ASA-vijigIzu-puzpa-DanuzaH bANa-Sriyam DAsyati // ST_1.42aH //
   yatra svedalavair alaṃ vlulitair vyālupyate candanaṃ	yatra sveda-lavEH alam vlulitEH vyAlupyate candanam
   svacchandair maṇitaiś ca yatra raṇitaṃ nihnūyate nūpuram /	svacCandEH maNitEH ca yatra raNitam nihnUyate nUpuram /
   yatrāyānty acireṇa sarvaviṣayāḥ kāmaṃ tadekāgratāṃ	yatra-AyAnti acireNa sarva-vizayAH kAmam tat-ekAgra-tAm
   sakhyas tatsurataṃ bhaṇāmi rataye śeṣā tu lokasthitiḥ // ST_1.42b //	saKyaH tat-suratam BaNAmi rataye SezA tu loka-sTitiH // ST_1.42B //
   svāmin bhaṅgurayālakaṃ satilakaṃ bhālaṃ vilāsin kuru	svAmin BaFgurayAlakam sa-tilakam BAlam vilAsin kuru
   prāṇeśa truṭitaṃ payodharataṭe hāraṃ punar yojaya /	prANeSa truwitam payoDara-tawe hAram punar yojaya /
   ity uktvā suratāvasānasukhitā sampūrṇacadnrānanā	iti uktvA surata-avasAna-suKitA sampUrNa-cadnrA-AnanA
   spṛṣṭā tena tatheti jātapulakā prāptā punar mohanam // ST_1.42c // (Skm	spRzwA tena taTA-iti jAta-pulakA prAptA punar mohanam // ST_1.42t // (Skm
   madhuravacanaiḥ sabhrūbhaṅgaiḥ kṛtāṅgulitarjanai	maDura-vacanEH sa-BrU-BaFgEH kRta-aFguli-tarjanE
   ralasavalitair aṅganyāsair mahotsavabandhubhiḥ /	rala-sa-valitEH aFganyAsEH mahA-utsava-banDuBiH /
   asakṛd asakṛt sphārasphārair apāṅgavilokitai	asakRt asakRt sPAra-sPArEH apAFga-vilokitE
   stribhuvanajaye sā pañceṣoḥ karoti sahāyatām // ST_1.42d // (Skm 509)	striBuvana-jaye sA paQca-izoH karoti sahAya-tAm // ST_1.42d // (Skm 509)
   nirākulā ratāv eṣā dravatīva priyāṅgake /	nirAkulAH ratO ezA dravati-iva priya-aFgake /
   ko'yaṃ kāsmi rataṃ kiṃ vā na vetti ca rasād yathā // ST_1.43 //	kaH-ayam kA-asmi ratam kim vA na vetti ca rasAt yaTA // ST_1.43 //
   dhanyās tāḥ sakhi yoṣitaḥ priyatame sarvāṅgalagne'pi yāḥ	DanyAH tAH saKi yozitaH priyatame sarva-aFga-lagne-api yAH
   prāgalbhyaṃ prathayanti mohanavidhāv ālambya dhairyaṃ mahat /	prAgalByam praTayanti mohana-viDO Alambya DEryam mahat /
   asmākaṃ tu tadīyapāṇikamale'py unmocayaty aṃśukaṃ	asmAkam tu tadIya-pANi-kamale-api unmocayati aMSukam
   ko'yaṃ kā vayam atra kiṃ nu surataṃ naiva smṛtir jāyate // ST_1.43a //	kaH-ayam kA vayam atra kim nu suratam na-eva smRtiH jAyate // ST_1.43aH //
   kṛtadoṣe'pi sādhīrā tasmin nādriyate ruṣā /	kRta-doze-api sADIrA tasmin na-Adriyate ruzA /
   ākārasaṃvṛtiṃ cāpi kṛtvodāste ratau yathā // ST_1.44 //	AkAra-saMvRtim ca-api kRtvA-udAH-te ratO yaTA // ST_1.44 //
   yad vācaḥ pracuropacāracaturā yat sādaraṃ dūrataḥ	yat vAcaH pracura-upacAra-caturA yat sa-Adaram dUratas-
   pratyutthānam idaṃ svahastanihitaṃ yadbhinnam apy āsanam /	pratyutTAnam idam sva-hasta-nihitam yat-Binnam api Asanam /
   utpaśyāmi yad evam eva ca muhur dṛṣṭiṃ sakhīsaṃmukhīṃ	utpaSyAmi yat evam eva ca muhur dRzwim saKI-saMmuKIm
   tac chaṅke tava paṅkajākṣi balavān ko'py aprasādo mayi // ST_1.44a //	tat SaFke tava paFkaja-akzi balavAn kaH-api aprasAdaH mayi // ST_1.44aH //
   yat pāṇir na nivārito nivasanagranthiṃ saumudgranthaya	yat pANiH na nivAritaH nivasana-granTim sOmudgranTaya
   nbhrūbhedo na kṛto manāg api muhur yatkhaṇḍyamāne'dhare /	nBrU-BedaH na kRtaH manAk api muhur yat-KaNxyamAne-aDare /
   yan niḥśaṅkam ivārpitaṃ vapur aho patyuḥ samāliṅgane	yat niHSaFkam iva-arpitam vapuH aho patyuH samAliFgane
   māninyā kathito'nukūlavidhinā tenaiva manyur mahān // ST_1.44b //	mAninyA kaTitaH-anukUla-viDinA tena-eva manyuH mahAn // ST_1.44B //
   madhyā pratibhinatty enaṃ solluṇṭhaṃ sādhubhāṣitaiḥ /	maDyA pratiBinatti enam sa-ulluNWam sADu-BAzitEH /
   adhīrā puruṣair hanti santarjya dayitaṃ yathā // ST_1.45 //	aDIrA puruzEH hanti santarjya dayitam yaTA // ST_1.45 //
   kṛtaṃ mithyājalpair virama viditaṃ kāmuka cirāt	kRtam miTyA-jalpEH virama viditam kAmuka cirAt-
   priyāṃ tām evoccair abhisara yadīyair nakhapadaiḥ /	priyAm tAm eva-uccEs aBisara yadIyEH naKa-padEH /
   vilāsaiś ca prāptaṃ tava hṛdi padaṃ ragabahulair	vilAsEH ca prAptam tava hRdi padam raga-bahulEH-
   mayā kiṃ te kṛtyaṃ dhruvam akuṭilācāraparayā // ST_1.45a //	mayA kim te kRtyam Druvam akuwila-AcAra-parayA // ST_1.45aH //
   sā bāḍhaṃ bhavatekṣiteti niviḍaṃ saṃyamya bāhvoḥ srajā	sA bAXam BavatA-IkzitA-iti nivixam saMyamya bAhvoH srajA
   bhūyo drakṣyasi tāṃ śaṭheti dayitaṃ saṃtarjya saṃtarjya ca /	BUyas drakzyasi tAm SaWa-iti dayitam saMtarjya saMtarjya ca /
   ālīnāṃ pura eva nihnutiparaḥ kopād raṇannūpuraṃ	AlInAm puras eva nihnuti-paraH kopAt raNat-nUpuram
   māninyā caraṇaprahāravidhinā preyān aśokīkṛtaḥ // ST_1.45b //	mAninyA caraNa-prahAra-viDinA preyAn aSokIkRtaH // ST_1.45B //
   ekākārā matā mugdhā punarbhūś ca yato'nayoḥ /	eka-AkArA matA mugDA punarBUH ca yatas-anayoH /
   atisūkṣmatayā bhedaḥ kavibhir na pradarśitaḥ // ST_1.46 //	ati-sUkzma-tayA BedaH kaviBiH na pradarSitaH // ST_1.46 //
   madhyā punaḥ pragalbhā ca dvidhā sā paribhidyate /	maDyA punar pragalBA ca dviDA sA pariBidyate /
   ekā jyeṣṭhā kaniṣṭhānyā nāyakapraṇayaṃ prati // ST_1.47 //	ekA jyezWA kanizWA-anyA nAyaka-praNayam prati // ST_1.47 //
   uparodhāt tathā snehāt sānurāgo'pi nāyakaḥ /	uparoDAt taTA snehAt sa-anurAgaH-api nAyakaH /
   ceṣṭate tāṃ prati prāyaḥ kalāsu kuśalo yathā // ST_1.48 //	cezwate tAm prati prAyas kalAsu kuSalaH yaTA // ST_1.48 //
   tvadakṣiṇī kuvalayabuddhir atyalī	tvadakziNI kuvalaya-budDiH atyalI
   ruṇadhmy ahaṃ tad iti nimīya locane /	ruNaDmI aham tat iti nimIya locane /
   tato bhṛśaṃ pulakitagaṇḍamaṇḍalāṃ	tatas BRSam pulakita-gaNxa-maNxalAm
   yuvā parāṃ nibhṛtam acumbad aṅganām // ST_1.48a //	yuvA parAm niBRtam acumbat aFganAm // ST_1.48aH //
   sampattau ca vipattau ca maraṇe'pi na muñcati /	sampattO ca vipattO ca maraNe-api na muQcati /
   yā svīyā tāṃ prati prema jāyate puṇyakāriṇaḥ // ST_1.49 //	yA svIyA tAm prati prema jAyate puNya-kAriNaH // ST_1.49 //
   anyadīyā dvidhā proktā kanyoḍhā ceti te priye	anyadIyA dviDA proktA kanyA-UXA ca-iti te priye
   darśanāc chravaṇād vāpi kāmārte bhavato yathā // ST_1.50 //	darSanAt SravaNAt vA-api kAma-Arte BavataH yaTA // ST_1.50 //
   kim api lalitaiḥ snigdhaiḥ kiñcit kim apy atikuñcitaiḥ	kim api lalitEH snigDEH kiQcid kim api ati-kuQcitEH
   kim api valitaiḥ kandarpeṣūn hasadbhir ivekṣaṇaiḥ /	kim api valitEH kandarpa-izUn hasadBiH iva-IkzaNEH /
   abhimatamukhaṃ vīkṣāṃ cakre navāṅganayā tathā	aBimata-muKam vIkzAm cakre nava-aFganayA taTA
   lalitakuśalo'py ālīloko yathātivisismaye // ST_1.50a //	lalita-kuSalaH-api AlIlokaH yaTA-ati-visismaye // ST_1.50aH //
   niśamayya bahir manoharaṃ svaram aikṣiṣṭa tathāparā yā /	niSamayya bahis manoharam svaram Ekzizwa taTA-aparA yA /
   tilamātrakam apy abhūn nahi śraveṇendīvaralocanānantaram // ST_1.50b //	tila-mAtrakam api aBUt na-hi SraveNa-indIvara-locana-anantaram // ST_1.50B //
   kasyāścit subhaga iti śrutaś ciraṃ yas taṃ	kasyAScid suBagaH iti SrutaH ciram yaH tam
   dṛṣṭvādhigatarater nirmīlitākṣyāḥ /	dRzwvA-aDigata-rateH nirmIlita-akzyAH /
   nispandaṃ vapur avalokya sauvidallāḥ	nispandam vapuH avalokya sOvidallAH
   santepur vidhuradhiyo niśāntavadhvāḥ // ST_1.50c //	santepuH viDuraDiyaH niSAnta-vaDvAH // ST_1.50t //
   kārśyajāgaratāpānyaḥ karoti śruto'py alam /	kArSya-jAgara-tApAnyaH karoti SrutaH-api alam /
   tam eva durlabhaṃ kāntaṃ cetaḥ kasmād didṛkṣase // ST_1.50d //	tam eva durlaBam kAntam cetaH kasmAt didRkzase // ST_1.50d //
   sākṣāc citre tathā svapne tasya syād darśanaṃ tridhā /	sAkzAt citre taTA svapne tasya syAt darSanam triDA /
   deśe kāle ca bhaṅgyā ca śravaṇaṃ cāsya tad yathā // ST_1.51 //	deSe kAle ca BaFgyA ca SravaNam ca-asya tat yaTA // ST_1.51 //
   satyaṃ santi gṛhe gṛhe priyatamā yeṣāṃ bhujāliṅgana	satyam santi gRhe gRhe priyatamAH yezAm Buja-AliFgana
   vyāpārocchaladacchamohanajalā jāyanta eṇīdṛśaḥ /	vyApAra-ucCaladacCa-mohana-jalAH jAyante eNi-IdRSaH /
   preyān ko'py aparo'yam atra sukṛtī dṛṣṭe'pi yasmin vapuḥ	preyAn kaH-api aparaH-ayam atra sukRtI dRzwe-api yasmin vapuH
   svedojjṛmbhaṇakampasādhvasamukhaiḥ prāpnoti kāñcid dṛśām // ST_1.51a //	sveda-ujjRmBaNa-kampa-sADvasa-muKEH prApnoti kAQcid dRSAm // ST_1.51aH //
   citraṃ citragato'py eṣa mamāli madanopamaḥ /	citram citra-gataH-api eza mama-ali madana-upamaH /
   samunmūlya balāl lajjām utkaṇṭhayati mānasam // ST_1.51b // (Skm 944)	samunmUlya balAt lajjAm utkaNWayati mAnasam // ST_1.51B // (Skm 944)
   mugdhā svapnasamāgate priyatame tatpāṇisaṃsparśanā	mugDA svapna-samAgate priyatame tad-pANi-saMsparSanA
   dromāñcārcitayā śarīralatayā saṃsūcya kopāt kila /	dromAQca-arcitayA SarIra-latayA saMsUcya kopAt kila /
   mā māṃ vallabha saṃspṛśeti sahasā śūnyaṃ vadantī muhuḥ	mA mAm vallaBa saMspRSa-iti sahasA SUnyam vadantI muhur-
   sakhyā no hasitā sacintam asakṛt saṃśocitā pratyuta // ST_1.51c //	saKyA naH hasitA sa-cintam asakRt saMSocitA pratyuta // ST_1.51t //
   sphārasphuratpradīpaṃ saudhaṃ madhu sotpalaṃ kalaṃ gītam /	sPAra-sPurat-pradIpam sODam maDu sa-utpalam kalam gItam /
   priyasakhi sakalam idaṃ tava saphalaṃ khalu yadi bhavet so'tra // ST_1.51d	priya-saKi sakalam idam tava saPalam Kalu yadi Bavet saH-atra // ST_1.51d
   vikasati kairavanikare sarati ca sarasīsamīraṇo sutanu /	vikasati kErava-nikare sarati ca sarasI-samIraNaH su-tanu /
   cambaty ambaram indau tava tena vinā ratiḥ kīdṛk // ST_1.51e //	cambati ambaram indO tava tena vinA ratiH kIdRS // ST_1.51e //
   ajananir astu dṛśos tava kucayor abhavaniralaṃ bhavatu /	ajananiH astu dRSoH tava kucayoH aBava-niralam Bavatu /
   yadi dṛśyate na sa yuvā nirbharam āliṅgyate no vā // ST_1.51f //	yadi dRSyate na sa yuvA nirBaram AliFgyate naH vA // ST_1.51f //
   draṣṭuṃ vaktuṃ ca no kanyā raktā śaknoty amuṃ sphuṭam /	drazwum vaktum ca no kanyA raktA Saknoti amum sPuwam /
   paśyantam abhijalpantaṃ vivikte'pi hriyā yathā // ST_1.52 //	paSyantam aBijalpantam vivikte-api hriyAH yaTA // ST_1.52 //
   kāmaṃ na paśyati didṛkṣata eva bhūmnā	kAmam na paSyati didRkzate eva BUmnA
   noktāpi jalpati vivakṣati cādareṇa /	na-uktA-api jalpati vivakzati ca-AdareNa /
   lajjāsmaravyatikareṇa mano'dhināthe	lajjA-asmara-vyatikareNa manaH-aDinATe
   bālā rasāntaram idaṃ lalitaṃ bibharti // ST_1.52a //	bAlA rasa-antaram idam lalitam biBarti // ST_1.52aH //
   vijñātanāyikācittā sakhī vadati nāyakam /	vijQAta-nAyikA-cittA saKI vadati nAyakam /
   nāyako vā sakhīṃ tasyāḥ premābhivyaktaye yathā // ST_1.53 //	nAyakaH vA saKIm tasyAH prema-aBivyaktaye yaTA // ST_1.53 //
   kaṇṭakitatanuśarīrā lajjāmukulāyamānanayaneyam /	kaNwakita-tanu-SarIrAH lajjA-mukulAyamAna-nayanA-iyam /
   tava kumudinīva vāñchati nṛcandra bālā karaspṛśam // ST_1.53a //	tava kumudinI-iva vAQCati nR-candra bAlA kara-spRSam // ST_1.53aH //
   santāpayanti śiśirāṃśuruco yad ete	santApayanti SiSirAMSu-rucaH yat ete
   saṃmohayanti ca vinidrasarojavātāḥ /	saMmohayanti ca vinidra-saroja-vAtAH /
   yat khidyate tanur iyaṃ ca tad eṣa doṣaḥ	yat Kidyate tanuH iyam ca tat eza dozaH
   sakhyās tavaiva sutanu pracuratrapāyāḥ // ST_1.53b //	saKyAH tava-eva su-tanu pracuratrapAyAH // ST_1.53B //
   apaśyantaṃ ca sā kāntaṃ sphāritākṣī nirīkṣyate /	apaSyantam ca sA kAntam sPArita-akzI nirIkzyate /
   dūrād ālokayaty eva sakhīṃ svajani nirbharam // ST_1.54 //	dUrAt Alokayati eva saKIm sva-jani nirBaram // ST_1.54 //
   nirnimittaṃ hasantī ca sakhīṃ vadati kiṃcana /	nirnimittam hasantI ca saKIm vadati kiMcana /
   savyājaṃ sundaraṃ kiñcid gātram āviṣkaroti ca // ST_1.55 //	sa-vyAjam sundaram kiQcid gAtram Avizkaroti ca // ST_1.55 //
   sakhyādi sthāpitāṃ mālāṃ kāñcyādi racayet punaḥ /	saKi-Adi sTApitAm mAlAm kAQcI-Adi racayet punar /
   ceṣṭāṃ ca kurute ramyām aṅgabhaṅgaiḥ śubhair yathā // ST_1.56 //	cezwAm ca kurute ramyAm aFga-BaFgEH SuBEH yaTA // ST_1.56 //
   abhimukhagate yasminn eva priye bahuśo vada	aBimuKa-gate yasmin eva priye bahuSas vada
   tyavanatamukhaṃ tūṣṇīm eva sthitaṃ mṛganetrayā /	tyavanata-muKam tUzNIm eva sTitam mRga-netrayA /
   atha kila valallīlālokaṃ sa eṣa tathekṣitaḥ	aTa kila valat-lIlA-lokam saH eza taTA-IkzitaH
   katham api yathā dṛṣṭā manye kṛtaṃ śrutilaṅghanam // ST_1.56a // (Skm 957)	kaTam api yaTA dRzwAH manye kRtam Sruti-laFGanam // ST_1.56aH // (Skm 957)
   tiryagvartitagātrayaṣṭiviṣamodvṛttastanāsphālana	tiryak-vartita-gAtra-yazwi-vizama-udvRtta-H-tana-AsPAlana
   truṭyanmauktikamālayā sapulakasvedollasadgaṇḍayā /	truwyat-mOktika-mAlayA sa-pulaka-sveda-ullasat-gaNxayA /
   dūrād eva vilokayety abhimate tad vaktradattekṣaṇaṃ	dUrAt eva vilokaya-iti aBimate tat vaktra-datta-IkzaNam
   durvārasmarayā tayā sahacarī gāḍhaṃ samāliṅgitā // ST_1.56b // (Skm 956)	durvAra-smarayA tayA sahacarI gAXam samAliFgitAH // ST_1.56B // (Skm 956)
   animittaṃ yad vihasati niṣkāraṇam eva yat sakhīṃ vadati /	animittam yat vihasati nizkAraNam eva yat saKIm vadati /
   dayitaṃ vilokya tad iyaṃ śaṃsati tad adhīnam ātmānam // ST_1.56c //	dayitam vilokya tat iyam SaMsati tat aDInam AtmAnam // ST_1.56t //
   prāduṣyadrujamūlakāntilalitām udyamya dorvallarīṃ	prAduzyat-ruja-mUla-kAnti-lalitAm udyamya dos-vallarIm
   valgatpīnapayodharasthalalulanmuktāvalīsundaram /	valgat-pIna-payoDara-sTa-lalulat-muktA-AvalI-sundaram /
   aṅgulyā pracalatkarāgravalayasvānopahūtasmaraṃ	aFgulyA pracalat-kara-agra-valaya-svAna-upahUta-smaram
   tanvyāḥ kuñcitalocanaṃ vijayate tatkarṇakaṇḍūyanam // ST_1.56d //	tanvyAH kuQcita-locanam vijayate tad-karNa-kaNxUyanam // ST_1.56d //
   sraho'vataṃsaṃ raśanāṃ ca kiñcit	srahaH-avataMsam raSanAm ca kiQcid-
   priyaṃ samālokya samāsajantī /	priyam samAlokya samAsajantI /
   punastarāṃ sā suhṛdo dadāti	punastarAm sA suhRdaH dadAti
   pratyaṅgam āvāsam iva smarasya // ST_1.57 //	pratyaFgam AvAsam iva smarasya // ST_1.57 //
   vyājṛmbhaṇonnamitadantamayūkhajāla	vyAjRmBaNa-unnamita-danta-mayUKa-jAla
   vyālambimauktikaguṇaṃ ramaṇe mudeva /	vyAlambi-mOktika-guNam ramaNe mudA-iva /
   ūrdhvaṃ miladbhujalatāvalayaprapañca	UrDvam milat-Buja-latA-valaya-prapaQca
   sattoraṇaṃ hṛdi viśaty aparā vyudāse // ST_1.57a // (Skm 958)	sat-toraNam hRdi viSati aparA vyudAse // ST_1.57aH // (Skm 958)
   anyoḍhāpi karoty eva sarvam uddhatamanmathā /	anyoXA-api karoti eva sarvam udData-manmaTA /
   duravasthā punaḥ kāntam abhiyuṅkte svayaṃ yathā // ST_1.58 //	duravasTA punar kAntam aBiyuFkte svayam yaTA // ST_1.58 //
   ullaṅghyāḸ sakhīvacaḥ samucitām utsṛjya lajjām alaṃ	ullaFGyAḸ saKI-vacaH samucitAm utsRjya lajjAm alam
   hitvā bhītibharaṃ nirasya ca nijaṃ saubhāgyagarvaṃ manāk /	hitvA BIti-Baram nirasya ca nijam sOBAgya-garvam manAk /
   ājñāṃ kevalam eva manmathaguror ādāya nūnaṃ mayā	AjQAm kevalam eva manmaTa-guroH AdAya nUnam mayA
   tvaṃ niḥśeṣavilāsivargagaṇanācūḍāmaṇe saṃśritaḥ // ST_1.a //	tvam niHSeza-vilAsi-varga-gaNanA-cUxAmaNe saMSritaH // ST_1.aH //
   cakṣur mīlati sānandaṃ nitambaḥ prasravaty api /	cakzuH mIlati sa-Anandam nitambaH prasravati api /
   vepate ca tanus tanvī tasyās taddarśane yathā // ST_1.59 //	vepate ca tanuH tanvI tasyAH tad-darSane yaTA // ST_1.59 //
   mīlan mantharacakṣuṣā paripatat kāñcīgrahavyagrayā	mIlan manTara-cakzuzA paripatat kAQcI-graha-vyagrayA
   gāḍānanṅgabharasravatravanayā kampoparuddhāṅgayā /	gAxa-an-anFga-Bara-sravatra-vanayA kampa-uparudDa-aFgayA /
   sarvāṅgaṃ caṭukārako'py abalayā saṅketake kautukā	sarva-aFgam cawu-kArakaH-api abalayA saFketake kOtukA
   dāstāṃ rantum aho nirīkṣitum api preyān na sambhāvitaḥ // ST_1.59a //	dAstAm rantum aho nirIkzitum api preyAt na samBAvitaH // ST_1.59aH //
   nābhiyuṅkte svayaṃ kantyā mugdhatvād duḥsthitāpi tam /	na-aBiyuFkte svayam kantyA mugDa-tvAt duHsTitA-api tam /
   tadavasthāṃ tu kāntāya tatsakhī kathayed yathā // ST_1.60 //	tad-avasTAm tu kAntAya tad-saKI kaTayet yaTA // ST_1.60 //
   niḥśvāseṣu skhalati kadalībījanaṃ tāpasampa	niHSvAsezu sKalati kadalI-bIjanam tApa-sampa
   nnetrāmbhobhiś cham iti patitaiḥ sicyate ca stanāntaḥ /	nnetra-amBoBiH Cam iti patitEH sicyate ca stanAntaH /
   tasyāḥ kiñcit subhaga tad abhūt tānavaṃ tvadviyoge	tasyAH kiQcid suBaga tat aBUt tAnavam tvad-viyoge
   yenākasmād valayapadavīm aṅgulīyaṃ prayāti // ST_1.60a //	yena-akasmAt valaya-padavIm aFgulIyam prayAti // ST_1.60aH //
   ananyaśaraṇā svīyā dhanāhāryā parāṅganā /	ananya-SaraNA svIyA Dana-AhAryA para-aFganAH /
   asyās tu kevalaṃ prema tenaiṣā rāgiṇāṃ matā // ST_1.61 //	asyAH tu kevalam prema tena-ezA rAgiNAm matA // ST_1.61 //
   sāmānyā vanitā veśyā sā dravyaṃ param icchati /	sAmAnyA vanitA veSyA sA dravyam param icCati /
   nirguṇe'pi na vidveṣo na rāgo'syā guṇiny api // ST_1.62 //	nirguNe-api na vidvezaH na rAgaH-asyAH guNini api // ST_1.62 //
   tatsvarūpam idaṃ proktaṃ kaiścid brūmo vayaṃ punaḥ /	tad-svarUpam idam proktam kEScid brUmaH vayam punar /
   varṇayanty anayā yuktyā tāsām apy anurāgitām // ST_1.63 //	varNayantI anayA yuktyA tAsAm api anurAgitAm // ST_1.63 //
   śṛṅgārābhāsa etāsu na śṛṅgāraḥ kadācana /	SRFgAra-ABAsaH etAsu na SRFgAraH kadAcana /
   tadvyāpāro'thavā tāsāṃ smaraḥ kiṃ bhakṣito bakaiḥ // ST_1.64 //	tat-vyApAraH-aTavA tAsAm smaraH kim BakzitaH bakEH // ST_1.64 //
   tasmāt tāsām api kvāpi rāgaḥ syāt kiṃ nu sarvathā /	tasmAt tAsAm api kvApi rAgaH syAt kim nu sarvaTA /
   dhanārthaṃ kṛtrimair bhāvair grāmyaṃ vyāmohayanti tāḥ // ST_1.65 //	Dana-arTam kRtrimEH BAvEH grAmyam vyAmohayanti tAH // ST_1.65 //
   liṅgī pracchannakāmaś ca naraṃmanyaś ca ṣaṇḍakaḥ /	liFgI pracCanna-kAmaH ca naraMmanyaH ca zaNxakaH /
   sukhaprāptadhano mūrkhaḥ pitṛvittena garvitaḥ // ST_1.66 //	suKa-prApta-DanaH mUrKaH pitR-vittena garvitaH // ST_1.66 //
   ity ādīn prathamaṃ grāmyān jñātvākṛṣya ca taddhanam /	iti AdIn praTamam grAmyAn jQAtvA-AkRzya ca tad-Danam /
   apūrvā iva muñcanti tān etās tāpayanti ca // ST_1.67 //	apUrvAH iva muQcanti tAn etAH tApayanti ca // ST_1.67 //
   kintu tāsāṃ kalākeli- kuśalānāṃ manoramam /	kintu tAsAm kalA-keli kuSalAnAm manoramam /
   vismāritāparastrīkaṃ surataṃ jāyate yathā // ST_1.68 //	vismArita-apara-strIkam suratam jAyate yaTA // ST_1.68 //
   gāḍhāliṅganapīḍitastanataṭaṃ svidyatkapolasthalaṃ	gAXa-AliFgana-pIxita-stana-tawam svid-yat-kapola-sTalam
   sandaṣṭādharamuktasītkṛtam atibhrāmyadbhrunṛtyatkaram /	sandazwADara-mukta-sItkRtam atiBrAmyat-BrunRtyat-karam /
   cāṭuprāyavacovicitrabhaṇitair yātai rutaiś cāṅkitaṃ	cAwu-prAya-vacaH-vicitra-BaNitEH yAtEH rutEH ca-aFkitam
   veśyānāṃ dhṛtidhāma puṣpadhanuṣaḥ prāpnoti dhanyo ratam // ST_1.68a //	veSyAnAm DRti-DAma puzpa-DanuzaH prApnoti DanyaH ratam // ST_1.68aH //
   īrṣyā kulastrīṣu na nāyakasya	IrzyA kula-strIzu na nAyakasya
   niḥśaṅkakelir na parāṅganāsu /	niHSaFka-keliH na para-aFganAsu /
   veśyāsu caitad dvitayaṃ prarūḍhaṃ	veSyAsu ca-etat dvitayam prarUXam
   sarvasvam etās tad aho smarasya // ST_1.69 // (Skm 556)	sarva-svam etAH tat aho smarasya // ST_1.69 // (Skm 556)
   kupyat pinākinetrāgni- jvālābhasmīkṛtaḥ purā /	kupyat pinAki-netra-agni jvAlA-BasmIkRtaH purA /
   ujjīvati punaḥ kāmo manye veśyāvalokitaiḥ // ST_1.70 // (Skm 557)	ujjIvati punar kAmaH manye veSyA-avalokitEH // ST_1.70 // (Skm 557)
   ānandayanti yuktyā tāṃ sevitā ghnanti cānyathā /	Anandayanti yuktyA tAm sevitAH Gnanti ca-anyaTA /
   durvijñeyāḥ prakṛtyaiva tasmād veśyā viṣopamāḥ // ST_1.71 //	durvijQeyAH prakRtyA-eva tasmAt veSyAH viza-upamAH // ST_1.71 //
   svādhīnapatikotkā ca tathā vāsakasajjikā /	svADInapatika-utkA ca taTA vAsaka-sajjikA /
   sandhitā vipralabdhā ca khaṇḍitā cābhisārikā // ST_1.72 //	sanDitA vipralabDA ca KaNxitA ca-aBisArikAH // ST_1.72 //
   proṣitapreyasī caivaṃ nāyikāḥ pūrvasūcitāḥ /	prozita-preyasI ca-evam nAyikAH pUrva-sUcitAH /
   tā evātra bhavanty aṣṭāv avasthābhiḥ punar yathā // ST_1.73 //	tAH eva-atra Bavanti azwO avasTABiH punar yaTA // ST_1.73 //
   yasyā ratiguṇākṛṣṭaḥ patiḥ pārśvaṃ na muñcati /	yasyAH rati-guNa-AkRzwaH patiH pArSvam na muQcati /
   vicitravibhramāsaktā svādhīnapatikā yathā // ST_1.74 //	vicitra-viBrama-AsaktA svADIna-patikAH yaTA // ST_1.74 //
   likhati kucayoḥ patraṃ kaṇṭhe niyojayati srajaṃ	liKati kucayoH patram kaNWe niyojayati srajam
   tilakam alike kurvan gaṇḍād udasyati kuntalān /	tilakam alike kurvan gaNxAt udasyati kuntalAn /
