   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   saṃbhrāntamāruhya ca tadvimānaṃ tāṃ strī sabāṣpā giramityuvāca //	saMBrAntam-Aruhya ca tat-vimAnam tAm strI sa-bAzpA giram-iti-uvAca //
   Saund_6.20 //	SOnd-_6.20 //
   yuvāpi tāvat priyadarśano 'pi saubhāgyabhāgyābhijanānvito 'pi /	yuvA-api tAvat priya-darSanaH api sOBAgya-BAgya-aBijana-anvitaH api /
   yastvāṃ priyo nābhyacarat kadācittamanyathā yāsyatikātarāsi // Saund_6.21	yaH-tvAm priyaH na-aByacarat kadAcid-tam-anyaTA yAsi-ati-kAtara-asi // SOnd_6.21
   mā svāminaṃ svāmini doṣato gāḥ priyaṃ priyārhaṃ priyakāriṇaṃ tam /	mA svAminam svAmini dozataH gAH priyam priya-arham priya-kAriNam tam /
   na sa tvadanyāṃ pramadāmavaiti svacakravākyā iva cakravākaḥ // Saund_6.22	na sa tvad-anyAm pramadAm-avEti sva-cakra-vAkyAH iva cakravAkaH // SOnd_6.22
   sa tu tvadarthaṃ gṛhavāsamīpsan jijīviṣustvatparitoṣahetoḥ /	sa tu tvad-arTam gRha-vAsam-Ipsan jijIvizuH-tvad-paritoza-hetoH /
   bhrātrā kilāryeṇa tathāgatena pravrājito netrajalārdravaktraḥ //	BrAtrA kila-AryeNa taTAgatena pravrAjitaH netra-jala-Ardra-vaktraH //
   Saund_6.23 //	SOnd-_6.23 //
   śrutvā tato bhartari tāṃ pravṛttiṃ savepathuḥ sā sahasotpapāt /	SrutvA tatas Bartari tAm pravRttim sa-vepaTuH sA sahasA-utpapAt /
   pragṛhya bāhū virurāva coccairhṛdīva digdhābhihata kareṇuḥ // Saund_6.24	pragRhya bAhU virurAva ca-uccEs-hRdi-iva digDA-aBihata kareNuH // SOnd_6.24
   sā rodanāroṣitaraktadṛṣṭiḥ saṃtāpasaṃkṣobhitagātrayaṣṭiḥ /	sA rodana-Arozita-rakta-dRzwiH saMtApa-saMkzoBita-gAtra-yazwiH /
   papāta śīrṇākulahārayaṣṭiḥ phalātibhārādiva cūtayaṣṭiḥ // Saund_6.25 //	papAta SIrNa-Akula-hAra-yazwiH Pala-atiBArAt-iva cUta-yazwiH // SOnd-_6.25 //
   sā padmarāgaṃ vasanaṃ vasānā padmānanā padmadalāyatākṣī /	sA padmarAgam vasanam vasAnA padma-AnanA padma-dala-Ayata-akzI /
   padmā vipadmā patiteva lakṣmīḥ śuśoṣa padmasragivātapena // Saund_6.26 //	padmA vipadmA patitA-iva lakzmIH SuSoza padma-sraj-iva-Atapena // SOnd-_6.26 //
   saṃcintya sacintya guṇāṃśca bharturdīrghaṃ niśaśvāsa tatāma caiva /	saMcintya sa-cintya guNAn=-ca BartuH-dIrGam niSaSvAsa tatAma ca-eva /
   vibhūṣaṇaśrīnihite prakoṣṭhe tāmre karāgre ca vinirdudhāva // Saund_6.27	viBUzaNa-SrI-nihite prakozWe tAmre kara-agre ca vinirduDAva // SOnd_6.27
   na bhūṣaṇārtho mama saṃpratīti sā dikṣu cikṣepa vibhūṣaṇāni /	na BUzaNa-arTaH mama saMprati-iti sA dikzu cikzepa viBUzaNAni /
   nirbhūṣaṇā sā patitā cakāśe viśīrṇapuṣpastabakā lateva // Saund_6.28 //	nirBUzaNA sA patitA cakASe viSIrNa-puzpa-stabakAH latA-iva // SOnd-_6.28 //
   dhṛtaḥ priyeṇāyamabhūnmameti rukmatsaruṃ darpaṇamāliliṅge /	DRtaH priyeNa-ayam-aBUt-mama-iti rukma-tsarum darpaNam-AliliFge /
   yatnācca vinyastatamālapatrau ruṣṭeva dhṛṣṭaṃ pramamājaṃ gaṇḍau //	yatnAt-ca vinyasta-tamAla-patrO ruzwA-iva DRzwam pramamAjam gaNxO //
   Saund_6.29 //	SOnd-_6.29 //
   sā cakravākīva bhṛśaṃ cukūja śyenāgrapakṣakṣatacakravākā /	sA cakravAkI-iva BRSam cukUja Syena-agra-pakza-kzata-cakravAkAH /
   vispardhamāneva vimānasaṃsthaiḥ pārāvataiḥ kūjanalolakaṇṭhaiḥ //	visparDamAnA-iva vimAna-saMsTEH pArAvatEH kUjana-lola-kaNWEH //
   Saund_6.30 //	SOnd-_6.30 //
   vicitramṛdvāstaraṇe 'pi suptā vaiḍūryavajrapratimaṇḍite 'pi /	vicitra-mRdu-AstaraNe api suptA vExUrya-vajra-pratimaNxite api /
   rukmāṅgapāde śayane mahārhe na śarma lebhe pariceṣṭamānā // Saund_6.31 //	rukma-aFga-pAde Sayane mahArhe na Sarma leBe paricezwamAnAH // SOnd-_6.31 //
   sandṛśya bhartuśca vibhūṣaṇāni vāsāṃsi vīṇāprabhṛtīṃśca līlāḥ /	sandRSya BartuH-ca viBUzaNAni vAsAMsi vINA-praBRtIn=-ca lIlAH /
   tamo viveśābhinanāda coccaiḥ paṅkāvatīrṇeva ca saṃsasāda // Saund_6.32 //	tamaH viveSa-aBinanAda ca-uccEs paFka-avatIrNA-iva ca saMsasAda // SOnd-_6.32 //
   sā sundarī śvāsacalodarī hi vajrāgnisaṃbhinnadarīguheva /	sA sundarI SvAsa-cala-udarI hi vajra-agni-saMBinna-darI-guhA-iva /
   śokāgnināntarhṛdi dahyamānā vibhrāntacitteva tadā babhūva // Saund_6.33 //	Soka-agninA-antar-hRdi dahyamAnAH viBrAnta-cittA-iva tadA baBUva // SOnd-_6.33 //
   ruroda mamlau virurāva jaglau babhrāma tasthau vilalāpa dadhyau /	ruroda mamlO virurAva jaglO baBrAma tasTO vilalApa daDyO /
   cakāra roṣaṃ vicakāra mālyaṃ cakarta vaktraṃ vicakarṣa vastram //	cakAra rozam vicakAra mAlyam cakarta vaktram vicakarza vastram //
   Saund_6.34 //	SOnd-_6.34 //
   tāṃ cārudantīṃ prasabhaṃ rudantīṃ saṃśrutya nāryaḥ paramābhitaptāḥ /	tAm cAru-dantIm prasaBam rudantIm saMSrutya nAryaH parama-aBitaptAH /
   antargṛhādāruruhurvimānaṃ trāsena kinnarya ivādripṛṣṭham // Saund_6.35 //	antargRhAt-AruruhuH-vimAnam trAsena kinnaryaH iva-adri-pRzWam // SOnd-_6.35 //
   bāṣpeṇa tāḥ klinnaviṣaṇṇavaktrā varṣeṇa padminya ivārdrapadmāḥ /	bAzpeNa tAH klinna-vizaNNa-vaktrAH varzeNa padminyaH iva-Ardra-padmAH /
   sthānānurūpeṇa yathābhimānaṃ nililyire tāmanudahyamānāḥ // Saund_6.36 //	sTAna-anurUpeNa yaTA-aBimAnam nililyire tAm-anudahyamAnAH // SOnd-_6.36 //
   tābhirvṛtā harmyatale 'ṅganābhiścintātanuḥ sā sutanurbabhāse /	tABiH-vRtA harmya-tale aFganABiH-cintA-tanuH sA su-tanuH-baBAse /
   śatahradābhiḥ pariveṣṭiteva śaśāṅkalekhā śaradabhramadhye // Saund_6.37 //	SatahradABiH parivezwitA-iva SaSAFka-leKA Sarad-aBra-maDye // SOnd-_6.37 //
   yā tatra tāsāṃ vacasopapannā mānyā ca tasyā vayasādhikā ca /	yA tatra tAsAm vacasA-upapannA mAnyA ca tasyAH vayasA-aDikA ca /
   sā pṛṣṭhatastāṃ tu samāliliṅge pramṛjya cāśrūṇi vacāṃsyuvāca // Saund_6.38	sA pRzWatas-tAm tu samAliliFge pramRjya ca-aSrUNi vacAMsi-uvAca // SOnd_6.38
   rājarṣivadhvāstava nānurūpo dharmāśrite bhartari jātu śokaḥ /	rAjarzi-vaDvAH-tava na-anurUpaH Darma-ASrite Bartari jAtu SokaH /
   ikṣvākuvaṃśe hyabhikāṅkṣitāni dāyādyabhūtāni tapovanāni // Saund_6.39 //	ikzvAku-vaMSe hi-aBikAFkzitAni dAyAdya-BUtAni tapaH-vanAni // SOnd-_6.39 //
   prāyeṇa mokṣāya viniḥsṛtānāṃ śākyarṣabhāṇāṃ viditāḥ striyaste /	prAyeNa mokzAya viniHsRtAnAm SAkya-RzaBANAm viditAH striyaH-te /
   tapovanānīva gṛhāṇi yāsāṃ sādhvīvrataṃ kāmavadāśritānām // Saund_6.40 //	tapaH-vanAni-iva gRhANi yAsAm sADvI-vratam kAma-vat-ASritAnAm // SOnd-_6.40 //
   yadyanyayā rūpaguṇādhikatvād bharttā hṛtaste kuru bāṣpamokṣam /	yadi-anyayA rUpa-guNa-aDika-tvAt BarttA hRtaH-te kuru bAzpa-mokzam /
   manasvinī rūpavatī guṇāḍhyā hṛdi kṣate kātra hi nāśru muñcet // Saund_6.41	manasvinI rUpavatI guNa-AXyA hRdi kzate kA-atra hi na-aSru muQcet // SOnd_6.41
   athāpi kiṃcid vyasanaṃ prapanno mā caiva tad bhūt sadṛśo 'tra bāṣpaḥ /	aTa-api kiMcid vyasanam prapannaH mA ca-eva tat BUt sadRSaH atra bAzpaH /
   ato viśiṣṭaṃ na hi duḥkhamasti kulodgatāyāḥ patidevatāyāḥ // Saund_6.42 //	atas viSizwam na hi duHKam-asti kula-udgatAyAH pati-devatAyAH // SOnd-_6.42 //
   atha tvidānīṃ laḍitaḥ sukhena svasthaḥ phalastho vyasanānyadṛṣṭvā /	aTa tu-idAnIm laxitaH suKena svasTaH Pala-sTaH vyasanAni-adRzwvA /
   vītaspṛho dharmamanuprapannaḥ kiṃ viklavā rodiṣi harṣakāle // Saund_6.43	vIta-spRhaH Darmam-anuprapannaH kim viklavAH rodizi harza-kAle // SOnd_6.43
   ityevamuktāpi bahuprakāraṃ snehāttayā naiva dhṛtiṃ cakāra /	iti-evam-uktA-api bahu-prakAram snehAt-tayA na-eva DRtim cakAra /
   athāparā tāṃ manaso 'nukūlaṃ kālopapannaṃ praṇayāduvāca // Saund_6.44 //	aTa-aparA tAm manasaH anukUlam kAla-upapannam praNayAt-uvAca // SOnd-_6.44 //
   bravīmi satyaṃ suviniścitaṃ me prāptaṃ priyaṃ drakṣyasi śīghrameva /	bravImi satyam su-viniScitam me prAptam priyam drakzyasi SIGram-eva /
   tvayā vinā sthāsyati tatra nāsau sattvāśrayaścetanayeva hīnaḥ //	tvayA vinA sTAsyati tatra na-asO sattva-ASrayaH-cetanayA-iva hInaH //
   Saund_6.45 //	SOnd-_6.45 //
   aṅke 'pi lakṣmyā na sa nirvṛtaḥ syāt tvaṃ tasya pārśve yadi tatra na syāḥ	aFke api lakzmyA na sa nirvRtaH syAt tvam tasya pArSve yadi tatra na syAH
   āpatsu kṛcchrāsvapi cāgatāsu tvāṃ paśyatastasya bhavenna duḥkham //	Apatsu kRcCrAsu-api ca-AgatAsu tvAm paSyataH-tasya Bavet-na duHKam //
   Saund_6.46 //	SOnd-_6.46 //
   tvaṃ nirvṛtiṃ gaccha niyaccha bāṣpaṃ taptāśrumokṣāt parirakṣa cakṣuḥ /	tvam nirvRtim gacCa niyacCa bAzpam tapta-aSru-mokzAt parirakza cakzuH /
   yastasya bhāvastvayi yaśca rāgo na raṃsyate tvadvirahāt sa dharme //	yaH-tasya BAvaH-tvayi yaH-ca rAgaH na raMsyate tvad-virahAt sa Darme //
   Saund_6.47 //	SOnd-_6.47 //
   syādatra nāsau kulasattvayogāt kāṣāyamādāya vihāsyatīti /	syAt-atra na-asO kula-sattva-yogAt kAzAyam-AdAya vihAsyati-iti /
   anātmanādāya gṛhonmukhasya punarvimoktuṃ ka ivāsti doṣaḥ // Saund_6.48 //	anAtmanA-AdAya gRha-unmuKasya punar-vimoktum kaH iva-asti dozaH // SOnd-_6.48 //
   iti yuvatijanena sāntvyamānā hṛtahṛdayā ramaṇena sundarī sā /	iti yuvati-janena sAntvyamAnA hRta-hRdayA ramaNena sundarI sA /
   dramiḍamabhimukhī pureva rambhā kṣitimagamat parivāritāpsarobhiḥ //	dramixam-aBimuKI purA-iva ramBA kzitim-agamat parivArita-apsaroBiH //
   Saund_6.49 //	SOnd-_6.49 //
   saundarananda mahākāvye "bhāryāvilāpa" nāma ṣaṣṭha sarga samāpta /	sOndara-nanda mahAkAvye "BAryA-vilApa" nAma zazWa sarga samApta /
   saptamaḥ sargaḥ	saptamaH sargaH
   nandavilāpa	nanda-vilApa
   liṅgaṃ tataḥ śāstṛvidhipradiṣṭaṃ gātreṇa bibhranna tu cetasā tat /	liFgam tatas SAstR-viDi-pradizwam gAtreNa biBran-na tu cetasA tat /
   bhāryāgataireva manovitarkairjehrīyamāṇo na nananda nandaḥ // Saund_7.1 //	BAryA-gatEH-eva manaH-vitarkEH-jehrIyamANaH na nananda nandaH // SOnd-_7.1 //
   sa puṣpamāsasya ca puṣpalakṣmyā sarvābhisāreṇa ca puṣpaketoḥ /	sa puzpa-mAsasya ca puzpa-lakzmyA sarva-aBisAreNa ca puzpaketoH /
   yānīyabhāvena ca yauvanasya vihārasaṃstho na śamaṃ jagāma // Saund_7.2 //	yAnIya-BAvena ca yOvanasya vihAra-saMsTaH na Samam jagAma // SOnd-_7.2 //
   sthitaḥ saḥ dīnaḥ sahakāravīthyāmālīnasaṃmūrcchitaṣaṭpadāyām /	sTitaH saH dInaH sahakAra-vITyA-mAlIna-saMmUrcCita-zawpadAyAm /
   bhṛśaṃ jajṛmbhe yugadīrghabāhurdhyātvā priyāṃ cāpamivācakarṣa // Saund_7.3	BRSam jajRmBe yuga-dIrGa-bAhuH-DyAtvA priyAm cApam-iva-Acakarza // SOnd-_7.3
   sa pītakakṣodamiva pratīcchan cūtadrumebhyastanupuṣpavarṣam /	sa pItaka-kzodam-iva pratIcCan cUta-drumeByaH-tanu-puzpa-varzam /
   dīrghaṃ niśaśvāsa vicintya bhāryāṃ navagraho nāga ivāvaruddhaḥ //	dIrGam niSaSvAsa vicintya BAryAm nava-grahaH nAgaH iva-avarudDaH //
   Saund_7.4 //	SOnd-_7.4 //
   śokasya hartā śaraṇāgatānāṃ śokasya karttā pratigarvitānām /	Sokasya hartA SaraNa-AgatAnAm Sokasya karttA pratigarvitAnAm /
   aśokamālambya sa jātaśokaḥ priyāṃ priyāśokakavanāṃ śuśoca // Saund_7.5 //	aSokam-Alambya sa jAta-SokaH priyAm priya-aSoka-kavanAm SuSoca // SOnd-_7.5 //
   priyāṃ priyāyāḥ pratanuṃ priyaṅguṃ niśāmya bhītāmiva niṣpatantīm /	priyAm priyAyAH pratanum priyaFgum niSAmya BItAm-iva nizpatantIm /
   sasmāra tāmaśrumukhīṃ sabāṣpaḥ priyāṃ priyaṅguprasavāvadātām // Saund_7.6	sasmAra tAm-aSru-muKIm sa-bAzpaH priyAm priyaFgu-prasava-avadAtAm // SOnd-_7.6
   puṣpāvanaddhe tilakadrumasya dṛṣṭvānyapuṣṭāṃ śikhare niviṣṭām /	puzpa-avanadDe tilaka-drumasya dRzwvA-anya-puzwAm SiKare nivizwAm /
   saṃkalpayāmāsa śikhāṃ priyāyāḥ śuklāṃśuke 'ṭṭālapāśritāyāḥ // Saund_7.7 //	saMkalpayAmAsa SiKAm priyAyAH Sukla-aMSuke awwAla-pa-ASritAyAH // SOnd-_7.7 //
   latāṃ praphullāmatimuktakasya cūtasya pārśve parirabhya jātām /	latAm praPullAm-atimuktakasya cUtasya pArSve pariraBya jAtAm /
   niśāmya cintāmagamattadaivaṃ śliṣṭā bhavenmāmapi sundarīti // Saund_7.8 //	niSAmya cintAm-agamat-tadA-evam SlizwA Bavet-mAm-api sundarI-iti // SOnd-_7.8 //
   puṣpotkarālā api nāgavṛkṣā dāntaiḥ samudgairiva hemagarbhaiḥ /	puzpa-utkarAlAH api nAgavRkzAH dAntEH samudgEH-iva hema-garBEH /
   kāntāravṛkṣā iva duḥkhitasya na cakṣurācikṣipurasya tatra // Saund_7.9 //	kAntAra-vRkzAH iva duHKitasya na cakzuH-AcikzipuH-asya tatra // SOnd-_7.9 //
   gandhaṃ vamanto 'pi ca gandhaparṇā gandharvaveśyā iva gandhapūrṇāḥ /	ganDam vamantaH api ca ganDa-parNAH ganDarva-veSyAH iva ganDa-pUrNAH /
   tasyānyacittasya śugātmakasya ghrāṇaṃ na janhurhṛdayaṃ pratepuḥ //	tasya-anya-cittasya Suc-a-Atmakasya GrANam na janhuH-hRdayam pratepuH //
   Saund_7.10 //	SOnd-_7.10 //
   saṃraktakaṇṭhaiśca vinīlakaṇṭhaistuṣṭaiḥ prahṛṣṭairapi cānyapuṣṭaiḥ /	saMrakta-kaNWEH-ca vinIla-kaNWEH-tuzwEH prahRzwEH-api ca-anya-puzwEH /
   lelihyamānaiśca madhu dvirephaiḥ svanadvanaṃ tasya mano nunoda //	lelihyamAnEH-ca maDu dvirePEH svanat-vanam tasya manaH nunodaH //
   Saund_7.11 //	SOnd-_7.11 //
   sa tatra bhāryāraṇisaṃbhavena vitarkadhūmena tamaḥśikhena /	sa tatra BAryA-araNi-saMBavena vitarka-DUmena tamaH-SiKena /
   kāmāgnināntarhṛdi dahyamāno vihāya dhairyaṃ vilalāpa tattat // Saund_7.12	kAma-agninA-antar-hRdi dahyamAnaH vihAya DEryam vilalApa tat-tat // SOnd_7.12
   adyāvagacchāmi suduṣkaraṃ te cakruḥ kariṣyanti ca kurvate ca /	adya-avagacCAmi su-duzkaram te cakruH karizyanti ca kurvate ca /
   tyaktvā priyāmaśrumukhīṃ tapo ye cerūścariṣyanti caranti caiva //	tyaktvA priyAm-aSru-muKIm tapaH ye cerUH-carizyanti caranti ca-eva //
   Saund_7.13 //	SOnd-_7.13 //
   tāvad dṛḍhaṃ bandhanamasti loke na dāravaṃ tāntavamāyasaṃ vā /	tAvat dRXam banDanam-asti loke na dAravam tAntavam-Ayasam vA /
   yāvad dṛḍhaṃ bandhanametadeva mukhaṃ calākṣaṃ lalitaṃ ca vākyam //	yAvat dRXam banDanam-etat-eva muKam cala-akzam lalitam ca vAkyam //
   Saund_7.14 //	SOnd-_7.14 //
   chittvā ca bhittvā ca hi yānti tāni svapauruṣāccaiva suhṛdbalācca /	CittvA ca BittvA ca hi yAnti tAni sva-pOruzAt-ca-eva suhRd-balAt-ca /
   jñānācca raukṣyācca vinā vimoktuṃ na śakyate snehamayastu pāśaḥ //	jQAnAt-ca rOkzyAt-ca vinA vimoktum na Sakyate sneha-mayaH-tu pASaH //
   Saund_7.15 //	SOnd-_7.15 //
   jñānaṃ na me tacca śamāya yat syānna na cāsti raukṣyaṃ karuṇātmako 'smi /	jQAnam na me tat-ca SamAya yat syAt-na na ca-asti rOkzyam karuNA-AtmakaH asmi /
   kāmātmakaścāsmi guruśca buddhaḥ sthito 'ntare cakragaterivāsmi //	kAma-AtmakaH-ca-asmi guruH-ca budDaH sTitaH antare cakra-gateH-iva-asmi //
   Saund_7.16 //	SOnd-_7.16 //
   ahaṃ gṛhītvāpi hi bhikṣuliṅgaṃ bhrātṝṣiṇā dviguruṇānuśiṣṭaḥ /	aham gRhItvA-api hi Bikzu-liFgam BrAtLziNA dvi-guruNA-anuSizwaH /
   sarvāsvavasthāsu labhe na śāntiṃ priyāviyogādiva cakravākaḥ // Saund_7.17	sarvAsu-avasTAsu laBe na SAntim priyA-viyogAt-iva cakravAkaH // SOnd_7.17
   adyāpi tanme hṛdi vartate ca yaddarpaṇe vyākulite mayā sā /	adya-api tat-me hRdi vartate ca yat-darpaNe vyAkulite mayA sA /
   kṛtānutakrodhakamabravīnmāṃ kathaṃkṛto 'sīti śaṭhaṃ hasantī // Saund_7.18	kRta-anuta-kroDakam-abravIt-mAm kaTaMkRtaH asi-iti SaWam hasantI // SOnd_7.18
   yathaiṣyanāśyānaviśeṣakāyāṃ mayīti yanmāmavadacca sāśru /	yaTA-ezI-anASyAna-viSezakAyAm mayi-iti yat-mAm-avadat-ca sa-aSru /
   pāriplavākṣeṇa mukhena bālā tanme vaco 'dyāpi mano ruṇaddhi // Saund_7.19	pAriplava-akzeNa muKena bAlA tat-me vacaH adya-api manaH ruNadDi // SOnd_7.19
   buddhvāsanaṃ parvatanirjharasthaḥ svastho yathā dhyāyati bhikṣureṣaḥ /	budDvA-Asanam parvata-nirJara-sTaH svasTaH yaTA DyAyati BikzuH-ezaH /
   saktaḥ kvacinnāhamivaiṣa nūnaṃ śāntastathā tṛpta ivopaviṣṭaḥ // Saund_7.20	saktaH kvacid-na-aham-iva-eza nUnam SAntaH-taTA tRptaH iva-upavizwaH // SOnd_7.20
   puṃskokilānāmavicintya ghoṣaṃ vasantalakṣmyāmavicārya cakṣuḥ /	puMskokilAnAm-avicintya Gozam vasanta-lakzmyAm-avicArya cakzuH /
   śāstraṃ yathābhyasyati caiṣa yuktaḥ śaṅke priyākarṣati nāsya cetaḥ //	SAstram yaTA-aByasyati ca-eza yuktaH SaFke priyAkarzati na-asya cetaH //
   Saund_7.21 //	SOnd-_7.21 //
   asmai namo 'stu sthiraniścayāya nivṛttakautūhalavismayāya /	asmE namaH astu sTira-niScayAya nivRtta-kOtUhala-vismayAya /
   śāntātmane 'ntargatamānāsāya caṅkramyamāṇāya nirutsukāya // Saund_7.22 //	SAnta-Atmane antargatam-AnAsAya caFkramyamANAya nirutsukAya // SOnd-_7.22 //
   nirīkṣamāṇasya jalaṃ sapadmaṃ vanaṃ ca phullaṃ parapuṣṭajuṣṭam /	nirIkzamANasya jalam sa-padmam vanam ca Pullam parapuzwa-juzwam /
   kasyāsti dhairyaṃ navayauvanasya māse madhau dharmasapatnabhūte //	kasya-asti DEryam nava-yOvanasya mAse maDO Darma-sapatna-BUte //
   Saund_7.23 //	SOnd-_7.23 //
   bhāvena garveṇa gatena lakṣmyā smitena kopena madena vāgbhiḥ /	BAvena garveNa gatena lakzmyA smitena kopena madena vAgBiH /
   jahruḥ striyo devanṛparṣisaṃghān kasmāddhi nāsmadvidhamākṣipeyuḥ //	jahruH striyaH deva-nRpa-Rzi-saMGAn kasmAt-hi na-asmadviDam-AkzipeyuH //
   Saund_7.24 //	SOnd-_7.24 //
   kāmābhibhūto hi hiraṇyaretāḥ svāhāṃ siṣeve madhavānahalyām /	kAma-aBiBUtaH hi hiraNyaretAH svAhAm sizeve maDavAn-ahalyAm /
   sattvena sargeṇa ca tena hīnaḥ strinirjitaḥ kiṃ bata mānuṣo 'ham //	sattvena sargeNa ca tena hInaH stri-nirjitaH kim bata mAnuzaH aham //
   Saund_7.25 //	SOnd-_7.25 //
   sūryaḥ saraṇyūṃ prati jātarāgastatprītaye taṣṭa iti śrutaṃ naḥ /	sUryaH saraNyUm prati jAta-rAgaH-tad-prItaye tazwaH iti Srutam naH /
   ratamaśvabhūto 'śvavadhūṃ sametya yato 'śvinau tau janayāṃbabhūva //	ratam-aSva-BUtaH aSva-vaDUm sametya yatas aSvinO tO janayAMbaBUva //
   Saund_7.26 //	SOnd-_7.26 //
   strīkāraṇaṃ vairaviśaktabuddhyorvaivasvatāgnyoścalitātmadhṛtyoḥ /	strI-kAraNam vEra-viSakta-budDyoH-vEvasvata-agnyoH-calita-Atma-DRtyoH /
   bahūni varṣāṇi babhūva yuddhaṃ kaḥ strīnimittaṃ na caledihānyaḥ //	bahUni varzANi baBUva yudDam kaH strI-nimittam na calet-iha-anyaH //
   Saund_7.27 //	SOnd-_7.27 //
   bheje śvapākīṃ munirakṣamālāṃ kāmādvasiṣṭhaśca sa sadvariṣṭhaḥ /	Beje SvapAkIm muniH-akzamAlAm kAmAt-vasizWaH-ca sa sat-varizWaH /
   yasyāṃ vivaśvāniva bhūjalādaḥ sutaḥ prasūto 'sya kapiñjalādaḥ //	yasyAm vivaSvAn-iva BU-jala-AdaH sutaH prasUtaH asya kapiQjala-AdaH //
   Saund_7.28 //	SOnd-_7.28 //
   parāśaraḥ śāpaśarastatharṣiḥ kālīṃ siṣeve jhaṣagarbhayonim /	parASaraH SApa-SaraH-taTA-RziH kAlIm sizeve Jaza-garBa-yonim /
   suto 'sya yasyāṃ suṣuve mahātmā dvaipāyano vedavibhāgakarttā // Saund_7.29	sutaH asya yasyAm suzuve mahAtmA dvEpAyanaH veda-viBAga-karttA // SOnd-_7.29
   dvaipāyano dharmaparāyaṇaśca reme samaṃ kāśiṣu veśyavadhvā /	dvEpAyanaH Darma-parAyaNaH-ca reme samam kASizu veSya-vaDvA /
   yayā hato 'bhūccalanūpureṇa pādena vidyullatayeva meghaḥ // Saund_7.30 //	yayA hataH aBUt-cala-nUpureNa pAdena vidyut-latayA-iva meGaH // SOnd-_7.30 //
   tathāṅgirā rāgaparītacetāḥ sarasvatīṃ brahmasutaḥ siṣeve /	taTA-aFgirAH rAga-parIta-cetAH sarasvatIm brahma-sutaH sizeve /
   sārasvato yatra suto 'sya jajñe naṣṭasya vedasya punaḥpravaktā //	sArasvataH yatra sutaH asya jajQe nazwasya vedasya punar-pravaktA //
   Saund_7.31 //	SOnd-_7.31 //
   tathā nṛparṣerdilīpasya yajñe svargastriyāṃ kāśyapa āgatāsthaḥ /	taTA nRpa-RzeH-dilIpasya yajQe svarga-striyAm kASyapaH Agata-AsTaH /
   sruvaṃ gṛhītvā sravadātmatejaścikṣepa vahrāvasito yato 'bhūt // Saund_7.32	sruvam gRhItvA sravat-Atma-tejaH-cikzepa vahrO=-asitaH yatas aBUt // SOnd_7.32
   tathāṅgado 'ntaṃ tapaso 'pi gatvā kāmābhibhūto yamunāmagacchat /	taTA-aFgadaH antam tapasaH api gatvA kAma-aBiBUtaH yamunAm-agacCat /
   dhīmattaraṃ yatra rathītaraṃ sa sāraṅgajuṣṭaṃ janayāmbabhūva // Saund_7.33	DImattaram yatra raTItaram sa sAraFga-juzwam janaya-ambaBUva // SOnd_7.33
   niśāmya śāntāṃ naradevakanyāṃ vane 'pi śānte 'pi ca vartamānaḥ /	niSAmya SAntAm naradeva-kanyAm vane api SAnte api ca vartamAnaH /
   cacāla dhairyānmuniṛṣyaśrṛṅgaḥ śailo mahīkampa ivoccaśrṛṅgaḥ // Saund_7.34	cacAla DEryAt-muniRzyaSrRFgaH SElaH mahIkampe iva-ucca-SrRFgaH // SOnd_7.34
   brahmarṣibhāvārthamapāsya rājyaṃ bheje vanaṃ yo viṣayeṣvanāsthaḥ /	brahmarzi-BAva-arTam-apAsya rAjyam Beje vanam yaH vizayezu-anAsTaH /
   sa gādhijaścāpahṛto ghṛtācyā samā daśaikaṃ divasaṃ viveda // Saund_7.35 //	sa gADijaH-ca-apahRtaH GRtAcyA samAH daSa-ekam divasam viveda // SOnd-_7.35 //
   tathaiva kandarpaśarābhimṛṣṭo rambhāṃ prati sthūlaśirā mumūrccha /	taTA-eva kandarpa-Sara-aBimRzwaH ramBAm prati sTUlaSirAH mumUrcCa /
   yaḥ kāmaroṣātmatayānapekṣaḥ śaśāpa tāmapratigṛhyamāṇaḥ // Saund_7.36 //	yaH kAma-roza-Atma-tayA-anapekzaH SaSApa tAm-apratigRhyamANaH // SOnd-_7.36 //
   pramadvarāyāṃ ca ruruḥ priyāyāṃ bhujaṅgamenāpahṛtendriyāyām /	pramadvarAyAm ca ruruH priyAyAm BujaFgamena-apahRta-indriyAyAm /
   saṃdṛśya saṃdṛśya jaghāna sarpān priyaṃ na roṣeṇa tapo rarakṣa //	saMdRSya saMdRSya jaGAna sarpAn priyam na rozeNa tapaH rarakza //
   Saund_7.37 //	SOnd-_7.37 //
   naptā śaśāṅkasya yaśoguṇāṅko budhasya sūnurvibudhaprabhāvaḥ /	naptA SaSAFkasya yaSaH-guNa-aFkaH buDasya sUnuH-vibuDa-praBAvaH /
   tathorvaśīmapsarasaṃ vicintya rājarṣirunmādamagacchadaiḍaḥ // Saund_7.38	taTA-urvaSIm-apsarasam vicintya rAjarziH-unmAdam-agacCat-ExaH // SOnd_7.38
   rakto girermūrdhani menakāyāṃ kāmātmakatvācca sa tālajaṅghaḥ /	raktaH gireH-mUrDani menakAyAm kAma-Atmaka-tvAt-ca sa tAlajaFGaH /
