   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   bhagavato 'bhyastāvīt //	BagavataH aByastAvIt //
   ye jina pūrvaka ye ca bhavanti ye ca dhriyanti daśodiśi loke /	ye jinaH pUrvakaH ye ca Bavanti ye ca Driyanti daSaH-diSi loke /
   teṣa jināna karomi praṇāmaṃ taṃ jinasaṃghamahaṃ praśayiṣye // Suv_5.1 //	teza jinAna karomi praNAmam tam jina-saMGam-aham praSayizye // Suu-_5.1 //
   śāntapraśāntaviśuddhamunīndraṃ suvarṇavarṇaprabhāsitagātram /	SAnta-praSAnta-viSudDa-muni-indram suvarNa-varNa-praBA-sita-gAtram /
   sarvasurāsurasusvarabuddhaṃ brahmarute svaragarjitaghoṣam // Suv_5.2 //	sarva-sura-asura-su-svara-budDam brahmarute svara-garjita-Gozam // Suu-_5.2 //
   ṣaṭpadamaulamahīruhakeśaṃ nīlasukuñcitakāśanikāśam /	zawpada-mOla-mahIruha-keSam nIla-su-kuQcita-kASa-nikASam /
   śaṅkhatuṣārasupāṇḍaladantaṃ hemavirājitabhāsitanābham // Suv_5.3 //	SaFKa-tuzA-rasu-pANxala-dantam hema-virAjita-BAsita-nABam // Suu-_5.3 //
   nīlaviśālaviśuddhasunetraṃ nīlamivitpalapracyutibhāsam /	nIla-viSAla-viSudDa-sunetram nIlam-ivit-pala-pracyuti-BAsam /
   padmasuvarṇaviśālasujihvaṃ padmaprabhāsitapadmamukhābham // Suv_5.4 //	padma-suvarNa-viSAla-sujihvam padma-praBA-sita-padma-muKa-ABam // Suu-_5.4 //
   śaṅkhamṛṇālanibhāmukhatorṇaṃ dakṣiṇavartitaverulivarṇam /	SaFKa-mRNAla-niBA-muKa-tA-UrNam dakziNa-vartitaveruli-varNam /
   sūkṣmaniśākarakṣīṇaśaśīva gātra munermramarājvalanābham // Suv_5.5 //	sUkzma-niSAkara-kzINa-SaSI-iva gAtra muneH-mra-marAjvalana-ABam // Suu-_5.5 //
   (Bagchi 25)	(Baj-Ci 25)
   kāñcanakoṭi suvarṇamṛduraṃ nāsamukhonnata pīvaraghrāṇam /	kAQcana-kowi suvarNa-mRduram nAsamuKa-unnata pIvara-GrANam /
   agradharāgraviśiṣṭasunāsaṃ mṛduka sarvajināṃśa satatam // Suv_5.6 //	agraDara-agra-viSizwa-sunAsam mRduka sarva-jina-aMSa satatam // Suu-_5.6 //
   ekasame cittaromamukhāgraṃ vālasuromapradakṣiṇavartam /	eka-same citta-roma-muKa-agram vAla-suroma-pradakziNa-vartam /
   nīlanibhā jvalakuṇḍalajātaṃ nīlavirājitamaulisugrīvam // Suv_5.7 //	nIla-niBA jvala-kuNxala-jAtam nIla-virAjita-mOli-sugrIvam // Suu-_5.7 //
   jātasamānaprabhāsitagātraṃ pūjitasarvi deśodiśi loke /	jAta-samAna-praBA-sita-gAtram pUjita-sarvi deSaH-diSi loke /
   duḥkhamanantapraśāntatriloke sarvasukhena ca tarpitasattvam // Suv_5.8 //	duHKam-ananta-praSAnta-triloke sarva-suKena ca tarpita-sattvam // Suu-_5.8 //
   narakagātiṣvatha tiryaggatīṣu pretasurāsuramanuṣyagatīṣu /	naraka-gAtizu-aTa tiryak-gatIzu preta-sura-asura-manuzya-gatIzu /
   teṣu ca sarvasukhārpitasattvaṃ sarvapraśānta apāyagatīṣu // Suv_5.9 //	tezu ca sarva-suKa-arpita-sattvam sarva-praSAnta apAya-gatIzu // Suu-_5.9 //
   varṇasuvarṇakanākanibhāsaṃ kāñcanataptaprabhāsitagātram /	varNa-suvarNaka-nAka-niBAsam kAQcana-tapta-praBA-sita-gAtram /
   saumyaśaśāṅkasuvimalavakraṃ vikāsitarājitasuvimalavadanam // Suv_5.10 //	sOmya-SaSAFka-su-vimala-vakram vikAsita-rAjita-su-vimala-vadanam // Suu-_5.10 //
   taruṇatanūruhakomalagātraṃ siṃhamivākramavikramanāgam /	taruNa-tanUruha-komala-gAtram siMham-iva-Akrama-vikrama-nAgam /
   lambitahasta pralambitabāhuṃ mārutapreritaśālalateva // Suv_5.11 //	lambita-hasta pralambita-bAhum mAruta-prerita-SAla-latA-iva // Suu-_5.11 //
   (Bagchi 26)	(Baj-Ci 26)
   vyomaprabhājvalamuñcitaraśmiṃ sūryasahasramiva pratapantam /	vyoma-praBA-jvalam-uQcita-raSmim sUrya-sahasram-iva pratapantam /
   nirmalagātravarebhi munīndraṃ sarvaprabhāsita kṣetramanantam // Suv_5.12	nirmala-gAtra-vara-iBi muni-indram sarva-praBAsita kzetram-anantam // Suu-_5.12
   candraniśākarabhāskarajālaṃ kṣetramanantasahasraśateṣu /	candra-niSAkara-BAskara-jAlam kzetram-ananta-sahasra-Satezu /
   te 'pi ca niṣṭhita sarvamabhūṣi buddhaprabhāsavirocanatāyai // Suv_5.13 //	te api ca nizWita sarvam-aBUzi budDa-praBAsa-virocana-tAyE // Suu-_5.13 //
   buddhadivākaralokapradipaṃ buddhadivākaraśatasahasram /	budDa-divAkara-loka-pradipam budDa-divAkara-Sata-sahasram /
   kṣetramanantasahasraśateṣu paśyatu sattva tathāgatasūryam // Suv_5.14 //	kzetram-ananta-sahasra-Satezu paSyatu sattva taTAgata-sUryam // Suu-_5.14 //
   puṇyasahasraśatāccitakāyaṃ sarvaguṇebhiralaṅkṛtagātram /	puNya-sahasra-SatAt-cita-kAyam sarva-guNeBiH-alaFkRta-gAtram /
   śauṇḍagajendranibhaṃ jinabāhuṃ vimalasulakṣaṇamaṇḍitahastam // Suv_5.15 //	SONxa-gaja-indra-niBam jina-bAhum vimala-su-lakzaNa-maNxita-hastam // Suu-_5.15 //
   bhūmitalopamarajasamatulyaṃ sūkṣmarajopama ye gatabuddhāḥ //	BUmi-tala-upama-raja-sam-a-tulyam sUkzma-raja-upama ye gata-budDAH //
   sūkṣmarajopama ye ca bhavanti sūkṣmarajopama ye ca sthihanti // Suv_5.16	sUkzma-raja-upama ye ca Bavanti sUkzma-raja-upama ye ca sTihanti // Suu-_5.16
   teṣa jināna karomi praṇāmaṃ kāyatu vācamanena prasannaḥ /	teza jinAna karomi praNAmam kAyatu vAcam-anena prasannaH /
   puṣpapradānasugandhapradānairvarṇaśatena sucetasi cāpi // Suv_5.17 //	puzpa-pradAna-suganDa-pradAnEH-varNa-Satena su-cetasi ca-api // Suu-_5.17 //
   jihvaśatairapi buddhaguṇāni kalpasahasraśate na hi vaktum /	jihva-SatEH-api budDa-guNAni kalpa-sahasra-Sate na hi vaktum /
   (Bagchi 27)	(Baj-Ci 27)
   ye guṇasādhunivṛtti jinānāṃ sā ca varāgravicitra anekaiḥ // Suv_5.18 //	ye guNa-sADu-nivRtti jinAnAm sA ca vara-agra-vicitra anekEH // Suu-_5.18 //
   ekajinasya guṇā na hi śakyā jihvaśatairapi bhāṣitu kaścit /	eka-jinasya guNAH na hi SakyA jihva-SatEH-api BAzitu kaScid /
   kāmamaśakti hi sarvajinānāṃ ekaguṇasya hi vistara vaktum // Suv_5.19 //	kAmam-aSakti hi sarva-jinAnAm ekaguNasya hi vistara vaktum // Suu-_5.19 //
   sarvasadevakuloktasamūhaḥ sarvabhavāgrabhave jalapūrṇā /	sarva-sadeva-kula-ukta-samUhaH sarva-Bava-agra-Bave jala-pUrNA /
   keśagrahaṇena tu śakya pramātuṃ naiva ca ekaguṇā sugatānām // Suv_5.20 //	keSa-grahaNena tu Sakya pramAtum na-eva ca eka-guNA sugatAnAm // Suu-_5.20 //
   varṇita saṃstuta me jinasarvaṃ kāyatu vāca prasannamanena /	varNita saMstuta me jina-sarvam kAyatu vAca prasannam-anena /
   yanmama sañcitapuṇyaphalāgraṃ tena ca sattva prabhotu jinatvam // Suv_5.21	yat-mama saQcita-puNya-Pala-agram tena ca sattva praBotu jina-tvam // Suu-_5.21
   evaṃ stavitva narapati buddhaṃ evaṃ karoti nṛpaḥ praṇidhānam /	evam stavitva narapati budDam evam karoti nRpaH praNiDAnam /
   yatra ca kutraci mahya bhaveta jāti anāgatakalpamanantā // Suv_5.22 //	yatra ca kutraci mahya Baveta jAti anAgata-kalpam-anantAH // Suu-_5.22 //
   īdṛśi bheri mi paśyami svapne īdṛśa deśana tatra śṛṇomi /	IdRSi Beri mi paSyami svapne IdRSa deSana tatra SRNomi /
   īdṛśa jīnastutikamalākara jātiṣu tatra labhe smaraṇatvam // Suv_5.23 //	IdRSa jIna-stuti-kamala-Akara jAtizu tatra laBe smaraNa-tvam // Suu-_5.23 //
   buddhaguṇāni anantamatulyā ye 'pi ca durlabha kalpasahasraiḥ /	budDa-guNAni anantam-atulyAH ye api ca durlaBa kalpa-sahasrEH /
   (Bagchi 28)	(Baj-Ci 28)
   amu śruṇeya ca svapnagato 'pi teṣu ca deśayi divasagato 'pi // Suv_5.24 //	amu SruNeya ca svapna-gataH api tezu ca deSayi divasa-gataH api // Suu-_5.24 //
   duḥkhasamudra vimocayi sattvā pūrayi ṣaḍabhi pi pāramitābhiḥ /	duHKa-samudra vimocayi sattvA pUrayi zaxaBi pi pAramitABiH /
   bodhimanuttara paśca labheyaṃ kṣetra bhaveta mamā asamarthyam // Suv_5.25	boDim-anuttara paH-ca laBeyam kzetra Baveta mamAH asamarTyam // Suu-_5.25
   bheripradānavipākaphalena sarvajināna ca saṃstutihetoḥ /	Beri-pradAna-vipAka-Palena sarva-jinAna ca saMstuti-hetoH /
   saṃmukha paśyami śākyamunīndraṃ vyākaraṇaṃ hyahu tatra labheyam //	saMmuKa paSyami SAkya-muni-indram vyAkaraNam hi-ahu tatra laBeyam //
   Suv_5.26 //	Suv_5.26 //
   ye ima dāraka dvau mama putrau kanakendra kanakaprabhāsvaraḥ /	ye ima dAraka dvO mama putrO kanaka-indra kanaka-praBAsvaraH /
   te ubhi dāraka tatra labheyaṃ bodhimanuttara vyākaraṇaṃ ca // Suv_5.27 //	te uBi dAraka tatra laBeyam boDim-anuttara vyAkaraNam ca // Suu-_5.27 //
   ye 'pi ca sattva arakṣa atrāṇā śaraṇavihīna viyāsagatāśca /	ye api ca sattva arakza atra-aNA SaraNa-vihIna viyAsa-gatAH-ca /
   teṣu bhaveya anāgata sarva trāṇaparāyaṇaśaraṇebhiśca // Suv_5.28 //	tezu Baveya anAgata sarva trANa-parAyaNa-SaraNeBiH-ca // Suu-_5.28 //
   duḥkhasamudbhavasaṃkṣayakartā sarvasukhasya ca ākarabhūtaḥ /	duHKa-samudBava-saMkzaya-kartA sarva-suKasya ca Akara-BUtaH /
   kalpa anāgata bodhi careyaṃ yattaka pūrvakakoṭigatāśca // Suv_5.29 //	kalpa anAgata boDi careyam yat-taka pUrvaka-kowi-gatAH-ca // Suu-_5.29 //
   svarṇaprabhottamadeśanatāya pāpasamudra śoṣatu mahyam /	svarNa-praBA-uttama-deSa-natAya pApa-samudra Sozatu mahyam /
   (Bagchi 29)	(Baj-Ci 29)
   karmasamudra vikīryatu mahyaṃ kleśasamudra vicchidyatu mahyam // Suv_5.30	karma-samudra vikIryatu mahyam kleSa-samudra vicCidyatu mahyam // Suu-_5.30
   puṇyasamudra prapūryatu mahyaṃ jñānasamudra viśodhyatu mahyam /	puNya-samudra prapUryatu mahyam jQAna-samudra viSoDyatu mahyam /
   vimalajñānaprabhāsabalena sarvaguṇāna samudra bhaveyā // Suv_5.31 //	vimala-jQAna-praBAsa-balena sarva-guNAna samudra BaveyAH // Suu-_5.31 //
   bodhiguṇairguṇaratna prapūrṇā deśanasvarṇa prabhāsabalena /	boDi-guNEH-guNa-ratna prapUrNA deSana-svarNa praBAsa-balena /
   puṇyaprabhāsa bhaviṣyati mahyaṃ bodhiprabhāsa viśodhyatu mahyam //	puNya-praBAsa Bavizyati mahyam boDi-praBAsa viSoDyatu mahyam //
   Suv_5.32 //	Suv_5.32 //
   kāyaprabhāsa bhaviṣyati mahyaṃ puṇyaprabhāsa virocanatā ca /	kAya-praBAsa Bavizyati mahyam puNya-praBAsa virocana-tA ca /
   sarvatriloki viśiṣṭa bhaveyaṃ pūṇyabalena samanvita nityam // Suv_5.33 //	sarva-triloki viSizwa Baveyam pUNya-balena samanvita nityam // Suu-_5.33 //
   duḥkhasamudra uttārayitā sarvasukhasya ca sāgarakalpya /	duHKa-samudraH uttArayitA sarva-suKasya ca sAgara-kalpya /
   kalpamanāgata bodhi careyaṃ yattakapūrvakakoṭigatāśca // Suv_5.34 //	kalpam-anAgata boDi careyam yattaka-pUrvaka-kowi-gatAH-ca // Suu-_5.34 //
   yādṛśakṣetraviśiṣṭa triloke sarvajinānamananta guṇena /	yAdRSa-kzetra-viSizwa triloke sarva-jinAnam-ananta guNena /
   tādṛśakṣetramanantaguṇaṃ bheṣyati mahyamanāgatasarvam // Suv_5.35 //	tAdRSa-kzetram-ananta-guNam Bezyati mahyam-anAgata-sarvam // Suu-_5.35 //
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje	iti SrI-suvarNa-praBAsa-uttama-sUtrendra-rAje
   kamalākarasarvatathāgatastavaparivarto nāma pañcamaḥ //	kamalAkara-sarva-taTAgataH-tava-parivartaH nAma paQcamaH //
   (Bagchi 30)	(Baj-Ci 30)
   // Śūnyatāparivartaḥ //	// ŚUnyatA-parivartaH //
   atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata //	aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata //
   anyeṣu sūtreṣu acintiyeṣu ativistaraṃ deśitaśūnyadharmāḥ /	anyezu sUtrezu acintiyezu ati-vistaram deSita-SUnya-DarmAH /
   tasmādime sūtravarottame vaḥ saṃkṣepato deśita śūnyadharmāḥ // Suv_6.1 //	tasmAt-ime sUtra-vara-uttame vaH saMkzepataH deSita SUnya-DarmAH // Suu-_6.1 //
   sattvo 'lpabuddhiravijānamāno na śakya jñātuṃ khalu sarvadharmā /	sattvaH alpabudDiH-avijAnamAnaH na Sakya jQAtum Kalu sarva-DarmAH /
   paśyeha sūtrendravarottamena saṃkṣepato deśita śūnyadharmāḥ // Suv_6.2 //	paSya-iha sUtrendra-vara-uttamena saMkzepataH deSita SUnya-DarmAH // Suu-_6.2 //
   anyairupāyairnayahetubhiśca sattvāna kāruṇyavaśodayārtham /	anyEH-upAyEH-naya-hetuBiH-ca sattvAna kAruNya-vaSa-udaya-arTam /
   prakāśitaṃ sūtravarendrametaṃ yathābhijānanti hi sarvasattvāḥ // Suv_6.3	prakASitam sUtra-vara-indram-etam yaTA-aBijAnanti hi sarva-sattvAH // Suu-_6.3
   ayaṃ ca kāyo yatha śūnyagrāmaḥ ṣaḍgrāma coropama indriyāṇi /	ayam ca kAyaH yaTa SUnya-grAmaH zaz-grAma cora-upamaH indriyANi /
   tānyekagrāme nivasanti sarve na te vijānanti paraspareṇa // Suv_6.4 //	tAni-eka-grAme nivasanti sarve na te vijAnanti paraspareNa // Suu-_6.4 //
   cakṣurindriyaṃ rūpameteṣu dhāvati śrotrendriyaṃ śabdavicāraṇena /	cakzuH-indriyam rUpam-etezu DAvati Srotra-indriyam Sabda-vicAraNena /
   ghrāṇendriyaṃ gandhavicitrahāri jihvandriyaṃ nitya raseṣu dhāvati //	GrANa-indriyam ganDa-vicitra-hAri jihvandriyam nitya rasezu DAvati //
   Suv_6.5 //	Suv_6.5 //
   (Bagchi 31)	(Baj-Ci 31)
   kāyendriyaṃ sparśagato 'bhidhāvati manendriyaṃ dharmavicāraṇena /	kAya-indriyam sparSa-gataH aBiDAvati mana-indriyam Darma-vicAraNena /
   ṣaḍindriyāṇīti paraspareṇa svakaṃ svakaṃ viṣayamabhidhāvati // Suv_6.6 //	zaz-indriyANi-iti paraspareNa svakam svakam vizayam-aBiDAvati // Suu-_6.6 //
   cittaṃ hi māyopama cañcalaṃ ca ṣaḍindriyaṃ viṣayavicāraṇaṃ ca /	cittam hi mAyA-upama caQcalam ca zaz-indriyam vizaya-vicAraNam ca /
   yathā naro dhāvati śūnyagrāme saṃgrāma caurebhi samāśritaśca // Suv_6.7 //	yaTA naraH DAvati SUnya-grAme saMgrAma cOreBi samASritaH-ca // Suu-_6.7 //
   cittaṃ yathā ṣaḍviṣayāśritaṃ ca prajānate indriya gocaraṃ ca /	cittam yaTA zaz-vizaya-ASritam ca prajAnate indriya gocaram ca /
   rūpaṃ ca śabdaṃ ca tathaiva gandhaṃ rasaṃ ca sparśa tatha dharmagocaram //	rUpam ca Sabdam ca taTA-eva ganDam rasam ca sparSa taTa Darma-gocaram //
   Suv_6.8 //	Suv_6.8 //
   cittaṃ ca sarvatra ṣaḍindriyeṣu śakuniriva cañcalaṃ indriyasaṃpraviṣṭam /	cittam ca sarvatra zaz-indriyezu SakuniH-iva caQcalam indriya-saMpravizwam /
   yatra yatrendriyasaṃśritaṃ ca na cendriyaṃ kurvatu jānamātmakam // Suv_6.9	yatra yatra-indriya-saMSritam ca na ca-indriyam kurvatu jAnam-Atmakam // Suu-_6.9
   kāyaśca niśceṣṭa nirvyāpāraṃ ca asārakaḥ pratyayasaṃbhavaśca /	kAyaH-ca niScezwa nirvyApAram ca asArakaH pratyaya-saMBavaH-ca /
   abhūtavikalpasamutthitaśca sthitakarmayantraṃ ivaṃ śūnyagrāmaḥ // Suv_6.10	aBUta-vikalpa-samutTitaH-ca sTita-karma-yantram ivam SUnya-grAmaH // Suu-_6.10
   (Bagchi 32)	(Baj-Ci 32)
   kṣityambhatejo 'nilāni yathā cauragrāmāntaḥ sthita deśadeśe /	kziti-amBa-tejaH anilAni yaTA cOra-grAma-antar sTita deSa-deSe /
   paraspareṇaiva sadā viruddhā yathaiva āśīviṣa ekaveśmani // Suv_6.11 //	paraspareNa-eva sadA virudDAH yaTA-eva ASIvizaH eka-veSmani // Suu-_6.11 //
   dhātūragāste ca caturvidhāni dve ūrdhvagāmī dvaya heṣṭagāmī /	DAtu-uragAH-te ca caturviDAni dve UrDva-gAmI dvaya hezwa-gAmI /
   dvayādvayaṃ diśi vidiśāsu sarvaṃ naśyanti tā dhātubhujaṅgamāni // Suv_6.12	dvayAt-vayam diSi vidiSAsu sarvam naSyanti tAH DAtu-BujaFgamAni // Suu-_6.12
   kṣityuragaśca saliloragaśca imau ca heṣṭā kṣayatāṃ vrajete /	kziti-uragaH-ca salila-uragaH-ca imO ca hezwA kzaya-tAm vrajete /
   tejoragaścānilamārutoraga imau hi dve ūrdhvagatau nabho 'nte // Suv_6.13	teja-uragaH-ca-anila-mAruta-uragaH imO hi dve UrDva-gatO naBaH ante // Suu-_6.13
   cittaṃ ca vijñānamadhyasthitaṃ ca gatvā yathā pūrvakṛtena karmāṇā /	cittam ca vijQAna-maDya-sTitam ca gatvA yaTA pUrva-kRtena karmANA /
   deve manuṣyaeṣu ca triṣvapāyā yathākṛtaṃ pūrvabhave pravarttyā // Suv_6.14	deve manuzyaezu ca trizu-apAyAH yaTA-akRtam pUrva-Bave pravarttyA // Suu-_6.14
   śleṣmānilapittakṣayāntaprāptaḥ kāyaḥ śakṛnmūtraparīṣapūrṇaḥ /	Slezma-anila-pitta-kzaya-anta-prAptaH kAyaH SakRt-mUtra-parIza-pUrNaH /
   nirābhirāmaḥ kṛmikṣudrapūrṇaḥ kṣiptaḥ śmaśāne yatha kāṣṭhabhūtaḥ //	nirABirAmaH kRmi-kzudra-pUrNaH kziptaH SmaSAne yaTa kAzWa-BUtaH //
   Suv_6.15 //	Suv_6.15 //
   paśyāhi tvaṃ devata ebhi evaṃ katyatra sattvastatha pudgalo vā /	paSyAhi tvam devataH eBi evam kati-atra sattvaH-taTa pudgalaH vA /
   (Bagchi 33)	(Baj-Ci 33)
   śūnyā hi ete khalu sarvadharmā avidyataḥ pratyayasaṃbhavāśca // Suv_6.16	SUnyAH hi ete Kalu sarva-DarmAH avidyataH pratyaya-saMBavAH-ca // Suu-_6.16
   ete mahābhūta abhūta sarvāśca yasmānmahābhūtaprakṛtyabhāvā /	ete mahABUta aBUta sarvAH-ca yasmAt-mahABUta-prakRti-aBAvAH /
   tasmācca bhūtā hi asaṃbhavāśca avidyamānā na kadāci vidyate // Suv_6.17 //	tasmAt-ca BUtAH hi asaMBavAH-ca avidyamAnA na kadAci vidyate // Suu-_6.17 //
   avidyataḥ pratyayasaṃbhavāśca avidyamānaiva avidyavācaḥ /	avidyataH pratyaya-saMBavAH-ca avidyamAnA-eva avidya-vAcaH /
   tasmānmayā ukta avidya eṣā saṃskāravijñāna sanāmarūpam // Suv_6.18 //	tasmAt-mayA uktaH avidyaH ezA saMskAra-vijQAna sa-nAma-rUpam // Suu-_6.18 //
   ṣaḍāyatanasparśa tathaiva vedanā tṛṣṇā upādāna tathā bhavaśca /	zaz-Ayatana-sparSa taTA-eva vedanA tRzNAH upAdAna taTA BavaH-ca /
   jātijarāmaraṇaśoka upadravāṇāṃ duḥkhāni saṃskāra acintiyāni // Suv_6.19 //	jAti-jarA-maraNa-SokaH upadravANAm duHKAni saMskAra acintiyAni // Suu-_6.19 //
   saṃsāracakre ca yathā sthitāni abhūta saṃbhūta asaṃbhavāśca /	saMsAra-cakre ca yaTA sTitAni aBUta saMBUta asaMBavAH-ca /
   ayoniśaścittavicāraṇaṃ tathā dṛṣṭīgataṃ chetsyatha ātmanaiva // Suv_6.20	ayoniSaH-citta-vicAraNam taTA dRzwI-gatam CetsyaTaH AtmanA-eva // Suu-_6.20
   jñānāsinā chindatha kleśajālaṃ skandhālayaṃ paśyatha śūnyabhūtam /	jQAna-asinA CindaTa kleSa-jAlam skanDa-Alayam paSyaTa SUnya-BUtam /
   sparśetha taṃ bodhiguṇaṃ hyudāraṃ vivarta ca me amṛtapurasya dvāram //	sparSeTa tam boDi-guNam hi-udAram vivarta ca me amRta-purasya dvAram //
   Suv_6.21 //	Suv_6.21 //
   saṃdarśi taṃ amṛtapurasya bhājanaṃ pravekṣya taṃ amṛtapurālayaṃ śubham /	saMdarSi tam amRta-purasya BAjanam pravekzya tam amRta-pura-Alayam SuBam /
   (Bagchi 34)	(Baj-Ci 34)
   tarpiṣya ha amṛtatarasena ātmanāṃ parāhatā me varadharmabherīḥ // Suv_6.22	tarpizya ha amRtatarasenaH AtmanAm parAhatAH me vara-Darma-BerIH // Suu-_6.22
   āpūrito me varadharmaśaṅkhaḥ prajvālitā me varadharma ulkā /	ApUritaH me vara-Darma-SaFKaH prajvAlitA me vara-DarmaH ulkA /
   suvarṣitaṃ me varadharmavarṣaṃ parājitā me parakleśaśatravaḥ // Suv_6.23	su-varzitam me vara-Darma-varzam parAjitAH me para-kleSa-SatravaH // Suu-_6.23
   ucchrepitaṃ me varadharmadhvajaṃ pratāritā me bhavasattvasamudrāḥ /	ucCrepitam me vara-Darma-Dvajam pratAritAH me Bava-sattva-samudrAH /
   pidhitāni me 'pāyapathāni trīṇi kleśāgnidāhaṃ śamayitva prāṇinām //	piDitAni me apAya-paTAni trINi kleSa-agni-dAham Samayitva prANinAm //
   Suv_6.24 //	Suv_6.24 //
   yasmāddhi pūrvamahamanekakalpān acintiyā pūjitva nāyakā hi /	yasmAt-hi pUrvam-aham-aneka-kalpAn acintiyA pUjitva nAyakAH hi /
   caritva bodhāya dṛḍhavratena saddharmakāyaṃ pariveṣamāṇaḥ // Suv_6.25 //	caritva boDAya dRXa-vratena sadDarma-kAyam parivezamANaH // Suu-_6.25 //
   hastau ca pādau ca parityajitvā dhanaṃ hiraṇyaṃ maṇimuktabhūṣaṇam /	hastO ca pAdO ca parityajitvA Danam hiraNyam maNi-mukta-BUzaNam /
   nayanottamāṅgaṃ priyadāraputraṃ suvarṇavaiḍūryavicitraratnāni // Suv_6.26	nayana-uttamAFgam priya-dAra-putram suvarNa-vExUrya-vicitra-ratnAni // Suu-_6.26
   chinditvā trisāhasrāyāṃ sarvavṛkṣavanaspatīm /	CinditvA tri-sAhasrAyAm sarva-vRkza-vanaspatIm /
   sarvaṃ ca cūrṇayitvā tat kuryāt sūkṣmarajopamam // Suv_6.27 //	sarvam ca cUrNayitvA tat kuryAt sUkzma-raja-upamam // Suu-_6.27 //
   cūrṇarāśiṃ karitvā tu yāvadākāśagocaram /	cUrNa-rASim karitvA tu yAvat-AkASa-gocaram /
   aśakadbhabhāgabhinnāya dharaṇīrajaḥsamāni vā // Suv_6.28 //	aSakat-Ba-BAga-BinnAya DaraNI-rajaH-samAni vA // Suu-_6.28 //
   (Bagchi 35)	(Baj-Ci 35)
   sarvasattvā aneke hi jñānavata tathaiva ca /	sarva-sattvAH aneke hi jQAnavata taTA-eva ca /
   sarvaṃ gaṇayituṃ śakyaṃ na tu jñātaṃ jinasya ca // Suv_6.29 //	sarvam gaNayitum Sakyam na tu jQAtam jinasya ca // Suu-_6.29 //
   ekakṣaṇapravṛttaṃ tu yajjñānaṃ ca mahāmuneḥ /	eka-kzaNa-pravRttam tu yat-jQAnam ca mahA-muneH /
   anekakalpakoṭīṣu na śakyaṃ gaṇayituṃ kvacit // Suv_6.30 //	aneka-kalpa-kowIzu na Sakyam gaNayitum kvacid // Suu-_6.30 //
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje śūnyatāparivarto nāma ṣaṣṭhaḥ //	iti SrI-suvarNa-praBAsa-uttama-sUtrendrarAje SUnyatA-parivartaH nAma zazWaH //
   (Bagchi 36)	(Baj-Ci 36)
   // Caturmahārājaparivartaḥ //	// CatuH-mahA-rAja-parivartaH //
   atha khalu vaiśravaṇo mahārājo dhṛtarāṣṭro mahārājo virūḍhako mahārājo	aTa Kalu vESravaNaH mahA-rAjaH DRtarAzwraH mahA-rAjaH virUXakaH mahA-rAjaH-
   virūpākṣo mahārāja utthāyasanebhya ekāṃsena cīvarāṇi prāvṛtya	virUpAkzaH mahA-rAja utTAyasaneByaH eka-aMsena cIvarANi prAvRtya
   dakṣiṇajānumaṇḍalāni pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ	dakziNa-jAnu-maNxalAni pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim
   praṇamya bhagavantametadavocan / ayaṃ bhagavan,	praNamya Bagavantam-etat-avocan / ayam Bagavan-,
   suvarṇaprabhāsottamasūtrendrarājaḥ sarvatathāgatabhāṣitaḥ	suvarNa-praBAsa-uttama-sUtrendra-rAjaH sarva-taTAgata-BAzitaH
   sarvatathāgatāvalokitaḥ sarvatathāgatasamanvāgataḥ	sarva-taTAgata-avalokitaH sarva-taTAgata-samanvAgataH
   sarvabodhisattvagaṇanamaskṛtaḥ sarvadevagaṇapūjitaḥ	sarva-boDisattva-gaNa-namaskRtaH sarva-deva-gaNa-pUjitaH
   sarvedevendragaṇasaṃpraharṣakaḥ sarvalokapālastutaḥ stavito varṇitaḥ	sarvedeva-indra-gaNa-saMpraharzakaH sarva-lokapAla-stutaH stavitaH varNitaH
   praśaṃsitaḥ sarvadevabhavanāvabhāsitaḥ sarvasattvānāṃ	praSaMsitaH sarva-deva-Bavana-avaBAsitaH sarva-sattvAnAm
   paramasukhapradāyakaḥ sarvanarakatiryagyoniyamalokaduḥkhasaṃśodhakaḥ	parama-suKa-pradAyakaH sarva-naraka-tiryagyoni-yama-loka-duHKa-saMSoDakaH
   sarvabhayapratiśamanaḥ sarvaparacakrapratinivartako	sarva-Baya-pratiSamanaH sarva-para-cakra-pratinivartakaH-
   durbhikṣakāntārapraśamano vyādhikāntārapraṇāśako jñānaprakāśakaḥ	durBikza-kAntAra-praSamanaH vyADi-kAntAra-praNASakaH jQAna-prakASakaH
   paramaśāntikaraḥ śokāyāsapraśamano	parama-SAnti-karaH Soka-AyAsa-praSamanaH-
   vividhanānopadravyapraśamayitopadravaśatasahasrapraṇāśayitā / imamasya	viviDa-nAnA-upadravya-praSamayita-upadrava-Sata-sahasra-praNASayitA / imam-asya
