   śrīḥ	SrIH
   "heturnirvacanaṃ nindā praśaṃsā saṃśayo vidhiḥ |	"hetuH-nirvacanam nindA praSaMsA saMSayaH viDiH |
   parakriyā purākalpo vyavadhāraṇakalphanā |	para-kriyA purAkalpaH vyavaDAraNa-kalPanA |
   "iti |	"iti |
   ' tena hmannaṃ kriyate ' iti hetuḥ |	a tena hmannam kriyate a iti hetuH |
   ' taddadhaṇe dadhitvam ' iti nirvacanam |	a tad-daDaNe daDi-tvam a iti nirvacanam |
   ' amādhyā vai māṣāḥ ' iti nindā |	a amADyAH vE mAzAH a iti nindA |
   'vāyurvai kṣepiṣṭhā devatā' iti praśaṃsā |	avAyuH-vE kzepizWAH devatA-a iti praSaMsA |
   ' tadvyacikitsajjuhavāni , mā hauṣam ' iti saṃśayaḥ |	a tad-vyacikitsat-juhavAni , mA hOzam a iti saMSayaH |
   ' yajamānena saṃmitaudumbarī bhavati ' iti vidhiḥ |	a yajamAnena saMmita-OdumbarI Bavati a iti viDiH |
   ' bhāṣāneva mahyaṃ pacata ' iti parakṛtiḥ |	a BAzAn-eva mahyam pacata a iti parakRtiH |
   ' purā brāhmaṇā abhaiṣuḥ ' iti purākalpaḥ |	a purA brAhmaNAH aBa-ezuH a iti purAkalpaH |
   ' yāvato 'ścānpratigṛhṇīyāt, tāvato vāruṇāṃścatuṣkapālannirvapet ' iti	a yAvataH aScAn-pratigRhNIyAt, tAvataH vAruNAn=-catuzkapAlat-nirvapet a iti
   viśeṣāvadhāraṇakalpanā |	viSeza-avaDAraNa-kalpanA |
   evamanyadapyudāhāryam |	evam-anyat-api-udAhAryam |
   na ca ' hetvādīnāmanyatamaṃ brāhmaṇam'iti lakṣaṇam |	na ca a hetu-AdInAm-anyatamam brAhmaNam-aiti lakzaNam |
   mantreṣvapi hetvādisadbhāvāt |	mantrezu-api hetu-Adi-sadBAvAt |
   tathā hi - ' indavovāmuśanti hi ' iti hetuḥ |	taTA hi  a indava-uvAm-uSanti hi a iti hetuH |
   ' udāniṣurmahīrīti tasmādudakamucyate ' iti nirvacanam |	a udAnizuH-mahIri-iti tasmAt-udakam-ucyate a iti nirvacanam |
   'moghamannaṃ vindate apracetāḥ ' iti nindā |	amoGam-annam vindate apracetAH a iti nindA |
   ' agnirmūrdhā divaḥ kakutpatiḥ ' iti praśaṃsā |	a agniH-mUrDA divaH kakutpatiH a iti praSaMsA |
   ' adhaḥ svidāsīdupari svidāsīt ' iti saṃśayaḥ |	a aDas svid-AsIt-upari svidAsIt a iti saMSayaH |
   ' kapiñjalānālabheta ' iti vidhiḥ |	a kapiQjalAn-AlaBeta a iti viDiH |
   ' sahastramaṃyutaṃ dadat ' iti parakṛtiḥ |	a sahastram-aMyutam dadat a iti parakRtiH |
   ' yajñena yajñamayajanta devāḥ ' iti purākalpaḥ |	a yajQena yajQam-ayajanta devAH a iti purAkalpaH |
   ' itikaraṇabahulaṃ brāhmaṇam ' iti cet |	a iti-karaNa-bahulam brAhmaNam a iti ced |
   na |	na |
   ' ityadadā ityayajathā ityapaca iti brāhmaṇo gāyet ' ityasminbrahmaṇena	a iti-adadAH iti-aya-jaTAH iti-apacaH iti brAhmaNaH gAyet a iti-asmin-brahmaNena
   gātavye mantre ativyāpteḥ |	gAtavye mantre ati-vyApteH |
   ' ityāhetyanena vākyenopanibaddhaṃ brāhmaṇam ' iti cet |	a iti-Aha-iti-anena vAkyena-upanibadDam brAhmaNam a iti ced |
   na |	na |
   ' rājā cidyaṃ bhagaṃ bhakṣītyāha ' ' yo vā rakṣāḥ śucirasmītyāha '	a rAjA cidyam Bagam Bakzi-iti-Aha a a yaH vA rakzAH SuciH-asmi-iti-Aha a
   ityanayormantrayorativyāpteḥ |	iti-anayoH-mantrayoH-ati-vyApteH |
   ' ākhyāyikārūpaṃ brāhmaṇam ' iti cet |	a AKyAyikA-rUpam brAhmaNam a iti ced |
   na |	na |
   yamayamīsaṃvādasūktādāvativyāpteḥ |	yamayamI-saMvAda-su-ukta-AdO=-ati-vyApteH |
   tasmāt - ' nāsti brāhmaṇasya lakṣaṇam ' iti prāpte -	tasmAt  a na-asti brAhmaNasya lakzaNam a iti prApte -
   brūmaḥ- ' mantrabrāhmaṇarūpau dvāveva vedabhāgau '	brUmaH a mantra-brAhmaNa-rUpO dvO=-eva veda-BAgO a
   ityaṅgīkārānmantralakṣaṇasya pūrvamabhihitatvāt ' avaśiṣṭo vedabhāgo	iti-aFgIkArAn-mantra-lakzaNasya pUrvam-aBihita-tvAt a avaSizwaH veda-BAgaH-
   brāhmaṇam ' ityetallakṣaṇaṃ bhavati -- iti || MJaiNyC_2,1.24-25 ||	brAhmaNam a iti-etat-lakzaNam Bavati - iti || MJENyC_2,1.24-25 ||
   (navama ūhādyamantratādhikaraṇe sūtram)	(navamaH UhA-Adya-mantra-tA-aDikaraNe sUtram)
   anāmnāteṣv amantratvamāmnāteṣu hi vibhāgaḥ / Jaim_2,1.34 /	anAmnAtezu amantra-tvam-AmnAtezu hi viBAgaH / JEm_2,1.34 /
   START MJaiNy 2,1.26	START MJENi 2,1.26
   navamādhikaraṇamāracayati -	navama-aDikaraNam-Aracayati -
   ūhapravaranāmnāṃ kiṃ mantratāstyathavā na hi /	Uha-pravara-nAmnAm kim mantratA-asti-aTavA na hi /
   mantrāstadekavākyatvānna tallakṣaṇavarjanāt // MJaiNy_2,1.26 //	mantrAH-tad-eka-vAkya-tvAt-na tad-lakzaNa-varjanAt // MJENI-_2,1.26 //
   "agnaye juṣṭaṃ nirvapāmi"ityasya saurye carau ' sūryāya juṣṭaṃ nirvapāmi '	"agnaye juzwam nirvapAmi-"iti-asya sOrye carO a sUryAya juzwam nirvapAmi a
   ityevaṃ padāntaraprakṣepa ūhaḥ |	iti-evam pada-antara-prakzepaH UhaH |
   ' adīkṣiṣṭāyaṃ brāhmaṇaḥ ' ityasya mantrasya śeṣatvena prayogakāle	a adIkzizwa-ayam brAhmaNaH a iti-asya mantrasya Seza-tvena prayoga-kAle
   brāhmaṇanāmadheyaviśeṣaṃ tadīyapravaraṃ caivaṃ paṭhanti -"asau devadatto	brAhmaNa-nAmaDeya-viSezam tadIya-pravaram ca-evam paWanti -"asO devadattaH-
   'muṣya putro 'muṣya pautro 'muṣya naptāmuṣyāḥ putro 'muṣyāḥ pautro 'muṣyā	amuzya putraH amuzya pOtraH amuzya napta-amuzyAH putraH amuzyAH pOtraH amuzyA
   naptā ' iti |	naptA a iti |
   ' āṅgirasabārhaspatyabhāradvājagotraḥ ' iti ca |	a AFgirasa-bArhaspatyaBAradvAja-gotraH a iti ca |
   eteṣāmūhapravaranāmadheyānāṃ mantratvamasti |	etezAm-Uha-pravara-nAmaDeyAnAm mantra-tvam-asti |
   kutaḥ |	kutas |
   mantreṇa sahaikavākyatvāditi cet |	mantreNa saha-eka-vAkya-tvAt-iti ced |
   maivam |	mA-evam |
   yājñikaprasiddhirūpasya mantralakṣaṇasyaiteṣvabhāvāt |	yAjQika-prasidDi-rUpasya mantra-lakzaNasya-etezu-aBAvAt |
   na hyadhyetāra ūhādīnmantrakāṇḍe 'vīyate |	na hi-aDyetAraH UhA-AdIn-mantra-kANxe avIyate |
   tasmāt - nāsti mantratvam || MJaiNyC_2,1.26 ||	tasmAt  na-asti mantra-tvam || MJENyC_2,1.26 ||
   (daśama ṛglakṣaṇādhikaraṇe sūtram)	(daSamaH Rc-lakzaNa-aDikaraNe sUtram)
   teṣām ṛgyatrārthavaśena pādavyavasthā / Jaim_2,1.35 /	tezAm Rc-yatra-arTa-vaSena pAda-vyavasTA / JEm_2,1.35 /
   (ekādaśe sāmalakṣaṇādhikaraṇe sūtram)	(ekAdaSe sAma-lakzaNa-aDikaraNe sUtram)
   gītiṣu samākhyā / Jaim_2,1.36 /	gItizu samAKyA / JEm_2,1.36 /
   (dvādaśe yajurlakṣaṇādhikaraṇe sūtram)	(dvAdaSe yajuH-lakzaNa-aDikaraNe sUtram)
   śeṣe yajuḥ śabdāḥ / Jaim_2,1.37 /	Seze yajuH SabdAH / JEm_2,1.37 /
   START MJaiNy 2,1.27	START MJENi 2,1.27
   daśamaikādaśadvādaśādhikaraṇamāracayati --	daSama-ekAdaSa-dvAdaSa-aDikaraNam-Aracayati --
   narksāmayajuṣāṃ lakṣma sāṃkaryāditi śaṅkite /	na-Rc-sAma-ya-juzAm lakzma sAMkaryAt-iti SaFkite /
   pādaśca gītiḥ praśliṣṭapāṭha ityastvasaṃkaraḥ // MJaiNy_2,1.27 //	pAdaH-ca gItiH praSlizwa-pAWaH iti-astu-asaMkaraH // MJENi-_2,1.27 //
   idamāmnāyate - ' ahe budhiṇya mantraṃ me gopāya yamṛṣayastraividā viduḥ |	idam-AmnAyate  a ahe buDiNya mantram me gopAya yam-RzayaH-trEvidA viduH |
   ṛcaḥ sāmāni, yajūṃṣi ' iti |	RcaH sAmAni, yajUMzi a iti |
   "trīnvedānvidanti"iti trividaḥ, trividāṃ saṃbandhino 'dhyetārastraividāḥ |	"trIn-vedAn-vidanti"-iti tri-vidaH, tri-vidAm saMbanDinaH aDyetAraH-trEvidAH |
   te ca yaṃ mantrabhāgamṛgādirūpeṇa trividhamāhuḥ, taṃ gopāya, iti yojanā |	te ca yam mantra-BAga-mRga-Adi-rUpeNa triviDam-AhuH, tam gopAya, iti yojanA |
   tatra trividhānāmṛksamayajuṣāṃ vyavasthitaṃ lakṣaṇaṃ nāsti |	tatra triviDAnAm-Rc-sama-yajuzAm vyavasTitam lakzaNam na-asti |
   kutaḥ |	kutas |
   sāṃkaryasya duṣpariharatvāt |	sAMkaryasya duzparihara-tvAt |
   'adhyāpakaprasiddherhyṛgvedādiṣu paṭhito mantra ṛgādiḥ ' iti hi lakṣaṇaṃ	aaDyApaka-prasidDeH-hi-Rgveda-Adizu paWitaH mantraH Rc-AdiH a iti hi lakzaNam
   vaktavyam |	vaktavyam |
   tacca saṃkīrṇam |	tat-ca saMkIrNam |
   'devo vaḥ savitotpūnātvacchidreṇa pavitreṇa vasoḥ sūryasya raśmibhiḥ '	adevaH vaH savitA-utpUnAtva=-CidreNa pavitreNa vasoH sUryasya raSmiBiH a
   ityayaṃ mamtro yajurvede saṃpratipannayajuṣāṃ madhye paṭhitaḥ |	iti-ayam mamtraH yajurvede saMpratipanna-yajuzAm maDye paWitaH |
   na ca tasya yajuṣṭvamāsti |	na ca tasya yajuzwvam-A-asti |
   tadbrāhmaṇe ' sāvitryarcā ' ityṛktvena vyavahṛtatvāt |	tat-brAhmaNe a sAvitrI-arcA a iti-Rc-tvena vyavahRta-tvAt |
   ' etatsāma gāyannāste ' iti pratijñāya kiṃcitsāma yajurvede gītam |	a etat-sAma gAyan=-Aste a iti pratijQAya kiMcid-sAma yajurvede gItam |
   ' akṣitamasi ' ' acyutamasi ' ' prāṇasaṃśitamasi ' iti trīṇi yajūṃṣi	a akzitamasi a a acyutam-asi a a prANa-saMSitam-asi a iti trINi yajUMzi
   sāmavede samāmnātāni |	sAmavede samAmnAtAni |
   tathā gīyamānasya sāmnā āśrayabhūtā ṛcaḥ sāmavede samāmnāyante |	taTA gIyamAnasya sAmnA ASraya-BUtAH RcaH sAmavede samAmnAyante |
   tasmāt - nāsti lakṣaṇam - iti cet |	tasmAt  na-asti lakzaNam  iti ced |
   na |	na |
   pādādīnāmasaṃkīrṇalakṣaṇatvāt |	pAda-AdInAm-asaMkIrNa-lakzaNa-tvAt |
   ' pādenārthena copetā vṛttabaddhāmantrā ṛcaḥ |	a pAdena-arTena ca-upetAH vRtta-badDa-amantrAH RcaH |
   gītirūpā mantrāḥ sāmāni |	gIti-rUpAH mantrAH sAmAni |
   vṛttagītivarjitatvena praśliṣṭapaṭhitā mantrā yajūṃṣi ' ityukte na kvāpi	vRtta-gIti-varjita-tvena praSlizwa-paWitA mantrAH yajUMzi a iti-ukte na kvApi
   saṃkaraḥ || MJaiNyC_2,1.27 ||	saMkaraH || MJENyC_2,1.27 ||
   (trayodaśe nigadānāṃ yajuṣṭravādhikaraṇe sūtrāṇi 38 - 45)	(trayodaSe nigadAnAm yajuzwra-vADikaraNe sUtrANi 38  45)
   nigado vā caturthaṃ syād dharmaviśeṣāt / Jaim_2,1.38 /	nigadaH vA caturTam syAt Darma-viSezAt / JEm_2,1.38 /
   vyapadeśāc ca / Jaim_2,1.39 /	vyapadeSAt ca / JEm_2,1.39 /
   yajūṃṣi vā tadrūpatvāt / Jaim_2,1.40 /	yajUMzi vA tad-rUpa-tvAt / JEm_2,1.40 /
   vacanād dharmaviśeṣaḥ / Jaim_2,1.41 /	vacanAt Darma-viSezaH / JEm_2,1.41 /
   arthāc ca / Jaim_2,1.42 /	arTAt ca / JEm_2,1.42 /
   guṇārtho vyapadeśaḥ / Jaim_2,1.43 /	guNa-arTaH vyapadeSaH / JEm_2,1.43 /
   sarveṣām iti cet / Jaim_2,1.44 /	sarvezAm iti ced / JEm_2,1.44 /
   na ṛgvyapadeśāt / Jaim_2,1.45 /	na Rc-vyapadeSAt / JEm_2,1.45 /
   START MJaiNy 2,1.28-29	START MJENi 2,1.28-29
   trayodaśādhikaraṇamāracayati -	trayodaSa-aDikaraNam-Aracayati -
   prokṣaṇīrāsādayeti nigadastrividhādbahiḥ /	prokzaNIH-AsAdayA-iti nigadaH-triviDAt-bahis /
   yajurvoccaistvadharmasya bhedādasya caturthatā // MJaiNy_2,1.28 //	yajurvA-uccEs-tu-a-Darmasya BedAt-asya caturTa-tA // MJENI-_2,1.28 //
   parapratyāyanārthatvāduccaistvaṃ yajureva saḥ /	para-pratyAyana-arTa-tvAt-uccEstvam yajuH-eva saH /
   tallakṣaṇena yuktatvātraividhyamiti susthitam // MJaiNy_2,1.29 //	tad-lakzaNena yukta-tva-atrEviDyam-iti susTitam // MJENi-_2,1.29 //
   ' prokṣaṇīrāsādaya ' ' idhmaṃ barhirupasādaya ' ' agnīdagnīnvihara' '	a prokzaNIH-AsAdayaH a a iDmam barhiH-upasAdaya a a agnIt-agnIn-vihara-a a
   barhiḥ stṛṇīhi ' 'indra āgaccha' 'hariva āgaccha' ityādayo nigadā āmnātāḥ	barhiH stRNIhi a aindraH AgacCaa ahar-ivaH AgacCaa ityAdayaH nigadAH AmnAtAH
   parapratyāyanārthā mantrā nigadaḥ |	para-pratyAyana-arTAH mantrAH nigadaH |
   ete ca pūrvoktebhya ṛgyajuḥsāmabhyo bahirbhūtāścaturthaprakārāḥ |	ete ca pUrva-ukteByaH Rc-yajuH-sAmaByaH bahis-BUtAH-caturTa-prakArAH |
   kutaḥ |	kutas |
   pādagītkayorṛksāmalakṣaṇayorabhāvāt |	pAda-gIt-kayorRc-sAma-lakzaNayoH-aBAvAt |
   praśliṣṭapāṭhasya yajurlakṣaṇasya sattve 'pi dharmabhedena	praSlizwa-pAWasya yajuH-lakzaNasya sattve api Darma-Bedena
   yajuṣyantarbhāvānupapatteḥ |	yajuzi-antarBAva-anupapatteH |
   ' upāṃśuyajuṣā ' ' uccairnigadena ' iti hi dharmabhedaḥ - iti prāpte ---	a upAMSuyajuzA a a uccEs-nigadena a iti hi Darma-BedaH  iti prApte ---
   brūmaḥ- ' vahirbrāhmaṇā bhojyantām ' ' piravrājakāstvantaḥ ' ityatra	brUmaH a vahiH-brAhmaNAH BojyantAm a a piravrAjakAH-tu-antaH a iti-atra
   satyeva parivrājakānāṃ brāhmaṇye pūjānimitto viśeṣo yathā tathā nigadānāṃ	sati-eva parivrAjakAnAm brAhmaNye pUjA-nimittaH viSezaH yaTA taTA nigadAnAm
   yajurlakṣaṇopetatvena yajuṣāmeva satāṃ	yajuH-lakzaNa-upeta-tvena yajuzAm-eva satAm
   parapratyāyananimittamuccaistvadharmaḥ |	para-pratyAyana-nimittam-uccEs-tu-aDarmaH |
   tato mantrāṇāṃ traividhyaṃ susthitam || MJaiNyC_2,1.28-29 ||	tatas mantrANAm trEviDyam susTitam || MJENyC_2,1.28-29 ||
   (caturdaśa ekavākyatvalakṣaṇādhikaraṇe sūtram)	(caturdaSe eka-vAkya-tva-lakzaNa-aDikaraNe sUtram)
   arthaikatvād ekaṃ vākyaṃ sākāṅkṣaṃ ced vibhāge syāt / Jaim_2,1.46 /	arTa-ekatvAt ekam vAkyam sa-AkAFkzam ced viBAge syAt / JEm_2,1.46 /
   START MJaiNy 2,1.30-31	START MJENi 2,1.30-31
   caturdaśādhikaraṇamāracayati -	caturdaSa-aDikaraNam-Aracayati -
   devasya tveti vākyasya bhinnatvamathavaikatā /	devasya tvA-iti vAkyasya Binna-tvam-aTavA-eka-tA /
   aikyaprayojakasyātra durbodhatvena bhinnatā // MJaiNy_2,1.30 //	Ekya-prayojakasya-atra durboDa-tvena Binna-tA // MJENi-_2,1.30 //
   vibhāge sati sākāṅkṣasyaikārthatvaṃ prayojakam /	viBAge sati sa-AkAFkzasya-eka-arTa-tvam prayojakam /
   tasmādvākyaikyametena yajuranto 'vardhāyate // MJaiNy_2,1.31 //	tasmAt-vAkya-Ekyam-etena yajuH-antaH avarDAyate // MJENI-_2,1.31 //
   darśapūrṇamāsayorāmnāyate -	darSa-pUrNamAsayoH-AmnAyate -
   "devasya tvā savituḥ prasave, aśvinorbāhubhyām , pūṣṇo hastābhyām, agnaye	"devasya tvA savituH prasave, aSvinoH-bAhuByAm , pUzNaH hastAByAm, agnaye
   juṣṭaṃ rnivapāmi"iti |	juzwam rnivapAmi"-iti |
   tatra vākyāni bhinnāni bhavitumarhanti |	tatra vAkyAni BinnAni Bavitum-arhanti |
   kutaḥ |	kutas |
   ekatvaniyāmakasya durvodhatvāt |	eka-tva-niyAmakasya durvoDa-tvAt |
   arthaikyaṃ vākyaikye prayojakamiti cet |	arTa-Ekyam vAkya-Ekye prayojakam-iti ced |
   na |	na |
   ekasminpade 'tivyāpteḥ |	ekasmin-pade ati-vyApteH |
   padasamūhasya vākyatve, samūhānāmatra bahūnāṃ saṃbhavādvākyabhedaḥ syāt -	pada-samUhasya vAkya-tve, samUhAnAm-atra bahUnAm saMBavAt-vAkya-BedaH syAt -
   iti cet |	iti ced |
   maivam |	mA-evam |
   ' yadvibhāge sākāṅkṣamavibhāge caikārtham, tadekaṃ vākyam ' iti	a yad-viBAge sa-AkAFkzam-aviBAge ca-eka-arTam, tat-ekam vAkyam a iti
   prayojakasya boddhuṃ śakyatvāt |	prayojakasya bodDum Sakya-tvAt |
   'vibhāge sākāṅkṣam ' ityukte 'tivyāptiḥ syāt |	aviBAge sa-AkAFkzam a iti-ukte ativyAptiH syAt |
   "syonaṃ te sadanaṃ kṛṇomi ghṛtasya dhārayā susevaṃ kalpayāmi,	"syonam te sadanam kRNomi GRtasya DArayA su-sevam kalpayAmi,
   tasminsīdāmṛte pratitiṭha vrīhīṇāṃ medha sumanasyamānaḥ"ityatra 'tasmin' -	tasmin-sIda-am-Rte pratitiWa vrIhINAm meDa sumanasyamAnaH"iti-atra atasmin-a -
   ityādipadasamūhasya vibhāge sati prakṛtavācitacchabdārthanirṇayāya	ityAdi-pada-samUhasya viBAge sati prakRta-vAci-tad-Sabda-arTa-nirNayAya
   pūrvapadasamūhasākāṅkatvamasti, atastadvyavacchettum 'ekārtham ' ityucyate	pUrva-pada-samUha-sAkAFka-tvam-asti, atas-tat-vyavacCettum aeka-arTam a iti-ucyate
   nahi tatraikārthatvamasti |	na-hi tatra-ekArTa-tvam-asti |
   pūrvasamūhasya sadanakaraṇamarthaḥ, uttarasamūhasya puroḍāśapratiṣṭhāpanam	pUrva-samUhasya sadana-karaNam-arTaH, uttara-samUhasya puroxASa-pratizWApanam
   syonaṃ samīcīnam |	syonam samIcInam |
   susevaṃ suṣṭhu sevituṃ yogyam |	su-sevam suzWu sevitum yogyam |
   medha sārabhūtapuroḍāśetyarthaḥ |	meDa sAra-BUta-puroxASa-iti-arTaH |
   atra dvayoḥ samṛhayorvākyadvayamubhayavādisiddham |	atra dvayoH samRhayoH-vAkya-dvayam-uBayavAdi-sidDam |
   tat ' ekārtham ' ityanena vyāvartyate |	tat a eka-arTam a iti-anena vyAvartyate |
   ' ekārtham ' ityukte 'tivyāptiḥ syāt |	a eka-arTam a iti-ukte ativyAptiH syAt |
   "bhago vāṃ vibhajatu, pūṣā vāṃ vibhajatu"ityanayorvibhajanamantratvena	"BagaH vAm viBajatu, pUzA vAm viBajatu"iti-anayoH-viBajana-mantra-tvena
   saṃmatayoḥ padasamūbayostātparyaviṣayasya	saMmatayoH padasamUbayoH-tAtparya-vizayasya
   dravyavibhāgarūpasyārthasyaikatvāt , tadravyavacchettuṃ ' vibhāge	dravya-viBAga-rUpasya-arTasya-eka-tvAt , tad-ravya-vat-Cettum a viBAge
   sākāṅkṣam ' ityuktam |	sa-AkAFkzam a iti-uktam |
   prakṛte tu ' agnaye juṣṭam ' ityādisamūhe pṛthakkṛte pūrvo ' devasya tvā	prakRte tu a agnaye juzwam a ityAdi-samUhe pRTak-kRte pUrvaH a devasya tvA
   'iti samūhaḥ sākāṅkṣo bhavati |	aiti samUhaH sa-AkAFkzaH Bavati |
   ekīkṛte tu kṛtsnasyaika eva nirvāpor'thaḥ |	ekIkRte tu kRtsnasya-ekaH eva nirvApor-aTaH |
   etenaikavākyatvanirṇayenāniyataparimāṇasya yajuṣo 'vasānaṃ niścetuṃ śakyam	etena-eka-vAkya-tva-nirNayena-aniyata-parimANasya yajuzaH avasAnam niScetum Sakyam
   || MJaiNyC_2,1.30-31 ||	|| MJa-ENyC_2,1.30-31 ||
   (pañcadaśe vākyabhedādhikaraṇe sūtram)	(paQcadaSe vAkya-Beda-aDikaraNe sUtram)
   sameṣu vākyabhedaḥ syāt / Jaim_2,1.47 /	samezu vAkya-BedaH syAt / JEm_2,1.47 /
   START MJaiNy 2,1.32-33	START MJENi 2,1.32-33
   pañcadaśādhikaraṇamāracayati -	paQcadaSa-aDikaraNam-Aracayati -
   iṣe tvādirmantra eko bhinno vaikaḥ kriyāpade /	ize tvAdiH-mantraH ekaH BinnaH vA-ekaH kriyA-pade /
   asatyarthāsmārakatvādekādṛṣṭasya kalpanāt // MJaiNy_2,1.32 //	asati-arTa-asmAraka-tvAt-ekAdRzwasya kalpanAt // MJENi-_2,1.32 //
   chedane mārjane caitau viniyuktau kriyāpade /	Cedane mArjane ca-etO viniyuktO kriyA-pade /
   adhyāhṛte smārakatvānmantrabhedor'thabhedataḥ // MJaiNy_2,1.33 //	aDyAhRte smAraka-tvAt-mantra-BedoH-aTa-BedataH // MJENi-_2,1.33 //
   "iṣe tvorje tvā"iti śrūyate |	"ize tvA-Urje tvA"-iti SrUyate |
   so 'yaṃ padasamudāya eko mantraḥ |	saH ayam pada-samudAyaH ekaH mantraH |
   kutaḥ |	kutas |
   asya mantrasyādṛṣṭatve tvekasyaivādṛṣṭasya kalpane lāghavāt |	asya mantrasya-adRzwa-tve tu-ekasya-eva-adRzwasya kalpane lAGavAt |
   na ca"uru prathasva"ityādimantravadanuṣṭheyārthasmārakatvaṃ saṃbhavati |	na ca"uru praTasva"iti-Adi-mantra-vat-anuzWeya-arTa-smAraka-tvam saMBavati |
   kriyāpadābhāvena tadarthapratītyabhāvāt -- iti prāpte, brūmaḥ- ' iṣe tveti	kriyA-pada-aBAvena tad-arTa-pratIti-aBAvAt - iti prApte, brUmaH a ize tvA-iti
   cchinatti, ūrje tvetyanumārṣṭi ' iti palāśaśākhāyāśchedanamārjanayoretau	cCinatti, Urje tvA-iti-anumArzwi a iti palASa-SAKAyAH-Cedana-mArjanayoH-etO
   viniyuktau |	viniyuktO |
   tatastadamanusāreṇa"chinadmi"iti kriyāpade 'dhyāhṛte	tatas-tat-am-anusAreNa"Cinadmi"-iti kriyA-pade aDyAhRte
   satyanuṣṭheyārthasmārakatvādarthabhedena vākyabhedādyajurmantrabhedaḥ |	sati-anuzWeya-arTa-smAraka-tvAt-arTa-Bedena vAkya-BedAt-yajuH-mantra-BedaH |
   iṣyamāṇāyānnāya bhoḥ palāśaśākhe tvā chinadmi ' ' ūrje rasāya balāya vā	izyamANAya-annAya BoH palASa-SAKe tvA Cinadmi a a Urje rasAya balAya vA
   tvāmanumārjmi ' ityarthabhedaḥ |	tvAm-anumArjmi a iti-arTa-BedaH |
   evam"āyuryajñena kalpatām" "prāṇo yajñena kalpatām"ityādau	evam"AyuH-yajQena kalpatAm" "prANaH yajQena kalpatAm-"ityAdO
   kḷptisāmānyarūpasyārthasyaikatve 'pyāyurādibhirbhinnatvādarthabhedavākya	k?pti-sAmAnya-rUpasya-arTasya-eka-tve api-AyuH-AdiBiH-Binna-tvAt-arTa-Beda-vAkya
   bhedayoḥ spaṣṭatvāt , ' kḷptīrvācayati ' iti kḷptibahutvasya coditatvācca	BedayoH spazwa-tvAt , a k?ptIH-vAcayati a iti k?pti-bahutvasya codita-tvAt-ca
   yajurbhedo draṣṭavyaḥ || MJaiNyC_2,1.32-33 ||	yajuH-BedaH drazwavyaH || MJENyC_2,1.32-33 ||
   (ṣoḍaśe (saptadaśe ca) anuṣaṅgādhikaraṇe sūtram)	(zoxaSe (saptadaSe ca) anuzaFga-aDikaraNe sUtram)
   anuṣaṅgo vākyasamāptiḥ sarveṣu tulyayogitvāt / Jaim_2,1.48 /	anuzaFgaH vAkya-samAptiH sarvezu tulya-yogi-tvAt / JEm_2,1.48 /
   START MJaiNy 2,1.34-35	START MJENi 2,1.34-35
   ṣoḍaśādhikaraṇamāracayati -	zoxaSa-aDikaraNam-Aracayati -
   yā te agne rajetyadhyāhāro yadvānuṣañjanam /	yA te agne rajA-iti-aDyAhAraH yat-vA-anuzaQjanam /
   tanūrityanyaśeṣatvādadhyāhāro 'tra laukikaḥ // MJaiNy_2,1.34 //	tanUH-iti-anyaSeza-tvAt-aDyAhAraH atra lOkikaH // MJENi-_2,1.34 //
   vedākāṅkṣā pūraṇīyā vedenetyanuṣañjanam /	veda-AkAFkzA pUraNIyAH vedena-iti-anuzaQjanam /
   anyaśeṣo 'pir buddhastho laukikastu na tādṛśaḥ // MJaiNy_2,1.35 //	anya-SezaH apiH budDa-sTaH lOkikaH-tu na tAdRSaH // MJENi-_2,1.35 //
   jyotiṣṭome upasaddhomeṣvevamāmnāyate --	jyotizwome upasadDomezu-evam-AmnAyate --
   "yā te agne 'yāśayā tanūrvarṣiṣṭhā gahvareṣṭhā |	"yA te agne ayASayA tanUH-varzizWA gahvarezWAH |
   ugraṃ vaco apāvadhītveṣaṃ vaco apāvadhītsvāhā |	ugram vacaH apAvaDI-tvA-izam vacaH apAvaDIt-svAhA |
   yā te agne rajāśayā, yā te agne harāśayā"iti |	yA te agne raja-ASayA, yA te agne harASayA"-iti |
   ayamarthaḥ- ' ayasā rajatena hiraṇye na ca nirmitā agnestistrastanavaḥ,	ayam-arTaH a ayasA rajatena hiraNye na ca nirmitAH agneH-tiH-trastanavaH,
   tāsvādyā yeyamuktā tanuḥ sātiśayena vṛddhaṃ, gahvare tīkṣṇe dravye lohe	tAsu-AdyAH yA-iyam-uktA tanuH sa-atiSayena vRdDaM, gahvare tIkzNe dravye lohe
   'vasthitā tayā tanvā kṣutpipāse upapātakam, vīrahatyādi mahāpatakaṃ ca	avasTitA tayA tanvA kzuD-pipAse upapAtakam, vIra-hatyA-Adi mahApatakam ca
   hatavānasmi ' iti |	hatavAn-asmi a iti |
   tathā ca brāhmaṇam,"yadugraṃ vaco apāvadhīttveṣaṃ vaco apāvadhītsvāheti |	taTA ca brAhmaNam-,"yat-ugram vacaH apa-avaDIt-tvezam vacaH apAvaDItsvAhA-iti |
   aśanāyāpipāse havā ugraṃ vacaḥ |	aSanAyA-pipAse havAH ugram vacaH |
   enaśca vairahatyaṃ ca tveṣaṃ vacaḥ"iti |	enaH-ca vErahatyam ca tu-ezam vacaH"-iti |
