   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śabdasāmānyaparīkṣāprakaraṇam]	[Sabda-sAmAnya-parIkzA-prakaraNam]
   2.1.50: śabdaḥ anumānam arthasya anupalabdheḥ anumeyatvāt	2.1.50: SabdaH anumAnam arTasya anupalabDeH anumeya-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.51: upalabdheḥ advipravṛttitvāt	2.1.51: upalabDeH at-vipravRtti-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.52: sambandhāt ca	2.1.52: sambanDAt ca
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.1.53: āptopadeśasāmarthyāt śabdāt arthasampratyayaḥ	2.1.53: Apta-upadeSa-sAmarTyAt SabdAt arTa-sampratyayaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.54: pūraṇapradāhapāṭanānupalabdheḥ ca sambandhābhāvaḥ	2.1.54: pUraNa-pradAha-pAwana-anupalabDeH ca sambanDa-aBAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.55: śabdārthavyavasthānāt apratiṣedhaḥ	2.1.55: Sabda-arTa-vyavasTAnAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.56: na, sāmayikatvāt śabdārthasampratyayasya	2.1.56: na, sAmayika-tvAt Sabda-arTa-sampratyayasya
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.57: jātiviśeṣe ca aniyamāt	2.1.57: jAti-viSeze ca aniyamAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śabdaviśeṣaparīkṣāprakaraṇam]	[Sabda-viSeza-parIkzA-prakaraNam]
   2.1.58: tadaprāmāṇyam anṛtavyāghātapunaruktadoṣebhyaḥ	2.1.58: tad-aprAmANyam anRta-vyAGAta-punarukta-dozeByaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.59: na, karmakartṛsādhanavaiguṇyāt	2.1.59: na, karma-kartR-sADana-vEguNyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.60: abhyupetya kālabhede doṣavacanāt	2.1.60: aByupetya kAla-Bede doza-vacanAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.61: anuvādopapatteḥ ca	2.1.61: anuvAda-upapatteH ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.62: vākyavibhāgasya ca arthagrahaṇāt	2.1.62: vAkya-viBAgasya ca arTa-grahaNAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.63: vidhyarthavādānuvādavacanaviniyogāt	2.1.63: viDi-arTa-vAda-anuvAda-vacana-viniyogAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.64: vidhiḥ vidhāyakaḥ	2.1.64: viDiH viDAyakaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.65: stutiḥ nindā parakṛtiḥ purākalpaḥ iti arthavādaḥ	2.1.65: stutiH nindA para-kRtiH purAkalpaH iti arTa-vAdaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   {arthavāda-bhedaḥ}	{arTa-vAda--BedaH}
   2.1.66: vidhivihitasya anuvacanam anuvādaḥ	2.1.66: viDi-vihitasya anuvacanam anuvAdaH
   {arthavāda-}	{arTa-vAda-}
   2.1.67: na anuvādapunaruktayoḥ viśeṣaḥ, śabdābhyāsopapatteḥ	2.1.67: na anuvAda-punaruktayoH viSezaH, Sabda-aByAsa-upapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.68: śīghrataragamanopadeśavat abhyāsāt na aviśeṣaḥ	2.1.68: SIGratara-gamana-upadeSa-vat aByAsAt na aviSezaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.1.69: mantrāyurvedaprāmāṇyavat ca tatprāmāṇyam, āptaprāmāṇyāt	2.1.69: mantra-Ayurveda-prAmANya-vat ca tad-prAmANyam, Apta-prAmANyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre dvitīyādhyāyasya prathamam āhnikam)	(iti nyAya-sUtre dvitIya-aDyAyasya praTamam Ahnikam-)
   (dvitīyam āhnikam)	(dvitIyam Ahnikam-)
   [pramāṇacatuṣṭvaparīkṣāprakaraṇam]	[pramANa-catuzwva-parIkzA-prakaraNam]
   2.2.1: na catuṣṭvam, aitihyārthāpattisambhavābhāvaprāmāṇyāt	2.2.1: na catuzwvam, Etihya-arTApatti-samBava-aBAva-prAmANyAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.2: śabde aitihyānarthāntarabhāvāt anumāne	2.2.2: Sabde Etihya-anarTa-antara-BAvAt anumAne
   arthāpattisambhavābhāvānarthāntara bhāvāt ca apratiṣedhaḥ	arTApatti-samBava-aBAva-anarTa-antara BAvAt ca apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.3: arthāpattiḥ apramāṇam anaikāntikatvāt	2.2.3: arTApattiH apramANam anEkAntika-tvAt-
   {arthāpattiprāmāṇyaparīkṣā}	{arTA-patti-prAmANya-parIkzA}
   2.2.4: anarthāpattau arthāpattyabhimānāt	2.2.4: anarTa-ApattO arTApatti-aBimAnAt-
   {nānaikāntikatvamarthāpatteḥ}	{nAnEkAntika-tvam-arTApatteH}
   2.2.5: pratiṣedhāprāmāṇyaṃ ca anaikāntikatvāt	2.2.5: pratizeDa-aprAmANyam ca anEkAntika-tvAt-
   2.2.6: tatprāmāṇye vā na arthāpattyaprāmāṇyam	2.2.6: tad-prAmANye vA na arTApatti-aprAmANyam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [abhāvaprāmāṇyasiddhiḥ - avāntaraprakaraṇam]	[aBAva-prAmANya-sidDiH  avAntara-prakaraNam]
   2.2.7: na abhāvaprāmāṇyaṃ prameyāsiddheḥ	2.2.7: na aBAva-prAmANyam prameya-asidDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.8: lakṣiteṣvalakṣaṇalakṣitatvāt alakṣitānāṃ tatprameyasiddheḥ	2.2.8: lakzitezu-alakzaNa-lakzita-tvAt alakzitAnAm tat-prameya-sidDeH
   {udāharaṇa sūtra}	{udAharaNa sUtra}
   2.2.9: asati arthe na abhāvaḥ iti cet na, anyalakṣaṇopapatteḥ	2.2.9: asati arTe na aBAvaH iti ced na, anya-lakzaNa-upapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.10: tatsiddheḥ alakṣiteṣu ahetuḥ	2.2.10: tad-sidDeH alakzitezu ahetuH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.11: na, lakṣaṇāvasthitāpekṣasiddheḥ	2.2.11: na, lakzaNa-avasTita-apekza-sidDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.12: prāk utpatteḥ abhāvopapatteḥ ca	2.2.12: prAk utpatteH aBAva-upapatteH ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śabdānityatvaparīkṣāprakaraṇam(13-39)]	[Sabda-anitya-tva-parIkzA-prakaraNam-(13-39)]
   2.2.13: ādimatvāt aindriyakatvāt kṛtakavat upacārāt ca	2.2.13: Adima-tvAt Endriyaka-tvAt kRtaka-vat upacArAt ca
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   2.2.14: na, ghaṭābhāvasāmānyanityatvāt nityeṣu api anityavat upacārāt ca	2.2.14: na, Gawa-aBAva-sAmAnya-nitya-tvAt nityezu api anitya-vat upacArAt ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.15: tattvabhāktayoḥ nānātvavibhāgāt avyabhicāraḥ	2.2.15: tattva-BAktayoH nAnAtva-viBAgAt avyaBicAraH
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.16: santānānumānaviśeṣaṇāt	2.2.16: santAna-anumAna-viSezaNAt
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.17: kāraṇadravyasya pradeśaśabdenābhidhānāt	2.2.17: kAraNa-dravyasya pradeSa-Sabdena-aBiDAnAt-
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.18: prāk uccāraṇāt anupalabdheḥ āvaraṇādyanupalabdheḥ ca	2.2.18: prAk uccAraNAt anupalabDeH AvaraNa-Adi-anupalabDeH ca
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   2.2.19: tadanupalabdheḥ anupalambhāt āvaraṇopapattiḥ	2.2.19: tad-anupalabDeH anupalamBAt AvaraNa-upapattiH
   {śabdānityatva-pratipādana-sūtra}	{Sabda-anitya-tva--pratipAdana--sUtra}
   2.2.20: anupalambhāt anupalabdhisadbhāvāt na āvaraṇānupapattiḥ	2.2.20: anupalamBAt anupalabDi-sadBAvAt naH AvaraNa-anupapattiH
   anupalambhāt	anupalamBAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.21: anupalambhātmakatvāt anupalabdheḥ ahetuḥ	2.2.21: anupalamBa-Atmaka-tvAt anupalabDeH ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.22: asparśatvāt	2.2.22: asparSa-tvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.23: na, karmānityatvāt	2.2.23: na, karma-anitya-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.24: na, aṇunityatvāt	2.2.24: na, aNu-nitya-tvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.25: sampradānāt	2.2.25: sampradAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.26: tadantarālānupalabdheḥ ahetuḥ	2.2.26: tad-antarAla-anupalabDeH ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.27: adhyāpanāt apratiṣedhaḥ	2.2.27: aDyApanAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.28: ubhayoḥ pakṣayoḥ anyatarasya adhyāpanāt apratiṣedhaḥ	2.2.28: uBayoH pakzayoH anyatarasya aDyApanAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.29: abhyāsāt	2.2.29: aByAsAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.30: na anyatve api abhyāsasya upacārāt	2.2.30: na anya-tve api aByAsasya upacArAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.31: anyat anyasmāt ananyatvāt ananyat iti anyatābhāvaḥ	2.2.31: anyat anyasmAt ananya-tvAt ananyat iti anya-tA-BAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.32: tadabhāve na asti ananyatā, tayoḥ itaretarāpekṣasiddheḥ	2.2.32: tad-aBAve na asti ananyatA, tayoH itaretara-apekza-sidDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.33: vināśakāraṇānupalabdheḥ	2.2.33: vinASa-kAraNa-anupalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.34: aśravaṇakāraṇānupalabdheḥ satataśravaṇaprasaṅgaḥ	2.2.34: aSravaNa-kAraNa-anupalabDeH satata-SravaNa-prasaFgaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.35: upalabhyamāne ca anupalabdheḥ asattvāt anapadeśaḥ	2.2.35: upalaByamAne ca anupalabDeH asattvAt anapadeSaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.36: pāṇinimittapraśleṣāt śabdābhāve na anupalabdhiḥ	2.2.36: pANi-nimitta-praSlezAt Sabda-aBAve na anupalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.37: vināśakāraṇānupalabdheḥ ca avasthāne tannityatvaprasaṅgaḥ	2.2.37: vinASa-kAraNa-anupalabDeH ca avasTAne tad-nitya-tva-prasaFgaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.38: asparśatvāt apratiṣedhaḥ	2.2.38: asparSa-tvAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.39: vibhaktyantaropapatteḥ ca samāse	2.2.39: viBakti-antara-upapatteH ca samAse
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śabdapariṇāmaparīkṣāprakaraṇam(40-56)]	[Sabda-pariNAma-parIkzA-prakaraNam-(40-56)]
   2.2.40: vikārādeśopadeśāt saṃśayaḥ	2.2.40: vikAra-AdeSa-upadeSAt saMSayaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.41: prakṛtivivṛddhau vikāravivṛddheḥ	2.2.41: prakRti-vivRdDO vikAra-vivRdDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.42: nyūnasamādhikopalabdheḥ vikārāṇām ahetuḥ	2.2.42: nyUna-samADika-upalabDeH vikArANAm ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.43: dvividhasya api hetoḥ abhāvāt asādhanaṃ dṛṣṭāntaḥ	2.2.43: dviviDasya api hetoH aBAvAt asADanam dRzwAntaH
   {udāharaṇasūtra}	{udAharaNa-sUtra}
   2.2.44: na, atulyaprakṛtīnām vikāravikalpāt	2.2.44: na, atulya-prakRtInAm vikAra-vikalpAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.45: dravyavikāravaiṣamyavat varṇavikāravikalaḥ	2.2.45: dravya-vikAra-vEzamya-vat varNa-vikAra-vikalaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.46: na, vikāradharmānupapatteḥ	2.2.46: na, vikAra-Darma-anupapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.47: vikāraprāptānām apunarāpatteḥ	2.2.47: vikAra-prAptAnAm apunar-ApatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.48: suvarṇādīnāṃ punarāpatteḥ ahetuḥ	2.2.48: suvarNa-AdInAm punar-ApatteH ahetuH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.49: na, tadvikārāṇāṃ suvarṇabhāvāvyatirekāt	2.2.49: na, tad-vikArANAm suvarNa-BAva-avyatirekAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.50: varṇatvāvyatirekāt varṇavikārāṇām apratiṣedhaḥ	2.2.50: varNa-tva-avyatirekAt varNa-vikArANAm apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.51: sāmānyavato dharmayogo na sāmānyasya	2.2.51: sAmAnyavataH Darma-yogaH na sAmAnyasya
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.52: nityatve avikārāt anityatve ca anavasthānāt	2.2.52: nitya-tve avikArAt anitya-tve ca anavasTAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.53: nityānām atīndriyatvāt taddharmavikalpāt ca varṇavikārāṇām	2.2.53: nityAnAm atIndriya-tvAt tad-Darma-vikalpAt ca varNa-vikArANAm
   apratiṣedhaḥ	apratizeDaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.54: anavasthāyitve ca varṇopalabdhivat tadvikāropapattiḥ	2.2.54: anavasTAyi-tve ca varNa-upalabDi-vat tad-vikAra-upapattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.55: vikāradharmitve nityatvābhāvāt kālāntare vikāropapatteḥ ca	2.2.55: vikAra-Darmi-tve nitya-tva-aBAvAt kAla-antare vikAra-upapatteH ca
   apratiṣedhaḥ	apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.56: prakṛtyaniyamāt	2.2.56: prakRti-aniyamAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.57: aniyame niyamāt na aniyamaḥ	2.2.57: aniyame niyamAt na aniyamaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.58: niyamāniyamavirodhāt aniyame niyamāt ca apratiṣedhaḥ	2.2.58: niyama-aniyama-viroDAt aniyame niyamAt ca apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.59: guṇāntarāpattyupamarda-hrāsa-vṛddhi-śleṣebhyaḥ tu vikāropapatteḥ	2.2.59: guNa-antara-Apatti-upamarda--hrAsa--vRdDi--SlezeByaH tu vikAra-upapatteH
   varṇavikārāḥ	varNa-vikArAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śabdaśaktiparīkṣāprakaraṇam]	[Sabda-Sakti-parIkzA-prakaraNam]
   2.2.60: te vibhaktyantāḥ padam	2.2.60: te viBakti-antAH padam
   {pada-lakṣaṇa-sūtram}	{pada--lakzaNa-sUtram}
   2.2.61: vyaktyākṛtijātisannidhau upacārāt saṃśayaḥ	2.2.61: vyakti-AkRti-jAti-sanniDO upacArAt saMSayaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   [vyaktivāda-avāntaraprakaraṇam]	[vyakti-vAda--avAntara-prakaraNam]
   yāśabda-samūha-tyāga-parigraha-saṅkhyā-vṛddhyapacaya-varṇa-samāsānubandhānām	yA-Sabda--samUha--tyAga--parigraha--saFKyA--vRdDi-apacaya--varNa--samAsa-anubanDAnAm
   vyaktau upacārāt vyaktiḥ	vyaktO upacArAt vyaktiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.63: na, tat anavasthānāt	2.2.63: na, tat anavasTAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   sahacaraṇa-sthāna-tādarthya-vṛtta-māna-dhāraṇa-sāmīpya-yoga-sādhanādhipatyebhyaḥ	sahacaraNa--sTAna-tAdarTya--vRtta-mAna--DAraNa--sAmIpya-yoga--sADana-ADipatyeByaH
   brāhmaṇa-mañca-kaṭa-rāja-saktu-candana-gaṅgā-śāṭakānna-puruṣeṣvatadbhāve	brAhmaNa--maQca--kawa-rAja--saktu--candana--gaFgA--SAwakAnna-puruzezu-atad-BAve
   api tadupacāraḥ	api tad-upacAraH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ākṛtivāda-avāntaraprakaraṇam]	[a-AkRti-vAda--avAntara-prakaraNam]
   2.2.65: ākṛtiḥ, tadapekṣatvāt sattvavyavasthānasiddheḥ	2.2.65: AkRtiH, tad-apekza-tvAt sattva-vyavasTAna-sidDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   [jātivāda-avāntaraprakaraṇam]	[jAtivAda--avAntara-prakaraNam]
   2.2.66: vyaktyākṛtiyukte api aprasaṅgāt prokṣaṇādināṃ mṛdgavake jātiḥ	2.2.66: vyakti-AkRti-yukte api aprasaFgAt prokzaNa-AdinAm mRd-gavake jAtiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   2.2.67: na, ākṛtivyaktyapekṣatvāt jātyabhivyakteḥ	2.2.67: na, AkRti-vyakti-apekza-tvAt jAti-aBivyakteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [siddhāntavāda-avāntaraprakaraṇam]	[sidDAnta-vAda--avAntara-prakaraNam]
   2.2.68: vyaktyākṛtijātayaḥ tu padārthaḥ	2.2.68: vyakti-AkRti-jAtayaH tu padArTaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.69: vyaktiḥ guṇaviśeṣāśrayaḥ mūrtiḥ	2.2.69: vyaktiH guNa-viSeza-ASrayaH mUrtiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.70: ākṛtiḥ jātiliṅgākhyā	2.2.70: AkRtiH jAti-liFga-AKyA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   2.2.71: samānaprasavātmikā jātiḥ	2.2.71: samAna-prasava-AtmikA jAtiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre dvitīyādhyāyasya dvitīyam āhnikam)	(iti nyAya-sUtre dvitIya-aDyAyasya dvitIyam Ahnikam-)
   samāptaḥ ca ayam dvitīyādhyāyaḥ	samAptaH ca ayam dvitIya-aDyAyaH
   (atha tṛtīyaḥ adhyāyaḥ)	(aTa tRtIyaH aDyAyaH)
   (prathamam āhnikam)	(praTamam Ahnikam-)
   [indriyavyatiriktātmaparīkṣāprakaraṇaṃ(1-3)]	[indriya-vyatirikta-Atma-parIkzA-prakaraNaM(1-3)]
   3.1.1: darśanasparśanābhyām ekārthagrahaṇāt	3.1.1: darSana-sparSanAByAm eka-arTa-grahaNAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.2: na, viṣayavyavasthānāt	3.1.2: na, vizaya-vyavasTAnAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.3: tadvyavasthānāt eva ātmasadbhāvāt apratiṣedhaḥ	3.1.3: tad-vyavasTAnAt eva Atma-sadBAvAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śarīravyatiriktātmaparīkṣāprakaraṇam]	[SarIra-vyatirikta-Atma-parIkzA-prakaraNam]
   3.1.4: śarīradāhe pātakābhāvāt	3.1.4: SarIra-dAhe pAtaka-aBAvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.5: tadabhāvaḥ sātmakapradāhe api, tannityatvāt	3.1.5: tad-aBAvaH sa-Atmaka-pradAhe api, tad-nitya-tvAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.6: na, kāryāśrayakartṛvadhāt	3.1.6: na, kArya-ASraya-kartR-vaDAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prāsaṅgikaṃ cakṣuradvaitaparīkṣāprakaraṇam(7-14)]	[prAsaFgikam cakzuH-advEta-parIkzA-prakaraNam-(7-14)]
   3.1.7: savyadṛṣṭasya itareṇa pratyabhijñānāt	3.1.7: savya-dRzwasya itareNa pratyaBijQAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.8: na ekasmin nāsāsthivyavahite dvitvābhimānāt	3.1.8: na ekasmin nAsA-asTi-vyavahite dvi-tva-aBimAnAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.9: ekavināśe dvitīyāvināśāt na ekatvam	3.1.9: eka-vinASe dvitIya-avinASAt na eka-tvam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.10: avayavanāśe api avayavyupalabdheḥ ahetuḥ	3.1.10: avayava-nASe api avayavi-upalabDeH ahetuH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.11: dṛṣṭāntavirodhāt apratiṣedhaḥ	3.1.11: dRzwAnta-viroDAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.12: indriyāntaravikārāt	3.1.12: indriya-antara-vikArAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.13: na, smṛteḥ smarttavyaviṣayatvāt	3.1.13: na, smRteH smarttavya-vizaya-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.14: tadātmaguṇasadbhāvāt apratiṣedhaḥ	3.1.14: tad-A-Atma-guNa-sadBAvAt apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ātmamanobhedaparīkṣāprakaraṇam(15-17)]	[Atma-manoBeda-parIkzA-prakaraNam-(15-17)]
   3.1.15: na, ātmapratipattihetūnāṃ manasi sambhavāt	3.1.15: na, Atma-pratipatti-hetUnAm manasi samBavAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.16: jñātuḥ jñānasādhanopapatteḥ saṃjñābhedamātram	3.1.16: jQAtuH jQAna-sADana-upapatteH saMjQA-Beda-mAtram
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.17: niyamaḥ ca niranumānaḥ	3.1.17: niyamaH ca niranumAnaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ātmanityatvaparīkṣāprakaraṇam(18-26)]	[a-Atma-nitya-tva-parIkzA-prakaraNam-(18-26)]
   3.1.18: pūrvābhyastasmṛtyanubandhāt jātasya harṣabhayaśokasampratipatteḥ	3.1.18: pUrva-aByasta-smRti-anubanDAt jAtasya harza-Baya-Soka-sampratipatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.19: padmādiṣu prabodhasammīlanavikāravat tadvikāraḥ	3.1.19: padma-Adizu praboDa-sammIlana-vikAra-vat tad-vikAraH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.20: na, uṣṇaśītavarṣākālanimittatvāt pañcātmakavikārāṇām	3.1.20: na, uzNa-SIta-varzA-kAla-nimitta-tvAt paQca-Atmaka-vikArANAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.21: pretyāhārābhyāsakṛtāt stanyābhilāṣāt	3.1.21: pretya-AhAra-aByAsa-kRtAt stanya-aBilAzAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.22: ayasaḥ ayaskāntābhigamanavat tadupasarpaṇam	3.1.22: ayasaH ayaskAnta-aBigamana-vat tad-upasarpaNam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.23: na, anyatra pravṛttyabhāvāt	3.1.23: na, anyatra pravRtti-aBAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.24: vītarāgajanmādarśanāt	3.1.24: vIta-rAga-janma-adarSanAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.25: saguṇadravyotpattivat tadutpattiḥ	3.1.25: sa-guNa-dravya-utpatti-vat tad-utpattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.26: na, saṅkalpanimittatvāt rāgādīnām	3.1.26: na, saFkalpa-nimitta-tvAt rAga-AdInAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śarīraparīkṣāprakaraṇam(27-31)]	[SarIra-parIkzA-prakaraNam-(27-31)]
   3.1.27: pārthivaṃ guṇāntaropalabdheḥ	3.1.27: pArTivam guNa-antara-upalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.28: pārthivāpyataijasaṃ tadguṇopalabdheḥ	3.1.28: pArTiva-apya-tEjasam tad-guNa-upalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.29: niḥśvāsocchvāsopalabdheḥ cāturbhauntikam	3.1.29: niHSvAsa-ucCvAsa-upalabDeH cAturBOntikam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.30: gandhakledapākavyūhāvakāśadānebhyaḥ pāñcabhautikam	3.1.30: ganDa-kleda-pAka-vyUha-avakASa-dAneByaH pAQcaBOtikam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.31: śrutiprāmāṇyāt ca	3.1.31: Sruti-prAmANyAt ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [indriyaparīkṣāprakaraṇam(32-51)]	[indriya-parIkzA-prakaraNam-(32-51)]
   3.1.32: kṛṣṇasāre sati upalambhāt vyatiricya ca upalambhāt saṃśayaḥ	3.1.32: kRzNasAre sati upalamBAt vyatiricya ca upalamBAt saMSayaH
