   Paṇḍitāśokaracitam	PaNxita aSoka racitam
   kiñcidṛśyeteti / tat sidvamāvṛtānāvṛtarūpaḥ sthūlo 'rtha iti //	kiQcidRSyeta iti / tat sidvam AvRta anAvRta rUpaH sTUlaH arTaH iti //
   tathā rāgārāgābhyāṃ virodhaḥ sambhāvanīyaḥ / tathā hyekasminnukte sthulo	taTA rAga ArAgAByAm viroDaH samBAvanIyaH / taTA hi ekasmin= ukte sTulaH 
   'rtho raktārakte rūpe yugapat pratipadyamāno virudvarūpadvayayogamātmanaḥ	arTaH rakta Arakte rUpe yugapad pratipadyamAnaH virudva rUpa dvaya yogam AtmanaH
   prakāśayati / nanva vayava eva rakto 'vayavī tvaraktaikarūpa eveti /	prakASayati / nanva vayavaH eva raktaH avayavI tvarakta eka rUpaH eva iti /
   yadyevaṃ rakte 'vayave 'raktarūpo 'vayavī dṛśyeta / na caivaṃ / athavā	yadi evam rakte avayave arakta rUpaH avayavI dRSyeta / na ca evam / aTavA
   rāgadravyasaṃyogo hi raktatvaṃ / avayavasya ca rāgadravyeṇa saṃyoge	rAga dravya saMyogaH hi rakta tvam / avayavasya ca rAga dravyeNa saMyoge
   'vayavino 'pi tena bhāvyaṃ / avaśyaṃ hi kāraṇasaṃyoginā kāryyamapi	avayavinaH api tena BAvyam / avaSyam hi kAraNa saMyoginA kAryyam api
   saṃyujyata iti samayāt / yastvāha rakta evāvayavī / asti hi kuṅkumārakte	saMyujyate iti samayAt / yaH tu Aha raktaH eva avayavI / asti hi kuFkuma Arakte
   paṭāvayave kuṅkumāraktaḥ paṭa iti pratyayaḥ / tato rāgadravyasaṃyukta	pawa avayave kuFkuma AraktaH pawaH iti pratyayaH / tatas rAga dravya saMyukta
   evāvayavīti tasyāpi varṇāntarānavabhāsaḥ syādavayavinaḥ / rāgadravyaṃ hi	eva avayavI iti tasya api varNa antara anavaBAsaH syAt avayavinaH / rAga dravyam hi
   pratyāsīdat nijarūpaṃ vastuna stirodhatte svena ca rūpeṇa dravyaṃ	pratyAsIdat nija rUpam vastuna stiroDatte svena ca rUpeNa dravyam
   sambandhati / yathā raktovayavastirohitasahajarūpo rāgadravyasamavāyinā	sambanDati / yaTA raktaH vaya vaH tirohita sahaja rUpaH rAga dravya samavAyinA
   rūpeṇa sambandhī pratibhāti / avayavinyapi rāgadravyasaṃyogini	rUpeNa sambanDI pratiBAti / avayavini api rAga dravya saMyogini
   varṇāntarānavabhāsaprasaṅgo durvvāraḥ / tanna rakta evāvayavīti śakyaṃ	varNa antara anavaBAsa prasaFgaH durvvAraH / tat na raktaH eva avayavI iti Sakyam
   vaktum /	vaktum /
   anyastu saṃyogasyāvyāpyavṛttyā samādhatte / sa hyāha śabda ivāvyāpyavṛttiḥ	anyaH tu saMyogasya avyApya vRttyA samADatte / sa hi Aha SabdaH iva avyApya vRttiH
   saṃyogaḥ / tenaikārtho raktaścāraktaśceti / so 'pyevaṃ paryyanuyojyaḥ /	saMyogaH / tena eka arTaH raktaH ca AraktaH ca iti / saH api evam paryyanuyojyaH /
   kathamavyāpyavṛttiḥ / yadi hi svāśraye samaveto rūpādivat	kaTam avyApya vRttiH / yadi hi sva ASraye samavetaH rUpa Adi vat 
   vyāpyavṛttirevāyaṃ / asamavetaścāvṛttirevāpyadravyeṣtiva gandhaḥ / ekatra	vyApya vRttiH eva ayam / asamavetaH ca AvRttiH eva api adravyeztiva ganDaH / ekatra
   saṃyogasyabhāvābhāvāvyāpino vṛttiriti cet / syādetadyathā virudvāvapi	saMyogasya BAva aBAva avyApinaH vRttiH iti ced / syAt etat yaTA virudvO= api
   rūparasāvekamāśrayete / tathā saṃyogasyāpyekatra bhāvābhāvau yugapat	rUpa rasO= ekam ASrayete / taTA saMyogasya api ekatra BAva aBAvO yugapad 
   syātām /	syAtAm /
   aho mohavijṛmbhitaṃ / abhāvo hi bhāvanivṛttirūpo nāsya bhāvanivṛttiṃ hitvā	aho moha vijRmBitam / aBAvaH hi BAva nivRtti rUpaH na asya BAva nivRttim hitvA
   rūpāntaramīkṣate / yaśca yannivṛttirūpaḥ sa kathaṃ tasmin satyeva bhavati	rUpa antaram Ikzate / yaH ca yat nivRtti rUpaH sa kaTam tasmin sati eva Bavati
   / bhāve vā tannivṛttirūpatāṃ jahyāt / tathā hyanalaṃ paśyannapi salilārthī	/ BAve vA tad nivRtti rUpa tAm jahyAt / taTA hi analam paSyan= api salila arTI
   tatra pravartteta / jalaviviktasyānalasya daśanāt /	tatra pravartteta / jala viviktasya analasya daSanAt /
   jalābhāvasidverapravṛtteriti cet /	jala aBA= asi dvera pravRtteH iti ced /
   bhavatvanupalambhājjalābhāvasidvistathāpi jalasattāṃ sambhāvayan jalārthī	Bavatu anupalamBAt jala aBAva si dvis taTA api jala sattAm samBAvayan jala arTI
   pravartteta / nanu tatra yadi jalaṃ syādupalabhyeta kimataḥ / ato	pravartteta / nanu tatra yadi jalam syAt upalaByeta kim atas / atas 
   'nupalambhādabhāvo jalasyeti / yadyapyabhyupagataiva jalābhāvasidviḥ /	anupalamBAt aBAvaH jalasya iti / yadi api aByupagatA eva jala aBA= a sidvis /
   tathāpi tadarthinastadbhāvaśaṅkayā pravṛttiḥ syāt / yugapadekatra	taTA api tad arTinaH tad BAva SaFkayA pravRttiH syAt / yugapad ekatra
   saṃyogasya bhāvābhāvau dṛśyete / tenaivaṃ kalpayāmo na svecchayā / nanu	saMyogasya BAva aBAvO dRSyete / tena evam kalpayAmaH na sva icCayA / nanu
   kimabhāvobhāvapratiṣedhātmakaḥ pratīyate / anyathā vā / tatra	kim aBAvaH BAva pratizeDa AtmakaH pratIyate / anyaTA vA / tatra
   bhāvanivṛttirūpe 'bhāve sidve kathaṃ bhāvopalabdhirna bhrāntā syāt /	BAva nivRtti rUpe aBAve sidve kaTam BAva upalabDiH na BrAntA syAt /
   bhāvāpratiṣedhātmakaśca nābhāvaḥ / nāmamātrantu syāt / na ca	BAva apratizeDa AtmakaH ca na aBAvaH / nAma mAtrantu syAt / na ca
   nāmamātrādarthasya tathābhāvaḥ / rūparasayostu na parasparanivṛttī	nAma mAtrAt arTasya taTA aBAvaH / rUpa rasayoH tu na paraspara nivRttI
   rūpamiti kathaṃ tadudāharaṇamiha śobheta / na ca rūparasayorekatra	rUpam iti kaTam tat udAharaNam iha SoBeta / na ca rUpa rasayoH ekatra
   samavāyo 'smābhiranu manyate / śabdo 'pyevamevāvyāpyavṛttirasidvaḥ sa	samavAyaH asmABiH anu manyate / SabdaH api evam eva avyApya vRttiH asidvaH sa
   kathaṃ prakṛtasaṃśayanivṛttaye kalpyeteti / alaṃ bahubhāṣitayā //	kaTam prakRta saMSaya nivRttaye kalpyeta iti / alam bahu BAzitayA //
   athavā sthūlo 'rthastadataddeśaḥ pratīyate / taddeśayośca	aTavA sTUlaH arTaH tad atad deSaH pratIyate / tad deSayoH ca
   parasparābhāvāvyabhicāranimitto 'sti virodhaḥ / ato	paraspara aBAva avyaBicAra nimittaH asti viroDaH / atas 
   virudvadharmmasaṃsargaḥ sthūlasya / syādetat kathaṃ tadataddeśayoḥ	virudva Darmma saMsargaH sTUlasya / syAt etat kaTam tat atad deSayoH
   parasparābhāvāvyabhicāraḥ / ucyate / iha tāvadekasmin deśe paricchidyamāne	paraspara aBAva avyaBicAraH / ucyate / iha tAvat ekasmin deSe paricCidyamAne
   tādrūpyapracyutirasya vyavacchidyate / tadavyavacchede	tAdrUpya pracyutirasya vyavacCidyate / tat avyavacCede
   tatparicchedābhāvaprasakteḥ / pracyutivacca pracyutimadapi deśāntaraṃ	tad paricCeda aBAva prasakteH / pracyuti vat ca pracyutimat api deSa antaram
   vyavacchidyate / yadi hi paricchidyamāno deśāntarasvabhāvo bhavettadā	vyavacCidyate / yadi hi paricCidyamAnaH deSa antara svaBAvaH Bavet tadA
   tadrūpa evopalabdho bhavet / deśāntararūpantu virahayya svena rūpeṇa	tad rUpaH eva upalabDaH Bavet / deSa antara rUpantu virahayya svena rUpeNa
   prakāśamāno deśo deśāntarāsaṃsṛṣṭa ityavasīyate / yathā ca deśasya	prakASamAnaH deSaH deSa antara asaMsRzwaH iti avasIyate / yaTA ca deSasya
   deśāntarāsaṃsargastathā tenādhārabhūtena deśena yadyāptaṃ rūpaṃ tadapi	deSa antara asaMsargaH taTA tena ADAra BUtena deSena yadi Aptam rUpam tat api
   deśāntarasaṃsargādavicchinnaṃ bhavati / kathaṃ hi tena deśena vyāptaṃ	deSa antara saMsargAt avicCinnam Bavati / kaTam hi tena deSena vyAptam
   rūpaṃ tadabhāvavati deśāntare vartteta / yathā ekena deśena vyāpto ghaṭo	rUpam tat aBAvavati deSa antare vartteta / yaTA ekena deSena vyAptaH Gawo
   na deśāntare varttate / deśāntare 'nupalambhādavṛttiriti cet / viprakṛṣṭe	na deSa antare varttate / deSa antare anupalamBa AdavRttiH iti ced / viprakRzwe
   deśāntare kathamasyābhāvaḥ pratipattavyaḥ / tasmādidamakāmakenāpi vācyaṃ /	deSa antare kaTam asya aBAvaH pratipattavyaH / tasmAt idamakAmakena api vAcyam /
   yaduta ekadeśavyāptaṃ rūpaṃ na deśāntare varttate iti / tasya tena	yat uta eka deSa vyAptam rUpam na deSa antare varttate iti / tasya tena
   byāpanaprasaṅgāt / tadabhāvavati deśāntare varttamāno 'pi tena deśena	byApana prasaFgAt / tad aBAvavati deSa antare varttamAnaH api tena deSena
   vyāpyeta / na ca vyāptirasya śakyāvasātuṃ / bhāgāntarāsambhavāt / etena	vyApyeta / na ca vyAptiH asya Sakya avasAtum / BAga antara asamBavAt / etena
   tannirastaṃ / yadāha kaścit / yathaikobhāvastadataddeśaṃ	tat nirastam / yat Aha kaScid / yaTA ekoBAvaH tat atad deSam
   janayannavirudhyata iti / tadapi na prakṛtānurūpam /	janayan= aviruDyate iti / tat api na prakRta anurUpam /
   tathāhi bhāvābhāvāveva parasparaparihāreṇa virudvau na vastunī /	taTA hi BAva aBAvO= eva paraspara parihAreNa virudvO na vastunI /
   vastunostu parasparābhāvāvyabhicāreṇa virodhaḥ / tena yadeva vastu	vastunoH tu paraspara aBAva avyaBicAreNa viroDaH / tena yat eva vastu
   vastvantarapracyutimat tadeva tena virudvaṃ / na	vastu antara pracyutimat tat eva tena virudvam / na
   caikakāryyanivarttanaśaktiḥ kāryyāntaraśaktayabhāvāvyabhicāriṇī /	ca eka kAryya nivarttana SaktiH kAryya antara Saktaya BAva avyaBicAriNI /
   anupalambho hi vastuno vastvantarābhābāvyabhicāraṃ sādhayati /	anupalamBaH hi vastunaH vastu antarABA bAvi aBicAram sADayati /
   ekakāryyanirvarttanaśaktimati ca rūpe gṛhyamāṇe kāryyāntara	eka kAryya nirvarttana Saktimati ca rUpe gRhyamANe kAryya antara
   nirvarttanaśaktirapi paricchidyata iti / kathaṃ tadabhāvaḥ /	nirvarttana SaktiH api paricCidyate iti / kaTam tad aBAvaH /
   ekadeśasambadvaṃ tu rūpaṃ	eka deSa sambadvam tu rUpam
   deśāntarasaṃsargirūpaparihāreṇopalabhyamānantadabhāvāvyabhicāri tena	deSa antara saMsargi rUpa parihAreNa upalaByam Ananta daBAva avyaBicAri tena
   virudvaṃ / yathātyanta sadṛśorvastunoryugapadupalabhyamānayoḥ satyapi	virudvam / yaTA atyanta sadRSoH vastunoH yugapad upalaByamAnayoH sati api
   cākārabhede dūrādanupalakṣyamāṇabhedayordeśabhedamātranimittakaṃ	ca AkAra Bede dUrAt anupalakzyamANa BedayoH deSa Beda mAtra nimittakam
   pratyakṣāvasitaṃ virodhamāśritya bhedo 'vasthāpyate / yastvāha / yathaikaṃ	pratyakza avasitam viroDam ASritya BedaH avasTApyate / yaH tu Aha / yaTA ekam
   cakṣurvijñānaṃ bhinneṣu cakṣurādiṣu varttate tadadhīnotpādatayā / tathānyo	cakzuH vijQAnam Binnezu cakzuH Adizu varttate tad aDIna utpAda tayA / taTA anyaH 
   'pi bhinnadeśanivṛttirnna bhetsyata iti / so 'pi deśabhedanimitte virodhe	api Binna deSa nivRttiH nna Betsyate iti / saH api deSa Beda nimitte viroDe
   'vasthāpyamāne vastunaḥ kāraṇabhedanimittaṃviro dhamāsañjayan na	avasTApyamAne vastunaH kAraNa Beda nimittaMviraH DamAsaQjayan na
   naipuṇyamātmano nivedayati / na hi vijñānasya deśo 'sti kaścit /	nEpuNyam AtmanaH nivedayati / na hi vijQAnasya deSaH asti kaScid /
   amūrttatvāt / syādetat / yathā deśabhedanimitto virodhastathā	amUrtta tvAt / syAt etat / yaTA deSa Beda nimittaH viroDaH taTA
   kāraṇabhedanimitto 'pi syāt / ko hi vastuto viśeṣaḥ,	kAraNa Beda nimittaH api syAt / kaH hi vastutas viSezaH,
   kāraṇabhedāddeśabhedasyeti /	kAraNa BedAt deSa Bedasya iti /
   uktamiha / parasparābhāvāvyabhicāranimitto vastūnāmasti virodhaḥ / sa	uktam iha / paraspara aBAva avyaBicAra nimittaH vastUnAm asti viroDaH / sa
   deśabhede 'pi sannidhīyete na kāraṇabhede / deśabhedavatī hi rūpe 'nyo	deSa Bede api sanniDIyete na kAraNa Bede / deSa BedavatI hi rUpe anyaH 
   'nyaparihāreṇopalabhyamāne / parasparābhāvāvyabhicāriṇī bhavato na	anya parihAreNa upalaByamAne / paraspara aBAva avyaBicAriNI BavataH na
   kāraṇabhedavatī / tadevaṃ kamparāgāvaraṇabhāvābhāvakṛte	kAraNa BedavatI / tat evam kampa rAga AvaraNa BAva aBAva kRte
   deśabhedanibandhane ca caturthe virudvadharmmasaṃsarge 'vayaviviṣaye	deSa Beda nibanDane ca caturTe virudva Darmma saMsarge avayavi vizaye
   vyavasthāpite pakṣadharmmatvaṃ sidvaṃ hetoḥ / adhunāvyāptirevāsya	vyavasTApite pakza Darmma tvam sidvam hetoH / aDunA avyAptiH eva asya
   svasādhyena samarthanīyā / iha virudvadharmmasaṃsargavirahamātranibandhano	sva sADyena samarTanIyAH / iha virudva Darmma saMsarga viraha mAtra nibanDanaH 
   bhedavyavahāro vastūnāṃ dṛṣṭaḥ, ahetorayogāt / nimittāntarasya vādarśanāt	Beda vyavahAraH vastUnAm dRzwaH, ahetoH ayogAt / nimitta antarasya vA adarSanAt 
   / tato virudvadharmmasaṃsarge 'pi bhavannabhedavyavahāro vyāpakaṃ	/ tatas virudva Darmma saMsarge api Bavat = aBeda vyavahAraH vyApakam
   nimittavattvaṃ jahyāt / tato vyāpakānupalabdhyā tasmādvyāvṛtto	nimittavat tvam jahyAt / tatas vyApaka anupalabDyA tasmAt vyAvRttaH 
   virudvadharmmaviraheṇa vyāpyate / tadvirudvaśca virudvadharmmasaṃsargaḥ /	virudva Darmma viraheNa vyApyate / tad virudvaH ca virudva Darmma saMsargaH /
   teneyaṃ vyāpakavirudvopalabdhibhūmikā / evaṃ prasādhite 'syāstrairūpye	tena iyam vyApaka virudva upalabDi BUmikA / evam prasADite asya aH trErUpye
   'sidvavirudvānaikāntikā doṣā nāvakāśaṃ labhante / iti //	asi dvavirudvAn EkAntikAH dozAH na avakASam laBante / iti //
   evaṃ mayā bahuṣu durmmatinirmmiteṣu pratyudvṛteṣu khalu dūṣaṇakaṇṭakeṣu /	evam mayA bahuzu durmmati nirmmitezu pratyudvRtezu Kalu dUzaNa kaNwakezu /
   ācāryyanītipatha eva viśodhito 'yamutsāryyamatsaramanena janaḥ prayātu //	AcAryyanIti paTaH eva viSoDitaH ayam utsAryyamatsaram anena janaH prayAtu //
   samāptañcedamavayavinirākaraṇamiti //	samAptaQcedam avayavi nirAkaraNam iti //
