   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
        [tṛtīyāśramaniṣṭhānāṃ na naisargikaṃ vaikhānasatvam]	[tRtIya-ASrama-nizWAnAm na nEsargikam vEKAnasa-tvam]
   [21.2-6] nanu: "brahmacārī gṛhasthaś ca bhikṣur vaikhānasas tathā" iti	[21.2-6] nanu: "brahmacArI gRhasTaH ca BikzuH vEKAnasaH taTA" iti
   tatra tatra tṛtīyāśramaniṣṭhānām eva vaikhānasatvāvagamāt ta eva	tatra tatra tRtIya-ASrama-nizWAnAm eva vEKAnasa-tva-avagamAt te eva
   vaikhānasaśabdavācyāḥ kiṃ na syur iti cet na. śrutismṛtipurāṇādiṣu	vEKAnasa-Sabda-vAcyAH kim na syuH iti ced na. Sruti-smRti-purANa-Adizu
   uktaprakāreṇa brahmaṇā sṛṣṭānām eva vaikhānasatvāvagamāt teṣām eva tatra	ukta-prakAreNa brahmaNA sRzwAnAm eva vEKAnasa-tva-avagamAt tezAm eva tatra
   tatrotkṛṣṭatvapratipādanāc ca.	tatra-utkRzwa-tva-pratipAdanAt ca.
        [vaikhānasānāṃ brahmasabhāpraveśaḥ]	[vEKAnasAnAm brahma-saBA-praveSaH]
   [21.7-8]     tathā hi: śrutāv eva vaikhānasānām utpattiḥ śrūyate. "ye	[21.7-8]     taTA hi: SrutO eva vEKAnasAnAm utpattiH SrUyate. "ye
   nakhāḥ te vaikhānasāḥ" iti. chandogyabrāhmaṇe: "vaikhānasā vā ṛṣaya	naKAH te vEKAnasAH" iti. Candogya-brAhmaNe: "vEKAnasAH vE Rzaya
   indrasya priyā āsan"	indrasya priyAH Asan"
   [21.9-11]     "pauruhan mahaṃ bhavati. puruhānnādo vā etena vaikhānaso	[21.9-11]     "pOruhan maham Bavati. puruhAnnAdaH vE etena vEKAnasaH-
   'ñjasā svargaṃ lokam apaśyat" iti. atra indraśabdena paramātmā nārāyaṇa	aQjasA svargam lokam apaSyat" iti. atra indra-Sabdena paramAtmA nArAyaNa
   ucyate. "sa brahmā sa śivassendrasso 'kṣaraḥ paramas svarāṭ" ityādi	ucyate. "sa brahmA sa Sivassa-indrassaH akzaraH paramaH svarAw" ityAdi
   śrutibhyaḥ.	SrutiByaH.
   [21.12]     "āśvatthaḥ kapilā gāvas tulasī vikhanās tathā /	[21.12]     "A-aSvatTaH kapilAH gAvaH tulasI viKanAH taTA /
   [21.13]     catvāro matpriyā rājaṃs teṣāṃ vaikhānaso varaḥ //" [ĀS 19.10]	[21.13]     catvAraH mad-priyAH rAjan tezAm vEKAnasaH varaH //" [ĀH 19.10]
   [21.14]     ity upabrahmaṇāt. brahmasūtre indraprāṇādhikaraṇe tathā	[21.14]     iti upabrahmaNA-at. brahmasUtre indra-prANa-aDikaraNe taTA
   nirṇayāc ca.	nirNayAt ca.
   [21.15]     ānuśāsanike: "tathāgnes tasya bhasmabhyo brahmarṣigaṇasamimtāḥ	[21.15]     AnuSAsanike: "taTA-agneH tasya BasmaByaH brahmarzi-gaNa-samimtAH
   [21.16]     vaikhānasās samutpannās tapaśśrutaguṇepsavaḥ//" [MBh 13.85.18]	[21.16]     vEKAnasAH samutpannAH tapaH-Sruta-guNa-IpsavaH//" [MBh 13.85.18]
   [21.17]     iti vaikhānasanāmnaivotpattipratipādanāt.	[21.17]     iti vEKAnasa-nAmnA-eva-utpatti-pratipAdanAt.
   [21.18]     tathā kiṣkindhākāṇḍe:	[21.18]     taTA kizkinDA-kANxe:
   [21.19]     "śṛṅgaṃ saumanasaṃ nāma jātarūpamayaṃ dhruvam // [Rā.m	[21.19]     "SRFgam sOmanasam nAma jAtarUpa-mayam Druvam // [RA.m
   4.39.51cd]	4.39.51cd]
   [21.20]     tatra pūrvaṃ padaṃ kṛtvā purā viṣṇus trivikrame /	[21.20]     tatra pUrvam padam kRtvA purA vizNuH trivikrame /
   [21.21]     dvitīyaṃ śikhare raudraṃ cakāra puruṣottamaḥ // [Rā.m 4.39.52]	[21.21]     dvitIyam SiKare rOdram cakAra puruzottamaH // [RA.m 4.39.52]
   [21.22]     taduttare pratikramya jambūdvīpaṃ divākaraḥ /	[21.22]     tad-uttare pratikramya jambUdvIpam divAkaraH /
   [21.23]     dṛśyo bhavati bhūyiṣṭhaṃ śikharaṃ tan mahocchrayam // [Rā.m	[21.23]     dRSyaH Bavati BUyizWam SiKaram tat mahA-ucCrayam // [RA.m
   [21.24]     tatra vaikhānasā nāma vālakhilyā maharṣayaḥ /	[21.24]     tatra vEKAnasAH nAma vAlaKilyAH mahA-RzayaH /
   [21.25]     prakāśamānā dṛśyante sūryavarṇās tapasvinaḥ //" iti [Rām	[21.25]     prakASamAnAH dRSyante sUrya-varNAH tapasvinaH //" iti [RAm
   [22.1]     tatraiva catvāriṃśe 'dhyāye:	[22.1]     tatra-eva catvAriMSe aDyAye:
   [22.2]     mainākaś ca vicetavyas sasānuprasthakandaraḥ /	[22.2]     mEnAkaH ca vicetavyaH sasAnu-prasTa-kandaraH /
   [22.3]     strīṇām aśvamukhīnāñ ca niketās tatra tatra tu // [Rā.m	[22.3]     strINAm aSva-muKInAn ca niketAH tatra tatra tu // [RA.m
   [22.4]     taṃ deśaṃ samatikramya āśramaṃ siddhasevitam /	[22.4]     tam deSam samatikramya ASramam sidDa-sevitam /
   [22.5]     siddhā vaikhānasās tatra vālakhilyāś ca tāpasāḥ // [Rā.m	[22.5]     sidDAH vEKAnasAH tatra vAlaKilyAH ca tApasAH // [RA.m
   [22.6]     vandyās te tu tapassiddhās tapasā vītakalmaṣāḥ /	[22.6]     vandyAH te tu tapassidDAH tapasA vIta-kalmazAH /
   [22.7]     praṣṭavyā cāpi sītāyāḥ pravṛttir vināyānvitaḥ // [Rā.m 4.42.32]	[22.7]     prazwavyA ca-api sItAyAH pravRttiH vinAya-anvitaH // [RA.m 4.42.32]
   [22.8]     hemapuṣkarasañchannaṃ tatra vaikhānasaṃ saraḥ /" [Rām	[22.8]     hema-puzkara-san-Cannam tatra vEKAnasam saraH /" [RAm
   4.42.33ab]	4.42.33ab]
   [22.9]     iti ca vānaprasthaparatvaṃ vinā "vaikhānasā vālakhilyā" iti	[22.9]     iti ca vAnaprasTa-para-tvam vinA "vEKAnasAH vAlaKilyA" iti
   vālakhilyasamānatayā pṛthag vaṃśatvena kīrtanāt.	vAlaKilya-samAna-tayA pRTak vaMSa-tvena kIrtanAt.
   [22.11]     tathā śrīviṣṇupurāṇe - dvitīṃyāṃśe navame 'dhyāye:	[22.11]     taTA SrI-vizNupurANe  dvitIMya-aMSe navame aDyAye:
   [22.12]     "tataḥ prayāti bhagavān brāhmaṇair abhirakṣitaḥ /	[22.12]     "tataH prayAti BagavAn brAhmaNEH aBirakzitaH /
   [22.13]     vālakhilyādibhiś caiva prabhur vaikhānasair api // [ViṣṇuP	[22.13]     vAlaKilya-AdiBiH ca-eva praBuH vEKAnasEH api // [VizNuP
   [22.14]     mahātmābhir mahātmā vai jagatāṃ pālanodyataḥ //" iti [ViṣṇuP ]	[22.14]     mahAtmABiH mahAtmA vE jagatAm pAlana-udyataH //" iti [VizNuj ]
   [22.15]     tathā sabhāparvaṇi:	[22.15]     taTA saBA-parvaNi:
   [22.16]     pitāmahasya bhavanaṃ jagmuś ca kṛpayānvitāḥ // [MBh 1.203.2cd]	[22.16]     pitAmahasya Bavanam jagmuH ca kRpayA-anvitAH // [MB 1.203.2cd]
   [22.17]     tato dadṛśur ātmānaṃ saha devaiḥ pitāmaham /	[22.17]     tatas dadRSuH AtmAnam saha devEH pitAmaham /
   [22.18]     siddhair maharṣibhiś caiva samantāt parivāritam // [MBh	[22.18]     sidDEH mahA-RziBiH ca-eva samantAt parivAritam // [MBh
   [22.19]     tatra viṣṇur mahādevas tatrāgnir vāyunā saha /	[22.19]     tatra vizNuH mahAdevaH tatra-agniH vAyunA saha /
   [22.20]     candrādityau ca dharmaś ca parameṣṭhī tathā budhāḥ // [MBh	[22.20]     candra-AdityO ca DarmaH ca paramezWI taTA buDAH // [MBh
   [22.21]     vaikhānasā vālakhilyās somapāś ca marīcipāḥ /	[22.21]     vEKAnasAH vAlaKilyAH somapAH ca marIcipAH /
   [22.22]     ajāś caivājamīḍhāś ca tejogarbhās tapasvinaḥ /	[22.22]     ajAH ca-eva-ajamIXAH ca tejaH-garBAH tapasvinaH /
   [22.23]     ṛṣayas sarva eveti pitāmaham upāsate //" [MBh 1.203.5]	[22.23]     RzayaH sarve eva-iti pitAmaham upAsate //" [MBh 1.203.5]
   [22.24-25]     iti ca vaikhānasānāṃ brahmasabhāpraveśavarṇanāt. tasya ca	[22.24-25]     iti ca vEKAnasAnAm brahma-saBA-praveSa-varNanAt. tasya ca
   tṛtīyāśramaniṣṭheṣv asambhavāt.	tRtIya-ASrama-nizWezu asamBavAt-.
        [vānaprasthānāṃ śrautakarmaniṣedhaḥ]	[vAnaprasTAnAm SrOta-karma-nizeDaH]
   [23.1]     ānuśāsanike	[23.1]     AnuSAsanike
   [23.2]     "śṛṇu rājan vasiṣṭhasya mukhyaṃ karma yaśasvinaḥ / [MBh	[23.2]     "SRNu rAjan vasizWasya muKyam karma yaSasvinaH / [MBh
   13.140.15cd]	13.140.15cd]
   [23.3]     vaikhānasavidhānena gaṅgātīraṃ samāśritāḥ // [MBh	[23.3]     vEKAnasa-viDAnena gaFgA-tIram samASritAH // [MBh
   [23.4]     ādityās satramīhanti saro vaikhānasaṃ prati //" iti [MBh	[23.4]     AdityAH satram-Ihanti saraH vEKAnasam prati //" iti [MBh
   [23.5-7]     atra vānaprasthavidhau satrayāgakramavidhānābhāvāt	[23.5-7]     atra vAnaprasTa-viDO satra-yAga-krama-viDAna-aBAvAt
   vānaprasthāśramapraviṣṭhānāṃ tena śārīreṇa punar api devatvayogyatā	vAnaprasTa-ASrama-pravizWAnAm tena SArIreNa punar api deva-tva-yogya-tA
   'sambhavāc ca vaikhānasavidhāneneti vaikhānasapadena vānaprasthānāṃ	asamBavAt ca vEKAnasa-viDAnena-iti vEKAnasa-padena vAnaprasTAnAm
   gṛhītum aśakyatvāt.	gRhItum aSakya-tvAt.
   [23.8]     kiñca śrībhāgavate ekādaśaskandhe:	[23.8]     kiQca SrI-BAgavate ekAdaSa-skanDe:
   [23.9]     "vanyaiś carupuroḍāśair nirvapet kālacoditām /	[23.9]     "vanyEH caru-puroxASEH nirvapet kAla-coditAm /
   [23.10]     na tu śrautena vidhinā māṃ yajeta vanāśramī //" [BhāgavataP	[23.10]     na tu SrOtena viDinA mAm yajeta vana-ASramI //" [BhAgavata-P
   [23.11]     iti vānaprasthānāṃ śarutavidhiniṣedhapratipādanāt.	[23.11]     iti vAnaprasTAnAm Saruta-viDi-nizeDa-pratipAdanAt-.
        [bhagavadarcanakramaḥ]	[Bagavat-arcana-kramaH]
   [23.12]     tathā vṛddhamanau: "vedāntavedibhir viprais	[23.12]     taTA vRdDa-manO: "vedAnta-vediBiH viprEH-
   tadvaikhānasasūtribhiḥ /	tad-vEKAnasa-sUtriBiH /
   [23.13]     yājayed yajñapuruṣaṃ viṣṇuṃ rājā jagaddhitaḥ //" iti	[23.13]     yAjayet yajQapuruzam vizNum rAjA jagat-hitaH //" iti
        [vaikhānasapāñcarātrikayoḥ caturmūrtiṣu saṃjñāyāṃ vaiṣamyam]	[vEKAnasa-pAQcarAtrikayoH catur-mUrtizu saMjQAyAm vEzamyam]
   [23.14]     tathā āśvamedhike:	[23.14]     taTA ASvameDike:
   [23.15]     yudhiṣṭhirah: "kathaṃ tvaṃ arcanīyo 'si mūrtayaḥ kīdṛśāś ca te	[23.15]     yuDizWirah: "kaTam tvam arcanIyaH asi mUrtayaH kIdRSAH ca te
   / [MBh 14, App. 4.1652]	/ [MB 14, App. 4.1652]
   [23.16]     vaikhānasāḥ kathaṃ brūyuḥ kathaṃ vā pāñcarātrikāḥ // [MB.h 14,	[23.16]     vEKAnasAH kaTam brUyuH kaTam vA pAQcarAtrikAH // [MB.h 14,
   App. 4.1653]	App. 4.1653]
   [23.17]     śrībhagavān: "śṛṇu pāṇḍava tatsarvam arcanākramam ātmanaḥ /	[23.17]     SrI-BagavAn: "SRNu pANxava tat-sarvam arcanA-kramam AtmanaH /
   [MBh 14, App. 4.1654]	[MB 14, App. 4.1654]
   [23.18]     sthaṇḍile padmakaṃ kṛtvā sāṣṭapatraṃ sakarṇikam // [MB.h 14,	[23.18]     sTaNxile padmakam kRtvA sa-azwa-patram sa-karNikam // [MB.h 14,
   App. 4.1655]	App. 4.1655]
   [23.19]     aṣṭākṣaravidhānena athavā dvādaśākṣaraiḥ / [MBh 14, App.	[23.19]     azwa-akzara-viDAnena aTavA dvAdaSa-akzarEH / [MB 14, App.
   [23.20]     vaidikair athavā mantrair mama sūktena vā punaḥ // [MB.h 14,	[23.20]     vEdikEH aTavA mantrEH mama sUktena vA punar // [MB.h 14,
   App. 4.1657]	App. 4.1657]
   [23.21]     sthitaṃ māṃ mantratas tasmin arcayet susamahitaḥ / [MBh 14,	[23.21]     sTitam mAm mantrataH tasmin arcayet su-samahitaH / [MB 14,
   App. 4.1658]	App. 4.1658]
   [23.22]     viṣṇuñ ca puruṣaṃ satyam acyutañ ca yudhiṣṭhira // [MB.h 14,	[23.22]     vizNun ca puruzam satyam acyutan ca yuDizWira // [MB.h 14,
   App. 4.1659]	App. 4.1659]
   [23.23]     aniruddhañ ca māṃ prāhur vaikhānasavido janāḥ / [MBh 14, App.	[23.23]     anirudDan ca mAm prAhuH vEKAnasa-vidaH janAH / [MB 14, App.
   [23.24]     anye tv evaṃ vijānānti māṃ rājan pāñcarātrikāḥ // [MB.h 14,	[23.24]     anye tu evam vijAnAnti mAm rAjan pAQcarAtrikAH // [MB.h 14,
   App. 4.1661]	App. 4.1661]
   [24.1]     vāsudevañ ca rājendra saṅkarṣaṇam athāpi vā / [MBh 14, App.	[24.1]     vAsudevan ca rAja-indra saFkarzaNam aTa-api vA / [MB 14, App.
   [24.2]     pradyumnañ cāniruddhañ ca caturmūrtiṃ pracakṣate // [MBh 14,	[24.2]     pradyumnan ca-anirudDan ca catur-mUrtim pracakzate // [MB 14,
   App. 4.1663]	App. 4.1663]
   [24.3]     etāś cānyāś ca rājendra saṃjñābhedena mūrtayaḥ / [MBh 14, App.	[24.3]     etAH ca-anyAH ca rAja-indra saMjQA-Bedena mUrtayaH / [MB 14, App.
   [24.4]     viddhy anarthāntarā eva mām evañ cārcayed budhaḥ //" iti [MBh	[24.4]     vidDi anarTa-antarAH eva mAm evan ca-arcayet buDaH //" iti [MBh
   14, App. 4.1665]	14, App. 4.1665]
   [24.5]     tathā pāñcarātre pauṣkarasaṃhitāyām:	[24.5]     taTA pAQcarAtre pOzkara-saMhitAyAm:
   [24.6]     "viprā vaikhānasākhyā ye te bhaktās tattvam ucyate //	[24.6]     "viprAH vEKAnasa-AKyAH ye te BaktAH tattvam ucyate //
   [PauṣkaraS 36.260cd]	[POzkaraH 36.260cd]
   [24.7]     ekantinas susattvasthā dehāntaṃ nānyayājinaḥ /	[24.7]     ekantinaH su-sattva-sTAH dehAntam na-anya-yAjinaH /
   [24.8]     kartavyam iti deveśaṃ saṃyajante phalaṃ vinā //" iti [PauṣkaraS	[24.8]     kartavyam iti deveSam saMyajante Palam vinA //" iti [POzkaraH-
        [śuddha, vaidika, tāntrikabhedena pūjātraividhyam]	[SudDa, vEdika, tAntrika-Bedena pUjA-atrEviDyam]
   [24.9]     tathā tatraiva tantrabhedanirṇaye:	[24.9]     taTA tatra-eva tantraBeda-nirNaye:
   [24.10]     "śuddhañ ca vaidikañ ceti tāntrikañ ca tridhā bhavet /	[24.10]     "SudDan ca vEdikan ca-iti tAntrikan ca triDA Bavet /
   [24.11]     pāñcarātreṇa pūjā tu śuddhaṃ viṣṇor iti smṛtam // [PauṣkaraS ]	[24.11]     pAQcarAtreNa pUjA tu SudDam vizNoH iti smRtam // [POzkaraH ]
        [vaikhānasapūjāyāḥ vaidikatvaṃ]	[vEKAnasa-pUjAyAH vEdika-tvaM]
   [24.12]     vaikhānasena sūtreṇa pūjayed viṣṇum avyayam /	[24.12]     vEKAnasena sUtreNa pUjayet vizNum avyayam /
   [24.13]     vaidikaṃ tad iti proktaṃ dvijātīnāṃ praśasyate //" iti	[24.13]     vEdikam tat iti proktam dvijAtInAm praSasyate //" iti
   [PauṣkaraS ]	[POzkaraH ]
   [24.14]     tathā viṣṇusmṛtau:	[24.14]     taTA vizNusmRtO:
   [24.15]     "pauruṣaṃ sūktam āsthāya ye yajanti dvijottamāḥ /	[24.15]     "pOruzam sUktam AsTAya ye yajanti dvijottamAH /
   [24.16]     saṃhitājapamāsthāya te māṃ prāpsyanti vai dvijāḥ //	[24.16]     saMhitA-japam-AsTAya te mAm prApsyanti vE dvijAH //
   [24.17]     alābhe vedamantrāṇāṃ pāñcarātroditena vā //" iti	[24.17]     alABe veda-mantrANAm pAQcarAtra-uditena vA //" iti
   [24.18]     tathā saṅkarṣaṇasaṃhitāyām:	[24.18]     taTA saFkarzaNa-saMhitAyAm:
   [24.19]     "pūjayet pañcarātrais tu mantrair mokṣaphalapradaiḥ /	[24.19]     "pUjayet paQca-rAtrEH tu mantrEH mokza-Pala-pradEH /
   [24.20]     vaikhānasoktair divyair vā mantrais sarvārthasiddhaye //" iti	[24.20]     vEKAnasa-uktEH divyEH vA mantrEH sarva-arTa-sidDaye //" iti
   [Saṅkarṣaṇasaṃhitā]	[SaFkarzaNa-saMhitA]
   [24.21]     tathā śilpe hariharādīnāṃ sthānanirṇaye:	[24.21]     taTA Silpe hari-hara-AdInAm sTAna-nirNaye:
   [24.22]     "sahasraviprāvāseṣu śataviprādhikeṣu ca /	[24.22]     "sahasra-vipra-AvAsezu Sata-vipra-aDikezu ca /
   [24.23]     pañcamūrtividhānena madhye viṣṇuṃ samarcayet //	[24.23]     paQcamUrti-viDAnena maDye vizNum samarcayet //
   [24.24]     tadvāstvaṅgālaye viṣṇuṃ tāntrikeṇa na cārcayet /	[24.24]     tad-vAstu-aFga-Alaye vizNum tAntrikeNa na ca-arcayet /
   [24.25]     arcayed vaidikoktena vaikhānasavidhānataḥ //" iti	[24.25]     arcayet vEdika-uktena vEKAnasa-viDAnataH //" iti
        [vaiṣṇavasamayasya traividhyam]	[vEzNava-samayasya trEviDyam]
   [25.1]     tathā jyautiṣe hayagrīvasaṃhitāyām:	[25.1]     taTA jyOtize hayagrIva-saMhitAyAm:
   [25.2]     "śrīśāstreṇaiva kartavyaṃ grāmamadhyālayārcanam /	[25.2]     "SrISAstreNa-eva kartavyam grAma-maDyAlaya-arcanam /
   [25.3]     pāñcarātravidhānena nācared iti śāsanam //" iti	[25.3]     pAQcarAtra-viDAnena na-Acaret iti SAsanam //" iti
   [Hayagrīvasaṃhitā]	[Haya-grIva-saMhitA]
   [25.4]     tathā śaive ca suprabhede:	[25.4]     taTA SEve ca su-praBede:
   [25.5]     "sahasrabhūsurād ūrdhve grāme brahmāṅkaṇe 'pi ca /	[25.5]     "sahasra-BUsurAt UrDve grAme brahma-aFkaNe api ca /
   [25.6]     vaikhānasena sūtreṇa niṣekādisusaṃskṛtaiḥ // [SuprabhedĀ ]	[25.6]     vEKAnasena sUtreNa nizeka-Adi-susaMskRtEH // [Su-praBedĀ ]
   [25.7]     bhārgavādimahātantramantrabhedavicakṣaṇaiḥ /	[25.7]     BArgava-Adi-mahA-tantra-mantra-Beda-vicakzaNEH /
   [25.8]     anuddhṛtair mantragaṇair vedavedāntasambhavaiḥ // [SuprabhedĀ ]	[25.8]     anudDRtEH mantra-gaNEH veda-vedAnta-samBavEH // [Su-praBedĀ ]
   [25.9]     kramādhyayanasampannais sāṅgopāṅgaiś ca saṃskṛtaiḥ /	[25.9]     krama-aDyayana-sampannEH sa-aFga-upAFgEH ca saMskRtEH /
   [25.10]     pañcamūrtiprakāreṇa pratiṣṭhāpyārcayed dharim // [Suprabhed.Ā	[25.10]     paQcamUrti-prakAreNa pratizWApya-arcayet Darim // [Su-praBed.Ā
   [25.11]     vaidikaṃ tad iti proktaṃ rājarāṣṭravivardhanam //" iti.	[25.11]     vEdikam tat iti proktam rAja-rAzwra-vivarDanam //" iti.
   [SuprabedhĀ ]	[Su-prabeDĀ ]
   [25.12]     tathā kāraṇe grāmavinyāsavidhau:	[25.12]     taTA kAraNe grAma-vinyAsa-viDO:
   [25.13]     "brahmāṃśaṃ tu caturbhāgaṃ kṛtvā vāyavyabhāgataḥ /	[25.13]     "brahma-aMSam tu catur-BAgam kRtvA vAyavya-BAgataH /
   [25.14]     pañcamūrtikrameṇaiva viṣṇuṃ saṃsthāpya pūjayet //" iti	[25.14]     paQcamUrti-krameNa-eva vizNum saMsTApya pUjayet //" iti
   [SuprabhedĀ ]	[Su-praBedĀ ]
   [25.15]     tathā bhīmasaṃhitāyām samayabhedopanyāsāvasare:	[25.15]     taTA BIma-saMhitAyAm samaya-Beda-upanyAsa-avasare:
   [25.16]     "śaivam evaṃ samākhyātaṃ vaiṣṇavan tv adhunocyate /	[25.16]     "SEvam evam samAKyAtam vEzNavan tu aDunA-ucyate /
   [25.17]     vaiṣṇavañ ca tridhā proktaṃ tathā samayabhedavat //	[25.17]     vEzNavan ca triDA proktam taTA samaya-Beda-vat //
   [Bhīmasaṃhitā]	[BhIm-asaMhitA]
   [25.18]     pāñcarātraṃ bhāgavataṃ tathā vaikhānasaṃ matam /	[25.18]     pAQcarAtram BAgavatam taTA vEKAnasam matam /
   [25.19]     śuddhaṃ miśraṃ tathā saumyaṃ yathā saṃkhyakrameṇa tu //	[25.19]     SudDam miSram taTA sOmyam yaTA saMKya-krameNa tu //
   [Bhīmasaṃhitā]	[BhIm-asaMhitA]
   [25.20]     vaidikācārabāhyaṃ yat tadraudram iti kīrtitam /	[25.20]     vEdika-AcAra-bAhyam yat tat-rOdram iti kIrtitam /
   [25.21]     vaidikācārasambandhāt saumyaṃ śreṣṭham udāhṛtam //	[25.21]     vEdika-AcAra-sambanDAt sOmyam SrezWam udAhRtam //
   [Bhīmasaṃhitā]	[BhIm-asaMhitA]
   [25.22]     grāmādīnāṃ samīpe tu miśroktaṃ sthāpayed budhaḥ /	[25.22]     grAma-AdInAm samIpe tu miSra-uktam sTApayet buDaH /
   [25.23]     abdhinadyāditīreṣu śuddhoktaṃ sthāpayet tathā //	[25.23]     abDi-nadi-Adi-tIrezu SudDa-uktam sTApayet taTA //
   [Bhīmasaṃhitā]	[BhIm-asaMhitA]
   [25.24]     viprāvāseṣu sarveṣu saumyoktenaiva kārayet //" iti	[25.24]     vipra-AvAsezu sarvezu sOmya-uktena-eva kArayet //" iti
   [Bhīmasaṃhitā]	[BhIm-asaMhitA]
   [26.1]     tathā gāruḍe: "adhvaryubhir vipravarair mate vikhanasas	[26.1]     taTA gAruxe: "a-DvaryuBiH vipra-varEH mate viKanasas
   sthitaiḥ /	sTitEH /
   [26.2]     tatrārādhanam īhasva viṣṇor amitatejasaḥ //" iti [GaruḍaP ]	[26.2]     tatra-ArADanam Ihasva vizNoH amita-tejasaH //" iti [Garuxaj ]
        [śrīraṅge vaikhānasārcanam]	[SrIraFge vEKAnasa-arcanam]
   [26.3]     tathā tatraiva śrīraṅgamāhātmye:	[26.3]     taTA tatra-eva SrIraFga-mAhAtmye:
   [26.4]     "brahmā 'pi divyahaṃsena sitameghopamena ca /	[26.4]     "brahmA api divya-haMsena sita-meGa-upamena ca /
   [26.5]     pṛṣṭhato 'nuyayau viṣṇuṃ vastreṇācchādya cānanam // [Garuḍa.P ]	[26.5]     pRzWatas anuyayO vizNum vastreNa-AcCAdya ca-Ananam // [Garuxa.j ]
   [26.6]     tatrārcako mahābhāgo bhagavān vikhanās tathā /	[26.6]     tatra-arcakaH mahABAgaH BagavAn viKanAH taTA /
   [26.7]     dadau prasādaṃ devānāṃ raṅganāthābhyanujñayā //" iti [GaruḍaP ]	[26.7]     dadO prasAdam devAnAm raFga-nATa-aByanujQayA //" iti [Garuxaj ]
   [26.8]     tathā uparicaravasucarite:	[26.8]     taTA upari-cara-vasu-carite:
   [26.9]     "vaikhānasānāṃ vacanair japahomārcanādibhiḥ /	[26.9]     "vEKAnasAnAm vacanEH japa-homa-arcana-AdiBiH /
   [26.10]     yajed dhariṃ surapatiṃ bhūmer vivarago 'pi san //" iti	[26.10]     yajet Darim surapatim BUmeH vivara-gaH api san //" iti
   [GaruḍaP ]	[Garuxaj ]
        [vṛṣagirau vaikhānasārcanam]	[vRza-girO vEKAnasa-arcanam]
   [26.11]     tathā vṛṣagirimāhātmye:	[26.11]     taTA vRzagirimAhAtmye:
   [26.12]     "antaḥpraviśya munayas saha vaikhānasair dvijair /	[26.12]     "antaH-praviSya munayaH saha vEKAnasEH dvijEH /
   [26.13]     praṇamanty anvahaṃ devaṃ nārāyaṇam anāmayam //" iti [GaruḍaP ]	[26.13]     praNamanti anvaham devam nArAyaNam anAmayam //" iti [Garuxaj ]
   [26.14]     tathā āgneyapurāṇe phullāraṇyamāhātmye:	[26.14]     taTA AgneyapurANe Pulla-araNya-mAhAtmye:
   [26.15]     "phullaśiṣyās tu yakṣās te pūjayanti yuge yuge /	[26.15]     "Pulla-SizyAH tu yakzAH te pUjayanti yuge yuge /
   [26.16]     vaikhānasena vidhinā yathā phullamukhāc cyutam // [AgniP ]	[26.16]     vEKAnasena viDinA yaTA Pulla-muKAt cyutam // [a-agniH ]
   [26.17]     mānuṣāḥ pūjayantīha vaikhānasamate sthitāḥ //" iti [AgniP ]	[26.17]     mAnuzAH pUjayanti-iha vEKAnasa-mate sTitAH //" iti [a-agniH ]
   [26.18]     tathā brahmakaivarte puṣkaratīrthavaibhavavarṇane:	[26.18]     taTA brahma-kEvarte puzkaratIrTa-vEBava-varNane:
   [26.19]     "nimnagānāṃ yathā gaṅgā devānāṃ bhagavān hariḥ /	[26.19]     "nimnagAnAm yaTA gaFgA devAnAm BagavAn hariH /
   [26.20]     varṇānāṃ brāhmaṇāś śreṣṭhā āśramāṇāṃ yatir yathā //	[26.20]     varNAnAm brAhmaNAH SrezWAH ASramANAm yatiH yaTA //
   [BrahmakaivartaP ]	[Brahma-kEva-rtaa-a ]
   [26.21]     śrutīnām ādibhūtānām ādir ekāyanī yathā /	[26.21]     SrutInAm Adi-BUtAnAm AdiH ekAyanI yaTA /
   [26.22]     vyūhānām ādibhūtas tu vāsudevo yathā varaḥ /	[26.22]     vyUhAnAm Adi-BUtaH tu vAsudevaH yaTA varaH /
   [26.23]     trimūrtīnāṃ yathā viṣṇuś śivānān tu sadāśivaḥ //	[26.23]     trimUrtInAm yaTA vizNuH SivAnAn tu sadASivaH //
   [BrahmakaivartaP ]	[Brahma-kEva-rtaa-a ]
        [vipreṣu vaikhānasānāṃ, sūtreṣu vaikhānasasūtrasya ca śreṣṭhyam]	[viprezu vEKAnasAnAM, sUtrezu vEKAnasa-sUtrasya ca SrezWyam]
   [26.24]     dharmāṇāṃ vaiṣṇavo dharmaḥ smṛtīnāṃ mānavī smṛtiḥ /	[26.24]     DarmANAm vEzNavaH DarmaH smRtInAm mAnavI smRtiH /
   [26.25]     viprāṇāṃ vedaviduṣāṃ yathā vaikhānaso varaḥ //	[26.25]     viprANAm veda-viduzAm yaTA vEKAnasaH varaH //
   [BrahmakaivartaP ]	[Brahma-kEva-rtaa-a ]
   [27.1]     sūtrāṇāṃ tatpraṇītan tu yathā śreṣṭhatamaṃ smṛtam /	[27.1]     sUtrANAm tad-praNItan tu yaTA SrezWatamam smRtam /
   [27.2]     tathaiva puṣkaro rājaṃs tīrthānām uttamottamaḥ //"	[27.2]     taTA-eva puzkaraH rAjan tIrTAnAm uttama-uttamaH //"
   [BrahmakaivartaP ]	[Brahma-kEva-rtaa-a ]
