   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   phalitamāha   ata eva racanayetyādi /	Palitam Aha   ataH eva racanayA ityAdi /
   upabṛṃhitāḥ viśiṣṭāḥ // 15//	upabRMhitAH viSizwAH // 15//
   bhāvamāha  virodhināmapītyādi /	BAvam Aha   viroDinAm api ityAdi /
   śakyahānatvaṃ nāma prayojanamanayā kārakayā ucyata iti sambandhaḥ /	SakyahAna tvam nAma prayojanam anayA kArakayA ucyate iti sambanDaH /
   virodhināṃ lakṣaṇe jñāte teṣāṃ parihāraḥ śakya iti tadeva	viroDinAm lakzaNe jQAte tezAm parihAraH SakyaH iti tat eva
   prayojanamityarthaḥ // 17 //	prayojanam iti arTaH // 17 //
   etadapīti /	etat api iti /
   virodhināṃ pariharaṇamapītyarthaḥ /	viroDinAm pariharaNam api iti arTaH /
   tadabhāvamātramiti /	tad aBAva mAtram iti /
   vibhāvādyaucityaśālinaḥ kathāśarīrasya vidhirityādinā tadaucityavirahiṇo	viBAva Adi Ocitya SAlinaH kaTA SarIrasya viDiH ityAdinA tad Ocitya virahiNaH 
   vidhirna kārya ityādyathamātramityarthaḥ /	viDiH na kAryaH ityAt yaTa mAtram iti arTaH /
   yatnata itīti /	yatnataH iti iti /
   yatnata ityādinetyarthaḥ /	yatnatas ityAdinA iti arTaH /
   vṛttau 'śāntā'dīti kāni punastāni virodhīni yāni yatnataḥ kaveḥ	vRttO aSAntA adi iti kAni punar tAni viroDIni yAni yatnatas kaveH
   parihartavyānītyucyate  	parihartavyAni iti ucyate  
   virodhi rasa sambandhi vibhāvādi parigrahaḥ /	viroDi rasa  sambanDi  viBAva Adi parigrahaH /
   vistareṇānvitasyāpi vastuno 'nyasya varṇanam // DhvK_3.18 19 //	vistareNa anvitasya api vastunaH anyasya varNanam // DhvK_3.18 19 //
   akāṇḍa eva vicchittir akāṇḍe ca prakāśanam /	akANxaH eva vicCittiH akANxe ca prakASanam /
   paripoṣaṃ gatasyāpi paunaḥpunyena dīpanam /	paripozam gatasya api pOnaHpunyena dIpanam /
   rasasya syād virodhāya vṛtty anaucityam eva ca // DhvK_3.19 //	rasasya syAt viroDAya vRtti  ana Ocityam eva ca // DhvK_3.19 //
   virodhirasasambandhivibhāvādiparigrahaḥ /	viroDi rasa sambanDi viBAva Adi parigrahaH /
   vistareṇānvitasyāpi vastuno 'nyasya varṇanam // 18 //	vistareNa anvitasya api vastunaH anyasya varNanam // 18 //
   akāṇḍa eva vicchittirakāṇḍe ca prakāśanam /	akANxaH eva vicCittiH akANxe ca prakASanam /
   paripoṣaṃ gatasyāpi paunaḥpunyena dīpanam /	paripozam gatasya api pOnaHpunyena dIpanam /
   rasasya syādvirodhāya vṛttyanaucityameva ca // 19 //	rasasya syAt viroDAya vRtti anOcityam eva ca // 19 //
   prastutarasāpekṣayā virodhī yo rasastasya sambandhināṃ	prastuta rasa apekzayA viroDI yaH rasaH tasya sambanDinAm
   vibhāvabhāvānubhāvānāṃ parigraho rasavirodhahetukaḥ sambhavanīyaḥ /	viBAva BAva anuBAvAnAm parigrahaH rasa viroDa hetukaH samBavanIyaH /
   tatra virodhirasavibhāvaparigraho yathā śāntarasavibhāveṣu	tatra viroDi rasa viBAva parigrahaH yaTA SAnta rasa viBAvezu
   tadvibhāvatayaiva nirūpiteṣvanantarameva śṛṅgārādivibhāvavarṇane /	tad viBAva tayA eva nirUpitezu anantaram eva SRFgAra Adi viBAva varNane /
   virodhirasabhāvaparigraho yathā priyaṃ prati praṇayakalahakupitāsu	viroDi rasa BAva parigrahaH yaTA priyam prati praNaya kalaha kupitAsu
   kāminīṣu vairāgyakathābhiranunaye /	kAminIzu vErAgya kaTABiH anunaye /
   virodhirasānubhāvaparigraho yathā praṇayakupitāyāṃ priyāyāmaprasīdantyāṃ	viroDi rasa anuBAva parigrahaH yaTA praNaya kupitAyAm priyAyAma prasIdantyAm
   nāyakasya kopāveśavivaśasya raudrānubhāvavarṇane /	nAyakasya kopa AveSa vivaSasya rOdra anuBAva varNane /
   locanam janayati yadvadapathyopayogaḥ tadāha   yatnata iti /	locanam janayati yadvat apaTya upayogaH tadA aha   yatnataH iti /
   'vibhāve'tyādinā ślokena yaduktaṃ tadviruddhaṃ virodhītyādinārdhaślokenāha	aviBAve atyAdinA Slokena yat uktam tat virudDam viroDi ityAdinA arDa Slokena Aha
   'itavṛtte'tyādinā ślokadvayena yaduktaṃ tadviruddhaṃ	aita vRtte atyAdinA Sloka dvayena yat uktam tat virudDam
   vistareṇetyardhaślokenāha /	vistareNa iti arDa Slokena Aha /
   'uddīpane'tyardhaślokoktasya viruddhaṃ akāeḍa ityardhaślokena /	auddIpane atyarDa Sloka uktasya virudDam akAexaH iti arDa Slokena /
   'rasasye'tyardhaślokoktasya viruddhaṃ paripoṣaṃ gatasyetyardhaślokena /	arasasye atyarDa Sloka uktasya virudDam paripozam gatasya iti arDa Slokena /
   'alaṅkṛtīnām' ityanena yaduktaṃ tadviruddhamanyadapi ca viruddhaṃ	aalaFkRtInAm a iti anena yat uktam tat virudDam anyat api ca virudDam
   vṛtyanaucityamityanena /	vRti anOcityam iti anena /
   etatkrameṇa vyācaṣṭe   prastutarasāpekṣayetyādinā /	etat krameNa vyAcazwe    prastutarasa apekzayA ityAdinA /
   hāsyaśṛṅgārayorvīrādbhutayo raudrakaruṇayorbhayānakabībhatsayorna	hAsya SRFgArayoH vIra adButayaH rOdra karuNayoH BayAnaka bIBatsayoH na
   vibhāvavirodha ityabhiprāyeṇa śāntaśṛṅgārāvupanyastau,	viBAva viroDaH iti aBiprAyeNa SAnta SRFgArO= upanyastO,
   praśamarāgayorvirodhāt /	praSama rAgayoH viroDAt /
   virodhinī rasasya yo bhāvo vyabhicārī tasya parigrahaḥ, virodhinastu yaḥ	viroDinI rasasya yaH BAvaH vyaBicArI tasya parigrahaH, viroDinaH tu yaH
   sthāyī sthāyitayā bālapriyā 'śṛṅgārādī'ci ca nirdeśe	sTAyI sTAyitayA bAla priyA aSRFgAra AdI aci ca nirdeSe
   bījamāha   hāsyaśṛṅgārayārityādi /	bIjamAha   hAsya SRFgArayAH ityAdi /
   bhayānakabībhatsayorityasyānantaraṃ "śāntabībhatsayo"riti ca kvacit	BayAnaka bIBatsayoH iti asya anantaram "SAnta bIBatsayo"H iti ca kvacid 
   granthe pāṭhaḥ /	granTe pAWaH /
   śāntaśṛṅgārayorvirodhe hetumāha   praśameti /	SAnta SRFgArayoH viroDe hetum Aha   praSama iti /
   virodhāditi /	viroDAt iti /
   sahānavasthānādatyarthaḥ /	saha anavasTAnAt atyarTaH /
   pratipattaryekasmin śame udbuddhe tadavyavadhānena rāgodbodhāsambhavāditi	pratipattari ekasmin Same udbudDe tat avyavaDAnena rAga udboDa asamBavAt iti
   bhāvaḥ /	BAvaH /
   ataḥ śāntavibhāve varṇite tadanantarameva śṛṅgārādivibhāvavarṇanaṃ na	atas SAnta viBAve varNite tad anantaram eva SRFgAra Adi viBAva varNanam na
   kāyam /	kAyam /
   virodhirasasyetyādigranthaṃ ayaṃ cānyo	viroDi rasasya ityAdi granTam ayam ca anyaH 
   rasabhaṅgaheturyatprastutarasāpekṣayā vastuno 'nyasya kathañcidanvitasyāpi	rasa BaFga hetuH yat prastutarasa apekzayA vastunaH anyasya kaTaQcid anvitasya api
   vistareṇa kathanam /	vistareNa kaTanam /
   yathā vipralambhaśṛṅgāre nāyakasya kasyacadvarṇayitumupakrānte	yaTA vipralamBa SRFgAre nAyakasya kasyacat varNayitum upakrAnte
   kaveryamakādyalaṅkāranibandhanarasikatayā mahatā prabandhena	kaveH yamaka Adi alaFkAra nibanDana rasika tayA mahatA prabanDena
   parvatādivarṇane /	parvata Adi varNane /
   ayaṃ cāparo rasabhaṅgaheturavagantavyo yadakāṇḍa locanam tatparigraho	ayam ca aparaH rasa BaFga hetuH avagantavyaH yadakANxa locanam tad parigrahaH 
   'sambhavanīya eva tadanutthānaprasaṅgāt /	asamBavanIyaH eva tad anutTAna prasaFgAt /
   vyabhicāritayā tu paragraho bhavatyeva /	vyaBicAritayA tu para grahaH Bavati eva /
   ata eva sāmānyena bhāvagrahaṇam /	atas eva sAmAnyena BAva grahaNam /
   vairāgyakathāmirita vairāgyaśabdena nirvedaḥ śāntasya yaḥ sthāyī sa uktaḥ	vErAgya kaTAm irita vErAgya Sabdena nirvedaH SAntasya yaH sTAyI saH uktaH
   yathā   'prasāde vartasva prakaṭaya mudaṃ santyaja ruṣam'	yaTA a    aprasAde vartasva prakawaya mudam santyaja ruzam a
   ityādyupakramyārthāntaranyāso 'na mugdhe pratyetuṃ prabhavati gataḥ	ityAdi upakramya arTa antaranyAsaH ana mugDe pratyetum praBavati gataH
   kālahariṇaḥ' iti /	kAla hariNaH a iti /
   manāgapa nirvedānupraveśe sati ratervicchedaḥ /	manAgapa nirveda anupraveSe sati rateH vicCedaH /
   jñātaviṣayasatattvo hi jīvitasarvasvābhimānaṃ kathaṃ bhajeta /	jQAta vizaya sa tattvaH hi jIvita sarva sva aBimAnam kaTam Bajeta /
   na hi jñātaśuktikārajatatattvastadupādeyadhiyaṃ bhajate ṛte saṃvṛtimātrāt	na hi jQAta SuktikA ra jata tattvaH tad upAdeya Diyam Bajate Rte saMvRti mAtrAt
   kathābhiriti bahuvacanaṃ śāntarasasya vyabhicāriṇo dhṛtiṃ matiprabhṛtīn	kaTABiH iti bahuvacanam SAnta rasasya vyaBicAriNaH DRtim mati praBRtIn
   saṅgṛhṇāta /	saFgRhNAta /
   nanvanyadanunmattaḥ kathaṃ varṇayet, kimuta vistarata	nanu anyat anunmattaH kaTam varNayet, kim uta vistarata
   ityāha   kathañjidanvitasyeti bālapriyā vivṛṇoti   virodhina ityādi /	iti Aha    kaTaQjit anvitasya iti bAla priyA vivRNoti     viroDinaH ityAdi /
   tadanutthānaprasaṅgāditi /	tad anutTAna prasaFgAt iti /
   tasya sthāyitvenotthāne prasaṅgasyābhāvādityarthaḥ /	tasya sTAyi tvena utTAne prasaFgasya aBAvAt iti arTaH /
   tadutthāne prakṛtasthāyino vicchedaḥ syāditi bhāvaḥ /	tad utTAne prakRta sTAyinaH vicCedaH syAt iti BAvaH /
   sāmānyenetyādi /	sAmAnyena ityAdi /
   svata eva vyabhicāriṇaḥ vyabhicāratvena sthāyinaśca bodhanāya bhāva iti	svatas eva vyaBicAriNaH vyaBicAra tvena sTAyinaH ca boDanAya BAvaH iti
   sāmānyata uktamityathaḥ /	sAmAnyatas uktam iti aTaH /
   prasāda iti /	prasAdaH iti /
   kāvyaprakāśe 'pyudāhṛto 'yaṃ ślokaḥ /	kAvya prakASe api udAhRtaH ayam SlokaH /
   'priye śuṣyantyaṅgānyabhṛtamiva te siñcitu vacaḥ /	apriye Suzyanti aFgAni aBRtam iva te siQcitu vacaH /
   nidhānaṃ saukhyānāṃ kṣaṇamabhimukhaṃ sthāpaya mukham' iti	niDAnam sOKyAnAm kzaNam aBimuKam sTApaya muKam a iti
   dvitīyatṛtīyapādau /	dvitIya tRtIya pAdO /
   he mugdhe vivekarahite, gataḥ kāla eva hariṇaḥ asthiratvāt pratyetuṃ	he mugDe viveka rahite, gataH kAlaH eva hariNaH asTira tvAt pratyetum
   pratyāgantum na prabhavati sa punarnāgacchatītyarthaḥ /	pratyAgantum na praBavati sa punar na AgacCati iti arTaH /
   atra śāntasya vibhāvaḥ kālānityatvalakṣaṇo nibandhaḥ tatprakāśito nirvedo	atra SAntasya viBAvaH kAla anitya tva lakzaNaH nibanDaH tad prakASitaH nirvedaH 
   vyabhicārī cetyato 'tra virodhirasavibhāvabhāvayoḥ parigrahaḥ sa ca	vyaBicArI ca iti atas atra viroDi rasa viBAva BAvayoH parigrahaH sa ca
   prakṛtarasapratikūla ityāha   manāgapītyādi /	prakRta rasa pratikUlaH iti Aha   manAk api ityAdi /
   nirvedānuvedhe iti ca pāṭhaḥ /	nirveda anuveDe iti ca pAWaH /
   vicchada iti /	vicCadaH iti /
   bhavediti śeṣaḥ /	Bavet iti SezaH /
   atra hetumāha   jñātetyādi /	atra hetum Aha    jQAta ityAdi /
   jñātaṃ viṣayāṇāṃ satatvaṃ duḥkhamiśritatvapariṇāmavirasatvādinā	jQAtam vizayANAm sata tvam duHKa miSrita tva pariNAma virasa tva AdinA
   heyatvarūpaṃ tattvaṃ yena saḥ /	heya tva rUpam tattvam yena saH /
   jīvitasarvasvābhimānamiti /	jIvita sarva sva aBimAnam iti /
   vanitādau viṣaya iti śeṣaḥ /	vanitA AdO vizayaH iti SezaH /
   bhajetetyatra karotviti ca pāṭhaḥ /	Bajeta iti atra karotu iti ca pAWaH /
   dṛṣṭāntamāha  na hītyādi /	dRzwAntam Aha  na hi ityAdi /
   śuktau bhāsamānaṃ rajataṃ śuktikārajatamityucyate, jñātaṃ	SuktO BAsamAnam rajatam SuktikAra jatam iti ucyate, jQAtam
   śuktikārajatatatvaṃ yena saḥ /	SuktikAra jatatatvam yena saH /
   taditi /	tat iti /
   tadviśeṣyakopādeyatvabuddhimityarthaḥ /	tad viSezya kopa Adeya tva budDim iti arTaH /
   saṃvṛtimātrādṛta iti /	saMvRti mAtra AdRtaH iti /
   saṃvṛttyaiva tatropādeyatvabuddhiṃ bhajata iti bhāvaḥ /	saMvRttyA eva tatra upAdeya tva budDim Bajate iti BAvaH /
   saṃvṛtiravidyā bhramarūpā tadvṛttirvā vṛttau 'kathañcidanvitasye'ti /	saMvRtiH avidyA Brama rUpA tad vRttiH vA vRttO akaTaQcid anvitasye ati /
   yayā kayāpi vidhayā prakṛtena sambaddhasyetyarthaḥ /	yayA kayA api viDayA prakRtena sambadDasya iti arTaH /
   etadgranthamavatārayati   nanvityādi /	etat granTam avatArayati   nanu ityAdi /
   api tāvaditi śabdābhyāmiti /	api tAvat iti SabdAByAm iti /
   eva vicchittiḥ rasasyākāṇḍa eva ca prakāśanam /	eva vicCittiH rasasya akANxaH eva ca prakASanam /
   tatrānavasare virāmo rasasya yathā nāyakasya kasyacitspṛhaṇīyasamāgamayā	tatra anavasare virAmaH rasasya yaTA nAyakasya kasyacid spRhaNIya samAgamayA
   nāyikayā kayācitparāṃ paripoṣapadarvī prāpte śṛṅgāre vidite ca	nAyikayA kayAcid parAm paripoza padarvI prApte SRFgAre vidite ca
   paramparānurāge samāgamopāyacintocitaṃ vyavahāramutsṛjya svatantratayā	paramparA anurAge samAgama upAya cintA ucitam vyavahAram utsRjya svatantra tayA
   vyāpārāntaravarṇane /	vyApAra antara varNane /
   anavasare ca prakāśanaṃ rasasya yathā pravṛtte pravṛttavividhavīrasaṅkṣaye	anavasare ca prakASanam rasasya yaTA pravRtte pravRtta viviDa vIra saFkzaye
   kalpasaṅkṣayakalpe saṅgrame rāmadevaprāyasyāpi	kalpa saFkzaya kalpe saFgrame rAma deva prAyasya api
   tāvannāyakasyānupakrāntavipralambhaśṛṅgārasya nimittamucitamantareṇaiva	tAvat nAyakasya anupakrAnta vipralamBa SRFgArasya nimittam ucitam antareNa eva
   śṛṅgārakathāyāmavatāravarṇane /	SRFgAra kaTAyAm avatAra varNane /
   na caivaṃvidhe viṣaye daivavyāmohitatvaṃ kathāpuruṣasya parihāro yato	na ca evaMviDe vizaye dEva vyAmohita tvam kaTA puruzasya parihAraH yatas 
   rasabandha eva kaveḥ prādhānyena pravṛttinibandhanaṃ yuktam /	rasa banDaH eva kaveH prADAnyena pravRtti nibanDanam yuktam /
   itivṛttavarṇanaṃ tadupāya evetyuktaṃ prāk 'ālokārthī yathā dīpaśikhāyāṃ	itivRtta varNanam tad upAyaH eva iti uktam prAk aAloka arTI yaTA dIpa SiKAyAm
   yatnavāñjanaḥ' ityādinā /	yatnavAn janaH a ityAdinA /
   ata eva cetivṛttamātravarṇanaprādhānye	atas eva ca iti vRtta mAtra varNana prADAnye
   'ṅgāṅgibhāvarahitarasabhāvanibandhena ca kavīnāmevaṃvidhāni skhalitāni	aFga aFgi BAva rahita rasa BAva nibanDena ca kavInAm evaMviDAni sKalitAni
   bhavantīti rasādirūpavyaṅgyatātparyamevaiṣāṃ locanam vyāpārāntareti /	Bavanti iti rasa Adi rUpa vyaFgyatAt paryam eva ezAm locanam vyApAra antara iti /
   yathāvatsarājacarite caturthe 'ṅke  ratnāvalīnāmadheyamapyagṛṅṇato	yaTAvat sa rAja carite caturTe aFke   ratna AvalI nAmaDeyam api agRFNataH 
   vijayavarmavṛttāntavarṇane /	vijaya varma vRttAnta varNane /
   api tāvaditi śabdābhyāṃ duryodhanādestadvarṇanaṃ dūrāpāstamiti veṇīsaṃhāre	api tAvat iti SabdAByAm duryoDana AdeH tat varNanam dUra apAstam iti veNI saMhAre
   dvitīyāṅkamevodāharaṇatvena dhvanati /	dvitIya aFkam eva udAharaNa tvena Dvanati /
   ata eva vakṣyati  'daivavyāmohitatvam' iti /	atas eva vakzyati   adEvavyAmohita tvam a iti /
   pūrvaṃ tu sandhyaṅgābhiprāyeṇa pratyudāharaṇamuktam /	pUrvam tu sanDi aFga aBiprAyeNa pratyudAharaNam uktam /
   kathāpuruṣasyeti pratināyakasyeti yāvat /	kaTA puruzasya iti pratinAyakasya iti yAvat /
   ata eva ceti /	atas eva ca iti /
   yato rasabandha eva mukhyaḥ kavivyāpāraviṣayaḥ	yatas rasa banDaH eva muKyaH kavi vyApAra vizayaH
   itivṛttamātravarṇanaprādhānye bālapriyā rāmadevaprāyasyāpi	iti vRtta mAtra varNana prADAnye bAlapriyA rAma deva prAyasya api
   tāvadityatratyābhyāṃ tāmyāmityarthaḥ /	tAvat iti atratyAByAm tAmyAm iti arTaH /
   dhvanatītyanenāsya sambandhaḥ /	Dvanati iti anena asya sambanDaH /
   tadvarṇanamiti /	tat varNanam iti /
   saṅgrāme pravṛtte nimittamucitamantareṇaiva śṛṅgāravarṇanamityarthaḥ /	saFgrAme pravRtte nimittam ucitam antareNa eva SRFgAra varNanam iti arTaH /
   ata eveti /	atas eva iti /
   dvitīyāṅkasya udāharaṇatvena dhvananādevetyarthaḥ /	dvitIya aFkasya udAharaNa tvena DvananAdA iva iti arTaH /
   daivavyāmohitatvamiti /	dEva vyAmohita tvam iti /
   daivena vyāmohitaḥ kṛtyākṛtyavivekarāhityaṃ prāpitastatvamityarthaḥ /	dEvena vyAmohitaH kRtyA kRtya viveka rAhityam prApitaH tatvam iti arTaH /
   veṇīsaṃhāre duryodhanasya tadgamyata iti bhāvaḥ /	veNI saMhAre duryoDanasya tat gamyate iti BAvaH /
   yathā veṇīsaṃhāre iti pūrvamuktamanyābhiprāyeṇeti smārayati  pūrvamityādi	yaTA veNI saMhAre iti pUrvam uktam anya aBiprAyeNa iti smArayati   pUrvam ityAdi
   kathāpuruṣasyetyanena vivakṣitamāha  pratināyakasyeti /	kaTA puruzasya iti anena vivakzitam Aha   pratinAyakasya iti /
   na tu pradhānanāyakasyetyarthaḥ /	na tu praDAna nAyakasya iti arTaH /
   tasya tathātvenaucityāpātāditi bhāvaḥ /	tasya taTA tvena Ocitya ApAtAt iti BAvaH /
   vṛttau 'rasabandha' iti prathamāntaṃ rasānukūlaśabdārthanibandha ityarthaḥ	vRttO arasa banDa a iti praTama antam rasa anukUla Sabda arTa nibanDaH iti arTaH
   pravṛttinibandhanamiti /	pravRtti nibanDanam iti /
   pravṛttiviṣaya ityarthaḥ /	pravRtti vizayaH iti arTaH /
   yadvā rasabandhe iti saptamyantam /	yat vA rasa banDe iti saptamI antam /
   'pravṛttinibandhanaṃ' pravṛtteḥ sambandho viṣayatetyarthaḥ /	apravRtti nibanDanaM a pravRtteH sambanDaH vizaya tA iti arTaH /
   'ata eve'tyasyārabdha ityanena sambandhaḥ /	aatas eve atyasya ArabDaH iti anena sambanDaH /
   locane vyācaṣṭe   yata ityādi /	locane vyAcazwe   yate ityAdi /
   vṛttau prādhānye sati yadibandhanaṃ tasminniti sambandhaḥ /	vRttO prADAnye sati yadibanDanam tasmin= iti sambanDaH /
   yuktamiti yatno 'smābhirārabdho na dhvanipratipādanamātrābhiniveśena /	yuktam iti yatnaH asmABiH ArabDaH na Dvani pratipAdana mAtra aBiniveSena /
   punaścāyamanyo rasabhaṅgaheturavadhāraṇīyo yatparipoṣaṃ gatasyāpi rasasya	punar ca ayam anyaH rasa BaFga hetuH avaDAraNIyaH yat paripozam gatasya api rasasya
   paunaḥ  punyena dīpanam /	pOnaH   punyena dIpanam /
   ubhayukto hi rasaḥ svasāmagrīlabdhaparipoṣaḥ punaḥ punaḥ parāmṛśyamāṇaḥ	uBa yuktaH hi rasaH sva sAmagrI labDa paripozaH punar punar parAmRSyamANaH
   parimlānakusumakalpaḥ kalpate /	parimlAna kusuma kalpaH kalpate /
   tathā vṛttervyavahārasya yadanaucityaṃ tadapi rasabhaṅgahetureva /	taTA vRtteH vyavahArasya yat anOcityam tat api rasa BaFga hetuH eva /
   yathā nāyakaṃ prati nāyikāyāḥ kasyāściducitāṃ bhaṅgimantareṇa svayaṃ	yaTA nAyakam prati nAyikAyAH kasyAScid ucitAm BaFgim antareNa svayam
   sambhogābhilāṣakathane /	samBoga aBilAza kaTane /
   yadi vā vṛttīnāṃ bharataprasiddhānāṃ kaiśikyādīnāṃ	yadi vA vRttInAm Barata prasidDAnAm kESikI AdInAm
   kāvyālaṅkārāntaraprasiddhānāmupanāgarikādyānāṃ vā yadanaucityamaviṣaye	kAvya alaFkAra antara prasidDAnAm upanAgarikA AdyAnAm vA yat anOcityam avizaye
   nibandhanaṃ tadapi rasabhaṅgahetuḥ /	nibanDanam tat api rasa BaFga hetuH /
   evameṣāṃ rasavirodhināmanyeṣāṃ cānayā diśā svayamutprekṣitānāṃ parihāre	evam ezAm rasa viroDinAm anyezAm ca anayA diSA svayam utprekzitAnAm parihAre
   satkavibhiravahitairbhavitavyam /	sat kaviBiH avahitEH Bavitavyam /
   parikaraślokāścātra    mukhyā vyāpāraviṣayāḥ sukavīnāṃ rasādayaḥ /	parikaraSlokAH ca atra   muKyAH vyApAra vizayAH su kavInAm rasa AdayaH /
   teṣāṃ nibandhane bhāvya taiḥ sadaivāpramādibhiḥ //	tezAm nibanDane BAvya tEH sadA eva apramAdiBiH //
   nīrasastu prabandho yaḥ so 'paśabdo mahān kaveḥ /	nIrasaH tu prabanDaH yaH saH apaSabdaH mahAn kaveH /
   sa tenākavireva syādanyenāsmṛtalakṣaṇaḥ //	sa tena akaviH eva syAt anyena asmRta lakzaNaH //
   locanam sati yadaṅgāṅgibhāvarahitānāmavicāritaguṇapradhānabhāvānāṃ	locanam sati yad aFga aFgi BAva rahitAnAm avicArita guNa praDAna BAvAnAm
   rasabhāvānāṃ nibandhanaṃ tannimittāni skhalitāni sarve doṣā ityarthaḥ /	rasa BAvAnAm nibanDanam tad nimittAni sKalitAni sarve dozAH iti arTaH /
   na dhvanipratipādanamātreti /	na Dvani pratipAdana mAtrA iti /
   vyaṅgyo 'rtho bhavatu mā vā bhūt kastatrābhiniveśaḥ?	vyaFgyaH arTaH Bavatu mA vA BUt kaH tatra aBiniveSaH?
   kākadantaparīkṣāprāyameva tatsyāditi bhāvaḥ /	kAka danta parIkzA prAyam eva tat syAt iti BAvaH /
   vṛttyanaucityameva cetibahudā vyācaṣṭe tadapītyanena caśabdaṃ kārikāgataṃ	vRtti anOcityam eva ca iti bahudA vyAcazwe tat api iti anena caSabdam kArikA gatam
   vyācaṣṭe /	vyAcazwe /
   rasabhaṅgahetureva ityanenaivakārasya kārikāgatasya bhinnakramatvamuktam /	rasa BaFga hetuH eva iti anena evakArasya kArikA gatasya Binna krama tvam uktam /
   rasasya virodhāyaivetyarthaḥ /	rasasya viroDAya eva iti arTaH /
   nāyakaṃ pratīti /	nAyakam prati iti /
   nāyakasya hi dhīrodāttādibhedabhinnasya sarvathā vīrarasānuvedhena	nAyakasya hi DIra udAtta Adi Beda Binnasya sarvaTA vIra rasa anuveDena
   bhavitavyamiti taṃ prati kātarapuruṣocitamadhairyayojanaṃ duṣṭameva /	Bavitavyam iti tam prati kAtara puruza ucitam aDErya yojanam duzwam eva /
   teṣāmiti rasādīnām /	tezAm iti rasa AdInAm /
   tairiti sukavibhiḥ /	tEH iti su kaviBiH /
   so 'paśabda iti duryaśa ityarthaḥ /	saH apaSabdaH iti duryaSaH iti arTaH /
   nanu kālidāsaḥ bālapriyā cakārau vākyālaṅkāre ityāśayena	nanu kAli dAsaH bAla priyA cakArO vAkya alaFkAre iti ASayena
   vyācaṣṭe   itivṛttetyādi /	vyAcazwe   iti vRttA ityAdi /
   bahudhā vyācaṣṭa iti /	bahuDA vyAcazwaH iti /
   vṛttervyavahārasyetyādinā rasabhaṅgaheturityantagranthena tredhā vyācaṣṭa	vRtteH vyavahArasya ityAdinA rasa BaFga hetuH iti anta granTena treDA vyAcazwa
   ityarthaḥ /	iti arTaH /
   tadapītyaneneti /	tat api iti anena iti /
   tatpadottarāpiśabdenetyarthaḥ /	tad pada uttara api Sabdena iti arTaH /
   nāyakaṃ prati nāyakayā svayaṃ sambhogābhilāṣasya kathane nibaddhe	nAyakam prati nAyakayA svayam samBoga aBilAzasya kaTane nibadDe
   nāyakasyādhairyayojanamāpatati, tacca duṣṭamiti bhāvaṃ	nAyakasya aDErya yojanam Apatati, tat ca duzwam iti BAvam
   vivṛṇoti   nāyakasyetyādi /	vivRNoti   nAyakasya ityAdi /
   bhāvitavyamiti /	BAvitavyam iti /
   sarveṣāṃ vīraśabdena vyavahārāditi bhāvaḥ /	sarvezAm vIra Sabdena vyavahArAt iti BAvaH /
   kātarapuruṣeti /	kAtara puruza iti /
   adhīrapuruṣetyarthaḥ /	aDIra puruza iti arTaH /
   vṛttau 'ucitāṃ bhaṅgimantareṇe' pūrve viśṛṅkhalagiraḥ kavayaḥ	vRttO aucitAm BaFgim antareNe a pUrve viSRFKala giraH kavayaH
   prāptakīrtayaḥ /	prApta kIrtayaH /
   tānsamāśritya na tyājyā nītireṣā manīṣiṇā //	tAn samASritya na tyAjyAH nItiH ezA manIziNA //
   vālmīkivyāsamukhyāśca ye prakhyātāḥ kavīśvarāḥ /	vAlmIki vyAsa muKyAH ca ye praKyAtAH kavi ISvarAH /
   tadabhiprāyabāhyo 'yaṃ nāsmābhirdarśito nayaḥ //	tad aBiprAya bAhyaH ayam na asmABiH darSitaH nayaH //
   iti /	iti /
   vivakṣite rase labdha pratiṣṭhe tu virodhinām /	vivakzite rase labDa  pratizWe tu viroDinAm /
   bādhyānām aṅga bhāvaṃ vā prāptānām uktir acchalā // DhvK_3.20 //	bADyAnAm aFga BAvam vA prAptAnAm uktiH acCalAH // DhvK_3.20 //
   vivakṣite rase labdhapratiṣṭhe tu virodhinām /	vivakzite rase labDa pratizWe tu viroDinAm /
   bādhyānāmaṅgabhāvaṃ vā prāptānāmuktiracchalā // 20 //	bADyAnAm aFga BAvam vA prAptAnAmuktiracCalAH // 20 //
   svasāmagnyā labdhaparipoṣe tu vivakṣite rase virodhināṃ virodhirasāṅgānāṃ	svasAm agnyA labDa paripoze tu vivakzite rase viroDinAm viroDi rasa aFgAnAm
   bādhyānāmaṅgabhāvaṃ vā prāptanāṃ satāmuktiradoṣā /	bADyAnAm aFga BAvam vA prAptanAm satA muktiH adozAH /
   bādhyatvaṃ hi virodhināṃ śakyābhibhavatve sati nānyathā /	bADya tvam hi viroDinAm Sakya aBiBava tve sati na anyaTA /
   tathāca teṣāmuktiḥ prastutarasaparipoṣāyaiva sampadyate /	taTA ca tezAmuktiH prastuta rasa paripozAya eva sampadyate /
   aṅgabhāvaṃ prāptānāṃ ca teṣāṃ virodhitvameva nivartate /	aFga BAvam prAptAnAm ca tezAm viroDi tvam eva nivartate /
   aṅgabhāvaprāptirhi teṣāṃ svābhāvikī samāropakṛtā vā /	aFga BAva prAptiH hi tezAm svABAvikI samAropa kRtA vA /
