   śrīḥ /	SrIH /
   vipratipatteriti yāvat /	vipratipatteH-iti yAvat /
   vipratipatteḥ sandehodayāt sandigdhārthanirṇayāya vicāra upacikramiṣitaḥ /	vipratipatteH sandeha-udayAt sandigDa-arTa-nirNayAya vicAraH upacikramizitaH /
   tatra pakṣāntarāṇāṃ sadoṣatvapratipādanapūrvakaṃ	tatra pakza-antarANAm sa-doza-tva-pratipAdana-pUrvakam
   sopādhikasattvāsattvapakṣo mīmāṃsakābhimato nirṇīyate sadyuktyeti bhāvaḥ /	sa-upADika-sattva-asattva-pakzaH mImAMsaka-aBimataH nirNIyate sat-yuktyA-iti BAvaH /
   kriyata iti vartamānavyapadeśastatsāmīpyāt /	kriyate iti vartamAna-vyapadeSaH-tad-sAmIpyAt /
   pratijñāceyaṃ śrotṛbuddhisamādhyarthā // 43 //	pratijQAceyam SrotR-budDi-samADi-arTAH // 43 //
   ghaṭasvarūpe nāstitvamastitvaṃ yadyabūbudhat /	Gawa-svarUpe na-astitvam-astitvam yadi-abUbuDat /
   syādeva yugapatsattvamasattvaṃ ca ghaṭādiṣu // 44 //	syAt-eva yugapad-sattvam-asattvam ca Gawa-Adizu // 44 //
   idānīmidamatrāsti nāstītyevaṃvidhā yataḥ /	idAnIm-idam-atra-asti na-asti-iti-evaMviDAH yatas /
   deśakāladaśābhedādastināstīti no dhiyaḥ // 45 //	deSa-kAla-daSA-BedAt-astina-asti-iti naH DiyaH // 45 //
   ato deśādibhedena sadasattvaṃ ghaṭādiṣu /	atas deSa-Adi-Bedena sat-asat-tvam Gawa-Adizu /
   vyavasthitaṃ nirastatvā(syā)dvādasyeha na sambhavaḥ // 46 //	vyavasTitam nirasta-tvA(syA)-dvAdasya-iha na samBavaH // 46 //
   tatra nirupādhikasattvāsattvasamuccayapakṣanirasanena siddhāntaḥ	tatra nirupADika-sattva-asattva-samuccaya-pakza-nirasanena sidDAntaH
   samanuvarṇyate ghaṭasvarūpaityādinā ślokatrayeṇa /	samanuvarNyate Gawa-svarUpA-etyAdinA Sloka-trayeNa /
   ayamarthaḥ - ghaṭasvarūpe nāstitvaṃ pratīyamānameva, nāstītipratītireveti	ayam-arTaH  Gawa-svarUpe nAstitvam pratIyamAnam-eva, na-asti-iti-pratItiH-eva-iti
   yāvat , yadyastitvamapi tasya pratyapādayiṣyat , yadvā pratītiḥ	yAvat , yadi-astitvam-api tasya pratyapAdayizyat , yat-vA pratItiH
   sattvamasattvaṃ ca nirūpādhi yadi pratyapādayiṣyat , tarhi	sattvam-asattvam ca nirUpa-aDi yadi pratyapAdayizyat , tarhi
   sadasattvasamuccayo 'bhyupāgaṃsyata /	sat-asattva-samuccayaH aByupAgaMsyata /
   nacaivam /	naca-evam /
   kintu kiñciddeśakālāvasthādiviśeṣeṇa sattvam ,	kintu kiQcid-deSa-kAla-avasTA-Adi-viSezeNa sattvam ,
   anyadeśādyaupādhikamasattvameva ca pratipādayanti pratītayaḥ /	anya-deSa-Adi-OpADikam-asat-tvam-eva ca pratipAdayanti pratItayaH /
   ato deśādibhedataḥ sadasattve vyavasthite ghaṭādau /	atas deSa-Adi-BedataH sat-asat-tve vyavasTite Gawa-AdO /
   tat vādasyānyavādasya bādhādidoṣadūṣitatvānna sambhava ityarthaḥ /	tat vAdasya-anya-vAdasya bADa-Adi-doza-dUzita-tvAt-na samBavaH iti-arTaH /
   nirastasyādvādasyeti pāṭhaḥ sambhāvyate /	nirastasya-AdvAdasya-iti pAWaH samBAvyate /
   tadāyamarthaḥ - nirastasya vyāghātabādhitasya syādvādasya syādasti,	tadA-ayam-arTaH  nirastasya vyAGAta-bADitasya syAt-vAdasya syAt-asti,
   syānnāstīti jainānāmanaikāntyavādasya na sambhava iti /	syAt-na-asti-iti jEnAnAm-anEkAntya-vAdasya na samBavaH iti /
   atra ca naiyāyikādimataṃ, tataḥ siddhānte viśeṣaśca śatadūṣaṇyāṃ	atra ca nEyAyika-Adi-mataM, tatas sidDAnte viSezaH-ca Sata-dUzaNyAm
   vyavriyata ṣaṣṭitame vāde śrīmannigamāntācāryacaraṇaiḥ /	vyavriyata zazwitame vAde SrImat-nigama-anta-AcArya-caraNEH /
   yathā upādhibhedādubhayavyavastheti pakṣamadūraviprakarṣātparigṛhṇīmahe /	yaTA upADi-BedAt-uBaya-vyavasTA-iti pakza-madUra-viprakarzAt-parigRhNImahe /
   upādhibhedastu svātmanā sattvam , anyātmanāsattvam /	upADi-BedaH-tu sva-AtmanA sattvam , anya-AtmanA-sattvam /
   svakāle sattvam , anyakāle punarasattvam /	sva-kAle sattvam , anya-kAle punar-asattvam /
   tathā svadeśe sattvam , anyadeśe punarasattvamiti /	taTA sva-deSe sattvam , anya-deSe punar-asattvam-iti /
   iha tādātmyaṃ saṃsargo vā sattvamiti vyapadiśyate /	iha tAdAtmyam saMsargaH vA sattvam-iti vyapadiSyate /
   tadviruddhaveṣeṇa vastunyevāsadvyapadeśaḥ /	tad-virudDa-vezeNa vastuni-eva-asat-vyapadeSaH /
   ṣaṣṭhe tu pakṣe viruddhadharmayoga eva vastunyasadvyavahārahetutayā	zazWe tu pakze virudDa-Darma-yogaH eva vastuni-asat-vyavahAra-hetu-tayA
   vyapadiśyate /	vyapadiSyate /
   ghaṭo hi ghaṭātmanā san paṭātmanā punarasanniti nirdiśyate /	GawaH hi Gawa-AtmanA san pawa-AtmanA punar-asan=-iti nirdiSyate /
   sanneva svadeśakālayoḥ svavirodhideśakālayorasanniti /	san=-A-iva sva-deSa-kAlayoH sva-viroDi-deSa-kAlayoH-asan=-iti /
   upalambhānukūlatvāllāghavāccedamevādriyante vṛddhāḥiti /	upalamBa-anukUla-tvAt-lAGavAt-ca-idam-eva-Adriyante vRdDAH-iti /
   atrāyaṃ vivekaḥ - sattā tādātmyataditarasaṃbandhānyataralakṣaṇā /	atra-ayam vivekaH  sattA tAdAtmya-tad-itara-saMbanDa-ani-atara-lakzaNAH /
   ayaṃ ghaṭo 'stītyatra ghaṭatādātmyalakṣaṇā sattā pratīyate /	ayam GawaH asti-iti-atra Gawa-tAdAtmya-lakzaNA sattA pratIyate /
   atredānīṃ ghaṭo 'stītyatra caitaddeśakālasaṃyogalakṣaṇā /	atra-idAnIm GawaH asti-iti-atra ca-etad-deSa-kAla-saMyoga-lakzaNA /
   tathā ayaṃ paṭo nāstītyatra paṭatādātmyābhāvalakṣaṇā paṭātmanāsattā	taTA ayam pawaH na-asti-iti-atra pawa-tAdAtmya-aBAva-lakzaNA pawa-AtmanA-asattA
   pratīyate /	pratIyate /
   tatra tadā ghaṭo nāstītyatra ca taddeśakālasaṃyogābhāvalakṣaṇāsattā	tatra tadA GawaH na-asti-iti-atra ca tad-deSa-kAla-saMyoga-aBAva-lakzaNA-sattA
   pratīyate /	pratIyate /
   evaṃ bhāvābhāvarūpayoḥ sadasattvayordeśādibhedenopapattirghaṭādāviti ekaḥ	evam BAva-aBAva-rUpayoH sat-asat-tvayoH-deSa-Adi-Bedena-upapattiH-Gawa-AdO=-iti ekaH
   pakṣaḥ /	pakzaH /
   abhāvo 'pi bhāvāntararūpa eveti pakṣāntaraṇ /	aBAvaH api BAva-antara-rUpaH eva-iti pakza-antaraw /
   yathā ghaṭatvameva hi ayaṃ ghaṭo 'stītyatra pratītaṃ ghaṭasya sattvam /	yaTA Gawa-tvam-eva hi ayam GawaH asti-iti-atra pratItam Gawasya sattvam /
   tadevāyaṃ paṭo nāstītyatrāpi pratīyate paṭādbhedarūpam /	tat-eva-ayam pawaH na-asti-iti-atra-api pratIyate pawAt-Beda-rUpam /
   evaṃ svadeśakālasaṃbandhalakṣaṇā sattaivānyadeśakālanāstitāpratītāvapi	evam sva-deSa-kAla-saMbanDa-lakzaNA sat-tA-eva-anya-deSa-kAla-nAstitA-pratItO=-api
   viṣayo bhavati deśāntarādisaṃbandhābhāvatveneti /	vizayaH Bavati deSa-antara-Adi-saMbanDa-aBAva-tvena-iti /
   tathā ca dharmaviśeṣa eva bhāvānāmastināstipratītigocara iti siddham /	taTA ca Darma-viSezaH eva BAvAnAm-asti-nAsti-pratIti-gocaraH iti sidDam /
   idameva siddhāntināmapi saṃmatamiti // 44 //45 //46 //	idam-eva sidDAntinAm-api saMmatam-iti // 44 //45 //46 //
   nanu deśādisambandhaḥ sata evopapadyate /	nanu deSa-Adi-sambanDaH sataH eva-upapadyate /
   na deśakālasambandhādasataḥ sattvamiṣyate // 47 //	na deSa-kAla-sambanDAt-asataH sattvam-izyate // 47 //
   sambadho dvyāśrayastasmātsataḥ sattvaṃ sadā bhavet /	sambaDaH dvi-ASrayaH-tasmAt-sataH sattvam sadA Bavet /
   asataḥ kārakaiḥ sattvaṃ janmanetyatidurghaṭam // 48 //	asataH kArakEH sattvam janmanA-iti-ati-durGawam // 48 //
   ādyantavān prapañco 'taḥ satkakṣyāntarniveśyate /	Adi-antavAn prapaQcaH atas sat-kakzya-antar-niveSyate /
   uktaṃ ca - ādāvante ca yannāsti nāsti madhye 'pi tattathā iti /	uktam ca  AdO=-ante ca yat-na-asti na-asti maDye api tat-taTA iti /
   ato niścitasadbhāvaḥ sadā sannabhyuyeyatām // 49 //	atas niScita-sadBAvaH sadA san=-aByuyeya-tAm // 49 //
   avirodhena sadasattvasamarthanasamahamānaḥ sattvaikāntyavādī kāpilo 'tra	aviroDena sat-asattva-samarTana-samahamAnaH sattva-EkAntya-vAdI kApilaH atra
   pratyavatiṣṭhate nanu deśādīti /	pratyavatizWate nanu deSa-Adi-iti /
   pūrvamasato ghaṭādeḥ svadeśakālasaṃbandhena sattotpattyā durupapādā /	pUrvam-asataH Gawa-AdeH sva-deSa-kAla-saMbanDena satta-utpattyA durupapAdAH /
   saṃbandhasya saṃyogasya saṃbandhidvayajanyasyāsati	saMbanDasya saMyogasya saMbanDi-dvaya-janyasya-asati
   saṃbandhinyatarasminnapi samutpatterayogāt /	saMbanDinyatarasmin=-api samutpatteH-ayogAt /
   tathā ca svadeśakālasaṃbandhātsattvam /	taTA ca sva-deSa-kAla-saMbanDAt-sattvam /
   sattve ca svadeśakālasaṃbandha ityanyonyasaṃśrayaḥ /	sattve ca sva-deSa-kAla-saMbanDaH iti-anyonya-saMSrayaH /
   ataḥ sattvameva sadā mantavyaṃ bhāvānāmitisataḥ sattvaṃ sadā	atas sattvam-eva sadA mantavyam BAvAnAm-itisataH sattvam sadA
   bhavedityantasyārthaḥ /	Bavet-iti-antasya-arTaH /
   nanu sadā sattve kārakacakravyāpārānarthakyaṃ prasajyeta /	nanu sadA sattve kAraka-cakra-vyApAra-AnarTakyam prasajyeta /
   tatpūrvamasata eva kārakavyāpāreṇotpattirvācyetyatrāhaasata iti /	tat-pUrvam-asataH eva kAraka-vyApAreNa-utpattiH-vAcyA-iti-atra-ahaasataH iti /
   asataḥ prayatnaśatenāpi niṣpattyā sattvaṃ durupapādaṃ	asataH prayatna-Satena-api nizpattyA sattvam durupapAdam
   sikatābhyastailasyeva /	sikatAByaH-tElasya-iva /
   kiñcāsata utpattau daṇḍacakrādito 'sattvāviśeṣādghaṭasyeva	kiQca-asataH utpattO daNxa-cakra-Aditas asattva-aviSezAt-Gawasya-iva
   paṭasyāpyutpādaprasaṅgaḥ /	pawasya-api-utpAda-prasaFgaH /
   kenacidedvyāpāreṇa śaśe 'pi śṛṅgasya kadācidudayaprasaṅgaśca /	kenacid-et-vyApAreNa SaSe api SRFgasya kadAcid-udaya-prasaFgaH-ca /
   etadanusandhānenoktamiti /	etad-anusanDAnena-uktam-iti /
   nanūpādānaviśeṣe kāryaviśeṣotpādanasāmarthyapratiniyamānnātiprasaṅga iti	nanUpAdAna-viSeze kArya-viSeza-utpAdana-sAmarTya-pratiniyamAt-na-atiprasaFgaH iti
   cenmaivam , kāryagarbhatvamantarā sāmarthyaniyamasyāpi durnirūpatvāt /	ced-mA-evam , kArya-garBa-tvam-antarA sAmarTya-niyamasya-api durnirUpa-tvAt /
   tatsadeva kāryaṃ kārakavyāpāreṇābhivyajyata ityeṣṭavyamityāhaādyantavāniti	tat-sat-eva kAryam kAraka-vyApAreNa-aBivyajyate iti-ezwavyam-iti-Ahaa-Adi-antavAn-iti
   āvirbhāvatirobhāvalakṣaṇāveva cādyantau utpādavināśāviti bhāvaḥ /	AvirBAva-tiroBAva-lakzaNO=-eva ca-Adi-antO utpAda-vinASO=-iti BAvaH /
   atra saṃvādaḥādāviti /	atra saMvAdaHAdO=-iti /
   ata iti /	atas iti /
   sattvena niñcitaḥ sadā sannevetīṣyatāmityarthaḥ // 47 //48 //49 //	sattvena niQcitaH sadA san=-A-iva-itIzyatAm-iti-arTaH // 47 //48 //49 //
   asataḥ sarvadāsattvaṃ janyayogāt khapuṣpavat /	asataH sarvadA-asattvam janya-yogAt Ka-puzpa-vat /
   asattve na viśeṣo 'sti prāgatyantāsatoriha // 50 //	asattve na viSezaH asti prAk-atyanta-asatoH-iha // 50 //
   ( iti prapañcasya sattvapakṣasamarthanam ) asataiti /	( iti prapaQcasya sattva-pakza-samarTanam ) asatA-eti /
   janyayogāt - utpattyayogāt /	janya-yogAt  utpatti-ayogAt /
   prāgatyantāsatoḥ - pūrvamasatotyantāsa taśca /	prAk-atyanta-asatoH  pUrvam-asatA-utyanta-Asa taH-ca /
   iti kāpilamatamupapāditam /	iti kApila-matam-upapAditam /
   atropapāditasya kāpilamatasya pratikṣepaparaḥ,	atra-upapAditasya kApila-matasya pratikzepa-paraH,
   matāntaropapādanapratikṣepaparaśca granthabhāgo vilupta ityūhyate /	mata-antara-upapAdana-pratikzepa-paraH-ca granTa-BAgaH viluptaH iti-Uhyate /
   buddhisaukaryāya sāṅkhyapakṣapratikṣepaprakāro diḍmātraṃ pradarśyate 'tra	budDi-sOkaryAya sAFKya-pakza-pratikzepa-prakAraH diz-mAtram pradarSyate atra
   dvavyaṃ tāvat nityameva /	dvavyam tAvat nityam-eva /
   avasthābhedāstu ghaṭatvakapālatvādaya āgantukāḥ /	avasTA-BedAH-tu Gawa-tva-kapAla-tva-AdayaH AgantukAH /
   avasthāviśeṣasampattyartha eva ca kārakavyāpāraḥ /	avasTA-viSeza-sampatti-arTaH eva ca kAraka-vyApAraH /
   dravyasya sattvādeva kārakavyāpāragocaratvamavasthāntarabhāktvaṃ ca	dravyasya sattvAt-eva kAraka-vyApAra-gocara-tvam-avasTA-antara-BAktvam ca
   ghaṭate /	Gawate /
   anvayavyatirekābhyāṃ ca kārakacakrasya tasya tasya tatra tatra kārye	anvaya-vyatirekAByAm ca kAraka-cakrasya tasya tasya tatra tatra kArye
   sāmarthyaniyamaḥ sidhyatīti nātiprasaṅgaḥ /	sAmarTya-niyamaH siDyati-iti na-ati-prasaFgaH /
   tattadavasthāviśiṣṭaveṣeṇa jātatvanaṣṭatvādipratītiścopapadyate /	tad-tad-avasTA-viSizwa-vezeNa jAta-tva-nazwa-tva-Adi-pratItiH-ca-upapadyate /
   kārakacakrasyābhivyañjakatvamiti pakṣe tu kārakajñāpakavibhāgāyogaḥ /	kAraka-cakrasya-aBivyaQjaka-tvam-iti pakze tu kAraka-jQApaka-viBAga-ayogaH /
   abhivyakterjñānādbhede prakārāntareṇotpattirevāpatitā /	aBivyakteH-jQAnAt-Bede prakAra-antareNa-utpattiH-eva-ApatitA /
   kiñca abhivyakternityatve kārakavyāpāravaiyarthyameva /	kiQca aBivyakteH-nitya-tve kAraka-vyApAra-vEyarTyam-eva /
   tasyā api abhivyaktyantarasvīkāre 'navasthā /	tasyAH api aBivyakti-antara-svIkAre anavasTA /
   tasyā utpādyatve tvasatkāryavādaprasaṅgaḥ /	tasyAH utpAdya-tve tu-asat-kArya-vAda-prasaFgaH /
   tadabhivyakterutpattyupagamato yathopalambhaṃ tasyotpattirupagantumucitā /	tad-aBivyakteH-utpatti-upagamataH yaTA-upalamBam tasya-utpattiH-upagantum-ucitA /
   sadeva dravyamavasthāntarabhāksatkāryaṃ bhavatītyeva satkāryavādaḥ	sat-eva dravyam-avasTA-antara-BAj-sat-kAryam Bavati-iti-eva satkArya-vAdaH
   saṃrakṣaṇīyaḥ /	saMrakzaNIyaH /
   ayameva ca trayyantasiddho 'pīti /	ayam-eva ca trayI-anta-sidDaH api-iti /
   āvidyo bhedaprapañco mithyā /	AvidyaH Beda-prapaQcaH miTyA /
   advitīyaśrutyā ca mithyātvaṃ gamyate /	advitIya-SrutyA ca miTyAtvam gamyate /
   tacca pratītibādhābhyāṃ sadasadvilakṣaṇatvasiddheḥ supratiṣṭhitamiti hi	tat-ca pratIti-bADAByAm sat-asat-vilakzaNa-tva-sidDeH su-pratizWitam-iti hi
   māyāvādināṃ matam /	mAyA-vAdinAm matam /
   tacca pūrvottarapraghaṭṭakaiḥ pratikṣiptaprāyamevetibodhyam // 50 //	tat-ca pUrva-uttara-praGawwakEH pratikzipta-prAyam-eva-iti-boDyam // 50 //
   śvetaketumupādāya tattvamityapi yacchrutam /	Svetaketum-upAdAya tattvam-iti-api yat-Srutam /
   ṣaṣṭhaprapāṭhake tasya kuto mukhyārthasambhavaḥ // 51 //	zazWa-prapAWake tasya kutas muKya-arTa-samBavaH // 51 //
   atha nirviśeṣacinmātrabrahmātmaikyajñānamevāvidyānivartakam /	aTa nirviSeza-cit-mAtra-brahma-Atma-Ekya-jQAnam-eva-avidyA-nivartakam /
   nirviśeṣacinmātrabrahmātmaikyaṃ catattvamasivākyapratipannamiti	nirviSeza-cit-mAtra-brahma-Atma-Ekyam catattvam-asi-vAkya-pratipannam-iti
   vādamadvaitināṃ pratikṣeptuṃ tattvamasivākyārthavicāramupakramate	vAdam-advEtinAm pratikzeptum tattvam-asi-vAkya-arTa-vicAram-upakramate
   śvetaketumiti /	Svetaketum-iti /
   upādāyasambodhya /	upAdAya-samboDya /
   chāndogya ityādiḥ /	CAndogyaH ityAdiH /
   jīvabrahmaikye tattvamasivākyameva mukhyaṃ pramāṇamabhimanyate taiḥ /	jIva-brahma-Ekye tattvam-asi-vAkyam-eva muKyam pramANam-aBimanyate tEH /
   asyāpi samānādhikaraṇavākyasya mukhyārthatvaṃ tanmate na	asya-api samAna-aDikaraNa-vAkyasya muKya-arTa-tvam tad-mate na
   saṃbhavatītyahatasyetyādinā // 51 //	saMBavati-iti-ahatasya-ityAdinA // 51 //
   kārpaṇyaśokaduḥkhārtaścetanastvaṃpadoditaḥ /	kArpaNya-Soka-duHKa-ArtaH-cetanaH-tu-aMpadA-uditaH /
   sarvajñassatyasaṅkalpo nissīmasukhasāgaraḥ /	sarvajQa-ssatya-saFkalpaH nissIma-suKa-sAgaraH /
   tatpadārthastayoraikyaṃ tejastimiravatkatham // 52 //	tad-padArTaH-tayoH-Ekyam tejaH-timira-vat-kaTam // 52 //
   kārpaṇyeti /	kArpaNya-iti /
   kārpaṇyaṃ-dainyam , gatiśūnyatā /	kArpaNyaM-dEnyam , gati-SUnyatA /
   śokaḥ gataduḥkhānusandhānajā cittavaiyākulī /	SokaH gata-duHKa-anusanDAna-jA citta-vEyAkulI /
   duḥkhaṃ vartamānāniṣṭānubhavalakṣaṇam /	duHKam vartamAna-anizwa-anuBava-lakzaNam /
   samānavibhaktyā pratipannamaikyaṃ jīveśvarayorviruddhasvabhāvayorna	samAna-viBaktyA pratipannam-Ekyam jIva-ISvarayoH-virudDa-svaBAvayoH-na
   ghaṭata iti mukhyārthāsaṃbhava evetyāśayaḥ // 52 //	Gawate iti muKya-arTa-asaMBavaH eva-iti-ASayaH // 52 //
   tvamarthasthe taṭasthe vā ..... ( taderthasthe vibhedake ) /	tvam-arTa-sTe tawa-sTe vA ..... ( tadA-IrTa-sTe viBedake ) /
   guṇe tattvaṃpadaśrutyoraikārthyaṃ dūravāritam // 53 //	guNe tattvaMpada-SrutyoH-EkArTyam dUra-vAritam // 53 //
   tvamarthastheiti /	tvam-arTa-sTa-iiti /
   tvamarthaniṣṭho guṇo 'jñatvaduḥkhitvādiḥ /	tvam-arTa-nizWaH guNaH ajQa-tva-duHKi-tva-AdiH /
   tadarthaniṣṭhaśca sarvajñatvajagatkāraṇatvādiḥ /	tad-arTa-nizWaH-ca sarvajQa-tva-jagat-kAraNa-tva-AdiH /
   sa ca brahmaṇastaṭasthalakṣaṇatvena parābhimataḥ /	sa ca brahmaNaH-tawa-sTa-lakzaNa-tvena para-aBimataH /
   anayordharmayorāśrayabhedakatvāttattvamarthayoraikyaṃ	anayoH-DarmayoH-ASraya-Bedaka-tvAt-tattvam-arTayoH-Ekyam
   sudūranirastamaśvagardabhayorivetyarthaḥ // 53 //	sudUra-nirastam-aSvagardaBayoH-iva-iti-arTaH // 53 //
   ajñatvasarvaveditvaduḥkhitvasukhitādike /	ajQa-tva-sarva-vedi-tva-duHKi-tva-suKita-Adike /
   viśeṣaṇe vā ciddhātorathavāpyupalakṣaṇe /	viSezaNe vA cit-DAtoH-aTavA-api-upalakzaNe /
   viruddhaguṇasaṅkānterbhedaḥ syāt tvantadarthayoḥ // 54 //	virudDa-guNa-saFkAnteH-BedaH syAt tu-antad-arTayoH // 54 //
   nanvajñatvādi sarvajñatvādi copalakṣaṇatayaivocyate, na tu viśeṣaṇatayā /	nanu-ajQa-tva-Adi sarvajQa-tva-Adi ca-upalakzaNa-tayA-eva-ucyate, na tu viSezaNa-tayA /
   ubhayopalakṣitaṃ vastvekamevetyarthaḥ /	uBaya-upalakzitam vastu-ekam-eva-iti-arTaH /
   ato na virodha ityatrāhaajñatveti /	atas na viroDaH iti-atra-Ahaa-jQatvA-iti /
   ciddhātoḥ - cittattvāsya /	cit-DAtoH  cittattva-asya /
   upalakṣaṇatve 'pi ajñatvādinopalakṣyasya jīvabhāvasya	upalakzaNa-tve api ajQa-tva-AdinA-upalakzyasya jIva-BAvasya
   sarvajñatvādinopalakṣyasyeśvarabhāvasya ca vaiyadhikaraṇyādeva	sarvajQa-tva-AdinA-upalakzyasya-ISvara-BAvasya ca vEyaDi-karaNyAt-eva
   tvantadarthayoraikyaṃ na sidhyatītyarthaḥ // 54 //	tu-antad-arTayoH-Ekyam na siDyati-iti-arTaH // 54 //
   vācyaikadeśabhaṅgena cidekavyaktiniṣṭhatā /	vAcya-eka-deSa-BaFgena cit-eka-vyakti-nizWatA /
   so 'yaṃ gaurivattattvaṃpadayorityapeśalam // 55 //	saH ayam gOrivat-tattvaMpadayoH-iti-apeSalam // 55 //
   nanu virodhānmukhyārthastyajyate /	nanu viroDAn-muKya-arTaH-tyajyate /
   cinmātre tu padadvayalakṣaṇopeyate, yathā so 'yaṃ raurityatra	cit-mAtre tu pada-dvaya-lakzaNa-upeyate, yaTA saH ayam rOrityatra
   tattedantopalakṣite vastumātre lakṣaṇā padadvayasya tatheti śaṅkate	tat-tet-anta-upalakzite vastu-mAtre lakzaNA pada-dvayasya taTA-iti SaFkate
   vācyeti /	vAcya-iti /
   vācyaikadeśasya pravṛttinimittabhedasya tyāgena viśeṣyamātre cinmātre	vAcya-eka-deSasya pravRtti-nimitta-Bedasya tyAgena viSezya-mAtre cit-mAtre
   padadvayasya vṛttiḥ jahadajahallakṣaṇayeti /	pada-dvayasya vRttiH jahat-ajahat-lakzaNayA-iti /
   etatpratikṣipatiityapyapeśalamiti /	etat-pratikzipati-iti-api-apeSalam-iti /
   apeśalam - asundaram /	apeSalam  asundaram /
   ekapadalakṣaṇayaiva virodhaparihāre padadvayalakṣaṇākalpanā na	eka-pada-lakzaNayA-eva viroDa-parihAre pada-dvaya-lakzaNa-AkalpanA na
   manorametyarthaḥ // 55 //	manoramA-iti-arTaH // 55 //
   deśakāladaśābhedādekasminnapi dharmiṇi /	deSa-kAla-daSA-BedAt-ekasmin=-api DarmiNi /
   viruddhadvandvasaṅkānteḥ so 'yaṃ gauriti yujyate // 56 //	virudDa-dvandva-saFkAnteH saH ayam gOH-iti yujyate // 56 //
   dṛṣṭānte padadvayasyāpi na lakṣaṇetyāhadeśakāleti /	dRzwAnte pada-dvayasya-api na lakzaNa-iti-Aha-deSa-kAla-iti /
   tattā nāma taddeśakālayogitā /	tat-tAH nAma tad-deSa-kAlayogitAH /
   idantaitaddeśakālayogitā /	idanta-etad-deSa-kAlayogitAH /
   tattāviśiṣṭe idantānvayasya bādhe 'pi ekasmin dharmiṇyubhayānvaye na	tat-tA-viSizwe idanta-anvayasya bADe api ekasmin DarmiNI-uBaya-anvaye na
   virodhaḥ / deśadvayasaṃbandhaḥ paricchinnasya vastunaḥ	viroDaH / deSa-dvaya-saMbanDaH paricCinnasya vastunaH
   kālabhedātparihriyate /	kAla-BedAt-parihriyate /
   kāladvayasambandhastu sthiratvādeva nirūhyate /	kAla-dvaya-sambanDaH-tu sTira-tvAt-eva nirUhyate /
   prātipadikābhyāṃ deśadvayakāladvayasaṃbandhasya samānavibhaktyā	prAtipadikAByAm deSa-dvaya-kAla-dvaya-saMbanDasya samAna-viBaktyA
   tadāśrayadravyaikyasya ca pratipādane na virodhaleśo 'pi /	tad-ASraya-dravya-ekyasya ca pratipAdane na viroDa-leSaH api /
   asminnevārthesoyamiti vākyasya tātparyam /	asmin=-eva-arTesoyam-iti vAkyasya tAtparyam /
   tanna padadvayalakṣaṇā dṛṣṭānte ityarthaḥ // 56 //	tat-na pada-dvaya-lakzaNAH dRzwAnte iti-arTaH // 56 //
   svaprakāśasya ciddhātorviruddhadvandvasaṅgatau /	sva-prakASasya cit-DAtoH-virudDa-dvandva-saFgatO /
   na vyavasthāpakaṃ kiñciddeśakāladaśādike // 57 //	na vyavasTApakam kiQcid-deSa-kAla-daSA-Adike // 57 //
   na tvevaṃ bhavatā vaktuṃ śakyata ityāhasvaprakāśasyeti /	na tu-evam BavatA vaktum Sakyate iti-Ahasva-prakASasya-iti /
   nirviśeṣe cinmātre viruddhadharmadvayasambandhasyāvirodhopapādakaṃ	nirviSeze cit-mAtre virudDa-Darma-dvaya-sambanDasya-aviroDa-upapAdakam
   deśakālāvasthābhedādau kiñcidapi na ghaṭate /	deSa-kAla-avasTA-Beda-AdO kiQcid-api na Gawate /
   svayamprakāśasvarūpatvādajñānamapyavirodhopapādakaṃ na	svayam-prakASa-svarUpa-tvAt-ajQAnam-api-aviroDa-upapAdakam na
   śakyaśaṅkatasminniti bhāvaḥ // 57 //	Sakya-SaFkatasmin=-iti BAvaH // 57 //
   nirdhūtanikhiladvandvasvaprakāśe cidātmani /	nirDUta-niKila-dvandva-sva-prakASe cit-Atmani /
   dvaitānarthabhramābhāvācchāstraṃ nirviṣayaṃ bhavet // 58 //	dvEta-anarTa-Brama-aBAvAt-SAstram nirvizayam Bavet // 58 //
   brahmaṇyavidyānvayāyogādevāvidyākṛtabhedadarśananirasanārthatvaṃ śāstrasya	brahmaNi-avidyA-anvayA-yogAt-eva-avidyA-kRta-Beda-darSana-nirasana-arTa-tvam SAstrasya
   nirviśeṣacinmātra brahmātmaikyaviṣayatvaṃ ca parābhimataṃ na	nirviSeza-cit-mA-atra brahma-Atma-Ekya-vizaya-tvam ca para-aBimatam na
   saṃbhavītyāhanirdhūteti /	saMBavIti-Aha-nirDUtA-iti /
   dvandvaśabdo bhedavācyatra /	dvandva-SabdaH Beda-vAci-atra /
   ajñānenaiva bhedabhramo vaktavyaḥ /	ajQAnena-eva Beda-BramaH vaktavyaH /
   na ca nirviśeṣe svaprakāśe ca tatprasaktiḥ /	na ca nirviSeze sva-prakASe ca tad-prasaktiH /
   tannirasanīyasyāsiddhestannirāsakatvābhimataikyajñāne śāstratātparyaṃ na	tad-nirasanIyasya-asidDeH-tad-nirAsaka-tva-aBimata-Ekya-jQAne SAstra-tAtparyam na
   kalpayituṃ śakyam /	kalpayitum Sakyam /
