   devadeva uvāca	devadevaH uvAca
   lomaharṣama uvāca	lomaharzamaH uvAca
   pautrasyaitad vacaḥ śrutvā prahlādo daityasattamaḥ /	pOtrasya-etat vacaH SrutvA prahlAdaH dEtya-sattamaH /
   sakrodhaśca baliṃ prāha vaikuṇṭhākṣepavādinam // VamPSm_8.33 //	sa-kroDaH-ca balim prAha vEkuNWa-Akzepa-vAdinam // VamPSm_8.33 //
   vināśamupayāsyanti daityā ye cāpi dānavāḥ /	vinASam-upayAsyanti dEtyAH ye ca-api dAnavAH /
   yeṣāṃ tvamīdṛśo rājā durbuddhiravivekavān // VamPSm_8.34 //	yezAm tvam-IdRSaH rAjA durbudDiH-avivekavAn // VamPSm_8.34 //
   devadevaṃ mahābhāgaṃ vāsudevamajaṃ vibhum /	devadevam mahABAgam vAsudevam-ajam viBum /
   tvāmṛte pāpasaṅkalpa ko 'nya evaṃ vadiṣyati // VamPSm_8.35 //	tvAm-Rte pApa-saFkalpa kaH anyaH evam vadizyati // VamPSm_8.35 //
   ya ete bhavatā proktāḥ samastā daityadānavāḥ /	ye ete BavatA proktAH samastAH dEtya-dAnavAH /
   sabrahmakāstathā devāḥ sthāvarāntā vibhūtayaḥ // VamPSm_8.36 //	sa-brahmakAH-taTA devAH sTAvara-antAH viBUtayaH // VamPSm_8.36 //
   tvaṃ cāhaṃ ca jagaccedaṃ sādridrumanadīvanam /	tvam ca-aham ca jagat-ca-idam sa-adri-druma-nadI-vanam /
   sasamudradvīpaloko 'yaṃ yaścedaṃ sacarācaram // VamPSm_8.37 //	sa-samudradvIpa-lokaH ayam yaH-ca-idam sa-carAcaram // VamPSm_8.37 //
   yasyābhivādyavandyasya vyāpinaḥ paramātmanaḥ /	yasya-aBivAdya-vandyasya vyApinaH paramAtmanaH /
   ekāṃśāṃśakalājanma kastamevaṃ pravakṣyati // VamPSm_8.38 //	eka-aMSa-aMSa-kalA-janma kaH-tam-evam pravakzyati // VamPSm_8.38 //
   ṛte vināśābimukhaṃ tvāmekamavivekinam /	Rte vinASa-abimuKam tvAm-ekam-avivekinam /
   durbuddhimajitātmānaṃ vṛddhānaṃ śāsanātigam // VamPSm_8.39 //	durbudDim-ajita-AtmAnam vRdDAnam SAsana-atigam // VamPSm_8.39 //
   śocyo 'haṃ yasya me gehe jātastava pitādhamaḥ /	SocyaH aham yasya me gehe jAtaH-tava pitA-aDamaH /
   yasya tvamīdṛśaḥ putro devadevāvamānakaḥ // VamPSm_8.40 //	yasya tvam-IdRSaH putraH devadeva-avamAnakaH // VamPSm_8.40 //
   tiṣṭhatvanekasaṃsārasaṃghātaughavināśini /	tizWatu-aneka-saMsAra-saMGAta-oGa-vinASini /
   kṛṣṇe bhaktirahaṃ tāvadavekṣyo bhavatā na kim // VamPSm_8.41 //	kRzNe BaktiH-aham tAvat-avekzyaH BavatA na kim // VamPSm_8.41 //
   na me priyataraḥ kṛṣṇādapi deho 'yamātmanaḥ /	na me priyataraH kRzNAt-api dehaH ayam-AtmanaH /
   iti jānātyayaṃ loko bhavāṃśca ditinandana // VamPSm_8.42 //	iti jAnAtyayam lokaH BavAn=-ca diti-nandana // VamPSm_8.42 //
   jānannapi priyataraṃ prāṇebhyo 'pi hariṃ mama /	jAnan=-api priyataram prANeByaH api harim mama /
   nindāṃ karoṣi tasya tvamakurvan gauravaṃ mama // VamPSm_8.43 //	nindAm karozi tasya tvam-akurvan gOravam mama // VamPSm_8.43 //
   virocanastava gururgurustayāpyahaṃ bale /	virocanaH-tava guruH-guruH-tayA-api-aham bale /
   mamāpi sarvajagatāṃ gururnārāyaṇo hariḥ // VamPSm_8.44 //	mama-api sarva-jagatAm guruH-nArAyaNaH hariH // VamPSm_8.44 //
   nindāṃ karoṣi tasmistvaṃ kṛṣṇe gurugurorgurau /	nindAm karozi tasmiH-tvam kRzNe guru-guroH-gurO /
   yasmāt tasmādihaiva tvam aiśvaryād bhrāṃśameṣyasi // VamPSm_8.45 //	yasmAt tasmAt-iha-eva tvam ESvaryAt Bra-aMSam-ezyasi // VamPSm_8.45 //
   sa devo jagatāṃ nātho bale prabhurjanārdanaḥ /	sa devaH jagatAm nATaH bale praBuH-janArdanaH /
   nanvahaṃ pratyavekṣyaste bhaktimānatra me guruḥ // VamPSm_8.46 //	nanu-aham pratyavekzyaH-te BaktimAn-atra me guruH // VamPSm_8.46 //
   etāvanmātramapyatra nindatā jagato gurum /	etAvat-mAtram-api-atra nindatA jagataH gurum /
   nāpekṣitastvayā yasmāt tasmācchāpaṃ dadāmi te // VamPSm_8.47 //	na-apekzitaH-tvayA yasmAt tasmAt-SApam dadAmi te // VamPSm_8.47 //
   yathā me śirasaśchedādidaṃ gurutaraṃ bale /	yaTA me SirasaH-CedAt-idam gurutaram bale /
   tvayoktamacyutākṣepaṃ rājyabhraṣṭastathā pata // VamPSm_8.48 //	tvayA-uktam-acyuta-Akzepam rAjya-BrazwaH-taTA pata // VamPSm_8.48 //
   yathā na kṛṣṇādaparaḥ paritrāṇaṃ bhavārṇave /	yaTA na kRzNAt-aparaH paritrANam Bava-arNave /
   tathācireṇa paśyeyaṃ bhavantaṃ rājyavicyutam // VamPSm_8.49 //	taTA-acireNa paSyeyam Bavantam rAjya-vicyutam // VamPSm_8.49 //
   iti śrīvāmanapurāṇe saromāhātmye aṣṭamo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye azwamaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   iti daityapatiḥ śrutvā vacanaṃ raudramapriyam /	iti dEtya-patiH SrutvA vacanam rOdram-apriyam /
   prasādayāmāsa guruṃ praṇipatya punaḥ punaḥ // VamPSm_9.1 //	prasAdayAmAsa gurum praNipatya punar punar // VamPSm_9.1 //
   baliruvāca	baliH-uvAca
   prasīda tāta mā kopaṃ kuru mohahate mayi /	prasIda tAta mA kopam kuru moha-hate mayi /
   balāvalepamūḍhena mayaitadvākyamīritam // VamPSm_9.2 //	bala-avalepa-mUXena mayA-etat-vAkyam-Iritam // VamPSm_9.2 //
   mohāpahatavijñānaḥ papo 'haṃ ditijottama /	moha-apahata-vijQAnaH papaH aham ditija-uttamaH /
   yacchapto 'smi durācārastatsādhu bhavatā kṛtam // VamPSm_9.3 //	yat-SaptaH asmi durAcAraH-tad-sADu BavatA kRtam // VamPSm_9.3 //
   rājyabhraṃśaṃ yaśobhraṃśaṃ prapsyāmīti tatastvaham /	rAjya-BraMSam yaSaH-BraMSam prapsyAmi-iti tatas-tu-aham /
   viṣaṇṇo 'si yathā tāta tathaivāvinaye kṛte // VamPSm_9.4 //	vizaNNaH asi yaTA tAta taTA-eva-avinaye kRte // VamPSm_9.4 //
   trailokyarājyamaiśvaryamanyadvā nātidurlabham /	trElokya-rAjyam-ESvaryam-anyat-vA na-ati-durlaBam /
   sasāre durlabhāstāta guravo ye bhavadvidhāḥ // VamPSm_9.5 //	sasAre durlaBAH-tAta guravaH ye BavadviDAH // VamPSm_9.5 //
   prasīda tāta mā kopaṃ kartumarhasi daityapa /	prasIda tAta mA kopam kartum-arhasi dEtyapaH /
   tvatkopaparidagdho 'haṃ paritapye divāniśam // VamPSm_9.6 //	tvad-kopa-paridagDaH aham paritapye divAniSam // VamPSm_9.6 //
   prahlāda uvāca	prahlAdaH uvAca
   vatsa kopena me moho janitastena te mayā /	vatsa kopena me mohaH janitaH-tena te mayA /
   śāpo datto vivekaśca mohenāpahṛto mama // VamPSm_9.7 //	SApaH dattaH vivekaH-ca mohena-apahRtaH mama // VamPSm_9.7 //
   yadi mohena me jñānaṃ nākṣiptaṃ syānmahāsura /	yadi mohena me jQAnam na-Akziptam syAt-mahA-asuraH /
   tatkathaṃ sarvagaṃ jānan hariṃ kaccicchapāmyaham // VamPSm_9.8 //	tat-kaTam sarvagam jAnan harim kaccit-SapAmi-aham // VamPSm_9.8 //
   yo yaḥ śāpo mayā datto bhavato 'surapuṅgava /	yaH yaH SApaH mayA dattaH BavataH asura-puFgavaH /
   bhāvyametena nūnaṃ te tasmāttvaṃ mā viṣīda vai // VamPSm_9.9 //	BAvyam-etena nUnam te tasmAt-tvam mA vizIda vE // VamPSm_9.9 //
   adyaprabhṛti deveśe bhagavatyacyute harau /	adya-praBRti deveSe Bagavati-acyute harO /
   bhavethā bhaktimānīśe sa te trātā bhaviṣyati // VamPSm_9.10 //	BaveTAH BaktimAn-ISe sa te trAtA Bavizyati // VamPSm_9.10 //
   śāpaṃ prāpya ca me vīra deveśaḥ saṃsmṛtastvayā /	SApam prApya ca me vIra deveSaH saMsmRtaH-tvayA /
   tathā tathā vadiṣyāmi śreyastvaṃ prāpsyase yathā // VamPSm_9.11 //	taTA taTA vadizyAmi SreyaH-tvam prApsyase yaTA // VamPSm_9.11 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   aditirvaramāsādya sarvakāmasamṛddhidam /	aditiH-varam-AsAdya sarva-kAma-samRdDi-dam /
   krameṇa hyudare devo vṛddhiṃ prāpto mahāyaśāḥ // VamPSm_9.12 //	krameNa hi-udare devaH vRdDim prAptaH mahA-yaSAH // VamPSm_9.12 //
   tato māse 'tha daśame kāle prasava āgate /	tatas mAse aTa daSame kAle prasavaH Agate /
   ajāyata sa govindo bhagavān vāmanākṛtiḥ // VamPSm_9.13 //	ajAyata sa govindaH BagavAn vAmana-AkRtiH // VamPSm_9.13 //
   avatīrṇe jagannāthe tasmin sarvāmareśvare /	avatIrNe jagannATe tasmin sarva-amara-ISvare /
   devāśca mumucurduḥkhaṃ devamātāditistathā // VamPSm_9.14 //	devAH-ca mumucuH-duHKam devamAtA-aditiH-taTA // VamPSm_9.14 //
   vavurvātāḥ sukhaspārśā nīrajaskamabhūnnabhaḥ /	vavuH-vAtAH suKa-spArSA nIrajaskam-aBUt-naBaH /
   dharme ca sarvabhūtānāṃ tadā matirajāyata // VamPSm_9.15 //	Darme ca sarva-BUtAnAm tadA matiH-ajAyata // VamPSm_9.15 //
   nodvegaścāpyabhūd dehe manujānāṃ dvijottamāḥ /	na-udvegaH-ca-api-aBUt dehe manujAnAm dvijottamAH /
   tadā hi sarvabhūtānāṃ dharme matirajāyata // VamPSm_9.16 //	tadA hi sarva-BUtAnAm Darme matiH-ajAyata // VamPSm_9.16 //
   taṃ jātamātraṃ bhagavān brahma lokapitāmahaḥ /	tam jAta-mAtram BagavAn brahma lokapitAmahaH /
   jātakarmādikāṃ kṛtvā kriyāṃ tuṣṭāva ca prabhum // VamPSm_9.17 //	jAtakarma-AdikAm kRtvA kriyAm tuzwAva ca praBum // VamPSm_9.17 //
   brahmovāca	brahmA-uvAca
   jayādhīśa jayājeya jaya viśvaguro hare /	jaya-aDISa jaya-Ajeya jaya viSva-guro hare /
   janmamṛtyujarātīta jayānanta jayācyuta // VamPSm_9.18 //	janma-mRtyu-jarA-atIta jaya-ananta jaya-acyuta // VamPSm_9.18 //
   jayājita jayāśeṣa jayāvyaktasthite jaya /	jaya-ajita jaya-aSeza jaya-avyakta-sTite jaya /
   paramārthārtha sarvajña jñānajñeyārthaniḥsṛta // VamPSm_9.19 //	paramArTa-arTa sarvajQa jQAna-jQeya-arTa-niHsRtaH // VamPSm_9.19 //
   jayāśeṣa jagatsākṣiñjagatkartarjagadguro /	jaya-aSeza jagat-sa-akziQjagat-kartar-jagadguro /
   jagato 'jagadanteśa sthitau pālayate jaya // VamPSm_9.20 //	jagataH ajagat-anta-ISa sTitO pAlayate jaya // VamPSm_9.20 //
   jayākhila jayāśeṣa jaya sarvahṛdisthita /	jaya-aKila jaya-aSeza jaya sarva-hRdisTitaH /
   jayādimadhyāntamaya sarvajñānamayottama // VamPSm_9.21 //	jaya-Adi-maDya-antamaya sarva-jQAna-maya-uttamaH // VamPSm_9.21 //
   mumukṣubhiranirdeśya nityahṛṣṭa jayeśvara /	mumukzuBiH-anirdeSya nitya-hRzwa jaya-ISvara /
   yogibhirmuktikāmaistu damādighuṇabhūṣaṇa // VamPSm_9.22 //	yogiBiH-mukti-kAmEH-tu dama-Adi-GuNa-BUzaNa // VamPSm_9.22 //
   jayātisūkṣma durjñeya jaya sthūla jaganmaya /	jaya-ati-sUkzma durjQeya jaya sTUla jagat-mayaH /
   jaya sūkṣmātisūkṣma tvaṃ jayānindriya sendriya // VamPSm_9.23 //	jaya sUkzma-ati-sUkzma tvam jayAn-indriya sa-indriyaH // VamPSm_9.23 //
   jaya svamāyāyogastha śeṣabhoga jayākṣara /	jaya sva-mAyA-yoga-sTa Seza-Boga jaya-akzara /
   jayaikadaṃṣṭraprāntena samuddhṛtavasuṃdhara // VamPSm_9.24 //	jaya-eka-daMzwra-prAntena samudDRta-vasuMDara // VamPSm_9.24 //
   nṛkesarin surārātivakṣasthalavidāraṇa /	nR-kesarin surArAti-vakza-sTala-vidAraNa /
   sāmprataṃ jaya viśvātman māyāvāmana keśava // VamPSm_9.25 //	sAmpratam jaya viSvAtman mAyA-vAmana keSavaH // VamPSm_9.25 //
   nijamāyāparicchinna jagaddhātarjanārdana /	nija-mAyA-paricCinna jagadDAtar-janArdana /
   jayācintya jayānekāsvarūpaikavidha prabho // VamPSm_9.26 //	jaya-acintya jaya-aneka-asvarUpA-ekaviDa praBo // VamPSm_9.26 //
   varddhasva vardhitānekavikāraprakṛte hare /	vardDasva varDita-aneka-vikAra-prakRte hare /
   tvayyeṣā jagatāmīśe saṃsthitā dharmapaddhatiḥ // VamPSm_9.27 //	tvayi-ezA jagatAm-ISe saMsTitA Darma-padDatiH // VamPSm_9.27 //
   na tvāmahaṃ na ceśāno nendrādyāstridaśā hare /	na tvAm-aham na ca-ISAnaH na-indra-AdyAH-tridaSAH hare /
   jñātumīśā na munayaḥ sanakādyā na yoginaḥ // VamPSm_9.28 //	jQAtum-ISAH na munayaH sanaka-AdyAH na yoginaH // VamPSm_9.28 //
   tvaṃ māyāpaṭasaṃvīto jagatyatra jagatpate /	tvam mAyA-pawa-saMvItaH jagati-atra jagatpate /
   kastvāṃ vetsyati sarveśa tvatprasādaṃ vinā naraḥ // VamPSm_9.29 //	kaH-tvAm vetsyati sarva-ISa tvad-prasAdam vinA naraH // VamPSm_9.29 //
   tvamevārādhito yasya prasādasumukhaḥ prabho /	tvam-eva-ArADitaH yasya prasAda-su-muKaH praBo /
   sa eva kevalaṃ devaṃ vetti tvāṃ netaro naja // VamPSm_9.30 //	saH eva kevalam devam vetti tvAm na-itaraH naja // VamPSm_9.30 //
   tadīśvareśvareśāna vibho varddhasva bhāvana /	tad-ISvara-ISvara-ISAna viBo vardDasva BAvanaH /
   prabhavāyāsya viśvasya viśvātman pṛthulocana // VamPSm_9.31 //	praBavAya-asya viSvasya viSvAtman pRTu-locanaH // VamPSm_9.31 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   elaṃ stuto hṛṣīkeśaḥ sa tadā vāmanākṛtiḥ /	elam stutaH hRzIkeSaH sa tadA vAmana-AkRtiH /
   prahasya bhāvagambhīramuvācārūḍhasaṃpadam // VamPSm_9.32 //	prahasya BAva-gamBIram-uvAca-ArUXa-saMpadam // VamPSm_9.32 //
   stuto 'haṃ bhavatā pūrvamindrādyaiḥ kaśyapena ca /	stutaH aham BavatA pUrvam-indra-AdyEH kaSyapena ca /
   mayā ca vaḥ pratijñātamindrasya bhuvanatrayam // VamPSm_9.33 //	mayA ca vaH pratijQAtam-indrasya Buvanatrayam // VamPSm_9.33 //
   bhṛyaścahaṃ stuto 'dityā tasyāścāpi mayāśrutam /	BRyaH-caham stutaH adityA tasyAH-ca-api mayA-aSrutam /
   yathā śakrāya dāsyāmi trailokyaṃ hatakaṇṭakam // VamPSm_9.34 //	yaTA SakrAya dAsyAmi trElokyam hata-kaNwakam // VamPSm_9.34 //
   so 'haṃ tathā kariṣyāmi yathendro jagataḥ patiḥ /	saH aham taTA karizyAmi yaTA-indraH jagataH patiH /
   bhaviṣyati sahasrākṣaḥ satyametad bravīmi vaḥ // VamPSm_9.35 //	Bavizyati sahasrAkzaH satyam-etat bravImi vaH // VamPSm_9.35 //
   tataḥ kṛṣṇājinaṃ brahma hṛṣīkeśāya dattavān /	tatas kRzNAjinam brahma hRzIkeSAya dattavAn /
   yajñopavītaṃ bhagavān dadau tasya bṛhaspatiḥ // VamPSm_9.36 //	yajQopavItam BagavAn dadO tasya bRhaspatiH // VamPSm_9.36 //
   āṣāḍhamadadād daṇḍaṃ marīcirbrahmaṇaḥ sutaḥ /	AzAXa-madadAt daNxam marIciH-brahmaNaH sutaH /
   kamaṇḍaluṃ vasiṣṭhaśca kauśaṃ cīramathāṅgirāḥ /	kamaNxalum vasizWaH-ca kOSam cIram-aTa-aFgirAH /
   āsanaṃ caiva pulahaḥ pulastyaḥ pītavāsasī // VamPSm_9.37 //	Asanam ca-eva pulahaH pulastyaH pIta-vAsasI // VamPSm_9.37 //
   upatasthuśca taṃ vedāḥ praṇavasvarabhūṣaṇāḥ /	upatasTuH-ca tam vedAH praNava-svara-BUzaNAH /
   śāstrāṇyaśeṣāṇi tathā sāṃkhyayogoktayaśca yāḥ // VamPSm_9.38 //	SAstrANi-aSezANi taTA sAMKya-yoga-uktayaH-ca yAH // VamPSm_9.38 //
   sa vāmano jaṭī daṇḍī chatrī dhṛtakamaṇḍaluḥ /	sa vAmanaH jawI daNxI CatrI DRta-kamaNxaluH /
   sarvadevamayo devo baleradhvaramabhyagāt // VamPSm_9.39 //	sarva-deva-mayaH devaH baleH-aDvaram-aByagAt // VamPSm_9.39 //
   yatra yatra padaṃ viprā bhūbhāge vāmano dadau /	yatra yatra padam viprAH BU-BAge vAmanaH dadO /
   dadāti bhūmirvivaraṃ tatra tatrābhipīḍitā // VamPSm_9.40 //	dadAti BUmiH-vivaram tatra tatra-aBipIxitAH // VamPSm_9.40 //
   sa vāmano jaḍagatirmṛdu gacchan saparvatām /	sa vAmanaH jaxa-gatiH-mRdu gacCan sa-parvatAm /
   sābdhidvīpavatīṃ sarvāṃ cālayāmāsa bhedinīm // VamPSm_9.41 //	sa-abDidvIpavatIm sarvAm cAlayAmAsa BedinIm // VamPSm_9.41 //
   bṛhaspatistu śanakairmārgaṃ darśayate śubham /	bRhaspatiH-tu SanakEs-mArgam darSayate SuBam /
   tathā krīḍāvinodārthamatijāḍyagato 'bhavat // VamPSm_9.42 //	taTA krIxA-vinoda-arTam-ati-jAxya-gataH aBavat // VamPSm_9.42 //
   tataḥ śeṣo mahānāgo niḥsṛtyāsau rasātalāt /	tatas SezaH mahA-nAgaH niHsRtya-asO rasAtalAt /
   sāhāyyaṃ kalpayāmāsa devadevasya cakriṇaḥ // VamPSm_9.43 //	sAhAyyam kalpayAmAsa devadevasya cakriNaH // VamPSm_9.43 //
   tadadyāpi ca vikhyātamahervilamanuttamam /	tat-adya-api ca viKyAta-maheH-vilam-anuttamam /
   tasya saṃdarśanādeva nāgebhyo na bhayaṃ bhavet // VamPSm_9.44 //	tasya saMdarSanAt-eva nAgeByaH na Bayam Bavet // VamPSm_9.44 //
   iti śrīvāmanapurāṇe saromāhātmye navamo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye navamaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   saparvatavanāmurvīṃ dṛṣṭvā saṃkṣubhitāṃ baliḥ /	sa-parvata-vanAm-urvIm dRzwvA saMkzuBitAm baliH /
   papracchośanasaṃ śukraṃ praṇipatya kṛtāñjaliḥ // VamPSm_10.1 //	papracCa-uSanasam Sukram praNipatya kRtAQjaliH // VamPSm_10.1 //
   ācārya kṣobhamāyāti sābdhibhūmidharā mahī /	AcArya kzoBam-AyAti sa-abDi-BUmi-DarA mahI /
   kasmācca nāsurān bhāgān pratigṛhṇanti vahnayaḥ // VamPSm_10.2 //	kasmAt-ca na-asurAn BAgAn pratigRhNanti vahnayaH // VamPSm_10.2 //
   iti pṛṣṭo 'tha balinā kāvyo vedavidāṃ varaḥ /	iti pRzwaH aTa balinA kAvyaH veda-vidAm varaH /
   uvāca daityādhipatiṃ ciraṃ dhyātvā mahāmatiḥ // VamPSm_10.3 //	uvAca dEtya-aDipatim ciram DyAtvA mahAmatiH // VamPSm_10.3 //
   avatīrṇo jagadyoniḥ kaśyapasya gṛhe hariḥ /	avatIrNaH jagadyoniH kaSyapasya gRhe hariH /
   vāmaneneha rūpeṇa paramātmā sanātanaḥ // VamPSm_10.4 //	vAmanena-iha rUpeNa paramAtmA sanAtanaH // VamPSm_10.4 //
   sa nūnaṃ yajñamāyāti tava dānavapuṅgava /	sa nUnam yajQam-AyAti tava dAnava-puFgava /
   tatpādanyāsavikṣobhādiyaṃ pracalitā mahī // VamPSm_10.5 //	tad-pAda-nyAsa-vikzoBAt-iyam pracalitA mahI // VamPSm_10.5 //
   kampante girayaśceme kṣubhitā makarālayāḥ /	kampante girayaH-ca-ime kzuBitAH makara-AlayAH /
   neyaṃ bhūtapatiṃ bhūmiḥ samarthā voḍhumīśvaram // VamPSm_10.6 //	na-iyam BUtapatim BUmiH samarTAH voXum-ISvaram // VamPSm_10.6 //
   sadevāsuragandharvā yakṣarākṣasapannagā /	sa-deva-asura-ganDarvAH yakza-rAkzasa-pannagAH /
   anenaiva dhṛtā bhūmirāpo 'gniḥ pavano nabhaḥ /	anena-eva DRtA BUmiH-ApaH agniH pavanaH naBaH /
   dhārayatyakhilān devān manuṣyāṃśca mahāsurān // VamPSm_10.7 //	DArayati-aKilAn devAn manuzyAn=-ca mahA-asurAn // VamPSm_10.7 //
   iyamasya jagaddhāturmāyā kṛṣṇasya gahvarī /	iyam-asya jagadDAtuH-mAyA kRzNasya gahvarI /
   dhāryadhārakabhāvena yayā saṃpīḍitaṃ jagat // VamPSm_10.8 //	DArya-DAraka-BAvena yayA saMpIxitam jagat // VamPSm_10.8 //
   tatsannidhānādasurā na bhāgārhāḥ suradviṣaḥ /	tad-sanniDAnAt-asurAH na BAga-arhAH suradvizaH /
   bhuñjate nāsurān bhāgānapi tena trayo 'gnayaḥ // VamPSm_10.9 //	BuQjate na-asurAn BAgAn-api tena trayaH agnayaH // VamPSm_10.9 //
   śukrasya vacanaṃ śrutvā hṛṣṭaromābravīd baliḥ /	Sukrasya vacanam SrutvA hRzwa-roma-abravIt baliH /
   dhanyo 'haṃ kṛtapuṇyaśca yanme yajñapatiḥ svayam /	DanyaH aham kRta-puNyaH-ca yat-me yajQapatiH svayam /
   yajñamabhyāgato brahman mattaḥ ko 'nyo 'dhikaḥ pumān // VamPSm_10.10 //	yajQam-aByAgataH brahman mattaH kaH anyaH aDikaH pumAn // VamPSm_10.10 //
   yaṃ yoginaḥ sadodyuktāḥ paramātmānamavyayam /	yam yoginaH sadA-udyuktAH paramAtmAnam-avyayam /
   draṣṭumicchanti devo 'sau mamādhvaramupeṣyati /	drazwum-icCanti devaH asO mama-aDvaram-upezyati /
   yanmayācārya kartavyaṃ tanmamādeṣṭumarhasi // VamPSm_10.11 //	yat-mayA-AcArya kartavyam tat-mama-Adezwum-arhasi // VamPSm_10.11 //
   śukra uvāca	SukraH uvAca
   yajñabhāgabhujo devā vedaprāmāṇyato 'sura /	yajQa-BAga-BujaH devAH veda-prAmANyataH asuraH /
   tvayā tu dānavā daitya yajñabhāgabhujaḥ kṛtāḥ // VamPSm_10.12 //	tvayA tu dAnavAH dEtya yajQa-BAga-BujaH kRtAH // VamPSm_10.12 //
   ayaṃ ca devaḥ sattvasthaḥ karoti sthitipālanam /	ayam ca devaH sattva-sTaH karoti sTiti-pAlanam /
   visṛṣṭaṃ ca tathāyaṃ ca svayamatti prajāḥ prabhuḥ // VamPSm_10.13 //	visRzwam ca taTA-ayam ca svayam-atti prajAH praBuH // VamPSm_10.13 //
   bhavāṃstu vandī bhavitā nūnaṃ viṣṇuḥ sthitau sthitaḥ /	BavAn=-tu vandI BavitA nUnam vizNuH sTitO sTitaH /
   viditvaivaṃ mahābhāgā kuru yat te manogatam // VamPSm_10.14 //	viditvA-evam mahABAgA kuru yat te manogatam // VamPSm_10.14 //
   tvayāsya daityādhipate kvalpake 'pi hi vastuni /	tvayA-asya dEtya-aDipate kvalpake api hi vastuni /
   pratijñā naiva voḍhavyā vācyaṃ sāma tathāphalam // VamPSm_10.15 //	pratijQA na-eva voXavyA vAcyam sAma taTA-Palam // VamPSm_10.15 //
   kṛtakṛtyasya devasya devārthaṃ caiva kurvataḥ /	kRtakRtyasya devasya deva-arTam ca-eva kurvataH /
   alaṃ dadyāṃ dhanaṃ deve tvetadvācyaṃ tu yācataḥ /	alam dadyAm Danam deve tu-etat-vAcyam tu yAcataH /
   kṛṣṇasya devabhūtyartha pravṛttasya mahāsura // VamPSm_10.16 //	kRzNasya deva-BUti-arTa pravRttasya mahA-asuraH // VamPSm_10.16 //
   baliruvāca	baliH-uvAca
   brahman kathamahaṃ brūyāmanyenāpi hi yācitaḥ /	brahman kaTam-aham brUyAm-anyena-api hi yAcitaH /
   nāstīti kimu devasya saṃsākasyāghahāriṇaḥ // VamPSm_10.17 //	na-asti-iti kimu devasya saMsAkasya-aGa-hAriNaH // VamPSm_10.17 //
   vratopavāsairvividhair yaḥ prabhurgṛhyate hariḥ /	vrata-upavAsEH-viviDEH yaH praBuH-gRhyate hariH /
   sa me vakṣyati dehīti govindaḥkimato 'dhikam // VamPSm_10.18 //	sa me vakzyati dehi-iti govindaH-kim-ataH aDikam // VamPSm_10.18 //
   yadarthaṃ sumahārambhā damaśaucaguṇānvitaiḥ /	yad-arTam su-mahA-AramBA dama-SOca-guNa-anvitEH /
   yajñā kriyante yajñeśaḥ sa me dehīti vakṣyati // VamPSm_10.19 //	yajQAH kriyante yajQeSaH sa me dehi-iti vakzyati // VamPSm_10.19 //
   tatsādhu sukṛtaṃ karma tapaḥ sucaritaṃ canaḥ /	tat-sADu sukRtam karma tapaH su-caritam canaH /
   yanmā dehīti viśveśaḥ svayameva vadiṣyati // VamPSm_10.20 //	yat-mA dehi-iti viSveSaH svayam-eva vadizyati // VamPSm_10.20 //
   nāstītyahaṃ guro vakṣye tamabhyāgatamīśvaram /	na-asti-iti-aham guro vakzye tam-aByAgatam-ISvaram /
   prāṇatyāgaṃ kariṣye 'haṃ na tu nāsti jane kvacit // VamPSm_10.21 //	prANatyAgam karizye aham na tu na-asti jane kvacid // VamPSm_10.21 //
   nāstīti yanmayā noktamanyeṣāmapi yācatām /	na-asti-iti yat-mayA na-uktam-anyezAm-api yAcatAm /
   vakṣyāmi kathamāyāte tadadya cāmare 'cyute // VamPSm_10.22 //	vakzyAmi kaTam-AyAte tat-adya cAmare acyute // VamPSm_10.22 //
   ślāghya eva hi vīrāṇāṃ dānāccāpatsamāgamaḥ /	SlAGyaH eva hi vIrANAm dAnAt-ca-Apad-samAgamaH /
   na bādhākāri yaddānaṃ tadaṅgaṃ balavat smṛtam // VamPSm_10.23 //	na bADA-kAri yat-dAnam tad-aFgam balavat smRtam // VamPSm_10.23 //
   madrājye nāsukhī kaścinna daridro na cāturaḥ /	mad-rAjye na-asuKI kaScid-na daridraH na ca-AturaH /
   na duḥkhito na cobdigno na śamādivivarjitaḥ // VamPSm_10.24 //	na duHKitaH na ca-ubdignaH na Sama-Adi-vivarjitaH // VamPSm_10.24 //
   hṛṣṭastuṣṭaḥ sugandhī ca tṛptaḥ sarvasukhānvitaḥ /	hRzwaH-tuzwaH suganDI ca tRptaH sarva-suKa-anvitaH /
   janaḥ sarvo mahābhāga kimutāhaṃ sadā sukhī // VamPSm_10.25 //	janaH sarvaH mahABAga kim-uta-aham sadA suKI // VamPSm_10.25 //
   etadviśiṣṭamatrāhaṃ dānabījaphalaṃ labhe /	etat-viSizwam-atra-aham dAna-bIja-Palam laBe /
