   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   kailāsavārīṇi ehi ehi paramantraṃ chindhichindhi kilikili bimbe aghore	kElAsa vArINi ehi ehi para mantram CinDi CinDi kili kili bimbe aGore
   ghorarūpiṇi cāmuṇḍe rurukrodhāndhaviniḥ) sṛte asurakṣayaṅkari ākāśagāmini	Gora rUpiNi cAmuNxe ruru kroDa anDa viniH) sRte asura kzayaFkari AkASa gAmini
   pāśena bandhabandha samaye tiṣṭhatiṣṭha maṇḍalaṃ praveśayapraveśaya	pASena banDa banDa samaye tizWatizWa maNxalam praveSaya praveSaya
   pātayapātaya gṛhṇagṛhṇa mukhaṃ bandhabandha cakṣurbandhayabandhaya hṛdayaṃ	pAtaya pAtaya gRhNa gRhNa muKam banDabanDa cakzuH banDayabanDaya hRdayam
   bandhabandha hastapādau ca bandhabandha duṣṭagrahān sarvān bandhabandha	banDa banDa hasta pAdO ca banDabanDa duzwa grahAn sarvAn banDa banDa
   diśāṃ bandhabandha vidiśāṃ bandhabandha ūrdhvaṃ bandhabandha adhastād	diSAm banDa banDa vidiSAm banDa banDaH UrDvam banDa banDa aDastAt 
   bandhabandha bhasmanā pānīyena mṛtikayā sarṣapairvā āveśaya āveśaya	banDabanDa BasmanA pAnIyena mRtikayA sarzapEH vA AveSaya AveSaya
   pātayapātaya cāmuṇḍe kilikili vicchehrīṃ(huṃ) phaṭ svāh // GarP_1,38.7 //	pAtaya pAtaya cAmuNxe kili kili vicCehrIm(huM) Paw svAh // GarP_1,38.7 //
   aṣṭottarapadānāṃ hi mālā mantramayī japaḥ /	azwa uttara padAnAm hi mAlA mantra mayI japaH /
   ekaikrapadamaṣṭasahasradhā trimadhurāktatilāṣṭasahasrahāmeḥ // GarP_1,38.8	ekEkrapadam azwa sahasraDA trimaDura akta tila azwa sahasra hAmeH // GarP_1,38.8
   mahāmāṃsena trimadhurāktena aṣṭottarasahsatraṃ ca ekaikaṃ ca padaṃ yajet /	mahAmAMsena  trimaDura aktena azwottarasahsatram ca ekEkam ca padam yajet /
   tilāṃstrimadhurāktāṃśca sahasraṃ cāṣṭa homayet // GarP_1,38.9 //	tilAn= trimaDura aktAn= ca sahasram ca azwa homayet // GarP_1,38.9 //
   mahāmāṃsaṃ trimadhurādatha vā sarvakarmakṛt /	mahAmAMsam trimaDurAt aTa vA sarva karma kRt /
   vārisarṣapabhasmādikṣepādyuddhādike jayaḥ // GarP_1,38.10 //	vAri sarzapa Basma Adi kzepAt yudDa Adike jayaH // GarP_1,38.10 //
   aṣṭāviṃśabhujā dhyeyā aṣṭādaśabhujāthavā /	azwAviMSa BujAH DyeyAH azwAdaSa BujA aTavA /
   dvādaśāṣṭabhujā vāpi dhyeyā vāpi caturbhujā // GarP_1,38.11 //	dvAdaSa azwa BujAH vA api DyeyAH vA api catur BujAH // GarP_1,38.11 //
   asikheṭānvitau hastau gadādaṇḍayutau parau /	asi Kewa anvitO hastO gadA daNxa yutO parO /
   śaracāpayutau cānyau khaḍgamudrarasaṃyutau // GarP_1,38.12 //	Sara cApa yutO ca anyO Kaxga mudrara saMyutO // GarP_1,38.12 //
   khaṅkhaghaṇṭānvitau cānyau dhvajadaṇḍayutau parau /	KaFKa GaNwA anvitO ca anyO Dvaja daNxa yutO parO /
   anyau paraśucakrāḍhyau ḍamarudarpaṇānvitau // GarP_1,38.13 //	anyO paraSu cakra AXyO xamaru darpaNa anvitO // GarP_1,38.13 //
   śaktihastāśritau cānyau raṭoṇī musalānvitau /	Sakti hasta ASritO ca anyO rawoNI musala anvitO /
   pāśatomarasaṃyuktau ḍhakrāpaṇavasaṃyutau // GarP_1,38.14 //	pASa tomara saMyuktO Xakra ApaNava saMyutO // GarP_1,38.14 //
   tarjayantī pareṇaiva anyaṃ kalakaladhvanim /	tarjayantI pareNa eva anyam kalakala Dvanim /
   abhayasvastikādyau ca mahiṣaghnī ca siṃhagā // GarP_1,38.15 //	aBaya svastika AdyO ca mahiza GnI ca siMha gAH // GarP_1,38.15 //
   jaya tvaṃ kila bhūteśe sarvabhūtasamāvṛte /	jaya tvam kila BUteSe sarva BUta samAvRte /
   rakṣa māṃ nijabhūtebhyo valiṃ gṛhṇa namo 'stu te // GarP_1,38.16 //	rakza mAm nija BUteByaH valim gRhNa namaH astu te // GarP_1,38.16 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   durgājapapūjābalimantranirūpaṇaṃ nāmāṣṭatriṃśo 'dhyāyaḥ	durgAjapapUjAbalimantranirUpaNam nAma azwatriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  39	SrI garuxa mahApurANam 39
   rudra uvāca /	rudraH uvAca /
   punardevārcanaṃ brūhi saṃkṣepeṇa janārdana /	punar deva arcanam brUhi saMkzepeNa janArdanaH /
   sūryasya viṣṇurūpasya bhuktimuktipradāyakam // GarP_1,39.1 //	sUryasya vizNu rUpasya Bukti mukti pradAyakam // GarP_1,39.1 //
   vāsudeva uvāca /	vAsudevaH uvAca /
   śṛṇu sūryasya rudra tvaṃ punarvakṣyāmi pūjanam /	SRNu sUryasya rudra tvam punar vakzyAmi pUjanam /
   oṃ uccaiḥ śravase namaḥ oṃ aruṇāya namaḥ /	om uccEs Sravase namaH om aruNAya namaH /
   oṃ daṇḍine namaḥ /	om daNxine namaH /
   oṃ piṅgalāya namaḥ /	om piFgalAya namaH /
   ete dvāre prapūjyā vai epirmantrairvṛṣadhvaja // GarP_1,39.2 //	ete dvAre prapUjyAH vE epiH mantrEH vRzaDvajaH // GarP_1,39.2 //
   oṃ aṃ prabhūtāya namaḥ /	om am praBUtAya namaH /
   imaṃ tu pūjayenmadhye prabhūtāmalasaṃjñakam /	imam tu pUjayet maDye praBUta amala saMjQakam /
   oṃ aṃ vimalāya namaḥ /	om am vimalAya namaH /
   oṃ aṃ sārāya namaḥ /	om am sArAya namaH /
   oṃ aṃādhārāya namaḥ /	om aMADArAya namaH /
   oṃ aṃ paramamukhāya namaḥ /	om am parama muKAya namaH /
   ityāgneyādikoṇeṣu pūjyā vai vimalādayaḥ // GarP_1,39.3 //	iti Agneya Adi koNezu pUjyAH vE vimala AdayaH // GarP_1,39.3 //
   oṃ padmāya namaḥ /	om padmAya namaH /
   oṃ karṇikāyai namaḥ /	om karNikAyE namaH /
   maghye tu pūjayedrudra pūrvādiṣu tathaiva ca /	maGye tu pUjayet rudra pUrva Adizu taTA eva ca /
   dīptādyāḥ pūjayenmadhye pūjayetsarvatomukhīḥ /	dIpta AdyAH pUjayet maDye pUjayet sarvatomuKIH /
   oṃ vāṃ (rāṃ) dīptāyai namaḥ /	om vAm (rAM) dIptAyE namaH /
   oṃ vīṃ (rīṃ) sūkṣmāyai namaḥ /	om vIm (rIM) sUkzmAyE namaH /
   oṃ vūṃ (rūṃ bhadrāyai namaḥ /	om vUm (rUm BadrAyE namaH /
   oṃ vaiṃ (raiṃ) jayāyai namaḥ /	om vEm (rEM) jayAyE namaH /
   oṃ vauṃ (rauṃ) vibūtyai namaḥ /	om vOm (rOM) vibUtyE namaH /
   oṃ vaṃ (raṃ) adhorāyai namaḥ /	om vam (raM) aDorAyE namaH /
   oṃ vaṃ (raṃ) vaidyutāyai namaḥ /	om vam (raM) vEdyutAyE namaH /
   oṃ vaḥ (raḥ) vijayāyai namaḥ /	om vaH (raH) vijayAyE namaH /
   oṃ ro sarvatomukhyai namaḥ // GarP_1,39.4 //	om raH sarvatomuKyE namaH // GarP_1,39.4 //
   oṃ arkāsanāya namaḥ /	om arka AsanAya namaH /
   oṃ hrāṃ sūryamūrtaye namaḥ /	om hrAm sUrya mUrtaye namaH /
   etāstu pūjayenmadhye hranmantrāñchṛṇu śaṅkara /	etAH tu pUjayet maDye hranmantrAn SRNu SaFkara /
   oṃ haṃ saṃ khaṃ khakholkāya krāṃ krīṃ saḥ svāhā sūryamūrtaye namaḥ /	om ham sam Kam KaKolkAya krAm krIm saH svAhA sUrya mUrtaye namaH /
   anenāvāhanaṃ kuryātsthāpanaṃ sannidhāpanam /	anena AvAhanam kuryAt sTApanam sanniDApanam /
   sanniropanamantreṇa sakalīkaraṇaṃ tathā // GarP_1,39.5 //	sanniropana mantreNa sakalIkaraNam taTA // GarP_1,39.5 //
   mudrāyā darśanaṃ rudra mūlamantreṇa vā hara /	mudrAyAH darSanam rudra mUlamantreNa vA hara /
   tejorūpaṃ raktavarṇaṃ sitapadmopari sthitam /	tejaH rUpam rakta varNam sita padma upari sTitam /
   ekacakrarathārūḍhaṃ dvibāhuṃ dhṛtapaṅkajam // GarP_1,39.6 //	eka cakra raTa ArUXam dvi bAhum DRta paFkajam // GarP_1,39.6 //
   evaṃ dhyāyetsadā sūryaṃ mūlamantraṃ śṛṇuṣva ca /	evam DyAyet sadA sUryam mUlamantram SRNuzva ca /
   oṃ hrāṃ hrīṃ saḥ sūryāya namaḥ // GarP_1,39.7 //	om hrAm hrIm saH sUryAya namaH // GarP_1,39.7 //
   vāratrayaṃ padmamudrāṃ bimbamudrāṃ ca darśayet /	vAra trayam padma mudrAm bimba mudrAm ca darSayet /
   oṃ āṃ hṛdayāya namaḥ /	om Am hRdayAya namaH /
   oṃ arkāya śirase svāhā /	om arkAya Sirase svAhA /
   oṃ aḥ bhūrbhuvaḥ svaḥ jvālini śikhāyai vaṣaṭ /	om aH BUH BuvaH svar jvAlini SiKAyE vazaw /
   oṃ huṃ kavacāya huṃ /	om hum kavacAya hum /
   oṃ bhāṃ netrābhyāṃ vauṣaṭ /	om BAm netrAByAm vOzaw /
   oṃ vaḥ astrāya phaḍiti // GarP_1,39.8 //	om vaH astrAya Paw iti // GarP_1,39.8 //
   āgneyyāmathavaiśānyāṃ nairṛtyāmarcayeddhara /	AgneyyAm aTavA ESAnyAm nErRtyAm arcayet hara /
   tdṛyadayādi hi vāyavyāṃ netraṃ cāntaḥ prapūjayet // GarP_1,39.9 //	tdRya dayA Adi hi vAyavyAm netram ca antar prapUjayet // GarP_1,39.9 //
   disvastraṃ pūjayedrudra somaṃ tu śvetavarṇakam /	disvastram pUjayet rudra somam tu Sveta varNakam /
   dale pūrver'cayedrudra budhaṃ cāmīkaraprabham // GarP_1,39.10 //	dale pUrver acayet rudra buDam cAmIkara praBam // GarP_1,39.10 //
   dakṣiṇe pūjayedrudra pativarṇaṃ guruṃ yajet /	dakziNe pUjayet rudra pati varNam gurum yajet /
   paścime caiva bhūteśaṃ uttare bhārgavaṃ sitam // GarP_1,39.11 //	paScime ca eva BUteSam uttare BArgavam sitam // GarP_1,39.11 //
   raktamaṅgārakaṃ caiva āgneye pūjayeddhara /	raktam aFgArakam ca eva Agneye pUjayet hara /
   śanaiścaraṃ kṛṣṇavarṇaṃ nairṛtyāṃ diśi pūjayet // GarP_1,39.12 //	SanEScaram kRzNa varNam nErRtyAm diSi pUjayet // GarP_1,39.12 //
   rāhuṃ vāyavyadeśe tu nandyāvartanibhiṃ hara /	rAhum vAyavya deSe tu nandyAvarta niBim hara /
   aiśānyāṃ dhūmravarṇaṃ tu ketuṃ saṃ paripūjayet // GarP_1,39.13 //	ESAnyAm DUmra varNam tu ketum sam paripUjayet // GarP_1,39.13 //
   ebhirmantrairmahādeva tacchṛṇuṣva ca śaṅkara // GarP_1,39.14 //	eBiH mantrEH mahAdeva tat SRNuzva ca SaFkara // GarP_1,39.14 //
   oṃ soṃ somāya namaḥ /	om som somAya namaH /
   oṃ buṃ budhāya namaḥ /	om bum buDAya namaH /
   oṃ bṛṃ bṛhaspataye namaḥ /	om bRm bRhaspataye namaH /
   oṃ bhaṃ bhārgavāya namaḥ /	om Bam BArgavAya namaH /
   oṃ aṃ aṅgārakāya namaḥ /	om am aFgArakAya namaH /
   oṃ śaṃ śanaiścarāya namaḥ /	om Sam SanEScarAya namaH /
   oṃ raṃ rāhave namaḥ /	om ram rAhave namaH /
   oṃ kaṃ ketave nama iti // GarP_1,39.15 //	om kam ketave namaH iti // GarP_1,39.15 //
   pādyādīnmūlamantreṇa dattvā sūryāya śaṅkara /	pAdya AdIn mUlamantreNa dattvA sUryAya SaFkara /
   naivedyānte dhenumudrāṃ darśayetsādhakottamaḥ // GarP_1,39.16 //	nEvedya ante DenumudrAm darSayet sADaka uttamaH // GarP_1,39.16 //
   japtvā cāṣṭasahasraṃ tu tacca tasmai samarpayet /	japtvA ca azwa sahasram tu tat ca tasmE samarpayet /
   aiśānyāṃ diśi bhūteśa tejaścaṇḍaṃ tu pūjayet // GarP_1,39.17 //	ESAnyAm diSi BUteSa tejaH caNxam tu pUjayet // GarP_1,39.17 //
   oṃ tejaścaṃṇḍāya huṃ phaṭ svadhā svāhā pauṣaṭ /	om tejaH caMNxAya hum Paw svaDA svAhA pOzaw /
   nirmālyaṃ cārpayettasmai hyarghyaṃ dadyāttato hara // GarP_1,39.18 //	nirmAlyam ca arpayet tasmE hi arGyam dadyAt tatas hara // GarP_1,39.18 //
   tilataṇḍulasaṃyuktaṃ raktacandanacarcitam /	tila taNxula saMyuktam raktacandana carcitam /
   gandhodakena saṃmiśraṃ puṣpadhūpasamanvitam // GarP_1,39.19 //	ganDa udakena saMmiSram puzpa DUpa samanvitam // GarP_1,39.19 //
   kṛtvā śirasi tatpātraṃ jānubhyāmavaniṃ gataḥ /	kRtvA Sirasi tat pAtram jAnuByAm avanim gataH /
   darghyaṃ tu sūryāya tdṛnmantreṇa vṛṣadhvaja // GarP_1,39.20 //	darGyam tu sUryAya tdRt mantreNa vRzaDvaja // GarP_1,39.20 //
   gaṇaṃ gurūnprapūjyātha sarvāndevānanprapūjayet /	gaNam gurUn prapUjya aTa sarvAn devAnan prapUjayet /
   oṃ gaṃ gaṇapataye namaḥ /	om gam gaNapataye namaH /
   oṃ aṃ gurubhyo namaḥ // GarP_1,39.21 //	om am guruByaH namaH // GarP_1,39.21 //
   sūryasya kathitā pūjā kṛtvaitāṃ viṣṇulokabhāk // GarP_1,39.22 //	sUryasya kaTitA pUjA kRtvA etAm vizNu loka BAj // GarP_1,39.22 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   sūryārcanaprakāro nāmaikonacatvāriṃśo 'dhyāyaḥ	sUryArcanaprakAraH nAma ekonacatvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  40	SrI garuxa mahApurANam 40
   śaṅkara uvāca /	SaFkaraH uvAca /
   māheśvarīṃ ca me pūjāṃ vada śaṅkhagadādhara /	mAheSvarIm ca me pUjAm vada SaFKa gadA Dara /
   yāṃ jñātvā mānavāḥ siddhiṃ gacchanti parameśvara // GarP_1,40.1 //	yAm jQAtvA mAnavAH sidDim gacCanti parameSvara // GarP_1,40.1 //
   hariruvāca /	hariH uvAca /
   śṛṇu māheśvarīṃ pūjāṃ kathyamānāṃ vṛṣadhvaja /	SRNu mAheSvarIm pUjAm kaTyamAnAm vRzaDvaja /
   ādau snātvā tathācamya hyāsane copaviśya ca // GarP_1,40.2 //	AdO snAtvA taTA Acamya hi Asane ca upaviSya ca // GarP_1,40.2 //
   nyāsaṃ kṛtvā maṇḍale vai pūjayacce maheśvaram /	nyAsam kRtvA maNxale vE pUjayat ce maheSvaram /
   mantrairetairmaheśāna parivārayutaṃ haram // GarP_1,40.3 //	mantrEH etEH maheSAna parivAra yutam haram // GarP_1,40.3 //
   oṃ hāṃ śivāsanadevatā āgacchateti /	om hAm Siva Asana devatA AgacCata iti /
   anenāvāhayedrudra devatā āsanasya yāḥ // GarP_1,40.4 //	anena AvAhayet rudra devatAH Asanasya yAH // GarP_1,40.4 //
   oṃ hāṃ gaṇapataye namaḥ /	om hAm gaNapataye namaH /
   oṃ hāṃ sarasvatyai namaḥ /	om hAm sarasvatyE namaH /
   oṃ hāṃ nandine namaḥ /	om hAm nandine namaH /
   oṃ hāṃ mahākālāya namaḥ /	om hAm mahAkAlAya namaH /
   oṃ hāṃ gaṅgāyai namaḥ /	om hAm gaFgAyE namaH /
   oṃ hāṃ lakṣmyai namaḥ /	om hAm lakzmyE namaH /
   oṃ hāṃ mahākalāyai namaḥ /	om hAm mahAkalAyE namaH /
   oṃ hāṃ astrāya nama iti // GarP_1,40.5 //	om hAm astrAya namaH iti // GarP_1,40.5 //
   ete dvāre prapūjyā vai snānagandhādibhirhara /	ete dvAre prapUjyAH vE snAna ganDa AdiBiH hara /
   oṃ hāṃ brahmaṇe vāstvadhipataye namaḥ /	om hAm brahmaNe vAstu aDipataye namaH /
   oṃ hāṃ gurubhyo namaḥ /	om hAm guruByaH namaH /
   oṃ hāṃ ādhāraśaktyai namaḥ /	om hAm ADAra SaktyE namaH /
   oṃ hāṃ anantāya namaḥ /	om hAm anantAya namaH /
   oṃ hāṃ dharmāya namaḥ /	om hAm DarmAya namaH /
   oṃ hāṃ jñānāya namaḥ /	om hAm jQAnAya namaH /
   oṃ hāṃ vairāgyāya namaḥ /	om hAm vErAgyAya namaH /
   oṃ hāṃ aiśvaryāya namaḥ /	om hAm ESvaryAya namaH /
   oṃ hāṃ adharmāya namaḥ /	om hAm aDarmAya namaH /
   oṃ hāṃ ajñānāya namaḥ /	om hAm ajQAnAya namaH /
   oṃ hāṃ avairāgyāya namaḥ /	om hAm avErAgyAya namaH /
   oṃ hāṃ anaiśvaryāya namaḥ /	om hAm anESvaryAya namaH /
   oṃ hāṃ urdhvacchandāya namaḥ /	om hAm urDvat CandAya namaH /
   oṃ hāṃ adhaśchandāya namaḥ /	om hAm aDas CandAya namaH /
   oṃ hāṃ padmāya namaḥ /	om hAm padmAya namaH /
   oṃ hāṃ karṇikāyai namaḥ /	om hAm karNikAyE namaH /
   oṃ hāṃ vāmāyai namaḥ /	om hAm vAmAyE namaH /
   oṃ hāṃ jyeṣṭhāyai namaḥ /	om hAm jyezWAyE namaH /
   oṃ hāṃ raudyai namaḥ /	om hAm rOdyE namaH /
   oṃ kālyai namaḥ /	om kAlyE namaH /
   oṃ hāṃ kalavikaraṇyai namaḥ /	om hAm kalavikaraNyE namaH /
   oṃ balapramathinyai namaḥ /	om bala pramaTinyE namaH /
   oṃ hāṃ sarvabhūtadamanyai namaḥ /	om hAm sarva BUta damanyE namaH /
   oṃ hāṃ manonmanyai namaḥ /	om hAm manonmanyE namaH /
   oṃ hāṃ maṇḍalatritayāya namaḥ /	om hAm maNxala tritayAya namaH /
   oṃ hāṃ hauṃ haṃ śivamūrtaye namaḥ /	om hAm hOm ham Siva mUrtaye namaH /
   oṃ hāṃ vidyādhipataye namaḥ /	om hAm vidyA aDipataye namaH /
   oṃ hāṃ hīṃ hauṃ śivāya namaḥ /	om hAm hIm hOm SivAya namaH /
   oṃ hāṃ hṛdayāya namaḥ /	om hAm hRdayAya namaH /
   oṃ śirase namaḥ /	om Sirase namaH /
   oṃ hūṃ śikhāyai namaḥ /	om hUm SiKAyE namaH /
   oṃ haiṃ kavacāya namaḥ /	om hEm kavacAya namaH /
   oṃ hauṃ netratrayāya namaḥ /	om hOm netratrayAya namaH /
   oṃ haḥ astrāya namaḥ /	om haH astrAya namaH /
   oṃ sadyojātāya namaḥ // GarP_1,40.6 //	om sadyojAtAya namaH // GarP_1,40.6 //
   oṃ hāṃ siddhyai namaḥ /	om hAm sidDyE namaH /
   oṃ hāṃ ṛddhyai namaḥ /	om hAm RdDyE namaH /
   oṃ hāṃ vidyutāyai namaḥ /	om hAm vidyutAyE namaH /
   oṃ hāṃ lakṣmyai namaḥ /	om hAm lakzmyE namaH /
   oṃ hāṃ bodhāyai namaḥ /	om hAm boDAyE namaH /
   oṃ hāṃ kālyai namaḥ /	om hAm kAlyE namaH /
   oṃ hāṃ svadhāyai namaḥ /	om hAm svaDAyE namaH /
   oṃ hāṃ prabhāyai namaḥ // GarP_1,40.7 //	om hAm praBAyE namaH // GarP_1,40.7 //
   satyasyāṣṭau kalā jñeyāḥ pūjyāḥ pūrvādiṣu sthitāḥ // GarP_1,40.8 //	satyasya azwO kalAH jQeyAH pUjyAH pUrva Adizu sTitAH // GarP_1,40.8 //
   oṃ hāṃ vāmadevāya namaḥ /	om hAm vAmadevAya namaH /
   oṃ hāṃ rajase namaḥ /	om hAm rajase namaH /
   oṃ hāṃ rakṣāyai namaḥ /	om hAm rakzAyE namaH /
   oṃ hāṃ ratyai namaḥ /	om hAm ratyE namaH /
   oṃ hāṃ kanyāyai namaḥ /	om hAm kanyAyE namaH /
   oṃ hāṃ kāmāyai namaḥ /	om hAm kAmAyE namaH /
   oṃ hāṃ jananyai namaḥ /	om hAm jananyE namaH /
   oṃ hāṃ kriyāyai namaḥ /	om hAm kriyAyE namaH /
   oṃ hāṃ vṛddhyai namaḥ /	om hAm vRdDyE namaH /
   oṃ hāṃ kāryāyai namaḥ /	om hAm kAryAyE namaH /
   oṃ rā(dhā) tryai namaḥ /	om rA(DA) tryE namaH /
   oṃ hāṃ bhrāmaṇyai namaḥ /	om hAm BrAmaNyE namaH /
   oṃ hāṃ mohinyai namaḥ /	om hAm mohinyE namaH /
   oṃ hāṃ kṣa(tva)rāyai namaḥ /	om hAm kza(tu a)rAyE namaH /
   vāmadevakalā jñeyāstrayo daśa vṛṣadhvaja // GarP_1,40.9 //	vAmadeva kalAH jQeyAH trayaH daSa vRzaDvaja // GarP_1,40.9 //
   oṃ hāṃ tatpuruṣāya namaḥ /	om hAm tatpuruzAya namaH /
   oṃ hāṃ nivṛttyai namaḥ /	om hAm nivRttyE namaH /
   oṃ hāṃ pratiṣṭhāyai namaḥ /	om hAm pratizWAyE namaH /
   oṃ hāṃ vidyāyai namaḥ /	om hAm vidyAyE namaH /
   oṃ hāṃ śāntyai namaḥ /	om hAm SAntyE namaH /
   jñeyāstatpuruṣasyaiva catasro vṛṣabhadhvaja // GarP_1,40.10 //	jQeyAH tatpuruzasya eva catasraH vRzaBaDvaja // GarP_1,40.10 //
   oṃ hāṃ tṛṣṇāyai namaḥ /	om hAm tRzNAyE namaH /
   kalāṣaṭkaṃ hyakhorasya vijñeyaṃ bhairavaṃ hara // GarP_1,40.11 //	kalA zawkam hi aKorasya vijQeyam BEravam hara // GarP_1,40.11 //
   oṃ hāṃ īśānāya namaḥ /	om hAm ISAnAya namaH /
   oṃ hāṃ samityai namaḥ /	om hAm samityE namaH /
   oṃ hāṃ aṅgadāyai namaḥ /	om hAm aFgadAyE namaH /
   oṃ hāṃ kṛṣṇāyai namaḥ /	om hAm kRzNAyE namaH /
   oṃ hāṃ marīcyai namaḥ /	om hAm marIcyE namaH /
   oṃ hāṃ jvālāyai namaḥ /	om hAm jvAlAyE namaH /
   īśānasya kalāḥ pañca jānīhi vṛṣabhadhvaja // GarP_1,40.12 //	ISAnasya kalAH paQca jAnIhi vRzaBaDvaja // GarP_1,40.12 //
   oṃ hāṃ śivaparivārebhyo namaḥ /	om hAm Siva parivAreByaH namaH /
   oṃ hāṃ indrāya surādhipataye namaḥ /	om hAm indrAya sura aDipataye namaH /
   oṃ hāṃ agnaye tejo 'dhipataye namaḥ /	om hAm agnaye tejaH aDipataye namaH /
   oṃ hāṃ yamāya pretādhipataye namaḥ /	om hAm yamAya preta aDipataye namaH /
   oṃ hāṃ nirṛtaye rakṣo 'dhipataye namaḥ /	om hAm nirRtaye rakzaH aDipataye namaH /
   oṃ hāṃ varuṇāya jalādhipataye namaḥ /	om hAm varuNAya jala aDipataye namaH /
   oṃ hāṃ vāyave prāṇādhipataye namaḥ /	om hAm vAyave prANa aDipataye namaH /
   oṃ hāṃ somāya netrādhipataye namaḥ /	om hAm somAya netra aDipataye namaH /
   oṃ hāṃ īśānāya sarvavidyādhipataye namaḥ /	om hAm ISAnAya sarva vidyA aDipataye namaH /
   oṃ hāṃ anantāya nāgādhipataye namaḥ /	om hAm anantAya nAga aDipataye namaH /
   oṃ hāṃ brahmaṇe sarvalokādhipataye namaḥ /	om hAm brahmaNe sarva loka aDipataye namaH /
   oṃ hāṃ dhūlicaṇḍeśvarāya namaḥ // GarP_1,40.13 //	om hAm DUli caNxeSvarAya namaH // GarP_1,40.13 //
   āvāhanaṃ sthāpanaṃ sannidhānaṃ ca śaṅkara /	AvAhanam sTApanam sanniDAnam ca SaFkara /
   sannirodhaṃ tathā kuryātsakalīkaraṇaṃ tathā // GarP_1,40.14 //	sanniroDam taTA kuryAt sakalIkaraNam taTA // GarP_1,40.14 //
   tattvanyāsaṃ ca mudrāyā darśanaṃ dyānameva ca /	tattva nyAsam ca mudrAyAH darSanam dyAnam eva ca /
   pādyamācamanaṃ hyarghyaṃ puṣpāṇyabhyaṅgadānakam // GarP_1,40.15 //	pAdyam Acamanam hi arGyam puzpANi aByaFga dAnakam // GarP_1,40.15 //
   tata udvartanaṃ snānaṃ sugandhaṃ cānulepanam /	tatas udvartanam snAnam suganDam ca anulepanam /
   vastrālaṃ kārabhogāṃśca hyaṅganyāsaṃ ca dhūpakam // GarP_1,40.16 //	vastra alam kAra BogAn= ca hi aFganyAsam ca DUpakam // GarP_1,40.16 //
   dīpaṃ naivedyadānaṃ ca hastodvartanameva ca /	dIpam nEvedya dAnam ca hasta udvartanam eva ca /
   pādyārghyācamanaṃ gandhaṃ tāmbūlaṃ gītavādanam // GarP_1,40.17 //	pAdya arGya Acamanam ganDam tAmbUlam gIta vAdanam // GarP_1,40.17 //
   nṛtyaṃ chatrā dikaraṇaṃ mudrāṇāṃ darśanaṃ tatā /	nRtyam CatrA dikaraNam mudrANAm darSanam tatA /
   rūpaṃ dhyānaṃ japañcātha ekavadbhāva eva ca // GarP_1,40.18 //	rUpam DyAnam japaQca aTa eka vat BAvaH eva ca // GarP_1,40.18 //
   mūlamantreṇa vai kuryājjapapūjāsamarpaṇam /	mUlamantreNa vE kuryAt japa pUjA samarpaNam /
   māheśī kathitā pūjā rudra pāpavināsinī // GarP_1,40.19 //	mAheSI kaTitA pUjA rudra pApa vinAsinI // GarP_1,40.19 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   maheśvarapūjāvidhirnāma catvāriṃśo 'dhyāyaḥ	maheSvarapUjAviDiH nAma catvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  41	SrI garuxa mahApurANam 41
   vāsudeva uvāca /	vAsudevaH uvAca /
   oṃ viśvāvasurnāma gandharvaḥ kanyānāmadhipatirlabhāmi te kanyāṃ samutpādya	om viSvAvasuH nAma ganDarvaH kanyAnAm aDipatiH laBAmi te kanyAm samutpAdya
   tasmai viśvavāsave svāhā /	tasmE viSva vAsave svAhA /
   strīlābho mantrajāpyācca kālarātriṃ vadāmyaham // GarP_1,41.1 //	strI lABaH mantra jApyAt ca kAlarAtrim vadAmi aham // GarP_1,41.1 //
   oṃ namo bhagavati ṛkṣakarṇi caturbhuje ūrdhvakeśi trinayane kālarātri	om namaH Bagavati RkzakarNi catur Buje UrDvakeSi trinayane kAlarAtri
   mānuṣāṇāṃ vasārudhirabhojane amukasya prāptakālasya mṛtyuprade huṃ phaṭ	mAnuzANAm vasA ruDira Bojane amukasya prApta kAlasya mRtyu prade hum Paw 
   hanahana dahadaha māṃsarudhiraṃ pacapaca ṛkṣapatni svāhā / na tithirna ca	hana hana dahadaha mAMsa ruDiram pacapace Rkza patni svAhA / na tiTiH na ca
   nakṣatraṃ nopavāso vidhīyate // GarP_1,41.2 //	nakzatram na upavAsaH viDIyate // GarP_1,41.2 //
   kruddho raktena saṃmārjya karau tābhyāṃ pragṛhya ca /	krudDaH raktena saMmArjya karO tAByAm pragRhya ca /
