   Kāvyaprakāśaḥ	KAvya prakASaH
   bhāvādīnāṃ padaprakāśyatve 'dhikaṃ na vaicitryamiti na tadudāhriyate /	BAva AdInAm pada prakASya tve aDikam na vEcitryam iti na tat udAhriyate /
        {rudhiravisaraprasādhitakaravālakarālarucirabhujaparighaḥ /	{ruDira visara prasADita karavAla karAla rucira Buja pariGaH /
        jhaṭiti bhrukuṭiviṭaṅkitalalāṭapaṭṭo vibhāsi nṛpa bhīma //77// (4)}	Jawiti Brukuwi viwaFkita lalAwa pawwaH viBAsi nRpa BImaH //77// (4)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra bhīṣaṇīyasya bhīmasena upamānam /	atra BIzaNIyasya BImasenaH upamAnam /
        {bhuktimuktikṛdekāntasamādeśanatatparaḥ /	{Bukti mukti kRt ekAnta samAdeSana tatparaH /
        kasya nānandanisyandaṃ vidadhāti sadāgamaḥ //78// (5)}	kasya na Ananda nisyandam vidaDAti sat AgamaH //78// (5)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   kācit saṃketadāyinamevaṃ mukhyayā vṛttyā śaṃsati /	kAcid saMketa dAyinam evam muKyayA vRttyA SaMsati /
        {sāyaṃ snānamupāsitaṃ malayajenāṅgaṃ samālepitaṃ	{sAyam snAnam upAsitam malayajena aFgam samAlepitam
             yāto 'stācalamaulimambaramaṇirvisrabdhamatrāgatiḥ /	yAtaH asta acala mOlim ambara maNiH visrabDam atra AgatiH /
        āścaryaṃ tava saukumāryamabhitaḥ klāntāsi yenādhunā	AScaryam tava sOkumAryam aBitas klAntA asi yena aDunA
             netradvandvamamīlanavyatikaraṃ śaknoti tenāsitum //79// (6)}	netra dvandvam amIlana vyatikaram Saknoti tena asitum //79// (6)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra vastunā kṛtapuruṣaparicayā klāntāsīti vastu adhunāpadadyotyaṃ	atra vastunA kRta puruza paricayA klAntA asi iti vastu aDunA pada dyotyam
   vyajyate /	vyajyate /
        {tadprāptimahāduḥkhavilīnāśeṣapātakā /	{tad prApti mahA duHKa vilIna aSeza pAtakAH /
        taccintāvipulāhlādakṣīṇapuṇyacayā tathā //80//	tad cintA vipula AhlAda kzINa puNya cayA taTA //80//
        cintayantī jagatsūtiṃ parabrahmasvarūpiṇam /	cintayantI jagat sUtim para brahma svarUpiNam /
        nirucchvāsatayā muktiṃ gatānyā gopakanyakā //81// (7)}	nirucCvAsa tayA muktim gatAnyA gopa kanyakAH //81// (7)}
                       (Viṣṇupurāṇa 5,13.21,22)	(VizNupurANaH 5,13.21,22)
   atra janmasahastairupabhoktavyāni duṣkṛtasukṛtaphalāni	atra janma sahastEH upaBoktavyAni duzkRta sukRta PalAni
   viyogaduḥkhacintanāhlādābhyāmanubhūtānītyuktam /	viyoga duHKa cintana AhlAdAByAm anuBUtAni iti uktam /
   evaṃ cāśeṣacayapadadyotye atiśayoktī /	evam ca aSeza caya pada dyotye atiSaya uktI /
        {kṣaṇadāsāvakṣaṇadā vanamavanaṃ vyasanamavyasanam /	{kzaNa dAsA = akzaNa dA vanam avanam vyasanam avyasanam /
        bata vīra tava dviṣatāṃ parāṅmukhe tvayi parāṃṅmukhaṃ sarvam //82//	bata vIra tava dvizatAm parAFmuKe tvayi parAn= muKam sarvam //82//
                       (Subhāṣitaratnabhāṇḍāgāra 103/74)	(Su BAzita ratna BANxa AgAraH 103/74)
   atra śabdaśaktimūlavirodhāṅgenārthāntaranyāsena {vidhirapi tvāmanuvartate}	atra Sabda Sakti mUla viroDa aFgena arTa antara nyAsena {viDiH api tvAm anuvartate}
   iti sarvapadadyotyaṃ vastu /	iti sarva pada dyotyam vastu /
        {tuha vallahassa gosammi āsi aharo milāṇakamaladalo /	{tuha vallahassa go sammi Asi aharaH milANa kamala dalaH /
        i a ṇavavahu ā so ūṇa kuṇa i va aṇaṃ mahisaṃmuhaṃ //83// (9)}	i a Nava vahu A so UNa kuNa i va aNam mahi saMmuham //83// (9)}
        [tava vallabhasya prabhāta āsīdadharo mlānakamaladalam /	[tava vallaBasya praBAte AsIt aDaraH mlAna kamala dalam /
        iti navavadhūḥ śrutvā karoti vadanaṃ mahīsaṃmukham //]	iti nava vaDUH SrutvA karoti vadanam mahI saMmuKam //]
                       (Hāla's Gāthāsaptaśatī 998)	(HAla as GATA saptaSatI 998)
   atra rūpakeṇa tvayāsya muhurmuhuḥ paricumbanaṃ tathā kṛtaṃ yena	atra rUpakeNa tvayA asya muhur muhur paricumbanam taTA kRtam yena
   mlānatvamiti milāṇādipadadyotyaṃ kāvyaliṅgam / eṣu svataḥ  saṃbhavī	mlAna tvam iti milANa Adi pada dyotyam kAvya liFgam / ezu svataH saMBavI
   vyañjakaḥ /	vyaQjakaH /
        {rā īsu candadhavalāsu lali amapphāli ūṇa jo cāvaṃ /	{rA Isu canda DavalAsu lali  am apPAli UNa jaH cAvam /
        ekacchattaṃ vi a kuṇa i bhu aṇarajjaṃ vijaṃbhanto //84// (10)}	eka= Cat tam vi a kuNa i Bu aNa rajjam vijaMBantaH //84// (10)}
        [rātrīṣu candradhavalāsu lalitamāsphālya yaścāpam /	[rAtrIzu candra DavalAsu lalitam AsPAlya yaH cApam /
        ekacchatramiva karoti bhuvanarājyaṃ vijṛmbhamāṇaḥ //]	eka= Catram iva karoti Buvana rAjyam vijRmBamANaH //]
                       (Hāla's Gāthāsaptaśatī 992)	(HAla as GATA saptaSatI 992)
   atra vastunā yeṣāṃ kāmināmasau rājā smarastebhyo na kaścidapi	atra vastunA yezAm kAminAm asO rAjA smaraH teByaH na kaScid api
   tadādeśaparāṅmukha iti jāgradbhirupabhogaparaireva tairniśātivāhyate iti	tad AdeSa parAFmuKaH iti jAgradBiH upaBoga parEH eva tEH niSAtivAhyate iti
   bhu_aṇarajjapadadyotyaṃ vastu prakāśyate /	Bu_aNa rajja pada dyotyam vastu prakASyate /
        {niśitaśaradhiyārpayatyanaṅgo	{niSita Sara DiyA arpayati anaFgaH 
             dṛśi sudṛśaḥ svabalaṃ vayasyarāle /	dRSi su dRSaH sva balam vayasi a rAle /
        diśi nipatati yatra sā ca tatra	diSi nipatati yatra sA ca tatra
             vyatikarametya samunmiṣantyavasthāḥ //85// (11)}	vyatikaram etya samunmizanti avasTAH //85// (11)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra vastunā yugapadavasthāḥ prasparaviruddhā api prabhavantīti	atra vastunA yugapad avasTAH praspara virudDAH api praBavanti iti
   vyatikarapadadyotyo virodhaḥ /	vyatikara pada dyotyaH viroDaH /
        {vārijjanto vi puṇo saṃdāvakadatthi eṇa hi a eṇa /	{vArijjantaH vi puNaH saMdAvaka datTi eNa hi a eNa /
        thaṇaharava asma eṇa visuddhajā ī ṇa cala i se hāro //86// (12)}	TaNa harava asma eNa visudDa jA I Na cala i se hAraH //86// (12)}
        [vāryamāṇo 'pi punaḥ saṃtāpakadarthitena hṛdayena /	[vAryamANaH api punar saMtApaka darTitena hRdayena /
        stanabharavayasyena viśuddhajātirna calatyasyā hāraḥ //]	stana Bara vayasyena viSudDa jAtiH na calati asyAH hAraH //]
                       (Hāla's Gāthāsaptaśatī 994)	(HAla as GATA saptaSatI 994)
   atra viśuddhajātitvalakṣaṇahetvalaṅkāreṇa hāro 'navarataṃ kampamāna evāste	atra viSudDa jAti tva lakzaNa hetu alaFkAreNa hAraH anavaratam kampamAnaH eva Aste
   iti ṇa cala i padadyotyaṃ vastu /	iti Na cala  i pada dyotyam vastu /
        {so muddhasāmalaṅgo dhammillo kali alaliaṇi adeho /	{saH mudDa sAma laFgaH DammillaH kali  alaliaNi a dehaH /
        tī e khandhāhi balaṃ gahi a saṃro sura asaṃgare ja a i //87// (13)}	tI e KanDAhi balam gahi a saMraH sura a saMgare ja a i //87// (13)}
        [sa mugdhaśyāmalāṅgaḥ dhammillaḥ kalitalalitanijadehaḥ /	[sa mugDa SyAmala aFgaH DammillaH kalita lalita nija dehaH /
        tasyāḥ skandhādbalaṃ gṛhītvā smaraḥ suratasaṃgare jayati //]	tasyAH skanDAt balam gRhItvA smaraH surata saMgare jayati //]
                       (Hāla's Gāthāsaptaśatī 998)	(HAla as GATA saptaSatI 998)
   atra rūpakeṇa muhurmuhurākarṣaṇena tathā keśapāśaḥ skandhayoḥ prāpto yathā	atra rUpakeNa muhur muhur AkarzaNena taTA keSa pASaH skanDayoH prAptaH yaTA
   rativiratāvapyanivṛttābhilāṣaḥ kāmko 'bhūditi khandha padadyotyā vibhāvanā	rati viratO= api anivRtta aBilAzaH kAmkaH aBUt iti KanDa  pada dyotyA viBAvanA
   // eṣu kaviprauḍhoktimātraniṣpannaśarīraḥ //	// ezu kavi prOXa ukti mAtra nizpanna SarIraH //
        {ṇavapuṇṇimāmi aṅkassa suha a ko taṃ si bhaṇasu maha saccaṃ /	{Nava puNNimAmi aFkassa suha a kaH tam si BaNasu maha sat cam /
        kā sohaggasamaggā pa osara aṇivva tuha ajja //88// (14)}	kA sohagga sa mak gA pa osara  aNivva tuha ajjaH //88// (14)}
        [navapūrṇimāmṛgāṅkasya subhaga kastvamasi bhaṇa mama satyam /	[nava pUrNimA mRgAFkasya suBaga kaH tvam asi BaNa mama satyam /
        kā saubhāgyasamagrā pradoṣarajanīva tavādya //]	kA sOBAgya samagrA pradoza rajanI iva tava adya //]
                       (Hāla's Gāthāsaptaśatī 986)	(HAla as GATA saptaSatI 986)
   atra vastunā mayīvānyasyāmapi prathamamanuraktastvaṃ na tata iti ṇavetyādi	atra vastunA mayi iva anyasyAm api praTamam anuraktaH tvam na tatas iti Nava ityAdi
     pa osetyādipadadyotyaṃ vastu vyajyate //	 pa osa ityAdi pada dyotyam vastu vyajyate //
        {sahi ṇavaṇihuvaṇasamarammi aṅkavālīsahī e ṇiviḍā e /	{sahi NavaNi huvaNa samarammi aFka vAlI sahI e Ni vixA e /
        hāro ṇivāri o vi a uccheranto tado kahaṃ rami aṃ //89// (15)}	hAraH NivAri aH vi e ucCerantaH tadaH kaham rami am //89// (15)}
        [sakhi navanidhuvanasamare 'ṅkapālīsakhyā nibiḍayā /	[saKi nava niDuvana samare aFkapAlI saKyA nibixayA /
        hāro nivārita evocchriyamāṇastataḥ kathaṃ ramitam //]	hAraH nivAritaH eva ucCriyamANaH tatas kaTam ramitam //]
                       (Hāla's Gāthāsaptaśatī 996)	(HAla as GATA saptaSatI 996)
   atra vastunā hāracchedānantaramanyadeva ratamavaśyamabhūt tatkathaya	atra vastunA hAra= Ceda an antaram anyat eva ratam avaSyam aBUt tat kaTaya
   kīdṛgiti vyatirekaḥ kahaṃpadagamyaḥ //	kIdRS iti vyatirekaH kahaMpada gamyaH //
        {pravisaṃtī gharavāraṃ vivali ava aṇā vilo i ūṇa pahaṃ /	{pravisaMtI Gara vAram vivali a va aNAH vilo i UNa paham /
        khandhe ghettūṇa ghaḍaṃ hā hā ṇaṭṭhotti ru asi sahi kinti //90//}	KanDe GettUNa Gaxam hA hA NawWa utti ru asi sahi kinti //90//}
        [praviśantī gṛhadvāraṃ vivalitavadanā vilokya panthānam /	[praviSantI gRha dvAram vivalita vadanAH vilokya panTAnam /
        skandhe gṛhītvā ghaṭaṃ hā hā naṣṭa iti rodiṣi sakhi kimiti //]	skanDe gRhItvA Gawam hA hA nazwaH iti rodizi saKi kim iti //]
                       (Hāla's Gāthāsaptaśatī 880)	(HAla as GATA saptaSatI 880)
   atra hetvalaṅkāreṇa saṃketaniketanaṃ gacchantaṃ dṛṣṭvā yadi tatra	atra hetu alaFkAreNa saMketa niketanam gacCantam dRzwvA yadi tatra
   gantumicchasi tadā aparaṃ ghaṭaṃ gṛhītvā gaccheti vastu kinti pada dyotyam	gantum icCasi tadA aparam Gawam gRhItvA gacCa iti vastu kinti  pada  dyotyam
   / yathā vā	/ yaTA vA
        {vihalaṅkhalaṃ tumaṃ sahi daṭṭhūṇa kuḍeṇa taralataradiṭṭhiṃ /	{vihalaFKalam tumam sa hi dawWUNa kuxeNa taralatara diwWim /
        vārapphaṃsamiseṇa a appā guru otti pāḍi a vihiṇṇo //91// (16)}	vAra pPaMsamiseNa a appA guru otti pAxi a vihiNNaH //91// (16)}
        [viśṛṅkhalāṃ tvāṃ sakhi dṛṣṭvā kuṭena taralataradṛṣṭim /	[viSRFKalAm tvAm saKi dRzwvA kuwena taralatara dRzwim /
        dvārasparśamiṣeṇa cātmā guruka iti pātayitvā vibhinnaḥ //]	dvAra sparSa mizeNa ca AtmA gurukaH iti pAtayitvA viBinnaH //]
                       (Hāla's Gāthāsaptaśatī 880)	(HAla as GATA saptaSatI 880)
   atra nadīkūle latāgahane kṛtasaṃketamaprāptaṃ gṛhapraveśāvasare	atra nadI kUle latA gahane kRta saMketam aprAptam gRha praveSa avasare
   paścādāgataṃ dṛṣṭvā punarnadīgamanāya dvāropaghātavyājena buddhipūrvaṃ	paScAt Agatam dRzwvA punar nadI gamanAya dvAra upaGAta vyAjena budDi pUrvam
   vyākulatayā tvayā ghaṭaḥ sphoṭita iti mayā cintitaṃ tatkimiti nāśvasiṣi	vyAkula tayA tvayA GawaH sPowitaH iti mayA cintitam tat kim iti na ASvasizi
   tatsamīhitasiddhaye vraja ahaṃ te śvaśrūnikaṭe sarvaṃ samarthayiṣye iti	tad samIhita sidDaye vraja aham te SvaSrU nikawe sarvam samarTayizye iti
   dvārasparśanavyājenetyapahnutyā vastu /	dvAra sparSana vyAjena iti apahnutyA vastu /
        {johṇā iṃ mahuraseṇa a vi iṇṇatāruṇcchu amaṇā sā /	{johNA im mahu raseNa a vi iNNa tAruNt Su amaNA sA /
        vuḍḍhāvi ṇavoḍhavvi a paravahu ā ahaha hara ituha hi a aṃ //92//	vuxXAvi NavoXavvi a para vahu A ahaha hara ituha hi a am //92//
        [jyotsnayā madhurasena ca vitīrṇatāruṇyotsukamanāḥ sā /	[jya utsnayA maDu rasena ca vitIrNa tAruNya utsuka manAH sA /
        vṛddhāpi navoḍheva paravadhūrahaha harati tava hṛdayam //]	vRdDA api navoXA iva para vaDUrahaha harati tava hRdayam //]
                       (Hāla's Gāthāsaptaśatī 984)	(HAla as GATA saptaSatI 984)
   atra kāvyaliṅgena vṛddhāṃ paravadhūṃ tvamasmānujjhitvābhilaṣasīti	atra kAvya liFgena vRdDAm para vaDUm tvam asmAn ujJitvA aBilazasi iti
   tvadīyamācaritaṃ vaktuṃ na śaktyamityākṣepaḥ paravahūpadaprakāśyaḥ /	tvadIyam Acaritam vaktum na Saktyam iti AkzepaH para vahUpada prakASyaH /
   eṣu kavinibaddhavaktṛprauḍhoktimātraniṣpannaśarīraḥ //	ezu kavi nibadDa vaktR prOXa ukti mAtra nizpanna SarIraH //
   vākyaprakāśye tu pūrvamudāhṛtam //	vAkya prakASye tu pUrvam udAhRtam //
   śabdārthobhayaśaktyudbhavastu padaprakāśyo na bhavatīti	Sabda arTa uBaya Sakti udBavaH tu pada prakASyaH na Bavati iti
   pañcatriṃśadbhedāḥ //	paQcatriMSat BedAH //
   ... prabandhe 'pyarthaśaktibhūḥ // MKpr K_42 //	... prabanDe api arTa Sakti BUH // MKpr K_42 //
   yathā gṛdhragomāyusaṃvādādau /	yaTA gRDra gomAyu saMvAda AdO /
        {alaṃ sthitvā śmaśāne 'smin gṛdhragomāyusaṃkule /	{alam sTitvA SmaSAne asmin gRDra gomAyu saMkule /
        kaṅkālabahale ghore sarvaprāṇibhayaṅkare //93//}	kaFkAla bahale Gore sarva prANi BayaFkare //93//}
                       (Mahābhārata śāntiparvan 153 11)	(Maha aBArata SAnti parvan 153 11)
        {na ceha jīvitaḥ kaścit kāladharmamupāgataḥ /	{na ca iha jIvitaH kaScid kAlaDarmam upAgataH /
        priyo vā yadi vā dveṣyaḥ prāṇināṃ gatirīdṛśī //94//}	priyaH vA yadi vA dvezyaH prANinAm gatiH IdRSI //94//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 52)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 52)
   iti divā prabhavato gṛdhrasya puruṣavisarjanaparamidaṃ vacanam //	iti divA praBavataH gRDrasya puruza visarjana param idam vacanam //
        {ādityo 'yaṃ sthito mūḍhāḥ snehaṃ kuruta sāṃpratam /	{a AdityaH ayam sTitaH mUXAH sneham kuruta sAMpratam /
        bahuvighno muhūrto 'yaṃ jīvedapi kadācana //95//}	bahu viGnaH muhUrtaH ayam jIvet api kadAcana //95//}
                       (Mahābhārata, Gita Press. śāntiparvan 153 19)	(Maha aBArata, Gita Press. SAnti parvan 153 19)
        {amuṃ kanakavarṇābhaṃ bālamaprāptayauvanam /	{amum kanaka varNa ABam bAlam aprApta yOvanam /
        gṛdhravākyātkathaṃ mūḍhāstyajadhvamaviśaṅkitāḥ //96//}	gRDra vAkyAt kaTam mUXa astyajaDvam aviSaFkitAH //96//}
                       (Mahābhārata, Gita Press. śāntiparvan 153 65?)	(Maha aBArata, Gita Press. SAnti parvan 153 65?)
   iti niśi vijṛmbhamāṇasya gomāyorjanavyāvartananiṣṭhaṃ ca vacanamiti	iti niSi vijRmBamANasya gomAyoH jana vyAvartana nizWam ca vacanam iti
   prabandha eva prathate //	prabanDaH eva praTate //
   anye tvekādaśa bhedā granthavistarabhayānnodāhṛtāḥ svayaṃ tu	anye tu ekAdaSa BedAH granTa vistara BayAt na udAhRtAH svayam tu
   lakṣaṇatonusartavyāḥ //	lakzaNa tonu sartavyAH //
   apiśabdātpadavākyayoḥ //42//	api SabdAt pada vAkyayoH //42//
   padaikadeśaracanāvarṇeṣvapi rasādayaḥ /	pada eka deSa racanA varNezu api rasa AdayaH /
   tatra prakṛtyā yathā	tatra prakRtyA yaTA
        {ra ikelihi aṇivasaṇakarakisala aruddhaṇa aṇaju alassa /	{ra i keli hi aNi vasaNa kara kisala a rut DaNa aNa ju alassa /
        ruddhassa ta i aṇa aṇaṃ pavva īparicuṃbi aṃ ja a i //97//}	rudDassa ta i aNa aNam pavva I paricuMbi am ja a i //97//}
        [ratikelibṛtanivasanakarakisalayaruddhanayanayugalasya /	[rati keli bRta nivasana kara kisalaya rudDa nayana yugalasya /
        rudrasya tṛtīyanayanaṃ pārvatīparicumbitañjayati //]	rudrasya tRtIya nayanam pArvatI paricumbitaQjayati //]
                       (Hāla's Gāthāsaptaśatī 5.53)	(HAla as GATA saptaSatI 5.53)
   atha jayatīti na tu śobhate ityādi / samāne 'pi hi sthaganavyāpāre	aTa jayati iti na tu SoBate ityAdi / samAne api hi sTagana vyApAre
   lokottareṇaiva vyāpāreṇāsya pidhānamiti	loka uttareNa eva vyApAreNa asya piDAnam iti
   tadevotkṛṣṭam / yathā vā	tat eva utkRzwam / yaTA vA
        {preyān so 'yamapākṛtaḥ saśapathaṃ pādānataḥ kāntayā	{preyAn saH ayam apAkRtaH sa SapaTam pAda AnataH kAntayA
             dvitrāṇyeva padāni vāsabhavanādyāvanna yātyunmanāḥ /	dvitrANi eva padAni vAsa BavanAt yAvat na yAti unmanAH /
        tāvatpratyuta pāṇisaṃpuṭagalannīvīnibandhaṃ dhṛto	tAvat pratyuta pANi saMpuwa galat nIvI nibanDam DRtaH 
             dhāvitveva kṛtapraṇāmakamaho premṇo vicitrā gatiḥ //98//}	DAvitvA iva kRta praNAmakam aho premNaH vicitrA gatiH //98//}
                       (Vāmana's Kāvyālaṅkārasūtravṛtti 3,2.15)	(VAmana as KAvya alaFkAra sUtra vRtti 3,2.15)
   atra padānīti na tu dvārāṇīti //	atra padAni iti na tu dvArANi iti //
   tiṅsuporyathā	tiFsuporyaTA
        {pathi pathi śukacañcūcārurābhāṅkurāṇāṃ	{paTi paTi Suka caQcU cAruH ABa aFkurANAm
             diśi diśi pavamāno vīrudhāṃ lāsakaśca /	diSi diSi pavamAnaH vIruDAm lAsakaH ca /
        nari nari kirati drāk sāyakān puṣpadhanvā	nari nari kirati drAk sAyakAn puzpaDanvA
             puri puri vinivṛttā māninīmānacarcā //99//}	puri puri vinivRttA mAninI mAna carcAH //99//}
                       (Subhāṣitaratnabhāṇḍāgāra 333/85)	(Su BAzita ratna BANxa AgAraH 333/85)
   atra kiratīti kiraṇasya sādhyamānatvaṃ nivṛtteti nivartanasya siddhatvaṃ	atra kirati iti kiraNasya sADyamAna tvam nivRttA iti nivartanasya sidDa tvam
   tiṅā supā ca tatrāpi ktapratyayenātītatvaṃ dyotyate / yathā vā	tiFA supA ca tatra api kta pratyayena atIta tvam dyotyate / yaTA vA
        {likhannāste bhūmiṃ bahiravanataḥ prāṇadayito	{liKan= Aste BUmim bahis avanataH prANa dayitaH 
             nirāhārāḥ sakhyaḥ satataruditocchūnanayanāḥ /	nirAhArAH saKyaH satata rudita ucCUna nayanAH /
        parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukaiḥ	parityaktam sarvam hasita paWitam paQjara SukEH
             tavāvasthā ceyaṃ visṛja kaṭhine mānamadhhunā //100//}	tava avasTA ca iyam visRja kaWine mAnam aDhunA //100//}
                       (Amaruśataka 6)	(Amaru SatakaH 6)
   atra likhanniti na tu likhatīti tathā āste iti na tu āsīta iti api tu	atra liKan= iti na tu liKati iti taTA Aste iti na tu AsIta iti api tu
   prasādaparyantamāste iti bhūmimiti na tu	prasAda paryantam Aste iti BUmim iti na tu
   bhūmāviti na hi buddhipūrvakamaparaṃ kiñcillikhatīti tiṅsubvibhaktīnāṃ	BUmO= iti na hi budDi pUrvakam aparam kiQcid liKati iti tiFsubviBaktInAm
   vyaṅgyam /	vyaFgyam /
   saṃbandhasya yathā	saMbanDasya yaTA
        {gāmāruhamhi hāme vasāmi ṇa araṭṭhi iṃ ṇa jāṇāmi /	{gAm Aruham hi hAme vasAmi Na  arawWi im Na jANAmi /
        ṇā ari āṇaṃ pa iṇo haremi jā homi sā homi //101//}	NA ari ANam pa iNaH haremi jAH homi sA homi //101//}
        [grāmaruhāsmi grāme vasāmi nagarasthitiṃ na jānāmi /	[grAmaruhA asmi grAme vasAmi nagara sTitim na jAnAmi /
        nāgarikāṇāṃ patīn harāmi yā bhavāmi sā bhavāmi //]	nAgarikANAm patIn harAmi yA BavAmi sA BavAmi //]
                       (Hāla's Gāthāsaptaśatī 705)	(HAla as GATA saptaSatI 705)
   atra nāgarikāṇāmiti ṣaṣṭhyāḥ /	atra nAgarikANAm iti zazWyAH /
   ramaṇīyaḥ kṣatriyakumāra āsīt iti kālasya / eṣā hi bhagnamaheśvarakārmukaṃ	ramaNIyaH kzatriya kumAraH AsIt iti kAlasya / ezA hi Bagna maheSvara kArmukam
   dāśarathiṃ pratikupitasya bhārgavasyokti / vacanasya yathā /	dASaraTim pratikupitasya BArgavasya ukti / vacanasya yaTA /
        {tāṇaṃ guṇaggaaṇāṇaṃ tāṇukkaṇṭhāṇaṃ tassa pemmassa /	{tANam guNaggaaNANam tANukkaNWANam tassa pemmassa /
        tāṇaṃ bhaṇi āṇaṃ suṃdara erisi aṃ jā amavasāṇaṃ //102//}	tANam BaNi ANam suMdaraH erisi am jA am avasANam //102//}
        [teṣāṃ guṇagrahaṇānāṃ tāsāmutkaṇṭhānāṃ tasya premnaḥ /	[tezAm guNa grahaNAnAm tAsAm utkaNWAnAm tasya premnaH /
        tāsāṃ bhaṇitīnāṃ sundara īdṛśaṃ jātamavasānam //]	tAsAm BaNitInAm sundaraH IdRSam jAtam avasAnam //]
                       (Hāla's Gāthāsaptaśatī 940)	(HAla as GATA saptaSatI 940)
   atra guṇagrahaṇādīnāṃ bahutvaṃ premṇaścaikatvaṃ dyotyate //	atra guNa grahaNa AdInAm bahu tvam premNaH ca ekatvam dyotyate //
   puruṣavyatyayasya yathā	puruza vyatyayasya yaTA
        {re re cañcalalocanāñcitaruce cetaḥ pramucya sthira 	{re re caQcala locana AQcita ruce cetaH pramucya sTira 
             premāṇaṃ mahimānameṇayanāmālokya kiṃ nṛtyasi /	premANam mahimAnam eNayanAm Alokya kim nRtyasi /
        kiṃ manye vihariṣyase bata hatāṃ muñcāntarāśāmimām	kim manye viharizyase bata hatAm muQca antarASAm imAm
             eṣā kaṇṭhataṭe kṛtā khalu śilā saṃsāravārāṃnidhau //103//}	ezA kaNWa tawe kRtA Kalu SilA saMsAra vArAMniDO //103//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra prahāsaḥ /	atra prahAsaH /
   pūrvanipātasya yathā	pUrva nipAtasya yaTA
        {yeṣāṃ dorbalameva durbalatayā te saṃmatāstairapi	{yezAm dos balam eva durbala tayA te saMmatAH tEH api
             prāyaḥ kevalanītirītiśaraṇaiḥ kāryaṃ kimurvīśvaraiḥ /	prAyas kevala nI tirIti SaraNEH kAryam kim uru ISvarEH /
        ye kṣmāśakra punaḥ parākramanayasvīkārakāntakramās     	ye kzmA Sakra punar parAkrama naya svIkArakAnta kramAH     
             te syurnaiva bhavādṛśāstrijagati dvitrāḥ pavitrāḥ param //104//}	te syuH na eva BavAdRSAH trijagati dvitrAH pavitrAH param //104//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra parākramasya prādhānyamavagamyate /	atra parAkramasya prADAnyam avagamyate /
   vibhaktiviśeṣasya yathā	viBakti viSezasya yaTA
        {pradhanādhvani dhīradhanurdhvanibhṛti vidhurairayodhi tava divasam /	{praDana aDvani DIra DanurDvani BRti viDurEH ayoDi tava divasam /
        divasena tu narapa bhavānayuddha vidhisiddhasādhuvādapadam //105//}	divasena tu narapa BavAn ayudDa viDi sidDa sADuvAda padam //105//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra divasenetyapavargatṛtīyā phalaprāptiṃ dyotayati /	atra divasena iti apavarga tRtIyA Pala prAptim dyotayati /
        {bhūyo bhūyaḥ savidhanagarīrathyayā paryaṭantaṃ	{BUyas BUyas saviDa nagarIraTyayA paryawantam
             dṛṣṭvā dṛṣṭvā bhavanavalabhītuṅgavātāyanasthā /	dRzwvA dRzwvA Bavana valaBI tuFga vAtAyana sTA /
        sākṣātkāmaṃ navamiva ratirmālatī mādhavaṃ yat	sAkzAt kAmam navam iva ratiH mAlatI mADavam yat 
             gāḍhotkaṇṭhālulitalulitairaṅgakaistāmyatīti //106//}	gAXa utkaNWa Alulita lulitEH aFgakEH tAmyati iti //106//}
                       (Bhavabhūti's Mālatīmādhava 1.30)	(Bhava BUti as MAlati imADava 1.30)
   atrānukampāvṛtteḥ karūpataddhitasya /	atra anukampA vRtteH ka ru upa tat hitasya /
        {paricchedātītaḥ sakalavacanānāmaviṣayaḥ	{paricCeda atItaH sakala vacanAnAm avizayaH
             punarjanmanyasminnanubhavapathaṃ yo na gatavān /	punarjanmani asmin= anuBava paTam yaH na gatavAn /
        vivekapradhvaṃsādupacitamahāmohagahano	viveka praDvaMsAt upacita mahA moha gahanaH 
             vikāraḥ ko 'pyantarjaḍayati ca tāpaṃ ca kurute //107//}	vikAraH kaH api antar jaxayati ca tApam ca kurute //107//}
                       (Bhavabhūti's Mālatīmādhava 1.30)	(Bhava BUti as MAlati imADava 1.30)
   atra praśabdasyopasargasya /	atra praSabdasya upasargasya /
        {kṛtaṃ ca garvābhimukhaṃ manastvayā	{kRtam ca garva aBimuKam manaH tvayA
             kimanyadevaṃ nihatāśca no dviṣaḥ /	kim anyadevam nihatAH ca naH dvizaH /
        tamāṃsi tiṣṭhanti hi tāvadaṃśumān	tamAMsi tizWanti hi tAvat aMSumAn
             na yāvadāyātyudayādrimaulitām //108//}	na yAvat AyAti udaya adri mOlitAm //108//}
