   athaikonatriṃśaṃ pūraṇam	aTa-ekonatriMSam pUraNam
   balabhadraḥ kuru-śreṣṭha bhagavān ratham āsthitaḥ |	balaBadraH kuru--SrezWa BagavAn raTam AsTitaH |
   suhṛd-didṛkṣur utkaṇṭhaḥ prayayau nanda-gokulam || [BhP 10.65.1]	suhRd-didRkzuH utkaNWaH prayayO nanda--gokulam || [Bhj 10.65.1]
   [47] vṛndovāca-tad idaṃ kālāntara-bhāvīti ca sambhāvitaṃ syāt | na tu	[47] vRndaH-vAca--tat idam kAla-antara-BAvI-iti ca samBAvitam syAt | na tu
   paraṃ dantavakra-saṃyad-anantara-bhāvi iti |	param danta-vakra--saMyad-anantara--BAvi iti |
   [48] pūrṇimā vimṛśya punar dṛśyatām ity upadideśa |	[48] pUrNimA vimRSya punar dRSyatAm iti upadideSa |
   [49] vṛndā punar uvāca-āṃ āṃ punaḥ śrī-bhāgavatīyaṃ padyam ekaṃ	[49] vRndA punar uvAca-Am Am punar SrI--BAgavatI-iyam padyam ekam
   pratipadyate |	pratipadyate |
   api smaratha naḥ sakhyaḥ svānām artha-cikīrṣayā |	api smaraTa naH saKyaH svAnAm arTa--cikIrzayA |
   gatāṃś cirāyitāñ chatru-pakṣa-kṣapaṇa-cetasaḥ || [BhP 10.82.41]	gatAn cirAyitAn Catru--pakza--kzapaNa--cetasaH || [Bhj 10.82.41]
   [50] tad etad vācayitvā vṛndā punar uvāca-kim anena samunneyam ?	[50] tat etat vAcayitvA vRndA punar uvAca-kim anena samunneyam ?
   [51] pūrṇimā prāha sma-tad idaṃ kurukṣetra-yātrāyāṃ śrī-rāma-bhrātā	[51] pUrNimA prAha sma-tat idam kurukzetra-yAtrAyAm SrI-rAma--BrAtA
   nija-sneha-pātrāṇāṃ vraja-tanu-gātrāṇāṃ duḥkha-trāṇāya bhaṅgyā	nija--sneha--pAtrANAm vraja--tanu--gAtrANAm duHKa-trANAya BaFgyA
   śatru-pakṣa-kṣapaṇam evāvadhitayā pratijñātam | śatru-pakṣa-kṣapaṇaṃ ca	Satru--pakza--kzapaNam eva-avaDitayA pratijQAtam | Satru--pakza--kzapaNam ca
   svadūratha-dantavakra-saṃyad-antam eva | tad-anantaraṃ hi svayaṃ	sva-dUraTa--danta-vakra--saMyat--antam eva | tad--anantaram hi svayam
   śastra-hastatā saṃnyastā syāt | tasmād idam api	Sastra-hasta-tA saMnyastA syAt | tasmAt idam api
   sarva-sukha-sadma-padma-purāṇa-mataṃ	sarva--suKa--sadma-padma-purANa--matam
   śrīmad-bhāgavata-bhāg avagatam |	SrI-mat--BAgavata-BAj avagatam |
   [52] tataḥ kaścid dantavakra-vadhaṃ kutracin manyatāṃ nāma | tad-anantaraṃ	[52] tatas kaScid danta-vakra--vaDam kutracid manyatAm nAma | tad--anantaram
   tu śrī-kṛṣṇasya vrajāgamanam avaśyam eva mantavyam | itīdaṃ procya	tu SrI--kRzNasya vraja-Agamanam avaSyam eva mantavyam | iti-idam procya
   bhagavatī punaḥ provāca-kiṃcid anyad asti ?	BagavatI punar provAca--kiMcid anyat asti ?
   [53] vṛndovāca-tathaivādhvanya-veṣeṇa ity ādinā pūrvaṃ darśitaṃ	[53] vRndovAca--taTA-eva-aDvanya--vezeNa iti AdinA pUrvam darSitam
   śrī-rāmasya vrajād āgatasya śrī-kṛṣṇena saṃvāda-rūpaṃ harivaṃśa-vacanam	SrI-rAmasya vrajAt Agatasya SrI-kRzNena saMvAda--rUpam hari-vaMSa-vacanam
   eva papāṭha |	eva papAWa |
   [54] atha tad-abhiprāyaṃ pūrṇimā prāha-atra yad-vrajād āgataṃ rāmam	[54] aTa tad--aBiprAyam pUrNimA prAha--atra yat--vrajAt Agatam rAmam
   agrajaṃ rahasi rāmānujaḥ pratyeka-vraja-jīva-kuśalaṃ pṛṣṭavān | yac ca	agrajam rahasi rAma-anujaH pratyeka-vraja--jIva--kuSalam pRzwavAn | yat ca
   sarveṣāṃ kuśalaṃ kṛṣṇa yeṣāṃ kuśalam icchasi iti | tasmād uttaraṃ	sarvezAm kuSalam kRzNa yezAm kuSalam icCasi iti | tasmAt uttaram
   labdhavāṃs tasmād bhāvi-nija-saṅgama-maṅgalam api tatra dvayor api	labDavAn tasmAt BAvi--nija--saFgam-a-maFgalam api tatra dvayoH api
   bhāvitaṃ babhūva | tatrodāsīnatāyāṃ tatrāpy udāsīnatā syād iti |	BAvitam baBUva | tatra-udAsInatAyAm tatra-api udAsIna-tA syAt iti |
   [55] atha tena nidigdha-dhīr api vṛndā sandigdham ācacāra-padma-purāṇam	[55] aTa tena nidigDa-DIH api vRndA sandigDam AcacAra--padma-purANam
   iva katham acchadma na tad vraja-pratyāgamanaṃ vacana-sadma cakāra sa ca	iva kaTam acCadma na tat vraja--pratyAgamanam vacana--sadma cakAra sa ca
   purāṇa-sāraḥ |	purANa-sAraH |
   [56] pūrṇimā babhāṣe-śrīmad-bhāgavataṃ khalv idaṃ śrī-kṛṣṇa-bhāg-avataṃsa	[56] pUrNimA baBAze--SrImat--BAgavatam Kalu idam SrI--kRzNa--BAg-avataMsa
   iti śaṃsanti | tac ca nija-rahasyam idaṃ na vyaktaṃ vaktuṃ vyavasyati |	iti SaMsanti | tat ca nija--rahasyam idam na vyaktam vaktum vyavasyati |
   tac ca garva-sthemnā svatantraṃ-manyatayā nānānya-sampat-kāmanādhīnānāṃ	tat ca garva--sTemnA svatantraM-manyatayA nAnA-anya--sampat-kAmana-aDInAnAm
   tad-udāsīnānāṃ maty-avaguṇṭhanārthaṃ premṇā gokula-lokaṃ-manyatayā tam	tad--udAsInAnAm mati--ava-guNWana-arTam premNA gokula--lokaM-m-anyatayA tam
   upāsīnānāṃ	upAsInAnAm
   viśiṣṭa-tan-nijābhīṣṭa-spaṣṭa-śravaṇa-vihīnānāṃ bāḍham utkaṇṭhanārthaṃ ca	viSizwa-tan--nija-aBIzwa--spazwa--SravaNa--vihInAnAm bAXam utkaNWana-arTam ca
   iti |	iti |
   [57] vṛndovāca-pūrveṣāṃ maty-avaguṇṭhanā samucitā | pareṣām utkaṇṭhanā tu	[57] vRndovAca--pUrvezAm mati--ava-guNWanA samucitA | parezAm utkaNWanA tu
   kim arthaṃ samuditā ?	kim arTam samuditA ?
   [58] pūrṇimā vadati sma-	[58] pUrNimA vadati sma-
   utkaṇṭhayā saha premā dhatte mithunatāṃ yadā |	utkaNWayA saha premA Datte miTuna-tAm yadA |
   aṅgajaṃ hari-saṅgākhyaṃ tadā bhajati nānyadā ||GC_2,3.2||	aFga-jam hari-saFga-AKyam tadA Bajati na-anyadA ||GC_2,3.2||
   [59] vṛndā viramānandān nirīhatayā smitvā prāha-janmārabhya kiyad	[59] vRndAH virama-AnandAt nirIha-tayA smitvA prAha-janma-AraBya kiyat-
   varṣānantaraṃ kaṃsāntakasya yad-upattanād vrajāgamana-śantamam idaṃ janitā	varza-anantaram kaMsAntakasya yat--upattanAt vraja-Agamana--Santamam idam janitA
   [60] pūrṇimā sa-praṇidhānam āha-bhārata-rītyā bhārata-yuddhānantaraṃ	[60] pUrNimA sa--praNiDAnam Aha-BArata--rItyA BArata--yudDa-anantaram
   yudhiṣṭhirasya prājyaṃ rājyaṃ tasya ṣaṣṭhi-varṣata eva janitā |	yuDizWirasya prAjyam rAjyam tasya zazWi-varzataH eva janitA |
   śrī-viṣṭaraśravāś cārjuna-savayaskatā-viśiṣṭatayā yudhiṣṭhirasya	SrI-vizwaraSravAH ca-arjuna--sa-vayaska-tA--viSizwa-tayA yuDizWirasya
   varṣa-traya-kaniṣṭhas tadānīṃ sapta-pañcāśad-varṣatām āpsyatīti lakṣyate |	varza--traya-kanizWaH tadAnIm sapta-paQcASat--varzatAm Apsyati-iti lakzyate |
   tatra tu tad-yuddhataḥ pūrvād vanājñāta-vāsa-maya-varṣa-trayodaśakāt	tatra tu tat--yudDataH pUrvAt vanAjQAta--vAsa-m-aya--varza--trayodaSakAt-
   pūrvaṃ sālva-dantavakra-dhūrvaṇam iti tasya vrajāgamana-samaya-vicāraṇāyāṃ	pUrvam sAlva--dantavakra-DUrvaNam iti tasya vraja-Agamana--samaya-vicAraNAyAm
   varṣāṇāṃ catuś-catvariṃśad evāvaśiṣyate | tad-uttara-kālataḥ	varzANAm catuS-catvariMSat eva-avaSizyate | tad--uttara--kAlataH
   prakāśāntareṇa puryāṃ sthitasya pṛthivī-pālane tu bhāratāc chrī-bhāgavataṃ	prakASa-antareNa puryAm sTitasya pRTivI--pAlane tu BAratAt SrI-BAgavatam
   mataṃ vilakṣaṇam iti tad-eka-vākyatāyām aśakyatayākalpa-bheda-kalpanam eva	matam vilakzaNam iti tad--eka-vAkyatAyAm aSakya-tayA-kalpa--Beda--kalpanam eva
   kalpate | na tu tad atra prayojakam | tatas tad astu, prastutaṃ tu	kalpate | na tu tat atra prayojakam | tatas tat astu, prastutam tu
   prastūyatām |	prastUyatAm |
   [61] vṛndovāca-kṛṣṇo'pi taṃ hatvā iti gadyānantaraṃ pādma-padya-dvayam iti	[61] vRndaH-vAca--kRzNaH-api tam hatvA iti gadya-anantaram pAdma-padya--dvayam iti
   likhitvā likhitam-	liKitvA liKitam-
   kālindyāḥ puline ramye puṇya-vṛkṣa-samāvṛte |	kAlindyAH puline ramye puNya--vRkza--samAvRte |
   gopa-nārībhir aniśaṃ krīḍayāmāsa keśavaḥ ||	gopa-nArIBiH aniSam krIxayAmAsa keSavaH ||
   ramya-keli-sukhenaiva gopa-veṣa-dharo hariḥ |	ramya--keli--suKena-eva gopa-veza--DaraH hariH |
   baddha-prema-rasenātra māsa-dvayam uvāsa ha || [PadmaP 6.252.19-27] iti |	badDa--prema--rasena-atra mAsa--dvayam uvAsa ha || [Pat-maP 6.252.19-27] iti |
   [62] athāsya vṛndā tātparyaṃ paryanuyuktavatī |	[62] aTa-asya vRndA tAtparyam paryanuyuktavatI |
   [63] pūrṇimā covāca-gopa-nārībhiḥ ity atra nṛ-narayor vṛddhiś ceti jātāv	[63] pUrNimA ca-uvAca--gopa-nArIBiH iti atra nR--narayoH vRdDiH ca-iti jAtO=-
   eva strī-pratyaya-vidhānād gopa-jātibhir nārībhir iti gamyam |	eva strI--pratyaya--viDAnAt gopa-jAtiBiH nArIBiH iti gamyam |
   tṛtīya-skandhe devahūtim uddiśya kardamaṃ prati śrī-śukla-vacane	tRtIya--skanDe devahUtim uddiSya kardamam prati SrI--Sukla--vacane
   dṛśyate ca tad-anuvādi-mṛtyuñjaya-saṃhitā-vacanam-	dRSyate ca tad--anuvAdi--mRtyuQjaya--saMhitA--vacanam-
   smared vṛndāvane ramye mohayantam anāratam |	smaret vRndAvane ramye mohayantam anAratam |
   govindaṃ puṇḍarīkākṣaṃ gopa-kanyāḥ sahasraśaḥ |	govindam puNxarIkAkzam gopa-kanyAH sahasraSas |
   muktāhāra-lasat-pīna-tuṅga-stana-bharānanāḥ || iti |	muktA-AhAra--lasat-pIna--tuFga-stana--Bara-AnanAH || iti |
   gautamīye ca-	gOtamIye ca-
   gopa-kanyā-sahasrais tu padma-patrāyatekṣaṇaiḥ |	gopa--kanyA--sahasrEH tu padma-patra-Ayata-IkzaNEH |
   arcitaṃ bhāva-kusumais trailokyaika-guruṃ param || iti |	arcitam BAva--kusumEH trElokya-eka---gurum param || iti |
   brahma-rātra upāvṛtte ity ādy-uktād vilakṣaṇena aniśaṃ ity anena ca	brahma-rAtraH upAvRtte iti Adi--uktAt vilakzaNena aniSam iti anena ca
   tat-patiṃmanyādiṣu vāstavābhīrīṇāṃ vivāhādi-vañcanārthaṃ nāsūyan khalu	tat-patiMmanya-Adizu vAstava-ABIrINAm vivAha-Adi--vaQcana-arTam na-asUyan Kalu
   kṛṣṇāya ity ādy-ukta-diśā yā mayā yoga-māyayā sṛṣṭās tāsu punar	kRzNAya iti Adi--ukta-diSA yAH mayA yoga-mAyayA sRzwAH tAsu punar-
   vyaktī-kriyamāṇāsu pūrvāsāṃ para-dāratva-bhramāpakramānantaraṃ	vyaktI--kriyamANAsu pUrvAsAm para-dAra-tva--Brama-apakrama-anantaram
   saṅkoca-mocanaṃ gamyate | tac cāvaśyaṃ tatrāvagantavyam | tatra hi sarve	saFkoca--mocanam gamyate | tat ca-avaSyam tatra-avagantavyam | tatra hi sarve
   guṇā lajjānuguṇā eva kīrtyante	guNAH lajjA-anuguNAH eva kIrtyante
   | tathā hi hari-vaṃśe śrī-nāradena tasya praśaṃseyaṃ yādava-saṃsadāṃ	| taTA hi hari-vaMSe SrI-nAradena tasya praSaMsA-iyam yAdava--saMsadAm
   karṇāvataṃsavad ācarati sma |	karNa-avataMsa-vat Acarati sma |
   yatra hrīḥ śrīḥ sthitā tatra yatra śrīs tatra sannatiḥ |	yatra hrIH SrIH sTitA tatra yatra SrIH tatra sannatiH |
   sannatir hrīs tathā śrīś ca nityaṃ kṛṣṇe mahātmani || [HV 2.101.73]	sannatiH hrIH taTA SrIH ca nityam kRzNe mahAtmani || [HV 2.101.73]
   [64] tad evam eva ramya-keli-sukhenaiva ity anena, bahu-prema-rasena ity	[64] tat evam eva ramya--keli--suKena-eva iti anena, bahu--prema--rasena iti-
   anena cātra vraje tat-keli-sukhasya sarva-manorathatvaṃ	anena ca-atra vraje tat-keli--suKasya sarva-manoraTa-tvam
   nānā-prema-rasadatvaṃ ca darśitaṃ syāt | tad evam eva ca pūrvaṃ yad	nAnA--prema--rasa-da-tvam ca darSitam syAt | tat evam eva ca pUrvam yat-
   asūyā-rāhityaṃ teṣu māyayā sampāditam, tac ca mahā-viraheṇa	asUyA-rAhityam tezu mAyayA sampAditam, tat ca mahA--viraheNa
   vyakta-rahasyāsv apy etāsu nirvyūḍhaṃ syāt | kiṃ ca yā śrī-bhagavataḥ	vyakta--rahasyAsu api etAsu nirvyUXam syAt | kim ca yA SrI--BagavataH
   pratikalpam avaśyambhāvi-tādṛśatā-svabhāvāvatāra-līlāt	pratikalpam avaSyamBAvi-tA-dRSatA--svaBAva-avatAra--lIlAt-
   preyasī-prema-prabhāva-vyañjanāya tat-priya-jana-rañjanāya ca khelantī	preyasI--prema--praBAva--vyaQjanAya tat--priya-jana--raQjanAya ca KelantI
   janaka-kanyāyām iva gopa-kanyā-śreṇyāṃ tasya nitya-kāntāsmīti jñānaṃ	janaka-kanyAyAm iva gopa-kanyA-SreNyAm tasya nitya-kAntA-asmi-iti jQAnam
   yadyapy āvṛtavatī, tathāpi premāṇām avarītuṃ na śaktavatī |	yadi-api AvRtavatI, taTA-api premANAm avarItum na SaktavatI |
   [65] yaḥ khalu premā tādṛśa-tal-līlā-paravaśatayā tasyā iva tasyāḥ	[65] yaH Kalu premA tAdRSa--tal--lIlA--paravaSa-tayA tasyAH iva tasyAH
   para-hasta-patanāvasthāyām api tat-pātivratyaṃ pratipālayitā, sa evāyatyām	para-hasta--patana-avasTAyAm api tat-pAti-vratyam pratipAlayitA, saH eva-AyatyAm
   api tāṃ duḥkha-rūpāṃ śamayitvā melayitā syād eveti māsmānyathā manyathāḥ |	api tAm duHKa--rUpAm SamayitvA melayitA syAt eva-iti mA-asmAn-yaTA manyaTAH |
   tathā hi, ye yathā māṃ prapadyante tāṃs tathaiva bhajāmy aham iti	taTA hi, ye yaTA mAm prapadyante tAn taTA-eva BajAmi aham iti
   tat-tad-vacanaṃ prasiddham | tat khalu	tat--tat--vacanam prasidDam | tat Kalu
   para-dāratāpa-krama-racanā-pūrvaka-tan-milanārtham eva tāsāṃ	para-dAra-tApa-krama-racanA--pUrvaka-tan--milana-arTam eva tAsAm
   sacate | bhaktānāṃ yādṛṅ-manoratha-prakāratā, tādṛg eva mad-ākāratāviṣkāra	sacate | BaktAnAm yAdRF--manoraTa--prakAra-tA, tAdRS eva mad--AkAra-tA-AvizkAra
   iti hi tatra vivakṣitam | tat-prakāratā ca tac-chreṇīnām ittham eva-aho	iti hi tatra vivakzitam | tat--prakAra-tA ca tac-SreNInAm itTam eva-aho
   kadācid evaṃ bhāgyam asmākaṃ bhavitā | yad anya-patnītva-pratītir	kadAcid evam BAgyam asmAkam BavitA | yat anya-patnI-tva--pratItiH-
   ayatnībhūya duḥsvapnatayā mithyā syāt tat-patnītvam eva jāgaratayā tvarayā	ayatnIBUya duHsvapna-tayA miTyA syAt tat-patnI-tvam eva jAgara-tayA tvarayA
   satyaṃ syād iti |	satyam syAt iti |
   [66] āstām iha para-puruṣe rāgi-strīṇāṃ tathā rītiḥ | anyatra ca	[66] AstAm iha para-puruze rAgi--strINAm taTA rItiH | anyatra ca
   tat-sadṛśāṃ gṛhiṇī-bhāvaḥ sadāpīṣṭaḥ | tathā ca tābhir evābhipretam |	tat--sadRSAm gRhiNI-BAvaH sadA-api-izwaH | taTA ca tABiH eva-aBipretam |
   gopyaḥ kim ācarad ayaṃ kuśalaṃ sma veṇur dāmodarādhara-sudhām api	gopyaH kim Acarat ayam kuSalam sma veNuH dAmodara-aDara--suDAm api
   gopikānām bhuṅkte svayam iti |	gopikAnAm BuFkte svayam iti |
   api bata madhu-puryām ārya-putro'dhunāste	api bata maDu-puryAm Arya-putraH-aDunA-AH-te
   smarati sa pitṛ-gehān saumya bandhūṃś ca gopān |	smarati sa pitR-gehAn sOmya banDUn ca gopAn |
   kvacid api sa kathāṃ naḥ kiṅkarīṇāṃ gṛṇīte	kvacid api sa kaTAm naH kiFkarINAm gRNIte
   bhujam aguru-sugandhaṃ mūrdhny adhāsyat kadā nu || [BhP 10.47.21]	Bujam aguru--suganDam mUrDni aDAsyat kadA nu || [Bhj 10.47.21]
   atra yaḥ khalv asmākam ārya-putra-śabda-vācyasya pratyutas tasya svīyāḥ	atra yaH Kalu asmAkam Arya-putra--Sabda--vAcyasya pratyutaH tasya svIyAH
   smaḥ ity abhimānas tatra guptam asti | tadaiva tāḥ kiṅkarya iti matyāpi	smaH iti aBimAnaH tatra guptam asti | tadA-eva tAH kiFkaryaH iti matyA-api
   kadā svayaṃ vyaktam aṅgīkāriṇā tenāsmān aṅgīkariṣyata iti | ity atra	kadA svayam vyaktam aFgIkAriNA tena-asmAn aFgIkarizyate iti | iti atra
   ārya-putraḥ ity anena tatra patitvaṃ vyajya naḥ kiṅkarīṇām ity ādinā tathā	Arya-putraH iti anena tatra pati-tvam vyajya naH kiFkarINAm iti AdinA taTA
   tadīya-svīkāraḥ prakaṭam eva syād iti vyañjitam |	tadIya--svIkAraH prakawam eva syAt iti vyaQjitam |
   [67] tad etad ātmanaḥ śrīmad-vrajāgamanam | vrajāgamanam anu ca tāsu	[67] tat etat AtmanaH SrImat--vraja-Agamanam | vraja-Agamanam anu ca tAsu
   svīyatāprakṭī-karaṇam eva śubhaṅkaraṇam iti śrīmad-vrajendra-nandanena	svIyatA-prakwI-karaNam eva SuBaFkaraNam iti SrImat--vraja-indra-nandanena
   svayam eva vyañjitam |	svayam eva vyaQjitam |
   dhārayanty ati-kṛcchreṇa prāyaḥ prāṇān kathañcana |	DArayanti ati--kRcCreNa prAyas prANAn kaTaQcana |
   pratyāgamana-sandeśair ballavyo me mad-ātmikāḥ ||	pratyAgamana--sandeSEH ballavyaH me mad--a-AtmikAH ||
   iti tad-vacanaṃ hi tāsu svīyatām | svīyatāyām api tad-eka-svarūpatāṃ,	iti tat--vacanam hi tAsu svIyatAm | svIyatAyAm api tad--eka--svarUpa-tAM,
   tathāpi vidūra-sthitatayā visūrita-pūritatāṃ tat-pratyāgamanam api	taTA-api vidUra--sTita-tayA visUrita-pUrita-tAm tat--pratyAgamanam api
   pratyāyayati | tathā ca sati yathā tāsu virahasya duḥsahatā tathā	pratyAyayati | taTA ca sati yaTA tAsu virahasya duHsaha-tA taTA
   parakīyatākhyāteś ceti khyāpayati | athavā, tām imāṃ tato'py adhikām	parakIyatA-AKyAteH ca-iti KyApayati | aTavA, tAm imAm tatas-api aDikAm
   adhigamayati | tatas tām avaśyam eva naśyantīṃ kariṣyāmīti paryavasāyayati	aDigamayati | tatas tAm avaSyam eva naSyantIm karizyAmi-iti paryavasAyayati
   [68] vṛndā prāha-yuṣmad-bhāvitam evāyuṣmad bhavitā |	[68] vRndA prAha-yuzmat--BAvitam eva-Ayuzmat BavitA |
   [69] pūrṇimāpy āha-	[69] pUrNimA-api Aha-
   śrī-kṛṣṇāsvāditādharāsu vijita-śrīṣu vraja-strīṣu sā	SrI--kRzNA-svAditA-DarAsu vijita---SrIzu vraja--strIzu sA
   māyā-mātra-mayī bhaved vivahanādy-utthā parocchiṣṭatā |	mAyA--mAtra--mayI Bavet vivahana-Adi--utTA para-ucCizwa-tA |
   manyantām ubhayatra bhakti-rahitāḥ satyeti tāṃ durdaśāṃ	manyantAm uBayatra Bakti--rahitAH satyA-iti tAm durdaSAm
   hā dhik tāṃ kim u tat-parāḥ sthiratayā vāñchanti śṛṇvanti ca ||GC_2,3.3||	hA Dik tAm kim u tat--parAH sTira-tayA vAQCanti SRNvanti ca ||GC_2,3.3||
   [70] vṛndā papraccha-māsa-dvayam iha vāsaś cet kathaṃ evaṃ saubhaṃ ca	[70] vRndA papracCa-mAsa--dvayam iha vAsaH ced kaTam evam sOBam ca
   sālvaṃ ca [BhP 10.78.13] ity-ādi-vīkṣayā tasya pratīkṣayā	sAlvam ca [Bhj 10.78.13] iti--Adi--vIkzayA tasya pratIkzayA
   raṇa-raṅga-saṅgatair yadu-saṅghaiḥ sahaiva dvārakāntaḥ-praveśaḥ	raNa-raFga--saFgatEH yadu-saFGEH saha-eva dvArakA-antaH--praveSaH
   sadeśa-rūpaḥ syāt ?	sa-deSa-rUpaH syAt ?
   [71] pūrṇimā sahāsam ivāha sma-na jānāmi | tā imās tasya yogamāyāḥ	[71] pUrNimA sahAsam iva-Aha sma-na jAnAmi | tAH imAH tasya yoga-mAyAH
   prakriyāḥ | yathā brahma-mohanānantaraṃ tad idaṃ darśitam-	prakriyAH | yaTA brahma-mohana-anantaram tat idam darSitam-
   ekasminn api yāte'bde prāṇeśaṃ cāntarātmanaḥ |	ekasmin api yAte-abde prANeSam ca-antarAtmanaH |
   kṛṣṇa-māyā-hatā rājan kṣaṇārdhaṃ menire'rbhakāḥ || [10.14.43] iti |	kRzNa-mAyA--hatAH rAjan kzaNa-arDam menire-arBakAH || [10.14.43] iti |
   [72] vṛndāha-tarhi vrajam āgatya hariṇā cirāya yad yat kṛtam | tat kiṃ	[72] vRndAha-tarhi vrajam Agatya hariNA cirAya yat yat kRtam | tat kim
   dvārakā-vāsibhir na jñātam ?	dvArakA--vAsiBiH na jQAtam ?
   [73] pūrṇimāha-pūrvam ajñātam api dāruka-mukhād avadhārya jñātam anubhūtaṃ	[73] pUrNimA-aha--pUrvam ajQAtam api dAruka-muKAt avaDArya jQAtam anuBUtam
   ca yena tat-prajābhiḥ yarhy ambujākṣāpasasāra iti proktam |	ca yena tat--prajABiH yarhi ambuja-akzApasasAraH iti proktam |
   [74] atha vṛndā sānandāpi samutkaṇṭhayā tataḥ kaṇṭakam uddhartum icchati	[74] aTa vRndA sA-AnandA-api samutkaNWayA tatas kaNwakam udDartum icCati
   sma | yathāha yarhy ambujākṣāpasasāra ity-ādi-rītyā māsa-dvayam uvāsa ha	sma | yaTA-Aha yarhi ambuja-akzApasasAraH iti--Adi--rItyA mAsa--dvayam uvAsa ha
   iti nītyā ca punar vrajād vrajanaṃ vrajarāja-sūnor upalabhyate |	iti nItyA ca punar vrajAt vrajanam vraja-rAja--sUnoH upalaByate |
   [75] pūrṇimovāca-vāci śeṣaya | yad pādma-vācāṃ śeṣaḥ syāt |	[75] pUrNimA-uvAca--vAci SezayaH | yat pAdma-vAcAm SezaH syAt |
   [76] vṛndā ca vācayati sma- atha tatrasthā nandādayaḥ sarve janāḥ	[76] vRndA ca vAcayati sma aTa tatrasTAH nanda-AdayaH sarve janAH
   putra-dāra-sahitāḥ paśu-pakṣi-mṛgādayaś ca vāsudeva-prasādena	putra--dAra--sahitAH paSu--pakzi--mRga-AdayaH ca vAsudeva--prasAdena
   divya-rūpa-dharā vimānam ārūḍhā parama-vaikuṇṭha-lokam avāpur iti | kṛṣṇas	divya-rUpa-DarAH vimAnam ArUXA parama--vEkuNWa--lokam avApuH iti | kRzNas
   tu nanda-gopa-vrajaukasāṃ sarveṣāṃ paramaṃ nirāmayaṃ sva-padaṃ dattvā divi	tu nanda-gopa--vraja-okasAm sarvezAm paramam nirAmayam sva-padam dattvA divi
   deva-gaṇaiḥ saṃstūyamāno dvāravatīṃ viveśa || [PadmaP 6.252.28-29] iti |	deva--gaNEH saMstUyamAnaH dvAravatIm viveSa || [Pat-maP 6.252.28-29] iti |
   [77] punar nibhālya vṛndā tad etad āha-tad etat padam eva mahā-golokākhyaṃ	[77] punar niBAlya vRndA tat etat Aha-tat etat padam eva mahA-goloka-AKyam
   tac ca sarvordhvam eva vartata iti brahma-saṃhitā-vacanaṃ cātra dṛśyate |	tat ca sarva-UrDvam eva vartate iti brahma-saMhitA--vacanam ca-atra dRSyate |
   yathā-	yaTA-
   goloka-nāmni nija-dhāmni tale ca tasya	goloka--nAmni nija--DAmni tale ca tasya
   devi maheśa-hari-dhāmasu teṣu teṣu |	devi maheSa--hari--DAmasu tezu tezu |
   te te prabhāva-nicayā vihitāś ca yena	te te praBAva--nicayAH vihitAH ca yena
   govindam ādi-puruṣaṃ tam ahaṃ bhajāmi ||	govindam Adi-puruzam tam aham BajAmi ||
   tathā mokṣa-dharmasya nārāyaṇīyopākhyāna-vacanaṃ ca-	taTA mokza-Darmasya nArAyaNIya-upAKyAna--vacanam ca-
   evaṃ bahu-vidhai rūpaiś	evam bahu-viDEH rUpa-EH-
   carāmīha vasundharām |	carAmi-iha vasunDarAm |
   brahma-lokaṃ ca kaunteya	brahma-lokam ca kOnteya
   golokaṃ ca sanātanam || [Mbh 12.330.68] iti |	golokam ca sanAtanam || [MB 12.330.68] iti |
   [78] atha punaś ca nirūpya vṛndā savismayam āha-aho ! harivaṃśe	[78] aTa punar ca nirUpya vRndA sa-vismayam Aha-ahaH ! harivaMSe
   govindābhiṣekaṃ racayitum āgatasya śacīpater vacanam idam iti likhitam |	govinda-aBizekam racayitum Agatasya SacIpateH vacanam idam iti liKitam |
   tasya sarvagatatām api śaṃsad dṛśyate, yathā-	tasya sarva-gata-tAm api SaMsat dRSyate, yaTA-
   tasyopari gavāṃ lokaḥ sādhyās taṃ pālayanti hi |	tasya-upari gavAm lokaH sADyAH tam pAlayanti hi |
   sa hi sarva-gataḥ kṛṣṇa mahākāśa-gato mahān ||	sa hi sarva-gataH kRzNa mahAkASa--gataH mahAn ||
   upary upari tatrāpi gatis tava tapomayī |	upari upari tatra-api gatiH tava tapaH-mayI |
   yāṃ na vidmo vayaṃ sarve pṛcchanto'pi pitāmaham || [HV 2.19.31-2| iti |	yAm na vidmaH vayam sarve pRcCantaH-api pitAmaham || [HV 2.19.31-2| iti |
   kintu tad idaṃ viśadyatām |	kintu tat idam viSadyatAm |
   [79] pūrṇimā prāha-sādhyāḥ iti sarveṣām asmākaṃ prasādanīyā ity arthaḥ |	[79] pUrNimA prAha-sADyAH iti sarvezAm asmAkam prasAdanIyAH iti arTaH |
   sarva-gataḥ iti śrī-kṛṣṇa-vigrahavad acintya-śaktitayā vibhur ity arthaḥ |	sarva--gataH iti SrI--kRzNa-vigraha-vat acintya--Sakti-tayA viBuH iti arTaH |
   tathāpi sarvordhvatā tādṛg-upāsakānāṃ tathaiva sphuraṇād iti gamyate |	taTA-api sarva-UrDva-tA tAdRS--upAsakAnAm taTA-eva sPuraNAt iti gamyate |
   mahākāśo brahma ākāśas tal-liṅgāt [Vs 1.1.22] iti nyāyāt | tad-gataḥ iti	mahAkASaH brahma AkASaH tal--liFgAt [VH 1.1.22] iti nyAyAt | tad--gataH iti
