   Viṣṇu_1	VizNu_1
   Viṣṇu 16.03 pratilomāsv ārya-vigarhitāḥ //	VizNu 16.03 pratilomAsu Arya--vigarhitAH //
   Viṣṇu 16.04 tatra vaiśyā-putraḥ śūdreṇa^āyogavaḥ //	VizNu 16.04 tatra vESyA-putraH SUdreNa^AyogavaH //
   Viṣṇu 16.05 pulkasa-māgadhau kṣatriyā-putrau vaiśya-śūdrābhyām //	VizNu 16.05 pulka-sa--mAgaDO kzatriyA--putrO vESya--SUdrAByAm //
   Viṣṇu 16.06 caṇḍāla-vaidehaka-sūtāś ca brāhmaṇī-putrāḥ	VizNu 16.06 caNxAla-vEdehaka-sUtAH ca brAhmaNI--putrAH
   śūdra-viṭ-kṣatriyaiḥ //	SUdra--viw--kzatriyEH //
   Viṣṇu 16.07 saṃkara-saṃkarāś ca^a-saṃkhyeyāḥ //	VizNu 16.07 saMkara--saMkarAH ca^a-saMKyeyAH //
   Viṣṇu 16.08 raṅga-avataraṇam āyogavānām //	VizNu 16.08 raFga--ava-taraNam AyogavAnAm //
   Viṣṇu 16.09 vyādha-tā pulkasānām //	VizNu 16.09 vyADa-tA pulkasAnAm //
   Viṣṇu 16.10 stuti-kriyā māgadhānām //	VizNu 16.10 stuti--kriyA mAgaDAnAm //
   Viṣṇu 16.11 vadhya-ghāti-tvaṃ caṇḍālānām //	VizNu 16.11 vaDya-GAti--tvam caNxAlAnAm //
   Viṣṇu 16.12 strī-raksā taj-jīvanaṃ ca vaidehakānām //	VizNu 16.12 strI--raksA taj-jIvanam ca vEdehakAnAm //
   Viṣṇu 16.13 aśva-sārathyaṃ sūtānām //	VizNu 16.13 aSva--sAraTyam sUtAnAm //
   Viṣṇu 16.14 caṇḍālānāṃ bahir grāma-nivasanaṃ mṛta-caila-dhāraṇam iti	VizNu 16.14 caNxAlAnAm bahis grAma--nivasanam mRta-cEla--DAraNam iti
   viśeṣaḥ //	viSezaH //
   Viṣṇu 16.15 sarveṣāṃ ca samāna-jātibhir vivāhaḥ //	VizNu 16.15 sarvezAm ca samAna---jAtiBiH vivAhaH //
   Viṣṇu 16.16 sva-pitṛ-vitta-anuharaṇaṃ ca //	VizNu 16.16 sva--pitR-vitta--anuharaNam ca //
   Viṣṇu 16.17a/ saṃkare jātayas tv etāḥ pitṛ-mātṛ-pradarśitāḥ /	VizNu 16.17a/ saMkare jAtayaH tu etAH pitR-mAtR--pradarSitAH /
   Viṣṇu 16.17c/ pracchannā vā prakāśā vā veditavyāḥ sva-karmabhiḥ //	VizNu 16.17c/ pracCannAH vA prakASAH vA veditavyAH sva--karmaBiH //
   Viṣṇu 16.18a/ brāhmaṇa-arthe gava-arthe vā deha-tyāgo^an-upaskṛtaḥ /	VizNu 16.18a/ brAhmaNa--arTe gava-arTe vA deha--tyAgaH-^an-upaskRtaH /
   Viṣṇu 16.18c/ strī-bāla-ādy-avapattau ca bāhyānāṃ siddhi-kāraṇam //	VizNu 16.18c/ strI--bAla--Adi--avapattO ca bAhyAnAm sidDi--kAraNam //
   Viṣṇu_17	VizNu_17
   Viṣṇu 17.01 pitā cet putrān vibhajet\ tasya sva-icchā svayam	VizNu 17.01 pitA ced putrAn viBajet\ tasya sva--icCA svayam
   upārjite^arthe //	upArjite^arTe //
   Viṣṇu 17.02 paitāmahe tv arthe pitṛ-putrayos tulyaṃ svāmi-tvam //	VizNu 17.02 pEtAmahe tu arTe pitR-putrayoH tulyam svAmi--tvam //
   Viṣṇu 17.03 pitṛ-vibhaktā vibhāga-anantara-utpannasya bhāgaṃ dadyuḥ\ //	VizNu 17.03 pitR-viBaktA viBAga-anantara--utpannasya BAgam dadyuH\ //
   Viṣṇu 17.04 a-putra-dhanaṃ patny-abhigāmi //	VizNu 17.04 a-putra-Danam patnI--aBigAmi //
   Viṣṇu 17.05 tad-abhāve duhitṛ-gāmi //	VizNu 17.05 tad--aBAve duhitR--gAmi //
   Viṣṇu 17.06 tad-abhāve pitṛ-gāmi //	VizNu 17.06 tad--aBAve pitR--gAmi //
   Viṣṇu 17.07 tad-abhāve mātṛ-gāmi //	VizNu 17.07 tad--aBAve mAtR--gAmi //
   Viṣṇu 17.08 tad-abhāve bhrātṛ-gāmi //	VizNu 17.08 tad--aBAve BrAtR--gAmi //
   Viṣṇu 17.09 tad-abhāve bhrātṛ-putra-gāmi //	VizNu 17.09 tad--aBAve BrAtR--putra--gAmi //
   Viṣṇu 17.10 tad-abhāve bandhu-gāmi //	VizNu 17.10 tad--aBAve banDu--gAmi //
   Viṣṇu 17.11 tad-abhāve sa-kulya-gāmi //	VizNu 17.11 tad--aBAve sa-kulya-gAmi //
   Viṣṇu 17.12 tad-abhāve saha-adhyāyi-gāmi //	VizNu 17.12 tad--aBAve saha--aDyAyi---gAmi //
   Viṣṇu 17.13 tad-abhāve brāhmaṇa-dhana-varjaṃ rāja-gāmi //	VizNu 17.13 tad--aBAve brAhmaNa-Dana--varjam rAja--gAmi //
   Viṣṇu 17.14 brāhmaṇa-artho brāhmaṇānām //	VizNu 17.14 brAhmaNa--arTaH brAhmaNAnAm //
   Viṣṇu 17.15 vānaprastha-dhanam ācāryo gṛhṇīyāt\ //	VizNu 17.15 vAnaprasTa-Danam AcAryaH gRhNIyAt\ //
   Viṣṇu 17.16 śiṣyo vā //	VizNu 17.16 SizyaH vA //
   Viṣṇu 17.17a/ saṃsṛṣṭinas tu saṃsṛṣṭī sa-udarasya tu sa-udaraḥ /	VizNu 17.17a/ saMsRzwinaH tu saMsRzwI sa-udarasya tu sa-udaraH /
   Viṣṇu 17.17c/ dadyād\ apaharec\ ca^aṃśaṃ jātasya ca mṛtasya ca //	VizNu 17.17c/ dadyAd\ apaharec\ ca^aMSam jAtasya ca mRtasya ca //
   Viṣṇu 17.18 pitṛ-mātṛ-suta-bhrātṛ-dattam, adhyagny-upāgatam,	VizNu 17.18 pitR-mAtR-suta--BrAtR-dattam, aDyagni--upAgatam,
   ādhivedanikaṃ, bandhu-dattaṃ, śulkam, anvādheyakam iti strī-dhanam //	ADivedanikaM, banDu--dattan, Sulkam, anvADeyakam iti strI-Danam //
   Viṣṇu 17.19 brāhma-ādiṣu caturṣu vivāheṣv a-prajāyām atītāyāṃ tad-bhartuḥ	VizNu 17.19 brAhma-Adizu caturzu vivAhezu a-prajAyAm atItAyAm tad--BartuH
   Viṣṇu 17.20 śeṣeṣu ca pitā haret\ //	VizNu 17.20 Sezezu ca pitA haret\ //
   Viṣṇu 17.21 sarveṣv eva prasūtāyāṃ yad-dhanaṃ tat duhitṛ-gāmi //	VizNu 17.21 sarvezu eva prasUtAyAm yat--Danam tat duhitR--gAmi //
   Viṣṇu 17.22a/ patyau jīvati\ yaḥ strībhir alaṃ-kāro dhṛto bhavet\ /	VizNu 17.22a/ patyO jIvati\ yaH strIBiH alaM-kAraH DRtaH Bavet\ /
   Viṣṇu 17.22c/ na taṃ bhajeran\ dāyā-dā bhajamānāḥ patanti\ te //	VizNu 17.22c/ na tam Bajeran\ dAyA--dAH BajamAnAH patanti\ te //
   Viṣṇu 17.23a/ aneka-pitṛkāṇāṃ tu pitṛto^aṃśa-prakalpanā /	VizNu 17.23a/ aneka-pitRkANAm tu pitRtaH-^aMSa--prakalpanA /
   Viṣṇu 17.23c/ yasya yat paitṛkaṃ rikthaṃ sa tad gṛhṇīta\ na^itaraḥ //	VizNu 17.23c/ yasya yat pEtRkam rikTam sa tat gRhNIta\ na^itaraH //
   Viṣṇu_18	VizNu_18
   Viṣṇu 18.01 brāhmaṇasya caturṣu varṇeṣu cet putrā bhaveyuḥ\, te paitṛkaṃ	VizNu 18.01 brAhmaNasya caturzu varNezu ced putrAH BaveyuH\, te pEtRkam
   rikthaṃ daśadhā vibhajeyuḥ\ //	rikTam daSaDA viBajeyuH\ //
   Viṣṇu 18.02 tatra brāhmaṇī-putraś caturo^aṃśān ādadyāt\ //	VizNu 18.02 tatra brAhmaNI--putraH caturaH-^aMSAn AdadyAt\ //
   Viṣṇu 18.03 kṣatriyā-putras trīn //	VizNu 18.03 kzatriyA--putraH trIn //
   Viṣṇu 18.04 dvāv aṃśau vaiśyā-putraḥ //	VizNu 18.04 dvO aMSO vESyA-putraH //
   Viṣṇu 18.05 śūdrā-putras tv ekam //	VizNu 18.05 SUdrA--putraH tu ekam //
   Viṣṇu 18.06 atha cet śūdra-varjaṃ brāhmaṇasya putra-trayaṃ bhavet\, tadā	VizNu 18.06 aTa ced SUdra--varjam brAhmaNasya putra-trayam Bavet-\, tadA
   tad-dhanaṃ navadhā vibhajeyuḥ\ //	tad--Danam navaDA viBajeyuH\ //
   Viṣṇu 18.07 varna-anukrameṇa catus-tri-dvi-bhāgī-kṛtān aṃśān ādadyuḥ\ //	VizNu 18.07 varna--anukrameNa catus-tri-dvi-BAgI--kRtAn aMSAn AdadyuH\ //
   Viṣṇu 18.08 vaiśya-varjam aṣṭadhā kṛtaṃ caturas trīn ekaṃ ca^ādadyuḥ\ //	VizNu 18.08 vESya--varjam azwaDA kRtam caturaH trIn ekam ca^AdadyuH\ //
   Viṣṇu 18.09 kṣatriya-varjam saptadhā kṛtaṃ caturo dvāv ekaṃ ca //	VizNu 18.09 kzatriya--varjam saptaDA kRtam caturaH dvO ekam ca //
   Viṣṇu 18.10 brāhmaṇa-varjaṃ ṣaḍdhā kṛtaṃ trīn dvāv ekaṃ ca //	VizNu 18.10 brAhmaNa-varjam zaxDA kRtam trIn dvO ekam ca //
   Viṣṇu 18.11 kṣatriyasya kṣatriyā-vaiśyā-śūdrā-putreṣv ayam eva vibhāgaḥ //	VizNu 18.11 kzatriyasya kzatriyA--vESyA--SUdrA--putrezu ayam eva viBAgaH //
   Viṣṇu 18.12 atha brāhmaṇasya brāhmaṇa-kṣatriyau putrau syātāṃ\, tadā	VizNu 18.12 aTa brAhmaNasya brAhmaNa--kzatriyO putrO syAta-aM\, tadA
   saptadhā kṛtād dhanād brāhmaṇaś caturo^aṃśān ādadyāt\ //	saptaDA kRtAt DanAt brAhmaNaH caturaH-^aMSAn AdadyAt\ //
   Viṣṇu 18.13 trīn rājanyaḥ //	VizNu 18.13 trIn rAjanyaH //
   Viṣṇu 18.14 atha brāhmaṇasya brāhmaṇa-vaiśyau, tadā ṣaḍdhā vibhaktasya	VizNu 18.14 aTa brAhmaNasya brAhmaNa--vESyO, tadA zaxDA viBaktasya
   caturo^aṃśān brāhmaṇas tv ādadyāt\ //	caturaH-^aMSAn brAhmaNaH tu AdadyAt\ //
   Viṣṇu 18.15 dvāv aṃśau vaiśyaḥ //	VizNu 18.15 dvO aMSO vESyaH //
   Viṣṇu 18.16 atha brāhmaṇasya brāhmaṇa-śūdrau putrau syātāṃ\, tadā	VizNu 18.16 aTa brAhmaNasya brAhmaNa--SUdrO putrO syAta-aM\, tadA
   tad-dhanam pañcadhā vibhajeyātām\ //	tad--Danam paQcaDA viBajeya-AtAm\ //
   Viṣṇu 18.17 caturo^aṃśān brāhmaṇas tv ādadyāt\ //	VizNu 18.17 caturaH-^aMSAn brAhmaNaH tu AdadyAt\ //
   Viṣṇu 18.18 ekaṃ śūdraḥ //	VizNu 18.18 ekam SUdraH //
   Viṣṇu 18.19 atha brāhmaṇasya kṣatriyasya vā kṣatriya-vaiśyau putrau	VizNu 18.19 aTa brAhmaNasya kzatriyasya vA kzatriya--vESyO putrO
   syātāṃ\, tadā tad-dhanaṃ pañcadhā vibhajeyātām\ //	syAta-aM\, tadA tad--Danam paQcaDA viBajeya-AtAm\ //
   Viṣṇu 18.20 trīn aṃśān kṣatriyas tv ādadyāt\ //	VizNu 18.20 trIn aMSAn kzatriyaH tu AdadyAt\ //
   Viṣṇu 18.21 dvāv aṃśau vaiśyaḥ //	VizNu 18.21 dvO aMSO vESyaH //
   Viṣṇu 18.22 atha brāhmaṇasya kṣatriyasya vā kṣatriya-śūdrau putrau	VizNu 18.22 aTa brAhmaNasya kzatriyasya vA kzatriya--SUdrO putrO
   syātāṃ\, tadā tad-dhanaṃ caturdhā vibhajeyātām\ //	syAta-aM\, tadA tad--Danam caturDA viBajeya-AtAm\ //
   Viṣṇu 18.23 trīn aṃśān kṣatriyas tv ādadyāt\ //	VizNu 18.23 trIn aMSAn kzatriyaH tu AdadyAt\ //
   Viṣṇu 18.24 ekaṃ śūdraḥ //	VizNu 18.24 ekam SUdraH //
   Viṣṇu 18.25 atha brāhmaṇasya kṣatriyasya vaiśyasya vā vaiśya-śūdrau putrau	VizNu 18.25 aTa brAhmaNasya kzatriyasya vESyasya vA vESya--SUdrO putrO
   syātāṃ\, tadā tad-dhanaṃ tridhā vibhajeyātām\ //	syAta-aM\, tadA tad--Danam triDA viBajeya-AtAm\ //
   Viṣṇu 18.26 dvāv aṃśau vaiśyas tv ādadyāt\ //	VizNu 18.26 dvO aMSO vESyaH tu AdadyAt\ //
   Viṣṇu 18.27 ekaṃ śūdraḥ //	VizNu 18.27 ekam SUdraH //
   Viṣṇu 18.28 atha^eka-putrā brāhmaṇasya brāhmaṇa-kṣatriya-vaiśyāḥ	VizNu 18.28 aTa^eka-putrAH brAhmaNasya brAhmaNa--kzatriya--vESyAH
   sarva-harāḥ //	sarva--harAH //
   Viṣṇu 18.29 kṣatriyasya rājanya-vaiśyau //	VizNu 18.29 kzatriyasya rAjan-ya--vESyO //
   Viṣṇu 18.30 vaiśyasya vaiśyaḥ //	VizNu 18.30 vESyasya vESyaH //
   Viṣṇu 18.31 śūdraḥ śūdrasya //	VizNu 18.31 SUdraH SUdrasya //
   Viṣṇu 18.32 dvi-jātīnāṃ śūdras tv ekaḥ putro^ardha-haraḥ //	VizNu 18.32 dvi-jAtInAm SUdraH tu ekaH putraH-^arDa-haraH //
   Viṣṇu 18.33 a-putra-rikthasya yā gatiḥ, sā^atra^ardhasya dvitīyasya //	VizNu 18.33 a-putra-rikTasya yA gatiH, sA^atra^arDasya dvitIyasya //
   Viṣṇu 18.34 mātaraḥ putra-bhāga-anusāreṇa bhāga-apahāriṇyaḥ //	VizNu 18.34 mAtaraH putra--BAga--anusAreNa BAga-apa-hAriNyaH //
   Viṣṇu 18.35 an-ūḍhāś ca duhitaraḥ //	VizNu 18.35 an-UXAH ca duhitaraH //
   Viṣṇu 18.36 samāna-varṇāḥ putrāḥ samān aṃśān ādadyuḥ\ //	VizNu 18.36 samAna--varNAH putrAH samAn aMSAn AdadyuH\ //
   Viṣṇu 18.37 jyeṣṭhāya śreṣṭham uddhāraṃ dadyuḥ\ //	VizNu 18.37 jyezWAya SrezWam udDAram dadyuH\ //
   Viṣṇu 18.38 yadi dvau brāhmaṇī-putrau syātām\ ekaḥ śūdrā-putraḥ, tadā	VizNu 18.38 yadi dvO brAhmaNI--putrO syAtAm\ ekaH SUdrA--putraH, tadA
   navadhā vibhaktasya^arthasya brāhmaṇī-putrāv aṣṭau bhāgān ādadyātām\ ekaṃ	navaDA viBaktasya^arTasya brAhmaNI--putrO azwO BAgAn AdadyAtAm\ ekam
   śūdrā-putraḥ //	SUdrA--putraH //
   Viṣṇu 18.39 atha śūdrā-putrāv ubhau syātām\ eko brāhmaṇī-putraḥ, tadā	VizNu 18.39 aTa SUdrA--putrO uBO syAtAm\ ekaH brAhmaNI--putraH, tadA
   ṣaḍdhā vibhaktasya^arthasya caturo^aṃśān brāhmaṇas tv ādadyāt\, dvāv aṃśau	zaxDA viBaktasya^arTasya caturaH-^aMSAn brAhmaNaH tu AdadyAt\, dvO aMSO
   śūdrā-putrau //	SUdrA--putrO //
   Viṣṇu 18.40 anena krameṇa^anyatra^apy aṃśa-kalpanā bhavati\ //	VizNu 18.40 anena krameNa^anyatra^api aMSa--kalpanA Bavati\ //
   Viṣṇu 18.41a/ vibhaktāḥ saha jīvanto vibhajeran\ punar yadi /	VizNu 18.41a/ viBaktAH saha jIvantaH viBajeran\ punar yadi /
   Viṣṇu 18.41c/ samas tatra vibhāgaḥ syāj\ jyeiṣṭhyaṃ tatra na vidyate\ //	VizNu 18.41c/ samaH tatra viBAgaH syAj\ jyeizWyam tatra na vidyate\ //
   Viṣṇu 18.42a/ anupaghnan pitṛ-dravyaṃ śrameṇa yad upārjayet\ /	VizNu 18.42a/ anupaGnan pitR-dravyam SrameNa yat upArjayet\ /
   Viṣṇu 18.42c/ svayam īhita-labdhaṃ tan na^a-kāmo dātum\ arhati\ //	VizNu 18.42c/ svayam Ihita-labDam tat na^a-kAmaH dAtum\ arhati\ //
   Viṣṇu 18.43a/ paitṛkaṃ tu yadā dravyam an-avāptaṃ yad āpnuyāt\ /	VizNu 18.43a/ pEtRkam tu yadA dravyam an-avAptam yat ApnuyAt\ /
   Viṣṇu 18.43c/ na tat putrair bhajet\ sa-ardham a-kāmaḥ svayam arjitam //	VizNu 18.43c/ na tat putrEH Bajet\ sa-arDam a-kAmaH svayam arjitam //
   Viṣṇu 18.44a/ vastraṃ patram alaṃkāraḥ kṛta-annam udakaṃ striyaḥ /	VizNu 18.44a/ vastram patram alaMkAraH kRta--annam udakam striyaH /
   Viṣṇu 18.44c/ yoga-kṣemaṃ pracāraś ca na vibhājyaṃ ca pustakam //	VizNu 18.44c/ yoga-kzemam pracAraH ca na viBAjyam ca pustakam //
   Viṣṇu_19	VizNu_19
   Viṣṇu 19.01 mṛtaṃ dvijaṃ na śūdreṇa nirhārayet\ //	VizNu 19.01 mRtam dvijam na SUdreNa nirhArayet\ //
   Viṣṇu 19.02 na śūdraṃ dvijena //	VizNu 19.02 na SUdram dvijena //
   Viṣṇu 19.03 pitaraṃ mātaraṃ ca putrā nirhareyuḥ\ //	VizNu 19.03 pitaram mAtaram ca putrAH nirhareyuH\ //
   Viṣṇu 19.04 na dvijaṃ pitaram api śūdrāḥ //	VizNu 19.04 na dvijam pitaram api SUdrAH //
   Viṣṇu 19.05 brāhmaṇam a-nāthaṃ ye brāhmaṇā nirharanti\ te	VizNu 19.05 brAhmaNam a-nATam ye brAhmaNAH nirharanti\ te
   svarga-loka-bhājaḥ //	svarga--loka--BAjaH //
   Viṣṇu 19.06 nirhṛtya\ ca bāndhavaṃ pretaṃ saṃṣkṛtya^a-pradakṣiṇena citām	VizNu 19.06 nirhRtya\ ca bAnDavam pretam saMzkRtya^a-pradakziNena citAm
   abhigamya\^apsu sa-vāsaso nimajjanaṃ kuryuḥ\ //	aBigamya\^apsu sa-vAsasaH nimajjanam kuryuH\ //
   Viṣṇu 19.07 pretasya^udaka-nirvapaṇaṃ kṛtvā\^ekaṃ piṇḍaṃ kuśeṣu dadyuḥ\ //	VizNu 19.07 pretasya^udaka-nirvapaNam kRtvA\^ekam piNxam kuSezu dadyuH\ //
   Viṣṇu 19.08 privartita-vāsasaś ca nimba-patrāṇi vidaśya\ dvāry aśmani	VizNu 19.08 privartita--vAsasaH ca nimba--patrANi vidaSya\ dvAri aSmani
   pada-nyāsaṃ kṛtvā\ gṛhaṃ praviśeyuḥ\ //	pada-nyAsam kRtvA\ gRham praviSeyuH\ //
   Viṣṇu 19.09 akṣatāṃś ca^agnau kṣipeyuḥ\ //	VizNu 19.09 akzatAn ca^agnO kzipeyuH\ //
   Viṣṇu 19.10 caturthe divase^asthi-saṃcayanaṃ kuryuḥ\ //	VizNu 19.10 caturTe divase^asTi-saMcayanam kuryuH\ //
   Viṣṇu 19.11 teṣāṃ gaṅgā-ambhasi prakṣepaḥ //	VizNu 19.11 tezAm gaFgA--amBasi prakzepaH //
   Viṣṇu 19.12 yāvat saṃkhyam asthi puruṣasya gaṅgā-ambhasi tiṣṭhati\, tāvad	VizNu 19.12 yAvat saMKyam asTi puruzasya gaFgA-amBasi tizWati\, tAvat-
   varṣa-sahasrāṇi svarga-lokam adhitiṣṭhati\ //	varza--sahasrANi svarga--lokam aDitizWati\ //
   Viṣṇu 19.13 yāvad āśaucaṃ tāvat pretasya^udakaṃ piṇḍam ekaṃ ca dadyuḥ\ //	VizNu 19.13 yAvat ASOcam tAvat pretasya^udakam piNxam ekam ca dadyuH\ //
   Viṣṇu 19.14 krīta-labdha-aśanāś ca bhaveyuḥ\ //	VizNu 19.14 krIta-labDa--aSanAH ca BaveyuH\ //
   Viṣṇu 19.15 a-māṃsa-aśanāś ca //	VizNu 19.15 a-mAMsa--aSanAH ca //
   Viṣṇu 19.16 sthaṇḍila-śāyinaḥ //	VizNu 19.16 sTaNxila--SAyinaH //
   Viṣṇu 19.17 pṛthak-śāyinaś ca //	VizNu 19.17 pRTak-SAyinaH ca //
   Viṣṇu 19.18 grāmān niṣkramya\^āśauca-ante kṛta-śmaśru-karmāṇas	VizNu 19.18 grAmAn nizkramya\^ASOca-ante kRta--SmaSru--karmANas
   tila-kalkaiḥ sarṣapa-kalkair vā snātāḥ parivartita-vāsaso gṛhaṃ	tila--kalkEH sarzapa--kalkEH vA snAtAH parivartita--vAsasaH gRham
   praviśeyuḥ\ //	praviSeyuH\ //
   Viṣṇu 19.19 tatra śāntiṃ kṛtvā\ brāhmaṇānāṃ ca pūjanaṃ kuryuḥ\ //	VizNu 19.19 tatra SAntim kRtvA\ brAhmaNAnAm ca pUjanam kuryuH\ //
   Viṣṇu 19.20 devāḥ parokṣa-devāḥ, pratyakṣa-devā brāhmāṇāḥ //	VizNu 19.20 devAH parokza--devAH, pratyakza--devAH brAhmANAH //
   Viṣṇu 19.21 brāhmaṇair lokā dhāryante\ //	VizNu 19.21 brAhmaNEH lokAH DAryante\ //
   Viṣṇu 19.22a/ brāhmaṇānāṃ prasādena divi tiṣṭhanti\ devatāḥ /	VizNu 19.22a/ brAhmaNAnAm prasAdena divi tizWanti\ devatAH /
   Viṣṇu 19.22c/ brāhmaṇa-abhihitaṃ vākyaṃ na mithyā jāyate\ kva-cit //	VizNu 19.22c/ brAhmaNa--aBihitam vAkyam na miTyA jAyate\ kva-cid //
   Viṣṇu 19.23a/ yad brāhmaṇās tuṣṭa-tamā vadanti\ tad devatāḥ	VizNu 19.23a/ yat brAhmaNAH tuzwa-tamA vadanti\ tat devatAH
   pratyabhinandayanti\ /	pratyaBinandayanti\ /
   Viṣṇu 19.23c/ tuṣṭeṣu tuṣṭāḥ satataṃ bhavanti\ pratyakṣa-deveṣu	VizNu 19.23c/ tuzwezu tuzwAH satatam Bavanti\ pratyakza--devezu
   parokṣa-devāḥ //	parokza-devAH //
   Viṣṇu 19.24a/ duḥkha-anvitānāṃ mṛta-bāndhavānām āśvāsanaṃ kuryur\	VizNu 19.24a/ duHKa--anvitAnAm mRta--bAnDavAnAm ASvAsanam kuryuH-\
   adīna-sattvāḥ /	adIna--sattvAH /
   Viṣṇu 19.24c/ vākyais tu yair bhūmi tava^abhidhāsye\ vākyāny ahaṃ tāni	VizNu 19.24c/ vAkyEH tu yEH BUmi tava^aBiDAsye\ vAkyAni aham tAni
   mano^abhirāme\ //	manaH-^aBirAme\ //
   Viṣṇu_20	VizNu_20
   Viṣṇu 20.01 yad uttara-ayaṇaṃ tad ahar devānām //	VizNu 20.01 yat uttara-ayaNam tat ahar devAnAm //
   Viṣṇu 20.02 dakṣiṇa-ayanaṃ rātriḥ //	VizNu 20.02 dakziNa--ayanam rAtriH //
   Viṣṇu 20.03 saṃvatsaro^aho-rātraḥ //	VizNu 20.03 saMvatsaraH-^aho-rAtraH //
   Viṣṇu 20.04 tat-triṃśatā māsāḥ //	VizNu 20.04 tat-triMSatA mAsAH //
   Viṣṇu 20.05 māsā dvādaśa varṣam //	VizNu 20.05 mAsAH dvAdaSa varzam //
   Viṣṇu 20.06 dvādaśa varṣa-śatāni divyāni kali-yugam //	VizNu 20.06 dvAdaSa varza--SatAni divyAni kali--yugam //
   Viṣṇu 20.07 dvi-guṇāni dvāparam //	VizNu 20.07 dvi--guNAni dvAparam //
   Viṣṇu 20.08 tri-guṇāni tretā //	VizNu 20.08 tri-guNAni tretA //
   Viṣṇu 20.09 catur-guṇāni kṛta-yugam //	VizNu 20.09 catur-guNAni kRta--yugam //
   Viṣṇu 20.10 dvādaśa-varṣa-sahasrāṇi divyāni catur-yugam //	VizNu 20.10 dvAdaSa--varza--sahasrANi divyAni catur-yugam //
   Viṣṇu 20.11 catur-yugāṇām eka-saptatir manv-antaram //	VizNu 20.11 catur--yugANAm eka-saptatiH manu--antaram //
   Viṣṇu 20.12 catur-yuga-sahasram ca kalpaḥ //	VizNu 20.12 catur-yuga--sahasram ca kalpaH //
   Viṣṇu 20.13 sa ca pitāmahasya^ahaḥ //	VizNu 20.13 sa ca pitAmahasya^ahar //
   Viṣṇu 20.14 tāvatī ca^asya rātriḥ //	VizNu 20.14 tAvatI ca^asya rAtriH //
   Viṣṇu 20.15 evaṃ-vidhena^aho-rātreṇa māsa-varṣa-gaṇanayā sarvasya^eva	VizNu 20.15 evaM-viDena^aho-rAtreNa mAsa-varza--gaNanayA sarvasya^eva
   brahmaṇo varṣa-śatam āyuḥ //	brahmaNaH varza--Satam AyuH //
   Viṣṇu 20.16 brahma-āyuṣā ca paricchinnaḥ pauruṣo divasaḥ //	VizNu 20.16 brahma--AyuzA ca paricCinnaH pOruzaH divasaH //
   Viṣṇu 20.17 tasya^ante mahā-kalpaḥ //	VizNu 20.17 tasya^ante mahA--kalpaH //
   Viṣṇu 20.18 tāvaty eva^asya niśā //	VizNu 20.18 tAvatI eva^asya niSA //
   Viṣṇu 20.19 paurūṣeyāṇām aho-rātrāṇām atītānāṃ saṃkhyā^eva na^asti\ //	VizNu 20.19 pOrUzeyANAm aho-rAtrANAm atItAnAm saMKyA^eva na^asti\ //
   Viṣṇu 20.20 na ca bhaviṣyāṇām //	VizNu 20.20 na ca BavizyANAm //
   Viṣṇu 20.21 an-ādy-antatvāt kālasya //	VizNu 20.21 an-Adi--anta-tvAt kAlasya //
   Viṣṇu 20.22a/ evam asmin nir-ālambe kāle satata-yāyini /	VizNu 20.22a/ evam asmin nir-Alambe kAle satata-yAyini /
   Viṣṇu 20.22c/ na tad-bhūtaṃ prapaśyāmi\ sthitir yasya bhaved\ dhruvā //	VizNu 20.22c/ na tad--BUtam prapaSyAmi\ sTitiH yasya Bavet-\ DruvAH //
   Viṣṇu 20.23a/ gaṅgāyāḥ sikatā dhārās tathā varṣati\ vāsave /	VizNu 20.23a/ gaFgAyAH sikatAH DArAH taTA varzati\ vAsave /
   Viṣṇu 20.23c/ śakyā gaṇayituṃ loke na vyatītāḥ pitāmahāḥ //	VizNu 20.23c/ SakyAH gaNayitum loke na vyatItAH pitAmahAH //
   Viṣṇu 20.24a/ caturdaśa vinaśyanti\ kalpe kalpe sura-īśvarāḥ /	VizNu 20.24a/ caturdaSa vinaSyanti\ kalpe kalpe sura-ISvarAH /
   Viṣṇu 20.24c/ sarva-loka-pradhānāś ca manavaś ca caturdaśa //	VizNu 20.24c/ sarva-loka--praDAnAH ca manavaH ca caturdaSa //
   Viṣṇu 20.25a/ bahūni^indra-sahasrāṇi daitya-indra-niyutāni ca /	VizNu 20.25a/ bahUni^indra--sahasrANi dEtya--indra--niyutAni ca /
   Viṣṇu 20.25c/ vinaṣtāni^iha kālena manujeṣv atha kā kathā //	VizNu 20.25c/ vinaztAni^iha kAlena manujezu aTa kA kaTA //
   Viṣṇu 20.26a/ rāja-ṛṣayaś ca bahavaḥ sarvaiḥ samuditā guṇaiḥ /	VizNu 20.26a/ rAja-RzayaH ca bahavaH sarvEH samuditAH guNEH /
   Viṣṇu 20.26c/ devā brahma-ṛṣayaś ca^eva kālena nidhanaṃ gatāḥ //	VizNu 20.26c/ devAH brahma-RzayaH ca^eva kAlena niDanam gatAH //
   Viṣṇu 20.27a/ ye samarthā jagaty asmin sṛṣṭi-saṃhāra-kāraṇe /	VizNu 20.27a/ ye samarTAH jagati asmin sRzwi--saMhAra--kAraNe /
