   (Matsumura 186)	(MatsumuraH 186)
   muṣitakānāṃ bhikṣūṇām arthāya kaṭhinam uddhartavyaṃ evaṃ ca punar	muzitakAnAm BikzUNAm arTAya kaWinam udDartavyam evam ca punar-
   uddhartavyaṃ śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya pṛṣtavācikayā	udDartavyam Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya pRzta-vAcikayA
   bhikṣūn samanuyujya sarvasaṃghe sanniṣaṇṇe sannipatite ekena bhikṣuṇā	BikzUn samanuyujya sarva-saMGe sannizaNNe sannipatite ekena BikzuNA
   jñaptiṃ kṛtvā karma kartavyam*	jQaptim kRtvA karma kartavyam*
   Kaṭhina-v 21. śṛṇotu bhadantāḥ saṃgha yāvad evāsminn āvāse samagreṇa	KaWina-u 21. SRNotu BadantAH saMGa yAvat eva-asmin AvAse samagreNa
   saṃghena kaṭhinam āstṛtaṃ saṃbahulāś ca bhikṣavaḥ corair muṣitā āgatāḥ	saMGena kaWinam AstRtam saMbahulAH ca BikzavaH corEH muzitAH AgatAH
   sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaś corair	saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH corEH-
   muṣitakānāṃ bhikṣūṇām arthāya kaṭhinam uddhared ity eṣā jñaptiḥ evaṃ ca	muzitakAnAm BikzUNAm arTAya kaWinam udDaret iti ezA jQaptiH evam ca
   karma kartavyam*	karma kartavyam*
   (Matsumura 207)	(MatsumuraH 207)
   Kaṭhina-v 22a. śṛṇotu bhadantāḥ saṃgha yāvad evāsminn āvāse samagreṇa	KaWina-u 22a. SRNotu BadantAH saMGa yAvat eva-asmin AvAse samagreNa
   saṃghena kaṭhinam āstṛtaṃ saṃbahulāś ca bhikṣavaś corair muṣitakā āgatās	saMGena kaWinam AstRtam saMbahulAH ca BikzavaH corEH muzitakAH Agata-as
   tat saṃghaś corair muṣitakānāṃ bhikṣūṇām arthāya kaṭhinam uddharati yeṣām	tat saMGaH corEH muzitakAnAm BikzUNAm arTAya kaWinam udDarati yezAm
   āyuṣmatāṃ kṣamate coramuṣitakānāṃ bhikṣūṇām arthāya kaṭhinam uddharituṃ te	AyuzmatAm kzamate cora-muzitakAnAm BikzUNAm arTAya kaWinam udDaritum te
   tūṣṇīṃ na kṣamate bhāṣantāṃ uddhṛtaṃ saṃghena coramuṣitakānāṃ bhikṣūṇām	tUzNIm na kzamate BAzantAm udDRtam saMGena cora-muzitakAnAm BikzUNAm
   arthāya kaṭhinaṃ kṣāntam anujñātaṃ saṃghena yasmāt tūṣṇīm evam etad	arTAya kaWinam kzAntam anujQAtam saMGena yasmAt tUzNIm evam etat-
   dhārayāmi /	DArayAmi /
   Kaṭhina-v 22b. tasmād yo lābhaḥ saṃpannaḥ sa bhājayitavyaḥ bhājite	KaWina-u 22b. tasmAt yaH lABaH saMpannaH sa BAjayitavyaH BAjite
   yasyābhipretan tena svakāt pratyaṃśāc cauramuṣitakānāṃ bhikṣūṇāṃ	yasya-aBipretan tena svakAt pratyaMSAt cOra-muzitakAnAm BikzUNAm
   saṃvibhāgaḥ kartavyaḥ // //	saMviBAgaH kartavyaH // //
   uddānam* //	uddAnam* //
   vitaritaṃ vilikhitaṃ ca dhuṭī gaṇḍūṣapaṭṭikā .	vitaritam viliKitam ca DuwI gaNxUza-pawwikA .
   upadhipariṣaṇḍo ca purāṇasannihitaphupphusam* // //	upaDi-parizaNxaH ca purANa-sannihita-PupPu-sam* // //
   Kaṭhina-v 23. āyuṣmān upālī buddhaṃ bhagavantaṃ pṛcchati / labhyaṃ	KaWina-u 23. AyuzmAn upAlI budDam Bagavantam pRcCati / laByam
   bhadanta vitaritena cīvarakeṇa kaṭhinam āstartum* na labhyam upālin*	Badanta vitaritena cIvarakeNa kaWinam Astartum* na laByam upAlin*
   labhyaṃ (Matsumura 208) bhadanta vilikhitena dakaśāṭikācīvareṇa	laByam (MatsumuraH 208) Badanta viliKitena daka-SAwikA-cIvareNa
   gaṇḍūṣacīvareṇa paṭṭikācīvareṇa plotikācīvareṇa pariṣaṇḍācīvareṇa	gaNxUza-cIvareNa pawwikA-cIvareNa plotikA-cIvareNa parizaNxAcIvareNa
   purāṇacīvareṇa (Matsumura 209) sannihitacīvareṇa phupphusacīvareṇa	purANa-cIvareNa (MatsumuraH 209) sannihita-cIvareNa PupPusa-cIvareNa
   kaṭhinam āstartuṃ na labhyam upālin* // //	kaWinam Astartum na laByam upAlin* // //
   (Matsumura 210)	(MatsumuraH 210)
   uddānam* // //	uddAnam* // //
   marditaṃ cāpy akālena pudgalasya tṛcīvaram*	marditam ca-api akAlena pudgalasya tRcIvaram*
   akalpikam asaṃcchanaṃ na kuryād ūnapaṃcakam*	akalpikam asaMcCanam na kuryAt Una-paMcakam*
   asaṃmatam anāstṛtaṃ bahiḥsīme na rohati // //	asaMmatam anAstRtam bahis-si-ime na rohati // //
   Kaṭhina-v 24. āyuṣmān (278r1 = GBM 6.868) upālī buddhaṃ bhagavantaṃ	KaWina-u 24. AyuzmAn (278r1  GBm 6.868) upAlI budDam Bagavantam
   pṛcchati labhyaṃ bhadanta marditena cīvareṇa kaṭhinam āstartuṃ na labhyam	pRcCati laByam Badanta marditena cIvareNa kaWinam Astartum na laByam
   upālin* labhyaṃ bhadanta akālacīvareṇa paudgalikayā saṃghāṭyā (Matsumura	upAlin* laByam Badanta akAla-cIvareNa pOdgalikayA saMGAwyA (Matsumura
   211) uttarāsaṃgena antarvāsena akalpikena cīvareṇa acchinakena	211) uttarA-saMgena antar-vAsena akalpikena cIvareNa acCinakena
   ūnapaṃcakena asammatena cīvareṇa asammatena (Matsumura 212)	UnapaMcakena asammatena cIvareNa asammatena (MatsumuraH 212)
   kaṭhināstārakena bahiḥsīmāsammatena kaṭhinacīvareṇa bahiḥsīmāsaṃmatena	kaWinAH-tArakena bahis-sImA-sammatena kaWina-cIvareNa bahis-sIm-A-saMmatena
   kaṭhināstārakena kaṭhinam āstartuṃ na labhyam upālin* // //	kaWinAH-tArakena kaWinam Astartum na laByam upAlin* // //
   (Matsumura 213)	(MatsumuraH 213)
   uddānam* // //	uddAnam* // //
   kālikaṃ cāpi traimāsyam ahantaṃ caiva kalpikam*	kAlikam ca-api trEmAsyam ahantam ca-eva kalpikam-*
   ātyayikaṃ pailotikaṃ pudgalasya tṛcīvaram* // //	Atyayikam pElotikam pudgalasya tRcIvaram* // //
   Kaṭhina-v 25. labhyaṃ bhadanta kālikena cīvareṇa saṃghasya kaṭhinam	KaWina-u 25. laByam Badanta kAlikena cIvareNa saMGasya kaWinam
   āstartuṃ labhyaṃ upālin* yo bhadanta traimāsyātyayāt saṃghasya	Astartum laByam upAlin* yaH Badanta trEmAsya-atyayAt saMGasya
   cīvaralābhaḥ saṃpadyate tena labhyaṃ kaṭhinam āstartuṃ labhyam upāliṃ	cIvara-lABaH saMpadyate tena laByam kaWinam Astartum laByam upAlim
   ahatacīvareṇa labhyaṃ ahatakalpitena labhyaṃ ātyayikacīvareṇa labhyaṃ	ahata-cIvareNa laByam ahata-kalpitena laByam Atyayika-cIvareNa laByam
   paulotikacīvareṇa labhyaṃ paulotikayā (Matsumura 214) saṃghāṭyā na labhyaṃ	pOlotika-cIvareNa laByam pOlotikayA (MatsumuraH 214) saMGAwyA na laByam
   labhyaṃ bhadanta paudgalikayā saṃghāṭyā kaṭhinam āstartuṃ labhyam upālin	laByam Badanta pOdgalikayA saMGAwyA kaWinam Astartum laByam upAlin
   sacet saṃghe nisṛṣṭā bhavati evam uttarāsaṃgenāntarvāsena // //	saced saMGe nisRzwA Bavati evam uttarAsaMgena-antar-vAsena // //
   (Matsumura 215)	(MatsumuraH 215)
   uddānam* // //	uddAnam* // //
   paudgalikaṃ gārhāpatakaṃ paṃcakaṃ sādhikapaṃcikaṃ	pOdgalikam gArhApatakam paMcakam sADika-paMcikam
   saṃmatam āstṛtaṃ caiva antaḥsīme ca rohau // //	saMmatam AstRtam ca-eva antar-sIme ca rohO // //
   Kaṭhina-v 26. labhyaṃ bhadanta paudgalikena cīvareṇa kaṭhinam āstartuṃ na	KaWina-u 26. laByam Badanta pOdgalikena cIvareNa kaWinam Astartum na
   labhyam upāliṃ labhyaṃ sacet saṃghe nisṛṣṭaṃ bhavati gṛhapaticīvareṇa na	laByam upAlim laByam saced saMGe nisRzwam Bavati gRhapati-cIvareNa na
   labhyaṃ labhyaṃ sacet saṃghe nisṛṣṭaṃ (Matsumura 216) bhavati paṃcakena	laByam laByam saced saMGe nisRzwam (MatsumuraH 216) Bavati paMcakena
   labhyaṃ sādhikena paṃcakena labhyaṃ sammatena kaṭhinacīvareṇa	laByam sADikena paMcakena laByam sammatena kaWina-cIvareNa
   kaṭhināstārakena labhyaṃ antaḥsīmāsammatena kaṭhinacīvareṇa labhyaṃ	kaWinAH-tArakena laByam antar-sImA-sammatena kaWina-cIvareNa laByam
   antaḥsīmāsammatena kaṭhināstārakena labhyaṃ	antar-sImA-sammatena kaWinAH-tArakena laByam
   Kaṭhina-v 27. aṣṭau mātṛkāpadāni kaṭhinoddhārāya saṃvartante katame 'ṣṭau	KaWina-u 27. azwO mAtRkA-padAni kaWina-udDArAya saMvartante katame azwO
   prakramaṇaṃ niṣṭhāpanaṃ sanniṣṭhāpanaṃ nāśanaṃ śravaṇaṃ sīmātikrāntaṃ	prakramaNam nizWApanam sannizWApanam nASanam SravaNam sImA-atikrAntam
   (Matsumura 217) āśācchedakaṃ kaṭhinoddhāram evāṣṭamam* prakramaṇāntikaḥ	(MatsumuraH 217) ASAcCedakam kaWina-udDAram eva-azwamam* prakramaNa-antikaH
   kaṭhinoddhārā niṣṭhāpanāntikaḥ sanniṣṭhāpanāntikaḥ nāśanāntikaḥ	kaWina-udDArA nizWA-apana-antikaH sannizWApana-antikaH nASana-antikaH
   śravaṇāntikaḥ sīmātikrāntikaḥ āśācchedakaḥ kaṭhinoddhāram evāṣṭamam*	SravaNa-antikaH sImA-atikrAntikaH ASAt-CedakaH kaWina-udDAram eva-azwamam*
   Kaṭhina-v 28. prakramaṇāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 28. prakramaNa-antikaH kaWina-udDAraH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād āvāsāt* akṛtacīvaro 'niṣṭhitacīvaraḥ samādāya pātracīvaraṃ	AstIrNa-kaWinAt AvAsAt* akRta-cIvaraH anizWita-cIvaraH samAdAya pAtra-cIvaram
   bahiḥsīmāṃ prakramaty apunarāgamanāya tasya prakramaṇāntikaḥ	bahis-si-imAm prakramati apunarAgamanAya tasya prakramaNa-antikaH
   kaṭhinoddhāraḥ	kaWina-udDAraH
   (Matsumura 218)	(MatsumuraH 218)
   Kaṭhina-v 29. niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 29. nizWApana-antikaH kaWina-udDAraH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād āvāsād akṛtacīvaro 'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati	AstIrNa-kaWinAt AvAsAt akRta-cIvaraH anizWita-cIvaraH bahis-si-imAm prakrAmati
   pratyeṣyāmi cīvaraṃ kariṣyāmīti tasyaivaṃ bhavati na haiva pratyeṣyāmy api	pratyezyAmi cIvaram karizyAmi-iti tasya-evam Bavati na ha-eva pratyezyAmi api
   tu cīvaraṃ kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	tu cIvaram karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH
   Kaṭhina-v 30. sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad	KaWina-u 30. sannizWApana-antikaH kaWina-udDAraH katamaH yaTA-api tat-
   bhikṣur (Matsumura 219) āstīrṇakaṭhinād āvāsād akṛtacīvaro	BikzuH (MatsumuraH 219) AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmīti /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi-iti /
   tasyaivaṃ bhavati na haiva pratyeṣyāmi nāpi cīvaraṃ kariṣyāmīti tasya	tasya-evam Bavati na ha-eva pratyezyAmi na-api cIvaram karizyAmi-iti tasya
   sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	sannizWApana-antikaH kaWina-udDAraH //
   Kaṭhina-v 31. nāśanāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 31. nASana-antikaH kaWina-udDAraH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād (Matsumura 220) āvāsād akṛtacīvaro 'niṣṭhitacīvaraḥ	AstIrNa-kaWinAt (MatsumuraH 220) AvAsAt akRta-cIvaraH anizWita-cIvaraH
   bahiḥsīmāṃ prakrāmati pratyeṣyāmi (278v1 = GBM 6.869) cīvaraṃ kariṣyāmi /	bahis-si-imAm prakrAmati pratyezyAmi (278v1  GBm 6.869) cIvaram karizyAmi /
   tasyaivaṃ bhavati na haiva pratyeṣyāmi api tu cīvaraṃ kariṣyāmīti sa tad	tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram karizyAmi-iti sa tat-
   ārabhate ārabdhaṃ tu naśyati tasya nāśanāntikaḥ kaṭhinoddhāraḥ	AraBate ArabDam tu naSyati tasya nASana-antikaH kaWina-udDAraH
   Kaṭhina-v 32. śravaṇāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣuḥ	KaWina-u 32. SravaNa-antikaH kaWina-udDAraH katamaH yaTA-api tat BikzuH
   āstīrṇakaṭhinād āvāsād akṛtacīvaro 'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati	AstIrNa-kaWinAt AvAsAt akRta-cIvaraH anizWita-cIvaraH bahis-si-imAm prakrAmati
   pratyeṣyāmi cīvaraṃ kariṣyāmi samagreṇa ca saṃghena kaṭhinam uddhṛtaṃ sa	pratyezyAmi cIvaram karizyAmi samagreNa ca saMGena kaWinam udDRtam sa
   śṛṇoti samagreṇa saṃghena kaṭhinam uddhṛtam iti śrutvā cābhyanumodate	SRNoti samagreNa saMGena kaWinam udDRtam iti SrutvA ca-aByanumodate
   sādhūddhṛtaṃ suṣṭhūddhṛtam iti / tasya śravaṇāntikaḥ kaṭhinoddhāraḥ	sADu-udDRtam suzWu-udDRtam iti / tasya SravaNa-antikaH kaWina-udDAraH
   (Matsumura 221)	(MatsumuraH 221)
   Kaṭhina-v 33. sīmātikrāntikaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 33. sImA-atikrAntikaH kaWina-udDAraH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād āvāsād akṛtacīvaro 'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati	AstIrNa-kaWinAt AvAsAt akRta-cIvaraH anizWita-cIvaraH bahis-si-imAm prakrAmati
   pratyeṣyāmi na pratyeṣyāmīti sīmāṃ cātikrāmati tasya sīmātikrāntikaḥ	pratyezyAmi na pratyezyAmi-iti sImAm ca-atikrAmati tasya sImA-atikrAntikaH
   kaṭhinoddhāraḥ	kaWina-udDAraH
   Kaṭhina-v 34. āśācchedakaḥ kaṭhinoddhāraḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 34. ASAt-CedakaH kaWina-udDAraH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād āvāsād akṛtacīvaro 'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati	AstIrNa-kaWinAt AvAsAt akRta-cIvaraH anizWita-cIvaraH bahis-si-imAm prakrAmati
   pratyeṣyāmi cīvaraṃ kariṣyāmīti tasya yā sā cīvarapratyāśā sā sarveṇa	pratyezyAmi cIvaram karizyAmi-iti tasya yA sA cIvara-pratyASA sA sarveNa
   sarvaṃ samucchidyate tasyāśācchedakaḥ kaṭhinoddhāraḥ	sarvam samucCidyate tasya-ASAcCedakaH kaWina-udDAraH
   Kaṭhina-v 35. kaṭhinoddhāra evāṣṭamaḥ katamaḥ yathāpi tad bhikṣur	KaWina-u 35. kaWina-udDAraH eva-azwamaH katamaH yaTA-api tat BikzuH-
   āstīrṇakaṭhinād (Matsumura 222) āvāsād akṛtacīvaro 'niṣṭhitacīvaro	AstIrNa-kaWinAt (MatsumuraH 222) AvAsAt akRta-cIvaraH anizWita-cIvaraH-
   bahiḥsīmāṃ prakrāmati cāgatya kaṭhinoddhāraḥ pratyanubhavati tasya	bahis-si-imAm prakrAmati ca-Agatya kaWina-udDAraH pratyanuBavati tasya
   kaṭhinodhāra evāṣṭamaḥ // //	kaWinoDAraH eva-azwamaH // //
   uddānam* //	uddAnam* //
   akṛtena hi viṃśati vikṛtena hi viṃśati .	akRtena hi viMSati vikRtena hi viMSati .
   āśayā viṃśatiṃ kuryād anāsayā caiva viṃśikām* // //	ASayA viMSatim kuryAt anAsayA ca-eva viMSi-kAm* // //
   Kaṭhina-v 36. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 36. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmīti /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi-iti /
   tasyaivaṃ bhavati na haiva pratyeṣyāmi api tu cīvaraṃ kariṣyāmīti tasya	tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram karizyAmi-iti tasya
   niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	nizWApana-antikaH kaWina-udDAraH
   Kaṭhina-v 37. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 37. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmi /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi /
   tasyaivaṃ bhavati na haiva pratyeṣyāmi nāpi cīvaraṃ kariṣyāmīti tasya	tasya-evam Bavati na ha-eva pratyezyAmi na-api cIvaram karizyAmi-iti tasya
   sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	sannizWApana-antikaH kaWina-udDAraH
   (Matsumura 223)	(MatsumuraH 223)
   Kaṭhina-v 38. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 38. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmīti /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi-iti /
   sa tad ārabhate ārabdhaṃ cāsya naśyati tasya nāśanāntikaḥ kaṭhinoddhāraḥ /	sa tat AraBate ArabDam ca-asya naSyati tasya nASana-antikaH kaWina-udDAraH /
   Kaṭhina-v 39. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 39. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvarakaṃ kariṣyāmīti /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvarakam karizyAmi-iti /
   samagreṇa ca saṃghena kaṭhinam uddhṛtaṃ sa śṛṇoti samagreṇa saṃghena	samagreNa ca saMGena kaWinam udDRtam sa SRNoti samagreNa saMGena
   kaṭhinam uddhṛtam iti śrutvā cābhyanumodate sādhūddhṛtaṃ suṣṭhūddhṛtam iti	kaWinam udDRtam iti SrutvA ca-aByanumodate sADu-udDRtam suzWu-udDRtam iti
   / tasya śravaṇāntikaḥ kaṭhinoddhāra-m-iti //	/ tasya SravaNa-antikaH kaWina-udDAra-m-iti //
   Kaṭhina-v 40. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 40. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati / pratyeṣyāmi cīvaraṃ kariṣyāmi	anizWita-cIvaraH bahis-si-imAm prakrAmati / pratyezyAmi cIvaram karizyAmi
   tasya tatra gatasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ	tasya tatra gatasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram
   kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH //
   Kaṭhina-v 41. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 41. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmi /	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi /
   tasya tatra gatasyaivaṃ bhavati (279r1 = GBM 6.870) na haiva pratyeṣyāmi	tasya tatra gatasya-evam Bavati (279r1  GBm 6.870) na ha-eva pratyezyAmi
   nāpi cīvaraṃ kariṣyāmīti tasya sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	na-api cIvaram karizyAmi-iti tasya sannizWApana-antikaH kaWina-udDAraH
   Kaṭhina-v 42. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 42. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmīti sa	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi-iti sa
   tatra gata ārabhate ārabdhaṃ cāsya naśyati tasya nāśanāntikaḥ	tatra gataH AraBate ArabDam ca-asya naSyati tasya nASana-antikaH
   kaṭhinoddhāraḥ	kaWina-udDAraH
   (Matsumura 224)	(MatsumuraH 224)
   Kaṭhina-v 43. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 43. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi cīvaraṃ kariṣyāmīti	anizWita-cIvaraH bahis-si-imAm prakrAmati pratyezyAmi cIvaram karizyAmi-iti
   samagreṇa ca saṃghena kaṭhinam uddhṛtaṃ sa śṛṇoti samagreṇa saṃghena	samagreNa ca saMGena kaWinam udDRtam sa SRNoti samagreNa saMGena
   kaṭhinam uddhṛtam iti / sa śrutvā cābhyanumodate sādhūddhṛtaṃ	kaWinam udDRtam iti / sa SrutvA ca-aByanumodate sADu-udDRtam
   suṣṭhūddhṛtam iti tasya śrāvaṇāntikaḥ kaṭhinoddhāraḥ //	suzWu-udDRtam iti tasya SrAvaNa-antikaH kaWina-udDAraH //
   Kaṭhina-v 44. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 44. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasantati bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDasantati bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti tasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ	cIvaram karizyAmi-iti tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram
   kariṣyāmīti / tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	karizyAmi-iti / tasya nizWApana-antikaH kaWina-udDAraH //
   Kaṭhina-v 45. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 45. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasantatiḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDa-santatiH bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti / tasyaivaṃ bhavati na haiva pratyeṣyāmi nāpi cīvaraṃ	cIvaram karizyAmi-iti / tasya-evam Bavati na ha-eva pratyezyAmi na-api cIvaram
   kariṣyāmīti tasya sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ // 10 //	karizyAmi-iti tasya sannizWApana-antikaH kaWina-udDAraH // 10 //
   Kaṭhina-v 46. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 46. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasantati bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDasantati bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti / sa tad ārabhate ārabdhaṃ cāsya naśyati tasya	cIvaram karizyAmi-iti / sa tat AraBate ArabDam ca-asya naSyati tasya
   nāśanāntikaḥ kaṭhinoddhāraḥ //	nASana-antikaH kaWina-udDAraH //
   Kaṭhina-v 47. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 47. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ (Matsumura 225) paligodhasantatir bahiḥsīmāṃ prakrāmati	anizWita-cIvaraH (MatsumuraH 225) pali-goDa-santatiH bahis-si-imAm prakrAmati
   pratyeṣyāmi cīvaraṃ kariṣyāmīti / samagreṇa ca saṃghena kaṭhinam uddhṛtam*	pratyezyAmi cIvaram karizyAmi-iti / samagreNa ca saMGena kaWinam udDRtam*
   sa śṛṇoti samagreṇa saṃghena kaṭhinam uddhṛtam iti śrutvā cābhyanumodate /	sa SRNoti samagreNa saMGena kaWinam udDRtam iti SrutvA ca-aByanumodate /
   sādhūddhṛtaṃ suṣṭhūddhṛtam iti // tasya śrāvaṇāntikaḥ kaṭhinoddhāraḥ //	sADu-udDRtam suzWu-udDRtam iti // tasya SrAvaNa-antikaH kaWina-udDAraH //
   Kaṭhina-v 48. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 48. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasaṃtati bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDa-saMtati bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti / tasya tatra gatasyaivaṃ bhavati na haiva pratyeṣyāmi	cIvaram karizyAmi-iti / tasya tatra gatasya-evam Bavati na ha-eva pratyezyAmi
   api tu cīvarakaṃ kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	api tu cIvarakam karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH //
