   Sekoddeśaḥ	Seka-uddeSaH
   kalā ṣoḍaśamā tasya uṣṇīṣakamale gatā /	kalA zoxaSamA tasya uzNIza-kamale gatAH /
   naṣṭacandra ihākhyāto viraktī rāgasaukhyataḥ // Sekoddeśa_85 //	nazwa-candraH iha-AKyAtaH viraktiH rAga-sOKyataH // Seka-uddeSaH-_85 //
   adhaścandrāmṛtaṃ yāti maraṇe sarvadehinām /	aDas-candra-amRtam yAti maraNe sarva-dehinAm /
   ūrdhve sūryarajo rāhuvijñānaṃ bhāvalakṣaṇe // Sekoddeśa_86 //	UrDve sUrya-rajaH rAhu-vijQAnam BAva-lakzaNe // Seka-uddeSaH-_86 //
   ataścandrāmṛtasyordhve kartavyaṃ gamanaṃ nṛpa /	atas-candra-amRtasya-UrDve kartavyam gamanam nRpa /
   adho 'rkarajaso rāhuvijñānasyākṣare sukhe // Sekoddeśa_87 //	aDas arka-rajasaH rAhu-vijQAnasya-akzare suKe // Seka-uddeSaH-_87 //
   ūrṇṇābje sarvabuddhānāṃ candrāmṛtasya pūrṇimā /	UrNNa-abje sarva-budDAnAm candra-amRtasya pUrNimA /
   amārkarajaso guhye kaloṣṇīṣe maṇau tayoḥ // Sekoddeśa_88 //	amArka-rajasaH guhye kala-uzNIze maNO tayoH // Seka-uddeSaH-_88 //
   iti vajrapadaṃ śāsturviparītaṃ sarvadehinām /	iti vajra-padam SAstuH-viparItam sarva-dehinAm /
   apratiṣṭhitanirvāṇādviparītaṃ yānti dhātavaḥ // Sekoddeśa_89 //	apratizWita-nirvANAt-viparItam yAnti DAtavaH // Seka-uddeSaH-_89 //
   maṇau cittaṃcaguhye vākkāyo nābhau mahāsukhāt /	maNO cittaMca-guhye vAkkAyaH nABO mahA-suKAt /
   dharmasambhoganirmāṇāḥ śuddhakāyāt spharantyamī // Sekoddeśa_90 //	Darma-samBoga-nirmANAH SudDa-kAyAt sParanti-amI // Seka-uddeSaH-_90 //
   adhopāyasya rājendra prajñāyāūrdhvato bhavet /	aDopAyasya rAja-indra prajQAyAH-UrDvataH Bavet /
   lalāṭe kāyavajramasyā grīvahṛnnābhipaṅkaje // Sekoddeśa_91 //	lalAwe kAya-vajram-asyAH grIva-hRd-nABi-paFkaje // Seka-uddeSaH-_91 //
   vākcittajñānavajrāṇi nirmāṇādyāt spharantyamī /	vAc-citta-jQAna-vajrANi nirmANAt-yAt sParanti-amI /
   spharaṇaṃ skandhadhātūnāṃ nirāvaraṇataḥ sukhāt // Sekoddeśa_92 //	sParaNam skanDa-DAtUnAm nirAvaraNataH suKAt // Seka-uddeSaH-_92 //
   karmamudrāsamāpattyā jñānamudrāvalambanaiḥ /	karma-mudrA-samApattyA jQAna-mudrA-avalambanEH /
   mahāmudraikayogena vṛddhiṃ yāti tadakṣaram // Sekoddeśa_93 //	mahAmudra-eka-yogena vRdDim yAti tat-akzaram // Seka-uddeSaH-_93 //
   vṛddhasya na ca syāt vṛddhiḥ kṣīṇasya kṣīṇatā na ca /	vRdDasya na ca syAt vRdDiH kzINasya kzINa-tA na ca /
   astaṃgatasya nāstamanamuditasyodayaṃ na hi // Sekoddeśa_94 //	astaMgatasya na-astamanam-uditasya-udayam na hi // Seka-uddeSaH-_94 //
   na prakāśaḥ prakāśasya pihitaṃ pihitasya na /	na prakASaH prakASasya pihitam pihitasya na /
   jātasyaiva na janma syān mṛtasya maraṇaṃ na ca // Sekoddeśa_95 //	jAtasya-eva na janma syAt mRtasya maraNam na ca // Seka-uddeSaH-_95 //
   muktasya na ca muktiḥ syādasthitasya ca cāsthitiḥ /	muktasya na ca muktiH syAt-asTitasya ca ca-AsTitiH /
   abhāvo na hyabhāvasya bhāvo bhāvasya naiva ca // Sekoddeśa_96 //	aBAvaH na hi-aBAvasya BAvaH BAvasya na-eva ca // Seka-uddeSaH-_96 //
   kṣarasyāpi kṣaro na syādakṣarasya na cākṣaraḥ /	kzarasya-api kzaraH na syAt-akzarasya na ca-akzaraH /
   svabhāvābhāvadharmāṇāṃ māyotpādaḥ kṣayastathā // Sekoddeśa_97 //	svaBAva-aBAva-DarmANAm mAyA-utpAdaH kzayaH-taTA // Seka-uddeSaH-_97 //
   na kṣayaṃ yānti bhūtāni na jāyante svabhāvataḥ /	na kzayam yAnti BUtAni na jAyante svaBAvataH /
   niḥsvabhāvamidaṃ viśvaṃ bhāvābhāvaikalakṣaṇam // Sekoddeśa_98 //	niHsvaBAvam-idam viSvam BAva-aBAva-eka-lakzaNam // Seka-uddeSaH-_98 //
   svaprajñāliṅgitaṃ cittaṃ padme vajramaṇau gatam /	sva-prajQA-liFgitam cittam padme vajra-maNO gatam /
   tatra candragataspando niḥspandākṣarabhāvanā // Sekoddeśa_99 //	tatra candra-gata-spandaH niHspanda-akzara-BAvanA // Seka-uddeSaH-_99 //
   kāyavākcittanāḍīṣu kāyavākcittabhāvanā /	kAya-vAc-citta-nAxIzu kAya-vAc-citta-BAvanA /
   samāhārastrivajrāṇāṃ śaṅkhinyāṃ jñānabhāvanā // Sekoddeśa_100 //	samAhAraH-tri-vajrANAm SaFKinyAm jQAna-BAvanA // Seka-uddeSaH-_100 //
   prajñārāgadrutānāṃ ca bindūnāṃ śirasaḥ kramāt /	prajQA-rAga-drutAnAm ca bindUnAm SirasaH kramAt /
   pūrṇāpadaṃ praviṣṭānāṃ bandhanaṃ paramārthataḥ // Sekoddeśa_101 //	pUrNa-Apadam pravizwAnAm banDanam paramArTataH // Seka-uddeSaH-_101 //
   yathoditaḥ kramāccandraḥ kalābhiryāti pūrṇatām /	yaTA-uditaH kramAt-candraH kalABiH-yAti pUrNa-tAm /
   vāsanāharaṇaṃ pūrṇānacandracchedo na pūraṇam // Sekoddeśa_102 //	vAsanA-AharaNam pUrNAna-candra=-CedaH na pUraNam // Seka-uddeSaH-_102 //
   tathoditaṃ kramājjñānaṃ bhūmibhiryāti pūrṇatām /	taTA-uditam kramAt-jQAnam BUmiBiH-yAti pUrNa-tAm /
   kleśādyāharaṇaṃ pūrṇānajñānacchedo na pūraṇam // Sekoddeśa_103 //	kleSa-Adi-AharaNam pUrNAna-jQAna=-CedaH na pUraNam // Seka-uddeSaH-_103 //
   yathā madhyaśaśāṅkena pūrṇāyāṃ na sthiraḥ śaśī /	yaTA maDya-SaSAFkena pUrNAyAm na sTiraH SaSI /
   saṃsāravāsanāṅkena tathā cittaṃ sukhe 'kṣare // Sekoddeśa_104 //	saMsAra-vAsanA-aFkena taTA cittam suKe akzare // Seka-uddeSaH-_104 //
   utpattiḥ pralayaḥ pakṣaḥśuklaḥkṛṣṇaḥ pratiṣṭhitaḥ /	utpattiH pralayaH pakzaH-SuklaH-kRzNaH pratizWitaH /
   tayormadhye tu yā pūrṇā sā pūrṇā na pratiṣṭhitā // Sekoddeśa_105 //	tayoH-maDye tu yA pUrNA sA pUrNA na pratizWitAH // Seka-uddeSaH-_105 //
   ekakṣaṇābhisambuddhaṃ pūrṇāyāṃ niścalaṃ bhavet /	eka-kzaNa-aBisambudDam pUrNAyAm niScalam Bavet /
   yadā vajramaṇau citaṃ tat sarvakṣaṇapūrakam // Sekoddeśa_106 //	yadA vajra-maNO citam tat sarva-kzaNa-pUrakam // Seka-uddeSaH-_106 //
   na sthitiḥ śuklapakṣe 'sya gamanaṃ nāsite kvacit /	na sTitiH Sukla-pakze asya gamanam na-asite kvacid /
   pakṣadvayasya madhyasthaṃ pūrṇāyāṃ gatamadvayam // Sekoddeśa_107 //	pakza-dvayasya maDya-sTam pUrNAyAm gatam-advayam // Seka-uddeSaH-_107 //
   uṣṇīṣādudayaṃ tasya pūrṇā vajramaṇau bhavet /	uzNIzAt-udayam tasya pUrNA vajra-maNO Bavet /
   savirāgāt kalāhānirvajrāddhāneḥ prapūrṇatā // Sekoddeśa_108 //	sa-virAgAt kalA-hAniH-vajrAt-DAneH prapUrNa-tA // Seka-uddeSaH-_108 //
   uṣṇīse hyudayo bhūyaḥ pūrṇā vajramaṇau punaḥ /	uzNIse hi-udayaH BUyas pUrNA vajra-maNO punar /
   savirāgāt kalāhānirjñānahānirna dehinām // Sekoddeśa_109 //	sa-virAgAt kalA-hAniH-jQAna-hAniH-na dehinAm // Seka-uddeSaH-_109 //
   mahāsukhasvabhāvo 'sya pūrṇāśabdena gīyate /	mahA-suKa-svaBAvaH asya pUrNA-Sabdena gIyate /
   anyabhāvāntaraṃ sarvaṃ sṛṣṭisaṃhārahetukam // Sekoddeśa_110 //	anya-BAva-antaram sarvam sRzwi-saMhAra-hetukam // Seka-uddeSaH-_110 //
   bhavādgacchati nirvāṇaṃ tasmādeti punarbhavam /	BavAt-gacCati nirvANam tasmAt-eti punarBavam /
   svapakṣābhyāṃ yathāṃ candro 'yanābhyāṃ bhāskaro yathā // Sekoddeśa_111 //	sva-pakzAByAm yaTAm candraH ayanAByAm BAskaraH yaTA // Seka-uddeSaH-_111 //
   pūrṇāyāṃ niścalasyāsya bhūmibhiḥ paripūrṇatā /	pUrNAyAm niScalasya-asya BUmiBiH paripUrNa-tA /
   dvyayutadvyaṣṭaśataiḥ śvāsairakṣarakṣaṇabhakṣitaiḥ // Sekoddeśa_112 //	dvi-ayutat-vyazwa-SatEH SvAsEH-akza-rakzaNa-BakzitEH // Seka-uddeSaH-_112 //
   pakṣadvayaṃ vyatikramya bhūmibhiḥ paripūritam /	pakza-dvayam vyatikramya BUmiBiH paripUritam /
   dvādaśākārasatyārthaṃ ṣoḍaśākāramakṣaram // Sekoddeśa_113 //	dvAdaSa-AkAra-satya-arTam zoxaSa-AkAram-akzaram // Seka-uddeSaH-_113 //
   bhūmibhirdvādaśākāraṃ pūritaṃ paramādvayam /	BUmiBiH-dvAdaSa-AkAram pUritam parama-advayam /
   kalābhiḥ pūritaṃ cittaṃ ṣoḍaśākāramakṣaram // Sekoddeśa_114 //	kalABiH pUritam cittam zoxaSa-AkAram-akzaram // Seka-uddeSaH-_114 //
   ekārthamadvayaṃ dharmaṃ paramārthamavinaśvaram /	eka-arTam-advayam Darmam parama-arTam-avinaSvaram /
   pūrṇāvasthāṃ gataṃ cittaṃ āsamantāt prapūritam // Sekoddeśa_115 //	pUrNa-avasTAm gatam cittam AsamantAt prapUritam // Seka-uddeSaH-_115 //
   virāgādimahārāgaṃ vajrānaṅgaṃ mahākṣaram /	virAga-Adi-mahA-rAgam vajra-anaFgam mahA-kzaram /
   paripūrṇamasaṃkliṣṭaṃ pakṣadvayasyavāsanaiḥ // Sekoddeśa_116 //	paripUrNam-asaMklizwam pakza-dvayasya-vAsanEH // Seka-uddeSaH-_116 //
   yathā nadyudakaṃ viṣṭaṃ samudre tatpayaḥsamam /	yaTA nadI-udakam vizwam samudre tad-payaH-samam /
   tathā bhāvasamūho 'yamakṣare tatsamo 'kṣaraḥ // Sekoddeśa_117 //	taTA BAva-samUhaH ayam-akzare tad-samaH akzaraH // Seka-uddeSaH-_117 //
   yathā dhātusamūho 'yaṃ rasatvaṃ yāti bhakṣitaḥ /	yaTA DAtu-samUhaH ayam rasa-tvam yAti BakzitaH /
   bījairbījasva bhāvaṃ ca phalakāle mānavarjitam // Sekoddeśa_118 //	bIjEH-bIjasva BAvam ca Pala-kAle mAna-varjitam // Seka-uddeSaH-_118 //
   evaṃ bhāvasamūho 'pi paramākṣarabhakṣitaḥ /	evam BAva-samUhaH api parama-akzara-BakzitaH /
   paramākṣaratāṃ yāti sarvākārasvarūpadhṛk // Sekoddeśa_119 //	parama-akzara-tAm yAti sarva-AkAra-svarUpa-DRk // Seka-uddeSaH-_119 //
   na daṃśe vedanāṃ vetti nānyatra cāpi daṣṭakaḥ /	na daMSe vedanAm vetti na-anyatra ca-api dazwakaH /
   na viṣayānindriyadvāraiḥ pūrṇāvasthāṃ viṣe gate // Sekoddeśa_120 //	na vizayAn-indriya-dvArEH pUrNa-avasTAm vize gate // Seka-uddeSaH-_120 //
   evaṃ na ca maṇau yogī nānyatra vetti satsukham /	evam na ca maNO yogI na-anyatra vetti sat-suKam /
   na viṣayānindriyadvāraiścitte pūrṇakalāṃ gate // Sekoddeśa_121 //	na vizayAn-indriya-dvArEH-citte pUrNa-kalAm gate // Seka-uddeSaH-_121 //
   yathā lohaikadeśe 'pi saṃsthito hi mahārasaḥ /	yaTA loha-eka-deSe api saMsTitaH hi mahArasaH /
   lohaṃ tīvrāgnisaṃtaptaṃ vedhayedāsamantataḥ // Sekoddeśa_122 //	loham tIvra-agni-saMtaptam veDayet-AsamantataH // Seka-uddeSaH-_122 //
   tethaivaikapradeśe 'pi saṃsthitaṃ sukhamakṣaram /	teTa-eva-eka-pradeSe api saMsTitam suKam-akzaram /
   cittaṃ kāmāgnisaṃtaptaṃ vedhayedāsamantataḥ // Sekoddeśa_123 //	cittam kAma-agni-saMtaptam veDayet-AsamantataH // Seka-uddeSaH-_123 //
   yathā ca viddhalohānāṃ naiva malo bhavet kvacit /	yaTA ca vidDa-lohAnAm na-eva malaH Bavet kvacid /
   tathā ca viddhacittānāṃ na vāsanā bhavet kvacit // Sekoddeśa_124 //	taTA ca vidDa-cittAnAm na vAsanA Bavet kvacid // Seka-uddeSaH-_124 //
   hematvaṃ hi gataṃ lohamagninā nirmalaṃ bhavet /	hema-tvam hi gatam loham-agninA nirmalam Bavet /
   bhūyo bhūyastathā cittaṃ nirmalaṃ rāgavahninā // Sekoddeśa_125 //	BUyas BUyas-taTA cittam nirmalam rAga-vahninA // Seka-uddeSaH-_125 //
   yathā mahāmaṇisparśādyāti śīlā pradīptatām /	yaTA mahA-maNi-sparSAt-yAti SIlA pradIpta-tAm /
   tathākṣarasukhasparśāt sukhatāṃ cittameti vai // Sekoddeśa_126 //	taTA-akzara-suKa-sparSAt suKa-tAm cittam-eti vE // Seka-uddeSaH-_126 //
   kimatra bahunoktena lokasaṃvṛtisatyataḥ /	kim-atra bahunA-uktena loka-saMvRti-satyataH /
   avitarkyo rasasadbhāvo lohasyāvedhanaṃ prati // Sekoddeśa_127 //	avitarkyaH rasa-sadBAvaH lohasya-AveDanam prati // Seka-uddeSaH-_127 //
   vitarkyo jñānasadbhāvaḥ kiṃ punaḥ paramārthataḥ /	vitarkyaH jQAna-sadBAvaH kim punar paramArTataH /
   malāgantukaliptasya cittasyāvedhanaṃ prati // Sekoddeśa_128 //	mala-Agantukaliptasya cittasya-AveDanam prati // Seka-uddeSaH-_128 //
   nāgantuko malaścitte na cittāccirakālikaḥ /	na-AgantukaH malaH-citte na cittAt-cirakAlikaH /
   na cittena vinā jāto na citte saṃsthito 'vyayaḥ // Sekoddeśa_129 //	na cittena vinA jAtaH na citte saMsTitaH avyayaH // Seka-uddeSaH-_129 //
   yadyāgantuka eva syāccittaṃ prāgamalaṃ tadā /	yadi-AgantukaH eva syAt-cittam prAk-amalam tadA /
   cirakālī yadā cittāttasyaiva sambhavaḥ kutaḥ // Sekoddeśa_130 //	cirakAlI yadA cittAt-tasya-eva samBavaH kutas // Seka-uddeSaH-_130 //
   yadi cittaṃ vinā jātastadā khakusumaṃ yathā /	yadi cittam vinA jAtaH-tadA Kakusumam yaTA /
   yadi sthitaḥ sadā citte na naśyet sarvatastadā // Sekoddeśa_131 //	yadi sTitaH sadA citte na naSyet sarvatas-tadA // Seka-uddeSaH-_131 //
   tāmrasya kālimā yadvadrasayogena naśyati /	tAmrasya kAlimAH yadvat-rasa-yogena naSyati /
   na tasya sattvatā naśyennirmalatvena yā sthitā // Sekoddeśa_132 //	na tasya sattva-tA naSyet-nirmala-tvena yA sTitAH // Seka-uddeSaH-_132 //
   tadvaccittamalaḥ śūnyatāyogena praṇaśyati /	tadvat-citta-malaH SUnyatA-yogena praNaSyati /
   na tasya jñānatā naśyennirmalatvena yā sthitā // Sekoddeśa_133 //	na tasya jQAna-tA naSyet-nirmala-tvena yA sTitAH // Seka-uddeSaH-_133 //
   rasaviddho yathā loho na punarlohatāṃ vrajet /	rasa-vidDaH yaTA lohaH na punar-loha-tAm vrajet /
   sukhaviddhaṃ tathā cittaṃ na punarduḥkhatāṃ vrajet // Sekoddeśa_134 //	suKa-vidDam taTA cittam na punar-duHKa-tAm vrajet // Seka-uddeSaH-_134 //
   na virāgāt paraṃ pāpaṃ na puṇyaṃ sukhataḥ param /	na virAgAt param pApam na puNyam suKataH param /
   ato 'kṣarasukhe cittaṃ veśanīyaṃ sadā nṛpa // Sekoddeśa_135 //	atas akzara-suKe cittam veSanIyam sadA nRpa // Seka-uddeSaH-_135 //
   vaktuṃ na śakyate saukhyaṃ kumāryā surataṃ vinā /	vaktum na Sakyate sOKyam kumAryA suratam vinA /
   yauvane surataṃ prāpya svato vetti mahāsukham // Sekoddeśa_136 //	yOvane suratam prApya svatas vetti mahA-suKam // Seka-uddeSaH-_136 //
   evaṃ na śakyate vaktuṃ samādhirahitaiḥ sukham /	evam na Sakyate vaktum samADi-rahitEH suKam /
   samādhāvakṣaraṃ prāpya svato vindanti yoginaḥ // Sekoddeśa_137 //	samADO=-akzaram prApya svatas vindanti yoginaH // Seka-uddeSaH-_137 //
   akṣarajasukhajñāne sarvajñairapi śaṃkyate /	akzara-ja-suKa-jQAne sarvajQEH-api SaMkyate /
   tathā kvacinna kartavyo virāgo manaso 'sukhāt // Sekoddeśa_138 //	taTA kvacid-na kartavyaH virAgaH manasaH asuKAt // Seka-uddeSaH-_138 //
   cyutervirāgasaṃbhūtirvirāgādduḥkhasaṃbhavaḥ /	cyuteH-virAga-saMBUtiH-virAgAt-duHKa-saMBavaH /
   duḥkhāddhātukṣayaḥ puṃsāṃ kṣayān mṛtyuriti smṛtaḥ // Sekoddeśa_139 //	duHKAt-DAtu-kzayaH puMsAm kzayAt mRtyuH-iti smRtaH // Seka-uddeSaH-_139 //
   mṛtyoḥ punarbhavasteṣāṃ bhavān mṛtyuścyutiḥ punaḥ /	mRtyoH punarBavaH-tezAm BavAn mRtyuH-cyutiH punar /
   evaṃ virāgasaṃbhūteḥ sattvānāṃ nānyathā bhavaḥ // Sekoddeśa_140 //	evam virAga-saMBUteH sattvAnAm na-anyaTA BavaH // Seka-uddeSaH-_140 //
   tasmāt sarvaprayatnena cyutirāgaṃ vivarjayet /	tasmAt sarva-prayatnena cyuti-rAgam vivarjayet /
   yenākṣarasukhaṃ yāti yogī saṃsārabandhanāt // Sekoddeśa_141 //	yena-akzara-suKam yAti yogI saMsAra-banDanAt // Seka-uddeSaH-_141 //
   kāmuko 'pi virāgānna kāmaśāstraṃ samīhate /	kAmukaH api virAgAt-na kAmaSAstram samIhate /
   mayokte kiṃ punastantre yogī duḥkhaṃ samīhate // Sekoddeśa_142 //	mayA-ukte kim punar-tantre yogI duHKam samIhate // Seka-uddeSaH-_142 //
   śukrākṣarasvabhāvena sādhayet paramākṣaram /	Sukra-akzara-svaBAvena sADayet parama-akzaram /
   ādhāre cyutimāpanne ādheyasya virāgatā // Sekoddeśa_143 //	ADAre cyutim-Apanne ADeyasya virAga-tA // Seka-uddeSaH-_143 //
   ādhārādheyasaṃbandho yāvannākṣaratāṃ vrajet /	ADAra-ADeya-saMbanDaH yAvat-na-akzara-tAm vrajet /
   cittamakṣaratāprāptaṃ nādhārādheyalakṣaṇam // Sekoddeśa_144 //	cittam-akzara-tA-prAptam na-ADAra-ADeya-lakzaNam // Seka-uddeSaH-_144 //
   akṣarodbhavakāyasya ūrṇṇācakragatasya tu /	akzara-udBava-kAyasya UrNNA-cakra-gatasya tu /
   ālikālisamāyogo hūṃkāro neṣyate nṛpa // Sekoddeśa_145 //	Ali-kAli-samAyogaH hUMkAraH na-izyate nRpa // Seka-uddeSaH-_145 //
   bimbaṃ śūnyodbhavaṃ hetuḥ phalamakṣarajaṃ sukham /	bimbam SUnya-udBavam hetuH Palam-akzara-jam suKam /
   phalena mudrito heturhetunā mudritaṃ phalam // Sekoddeśa_146 //	Palena mudritaH hetuH-hetunA mudritam Palam // Seka-uddeSaH-_146 //
   śūnyatā bimbadhṛgghetuḥ karuṇākṣaradhṛk phalam /	SUnyatA bimba-DRk-hetuH karuNA-akzara-DRk Palam /
   śūnyatākaruṇābhinnaṃ bodhicittaṃ tadacyutam // Sekoddeśa_147 //	SUnyatA-karuNA-Binnam boDi-cittam tat-acyutam // Seka-uddeSaH-_147 //
   nirvāṇarahitaṃ bimbaṃ saṃsārātītamakṣaram /	nirvANa-rahitam bimbam saMsAra-atItam-akzaram /
   śāścatocchedanirmuttastatoryogo 'dvayo 'paraḥ // Sekoddeśa_148 //	SAScata-ucCeda-nirmuttaH-tatoH-yogaH advayaH aparaH // Seka-uddeSaH-_148 //
   abhāvo nāsti bimbasya abhāvodbhūtalakṣaṇāt /	aBAvaH na-asti bimbasya aBAva-udBUta-lakzaNAt /
   bhāvo nāstyakṣarasyāpi bhāvasambhūtalakṣaṇāt // Sekoddeśa_149 //	BAvaH na-asti-akzarasya-api BAva-samBUta-lakzaNAt // Seka-uddeSaH-_149 //
   bhāvābhāvasamāyogo vajrayogo 'dvayo 'paraḥ /	BAva-aBAva-samAyogaH vajra-yogaH advayaH aparaH /
   rūpārūpavinirmuktaḥ pratiseneva darpaṇe // Sekoddeśa_150 //	rUpA-rUpa-vinirmuktaH pratisena-iva darpaNe // Seka-uddeSaH-_150 //
   bimbaṃ na bhavamāyāti nāpi nirvāṇamakṣaram /	bimbam na Bavam-AyAti na-api nirvANam-akzaram /
   anyonyāliṅgitaṃ śāntaṃ napuṃsakapadaṃ param // Sekoddeśa_151 //	anyonya-AliFgitam SAntam napuMsaka-padam param // Seka-uddeSaH-_151 //
   prajñāhetorajātatvāt prajñāhetūdbhavaṃ phalam /	prajQA-hetoH-ajAta-tvAt prajQA-hetu-udBavam Palam /
   prajñāhetorajātatvāt prajñājātaṃ na hetujam // Sekoddeśa_152 //	prajQA-hetoH-ajAta-tvAt prajQA-jAtam na hetu-jam // Seka-uddeSaH-_152 //
   ato na hetujaṃ jñānaṃ prajñājñānamanuttaram /	atas na hetu-jam jQAnam prajQA-jQAnam-anuttaram /
   phalena hetunānyonyaṃ na parasparamudraṇam // Sekoddeśa_153 //	Palena hetunA-anyonyam na paraspara-mudraNam // Seka-uddeSaH-_153 //
   hetuḥ phalaṃ ca yat sarvaṃ tat pratītyasamudbhavam /	hetuH Palam ca yat sarvam tat pratItyasamudBavam /
   anyonyamudritaṃ bimbaṃ notpannaṃ na ca nirvṛtam // Sekoddeśa_154 //	anyonya-mudritam bimbam na-utpannam na ca nirvRtam // Seka-uddeSaH-_154 //
   prajñā cātyantanirvṛtā utpannaśca paro 'kṣaraḥ /	prajQA ca-atyanta-nirvRtAH utpannaH-ca paraH akzaraH /
   hetuphalavinirmuktirna parasparamudraṇam // Sekoddeśa_155 //	hetu-Pala-vinirmuktiH-na paraspara-mudraNam // Seka-uddeSaH-_155 //
   ajātasyāniruddhasya yajjñeyasyeha darśanam /	ajAtasya-anirudDasya yat-jQeyasya-iha darSanam /
   tat svacittasya nānyasya bāhyajñeyavibhāgataḥ // Sekoddeśa_156 //	tat sva-cittasya na-anyasya bAhya-jQeya-viBAgataH // Seka-uddeSaH-_156 //
   ato na cātmanātmānaṃ mudrituṃ śakyate kvacit /	atas na ca-AtmanA-AtmAnam mudritum Sakyate kvacid /
   kiṃ chinatti mahākhaḍga ātmānamātmadhārayā // Sekoddeśa_157 //	kim Cinatti mahA-KaxgaH AtmAnam-Atma-DArayA // Seka-uddeSaH-_157 //
   bandhyāduhitṛsaṃgena svapne saukhyaṃ yathā bhavet /	banDyA-duhitR-saMgena svapne sOKyam yaTA Bavet /
   gaganodbhavabimbena sevitena tathātmanaḥ // Sekoddeśa_158 //	gagana-udBava-bimbena sevitena taTA-AtmanaH // Seka-uddeSaH-_158 //
   na prajñā nāpyupāyo 'sau sahajaḥ prajñayā saha /	na prajQA na-api-upAyaH asO sahajaH prajQayA saha /
   āpūrṇaścaiva saukhyena sarvāvaraṇavarjitaḥ // Sekoddeśa_159 //	ApUrNaH-ca-eva sOKyena sarva-AvaraNa-varjitaH // Seka-uddeSaH-_159 //
   ākāśavannirāvaraṇo viṣayendriyavarjitaḥ /	AkASa-vat-nirAvaraNaH vizaya-indriya-varjitaH /
   sarvataḥ sarvabhūtastha acchedyo bhedavarjitaḥ // Sekoddeśa_160 //	sarvatas sarva-BUta-sTa acCedyaH Beda-varjitaH // Seka-uddeSaH-_160 //
   svayambhūrvajrasattvo 'sau mahārthaḥ paramākṣaraḥ /	svayamBUH-vajra-sattvaH asO mahArTaH parama-akzaraH /
   mahārāgo mahāsattvaḥ sarvasattvaratiṃkaraḥ // Sekoddeśa_161 //	mahA-rAgaH mahAsattvaH sarva-sattva-ratiMkaraH // Seka-uddeSaH-_161 //
   bodhisattvo mahādveṣaḥ kleśakṣayī mahāripuḥ /	boDisattvaH mahA-dvezaH kleSa-kzayI mahA-ripuH /
   samayasattvo mahāmoho mūḍhadhīmohasūdanaḥ // Sekoddeśa_162 //	samaya-sattvaH mahAmohaH mUXaDI-moha-sUdanaH // Seka-uddeSaH-_162 //
   vajrayogo mahākrodhaḥ kruddhamāramahāripuḥ /	vajrayogaH mahA-kroDaH krudDa-mAra-mahA-ripuH /
   kālacakro mahālobhaḥ kṣaralobhaniṣūdanaḥ // Sekoddeśa_163 //	kAlacakraH mahA-loBaH kzara-loBa-nizUdanaH // Seka-uddeSaH-_163 //
   vajramabhedyamityāha mahārthaṃ bhagavāniha /	vajram-aBedyam-iti-Aha mahA-arTam BagavAn-iha /
   sattvaṃ tribhavasyaikatā taduktaṃ paramākṣaram // Sekoddeśa_164 //	sattvam tri-Bavasya-ekatA tat-uktam parama-akzaram // Seka-uddeSaH-_164 //
   paramākṣarasukhāpūrṇo bhūmibhiḥ paripūritaḥ /	parama-akzara-suKa-ApUrNaH BUmiBiH paripUritaH /
   mahārāgo mahāsattvaḥ sarvasattvaratiṃkaraḥ // Sekoddeśa_165 //	mahA-rAgaH mahAsattvaH sarva-sattva-ratiMkaraH // Seka-uddeSaH-_165 //
   bodhau vyavasthitaḥ sattvo bodhisattvastato 'calaḥ /	boDO vyavasTitaH sattvaH boDisattvaH-tatas acalaH /
   kleśādidveṣasaṃghānāṃ mahādveṣo mahāripuḥ // Sekoddeśa_166 //	kleSa-Adi-dveza-saMGAnAm mahA-dvezaH mahA-ripuH // Seka-uddeSaH-_166 //
   samayaścandrāmṛtaṃ śukramacyutistasya bhakṣaṇam /	samayaH-candra-amRtam Sukram-acyutiH-tasya BakzaNam /
   samayasattvo 'nayā vṛttyā mūḍhadhīmohasūdanaḥ // Sekoddeśa_167 //	samaya-sattvaH anayA vRttyA mUXaDI-moha-sUdanaH // Seka-uddeSaH-_167 //
   ekatvaṃ sarvavajrāṇāṃ prajñākāyākṣaraiḥ saha /	eka-tvam sarva-vajrANAm prajQAkAya-akzarEH saha /
   mahākrodho mahāśatrurmārāṇāṃ krodharūpiṇām // Sekoddeśa_168 //	mahA-kroDaH mahA-SatruH-mArANAm kroDa-rUpiNAm // Seka-uddeSaH-_168 //
   mahākṣarasukhopāyāt sattvārthaṃ na tyajet kvacit /	mahA-akzara-suKa-upAyAt sattva-arTam na tyajet kvacid /
   sattvān moktuṃ mahālobhaḥ kṣaralobhaniṣūdanaḥ // Sekoddeśa_169 //	sattvAt moktum mahA-loBaH kzara-loBa-nizUdanaH // Seka-uddeSaH-_169 //
   ete hyuktāḥ ṣaḍākārā akṣarajñānavedanā /	ete hi-uktAH zaz-AkArAH akzara-jQAna-vedanA /
   vijñānarūpasaṃskārasaṃjñāḥ skandhakulāni te // Sekoddeśa_170 //	vijQAna-rUpa-saMskAra-saMjQAH skanDa-kulAni te // Seka-uddeSaH-_170 //
   jñānāgnyambarapṛthivīvāyūdakā yathākramam /	jQAna-agni-ambara-pRTivI-vAyu-udakAH yaTAkramam /
