   Adhyaya 4, Pada 1	ADyayaH 4, Pada 1
   caturthapādodito bhogaḥ kimasādhāraṇaḥ /	caturTa-pAda-uditaH BogaH kim-asADAraNaH /
   kiṃvā prathamapādoditakarmakṣaya iva sādhāraṇa ityapekṣāyāmāha-	kiMvA praTama-pAda-udita-karma-kzayaH iva sADAraNaH iti-apekzAyAm-Aha-
   bhogastviti //	BogaH-tu-iti //
   bhogastu sarvadevānāṃ narādīnāṃ ca vidyate // MAnuv_4,2.12cd //	BogaH-tu sarva-devAnAm nara-AdInAm ca vidyate // Ma-anuv_4,2.12cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   asādhāraṇye pramāṇābhāvāditi bhāvaḥ /	asADa-araNye pramANa-aBAvAt-iti BAvaH /
   asminprathamabhāṣye devānāṃ mokṣa iti prathamanirdeśaḥ kṛtastasya	asmin-praTama-BAzye devAnAm mokzaH iti praTama-nirdeSaH kRtaH-tasya
   tātparyamāha- tatreti //	tAtparyam-Aha tatra-iti //
   tatra praveśo devānāmuttarottarataḥ kramāt /	tatra praveSaH devAnAm-uttarottarataH kramAt /
   ucyate ... // MAnuv_4,2.13a-c //	ucyate ... // Ma-anuv_4,2.13a-t //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   tatra dvitīyapāde /	tatra dvitIya-pAde /
   prathamamiti śeṣaḥ /	praTamam-iti SezaH /
   uttarottarataḥ uttarottareṣu /	uttarottarataH uttarottarezu /
   ataḥ prathamamasau nirdiṣya iti /	atas praTamam-asO nirdizyaH iti /
   nanvayuktametat /	nanu-ayuktam-etat /
   vāṅmanasītyādisūtreṣu devānāmaśravaṇāt /	vAc-manasi-ityAdi-sUtrezu devAnAm-aSravaNAt /
   atha vāgādiśabdāstadabhimānināmupalakṣakā iti mataṃ tadā, sati vācake	aTa vAc-Adi-SabdAH-tad-aBimAninAm-upalakzakAH iti matam tadA, sati vAcake
   lākṣaṇikaprayogasya prayojanaṃ vācyam /	lAkzaNika-prayogasya prayojanam vAcyam /
   yadvā vācakā eveti pakṣastathāpi	yat-vA vAcakAH eva-iti pakzaH-taTA-api
   prasiddhaśabdaparityāgenāprasiddhapadaprayoge prayojanaṃ vaktavyamevetyata	prasidDa-Sabda-parityAgena-aprasidDa-pada-prayoge prayojanam vaktavyam-eva-ityata
   āha- deheti //	Aha deha-iti //
   ... dehagānāṃ ca vṛttīnāmevameva tu // MAnuv_4,2.13 //	... deha-gAnAm ca vRttInAm-evam-eva tu // Ma-anuv_4,2.13 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   bāhyatattvavyāvṛttyarthaṃ dehagānāmityuktam /	bAhya-tattva-vyAvRtti-arTam deha-gAnAm-iti-uktam /
   vartate deha etābhiriti vṛttayo jaḍā vāgādyāḥ yathā mucyamānānāṃ	vartate dehaH etABiH-iti vRttayaH jaxAH vAc-AdyAH yaTA mucyamAnAnAm
   devānāmevameva dehagānāṃ tadabhimatānāṃ vāgādīnāmuttarottareṣu maraṇakāle	devAnAm-evam-eva deha-gAnAm tad-aBimatAnAm vAc-AdInAm-uttarottarezu maraNa-kAle
   layo bhavatītyetadapi prasaṅgājjñāpayituṃ vāgādipadaprayoga iti bhāvaḥ /	layaH Bavati-iti-etat-api prasaFgAt-jQApayitum vAc-Adi-pada-prayogaH iti BAvaH /
   vāgādiśabdā devānāṃ vācakā eveti tuśabdena sūcayati /	vAc-Adi-SabdAH devAnAm vAcakAH eva-iti tuSabdena sUcayati /
   bhavedevaṃ padārthaḥ saṅgatiśca /	Bavet-evam padArTaH saFgatiH-ca /
   yadi bhagavajjñānabhogābhyāṃ nivṛttasamastāniṣyakarmāṇaḥ,	yadi Bagavat-jQAna-BogAByAm nivRtta-samasta-anizya-karmANaH,
   svottamapraveśena brahmanāḍyotkrameṇa vā parityaktadehāḥ,	sva-uttama-praveSena brahma-nAxya-utkrameNa vA parityakta-dehAH,
   svocitenācirrādinā vā pathā vaikuṇṭhalokavāsinaṃ bhagavantaṃ	sva-ucitena-acirra-AdinA vA paTA vEkuNWa-loka-vAsinam Bagavantam
   hiraṇyagarbheṇa saha prāptā bhinnaliṅgaśarīrāḥ vidhvastaprakṛtayo	hiraNyagarBeNa saha prAptAH Binna-liFga-SarIrAH viDvasta-prakRtayo
   'tyantanivṛttāniṣyāḥ samyagāvirbhūtānandādiguṇā bhagavatsamīpa eva	atyanta-nivRtta-anizyAH samyak-AvirBUta-Ananda-Adi-guNAH Bagavat-samIpaH eva
   tadupāsīnāḥ, svarūpeṇa vā līlānivṛttāniṣyāḥ samyagāvirbhūtānandādiguṇā	tad-upAsInAH, sva-rUpeNa vA lIlA-nivRtta-anizyAH samyak-AvirBUta-Ananda-Adi-guNA
   bhagavatsamīpa eva tamupāsīnāḥ, svarūpeṇa vā līlāgṛhītavigrahairvā	Bagavat-samIpaH eva tam-upAsInAH, svarUpeNa vA lIlA-gRhIta-vigrahEH-vA
   saṅkalpamātrasādhyāndivyabhogāṃstāratamyena bhuñjānā na	saFkalpa-mAtra-sADyAn-divya-BogAn=-tAratamyena BuQjAnAH na
   kadācitpunarāvartanta, ityetanmokṣasvarūpaṃ"karmakṣayastathotkrāntiḥ';	kadAcid-punar-Avartanta, iti-etat-mokza-svarUpaM"karma-kzayaH-taTA-utkrAntiH-a;
   ityādinoktaṃ niścitaṃ syāt /	ityAdinA-uktam niScitam syAt /
   na caivam /	na ca-evam /
   taistaiḥ vādibhiranyathāmokṣasvarūpasya varṇitatvāt /	tEH-tEH vAdiBiH-anyaTAmokza-svarUpasya varNita-tvAt /
   vipratipattau ca saṃśayasya dhruvatvādityata āha- tatreti //	vipratipattO ca saMSayasya Druva-tvAt-iti-atas Aha tatra-iti //
   tatra mokṣasvarūpaṃ tu vādinaḥ pratibhāśrayāt /	tatra mokza-svarUpam tu vAdinaH pratiBA-ASrayAt /
   nānā vadanti ... // MAnuv_4,2.14a-c //	nAnA vadanti ... // MA-anuv_4,2.14a-t //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   tatra /	tatra /
   tathā sati, sūtrakāreṇoktalakṣaṇe mokṣe śrutyādipramāṇairupapādite sati /	taTA sati, sUtrakAreNa-ukta-lakzaNe mokze Sruti-Adi-pramANEH-upapAdite sati /
   vādinastu pratibhāśrayāt svotprekṣāmātreṇa nānā vadanti /	vAdinaH-tu pratiBA-ASrayAt sva-utprekzA-mAtreNa nAnA vadanti /
   ataḥ pramāṇamūlatvādasyāpramāṇamūlānāmutprekṣāmātrayonīnāṃ vādānāṃ ca	atas pramANa-mUla-tvAt-asya-apramANa-mUlAnAm-utprekzA-mAtra-yonInAm vAdAnAm ca
   sāmyābhāvānna saṃśayāvakāśaḥ /	sAmya-aBAvAt-na saMSaya-avakASaH /
   nanu yadi tathā tathā pramāṇāni santi tarhi tattadvādināṃ tādṛśāni jñānāni	nanu yadi taTA taTA pramANAni santi tarhi tad-tad-vAdinAm tAdRSAni jQAnAni
   kuto na jāyante /	kutas na jAyante /
   pramāṇābhāsairvimohitāsta iti cet /	pramANa-ABAsEH-vimohitAH-te iti ced /
   tattvajñābhimatā api kutastainar vimūḍhāḥ /	tattva-jQa-aBimatAH api kutas-ta-enar vimUXAH /
   doṣadarśanāditi cet /	doza-darSanAt-iti ced /
   itare 'pi kuto na doṣānpaśyanti pramāṇaistattvajñānodayo 'pi samāna ityato	itare api kutas na dozAn-paSyanti pramANEH-tattva-jQAna-udayaH api samAnaH iti-atas-
   mūlakāraṇamāha- puṃsāṃ hīti //	mUla-kAraNam-Aha puMsAm hi-iti //
   ... puṃsāṃ hi matayo guṇabhedataḥ /	... puMsAm hi matayaH guNa-BedataH /
   pṛthak pṛthak prajāyante ... // MAnuv_4,2.14c-e //	pRTak pRTak prajAyante ... // Ma-anuv_4,2.14c-e //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   guṇabhedo guṇaviśeṣaḥ /	guNa-BedaH guNa-viSezaH /
   hiśabdena"jñānaṃ karma ca kartā'; ityādipramāṇaprasiddhiṃ dyotayati /	hi-Sabdena"-jQAnam karma ca kartA-a; ityAdi-pramANa-prasidDim dyotayati /
   etadviśadayati- tamasaiveti //	etat-viSadayati tamasA-eva-iti //
   ... tamasaivānyathāmatiḥ // MAnuv_4,2.14f //	... tamasA-eva-anyaTAmatiH // Ma-anuv_4,2.14f //
   rajasā miśrabuddhitvaṃ sattvenaiva yathā matiḥ // MAnuv_4,2.15ab //	rajasA miSra-budDi-tvam sattvena-eva yaTA matiH // Ma-anuv_4,2.15aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   miśrajñāne 'nyathātvaṃ samyaktavaṃ cāstītyato 'nyathaivetyuktam /	miSra-jQAne anyaTAtvam samyaktavam ca-asti-iti-atas anyaTA-eva-iti-uktam /
   yatheti bhinnaṃ padaṃ samyagvācī /	yaTA-iti Binnam padam samyak-vAcI /
   tamoguṇaḥ pramāṇeṣu cetaḥpravṛttiṃ pratibadhyābhāsānāṃ doṣānācchādya	tamaH-guNaH pramANezu cetaH-pravRttim pratibaDya-ABAsAnAm dozAn-AcCAdya
   viparītajñāna(mutpā)mapyutpādayatītyādi draṣṭavyam /	viparIta-jQAna(m-utpA)m-api-utpAdayati-ityAdi drazwavyam /
   samyagjñānaṃ sattvaguṇena bhavatītyuktam /	samyak-jQAnam sattva-guNena Bavati-iti-uktam /
   tasya mukteṣu tāvadapavādamāha- guṇeti //	tasya muktezu tAvat-apavAdam-Aha guNa-iti //
   guṇātītā vimuktānāṃ matiḥ śuddhacitiryataḥ // MAnuv_4,2.15cd //	guNa-atItA vimuktAnAm matiH SudDa-citiH-yatas // Ma-anuv_4,2.15cd //
   sāmyagevātha nityā ca ... // MAnuv_4,2.16a //	sAmyak-evA-aTa nityA ca ... // Ma-anuv_4,2.16aH //
   *12,125f.*	*12,125f.*
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yadyapi vimuktānāṃ matiḥ samyageva athāpi guṇātītā sattvajanyā na bhavati	yadi-api vimuktAnAm matiH samyak-eva aTa-api guNa-atItA sattva-janyA na Bavati
   kutaḥ śuddhacitiḥ nityā ca yataḥ /	kutas SudDacitiH nityA ca yatas /
   jaḍaṃ hi kutaścijjāyate na cetanam /	jaxam hi kutaScid-jAyate na cetanam /
   tathānityameva na nityam /	taTA-anityam-eva na nityam /
   daityānāṃ svarūpajñāneṣvavidyamānaṃ samyaktavaṃ tarhi kathamityataḥ	dEtyAnAm svarUpa-jQAnezu-avidyamAnam samyaktavam tarhi kaTam-iti-atas-
   śuddhetyuktam /	SudDA-iti-uktam /
   svābhāvikadoṣarahitetyarthaḥ /	svABAvika-doza-rahitA-iti-arTaH /
   svarūpopādhigatadāṣanibandhanaṃ hi daityānāṃ jñānānāmasamyaktvam /	svarUpa-upADi-gata-dAza-nibanDanam hi dEtyAnAm jQAnAnAm-asamyak-tvam /
   karaṇanimitto jñānānāṃ viṣayaniyamo vaiśadyabhedaśca /	karaNa-nimittaH jQAnAnAm vizaya-niyamaH vESadya-BedaH-ca /
   tatra yadi muktānāṃ jñānaṃ nityaṃ tarhi nirviṣayaṃ vā syāt sarvaviṣayaṃ vā	tatra yadi muktAnAm jQAnam nityam tarhi nirvizayam vA syAt sarva-vizayam vA
   evaṃ vaiśadye 'pīti /	evam vESadye api-iti /
   tatrāha- tattaditi //	tatra-aha tat-tat-iti //
   ... tattanmāhātmyayogataḥ /	... tad-tad-mAhAtmya-yogataH /
   bahalā cātiviśadā ... // MAnuv_4,2.16bc //	bahalA ca-ati-viSadAH ... // Ma-anuv_4,2.16bc //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   teṣāṃ teṣāṃ māhātmyaṃ yogyatārūpaṃ tadeva yogo nimittaṃ tatastadanusāreṇa	tezAm tezAm mAhAtmyam yogyatA-rUpam tat-eva yogaH nimittam tatas-tad-anusAreNa
   (bahula)bahulārthaviṣayiṇyativiśadā ca /	(bahula)-bahula-arTa-vizayiNI-ati-viSadA ca /
   śrīdevyāmapyuktasyāpavādamāha- spaṣṭā ceti //	SrI-devyAm-api-uktasya-apavAdam-Aha spazwA ca-iti //
   ... spaṣṭā caiva śriyo matiḥ // MAnuv_4,2.16d //	... spazwA ca-eva SriyaH matiH // MA-anuv_4,2.16d //
   mahāśuddhacititvena ... // MAnuv_4,2.17a //	mahA-SudDa-citi-tvena ... // Ma-anuv_4,2.17aH //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   śriyo matiśca samyaktave 'pi guṇātīteti sambandhaḥ /	SriyaH matiH-ca samyaktave api guNa-atIta-iti sambanDaH /
   mahāśuddhacititveneti pūrvavadeva tatra hetuḥ /	mahA-SudDa-citi-tvena-iti pUrvavat-eva tatra hetuH /
   mahacchabdena kadāpi (bāhya)doṣasambandho nāstītyucyate /	mahat-Sabdena kadApi (bAhya)-doza-sambanDaH na-asti-iti-ucyate /
   spaṣṭaiveti bhuktamaterapyatiśayena viśadetyarthaḥ /	spazwA-eva-iti Bukta-mateH-api-atiSayena viSadA-iti-arTaH /
   etadapi pūrvavadvayākhyeyam /	etat-api pUrvavat-vaya-AKyeyam /
   bhagavajjñāne 'pyapavādamāha- tato 'pīti //	Bagavat-jQAne api-apavAdam-Aha tatas api-iti //
   ... tato 'pyatimahācitiḥ /	... tatas api-ati-mahA-citiH /
   aśeṣoruviśeṣāṇāmatispaṣṭatayā dṛśiḥ /	aSeza-uru-viSezANAm-ati-spazwa-tayA dRSiH /
   nityamekaprakārā ca nārāyaṇamatiḥ parā // MAnuv_4,2.17b-f //	nityam-eka-prakArA ca nArAyaNa-matiH parAH // Ma-anuv_4,2.17b-f //
   sūryaprabhāvadakhilaṃ bhāsayanti nirantarā /	sUrya-praBAvat-aKilam BAsayanti nirantarA /
   nirlepā vītadoṣā ca nityamevāvikāriṇī // MAnuv_4,2.18 //	nirlepA vIta-dozA ca nityam-eva-avikAriNI // Ma-anuv_4,2.18 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   nārāyaṇamatiśca samyaktave 'pi parā guṇebhya iti śeṣaḥ /	nArAyaNa-matiH-ca samyaktave api parA guNeByaH iti SezaH /
   tatra pūrvavadeva hetuḥ /	tatra pUrvavat-eva hetuH /
   tataḥ śriyo 'pyatiśayena mahāśuddhacitiḥ /	tatas SriyaH api-atiSayena mahA-SudDa-citiH /
   viśiṣyanta iti viśeṣāḥ padārthāḥ /	viSizyante iti viSezAH padArTAH /
   aśeṣāṇāmurūṇāmanantānāṃ viśeṣāṇāṃ dṛśirviṣayīkāriṇī /	aSezANAmurUNAm-anantAnAm viSezANAm dRSiH-vizayI-kAriNI /
   atispaṣṭatayāśeṣapadārthaviṣayetyetadapi bahulā cātiviśadetivadvayākhyeyam	ati-spazwa-tayA-aSeza-padArTa-vizaya-iti-etat-api bahulA ca-ati-viSada-itiva-dvaya-AKyeyam
   dṛśiḥ sākṣātkāra iti vā /	dRSiH sAkzAtkAraH iti vA /
   nityamekaprakāretyutpattivināśarahitetyayamapi guṇātītatve hetuḥ /	nityam-eka-prakAra-iti-utpatti-vinASa-rahitA-iti-ayam-api guNa-atIta-tve hetuH /
   kecidekameveśvarajñānamityāsthitāḥ /	kecid-ekam-eva-ISvara-jQAnam-iti-AsTitAH /
   apare tvanekānīti /	apare tu-anekAni-iti /
   tadvivekārthamuktaṃ nirantarā nirbhedeti /	tad-viveka-arTam-uktam nirantarA nirBeda-iti /
   tarhi kiṃ teṣu teṣu padārtheṣu jñāteṣu vikriyate netyāha-	tarhi kim tezu tezu padArTezu jQAtezu vikriyate na-iti-Aha-
   nityamavikāriṇyeveti /	nityam-avikAriNI-eva-iti /
   kathaṃ tarhi tattadviṣayīkaraṇamityata uktam- sūryeti //	kaTam tarhi tad-tad-vizayIkaraNam-iti-atas uktam sUrya-iti //
   yathā sūryaprabhā svayaṃ nirvikārāpi tāṃstānprāptānviṣayānprakāśayati	yaTA sUrya-praBA svayam nirvikAra-api tAn=-tAn-prAptAn-vizayAn-prakASayati
   tatheyamapītyarthaḥ /	taTA-iyam-api-iti-arTaH /
   atra ca viśeṣa eva nirvāhakaḥ /	atra ca viSezaH eva nirvAhakaH /
   ata evaiketyanuktavā nirantaretyuktam /	atas eva-eka-iti-anuktavA nirantara-iti-uktam /
   nirlepā vītadoṣā ceti śuddhatvavyākhyānam /	nirlepA vIta-dozA ca-iti SudDa-tva-vyAKyAnam /
   lepaḥ karmasambandhaḥ /	lepaH karma-sambanDaH /
   mahacchabdavyākhyānaṃ pūrvavat /	mahat-Sabda-vyAKyAnam pUrvavat /
   yadvā nityameveti tadarthamatrāpi yojyam /	yat-vA nityam-eva-iti tad-arTam-atra-api yojyam /
   parā svatantretyatiśabdasya vyākhyātatvenāpi vyākhyeyam /	parA svatantrA-iti-ati-Sabdasya vyAKyAta-tvena-api vyAKyeyam /
   ata eva tattantratvācceti vakṣyati /	atas eva tat-tantra-tvAt-ca-iti vakzyati /
   etāni viśeṣaṇāni lakṣmīmāne 'pyatidiśati- viśeṣānīti //	etAni viSezaNAni lakzmI-mAne api-atidiSati viSezAni-iti //
   viśeṣāṃsatadgatāṃstyaktavā prāyastallakṣaṇā śriyaḥ // MAnuv_4,2.19ab //	viSeza-aMsa-tad-gatAn=-tyaktavA prAyas-tad-lakzaNA SriyaH // Ma-anuv_4,2.19aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   tadgatānbhagavadgatāṃstāni lakṣaṇāni yasyāḥ sā tathoktā /	tad-gatAn-Bagavat-gatAn=-tAni lakzaNAni yasyAH sA taTA-uktA /
   śriyo matiḥ pratipattavyeti śeṣaḥ /	SriyaH matiH pratipattavyA-iti SezaH /
   bhagavadgatāśeṣaviśeṣaviṣayīkāritvaṃ vihāyānyadharmavatī jñātavyetyarthaḥ	Bagavat-gata-aSeza-viSeza-vizayIkAri-tvam vihAya-ani-aDarmavatI jQAtavyA-iti-arTaH
   prāya ityuktasya tātparyamāha- tathaiveti //	prAyas iti-uktasya tAtparyam-Aha taTA-eva-iti //
   tathaiva spaṣṭatābhāvāt tattantratvācca kevalam /	taTA-eva spazwa-tA-BAvAt tad-tantra-tvAt-ca kevalam /
   na tādṛśī ... // MAnuv_4,2.19c-e //	na tAdRSI ... // Ma-anuv_4,2.19c-e //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yathā bhagavanmaterniratiśayaspaṣṭatvaṃ tathaiva /	yaTA Bagavat-mateH-niratiSaya-spazwa-tvam taTA-eva /
   kevalaṃ tattantratvāt bhagavanmātrādhīnatvāt /	kevalam tat-tantra-tvAt Bagavat-mAtra-aDIna-tvAt /
   atra kevalamiti svarūpakathanam /	atra kevalam-iti sva-rUpa-kaTanam /
   parādhīnatvādityeva hetuḥ /	para-aDIna-tvAt-iti-eva hetuH /
   tādṛśī bhagavanmatisadṛśī /	tAdRSI Bagavat-mati-sadRSI /
   ataḥ prāya ityuktamiti bhāvaḥ /	atas prAyas iti-uktam-iti BAvaH /
   lakṣmīmativiśeṣaṇāni muktabrahmamatāvatidiśati- brahmaṇastviti //	lakzmIm-ati-viSezaNAni mukta-brahma-matO=-ati-diSati brahmaNaH-tu-iti //
   ... brahmaṇastu prāya eva śriyo yathā // MAnuv_4,2.19ef //	... brahmaNaH-tu prAyas eva SriyaH yaTA // Ma-anuv_4,2.19ef //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   brahmaṇastu matiḥ śriyo yathaivaṃ prāyaḥ /	brahmaNaH-tu matiH SriyaH yaTA-evam prAyas /
   tathā vaiśadyādyabhāvātprāya ityuktam /	taTA vESadya-Adi-aBAvAt-prAyas iti-uktam /
   kevalamityuktayabhāvācca /	kevalam-iti-uktaya-BAvAt-ca /
   ata eva tatra taduktam /	atas eva tatra tat-uktam /
   brahmaṇa iti viśiṣyābhidhāne ko heturityata āha- muktānāṃ tviti //	brahmaNaH iti viSizya-aBiDAne kaH hetuH-iti-atas Aha muktAnAm tu-iti //
   muktānāṃ tu tadanyeṣāṃ samudrataraḷopamā // MAnuv_4,2.20ab //	muktAnAm tu tad-anyezAm samudratara?A-upamAH // Ma-anuv_4,2.20aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   viśeṣabalena vṛddhihrāsavatītyarthaḥ /	viSeza-balena vRdDihrAsavatI-iti-arTaH /
   yathoktaṃ avṛddhihrāsarūpatvamityādi /	yaTA-uktam avRdDi-hrAsa-rUpa-tvam-ityAdi /
   muktagrahaṇasya tātparyamāha- agnīti //	mukta-grahaNasya tAtparyamAha agni-iti //
   agnijvālāvadeva syāt smṛtigānāṃ dṛśo bhavaḥ // MAnuv_4,2.20cd //	agni-jvAlA-vat-eva syAt smRti-gAnAm dRSaH BavaH // Ma-anuv_4,2.20cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   agnijvālāyā agneriva saṃsāriṇāṃ dṛśo 'ntaḥkaraṇādbhava utpattireva syānna	agni-jvAlAyAH agneH-iva saMsAriNAm dRSaH antaHkaraNAt-BavaH utpattiH-eva syAt-na
   tu vyaktimātram /	tu vyakti-mAtram /
   bhavatvevaṃ jñānānāṃ guṇanimittaṃ nānāvidhatvam /	Bavatu-evam jQAnAnAm guNa-nimittam nAnAviDa-tvam /
   prakṛte tu kimityata āha- evaṃvidheṣviti //	prakRte tu kim-iti-atas Aha evaMviDezu-iti //
   evaṃvidheṣu jñāneṣu tamasā muṣyadṛṣṭayaḥ // MAnuv_4,2.21ab //	evaMviDezu jQAnezu tamasA muzya-dRzwayaH // Ma-anuv_4,2.21aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   jñāneṣvevaṃvidheṣu satsu muṣyadṛṣṭayo 'pahṛtasamyagjñānāḥ /	jQAnezu-evaMviDezu satsu muzya-dRzwayaH apahRta-samyak-jQAnAH /
   samyagjñānābhāve 'nyathādṛktavamapi nopapadyate /	samyak-jQAna-aBAve anyaTAdRktavam-api na-upapadyate /
   adhiṣṭhānasāmānyajñānasya bhrāntyupayogitvādityata uktam- khadyoteti //	aDizWAna-sAmAnya-jQAnasya BrAnti-upayogi-tvAt-iti-atas uktam KadyotA-iti //
   khadyotasadṛśātyalpajñānatvādanyathādṛśaḥ /	Kadyota-sadRSa-ati-alpa-jQAna-tvAt-anyaTA-dRSaH /
   vadanti vādino mokṣaṃ nānāmatasamāśrayāt // MAnuv_4,2.21c-f //	vadanti vAdinaH mokzam nAnA-mata-samASrayAt // Ma-anuv_4,2.21c-f //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yathāndhatamase khadyotā api bhayahetavastathā viparyayabahulamalpaṃ	yaTA-anDatamase KadyotAH api Baya-hetavaH-taTA viparyaya-bahulam-alpam
   samyagjñānamapi tāmasameva /	samyak-jQAnam-api tAmasam-eva /
   yathoktam /	yaTA-uktam /
   atattvārthavadalpaṃ ceti /	atattva-arTavat-alpam ca-iti /
   nānāmatasamāśrayānnānā vadantīti yojanā /	nAnA-mata-samASraya-at-nAnAH vadanti-iti yojanA /
   jñānānāṃ guṇavaśādanekavidhatvopapattestamasā'vṛttā vādinaḥ	jQAnAnAm guNa-vaSAt-anekaviDa-tva-upapatteH-tamasA-avRttAH vAdinaH
   pramāṇāvadhīraṇātsamyagjñānavikalā	pramANa-avaDIraNAt-samyak-jQAna-vikalA
   ābhāsādaraṇādadhiṣṭhānasāmānyajñānavattvācca viparītajñānino mokṣaṃ	ABAsa-AdaraNAt-aDizWAna-sAmAnya-jQAna-vat-tvAt-ca viparIta-jQAninaH mokzam
   nānāvidhamācakṣata ityarthaḥ /	nAnAviDam-Acakzate iti-arTaH /
   kāraṇaikatvānmithyājñānenāpyekavidhena bhāvyamiti cenna /	kAraNa-eka-tvAt-miTyAjQAnena-api-ekaviDena BAvyam-iti ced-na /
   sahakārivaicitryādvaicitryopapatteḥ /	saha-kAri-vEcitryAt-vEcitrya-upapatteH /
   tadidamuktam- nānāmatamāśrayāditi //	tat-idam-uktam nAnA-matam-ASrayAt-iti //
   matānāṃ ca pravāheṇānāditvamuktam /	matAnAm ca pravAheNa-anAdi-tvam-uktam /
   mūlakāraṇe tamoguṇe 'pi vaicitryācca /	mUla-kAraNe tamaH-guNe api vEcitryAt-ca /
   ata evoktam- guṇabhedata iti //	atas eva-uktam guNa-BedataH iti //
   samadhigatametat nānāvidheṣu mokṣavādeṣvekaḥ pramāṇamūlo 'nye	samaDigatam-etat nAnAviDezu mokza-vAdezu-ekaH pramANa-mUlaH anye
   mithyājñānamūlā iti /	miTyAjQAna-mUlAH iti /
   natu viśeṣo 'taḥ punaḥ saṃśaya evetyata paramatānāṃ sarveṣāṃ heyatvaṃ	na-tu viSezaH atas punar saMSayaH eva-ityata para-matAnAm sarvezAm heya-tvam
   didarśayiṣurādau tāvajjinoditaṃ mokṣasvarūpamanuvadati- āśrityeti //	didarSayizuH-AdO tAvat-jina-uditam mokza-svarUpam-anuvadati ASritya-iti //
   āśritya pratibhāmāha jinastatrātitāmasīm // MAnuv_4,2.22ab //	ASritya pratiBAm-Aha jinaH-tatra-atitAmasIm // Ma-anuv_4,2.22aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   tatra teṣu vādiṣu /	tatra tezu vAdizu /
   vedaprāmāṇyā(syā)naṅgīkārādatitāmasīmityuktam /	veda-prAmANyA(sya-a)naFgIkArAt-ati-tAmasIm-iti-uktam /
   kimāhetyata aha- jñānāditi //	kim-Aha-iti-atas aha jQAnAt-iti //
   jñānāt karmakṣayānmokṣo bhaved dehākhyapañjarāt // MAnuv_4,2.22cd //	jQAnAt karma-kzayAt-mokzaH Bavet deha-AKya-paQjarAt // MA-anuv_4,2.22cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   jñānātkeṣāñcitkarmaṇāṃ kṣayo bhavati /	jQAnAt-kezAQcid-karmaNAm kzayaH Bavati /
   keṣāñcidbhogāt /	kezAQcid-BogAt /
   tataḥ karmakṣayāt pakṣiṇaḥ pañjarādiva ātmano dehānmokṣo bhavet /	tatas karma-kzayAt pakziNaH paQjarAt-ivaH AtmanaH dehAt-mokzaH Bavet /
   dehāvasthānasya karmanimittatvāt /	deha-avasTAnasya karma-nimitta-tvAt /
   tataḥ kathaṃ vartata ityata āha- pañjareti //	tatas kaTam vartate iti-atas Aha paQjarA-iti //
   pañjaronmuktakhagavadalākākāśagocaraḥ /	paQjara-unmukta-Kaga-vat-alAkA-kASa-gocaraH /
   nityamūrdhvaṃ vrajatyeva pudgalo hastapādavān // MAnuv_4,2.23 //	nityam-UrDvam vrajati-eva pudgalaH hasta-pAdavAn // Ma-anuv_4,2.23 //
   iti ... // MAnuv_4,2.24a //	iti ... // Ma-anuv_4,2.24aH //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yathā pañjaronmuktaḥ khaga ūrdhvaṃ vrajatyevamevordhvaṃ vrajati /	yaTA paQjara-unmuktaH KagaH UrDvam vrajati-evam-eva-UrDvam vrajati /
   ayaṃ tu viśeṣaḥ /	ayam tu viSezaH /
   alokākāśo gocaro yasya sa tathoktaḥ /	aloka-AkASaH gocaraH yasya sa taTA-uktaH /
   nityameveti ca /	nityam-eva-iti ca /
   dehaparimāṇasyātmano dehābhāve parimāṇābhāvaprāptau uktam- hastapādavāniti	deha-parimANasya-AtmanaH deha-aBAve parimANa-aBAva-prAptO uktam hasta-pAdavAn-iti
   caramadehasya yaḥ sanniveśastathābhūta ityarthaḥ /	carama-dehasya yaH sanniveSaH-taTABUtaH iti-arTaH /
   ityāheti sambandhaḥ /	iti-Aha-iti sambanDaH /
   anūditaṃ dūṣayati- taditi //	anUditam dUzayati tat-iti //
