   ṛṣaya ūcuḥ	RzayaH UcuH
   antaḥśuddhivihīnaistu ye 'dhvarā vividhāḥ kṛtāḥ /	antar SudDi vihInEH tu ye aDvarAH viviDAH kRtAH /
   na phalanti munīśreṣṭha bhasmani nyastahavyavat // NarP_1,33.101 //	na Palanti munI SrezWa Basmani nyasta havya vat // NA rP_1,33.101 //
   bhāvaśuddhivihīnānāṃ samastaṃ karmaniṣphalam /	BAva SudDi vihInAnAm samastam karma nizPalam /
   tasmādrāgādikaṃ sarvaṃ parityajya sukhī bhavet // NarP_1,33.102 //	tasmAt rAga Adikam sarvam parityajya suKI Bavet // NA rP_1,33.102 //
   mṛdābhārasahasraistu kumbhakoṭijalaistathā /	mRdA BAra sahasrEH tu kumBa kowi jalEH taTA /
   kṛtaśauco 'pi duṣṭātmā caṇḍālasadṛśaḥ smṛtaḥ // NarP_1,33.103 //	kRta SOcaH api duzwa AtmA caNxAla sadRSaH smRtaH // NA rP_1,33.103 //
   antaḥśuddhivihīnastu devapūjāparo yadi /	antar SudDi vihInaH tu deva pUjA paraH yadi /
   tameva daivataṃ hṝnti narakaṃ ca prapadyate // NarP_1,33.104 //	tam eva dEvatam hLnti narakam ca prapadyate // NA rP_1,33.104 //
   antaḥśuddhivihīnaśca bahiḥśuddhiṃ karoti yaḥ /	antar SudDi vihInaH ca bahis SudDim karoti yaH /
   alaṅkṛtaḥ surābhāṇḍa iva śāntiṃ na gacchati // NarP_1,33.105 //	alaFkRtaH surA BANxaH iva SAntim na gacCati // NA rP_1,33.105 //
   manaḥśuddhivihīnā ye tīrthayātrāṃ prakurvate /	manaH SudDi vihInAH ye tIrTa yAtrAm prakurvate /
   na tānpuṃnati tīrthāni surābhāṇḍamivāpagā // NarP_1,33.106 //	na tAn puMnati tIrTAni surA BANxam iva ApagA // NA rP_1,33.106 //
   vācā dharmānpravaladati manasā pāpamicchati /	vAcA DarmAn pravaladati manasA pApam icCati /
   jānīyāttaṃ muniśreṣṭha mahāpātakināṃ varam // NarP_1,33.107 //	jAnIyAt tam muni SrezWa mahApAtakinAm varam // NA rP_1,33.107 //
   viśuddhamānasā ye tu dharmamātramanuttamam /	viSudDa mAnasA ye tu Darma mAtram anuttamam /
   kurvanti tatphalaṃ vidyādakṣayaṃ sukhadāyakam // NarP_1,33.108 //	kurvanti tad Palam vidyAt akzayam suKa dAyakam // NA rP_1,33.108 //
   karmaṇā manasā vācā stutiśravaṇa pūjanaiḥ /	karmaNA manasA vAcA stuti SravaNa pUjanEH /
   haribhaktirdṛḍhā yasya haripūjeti gīyate // NarP_1,33.109 //	hari BaktiH dRXA yasya hari pUjA iti gIyate // NA rP_1,33.109 //
   yamāśca niyamāścaiva saṃkṣepeṇa prabodhitāḥ /	yamAH ca niyamAH ca eva saMkzepeNa praboDitAH /
   ebhirviśuddhamanasāṃ mokṣaṃ hastagataṃ viduḥ // NarP_1,33.110 //	eBiH viSudDa manasAm mokzam hasta gatam viduH // NA rP_1,33.110 //
   yamaiśca niyamaiścaiva sthirabuddhirjitendriyaḥ /	yamEH ca niyamEH ca eva sTira budDiH jita indriyaH /
   abhyasedāsanaṃsamyagyogasādhanamuttamam // NarP_1,33.111 //	aByaset AsanaMsamyak yoga sADanam uttamam // NA rP_1,33.111 //
   padmakaṃ svastikaṃ pīṭhaṃ saiṃhaṃ kaukkuṭakaiñjare /	padmakam svastikam pIWam sEMham kOkkuwa kEQjare /
   kaurmaṃvajrāsanaṃ caiva vārāhaṃ mṛgacailikam // NarP_1,33.112 //	kOrmaMvajrAsanam ca eva vArAham mRgacElikam // NA rP_1,33.112 //
   krauñcaṃ ca nālikaṃ caiva sarvatobhadrameva ca /	krOQcam ca nAlikam ca eva sarvatoBadram eva ca /
   vārṣabhaṃ nāgamātsye ca vaiyānghaṃ cārddhacandrakam // NarP_1,33.113 //	vArzaBam nAga mAtsye ca vEyAnGam ca ardDa candrakam // NA rP_1,33.113 //
   daṇḍavātāsanaṃ śailaṃ svabhraṃ maudgarameva ca /	daNxa vAta Asanam SElam svaBram mOdgaram eva ca /
   mākaraṃ traipathaṃ kāṣṭhaṃ sthāṇuṃ vaikarṇikaṃ tathā // NarP_1,33.114 //	mAkaram trEpaTam kAzWam sTANum vEkarNikam taTA // NA rP_1,33.114 //
   bhaumaṃ vīrāsanaṃ caiva yogasādhanakāraṇam /	BOmam vIrAsanam ca eva yoga sADana kAraNam /
   triṃśatsaṃkhyānyāsanāni munīndraiḥ kathitāni vai // NarP_1,33.115 //	triMSat saMKyAni AsanAni muni indrEH kaTitAni vE // NA rP_1,33.115 //
   eṣāmekatamaṃ baddhā gurubhaktiparāyaṇaḥ /	ezAm ekatamam badDAH guru Bakti parAyaNaH /
   upāsako jayetprāṇāndvandvātīto vimatsaraḥ // NarP_1,33.116 //	upAsakaH jayet prANAn dvandva atItaH vimatsaraH // NA rP_1,33.116 //
   prāṅmukhodaṅmukho vāpi tathā pratyaṅmukho 'pi vā /	prAFmuKa udaFmuKaH vA api taTA pratyaFmuKaH api vA /
   abhyāsena jayetprāṇānniḥśabde janavarjite // NarP_1,33.117 //	aByAsena jayet prANAn niHSabde jana varjite // NA rP_1,33.117 //
   prāṇo vāyuḥ śarīrastha āyāmastasya nigrahaḥ /	prANaH vAyuH SarIra sTaH AyAmaH tasya nigrahaH /
   prāṇāyāma iti prokto dvividhaḥ sa prakīrttitaḥ // NarP_1,33.118 //	prANAyAmaH iti proktaH dviviDaH sa prakIrttitaH // NA rP_1,33.118 //
   agarbhaśca sagarbhaśca dvitīyastu tayorvaraḥ /	agarBaH ca sagarBaH ca dvitIyaH tu tayoH varaH /
   jayadhyānaṃ vināgarbhaḥ sagarbhastatsamanvitaḥ // NarP_1,33.119 //	jaya DyAnam vinAgarBaH sa garBaH tad samanvitaH // NA rP_1,33.119 //
   recakaḥ pūrakaścaiva kuṃbhakaḥ śūnyakastathā /	recakaH pUrakaH ca eva kuMBakaH SUnyakaH taTA /
   evaṃ caturvidhaḥ proktaḥ prāṇāyāmo manīṣibhiḥ // NarP_1,33.120 //	evam caturviDaH proktaH prANAyAmaH manIziBiH // NA rP_1,33.120 //
   jantūnāṃ dakṣiṇā nāḍī piṅgalā parikīrtitā /	jantUnAm dakziNA nAxI piFgalA parikIrtitA /
   sūryadaivatakā caiva pitṛyoniriti śrutā // NarP_1,33.121 //	sUryadEvatakA ca eva pitR yoniH iti SrutAH // NA rP_1,33.121 //
   devayoniriti khyātā iḍā nāḍī tvadakṣiṇā /	devayoniH iti KyAtA ixA nAxI tu adakziNA /
   tatrādhidaivata candraṃ jānīhi munisattamaṃ // NarP_1,33.122 //	tatra aDidEvata candram jAnIhi muni sattamam // NA rP_1,33.122 //
   etayorubhayormadhye suṣumṇā nāḍikā smṛtā /	etayoH uBayoH maDye suzumNA nAxikA smRtA /
   atisūkṣmā guhyatamā jñeyā sā brahmadaivatā // NarP_1,33.123 //	ati sUkzmA guhyatamA jQeyA sA brahma dEvatAH // NA rP_1,33.123 //
   vāmena recayedvāyuṃ recanādrecakaḥ smṛtaḥ /	vAmena recayet vAyum recanAt recakaH smRtaH /
   pūrayeddakṣiṇenaiva pūraṇātpūrakaḥ smṛtaḥ // NarP_1,33.124 //	pUrayet dakziNena eva pUraNAt pUrakaH smRtaH // NA rP_1,33.124 //
   svadehapūritaṃ vāyaṃ nigṛhya na vimṛñcati /	sva deha pUritam vA ayam nigRhya na vimRQcati /
   saṃpūrṇakuṃbhavattiṣṭetkumbhakaḥ sa hi viśrutaḥ // NarP_1,33.125 //	saMpUrNa kuMBa vat tizwetkumBakaH sa hi viSrutaH // NA rP_1,33.125 //
   na gṛhṇāti na tyajati vāyumantarbahiḥ sthitam /	na gRhNAti na tyajati vAyum antar bahis sTitam /
   viddhi tacchūnyakaṃ nāma prāṇāyāmaṃ yathāsthitam // NarP_1,33.126 //	vidDi tat SUnyakam nAma prANAyAmam yaTAsTitam // NA rP_1,33.126 //
   śanaiḥśanairvijetavyaḥ prāṇo mattagajendravat /	SanEs SanEs vijetavyaH prANaH matta gaja indra vat /
   anyathā khalu jāyante mahārogā bhayaṅkarāḥ // NarP_1,33.127 //	anyaTA Kalu jAyante mahA rogAH BayaFkarAH // NA rP_1,33.127 //
   krameṇa yojayedvāyuṃ yogī vigatakalmaṣaḥ /	krameNa yojayet vAyum yogI vigata kalmazaH /
   sa sarvapāpanirmukto brahmaṇaḥ padamānpuyāt // NarP_1,33.128 //	sa sarva pApa nirmuktaH brahmaNaH padamAn puyAt // NA rP_1,33.128 //
   viṣayeṣu prasaktāni cendriyāṇi munīśvaraḥ /	vizayezu prasaktAni ca indriyANi muni ISvaraH /
   samāmāhṛtya nigṛhṇāti pratyāhārastu sa smṛtaḥ // NarP_1,33.129 //	samAm AhRtya nigRhNAti pratyAhAraH tu sa smRtaH // NA rP_1,33.129 //
   jitendriyā mahātmāno dhyānaśūnyā api dvija /	jita indriyAH mahAtmAnaH DyAna SUnyAH api dvija /
   prayānti paramaṃ brahma punarāvṛttidurlabham // NarP_1,33.130 //	prayAnti paramam brahma punarAvRtti durlaBam // NA rP_1,33.130 //
   anirjitendriyagrāmaṃ yastu dhyānaparo bhavet /	anirjita indriya grAmam yaH tu DyAna paraH Bavet /
   mūḍhātmānaṃ ca taṃ vidyāddhyānaṃ cāsya na sidhyati // NarP_1,33.131 //	mUXa AtmAnam ca tam vidyAt DyAnam ca asya na siDyati // NA rP_1,33.131 //
   yadyatpaśyati tatsarvaṃ paśyedātmavadātmani /	yat yat paSyati tat sarvam paSyet Atma vat Atmani /
   pratyāhṛtānīndriyāṇi dhārayetsā tu dhāraṇā // NarP_1,33.132 //	pratyAhRtAni indriyANi DArayet sA tu DAraNA // NA rP_1,33.132 //
   yogājjitendriyagrāmastāni hṛtvā dṛḍhaṃ hṛdi /	yogAt jita indriya grAmaH tAni hRtvA dRXam hRdi /
   ātmānaṃ paramaṃ dhyāyetsarvadhātāramacyutam // NarP_1,33.133 //	AtmAnam paramam DyAyet sarva DAtAram acyutam // NA rP_1,33.133 //
   sarvaviśvātmakaṃ viṣṇuṃ sarvasokaikakāraṇam /	sarva viSva Atmakam vizNum sarva soka eka kAraNam /
   vikasatpadyapatrākṣaṃ cārukuṇḍalabhūṣitam // NarP_1,33.134 //	vikasat padya patra akzam cAru kuNxala BUzitam // NA rP_1,33.134 //
   dīrghabāhumudārāṅgaṃ sarvālaṅkārabhṛṣitam /	dIrGa bAhum udAra aFgam sarva alaFkAra BRzitam /
   pītāmbaradharaṃ devaṃ hemayajñopavītinam // NarP_1,33.135 //	pIta ambara Daram devam hema yajQa upavItinam // NA rP_1,33.135 //
   bibhrataṃ tulasīmālāṃ kaustubhena virājitam /	biBratam tulasI mAlAm kOstuBena virAjitam /
   śrīvatsavakṣasaṃ devaṃ surāsuranamaskṛtam // NarP_1,33.136 //	SrIvatsa vakzasam devam sura asura namaskRtam // NA rP_1,33.136 //
   aṣṭāre hṛtsaroje tu dvādaśāṅgulavistṛte /	azwAre hRd saroje tu dvAdaSa aFgula vistRte /
   dhyāyedātmānamavyaktaṃ parātparataraṃ vibhumaṭ // NarP_1,33.137 //	DyAyet AtmAnam avyaktam parAtparataram viBumaw // NA rP_1,33.137 //
   dhyānaṃ sadbhinirgaditaṃ pratyayasyaikatānatā /	DyAnam sadBinirgaditam pratyayasya eka tAna tA /
   dhyānaṃ kṛtvā muhurttaṃ vā paraṃ mokṣaṃ labhennaraḥ // NarP_1,33.138 //	DyAnam kRtvA muhurttam vA param mokzam laBet naraH // NA rP_1,33.138 //
   dhyānātpāpāni naśyanti dhyānānmokṣaṃ ca vindati /	DyAnAt pApAni naSyanti DyAnAt mokzam ca vindati /
   dhyānātprasīdati hariddharyānātsarvārthasādhanam // NarP_1,33.139 //	DyAnAt prasIdati harit haryAnAt sarva arTa sADanam // NA rP_1,33.139 //
   yadyadrūpaṃ mahāviṣṇostattaddhyāyetsamāhitam /	yat yat rUpam mahAvizNoH tad tat DyAyet samAhitam /
   tena dhyānena tuṣṭātmā harirmokṣaṃ dadāti vai // NarP_1,33.140 //	tena DyAnena tuzwa AtmA hariH mokzam dadAti vE // NA rP_1,33.140 //
   acañcalaṃ manaḥ kuryāddhyeye vastuni sattama /	acaQcalam manaH kuryAt Dyeye vastuni sattamaH /
   dhyānaṃ dhyeyaṃ dhyātṛbhāvaṃ yathā naśyati nirbharam // NarP_1,33.141 //	DyAnam Dyeyam DyAtR BAvam yaTA naSyati nirBaram // NA rP_1,33.141 //
   tato 'mṛtatvaṃ bhavati jñānāmṛtaniṣevaṇāt /	tatas amRta tvam Bavati jQAna amRta nizevaNAt /
   bhavennirantaraṃ dhyānādabhedapratipādanam // NarP_1,33.142 //	Bavet nirantaram DyAnAt aBeda pratipAdanam // NA rP_1,33.142 //
   suṣutpivatparānandayuktaścoparatendriyaḥ /	suzuD pivat para Ananda yuktaH ca uparata indriyaH /
   nirvātadīpavatsaṃsthaḥ samādhirabhidhīyate // NarP_1,33.143 //	nirvAta dIpa vat saMsTaH samADiH aBiDIyate // NA rP_1,33.143 //
   yogī samādhyavasthāyāṃ na śṛṇoti na paśyati /	yogI samADi avasTAyAm na SRNoti na paSyati /
   na jighrati na spṛśati na kiñcadvakti sattama // NarP_1,33.144 //	na jiGrati na spRSati na kiQcat vakti sattamaH // NA rP_1,33.144 //
   ātmā tu nirmalaḥ śuddhaḥ sañcidānandavigrahaḥ /	AtmA tu nirmalaH SudDaH saQcit Ananda vigrahaH /
   sarvopādhivinirmukto yogināṃ bhātyacañcalaḥ // NarP_1,33.145 //	sarva upADi vinirmuktaH yoginAm BAti a caQcalaH // NA rP_1,33.145 //
   nirguṇo 'pi paro devo hyajñānādguṇavāniva /	nirguNaH api paraH devaH hi ajQAnAt guNavAn iva /
   vibhātyajñānanāśe tu yathāpūrvaṃ vyavasthitam // NarP_1,33.146 //	viBAti ajQAna nASe tu yaTApUrvam vyavasTitam // NA rP_1,33.146 //
   paraṃ jyotirameyātmā māyāvāniva māyinām /	param jyotiH ameya AtmA mAyAvAn iva mAyinAm /
   tannāśe nirmalaṃ brahma prakāśayati paṇḍitaṃ // NarP_1,33.147 //	tad nASe nirmalam brahma prakASayati paNxitam // NA rP_1,33.147 //
   ekamevādvitīyaṃ ca paraṃ jyotirnirañjanam /	ekam eva advitIyam ca param jyotiH niraQjanam /
   sarveṣāmeva bhūtānāmantaryāmitayā sthitam // NarP_1,33.148 //	sarvezAm eva BUtAnAm antaryAmitayA sTitam // NA rP_1,33.148 //
   aṇoraṇīyānmahato mahīyānsanātanātmākhilaviśvahetuḥ /	aNoH aNIyAn mahataH mahIyAn sanAtana Atma aKila viSva hetuH /
   paśyanti yajjñānavidāṃ variṣṭāḥ parātparasmātparamaṃ pavitram //	paSyanti yat jQAna vidAm varizwAH parAtparasmAt paramam pavitram //
   NarP_1,33.149 //	NA rP_1,33.149 //
   akārādikṣakārāntavarṇabhedavyavasthitaḥ /	akAra Adi kzakAra anta varNa Beda vyavasTitaH /
   purāṇapuruṣo 'nādiḥ śabdabrahmeti gīyate // NarP_1,33.150 //	purANapuruzaH anAdiH Sabdabrahma iti gIyate // NA rP_1,33.150 //
   viśuddamakṣaraṃ nityaṃ pūrṇamākāśamadhyagam /	viSuddam akzaram nityam pUrNam AkASa maDya gam /
   ānandaṃ nirmalaśāntaṃ paraṃ brahmeti gīyate // NarP_1,33.151 //	Anandam nirmala SAntam param brahma iti gIyate // NA rP_1,33.151 //
   yogino hṛdi paśyanti parātmānaṃ sanātanam /	yoginaH hRdi paSyanti para AtmAnam sanAtanam /
   avikāramajaṃ śuddhaṃ paraṃ brahmeti gīyate // NarP_1,33.152 //	avikAram ajam SudDam param brahma iti gIyate // NA rP_1,33.152 //
   dhyānamanyatpravakṣyāmi śṛṇuṣva muni sattama /	DyAnam anyat pravakzyAmi SRNuzva muni sattamaH /
   saṃsāratāpatatpānāṃ sudhāvṛṣṭisamaṃ nṛṇām // NarP_1,33.153 //	saMsAra tApa tatpAnAm suDA vRzwi samam nRNAm // NA rP_1,33.153 //
   nārāyaṇaṃ parānandaṃ smaretpraṇavasaṃsthitam /	nArAyaNam para Anandam smaret praNava saMsTitam /
   nādarupamanaupamyamarddhamātroparisthitam // NarP_1,33.154 //	na adarupam anOpamyam ardDa mAtra upari sTitam // NA rP_1,33.154 //
   akāraṃ brahmaṇo rupamukāraṃ viṣṇurupavat /	akAram brahmaNaH rupa mukAram vizNuH upavat /
   makāraṃ rudrarupaṃ syādardhdamātraṃ parātmakam // NarP_1,33.155 //	makAram rudra rupam syAt arDda mAtram para Atmakam // NA rP_1,33.155 //
   mātrāstistraḥ samākhyātā brahmaviṣṇu śivādhipāḥ /	mAtrAH tistraH samAKyAtAH brahma vizNu Siva aDipAH /
   teṣāṃ samuccayaṃ vipra parabrahmaprabodhakam // NarP_1,33.156 //	tezAm samuccayam vipra para brahma praboDakam // NA rP_1,33.156 //
   vācyaṃ tu paramaṃ brahma vācakaḥ praṇavaḥ smṛtaḥ /	vAcyam tu paramam brahma vAcakaH praNavaH smRtaH /
   vācyavācakasaṃbandho hyupacārāttayordvijā // NarP_1,33.157 //	vAcya vAcaka saMbanDaH hi upacArAt tayoH dvijAH // NA rP_1,33.157 //
   japantaḥ praṇavaṃ nityaṃ mucyante sarvapātakaiḥ /	japantaH praNavam nityam mucyante sarva pAtakEH /
   tadabhyāsena saṃyuktāḥ paraṃ mokṣaṃ labhanti ca // NarP_1,33.158 //	tad aByAsena saMyuktAH param mokzam laBanti ca // NA rP_1,33.158 //
   japaṃśca praṇavaṃ mantraṃ brahmaviṣṇuśivātmakam /	japan= ca praNavam mantram brahma vizNu Siva Atmakam /
   koṭisūryasamaṃ tejo dhyāyedātmani nirmalam // NarP_1,33.159 //	kowi sUrya samam tejaH DyAyet Atmani nirmalam // NA rP_1,33.159 //
   śālagrāmaśilārupaṃ pratimārupameva vā /	SAlagrAma SilA rupam pratimArupam eva vA /
   yadyatpāpaharaṃ vastu tattadvā cintayeddhṛdi // NarP_1,33.160 //	yat yat pApa haram vastu tat tat vA cintayet hRdi // NA rP_1,33.160 //
   yadetaddaiṣṇavaṃ jñānaṃ kathitaṃ te munīśvara /	yat etat dEzNavam jQAnam kaTitam te muni ISvara /
   etadviditvā yogīndro labhate mokṣamuttamam // NarP_1,33.161 //	etat viditvA yogi indraH laBate mokzam uttamam // NA rP_1,33.161 //
   yastvetacchṛāṇuyādvāpi paṭhedvāpi samāhitaḥ /	yaH tu etat SRANuyAt vA api paWet vA api samAhitaH /
   sa sarvapāpanirmukto harisālokyamānpuyāt // NarP_1,33.162 //	sa sarva pApa nirmuktaH hari sAlokya mAn puyAt // NA rP_1,33.162 //
   iti śrībṛnnāradīyapurāṇe pūrvabhāge prathamapāde yoganirupaṇaṃ nāma	iti SrI bRt nAradIyapurANe pUrva BAge praTama pAde yoganirupaNam nAma
   trayastriṃśo 'dhyāyaḥ	trayastriMSaH aDyAyaH
   nārada uvāca	nAradaH uvAca
   samākhyātāni sarvāṇi yogāṅgāni mahāmune /	samAKyAtAni sarvANi yoga aFgAni mahA mune /
   idānīmapi sarvajña yatpṛcchāmi taducyatām // NarP_1,34.1 //	idAnIm api sarvajQa yat pRcCAmi tat ucyatAm // NA rP_1,34.1 //
   yogobhaktimatāmeva sidhyatīti tvayoditam /	yogoBaktimatAm eva siDyati iti tvayA uditam /
   yasya tuṣyati sarveśastasya bhaktiśca śāśvatam // NarP_1,34.2 //	yasya tuzyati sarva ISaH tasya BaktiH ca SASvatam // NA rP_1,34.2 //
   yathā tuṣyati sarveśo devadevo janārdanaḥ /	yaTA tuzyati sarva ISaH devadevaH janArdanaH /
   tanmamākhyāhi sarvajña mune kāruṇyavāridhe // NarP_1,34.3 //	tat mama AKyAhi sarvajQa mune kAruNya vAriDe // NA rP_1,34.3 //
   sanaka uvāca	sanakaH uvAca
   nārāyaṇaṃ paraṃ devaṃ saccidānandavigraham /	nArAyaNam param devam saccidAnanda vigraham /
   bhaja sarvātmanā vipra yadi muktimabhīpsasi // NarP_1,34.4 //	Baja sarva AtmanA vipra yadi muktim aBIpsasi // NA rP_1,34.4 //
   ripavastaṃ na hiṃsanti na bādhante grahāścatam /	ripa vaH tam na hiMsanti na bADante grahAH catam /
   rākṣasāśca na cekṣante naraṃ viṣṇuparāyaṇam // NarP_1,34.5 //	rAkzasAH ca na ca Ikzante naram vizNu parAyaNam // NA rP_1,34.5 //
   bhaktardṛḍhā bhavedyasya devadeve janārdane /	BaktardRXA Bavet yasya devadeve janArdane /
   śreyāṃsi tasya sidhyanti bhaktimanto 'dhikāstataḥ // NarP_1,34.6 //	SreyAMsi tasya siDyanti BaktimantaH aDikAH tatas // NA rP_1,34.6 //
   pādau tau saphalau puṃsāṃ yau viṣṇugṛhagāminau /	pAdO tO sa PalO puMsAm yO vizNu gRha gAminO /
   tau karau laphalau jñeyau viṣṇupūjāparau tu yau // NarP_1,34.7 //	tO karO laPalO jQeyO vizNu pUjA parO tu yO // NA rP_1,34.7 //
   te netre suphale puṃsāṃ paśyato ye danārdanam /	te netre su Pale puMsAm paSyataH ye dana ardanam /
   sā jihvā procyate sadbhirharināmaparā tu yā // NarP_1,34.8 //	sA jihvA procyate sadBiH harinAma parA tu yA // NA rP_1,34.8 //
   satyaṃ satyaṃ punaḥ satyamuddhṛtya bhujamutyate /	satyam satyam punar satyam udDRtya Bujam utyate /
   tattvaṃ gurusamaṃ nārita nata devaḥ keśavātparaḥ // NarP_1,34.9 //	tattvam guru samam nArita nata devaH keSavAt paraH // NA rP_1,34.9 //
   satyaṃ vacmihitaṃ vācmi sāraṃ vacmi punaḥ punaḥ /	satyam vacmi hitam vAcmi sAram vacmi punar punar /
   asāre 'smiṃsta saṃsāre satyaṃ harisamarcanam // NarP_1,34.10 //	asAre asmin= te saMsAre satyam hari samarcanam // NA rP_1,34.10 //
   saṃsārapāśaṃ sudṛḍhaṃ mahāmohapradāyakam /	saMsAra pASam su dRXam mahA moha pradAyakam /
   haribhaktikuṭāreṇa cchittvātyantasukhī bhava // NarP_1,34.11 //	hari Bakti kuwAreNa cCittvA atyanta suKI Bava // NA rP_1,34.11 //
   tanmanaḥ saṃyutaṃ viṣṇau sā vāṇī yatparāyaṇā /	tat manaH saMyutam vizNO sA vANI yat parAyaNAH /
   te śrotre tatkathāsārapūrite lokavandite // NarP_1,34.12 //	te Srotre tad kaTA sAra pUrite loka vandite // NA rP_1,34.12 //
   ānandamakṣaraṃ śūnyamavasthātritayairapi /	Anandam akzaram SUnyam avasTA tritayEH api /
   ākāśamadhyagaṃ devaṃ bhaja nārada saṃtatam // NarP_1,34.13 //	AkASa maDya gam devam Baja nArada saMtatam // NA rP_1,34.13 //
   sthānaṃ na śakyate yasya svarupaṃ vā kadācana /	sTAnam na Sakyate yasya svarupam vA kadAcana /
   nirdeṣṭuṃ muniśārdūla draṣṭuṃ vāpyakṛtātmabhiḥ // NarP_1,34.14 //	nirdezwum muni SArdUla drazwum vA api akRtAtmaBiH // NA rP_1,34.14 //
   samastaiḥ karaṇairyukto vartte 'sau yadā tadā /	samastEH karaNEH yuktaH vartte asO yadA tadA /
   jāgradityucyate sadbhirantaryāmī sanātanaḥ // NarP_1,34.15 //	jAgrat iti ucyate sadBiH antaryAmI sanAtanaH // NA rP_1,34.15 //
   yadāntaḥ karaṇairṃyuktaḥ svecchayā vicaratyasau /	yadA antar karaNEH MyuktaH sva icCayA vicarati asO /
   svapannicyucyate hyātmā yadā svāpavivarjitaḥ // NarP_1,34.16 //	svapat nici ucyate hi AtmA yadA svApa vivarjitaH // NA rP_1,34.16 //
   na bāhyakaraṇairyukto na cāntaḥ karaṇaistathā /	na bAhya karaNEH yuktaH na ca antar karaNEH taTA /
   asvarupo yadātmāsau puṇyāpuṇyavivarjitaḥ // NarP_1,34.17 //	asvarupaH yad AtmA asO puNya apuNya vivarjitaH // NA rP_1,34.17 //
   sarvopādhivinirmukto hyānando nirguṇo vibhuḥ /	sarva upADi vinirmuktaH hi AnandaH nirguNaH viBuH /
   parabrahmamayo devaḥ suṣutpa iti gīyate // NarP_1,34.18 //	para brahma mayaH devaH suzutpaH iti gIyate // NA rP_1,34.18 //
   bhāvanāmayametadvai jagatsthāvarajaṅgamam /	BAvanA mayam etat vE jagat sTAvara jaFgamam /
   vidyudvilolaṃ viprendra bhaghaja tasmājjanārdanam // NarP_1,34.19 //	vidyut vilolam vipra indra BaGaja tasmAt janArdanam // NA rP_1,34.19 //
   ahiṃsā satyamasteyaṃ brahmacaryāparigrahau /	ahiMsA satyam asteyam brahmacarya aparigrahO /
   vartate yasya tasyaiva tuṣyate jagatāṃ patiḥ // NarP_1,34.20 //	vartate yasya tasya eva tuzyate jagatAm patiH // NA rP_1,34.20 //
   sarvabhaghūtadayāyukto viprapūjāparāyaṇaḥ /	sarva BaGUta dayA yuktaH vipra pUjA parAyaNaH /
   tasya tuṣṭo jagannātho madhukaiṭabhamarddanaḥ // NarP_1,34.21 //	tasya tuzwaH jagannATaH maDu kEwaBa marddanaH // NA rP_1,34.21 //
   satkathāyāṃ ca ramate satkathāṃ ca karoti yaḥ /	sat kaTAyAm ca ramate sat kaTAm ca karoti yaH /
   satsaṅgo nirahaṃ kārastasya prīto ramāpatiḥ // NarP_1,34.22 //	sat saFgaH niraham kAraH tasya prItaH ramApatiH // NA rP_1,34.22 //
   nāmasaṃkīrttanaṃ viṣṇo kṣuttṛṭpraskhalitādiṣu /	nAma saMkIrttanam vizNo kzut tRz prasKalita Adizu /
   karoti satataṃ yastu tasya prīto hyadhokṣajaḥ // NarP_1,34.23 //	karoti satatam yaH tu tasya prItaH hi aDokzajaH // NA rP_1,34.23 //
   yātu nārīpatiprāṇā patipūjāparāyaṇā /	yAtu nArI pati prANA pati pUjA parAyaNAH /
   tasyāstuṣṭo jagannātho dadāti svapadaṃ mune // NarP_1,34.24 //	tasyAH tuzwaH jagannATaH dadAti sva padam mune // NA rP_1,34.24 //
   asūyārahitā ye tu hyahaṅkāravivarjitāḥ /	asUyA rahitAH ye tu hi ahaFkAra vivarjitAH /
   devapūjāparāścaiva teṣāṃ tuṣyati keśavaḥ // NarP_1,34.25 //	deva pUjA parAH ca eva tezAm tuzyati keSavaH // NA rP_1,34.25 //
   tasmācchṛṇuṣva devarśe bhajasvaṃ satataṃ harim /	tasmAt SRNuzva devarSe Baja svam satatam harim /
   mā kuruṣva hyahaṅkāraṃ vidyullolaśriyā vṛthā // NarP_1,34.26 //	mA kuruzva hi ahaFkAram vidyut lola SriyA vRTA // NA rP_1,34.26 //
   śarīraṃ mṛtyusaṃyuktaṃ jīvitaṃ cāti cañcalam /	SarIram mRtyu saMyuktam jIvitam ca ati caQcalam /
   rājādibhirdhanaṃ bādhyaṃ sampadaḥ kṣaṇabhaṅgurāḥ // NarP_1,34.27 //	rAja AdiBiH Danam bADyam sampadaH kzaNa BaFgurAH // NA rP_1,34.27 //
   kiṃ na paśyasi devarṣe hyāyuṣārddhaṃ tu nidrayā /	kim na paSyasi deva Rze hi Ayuza ardDam tu nidrayA /
   hataṃ ca bhojanādyaiśca kiyadāyuḥ samāhṛtam // NarP_1,34.28 //	hatam ca Bojana AdyEH ca kiyat AyuH samAhRtam // NA rP_1,34.28 //
   kiyadāyurbālabhāvātkiyadvṛthā /	kiyat AyuH bAla BAvAt kiyat vRTAH /
   kiyadviṣayabhogaiśca kadā dharmānkariṣyati // NarP_1,34.29 //	kiyat vizaya BogEH ca kadA DarmAn karizyati // NA rP_1,34.29 //
   bālabhāve ca vārddhakyena ghaṭetācyutārcanam /	bAla BAve ca vArdDakyena Gaweta acyuta arcanam /
