   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   puṣpadhūpagandhamālyaduṣyayugaiḥ saṃcchādya sādhukāramadāt / sādhu sādhu	puzpa-DUpa-ganDa-mAlya-duzya-yugEH saMcCAdya sADukAram-adAt / sADu sADu
   bhagavan katamāni tāni mantrapadāni /	Bagavan katamAni tAni mantra-padAni /
   (Dutt 56) namaḥ sarvatathāgatānām tadyathābuddhe subuddhe śuddhamate /	(Dutt 56) namaH sarva-taTAgatAnAm tat-yaTAbudDe su-budDe SudDa-mate /
   loke viloke lokātikrānte / sattvāvalokane sarvatathāgatādhiṣṭhānādhiṣṭhite	loke viloke loka-atikrAnte / sattva-avalokane sarva-taTAgata-aDizWAna-aDizWite
   / sarvaśāparipūraṇe dyutindhare narake ca pūjite tathāgatajñānadade	/ sarva-SAparipUraNe dyutinDare narake ca pUjite taTAgata-jQAna-dade
   tathāgatādhiṣṭhāne ca / sarvalokaḥ sukhī bhavatu / pūrvakarma kṣapaya /	taTAgata-aDizWAne ca / sarva-lokaH suKI Bavatu / pUrva-karma kzapaya /
   mama	mama
   "nātsehaṃ mārapatiśukṣiṇasya āyaṣadika	"nAtseham mAra-pati-SukziNasya Ayazadika
   mahāśrādvopāsaka śulivajrasya"	mahASrAdva-upAsaka Suli-vajrasya"
   rakṣā bhavatu sarvabhayebhyaḥ tathāgatādhiṣṭhānena svāhā //	rakzA Bavatu sarva-BayeByaH taTAgata-aDizWAnena svAhA //
   imāni tāni kulaputrāho mantrapadāni triṃśatyā tathāgatasahasrairbhāṣitāni	imAni tAni kula-putra-ahaH mantra-padAni triMSatyA taTAgata-sahasrEH-BAzitAni
   adhiṣṭhitāni mayāpyetarhi bhāṣitā[ni] sarvasattvānāmarthāya hitāya sukhāya	aDizWitAni mayA-api-etarhi BAzitA[ni] sarva-sattvAnAm-arTAya hitAya suKAya
   rakṣāvaraṇaguptaye sarvavyādhipraśamanakarāṇi buddhakṣetropapattaye / yaḥ	rakzA-AvaraNa-guptaye sarva-vyADi-praSamana-karANi budDa-kzetra-upapattaye / yaH
   kaścit parṣa evaṃ jānīyuḥ kathaṃ nu vayaṃ sarvānetān tathāgatabhāṣitān	kaScid parzaH evam jAnIyuH kaTam nu vayam sarvAn-etAn taTAgata-BAzitAn
   guṇān pratilabheya tena kalyamevotthāya sarvasattvānāṃ dayācittena	guNAn pratilaBeya tena kalyam-eva-utTAya sarva-sattvAnAm dayA-cittena
   karūṇācittena maitracittena īrṣyāmānamrakṣakrodhaparivarjitena	karUNa-acittena mEtra-cittena IrzyAmAnamrakza-kroDa-parivarjitena
   ekāgracittena buddhasyodāratarāṃ pūjāṃ kṛtvā daśadiśaṃ sarvatathāgatānāṃ	ekAgra-cittena budDasya-udAratarAm pUjAm kRtvA daSa-diSam sarva-taTAgatAnAm
   namaskṛtvā yathākāmaṃ guṇān manasikṛtya aṣṭaśataṃ japya puṣpamekaikaṃ	namaskRtvA yaTAkAmam guNAn manasikRtya azwaSatam japya puzpam-ekEkam
   tathāgate deyam / tatastasya sarvāśāsamṛddhirbhaviṣyati / svapne ca	taTAgate deyam / tatas-tasya sarva-ASAsam-RdDiH-Bavizyati / svapne ca
   tathāgatadarśanaṃ bhaviṣyati / yaṃ varam icchati taṃ labhate / maraṇakāle	taTAgata-darSanam Bavizyati / yam varam icCati tam laBate / maraNa-kAle
   ca tathāgatadarśanaṃ bhaviṣyati / cyutvā sukhāvatyāṃ ca lokadhātau	ca taTAgata-darSanam Bavizyati / cyutvA suKAvatyAm ca lokaDAtO
   upapatsyate / āyurbalavarṇaviryasamanvāgataḥ / sarvaśatravaścāsya	upapatsyate / AyuH-bala-varNa-viryasam-anvAgataH / sarva-SatravaH-ca-asya
   vaśagāmino bhaviṣyanti /	vaSa-gAminaH Bavizyanti /
   (Dutt 57) asyāṃ khalu punardhāraṇyāṃ bhāṣyamāṇāyāṃ ṣaṣṭīnāṃ ca	(Dutt 57) asyAm Kalu punar-DAraNyAm BAzyamANAyAm zazwInAm ca
   prāṇisahasrāṇāmanutpattikeṣu dharmeṣu kṣāntipratilaṃbho 'bhūt / sarve ca	prANi-sahasrANAm-anutpattikezu Darmezu kzAnti-pratilaMBaH aBUt / sarve ca
   sarva[karmā] varaṇavinirmuktāḥ sarvābhiprāyaparipūrṇāḥ saṃvṛttāḥ /	sarva[karmA] varaNa-vinirmuktAH sarva-aBiprAya-paripUrNAH saMvRttAH /
   II	II
   atha khalu vajrapāṇirbodhisattvo daśadiśaṃ vyavalokya	aTa Kalu vajrapANiH-boDisattvaH daSa-diSam vyavalokya
   bhagavantametadavocat / asti bhagavan abhayatejaṃ nāma dhāraṇī	Bagavantam-etat-avocat / asti Bagavan aBayatejam nAma DAraNI
   bodhisattvānāṃ pratijñā yā mayā abhayavyūharājasya	boDisattvAnAm pratijQA yAH mayA aBaya-vyUha-rAjasya
   tathāgatasyāntikādudgṛhītā / udgṛhya sarvasattvebhyaḥ prakāśitā / tataḥ	taTAgatasya-antikAt-udgRhItA / udgRhya sarva-sattveByaH prakASitA / tatas-
   punaḥ bhagavan nābhijānābhi yasya svapne 'pi sā dhāraṇī karṇapuṭe	punar Bagavat na-aBijAna-aBi yasya svapne api sA DAraNI karNa-puwe
   nipatitāntargatā tasya syāccharīre daurbalyaṃ vā kleśo vā vyādhirvā jvaro	nipatita-antargatA tasya syAt-SarIre dOrbalyam vA kleSaH vA vyADiH-vA jvaraH-
   vā kāyaśūlaṃ vā cittapīḍā vā akālamṛtyurvā udakaṃ vā śastraṃ vā viṣaṃ vā	vA kAya-SUlam vA citta-pIxA vA akAla-mRtyuH-vA udakam vA Sastram vA vizam vA
   garaṃ vā ḍākinī vā bhūto vā yakṣo vā śatravo vā manuṣyā vāmanuṣyā vā	garam vA xAkinI vA BUtaH vA yakzaH vA SatravaH vA manuzyAH vA-amanuzyAH vA
   viheṭhaṃ vā kartuṃ hiṃsāṃ vā vidhātuṃ vā nedaṃ sthānaṃ vidyate /	viheWam vA kartum hiMsAm vA viDAtum vA na-idam sTAnam vidyate /
   tadanujānātu bhagavan yadahaṃ bodhisattvapratijñāmudrāṃ dāsyāmi / teṣāṃ	tad-anujAnAtu Bagavan yat-aham boDisattva-pratijQA-mudrAm dAsyAmi / tezAm
   dharmabhāṇakānāṃ dharmaśrāvaṇikānāmarthāya śrotṝṇāṃ mānayitṝṇāṃ	Darma-BANakAnAm Darma-SrAvaNikAnAm-arTAya SrotLNAm mAnayitLNAm
   pūjayitṝṇāṃ dhārayitṝṇāṃ vācayitṝṇāṃ sarvāśāparipūrakarāṇi /	pUjayitLNAm DArayitLNAm vAcayitLNAm sarva-ASA-paripUra-karANi /
   namaḥ sarvabuddhānām / sarvabodhisattvānāmarhantānām / tadyathā om	namaH sarva-budDAnAm / sarva-boDisattvAnAm-arhantAnAm / tat-yaTA om
   vajradhara vajradhara vajrakāya vajrabala vajrateja / hum hum / vajrapāṇe	vajraDara vajraDara vajrakAya vajra-bala vajratejaH / hum hum / vajrapANe
   (Dutt 58) tathāgatājñāṃ pālaya / smara pratijñām / sarvavyādhiṃ	(Dutt 58) taTAgata-AjQAm pAlaya / smara pratijQAm / sarva-vyADim
   sarvapāpāni nāśaya / dehi me yathepsitaṃ varam / mama	sarva-pApAni nASaya / dehi me yaTA-Ipsitam varam / mama
   "nātsehaṃ mārapati śulkṣiṇasya āyaṣādika śulivajrasya"	"nAtseham mArapati SulkziNasya Ayaza-Adika Suli-vajrasya"
   yaṃ yamevābhiyācāma staṃ tameva samṛdhyatu / he he / turu turu / āgaccha	yam yam-eva-aBiyAcAma stam tam-eva samRDyatu / he he / turu turu / AgacCa
   āgaccha / mā vilamba / darśaya vajrakāyaṃ darśaya vajrakāyam /	AgacCa / mA vilamba / darSaya vajra-kAyam darSaya vajra-kAyam /
   buddhādhiṣṭhānena svāhā /	budDa-aDizWAnena svAhA /
   asyāṃ dhāraṇyāṃ bhāṣyamāṇāyām iyaṃ mahāpṛthivī unmajjanimajjanaṃ karotu /	asyAm DAraNyAm BAzyamANAyAm iyam mahA-pRTivI unmajja-nimajjanam karotu /
   sarve ca yakṣarākṣasāḥ saṃbhrāntāḥ sarve ca devā yāvad manuṣyāmanuṣyā	sarve ca yakza-rAkzasAH saMBrAntAH sarve ca devAH yAvat manuzya-amanuzyA
   vismayamāpannāḥ sādhukāraṃ pradadati / sādhu sādhu mahāsattvāḥ	vismayam-ApannAH sADu-kAram pradadati / sADu sADu mahAsattvAH
   paramasiddhāni imāni dhāraṇīmantrapadāni bhāṣitāni / atha	parama-sidDAni imAni DAraNI-mantra-padAni BAzitAni / aTa
   vajrapāṇibodhisattvo bhagavantametadavocat / yaḥ kaścid bhadanta bhagavan	vajrapANi-boDisattvaH Bagavantam-etat-avocat / yaH kaScid Badanta Bagavan
   bodhisattvabhūmimabhiprārthayate dhanadhānyabhogaiśvaryaṃ rājyaṃ	boDisattva-BUmim-aBiprArTayate Dana-DAnya-Boga-ESvaryam rAjyam
   vidyādharatvam āyurbalavīryadīrghāyuṣkatvaṃ tena śuklāṣṭamyāṃ	vidyADara-tvam AyuH-bala-vIrya-dIrGa-Ayuzka-tvam tena Sukla-azwamyAm
   śvetacandanamayo vajradharaḥ kāryaḥ aṭṭahāsaḥ sarvālaṃkāravibhūṣitaḥ /	Svetacandana-mayaH vajraDaraH kAryaH awwahAsaH sarva-alaMkAra-viBUzitaH /
   sadhātukahṛdayaṃ kartavyam / sadhātukaṃ vajra[dharaṃ] samāśvāsakaṃ	sa-DAtuka-hRdayam kartavyam / sa-DAtukam vajra[DaraM] samASvAsakam
   vidyādharaṃ dhūpadahyamānaṃ śucinā ahorātroṣitena kāryam / tato 'ṣṭamyāṃ	vidyADaram DUpa-dahyamAnam SucinA ahorAtra-uzitena kAryam / tatas azwamyAm
   pūrvasecaṃ (Dutt 59) kṛtvā śuce satathāgatasthāne mahatā	pUrva-secam (Dutt 59) kRtvA Suce sa-taTA-gata-sTAne mahatA
   dhūpapuṣpagandhadīpaiḥ pūjāṃ kṛtvā triskṛtvā aṣṭaśatiko jāpo dātavyaḥ	DUpa-puzpa-ganDa-dIpEH pUjAm kRtvA triskRtvA azwaSatikaH jApaH dAtavyaH
   tathāgatasya pūjā kartavyā / sarvatathāgatānāṃ namaskṛtya catvāri	taTAgatasya pUjA kartavyA / sarva-taTAgatAnAm namaskRtya catvAri
   pūrṇakumbhā[ni]sthāpya raktacandanamayaṃ maṇḍalaṃ kṛtvā	pUrNa-kumBA[-ni]sTApya raktacandana-mayam maNxalam kRtvA
   śvetavastrāprāvṛtena ekāgramānasena caturdiśe ca	Sveta-vastra-aprAvRtena ekAgra-mAnasena caturdiSe ca
   rasagandhamadyapāyasavaliṃ dattvā aṣṭaśatasumanaḥpuṣpaiḥ	rasa-ganDa-madya-pAyasa-valim dattvA azwa-Sata-sumanaH-puzpEH
   vajrapāṇirāhartavyaḥ / yāvat pañcadaśī tato mahānirghoṣo bhaviṣyati	vajrapANiH-AhartavyaH / yAvat paQcadaSI tatas mahA-nirGozaH Bavizyati
   pṛthivīkampaśca raśmayo niścariṣyanti / tato yathepsitaṃ varaṃ dāsyāmi /	pRTivI-kampaH-ca raSmayaH niScarizyanti / tatas yaTA-Ipsitam varam dAsyAmi /
   sarvakarmāṇi sarvakāryāṇi japitamātreṇa samṛddhiṣyanti / vigatavyādhayo	sarva-karmANi sarva-kAryANi japita-mAtreNa samRdDizyanti / vigata-vyADayo
   cirajīvī sarvapāpavivarjito bhaviṣyati / guṇasahasraṃ pratilapsyate /	cirajIvI sarva-pApa-vivarjitaH Bavizyati / guNa-sahasram pratilapsyate /
   maraṇakāle ca buddhaṃ paśyati / ahaṃ ca darśanaṃ dāsyāmi / atha bhagavān	maraNa-kAle ca budDam paSyati / aham ca darSanam dAsyAmi / aTa BagavAn
   sādhukāramadāt / sādhu sādhu vajrapāṇe anatikramaṇīyā iyaṃ mudrā / nātra	sADukAram-adAt / sADu sADu vajrapANe anatikramaNIyAH iyam mudrA / na-atra
   kāṃkṣā na vimatirna vicikitsā kartavyā sadevakena lokena /	kAMkzA na vimatiH-na vicikitsA kartavyA sa-devakena lokena /
   III	III
   atha maṃjuśrīḥ kumārabhūto bhagavantametadavocat / kenārthenāyaṃ bhagavan	aTa maMju-SrIH kumAra-BUtaH Bagavantam-etat-avocat / kena-arTena-ayam Bagavan
   sarvatathāgatādhiṣṭhānasattvāvalokanabuddhakṣetrasandarśanavyūho nāma	sarva-taTAgata-aDizWAna-sattva-avalokana-budDa-kzetrasandarSana-vyUhaH nAma
   samādhirucyate / bhagavānāha / sarvatathāgatānāmadhiṣṭhānaṃ (Dutt 60)	samADiH-ucyate / BagavAn-Aha / sarva-taTAgatAnAm-aDizWAnam (Dutt 60)
   sarvabodhisattvānām adhiṣṭhitaśca sarvasamādhiṃ sarvadhāraṇīmukhāni	sarva-boDisattvAnAm aDizWitaH-ca sarva-samADim sarva-DAraNI-muKAni
   pratilabhate / sarvasattvānāṃ cittacaitasikasamiṃjitaprasāritāni prajānāti	pratilaBate / sarva-sattvAnAm citta-cEtasika-samiMjita-prasAritAni prajAnAti
   / devānāṃ nāgānāṃ manuṣyāṇāṃ yakṣāṇāṃ gandharvāṇāṃ pretānāṃ	/ devAnAm nAgAnAm manuzyANAm yakzANAm ganDarvANAm pretAnAm
   tiryagyonigatānāṃ yāmalaukikānām amī sattvāḥ puṇyopagāḥ sukṛtakarā	tiryagyoni-gatAnAm yAma-lOkikAnAm amI sattvAH puNya-upagAH sukRta-karA
   buddhadharmasaṃgheṣu prasādaṃ pratilabhante / amī	budDa-Darma-saMGezu prasAdam pratilaBante / amI
   narakagāmiduṣkṛtagāmipāpakāriṇaḥ / teṣāṃ sattvānāṃ pāpadṛṣṭigatānāṃ	naraka-gAmi-duzkRta-gAmi-pa-apakAriNaH / tezAm sattvAnAm pApa-dRzwi-gatAnAm
   dharmaṃ deśayati sarvapāpebhyo nivārayati / buddhabodhau pratiṣṭhāpayati	Darmam deSayati sarva-pApeByaH nivArayati / budDa-boDO pratizWApayati
   sarvābhiprāyaṃ paripūrayati / īrṣyāmānakrodhamātsaryaṃ vinodayati / te ca	sarva-aBiprAyam paripUrayati / IrzyA-mAna-kroDa-mAtsaryam vinodayati / te ca
   sattvā buddhadharmasaṃgheṣu prasādaṃ pratilabhya buddhakṣetreṣupapadyante	sattvAH budDa-Darma-saMGezu prasAdam pratilaBya budDa-kzetra-izupapadyante
   / na jātu duḥkhamanubhavanti na daurmanasyam / tenāyaṃ kulaputra	/ na jAtu duHKam-anuBavanti na dOrmanasyam / tena-ayam kula-putra
   sarvatathāgatādhiṣṭhānasattvāvalokanabuddhakṣetrasandarśanavyūho nāma	sarva-taTAgata-aDizWAna-sattva-avalokana-budDa-kzetrasandarSana-vyUhaH nAma
   samādhirucyate / yaṃ śrutvā niyatāvaivarthikabhūmiṃ pratilabhante /	samADiH-ucyate / yam SrutvA niyatO=-EvarTika-BUmim pratilaBante /
   [sa]āha / kenārthena bhagavaṃsteṣāṃ kulaputrāṇāṃ vyākaraṇaṃ bhavati /	[sa]Aha / kena-arTena Bagavan=-tezAm kula-putrANAm vyAkaraNam Bavati /
   kiyatteṣāṃ puṇyaskandhaṃ bhavati / kiṃ duṣkaracaryā / duṣkaraṃ ca bhagavan	kiyat-tezAm puNya-skanDam Bavati / kim duzkara-caryA / duzkaram ca Bagavan
   arhattvaṃ prāgevānuttarā samyaksaṃbodhiḥ / bhagavānāha / yaśca mayā	arhat-tvam prAk-eva-anuttarA samyaksaMboDiH / BagavAn-Aha / yaH-ca mayA
   kulaputra prathamacittotpādamupādāya	kula-putra praTama-citta-utpAdam-upAdAya
   dānaśīlakṣāntivīryadhyānaprajñāpāramitā paripūritā yaśca śiraḥkara	dAna-SIla-kzAnti-vIrya-DyAna-prajQApAramitA paripUritAH yaH-ca SiraH-kara
   caraṇanayanottamāṃgapriyaputrabhāryāduhitṛdāsadāsīparityāga kṛtaḥ yaścāsya	caraNa-nayana-uttamAMga-priya-putra-BAryA-duhitR-dAsa-dAsI-parityAga kRtaH yaH-ca-asya
   dharmaparyāyasya (Dutt 61)	Darma-paryAyasya (Dutt 61)
   pūjanasatkaraṇalikhanalekhāpanavācanodgrahaṇīyaḥ puṇyābhisaṃskāraḥ	pUjana-satkaraNa-liKana-leKApanavAcana-udgrahaNIyaH puNya-aBisaMskAraH
   parebhyaḥ saṃprakāśanīyaḥ puṇyābhisaṃskāraḥ teṣāṃ ca dharmabhāṇakānāṃ	pareByaH saMprakASanIyaH puNya-aBisaMskAraH tezAm ca Darma-BANakAnAm
   pūjanasatkaraṇapuṇyābhisaṃskāraḥ tasyāyaṃ pūrvimakaḥ puṇyābhisaṃskāraḥ	pUjana-satkaraNa-puNya-aBisaMskAraH tasya-ayam pUrvimakaH puNya-aBisaMskAraH
   śatatamāmapi kalāṃ nopaiti / yaśca mayā kulaputra dharmo bhāṣitaḥ	SatatamAm-api kalAm na-upEti / yaH-ca mayA kula-putra DarmaH BAzitaH
   paryāvāptaḥ taṃ sarvaṃ satkare gurukare mānaye pūjaye satkṛtya likhaye	parya-avAptaH tam sarvam satkare gurukare mAnaye pUjaye satkRtya liKaye
   likhāpaye / yaścāyaṃ dharmaparyāyaḥ likhe vācaye pūjaye saṃprakāśaye	liKA-paye / yaH-ca-ayam Darma-paryAyaH liKe vAcaye pUjaye saMprakASaye
   bahutaram itaḥ puṇyābhisaṃskāraṃ parigrahīṣyati / tatastathāgato	bahutaram itas puNya-aBisaMskAram parigrahIzyati / tatas-taTAgataH-
   vyākarotyanuttarāyāṃ samyaksaṃbodhau / tat kasya hetoḥ / evaṃrūpasya	vyAkaroti-anuttarAyAm samyaksaMboDO / tat kasya hetoH / evaMrUpasya
   duṣkaraṃ dharmaparyāyasya śravaṇodgrahaṇadhāraṇapūjanalikhanam / te ca	duzkaram Darma-paryAyasya SravaNa-udgrahaNa-DAraNa-pUjana-liKanam / te ca
   sattvāḥ pāpasamācārāḥ khādyapeyahāsyanāṭyābhiratā aśubhe śubhasaṃjñinaḥ	sattvAH pApa-samAcArAH KAdya-peya-hAsya-nAwyA-aBiratAH aSuBe SuBa-saMjQinaH
   kāmakrodhavyāpādabahulā asukhe sukhasaṃjñinaḥ	kAma-kroDa-vyApAda-bahulAH asuKe suKa-saMjQinaH
   prahārākrośatarjanatāḍanābhiratā na jñāsyanti na manasi kariṣyanti / te	prahAra-akroSa-tarjana-tAxana-aBiratAH na jQAsyanti na manasi karizyanti / te
   tataḥ pāpakarmanidānājñānā akalyāṇamitraparigṛhītā	tatas pApa-karma-nidAna-ajQAnA akalyANa-mitra-parigRhItA
   jarāvyādhiśokamṛtyuparipīḍitā maraṇakāle paritarpyante /	jarA-vyADi-Soka-mRtyu-paripIxitAH maraNa-kAle paritarpyante /
   śmaśānasadṛśamaṃcāvalaṃvyamānaṃ parasparaṃ paśyanti na ca	SmaSAna-sadRSa-maMcAvalaMvyamAnam parasparam paSyanti na ca
   kuśalacittamutpādayiṣyanti nābhedyaprasādam / te tataścyavitvā punarapi	kuSala-cittam-utpAdayizyanti nABedya-prasAdam / te tatas-cyavitvA punar-api
   duḥkhāni pratyanubhaviṣyanti / nāyaṃ	duHKAni pratyanuBavizyanti / na-ayam
   kulaputrākṛtakuśalamūlaistathāgatādarśāvino (Dutt 62) avyākaraṇaprāptaiḥ	kula-putra-akRta-kuSala-mUlEH-taTAgata-AdarSAvinaH (Dutt 62) avyAkaraNa-prAptEH
   śrotuṃ mānayituṃ pūjayitum udgrahītuṃ na likhituṃ na likhāpayituṃ na	Srotum mAnayitum pUjayitum udgrahItum na liKitum na liKApayitum na
   śraddhadhātuṃ na ca tān dharmabhāṇakān satkartuṃ mānayituṃ pūjayitum [api	SradDaDAtum na ca tAn Darma-BANakAn satkartum mAnayitum pUjayitum [api
   na śakyate /] tathāgatakṛtyaṃ kulaputra tatra viṣaye bhaviṣyati yatrāyaṃ	na Sakyate /] taTAgata-kRtyam kula-putra tatra vizaye Bavizyati yatra-ayam
   dharmaparyāyaḥ pracariṣyati / atha sā yathā samāgatā parṣat sādhukāramadāt	Darma-paryAyaH pracarizyati / aTa sA yaTA samAgatA parzad sADukAram-adAt-
   / sādhu sādhu bhagavan / vayamapi bhagavan dharmabhāṇakaṃ dharmaśrāvaṇikaṃ	/ sADu sADu Bagavan / vayam-api Bagavan Darma-BANakam Darma-SrAvaNikam
   tathāgatakṛtyena satkariṣyāmaḥ gurūkariṣyāmaḥ mānayiṣyāmaḥ	taTAgata-kRtyena satkarizyAmaH gurUkarizyAmaH mAnayizyAmaH
   sarvasukhopadhānaṃ cāsyopasaṃhariṣyāmaḥ / ayaṃ ca dharmaparyāyaṃ	sarva-suKa-upaDAnam ca-asya-upasaMharizyAmaH / ayam ca Darma-paryAyam
   vaistarikīkariṣyāmaḥ rakṣiṣyāmaḥ yenāyaṃ dharmaparyāyaściraśtitiko	vEstarikIkarizyAmaH rakzizyAmaH yena-ayam Darma-paryAyaH-ciraH-titikaH-
   bhaviṣyati / atha bhagavāṃstasyāṃ velāyāṃ yathā samāgatāṃ	Bavizyati / aTa BagavAn=-tasyAm velAyAm yaTA samAgatAm
   parṣadamavalokyaivamāhuḥ / sādhu sādhu kulaputra / aho evamapi yuṣmākaṃ	parzadam-avalokya-evam-AhuH / sADu sADu kula-putra / aho evam-api yuzmAkam
   karaṇīyam / kāyacittanirapekṣairbhūtvā	karaNIyam / kAya-citta-nirapekzEH-BUtvA
   sarvopaplavanaparibhavanaparibhāṣaṇatarjanaprahārākrośalabhyamānam [api]	sarva-upaplavana-pariBavana-pariBAzaNa-tarjana-prahAra-akroSa-laByamAnam [api]
   imaṃ dharmaparyāyaḥ śrāvayitavyo likhitavyo vācayitavyaḥ / taṃ ca	imam Darma-paryAyaH SrAvayitavyaH liKitavyaH vAcayitavyaH / tam ca
   dharmabhāṇakaṃ dharmaśrāvaṇikaṃ sarvasukhopadhānena copasthātavyaḥ / sa ca	Darma-BANakam Darma-SrAvaNikam sarva-suKa-upaDAnena ca-upasTAtavyaH / sa ca
   viṣayaḥ sa ca dvīpaḥ sa ca nagaro rakṣitavyaḥ	vizayaH sa ca dvIpaH sa ca nagaraH rakzitavyaH
   sarvabhayopadravopasargopāyāsebhyaḥ / tasya ca kulaputrasya kuladuhiturvā	sarva-Baya-upadrava-upasarga-upAyAseByaH / tasya ca kula-putrasya kula-duhituH-vA
   satatasamitaṃ samanvāhartavyam / atha bhagavāṃstasyāṃ velāyāmimā gāthā	satata-samitam samanvAhartavyam / aTa BagavAn=-tasyAm velAyAm-imAH gATA
   abhāṣata /	aBAzata /
   śṛṇuta kulaputra apramattā mā paścakāle parittāpyu bheṣyatha /	SRNuta kula-putra apramattA mA paSca-kAle parittApyu BezyaTa /
   buddhasya utpādyu kadāci labhyate kalpānakoṭībhi śataiḥ sahasraiḥ //	budDasya utpAdyu kadAci laByate kalpAna-kowIBi SatEH sahasrEH //
   guṇāśca śṛṇvatvabhiśraddadheta na durlabhā teṣu samādhi bheṣyati /	guNAH-ca SRNvatu-aBiSraddaDeta na durlaBA tezu samADi Bezyati /
   kalpānakoṭīn yatha gaṅgavālikā yo dānu dadyā dvipadottameṣu //	kalpAn-a-kowIn yaTa gaFgavAlikAH yaH dAnu dadyAH dvipada-uttamezu //
   dhanaṃ cā dhānyaṃ tatha vastrabhūṣaṇaṃ gandhaṃ ca mālyaṃ ca vilepanaṃ ca /	Danam cA DAnyam taTa vastra-BUzaNam ganDam ca mAlyam ca vilepanam ca /
   yaścaiva sutramabhiśraddadhitvā śruṇeya vāceya likhāpayeta /	yaH-ca-eva sutram-aBiSraddaDitvA SruNeya vAceya liKApayeta /
   na tasya puṇyasya pramāṇu vidyate tā cāpramāṇaṃ sugatena deśitam //	na tasya puNyasya pramANu vidyate tA ca-apramANam sugatena deSitam //
   raṇyaṃ ca seveta sadāpramatto dhyānaṃ ca dhyāyetu sadānyacittaḥ /	raNyam ca seveta sadA-apramattaH DyAnam ca DyAyetu sadA-anya-cittaH /
   dānaṃ ca dadyā priyaputradhītarā hastau ca pādau ca parityajeta //	dAnam ca dadyA priya-putra-DItarAH hastO ca pAdO ca parityajeta //
   (Dutt 64)	(Dutt 64)
   yathaiva sūtrasya dhareti kaści ayaṃ tato puṇyaviśeṣyu prāpnuyā /	yaTA-eva sUtrasya DarA-iti kaSci ayam tatas puNya-viSezyu prApnuyAH /
   arthasya dātā varasūtrametat sarvasyāpāyā sadā varjitāsya //	arTasya dAtA vara-sUtram-etat sarvasya-apAyA sadA varjitA-asya //
   dhanasya dhānyasya ca dāyako hyayaṃ guṇāśca sarve 'pi na tasya durlabhāḥ /	Danasya DAnyasya ca dAyakaH hi-ayam guNAH-ca sarve api na tasya durlaBAH /
   āyurbalaṃ vīryu na tasya durlabhaṃ dhāreti sūtraṃ ya imaṃ viśuddham //	AyuH-balam vIryu na tasya durlaBam DArA-iti sUtram yaH imam viSudDam //
   drakṣyanti buddhamamitābhu nāyakaṃ mayāpi sa vyākṛtu buddhabodhau /	drakzyanti budDam-amita-ABu nAyakam mayA-api sa vyAkRtu budDa-boDO /
   na tasya pāpaṃ pi kadāci vidyate sukhāvatīṃ drakṣyati lokadhātum //	na tasya pApam pi kadAci vidyate suKAvatIm drakzyati lokaDAtum //
   yaṃ cāpi tasya sada karmu bheṣyati sarvaṃ kṣayaṃ yāsyati cittanīḍe /	yam ca-api tasya sada karmu Bezyati sarvam kzayam yAsyati citta-nIxe /
   kāyasya śūle tatha śīrṣatāpe na tasya jātu vinipātu bheṣyati /	kAyasya SUle taTa SIrza-tApe na tasya jAtu vinipAtu Bezyati /
   sāṃdṛṣṭikāṃścāpi guṇāṃ sa lapsyate sarvaṃ yathā cintitu prārthitaṃ ca //	sAMdRzwikAn=-ca-api guNAm sa lapsyate sarvam yaTA cintitu prArTitam ca //
   tasmābhi tebhi sada bhikṣubhikṣuṇī upāsakopāsika rājabhiḥ sadā /	tasma-aBi teBi sada BikzuBikzuNI upAsaka-upAsika rAjaBiH sadA /
   gurugauravaṃ kṛtvā ca dharmabhāṇake yathā narendrasya tathāgatasya //	guru-gOravam kRtvA ca Darma-BANake yaTA narendrasya taTAgatasya //
   (Dutt 65)	(Dutt 65)
   idaṃ ca sūtraṃ sada dhāritavyaṃ satkāru nityaṃ ca kartavyadhārake /	idam ca sUtram sadaH DAritavyam satkAru nityam ca kartavya-DArake /
   gandhaiśca mālyaiśca vilepanaiśca satkāru kṛtvā ca likhāpayeta //	ganDEH-ca mAlyEH-ca vilepanEH-ca satkAru kRtvA ca liKApayeta //
   mā paścakāle jaravyādhipīḍitā aneka-āyāsasahasravyākulāḥ /	mA paSca-kAle jara-vyADi-pIxitAH aneka--AyAsa-sahasra-vyAkulAH /
   narakeṣu tiryakṣu paribhramāṇāḥ ṣaṇḍhāśca paṇḍāśca jugupsanīyāḥ /	narakezu tiryakzu pariBramANAH zaNXAH-ca paNxAH-ca jugupsanIyAH /
   jātyandhabhūtāḥ kuṇapāśca gandhinaḥ saṃjāsyate nīcakuleṣu strīṣu //	jAti-anDa-BUtAH kuNapAH-ca ganDinaH saMjAsyate nIca-kulezu strIzu //
   īrṣyālukasya sada pāpacāriṇaḥ krodhābhibhūtasya ca matsariṣya /	IrzyAlukasya sada pApa-cAriNaH kroDa-aBiBUtasya ca mad-sarizya /
   buddheṣu dharmeṣu karitva gauravam imeṣu jātīṣūpapadyate 'sau /	budDezu Darmezu karitva gOravam imezu jAtIzu-upapadyate asO /
   tatraiva duḥkhāni ca vedamānā mā paścakāle paritāpyu bheṣyatha //	tatra-eva duHKAni ca veda-mAnA mA paSca-kAle paritApyu BezyaTa //
