   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   gaccha tvaṃ maudgalyāyana vimalakīrter licchaver glānaparipṛcchakaḥ /	gacCa tvam mOdgalyAyana vimala-kIrteH licCaveH glAna-paripRcCakaH /
   maudgalyāyano 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	mOdgalyAyanaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasya hetoḥ / abhijānāmy ahaṃ bhagavan:	glAna-paripRcCakaH gantum / tat kasya hetoH / aBijAnAmi aham Bagavan-:
   ekasmin samaye vaiśālyāṃ mahānagaryām anyatamasmin vīthīmukhe gṛhapatibhyo	ekasmin samaye vESAlyAm mahA-nagaryAm anyatamasmin vITI-muKe gRhapatiByaH-
   dharmaṃ deśayāmi / tatra māṃ vimalakīrtir licchavir upasaṃkrāmyaivam āha:	Darmam deSayAmi / tatra mAm vimala-kIrtiH licCaviH upasaMkrAmya-evam Aha:
   Vkn .3.6 na bhadantamaudgalyāyana gṛhibhyo 'vadātavasanebhya evaṃ dharmo	Vk .3.6 na Badanta-mOdgalyAyana gRhiByaH avadAta-vasaneByaH evam DarmaH-
   deśayitavyo yathā bhadanto deśayati / api tu tathā bhadantamaudgalyāyana	deSayitavyaH yaTA BadantaH deSayati / api tu taTA Badanta-mOdgalyAyana
   dharmo deśayitavyo yathaiva sa dharmaḥ / dharmo hi bhadantamaudgalyāyana	DarmaH deSayitavyaH yaTA-eva sa DarmaH / DarmaH hi Badanta-mOdgalyAyana
   asatvaḥ satvarajovigataḥ, nairātmyo rāgarajovigataḥ, nirjīvo	asatvaH satva-rajaH-vigataH, nErAtmyaH rAga-rajaH-vigataH, nirjIvaH-
   jāticyutivigataḥ, niṣpudgalaḥ pūrvāntāparāntaparicchinnaḥ, śānta	jAti-cyuti-vigataH, nizpudgalaH pUrva-anta-apara-anta-paricCinnaH, SAnta
   upaśāntalakṣaṇaḥ, virāgo 'nārambaṇagatikaḥ, anakṣaraḥ sarvavākyacchedaḥ,	upaSAnta-lakzaNaH, virAgaH anArambaNa-gatikaH, anakzaraH sarva-vAkya=-CedaH,
   anudāhāraḥ sarvormivigataḥ, sarvatrānugata ākāśasamasadṛśaḥ,	anudAhAraH sarva-Urmi-vigataH, sarvatra-anugataH AkASa-sama-sadRSaH,
   avarṇaliṅgasaṃsthānaḥ sarvapracāravigataḥ, amamo mamakāravigataḥ,	avarNa-liFga-saMsTAnaH sarva-pracAra-vigataH, amamaH mamakAra-vigataH,
   avijñaptiś cittamanovijñānavigataḥ, asadṛśo niṣpratipakṣatvāt,	avijQaptiH citta-manaH-vijQAna-vigataH, asadRSaH nizpratipakza-tvAt,
   hetuvilakṣaṇaḥ pratyayāsamāropaḥ, dharmadhātusamavasaraṇaḥ	hetu-vilakzaNaH pratyaya-asamAropaH, DarmaDAtu-samavasaraNaH
   sarvadharmasamāhitaḥ, tathatānugato 'nanugamanayogena,	sarva-Darma-samAhitaH, taTatA-anugataH ananugamana-yogena,
   bhūtakoṭipratiṣṭhito 'tyantācalitatvāt, acalitaḥ ṣaḍviṣayāniśritatvāt, na	BUta-kowi-pratizWitaH atyanta-acalita-tvAt, acalitaH zaz-vizaya-AniSrita-tvAt, na
   kvacid gamanāgamano 'navasthitatvāt, śūnyatāsamāhita ānimittaprabhāvito	kvacid gamana-AgamanaH anavasTita-tva-at, SUnyatA-samAhitaH Animitta-praBAvitaH-
   'praṇihitalakṣaṇaḥ, ūhāpohavigataḥ, anutkṣepo 'prakṣepaḥ,	apraNihita-lakzaNaH, UhA-apoha-vigataH, anutkzepaH aprakzepaH,
   utpādabhaṅgavigataḥ, anālayaś	utpAda-BaFga-vigataH, anAlayaH-
   cakṣuḥśrotraghrāṇajihvākāyamanaḥpathasamatikrāntaḥ, anunnato 'navanataḥ,	cakzuH-Srotra-GrANa-jihvA-kAya-manaH-paTa-samatikrAntaH, anunnataH anavanataH,
   sthito 'neñjyaṃ prāptaḥ, sarvapracāravigataḥ /	sTitaH aneQjyam prAptaH, sarva-pracAra-vigataH /
   Vkn .3.7 īdṛśasya bhadantamahāmaudgalyāyana dharmasya kīdṛśī deśanā /	Vk .3.7 IdRSasya Badanta-mahAmOdgalyAyana Darmasya kIdRSI deSanA /
   dharmadeśaneti bhadantamahāmaudgalyāyana samāropapadam etat / ye 'pi	Darma-deSanA-iti Badanta-mahAmOdgalyAyana samAropa-padam etat / ye api
   śṛṇvanti te 'pi samāropenaiva śṛṇvanti / yatra bhadantamaudgalyāyana	SRNvanti te api samAropena-eva SRNvanti / yatra Badanta-mOdgalyAyana
   asamāropapadaṃ na tatra deśyate na śrūyate na vijñāyate / tadyathā	asamAropa-padam na tatra deSyate na SrUyate na vijQAyate / tat-yaTA
   māyāpuruṣo māyāpuruṣebhyo dharmaṃ deśayati /	mAyA-puruzaH mAyA-puruzeByaH Darmam deSayati /
   Vkn .3.8 evaṃ hi cittāvasthānena dharmo deśayitavyaḥ / satvendriyakuśalena	Vk .3.8 evam hi citta-avasTAnena DarmaH deSayitavyaH / satva-indriya-kuSalena
   ca te bhavitavyam, sudṛṣṭaprajñādarśanena mahākaruṇāmukhībhūtena	ca te Bavitavyam, su-dRzwa-prajQA-darSanena mahA-karuNA-muKIBUtena
   mahāyānasaṃvarṇakena buddhekṛtajñena śuddhāśayena dharmaniruktividhijñena,	mahAyAna-saMvarNakena budDa-IkRtajQena SudDa-ASayena Darma-nirukti-viDi-jQena,
   triratnavaṃśānupacchedāya ca te dharmo deśayitavyaḥ /	tri-ratna-vaMSAn-upacCedAya ca te DarmaH deSayitavyaH /
   Vkn .3.9 tena bhagavan tathā tathā dharmo deśito yathā tato	Vk .3.9 tena Bagavan taTA taTA DarmaH deSitaH yaTA tatas-
   gṛhapatiparsado 'ṣṭānāṃ gṛhapatiśatānām anuttarāyāṃ samyaksaṃbodhau	gRhapati-parsadaH azwAnAm gRhapati-SatAnAm anuttarAyAm samyaksaMboDO
   cittāny utpannāni / ahaṃ ca niṣpratibhāno 'bhūvam / tan nāhaṃ bhagavan	cittAni utpannAni / aham ca nizpratiBAnaH aBUvam / tat na-aham Bagavan
   utsahe tasya satpuruṣasya glānaparipṛcchako gantum /	utsahe tasya sat-puruzasya glAna-paripRcCakaH gantum /
   Vkn .3.10 tatra bhagavān āyuṣmantaṃ mahākāśyapam āmantrayate sma: gaccha	Vk .3.10 tatra BagavAn Ayuzmantam mahAkASyapam Amantrayate sma: gacCa
   tvaṃ mahākāśyapa vimalakīrter licchaver glānaparipṛcchakaḥ /	tvam mahAkASyapa vimala-kIrteH licCaveH glAna-paripRcCakaH /
   mahākāśyapo 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	mahAkASyapaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan	glAna-paripRcCakaH gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan
   daridravīthyāṃ piṇḍāya carāmi / tatra māṃ vimalakirtir licchavir	daridra-vITyAm piNxAya carAmi / tatra mAm vimala-kirtiH licCavir
   upasaṃkramyaivam āha:	upasaMkramya-evam Aha:
   Vkn .3.11 prādeśikī bhadantamahākāśyapasya karuṇāmaitrī, yan mahākulāny	Vk .3.11 prAdeSikI Badanta-mahAkASyapasya karuNA-mEtrI, yat mahA-kulAni-
   utsṛjya daridrakulāny upasaṃkrāmasi / api tu bhadantamahākāśyapa	utsRjya daridra-kulAni upasaMkrAmasi / api tu Badanta-mahAkASyapa
   dharmasamatāpratiṣṭhitena te bhavitavyam / sarvadā sarvasatvasamanvāhāreṇa	Darma-sama-tA-pratizWitena te Bavitavyam / sarvadA sarva-satva-samanvAhAreNa
   piṇḍapātaḥ paryeṣṭavyaḥ / anāhāreṇa cāhāraḥ paryeṣṭavyaḥ /	piNxapAtaH paryezwavyaH / anAhAreNa ca-AhAraH paryezwavyaH /
   parapiṇḍagrāhāpanayāya ca te piṇḍāya caritavyam / śūnyagrāmādhiṣṭhitena ca	para-piNxa-grAha-apanayAya ca te piNxAya caritavyam / SUnya-grAma-aDizWitena ca
   grāmaḥ praveṣṭavyaḥ / naranārīparipākāya ca te nagaraṃ praveṣṭavyam /	grAmaH pravezwavyaH / nara-nArI-paripAkAya ca te nagaram pravezwavyam /
   buddhakulakulīnena ca te kulāny upasaṃkramitavyāni /	budDa-kula-kulInena ca te kulAni upasaMkramitavyAni /
   Vkn .3.12 apratigrahaṇatayā ca piṇḍapātaḥ pratigrāhyaḥ / jātyandhasamatayā	Vk .3.12 apratigrahaNa-tayA ca piNxapAtaH pratigrAhyaH / jAti-anDa-samatayA
   ca rūpāṇi draṣṭavyāni / pratiśrutakopamatayā ca śabdāḥ śrotavyāḥ /	ca rUpANi drazwavyAni / pratiSruta-kopa-matayA ca SabdAH SrotavyAH /
   vātasamatayā ca gandhā ghrātavyāḥ / avijñaptito rasā āsvādayitavyāḥ /	vAta-sama-tayA ca ganDAH GrAtavyAH / avijQaptitaH rasAH AsvAdayitavyAH /
   jñānāsparśanatayā ca sparśāḥ spraṣṭavyāḥ / māyāpuruṣavijñāptyā ca dharmā	jQAna-asparSana-tayA ca sparSAH sprazwavyAH / mAyA-puruza-vijQAptyA ca DarmA
   vijñātavyāḥ / yo 'svabhāvo 'parabhāvaś ca tad anujjvalitam / yad	vijQAtavyAH / yaH asvaBAvaH apara-BAvaH ca tat anujjvalitam / yat-
   anujjvalitaṃ tan na śāmyati /	anujjvalitam tat na SAmyati /
   Vkn .3.13 yadi sthaviro mahākāśyapo 'ṣṭau ca mithyātvāni samatikrāmet,	Vk .3.13 yadi sTaviraH mahAkASyapaH azwO ca miTyAtvAni samatikrAmet-,
   aṣṭau ca vimokṣān samāpadyeta, mithyāsamatayā ca samyaktvasamatām	azwO ca vimokzAn samApadyeta, miTyA-sama-tayA ca samyaktva-sama-tAm
   avataret, ekena ca piṇḍapātena sarvasatvān pratipādayet, sarvabuddhān	avataret, ekena ca piNxa-pAtena sarva-satvAn pratipAdayet, sarva-budDAn
   sarvāryāṃś ca pratipādya paścād ātmanā paribhuñjīta, tathā ca paribhuñjīta	sarva-AryAn ca pratipAdya paScAt AtmanA pariBuQjIta, taTA ca pariBuQjIta
   yathā na saṃkleśo na vigatakleśaḥ, paribhuñjīta na samāhito na vyutthitaḥ,	yaTA na saMkleSaH na vigata-kleSaH, pariBuQjIta na samAhitaH na vyutTitaH,
   na saṃsārasthito na nirvāṇasthitaḥ paribhuñjīta / ye ca bhadantāya	na saMsAra-sTitaH na nirvANa-sTitaH pariBuQjIta / ye ca BadantAya
   piṇḍapātaṃ dadati te teṣāṃ nālpaphalaṃ na mahāphalaiḥ bhavet / na ca	piNxa-pAtam dadati te tezAm na-alpa-Palam na mahA-PalEH Bavet / na ca
   hānāya na viśeṣāya gacchet, buddhagatisamavasaraṇāya ca bhaveta na	hAnAya na viSezAya gacCet, budDa-gati-samavasaraNAya ca Baveta na
   śrāvakagatisamavasaraṇāya / evaṃ sthaviro mahākāśyapo 'moghaṃ rāṣṭrapiṇḍaṃ	SrAvaka-gati-samavasaraNAya / evam sTaviraH mahAkASyapaH amoGam rAzwra-piNxam
   paribhuñjīta /	pariBuQjIta /
   Vkn .3.14 so 'haṃ bhagavan imaṃ dharmanirdeśaṃ śrutvāścaryaprāptaḥ	Vk .3.14 saH aham Bagavan imam Darma-nirdeSam SrutvA-AScarya-prAptaH
   sarvabodhisatvān namasyāmi / gṛhiṇo 'pi nāmaivaṃrūpaṃ pratibhānam, ko	sarva-boDisatvAt namasyAmi / gRhiNaH api nAma-evaMrUpam pratiBAnam, kaH-
   'nuttarāyāṃ samyaksaṃbodhau cittaṃ notpādayet / tataḥ prabhṛti me na	anuttarAyAm samyaksaMboDO cittam na-utpAdayet / tatas praBRti me na
   kaścit satvaḥ śrāvakayāne pratyekabuddhayāne vā samādāpitapūrvo 'nyatra	kaScid satvaH SrAvaka-yAne pratyekabudDa-yAne vA samAdApita-pUrvaH anyatra
   mahāyānāt / tan nāhaṃ bhagavan utsahe tasya kulaputrasya glānaparipṛcchako	mahAyAnAt / tat na-aham Bagavan utsahe tasya kula-putrasya glAna-paripRcCako
   gantum /	gantum /
   Vkn .3.15 tatra bhagavān āyuṣmantaṃ subhūtim āmantrayate sma: gaccha tvaṃ	Vk .3.15 tatra BagavAn Ayuzmantam suBUtim Amantrayate sma: gacCa tvam
   subhūte vimalakīrter licchaver glānaparipṛcchakaḥ /	suBUte vimala-kIrteH licCaveH glAna-paripRcCakaH /
   subhūtir apy āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	suBUtiH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasya hetoḥ / abhijānāmy ahaṃ bhagavan:	glAna-paripRcCakaH gantum / tat kasya hetoH / aBijAnAmi aham Bagavan-:
   ekasmin samaye vaiśālyāṃ mahānagaryāṃ piṇḍāya carāmi / vimalakīrter	ekasmin samaye vESAlyAm mahA-nagaryAm piNxAya carAmi / vimala-kIrteH-
   licchaver niveśanaṃ piṇḍāya praviṣṭaḥ / tasya me vimalakīrtir licchaviḥ	licCaveH niveSanam piNxAya pravizwaH / tasya me vimala-kIrtiH licCaviH
   pātraṃ gṛhītvā praṇītena bhojanena pratipūryaivam āha:	pAtram gRhItvA praNItena Bojanena pratipUrya-evam Aha:
   Vkn .3.16 sacet tvaṃ bhadantasubhūte āmiṣasamatayā sarvadharmasamatām	Vk .3.16 saced tvam Badanta-suBUte Amiza-samatayA sarva-Darma-sama-tAm
   anugataḥ sarvadharmasamatayā ca buddhadharmasamatām anugata eva, tvam imaṃ	anugataH sarva-Darma-sama-tayA ca budDa-Darma-sama-tAm anugataH eva, tvam imam
   piṇḍapātaṃ pratigṛhnīṣva / sacet tvaṃ bhadantasubhūte na	piNxa-pAtam pratigRhnIzva / saced tvam Badanta-suBUte na
   rāgadoṣamohaprahīṇo na ca taiḥ sārdhaṃ saṃvasasi / saced evam asy avikopya	rAga-doza-moha-prahINaH na ca tEH sArDam saMvasasi / saced evam asi avikopya
   satkāyam ekāyanaṃ mārgam anugataḥ / na ca te 'vidyā bhavatṛṣṇā ca	sat-kAyam ekAyanam mArgam anugataH / na ca te avidyA Bava-tRzNA ca
   samudghātitā na ca vidyāvimuktī utpādite / ānantaryasamatayā ca te	samudGAtitA na ca vidyA-vimuktI utpAdite / Anantarya-sama-tayA ca te
   samādhivimuktiḥ / na cāsi mukto na baddhaḥ / na ca te catvāry āryasatyāni	samADi-vimuktiH / na ca-asi muktaH na badDaH / na ca te catvAri Arya-satyAni
   dṛṣṭāni na ca na dṛṣṭasatyaḥ / na prāptaphalo na pṛthagjanasamavasaraṇaḥ /	dRzwAni na ca na dRzwa-satyaH / na prApta-PalaH na pRTagjana-samavasaraNaH /
   na cāsy āryo nānāryaḥ / na sarvadharmasamanvāgataś ca	na ca-asi AryaH na-anAryaH / na sarva-Darma-samanvAgataH ca
   sarvadharmasamadhigataś ca /	sarva-Darma-samaDigataH ca /
   Vkn .3.17 na ca te śāstā dṛṣṭo na dharmaḥ śruto na saṃghaḥ paryupāsitaḥ /	Vk .3.17 na ca te SAstA dRzwaH na DarmaH SrutaH na saMGaH paryupAsitaH /
   ye ca te ṣaṭ śāstāras tadyathā pūraṇaḥ kāśyapaḥ, maskarī gośālīputraḥ,	ye ca te zaw SAstAraH tat-yaTA pUraNaH kASyapaH, maskarI go-SAlI-putraH,
   saṃjayo vairāṣṭrikaputraḥ, kakudaḥ kātyāyanaḥ, ajitaḥ keśakambalaḥ,	saMjayaH vErAzwrika-putraH, kakudaH kAtyAyanaH, ajitaH keSa-kambalaH,
   nirgrantho jñātiputraḥ, te ca bhadantasya śāstāras tāṃś ca niśritya	nirgranTaH jQAti-putraH, te ca Badantasya SAstAraH tAn ca niSritya
   pravrajito yadgāminas te ṣaṭ śāstāras tadgāmy evāryasubhūtiḥ,	pravrajitaH yat-gAminaH te zaw SAstAraH tad-gAmI eva-Arya-suBUtiH,
   Vkn .3.18 sarvadṛṣṭigateṣu cāryaman antargato na cāntamadhyaprāptaḥ,	Vk .3.18 sarva-dRzwi-gatezu ca-aryam-an antargataH na ca-anta-maDya-prAptaH,
   aṣṭākṣaṇasamavasaraṇaś cāsi na cāsi lakṣaṇam anuprāptaḥ, saṃkleśena cāsi	azwa-akzaNa-samavasaraNaH ca-asi na ca-asi lakzaNam anuprAptaH, saMkleSena ca-asi
   samo 'vyavadānam adhigataḥ, yā ca sarvasatvānām araṇā sā bhadantasyāpy	samaH avyavadAnam aDigataH, yA ca sarva-satvAnAm araNA sA Badantasya-api-
   araṇā, na ca tvayā dakṣiṇā viśodhyate, ye ca bhadantāya piṇḍapātaṃ dadati	araNA, na ca tvayA dakziNA viSoDyate, ye ca BadantAya piNxa-pAtam dadati
   tāṃś ca vinipātayasi, sarvamāraiś ca te sārdham ekahastaḥ kṛtaḥ /	tAn ca vinipAtayasi, sarvam-ArEH ca te sArDam eka-hastaH kRtaH /
   sarvakleśāś ca te sahāyāḥ, yatsvabhāvāś ca kleśās tatsvabhāvo bhadantaḥ,	sarva-kleSAH ca te sahAyAH, yad-svaBAvAH ca kleSAH tad-svaBAvaH BadantaH,
   sarvasatveṣu te vadhakacittaṃ pratyupasthitam, sarvabuddhāś ca te	sarva-satvezu te vaDaka-cittam pratyupasTitam, sarva-budDAH ca te
   'bhyākhyātāḥ, sarvabuddhadharmāṃś ca pratikrośasi, na cāsi	aByAKyAtAH, sarva-budDa-DarmAn ca pratikroSasi, na ca-asi
   saṃghapratisaraṇaḥ, na ca jātu parinirvāsyasi / evaṃ tvam imaṃ piṇḍapātaṃ	saMGa-pratisaraNaH, na ca jAtu parinirvAsyasi / evam tvam imam piNxa-pAtam
   pratigṛhīṇa /	pratigRhINa /
   Vkn .3.19 tasya me bhagavan imaṃ dharmanirdeśaṃ śrutvāndhakāraprāptā diśo	Vk .3.19 tasya me Bagavan imam Darma-nirdeSam SrutvA-anDakAra-prAptAH diSaH-
   'bhūvan ḥ tat kim asmai nirdiśāmi, katham vā pratipadya iti / so 'haṃ tat	aBUvan H tat kim asmE nirdiSAmi, kaTam vA pratipadyaH iti / saH aham tat-
   pātram utsṛjya tato gṛhān niṣkramiṣyāmīti /	pAtram utsRjya tatas gRhAt nizkramizyAmi-iti /
   vimalakīrtir Iicchavir mām evam āha: mā bhadantasubhūte akṣarebhya	vimala-kIrtiH IicCaviH mAm evam Aha: mA Badanta-suBUte akzareByaH-
   uttrasīḥ, pratigṛhāṇedaṃ pātram / tat kiṃ manyase bhadantasubhūte, yadi	uttrasIH, pratigRhANa-idam pAtram / tat kim manyase Badanta-suBUte, yadi
   tathāgatanirmita evam ucyeta kaccit sa uttraset /	taTAgata-nirmite evam ucyeta kaccit saH uttraset /
   so 'ham avocam: no hīdaṃ kulaputra /	saH aham avocam: no hi-idam kula-putra /
   sa mām evam āha: nirmitamāyāsvabhāvebhyo bhadantasubhūte sarvadharmebhyo	sa mAm evam Aha: nirmita-mAyA-svaBAveByaH Badanta-suBUte sarva-DarmeByaH-
   nottrasitavyam / tat kasmād dhetoḥ / sarvāṇi hi tāni vacanāni	na-uttrasitavyam / tat kasmAt DetoH / sarvANi hi tAni vacanAni
   tatsvabhāvāni, evaṃ paṇḍitā akṣareṣu na sajjanti na tebhya uttrasyanti /	tad-svaBAva-ani, evam paNxitAH akzarezu na sajjanti na teByaH uttrasyanti /
   tat kasmād dhetoḥ / sarvāṇi tāny akṣarāṇy anakṣarāṇi sthāpayitvā vimuktiṃ	tat kasmAt DetoH / sarvANi tAni akzarANi anakzarANi sTApayitvA vimuktim
   vimuktilakṣaṇāṃś ca sarvadharmān /	vimukti-lakzaNAn ca sarva-DarmAn /
   Vkn .3.20 iha nirdeśe nirdiśyamāne dvayor devaputraśatayor virajo	Vk .3.20 iha nirdeSe nirdiSyamAne dvayoH deva-putra-SatayoH virajaH-
   vigatamalaṃ dharmeṣu dharmacakṣur viśuddham, pañcānāṃ ca devaputraśatānām	vigata-malam Darmezu Darma-cakzuH viSudDam, paQcAnAm ca deva-putra-SatAnAm
   ānulomikyāḥ kṣānteḥ pratilambho 'bhūt / ahaṃ ca niṣpratibhāno 'bhūvam, na	AnulomikyAH kzAnteH pratilamBaH aBUt / aham ca nizpratiBAnaH aBUvam, na
   cāsya śaknomy uttare prativacanaṃ dātum / tan nāham utsahe tasya	ca-asya Saknomi uttare prativacanam dAtum / tat na-aham utsahe tasya
   satpuruṣasya glānaparipṛcchako gantum /	sat-puruzasya glAna-paripRcCakaH gantum /
   Vkn .3.21 atha khalu bhagavān āyuṣmantaṃ pūrṇaṃ maitrāyaṇīputram	Vk .3.21 aTa Kalu BagavAn Ayuzmantam pUrNam mEtrAyaNI-putram
   āmantrayate sma: gaccha tvaṃ pūrṇa vimalakīrter licchaver	Amantrayate sma: gacCa tvam pUrNa vimala-kIrteH licCaveH-
   glānaparipṛcchakaḥ /	glAna-paripRcCakaH /
   pūrṇo 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya glānaparipṛcchako	pUrNaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya glAna-paripRcCako
   gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan: ekasmin samaye	gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan: ekasmin samaye
   vanasyānyatamasmin pṛthivīpradeśa ādikarmikāṇāṃ bhikṣūṇāṃ dharmaṃ deśayāmi	vanasya-anyatamasmin pRTivI-pradeSaH Adi-karmikANAm BikzUNAm Darmam deSayAmi
   tatra vimalakīrtir licchavir upasaṃkramya mām evam āha:	tatra vimala-kIrtiH licCaviH upasaMkramya mAm evam Aha:
   Vkn .3.22 samāpadya bhadantapūrṇa eteṣāṃ bhikṣūṇāṃ cittaṃ vyavalokya	Vk .3.22 samApadya Badanta-pUrNaH etezAm BikzUNAm cittam vyavalokya
   dharmaṃ deśaya / mā mahāratnabhājaneṣu prati kulmāṣān prākṣaipsīḥ /	Darmam deSaya / mA mahA-ratna-BAjanezu prati kulmAzAn prAkzEpsIH /
   jāniṣva tāvat kimāśayā ete bhikṣava iti / mā vaiḍūryaratnaṃ kācamaṇikaiḥ	jAnizva tAvat kim-ASayAH ete BikzavaH iti / mA vExUrya-ratnam kAca-maNikEH
   samānīkārṣīḥ / mā bhadantapūrṇa apratyavekṣyā satvendriyeṣu	samAnIkArzIH / mA Badanta-pUrNa apratyavekzyA satva-indriyezu
   prādeśikendriyatvam upasaṃhārṣīḥ / mā akṣatāṃ kṣiṇuṣva / mā mahāmārgam	prAdeSika-indriya-tvam upasaMhArzIH / mA akzatAm kziNuzva / mA mahAmArgam
   avatartukāmān bhandarathyāṃ praveśaya / mā mahāsāgaraṃ goṣpade praveśaya /	avatartu-kAmAn BandaraTyAm praveSaya / mA mahA-sAgaram gozpade praveSaya /
   mā sūryaprabhāṃ khadyotakair nirvartaya / mā siṃhanādasaṃprasthitān	mA sUrya-praBAm KadyotakEH nirvartaya / mA siMhanAda-saMprasTitAn
   sṛgālanāde niyojaya / api bhadantapūrṇa sarve hy ete bhikṣavo	sRgAla-nAde niyojaya / api Badanta-pUrNa sarve hi ete BikzavaH-
   mahāyānasaṃprasthitā amuṣitabodhicittāḥ / teṣāṃ bhadantapūrṇa mā	mahAyAna-saMprasTitAH amuzita-boDi-cittAH / tezAm Badanta-pUrNa mA
   śrāvakayānam upadarśaya / kaṣṭaṃ hi śrāvakayānam / jātyandhā iva me	SrAvaka-yAnam upadarSaya / kazwam hi SrAvaka-yAnam / jAti-anDAH iva me
   śrāvakāḥ pratibhānti satvendriyavimātratājñāne /	SrAvakAH pratiBAnti satva-indriya-vimAtra-tA-jQAne /
   Vkn .3.23 atha vimalakīrtir licchavis tasyāṃ velāyāṃ tathārūpaṃ samādhiṃ	Vk .3.23 aTa vimala-kIrtiH licCaviH tasyAm velAyAm taTArUpam samADim
   samāpadyate sma / yathā te bhikṣavo 'nekavidhaṃ pūrvenivāsam anusmaraṇti	samApadyate sma / yaTA te BikzavaH anekaviDam pUrvenivAsam anusmaraNti
   sma / te pañcabuddhaśataparyupāsitakuśalamūlāḥ samyaksaṃbodhaye, teṣāṃ tad	sma / te paQca-budDa-Sata-paryupAsita-kuSala-mUlAH samyaksaMboDaye, tezAm tat-
   bodhicittam āmukhībhūtam / te tasya satpuruṣasya pādau śirobhiḥ praṇamya	boDi-cittam AmuKIBUtam / te tasya sat-puruzasya pAdO SiroBiH praNamya
   tatraiva niṣaṇṇāḥ prāñjalayo bhūtvā, teṣāṃ tādṛśī dharmadeśanā kṛtā	tatra-eva nizaNNAH prAQjalayaH BUtvA, tezAm tAdRSI Darma-deSanA kRtA
   yathāvaivartikāḥ saṃvṛttā anuttarasyāṃ samyaksaṃbodhau /	yaTA-vEvartikAH saMvRttAH anuttarasyAm samyaksaMboDO /
   Vkn .3.24 tan nāhaṃ bhagavan utsahe tasya satpuruṣasya glānaparipṛcchako	Vk .3.24 tat na-aham Bagavan utsahe tasya sat-puruzasya glAna-paripRcCako
   gantum /	gantum /
   Vkn .3.25 tatra bhagavān āyuṣmantaṃ kātyāyanam āmantrayate sma: gaccha	Vk .3.25 tatra BagavAn Ayuzmantam kAtyAyanam Amantrayate sma: gacCa
   tvaṃ kātyāyana vimalakīrter licchaver glānaparipṛcchakaḥ /	tvam kAtyAyana vimala-kIrteH licCaveH glAna-paripRcCakaH /
   kātyāyano 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	kAtyAyanaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan:	glAna-paripRcCakaH gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan-:
   bhagavatā saṃkṣiptena bhikṣūṇām avavādo dattaḥ / teṣāṃ	BagavatA saMkziptena BikzUNAm avavAdaH dattaH / tezAm
   sūtrapadaviniścayāya dharmaṃ deśayāmi, yad idam anityārthaṃ duḥkhārtham	sUtra-pada-viniScayAya Darmam deSayAmi, yat idam anitya-arTam duHKa-arTam
   anātmārthaṃ śāntārtham /	anAtma-arTam SAnta-arTam /
   tatra vimalakīrtir licchavir upasaṃkramya mām evam āha:	tatra vimala-kIrtiH licCaviH upasaMkramya mAm evam Aha:
   Vkn .3.26 mā bhadantakātyāyana sapracārām utpādabhaṅgayuktāṃ dharmatāṃ	Vk .3.26 mA BadantakAtyAyana sa-pracArAm utpAda-BaFga-yuktAm Darma-tAm
   nirdiśa / yo bhadantamahākātyāyana atyantatayā na jāto na janiṣyati	nirdiSa / yaH Badanta-mahAkAtyAyana atyanta-tayA na jAtaH na janizyati
   notpanno na niruddho na nirotsyate 'yam anityārthaḥ / yaḥ pañcānāṃ	na-utpannaH na nirudDaH na nirotsyate ayam anitya-arTaH / yaH paQcAnAm
   skandhānāṃ śūnyatānugamānutpādānirodhārtho 'yaṃ duḥkhārthaḥ / yad	skanDAnAm SUnyatA-anugama-anutpAda-ani-roDa-arTaH ayam duHKa-arTaH / yat-
   ātmānātmayor advayatvam ayam anātmārthaḥ / yo 'svabhāvo 'parabhāvas tad	Atma-anAtmayoH advaya-tvam ayam anAtma-arTaH / yaH asvaBAvaH apara-BAvaH tat-
   anujjvalitam, yad anujvalitaṃ na tac chāmyati, yo 'tyantopaśamo 'yaṃ	anujjvalitam, yat anujvalitam na tat SAmyati, yaH atyanta-upaSamaH ayam
   śāntārthaḥ /	SAnta-arTaH /
   Vkn .3.27 asmin khalu punar nirdeśe nirdiśyamāne teṣāṃ bhikṣūṇām	Vk .3.27 asmin Kalu punar nirdeSe nirdiSyamAne tezAm BikzUNAm
