   namo buddhāya |	namaH budDAya |
   pudgalasyātha dharmāṇām abhāvaḥ śūnyatātra hi /	pudgalasya-aTa DarmANAm aBAvaH SUnyatA-atra hi /
   tadabhāvasya sadbhāvas tasmin sā śūnyatāparā // I.20	tad-aBAvasya sadBAvaH tasmin sA SUnyatA-parAH // I.20
   pudgaladharmābhāvaś ca śūnyatā / tadabhāvasya ca sadbhāvaḥ [/] tasmin	pudgala-Darma-aBAvaH ca SUnyatA / tad-aBAvasya ca sadBAvaH [/] tasmin
   yathokte bhoktrādau sānyā śūnyateti [/] śūnyatālakṣaṇakhyāpanārthaṃ	yaTA-ukte BoktrA-AdO sA-anyA SUnyatA-iti [/] SUnyatA-lakzaNa-KyApana-arTam
   dvividhām ante śūnyatāṃ vyavasthāpayati / abhāvaśūnyatām	dviviDAm ante SUnyatAm vyavasTApayati / aBAva-SUnyatAm
   abhāvasvabhāvaśūnyatāṃ ca / pudgaladharmasamāropasya tacchūnyatāpavādasya	aBAva-svaBAva-SUnyatAm ca / pudgala-Darma-samAropasya tat-SUnya-tApavAdasya
   ca parihārārthaṃ yathākramaṃ / evaṃ śūnyatāyāḥ prabhedo vijñeyaḥ /	ca parihAra-arTam yaTAkramam / evam SUnyatAyAH praBedaH vijQeyaH /
   [e. Śūnyatāsādhana]	[e. ŚUnyata-asADana]
   kathaṃ sādhanaṃ vijñeyaṃ /	kaTam sADanam vijQeyam /
   saṃkliṣṭā ced bhaven nāsau muktāḥ syuḥ sarvadehinaḥ /	saMklizwA ced Bavet na-asO muktAH syuH sarva-dehinaH /
   viśuddhā ced bhaven nāsau vyāyāmo niṣphalo bhavet // I.21	viSudDA ced Bavet na-asO vyAyAmaH nizPalaH Bavet // I.21
   yadi dharmāṇāṃ śūnyatā āgantukair upakleśair anutpanne (Mvbh 27) 'pi	yadi DarmANAm SUnyatA AgantukEH upakleSEH anutpanne (MvB 27) api
   pratipakṣe na saṃkliṣṭā bhavet saṃkleśābhāvād ayatnata eva muktāḥ	pratipakze na saMklizwAH Bavet saMkleSa-aBAvAt ayatnataH eva muktAH
   sarvasatvā bhaveyuḥ / athotpanne 'pi pratipakṣe na viśuddhā bhavet	sarva-satvAH BaveyuH / aTa-utpanne api pratipakze na viSudDA Bavet-
   mokṣārtham ārambho niṣphalo bhavet / evaṃ ca kṛtvā /	mokza-arTam AramBaH nizPalaH Bavet / evam ca kRtvA /
   na kliṣṭā nāpi vākliṣṭā śuddhāśuddhā na caiva sā /	na klizwA na-api vA-aklizwA SudDa-aSudDAH na ca-eva sA /
   kathaṃ na kliṣṭā nāpi cāśuddhā / prakṛtyaiva /	kaTam na klizwA na-api ca-aSudDA / prakRtyA-eva /
   prahhāsvaratvāc cittasya /	prahhAsvara-tvAt cittasya /
   kathaṃ nākliṣṭā na śuddhā /	kaTam na-aklizwAH na SudDA /
   kleśasyāgantukatvataḥ // I.22	kleSasya-Agantuka-tvataH // I.22
   evaṃ śūnyatāyā uddiṣṭaḥ prabhedaḥ sādhito bhavati /	evam SUnyatAyAH uddizwaH praBedaH sADitaH Bavati /
   [Śūnyatāpiṇḍārtha]	[ŚUnyatA-piNxa-arTa]
   tatra śūnyatāyāḥ piṇḍārthaḥ / lakṣaṇato vyavasthānataś ca veditavyaḥ /	tatra SUnyatAyAH piNxa-arTaH / lakzaNataH vyavasTAnataH ca veditavyaH /
   tatra lakṣaṇato 'bhāvalakṣaṇato bhāvalakṣaṇataś ca / bhāvalakṣaṇaṃ punar	tatra lakzaNataH aBAva-lakzaNataH BAva-lakzaNataH ca / BAva-lakzaNam punar-
   bhāvābhāvavinirmuktalakṣaṇataś ca / tatvānyatvavinirmuktalakṣaṇataś ca /	BAva-aBAva-vinirmukta-lakzaNataH ca / tatvA-anyatva-vinirmukta-lakzaNataH ca /
   vyavasthānaṃ punaḥ paryāyādivyavasthānato veditavyaṃ / tatraitayā	vyavasTAnam punar paryAya-Adi-vyavasTAnataH veditavyam / tatra-etayA
   catuḥprakāradeśanayā śūnyatāyāḥ svalakṣaṇaṃ / karmalakṣaṇaṃ /	catur-prakAra-deSanayA SUnyatAyAH sva-lakzaNam / karma-lakzaNam /
   saṃkleśavyavadānalakṣaṇaṃ / yuktilakṣaṇaṃ codbhāvitaṃ bhavati /	saMkleSa-vyavadAna-lakzaNam / yukti-lakzaNam ca-udBAvitam Bavati /
   vikalpatrāsakauśīdyavicikitsopaśāntaye /	vikalpa-trAsa-kOSIdya-vicikitsA-upaSAntaye /
   madhyāntavibhāge /akṣaṇaparicchedaḥ prathamaḥ // //	maDya-anta-viBAge /akzaNa-paricCedaH praTamaH // //
   (Mvbh 28)	(MvB 28)
   [CHAPTER II. ĀVARAṆAPARICCHEDA]	[CHA-aPTER II. ĀVARAṆA-PARICCHEDA]
   [1. Vyāpyādipañcāvaraṇa]	[1. VyApya-Adi-paQca-AvaraNa]
   āvaraṇam adhikṛtyāha /	AvaraNam aDikRtya-Aha /
   vyāpiprādeśikodriktasamādānavivarjanaṃi /	vyApi-prAdeSika-udrikta-samAdAna-vivarjanaMi /
   dvayāvaraṇam ākhyātaṃ /	dvaya-AvaraNam AKyAtam /
   tatra vyāpi kleśajñeyāvaraṇaṃ bodhisatvagotrakāṇāṃ kaṃ sākalyāt /	tatra vyApi kleSa-jQeya-AvaraNam boDisatva-gotrakANAm kam sAkalyAt /
   prādeśikaṃ kleśāvaranaṃ śrāvakādigotrakāṇāṃ / udriktaṃ teṣām eva	prAdeSikam kleSa-avaranam SrAvaka-Adi-gotrakANAm / udriktam tezAm eva
   rāgādicaritānāṃ / samaṃ samabhāgacaritānāṃ / saṃsārādānatyāgāvaraṇaṃ	rAga-Adi-caritAnAm / samam sama-BAga-caritAnAm / saMsAra-AdAna-tyAga-AvaraNam
   bodhisatvagotrakāṇām apratiṣṭhitanirvāṇāvaraṇād ity etad yathāyogam	boDisatva-gotrakANAm apratizWita-nirvANa-AvaraNAt iti etat yaTAyogam
   ubhayeṣām āvaraṇam ākhyātaṃ / bodhisatvagotrakānāṃ śrāvakādigotrakāṇāṃ ca	uBayezAm AvaraNam AKyAtam / boDisatva-gotrakAnAm SrAvaka-Adi-gotrakANAm ca
   [2. Prayoganavasaṃyojanāvaraṇa]	[2. Prayoga-nava-saMyojana-AvaraNa]
   punar	punar-
   navadhā kleśalakṣaṇaṃ // II.1	navaDA kleSa-lakzaNam // II.1
   saṃyojanāny āvaraṇaṃ /	saMyojanAni AvaraNam /
   nava saṃyojanāni (/) kleśāvaraṇaṃ / kasyaitasyāvaraṇaṃ /	nava saMyojanAni (/) kleSa-AvaraNam / kasya-etasya-AvaraNam /
   udvegasamupekṣayoḥ /	udvega-samupekzayoH /
   tattva'dṛṣṭeś ca /	tattva-adRzweH ca /
   anunayasaṃyojanaṃ saṃvegasyāvaraṇaṃ [/] pratighasaṃyojanam (Mvbh 29)	anunaya-saMyojanam saMvegasya-AvaraNam [/] pratiGa-saMyojanam (MvB 29)
   upekṣīyāḥ / tena hi pratikūlam api pratighavastu upekṣituṃ na śaknoti /	upekzIyAH / tena hi pratikUlam api pratiGavaH-tu upekzitum na Saknoti /
   śeṣāni tattvadarśanasyāvaraṇaṃ / kathaṃ kṛtvā / tāni hi yathākramaṃ /	SezAni tattva-darSanasya-AvaraNam / kaTam kRtvA / tAni hi yaTAkramam /
   satkāyadṛṣṭes tadvastuno 'pi ca // II.2	satkAya-dRzweH tad-vastunaH api ca // II.2
   nirodhamārgaratneṣu lābhasatkāra eva ca /	niroDa-mArga-ratnezu lABa-satkAraH eva ca /
   saṃlekhasya parijñāne /	saMleKasya parijQAne /
   saṃyojanāny āvaraṇaṃ bhavaṃti / mānasaṃyojanaṃ hi satkāyadṛṣṭiparijñāne	saMyojanAni AvaraNam BavaMti / mAna-saMyojanam hi sat-kAya-dRzwi-parijQAne
   bhavaty āvaraṇaṃ / abhisamayakāle sāntaravyantarāsmimānasamudācāravaśena	Bavati AvaraNam / aBisamaya-kAle sa-antara-vyantarA-asmi-mAna-samudAcAra-vaSena
   tadaprahāṇāt / avidyāsaṃyojanaṃ satkāyadṛṣṭivastuparijñāne /	tad-aprahANAt / avidyA-saMyojanam sat-kAya-dRzwi-vastu-parijQAne /
   tenopādānaskandhāparijñānāt / dṛṣṭisaṃyojanaṃ nirodhasatyaparijñāne /	tena-upAdAna-skanDa-aparijQAnAt / dRzwi-saMyojanam niroDa-satya-parijQAne /
   satkāyāntagrāhadṛṣṭibhyāṃ taduttrāsāt [/] mithyādṛṣṭyā cāpavādāt /	satkAya-anta-grAha-dRzwiByAm tad-uttrAsAt [/] miTyA-dRzwyA ca-apavAdAt /
   parāmarśasaṃyojanaṃ mārgasatyaparijñāne / anyathāgraśuddhiparāmarṣaṇāt /	parAmarSa-saMyojanam mArga-satya-parijQAne / anyaTA-agra-SudDi-parAmarzaNAt /
   vicikitsāsaṃyojanaṃ ratnatrayaparijñāne tadguṇānabhiśraddhānāt /	vicikitsA-saMyojanam ratnatraya-parijQAne tad-guNa-an-aBiSradDAnAt /
   īrṣyāsaṃyojanaṃ lābhasatkāraparijñāne taddoṣādarśanāt / mātsaryasaṃyojanaṃ	IrzyA-saMyojanam lABa-satkAra-parijQAne tad-doza-adarSanAt / mAtsarya-saMyojanam
   saṃlekhaparijñāne pariṣkārādhyavasānāt /	saMleKa-parijQAne parizkAra-aDyavasAnAt /
   [3. Bodhisattvāvaraṇa]	[3. BoDisattva-AvaraNa]
   [a. Daśaśubhādiṣv āvaraṇam]	[a. DaSa-SuBa-Adizu AvaraNam]
   śubhādau daśadhāparaṃ // II.3	SuBa-AdO daSaDA-param // II.3
   aparaṃ punar āvaraṇaṃ / daśavidhe śubhādau veditavyaṃ / kin tad āvaraṇaṃ	aparam punar AvaraNam / daSaviDe SuBa-AdO veditavyam / kin tat AvaraNam
   ke ca śubhādayaḥ /	ke ca SuBa-AdayaH /
   aprayogo 'nāyatane 'yogavihitaś ca yaḥ /	aprayogaH anAyatane ayoga-vihitaH ca yaH /
   notpattir amanaskāraḥ saṃbhārasyāprapūrṇatā // II.4	na-utpattiH amanaskAraH saMBArasya-aprapUrNa-tA // II.4
   gotramitrasya vaidhuryaṃ cittasya parikheditā /	gotra-mitrasya vEDuryam cittasya pariKeditA /
   (Mvbh 30)	(MvB 30)
   pratipatteś ca vaidhuryaṃ kuduṣṭajanavāsatā // II.5	pratipatteH ca vEDuryam kuduzwa-jana-vAsa-tA // II.5
   dauṣṭhulyam avaśiṣṭatvaṃ trayāt prajñāvipakvatā /	dOzWulyam avaSizwa-tvam trayAt prajQA-vipakva-tA /
   prakṛtyā caiva dauṣṭhulyaṃ kauśīdyaṃ ca pramāditā // II.6	prakRtyA ca-eva dOzWulyam kOSIdyam ca pramAditA // II.6
   saktir bhave ca bhoge ca līnacittatvam eva ca /	saktiH Bave ca Boge ca lIna-citta-tvam eva ca /
   aśraddhānadhimuktiś ca yathārutavicāraṇā // II.7	aSradDA-anaDimuktiH ca yaTA-aruta-vicAraNA // II.7
   saddharme 'gauravaṃ lābhe gurutā kṛpatā tathā /	sadDarme agOravam lABe guru-tA kRpatA taTA /
   śrutavyasanam alpatvaṃ samādhyaparikarmitā // II.8	Sruta-vyasanam alpa-tvam samADi-aparikarmitA // II.8
   etad āvaraṇaṃ / ke śubhādayaḥ /	etat AvaraNam / ke SuBa-AdayaH /
   śubhaṃ bodhiḥ samādānan dhīmattvābhrāntyanāvṛtī /	SuBam boDiH samAdAnan DImat-tva-aBrAnti-anAvRtI /
   natyatrāso 'matsaritvaṃ vaśitvaṃ ca śubhādayaḥ // II.9	natyatrAsaH amatsaritvam vaSitvam ca SuBa-AdayaH // II.9
   eṣāṃ śubhādīnāṃ kasya katy āvaraṇāni jñeyānīty āha /	ezAm SuBa-AdInAm kasya kati AvaraNAni jQeyAni-iti Aha /
   trīṇi trīṇi ca eteṣāṃ jñeyāny āvaraṇāni hi /	trINi trINi ca etezAm jQeyAni AvaraNAni hi /
   kuśalasya trīṇy āvaraṇāni / aprayogo 'nāyatanaprayogo 'yoniśaḥprayogaś ca	kuSalasya trINi AvaraNAni / aprayogaH anAyatana-prayogaH ayoniSaH-prayogaH ca
   / bodhes trīṇi kuśalasyānutpattir amanasikaraṇaṃ / aparipūrṇasaṃbhāratā ca	/ boDeH trINi kuSalasya-anutpattiH amanasi-karaNam / aparipUrNa-saMBAra-tA ca
   / samādānaṃ bodhicittotpādaḥ / tasya trīṇi gotravaidhuryaṃ	/ samAdAnam boDi-citta-utpAdaH / tasya trINi gotra-vEDuryam
   kalyāṇamitravaidhuryaṃ / parikhedacittatā ca / dhīmatvaṃ bodhisatvatā /	kalyANa-mitra-vEDuH-yam / pariKeda-citta-tA ca / DIma-tvam boDisatvatA /
   tasyāḥ prajñāne trīṇy āvaraṇāni pratipattivaidhuryaṃ kujanavāsaḥ /	tasyAH prajQAne trINi AvaraNAni pratipatti-vEDuH-yam kujana-vAsaH /
   duṣṭajanavāsaś ca / tatra kujano mūrkhajanaḥ [/] duṣṭajanaḥ pratihataḥ /	duzwa-jana-vAsaH ca / tatra kujanaH mUrKa-janaH [/] duzwa-janaH pratihataH /
   abhrāntes trīṇi viparyāsadauṣṭhulyaṃ / kleśādyāvaraṇatrayād	aBrAnteH trINi viparyAsa-dOzWulyam / kleSa-Adi-AvaraNa-trayAt-
   anyatamāvaśiṣṭatā / vimuktiparipācinyāḥ (/) prajñāyā aparipakvatā ca /	anyatama-avaSizwa-tA / vimukti-paripAcinyAH (/) prajQAyAH aparipakva-tA ca /
   āvaraṇaprahāṇam anāvaraṇaṃ / tasya trīṇi sahajaṃ dauṣṭhulyaṃ / kauśīdyaṃ	AvaraNa-prahANam anAvaraNam / tasya trINi sahajam dOzWulyam / kOSIdyam
   pramādaś ca / pariṇates trīṇi yair anyatra cittaṃ pariṇāmayati /	pramAdaH ca / pariNateH trINi yEH anyatra cittam pariNAmayati /
   nānuttarasyāṃ samyaksaṃbodhau [/]	na-anuttarasyAm samyaksaMboDO [/]
   (Mvbh 31)	(MvB 31)
   bhavasaktir bhogasaktir līnacittatā ca / atrāsasya trīṇi [/] asaṃbhāvanā	Bava-saktiH Boga-saktiH lIna-citta-tA ca / atra-Asasya trINi [/] asaMBAvanA
   pudgale / anadhimuktir dharme / yathārutavicāraṇārthe / amātsaryasya trīṇi	pudgale / anaDimuktiH Darme / yaTA-aruta-vicAraNa-arTe / amAtsaryasya trINi
   saddharme 'gauravaṃ / lābhasatkārapūjāyāṃ gauravaṃ satveṣv akāruṇyaṃ ca /	sadDarme agOravam / lABa-satkAra-pUjAyAm gOravam satvezu akAruNyam ca /
   vaśitvasya trīṇi yair vibhutvaṃ na labhate [/] śrutavyasanaṃ	vaSitvasya trINi yEH viBu-tvam na laBate [/] Sruta-vyasanam
   dharmavyasanasaṃvartanīyakarmaprabhavanāt / alpaśrutatvaṃ / samādher	Darma-vyasana-saMvartanIya-karma-praBavanAt / alpa-Sruta-tvam / samADeH-
   aparikarmitatvaṃ ca /	aparikarmita-tvam ca /
   [b. Daśa kāraṇāni]	[b. DaSa kAraNAni]
   tat punar etad āvaraṇaṃ śubhādau yatrārthe daśa kāraṇāni tadarthādhikāreṇa	tat punar etat AvaraNam SuBa-AdO yatra-arTe daSa kAraNAni tad-arTa-aDikAreNa
   veditavyaṃ / daśakāraṇāni [/] utpattikāraṇaṃ tadyathā cakṣurādayaś	veditavyam / daSa-kAraNAni [/] utpatti-kAraNam tat-yaTA cakzuH-AdayaH-
   cakṣurvijñānasya / sthitikāraṇaṃ tad yathā catvāra āhārāḥ satvānāṃ /	cakzuH-vijQAnasya / sTiti-kAraNam tat yaTA catvAraH AhArAH satvAnAm /
   dhṛtikāraṇaṃ yad yasyādhārabhūtaṃ / tad yathā bhājanalokaḥ satvalokasya /	DRti-kAraNam yat yasya-ADAra-BUtam / tat yaTA BAjana-lokaH satva-lokasya /
   abhivyaktikāraṇaṃ / tad yathā [/] āloko rūpasya / vikārakāraṇaṃ / tad	aBivyakti-kAraNam / tat yaTA [/] AlokaH rUpasya / vikAra-kAraNam / tat-
   yathāgnyādayaḥ pākyādīnāṃ / viśleṣakāraṇaṃ tad yathā dātrādayaḥ	yaTA-agni-AdayaH pAkya-AdInAm / viSleza-kAraNam tat yaTA dAtR-AdayaH
   cchedyādīnāṃ / pariṇatikāraṇaṃ / tad yathā suvarṇakārādayaḥ suvarṇādīnāṃ	cCedya-AdInAm / pariNati-kAraNam / tat yaTA suvarNakAra-AdayaH suvarNa-AdInAm
   kaṭakādibhāvena pariṇatau / saṃpratyayakāraṇaṃ / tad yathā dhūmādayo	kawaka-Adi-BAvena pariNatO / saMpratyaya-kAraNam / tat yaTA DUmAt-ayaH-
   'gnyādīnāṃ / saṃpratyāyanankāraṇaṃ / tad yathā hetuḥ pratijñāyāḥ [/]	agni-AdInAm / saMpratyAyanan-kAraNam / tat yaTA hetuH pratijQAyAH [/]
   prāptikāraṇaṃ / tad yathā mārgādayo nirvāṇādīnāṃ /	prApti-kAraNam / tat yaTA mArga-AdayaH nirvANa-AdInAm /
   evam utpattyāvaraṇaṃ śubhe draṣṭavyaṃ tasyotpādanīyatvāt / sthityāvaraṇaṃ	evam utpatti-AvaraNam SuBe drazwavyam tasya-utpAdanIya-tvAt / sTiti-AvaraNam
   bodhau tasyā akopyatvād [/] dhṛtyāvaraṇaṃ samādāne	boDO tasyAH akopya-tvAt [/] DRti-AvaraNam samAdAne
   bodhicittasyādhārabhūtatvād [/] abhivyaktyāvaraṇaṃ dhīmatve tasya	boDi-cittasya-ADAra-BUta-tvAt [/] aBivyakti-AvaraNam DImatve tasya
   prakāśanīyatvāt / vikārāvaraṇam abhrāntau tasyā (Mvbh 32)	prakASanIya-tvAt / vikAra-AvaraNam aBrAntO tasyAH (MvB 32)
   bhrāntiparivṛttitvena vikāratvāt / viśleṣāvaraṇam anāvaraṇe	BrAnti-parivRtti-tvena vikAra-tvAt / viSleza-AvaraNam anAvaraNe
   tasyāvaraṇavisaṃyogatvāt [/] pariṇatyāvaraṇaṃ natau bodhau	tasya-AvaraNa-visaMyoga-tvAt [/] pariNatya-AvaraNam natO boDO
   cittapariṇatilakṣaṇatvāt / saṃpratyayāvaraṇam atrāse / asaṃpratyayena	citta-pariNati-lakzaNa-tvAt / saMpratyaya-AvaraNam atra-Ase / asaMpratyayena
   trasanāt / saṃpratyāyanāvaraṇam amatsaritve dharmāmatsaritvena	trasanAt / saMpratyAyana-AvaraNam amatsaritve Darma-amatsari-tvena
   parasaṃpratyāyanāt / prāptyāvaraṇaṃ vaśitve tasya	para-saMpratyAyanAt / prApti-AvaraNam vaSitve tasya
   vibhutvaprāptilakṣaṇatvāt /	viBu-tva-prApti-lakzaNa-tvAt /
   kāraṇaṃ daśadhotpattau sthitau dhṛtyāṃ prakāśane /	kAraNam daSaDA-utpattO sTitO DRtyAm prakASane /
   vikāraviśleṣanatipratyayaprāyaṇāptiṣu //	vikAra-viSleza-nati-pratyaya-prAyaNa-Aptizu //
   cakṣurāhārabhūdīpavahnyādis tadudāhṛtiḥ /	cakzuH-AhAra-BU-dIpa-vahni-AdiH tat-udAhRtiH /
   dātraśilpajñatādhūmahetumārgādayo 'pare //	dAtra-Silpa-jQa-tA-DUma-hetu-mArga-AdayaH apare //
   bodhiprāptukāmenādita eva tāvat kuśalamūlam utpādayitavyaṃ / tataḥ	boDi-prAptu-kAmena-Aditas eva tAvat kuSala-mUlam utpAdayitavyam / tatas-
   kuśalamūlabalādhānena bodhiḥ prāptavyā / tasyāḥ punaḥ kuśalamūlotpatter	kuSala-mUla-bala-ADAnena boDiH prAptavyA / tasyAH punar kuSala-mUla-utpatteH-
   bodhicittaṃ pratiṣṭhā [/] tasya bodhicittasya bodhisatva āśrayaḥ [/] tena	boDi-cittam pratizWA [/] tasya boDi-cittasya boDisatvaH ASrayaH [/] tena
   punar utpāditabodhicittena kuśalamūlabalādhānaprāptena bodhisatvena	punar utpAdita-boDi-cittena kuSala-mUla-bala-ADAna-prAptena boDisatvena
   viparyāsaṃ prahāya aviparyāsa utpāditavyaḥ / tato darśanamārge 'viparyaste	viparyAsam prahAya aviparyAsaH utpAditavyaH / tatas darSana-mArge aviparyaste
   bhāvanāmārge sarvāvaraṇāni prahātavyāni / prahīṇāvaraṇena sarvāṇi	BAvanA-mArge sarva-AvaraNAni prahAtavyAni / prahINa-AvaraNena sarvANi
   kuśalamūlāni anuttarāyāṃ samyaksaṃbodhau pariṇāmayitavyāni / tataḥ	kuSala-mUlAni anuttarAyAm samyaksaMboDO pariNAmayitavyAni / tatas-
   pariṇāmanābalādhānena gambhīrodāradharmadeśanāsu nottrasitavyaṃ /	pariNAmanAbala-ADAnena gamBIra-udAra-Darma-deSanAsu na-uttrasitavyam /
   tathānuttrastamānasena dharmeṣu guṇadarśinā pareṣāṃ te dharmā vistareṇa	taTA-anuttrasta-mAnasena Darmezu guNa-darSinA parezAm te DarmAH vistareNa
   saṃprakāśayitavyās [/] tataḥ sa bodhisatva evaṃ	saMprakASayitavyAH [/] tatas sa boDisatvaH evam
   vicitraguṇabalādhānaprāptaḥ kṣipram (Mvbh 33) anuttarāṃ samyaksaṃbodhim	vicitra-guNa-bala-ADAna-prAptaH kzipram (MvB 33) anuttarAm samyaksaMboDim
   anuprāptavān sarvadharmavaśitām anuprāpnotīty eṣo 'nukramaḥ (/) śubhādīnāṃ	anuprAptavAn sarva-Darma-vaSitAm anuprApnoti-iti ezaH anukramaH (/) SuBa-AdInAm
   [4. Bodhipakṣyapāramitābhūmiṣv āvaraṇam]	[4. BoDi-pakzya-pAramitA-BUmizu AvaraNam]
   pakṣyapāramitābhūmiṣv anyad āvaraṇaṃ punaḥ // II.10	pakzya-pAramitA-BUmizu anyat AvaraNam punar // II.10
   [a. Bodhipakṣyeṣv āvaraṇam]	[a. BoDi-pakzyezu AvaraNam]
   bodhipakṣyeṣu tāvat /	boDi-pakzyezu tAvat /
   vastvakauśalakausīdyaṃ samādher dvayahinatā /	vastu-akOSala-kOsIdyam samADeH dvaya-hina-tA /
   aropaṇātha daurbalyaṃ dṛṣṭidauṣṭhulyaduṣṭatā // II.11	aropaNA-aTa dOrbalyam dRzwi-dOzWulya-duzwa-tA // II.11
   smṛtyupasthāneṣu vastvakauśalam āvaraṇaṃ / samyakprahāṇeṣu kausīdyaṃ [/]	smRti-upasTAnezu vastu-akOSalam AvaraNam / samyak-prahANezu kOsIdyam [/]
   ṛddhipādeṣu samādher dvayahīnatā [/] paripūryā ca	RdDi-pAdezu samADeH dvaya-hIna-tA [/] paripUryA ca
   cchandavīryacittamīmānsānām anyatamavaikalyāt / bhāvanayā ca	cCanda-vIrya-cittam-ImAn-sAnAm anyatama-vEkalyAt / BAvanayA ca
   prahāṇasaṃskāravaikalyāt / indriyeṣu mokṣabhāgīyānām aropaṇaṃ / baleṣu	prahANa-saMskAra-vEkalyAt / indriyezu mokza-BAgIyAnAm aropaNam / balezu
   teṣām evendriyāṇāṃ daurbalyaṃ vipakṣavyavakiraṇāt / bodhyaṅgeṣu dṛṣṭidoṣaḥ	tezAm eva-indriyANAm dOrbalyam vipakza-vyavakiraNAt / boDi-aFgezu dRzwi-dozaH
   teṣāṃ darśanamārgaprabhāvitatvāt / mārgāṅgeṣu dauṣṭhulyadoṣaḥ / teṣāṃ	tezAm darSana-mArga-praBAvita-tvAt / mArga-aFgezu dOzWulya-dozaH / tezAm
   bhāvanāmārgaprabhāvitatvāt /	BAvanA-mArga-praBAvita-tvAt /
   [b. Pāramitāsv āvaraṇam]	[b. PAra-mitAsu AvaraNam]
   pāramitāsv āvaraṇaṃ /	pAramitAsu AvaraNam /
   (Mvbh 34)	(MvB 34)
   aiśvaryasyātha sugateḥ satvātyāgasya cāvṛtiḥ /	ESvaryasya-aTa sugateH satva-atyAgasya ca-AvRtiH /
   hānivṛddhyoś ca doṣāṇāṃ guṇānām avatāraṇe // II.12	hAni-vRdDyoH ca dozANAm guNAnAm avatAraNe // II.12
   vimocane 'kṣayatve ca nairantarye śubhasya ca /	vimocane akzaya-tve ca nErantarye SuBasya ca /
   niyatīkaraṇe dharmasaṃbhogaparipācane // II.13	niyatIkaraNe Darma-saMBoga-paripAcane // II.13
   atra daśānāṃ pāramitānāṃ yasyāḥ pāramitāyāḥ yat phalaṃ tadāvaraṇena tasyā	atra daSAnAm pAramitAnAm yasyAH pAramitAyAH yat Palam tad-AvaraNena tasyAH-
   āvaraṇam udbhāvitaṃ bhavati / tatra dānapāramitāyāḥ	AvaraNam udBAvitam Bavati / tatra dAna-pAramitAyAH
   aiśvaryādhipatyāvaraṇam āvaraṇaṃ / śīlapāramitāyāḥ sugatyāvaraṇaṃ	ESvarya-ADipati-AvaraNam AvaraNam / SIla-pAramitAyAH sugati-AvaraNam
   kṣāntipāramitāyāḥ satvāparityāgāvaraṇaṃ / vīryapāramitāyā	kzAnti-pAramitAyAH satva-aparityAga-AvaraNam / vIrya-pAramitAyAH-
   doṣaguṇahānivṛddhyāvaraṇaṃ / dhyānapāramitāyā vineyāvatāraṇāvaraṇaṃ /	doza-guNa-hAni-vRdDi-AvaraNam / DyAna-pAramitAyAH vineya-avatAraNa-AvaraNam /
   prajñāpāramitāyāḥ vimocanāvaraṇaṃ / upāyakauśalyapāramitāyā	prajQApAramitAyAH vimocana-AvaraNam / upAya-kOSalya-pAramitAyAH-
   dānādyakṣayatvāvaraṇaṃ / bodhipariṇāmanayā tadakṣayatvāt /	dAna-Adi-akzaya-tva-AvaraNam / boDi-pariNAmanayA tad-akzaya-tvAt /
   praṇidhānanpāramitāyāḥ sarvajanmasu kuśalanairantaryapravṛttyāvaraṇaṃ [/]	praNiDAnan-pAramitAyAH sarva-janmasu kuSala-nErantarya-pravRtti-AvaraNam [/]
   praṇidhānavaśena tadanukūlopapattiparigrahād [[] balapāramitāyās tasyaiva	praNiDAna-vaSena tad-anukUla-upapatti-parigrahAt [[] bala-pAramitAyAH tasya-eva
   kuśalasya niyatīkaraṇāvaraṇaṃ / pratisaṃkhyānabhāvanābalābhyāṃ	kuSalasya niyatIkaraNa-AvaraNam / pratisaMKyAna-BAvanA-balAByAm
   vipakṣānabhibhavāt / jñānapāramitāyāḥ ātmaparayor	vipakza-an-aBiBavAt / jQAna-pAramitAyAH Atma-parayoH-
   dharmasaṃbhogaparipācanāvaraṇam āvaraṇaṃ / ayathārutaśrutārthāvabodhāt /	Darma-saMBoga-paripAcana-AvaraNam AvaraNam / ayaTA-ruta-Sruta-arTa-avaboDAt /
   [c. Bhūmiṣv āvaraṇam]	[c. BhUmizu AvaraNam]
   bhūmiṣu punar yathākramaṃ /	BUmizu punar yaTAkramam /
   sarvatragārthe agrārthe niṣyandāgrārtha eva ca /	sarvatraga-arTe agra-arTe nizyanda-agra-arTaH eva ca /
   (Mvbh 35)	(MvB 35)
   niṣparigrahatārthe ca santānābheda eva ca // II.14	nizparigrahata-arTe ca santAna-aBedaH eva ca // II.14
   niḥsaṃkleśaviśuddhyarthe 'nānātvārtha eva ca /	niHsaMkleSa-viSudDi-arTe anAnAtvA-arTaH eva ca /
   ahīnānadhikārthe ca caturdhāvaśitāśraye // II.15	ahIna-an-aDika-arTe ca caturDA-vaSita-ASraye // II.15
   dharmadhātāv avidyeyaṃ akliṣṭā daśadhāvṛtiḥ /	DarmaDAtO avidyA-iyam aklizwA daSaDA-AvRtiH /
   daśabhūmivipakṣeṇa pratipakṣās tu bhūmayaḥ // II.16	daSa-BUmi-vipakzeNa pratipakzAH tu BUmayaH // II.16
   dharmadhātau daśavidhe sarvatragādyarthe yad akliṣṭam ajñānaṃ tad daśasu	DarmaDAtO daSaviDe sarvatragAdi-arTe yat aklizwam ajQAnam tat daSasu
