   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   prayatnamāndyāmāndyābhyāṃ yena pratividhīyate // 1.529 //	prayatna-mAndya-AmAndyAByAm yena prativiDIyate // 1.529 //
   pāṇīndriyaṃ cādadānaṃ mukhādyair grahaṇaṃ kutaḥ	pANi-indriyam ca-AdadAnam muKa-AdyEH grahaNam kutas-
   grahaṇaṃ ca kim ucyeta svīkāro yadi saṃmataḥ // 1.530 //	grahaNam ca kim ucyeta svIkAraH yadi saMmataH // 1.530 //
   asvasya svasya karaṇaṃ svīkāra iti bhaṇyate	asvasya svasya karaNam svIkAraH iti BaNyate
   svaśabdaś cātmavācī cet tatrātmā prakṛtir yadi // 1.531 //	sva-SabdaH ca-Atma-vAcI ced tatra-AtmA prakRtiH yadi // 1.531 //
   tan nāsty aprākṛtaṃ kiṃcid ity asvatatvaṃ kathaṃ kila	tat na-asti aprAkRtam kiMcid iti asvata-tvam kaTam kila
   ahaṅkāro 'py athātmā syān nāhaṃkārī kṛtir ghaṭe // 1.532 //	ahaFkAraH api aTa-AtmA syAt na-ahaMkArI kRtiH Gawe // 1.532 //
   ātmīyo 'yam anenaitad dūṣaṇenaiva dūṣitam	AtmIyaH ayam anena-etat dUzaNena-eva dUzitam
   ahaṃkārasya saṃbandhi sarvam eva hi tat svakam // 1.533 //	ahaMkArasya saMbanDi sarvam eva hi tat svakam // 1.533 //
   ātmano vyāpakasyāsti na svaṃ nāsvaṃ ca kiṃcana	AtmanaH vyApakasya-asti na svam na-asvam ca kiMcana
   evaṃ pādendriyasyāpi samo 'yaṃ yuktivikramaḥ // 1.534 //	evam pAda-indriyasya-api samaH ayam yukti-vikramaH // 1.534 //
   deśād deśāntaraprāptyā gamanaṃ ca yad ucyate	deSAt deSa-antara-prAptyA gamanam ca yat ucyate
   tattyāgarūpaṃ svīkārābhāvenaiva prasiddhyati // 1.535 //	tad-tyAga-rUpam svIkAra-aBAvena-eva prasidDyati // 1.535 //
   svīkāro dūṣitaś caiṣa svīkārāṃśo 'pi yo gatau	svIkAraH dUzitaH ca-eza svIkAra-aMSaH api yaH gatO
   tasya pāṇīndriyaṃ yuktaṃ karaṇaṃ nāṅghrināmakam // 1.536 //	tasya pANi-indriyam yuktam karaNam na-aFGri-nAmakam // 1.536 //
   indriyāṇāṃ hi sāṃkāryam evaṃ kāryeṣu jāyate	indriyANAm hi sAMkAryam evam kAryezu jAyate
   ata eva mahānyāyavedibhiś carame naye // 1.537 //	atas eva mahAnyAya-vediBiH carame naye // 1.537 //
   prokto gatiniṣedhāya bhūyān sadvākyaḍambaraḥ	proktaH gati-nizeDAya BUyAn sat-vAkya-xambaraH
   gataṃ na gamyate tāvad agataṃ naiva gamyate // 1.538 //	gatam na gamyate tAvat agatam na-eva gamyate // 1.538 //
   gatāgatavinirmuktaṃ nāstītyādi svake naye	gatAgata-vinirmuktam na-asti-ityAdi svake naye
   pāyvindriyaṃ ca na cchidramātraṃ koṣṭhyamarutkramāt // 1.539 //	pAyu-indriyam ca na cCidra-mAtram kozWya-marut-kramAt // 1.539 //
   utsargaḥ kila sāṃkāryaṃ tena syād iyatī sthitiḥ	utsargaH kila sAMkAryam tena syAt iyatI sTitiH
   upastham indriyaṃ yac ca tasya kāryaṃ nigadyate // 1.540 //	upasTam indriyam yat ca tasya kAryam nigadyate // 1.540 //
   śāmyatīti na yuktettham anumānapramāṇatā	SAmyati-iti na yuktA-itTam anumAna-pramANa-tA
   tadbhedavādināṃ tāvad dve māne naiva saṃgate // 1.604 //	tad-Beda-vAdinAm tAvat dve mAne na-eva saMgate // 1.604 //
   śabdādes tv anumānena sudhībhiḥ pariniścitam	Sabda-AdeH tu anumAnena suDIBiH pariniScitam
   tasmāt svasaṃvid evaiṣā svaprakāśatayā sthitā // 1.605 //	tasmAt sva-saMvid eva-ezA sva-prakASa-tayA sTitAH // 1.605 //
   mātṛmānaprameyādiprapañcaiḥ sāvabhāsate	mAtRmAna-prameya-Adi-prapaQcEH sa-avaBAsate
   samullāsaḥ sindhor bahalalaharīvibhramamayaḥ	samullAsaH sinDoH bahala-laharI-viBrama-mayaH
   prakāśaḥ śāśāṅkaḥ kumudadalanirbhedasacivaḥ	prakASaH SASAFkaH kumuda-dala-nirBeda-sacivaH
   parasyāḥ saṃvitter mitiviṣayamātṛvyatikarair	parasyAH saMvitteH miti-vizaya-mAtR-vyatikarEH-
   vikāso yaḥ seyaṃ jagati vividhā kalpanakalā // 1.606 //	vikAsaH yaH sA-iyam jagati viviDA kalpana-kalA // 1.606 //
   tasmāt prakāśa evāyaṃ citraśaktisunirbharaḥ	tasmAt prakASaH eva-ayam citra-Sakti-sunirBaraH
   svayaṃ vicitrarūpeṇa bhāti viśvatra viśvataḥ // 1.607 //	svayam vicitra-rUpeNa BAti viSvatra viSvatas // 1.607 //
   tad ayaṃ prasphuṭābhāso lokarūpādivartmanā	tat ayam prasPuwa-ABAsaH loka-rUpa-Adi-vartmanA
   svaśaktyaṃśād vikalpākhyāt pratyakṣavyapadeśabhāk // 1.608 //	sva-Sakti-aMSAt vikalpa-AKyAt pratyakza-vyapadeSa-BAj // 1.608 //
   tathā hi devadevāṃśas tat samunmīlanaṃ dṛśaḥ	taTA hi devadeva-aMSaH tat samunmIlanam dRSaH
   prāṇaspandas tadaikāgryaṃ bhāvas taddharmasaṃcayaḥ // 1.609 //	prANa-spandaH tadA-ekAgryam BAvaH tad-Darma-saMcayaH // 1.609 //
   ityādi sarvaṃ yad bhāti tat pratyakṣam iti sphuṭam	ityAdi sarvam yat BAti tat pratyakzam iti sPuwam
   na tv atra kartṛkarmāṃśakaraṇatvādinā gatiḥ // 1.610 //	na tu atra kartR-karma-aMSa-karaNa-tva-AdinA gatiH // 1.610 //
   nanv asāv asti pāścātye vaikalpikapathe tataḥ	nanu asO asti pAScAtye vEkalpika-paTe tatas-
   yato dehaghaṭābhāso sphuṭaḥ paścāt tu so 'sphuṭaḥ // 1.611 //	yatas deha-Gawa-ABAso sPuwaH paScAt tu saH asPuwaH // 1.611 //
   sa eva cchannarūpas tu śuddhāṃśasvātmasaṃvidam	saH eva cCanna-rUpaH tu SudDa-aMSa-sva-Atma-saMvidam
   tato dehaghaṭābhāsas tatrāpy eṣaiva vartanī // 1.612 //	tatas deha-Gawa-ABAsaH tatra-api ezA-eva vartanI // 1.612 //
   yāvatsahasradehaughabhāvakoṭyavabhāsanam	yAvat-sahasra-deha-oGa-BAva-kowi-avaBAsanam
   tatrāpi ca purā paścān na tu tādṛkprathā yadi // 1.613 //	tatra-api ca purA paScAt na tu tAdRS-praTA yadi // 1.613 //
   āmarśapadavīṃ yāti tat spuṭāsphuṭacitritaḥ	AmarSa-padavIm yAti tat spuwa-asPuwa-citritaH
   tāvān asāv eka eva svarūpaprasphuṭātmakaḥ // 1.614 //	tAvAn asO ekaH eva svarUpa-prasPuwa-AtmakaH // 1.614 //
   śivaprakāśa āyāti.	Siva-prakASaH AyAti.
   \ \ \ \ \ \ \ \ \ \ \ \ vicitro 'yaṃ na vastutaḥ	\ \ \ \ \ \ \ \ \ \ \ \ vicitraH ayam na vastutas-
   tatrātadrūpasaṃveśād vaicityraṃ paricarcyate // 1.615 //	tatra-atad-rUpa-saMveSAt vEcityram paricarcyate // 1.615 //
   śivaprakāśe 'tadrūpapraveśas tu na saṃgataḥ	Siva-prakASe atad-rUpa-praveSaH tu na saMgataH
   yadi vā kathitanyāyabalāt kvāpi na citratā // 1.616 //	yadi vA kaTita-nyAya-balAt kvApi na citra-tA // 1.616 //
   kiṃtu citratayābhāsaś citrabhāvaṃ prasūyate	kiMtu citra-tayA-ABAsaH citra-BAvam prasUyate
   evaṃ caitro 'yam asmākaṃ citravadbhavann īdṛśaḥ // 1.617 //	evam cEtraH ayam asmAkam citra-vat-Bavan IdRSaH // 1.617 //
   maitreṇa tanmatenālaṃ dṛṣṭo māṃ bhāvadarśinam	mEtreNa tad-matena-alam dRzwaH mAm BAva-darSinam
   paśyan paśyati yaḥ so 'yaṃ samādhau pariniṣṭhitaḥ // 1.618 //	paSyan paSyati yaH saH ayam samADO parinizWitaH // 1.618 //
   prāk tv eṣa janmakoṭīṣu tattattāpādy abhuṅkta vai	prAk tu eza janma-kowIzu tad-tad-tApa-Adi aBuFkta vE
   mokṣyate dhyānacaryādyair yo 'py etena pathāgataḥ // 1.619 //	mokzyate DyAna-caryA-AdyEH yaH api etena paTA-gataH // 1.619 //
   so 'py anyo mokṣabhāg īttham aparyavasitodayaḥ	saH api anyaH mokza-BAj ItTam aparyavasita-udayaH
   prakāśa eka evāyaṃ yaś cirān na vibhidyate // 1.620 //	prakASaH ekaH eva-ayam yaH cirAt na viBidyate // 1.620 //
   ata eva hi bhedo 'sti na kaścid yo maheśvaram	atas eva hi BedaH asti na kaScid yaH maheSvaram
   advayaṃ saṃprabindhīta prakāśānandasundaram // 1.621 //	advayam saMprabinDIta prakASa-Ananda-sundaram // 1.621 //
   deśakālākṛtijñānadharmopādhyantarādayaḥ	deSa-kAla-AkRti-jQAna-Darma-upADi-antara-AdayaH
   saṃmatā bhedakatvena bhānti cet sā vibhā tathā // 1.622 //	saMmatAH Bedaka-tvena BAnti ced sA viBA taTA // 1.622 //
   na ced vibhaiva sā tādṛk tad advaitam idaṃ sphuṭam	na ced viBA-eva sA tAdRS tat advEtam idam sPuwam
   bheda ity eṣa śabdas tu kevalaṃ pratibhojjhitaḥ // 1.623 //	BedaH iti eza SabdaH tu kevalam pratiBA-ujJitaH // 1.623 //
   astu vā bhedakalanā pratibhāsaṃprarohiṇī	astu vA Beda-kalanA pratiBA-saMprarohiNI
   uktanītyā tu tatraiva sapratiṣṭhā bhaviṣyati // 1.624 //	ukta-nItyA tu tatra-eva sa-pratizWA Bavizyati // 1.624 //
   ayaṃ ghaṭaḥ paṭaś cāyaṃ tāv anyonyavibhedinau	ayam GawaH pawaH ca-ayam tO anyonya-viBedinO
   pramātrantarabhinnau ca tau matto 'pi vibhedinau // 1.625 //	pramAtR-antara-BinnO ca tO mattaH api viBedinO // 1.625 //
   iti prakāśa eko 'yaṃ tathāmarśasvarūpakaḥ	iti prakASaH ekaH ayam taTA-AmarSa-svarUpakaH
   nanv evaṃ pakṣapāto 'yam advaitaṃ bhavatāṃ katham // 1.626 //	nanu evam pakzapAtaH ayam advEtam BavatAm kaTam // 1.626 //
   bhedo 'py astu sa āhatya kiṃ nāma na viṣahyate	BedaH api astu saH Ahatya kim nAma na vizahyate
   seyaṃ badhiragoṣṭhīṣu gītavādyaprarocanā // 1.627 //	sA-iyam baDira-gozWIzu gIta-vAdya-prarocanA // 1.627 //
   na hy advayaṃ dvayāveśabādhenāsmābhir ucyate	na hi advayam dvaya-AveSa-bADena-asmABiH ucyate
   tvatpakṣopagamo hy eṣa syād dvayaṃ taddhi susphuṭam // 1.628 //	tvad-pakza-upagamaH hi eza syAt dvayam tat-hi su-sPuwam // 1.628 //
   idaṃ dvaitam idaṃ neti tad idaṃ ca dvayādvayam	idam dvEtam idam na-iti tat idam ca dvaya-at-vayam
   iti yatra samaṃ bhāti tad advayam udāhṛtam // 1.629 //	iti yatra samam BAti tat advayam udAhRtam // 1.629 //
   nanv ittham astu bhedo 'pi na vayaṃ śabdakāmukāḥ	nanu itTam astu BedaH api na vayam Sabda-kAmukAH
   astv asau na hi no heyam ādeyaṃ vā yathātra vaḥ // 1.630 //	astu asO na hi naH heyam Adeyam vA yaTA-atra vaH // 1.630 //
   sarvānugrāhakaṃ pakṣam ālilambiṣase yadi	sarva-anugrAhakam pakzam Ali-lambizase yadi
   paramādvayadṛṣṭiṃ tat saṃśrayeḥ śaraṇaṃ mahat // 1.631 //	parama-advaya-dRzwim tat saMSrayeH SaraNam mahat // 1.631 //
   etad aṣṭādaśe tattvam adhikāre bhaviṣyati	etat azwAdaSe tattvam aDikAre Bavizyati
   yat tad ante paraprāpyaṃ tad astu paramārthataḥ // 1.632 //	yat tat ante para-prApyam tat astu paramArTataH // 1.632 //
   atra ye na hi viśrāntās te mitāṃ saṃvidaṃ śritāḥ	atra ye na hi viSrAntAH te mitAm saMvidam SritAH
   sarvathaivāpabādhyante janmamṛtyūtthavibhramaiḥ // 1.633 //	sarvaTA-eva-apabADyante janma-mRtyu-utTa-viBramEH // 1.633 //
   tasmāt sa eka evāsau prakāśaḥ parameśvaraḥ	tasmAt saH ekaH eva-asO prakASaH parameSvaraH
   pratyakṣam iti tenaiva prakāśenaiva bhāsate // 1.634 //	pratyakzam iti tena-eva prakASena-eva BAsate // 1.634 //
   tatra tā dṛṣṭayaḥ sarvā mahānadya ivārṇave	tatra tAH dRzwayaH sarvAH mahA-nadyaH iva-arNave
   viśanty avaśyaṃ nāviṣṭāḥ prayānti kṛtakṛtyatām // 1.635 //	viSanti avaSyam na-AvizwAH prayAnti kRtakRtya-tAm // 1.635 //
   tathā hi mānasāmagrī rūpālokamanokṣajā	taTA hi mAnasAmagrI rUpa-Aloka-manokzajA
   sākaṃ mātṛprameyābhyāṃ tadvarjaṃ vāpy anekaśaḥ // 1.636 //	sAkam mAtR-prameyAByAm tad-varjam vA-api anekaSas // 1.636 //
   jñātaṃ ca gamayen mānaṃ na cāpi ujjhati mānatām	jQAtam ca gamayet mAnam na ca-api ujJati mAnatAm
   pratyakṣapādotprekṣeyam idānīm upapadyate // 1.637 //	pratyakza-pAda-utprekzA-iyam idAnIm upapadyate // 1.637 //
   kiṃ cānadhigatagrāhi mānaṃ navanavaṃ yataḥ	kim ca-anaDigata-grAhi mAnam nava-navam yatas-
   bhairavecchāvaśād etad viśvaṃ bhāti tathā tathā // 1.638 //	BErava-icCA-vaSAt etat viSvam BAti taTA taTA // 1.638 //
   vastu pradarśayan mānaṃ pravṛttiṃ vidadhat sphuṭam	vastu pradarSayan mAnam pravRttim vidaDat sPuwam
   prāpayaty eva tad vastu tathābhāsanayogataḥ // 1.639 //	prApayati eva tat vastu taTA-ABAsana-yogataH // 1.639 //
   sad apy ekāntato nedaṃ nāsac cetyādisaṃvidaḥ	sat api ekAntataH na-idam na-asat ca-iti-Adi-saMvidaH
   bhānty eva paramārthena tad anekāntadṛk sphuṭā // 1.640 //	BAnti eva parama-arTena tat anekAnta-dRS sPuwAH // 1.640 //
   eko bhāvaḥ sarvabhāvasvabhāvaḥ	ekaH BAvaH sarva-BAva-svaBAvaH
   sarve bhāvā ekabhāvasvabhāvāḥ	sarve BAvAH eka-BAva-svaBAvAH
   arhadvādaḥ so 'yam asmadsudṛṣṭau	arhadvAdaH saH ayam asmad-su-dRzwO
   yuktaś ca śrīsāraśāstre 'pi coktaḥ // 1.641 //	yuktaH ca SrI-sAraSAstre api ca-uktaH // 1.641 //
   idaṃ mānaṃ meyaṃ tad idam iti saṃkhyāṃ kalayituṃ	idam mAnam meyam tat idam iti saMKyAm kalayitum
   svarūpaṃ vā śaktaḥ ka iva jagatīty etad api sat	svarUpam vA SaktaH kaH iva jagati-iti etat api sat-
   mataṃ vācāṃ patyur bhagavati cidānandasubhage	matam vAcAm patyuH Bagavati cit-Ananda-suBage
   yatas tūṣṇīṃbhāvād apara iha kaḥ kiṃ prakurutām // 1.642 //	yatas tUzNIMBAvAt aparaH iha kaH kim prakurutAm // 1.642 //
   ahetor bhāne syād yadi na tanudikkālaniyamas	ahetoH BAne syAt yadi na tanu-diS-kAla-niyama-s
   tato hetor īdṛṅ niyama iti kasyaiṣa mahimā	tatas hetoH IdRS niyamaH iti kasya-eza mahimA
   svabhāvo 'yaṃ hetor atha vivṛtakaṇṭhaṃ katham asau	svaBAvaH ayam hetoH aTa vivRta-kaNWam kaTam asO
   na bhāvasyaivokto yamayati pare kena hi paraḥ // 1.643 //	na BAvasya-eva-uktaH yamayati pare kena hi paraH // 1.643 //
   svabhāvāc cātmāsau paramaśiva ity āgamakathā	svaBAvAt ca-AtmA-asO paramaSivaH iti Agama-kaTA
   nirukto viśvātmā jagati nikhile jṛmbhata iti	niruktaH viSvAtmA jagati niKile jRmBate iti
   dharādeś cānanyo bhavatu tad iyaṃ bhūtacititā	DarA-AdeH ca-ananyaH Bavatu tat iyam BUta-citi-tA
   sa vandhyo dikkālair jananamaraṇāpāyarahitaḥ // 1.644 //	sa vanDyaH diS-kAlEH janana-maraNa-apAya-rahitaH // 1.644 //
   tad asyāyaṃ lokas tadanu paraloko 'py ayam iti	tat asya-ayam lokaH tadanu para-lokaH api ayam iti
   grahaḥ kasmād dhetoḥ spṛśati na hi taṃ kālakalanā	grahaH kasmAt DetoH spRSati na hi tam kAla-kalanA
   tataḥ svātantryodyatsukharasaparānandamahimā-	tatas svAtantrya-udyat-suKa-rasa-parAnanda-mahimA-
   bhavadbhasmībhūtākhilakaluṣapāśaughasubhagaḥ // 1.645 //	Bavat-BasmIBUta-aKila-kaluza-pASa-oGa-suBagaH // 1.645 //
   sāṃkhyadṛk punar ihaiva bhūyasā	sAMKya-dRS punar iha-eva BUyasA
   carcyate nikhilatattvagocarā	carcyate niKila-tattva-gocarA
   dṛśyate dharaṇīprabhṛty alaṃ	dRSyate DaraNI-praBRti alam
   tac ca sūkṣmatamakāraṇotthitam // 1.646 //	tat ca sUkzmatama-kAraNa-utTitam // 1.646 //
   tadgṛhītikaraṇodyataṃ punar	tad-gRhIti-karaNa-udyatam punar-
   bāhyataḥ karaṇakaṃ daśātmakam	bAhyatas karaNakam daSa-Atmakam
   āntaraṃ trividham asya kāraṇaṃ	Antaram triviDam asya kAraNam
   saukhyaduḥkhaparimohadarpaṇaḥ // 1.647 //	sOKya-duHKa-parimoha-darpaNaH // 1.647 //
   tādṛśaṃ triguṇam eva yad bhavet	tAdRSam triguNam eva yat Bavet-
   tat punar jaḍatayātha bhedataḥ	tat punar jaxa-tayA-aTa BedataH
   mūlakāraṇam apekṣate paraṃ	mUla-kAraNam apekzate param
   sā niśeyam iha bhogyam ucyate	sA niSA-iyam iha Bogyam ucyate
   tac ca bhoktṛ paratantratāmayam	tat ca BoktR paratantra-tAmayam
   no parasparam upaiti bhoktṛtām // 1.648 //	no parasparam upEti BoktRtAm // 1.648 //
   bhogyabhoktṛvapur ekam eva no	Bogya-BoktR-vapuH ekam eva no
   jāghaṭīti hi viruddhadharmataḥ	jAGawI-iti hi virudDa-DarmataH
   tena bhoktṛ citiśaktimātrakam	tena BoktR citi-Sakti-mAtrakam
   tac cidātmamayatāvaśān manaḥ // 1.649 //	tat cit-Atma-maya-tA-vaSAt manaH // 1.649 //
   vyāptṛ sarvagatam īśvaraṃ kathaṃ	vyAptR sarva-gatam ISvaram kaTam
   bhoktṛtāṃ vrajatu bhedasaṃgatām	BoktRtAm vrajatu Beda-saMgatAm
   tena tannijavaśitvanirmitāṃ	tena tad-nija-vaSi-tva-nirmitAm
   saṃkucatsthitijuṣaṃ daśāṃ śrayet // 1.650 //	saMkucat-sTiti-juzam daSAm Srayet // 1.650 //
   anyakāraṇakalādyabhāvataḥ	anya-kAraNa-kalA-Adi-aBAvataH
   so 'yam asya sahajo malaḥ smṛtaḥ	saH ayam asya sahajaH malaH smRtaH
   sa tridhā samavabhāti tadvaśād	sa triDA samavaBAti tad-vaSAt-
   eṣa eva sa pumān udāhṛtaḥ // 1.651 //	ezaH eva sa pumAn udAhRtaH // 1.651 //
   bhoktṛbhāvaparatantratāvaśān	BoktR-BAva-paratantra-tA-vaSAn
   nāntarīyakatayāsya kañcukam	na-antarIyaka-tayA-asya kaQcukam
   bhāti naivam iti kālavitkalā-	BAti na-evam iti kAla-vid-kalA-
   rāgasanniyatināmadheyakam // 1.652 //	rAga-sanniyati-nAmaDeyakam // 1.652 //
   yady ātmaiṣa punar nirargalanijasvātantryasaṃchāditaṃ	yadi AtmA-eza punar nirargala-nija-svAtantrya-saMCAditam
   svaṃ rūpaṃ vivṛṇoty alaṃ nijabalāt tacchuddhavitsaṃbhavaḥ	svam rUpam vivRNoti alam nija-balAt tad-SudDa-vid-saMBavaH
   kartṛtvaṃ kila kāryavargam akhilaṃ bodhe nidhāya svake	kartR-tvam kila kArya-vargam aKilam boDe niDAya svake
   paśyann īśvaratāṃ vrajed aham idaṃ sarvaṃ sadety uddhuraḥ // 1.653 //	paSyan ISvara-tAm vrajet aham idam sarvam sadA-iti udDuraH // 1.653 //
   jñātṛtvaṃ hṛdayāntarasphuritadṛg dṛṣṭvā sphuṭābhāsini	jQAtR-tvam hRdaya-antara-sPurita-dRS dRzwvA sPuwa-ABAsini
   jñeye bhedatirodhitāṃ nijacitau yasmāt sa saṃpaśyati	jQeye Beda-tiroDitAm nija-citO yasmAt sa saMpaSyati
   tenāsyedam ahaṃvidoḥ sarabhasaṃ bhedaikyam ājagmuṣī	tena-asya-idam ahaMvidoH sa-raBasam Beda-Ekyam AjagmuzI
   sāmānādhikaraṇyadhīḥ prakaṭayet sādāśivīṃ saṃsthitim // 1.654 //	sAmAnADikaraNya-DIH prakawayet sAdASivIm saMsTitim // 1.654 //
   jñeyaṃ kāryaṃ sarvam antar vibodhe	jQeyam kAryam sarvam antar viboDe
   yāval līnaṃ tāvad udriktavṛtteḥ	yAvat lInam tAvat udrikta-vRtteH
   bodhajvālāsaṃcayasyāntarāle	boDa-jvAlA-saMcayasya-antarAle
   tatprastyānaṃ svaṃ vapuḥ projjhatīva // 1.655 //	tat-prastyAnam svam vapuH projJatI-iva // 1.655 //
   idaṃbhāvaḥ so 'yaṃ vigalitumanā no vigalito	idaMBAvaH saH ayam vigalitu-manAH naH vigalitaH-
   bhavet prākkakṣyāyām api sa samakāntis tad adhunā	Bavet prAk-kakzyAyAm api sa sama-kAntiH tat aDunA
   ahaṃbhāgodreke vidhir anavadhir bhāvavisare	ahaMBAga-udreke viDiH anavaDiH BAva-visare
   tad eṣā śāktī bhūriṣir iti svasiddhātmani parā // 1.656 //	tat ezA SAktI BUriziH iti sva-sidDa-Atmani parA // 1.656 //
   īhate galitumanvato galet tatra pūrvapararūpasaṃgateḥ	Ihate galitum-anvataH galet tatra pUrva-para-rUpa-saMgateH
   śāktabhūmir akhileyam ucyate citracinnicayacarcitā satī // 1.657 //	SAkta-BUmiH aKileyam ucyate citra-cid-nicaya-carcitA satI // 1.657 //
   tattve tattve svecchayā devadevaḥ	tattve tattve sva-icCayA devadevaH
   sarvāṃ sarvāṃ bhūmim ālambamānaḥ	sarvAm sarvAm BUmim AlambamAnaH
   pūrṇaikātmā pūrṇasaṃvitsvarūpaḥ	pUrNa-eka-AtmA pUrNa-saMvid-svarUpaH
   śrīmāñ śāstre bhairavo niruktaḥ // 1.658 //	SrImAn SAstre BEravaH niruktaH // 1.658 //
   śaktipātadṛg iyaṃ nirucyate	SaktipAta-dRS iyam nirucyate
   mandamadhyaparatīvrabhedataḥ	manda-maDya-para-tIvra-BedataH
   tatparasparabhidābhir apy alaṃ	tad-paraspara-BidABiH api alam
   yā svarūpaparidṛṣṭir ātmanaḥ // 1.659 //	yA svarUpa-paridRzwiH AtmanaH // 1.659 //
   nanu kiṃ kadācid ayam īśvaro nijarūpaṃ prakāśayati pūrṇacitiḥ	nanu kim kadAcid ayam ISvaraH nija-rUpam prakASayati pUrNa-citiH
   kiṃ vā kadācid atha saṃvṛṇute nirhetuko hi niyamaḥ kila kaḥ // 1.660 //	kim vA kadAcid aTa saMvRNute nirhetukaH hi niyamaH kila kaH // 1.660 //
   uktam atra kila pūrvam anantaṃ	uktam atra kila pUrvam anantam
   nānyad asti niyameṣu nimittam	na-anyat asti niyamezu nimittam
   laukikeṣv api sa eva maheśaś	lOkikezu api saH eva maheSaH-
   citracitraparibhāsanaśīlaḥ // 1.661 //	citra-citra-pariBAsana-SIlaH // 1.661 //
   tatsvātantryād adhikam adhunā nottaraṃ bambhaṇīmaḥ	tad-svAtantryAt aDikam aDunA na-uttaram bamBaNImaH
   saṃvitsindhoḥ prathitalaharīharmyadhārādhirūḍhiḥ	saMvid-sinDoH praTita-laharI-harmya-DArA-aDirUXiH
   śāntis tasyās tadanu tad ayaṃ bandhanāmnāpadiṣṭas	SAntiH tasyAH tadanu tat ayam banDa-nAmnA-apadizwa-s
   tenaivetthaṃ parigataraso mokṣa ity uktarūpaḥ // 1.662 //	tena-eva-itTam parigata-rasaH mokzaH iti ukta-rUpaH // 1.662 //
   sadā kadācid adhunā tadetyādi ca saṃvidaḥ	sadA kadAcid aDunA tadA-ityAdi ca saMvidaH
   tatsvātantryāvabhāsīyakālakelivikalpanāḥ // 1.663 //	tad-svAtantrya-avaBAsIya-kAla-keli-vikalpanAH // 1.663 //
   na ca kālakalābhiḥ sa spṛśyate parameśvaraḥ	na ca kAla-kalABiH sa spRSyate parameSvaraH
   na hi tāsāṃ svatantrāsti sthitis tatkalpanāṃ vinā // 1.664 //	na hi tAsAm svatantrA-asti sTitiH tad-kalpanAm vinA // 1.664 //
   tena svasṛṣṭe bhāvāṃśe svarūpātmany api sphuṭam	tena sva-sRzwe BAva-aMSe svarUpa-Atmani api sPuwam
   pāratantryāvabhāso 'yaṃ devenaivāvabhāsyate // 1.665 //	pAratantrya-avaBAsaH ayam devena-eva-avaBAsyate // 1.665 //
   pāratantryaṃ kalayati svatantraḥ parameśvaraḥ	pAratantryam kalayati svatantraH parameSvaraH
   svātantrye pāratantrye ca nānyal lakṣaṇam ucyate // 1.666 //	svAtantrye pAratantrye ca na-anyat lakzaNam ucyate // 1.666 //
   paricchinnaprakāśo hi jaḍas tenātra yaḥ sthitaḥ	paricCinna-prakASaH hi jaxaH tena-atra yaH sTitaH
   paricchedaka eṣo 'pi paricchedyo yadi sphuṭam // 1.667 //	paricCedakaH ezaH api paricCedyaH yadi sPuwam // 1.667 //
   tad asya rūpagrahaṇe na prakāśaḥ prakāśate	tat asya rUpa-grahaNe na prakASaH prakASate
   tathā hi bāhyo bhāvāṃśaḥ svayaṃ naiṣa prakāśate // 1.668 //	taTA hi bAhyaH BAva-aMSaH svayam na-eza prakASate // 1.668 //
   jñānam arthaprakāśātma tac cānābhātam eva hi	jQAnam arTa-prakASa-Atma tat ca-anABAtam eva hi
   tasyāpi samavāyy ātmā naiva bhāti svarūpataḥ // 1.669 //	tasya-api samavAyi AtmA na-eva BAti svarUpataH // 1.669 //
   tadīyakaraṇaṃ netraprabhṛty api na bhāsate	tadIya-karaNam netra-praBRti api na BAsate
   ālokādeś ca vijñānād ṛte naivāvābhāsanam // 1.670 //	Aloka-AdeH ca vijQAnAt Rte na-eva-avABAsanam // 1.670 //
   nanu jātaṃ yadi jñānam arthasyāsau prakāśatā	nanu jAtam yadi jQAnam arTasya-asO prakASa-tA
   śaktir dharmo yadi prāptaṃ sārvajñyaṃ viśvamaṇḍale // 1.671 //	SaktiH DarmaH yadi prAptam sArvajQyam viSva-maNxale // 1.671 //
   anyad evātha tat kiṃcit prakāśatvābhiśabditam	anyat eva-aTa tat kiMcid prakASa-tva-aBiSabditam
   tan meyamātṛmāneṣu naiva kutrāpi saṃgatam // 1.672 //	tat meya-mAtR-mAnezu na-eva kutra-api saMgatam // 1.672 //
   tataś cāprakaṭaṃ viśvaṃ sarvadaiva bhaved idam	tatas ca-aprakawam viSvam sarvadA-eva Bavet idam
   aprakāśasya bhāvasya yadi ca syād prakāśanam // 1.673 //	aprakASasya BAvasya yadi ca syAt prakASanam // 1.673 //
   tāvataivāsya hīyeta svarūpaṃ parihānitaḥ	tAvatA-eva-asya hIyeta svarUpam parihAnitaH
   jñānotpattiś ca bhāvasya svarūpasthasya cet prathā // 1.674 //	jQAna-utpattiH ca BAvasya svarUpa-sTasya ced praTA // 1.674 //
   aviśiṣṭe svarūpasthabhāve viśvasya sā na kim	aviSizwe svarUpa-sTa-BAve viSvasya sA na kim
