   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   jijñāsādikāryaṃ bhavediti vākyaśeṣeṇānvayaḥ / oṃ	jijQAsA Adi kAryam Bavet iti vAkya SezeNa anvayaH / om
   brahmaśabdayorubhayoryaugikatve 'pi ekasya rūḍhatvena viśeṣyavācitvaṃ	brahma SabdayoH uBayoH yOgika tve api ekasya rUXa tvena viSezya vAci tvam
   anyasya yaugikatvena	anyasya yOgika tvena
   viśeṣaṇavācitvamāśrityānvayāṅgīkārānnānyataravaiyarthyam /	viSezaNa vAci tvam ASritya anvaya aFgIkArAt na anyatara vEyarTyam /
   "omityetadakṣaramudgīthamupāsīta"tadvijijñāsasva /	"om iti etat akzara mudgITam upAsIta" tad vijijQAsasva /
   tadbrahmeti"ityādyanekaviṣayavākyasaṅgrahāya cobhayoḥ prayogaḥ /	tat brahma iti"iti Adi aneka vizaya vAkya saFgrahAya ca uBayoH prayogaH /
   BBsBh_1,1.1.20:	BBsBh_1,1.1.20:
   athaśabdo maṅgalārtho 'dhikārāntaryārthaśca /	aTa SabdaH maFgala arTaH aDikAra antaryArTaH ca /
   ataśśabdo hetvarthaḥ /	atas SabdaH hetu arTaH /
   BBsBhDīp_1,1.1.20:	BBsBhDIB _1,1.1.20:
   granthādau maṅgalācaraṇasyāvaśyaṃ kartavyatvena maṅgalaprayojakatayā	granTa AdO maFgala AcaraNasya avaSyam kartavya tvena maFgala prayojaka tayA
   athaśabdaṃ vyācaṣṭe   'atha'; iti / maṅgalaṃ	aTa Sabdam vyAcazwe  aaTa a; iti / maFgalam
   vighnotsāraṇāsādhāraṇakāraṇānuṣṭheyaviṣṇusmaraṇāthaśabdoccāraṇarūpamarthaḥ	viGna utsAraNa asa ADAraNa kAraNa anuzWeya vizNu smaraNATa Sabda uccAraNa rUpam arTaH
   prayojanaṃ yasya, tathā praśastarūpānuṣṭheyamaṅgalātmako viṣṇuḥ tadguṇo	prayojanam yasya, taTA praSasta rUpa anuzWeya maFgala AtmakaH vizNuH tad guNa u
   vābhidheyo yasya sa tathoktaḥ / athaśabdasya maṅgalaphalakatvaṃ tu  	vA aBiDeyaH yasya sa taTA uktaH / aTa Sabdasya maFgala Palaka tvam tu  
   oṅkāraścāthaśca dvāvetau brahmaṇaḥ purā /	oFkAraH ca aTaH ca dvO= etO brahmaNaH purA /
   kaṇṭhaṃ bhittvā viniryātau tasmānmāṅgalikāvubhau //	kaNWam BittvA viniryAtO tasmAt mAFgalikO= uBO //
   iti manusmṛtisiddham / muktyarthimātrasya brahmajijñāsāyāṃ	iti manu smRti sidDam / mukti arTi mAtrasya brahma jijQAsAyAm
   pravṛttinirasanatātparyeṇāpi prayuktasyākhaṇḍāthaśabdasya vācyamarthamāha	pravRtti nirasana tAtparyeNa api prayuktasya aKaNxATa Sabdasya vAcyam arTam Aha
     'adhikāra'; iti / ca śabdo 'nuṣṭheyānanuṣṭheyākṣarārthavivakṣayā	 aaDikAra a; iti / ca SabdaH anuzWeyAn anuzWeya akzara arTa vivakzayA
   samuccaye, na kevalaṃ maṅgalaprayojakaḥ kintvānantaryābhidhāyakaśceti	samuccayet na kevalam maFgala prayojakaH kintvA anantarya aBiDAyakaH ca iti
   viṣayasamuccaye vā /	vizaya samuccaye vA /
   yadvā   avadhāraṇe caśabdaḥ /	yat vA  avaDAraNe caSabdaH /
   tenānuṣṭheyamaṅgalārambhapraśnakārtsnyārthanirāsaḥ / tatprakārastu	tena anuzWeya maFgala AramBa praSna kArtsnya arTa nirAsaH / tad prakAraH tu
   candrikāyāmuktaḥ / tathā cādhikārānantaryamartho 'bhidheyo yasya sa	candri kAyAm uktaH / taTA ca aDikAra Anantaryam arTaH aBiDeyaH yasya sa
   tathoktaḥ / athaśabdasyānantaryamātrārthatve 'pi adhikāretipadasya	taTA uktaH / aTa Sabdasya Anantarya mAtra arTa tve api aDikAra iti padasya
   yogyatayā sambandhāt evamuktiḥ / anenānadhikāriṇo muktyarthimātrasya	yogyatayA sambanDAt evam uktiH / anena anaDikAriNaH mukti arTi mAtrasya
   brahmavicāre pravṛttirnirastā bhavati / brahmajijñāsāyāḥ	brahma vicAre pravRttiH nirastA Bavati / brahma jijQAsAyAH
   prayojanakāraṇaśūnyatāśaṅkānivartakatayā ataḥśabdaṃ vyācaṣṭe   'ataḥ'; iti	prayojana kAraNa SUnyatA SaFkA nivartaka tayA atas Sabdam vyAcazwe  aataH a; iti
   / 'hetvarthaḥ'; iti / heturliṅgamartho yasya, hetuḥ kāraṇaṃ	/ ahetu arTaH a; iti / hetuH liFgam arTaH yasya, hetuH kAraNam
   prasādākhyamartho yasyeti vā, sa tathoktaḥ /	prasAda AKyam arTaH yasya iti vA, sa taTA uktaH /
   BBsBh_1,1.1.21:	BBsBh_1,1.1.21:
   uktaṃ ca gāruḍe  	uktam ca gAruxe  
   BBsBhDīp_1,1.1.21:	BBsBhDIB _1,1.1.21:
   nanvathātaḥ śabdapūrvakatvaṃ sūtrāṇāṃ kiṃ nimittaṃ	nanu aTa atas Sabda pUrvaka tvam sUtrANAm kim nimittam
   vighnanivartakaśabdoccāraṇādeḥ "maṅgalaṃ tataḥ"iti śabdāntaroccāraṇenāpi	viGna nivartaka Sabda uccAraNa AdeH "maFgalam tatas "iti Sabda antara uccAraNena api
   sambhavādityāśaṅkāṃ purāṇavacanenaiva nirākaroti   'uktañca'; iti /	samBavAt iti ASaFkAm purANa vacanena eva nirAkaroti  auktaQca a; iti /
   yadetat "athaśabdaḥ"ityādinoktaṃ tadgāruḍapurāṇe uktamevetyarthaḥ / na	yat etat "aTa SabdaH"ityAdinA uktam tad gAruxa purANe uktam eva iti arTaH / na
   kevalamasmābhiḥ, kintu gāruḍe ceti samuccaye vā ca śabdaḥ /	kevalam asmABiH, kintu gAruxe ca iti samuccaye vA ca SabdaH /
   BBsBh_1,1.1.22:	BBsBh_1,1.1.22:
   athātaśśabdapūrvāṇi sūtrāṇi nikhilānyapi /	aTa atas Sabda pUrvANi sUtrANi niKilAni api /
   BBsBh_1,1.1.23:	BBsBh_1,1.1.23:
   prārabhante niyatyaiva tatkimatra niyāmakam //	prAraBante niyatya eva tat kim atra niyAmakam //
   BBsBhDīp_1,1.1.22 23:	BBsBhDIB _1,1.1.22 23:
   kimuktamityastatpaṭhati   'atha'; iti /	kim uktam ityaH tat paWati  aaTa a; iti /
   yādṛcchikatvāparaparyāyāniyatatvaśaṅkāvāraṇāya 'niyatyaiva'; iti /	yAdRt Cika tva apara paryAya aniyata tva SaFkA vAraNAya aniyatya eva a; iti /
   'nikhilāni'; ityetat 'sūtrāṇi'; ityasya saṅkocavārakaṃ viśeṣaṇam /	aniKilAni a; iti etat asUtrANi a; iti asya saFkoca vArakam viSezaNam /
   apirabhivyāptau / evakāro 'niyamavyavṛttyarthaḥ / bhinnakramo vā / tathā	apiH aBivyAptO / eva kAraH aniyam a vyavRtti arTaH / Binna kramaH vA / taTA
   ca   he 'vidvan'; ādikave 'brahman'; caturmukha 'nikhilānyapi';	ca  he avidvan a; Adikave abrahman a; caturmuKa aniKilAni api a;
   vyāsajaiminyādikṛtāni sarvāṇyapyādisūtrāṇi 'niyatyaiva'; niyamenaiva	vyAsa jEmini Adi kRtAni sarvANi api Adi sUtrANi aniyatya eva a; niyamena eva
   kalpāntarepi 'athātaśśabdapūrvāṇi'; eva, athātaśśabdau pūrvau	kalpa antarepi aaTa atas Sabda pUrvANi a; eva, aTa atas SabdO pUrvO
   prathamaprayojyau yeṣu tathāvidhānyeva 'prārabhante'; sūtrakārāḥ / 'atra';	praTama prayojyO yezu taTAviDAni eva aprAraBante a; sUtra kArAH / aatra a;
   prathamaprayojyatve niyamena prathamaprayoge kenacinniyāmakena bhāvyaṃ,	praTama prayojya tve niyamena praTama prayoge kenacid niyAmakena BAvyaM,
   tanniyāmakaṃ kimiti praśnavākyayojanā /	tad niyAmakam kim iti praSna vAkya yojanA /
   BBsBh_1,1.1.24:	BBsBh_1,1.1.24:
   kaścārthaśca tayorvidvan kathamuttamatā tayoḥ /	kaH ca arTaH ca tayoH vidvan kaTam uttamatA tayoH /
   BBsBhDīp_1,1.1.24:	BBsBhDIB _1,1.1.24:
   nanvavaśyavaktavyārthatvaṃ svarūpottamattvam arthata ādhikyaṃ vā niyāmakaṃ	nanu avaSya vaktavya arTa tvam svarUpa uttamat tvam arTataH ADikyam vA niyAmakam
   bhaviṣyatītyāśaṅkyādyapakṣe pṛcchati   'kaśca'; iti / caḥ praśnasamuccaye,	Bavizyati iti ASaFkya Adya pakze pRcCati  akaH ca a; iti / caH praSna samuccaye,
   avadhāraṇe vā / dvitīyastuśabdārthaḥ	avaDAraNe vA / dvitIyaH tu Sabda arTaH
   arthasyāvaśyavaktavyatvarūpaviśeṣamāha / tuśabdapāṭhastu svarasaḥ / tathā	arTasya avaSya vaktavya tva rUpa viSezam Aha / tuSabda pAWaH tu svarasaH / taTA
   ca   'tayoḥ'; athātaḥśabdayoḥ ko 'sāvavaśyavaktavyo 'rthaḥ yena	ca  atayoH a; aTa atas SabdayoH kaH asO= avaSya vaktavyaH arTaH yena
   prāthamyamityarthaḥ / dvitīyamākṣipati   'kathaṃ'; iti / 'uttamatā';	prATamyam iti arTaH / dvitIyam Akzipati  akaTaM a; iti / auttama tA a;
   svarūpataścādhikyam / na kathamapītyarthaḥ / evaṃ kathaṃśabdasya	svarUpataH ca ADikyam / na kaTam api iti arTaH / evam kaTaMSabdasya
   praśnaparatvamaṅgīkṛtya tṛtīyapakṣapraśnaparatvenāpi	praSna para tvam aFgIkRtya tRtIya pakza praSna paratvena api
   kathamityetadyojanīyam / arthata iti śeṣaḥ / tathā ca  	kaTam iti etat yojanIyam / arTataH iti SezaH / taTA ca  
   tayorathātaḥśabdayoḥ arthataḥ uttamatā ādhikyaṃ	tayoH aTa atas SabdayoH arTataH uttamatA ADikyam
   kathamityarthaḥ / atra	kaTam iti arTaH / atra
   ādyatṛtīyapakṣayoravaśyavaktavyārthatārthādhikyayostadabhāvayośca loke	Adya tRtIya pakzayoH avaSya vaktavyArTa tA arTa ADikyayoH tad aBAvayoH ca loke
   śabdāntareṣu darśanāt athātaśśabdayostatsandehāt praśna eva na tvākṣepaḥ /	Sabda antarezu darSanAt aTa atas SabdayoH tat sandehAt praSnaH eva na tu AkzepaH /
   dvitīyapakṣe tu svarūpādhikyasya śabdāntareṣvadarśanāt ākṣepa eveti	dvitIya pakze tu svarUpa ADikyasya Sabda antarezu adarSanAt AkzepaH eva iti
   dhyeyam / atroṅkārasya praśnādyaviṣayatvaṃ	Dyeyam / atra uFkArasya praSna Adya vizaya tvam
   sarvaśāstrādisūtrāvayavatvābhāvāt, 'sravati'; iti śrutyā 'sisṛkṣoḥ';	sarva SAstra Adi sUtra avayava tva aBAva at, asravati a; iti SrutyA asisRkzoH a;
   ityādismṛtyā caitacchāstramātramukhyāditvena siddhatvāccetyavadheyam/	ityAdi smRtyA ca etat SAstra mAtra muKya Adi tvena sidDa tvAt ca iti avaDeyam/
   BBsBh_1,1.1.25:	BBsBh_1,1.1.25:
   etadākhyāhi me brahman yathā jñāsyāmi tattvataḥ /	etat AKyAhi me brahman yaTA jQAsyAmi tattvataH /
   BBsBh_1,1.1.26:	BBsBh_1,1.1.26:
   evamukto nāradena brahmā provāca sattamaḥ /	evam uktaH nAradena brahmA provAca sattamaH /
   BBsBhDīp_1,1.1.25 26:	BBsBhDIB _1,1.1.25 26:
   'etat'; praśnākṣepaviṣayībhūtaṃ niyāmakaṃ 'ahaṃ tattvato'; yāthārthyena	aetat a; praSna Akzepa vizayIBUtam niyAmakam aaham tattvataH a; yATArTyena
   'yathā jñāsyāmi'; tathā 'me'; mahyaṃ 'ākhyāhi'; brūhiti 'evaṃ	ayaTA jQAsyAmi a; taTA ame a; mahyam aAKyAhi a; brUhiti aevam
   nāradenoktaḥ'; pṛṣṭaḥ ākṣiptaśca 'sattamaḥ'; sajjīvottamaḥ 'brahmā';	nAradena uktaH a; pRzwaH AkziptaH ca asattamaH a; sajjIva uttamaH abrahmA a;
   pratyuvācetyarthaḥ /	pratyuvAca iti arTaH /
   BBsBh_1,1.1.27:	BBsBh_1,1.1.27:
   ānantarye 'dhikārasya maṅgalārthe tathaiva ca /	Anantarye aDikArasya maFgala arTe taTA eva ca /
   BBsBhDīp_1,1.1.27:	BBsBhDIB _1,1.1.27:
   jijñāsādhikārasyāvaśyavaktavyatvena taddhetutāsādhakānantaryasya	jijQAsA aDikArasya avaSya vaktavya tvena tad hetutA sADaka anantaryasya
   jijñāsāhetostatkartavyatāhetoścāvaśyavaktavyatvāttadarthakatvāttayoḥ	jijQAsA hetoH tad kartavya tA hetoH ca avaSya vaktavya tvAt tad arTaka tvAt tayoH
   prathamaprayoga iti parihāramabhipretyāvaśyavaktavyārthatvaṃ	praTama prayogaH iti parihAram aBipretya avaSya vaktavya arTa tvam
   athātaśśabdayordarśayati   'ānantarye'; iti / parasparasamuccaye tathā	aTa atas SabdayoH darSayati  aAnantarye a; iti / paraspara samuccaye taTA
   caśabdau / evakāro bhinnakramaḥ; tenābhidheyontaraṃ vyāvartyate / tathā ca	caSabdO / eva kAraH BinnakramaH; tena aBiDeyaH ntaram vyAvartyate / taTA ca
     sautrāthaśabdaḥ 'adhikārasyānantarye'; adhikāranirūpitānantaryarūpārthe	 sOtrATa SabdaH aaDikArasya Anantarye a; aDikAra nirUpita Anantarya rUpa arTe
   tadviṣaye tanmātravācakatvābhiprāyeṇaiva sūtrakāraiḥ 'samudīritaḥ';	tad vizaye tanmAtra vAcaka tva aBiprAyeNa eva sUtrakArEH asamudIritaH a;
   prayukto na maṅgalādivācakatvenetyarthaḥ / avaśyakartavyaprayojanakatvācca	prayuktaH na maFgala Adi vAcaka tvena iti arTaH / avaSya kartavya prayojanaka tvAt ca
   prathamamathaśabdaprayoga iti bhāvenāthaśabdo maṅgalārtha iti svoktārthe	praTamam aTa Sabda prayogaH iti BAvena aTa SabdaH maFgala arTaH iti sva ukta arTe
   pramāṇaṃ darśayati   'maṅgalārthe'; iti / caturthyarthe saptamīyaṃ,	pramANam darSayati  amaFgala arTe a; iti / caturTI arTe saptamIyaM,
   avyayaṃ vā / arthaśabdaḥ prayojanavācī / tathā ca  	avyayam vA / arTa SabdaH prayojana vAcI / taTA ca  
   maṅgalarūpaprayojanārthaṃ ca athaśabdaḥ sūtrakāraissamudīritaḥ prayukto	maFgala rUpa prayojana arTam ca aTa SabdaH sUtra kArEH samudIritaH prayuktaH 
   bhavedityarthaḥ/ viṣṇuvācakākāraghaṭitāthaśabdoccāraṇarūpamaṅgalasya	Bavet iti arTaH/ vizNu vAcaka AkAra GawitATa Sabda uccAraNa rUpa maFgalasya
   tatsādhyatvāditi bhāvaḥ / ānantarya itivat 'maṅgale'; ityanuktvā 'artha';	tad sADya tvAt iti BAvaH / AnantaryaH iti vat amaFgale a; iti anuktvA aarTa a;
   iti vacanaṃ tadvaiṣamyasūcanārtham / svavākye pramāṇakramātikramastu	iti vacanam tat vEzamya sUcanA arTam / sva vAkye pramANa krama atikramaH tu
   maṅgalasya prathamamanuṣṭheyatvāt kṛtaḥ /	maFgalasya praTamam anuzWeya tvAt kRtaH /
   BBsBh_1,1.1.28:	BBsBh_1,1.1.28:
   athaśabdastvataśśabdo hetvarthe samudīritaḥ /	aTa SabdaH tu atas SabdaH hetu arTe samudIritaH /
   BBsBhDīp_1,1.1.28:	BBsBhDIB _1,1.1.28:
   evamathaśabdasya avasyavaktavyārthatvarūpaṃ prathamaprayoganiyāmakaṃ	evam aTa Sabdasya avasya vaktavya arTa tva rUpam praTama prayoga niyAmakam
   pradarśya ataḥśabdasyāpi taddarśayati   'ataḥśabdastu hetvarthe'; iti /	pradarSya atas Sabdasya api tat darSayati  aatas SabdaH tu hetu arTe a; iti /
   tuśabdo viśeṣārthaḥ / heturliṅgaṃ kāraṇaṃ ca sa cāsāvartho 'bhidheyaśca	tuSabdaH viSeza arTaH / hetuH liFgam kAraNam ca sa ca asO= arTaH aBiDeyaH ca
   tasmin tadviṣaye tadvācakatayā sūtrakṛdbhiḥ 'samudīritaḥ'; ityarthaḥ /	tasmin tad vizaye tad vAcaka tayA sUtrakRdBiH asamudIritaH a; iti arTaH /
   gurvarthadīpikāyāntu "hetvarthe iti svavākye pramāṇe ca 'taddhetutvaṃ	guru arTa dIpikA yAn tu "hetu arTe iti sva vAkye pramANe ca atad hetu tvam
   vadan'; ityuttaravākyānusārāt bhāvapradhāno nirdeśaḥ"ityuktam /	vadan a; iti uttara vAkya anusArAt BAva praDAnaH nirdeSaH"iti uktam /
   tanniṣphalam / tathā ca vyākhyāsyāmaḥ / hetāvityanuktvā arthaśabdagrahaṇaṃ	tad nizPalam / taTA ca vyAKyAsyAmaH / hetO= iti anuktvA arTa Sabda grahaNam
   śabdādhikyādarthādhikyamiti nyāyena prakṛterheturarthaḥ pratyayasya tu	Sabda ADikyAt arTa ADikyam iti nyAyena prakRteH hetuH arTaH pratyayasya tu
   hetutvamartha iti prakṛtipratyayobhayārthakathanārtham / yadvā  	hetu tvam arTaH iti prakRti pratyaya uBaya arTa kaTana arTam / yat vA  
   arthaśabdasyobhayatra śravaṇātsa pūrvatrāpyanuṣañjanīya iti jñāpanāya,	arTa Sabdasya uBayatra SravaNAt sa pUrvatra api anuzaQjanIyaH iti jQApanAya,
   tadarthamātraṃ bhinnamiti dhyeyam /	tad arTa mAtram Binnam iti Dyeyam /
   BBsBh_1,1.1.29:	BBsBh_1,1.1.29:
   parasya brahmaṇo viṣṇoḥ prasādāditi vā bhavet /	parasya brahmaNaH vizNoH prasAdAt iti vA Bavet /
   BBsBhDīp_1,1.1.29:	BBsBhDIB _1,1.1.29:
   atra ataśśabdasyāvaśyavaktavyamarthāntaraṃ cāha   'parasya'; iti /	atra atas Sabdasya avaSya vaktavyam arTa antaram ca Aha  aparasya a; iti /
   vāśabdaḥ samuccaye / uktaṃ hi prameyadīpe "vāśabdaścārthaḥ"iti / uktaṃ hi	vA SabdaH samuccaye / uktam hi prameya dIpe "vA SabdaH ca arTaH"iti / uktam hi
   "yadi vā bhedabhinnayoḥ"iti viṣṇutattvanirṇayaṭīkāyāṃ	"yadi vA Beda BinnayoH"iti vizNu tattva nirNaya wI kAyAm
   "vāśabdassamuccayārthaḥ"iti / tathā tattvapradīpe 'pi "suptau mokṣe	"vA Sabda ssamuccaya arTaH"iti / taTA tattva pradIpe api "suptO mokze
   vā"ityatra "vāśabdassamuccayārthaḥ"iti / anena 'ataḥ'; ityetat 'a';	vA"iti atra "vA Sabda ssamuccaya arTaH"iti / anena aataH a; iti etat aa a;
   śabdaprakṛtikaṃ tasilantaṃ padam, prakṛtyartho viṣṇuḥ, 'prasādāt'; iti tu	Sabda prakRtikam tasilantam padam, prakRti arTaH vizNuH, aprasAdAt a; iti tu
   labdhārthakathanaṃ, kāraṇatvaṃ pratyayārtha ityuktaṃ bhavati /	labDa arTa kaTanaM, kAraNa tvam pratyaya arTaH iti uktam Bavati /
   aparavyāvṛtyarthaṃ 'parasya'; iti / "a iti brahma"(ai.ā.2 3 8 7) iti	apara vyAvRti arTam aparasya a; iti / "aH iti brahma "(E.A.2 3 8 7) iti
   śrutiṃ sūcayati parabrahmagrahaṇena / tatsthabrahmaśabdavyākhyānāya	Srutim sUcayati para brahma grahaNena / tad sTa brahma Sabda vyAKyAnAya
   parasya brahmaṇa ityanuvādena viṣṇorityuktam / prasādādityanantaraṃ	parasya brahmaNaH iti anuvAdena vizNoH iti uktam / prasAdAt iti anantaram
   tajjijñāsādirūpaṃ kāryamiti śeṣaḥ / bhavedityasya ityarthe 'pi ataḥśabdaḥ	tad jijQAsA Adi rUpam kAryam iti SezaH / Bavet iti asya iti arTe api atas SabdaH
   ityanvayaḥ / ataḥśabdaprakṛtyarthasya phalasya yathā jijñāsākartavyatve	iti anvayaH / atas Sabda prakRti arTasya Palasya yaTA jijQAsA kartavya tve
   liṅgatvaṃ, na tathā tadarthaprasādasya, kintu kartavyajijñāsāyāṃ	liFga tvaM, na taTA tad arTa prasAdasya, kintu kartavya jijQAsAyAm
   jñānamokṣayorathaśabdārthādhyayanādau ca kāraṇatvenānvaya ityāśayena	jQAna m okzayoraTa Sabda arTa aDyayana AdO ca kAraNa tvena anvayaH iti ASayena
   pṛthaguktiḥ / yadyapi hetvarthe ityanenaivāyamartho labhyeta, hetuśabdasya	pRTak uktiH / yadi api hetu arTe iti anena eva ayam arTaH laByeta, hetu Sabdasya
   liṅgakāraṇobhayārthatvāt; tathāpi asādhāraṇāsarvanāmaprakṛtikaśabdena	liFga kAraNa uBaya arTa tva at; taTA api asADAraNA sarva nAma prakRtika Sabdena
   bodhanārtamidamityadoṣaḥ /	boDana Artam idam ityadozaH /
   BBsBh_1,1.1.30:	BBsBh_1,1.1.30:
   sa hi sarvamanovṛttiprerakassamudāhṛtaḥ /	sa hi sarva manaH vRtti prerakaH samudAhRtaH /
   BBsBhDīp_1,1.1.30:	BBsBhDIB _1,1.1.30:
   nanu jijñāsādyarthaṃ kiṃ bhagavatprasādena yenāsāvavaśyavaktavyārthaḥ	nanu jijQAsA Adi arTam kim Bagavat prasAdena yena asO= avaSya vaktavya arTaH
   syādityata āha   'sa hi'; iti / 'hi'; yasmāt 'saḥ'; viṣṇuprasādaḥ prasanno	syAt iti atas Aha  asa hi a; iti / ahi a; yasmAt asaH a; vizNu prasAdaH prasannaH 
   viṣṇuriti yāvat 'sarvamanovṛttiprerakaḥ'; sarveṣāṃ adhikāriṇāṃ sarvasmin	vizNuH iti yAvat asarva manaH vRtti prerakaH a; sarvezAm aDikAriNAm sarvasmin
   pūrṇe viṣṇau manovṛtteḥ prerakaḥ prāvaṇyahetuḥ 'samudāhṛtaḥ';	pUrNe vizNO manaH vRtteH prerakaH prAvaNya hetuH asamudAhRtaH a;
   prāmāṇikairityarthaḥ / jijñāsāpi sākṣātpramāṇadvārā vā manovṛtteḥ	prAmANikEH iti arTaH / jijQAsA api sAkzAt pramANa dvArAH vA manaH vRtteH
   prāvaṇyameva, "jijñāsāpi saiva"iti sudhokteḥ / evaṃ sarvāsāṃ manovṛttīnāṃ	prAvaNyam eva, "jijQAsA api sA eva" iti suDA ukteH / evam sarvAsAm manaH vRttInAm
   tatprabhedānāṃ ṭīkāsthādipadagṛhītānāṃ jñānādhyayanādīnāṃ	tad praBedAnAm wIkA sTA Adi pada gRhItAnAm jQAna aDyayana AdInAm
   manovṛttisādhyamokṣādeśca prerakaḥ sampādakaḥ ityapi vyākhyeyam / asya	manaH vRtti sADya mokza AdeH ca prerakaH sampAdakaH iti api vyAKyeyam / asya
   tasmāttadarthepyataśśabdo bhavediti pūrveṇānvayaḥ /	tasmAt tad arTepyataH SabdaH Bavet iti pUrveNa anvayaH /
   BBsBh_1,1.1.31:	BBsBh_1,1.1.31:
   sisṛkṣoḥ paramādviṣṇoḥ prathamaṃ dvau vinismṛtau /	sisRkzoH paramAt vizNoH praTamam dvO vinismRtO /
   BBsBh_1,1.1.32:	BBsBh_1,1.1.32:
   oṅkāraścāthaśabdaśca tasmātprāthamikau kramāt /	oFkAraH ca aTa SabdaH ca tasmAt prATamikO kramAt /
   BBsBhDīp_1,1.1.31 32:	BBsBhDIB _1,1.1.31 32:
   nanu maṅgalācaraṇādeḥ "maṅgalaṃ tataḥ"iti śabdāntareṇāpi	nanu maFgala AcaraNa AdeH "maFgalam tatas "iti Sabda antareNa api
   sambhavātkimetatprayoganiyatyeti kṛtacodyasya kaḥ parihāra ityato na	samBavAt kim etat prayoga niyatya iti kRta codyasya kaH parihAraH iti atas na
   kevalamavaśyavaktavyārthatvādathātaḥśabdayoḥ prathamaprayogaḥ, kintu	kevalam avaSya vaktavya arTa tvAt aTa atas SabdayoH praTama prayogaH, kintu
   svarūpādhikyāccetyāśayena 'kathamuttamatā'; ityasyottaratvena tayoḥ	svarUpa ADikyAt ca iti ASayena akaTam uttama tA a; iti asya uttara tvena tayoH
   svarūpādhikyamāha   'sisṛkṣoḥ'; iti / śabdayoṛ samuccaye ādyaḥ caśabdaḥ /	svarUpa ADikyam Aha  asisRkzoH a; iti / SabdayoR samuccaye AdyaH caSabdaH /
   nimittasamuccaye dvitīyaḥ / 'svarūpottamau'; iti śeṣaḥ / 'tasmāt';	nimitta samuccaye dvitIyaH / asvarUpa uttamO a; iti SezaH / atasmAt a;
   ityāvartate / tathā ca yasmāt 'sisṛkṣoḥ'; sraṣṭumicchoḥ 'paramāt';	iti Avartate / taTA ca yasmAt asisRkzoH a; srazwum icCoH aparamAt a;
   sarvottamāt 'viṣṇoḥ'; tanmukhāt 'prathamaṃ';	sarva uttamAt avizNoH a; tad muKAt apraTamaM a;
   svasamānajātīyaśabdāntarotpatteḥ pūrvaṃ oṅkāro 'tha śabdaścetyetau kaṇṭhaṃ	sva samAna jAtIya Sabda antara utpatteH pUrvam oFkAraH aTa SabdaH ca iti etO kaNWam
   bhittvā 'vinissṛtau'; viniryātau, tasmātsvarūpottamau,	BittvA avinissRtO a; viniryAtO, tasmAt svarUpa uttamO,
   tasmātsvarūpottamatvādeva 'prāthamikau'; prathamaṃ prayojyāviti yojanā /	tasmAt svarUpa uttama tvAt eva aprATamikO a; praTamam prayojyO= iti yojanA /
   atrākṣepāviṣayasyāpyoṅkārasya	atra Akzepa avizayasya api oFkArasya
   svarūpādhikyoktirbrahmamīmāṃsāśāstramātramukhyāmukhyāditvavivakṣayā	sva rUpa aDikyoktiH brahmamI mAMsA SAstra mAtra muKya amuKya Adi tva vivakzayA
   pravṛttaṃ 'sarva ete'; iti vakṣyamāṇamanusṛtyeti draṣṭavyam / nanu	pravRttam asarve ete a; iti vakzyamANam anusRtya iti drazwavyam / nanu
   dvayorekavidhaṃ prāthamikatvaṃ viruddhamityata uktaṃ 'kramāt'; iti /	dvayoH ekaviDam prATamika tvam virudDam iti atas uktam akramAt a; iti /
   ādimadhyakramādityarthaḥ / tatroṅkārasya mukhyaṃ prāthamikatvaṃ,	Adi maDya kramAt iti arTaH / tatra uFkArasya muKyam prATamika tvaM,
   athaśabdasya dvitīyatayā mukhyamiti dhyeyam /	aTaSabdasya dvitIya tayA muKyam iti Dyeyam /
   BBsBh_1,1.1.33:	BBsBh_1,1.1.33:
   taddhetutvaṃ vadaṃścāpi tṛtīyo 'ta udāhṛtaḥ /	tad hetu tvam vadan= ca api tRtIyaH atas udAhRtaH /
   BBsBhDīp_1,1.1.33:	BBsBhDIB _1,1.1.33:
   athaśabdasya oṅkāreṇa saha svarūpādhikayamabhidhāya ataḥśabdasyāpi tadāha	aTaSabdasya oFkAreNa saha svarUpa aDikayam aBiDAya atas Sabdasya api tat Aha
     'tat'; iti / 'taddhetutvaṃ vadan'; iti 'hetvarthe'; ityasyānuvādaḥ / sa	 atat a; iti / atad hetu tvam vadan a; iti ahetu arTe a; iti asya anuvAdaH / sa
   coddeśyasamarpakasya ata ityasya śabdaparatvajñāpanadvārā	ca uddeSya samarpakasya atas iti asya Sabda paratva jQApana dvArA
   tṛtīyatayoktatvādividhānārthaḥ anyathā svarūpādhikyakathanadaśāsaṅgatiḥ	tRtIyatayA ukta tva Adi viDAna arTaH anyaTA svarUpa ADikya kaTana daSA saFgatiH
   syāt / yadyapi purovādānusārāt 'taddhetutvaṃ vadan'; iti suvacam; tathāpi	syAt / yadi api purovAda anusArAt atad hetu tvam vadan a; iti su vacam; taTA api
   hetuśabdasya liṅgārthatvapakṣe tatsvarūpaṃ vivarituṃ kāraṇārthatvapakṣe	hetu Sabdasya liFga arTa tva pakze tad svarUpam vivaritum kAraNa arTa tva pakze
