   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   karma kuryādyathepsitam Stk_1.7d	karma kuryAt-yaTA-Ipsitam Stc-_1.7d
   karmayogyo bhavettataḥ Stk_16.10b	karma-yogyaH Bavet-tatas Stc-_16.10b
   kalāḍhyaṃ khamalaṅkṛtam Stk_19.2b	kalA-AXyam Kam-alaFkRtam Stc-_19.2b
   kalāḍhyaṃ taṃ vijānīyād Stk_19.6c	kalA-AXyam tam vijAnIyAt Stc-_19.6c
   kalāmutpādayāmāsa Stk_13.2a	kalAm-utpAdayAmAsa Stc-_13.2a
   kalpayecca yathākramam Stk_8.15d	kalpayet-ca yaTAkramam Stc-_8.15d
   kavacaṃ vāyugocare Stk_7.8b	kavacam vAyugocare Stc-_7.8b
   kavacaṃ vāyunā saha Stk_2.2d	kavacam vAyunA saha Stc-_2.2d
   kasminsthāne tu vicchedyāḥ Stk_8.25c	kasmin-sTAne tu vicCedyAH Stc-_8.25c
   kāruṇyāttvaṃ maheśvara Stk_20.1d	kAruNyAt-tvam maheSvara Stc-_20.1d
   kālacakramiti khyātaṃ Stk_18.1c	kAlacakram-iti KyAtam Stc-_18.1c
   kālacakravidhānaṃ tu Stk_18.1a	kAla-cakra-viDAnam tu Stc-_18.1a
   kālacakraṃ samākhyātaṃ Stk_18.5c	kAlacakram samAKyAtam Stc-_18.5c
   kiṃ tu rephavivarjitaḥ Stk_21.8d	kim tu rePa-vivarjitaH Stc-_21.8d
   kuṇṭhayitvā tataḥ snāyāc Stk_3.5a	kuNWayitvA tatas snAyAt Stc-_3.5a
   kumbhakena nirodhitam Stk_11.16d	kumBakena niroDitam Stc-_11.16d
   kurute nātra saṃśayaḥ Stk_16.3d	kurute na-atra saMSayaH Stc-_16.3d
   kūrma unmīlane smṛtaḥ Stk_10.13b	kUrmaH unmIlane smRtaH Stc-_10.13b
   kṛkarastu kṣute caiva Stk_10.13c	kRkaraH-tu kzute ca-eva Stc-_10.13c
   kṛtvāntaḥkaraṇaṃ hyevaṃ Stk_2.15a	kRtvA-antaHkaraNam hi-evam Stc-_2.15a
   kena vā nīyate tu saḥ Stk_23.12d	kena vA nIyate tu saH Stc-_23.12d
   ko na mucyeta bandhanāt Stk_8.37b	kaH na mucyeta banDanAt Stc-_8.37b
   krameṇaiva ṣaḍānana Stk_5.2b	krameNa-eva zaxAnana Stc-_5.2b
   kriyāśaktiḥ parā hi sā Stk_13.17d	kriyASaktiH parA hi sA Stc-_13.17d
   kṣapaṇaṃ ca tathāntasthaṃ Stk_19.2c	kzapaNam ca taTA-antasTam Stc-_19.2c
   kṣipettadbahireva ca Stk_3.7d	kzipet-tat-bahis-eva ca Stc-_3.7d
   kṣipraṃ nāśayati jvaram Stk_21.21f	kzipram nASayati jvaram Stc-_21.21f
   kṣmādyānālokya manasā Stk_8.40a	kzmA-AdyAn-Alokya manasA Stc-_8.40a
   khaśekharasamāyuktaṃ Stk_19.11c	Ka-SeKara-samAyuktam Stc-_19.11c
   khyātiḥ sarvatra jāyate Stk_21.3d	KyAtiH sarvatra jAyate Stc-_21.3d
   gatibhraṃśakare yoge Stk_14.2c	gati-BraMSa-kare yoge Stc-_14.2c
   gatiṃ tasya nivartayet Stk_14.3d	gatim tasya nivartayet Stc-_14.3d
   gandhastasya tu niṣkalaḥ Stk_23.6b	ganDaH-tasya tu nizkalaH Stc-_23.6b
   gamāgamasya japataḥ Stk_15.2a	gamAgamasya japataH Stc-_15.2a
   gamāgamaṃ viditvā tu Stk_15.3a	gamAgamam viditvA tu Stc-_15.3a
   gamāgamaḥ kathaṃ tasya Stk_23.12c	gamAgamaH kaTam tasya Stc-_23.12c
   garbhanyāsavidhiḥ prokto Stk_7.9a	garBanyAsa-viDiH proktaH Stc-_7.9a
   garbhādhānaṃ tathaiva ca Stk_8.17b	garBADAnam taTA-eva ca Stc-_8.17b
   garbhādhānādikaṃ kṛtvā Stk_6.3a	garBADAna-Adikam kRtvA Stc-_6.3a
   gāndhārī hastijihvā ca Stk_10.4a	gAnDArI hastijihvA ca Stc-_10.4a
   gurutvaṃ jāyate yathā Stk_21.15b	guru-tvam jAyate yaTA Stc-_21.15b
   gurudevāgnibhaktāya Stk_23.20c	guru-deva-agni-BaktAya Stc-_23.20c
   guruvaktrāttu labhyeta Stk_23.3c	guru-vaktrAt-tu laByeta Stc-_23.3c
   guhyaṃ vai guhyakena tu Stk_4.3d	guhyam vE guhyakena tu Stc-_4.3d
   guhyādguhyatamaṃ guhyaṃ Stk_23.19c	guhyAt-guhyatamam guhyam Stc-_23.19c
   gūḍhastiṣṭhati śaṃkaraḥ Stk_13.14b	gUXaH-tizWati SaMkaraH Stc-_13.14b
   gūḍhaḥ sūkṣmo nirañjanaḥ Stk_13.18b	gUXaH sUkzmaH niraQjanaH Stc-_13.18b
   gūhanīyaṃ prayatnataḥ Stk_23.19d	gUhanIyam prayatnataH Stc-_23.19d
   gṛhastho brahmacārī ca Stk_23.23a	gRhasTaH brahmacArI ca Stc-_23.23a
   gṛhītvātmānamātmanā Stk_8.26d	gRhItvA-AtmAnam-AtmanA Stc-_8.26d
   gopanīyā prayatnataḥ Stk_8.12d	gopanIyA prayatnataH Stc-_8.12d
   golakamiva helābhihatamutpatanaṃ nipātanaṃ kurute Stk_10.21/b	golakam-iva helA-aBihatam-utpatanam nipAtanam kurute Stc-_10.21/b
   granthidvayayutāḥ sarve Stk_8.39a	granTi-dvaya-yutAH sarve Stc-_8.39a
   granthiṃ bhittvā kṣaṇena tu Stk_11.18b	granTim BittvA kzaNena tu Stc-_11.18b
   grahajvaravināśaśca Stk_21.3a	graha-jvara-vinASaH-ca Stc-_21.3a
   grahaṇaṃ pūrvavadbhavet Stk_8.42b	grahaNam pUrvavat-Bavet Stc-_8.42b
   grahāṇāṃ nāśane mataḥ Stk_21.20b	grahANAm nASane mataH Stc-_21.20b
   cakravatyupacāreṇa Stk_3.5c	cakravatI-upacAreNa Stc-_3.5c
   cakravatsaṃsthitā nāḍyaḥ Stk_10.3a	cakra-vat-saMsTitA nAxyaH Stc-_10.3a
   cakre bhramatyasau jīvo Stk_10.16a	cakre Bramati-asO jIvaH Stc-_10.16a
   cakṣuranyatra pātitam Stk_23.15d	cakzuH-anyatra pAtitam Stc-_23.15d
   caturaśraṃ samantataḥ Stk_7.3b	caturaSram samantataH Stc-_7.3b
   caturthādyena saṃyutam Stk_1.12b	caturTa-Adyena saMyutam Stc-_1.12b
   caturhastamathāpi vā Stk_7.4b	catur-hastam-aTa-api vA Stc-_7.4b
   catvāriṃśajjapāddevam Stk_16.15c	catvAriMSat-japAt-devam Stc-_16.15c
   candanena vilepitam Stk_9.2b	candanena vilepitam Stc-_9.2b
   candrāgniriva saṃyuktā Stk_12.1a	candra-agniH-iva saMyuktA Stc-_12.1a
   cintayā rahitaṃ yattu Stk_1.8c	cintayA rahitam yat-tu Stc-_1.8c
   cintayettu vicakṣaṇaḥ Stk_2.11d	cintayet-tu vicakzaNaH Stc-_2.11d
   cintayettu vicakṣaṇaḥ Stk_2.14d	cintayet-tu vicakzaNaH Stc-_2.14d
   cintayetparamaṃ dhāma Stk_2.8a	cintayet-paramam DAma Stc-_2.8a
   cintayedviparītaṃ tu Stk_12.3c	cintayet-viparItam tu Stc-_12.3c
   cumbākāreṇa vaktreṇa Stk_19.6a	cumba-AkAreNa vaktreNa Stc-_19.6a
   codako darśayenmārgaṃ Stk_23.26c	ca-udakaH darSayet-mArgam Stc-_23.26c
   codako bodhakaścaiva Stk_23.25c	ca-udakaH boDakaH-ca-eva Stc-_23.25c
   chāyā tasya tu niṣkalā Stk_23.6d	CAyA tasya tu nizkalA Stc-_23.6d
   chivatīrthasya madhyataḥ Stk_3.5b	Civa-tIrTasya maDyatas Stc-_3.5b
   jagatsarvaṃ ca tanmayam Stk_13.20d	jagat-sarvam ca tad-mayam Stc-_13.20d
   jagatsthāvarajaṅgamam Stk_12.3b	jagat-sTAvara-jaFgamam Stc-_12.3b
   jananaṃ cādhikāraṃ ca Stk_8.17c	jananam ca-aDikAram ca Stc-_8.17c
   jananādivivarjitā Stk_8.11d	janana-Adi-vivarjitA Stc-_8.11d
   janāḥ svasthānavāsinaḥ Stk_16.11b	janAH sva-sTAna-vAsinaH Stc-_16.11b
   japanpṛthvīṃ vaśaṃ nayet Stk_16.15b	japan-pRTvIm vaSam nayet Stc-_16.15b
   japasaṃkhyāṃ karoti saḥ Stk_11.10d	japa-saMKyAm karoti saH Stc-_11.10d
   japaṃ kuryādvicakṣaṇaḥ Stk_16.8d	japam kuryAt-vicakzaNaH Stc-_16.8d
   japānte ghṛtahomastu Stk_16.9c	japa-ante GRta-homaH-tu Stc-_16.9c
   japedyaḥ satataṃ naraḥ Stk_15.1b	japet-yaH satatam naraH Stc-_15.1b
   jalasnānaṃ purā kṛtvā Stk_4.2a	jala-snAnam purA kRtvA Stc-_4.2a
   jīvasya puruṣākhyasya Stk_11.2a	jIvasya puruza-AKyasya Stc-_11.2a
   jīvaṃ prāṇamayaṃ budhaḥ Stk_8.36b	jIvam prANa-mayam buDaH Stc-_8.36b
   jīvaḥ kevalatāṃ vrajet Stk_8.33b	jIvaH kevala-tAm vrajet Stc-_8.33b
   jīvaḥ prayāti daśadhā Stk_10.17a	jIvaH prayAti daSaDA Stj-_10.17a
   jīvedvarṣadvayaṃ tu saḥ Stk_18.2d	jIvet-varza-dvayam tu saH Stc-_18.2d
   jīvo hyūrdhvaṃ tu recitaḥ Stk_11.18d	jIvaH hi-UrDvam tu recitaH Stc-_11.18d
   jñātameva sakṛdyena Stk_22.18a	jQAtam-eva sakRt-yena Stc-_22.18a
   jñātvā paramaniḥśreṇīṃ Stk_22.17c	jQAtvA parama-niHSreNIm Stc-_22.17c
   jñātvā muktastu mocayet Stk_8.38b	jQAtvA muktaH-tu mocayet Stc-_8.38b
   jñānavijñānayoḥ sphuṭam Stk_17.1b	jQAna-vijQAnayoH sPuwam Stc-_17.1b
   jñānaśaktiḥ parā hi sā Stk_13.16d	jQAnaSaktiH parA hi sA Stc-_13.16d
   jñānaśaktyā ca bhagavān Stk_13.22a	jQAna-SaktyA ca BagavAn Stc-_13.22a
   jñānādevāsya śāstrasya Stk_23.24c	jQAnAt-eva-asya SAstrasya Stc-_23.24c
   jñānāmṛtamanuttamam Stk_23.1b	jQAna-amRtam-anuttamam Stc-_23.1b
   jñānena jñeyamālokya Stk_23.5c	jQAnena jQeyam-Alokya Stc-_23.5c
   jñāyate 'dhyātmago yathā Stk_11.1b	jQAyate aDyAtma-gaH yaTA Stc-_11.1b
   jvalatyeva na saṃśayaḥ Stk_21.5d	jvalati-eva na saMSayaH Stc-_21.5d
   tataścordhvatvamāyānti Stk_8.39c	tatas-ca-UrDva-tvam-AyAnti Stc-_8.39c
   tataḥ saṃdhyāṃ samācaret Stk_3.7b	tatas saMDyAm samAcaret Stc-_3.7b
   tato 'ntaḥkaraṇaṃ kuru Stk_2.1d	tatas antaHkaraNam kuru Stc-_2.1d
   tato vidyā niyuktā sā Stk_8.4a	tatas vidyA niyuktA sA Stc-_8.4a
   tatkarma paricintayet Stk_12.4d	tat-karma paricintayet Stc-_12.4d
   tatkāla eva mukto 'sau Stk_22.18c	tad-kAle eva muktaH asO Stc-_22.18c
   tatkṣayātkṣapaṇaṃ smṛtam Stk_19.8d	tad-kzayAt-kzapaNam smRtam Stc-_19.8d
   tattrimārgaṃ tryadhiṣṭhānaṃ Stk_20.4a	tat-tri-mArgam tri-aDizWAnam Stc-_20.4a
   tattvataḥ kathaya prabho Stk_19.1d	tattvataH kaTaya praBo Stc-_19.1d
   tattvaṃ tacchṛṇu ṣaṇmukha Stk_14.2d	tattvam tat-SRNu zaNmuKa Stc-_14.2d
   tattvaṃ tattvena saṃdhayet Stk_8.42d	tattvam tattvena saMDayet Stc-_8.42d
   tattve tattve tvidaṃ karma Stk_8.21a	tattve tattve tu-idam karma Stc-_8.21a
   tattve tattve niyoktavyā Stk_8.40c	tattve tattve niyoktavyA Stc-_8.40c
   tatparaṃ parikīrtitam Stk_1.8d	tat-param parikIrtitam Stc-_1.8d
   tatparaṃ śāntamavyayam Stk_8.7b	tat-param SAntam-avyayam Stc-_8.7b
   tatprayogaṃ samācaret Stk_2.5b	tad-prayogam samAcaret Stc-_2.5b
   tatra devaḥ śivaḥ sūkṣmo Stk_13.14a	tatra devaH SivaH sUkzmaH Stc-_13.14a
   tatra viṣṇuḥ svayaṃ bīje Stk_13.18a	tatra vizNuH svayam bIje Stc-_13.18a
   tatrasthaṃ taṃ vijānīyād Stk_19.7c	tatrasTam tam vijAnIyAt Stc-_19.7c
   tatrastho vyāpayetprabhuḥ Stk_23.15b	tatrasTaH vyApayet-praBuH Stc-_23.15b
   tatraiva modate mantrī Stk_16.16c	tatra-eva modate mantrI Stc-_16.16c
   tatsarvaṃ mūlamāśrayet Stk_7.11b	tat-sarvam mUlam-ASrayet Stc-_7.11b
   tatsarvaṃ hṛdayena tu Stk_5.5d	tat-sarvam hRdayena tu Stc-_5.5d
   tathācamanameva ca Stk_5.4d	taTA-Acamanam-eva ca Stc-_5.4d
   tathā jñānaṃ parityajet Stk_23.5d	taTA jQAnam parityajet Stc-_23.5d
   tathāpi yogināṃ yogo Stk_23.16a	taTA-api yoginAm yogaH Stc-_23.16a
   tathaivāṅgāni yatnataḥ Stk_1.18b	taTA-eva-aFgAni yatnatas Stc-_1.18b
   tadantaṃ tadvijānīyāt Stk_23.15a	tad-antam tat-vijAnIyAt Stc-_23.15a
   tadā cotkramate dhruvam Stk_8.31b	tadA ca-utkramate Druvam Stc-_8.31b
   tadā sāyujyatāṃ yānti Stk_8.29a	tadA sAyujya-tAm yAnti Stc-_8.29a
   tadūrdhvaṃ ca ṣaḍānana Stk_4.1b	tad-UrDvam ca zaxAnana Stc-_4.1b
   tadūrdhvaṃ tu pratiṣṭhā syād Stk_8.3c	tad-UrDvam tu pratizWA syAt Stc-_8.3c
   taddṛṣṭvā chedanaṃ kuryān Stk_8.32c	tat-dRzwvA Cedanam kuryAn Stc-_8.32c
   tadbījamaparaṃ brahmā Stk_13.17a	tat-bIjam-aparam brahmA Stc-_13.17a
   tadbījaṃ paramaṃ devaṃ Stk_13.14c	tad-bIjam paramam devam Stc-_13.14c
   tadvakṣyāmyanupūrvaśaḥ Stk_8.15b	tat-vakzyAmi-anupUrvaSas Stc-_8.15b
   tadvajjīvo 'tra saṃsthitaḥ Stk_20.7b	tadvat-jIvaH atra saMsTitaH Stc-_20.7b
   tadviditvā mahāsena Stk_1.6a	tat-viditvA mahAsena Stc-_1.6a
   tantravistāragocaraḥ Stk_13.22f	tantra-vistAra-gocaraH Stc-_13.22f
   tanmayastallayo bhūtvā Stk_15.3c	tad-mayaH-tad-layaH BUtvA Stc-_15.3c
   tamuddiśya kṛtaṃ karma Stk_8.30a	tam-uddiSya kRtam karma Stc-_8.30a
   talikāṃ hastapṛṣṭhaṃ ca Stk_1.17a	talikAm hasta-pRzWam ca Stc-_1.17a
   tasmātprāṇaḥ prakīrtitaḥ Stk_10.8d	tasmAt-prANaH prakIrtitaH Stc-_10.8d
   tasminprāpya nivartate Stk_23.13d	tasmin-prApya nivartate Stc-_23.13d
   tasya deho na vaktavyaḥ Stk_22.17a	tasya dehaH na vaktavyaH Stc-_22.17a
   tasyā ūrdhvaṃ parātparam Stk_23.9b	tasyAH UrDvam parAtparam Stc-_23.9b
   tasyānte tu paraṃ padam Stk_23.11d	tasya-ante tu param padam Stc-_23.11d
   tasyordhvaṃ vāmapārśve 'tha Stk_13.12c	tasya-UrDvam vAma-pArSve aTa Stc-_13.12c
   taṃ viditvā mahāsena Stk_8.7c	tam viditvA mahAsena Stc-_8.7c
   taṃ viditvā mahāsena Stk_8.36a	tam viditvA mahAsena Stc-_8.36a
   tāḍanaṃ ca tathā param Stk_8.16b	tAxanam ca taTA param Stc-_8.16b
   tāḍane ca tathaiva ca Stk_8.19d	tAxane ca taTA-eva ca Stc-_8.19d
   tāḍayitvā purā vatsa Stk_8.42a	tAxayitvA purA vatsa Stc-_8.42a
   tādṛgeva punaścāsau Stk_21.8c	tAdRS-eva punar-ca-asO Stc-_21.8c
   tāmeva mṛttikāṃ paścād Stk_3.2c	tAm-eva mRttikAm paScAt Stc-_3.2c
   tālumadhye sthito rudro Stk_23.11a	tAlu-maDye sTitaH rudraH Stc-_23.11a
   tāvadbhireva codghātair Stk_21.13c	tAvadBiH-eva ca-udGAtEH Stc-_21.13c
   tāvadbhramati saṃsāre Stk_20.5c	tAvat-Bramati saMsAre Stc-_20.5c
   tiryak caiva kathaṃ bhavet Stk_20.1b	tiryak ca-eva kaTam Bavet Stc-_20.1b
   tiryagūrdhvamadhaścaiva Stk_10.2c	tiryak-UrDvam-aDas-ca-eva Stc-_10.2c
   tileṣu ca yathā tailaṃ Stk_23.4a	tilezu ca yaTA tElam Stc-_23.4a
   turyātītaṃ sadāśivam Stk_2.7d	turya-atItam sadASivam Stc-_2.7d
   tulāpuruṣayogo 'yam Stk_21.16c	tulApuruza-yogaH ayam Stc-_21.16c
   tuṣānkuṭṭayatīva saḥ Stk_12.6d	tuzAn-kuwwayati-iva saH Stc-_12.6d
   tṛṇāgraṃ yāvadāgatā Stk_20.6d	tRNa-agram yAvat-AgatA Stc-_20.6d
   te janā vaśamāyānti Stk_16.12c	te janAH vaSam-AyAnti Stc-_16.12c
   tejaśceto dvirabhyasya Stk_8.41c	tejaH-cetaH dvis-aByasya Stc-_8.41c
   tejasvī ca bubhukṣā pīḍā vā jāyate 'gnidikpatre Stk_10.25/b	tejasvI ca buBukzA pIxA vA jAyate agni-diS-patre Stc-_10.25/b
   tena cakraṃ prakīrtitam Stk_10.17b	tena cakram prakIrtitam Stc-_10.17b
   tena cāpūritamidaṃ Stk_13.20c	tena ca-ApUritam-idam Stc-_13.20c
   te na budhyanti śaṅkaram Stk_15.4d	te na buDyanti SaFkaram Stc-_15.4d
   tenātmani na yojayet Stk_3.8b	tena-Atmani na yojayet Stc-_3.8b
   tenāplāvitamātmānaṃ Stk_2.8c	tena-AplAvitam-AtmAnam Stc-_2.8c
   trayo dvāveka eva ca Stk_2.4b	trayaH dvO=-ekaH eva ca Stc-_2.4b
   tripañcalakṣaṃ japato Stk_16.12a	tri-paQcalakzam japataH Stc-_16.12a
   trimātraśca dvimātraśca Stk_23.8c	tri-mAtraH-ca dvi-mAtraH-ca Stc-_23.8c
   trimārgāvasthito devaḥ Stk_20.3a	tri-mArga-avasTitaH devaH Stc-_20.3a
   triśūnyaṃ yo vijānāti Stk_20.8a	triSUnyam yaH vijAnAti Stc-_20.8a
   triṃśallakṣajapādasya Stk_16.14c	triMSat-lakza-ja-pAdasya Stc-_16.14c
   trīṇyabdāni sa jīvati Stk_18.2b	trINi-abdAni sa jIvati Stc-_18.2b
   tryahorātrapracāreṇa Stk_18.2a	tri-ahorAtra-pracAreNa Stc-_18.2a
   dakṣiṇasthaṃ hi yadbījaṃ Stk_13.16c	dakziNa-sTam hi yat-bIjam Stc-_13.16c
   dakṣiṇaṃ brahmayonistham Stk_13.13a	dakziNam brahma-yoni-sTam Stc-_13.13a
   dadyātpūrṇāhutiṃ tataḥ Stk_8.18d	dadyAt-pUrNAhutim tatas Stc-_8.18d
   dadhno ghṛtamivoddhṛtam Stk_1.4d	daDnaH GRtam-iva-udDRtam Stc-_1.4d
   darśanaṃ śṛṇu ṣaṇmukha Stk_11.2b	darSanam SRNu zaNmuKa Stc-_11.2b
   daśakoṭiḥ sahasrāṇāṃ Stk_22.10a	daSa-kowiH sahasrANAm Stc-_22.10a
   daśagrāmanivāsinaḥ Stk_16.12b	daSa-grAma-nivAsinaH Stc-_16.12b
   daśa prāṇavahā hyetā Stk_10.5a	daSa prANa-vahA hi-etA Stc-_10.5a
   daśalakṣāṇi japato Stk_16.11a	daSa-lakzANi japataH Stc-_16.11a
   daśa sapta ca ye śodhyāḥ Stk_8.14c	daSa sapta ca ye SoDyAH Stc-_8.14c
   daśasāhasriko bhavet Stk_16.9d	daSa-sAhasrikaH Bavet Stc-_16.9d
   daśasthāneṣvanukramāt Stk_10.16b	daSa-sTAnezu-anukramAt Stc-_10.16b
   daśāraṃ cakramettattu Stk_10.15c	daSa-aram cakramet-tat-tu Stc-_10.15c
   dātāsya narakaṃ yāti Stk_23.21c	dAtA-asya narakam yAti Stc-_23.21c
   divyarūpamanaupamam Stk_12.4b	divya-rUpam-anOpamam Stc-_12.4b
   divyasiddhipradāyakam Stk_1.5d	divya-sidDi-pradAyakam Stc-_1.5d
   divyena yogamārgeṇa Stk_8.35c	divyena yoga-mArgeNa Stc-_8.35c
   diśāṃ bandhaṃ tu kārayet Stk_3.4b	diSAm banDam tu kArayet Stc-_3.4b
   dīkṣākarma samācaret Stk_7.11d	dIkzA-akarma samAcaret Stc-_7.11d
   dīkṣāprakaraṇe hyetad Stk_8.23c	dIkzA-prakaraNe hi-etat Stc-_8.23c
   dīkṣāyāṃ tu yathā vatsa Stk_2.5a	dIkzAyAm tu yaTA vatsa Stc-_2.5a
   dīkṣitānāṃ gatibhraṃśaṃ Stk_14.1c	dIkzitAnAm gati-BraMSam Stc-_14.1c
   dīpādiva mahattejo Stk_13.8c	dIpAt-iva mahat-tejaH Stc-_13.8c
   dīrghastūccāṭayetkṣipraṃ Stk_16.4a	dIrGaH-tu-uccAwayet-kzipram Stc-_16.4a
   dīrghā hyaṅgāni ṣaṇmukha Stk_1.9d	dIrGA hi-aFgAni zaNmuKa Stc-_1.9d
   dīrgho mokṣaprado bhavet Stk_16.2b	dIrGaH mokza-pradaH Bavet Stc-_16.2b
   duḥkhakṣapaṇamityuktaṃ Stk_19.8c	duHKa-kzapaNam-iti-uktam Stc-_19.8c
   devadatto dhanaṃjayaḥ Stk_10.6b	devadattaH DanaMjayaH Stc-_10.6b
   devadatto vijṛmbhaṇe Stk_10.13d	devadattaH vijRmBaNe Stc-_10.13d
   devadevaḥ sadāśivaḥ Stk_2.11b	devadevaH sadASivaH Stc-_2.11b
   devadevaḥ sadāśivaḥ Stk_13.10d	devadevaH sadASivaH Stc-_13.10d
   devasya dakṣiṇe bhāge Stk_16.9a	devasya dakziNe BAge Stc-_16.9a
   deśadeśādhipānmantrī Stk_16.13c	deSa-deSa-aDipAt-mantrI Stc-_16.13c
   deśikaḥ pāśahā bhavet Stk_1.6b	deSikaH pASa-hA Bavet Stc-_1.6b
   dehasthaḥ sakalo jñeyo Stk_23.2a	deha-sTaH sakalaH jQeyaH Stc-_23.2a
   dehaṃ tyaktvā samārutaḥ Stk_19.4b	deham tyaktvA sa-mArutaH Stc-_19.4b
   dehātītaṃ tu tadvidyān Stk_23.14c	deha-atItam tu tad-vidyAn Stc-_23.14c
   dehātītaṃ tu taṃ vidyād Stk_11.9c	deha-atItam tu tam vidyAt Stc-_11.9c
   dravyamālokya tāṃ tyajet Stk_23.5b	dravyam-Alokya tAm tyajet Stc-_23.5b
   draṣṭavyāni tu sādhakaiḥ Stk_8.2d	drazwavyAni tu sADakEH Stc-_8.2d
   dvādaśānte tu te cchedyāḥ Stk_8.28c	dvAdaSAnte tu te cCedyAH Stc-_8.28c
   dvādaśānte nirālambaṃ Stk_2.4c	dvAdaSAnte nirAlambam Stc-_2.4c
   dvāsaptatisahasrāṇi Stk_10.2a	dvAsaptati-sahasrANi Stc-_10.2a
   dvitīyasyānucāreṇa Stk_18.4c	dvitIyasya-anucAreNa Stc-_18.4c
   dvitīyaṃ brahmabhirvatsa Stk_3.3c	dvitIyam brahmaBiH-vatsa Stc-_3.3c
   dvitīyātpañcamāccaiva Stk_1.12c	dvitIyAt-paQcamAt-ca-eva Stc-_1.12c
   dvitīyāvaraṇe śṛṇu Stk_7.9b	dvitIya-AvaraNe SRNu Stc-_7.9b
   dvirabhyāsapaderitam Stk_12.2b	dvis-aByAsa-pada-Iritam Stc-_12.2b
   dvyahorātrapracāreṇa Stk_18.2c	dvi-ahorAtra-pracAreNa Stc-_18.2c
   dhanaṃjayaḥ sthito ghoṣe Stk_10.13e	DanaMjayaH sTitaH Goze Stc-_10.13e
   dhanyo 'bhiṣeka induḥ sauraḥ khalu vahnisaṃdhāne Stk_10.24/b	DanyaH aBizekaH induH sOraH Kalu vahni-saMDAne Stc-_10.24/b
   dharmaṃ jñānādimeva ca Stk_5.2d	Darmam jQAna-Adim-eva ca Stc-_5.2d
   dhaṃso devaḥ sadāśivaḥ Stk_23.3b	DaMsaH devaH sadASivaH Stc-_23.3b
   dhāraṇaṃ cāpyapaścimam Stk_8.13d	DAraNam ca-api-apaScimam Stc-_8.13d
   dhṛdayena tu bhāvayet Stk_19.5d	DRdayena tu BAvayet Stc-_19.5d
   dhyānādyo viṣuvati ca prāgdalasaṃstho nṛpāvalepī syāt Stk_10.25/a	DyAna-AdyaH vizuvati ca prAc-dala-saMsTaH nRpa-avalepI syAt Stc-_10.25/a
   dhyāne snāne tathaiva ca Stk_2.14b	DyAne snAne taTA-eva ca Stc-_2.14b
   dhyāyanti paramaṃ haṃsaṃ Stk_22.7a	DyAyanti paramam haMsam Stc-_22.7a
   nakṣatre guruṇānvite Stk_7.2b	nakzatre guruNA-anvite Stc-_7.2b
   na jahāti paraṃ sthānaṃ Stk_13.11c	na jahAti param sTAnam Stc-_13.11c
   na tasya garbhasambhūtir Stk_20.5a	na tasya garBa-samBUtiH Stc-_20.5a
   na tasya jāyate mṛtyur Stk_2.9c	na tasya jAyate mRtyuH Stc-_2.9c
   na punarjanmatāṃ vrajet Stk_8.41b	na punar-janma-tAm vrajet Stc-_8.41b
   na bhūyo janma cāpnuyāt Stk_11.19b	na BUyas janma ca-ApnuyAt Stc-_11.19b
   namo 'ntaṃ praṇavaṃ punaḥ Stk_21.12d	namaH antam praNavam punar Stc-_21.12d
   nayatyatra na saṃśayaḥ Stk_22.3d	nayati-atra na saMSayaH Stc-_22.3d
   nayettaṃ suvicakṣaṇaḥ Stk_8.27b	nayet-tam su-vicakzaNaH Stc-_8.27b
   navānāmapi sa prabhuḥ Stk_10.6d	navAnAm-api sa praBuH Stc-_10.6d
   nākhyeyaṃ kathayāmi tat Stk_23.1d	na-AKyeyam kaTayAmi tat Stc-_23.1d
   nāgaḥ kūrmo 'tha kṛkaro Stk_10.6a	nAgaH kUrmaH aTa kRkaraH Stc-_10.6a
   nāḍayaḥ parikīrtitāḥ Stk_10.5b	nAxayaH parikIrtitAH Stc-_10.5b
   nāḍīcakramiti proktaṃ Stk_10.17c	nAxIcakram-iti proktam Stc-_10.17c
   nāḍīcakraṃ paraṃ sūkṣmaṃ Stk_10.1a	nAxI-cakram param sUkzmam Stc-_10.1a
   nāḍīcakraṃ yathāvasthaṃ Stk_10.15a	nAxI-cakram yaTAvasTam Stc-_10.15a
   nāḍīvivarasambandhā Stk_8.38c	nAxI-vivara-sambanDA Stc-_8.38c
   nātaḥ parataraṃ kiñcin Stk_23.17a	na-atas parataram kiQcin Stc-_23.17a
   nātaḥ parataraṃ jñānam Stk_23.17c	na-atas parataram jQAnam Stc-_23.17c
   nātaḥ parataraṃ śivam Stk_23.17b	na-atas parataram Sivam Stc-_23.17b
   nādabinduritīritam Stk_13.11b	nAdabinduH-iti-Iritam Stc-_13.11b
   nādākhyaṃ yatparaṃ bījaṃ Stk_1.5a	nAda-AKyam yat-param bIjam Stc-_1.5a
   nānyasya tu kadācana Stk_11.19d	na-anyasya tu kadAcana Stc-_11.19d
   nāputrāya kadācana Stk_23.20b	na-aputrAya kadAcana Stc-_23.20b
   nābhimadhye vyavasthitāḥ Stk_10.2b	nABi-maDye vyavasTitAH Stc-_10.2b
   nābheradhastādyatkandam Stk_10.1c	nABeH-aDastAt-yat-kandam Stc-_10.1c
