   Rcūm, 3	RcUm, 3
   sthālikāṃ cipaṭībhūtatalāntarliptapāradām // Rcūm_5.22 //	sTAlikAm cipawIBUta-tala-antar-lipta-pAradAm // RcUm_5.22 //
   kṣiptvā tāṃ paṅkile garte jvālayenmūrdhni pāvakam /	kziptvA tAm paFkile garte jvAlayet-mUrDni pAvakam /
   adhaḥpātanayantraṃ hi tadaitat parikīrtitam // Rcūm_5.23 //	aDaHpAtanayantram hi tadA-etat parikIrtitam // RcUm_5.23 //
   {tiryakpātanayantra}	{tiryakpAtanayantra}
   kṣipedrasaṃ ghaṭe dīrghanatādhonālasaṃyute /	kzipet-rasam Gawe dIrGa-nata-aDas-nAla-saMyute /
   tannālaṃ nikṣipedanyat ghaṭakukṣyantare khalu // Rcūm_5.24 //	tat-nAlam nikzipet-anyat Gawa-kukzi-antare Kalu // RcUm_5.24 //
   tatra ruddhvā mṛdā samyagvadane ghaṭayoratha /	tatra rudDvA mRdA samyak-vadane GawayoH-aTa /
   adhastādrasakumbhasya jvālayettīvrapāvakam // Rcūm_5.25 //	aDastAt-rasa-kumBasya jvAlayet-tIvra-pAvakam // RcUm_5.25 //
   itarasmin ghaṭe toyaṃ prakṣipet svādu śītalam /	itarasmin Gawe toyam prakzipet svAdu SItalam /
   tiryakpātanayantraṃ hi vārttikair abhidhīyate // Rcūm_5.26 //	tiryakpAtanayantram hi vArttikEH aBiDIyate // RcUm_5.26 //
   {pātanāyantras:: use}	{pAtanAyantras:: use}
   pātanātritayaṃ proktaṃ yantrāṇāṃ tritayaṃ khalu /	pAtanA-tritayam proktam yantrANAm tritayam Kalu /
   pātanaiśca vinā sūto na tarāṃ doṣamujhati // Rcūm_5.27 //	pAtanEH-ca vinA sUtaH na tarAm dozam-uJati // RcUm_5.27 //
   tribhirevordhvapātaiśca kasmāddoṣānna mucyate /	triBiH-eva-UrDvapAtEH-ca kasmAt-dozAt-na mucyate /
   vibhāgena vipāke tu dravyeṇānyena yogataḥ // Rcūm_5.28 //	viBAgena vipAke tu dravyeNa-anyena yogataH // RcUm_5.28 //
   pātrāntaraparikṣepāt guṇāḥ syur vividhāḥ khalu /	pAtra-antara-parikzepAt guNAH syuH viviDAH Kalu /
   khaṇḍanyulūkhalāmbhobhis taṇḍulāḥ syur malojhitāḥ // Rcūm_5.29 //	KaNxanI-ulUKala-amBoBiH taNxulAH syuH mala-uJitAH // RcUm_5.29 //
   pātenaiva mahāśuddhirnandinā parikīrtitā /	pAtena-eva mahA-SudDiH-nandinA parikIrtitA /
   {kacchapayantra}	{kacCapayantra}
   viśālavadane bhāṇḍe toyapūrṇe niveśayet // Rcūm_5.30 //	viSAla-vadane BANxe toya-pUrNe niveSayet // RcUm_5.30 //
   kharparaṃ pṛthukaṃ samyak prasare tasya madhyame /	Karparam pRTukam samyak prasare tasya maDyame /
   ālavālaṃ viḍaiḥ kṛtvā tanmadhye pāradaṃ kṣipet // Rcūm_5.31 //	AlavAlam vixEH kRtvA tad-maDye pAradam kzipet // RcUm_5.31 //
   ūrdhvādhaśca viḍaṃ dattvā mallenārudhya yatnataḥ /	UrDva-aDas-ca vixam dattvA mallena-AruDya yatnatas /
   puṭamaucityayogena dīyate tannigadyate // Rcūm_5.32 //	puwam-Ocitya-yogena dIyate tat-nigadyate // RcUm_5.32 //
   yantraṃ kacchapasaṃjñaṃ hi taduktaṃ rasajāraṇe /	yantram kacCapa-saMjQam hi tat-uktam rasa-jAraNe /
   {antarālikayantra}	{antarAlikayantra}
   kṛtvā lohamayīṃ mūṣāṃ vṛntākākāradhāriṇīm // Rcūm_5.33 //	kRtvA loha-mayIm mUzAm vRntAka-AkAra-DAriNIm // RcUm_5.33 //
   vitastyā saṃmitāṃ kāntalohena parinirmitām /	vitastyA saMmitAm kAntalohena parinirmitAm /
   muṇḍalohodbhavāṃ vāpi kaṇṭhādho dvyaṅgulādadhaḥ // Rcūm_5.34 //	muNxaloha-udBavAm vA-api kaNWa-aDas dvi-aFgulAt-aDas // RcUm_5.34 //
   dvyaṅgulaṃ valayaṃ dadyāt madhyadeśena kaṇṭhataḥ /	dvi-aFgulam valayam dadyAt maDyadeSena kaNWataH /
   pidhānadhārakaṃ ciñcāpattravistīrṇakaṅkaṇam // Rcūm_5.35 //	piDAna-DArakam ciQcA-pattra-vistIrNa-kaFkaNam // RcUm_5.35 //
   pidhānam antarāviṣṭaṃ saśikhaṃ śliṣṭasaṃdhikam /	piDAnam antara-Avizwam sa-SiKam Slizwa-saMDikam /
   tale pravihitacchidraṃ bhāṇḍaṃ kṛtvā hy adhomukham // Rcūm_5.36 //	tale pravihita=-Cidram BANxam kRtvA hi aDomuKam // RcUm_5.36 //
   tatraināṃ lambayenmūrdhni nirudhya ca viśoṣya ca /	tatra-enAm lambayet-mUrDni niruDya ca viSozya ca /
   sthālīkaṇṭhaṃ tato dadyāt puṭamagnividhāyakam // Rcūm_5.37 //	sTAlI-kaNWam tatas dadyAt puwam-agni-viDAyakam // RcUm_5.37 //
   evaṃrūpaṃ bhavedyantramantarālikasaṃjñakam /	evaMrUpam Bavet-yantram-antarAlika-saMjQakam /
   anena kārayedgandhadrutiṃ garbhadrutiṃ tathā // Rcūm_5.38 //	anena kArayet-ganDa-drutim garBadrutim taTA // RcUm_5.38 //
   {tāpikāyantra}	{tApikAyantra}
   tāpīṃ mūṣāṃ mṛdā kṛtvā dṛḍhāṃ cāratnimātrikām /	tApIm mUzAm mRdA kRtvA dRXAm ca-aratni-mAtrikAm /
   sudṛḍhāṃ madhyadeśe ca dvyaṅgulacchidrasaṃyutām // Rcūm_5.39 //	su-dRXAm maDyadeSe ca dvi-aFgula=-Cidra-saMyutAm // RcUm_5.39 //
   kāntalohamayīṃ khārīṃ dadyād gandhasya copari /	kAntaloha-mayIm KArIm dadyAt ganDasya ca-upari /
   tāpikāṃ pūrayecchuddhasikatābhiḥ samantataḥ // Rcūm_5.40 //	tApikAm pUrayet-SudDa-sikatABiH samantataH // RcUm_5.40 //
   tāṃ ca cullyāṃ samāropya kṣepaṃ kṣepaṃ viḍadravam /	tAm ca cullyAm samAropya kzepam kzepam vixa-dravam /
   pādāṅguṣṭhamitajvālaṃ jvālayedanalaṃ tataḥ // Rcūm_5.41 //	pAdAFguzWa-mita-jvAlam jvAlayet-analam tatas // RcUm_5.41 //
   lohābhrakādikaṃ sarvaṃ rasasya parijārayet /	loha-aBraka-Adikam sarvam rasasya parijArayet /
   tāpikāyantramityuktaṃ sukaraṃ rasajāraṇe // Rcūm_5.42 //	tApikAyantram-iti-uktam sukaram rasa-jAraNe // RcUm_5.42 //
   {pratigarbhayantra}	{pratigarBayantra}
   sthālyāṃ vinikṣipya rasādi vastu svarṇādi khāryā prapidhāya bhūyaḥ /	sTAlyAm vinikzipya rasa-Adi vastu svarNa-Adi KAryA prapiDAya BUyas /
   amlena cordhve lavaṇādi vastu cullyāṃ pacettat pratigarbhayantram //	amlena ca-UrDve lavaNa-Adi vastu cullyAm pacet-tat pratigarBayantram //
   Rcūm_5.43 //	RcUm_5.43 //
   {garbhayantra}	{garBayantra}
   khārīṃ mallāntarasthālīṃ nirundhyādatiyatnataḥ /	KArIm malla-antara-sTAlIm nirunDyAt-atiyatnataH /
   sthālyāṃ mṛdo'thavā khāryāṃ kṣiptvā vastu nirudhya ca // Rcūm_5.44 //	sTAlyAm mRdaH-aTavA KAryAm kziptvA vastu niruDya ca // RcUm_5.44 //
   kṣiptvā cāmlādikaṃ ruddhvā pākaḥ syādgarbhayantrake /	kziptvA ca-amla-Adikam rudDvA pAkaH syAt-garBayantrake /
   {pālikāyantra}	{pAlikAyantra}
   caṣakaṃ vartulaṃ lauhaṃ vinatāgrordhvadaṇḍakam // Rcūm_5.45 //	cazakam vartulam lOham vinata-agra-UrDva-daNxakam // RcUm_5.45 //
   etaddhi pālikāyantraṃ balijāraṇahetave /	etat-hi pAlikAyantram bali-jAraNa-hetave /
   {ghaṭayantra}	{Gawayantra}
   catuḥprasthajalādhāraṃ caturaṅgulakānanam // Rcūm_5.46 //	catur-prasTa-jala-ADAram catur-aFgulaka-Ananam // RcUm_5.46 //
   ghaṭayantramiti proktaṃ tadāpyāyanake matam /	Gawayantram-iti proktam tat-ApyAyanake matam /
   {iṣṭikāyantra}	{izwikAyantra}
   vidhāya vartulaṃ gartaṃ mallamatra nidhāya ca // Rcūm_5.47 //	viDAya vartulam gartam mallam-atra niDAya ca // RcUm_5.47 //
   vinidhāyeṣṭikāṃ tatra madhye gartavatīṃ śubhām /	viniDAya-izwikAm tatra maDye gartavatIm SuBAm /
   gartasya paritaḥ kuryāt pālikāmaṅgulocchrayām // Rcūm_5.48 //	gartasya paritas kuryAt pAlikAm-aFgula-ucCrayAm // RcUm_5.48 //
   garte sūtaṃ vinikṣipya gartāsye vasanaṃ kṣipet /	garte sUtam vinikzipya garta-Asye vasanam kzipet /
   nikṣipya gandhakaṃ tatra mallenāsyaṃ nirudhya ca // Rcūm_5.49 //	nikzipya ganDakam tatra mallena-Asyam niruDya ca // RcUm_5.49 //
   mallapālikayormadhye mṛdā samyaṅnirudhya ca /	malla-pAlikayoH-maDye mRdA samyak-niruDya ca /
   vanopalaiḥ puṭaṃ deyaṃ kapotākhyaṃ na cādhikam // Rcūm_5.50 //	vanopalEH puwam deyam kapota-AKyam na ca-aDikam // RcUm_5.50 //
   iṣṭikāyantrametaddhi gandhakaṃ tena jārayet /	izwikAyantram-etat-hi ganDakam tena jArayet /
   {vidyādharayantra}	{vidyADara-yantra}
   sthālikopari vinyasya sthālīṃ samyaṅnirudhya ca // Rcūm_5.51 //	sTAlikA-upari vinyasya sTAlIm samyak-niruDya ca // RcUm_5.51 //
   ūrdhvasthālyāṃ jalaṃ kṣiptvā vahniṃ prajvālayedadhaḥ /	UrDva-sTAlyAm jalam kziptvA vahnim prajvAlayet-aDas /
   etadvidyādharaṃ yantraṃ hiṅgulākṛṣṭihetave // Rcūm_5.52 //	etat-vidyADaram yantram hiFgula-AkRzwi-hetave // RcUm_5.52 //
   {ḍamaruyantra}	{xamaruyantra}
   yatra sthālyupari sthālīṃ nyubjāṃ dattvā nirudhya ca /	yatra sTAlI-upari sTAlIm nyubjAm dattvA niruDya ca /
   yantraṃ ḍamarukākhyaṃ tadrasabhasmakṛte hitam // Rcūm_5.53 //	yantram xamaruka-AKyam tad-rasa-Basma-kRte hitam // RcUm_5.53 //
   {nābhiyantra}	{nABiyantra}
   mallamadhye caredgartaṃ tatra sūtaṃ sagandhakam /	malla-maDye caret-gartam tatra sUtam sa-ganDakam /
   gartasya paritaḥ kuḍyaṃ prakuryād dvyaṅgulocchrayam // Rcūm_5.54 //	gartasya paritas kuxyam prakuryAt dvi-aFgula-ucCrayam // RcUm_5.54 //
   tataścācchādayetsamyaggostanākāramūṣayā /	tatas-ca-AcCAdayet-samyak-gostana-AkAra-mUzayA /
   samyak toyamṛdā ruddhvā samyaggartoccamānayā // Rcūm_5.55 //	samyak toyamRdA rudDvA samyak-garta-ucca-mAnayA // RcUm_5.55 //
   tato jalaṃ vinikṣipya vahniṃ prajvālayedadhaḥ /	tatas jalam vinikzipya vahnim prajvAlayet-aDas /
   nābhiyantramidaṃ proktaṃ nandinā sarvavedinā // Rcūm_5.56 //	nABiyantram-idam proktam nandinA sarva-vedinA // RcUm_5.56 //
   anena jīryate sūto nirdhūmaḥ śuddhagandhakaḥ /	anena jIryate sUtaH nirDUmaH SudDa-ganDakaH /
   {toyamṛttikā}	{toya-mRttikA}
   lehavat kṛtabarbūrakvāthena parimarditam // Rcūm_5.57 //	leha-vat kRta-barbUra-kvATena parimarditam // RcUm_5.57 //
   jīrṇakiṭṭarajaḥ sūkṣmaṃ guḍacūrṇasamanvitam /	jIrNa-kiwwa-rajaH sUkzmam guxa-cUrNa-samanvitam /
   iyaṃ hi jalamṛtproktā durbhedyā salilaiḥ khalu // Rcūm_5.58 //	iyam hi jalamRd-proktA durBedyA salilEH Kalu // RcUm_5.58 //
   {vahnimṛtsnā}	{vahni-mRtsnA}
   khaṭikāpaṭukiṭṭaiśca mahiṣīdugdhamarditaiḥ /	KawikA-pawu-kiwwEH-ca mahizI-dugDa-marditEH /
   vahnimṛtsnā bhavedghoravahnitāpasahā khalu // Rcūm_5.59 //	vahnimRtsnA Bavet-Gora-vahni-tApa-sahA Kalu // RcUm_5.59 //
   etayā mṛtsnayā ruddho na gantuṃ kṣamate rasaḥ /	etayA mRtsnayA rudDaH na gantum kzamate rasaH /
   vidagdhavanitāprauḍhapremṇā baddhaḥ pumāniva // Rcūm_5.60 //	vidagDa-vanitA-prOXa-premNA badDaH pumAn-iva // RcUm_5.60 //
   nandī nāgārjunaścaiva brahmajyotirmunīśvaraḥ /	nandI nAgArjunaH-ca-eva brahmajyotiH-muni-ISvaraH /
   vetti śrīsomadevaśca nāparaḥ pṛthivītale // Rcūm_5.61 //	vetti SrI-somadevaH-ca na-aparaH pRTivI-tale // RcUm_5.61 //
   {grastayantra}	{grastayantra}
   mūṣāṃ mūṣodarāviṣṭām ādyantasamavartulām /	mUzAm mUzA-udara-AvizwAm Adi-anta-sama-vartulAm /
   cipiṭāṃ ca tale proktaṃ grastayantraṃ manīṣibhiḥ // Rcūm_5.62 //	cipiwAm ca tale proktam grastayantram manIziBiH // RcUm_5.62 //
   sūtendrabandhanārthaṃ hi rasavidbhirudīritam /	sUtendra-banDana-arTam hi rasa-vidBiH-udIritam /
   {tulāyantra}	{tulAyantra}
   vṛntākākāramūṣe dve tayoḥ kaṇṭhādadhaḥ khalu // Rcūm_5.63 //	vRntAka-AkAra-mUze dve tayoH kaNWAt-aDas Kalu // RcUm_5.63 //
   prādeśamātranalikā mṛdāliptasusaṃdhikā /	prAdeSa-mAtra-nalikA mRdA-lipta-su-saMDikA /
   tatraikasyāṃ kṣipet sūtam anyasyāṃ gandhacūrṇakam // Rcūm_5.64 //	tatra-ekasyAm kzipet sUtam anyasyAm ganDa-cUrNakam // RcUm_5.64 //
   nirudhya mūṣayor vaktraṃ vālukāyantrake kṣipet /	niruDya mUzayoH vaktram vAlukAyantrake kzipet /
   adho'gniṃ jvālayedetattulāyantramudāhṛtam // Rcūm_5.65 //	aDas-agnim jvAlayet-etat-tulAyantram-udAhRtam // RcUm_5.65 //
   śilātālakagandhāśmajāraṇāya prakīrtitam /	SilA-tAlaka-ganDASma-jAraNAya prakIrtitam /
   {sthālīyantra}	{sTAlIyantra}
   sthālyāṃ tāmrādi nikṣipya mallenāsyaṃ nirudhya ca // Rcūm_5.66 //	sTAlyAm tAmra-Adi nikzipya mallena-Asyam niruDya ca // RcUm_5.66 //
   pacyate sthālikāsaṃsthaṃ sthālīyantramitīritam /	pacyate sTAlikA-saMsTam sTAlIyantram-iti-Iritam /
   {koṣṭhikāyantra}	{kozWikAyantra}
   sthūlabhāṇḍodarasyāntar vālukāṃ nikṣipecchubhām // Rcūm_5.67 //	sTUla-BANxa-udarasya-antar vAlukAm nikzipet-SuBAm // RcUm_5.67 //
   vitastipramitotsedhāṃ tatastatra niveśayet /	vitasti-pramita-utseDAm tatas-tatra niveSayet /
   apakvāṃ mṛnmayīṃ koṣṭhīṃ dvādaśāṅgulakocchrayām // Rcūm_5.68 //	apakvAm mRd-mayIm kozWIm dvAdaSa-aFgulaka-ucCrayAm // RcUm_5.68 //
   ṣaḍaṅgulakavistīrṇāṃ madhye 'timasṛṇīkṛtām /	zaz-aFgulaka-vistIrNAm maDye ati-masRNIkRtAm /
   pañcāṅgulapidhānaṃ ca tīkṣṇāgraṃ mukuṭākṛtim // Rcūm_5.69 //	paQca-aFgula-piDAnam ca tIkzNa-agram mukuwa-AkRtim // RcUm_5.69 //
   na nyūnā nādhikā koṣṭhī kaṇṭhato masṛṇā bahiḥ /	na nyUnA na-aDikA kozWI kaNWataH masRNA bahis /
   koṣṭhyāṃ ca nikṣipedgandhaṃ ṣaṭpalaṃ ślakṣṇacūrṇitam // Rcūm_5.70 //	kozWyAm ca nikzipet-ganDam zaz-palam SlakzNa-cUrNitam // RcUm_5.70 //
   tatastripādikāṃ lauhīṃ viniveśya sthirīkṛtām /	tatas-tripAdikAm lOhIm viniveSya sTirIkRtAm /
   tasyāṃ ca vinyaset khārīṃ lauhīṃ vā kāntalohajām // Rcūm_5.71 //	tasyAm ca vinyaset KArIm lOhIm vA kAntaloha-jAm // RcUm_5.71 //
   tasyāṃ sūtaṃ kṣipecchuddhaṃ palaviṃśatimānataḥ /	tasyAm sUtam kzipet-SudDam pala-viMSati-mAnataH /
   jīrṇagandhakasūtaṃ ca bhāvayellaśunadravaiḥ // Rcūm_5.72 //	jIrNa-ganDaka-sUtam ca BAvayet-laSuna-dravEH // RcUm_5.72 //
   adhaḥśikhena pūrvoktapidhānena pidhāya ca /	aDas-SiKena pUrva-ukta-piDAnena piDAya ca /
   saṃdhibandhaṃ prakurvīta sudhāmṛtsnāguḍādibhiḥ // Rcūm_5.73 //	saMDi-banDam prakurvIta suDA-mRtsnA-guxa-AdiBiH // RcUm_5.73 //
   saṃdhibandhe viśuṣke ca kṣipedupari vālukāḥ /	saMDi-banDe viSuzke ca kzipet-upari vAlukAH /
   bhāṇḍavaktraṃ nirudhyātha jvālayettadadho'nalam // Rcūm_5.74 //	BANxa-vaktram niruDya-aTa jvAlayet-tad-aDas-analam // RcUm_5.74 //
   kharaṃ yāmatrayaṃ yāvattato gandhakasambhavaḥ /	Karam yAma-trayam yAvat-tatas ganDaka-samBavaH /
   pidhānalagnadhūmo 'sau galitvā nipatedrase // Rcūm_5.75 //	piDAna-lagna-DUmaH asO galitvA nipatet-rase // RcUm_5.75 //
   evaṃ hi ṣaḍguṇaṃ gandhaṃ bhuktvā sūto guṇī bhavet /	evam hi zaxguNam ganDam BuktvA sUtaH guNI Bavet /
   karoti kalpanirdiṣṭānviśiṣṭān sakalān guṇān // Rcūm_5.76 //	karoti kalpa-nirdizwAn-viSizwAn sakalAn guNAn // RcUm_5.76 //
   koṣṭhikāyantrametaddhi nandinā parikīrtitam /	kozWikAyantram-etat-hi nandinA parikIrtitam /
   {vālukāyantra}	{vAlukAyantra}
   pañcāḍhavālukāpūrṇe bhāṇḍe nikṣipya yatnataḥ // Rcūm_5.77 //	paQca-AXa-vAlukA-pUrNe BANxe nikzipya yatnatas // RcUm_5.77 //
   pacyate rasagolādyaṃ vālukāyantramīritam /	pacyate rasa-gola-Adyam vAlukAyantram-Iritam /
   {lavaṇayantra}	{lavaNayantra}
   evaṃ lavaṇanikṣepāt proktaṃ lavaṇayantrakam // Rcūm_5.78 //	evam lavaNa-nikzepAt proktam lavaNayantrakam // RcUm_5.78 //
   {dhūpayantra}	{DUpayantra}
   vidhāyāṣṭāṅgulaṃ pātraṃ lauhamaṣṭāṅgulocchrayam /	viDAya-azwa-aFgulam pAtram lOham-azwa-aFgula-ucCrayam /
   kaṇṭhādho dvyaṅgule deśe jalādhāraṃ hi tatra ca // Rcūm_5.79 //	kaNWa-aDas dvi-aFgule deSe jala-ADAram hi tatra ca // RcUm_5.79 //
   tiryaglohaśalākāśca tanvīstiryag vinikṣipet /	tiryak-loha-SalAkAH-ca tanvIH-tiryak vinikzipet /
   tanūni svarṇapattrāṇi tāsāmupari vinyaset // Rcūm_5.80 //	tanUni svarNa-pattrANi tAsAm-upari vinyaset // RcUm_5.80 //
   pātrādho nikṣiped dhūmaṃ vakṣyamāṇamihaiva hi /	pAtra-aDas nikzipet DUmam vakzyamANam-iha-eva hi /
   tatpātraṃ nyubjapātreṇa chādayedapareṇa hi // Rcūm_5.81 //	tat-pAtram nyubja-pAtreNa CAdayet-apareNa hi // RcUm_5.81 //
   mṛdā vilipya saṃdhiṃ ca vahniṃ prajvālayedadhaḥ /	mRdA vilipya saMDim ca vahnim prajvAlayet-aDas /
   tena kṛṣṇāni pattrāṇi hatānyuktavidhānataḥ // Rcūm_5.82 //	tena kRzNAni pattrANi hatAni-ukta-viDAnataH // RcUm_5.82 //
   rasaścarati vegena drutiṃ garbhadrutiṃ tathā /	rasaH-carati vegena drutim garBadrutim taTA /
   gandhālakaśilānāṃ hi kajjalyā vā mṛtāhinā // Rcūm_5.83 //	ganDa-Alaka-SilAnAm hi kajjalyA vA mRta-ahinA // RcUm_5.83 //
   dhūpanaṃ svarṇapattrāṇāṃ paramaṃ parikīrtitam /	DUpanam svarNa-pattrANAm paramam parikIrtitam /
   tārārthaṃ tārapattrāṇi mṛtavaṅgena dhūpayet // Rcūm_5.84 //	tAra-arTam tAra-pattrANi mRta-vaFgena DUpayet // RcUm_5.84 //
   dhūpayecca yathāyogyai rasairuparasairapi /	DUpayet-ca yaTAyogyEH rasEH-uparasEH-api /
   dhūpayantramiti proktaṃ jāraṇādravyavāhane // Rcūm_5.85 //	DUpayantram-iti proktam jAraNA-dravyavAhane // RcUm_5.85 //
   {kuṇḍakayantra = kandukayantra}	{kuNxaka-yantraH  kandukayantra}
   sthūlasthālyāṃ dravaṃ kṣiptvā vāso baddhvā mukhe dṛḍham /	sTUla-sTAlyAm dravam kziptvA vAsaH badDvA muKe dRXam /
   tatra svedyaṃ vinikṣipya pidhānyā prapidhāya ca // Rcūm_5.86 //	tatra svedyam vinikzipya piDAnyA prapiDAya ca // RcUm_5.86 //
   adho'gniṃ jvālayettatra tatsyātkuṇḍakayantrakam /	aDas-agnim jvAlayet-tatra tat-syAt-kuNxakayantrakam /
   svedanaṃ yantramityetatprāhuranye manīṣiṇaḥ // Rcūm_5.87 //	svedanam yantram-iti-etat-prAhuH-anye manIziNaH // RcUm_5.87 //
   {kuṇḍayantra (2)}	{kuNxa-yantraH (2)}
   yadvā sthālyāṃ jalaṃ kṣiptvā tṛṇaṃ dattvā mukhopari /	yat-vA sTAlyAm jalam kziptvA tRNam dattvA muKa-upari /
   svedyadravyaṃ vinikṣipya pidhānyā prapidhāya ca // Rcūm_5.88 //	svedya-dravyam vinikzipya piDAnyA prapiDAya ca // RcUm_5.88 //
   adhastājjvālayed agnimetadvā kuṇḍayantrakam /	aDastAt-jvAlayet agnim-etat-vA kuNxayantrakam /
   {ḍekīyantra}	{xekIyantra}
   bhāṇḍakaṇṭhādadhaśchidre veṇunālaṃ vinikṣipet // Rcūm_5.89 //	BANxa-kaNWAt-aDas-Cidre veNu-nAlam vinikzipet // RcUm_5.89 //
   kāṃsyapātradvayaṃ kṣiptvā sampuṭaṃ jalagarbhitam /	kAMsya-pAtra-dvayam kziptvA sampuwam jala-garBitam /
   nālāsyaṃ tatra saṃyojya dṛḍhaṃ taccāpi kārayet // Rcūm_5.90 //	nAla-Asyam tatra saMyojya dRXam tat-ca-api kArayet // RcUm_5.90 //
   uktadravyairvinikṣiptaḥ pūrvaṃ tatra ghaṭe rasaḥ /	ukta-dravyEH-vinikziptaH pUrvam tatra Gawe rasaH /
   agninā tāpito nālāt toye tasmin patatyadhaḥ // Rcūm_5.91 //	agninA tApitaH nAlAt toye tasmin patati-aDas // RcUm_5.91 //
   yāvaduṣṇaṃ bhavetsarvaṃ bhājanaṃ kiṃcideva hi /	yAvat-uzNam Bavet-sarvam BAjanam kiMcid-eva hi /
   jāyate rasasaṃdhānaṃ ḍhekīyantram idaṃ bhavet // Rcūm_5.92 //	jAyate rasa-saMDAnam XekIyantram idam Bavet // RcUm_5.92 //
   {somānalayantra}	{somAnala-yantra}
   ūrdhvaṃ vahnir adhaścāpo madhye tu rasasaṃgrahaḥ /	UrDvam vahniH aDas-ca-apaH maDye tu rasa-saMgrahaH /
   somānalam idaṃ proktaṃ jārayed gaganādikam // Rcūm_5.93 //	somAnalam idam proktam jArayet gagana-Adikam // RcUm_5.93 //
   {nālikāyantra}	{nAlikAyantra}
   lohanālagataṃ sūtaṃ bhāṇḍe lavaṇapūrite /	loha-nAla-gatam sUtam BANxe lavaNa-pUrite /
   niruddhaṃ vipacetprājño nālikāyantramīritam // Rcūm_5.94 //	nirudDam vipacet-prAjQaH nAlikAyantram-Iritam // RcUm_5.94 //
   {mūṣā}	{mUzA}
   atha mūṣābhidhā mṛtsnā saṃsthānaṃ vividhākṛtiḥ /	aTa mUzA-aBiDA mRtsnA saMsTAnam viviDa-AkRtiH /
   vidhinā viniyogaśca somadevena kīrtyate // Rcūm_5.95 //	viDinA viniyogaH-ca somadevena kIrtyate // RcUm_5.95 //
   {crucible:: synonyms}	{crucible:: synA-unyms}
   mūṣā hi koṣṭhikā proktā kumudī karahārikā /	mUzA hi kozWikA proktA kumudI karahArikAH /
   pātanī vahnimitrā ca rasavādibhir īryate // Rcūm_5.96 //	pAtanI vahnimitrA ca rasa-vAdiBiH Iryate // RcUm_5.96 //
   {crucible:: nirukti}	{crucible:: nirukti}
   muṣṇāti doṣānmūṣeyānsā mūṣeti nigadyate /	muzNAti dozAn-mUzA-iyAn-sA mUzA-iti nigadyate /
   upādānaṃ bhavettasyā mṛttikā lohameva ca // Rcūm_5.97 //	upAdAnam Bavet-tasyAH mRttikA loham-eva ca // RcUm_5.97 //
   mūṣāmukhaviniṣkrāntā varamekāpi kākiṇī /	mUzA-muKa-vinizkrAntA varam-ekA-api kAkiNI /
   durjanapraṇipātena dhig lakṣamapi māninām // Rcūm_5.98 //	durjana-praNipAtena Dik lakzam-api mAninAm // RcUm_5.98 //
   {saṃdhilepa}	{saMDi-lepa}
   mūṣāpidhānayor bandhe bandhanaṃ saṃdhilepanam /	mUzA-piDAnayoH banDe banDanam saMDi-lepanam /
   andhraṇaṃ randhraṇaṃ caiva saṃśliṣṭaṃ saṃdhibandhanam // Rcūm_5.99 //	anDraNam ranDraNam ca-eva saMSlizwam saMDi-banDanam // RcUm_5.99 //
   {clay:: śarkarā}	{clay:: SarkarA}
   mṛttikā pāṇḍurasthūlā śarkarā śoṇapāṇḍurā /	mRttikA pANxura-sTUlA SarkarA SoNa-pANxurAH /
   cirādhmānasahā sā hi mūṣārthamati śasyate /	cira-ADmAna-sahA sA hi mUzA-arTam-ati Sasyate /
   tadabhāve ca vālmīkī kaulālī samudīryate // Rcūm_5.100 //	tad-aBAve ca vAlmIkI kOlAlI samudIryate // RcUm_5.100 //
   yā mṛttikā dagdhatuṣaiḥ śaṇena śikhitrakairvā hayaladdinā ca /	yA mRttikA dagDa-tuzEH SaNena SiKitrakEH-vA haya-laddinA ca /
   lauhena daṇḍena ca kuṭṭitā sā sādhāraṇā syātkhalu mūṣikārthe // Rcūm_5.101	lOhena daNxena ca kuwwitA sA sADAraNA syAt-Kalu mUzikA-arTe // RcUm_5.101
   śvetāśmānastuṣā dagdhāḥ śikhitrāḥ śaṇakarpaṭe /	Sveta-aSmAnaH-tuzAH dagDAH SiKitrAH SaNa-karpawe /
   laddiḥ kiṭṭaṃ yathāyogyaṃ saṃyojyā mūṣikāmṛdi // Rcūm_5.102 //	laddiH kiwwam yaTAyogyam saMyojyAH mUzikA-mRdi // RcUm_5.102 //
   {vajramūṣā}	{vajramUzA}
   mṛdastribhāgaṃ śaṇaladdibhāgau bhāgaśca nirdagdhatuṣopalādeḥ /	mRdaH-tri-BAgam SaNa-laddi-BAgO BAgaH-ca nirdagDa-tuza-upala-AdeH /
   kiṭṭārdhabhāgaṃ parikhaṇḍya vajramūṣāṃ vidadhyātkhalu sattvapāte //	kiwwa-arDa-BAgam pariKaNxya vajramUzAm vidaDyAt-Kalu sattva-pAte //
   Rcūm_5.103 //	RcUm_5.103 //
   {yogamūṣā}	{yoga-mUzA}
   dagdhāṅgāratuṣopetā mṛtsnā valmīkasambhavā /	dagDa-aFgAra-tuza-upetAH mRtsnA valmIka-samBavA /
   tattadviḍasamāyuktā tattadviḍavilepitā // Rcūm_5.104 //	tad-tad-vixa-samAyuktA tad-tad-vixa-vilepitA // RcUm_5.104 //
   tayā yā vihitā mūṣā yogamūṣeti kathyate /	tayA yA vihitA mUzA yogamUzA-iti kaTyate /
