   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   prati tādṛśapūrvataraprayogābhāvajñānasya athavā	prati tAdRSa pUrvatara prayoga aBAva jQAnasya aTavA
   padmaviśeṣyakapūrvataraprayogatvaprakārakajñānasya	padma viSezyaka pUrvatara prayoga tva prakAraka jQAnasya
   pratibandhakatvakalpanānna padmānyaviśeṣyakabodhaprasaktiḥ /	pratibanDaka tva kalpanAt na padmAni aviSezyaka boDa prasaktiH /
   avaśyaṃ hi padme śaktivādināpyuktagrahasya śaktikalpakatvamaṅgīkṛtya	avaSyam hi padme Sakti vAdinA api ukta grahasya Sakti kalpaka tvam aFgIkRtya
   tadgrahasya niruktaśābdabodhaṃ prati pratibandhakatvaṃ vācyam /	tad grahasya nirukta SAbda boDam prati pratibanDaka tvam vAcyam /
   tadvaramuktagrahasyaiva pratibandhakatvaṃ vācyamiti sarvatretyanena	tad vara mukta grahasya eva pratibanDaka tvam vAcyam iti sarvatra iti anena
   sūcitam //	sUcitam //
   (prācīnaprayogasya śaktijñānaṃ prati sahakāritvakalpanā,	(prAcIna prayogasya Sakti jQAnam prati sahakAri tva kalpanA,
   tantraratnakārāṇāṃ yogarūḍhisādhanaprakārasyāsāṅgatyanirūpaṇam) evañca	tantra ratna kArANAm yoga rUXi sADana prakArasya asAFgatya nirUpaNam) evaQca
   prācīnaprayogasya śaktijñānaṃ prati sahakāritvena yatra naiva	prAcIna prayogasya Sakti jQAnam prati sahakAri tvena yatra na eva
   sahakārikāraṇaṃ, tatra śaktigrahābhāvādevetarabodhābhāve sthite sati yat	sahakAri kAraNaM, tatra Sakti graha aBAvAt eva itara boDa aBAve sTite sati yat 
   samānādhikaraṇe ṣaṣṭhe tantraratne "yastvaprayogādevāprayoga iti vadanneva	samAna aDikaraNe zazWe tantra ratne "yaH tu aprayogAt eva aprayogaH iti vadan= eva
   padmādiṣu rūḍhiṃ necchati, sa vaktavyaḥ upapadyatāṃ nāma	padma Adizu rUXim na icCati, sa vaktavyaH upapadyatAm nAma
   pūrvapūrveṣāmaprayogādevottarottareṣāmaprayogaḥ; pratītistvananyalabhyā	pUrva pUrvezAm aprayogAt eva uttara uttarezAm aprayogaH; pratItiH tu ananya laByA
   śaktimeva kalpayati /	Saktim eva kalpayati /
   kathaṃ khalvaśaktātpaṅkajapadāt padmapratītiḥ?	kaTam Kalu aSaktAt paFkaja padAt padma pratItiH?
   śabdapratipāditapaṅkajananakriyāyogavaśāditi yadi brūyāt,	Sabda pratipAdita paFka janana kriyA yoga vaSAt iti yadi brUyAt ,
   pratibrūyādenamanaikāntikatvāditi /	pratibrUyAt enam anEkAntika tvAt iti /
   na khalu padmaikāntikaṃ paṅkajananam /	na Kalu padma ekAntikam paFka jananam /
   yatastanniścāyayet /	yatas tat niScAyayet /
   tasmācchabdaśaktireva kalpayitavyeti /	tasmAt Sabda SaktiH eva kalpayitavyA iti /
   sacetbrūyāt "satyaṃ śabdādeva padmapratītiḥ /	saced brUyAt "satyam SabdAt eva padma pratItiH /
   sa tu prayogavaśādeva tatpratyāpayatī"ti na vācakaśaktiḥ kalpanīyeti,	sa tu prayoga vaSAt eva tat pratyApayati i"ti na vAcaka SaktiH kalpanIyA iti,
   pratibrūyādenaṃ kathamaśaktaḥ prayogamātrādeva pratyāpayediti? prasaṅgo hi	pratibrUyAt enam kaTam aSaktaH prayoga mAtrAt eva pratyApayet iti? prasaFgaH hi
   tathā syāditi sarve gavādiśabdāḥ śaktimantareṇaiva prayogamātrādeva	taTA syAt iti sarve gavA Adi SabdAH Saktim antareNa eva prayoga mAtrAt eva
   svārthaṃ pratyāpayantīti śakyaṃ vaditum /	sva arTam pratyApayanti iti Sakyam vaditum /
   iti rūḍhiprasādhanāyoktaṃ /	iti rUXi prasADanAya uktam /
   tacchaktiṃ vināsmābhiḥ prayogavaśādeva pratyāyakatvānaṅgīkārānnāsmanmate	tad Saktim vinA asmABiH prayoga vaSAt eva pratyAyaka tva anaFgIkArAt na asman mate
   prasajyate ityapi dhyeyam //	prasajyate iti api Dyeyam //
   (paṅkajaśabde nirūḍhalakṣaṇāṅgīkāra iti pakṣāntaranirūpaṇam) yadi tu	(paFkaja Sabde nirUXa lakzaNa aFgIkAraH iti pakza antara nirUpaNam) yadi tu
   paṅkajaśabdāt	paFkaja SabdAt 
   paṅkajanikartṛtvaprakārakapadmaviśeṣyakapratītiranubhavasiddhetyucyeta,	paFkaja nikartR tva prakAraka padma viSezyaka pratItiH anuBava sidDa iti ucyeta,
   tathāpyasmin pakṣe nirūḍhalakṣaṇayaiva tatpratītyupapatterna tadanurodhena	taTA api asmin pakze nirUXa lakzaNayA eva tat prati iti upapatteH na tad anuroDena
   rūḍheravakāśa iti na doṣaḥ //	rUXeH avakASaH iti na dozaH //
   evañca yajyudbhitpadayoḥ pravṛttinimittabhedāt nīlotpalayoriva	evaQca yaji udBid padayoH pravRtti nimitta BedAt nIlotpalayoH iva
   bhinnapravṛttinimittatve	Binna pravRtti nimitta tve
   satyekārthavṛttitvalakṣaṇasyārthasāmānādhikaraṇyasyāpyupapattiḥ //	sati eka arTa vRtti tva lakzaNasya arTa sAmAnADikaraNyasya api upapattiH //
   (udbhitpadaśakyatāvacchedakatvasya phalodbhedanakāritve 'ṅgīkāre	(udBid pada Sakya tAvacCedaka tvasya Pala udBedana kAri tve aFgIkAre
   nāmadheyānarthakyaśaṅkāsamādhāne) naca udbhitpadaśakyatāvacchedakasya	nAmaDeya AnarTakya SaFkA samADAne) na ca udBid pada Sakya tAvacCedakasya
   phalotpādakatvasya paśukāmapadasamabhivyāhṛtākhyātapadādeva	Pala utpAdaka tvasya paSu kAma pada samaBivyAhRta AKyAta padAt eva
   paśūtpādanahetunā yāgena paśūn bhāvayediti	paSUt pAdana hetunA yAgena paSUn BAvayet iti
   bodhasiddhernāmadheyānarthakyam; paśukāmapadāvagatasyāpi	boDa sidDeH nAmaDeya anarTakyam; paSu kAma pada avagatasya api
   phalodbhedanahetutvasya nāmadheyenānuvādāt, tatphalaṃ	Pala udBedana hetutvasya nAmaDeyena anuvAda at, tad Palam
   cetaravyāvṛttisaṃkalpollekhādikaṃ prāgevoktam //	ca itara vyAvRtti saMkalpa ulleKA Adikam prAk eva uktam //
   ataśca yathā vākyāntarasiddhāgnidevatākatvānuvādo 'gnihotrapadena	atas ca yaTA vAkya antara sidDa agni devatAkatva anuvAdaH agni hotra padena
   saṃkalpādiphalako na virudhyate, tathaiva	saMkalpa Adi PalakaH na viruDyate, taTA eva
   svavākyagatapaśukāmapadāvagataphalahetutvānuvādo 'pi nānupapannaḥ //	sva vAkya gata paSu kAma pada avagata Pala hetutvA anuvAdaH api na anupapannaH //
   (saṃjñāsaṃjñisaṃbandhasyāvidheyatvanirūpaṇapūrvakaṃ nāmatvenānvaye	(saMjQA saMjQi saMbanDasya aviDeya tva nirUpaNa pUrvakam nAma tvena anvaye
   lāghavavādinirūpaṇam) ataeva     nāmatve saṃjñāsaṃjñisaṃbandhasyāpi	lAGava vAdi nirUpaNam) ataeva    nAma tve saMjQA saMjQi saMbanDasya api
   vidhānāt vākyabhedāpattiḥ     nirastā; nāmno 'nanuṣṭheyatvena	viDAnAt vAkya Beda ApattiH    nirastA; nAmnaH ananuzWeya tvena
   sāmānādhikaraṇyāvayavaprasiddhibhyāmeva ca	sAmAnADikaraNya avayava prasidDiByAm eva ca
   siddhestatsaṃbandhasyāvidheyatvena tadaprasakteḥ /	sidDeH tad saMbanDasya aviDeya tvena tad aprasakteH /
   ataeva nāmadheyārthaviśiṣṭayāgavidhāne 'pi nāmadheyārthasya	ataeva nAmaDeya arTa viSizwa yAga viDAne api nAmaDeya arTasya
   pramāṇāntarāvagatatvena tadaṃśe viśeṣaṇavidherakalpanādeva viśiṣṭavidhitve	pramANa antara avagata tvena tad aMSe viSezaNa viDera kalpanAt eva viSizwa viDi tve
   'pi siddhānte lāghavam /	api sidDAnte lAGavam /
   pūrvapakṣe tu guṇavattadgataliṅgasaṅkhyāṃśe viśeṣaṇavidhikalpanādgauravam	pUrva pakze tu guNavat tad gata liFga saFKyA aMSe viSezaNa viDi kalpanAt gOravam
   siddhānte ca ākhyātopāttasaṅkhyādyanuvādakatayā vidheyatvena lāghavamiti	sidDAnte ca AKyAta upAtta saFKI A Adi anuvAdaka tayA viDeya tvena lAGavam iti
   viśeṣaḥ /	viSezaH /
   etena     yadyaugikatvapakṣopapādanaṃ vārtikakārīyaṃ paśukāmo	etena    yat yOgika tva pakza upapAdanam vArtikakArI iyam paSu kAmaH 
   yajetetyetāvataiva siddhatvāt paśūdbhedahetunā paśūn bhāvayediti	yajeta iti etAvatA eva sidDa tvAt paSu udBeda hetunA paSUn BAvayet iti
   nāmadheyavidhyānarthakyāpatteḥ prauḍhavādamātramiti nyāyasudhākāroktam    	nAmaDeya viDi AnarTakI ApatteH prOXa vAda mAtram iti nyAya suDA AkAra uktam    
   tat apāstam //	tat apAstam //
   (nāmno 'vidheyatve 'pi dhātvarthaparicchedakatayā	(nAmnaH aviDeya tve api DAtu arTa paricCedaka tayA
   vidhyuddeśāntarbhāvanirūpaṇam) ato nāmadheyārthasyaiveha	viDi uddeSa antar BAva nirUpaNam) atas nAmaDeya arTasya eva iha
   dhātvarthāvacchedakatayā āgneyādi sāhityasyeva svarūpataḥ	DAtu arTa avacCedaka tayA Agneya Adi sAhityasya iva svarUpataH
   pramāṇāntarāvagatānāṃ vrīhyāruṇyādīnāmiva vā viśiṣṭavidhinā	pramANa antara avagatAnAm vrIhi AruNya AdInAm iva vA viSizwa viDinA
   vidhānādvidhyuddeśāntargaterapyupapatternakāpi kṣatiḥ /	viDAnAt viDi uddeSa antargateH api upapatteH nakA api kzatiH /
   yadyapi ajñātaviśeṣarūpajñāpana eva paricchedakatvavyavahārasyānyatra	yadi api ajQAta viSeza rUpa jQApanaH eva paricCedaka tva vyavahArasya anyatra
   dṛṣṭatvāttasya ceha śabdāntarādipramāṇasahakṛtavidhinaiva siddherna nāmnaḥ	dRzwa tvAt tasya ca iha Sabda antara Adi pramANa saha kRta viDinA eva sidDeH na nAmnaH
   paricchedakatvena prayojanam; tathāpi jñāte 'pi viśeṣe ko 'sāviti	paricCedaka tvena prayojanam; taTA api jQAte api viSeze kaH asO= iti
   jijñāsānivartakatvenaiva tasya paricchedakatvavyavahāra iti draṣṭavyam //	jijQAsA nivartaka tvena eva tasya paricCedaka tva vyavahAraH iti drazwavyam //
   (nāmadheyārthasya pramāṇāntarasiddhatve 'pi bhedādijñāpakatvena	(nAmaDeya arTasya pramANa antara sidDa tve api Beda Adi jQApaka tvena
   dharmaprāmāṇyanirūpaṇam) naca     evaṃ nāmadheyārthasya	Darma prAmANya nirUpaNam) na ca    evam nAmaDeya arTasya
   pramāṇāntarasiddhatvenānūdyamānatvādanadhigatārthagantṛtvābhāvena kathaṃ	pramANa antara sidDa tvena anUdyamAna tvAt anaDigata arTa gantR tva aBAvena kaTam
   prāmāṇyasaṃbhavaḥ? iti     vācyam; svārthānuvādakatve 'pi	prAmANya saMBavaH? iti    vAcyam; sva arTa anuvAdaka tve api
   vidvadvākyayorivānadhigatabhedādijñāpakatvena tadupapatteḥ /	vidvat vAkyayoH iva anaDigata Beda Adi jQApaka tvena tad upapatteH /
   yatrāpi nāmadheyābhāve 'pyananyaparavidhipunaḥśravaṇarūpābhyāsādeva	yatra api nAmaDeya aBAve api ananya para viDi punar SravaNa rUpa aByAsAt eva
   bhedasiddhiryathā "samidho yajati tanūnapātaṃ yajatī"tyādau tatra	Beda sidDiH yaTA "samiDaH yajati tanUnapAtam yajati i"tyAdO tatra
   bhedajñāpakatvābhāve 'pi	Beda jQApaka tva aBAve api
   nirdhāritarūpaviśeṣapratipatternāmadheyādhīnatvādajñātāthrakatvopapattiḥ /	nirDArita rUpa viSeza pratipatteH nAmaDeya aDIna tvAt ajQA ta aTraka tva upapattiH /
   ato yuktaṃ nāmadheyatvena dharme prāmāṇyam //	atas yuktam nAmaDeya tvena Darme prAmANyam //
   (paśūdbhedanakāritvenodbhitpadasya karmaṇi na pravṛttiḥ kintu saṃjñātvena	(paSu udBedana kAri tvena udBitpadasya karmaNi na pravRttiH kintu saMjQA tvena
   rūpeṇa saṃjñātvapratipattyarthayogāśrayaṇamiti somanāthīyāśayanirūpaṇam)	rUpeNa saMjQA tva pratipatti arTa yoga ASrayaNam iti soma nATIyASaya nirUpaNam)
   yattu     vārtikoktapakṣāntarāvalambanena somanāthena	yat tu    vArtika ukta pakza antara avalambanena somanATena
   paśūdbhedanakāritvasya paśukāmapadavadākhyātādeva	paSUdBedana kAri tvasya paSu kAma pada vat AKyAtAt eva
   siddhernāmadheyānarthakyamāśaṅkya yadi paśūdbhedanasādhanatvena	sidDeH nAmaDeya AnarTakyam ASaFkya yadi paSu udBedana sADana tvena
   yāgamudbhitpadaṃ bodhayettadā vaiyarthyaṃ syāt, apitu	yAgam udBid padam boDayet tadA vEyarTyam syAt, apitu
   saṃjñārūpatvenodbhinnāmakatvena yāgaṃ pratipādayati /	saMjQA rUpa tvena udBinnAmaka tvena yAgam pratipAdayati /
   evañca vidhisamabhivyāhṛtadhātunaiva karmaviśeṣapratītisiddhāvapi kīdṛśo	evaQca viDi samaBivyAhRta DAtunA eva karma viSeza pratIti sidDO= api kIdRSaH 
   'sau karmaviśeṣa ityapekṣāyāṃ asmin vākye dravyadevatayoraśravaṇena	asO karma viSezaH iti apekzAyAm asmin vAkye dravya devatayoH aSravaNena
   dravyadevatādyupalakṣaṇena yāgaviśeṣapratipādanāsaṃbhavādudbhinnāmako yāgo	dravya devatA Adi upalakzaNena yAga viSeza pratipAdana asaMBavAt udBid nAmakaH yAgaH 
   'yamiti tadviśeṣapratipādanaparatvādudbhitpadasya na vaiyarthyam;	ayam iti tad viSeza pratipAdana para tvAt udBid padasya na vEyarTyam;
   udbhitpadaṃ tu udbhitpadenānabhihitamapi pratyakṣaśrutatvamātreṇa	udBid padam tu udBid padena anaBihitam api pratyakza Sruta tva mAtreNa
   svavācyamanyasmādvyāvartayat viśeṣaṇabhāvamanubhavati /	sva vAcyam anyasmAt vyAvartayat viSezaNa BAvam anuBavati /
   śabdopasthitasyaivānvayabodhaviṣayatvamiti niyamastu	Sabda upasTitasya eva anvaya boDa vizaya tvam iti niyamaH tu
   saṃjñāśabdavyatiriktaviṣayaḥ /	saMjQA Sabda vyatirikta vizayaH /
   yadvā    saṃjñāśabdānāṃ svarūpapravṛttinimittakatvamiti	yat vA   saMjQA SabdAnAm svarUpa pravRtti nimittaka tvam iti
   śābdikoktarītyodbhicchabdasyaiva svarūpabodhakatvaṃ saṃbhavatīti na	SAbdikA ukta rItyA udBid Sabdasya eva svarUpa boDaka tvam saMBavati iti na
   kāpyanupapattiḥ /	kA api anupapattiH /
   naca     evaṃ paśūdbhedanakāritvasya vākyārthapratītiviṣayatvābhāvāt	na ca    evam paSUdBedana kAri tvasya vAkya arTa pratIti vizaya tva aBAvAt
   tadarthakayogāśrayaṇavaiyarthyamiti     vācyam; yatrārthe yasya	tad arTaka yoga ASrayaNa vEyarTyam iti    vAcyam; yatra arTe yasya
   śabdasyāvayavayogādisaṃbhavastatraiva saṃjñātvaṃ nānyatra /	Sabdasya avayava yoga Adi saMBavaH tatra eva saMjQA tvam na anyatra /
   ataeva etādṛśaśabdasyaiva saṃjñātvamiṣyate /	ataeva etAdRSa Sabdasya eva saMjQA tvam izyate /
   ataeva somādiśabdānāṃ somena yajetetyatra na nāmatvam /	ataeva soma Adi SabdAnAm somena yajeta iti atra na nAma tvam /
   tataśca saṃjñātvanirvāhārthamevodbhidādiśabdānāṃ karmaṇi yogāśrayaṇamiti,	tatas ca saMjQA tva nirvAha arTam eva udBida Adi SabdAnAm karmaNi yoga ASrayaNam iti,
   tadvaiyarthyānavakāśaḥ /	tad vEyarTya anavakASaH /
   athavā udbhicchabdaḥ udbhicchabdābhidheyatvena rūpeṇa lakṣaṇayā karma	aTavA udBid SabdaH udBid Sabda aBiDeya tvena rUpeNa lakzaNayA karma
   pratipādayati /	pratipAdayati /
   sā ca lakṣaṇā yogena svābhidheyatve sati pravartate nānyatheti tadarthaṃ	sA ca lakzaNA yogena sva aBiDeya tve sati pravartate na anyaTA iti tad arTam
   yogāśrayaṇam /	yoga ASrayaNam /
   lakṣaṇāpi nirūḍhatvāt matvarthalakṣaṇāpekṣayā jyāyasīti na	lakzaNA api nirUXa tvAt matu arTa lakzaNa apekzayA jyAyasi iti na
   guṇavidhipakṣoktadoṣaprasaṅgaḥ /	guNa viDi pakza ukta doza prasaFgaH /
   astuvā avayavayogaṃ vināpi saṃjñātvam, tathāpi yogenodbhicchabdasya	astuvAH avayava yogam vinA api saMjQA tvam, taTA api yogena udBid Sabdasya
   prasaktaguṇavidhitvanirāsamātrārthamiva karmaṇi yogasāmyapradarśanārthaṃ	prasakta guNa viDi tva nirAsa mAtra arTam iva karmaNi yoga sAmya pradarSana arTam
   yogāśrayaṇamiti     uktam //	yoga ASrayaNam iti    uktam //
   (yogārthapuraskāreṇa kasyāpi doṣasyāpravṛttirityādipūrvatanamatakhaṇḍanam)	(yoga arTa puraskAreNa kasya api dozasya apravRttiH ityAdi pUrvatana mata KaNxanam)
   tatprathame pakṣe padajanyapadārthopasthitereva vākyārthabodhe kāraṇatvena	tat praTame pakze pada janya padArTa upasTiteH eva vAkya arTa boDe kAraNa tvena
   kḷptasyeha tyāge pramāṇābhāvādanyathā svargakāmapadādhyāhārasya	k?ptasya iha tyAge pramANa aBAvAt anyaTA svarga kAma pada aDyAhArasya
   viśvajidvākye 'gnimantre sūryapadaprakṣepasyohasyāpyapalāpaprasaṅgāt,	viSva jit vAkye agni mantre sUrya pada prakzepasya Uhasya api apalApa prasaFgAt,
   dvitīye pakṣe śābdikokter  yatrāvayavārthasaṃbhavastatra	dvitIye pakze SAbdikA ukter yatra avayava arTa saMBavaH tatra
   ḍitthāśvakarṇādiśabdaparatvādanyatrāpravṛtteryāgākhyānaṃ vināpi	xitTa aSva karNa Adi Sabda para tvAt anyatra apravRtteH yAga AKyAnam vinA api
   ḍitthādiśabdeṣu saṃjñātvadarśanāt yatrāvayavārthayogasaṃbhavaḥ tatraiva	xitTa Adi Sabdezu saMjQA tva darSanAt yatra avayava arTa yoga saMBavaH tatra eva
   saṃjñātvamiti niyamasyāprayojakatvena prakṛte yogāśrayaṇasya	saMjQAtvam iti niyamasya aprayojaka tvena prakRte yoga ASrayaNasya
   niṣphalatvāpattestṛtīye udbhicchabdābhidheyatvena rūpeṇa lakṣaṇāśrayaṇe	nizPala tva ApatteH tRtIye udBid Sabda aBiDeya tvena rUpeNa lakzaNa ASrayaNe
   matvarthalakṣaṇāśrayaṇena guṇavidhitvasya	matu arTa lakzaNa ASrayaNena guNa viDi tvasya
   yogārthasahakṛtasyāpyupapattervede "somena yajete" tyādau sarvasyā api	yoga arTa saha kRtasya api upapatteH vede "somena yajete" tyAdO sarvasyAH api
   lakṣaṇāyā nirūḍhalakṣaṇātvenaivāṅgīkāre matvarthalakṣaṇāpekṣayā	lakzaNAyAH nirUXa lakzaNAtvena eva aFgIkAre matu arTa lakzaNa apekzayA
   udbhicchabdābhidheyatvalakṣaṇāyā nirūḍhatvena	udBid Sabda aBiDeya tva lakzaNAyAH nirUXa tvena
   jyāyastvakathanasyāpyayuktatvādayuktamityupekṣitaṃ pūjyapādaiḥ //	jyAyaH tu akaTanasya api ayukta tvAt ayuktam iti upekzitam pUjya pAdEH //
   (udbhitsaṃjñakena yāgenetyevātra śābdabodhaḥ, saṃjñābodhastu lakṣaṇeyati	(udBid saMjQakena yAgena iti eva atra SAbda boDaH, saMjQA boDaH tu lakzaNeyati
   matanirūpaṇakhaṇḍane) etena     saṃbhavatyadhikārthatve na nāmnaḥ	mata nirUpaNa KaNxane) etena    saMBavati aDika arTa tve na nAmnaH
   paricchedārthavarṇanaṃ yuktam; kintu udbhitsaṃjñakena yāgeneti pratīteḥ	paricCeda arTavarNanam yuktam; kintu udBid saMjQakena yAgena iti pratIteH
   saṃjñāviśiṣṭayāgabodha evodbhitpadādaṅgīkartuṃ yuktaḥ /	saMjQA viSizwa yAga boDaH eva udBid padAt aFgIkartum yuktaH /
   naca     evaṃ tarhi teṣāmudbhicchabdasvarūpābhidheyatvaprasaṅga iti    	na ca    evam tarhi tezAm udBid Sabda svarUpa aBiDeya tva prasaFgaH iti    
   vācyam; jātiviśiṣṭapratītijanakānāṃ gavādipadānāṃ	vAcyam; jAti viSizwa pratIti janakAnAm gavA Adi padAnAm
   jātivācitvasādhakanyāyena saṃjñāviśiṣṭapratītijanakānāmapyeṣāṃ	jAti vAci tva sADaka nyAyena saMjQA viSizwa pratIti janakAnAm api ezAm
   saṃjñāvācitvāṅgīkārasyeṣṭāpattigrastatvāt /	saMjQA vAcitva aFgIkArasya izwApatti grasta tvAt /
   yadi śabdābhihitairgotvādibhistādātmyādinā	yadi Sabda aBihitEH go tva AdiBiH tAdAtmya AdinA
   saṃbaddhaviśeṣyalakṣaṇāsaṃbhavena viśeṣyānabhidhāne 'pi saṃjñāśabdānāṃ	saMbadDa viSezya lakzaNa asaMBavena viSezya anaBiDAne api saMjQA SabdAnAm
   śabdamātrābhidhāne saṃbandhābhāvena saṃjñivilakṣaṇānupapatteḥ	Sabda mAtra aBiDAne saMbanDa aBAvena saMjQi vilakzaNa anupapatteH
   tadbodhārthaṃ saṃjñinyapi śaktikalpanāyāmatigauravamāśaṅkyeta, tadāstu	tad boDa arTam saMjQinI api Sakti kalpanAyAm ati gOravam ASaFki a ita, tadA astu
   saṃjñāṃśe lakṣaṇā /	saMjQA aMSe lakzaNA /
   naca     evaṃ siddhānte 'pi lakṣaṇāyāstulyatve kimarthaṃ	na ca    evam sidDAnte api lakzaNAyAH tulya tve kim arTam
   matvarthalakṣaṇāyāstyāga iti     vācyam; tasyā	matu arTa lakzaNAyAH tyAgaH iti    vAcyam; tasyAH 
   viśiṣṭavidhigauravāpādakatvena heyatvāt /	viSizwa viDi gOrava ApAdaka tvena heya tvAt /
   ata udbhitsaṃjñakatvaprakārakabodhajanakatvenaivodbhicchabdasya	atas udBid saMjQaka tva prakAraka boDa janaka tvena eva udBid Cabdasya
   paricchedakatvaṃ yuktamiti keṣāñciduktam     apāstam; anavagate saṃjñātve	paricCedaka tvam yuktam iti kezAQcid uktam    apAstam; anavagate saMjQA tve
   tādṛśaprātītijananāsaṃbhavāttadavagamasya udbhidvākyāt prāk	tAdRSa prAtIti janana asaMBavAt tad avagamasya udBid vAkyAt prAk 
   mānāntareṇāsiddherasyaiva vākyasyodbhidā yāgeneti nāmno	mAna antareNa asidDeH asya eva vAkyasya udBidA yAgena iti nAmnaH 
   yajisāmānādhikaraṇyenānvayabodhanena saṃjñātvākṣepakatve tenaiva	yajisA mAnADikaraNyena anvaya boDanena saMjQA tva Akzepaka tve tena eva
   prathamajātenānvayabodhena vākyaparyavasāne sati udbhitsaṃjñakeneti	praTama jAtena anvaya boDena vAkya paryavasAne sati udBid saMjQakena iti
   lākṣaṇikabodhāṅgīkārasya niryuktikatvāt /	lAkzaNika boDa aFgIkArasya niryuktika tvAt /
   etadvākyādhīna siddhikasya etatsaṃjñakatvasya asminneva vākye	etat vAkya aDIna sidDikasya etat saMjQaka tvasya asmin= eva vAkye
   siddhavannirdeśānupapatteśca /	sidDa vat nirdeSa anupapatteH ca /
   kiñca yadi śabdena sahārthasya saṃbandābhāvānna saṃjñini lakṣaṇāyāḥ	kiQca yadi Sabdena saha arTasya saMbanda aBAvAt na saMjQini lakzaNAyAH
   saṃbhavastarhi saṃjñinārthenāpi sahaśabdasya saṃbandho durnirūpa eveti na	saMBavaH tarhi saMjQinA arTena api saha Sabdasya saMbanDaH durnirUpaH eva iti na
   tena śabdalakṣaṇāsaṃbhavaḥ /	tena Sabda lakzaNa asaMBavaH /
   ato jātinyāyavaiṣamyābhāvātsaṃjñāyāmeva śaktiḥ sañjñinyeva lakṣaṇā'padyeta	atas jAti nyAya vEzamya aBAvAt saMjQAyAm eva SaktiH saQjQinya iva lakzaNA apadyeta
   ataeva saṃjñāśabdānāṃ vācakatvamityevaṃ pravādo 'pi saṃgacchate /	ataeva saMjQA SabdAnAm vAcaka tvam iti evam pravAdaH api saMgacCate /
   tathāca "somena yajete"tyatrāpi lākṣaṇikasāmānādhikaraṇyopapattyā kimiti	taTA ca "somena yajeta i"ti atra api lAkzaNika sAmAna aDikaraNyA upapattyA kim iti
   viśiṣṭavidhigauravāṅgīkaraṇam? yaditu saṃjñinyapi viśiṣṭaśaktimaṅgīkṛtya	viSizwa viDi gOrava aFgIkaraNam? yat itu saMjQini api viSizwa Saktim aFgIkRtya
   mukhyameva sāmānādhikaraṇyaṃ, naivaṃ somavākye saṃbhavati; somādipadānāṃ	muKyam eva sAmAnADikaraNyan, na evam soma vAkye saMBavati; soma Adi padAnAm
   rūḍhatvādityucyeta, tadā	rUXa tvAt iti ucyeta, tadA
   viśiṣṭaśaktikalpanāgauravāpādakanāmadheyatvāṅgīkārāpekṣayā yaugikatvenaiva	viSizwa Sakti kalpanA gOrava ApAdaka nAmaDeya tva aFgIkAra apekzayA yOgika tvena eva
   nāmadheyatvaṃ yuktamāśrayitum, udbhitsaṃjñako 'yamiti vyavahārasya	nAmaDeya tvam yuktam ASrayitum, udBid saMjQakaH ayam iti vyavahArasya
   tāvatāpyupapatteratiprasaṅgaparihārasya pūrvoktavidhayaivopapatteḥ	tAvatA api upapatteH ati prasaFga parihArasya pUrva ukta viDayA eva upapatteH
   rūḍhyaṅgīkāre prayojanābhāvāt iti //	rUXi aFgIkAre prayojana aBAvAt iti //
   (rūḍhyaivodbhidā yajetetisāmānādhikaraṇyamiti	(rUXyA eva udBidA yajeta iti sAmAna ADikaraNyam iti
   bhāṭṭālaṅkāramatatatkhaṇḍane) yattu     bhāṭṭālaṅkārakṛtā	BAwwa alaFkAra mata tat KaNxane) yat tu    BAwwa alaFkAra kRtA
   sādhutvanirvāhāya svīkriyamāṇasya yogasya vākyāntare	sADu tva nirvAhAya svIkriyamANasya yogasya vAkya antare
   svānurūpapratītijanakatve 'pīha rūḍhyaiva yāgīyaviśeṣarūpaṃ	sva anurUpa pratIti janaka tve api iha rUXyA eva yAgIya viSeza rUpam
   pratipādayatyudbhicchabdaḥ, etadvidheḥ prāk	pratipAdayati udBid SabdaH, etat viDeH prAk 
   phalodbhedanakāritvasyānavagamena	Pala udBedana kAritvasya anavagamena
   phalodbhedanakāritvaprakārakabodhasyāsaṃbhavāt /	Pala udBedana kAri tva prakAraka boDasya asaMBavAt /
   naca     vaidikaṃ karma tatphalasādhanamiti vyāptibalādavagataṃ sāmānyataḥ	na ca    vEdikam karma tad Pala sADanam iti vyApti balAt avagatam sAmAnyatas 
   phalodbhedanakāritvaṃ nimittīkṛtyodbhitpadapravṛttiriti     vācyam;	Pala udBedana kAri tvam nimittIkRtya udBid pada pravRttiH iti    vAcyam;
   vedavihitatvātmakavaidikatvasyetaḥ prāgasiddheḥ /	veda vihita tva Atmaka vEdika tvasya itas prAc asidDeH /
   naca phalasāmānyasaṃbandho 'pyudbhidvākyajaprathamabodhāllabhya iti    	na ca Pala sAmAnya saMbanDaH api udBid vAkya ja praTama boDAt laByaH iti    
   yuktam; udbhitpadapaśukāmapade anapekṣya yajetetyasyāpramāṇatvāt /	yuktam; udBid pada paSu kAma pade anapekzya yajeta iti asya apramANa tvAt /
   ato 'tra na yogenodbhitpadasya yajisāmānādhikaraṇyam; apitu rūḍhyaiva    	atas atra na yogena udBitpadasya yajisA mAnADikaraNyam; apitu rUXyA eva    
   ityuktam /	iti uktam /
