   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   "Ānandasaṃhitā" (ĀS 4.23) zitiert in DHN[D] 12.7 8.	"Ānanda saMhitA" (ĀH 4.23) zitiert id DHN[D] 12.7 8.
   !{307}! Dieser Vers ist auch als "Ānandasaṃhitā" (ĀS 4.24) zitiert in	!{307}! DieseH Vers ist OC alH "Ānanda saMhitA" (ĀH 4.24) zitiert in
   DHN[D] 12.9 10.	DHN[D] 12.9 10.
   !{308}! Dieser Vers ist auch zitiert als "Ānandasaṃhitā" (ĀS 4.25) in	!{308}! DieseH Vers ist OC zitiert alH "Ānanda saMhitA" (ĀH 4.25) in
   DHN[D] 12.11 12; die zweite Vershälfte ist auch als "Purātantra" in DHN[D]	DHN[D] 12.11 12; die zweite VeH shälfte ist OC alH "Pura atantra" id DHN[D]
   34.2 zitiert.	34.2 zitiert.
   !{309}! Dieser Vers ist ähnlich als "Purātantra" in DHN[D] 71.5 6 zitiert.	!{309}! DieseH VerH ist ähnliC alH "Pura atantra" id DHN[D] 71.5 6 zitiert.
   !{310}! Dieser Halbvers ist auch als "Ānandasaṃhitā" zitiert in DHN[D]	!{310}! DieseH HalbverH ist OC alH "Ānanda saMhitA" zitiert id DHN[D]
   [34.1]     tathā vasiṣṭho dakṣaś ca nava brahmāṇa īritāḥ //*{311}*	[34.1]     taTA vasizWaH dakzaH ca nava brahmANaH IritAH //*{311}*
   [Purātantra]	[Pura atantra]
   [34.2]     nava brahmāṇa evaite vinā syur nīlalohitam //*{312}*	[34.2]     nava brahmANaH eva ete vinA syuH nIlalohitam //*{312}*
   [Purātantra]	[Pura atantra]
        [dakṣādīnāṃ navānāṃ vikhanaś śiśyatvam]	[dakza AdInAm navAnAm viKanaH SiSya tvam]
   [34.3]     ete vikhanasaś śiṣyāḥ śrutismṛtividhānataḥ /	[34.3]     ete viKanasaH SizyAH Sruti smRti viDAnataH /
   [34.4]     tacchiṣyās tu mahātmano munayas tattvadarśinaḥ // [Purātantra.]	[34.4]     tad SizyAH tu mahAtmanaH munayaH tattva darSinaH // [Pura atantra.]
   [34.5]     vedānugāni śāstrāṇi cakrur lokahitaiṣiṇaḥ /	[34.5]     veda anugAni SAstrANi cakruH loka hita eziNaH /
   [34.6]     kecit sūtraṇi vai cakruḥ gṛhyaśrautātmikāni tu // [Purātantra]	[34.6]     kecid sUtraNi vE cakruH gRhya SrOta AtmikAni tu // [Pura atantra]
   [34.7]     dharmaśāstrāṇi kecit tu purāṇāni ca kecana /	[34.7]     Darma SAstrANi kecid tu purANAni ca kecana /
   [34.8]     itihāsāṃs tathā kalpān procuranye mahārṣayaḥ // [Purātantra.]	[34.8]     itihAsAn taTA kalpAn procuH anye mahA rzayaH // [Pura atantra.]
        [vaikānasaśākhāniṣpattiprakāraḥ]	[vA ekAnasa SAKA nizpatti prakAraH]
   [34.9]     tān tu vaikhānasīṃ śākhāṃ svasūtre viniyuktavān /	[34.9]     tAn tu vEKAnasIm SAKAm sva sUtre viniyuktavAn /
   [34.10]     padmabhūḥ paramo dhātā tasminn ārādhanatrayam*{313}* //	[34.10]     padmaBUH paramaH DAtA tasmin ArADana trayam *{313}* //
   [Purātantra.]	[Pura atantra.]
   [34.11]     tān tu vaikhānasīṃ śākhāṃ vyāsas tu bhagavān muniḥ /	[34.11]     tAn tu vEKAnasIm SAKAm vyAsaH tu BagavAn muniH /
   [34.12]     cakre ṛgādibhedais tu vyasitvā tu pṛthak pṛthak //	[34.12]     cakre Rc a Adi BedEH tu vyasitvA tu pRTak pRTak //
   [Purātantra]	[Pura atantra]
   [34.13]     audgātraṃ sāmabhir yāge brāhmam ātharvaṇena ca /	[34.13]     OdgAtram sAmaBiH yAge brAhmam ATarvaNena ca /
   [34.14]     hautram ṛgbhir yajur mantrair ādhvaryavam akārayat //	[34.14]     hOtram RgBiH yajuH mantrEH ADvaryavam akArayat //
   [Purātantra.]	[Pura atantra.]
   [34.15]     āmnāyasya vidhir brāhmaḥ pañcakāṇḍātmikā tu sā /	[34.15]     AmnAyasya viDiH brAhmaH paQca kANxa AtmikA tu sA /
   [34.16]     sā ca vaikhānasī śākhā taittirīyā ca kīrtitā // [Purātantra]	[34.16]     sA ca vEKAnasI SAKA tEttirIyA ca kIrtitAH // [Pura atantra]
   [34.17]     ādikāle tu bhagavān brahmā tu vikhānā muniḥ /	[34.17]     Adi kAle tu BagavAn brahmA tu viKAnA muniH /
   [34.18]     yajuś śākhānusāreṇa cakre sūtraṃ mahattaram // [Purātantra]	[34.18]     yajuH SAKA anusAreNa cakre sUtram mahattaram // [Pura atantra]
   [34.19]     varṇāśramācārayutaṃ śrautasmārtasamanvitam /	[34.19]     varNa ASrama AcAra yutam SrOta smArta samanvitam /
   [34.20]     yasminn eva tu samproktaṃ sūtre vikhanasā param //	[34.20]     yasmin eva tu samproktam sUtre viKanasA param //
   [Purātantra]	[Pura atantra]
   [34.21]     vanasthānān tu sarveṣāṃ vidhiś śrāmaṇakābhidhaḥ /*{314}*	[34.21]     vana sTAnAn tu sarvezAm viDiH SrAmaNaka aBiDaH /*{314}*
   [34.22]     vānaprasthās tatas sarve ye dvijāś cānyasūtriṇaḥ /	[34.22]     vAnaprasTAH tatas sarve ye dvijAH ca anya sUtriNaH /
   [34.23]     tatsūtravidhyanuṣṭhānāt smṛtā vaikhānasās tu te //*{315}*	[34.23]     tad sUtra viDi anuzWAnAt smRtAH vEKAnasAH tu te //*{315}*
   [Purātantra]	[Pura atantra]
   [34.24]     yatsūtrādyantamadhyeṣu bhagavān viṣṇur avyayaḥ /	[34.24]     yat sUtra Adi anta maDyezu BagavAn vizNuH avyayaH /
   !{311}! Dieser Vers ist ähnlich als "Mahābhārata" in DHN[D] 20.2 3.	!{311}! DieseH VerH ist ähnliS alH "Maha aBArata" id DHN[D] 20.2 3.
   !{312}! Dieser Halbvers ist auch als "Purātantra" zitiert in DHN[D] 30.20	!{312}! DieseH HalbverH ist OC alH "Pura atantra" zitiert id DHN[D] 30.20
   und als "Ānandasaṃhitā" in DHN[D] 12.12.	und alH "Ānanda saMhitA" id DHN[D] 12.12.
   !{313}! Dieser Vers ist auch als "Skandapurāṇa" zitiert in DHN[D]	!{313}! DieseH Vers ist OC alH "Skanda purANa" zitiert id DHN[D]
   39.25 40.1 und ähnlich in DHN[D] 71.10 11.	39.25 40.1 und ähnliC id DHN[D] 71.10 11.
   !{314}! Dieser Vers ist auch als "Smṛti" in DHN[D] 28.18 19 zitiert.	!{314}! DieseH Vers ist OC alH "SmRti" id DHN[D] 28.18 19 zitiert.
   !{315}! ĀS 11.4; der Vers ist ähnlich in DHN[D] 28.20 21 zitiert.	!{315}! ĀH 11.4; deH VerH ist ähnliC id DHN[D] 28.20 21 zitiert.
   [35.1]     yaṣṭavyo gīyate yasmāt sarvasūtrottaman tu tat // [Purātantra]	[35.1]     yazwavyaH gIyate yasmAt sarva sUtra uttaman tu tat // [Pura atantra]
   [35.2]     vede vaikhānase sūtre yo dharmaḥ parikīrtitaḥ /	[35.2]     vede vEKAnase sUtre yaH DarmaH parikIrtitaH /
   [35.3]     sarvais sa dharmo 'nuṣṭheyo nātra kāryā vicāraṇā*{316}* //	[35.3]     sarvEH sa DarmaH anuzWeyaH na atra kAryA vicAraNA*{316}* //
   [Purātantra]	[Pura atantra]
        [vaikhānasasūtrasya sūtrāntarānapekṣatvam]	[vEKAnasa sUtrasya sUtra antara anapekza tvam]
   [35.4]     svasūtrasya parityāgād anyasūtrasya saṃśrayāt /	[35.4]     sva sUtrasya parityAgAt anya sUtrasya saMSrayAt /
   [35.5]     sadyaḥ patati vai vipro na vedasya samāśraye //*{317}*	[35.5]     sadyas patati vE vipraH na vedasya samASraye //*{317}*
   [Purātantra]	[Pura atantra]
   [35.6]     etad vaikhānasaṃ sūtram anyaśāstrānapekṣitam // [Purātantra]	[35.6]     etat vEKAnasam sUtram anya SAstra anapekzitam // [Pura atantra]
   [35.7]     etad vaikhānasaṃ sūtraṃ sarvavedārthasaṅgraham /	[35.7]     etat vEKAnasam sUtram sarva veda arTa saFgraham /
   [35.8]     vaiṣṇavaṃ sarvaviprāṇāṃ sāmānyam abhidhīyate // [Purātantra]	[35.8]     vEzNavam sarva viprANAm sAmAnyam aBiDIyate // [Pura atantra]
   [35.9]     vaikhānasasya sūtrasya cāgneḥ śrāmaṇakasya ca /	[35.9]     vEKAnasasya sUtrasya ca agneH SrAmaNakasya ca /
   [35.10]     nārāyaṇasya devasya māhātmyaṃ nāvabuddhyate // [Purātantra]	[35.10]     nArAyaNasya devasya mAhAtmyam na avabudDyate // [Pura atantra]
   [35.11]     yathā vedeṣu sarveṣu sāmavedaḥ praśasyate /	[35.11]     yaTA vedezu sarvezu sAmavedaH praSasyate /
   [35.12]     tathā sūtreṣu sarveṣu sūtram etad praśasyate // [Purātantra]	[35.12]     taTA sUtrezu sarvezu sUtram etat praSasyate // [Pura atantra]
   [35.13]     agnir vaikhānasaṃ śāstraṃ viṣṇur vedāś ca śāśvatāḥ /	[35.13]     agniH vEKAnasam SAstram vizNuH vedAH ca SASvatAH /
   [35.14]     gāyatrī vaiṣṇavā viprās saptaite 'tipavitrakāḥ // [Purātantra]	[35.14]     gAyatrI vEzNavAH viprAH saptA ete ati pavitrakAH // [Pura atantra]
   [35.15]     yadadhīteṣu vedeṣu sāṅgeṣu labhate phalam /	[35.15]     yat aDItezu vedezu sa aFgezu laBate Palam /
   [35.16]     tatphalaṃ labhate sadyaḥ sūtram etat paṭhan dvijaḥ //	[35.16]     tad Palam laBate sadyas sUtram etat paWan dvijaH //
   [Purātantra]	[Pura atantra]
   [35.17]     agnīṣomādayo devā ye yajñāṃśahavir bhujaḥ /	[35.17]     agnIzoma AdayaH devAH ye yajQa aMSa haviH BujaH /
   [35.19]     *{318}*śārīrāṇy anyasūtrāṇi tathā svargaphalāni ca /	[35.19]     *{318}* SArIrANi anya sUtrANi taTA svarga PalAni ca /
   [35.20]     vaiṣṇavaṃ sūtram ettu*{319}* sarvasiddhikaraṃ param //	[35.20]     vEzNavam sUtram ettu*{319}* sarva sidDi karam param //
   [Purātantra]	[Pura atantra]
   [35.21]     ādyatvāt sarvasūtrāṇāṃ vaiṣṇavatvāc ca tat tu vai /	[35.21]     Adya tvAt sarva sUtrANAm vEzNava tvAt ca tat tu vE /
   [35.22]     mayānuvartitaṃ tadvatkaśyapātrimarīcibhiḥ //*{320}*	[35.22]     mayA anuvartitam tadvat kaSyapa atri marIciBiH //*{320}*
   [Purātantra]	[Pura atantra]
   [35.23]     gṛhe puruṣapūjāyā vidhānam ṛṣisattamāḥ /	[35.23]     gRhe puruza pUjAyAH viDAnam Rzi sattamAH /
   !{316}! Dieser Vers ist als "Purātantra" auch in DHN[D] 83.21 22 zitiert;	!{316}! DieseH Vers ist alH "Pura atantra" OC id DHN[D] 83.21 22 zitiert;
   als "Ānandasaṃhitā" (ĀS 4.49) in DHN[D] 14.11 12.	alH "Ānanda saMhitA" (ĀH 4.49) id DHN[D] 14.11 12.
   !{317}! Dieser Vers ist ähnlich in DHN[D] 66.23 24 zitiert.	!{317}! DieseH VerH ist ähnliC id DHN[D] 66.23 24 zitiert.
   !{318}! Anm. des Herausgebers: śārīrāṇi  	!{318}! Anm. deH HerOsgebeH s: SArIrANi  
   bhagavaccharīrabhūtadevatāntarārādhanamātrapratipādakāni.	Bagavat SarIra BUta devatA antara ArADana mAtra pratipAdakAni.
   !{319}! Lies: etat tu.	!{319}! Lies: etat tu.
   !{320}! Dieser Vers ist als "Purātantra" ähnlich in DHN[D] 717 9 zitiert.	!{320}! DieseH VerH ist alH "PurAtantra" ähnliC id DHN[D] 717 9 zitiert.
   [36.1]     uktaṃ saṅkepataḥ*{321}* sūtrenoktam ālayapūjanam //	[36.1]     uktam saFkepataH*{321}* sUtrena uktam Alaya pUjanam //
   [Purātantra]	[Pura atantra]
   [36.2]     proktaṃ vikhanasā sūtre ṛṣīṇāṃ brahmavādinām /	[36.2]     proktam viKanasA sUtre RzINAm brahma vAdinAm /
   [36.3]     teṣān tu havir ādatte viṣṇus sākṣāt sanātanaḥ // [Purātantra]	[36.3]     tezAn tu haviH Adatte vizNuH sAkzAt sanAtanaH // [Pura atantra]
   [36.4]     śatakratūnāṃ yajato yatphalaṃ parikīrtitam /	[36.4]     SatakratUnAm yajataH yat Palam parikIrtitam /
        [ālaye pañcamūrtyarcanasya śraiṣṭhyam]	[a Alaye paQcamUrti arcanasya SrEzWyam]
   [36.5]     ālaye pañcamūrtīnām arcanan tv adhikaṃ bhavet // [Purātantra]	[36.5]     Alaye paQcamUrtInAm arcanan tu aDikam Bavet // [Pura atantra]
   [36.6]     ālāyārcā gṛhārceti cobhayaṃ śruticoditam /	[36.6]     AlAya arcA gRha Arca iti ca uBayam Sruti coditam /
   [36.7]     tenādau sakalaṃ noktaṃ granthavistarabhīruṇā // [Purātantra]	[36.7]     tena AdO sakalam na uktam granTa vistara BIruNA // [Pura atantra]
   [36.8]     uktaśeṣam anuktañ ca vistareṇa mayocyate /	[36.8]     ukta Sezam anuktan ca vistareNa mayA ucyate /
   [36.9]     viṣṇuñ ca puruṣaṃ satyam*{322}* acyutañ cāniruddhakam //	[36.9]     vizNun ca puruzam satyam *{322}* acyutan ca anirudDakam //
   [Purātantra]	[Pura atantra]
   [36.10]     "eṣa puruṣaḥ pañcadhā pañcātme" ty āha ca śrutiḥ /	[36.10]     "eza puruzaH paQcaDA paQca Atme" ti Aha ca SrutiH /
   [36.11]     asmābhir api tatsūtra  matagāmibhir eva tu // [Purātantra]	[36.11]     asmABiH api tad sUtra mata gAmiBiH eva tu // [Pura atantra]
   [36.12]     pañcamūrtividhānena śāstram etad udāhṛtam /	[36.12]     paQcamUrti viDAnena SAstram etat udAhRtam /
   [36.13]     tasmād atra mayoktasya homasyāgnyālayasya ca // [Purātantra]	[36.13]     tasmAt atra mayA uktasya homasya agni Alayasya ca // [Pura atantra]
   [36.14]     puṇyāhavāstusāmānya  homādīnāñ ca karmaṇām /	[36.14]     puNya AhavAH tu sAmAnya homa AdInAn ca karmaNAm /
   [36.15]     ye 'nye ca mantrās te grāhyās sūtre vikhanasā smṛtāḥ //	[36.15]     ye anye ca mantrAH te grAhyAH sUtre viKanasA smRtAH //
   [Purātantra.]	[Pura atantra.]
   [36.16]     ālayārcavidhis so 'yaṃ vaidikas sarvasiddhidaḥ /	[36.16]     Alaya arca viDiH saH ayam vEdikaH sarva sidDi daH /
   [36.17]     sarvalokahitārthāya prokto 'smābhir viśeṣataḥ // [Purātantra.]	[36.17]     sarva loka hita arTAya proktaH asmABiH viSezataH // [Pura atantra.]
        [vaikhānasānam garbhavaiṣṇavatvam]	[vEKAnasAnam garBa vEzNava tvam]
   [36.18]     ālayārcaṇakarmedaṃ vaidikaṃ bhagavatpriyaṃ /	[36.18]     Alaya arcaNa karma idam vEdikam Bagavat priyam /
   [36.19]     anuṣṭheyaṃ dvijaśreṣṭhaiḥ tadvaikhānasasūtribhiḥ //	[36.19]     anuzWeyam dvijaSrezWEH tad vEKAnasa sUtriBiH //
   [Purātantra.]	[Pura atantra.]
   [36.20]     ye vaikhānasasūtreṇa saṃskṛtās tu dvijātayaḥ /	[36.20]     ye vEKAnasa sUtreNa saMskRtAH tu dvijAtayaH /
   [36.21]     te viṣṇusadṛśā jñeyāḥ sarveṣām uttamottamāḥ // [Purātantra.]	[36.21]     te vizNu sadRSAH jQeyAH sarvezAm uttama uttamAH // [Pura atantra.]
   [36.22]     vaikhānasānāṃ sarveṣāṃ garbhavaiṣṇavajanmanām /	[36.22]     vEKAnasAnAm sarvezAm garBa vEzNava janmanAm /
   [36.23]     nārāyaṇaḥ svayaṃ garbhe mudrāṃ dhārayate nijām //*{323}*	[36.23]     nArAyaNaH svayam garBe mudrAm DArayate nijAm //*{323}*
   [Purātantra]	[Pura atantra]
        [vaikhānasapūjāyaḥ bhagavatprītikaratvam]	[vEKAnasa pUjAyaH Bagavat prIti kara tvam]
   [36.24]     viprā vaikhānasākhyā ye te smṛtā bhagavatpriyāḥ /	[36.24]     viprAH vEKAnasa AKyAH ye te smRtAH Bagavat priyAH /
   !{321}! Lies: saṅkṣepataḥ.	!{321}! Lies: saFkzepataH.
   !{322}! Vgl. MBh in DHN[D] 23.22.	!{322}! Vgl. MBh id DHN[D] 23.22.
   !{323}! Dieser Vers ist auch DHN[D] 103.14 15 zitiert; der zweite Halbvers	!{323}! DieseH Vers ist OC DHN[D] 103.14 15 zitiert; deH zweite HalbveH s
   ist auch in KrA (36.43ab) enthalten. Vgl. ĀS 16.33 (Nārāyaṇa spricht zu	ist OC id KrAH (36.43ab) enTalten. Vgl. ĀH 16.33 (NArAyaNa spriCt zu
   Vikhanas): tvadvaṃśajānāṃ sarveṣāṃ garbhavaiṣṇavajanmanāṃ / ahaṃ eva	ViKana s): tvad vaMSa jAnAm sarvezAm garBa vEzNava janmanAm / aham eva
   svayaṃ garbhe manmudrāṃ dhārayāṃy ahaṃ //; vgl. auch ĀS 19.12:	svayam garBe mad mudrAm DArayAMi aham //; vgl. OC ĀH 19.12:
   vaikhānasānāṃ sarveṣāṃ garbhavaiṣṇavajanmanāṃ / aham eva svayaṃ garbhe	vEKAnasAnAm sarvezAm garBa vEzNava janmanAm / aham eva svayam garBe
   mannudrāṃ dhārayāmi tāṃ.	mannudrAm DArayAmi tAM.
   [37.1]     ekāntinas susattvasthā dehāntaṃ nānyayājinaḥ //*{324}*	[37.1]     ekAntinaH su sattva sTAH dehAntam na anya yAjinaH //*{324}*
   [Purātantra]	[Pura atantra]
   [37.2]     viṣṇoḥ priyatamā loke catvāraḥ parikīrtitāḥ /	[37.2]     vizNoH priyatamAH loke catvAraH parikIrtitAH /
   [37.3]     aśvatthaḥ kapilā gāvas tulasī vikhanās tathā*{325}* //	[37.3]     aSvatTaH kapilAH gAvaH tulasI viKanAH taTA a*{325}* //
   [Purātantra.]	[Pura atantra.]
   [37.4]     dvijeṣu brāhmaṇāḥ śreṣṭhāḥ brāhmaṇeṣu ca vaiṣṇavāḥ /	[37.4]     dvijezu brAhmaNAH SrezWAH brAhmaNezu ca vEzNavAH /
   [37.5]     vaiṣṇaveṣu dvijāḥ śreṣṭhā ye vaikhānasasūtriṇaḥ //	[37.5]     vEzNavezu dvijAH SrezWAH ye vEKAnasa sUtriNaH //
   [Purātantra.]	[Pura atantra.]
   [37.6]     vaiṣṇavīṃ pratimāṃ loke vipraṃ vaikhānasaṃ tathā /	[37.6]     vEzNavIm pratimAm loke vipram vEKAnasam taTA /
   [37.7]     gaṅgāṃ viṣṇupadīṃ dṛṣṭvā sarvapāpaiḥ pramucyate //*{326}*	[37.7]     gaFgAm vizNupadIm dRzwvA sarva pApEH pramucyate //*{326}*
   [Purātantra]	[Pura atantra]
   [37.8]     tasmād vaikhānasā viprā vaiṣṇavā munisattamāḥ /	[37.8]     tasmAt vEKAnasAH viprAH vEzNavAH muni sattamAH /
   [37.9]     ālayārcanayogyāś ca yogyā nānye dvijātayaḥ /	[37.9]     Alaya arcana yogyAH ca yogyAH na anye dvijAtayaH /
   [37.10]     purā tu pṛṣṭavān brahmā devadevaṃ janārdanam // [Purātantra]	[37.10]     purA tu pRzwavAn brahmA devadevam janArdanam // [Pura atantra]
   [37.11]     "kathaṃ kena prakāreṇa pūjanīyo 'si kair api /"	[37.11]     "kaTam kena prakAreNa pUjanIyaH asi kEH api /"
   [37.12]     ity evaṃ bhagavān pṛṣṭaḥ prāha vai caturānanam // [Purātantra]	[37.12]     iti evam BagavAn pRzwaH prAha vE caturAnanam // [Pura atantra]
   [37.13]     "ālaye ty arcanaṃ syāt tu parivārānvitasya me /	[37.13]     "Alaye ti arcanam syAt tu parivAra anvitasya me /
   [37.14]     vaikhānasavidhānena vaidikena viśeṣataḥ // [Purātantra]	[37.14]     vEKAnasa viDAnena vEdikena viSezataH // [Pura atantra]
   [37.15]     vaikhānasais tu viprendrair arcanaṃbis hier noch Telugu	[37.15]     vEKAnasEH tu vipra indrEH arcanaMbiH hieH na uC Telu gu
   vergleichen mama tuṣṭidam /	vergleiCet mama tuzwi dam /
   [37.16]     amūrtañ ca samūrtañ ca dvidhā vaidikam ucyate // [Purātantra]	[37.16]     amUrtan ca sa mUrtan ca dviDA vEdikam ucyate // [Pura atantra]
   [37.17]     amūrtaṃ gārhapatyādyaṃ samūrtaṃ berapūjanam /	[37.17]     amUrtam gArhapatya Adyam sa mUrtam bera pUjanam /
   [37.18]     yathā karmaṇa ekasya kalpitāḥ pañca vahnayaḥ // [Purātantra]	[37.18]     yaTA karmaNaH ekasya kalpitAH paQca vahnayaH // [Pura atantra]
   [37.19]     tathā caikavimānasya pañcaberāṇi kalpayet /	[37.19]     taTA ca eka vimAnasya paQcaberANi kalpayet /
   [37.20]     grāmādāv ālaye tasmād devadevo janārdanaḥ // [Purātantra]	[37.20]     grAma AdO Alaye tasmAt devadevaH janArdanaH // [Pura atantra]
   [37.21]     anena vidhinā pūjyo viprair vaikhānasais tathā /	[37.21]     anena viDinA pUjyaH viprEH vEKAnasEH taTA /
   [37.22]     pūjā vaikhānasair viprair ālaye syād viśeṣataḥ // [Purātantra]	[37.22]     pUjA vEKAnasEH viprEH Alaye syAt viSezataH // [Pura atantra]
   [37.23]     sarvasampatkarañ caiva sarvāśubhavināśanam /	[37.23]     sarva sampad karan ca eva sarva aSuBa vinASanam /
   [37.24]     tadgrāmavāsināṃ tadvad aihikāmuṣmikapradam //*{327}*	[37.24]     tad grAma vAsinAm tadvat Ehika amuzmika pradam //*{327}*
   [Purātantra]	[Pura atantra]
   !{324}! Dieser Halbvers ist auch zitiert in DHN[D] 43.1, 48.19, 118.13.	!{324}! DieseH HalbverH ist OC zitiert id DHN[D] 43.1, 48.19, 118.13.
   !{325}! ĀS 19.10ab; dieser Halbvers ist auch zitiert als "Varāhapurāṇa" in	!{325}! ĀH 19.10ab; dieseH HalbverH ist OC zitiert alH "VarAha purANa" in
   DHN[D] 41.10 und 118.6.	DHN[D] 41.10 und 118.6.
   !{326}! Dieser Vers ist auch als "Vṛddhayājñavalkya" in DHN[D] 41.15 16	!{326}! DieseH Vers ist OC alH "VRdDa yAjQavalkya" id DHN[D] 41.15 16
   zitiert.	zitiert.
   !{327}! DHN[T] 174: aihikāmuṣmikaṃ pradam.	!{327}! DHN[T] 174: EhikAmuzmikam pradam.
        [avaikhānasapūjane doṣaḥ, tatprāyaścittañ ca]	[a vEKAnasa pUjane dozaH, tad prAyaScittan ca]
   [38.1]     varṣadaṃ puṣṭidaṃ śreṣṭhaṃ rājarāṣṭrābhivṛddhidam /	[38.1]     varza dam puzwi dam SrezWam rAja rAzwra aBivRdDi dam /
   [38.2]     karṣaṇādipratiṣṭhārcāprāyaścittāvasānakam /	[38.2]     karzaNa Adi pratizWA arcA prAyaScitta avasAnakam /
   [38.3]     anuṣṭheyo vidhis so 'yaṃ viprair vaikhānasais tataḥ //	[38.3]     anuzWeyaH viDiH saH ayam viprEH vEKAnasEH tatas //
   [Purātantra]	[Pura atantra]
   [38.4]     avaikhānasasūtrais tu viprair ārādhanaṃ hareḥ /	[38.4]     avEKAnasa sUtrEH tu viprEH ArADanam hareH /
   [38.5]     vālaye sarvalokānāṃ vināśāya bhaviṣyati // [Purātantra]	[38.5]     vA Alaye sarva lokAnAm vinASAya Bavizyati // [Pura atantra]
   [38.6]     ajñānād arthalobhād vā bhayād vā 'py ālayārcanam /	[38.6]     ajQAnAt arTa loBAt vA BayAt vA api Alaya arcanam /
   [38.7]     yady avaikhānasair viprair kriyate*{328}* sarvanāśanam //	[38.7]     yadi avEKAnasEH viprEH kriyate*{328}* sarva nASanam //
   [Purātantra]	[Pura atantra]
   [38.8]     yady avaikhānaso vipra ālayārcanam ācaret /	[38.8]     yadi avEKAnasaH vipraH Alaya arcanam Acaret /
   [38.9]     ṣaṇmāsāt patanaṃ yāti narakañ caiva gacchati // [Purātantra]	[38.9]     zaz mAsAt patanam yAti narakan ca eva gacCati // [Pura atantra]
   [38.10]     api sāṅgacaturvedī yady avaikhānaso dvijaḥ /	[38.10]     api sa aFga catur vedI yadi avEKAnasaH dvijaH /
   [38.11]     ālaye tv arcanaṃ kuryāt sadyaḥ patati devalaḥ // [Purātantra]	[38.11]     Alaye tu arcanam kuryAt sadyas patati devalaH // [Pura atantra]
   [38.12]     avaikhānasavipro yaḥ pūjayed ālaye harim /	[38.12]     avEKAnasa vipraH yaH pUjayet Alaye harim /
   [38.13]     sa vai devalako nāma sarvakarmabahiṣkṛtaḥ //*{329}*	[38.13]     sa vE devalakaH nAma sarva karma bahizkRtaH //*{329}*
   [Purātantra]	[Pura atantra]
   [38.14]     ālāpaṃ darśanañ caiva sparśanañ ca viśeṣataḥ /	[38.14]     AlApam darSanan ca eva sparSanan ca viSezataH /
   [38.15]     śrāddhādau varaṇañ caiva tasya viprasya varjayet //	[38.15]     SrAdDa AdO varaNan ca eva tasya viprasya varjayet //
   [Purātantra]	[Pura atantra]
   [38.16]     avaikhānasasūtreṇa*{330}* spṛṣṭe bimbe pramādataḥ /	[38.16]     avEKAnasa sUtreNa*{330}* spRzwe bimbe pramAdataH /
   [38.17]     snāpayet kalaśair devaṃ prokṣayet pañcagavyakaiḥ //	[38.17]     snApayet kalaSEH devam prokzayet paQcagavyakEH //
   [Purātantra]	[Pura atantra]
   [38.18]     evam eva tathā kuryād viprair anyaiḥ prapūjite /	[38.18]     evam eva taTA kuryAt viprEH anyEH prapUjite /
   [38.19]     kalaśais snāpayitvā tu dhruvoktāṃ śuddhim ācaret //	[38.19]     kalaSEH snApayitvA tu Druva uktAm SudDim Acaret //
   [Purātantra]	[Pura atantra]
   [38.20]     tryahan tu pūjite tadvad vāstuhomaṃ samāpya ca /*{331}*	[38.20]     tri ahan tu pUjite tadvat vAstu homam samApya ca /*{331}*
   [38.21]     paryagnipañcagavyābhyāṃ mahāśāntiñ ca kārayet //*{332}*	[38.21]     paryagni paQcagavyAByAm mahA SAntin ca kArayet //*{332}*
   [Purātantra]	[Pura atantra]
   [38.22]     arcane*{333}* tu mahāviṣṇos saptāhan tu viśeṣataḥ /	[38.22]     arcane*{333}* tu mahA vizNoH saptAhan tu viSezataH /
   [38.23]     mahāśāntiṃ yajitvā tu śuddhiṃ pūrvavad ācaret // [Purātantra]	[38.23]     mahA SAntim yajitvA tu SudDim pUrvavat Acaret // [Pura atantra]
   [38.24]     dvādaśāhaṃ samārabhya māsāntan tu viśeṣataḥ /	[38.24]     dvAdaSa aham samAraBya mAsa an tan tu viSezataH /
   !{328}! DHN[T] 175: ālaye statt kriyate.	!{328}! DHN[T] 175: Alaye statt kriyate.
   !{329}! DHN[T] 175: sa vai devalako nāmā havyakavyabahiṣkṛtaḥ; dieser Vers	!{329}! DHN[T] 175: sa vE devalakaH nAmA havya kavya bahizkRtaH; dieseH VeH s
   ist ähnlich als "Bhavacchāstra" zitiert in DHN[D] 63.56; vgl. PrA 18.24:	ist ähnliC als "Bha vat SAstra" zitiert id DHN[D] 63.56; vgl. PrA 18.24:
   avaikhānasavipras tu pūjayed ālaye hariṃ / sa vai devalako nāma	avEKAnasa vipraH tu pUjayet Alaye harim / sa vE devalakaH nAma
   sarvakarmabahiṣkṛtaḥ.	sarva karma bahizkRtaH.
   !{330}! DHN[T] 175: avaikhānasavipreṇa.	!{330}! DHN[T] 175: avEKAnasa vipreNa.
   !{331}! DHN[T] 175 6: vāstuhomāvasānake.	!{331}! DHN[T] 175 6: vAstu homa avasAnake.
   !{332}! DHN[T] 176: mahāśāntiś ca hūyatāṃ.	!{332}! DHN[T] 176: mahA SAntiH ca hUyatAM.
   !{333}! DHN[T] 176: (te) arcanaṃ.	!{333}! DHN[T] 176: (te) arcanaM.
